Fp1   0,4982 0,4231 0,4769 0,6372 0,8350 0,9985 1,0908 1,1186 1,1149 1,1135 1,1322 1,1648 1,1859 1,1701 1,1078 0,9972 0,8374 0,6335 0,4018 0,1726 -0,0138 -0,1247 -0,1531 -0,1223 -0,0695 -0,0229 0,0015 -0,0154 -0,0930 -0,2286 -0,3872 -0,5156 -0,5696 -0,5319 -0,4186 -0,2760 -0,1709 -0,1697 -0,3056 -0,5558 -0,8552 -1,1279 -1,3151 -1,3957 -1,3916 -1,3454 -1,2919 -1,2468 -1,2120 -1,1853 -1,1590 -1,1150 -1,0343 -0,9121 -0,7595 -0,5950 -0,4471 -0,3562 -0,3570 -0,4577 -0,6354 -0,8421 -1,0167 -1,1119 -1,1228 -1,0803 -1,0194 -0,9603 -0,9125 -0,8848 -0,8872 -0,9219 -0,9735 -1,0117 -1,0119 -0,9741 -0,9139 -0,8387 -0,7464 -0,6393 -0,5270 -0,4159 -0,3019 -0,1735 -0,0239 0,1371 0,2829 0,3901 0,4597 0,5125 0,5620 0,6081 0,6534 0,7120 0,7936 0,8896 0,9701 0,9983 0,9503 0,8192 0,6090 0,3384 0,0500 -0,1970 -0,3496 -0,3862 -0,3296 -0,2330 -0,1438 -0,0780 -0,0264 0,0225 0,0686 0,1031 0,1186 0,1166 0,1070 0,1072 0,1433 0,2377 0,3907 0,5805 0,7789 0,9657 1,1365 1,3003 1,4650 1,6258 1,7678 1,8750 1,9378 1,9591 1,9551 1,9461 1,9447 1,9494 1,9474 1,9258 1,8824 1,8236 1,7569 1,6921 1,6417 1,6117 1,5968 1,5861 1,5703 1,5404 1,4880 1,4095 1,3062 1,1804 1,0318 0,8592 0,6595 0,4274 0,1664 -0,0986 -0,3285 -0,4911 -0,5742 -0,5821 -0,5279 -0,4265 -0,2885 -0,1171 0,0862 0,3155 0,5617 0,8153 1,0659 1,3037 1,5282 1,7502 1,9788 2,2058 2,4055 2,5513 2,6335 2,6597 2,6438 2,5996 2,5427 2,4920 2,4666 2,4785 2,5275 2,6033 2,6921 2,7760 2,8327 2,8450 2,8152 2,7606 2,6943 2,6145 2,5118 2,3835 2,2419 2,1055 1,9843 1,8828 1,8141 1,8028 1,8653 1,9919 2,1495 2,2964 2,3973 2,4342 2,4100 2,3419 2,2494 2,1408 2,0121 1,8599 1,6948 1,5434 1,4414 1,4185 1,4844 1,6229 1,7931 1,9362 1,9928 1,9304 1,7615 1,5350 1,3100 1,1364 1,0484 1,0612 1,1679 1,3383 1,5258 1,6836 1,7819 1,8197 1,8220 1,8252 1,8608 1,9499 2,1011 2,3080 2,5489 2,7918 3,0062 3,1764 3,3074 3,4173 3,5243 3,6386 3,7602 3,8809 3,9862 4,0539 4,0617 3,9999 3,8768 3,7110 3,5291 3,3706 3,2765 3,2653 3,3248 3,4235 3,5255 3,5976 3,6135 3,5611 3,4501 3,3072 3,1576 3,0118 2,8646 2,7017 2,5079 2,2813 2,0464 1,8500 1,7345 1,7105 1,7577 1,8453 1,9421 2,0164 2,0424 2,0060 1,9098 1,7759 1,6427 1,5520 1,5394 1,6287 1,8218 2,0849 2,3569 2,5823 2,7375 2,8252 2,8567 2,8429 2,7942 2,7186 2,6181 2,4897 2,3303 2,1388 1,9151 1,6619 1,3945 1,1447 0,9499 0,8389 0,8246 0,8973 1,0229 1,1571 1,2652 1,3331 1,3603 1,3484 1,2995 1,2186 1,1125 0,9902 0,8694 0,7770 0,7402 0,7719 0,8642 0,9988 1,1600 1,3379 1,5238 1,7073 1,8788 2,0288 2,1465 2,2237 2,2644 2,2832 2,2921 2,2956 2,2973 2,3019 2,3082 2,3061 2,2829 2,2315 2,1554 2,0703 1,9963 1,9418 1,8978 1,8470 1,7744 1,6701 1,5266 1,3372 1,1023 0,8356 0,5619 0,3053 0,0750 -0,1372 -0,3418 -0,5314 -0,6788 -0,7552 -0,7518 -0,6856 -0,5893 -0,5033 -0,4664 -0,4986 -0,5914 -0,7167 -0,8386 -0,9197 -0,9306 -0,8642 -0,7384 -0,5752 -0,3786 -0,1363 0,1578 0,4874 0,8179 1,1169 1,3709 1,5819 1,7542 1,8881 1,9828 2,0422 2,0778 2,1025 2,1179 2,1155 2,0904 2,0519 2,0154 1,9863 1,9518 1,8930 1,8000 1,6761 1,5338 1,3933 1,2754 1,1885 1,1238 1,0638 0,9871 0,8689 0,6892 0,4505 0,1847 -0,0575 -0,2309 -0,3162 -0,3243 -0,2865 -0,2366 -0,2002 -0,1927 -0,2166 -0,2535 -0,2674 -0,2253 -0,1162 0,0469 0,2351 0,4122 0,5419 0,6007 0,5892 0,5346 0,4800 0,4646 0,5101 0,6166 0,7690 0,9456 1,1287 1,3084 1,4756 1,6167 1,7209 1,7949 1,8675 1,9721 2,1189 2,2809 2,4104 2,4696 2,4478 2,3590 2,2269 2,0764 1,9300 1,8039 1,7064 1,6413 1,6058 1,5867 1,5612 1,5007 1,3753 1,1675 0,8895 0,5822 0,2935 0,0569 -0,1155 -0,2328 -0,3217 -0,4145 -0,5290 -0,6604 -0,7941 -0,9166 -1,0129 -1,0638 -1,0552 -0,9892 -0,8843 -0,7647 -0,6487 -0,5417 -0,4409 -0,3469 -0,2678 -0,2076 -0,1596 -0,1130 -0,0601 0,0053 0,0876 0,1835 0,2805 0,3589 0,3923 0,3573 0,2548 0,1173 -0,0084 -0,0872 -0,1094 -0,0912 -0,0658 -0,0698 -0,1310 -0,2662 -0,4857 -0,7898 -1,1610 -1,5615 -1,9476 -2,2887 -2,5770 -2,8194 -3,0208 -3,1754 -3,2759 -3,3255 -3,3346 -3,3119 -3,2646 -3,2061 -3,1587 -3,1438 -3,1690 -3,2242 -3,2846 -3,3208 -3,3151 -3,2720 -3,2132 -3,1599 -3,1161 -3,0676 -2,9923 -2,8741 -2,7080 -2,4990 -2,2610 -2,0152 -1,7818 -1,5715 -1,3890 -1,2384 -1,1205 -1,0252 -0,9320 -0,8237 -0,7010 -0,5797 -0,4731 -0,3829 -0,3055 -0,2392 -0,1834 -0,1370 -0,1009 -0,0812 -0,0881 -0,1268 -0,1900 -0,2616 -0,3253 -0,3651 -0,3630 -0,3077 -0,2113 -0,1116 -0,0557 -0,0710 -0,1449 -0,2335 -0,2956 -0,3241 -0,3475 -0,4049 -0,5173 -0,6767 -0,8538 -1,0144 -1,1332 -1,1982 -1,2058 -1,1563 -1,0533 -0,9072 -0,7434 -0,6003 -0,5161 -0,5147 -0,6021
Fz    1,0452 0,7723 0,6334 0,6331 0,7323 0,8779 1,0313 1,1776 1,3141 1,4353 1,5287 1,5772 1,5652 1,4878 1,3545 1,1794 0,9726 0,7425 0,5002 0,2675 0,0752 -0,0546 -0,1230 -0,1506 -0,1609 -0,1610 -0,1468 -0,1300 -0,1433 -0,2071 -0,3028 -0,3866 -0,4225 -0,4012 -0,3396 -0,2776 -0,2729 -0,3857 -0,6456 -1,0214 -1,4294 -1,7756 -1,9921 -2,0523 -1,9686 -1,7768 -1,5145 -1,2106 -0,8871 -0,5633 -0,2496 0,0563 0,3571 0,6381 0,8728 1,0408 1,1306 1,1335 1,0518 0,9099 0,7504 0,6222 0,5670 0,5987 0,6899 0,7934 0,8781 0,9397 0,9859 1,0179 1,0306 1,0229 1,0035 0,9857 0,9760 0,9655 0,9401 0,8967 0,8415 0,7819 0,7272 0,6939 0,7057 0,7855 0,9395 1,1443 1,3515 1,5137 1,6109 1,6513 1,6514 1,6268 1,5975 1,5864 1,6028 1,6334 1,6488 1,6175 1,5172 1,3367 1,0757 0,7521 0,4088 0,1058 -0,1039 -0,1998 -0,2038 -0,1627 -0,1152 -0,0696 -0,0129 0,0643 0,1527 0,2306 0,2805 0,3013 0,3081 0,3277 0,3930 0,5296 0,7377 0,9941 1,2738 1,5690 1,8927 2,2644 2,6890 3,1470 3,6058 4,0344 4,4096 4,7178 4,9578 5,1393 5,2746 5,3723 5,4326 5,4497 5,4171 5,3331 5,2026 5,0415 4,8719 4,7088 4,5545 4,4015 4,2417 4,0731 3,9009 3,7293 3,5530 3,3587 3,1360 2,8871 2,6182 2,3297 2,0259 1,7292 1,4722 1,2809 1,1688 1,1390 1,1850 1,2961 1,4682 1,7082 2,0213 2,3953 2,8009 3,2077 3,5961 3,9605 4,3089 4,6564 5,0103 5,3585 5,6751 5,9374 6,1340 6,2596 6,3107 6,2914 6,2265 6,1623 6,1450 6,1949 6,3034 6,4480 6,6016 6,7315 6,7977 6,7665 6,6319 6,4204 6,1692 5,9043 5,6377 5,3793 5,1419 4,9332 4,7495 4,5827 4,4358 4,3271 4,2799 4,3052 4,3906 4,5021 4,6008 4,6659 4,7010 4,7211 4,7328 4,7207 4,6571 4,5295 4,3550 4,1734 4,0324 3,9741 4,0204 4,1617 4,3530 4,5229 4,6000 4,5445 4,3647 4,1057 3,8269 3,5895 3,4501 3,4453 3,5736 3,7887 4,0161 4,1870 4,2670 4,2653 4,2242 4,1949 4,2163 4,3100 4,4823 4,7217 4,9995 5,2797 5,5326 5,7463 5,9277 6,0918 6,2498 6,4064 6,5593 6,7010 6,8214 6,9067 6,9403 6,9094 6,8119 6,6565 6,4633 6,2661 6,1034 5,9984 5,9528 5,9532 5,9758 5,9908 5,9703 5,8995 5,7839 5,6435 5,4975 5,3545 5,2101 5,0492 4,8573 4,6377 4,4209 4,2541 4,1733 4,1790 4,2397 4,3133 4,3648 4,3737 4,3363 4,2596 4,1533 4,0331 3,9268 3,8715 3,9059 4,0575 4,3229 4,6563 4,9857 5,2536 5,4438 5,5698 5,6512 5,7029 5,7329 5,7404 5,7140 5,6355 5,4860 5,2499 4,9189 4,5000 4,0259 3,5565 3,1623 2,9044 2,8188 2,9025 3,1090 3,3723 3,6411 3,8945 4,1294 4,3399 4,5132 4,6360 4,6956 4,6831 4,6063 4,4964 4,3985 4,3509 4,3693 4,4471 4,5679 4,7169 4,8834 5,0564 5,2220 5,3666 5,4789 5,5521 5,5874 5,5911 5,5660 5,5113 5,4328 5,3441 5,2548 5,1645 5,0691 4,9685 4,8717 4,7959 4,7583 4,7618 4,7903 4,8190 4,8283 4,8057 4,7395 4,6156 4,4247 4,1711 3,8726 3,5508 3,2174 2,8695 2,4992 2,1129 1,7380 1,4109 1,1573 0,9838 0,8765 0,8015 0,7180 0,6050 0,4765 0,3690 0,3202 0,3594 0,5017 0,7399 1,0453 1,3870 1,7520 2,1409 2,5498 2,9607 3,3479 3,6936 3,9993 4,2760 4,5261 4,7424 4,9207 5,0692 5,2036 5,3297 5,4300 5,4736 5,4410 5,3387 5,1905 5,0174 4,8273 4,6257 4,4245 4,2358 4,0666 3,9254 3,8246 3,7733 3,7708 3,8040 3,8464 3,8650 3,8375 3,7666 3,6778 3,6068 3,5842 3,6277 3,7375 3,8933 4,0612 4,2083 4,3129 4,3690 4,3926 4,4166 4,4700 4,5622 4,6832 4,8108 4,9148 4,9658 4,9499 4,8779 4,7808 4,6968 4,6571 4,6794 4,7662 4,9072 5,0827 5,2702 5,4512 5,6114 5,7405 5,8335 5,8979 5,9555 6,0309 6,1310 6,2350 6,3091 6,3284 6,2840 6,1773 6,0117 5,7939 5,5381 5,2640 4,9927 4,7454 4,5373 4,3710 4,2365 4,1134 3,9723 3,7892 3,5635 3,3203 3,0932 2,9077 2,7755 2,6934 2,6396 2,5810 2,4959 2,3858 2,2656 2,1490 2,0489 1,9825 1,9684 2,0158 2,1185 2,2571 2,4073 2,5515 2,6824 2,7932 2,8729 2,9207 2,9564 3,0081 3,0941 3,2204 3,3849 3,5759 3,7690 3,9293 4,0174 4,0030 3,8829 3,6860 3,4605 3,2515 3,0824 2,9475 2,8196 2,6686 2,4739 2,2207 1,8922 1,4768 0,9843 0,4527 -0,0650 -0,5238 -0,9057 -1,2239 -1,5025 -1,7506 -1,9587 -2,1146 -2,2156 -2,2674 -2,2806 -2,2706 -2,2570 -2,2577 -2,2791 -2,3103 -2,3258 -2,2977 -2,2135 -2,0876 -1,9509 -1,8259 -1,7086 -1,5723 -1,3901 -1,1552 -0,8797 -0,5802 -0,2707 0,0384 0,3435 0,6467 0,9444 1,2190 1,4479 1,6222 1,7567 1,8774 2,0032 2,1409 2,2936 2,4633 2,6440 2,8228 2,9873 3,1319 3,2552 3,3527 3,4134 3,4284 3,3975 3,3306 3,2454 3,1631 3,1003 3,0613 3,0339 2,9931 2,9136 2,7895 2,6484 2,5388 2,4949 2,5100 2,5422 2,5442 2,4902 2,3862 2,2611 2,1462 2,0600 2,0096 2,0016 2,0464 2,1524 2,3177 2,5203 2,7168 2,8566 2,8990 2,8241
F3    1,3246 1,2479 1,2467 1,3070 1,4138 1,5513 1,7004 1,8463 1,9797 2,0855 2,1411 2,1280 2,0367 1,8581 1,5829 1,2197 0,8137 0,4332 0,1299 -0,0738 -0,1760 -0,1972 -0,1756 -0,1461 -0,1202 -0,0822 -0,0195 0,0369 0,0212 -0,1070 -0,3245 -0,5636 -0,7610 -0,8902 -0,9557 -0,9704 -0,9561 -0,9601 -1,0383 -1,2104 -1,4456 -1,6891 -1,8937 -2,0290 -2,0788 -2,0474 -1,9629 -1,8582 -1,7480 -1,6238 -1,4659 -1,2586 -1,0068 -0,7477 -0,5358 -0,4102 -0,3862 -0,4683 -0,6462 -0,8821 -1,1188 -1,3024 -1,3958 -1,3951 -1,3451 -1,3071 -1,3003 -1,2933 -1,2511 -1,1714 -1,0777 -0,9866 -0,8926 -0,7815 -0,6495 -0,5056 -0,3640 -0,2382 -0,1400 -0,0716 -0,0193 0,0435 0,1475 0,3098 0,5203 0,7442 0,9414 1,0914 1,2074 1,3169 1,4254 1,5103 1,5514 1,5522 1,5321 1,5076 1,4762 1,4169 1,3099 1,1480 0,9334 0,6813 0,4246 0,2048 0,0457 -0,0630 -0,1494 -0,2298 -0,3032 -0,3648 -0,4131 -0,4540 -0,5033 -0,5799 -0,6892 -0,8115 -0,9103 -0,9532 -0,9254 -0,8348 -0,7069 -0,5664 -0,4210 -0,2598 -0,0600 0,1994 0,5170 0,8594 1,1750 1,4212 1,5835 1,6771 1,7357 1,7962 1,8833 1,9979 2,1164 2,2084 2,2604 2,2783 2,2700 2,2384 2,1910 2,1459 2,1277 2,1573 2,2441 2,3834 2,5593 2,7483 2,9186 3,0310 3,0512 2,9697 2,8045 2,5833 2,3284 2,0570 1,7815 1,5080 1,2423 0,9987 0,7999 0,6748 0,6557 0,7691 1,0193 1,3809 1,8088 2,2584 2,6960 3,0972 3,4471 3,7462 4,0053 4,2299 4,4098 4,5275 4,5718 4,5433 4,4548 4,3285 4,1920 4,0772 4,0151 4,0220 4,0910 4,2002 4,3242 4,4365 4,5090 4,5270 4,5035 4,4640 4,4176 4,3521 4,2511 4,1096 3,9336 3,7291 3,4959 3,2347 2,9610 2,7097 2,5178 2,4020 2,3524 2,3415 2,3367 2,3136 2,2682 2,2156 2,1754 2,1535 2,1405 2,1282 2,1274 2,1681 2,2804 2,4721 2,7196 2,9771 3,1912 3,3130 3,3091 3,1750 2,9439 2,6766 2,4387 2,2809 2,2333 2,3056 2,4865 2,7410 3,0151 3,2540 3,4244 3,5265 3,5866 3,6366 3,6989 3,7883 3,9176 4,0894 4,2846 4,4648 4,5937 4,6614 4,6911 4,7205 4,7790 4,8759 5,0013 5,1382 5,2735 5,3968 5,4969 5,5654 5,6015 5,6072 5,5820 5,5297 5,4618 5,3861 5,3021 5,2107 5,1187 5,0309 4,9451 4,8574 4,7670 4,6714 4,5647 4,4455 4,3196 4,1925 4,0644 3,9377 3,8241 3,7415 3,6987 3,6797 3,6452 3,5554 3,3937 3,1721 2,9171 2,6508 2,3824 2,1223 1,9010 1,7689 1,7723 1,9294 2,2180 2,5790 2,9392 3,2465 3,4851 3,6582 3,7694 3,8211 3,8222 3,7846 3,7140 3,6083 3,4624 3,2722 3,0353 2,7581 2,4693 2,2229 2,0760 2,0637 2,1920 2,4367 2,7445 3,0484 3,2918 3,4425 3,4958 3,4671 3,3839 3,2757 3,1614 3,0480 2,9434 2,8660 2,8389 2,8761 2,9762 3,1252 3,3047 3,5030 3,7196 3,9554 4,1958 4,4073 4,5536 4,6217 4,6275 4,5960 4,5408 4,4646 4,3712 4,2655 4,1464 4,0097 3,8594 3,7094 3,5753 3,4686 3,3937 3,3403 3,2803 3,1828 3,0347 2,8466 2,6384 2,4228 2,1998 1,9626 1,7046 1,4255 1,1313 0,8288 0,5229 0,2216 -0,0595 -0,2993 -0,4807 -0,5999 -0,6696 -0,7135 -0,7539 -0,7973 -0,8344 -0,8523 -0,8410 -0,7926 -0,7037 -0,5827 -0,4466 -0,2994 -0,1160 0,1426 0,4948 0,9180 1,3601 1,7692 2,1188 2,4068 2,6421 2,8351 2,9995 3,1520 3,3049 3,4522 3,5656 3,6143 3,5903 3,5107 3,4003 3,2682 3,1019 2,8903 2,6461 2,4012 2,1871 2,0259 1,9303 1,9035 1,9379 2,0167 2,1111 2,1759 2,1650 2,0589 1,8765 1,6612 1,4608 1,3145 1,2425 1,2411 1,2930 1,3813 1,4944 1,6231 1,7604 1,8987 2,0245 2,1222 2,1872 2,2301 2,2624 2,2840 2,2858 2,2600 2,2075 2,1422 2,0900 2,0829 2,1477 2,2941 2,5110 2,7716 3,0421 3,2902 3,4907 3,6309 3,7156 3,7702 3,8292 3,9105 3,9969 4,0481 4,0338 3,9557 3,8391 3,7085 3,5725 3,4292 3,2769 3,1226 2,9847 2,8868 2,8431 2,8472 2,8724 2,8800 2,8347 2,7210 2,5484 2,3426 2,1337 1,9469 1,7944 1,6701 1,5585 1,4541 1,3710 1,3324 1,3533 1,4360 1,5781 1,7743 2,0111 2,2637 2,5005 2,6909 2,8177 2,8808 2,8865 2,8408 2,7596 2,6729 2,6097 2,5809 2,5807 2,6026 2,6485 2,7232 2,8225 2,9261 3,0023 3,0253 2,9894 2,9077 2,7991 2,6772 2,5429 2,3859 2,1941 1,9575 1,6618 1,2884 0,8315 0,3147 -0,2136 -0,7036 -1,1271 -1,4834 -1,7899 -2,0632 -2,3011 -2,4848 -2,5990 -2,6473 -2,6488 -2,6254 -2,5964 -2,5747 -2,5640 -2,5599 -2,5544 -2,5372 -2,4957 -2,4235 -2,3264 -2,2166 -2,0994 -1,9639 -1,7916 -1,5743 -1,3206 -1,0481 -0,7748 -0,5202 -0,3013 -0,1223 0,0302 0,1765 0,3302 0,4960 0,6771 0,8799 1,1084 1,3532 1,5958 1,8274 2,0546 2,2862 2,5195 2,7395 2,9279 3,0686 3,1482 3,1594 3,1086 3,0182 2,9219 2,8569 2,8562 2,9359 3,0853 3,2696 3,4417 3,5585 3,6008 3,5874 3,5633 3,5659 3,5931 3,6018 3,5386 3,3783 3,1385 2,8652 2,6075 2,4057 2,2919 2,2903 2,4111 2,6422 2,9411 3,2382 3,4584 3,5487 3,4861 3,2705
F7    -0,1440 0,0059 0,2704 0,5993 0,9149 1,1516 1,2815 1,3195 1,3105 1,3018 1,3130 1,3227 1,2824 1,1565 0,9437 0,6618 0,3380 0,0115 -0,2742 -0,4766 -0,5577 -0,5051 -0,3491 -0,1531 0,0194 0,1315 0,1711 0,1367 0,0410 -0,0903 -0,2310 -0,3508 -0,4050 -0,3533 -0,1894 0,0478 0,2799 0,4116 0,3752 0,1669 -0,1555 -0,5069 -0,8204 -1,0761 -1,2906 -1,4842 -1,6634 -1,8255 -1,9684 -2,0952 -2,2082 -2,3004 -2,3546 -2,3503 -2,2758 -2,1363 -1,9617 -1,8079 -1,7369 -1,7873 -1,9577 -2,2041 -2,4475 -2,6101 -2,6687 -2,6614 -2,6361 -2,6126 -2,5930 -2,5916 -2,6450 -2,7811 -2,9725 -3,1314 -3,1647 -3,0386 -2,7831 -2,4476 -2,0764 -1,7093 -1,3783 -1,0959 -0,8550 -0,6426 -0,4578 -0,3180 -0,2444 -0,2331 -0,2431 -0,2200 -0,1317 0,0192 0,2024 0,3749 0,5040 0,5767 0,5812 0,4974 0,3158 0,0506 -0,2629 -0,5738 -0,8282 -0,9895 -1,0452 -1,0031 -0,8908 -0,7529 -0,6323 -0,5532 -0,5209 -0,5321 -0,5819 -0,6661 -0,7776 -0,8951 -0,9767 -0,9754 -0,8673 -0,6681 -0,4185 -0,1537 0,1118 0,3700 0,6021 0,7783 0,8700 0,8616 0,7544 0,5679 0,3374 0,1062 -0,0802 -0,1806 -0,1751 -0,0817 0,0496 0,1664 0,2425 0,2802 0,2968 0,3159 0,3573 0,4195 0,4784 0,5090 0,5025 0,4650 0,4113 0,3616 0,3362 0,3418 0,3581 0,3496 0,2883 0,1624 -0,0276 -0,2647 -0,5140 -0,7388 -0,9191 -1,0466 -1,1083 -1,0824 -0,9540 -0,7307 -0,4390 -0,1110 0,2192 0,5145 0,7417 0,8865 0,9600 0,9918 1,0120 1,0327 1,0381 1,0046 0,9308 0,8437 0,7810 0,7685 0,8030 0,8618 0,9296 1,0037 1,0799 1,1536 1,2258 1,2948 1,3457 1,3648 1,3584 1,3372 1,2974 1,2306 1,1395 1,0311 0,9119 0,7941 0,6928 0,6203 0,5880 0,6091 0,6894 0,8183 0,9762 1,1428 1,2905 1,3813 1,3866 1,3074 1,1700 0,9994 0,7989 0,5628 0,3088 0,0907 -0,0290 -0,0237 0,0874 0,2659 0,4696 0,6428 0,7245 0,6866 0,5579 0,4064 0,2930 0,2430 0,2534 0,3131 0,4103 0,5293 0,6522 0,7658 0,8661 0,9538 1,0289 1,0934 1,1617 1,2587 1,4012 1,5856 1,7935 2,0017 2,1901 2,3516 2,4947 2,6333 2,7751 2,9182 3,0559 3,1832 3,2951 3,3763 3,4044 3,3698 3,2847 3,1699 3,0472 2,9517 2,9294 3,0008 3,1419 3,3076 3,4632 3,5873 3,6582 3,6584 3,5924 3,4850 3,3597 3,2234 3,0664 2,8673 2,6049 2,2771 1,9137 1,5694 1,2967 1,1180 1,0213 0,9799 0,9722 0,9880 1,0230 1,0669 1,1004 1,1036 1,0717 1,0201 0,9793 0,9834 1,0547 1,1863 1,3432 1,4897 1,6086 1,6926 1,7350 1,7324 1,6899 1,6226 1,5509 1,4899 1,4468 1,4200 1,3991 1,3677 1,3116 1,2289 1,1337 1,0511 1,0071 1,0163 1,0750 1,1593 1,2305 1,2503 1,2000 1,0846 0,9259 0,7495 0,5743 0,4122 0,2761 0,1838 0,1532 0,1888 0,2763 0,3938 0,5251 0,6609 0,7943 0,9203 1,0357 1,1360 1,2107 1,2506 1,2600 1,2576 1,2628 1,2782 1,2856 1,2623 1,2006 1,1122 1,0175 0,9320 0,8592 0,7978 0,7480 0,7037 0,6473 0,5625 0,4474 0,3137 0,1695 0,0073 -0,1857 -0,4069 -0,6365 -0,8526 -1,0427 -1,2027 -1,3299 -1,4200 -1,4650 -1,4530 -1,3759 -1,2393 -1,0688 -0,9097 -0,8133 -0,8091 -0,8916 -1,0312 -1,1874 -1,3172 -1,3871 -1,3883 -1,3350 -1,2402 -1,0954 -0,8795 -0,5866 -0,2442 0,0979 0,3988 0,6472 0,8550 1,0349 1,1902 1,3192 1,4237 1,5092 1,5776 1,6222 1,6327 1,6062 1,5549 1,5004 1,4578 1,4226 1,3822 1,3381 1,3067 1,3013 1,3198 1,3425 1,3313 1,2449 1,0673 0,8113 0,4950 0,1303 -0,2662 -0,6648 -1,0299 -1,3319 -1,5560 -1,7039 -1,7918 -1,8426 -1,8756 -1,9037 -1,9333 -1,9574 -1,9517 -1,8876 -1,7545 -1,5692 -1,3672 -1,1872 -1,0560 -0,9779 -0,9348 -0,8938 -0,8195 -0,6907 -0,5085 -0,2907 -0,0621 0,1543 0,3475 0,5189 0,6707 0,7993 0,9027 0,9912 1,0903 1,2296 1,4215 1,6437 1,8456 1,9777 2,0184 1,9757 1,8707 1,7287 1,5764 1,4356 1,3149 1,2113 1,1206 1,0458 0,9935 0,9623 0,9333 0,8775 0,7753 0,6282 0,4559 0,2868 0,1443 0,0312 -0,0767 -0,2109 -0,3798 -0,5639 -0,7407 -0,9015 -1,0413 -1,1442 -1,1910 -1,1784 -1,1228 -1,0455 -0,9573 -0,8569 -0,7419 -0,6257 -0,5371 -0,4972 -0,5005 -0,5202 -0,5287 -0,5144 -0,4859 -0,4614 -0,4523 -0,4592 -0,4850 -0,5385 -0,6195 -0,7098 -0,7823 -0,8158 -0,8034 -0,7547 -0,6976 -0,6730 -0,7212 -0,8679 -1,1177 -1,4524 -1,8330 -2,2071 -2,5280 -2,7770 -2,9685 -3,1353 -3,3029 -3,4710 -3,6173 -3,7157 -3,7496 -3,7196 -3,6479 -3,5698 -3,5191 -3,5169 -3,5677 -3,6561 -3,7483 -3,8045 -3,7999 -3,7418 -3,6655 -3,6087 -3,5842 -3,5757 -3,5528 -3,4878 -3,3653 -3,1864 -2,9675 -2,7350 -2,5148 -2,3234 -2,1662 -2,0408 -1,9392 -1,8466 -1,7443 -1,6185 -1,4729 -1,3296 -1,2104 -1,1204 -1,0474 -0,9727 -0,8825 -0,7789 -0,6809 -0,6105 -0,5784 -0,5802 -0,6002 -0,6212 -0,6343 -0,6387 -0,6308 -0,6027 -0,5507 -0,4842 -0,4209 -0,3694 -0,3168 -0,2382 -0,1241 -0,0011 0,0751 0,0535 -0,0816 -0,3035 -0,5595 -0,7932 -0,9569 -1,0241 -0,9996 -0,9158 -0,8111 -0,7155 -0,6529 -0,6366 -0,6620 -0,7170 -0,8016
