Fp1   4,0262 4,1625 4,1859 4,0439 3,7128 3,2172 2,6244 2,0198 1,4837 1,0673 0,7766 0,5798 0,4276 0,2699 0,0632 -0,2209 -0,5833 -0,9988 -1,4267 -1,8176 -2,1237 -2,3140 -2,3828 -2,3440 -2,2161 -2,0095 -1,7240 -1,3618 -0,9443 -0,5096 -0,0990 0,2508 0,5049 0,6298 0,6013 0,4253 0,1541 -0,1292 -0,3495 -0,4671 -0,4810 -0,4249 -0,3584 -0,3500 -0,4592 -0,7289 -1,1756 -1,7699 -2,4261 -3,0312 -3,5038 -3,8233 -4,0078 -4,0787 -4,0594 -3,9936 -3,9413 -3,9419 -3,9842 -4,0163 -3,9899 -3,8937 -3,7492 -3,5872 -3,4289 -3,2751 -3,1101 -2,9214 -2,7108 -2,4885 -2,2658 -2,0597 -1,8997 -1,8157 -1,8129 -1,8609 -1,9071 -1,8982 -1,7970 -1,5938 -1,3078 -0,9831 -0,6835 -0,4792 -0,4282 -0,5655 -0,8990 -1,3999 -1,9942 -2,5758 -3,0470 -3,3627 -3,5481 -3,6789 -3,8363 -4,0634 -4,3462 -4,6291 -4,8510 -4,9670 -4,9488 -4,7929 -4,5336 -4,2349 -3,9568 -3,7291 -3,5549 -3,4330 -3,3658 -3,3511 -3,3833 -3,4699 -3,6404 -3,9317 -4,3577 -4,8865 -5,4467 -5,9519 -6,3211 -6,4896 -6,4252 -6,1462 -5,7168 -5,2142 -4,6912 -4,1669 -3,6418 -3,1126 -2,5677 -1,9736 -1,2765 -0,4272 0,5871 1,7269 2,9094 4,0404 5,0522 5,9159 6,6256 7,1859 7,6125 7,9242 8,1295 8,2174 8,1622 7,9420 7,5657 7,0844 6,5760 6,1157 5,7508 5,4882 5,3046 5,1684 5,0511 4,9340 4,8316 4,8091 4,9576 5,3393 5,9438 6,6856 7,4430 8,1043 8,5926 8,8743 8,9669 8,9354 8,8639 8,8215 8,8444 8,9412 9,1042 9,3166 9,5559 9,8033 10,0517 10,3028 10,5601 10,8185 11,0476 11,1868 11,1668 10,9369 10,4780 9,8037 8,9483 7,9576 6,9002 5,8774 4,9952 4,3184 3,8515 3,5572 3,3825 3,2795 3,2110 3,1463 3,0631 2,9449 2,7626 2,4698 2,0284 1,4381 0,7426 0,0130 -0,6785 -1,2722 -1,7187 -1,9798 -2,0449 -1,9452 -1,7502 -1,5456 -1,4021 -1,3558 -1,4018 -1,4926 -1,5483 -1,4853 -1,2552 -0,8680 -0,3844 0,1125 0,5407 0,8349 0,9618 0,9322 0,7933 0,6005 0,3867 0,1583 -0,0855 -0,3335 -0,5614 -0,7408 -0,8468 -0,8543 -0,7404 -0,4998 -0,1552 0,2453 0,6292 0,9086 1,0065 0,8926 0,6060 0,2496 -0,0455 -0,1711 -0,0856 0,1708 0,5049 0,8226 1,0642 1,2124 1,2864 1,3262 1,3691 1,4283 1,4859 1,5044 1,4513 1,3114 1,0735 0,7243 0,2713 -0,2339 -0,7058 -1,0668 -1,2861 -1,3809 -1,3902 -1,3532 -1,3029 -1,2638 -1,2454 -1,2365 -1,2087 -1,1303 -0,9856 -0,7952 -0,6215 -0,5451 -0,6225 -0,8575 -1,1955 -1,5442 -1,8142 -1,9508 -1,9358 -1,7700 -1,4499 -0,9632 -0,3220 0,4077 1,1336 1,7914 2,3786 2,9458 3,5537 4,2187 4,8857 5,4518 5,8189 5,9406 5,8413 5,6056 5,3504 5,1832 5,1578 5,2612 5,4384 5,6217 5,7461 5,7700 5,6954 5,5626 5,4293 5,3487 5,3516 5,4360 5,5716 5,7091 5,7962 5,8056 5,7599 5,7238 5,7649 5,9107 6,1291 6,3410 6,4613 6,4406 6,2754 5,9907 5,6206 5,1987 4,7570 4,3255 3,9323 3,6053 3,3652 3,2046 3,0819 2,9501 2,7914 2,6208 2,4774 2,4195 2,5010 2,7309 3,0613 3,4088 3,6843 3,8212 3,8074 3,6945 3,5655 3,4872 3,4913 3,5780 3,7229 3,8883 4,0364 4,1381 4,1810 4,1792 4,1726 4,2020 4,2760 4,3654 4,4307 4,4431 4,3844 4,2474 4,0483 3,8371 3,6936 3,7036 3,9197 4,3309 4,8605 5,3953 5,8307 6,1107 6,2462 6,2948 6,3192 6,3597 6,4329 6,5381 6,6548 6,7428 6,7634 6,7055 6,5896 6,4531 6,3389 6,2891 6,3306 6,4551 6,6089 6,7084 6,6766 6,4853 6,1781 5,8535 5,6186 5,5435 5,6369 5,8431 6,0601 6,1806 6,1412 5,9548 5,7012 5,4824 5,3727 5,3894 5,4892 5,5948 5,6399 5,6013 5,4979 5,3740 5,2829 5,2709 5,3591 5,5331 5,7522 5,9740 6,1685 6,3112 6,3809 6,3700 6,2842 6,1320 5,9181 5,6338 5,2548 4,7619 4,1661 3,5121 2,8640 2,2901 1,8499 1,5829 1,4948 1,5493 1,6841 1,8437 1,9964 2,1285 2,2315 2,2896 2,2887 2,2399 2,1877 2,1833 2,2462 2,3561 2,4745 2,5674 2,6132 2,6098 2,5796 2,5643 2,6094 2,7428 2,9555 3,2060 3,4422 3,6175 3,7000 3,6891 3,6218 3,5599 3,5676 3,6847 3,9066 4,1817 4,4273 4,5544 4,4953 4,2258 3,7746 3,2113 2,6173 2,0625 1,5920 1,2152 0,9053 0,6213 0,3317 0,0225 -0,2971 -0,5853 -0,7814 -0,8410 -0,7543 -0,5386 -0,2228 0,1597 0,5741 0,9971 1,4357 1,9228 2,4837 3,1091 3,7542 4,3574 4,8670 5,2593 5,5384 5,7293 5,8718 6,0102 6,1820 6,4056 6,6648 6,9039 7,0515 7,0579 6,9122 6,6380 6,2856 5,9171 5,5830 5,3066 5,0792 4,8666 4,6290 4,3389 3,9912 3,6028 3,2059 2,8429 2,5691 2,4446 2,5059 2,7351 3,0582 3,3739 3,5961 3,6866 3,6599 3,5679 3,4787 3,4491 3,5030 3,6385 3,8428 4,0919 4,3455 4,5553 4,6827 4,7133 4,6679 4,5982 4,5557 4,5497 4,5357 4,4412 4,2052 3,8070 3,2818 2,7142 2,2129 1,8776 1,7630 1,8445 2,0164 2,1371 2,0882 1,8132 1,3209 0,6664 -0,0676 -0,7871 -1,4130 -1,9097 -2,2985 -2,6517 -3,0635 -3,6027 -4,2748 -5,0236 -5,7648 -6,4211 -6,9485 -7,3521 -7,6796 -7,9853 -8,3027 -8,6456 -9,0105 -9,3668 -9,6590 -9,8331
Fz    4,2560 4,5962 4,8795 5,0572 5,0753 4,8982 4,5306 4,0168 3,4216 2,8061 2,2078 1,6327 1,0649 0,4841 -0,1267 -0,7731 -1,4409 -2,0967 -2,6982 -3,2040 -3,5877 -3,8505 -4,0201 -4,1310 -4,1995 -4,2124 -4,1360 -3,9382 -3,6100 -3,1701 -2,6510 -2,0869 -1,5115 -0,9631 -0,4836 -0,1032 0,1801 0,4016 0,6078 0,8285 1,0604 1,2694 1,4049 1,4182 1,2771 0,9727 0,5205 -0,0377 -0,6356 -1,2004 -1,6819 -2,0646 -2,3559 -2,5696 -2,7230 -2,8398 -2,9440 -3,0432 -3,1199 -3,1395 -3,0723 -2,9066 -2,6473 -2,3128 -1,9311 -1,5281 -1,1151 -0,6880 -0,2326 0,2683 0,8250 1,4278 2,0459 2,6441 3,2059 3,7390 4,2592 4,7730 5,2707 5,7321 6,1377 6,4689 6,6990 6,7944 6,7290 6,4963 6,1105 5,6044 5,0289 4,4471 3,9163 3,4625 3,0678 2,6839 2,2611 1,7748 1,2341 0,6766 0,1550 -0,2755 -0,5684 -0,7024 -0,6954 -0,5990 -0,4719 -0,3563 -0,2742 -0,2353 -0,2412 -0,2817 -0,3361 -0,3855 -0,4255 -0,4646 -0,5142 -0,5825 -0,6740 -0,7834 -0,8869 -0,9430 -0,9133 -0,7855 -0,5762 -0,3109 -0,0059 0,3395 0,7424 1,2315 1,8411 2,6093 3,5688 4,7290 6,0560 7,4765 8,9045 10,2715 11,5433 12,7128 13,7751 14,7115 15,4947 16,0950 16,4814 16,6302 16,5375 16,2249 15,7429 15,1671 14,5850 14,0770 13,6946 13,4463 13,3076 13,2488 13,2532 13,3171 13,4493 13,6731 14,0197 14,5112 15,1414 15,8647 16,6054 17,2794 17,8182 18,1917 18,4184 18,5485 18,6350 18,7158 18,8075 18,9088 19,0077 19,0890 19,1355 19,1337 19,0844 19,0082 18,9326 18,8709 18,8057 18,6904 18,4704 18,1069 17,5847 16,9034 16,0696 15,0999 14,0309 12,9249 11,8578 10,8968 10,0773 9,3978 8,8313 8,3466 7,9251 7,5649 7,2702 7,0304 6,8091 6,5495 6,1940 5,7054 5,0806 4,3565 3,6059 2,9224 2,3988 2,1008 2,0456 2,2010 2,5066 2,8964 3,3134 3,7195 4,1041 4,4889 4,9184 5,4393 6,0740 6,8011 7,5578 8,2635 8,8429 9,2365 9,4092 9,3629 9,1395 8,8064 8,4288 8,0486 7,6830 7,3361 7,0093 6,7099 6,4594 6,2913 6,2356 6,3026 6,4746 6,7035 6,9125 7,0155 6,9536 6,7259 6,3902 6,0384 5,7612 5,6196 5,6299 5,7672 5,9824 6,2217 6,4417 6,6228 6,7764 6,9353 7,1277 7,3562 7,5984 7,8247 8,0095 8,1275 8,1459 8,0293 7,7618 7,3633 6,8849 6,3874 5,9201 5,5119 5,1746 4,9133 4,7385 4,6721 4,7409 4,9631 5,3379 5,8444 6,4434 7,0756 7,6655 8,1409 8,4589 8,6213 8,6717 8,6820 8,7302 8,8796 9,1626 9,5759 10,0911 10,6723 11,2801 11,8674 12,3876 12,8082 13,1202 13,3394 13,4969 13,6211 13,7266 13,8148 13,8792 13,9125 13,9183 13,9143 13,9262 13,9815 14,1030 14,3021 14,5725 14,8859 15,1928 15,4358 15,5719 15,5865 15,4932 15,3232 15,1115 14,8851 14,6589 14,4352 14,2061 13,9680 13,7379 13,5498 13,4309 13,3816 13,3685 13,3336 13,2199 12,9989 12,6760 12,2747 11,8236 11,3553 10,9040 10,4976 10,1526 9,8754 9,6661 9,5153 9,4009 9,2964 9,1882 9,0805 8,9889 8,9374 8,9571 9,0676 9,2559 9,4771 9,6767 9,8148 9,8782 9,8827 9,8620 9,8506 9,8742 9,9424 10,0439 10,1510 10,2328 10,2666 10,2485 10,1984 10,1542 10,1544 10,2181 10,3388 10,4967 10,6735 10,8564 11,0379 11,2234 11,4364 11,7119 12,0784 12,5417 13,0756 13,6266 14,1307 14,5337 14,8069 14,9531 15,0000 14,9898 14,9622 14,9364 14,9039 14,8347 14,6910 14,4425 14,0788 13,6142 13,0859 12,5418 12,0233 11,5490 11,1077 10,6690 10,2067 9,7189 9,2341 8,8053 8,4895 8,3265 8,3264 8,4672 8,6950 8,9283 9,0786 9,0823 8,9219 8,6216 8,2289 7,7999 7,3857 7,0205 6,7163 6,4675 6,2591 6,0734 5,8935 5,7122 5,5420 5,4088 5,3282 5,2876 5,2521 5,1823 5,0439 4,8103 4,4645 4,0015 3,4292 2,7674 2,0400 1,2672 0,4653 -0,3471 -1,1432 -1,8863 -2,5300 -3,0258 -3,3351 -3,4436 -3,3696 -3,1558 -2,8477 -2,4758 -2,0519 -1,5800 -1,0738 -0,5628 -0,0800 0,3557 0,7391 1,0638 1,3145 1,4737 1,5301 1,4857 1,3622 1,2031 1,0641 1,0008 1,0558 1,2453 1,5541 1,9448 2,3717 2,7922 3,1766 3,5109 3,7928 4,0297 4,2316 4,3991 4,5152 4,5493 4,4656 4,2322 3,8314 3,2741 2,6038 1,8767 1,1405 0,4269 -0,2444 -0,8569 -1,3920 -1,8387 -2,2087 -2,5273 -2,8057 -3,0275 -3,1613 -3,1799 -3,0708 -2,8357 -2,4840 -2,0294 -1,4899 -0,8804 -0,2104 0,5076 1,2525 1,9984 2,7196 3,3890 3,9752 4,4455 4,7829 5,0054 5,1642 5,3190 5,5092 5,7351 5,9572 6,1155 6,1596 6,0674 5,8496 5,5445 5,1977 4,8427 4,4981 4,1737 3,8698 3,5792 3,2994 3,0412 2,8258 2,6733 2,5928 2,5811 2,6264 2,7117 2,8126 2,8947 2,9225 2,8780 2,7702 2,6301 2,5012 2,4319 2,4632 2,6165 2,8910 3,2642 3,6888 4,0964 4,4192 4,6170 4,6878 4,6640 4,6018 4,5573 4,5539 4,5711 4,5617 4,4798 4,3074 4,0691 3,8211 3,6204 3,5004 3,4611 3,4666 3,4500 3,3320 3,0491 2,5739 1,9220 1,1423 0,2988 -0,5457 -1,3436 -2,0755 -2,7612 -3,4578 -4,2379 -5,1529 -6,2003 -7,3200 -8,4206 -9,4163 -10,2558 -10,9345 -11,4877 -11,9622 -12,3857 -12,7539 -13,0339 -13,1760 -13,1332 -12,8808
F3    4,3517 4,3628 4,3363 4,2441 4,0530 3,7445 3,3316 2,8563 2,3710 1,9155 1,5016 1,1130 0,7222 0,3069 -0,1440 -0,6283 -1,1281 -1,6154 -2,0617 -2,4444 -2,7514 -2,9847 -3,1563 -3,2789 -3,3547 -3,3664 -3,2835 -3,0826 -2,7681 -2,3736 -1,9410 -1,5036 -1,0859 -0,7093 -0,3936 -0,1470 0,0427 0,2031 0,3610 0,5275 0,6943 0,8390 0,9341 0,9535 0,8752 0,6827 0,3718 -0,0392 -0,5018 -0,9520 -1,3413 -1,6525 -1,8882 -2,0527 -2,1511 -2,1969 -2,2133 -2,2202 -2,2203 -2,1986 -2,1352 -2,0182 -1,8447 -1,6209 -1,3631 -1,0942 -0,8354 -0,6002 -0,3900 -0,1938 0,0037 0,2129 0,4344 0,6631 0,9002 1,1549 1,4345 1,7354 2,0418 2,3329 2,5912 2,8009 2,9389 2,9783 2,9018 2,7073 2,4023 2,0019 1,5360 1,0516 0,5952 0,1899 -0,1728 -0,5224 -0,8898 -1,2918 -1,7222 -2,1510 -2,5327 -2,8184 -2,9687 -2,9689 -2,8400 -2,6331 -2,4074 -2,2105 -2,0714 -2,0037 -2,0073 -2,0646 -2,1496 -2,2482 -2,3695 -2,5360 -2,7635 -3,0506 -3,3782 -3,7097 -3,9921 -4,1632 -4,1737 -4,0095 -3,6933 -3,2653 -2,7616 -2,2008 -1,5830 -0,8982 -0,1311 0,7392 1,7314 2,8458 4,0556 5,3130 6,5624 7,7539 8,8533 9,8404 10,6955 11,3951 11,9200 12,2589 12,4056 12,3621 12,1420 11,7703 11,2882 10,7547 10,2374 9,7957 9,4628 9,2361 9,0877 8,9887 8,9213 8,8777 8,8641 8,9024 9,0186 9,2249 9,5085 9,8314 10,1468 10,4145 10,6077 10,7220 10,7849 10,8468 10,9555 11,1369 11,3924 11,7055 12,0487 12,3882 12,6850 12,9047 13,0313 13,0740 13,0576 13,0037 12,9104 12,7495 12,4833 12,0825 11,5326 10,8290 9,9727 8,9729 7,8623 6,7079 5,5995 4,6210 3,8225 3,2083 2,7458 2,3879 2,0937 1,8361 1,5973 1,3574 1,0845 0,7359 0,2703 -0,3352 -1,0697 -1,8829 -2,6951 -3,4162 -3,9645 -4,2861 -4,3709 -4,2519 -3,9869 -3,6397 -3,2657 -2,9027 -2,5648 -2,2407 -1,8988 -1,5016 -1,0265 -0,4822 0,0925 0,6448 1,1200 1,4712 1,6707 1,7227 1,6612 1,5340 1,3851 1,2425 1,1181 1,0144 0,9324 0,8777 0,8634 0,9042 1,0062 1,1604 1,3460 1,5293 1,6601 1,6791 1,5463 1,2676 0,8985 0,5228 0,2261 0,0703 0,0766 0,2219 0,4547 0,7215 0,9887 1,2503 1,5205 1,8163 2,1387 2,4654 2,7617 2,9978 3,1576 3,2358 3,2266 3,1223 2,9249 2,6567 2,3581 2,0747 1,8440 1,6881 1,6131 1,6138 1,6842 1,8260 2,0466 2,3494 2,7255 3,1542 3,6041 4,0309 4,3803 4,6054 4,6861 4,6352 4,4940 4,3261 4,2056 4,1976 4,3387 4,6295 5,0467 5,5586 6,1246 6,6926 7,2109 7,6476 7,9993 8,2898 8,5584 8,8369 9,1328 9,4260 9,6790 9,8581 9,9553 9,9923 10,0060 10,0334 10,1006 10,2183 10,3797 10,5565 10,7004 10,7624 10,7174 10,5729 10,3605 10,1211 9,8900 9,6876 9,5187 9,3746 9,2371 9,0954 8,9651 8,8844 8,8876 8,9805 9,1326 9,2869 9,3869 9,4012 9,3255 9,1646 8,9216 8,6048 8,2347 7,8400 7,4546 7,1143 6,8494 6,6700 6,5625 6,5009 6,4634 6,4377 6,4203 6,4184 6,4500 6,5283 6,6430 6,7587 6,8338 6,8420 6,7873 6,7049 6,6428 6,6398 6,7159 6,8709 7,0816 7,3109 7,5222 7,6900 7,8005 7,8504 7,8495 7,8189 7,7790 7,7389 7,7021 7,6734 7,6563 7,6523 7,6720 7,7424 7,8976 8,1600 8,5282 8,9724 9,4380 9,8608 10,1885 10,3938 10,4779 10,4646 10,3931 10,3053 10,2301 10,1736 10,1197 10,0394 9,9037 9,6929 9,4028 9,0499 8,6682 8,2962 7,9598 7,6596 7,3742 7,0779 6,7603 6,4361 6,1426 5,9263 5,8238 5,8469 5,9786 6,1725 6,3565 6,4527 6,4122 6,2368 5,9697 5,6712 5,3988 5,1950 5,0780 5,0431 5,0724 5,1432 5,2281 5,2958 5,3255 5,3210 5,3022 5,2799 5,2426 5,1679 5,0383 4,8475 4,5995 4,3009 3,9521 3,5499 3,0972 2,6032 2,0707 1,4955 0,8796 0,2440 -0,3686 -0,9020 -1,3032 -1,5403 -1,6153 -1,5655 -1,4452 -1,2963 -1,1297 -0,9325 -0,6894 -0,3993 -0,0788 0,2494 0,5672 0,8601 1,1084 1,2861 1,3712 1,3543 1,2423 1,0599 0,8508 0,6703 0,5717 0,5930 0,7409 0,9854 1,2749 1,5575 1,7971 1,9800 2,1121 2,2122 2,3078 2,4261 2,5753 2,7352 2,8648 2,9195 2,8640 2,6802 2,3751 1,9800 1,5359 1,0797 0,6396 0,2340 -0,1248 -0,4273 -0,6727 -0,8793 -1,0750 -1,2744 -1,4669 -1,6251 -1,7163 -1,7086 -1,5759 -1,3024 -0,8876 -0,3459 0,3017 1,0294 1,8024 2,5803 3,3275 4,0192 4,6418 5,1881 5,6490 6,0159 6,2944 6,5099 6,6942 6,8668 7,0234 7,1362 7,1700 7,1018 6,9274 6,6591 6,3229 5,9482 5,5530 5,1434 4,7213 4,2882 3,8475 3,4120 3,0073 2,6652 2,4088 2,2426 2,1545 2,1241 2,1285 2,1421 2,1362 2,0866 1,9841 1,8396 1,6771 1,5255 1,4154 1,3760 1,4302 1,5889 1,8440 2,1605 2,4791 2,7343 2,8786 2,8958 2,8054 2,6631 2,5368 2,4635 2,4249 2,3644 2,2219 1,9675 1,6188 1,2312 0,8693 0,5817 0,3886 0,2754 0,1928 0,0745 -0,1359 -0,4676 -0,9205 -1,4719 -2,0838 -2,7093 -3,3060 -3,8531 -4,3604 -4,8656 -5,4185 -6,0558 -6,7773 -7,5396 -8,2745 -8,9177 -9,4295 -9,8030 -10,0607 -10,2394 -10,3720 -10,4759 -10,5457 -10,5550 -10,4678 -10,2571
F7    2,4838 2,5057 2,4716 2,3830 2,2398 2,0498 1,8302 1,6033 1,3903 1,2014 1,0300 0,8586 0,6749 0,4770 0,2629 0,0225 -0,2573 -0,5824 -0,9435 -1,3122 -1,6504 -1,9263 -2,1187 -2,2132 -2,1972 -2,0576 -1,7860 -1,3925 -0,9184 -0,4298 0,0094 0,3591 0,6049 0,7491 0,8035 0,7881 0,7294 0,6496 0,5545 0,4333 0,2719 0,0644 -0,1819 -0,4513 -0,7314 -1,0233 -1,3361 -1,6714 -2,0089 -2,3119 -2,5525 -2,7255 -2,8361 -2,8842 -2,8700 -2,8108 -2,7396 -2,6814 -2,6337 -2,5722 -2,4741 -2,3316 -2,1467 -1,9291 -1,6985 -1,4812 -1,3041 -1,1891 -1,1465 -1,1694 -1,2365 -1,3239 -1,4170 -1,5110 -1,5969 -1,6550 -1,6660 -1,6228 -1,5351 -1,4264 -1,3248 -1,2572 -1,2500 -1,3259 -1,4919 -1,7353 -2,0322 -2,3588 -2,6865 -2,9789 -3,2079 -3,3736 -3,5028 -3,6302 -3,7828 -3,9732 -4,1946 -4,4189 -4,6019 -4,6939 -4,6587 -4,4949 -4,2435 -3,9699 -3,7333 -3,5658 -3,4767 -3,4722 -3,5636 -3,7510 -4,0109 -4,3125 -4,6403 -4,9930 -5,3692 -5,7624 -6,1637 -6,5525 -6,8837 -7,0939 -7,1322 -6,9888 -6,6884 -6,2615 -5,7261 -5,0910 -4,3694 -3,5836 -2,7523 -1,8797 -0,9638 -0,0099 0,9654 1,9359 2,8703 3,7355 4,5035 5,1577 5,6922 6,1088 6,4126 6,6030 6,6701 6,6086 6,4275 6,1489 5,8062 5,4443 5,1120 4,8524 4,6896 4,6184 4,6091 4,6280 4,6495 4,6577 4,6520 4,6521 4,6885 4,7841 4,9398 5,1308 5,3143 5,4460 5,4958 5,4632 5,3838 5,3122 5,2972 5,3687 5,5352 5,7846 6,0880 6,4053 6,6901 6,8985 7,0038 7,0090 6,9432 6,8354 6,6862 6,4646 6,1353 5,6837 5,1139 4,4334 3,6452 2,7545 1,7823 0,7748 -0,2041 -1,0920 -1,8486 -2,4646 -2,9565 -3,3509 -3,6736 -3,9476 -4,1977 -4,4536 -4,7459 -5,1020 -5,5433 -6,0794 -6,6998 -7,3710 -8,0432 -8,6603 -9,1643 -9,5062 -9,6699 -9,6803 -9,5902 -9,4611 -9,3447 -9,2674 -9,2221 -9,1732 -9,0685 -8,8561 -8,5072 -8,0363 -7,4956 -6,9510 -6,4644 -6,0858 -5,8404 -5,7135 -5,6581 -5,6207 -5,5620 -5,4632 -5,3190 -5,1267 -4,8832 -4,5919 -4,2665 -3,9287 -3,6007 -3,2969 -3,0214 -2,7793 -2,5910 -2,4895 -2,4970 -2,6041 -2,7725 -2,9528 -3,1014 -3,1916 -3,2179 -3,1946 -3,1436 -3,0765 -2,9873 -2,8590 -2,6769 -2,4414 -2,1755 -1,9194 -1,7108 -1,5706 -1,4993 -1,4833 -1,5064 -1,5560 -1,6203 -1,6861 -1,7424 -1,7797 -1,7896 -1,7653 -1,7036 -1,6042 -1,4677 -1,2936 -1,0843 -0,8503 -0,6107 -0,3885 -0,2065 -0,0865 -0,0492 -0,1052 -0,2486 -0,4616 -0,7213 -0,9975 -1,2536 -1,4528 -1,5684 -1,5857 -1,4899 -1,2603 -0,8907 -0,4146 0,1018 0,5960 1,0421 1,4565 1,8725 2,3061 2,7433 3,1509 3,4955 3,7592 3,9475 4,0828 4,1886 4,2780 4,3507 4,4021 4,4322 4,4425 4,4278 4,3787 4,2912 4,1709 4,0304 3,8865 3,7583 3,6659 3,6231 3,6249 3,6439 3,6493 3,6315 3,6047 3,5877 3,5870 3,5889 3,5640 3,4905 3,3752 3,2454 3,1228 3,0092 2,8942 2,7672 2,6220 2,4603 2,2972 2,1561 2,0510 1,9748 1,9035 1,8119 1,6877 1,5391 1,3951 1,2945 1,2615 1,2865 1,3284 1,3359 1,2728 1,1353 0,9535 0,7740 0,6370 0,5683 0,5801 0,6699 0,8221 1,0151 1,2256 1,4276 1,5938 1,7070 1,7671 1,7815 1,7538 1,6905 1,6079 1,5254 1,4569 1,4191 1,4422 1,5653 1,8187 2,2077 2,7022 3,2394 3,7463 4,1652 4,4660 4,6406 4,6992 4,6709 4,5946 4,5027 4,4117 4,3240 4,2331 4,1287 4,0003 3,8410 3,6544 3,4551 3,2626 3,0922 2,9467 2,8161 2,6850 2,5429 2,3911 2,2469 2,1362 2,0770 2,0685 2,0945 2,1296 2,1425 2,1006 1,9856 1,8056 1,5919 1,3852 1,2223 1,1264 1,0995 1,1241 1,1772 1,2435 1,3150 1,3842 1,4479 1,5181 1,6138 1,7360 1,8605 1,9543 1,9924 1,9605 1,8546 1,6782 1,4392 1,1497 0,8278 0,4921 0,1503 -0,2042 -0,5820 -0,9815 -1,3804 -1,7413 -2,0264 -2,2147 -2,3133 -2,3569 -2,3894 -2,4369 -2,4925 -2,5246 -2,4994 -2,4054 -2,2583 -2,0859 -1,9068 -1,7268 -1,5510 -1,3941 -1,2774 -1,2214 -1,2350 -1,3046 -1,3942 -1,4586 -1,4581 -1,3700 -1,2030 -0,9972 -0,8040 -0,6606 -0,5780 -0,5447 -0,5389 -0,5389 -0,5254 -0,4873 -0,4308 -0,3776 -0,3492 -0,3566 -0,4040 -0,4944 -0,6245 -0,7834 -0,9646 -1,1707 -1,4047 -1,6627 -1,9339 -2,1997 -2,4424 -2,6593 -2,8622 -3,0596 -3,2475 -3,4142 -3,5428 -3,6078 -3,5768 -3,4213 -3,1301 -2,7175 -2,2157 -1,6650 -1,1052 -0,5670 -0,0645 0,4051 0,8564 1,3058 1,7586 2,2096 2,6530 3,0866 3,5045 3,8933 4,2350 4,5104 4,7059 4,8197 4,8559 4,8160 4,7020 4,5195 4,2718 3,9584 3,5792 3,1395 2,6563 2,1664 1,7222 1,3705 1,1292 0,9808 0,8894 0,8259 0,7788 0,7442 0,7088 0,6464 0,5339 0,3705 0,1813 0,0070 -0,1098 -0,1406 -0,0782 0,0726 0,3054 0,6036 0,9284 1,2280 1,4610 1,6098 1,6827 1,7149 1,7545 1,8316 1,9406 2,0482 2,1099 2,0916 1,9900 1,8356 1,6728 1,5385 1,4466 1,3780 1,2816 1,0940 0,7677 0,2927 -0,3001 -0,9557 -1,6155 -2,2287 -2,7588 -3,1972 -3,5721 -3,9412 -4,3679 -4,8915 -5,5027 -6,1418 -6,7256 -7,1892 -7,5138 -7,7267 -7,8798 -8,0210 -8,1742 -8,3359 -8,4810 -8,5719 -8,5734 -8,4709
