Fp1   -1,4056 -1,4967 -1,7868 -2,2232 -2,7589 -3,3898 -4,0983 -4,7867 -5,2628 -5,2895 -4,7123 -3,6050 -2,2871 -1,1589 -0,4962 -0,3654 -0,6738 -1,2680 -1,9956 -2,7047 -3,2228 -3,3753 -3,0439 -2,2077 -0,9417 0,6250 2,3782 4,2565 6,2075 8,1024 9,6796 10,5647 10,3987 9,0362 6,6730 3,7723 0,8632 -1,6234 -3,4224 -4,4238 -4,6121 -4,0185 -2,7391 -0,9982 0,8264 2,2990 3,0979 3,1426 2,6148 1,8562 1,1851 0,7557 0,5342 0,3802 0,1823 -0,0751 -0,3707 -0,7336 -1,2412 -1,9069 -2,5648 -2,9043 -2,6634 -1,8051 -0,5382 0,7861 1,8250 2,3901 2,5210 2,4398 2,4065 2,5629 2,8970 3,3489 3,8940 4,5014 5,0579 5,3836 5,3503 4,9913 4,4758 3,9486 3,3891 2,6416 1,5919 0,3021 -1,0274 -2,2070 -3,1521 -3,8419 -4,2386 -4,2918 -4,0025 -3,4618 -2,8310 -2,2535 -1,7468 -1,2090 -0,5669 0,1080 0,6496 0,9189 0,8429 0,3836 -0,4675 -1,6544 -3,0479 -4,4912 -5,8405 -6,9574 -7,7092 -8,0261 -7,9506 -7,5954 -7,0608 -6,4101 -5,6966 -4,9857 -4,3824 -4,0592 -4,2351 -5,0914 -6,6504 -8,6959 -10,8174 -12,5337 -13,4187 -13,2248 -11,9767 -9,9503 -7,5236 -5,0213 -2,6778 -0,6753 0,8320 1,7079 1,8461 1,2442 0,0931 -1,2194 -2,2216 -2,5321 -2,0139 -0,8218 0,6979 2,1833 3,3634 4,0544 4,1392 3,6174 2,6895 1,7347 1,1162 0,9719 1,2096 1,6686 2,2368 2,8396 3,3805 3,7331 3,8410 3,8396 4,0268 4,6646 5,7827 7,1437 8,3816 9,2017 9,5283 9,5197 9,4241 9,4152 9,5756 9,9760 10,6698 11,5886 12,4822 13,0110 12,9417 12,2694 11,1648 9,8376 8,4661 7,2373 6,3987 6,1885 6,6899 7,7615 9,0824 10,2715 11,0478 11,3345 11,2290 10,9094 10,5701 10,3764 10,4122 10,6507 10,9785 11,2511 11,3352 11,1250 10,5550 9,6162 8,3695 6,9473 5,4926 4,0879 2,8145 1,8596 1,4509 1,6794 2,4381 3,5050 4,6390 5,6146 6,2081 6,1990 5,4536 4,0422 2,2560 0,4942 -0,8798 -1,6514 -1,7987 -1,4428 -0,7497 0,1494 1,1968 2,3779 3,6378 4,8294 5,7385 6,1465 5,8982 4,9613 3,4214 1,3913 -1,0401 -3,7278 -6,3655 -8,5125 -9,7645 -9,9372 -9,1265 -7,6366 -5,8621 -4,1889 -2,9100 -2,1308 -1,7036 -1,3182 -0,7402 0,0206 0,7353 1,0921 0,8384 -0,1179 -1,6611 -3,4740 -5,1277 -6,2454 -6,6512 -6,4093 -5,7372 -4,8577 -3,8903 -2,8423 -1,6711 -0,3736 0,9399 2,0683 2,8420 3,2070 3,1893 2,8294 2,1776 1,3128 0,3383 -0,6194 -1,4013 -1,8484 -1,8844 -1,5452 -0,8989 0,0289 1,2290 2,6167 3,9966 5,1472 5,9432 6,3710 6,4485 6,1938 5,6826 5,0791 4,5696 4,2910 4,3289 4,7228 5,4121 6,1984 6,8055 6,9845 6,5906 5,6197 4,2064 2,5980 1,1230 0,1377 -0,0812 0,5269 1,7503 3,2178 4,6119 5,7962 6,7798 7,6001 8,2335 8,5710 8,4650 7,8314 6,7394 5,4001 4,0431 2,7902 1,6516 0,6424 -0,1335 -0,5332 -0,4730 0,0260 0,8563 1,8837 2,9909 4,0794 5,0764 5,9444 6,6576 7,1615 7,3576 7,1386 6,4746 5,5016 4,5092 3,7839 3,4423 3,4298 3,6718 4,2137 5,2212 6,8292 8,9569 11,2787 13,3828 14,9555 15,8498 16,0466 15,5890 14,5298 12,9110 10,8197 8,4828 6,2943 4,7134 4,0622 4,3743 5,4380 6,9709 8,7500 10,6611 12,6898 14,8223 16,9082 18,6231 19,5831 19,5493 18,5816 17,0013 15,1924 13,4291 11,8610 10,6048 9,8261 9,7286 10,4369 11,8685 13,7165 15,5654 17,0582 18,0205 18,4800 18,5874 18,4936 18,2554 17,8254 17,1283 16,1761 15,1318 14,2572 13,7810 13,7950 14,2354 14,9212 15,6071 16,0246 15,9269 15,1674 13,7930 12,0716 10,3927 9,1109 8,4598 8,5527 9,3779 10,7658 12,4201 14,0373 15,4025 16,3893 16,9260 17,0044 16,7137 16,2357 15,7645 15,3819 15,0122 14,5360 13,9221 13,2241 12,5191 11,8821 11,3568 10,8988 10,3706 9,6382 8,7119 7,7948 7,1903 7,1472 7,7604 8,9620 10,5633 12,3381 14,1141 15,7666 17,1432 18,0722 18,4644 18,3631 17,8808 17,1135 16,1269 15,0110 13,9201 13,0411 12,5377 12,5122 12,9778 13,8404 14,9105 15,9545 16,7568 17,1678 17,1403 16,7560 16,2235 15,8150 15,7596 16,1744 17,0665 18,3537 19,8624 21,3357 22,4871 23,0712 22,9246 21,9761 20,2792 18,0853 15,8591 14,1227 13,1816 12,9550 13,0569 13,0427 12,6459 11,8922 11,0453 10,4252 10,2286 10,4407 10,8504 11,1746 11,2216 10,9555 10,4459 9,8072 9,1763 8,7220 8,6288 9,0054 9,8048 10,8634 12,0030 13,0756 13,9505 14,5318 14,8076 14,8627 14,8346 14,8331 14,8730 14,8903 14,8327 14,7330 14,7090 14,8876 15,3048 15,8659 16,4095 16,8254 17,1122 17,3172 17,4391 17,4191 17,2418 17,0295 16,9949 17,2837 17,8489 18,4473 18,7539 18,5372 17,8073 16,8171 15,8852 15,1962 14,7439 14,4202 14,1325 13,8542 13,6022 13,3983 13,2527 13,1631 13,1118 13,0725 13,0384 13,0494 13,1653 13,3758 13,5619 13,6033 13,5041 13,3824 13,3635 13,4779 13,6273 13,6418 13,3888 12,8457 12,1007 11,2924 10,5349 9,8749 9,2923 8,7394 8,2092 7,7777 7,5707 7,6718 8,0597 8,6282 9,2287 9,6797 9,7769 9,3408 8,2914 6,7128 4,8582 3,0753 1,6939 0,9510 0,9791 1,7933 3,2384 4,9677 6,5421 7,6115 8,0368 7,8551 7,1498 5,9988 4,5397 3,0029 1,6304 0,5755 -0,1112 -0,4315
Fz    -1,5206 -1,5725 -1,5236 -1,3567 -1,1074 -0,8518 -0,6660 -0,5854 -0,5913 -0,6310 -0,6539 -0,6359 -0,5909 -0,5647 -0,6115 -0,7615 -1,0036 -1,2892 -1,5460 -1,6947 -1,6693 -1,4346 -0,9891 -0,3541 0,4282 1,2931 2,1690 2,9989 3,7320 4,2926 4,5742 4,4736 3,9416 3,0218 1,8534 0,6281 -0,4670 -1,2898 -1,7623 -1,8748 -1,6789 -1,2743 -0,7826 -0,3126 0,0563 0,2733 0,3138 0,1787 -0,1031 -0,4776 -0,8886 -1,2975 -1,6800 -2,0094 -2,2457 -2,3472 -2,2966 -2,1170 -1,8572 -1,5589 -1,2355 -0,8822 -0,5054 -0,1382 0,1684 0,3685 0,4415 0,3990 0,2724 0,0972 -0,0929 -0,2702 -0,4152 -0,5068 -0,5114 -0,3931 -0,1403 0,2201 0,6300 1,0217 1,3307 1,4884 1,4185 1,0655 0,4391 -0,3739 -1,2454 -2,0599 -2,7378 -3,2211 -3,4636 -3,4474 -3,2018 -2,7935 -2,2926 -1,7440 -1,1618 -0,5540 0,0340 0,5038 0,7416 0,6721 0,2812 -0,3834 -1,2297 -2,1584 -3,1045 -4,0529 -5,0073 -5,9318 -6,7254 -7,2668 -7,4949 -7,4452 -7,2108 -6,8832 -6,5220 -6,1541 -5,7915 -5,4611 -5,2229 -5,1500 -5,2744 -5,5491 -5,8724 -6,1428 -6,2888 -6,2778 -6,1206 -5,8564 -5,5202 -5,1203 -4,6522 -4,1256 -3,5775 -3,0687 -2,6655 -2,4077 -2,2763 -2,1841 -2,0071 -1,6441 -1,0700 -0,3466 0,4089 1,0759 1,5706 1,8540 1,9230 1,8096 1,5909 1,3805 1,2742 1,2901 1,3822 1,5118 1,6753 1,8673 2,0504 2,1719 2,2100 2,2108 2,2743 2,4973 2,9183 3,4942 4,1187 4,6791 5,1237 5,4874 5,8461 6,2424 6,6643 7,0874 7,5002 7,8797 8,1699 8,3025 8,2396 8,0009 7,6522 7,2641 6,8852 6,5581 6,3401 6,2835 6,3963 6,6298 6,8948 7,0940 7,1637 7,1001 6,9426 6,7370 6,5269 6,3588 6,2633 6,2216 6,1632 6,0078 5,7129 5,2839 4,7508 4,1462 3,5048 2,8791 2,3305 1,8975 1,5888 1,4110 1,3733 1,4599 1,6222 1,8028 1,9612 2,0795 2,1415 2,1101 1,9418 1,6320 1,2442 0,8924 0,6875 0,6851 0,8688 1,1712 1,5067 1,7979 1,9953 2,0797 2,0429 1,8726 1,5625 1,1308 0,6235 0,0991 -0,3957 -0,8516 -1,2936 -1,7352 -2,1390 -2,4287 -2,5381 -2,4557 -2,2365 -1,9715 -1,7426 -1,5975 -1,5509 -1,5931 -1,6889 -1,7823 -1,8324 -1,8524 -1,9088 -2,0802 -2,4117 -2,8870 -3,4256 -3,9067 -4,2126 -4,2713 -4,0784 -3,6958 -3,2257 -2,7657 -2,3696 -2,0394 -1,7528 -1,5050 -1,3261 -1,2459 -1,2460 -1,2659 -1,2520 -1,1838 -1,0494 -0,8207 -0,4681 0,0107 0,5799 1,1744 1,7183 2,1485 2,4389 2,6036 2,6750 2,6788 2,6223 2,5063 2,3466 2,1800 2,0500 1,9953 2,0521 2,2558 2,6273 3,1593 3,8253 4,5900 5,3936 6,1314 6,6698 6,8972 6,7683 6,3195 5,6510 4,8805 4,1077 3,4147 2,8778 2,5543 2,4528 2,5335 2,7446 3,0523 3,4331 3,8534 4,2712 4,6534 4,9842 5,2654 5,5142 5,7620 6,0398 6,3441 6,6168 6,7771 6,7764 6,6258 6,3885 6,1493 5,9732 5,8782 5,8397 5,8215 5,8046 5,7933 5,8065 5,8629 5,9633 6,0833 6,1869 6,2502 6,2816 6,3150 6,3747 6,4550 6,5415 6,6484 6,8244 7,1170 7,5235 7,9729 8,3582 8,5957 8,6617 8,5852 8,4124 8,1683 7,8420 7,4121 6,8920 6,3496 5,8860 5,5921 5,5179 5,6714 6,0303 6,5461 7,1554 7,8033 8,4423 9,0023 9,3839 9,4993 9,3272 8,9363 8,4597 8,0355 7,7481 7,6044 7,5597 7,5716 7,6303 7,7421 7,9017 8,0880 8,2792 8,4656 8,6472 8,8182 8,9602 9,0550 9,0913 9,0494 8,8945 8,6090 8,2332 7,8521 7,5363 7,3046 7,1368 7,0045 6,8837 6,7539 6,5891 6,3538 6,0317 5,6676 5,3629 5,2151 5,2650 5,4930 5,8426 6,2478 6,6578 7,0434 7,3791 7,6277 7,7529 7,7508 7,6671 7,5799 7,5649 7,6593 7,8400 8,0321 8,1394 8,0719 7,7716 7,2385 6,5306 5,7258 4,8838 4,0495 3,2822 2,6646 2,2831 2,2045 2,4614 3,0354 3,8454 4,7609 5,6354 6,3427 6,8064 7,0118 6,9908 6,7929 6,4665 6,0477 5,5517 4,9767 4,3177 3,5859 2,8284 2,1348 1,6169 1,3663 1,4146 1,7204 2,1827 2,6717 3,0816 3,3826 3,6258 3,8896 4,2118 4,5710 4,9231 5,2393 5,5079 5,7106 5,8042 5,7286 5,4333 4,8975 4,1428 3,2510 2,3662 1,6448 1,1772 0,9456 0,8410 0,7140 0,4424 -0,0149 -0,6056 -1,2148 -1,7202 -2,0478 -2,2012 -2,2471 -2,2729 -2,3437 -2,4764 -2,6416 -2,7915 -2,8860 -2,9073 -2,8658 -2,7876 -2,6917 -2,5857 -2,4758 -2,3709 -2,2765 -2,1844 -2,0688 -1,8992 -1,6656 -1,3934 -1,1299 -0,9174 -0,7688 -0,6508 -0,4910 -0,2227 0,1791 0,7061 1,3450 2,0766 2,8497 3,5719 4,1475 4,5442 4,8209 5,0749 5,3656 5,6816 5,9552 6,0962 6,0335 5,7516 5,2973 4,7509 4,1849 3,6407 3,1367 2,6927 2,3365 2,0930 1,9789 2,0078 2,1872 2,5019 2,9052 3,3363 3,7519 4,1379 4,4879 4,7837 5,0068 5,1542 5,2308 5,2351 5,1595 4,9988 4,7645 4,4929 4,2334 4,0229 3,8679 3,7405 3,5899 3,3605 3,0208 2,5942 2,1556 1,7951 1,5776 1,5226 1,6081 1,7844 1,9816 2,1173 2,1191 1,9562 1,6579 1,2989 0,9523 0,6488 0,3837 0,1568 -0,0069 -0,0752 -0,0432 0,0492 0,1402 0,1848 0,1632 0,0581 -0,1515 -0,4643 -0,8331 -1,1796 -1,4391 -1,5916 -1,6521
F3    -2,5805 -2,1559 -1,7158 -1,2435 -0,7491 -0,2871 0,0701 0,2670 0,2863 0,1561 -0,0610 -0,2950 -0,5038 -0,6941 -0,9184 -1,2389 -1,6680 -2,1326 -2,4958 -2,6167 -2,4091 -1,8664 -1,0374 0,0110 1,1940 2,3941 3,4825 4,3670 5,0016 5,3474 5,3423 4,9114 4,0112 2,6921 1,1292 -0,4215 -1,7133 -2,5775 -2,9432 -2,8306 -2,3401 -1,6334 -0,8841 -0,2183 0,2965 0,6177 0,6989 0,5004 0,0377 -0,5834 -1,2001 -1,6714 -1,9325 -1,9985 -1,9295 -1,7920 -1,6420 -1,5204 -1,4408 -1,3750 -1,2541 -1,0069 -0,6194 -0,1630 0,2358 0,4551 0,4291 0,1618 -0,2861 -0,8024 -1,2333 -1,4396 -1,3610 -1,0254 -0,5171 0,0471 0,5419 0,8732 1,0107 0,9825 0,8357 0,5964 0,2594 -0,1876 -0,7333 -1,3361 -1,9397 -2,4926 -2,9643 -3,3376 -3,5827 -3,6547 -3,5287 -3,2253 -2,7909 -2,2624 -1,6549 -0,9832 -0,3058 0,2574 0,5739 0,5644 0,2190 -0,4258 -1,3087 -2,3584 -3,5050 -4,6838 -5,8197 -6,7994 -7,4857 -7,7900 -7,7299 -7,4086 -6,9458 -6,4313 -5,9204 -5,4470 -5,0417 -4,7564 -4,6712 -4,8602 -5,3258 -5,9624 -6,6088 -7,1360 -7,4856 -7,6546 -7,6608 -7,5105 -7,1809 -6,6323 -5,8565 -4,9160 -3,9368 -3,0655 -2,4177 -2,0325 -1,8577 -1,7715 -1,6339 -1,3501 -0,9127 -0,3977 0,0762 0,3988 0,5074 0,3955 0,1033 -0,2815 -0,6198 -0,7555 -0,6028 -0,2144 0,2644 0,7162 1,1110 1,4618 1,7624 1,9736 2,0620 2,0541 2,0498 2,1752 2,5075 3,0284 3,6329 4,1900 4,6181 4,9195 5,1439 5,3267 5,4742 5,5948 5,7122 5,8414 5,9680 6,0590 6,0963 6,0911 6,0663 6,0325 5,9850 5,9296 5,9134 6,0137 6,2747 6,6495 7,0133 7,2347 7,2410 7,0372 6,6861 6,2809 5,9288 5,7193 5,6708 5,7011 5,6735 5,4877 5,1337 4,6684 4,1676 3,6950 3,2866 2,9522 2,6895 2,4901 2,3425 2,2421 2,1825 2,1350 2,0662 1,9817 1,9374 1,9946 2,1562 2,3418 2,4374 2,3779 2,1887 1,9585 1,7795 1,6917 1,6667 1,6377 1,5423 1,3441 1,0395 0,6527 0,2227 -0,2119 -0,6297 -1,0334 -1,4359 -1,8287 -2,1699 -2,4176 -2,5691 -2,6470 -2,6559 -2,5644 -2,3272 -1,9350 -1,4616 -1,0604 -0,8985 -1,0823 -1,6178 -2,3992 -3,2134 -3,8025 -3,9978 -3,8237 -3,4706 -3,1674 -3,0593 -3,1678 -3,4173 -3,6738 -3,7833 -3,6337 -3,2223 -2,6700 -2,1565 -1,8192 -1,6853 -1,6786 -1,6905 -1,6667 -1,6447 -1,7028 -1,8687 -2,0907 -2,2913 -2,4159 -2,4177 -2,2372 -1,8336 -1,2242 -0,4791 0,3050 1,0178 1,5642 1,9152 2,1206 2,2576 2,3752 2,4763 2,5357 2,5306 2,4565 2,3225 2,1517 1,9900 1,8990 1,9370 2,1512 2,5862 3,2710 4,1657 5,1157 5,8891 6,2831 6,2182 5,7580 5,0530 4,2584 3,4890 2,8277 2,3453 2,0944 2,0783 2,2382 2,4926 2,7933 3,1352 3,5261 3,9674 4,4518 4,9527 5,4215 5,8092 6,0919 6,2754 6,3693 6,3603 6,2199 5,9416 5,5616 5,1412 4,7344 4,3668 4,0322 3,7044 3,3677 3,0401 2,7669 2,6064 2,6142 2,8136 3,1721 3,6100 4,0407 4,4148 4,7334 5,0223 5,3040 5,5904 5,8797 6,1451 6,3307 6,3737 6,2500 6,0146 5,7904 5,6947 5,7660 5,9467 6,1139 6,1304 5,9035 5,4253 4,7705 4,0680 3,4621 3,0761 2,9922 3,2440 3,8087 4,6206 5,6016 6,6523 7,6184 8,3089 8,5794 8,4069 7,9053 7,2801 6,7384 6,3999 6,2697 6,2832 6,3742 6,5033 6,6364 6,7298 6,7504 6,6997 6,6137 6,5389 6,5054 6,5220 6,5953 6,7402 6,9516 7,1663 7,2816 7,2260 6,9978 6,6474 6,2400 5,8294 5,4541 5,1483 4,9429 4,8516 4,8567 4,9286 5,0698 5,3185 5,6957 6,1656 6,6532 7,0841 7,4066 7,6011 7,6778 7,6622 7,5699 7,3979 7,1491 6,8627 6,6083 6,4565 6,4500 6,5797 6,7868 6,9905 7,1097 7,0712 6,8272 6,3708 5,7230 4,9144 3,9969 3,0728 2,2903 1,7940 1,6696 1,9180 2,4649 3,1911 3,9697 4,7021 5,3415 5,8901 6,3661 6,7632 7,0311 7,0894 6,8563 6,2767 5,3447 4,1199 2,7299 1,3612 0,2348 -0,4456 -0,5611 -0,1239 0,7309 1,7949 2,8474 3,7234 4,3682 4,8371 5,2203 5,5526 5,8014 5,9313 5,9458 5,8704 5,7218 5,4948 5,1629 4,6825 4,0080 3,1328 2,1323 1,1614 0,3907 -0,0742 -0,2320 -0,1710 -0,0297 0,0547 -0,0018 -0,2023 -0,4753 -0,7142 -0,8390 -0,8397 -0,7691 -0,7161 -0,7811 -1,0378 -1,5012 -2,1304 -2,8443 -3,5374 -4,1026 -4,4450 -4,4891 -4,2086 -3,6529 -2,9329 -2,1678 -1,4402 -0,7910 -0,2395 0,1975 0,5007 0,6592 0,6849 0,6181 0,5221 0,4624 0,4682 0,5166 0,5700 0,6351 0,7793 1,0850 1,5870 2,2462 2,9778 3,6970 4,3331 4,8292 5,1495 5,2770 5,1944 4,8862 4,3668 3,7013 2,9941 2,3457 1,8037 1,3598 0,9944 0,7061 0,5042 0,3904 0,3525 0,3780 0,4781 0,6937 1,0749 1,6563 2,4277 3,3014 4,1192 4,7246 5,0301 5,0129 4,6804 4,0645 3,2418 2,3403 1,5144 0,9070 0,6181 0,6760 1,0187 1,5107 1,9859 2,2989 2,3661 2,1810 1,8126 1,3853 1,0376 0,8715 0,9104 1,0787 1,2298 1,2198 0,9819 0,5554 0,0604 -0,3592 -0,5981 -0,6321 -0,5164 -0,3419 -0,1907 -0,1230 -0,1761 -0,3433 -0,5606 -0,7453 -0,8643 -0,9533 -1,0676 -1,2250 -1,4006 -1,5638 -1,7162 -1,8858
F7    -2,4554 -2,1819 -1,8042 -1,3752 -0,9840 -0,7202 -0,6269 -0,6821 -0,8172 -0,9575 -1,0575 -1,1125 -1,1436 -1,1712 -1,2047 -1,2427 -1,2658 -1,2303 -1,0811 -0,7742 -0,3039 0,2778 0,8856 1,4612 1,9989 2,5046 2,9545 3,2966 3,4738 3,4462 3,2020 2,7493 2,1093 1,3287 0,4869 -0,3177 -0,9812 -1,4100 -1,5550 -1,4348 -1,1231 -0,7172 -0,3089 0,0358 0,2807 0,4128 0,4338 0,3602 0,2323 0,1089 0,0393 0,0419 0,1049 0,2016 0,3003 0,3643 0,3496 0,2161 -0,0513 -0,4187 -0,7917 -1,0400 -1,0638 -0,8478 -0,4584 0,0010 0,4292 0,7496 0,9233 0,9569 0,8977 0,8089 0,7378 0,7059 0,7166 0,7589 0,8088 0,8447 0,8585 0,8493 0,8116 0,7271 0,5643 0,2993 -0,0532 -0,4335 -0,7658 -0,9908 -1,0804 -1,0360 -0,8806 -0,6522 -0,3983 -0,1704 -0,0144 0,0417 -0,0007 -0,1122 -0,2536 -0,3993 -0,5484 -0,7191 -0,9281 -1,1715 -1,4243 -1,6614 -1,8853 -2,1362 -2,4651 -2,8854 -3,3473 -3,7639 -4,0637 -4,2135 -4,2070 -4,0640 -3,8377 -3,5997 -3,4131 -3,3277 -3,3951 -3,6616 -4,1201 -4,6741 -5,1770 -5,5052 -5,5964 -5,4516 -5,1183 -4,6570 -4,1143 -3,5219 -2,9146 -2,3306 -1,7939 -1,3147 -0,9082 -0,5975 -0,3895 -0,2537 -0,1315 0,0320 0,2634 0,5574 0,8861 1,2121 1,5037 1,7386 1,8961 1,9602 1,9379 1,8680 1,8004 1,7640 1,7673 1,8278 1,9740 2,2095 2,4979 2,7938 3,0810 3,3741 3,6874 4,0177 4,3476 4,6480 4,8868 5,0494 5,1446 5,1934 5,2207 5,2506 5,3084 5,4229 5,6043 5,8109 5,9560 5,9590 5,7963 5,5211 5,2358 5,0280 4,9360 4,9761 5,1766 5,5608 6,1064 6,7340 7,3305 7,7916 8,0645 8,1618 8,1265 7,9912 7,7857 7,5676 7,4051 7,3299 7,3229 7,3333 7,2980 7,1565 6,8720 6,4492 5,9347 5,3999 4,9107 4,5044 4,1977 4,0091 3,9536 4,0130 4,1235 4,1963 4,1630 4,0202 3,8191 3,5951 3,3298 2,9944 2,6089 2,2416 1,9568 1,7691 1,6532 1,5865 1,5600 1,5577 1,5452 1,4810 1,3278 1,0604 0,6718 0,1779 -0,3818 -0,9508 -1,4768 -1,9313 -2,3024 -2,5708 -2,7063 -2,6853 -2,5091 -2,2210 -1,9114 -1,6799 -1,5819 -1,6227 -1,7853 -2,0374 -2,3126 -2,5133 -2,5529 -2,4043 -2,1127 -1,7706 -1,4779 -1,3068 -1,2817 -1,3703 -1,4955 -1,5756 -1,5720 -1,5035 -1,4232 -1,3822 -1,3986 -1,4393 -1,4324 -1,3148 -1,0769 -0,7541 -0,3864 -0,0035 0,3567 0,6473 0,8462 0,9779 1,0954 1,2436 1,4310 1,6145 1,7166 1,6805 1,5257 1,3447 1,2428 1,2827 1,4688 1,7668 2,1292 2,5041 2,8326 3,0664 3,1987 3,2681 3,3174 3,3555 3,3668 3,3436 3,2968 3,2391 3,1704 3,0861 2,9986 2,9439 2,9571 3,0389 3,1551 3,2721 3,3838 3,4971 3,5976 3,6495 3,6352 3,5805 3,5293 3,5052 3,5139 3,5615 3,6424 3,7195 3,7381 3,6600 3,4819 3,2224 2,8982 2,5267 2,1412 1,7838 1,4852 1,2624 1,1241 1,0716 1,1002 1,2077 1,3949 1,6537 1,9594 2,2779 2,5745 2,8191 2,9965 3,1160 3,2071 3,2951 3,3684 3,3774 3,2832 3,1114 2,9484 2,8835 2,9454 3,0880 3,2338 3,3240 3,3338 3,2596 3,1023 2,8496 2,4697 1,9459 1,3277 0,7379 0,3199 0,1695 0,3057 0,6869 1,2379 1,8659 2,4806 3,0156 3,4269 3,6786 3,7471 3,6367 3,3845 3,0509 2,7092 2,4321 2,2700 2,2329 2,2934 2,4136 2,5691 2,7486 2,9411 3,1304 3,2997 3,4358 3,5282 3,5714 3,5773 3,5812 3,6274 3,7354 3,8754 3,9838 4,0105 3,9469 3,8155 3,6549 3,5149 3,4380 3,4252 3,4303 3,3910 3,2632 3,0408 2,7669 2,5233 2,3901 2,4102 2,5865 2,8913 3,2734 3,6759 4,0553 4,3846 4,6488 4,8341 4,9186 4,8888 4,7716 4,6334 4,5345 4,4859 4,4515 4,3795 4,2265 3,9739 3,6404 3,2712 2,9001 2,5242 2,1283 1,7332 1,4058 1,2223 1,2338 1,4560 1,8646 2,3925 2,9454 3,4383 3,8224 4,0812 4,2108 4,2070 4,0687 3,8077 3,4504 3,0262 2,5541 2,0467 1,5344 1,0815 0,7618 0,6254 0,6888 0,9351 1,3180 1,7682 2,2051 2,5573 2,7909 2,9232 3,0078 3,1015 3,2410 3,4245 3,6046 3,7150 3,7186 3,6282 3,4779 3,2746 2,9819 2,5556 2,0030 1,4101 0,8985 0,5447 0,3432 0,2281 0,1039 -0,1231 -0,5013 -1,0059 -1,5585 -2,0720 -2,4879 -2,7946 -3,0209 -3,2070 -3,3769 -3,5311 -3,6531 -3,7222 -3,7178 -3,6192 -3,4193 -3,1334 -2,7926 -2,4345 -2,0997 -1,8269 -1,6472 -1,5701 -1,5654 -1,5682 -1,5148 -1,3811 -1,1823 -0,9417 -0,6697 -0,3670 -0,0441 0,2629 0,5012 0,6373 0,6891 0,7170 0,7781 0,8945 1,0580 1,2565 1,4891 1,7524 2,0228 2,2564 2,3978 2,3929 2,2124 1,8728 1,4296 0,9496 0,4862 0,0689 -0,2974 -0,6141 -0,8664 -1,0289 -1,0929 -1,0755 -1,0021 -0,8900 -0,7486 -0,5726 -0,3303 0,0190 0,4738 0,9652 1,3989 1,7145 1,8988 1,9677 1,9443 1,8462 1,6894 1,4926 1,2734 1,0480 0,8334 0,6401 0,4620 0,2767 0,0655 -0,1621 -0,3693 -0,5148 -0,5742 -0,5435 -0,4280 -0,2430 -0,0331 0,1281 0,1706 0,0605 -0,1843 -0,5007 -0,8153 -1,0797 -1,2734 -1,3872 -1,4155 -1,3586 -1,2308 -1,0656 -0,9089 -0,8040 -0,7783 -0,8410 -0,9928 -1,2338 -1,5557 -1,9303 -2,3184 -2,6937 -3,0488
