Fp1   -0,1165 0,0798 0,1541 0,1265 0,0392 -0,0388 -0,0431 0,0287 0,0973 0,0523 -0,1758 -0,5765 -1,0582 -1,4919 -1,7827 -1,9027 -1,8600 -1,6679 -1,3464 -0,9160 -0,3861 0,2257 0,8569 1,4044 1,7836 1,9790 2,0345 1,9977 1,8847 1,6884 1,4027 1,0339 0,6085 0,1772 -0,1924 -0,4334 -0,4979 -0,3793 -0,1286 0,1609 0,4003 0,5382 0,5593 0,4648 0,2536 -0,0780 -0,5123 -1,0019 -1,4956 -1,9504 -2,3034 -2,4634 -2,3680 -2,0481 -1,6148 -1,1784 -0,7994 -0,5120 -0,3536 -0,3541 -0,5094 -0,7666 -1,0335 -1,2114 -1,2360 -1,0999 -0,8443 -0,5266 -0,1981 0,0929 0,2949 0,3646 0,2940 0,1300 -0,0404 -0,1391 -0,1371 -0,0510 0,0905 0,2778 0,5256 0,8467 1,2155 1,5665 1,8204 1,9118 1,8217 1,6016 1,3446 1,1198 0,9423 0,7995 0,6870 0,6181 0,6068 0,6465 0,7103 0,7669 0,7834 0,7261 0,5805 0,3772 0,1796 0,0319 -0,0834 -0,2315 -0,4706 -0,8218 -1,2887 -1,8662 -2,5179 -3,1800 -3,7992 -4,3531 -4,8383 -5,2548 -5,6044 -5,8990 -6,1544 -6,3675 -6,5118 -6,5660 -6,5391 -6,4611 -6,3535 -6,2129 -6,0098 -5,7011 -5,2560 -4,6679 -3,9452 -3,1088 -2,2010 -1,2814 -0,4089 0,3740 1,0616 1,6954 2,3336 3,0011 3,6723 4,3029 4,8605 5,3210 5,6524 5,8213 5,8164 5,6641 5,4285 5,2027 5,0813 5,1178 5,3011 5,5662 5,8169 5,9493 5,8760 5,5446 4,9459 4,1156 3,1199 2,0292 0,9054 -0,1987 -1,2416 -2,1786 -2,9416 -3,4533 -3,6697 -3,6047 -3,3231 -2,9171 -2,4853 -2,1142 -1,8553 -1,7065 -1,6226 -1,5565 -1,4913 -1,4369 -1,4138 -1,4472 -1,5524 -1,7097 -1,8696 -1,9919 -2,0702 -2,1205 -2,1755 -2,2899 -2,5310 -2,9424 -3,5020 -4,1155 -4,6611 -5,0520 -5,2688 -5,3526 -5,3737 -5,3955 -5,4510 -5,5363 -5,6228 -5,6812 -5,6970 -5,6665 -5,5952 -5,5072 -5,4412 -5,4218 -5,4457 -5,5047 -5,6155 -5,8223 -6,1629 -6,6257 -7,1495 -7,6666 -8,1379 -8,5508 -8,8989 -9,1694 -9,3418 -9,3858 -9,2573 -8,9060 -8,2933 -7,4148 -6,3283 -5,1648 -4,0912 -3,2386 -2,6459 -2,2594 -1,9891 -1,7781 -1,6242 -1,5466 -1,5563 -1,6529 -1,8170 -1,9937 -2,0996 -2,0633 -1,8650 -1,5419 -1,1679 -0,8217 -0,5495 -0,3425 -0,1502 0,0801 0,3685 0,6987 1,0415 1,3804 1,7116 2,0183 2,2519 2,3453 2,2575 2,0065 1,6634 1,3195 1,0560 0,9265 0,9525 1,1116 1,3177 1,4414 1,3792 1,1130 0,7200 0,3346 0,0865 0,0436 0,1954 0,4809 0,8215 1,1226 1,2754 1,1966 0,8739 0,3688 -0,2099 -0,7321 -1,0778 -1,1764 -1,0271 -0,6913 -0,2632 0,1741 0,5772 0,9276 1,1983 1,3425 1,3202 1,1368 0,8507 0,5433 0,2814 0,0953 -0,0195 -0,0764 -0,0697 0,0174 0,1736 0,3456 0,4698 0,5154 0,4975 0,4626 0,4612 0,5312 0,6969 0,9575 1,2652 1,5439 1,7424 1,8603 1,9245 1,9522 1,9336 1,8427 1,6669 1,4317 1,1966 1,0227 0,9381 0,9299 0,9668 1,0230 1,0878 1,1666 1,2644 1,3567 1,3983 1,3701 1,3000 1,2342 1,2047 1,2234 1,3061 1,4975 1,8572 2,4067 3,0860 3,7609 4,2672 4,4571 4,2444 3,6522 2,8332 2,0328 1,4986 1,3865 1,7146 2,3694 3,1542 3,8712 4,3877 4,6484 4,6557 4,4541 4,1225 3,7486 3,3951 3,0950 2,8734 2,7540 2,7452 2,8347 2,9959 3,1874 3,3572 3,4574 3,4575 3,3488 3,1468 2,8872 2,6189 2,3893 2,2138 2,0608 1,8867 1,6799 1,4638 1,2764 1,1749 1,2348 1,5036 1,9548 2,4998 3,0321 3,4614 3,7253 3,7896 3,6489 3,3277 2,8760 2,3651 1,8753 1,4762 1,2299 1,2123 1,5001 2,1159 2,9789 3,9084 4,6812 5,1076 5,0945 4,6696 3,9553 3,1206 2,3432 1,7714 1,4870 1,4977 1,7606 2,1994 2,7066 3,1488 3,3877 3,3270 2,9710 2,4347 1,8864 1,4632 1,2161 1,1292 1,1867 1,3994 1,7767 2,3003 2,9182 3,5347 4,0155 4,2355 4,1415 3,7749 3,2393 2,6477 2,0912 1,6403 1,3455 1,2204 1,2437 1,3909 1,6480 1,9907 2,3706 2,7298 3,0253 3,2454 3,4145 3,5766 3,7707 4,0194 4,3308 4,6959 5,0737 5,3873 5,5481 5,4947 5,2178 4,7703 4,2509 3,7525 3,3123 2,9212 2,5759 2,2892 2,0495 1,8216 1,6019 1,4345 1,3642 1,3867 1,4332 1,3967 1,1865 0,7712 0,1860 -0,4840 -1,1356 -1,6873 -2,1167 -2,4692 -2,8240 -3,2318 -3,6715 -4,0658 -4,3254 -4,3848 -4,2219 -3,8646 -3,3824 -2,8683 -2,4098 -2,0507 -1,7626 -1,4551 -1,0287 -0,4337 0,3059 1,1110 1,8849 2,5466 3,0619 3,4675 3,8558 4,3186 4,8913 5,5312 6,1358 6,5967 6,8492 6,8857 6,7412 6,4704 6,1213 5,7292 5,3372 5,0073 4,7955 4,7236 4,7765 4,9093 5,0505 5,1249 5,0933 4,9688 4,8013 4,6521 4,5647 4,5384 4,5202 4,4382 4,2550 3,9810 3,6356 3,2136 2,7008 2,1160 1,5232 1,0017 0,6036 0,3381 0,1946 0,1760 0,3048 0,5935 1,0063 1,4532 1,8278 2,0482 2,0734 1,9082 1,5928 1,1689 0,6560 0,0678 -0,5692 -1,2273 -1,8797 -2,4798 -2,9708 -3,3292 -3,5932 -3,8461 -4,1796 -4,6509 -5,2436 -5,8633 -6,3925 -6,7573 -6,9480 -6,9962 -6,9514 -6,8698 -6,8070 -6,8018 -6,8561 -6,9365 -7,0011 -7,0334 -7,0612 -7,1452 -7,3315 -7,6031 -7,8687 -8,0002 -7,8958 -7,5307 -6,9750 -6,3619 -5,8127 -5,3819 -5,0591
Fz    0,4517 0,3494 0,2788 0,2443 0,2324 0,2321 0,2387 0,2426 0,2233 0,1644 0,0692 -0,0389 -0,1249 -0,1586 -0,1311 -0,0548 0,0514 0,1653 0,2556 0,2936 0,2700 0,1906 0,0659 -0,0827 -0,2147 -0,2859 -0,2732 -0,1874 -0,0627 0,0639 0,1690 0,2467 0,3058 0,3593 0,4133 0,4649 0,5062 0,5253 0,5022 0,4144 0,2539 0,0372 -0,2045 -0,4403 -0,6510 -0,8312 -0,9814 -1,1013 -1,1934 -1,2633 -1,3091 -1,3136 -1,2589 -1,1506 -1,0197 -0,8984 -0,8006 -0,7246 -0,6685 -0,6430 -0,6694 -0,7644 -0,9231 -1,1103 -1,2683 -1,3454 -1,3219 -1,2060 -1,0137 -0,7653 -0,4944 -0,2435 -0,0440 0,1004 0,2027 0,2658 0,2760 0,2221 0,1132 -0,0293 -0,1868 -0,3493 -0,5153 -0,6858 -0,8565 -1,0149 -1,1391 -1,2020 -1,1829 -1,0814 -0,9174 -0,7192 -0,5131 -0,3209 -0,1578 -0,0305 0,0667 0,1537 0,2548 0,3797 0,5179 0,6508 0,7613 0,8315 0,8386 0,7579 0,5778 0,3099 -0,0169 -0,3669 -0,7063 -1,0142 -1,2850 -1,5183 -1,7105 -1,8603 -1,9743 -2,0599 -2,1111 -2,1080 -2,0374 -1,9122 -1,7658 -1,6259 -1,4971 -1,3646 -1,2107 -1,0348 -0,8604 -0,7196 -0,6248 -0,5605 -0,5009 -0,4318 -0,3568 -0,2871 -0,2181 -0,1186 0,0485 0,2992 0,6250 1,0073 1,4264 1,8613 2,2921 2,7068 3,1048 3,4857 3,8375 4,1447 4,4043 4,6279 4,8306 5,0174 5,1717 5,2565 5,2331 5,0837 4,8186 4,4712 4,0872 3,7115 3,3823 3,1307 2,9689 2,8813 2,8393 2,8223 2,8239 2,8504 2,9184 3,0455 3,2394 3,4931 3,7848 4,0836 4,3589 4,5896 4,7682 4,9057 5,0327 5,1822 5,3725 5,6073 5,8814 6,1801 6,4781 6,7438 6,9417 7,0403 7,0253 6,9063 6,7109 6,4745 6,2256 5,9736 5,7105 5,4195 5,0851 4,7016 4,2733 3,8061 3,3031 2,7678 2,2097 1,6424 1,0777 0,5223 -0,0166 -0,5244 -0,9843 -1,3932 -1,7707 -2,1514 -2,5626 -2,9964 -3,4087 -3,7473 -3,9805 -4,1030 -4,1256 -4,0716 -3,9873 -3,9378 -3,9786 -4,1270 -4,3515 -4,5862 -4,7659 -4,8551 -4,8463 -4,7381 -4,5205 -4,1768 -3,7028 -3,1319 -2,5344 -1,9850 -1,5310 -1,1866 -0,9341 -0,7266 -0,5100 -0,2543 0,0365 0,3415 0,6406 0,9230 1,1896 1,4536 1,7379 2,0693 2,4649 2,9219 3,4172 3,9145 4,3698 4,7417 5,0047 5,1569 5,2214 5,2390 5,2518 5,2845 5,3369 5,3964 5,4623 5,5464 5,6484 5,7464 5,8144 5,8346 5,7957 5,6987 5,5645 5,4227 5,2934 5,1836 5,0893 4,9907 4,8552 4,6602 4,4141 4,1546 3,9257 3,7503 3,6226 3,5260 3,4510 3,3910 3,3347 3,2734 3,2074 3,1359 3,0450 2,9110 2,7258 2,5163 2,3353 2,2288 2,2176 2,2996 2,4594 2,6781 2,9413 3,2358 3,5406 3,8315 4,0980 4,3514 4,6119 4,8849 5,1507 5,3787 5,5497 5,6613 5,7195 5,7384 5,7431 5,7572 5,7872 5,8230 5,8522 5,8711 5,8855 5,9049 5,9330 5,9591 5,9554 5,8838 5,7145 5,4476 5,1201 4,7959 4,5396 4,3877 4,3417 4,3824 4,4781 4,5868 4,6683 4,7018 4,6975 4,6933 4,7370 4,8641 5,0882 5,3952 5,7398 6,0599 6,3089 6,4815 6,6125 6,7566 6,9636 7,2579 7,6300 8,0373 8,4149 8,7014 8,8624 8,8945 8,8165 8,6576 8,4511 8,2322 8,0382 7,9015 7,8318 7,8035 7,7671 7,6769 7,5080 7,2583 6,9462 6,6023 6,2502 5,8961 5,5380 5,1801 4,8422 4,5578 4,3533 4,2286 4,1622 4,1281 4,1031 4,0668 4,0133 3,9620 3,9395 3,9536 3,9899 4,0205 4,0104 3,9295 3,7707 3,5548 3,3126 3,0629 2,8139 2,5793 2,3836 2,2546 2,2171 2,2820 2,4364 2,6444 2,8568 3,0273 3,1299 3,1704 3,1801 3,1958 3,2422 3,3227 3,4214 3,5174 3,6075 3,7135 3,8650 4,0718 4,3154 4,5627 4,7890 4,9957 5,2097 5,4618 5,7592 6,0728 6,3554 6,5766 6,7354 6,8446 6,9226 6,9882 7,0476 7,0889 7,0956 7,0602 6,9824 6,8617 6,6985 6,5053 6,3108 6,1534 6,0667 6,0652 6,1363 6,2466 6,3597 6,4523 6,5166 6,5529 6,5669 6,5713 6,5846 6,6264 6,7124 6,8495 7,0296 7,2279 7,4128 7,5605 7,6566 7,6882 7,6490 7,5495 7,4057 7,2172 6,9678 6,6506 6,2827 5,8983 5,5383 5,2443 5,0378 4,8981 4,7688 4,5847 4,2961 3,8858 3,3759 2,8161 2,2615 1,7571 1,3302 0,9861 0,7048 0,4480 0,1805 -0,1070 -0,3942 -0,6456 -0,8254 -0,9072 -0,8822 -0,7680 -0,6111 -0,4687 -0,3774 -0,3321 -0,2912 -0,2019 -0,0265 0,2373 0,5505 0,8504 1,0822 1,2259 1,3117 1,4099 1,5955 1,9135 2,3627 2,9027 3,4762 4,0329 4,5429 4,9992 5,4156 5,8178 6,2321 6,6772 7,1555 7,6449 8,1099 8,5280 8,8943 9,2065 9,4611 9,6609 9,8102 9,9116 9,9755 10,0191 10,0478 10,0450 9,9871 9,8665 9,6964 9,4941 9,2669 9,0158 8,7492 8,4836 8,2284 7,9739 7,7009 7,4008 7,0835 6,7605 6,4249 6,0562 5,6363 5,1545 4,6058 3,9971 3,3481 2,6778 1,9915 1,2892 0,5924 -0,0489 -0,5904 -1,0267 -1,3878 -1,7139 -2,0444 -2,4189 -2,8728 -3,4291 -4,0863 -4,8065 -5,5182 -6,1515 -6,6775 -7,1131 -7,4911 -7,8328 -8,1439 -8,4258 -8,6822 -8,9153 -9,1275 -9,3226 -9,5044 -9,6700 -9,8020 -9,8682 -9,8314 -9,6627 -9,3502 -8,9069 -8,3749 -7,8191 -7,3019 -6,8420 -6,4027 -5,9244
F3    -0,3690 -0,4597 -0,4563 -0,3728 -0,2577 -0,1580 -0,0998 -0,0943 -0,1449 -0,2411 -0,3559 -0,4556 -0,5076 -0,4881 -0,3910 -0,2248 -0,0058 0,2346 0,4429 0,5642 0,5685 0,4578 0,2656 0,0577 -0,0877 -0,1191 -0,0322 0,1431 0,3666 0,6029 0,8239 1,0093 1,1511 1,2533 1,3224 1,3575 1,3475 1,2741 1,1144 0,8519 0,4957 0,0844 -0,3327 -0,7169 -1,0501 -1,3292 -1,5530 -1,7196 -1,8371 -1,9296 -2,0224 -2,1223 -2,2149 -2,2822 -2,3187 -2,3292 -2,3178 -2,2826 -2,2207 -2,1432 -2,0800 -2,0671 -2,1231 -2,2287 -2,3298 -2,3728 -2,3409 -2,2498 -2,1184 -1,9572 -1,7772 -1,5944 -1,4210 -1,2614 -1,1246 -1,0380 -1,0360 -1,1251 -1,2695 -1,4193 -1,5437 -1,6382 -1,7155 -1,7981 -1,9046 -2,0291 -2,1333 -2,1643 -2,0822 -1,8766 -1,5656 -1,1839 -0,7703 -0,3651 -0,0129 0,2449 0,3888 0,4344 0,4212 0,3815 0,3207 0,2225 0,0697 -0,1408 -0,4020 -0,7130 -1,0782 -1,4878 -1,9058 -2,2814 -2,5799 -2,8031 -2,9799 -3,1386 -3,2870 -3,4193 -3,5308 -3,6180 -3,6677 -3,6634 -3,6065 -3,5221 -3,4327 -3,3318 -3,1908 -2,9858 -2,7129 -2,3924 -2,0655 -1,7753 -1,5439 -1,3677 -1,2337 -1,1346 -1,0755 -1,0643 -1,0886 -1,1041 -1,0550 -0,8999 -0,6220 -0,2286 0,2573 0,8079 1,3985 2,0117 2,6355 3,2478 3,8030 4,2474 4,5510 4,7221 4,7970 4,8106 4,7724 4,6664 4,4686 4,1655 3,7662 3,3100 2,8585 2,4731 2,1982 2,0560 2,0378 2,0978 2,1718 2,2057 2,1704 2,0628 1,9012 1,7190 1,5594 1,4673 1,4709 1,5600 1,6883 1,7992 1,8557 1,8611 1,8603 1,9105 2,0390 2,2295 2,4407 2,6351 2,7969 2,9256 3,0175 3,0611 3,0479 2,9798 2,8616 2,6919 2,4625 2,1654 1,7999 1,3769 0,9224 0,4784 0,0842 -0,2516 -0,5572 -0,8724 -1,2221 -1,6118 -2,0347 -2,4755 -2,9104 -3,3143 -3,6747 -4,0010 -4,3179 -4,6459 -4,9807 -5,2864 -5,5115 -5,6154 -5,5863 -5,4392 -5,1975 -4,8863 -4,5525 -4,2743 -4,1334 -4,1753 -4,3917 -4,7292 -5,1140 -5,4735 -5,7488 -5,8985 -5,8989 -5,7394 -5,4263 -4,9941 -4,5012 -4,0092 -3,5661 -3,1956 -2,8868 -2,5979 -2,2837 -1,9249 -1,5293 -1,1166 -0,7083 -0,3225 0,0306 0,3530 0,6600 0,9734 1,3078 1,6624 2,0196 2,3471 2,6040 2,7600 2,8147 2,8023 2,7774 2,7924 2,8766 3,0200 3,1733 3,2765 3,3008 3,2627 3,2006 3,1474 3,1188 3,1096 3,0928 3,0334 2,9091 2,7206 2,4852 2,2285 1,9775 1,7524 1,5650 1,4249 1,3448 1,3360 1,3914 1,4723 1,5230 1,5050 1,4128 1,2609 1,0677 0,8532 0,6392 0,4407 0,2555 0,0681 -0,1278 -0,3113 -0,4446 -0,5017 -0,4807 -0,3956 -0,2634 -0,0975 0,0887 0,2727 0,4264 0,5354 0,6186 0,7225 0,8930 1,1462 1,4610 1,7944 2,1011 2,3450 2,5059 2,5917 2,6362 2,6718 2,7054 2,7260 2,7266 2,7175 2,7219 2,7620 2,8472 2,9657 3,0823 3,1456 3,1076 2,9515 2,7089 2,4478 2,2390 2,1261 2,1209 2,2141 2,3805 2,5806 2,7686 2,9072 2,9805 2,9965 2,9762 2,9440 2,9245 2,9382 2,9939 3,0937 3,2446 3,4595 3,7448 4,0893 4,4622 4,8192 5,1128 5,3060 5,3824 5,3567 5,2724 5,1788 5,1027 5,0398 4,9675 4,8701 4,7547 4,6451 4,5563 4,4778 4,3762 4,2127 3,9628 3,6320 3,2573 2,8859 2,5473 2,2508 1,9987 1,7925 1,6367 1,5416 1,5128 1,5427 1,6160 1,7167 1,8218 1,8959 1,9151 1,8960 1,8849 1,9189 2,0074 2,1307 2,2447 2,3011 2,2779 2,1921 2,0827 1,9815 1,9001 1,8378 1,7955 1,7786 1,7843 1,7892 1,7589 1,6707 1,5267 1,3526 1,1920 1,0991 1,1216 1,2796 1,5528 1,8809 2,1847 2,4009 2,5059 2,5168 2,4734 2,4182 2,3850 2,3966 2,4651 2,5956 2,7857 3,0222 3,2769 3,5080 3,6721 3,7439 3,7237 3,6297 3,4912 3,3395 3,1982 3,0858 3,0233 3,0315 3,1158 3,2553 3,4135 3,5612 3,6864 3,7875 3,8676 3,9287 3,9577 3,9275 3,8194 3,6450 3,4413 3,2442 3,0727 2,9340 2,8319 2,7685 2,7451 2,7655 2,8335 2,9495 3,1122 3,3229 3,5761 3,8469 4,0977 4,2962 4,4205 4,4521 4,3756 4,1914 3,9302 3,6477 3,4054 3,2466 3,1689 3,1156 3,0038 2,7657 2,3673 1,8102 1,1308 0,3945 -0,3220 -0,9552 -1,4713 -1,8672 -2,1619 -2,3878 -2,5787 -2,7535 -2,9072 -3,0174 -3,0548 -2,9982 -2,8500 -2,6395 -2,4047 -2,1738 -1,9649 -1,7904 -1,6553 -1,5519 -1,4551 -1,3356 -1,1809 -1,0040 -0,8317 -0,6821 -0,5455 -0,3912 -0,1936 0,0577 0,3622 0,7125 1,0972 1,5049 1,9277 2,3640 2,8207 3,3072 3,8255 4,3686 4,9179 5,4295 5,8422 6,1156 6,2516 6,2779 6,2283 6,1351 6,0211 5,8926 5,7483 5,5875 5,4067 5,1960 4,9521 4,6928 4,4460 4,2307 4,0550 3,9274 3,8597 3,8525 3,8791 3,8868 3,8209 3,6521 3,3868 3,0519 2,6704 2,2564 1,8221 1,3700 0,8869 0,3595 -0,2103 -0,8115 -1,4377 -2,0775 -2,6932 -3,2234 -3,6192 -3,8695 -3,9997 -4,0633 -4,1367 -4,2978 -4,5964 -5,0342 -5,5702 -6,1390 -6,6723 -7,1239 -7,4940 -7,8243 -8,1616 -8,5193 -8,8730 -9,1867 -9,4384 -9,6336 -9,8045 -9,9937 -10,2327 -10,5201 -10,8043 -10,9971 -11,0236 -10,8558 -10,5039 -9,9973 -9,3847 -8,7372 -8,1211 -7,5543 -7,0016 -6,4243
F7    -1,0435 -0,8291 -0,6690 -0,5507 -0,4504 -0,3506 -0,2327 -0,0792 0,0976 0,2411 0,2841 0,2033 0,0424 -0,1085 -0,1639 -0,1027 0,0131 0,0825 0,0267 -0,1704 -0,4423 -0,6643 -0,7272 -0,5975 -0,3120 0,0632 0,4594 0,8104 1,0567 1,1663 1,1563 1,0801 0,9809 0,8598 0,6943 0,4831 0,2563 0,0601 -0,0526 -0,0454 0,0631 0,1989 0,2806 0,2573 0,1156 -0,1245 -0,4186 -0,7164 -0,9820 -1,1994 -1,3701 -1,5117 -1,6503 -1,8008 -1,9621 -2,1286 -2,2923 -2,4377 -2,5511 -2,6324 -2,6820 -2,6839 -2,6207 -2,4999 -2,3567 -2,2302 -2,1380 -2,0685 -1,9901 -1,8620 -1,6525 -1,3683 -1,0555 -0,7621 -0,5093 -0,2958 -0,1086 0,0670 0,2341 0,3788 0,4794 0,5203 0,5069 0,4751 0,4700 0,5102 0,5838 0,6749 0,7789 0,8847 0,9600 0,9649 0,8752 0,6972 0,4686 0,2438 0,0740 -0,0026 0,0353 0,1927 0,4590 0,8038 1,1712 1,4830 1,6597 1,6521 1,4615 1,1212 0,6651 0,1326 -0,4184 -0,9296 -1,3690 -1,7345 -2,0451 -2,3318 -2,6273 -2,9441 -3,2509 -3,4790 -3,5653 -3,4930 -3,2929 -3,0170 -2,7189 -2,4384 -2,1938 -1,9958 -1,8689 -1,8372 -1,8847 -1,9460 -1,9414 -1,8064 -1,5018 -1,0238 -0,4024 0,3227 1,1135 1,9191 2,6784 3,3477 3,9134 4,3756 4,7328 4,9826 5,1315 5,1978 5,2040 5,1715 5,1161 5,0402 4,9329 4,7799 4,5681 4,2928 3,9720 3,6486 3,3638 3,1320 2,9473 2,8055 2,7075 2,6479 2,6042 2,5396 2,4226 2,2506 2,0524 1,8686 1,7287 1,6431 1,6082 1,6055 1,5976 1,5466 1,4442 1,3225 1,2332 1,2152 1,2804 1,4216 1,6235 1,8657 2,1182 2,3382 2,4858 2,5451 2,5232 2,4331 2,2825 2,0759 1,8279 1,5632 1,2947 1,0097 0,6835 0,2984 -0,1441 -0,6107 -1,0450 -1,3960 -1,6365 -1,7665 -1,8243 -1,8884 -2,0438 -2,3354 -2,7426 -3,1918 -3,5960 -3,8954 -4,0797 -4,1866 -4,2774 -4,3926 -4,5190 -4,5948 -4,5520 -4,3642 -4,0618 -3,7152 -3,4118 -3,2354 -3,2380 -3,4128 -3,6887 -3,9642 -4,1661 -4,2791 -4,3123 -4,2476 -4,0335 -3,6185 -2,9889 -2,1949 -1,3430 -0,5498 0,0935 0,5281 0,7393 0,7734 0,7121 0,6202 0,5239 0,4328 0,3587 0,3133 0,3015 0,3218 0,3712 0,4519 0,5753 0,7618 1,0326 1,3955 1,8333 2,3004 2,7261 3,0325 3,1726 3,1634 3,0726 2,9597 2,8298 2,6501 2,4006 2,0976 1,7750 1,4657 1,2030 1,0156 0,9108 0,8776 0,9086 1,0031 1,1483 1,3108 1,4434 1,4969 1,4347 1,2504 0,9745 0,6698 0,4118 0,2576 0,2207 0,2749 0,3819 0,5121 0,6456 0,7685 0,8671 0,9217 0,9157 0,8511 0,7477 0,6297 0,5221 0,4473 0,4120 0,4008 0,3839 0,3330 0,2351 0,0973 -0,0587 -0,1990 -0,2784 -0,2545 -0,1164 0,0950 0,3081 0,4744 0,5992 0,7137 0,8315 0,9421 1,0364 1,1180 1,1943 1,2670 1,3350 1,4014 1,4749 1,5596 1,6478 1,7174 1,7330 1,6602 1,4961 1,2923 1,1357 1,0979 1,1916 1,3670 1,5452 1,6627 1,6918 1,6416 1,5502 1,4649 1,4229 1,4503 1,5628 1,7561 2,0030 2,2670 2,5127 2,7049 2,8115 2,8105 2,7019 2,5171 2,3171 2,1722 2,1348 2,2234 2,4159 2,6510 2,8437 2,9206 2,8528 2,6604 2,3912 2,0976 1,8215 1,5884 1,4082 1,2786 1,1970 1,1720 1,2197 1,3399 1,4966 1,6286 1,6762 1,5998 1,3880 1,0630 0,6847 0,3457 0,1399 0,1203 0,2800 0,5631 0,8915 1,1921 1,4221 1,5771 1,6714 1,7063 1,6650 1,5379 1,3523 1,1711 1,0622 1,0772 1,2455 1,5616 1,9738 2,3962 2,7425 2,9650 3,0729 3,1179 3,1650 3,2634 3,4204 3,5956 3,7312 3,7908 3,7692 3,6707 3,4847 3,1924 2,8015 2,3729 2,0102 1,8129 1,8265 2,0225 2,3205 2,6286 2,8794 3,0520 3,1634 3,2353 3,2704 3,2520 3,1596 2,9896 2,7571 2,4863 2,2078 1,9569 1,7595 1,6246 1,5496 1,5131 1,4620 1,3336 1,1048 0,8203 0,5776 0,4847 0,6057 0,9206 1,3339 1,7294 2,0265 2,2008 2,2675 2,2536 2,1824 2,0779 1,9753 1,9254 1,9853 2,1829 2,4899 2,8408 3,1713 3,4265 3,5529 3,5191 3,3520 3,1347 2,9554 2,8475 2,7793 2,6971 2,5655 2,3732 2,1267 1,8519 1,5886 1,3722 1,2177 1,1197 1,0633 1,0264 0,9690 0,8408 0,6244 0,3642 0,1295 -0,0508 -0,2147 -0,4363 -0,7693 -1,2078 -1,6968 -2,1744 -2,5935 -2,9177 -3,1189 -3,1886 -3,1478 -3,0330 -2,8608 -2,6056 -2,2257 -1,7179 -1,1373 -0,5602 -0,0388 0,4083 0,7820 1,0920 1,3630 1,6302 1,9109 2,1890 2,4330 2,6182 2,7321 2,7802 2,7968 2,8329 2,9183 3,0446 3,1839 3,3119 3,4186 3,5104 3,6116 3,7581 3,9721 4,2396 4,5224 4,7731 4,9343 4,9624 4,8694 4,7171 4,5696 4,4627 4,4054 4,3836 4,3614 4,2960 4,1561 3,9303 3,6261 3,2637 2,8699 2,4699 2,0804 1,7201 1,4165 1,1824 1,0029 0,8605 0,7589 0,7071 0,6983 0,7155 0,7408 0,7471 0,6931 0,5370 0,2652 -0,0939 -0,4918 -0,8960 -1,2972 -1,6905 -2,0559 -2,3646 -2,6168 -2,8665 -3,1840 -3,5965 -4,0825 -4,6079 -5,1370 -5,6206 -6,0074 -6,2795 -6,4646 -6,6000 -6,6884 -6,6945 -6,5804 -6,3366 -5,9864 -5,5767 -5,1678 -4,8218 -4,5804 -4,4504 -4,4139 -4,4544 -4,5760 -4,7944 -5,0985 -5,4219 -5,6597 -5,7153
