Fp1   0,1033 0,9016 1,6463 2,2434 2,6488 2,8842 3,0025 3,0540 3,0894 3,1390 3,1717 3,1189 2,9306 2,5883 2,1081 1,5453 0,9730 0,4428 -0,0402 -0,4979 -0,9217 -1,2553 -1,4393 -1,4547 -1,3178 -1,0620 -0,7538 -0,4968 -0,3777 -0,4174 -0,5875 -0,8544 -1,1926 -1,5610 -1,8879 -2,1110 -2,2313 -2,2876 -2,2938 -2,2481 -2,1702 -2,0900 -2,0009 -1,8374 -1,5288 -1,0823 -0,6032 -0,2569 -0,2050 -0,5266 -1,1671 -1,9636 -2,7213 -3,2607 -3,4100 -3,0337 -2,1338 -0,8966 0,3903 1,4662 2,1771 2,5105 2,5774 2,5183 2,3915 2,1410 1,6611 0,9154 0,0067 -0,8628 -1,4955 -1,7952 -1,8035 -1,6693 -1,5738 -1,6146 -1,7292 -1,7621 -1,5974 -1,2251 -0,7242 -0,2209 0,1447 0,2604 0,0991 -0,2590 -0,6671 -0,9730 -1,0735 -0,9765 -0,8162 -0,7647 -0,9264 -1,3106 -1,8694 -2,5480 -3,2992 -4,0623 -4,7747 -5,4169 -6,0273 -6,6860 -7,4807 -8,4438 -9,5036 -10,4899 -11,1916 -11,4480 -11,2238 -10,6145 -9,7871 -8,9157 -8,1440 -7,5409 -7,0546 -6,5442 -5,8895 -5,0881 -4,2605 -3,5646 -3,1184 -2,9854 -3,1653 -3,5648 -4,0186 -4,3750 -4,5590 -4,5704 -4,4765 -4,4117 -4,5196 -4,8617 -5,3977 -6,0493 -6,7484 -7,4377 -8,0553 -8,5337 -8,8181 -8,8786 -8,6998 -8,2966 -7,7461 -7,1767 -6,7147 -6,4296 -6,3183 -6,3504 -6,5198 -6,8237 -7,1994 -7,5254 -7,6902 -7,6385 -7,3674 -6,9147 -6,3457 -5,7382 -5,1691 -4,6993 -4,3397 -4,0164 -3,6127 -3,0822 -2,4943 -1,9671 -1,5907 -1,4056 -1,4136 -1,5917 -1,9150 -2,3791 -2,9866 -3,7138 -4,4953 -5,2098 -5,6932 -5,8293 -5,6216 -5,1507 -4,4976 -3,7217 -2,8703 -1,9933 -1,1392 -0,3172 0,4941 1,2537 1,8442 2,1853 2,2870 2,1914 1,9441 1,6099 1,2533 0,9047 0,5740 0,2814 0,0442 -0,1501 -0,3240 -0,4683 -0,5424 -0,5191 -0,4365 -0,3974 -0,4996 -0,7540 -1,0626 -1,2841 -1,3329 -1,1991 -0,9017 -0,4943 -0,1203 0,0070 -0,2816 -1,0084 -2,0384 -3,1555 -4,1523 -4,8769 -5,2449 -5,2445 -4,9447 -4,4988 -4,1035 -3,9023 -3,9023 -3,9876 -4,0201 -3,9422 -3,7908 -3,6052 -3,3401 -2,8919 -2,1810 -1,2016 -0,0555 1,0404 1,8363 2,1740 2,0418 1,5527 0,9078 0,3385 0,0131 -0,0290 0,1430 0,4276 0,7457 1,0523 1,3428 1,6519 2,0108 2,3765 2,6047 2,5283 2,0908 1,4027 0,6701 0,0741 -0,2954 -0,4213 -0,3129 -0,0167 0,3345 0,5355 0,4107 -0,0868 -0,8558 -1,7011 -2,3937 -2,7262 -2,5935 -2,0462 -1,2663 -0,4702 0,2198 0,8074 1,3076 1,6558 1,7728 1,6640 1,4123 1,1217 0,8817 0,7583 0,8091 1,0974 1,6618 2,4703 3,4164 4,3550 5,1544 5,7332 6,0422 6,0346 5,6930 5,0809 4,3441 3,6412 3,0827 2,7298 2,6100 2,7144 2,9896 3,3465 3,7070 4,0463 4,3740 4,6767 4,9080 5,0478 5,1267 5,1631 5,0987 4,8207 4,2698 3,5378 2,8478 2,4224 2,3573 2,5960 2,9980 3,4251 3,7782 3,9801 3,9601 3,6710 3,1139 2,3399 1,4319 0,4753 -0,4702 -1,3661 -2,1496 -2,7129 -2,9703 -2,9266 -2,6388 -2,1494 -1,5006 -0,7692 -0,0236 0,7384 1,5469 2,3487 2,9967 3,3679 3,4497 3,3203 3,0910 2,8664 2,7282 2,7238 2,8476 3,0303 3,1494 3,0752 2,7429 2,2041 1,6067 1,1067 0,7678 0,5289 0,2715 -0,0834 -0,5273 -0,9650 -1,2609 -1,3030 -1,0299 -0,4521 0,3324 1,1792 1,9488 2,5127 2,7639 2,6646 2,2619 1,6428 0,8803 0,0258 -0,8512 -1,6341 -2,1924 -2,4466 -2,4080 -2,1732 -1,8676 -1,5855 -1,3824 -1,2817 -1,2665 -1,2912 -1,3226 -1,3520 -1,3653 -1,3204 -1,1664 -0,8761 -0,4600 0,0399 0,5521 0,9979 1,3582 1,6981 2,1117 2,6586 3,3101 3,9128 4,2535 4,2055 3,8006 3,1572 2,3768 1,5321 0,7137 0,0195 -0,5219 -0,9950 -1,5550 -2,3333 -3,3425 -4,4308 -5,3399 -5,8629 -5,9701 -5,7710 -5,3884 -4,9135 -4,4209 -3,9379 -3,4083 -2,7473 -1,9487 -1,1291 -0,4837 -0,2001 -0,3769 -0,9928 -1,9419 -3,0589 -4,0918 -4,7096 -4,6161 -3,6919 -2,0550 -0,0188 2,0232 3,7465 4,9980 5,7807 6,1716 6,2657 6,1508 5,8950 5,5639 5,2334 4,9442 4,6516 4,2631 3,7434 3,1696 2,6659 2,3137 2,1399 2,1331 2,2361 2,3661 2,4659 2,5192 2,5255 2,4959 2,4583 2,4174 2,3024 1,9876 1,3789 0,4734 -0,6453 -1,8233 -2,8671 -3,6263 -4,0422 -4,0971 -3,7682 -3,0593 -2,0413 -0,8295 0,4640 1,7156 2,7569 3,4140 3,5870 3,3048 2,7310 2,1011 1,6216 1,4095 1,5096 1,9332 2,6418 3,5223 4,4179 5,1821 5,7259 6,0555 6,2338 6,2624 6,0561 5,5830 4,9817 4,4855 4,2568 4,3127 4,5579 4,8284 4,9282 4,7125 4,1704 3,3896 2,4439 1,3557 0,1413 -1,1421 -2,3825 -3,4477 -4,2565 -4,8143 -5,1816 -5,4363 -5,6581 -5,8918 -6,1099 -6,2537 -6,3099 -6,3081 -6,2596 -6,1538 -6,0160 -5,9137 -5,8881 -5,9184 -5,9695 -6,0360 -6,1287 -6,2386 -6,3223 -6,3339 -6,2836 -6,2513 -6,3169 -6,4718 -6,6057 -6,5754 -6,2881 -5,7479 -5,0473 -4,3097 -3,6366 -3,1055 -2,7533 -2,5042 -2,1707 -1,6069 -0,8540 -0,1150 0,3896 0,5324 0,3091 -0,1701 -0,7190 -1,1675 -1,4516 -1,6153 -1,7401 -1,8932 -2,1312 -2,5057 -3,0213 -3,5946 -4,0900 -4,4119 -4,5665 -4,6572 -4,8214 -5,1406 -5,6047 -6,1797 -6,8694 -7,6599 -8,4452 -9,0777 -9,4856 -9,6934 -9,7261 -9,5635 -9,2143
Fz    2,1948 2,5151 2,7420 2,8786 2,9429 2,9639 2,9657 2,9579 2,9425 2,9141 2,8529 2,7406 2,5787 2,3821 2,1666 1,9478 1,7377 1,5332 1,3077 1,0271 0,6863 0,3237 -0,0102 -0,2922 -0,5293 -0,7357 -0,9271 -1,1290 -1,3637 -1,6342 -1,9285 -2,2321 -2,5250 -2,7730 -2,9360 -2,9982 -2,9852 -2,9375 -2,8759 -2,8031 -2,7196 -2,6215 -2,4874 -2,2786 -1,9632 -1,5479 -1,0824 -0,6388 -0,2848 -0,0619 0,0285 0,0228 -0,0222 -0,0449 0,0195 0,2282 0,5946 1,0664 1,5467 1,9392 2,1858 2,2823 2,2686 2,1965 2,0922 1,9375 1,6851 1,3058 0,8272 0,3242 -0,1237 -0,4695 -0,7095 -0,8758 -1,0155 -1,1583 -1,2975 -1,4065 -1,4642 -1,4681 -1,4360 -1,3987 -1,3920 -1,4444 -1,5604 -1,7144 -1,8659 -1,9771 -2,0294 -2,0439 -2,0831 -2,2104 -2,4497 -2,7817 -3,1648 -3,5582 -3,9365 -4,2867 -4,6045 -4,8947 -5,1721 -5,4656 -5,8127 -6,2313 -6,6945 -7,1298 -7,4417 -7,5506 -7,4266 -7,0916 -6,5961 -5,9946 -5,3324 -4,6346 -3,8965 -3,0932 -2,2096 -1,2719 -0,3512 0,4700 1,1324 1,6071 1,8940 2,0249 2,0546 2,0356 1,9985 1,9434 1,8315 1,5909 1,1541 0,5011 -0,3336 -1,2898 -2,3064 -3,3290 -4,3086 -5,1980 -5,9533 -6,5397 -6,9353 -7,1380 -7,1707 -7,0718 -6,8794 -6,6179 -6,2995 -5,9445 -5,5950 -5,2922 -5,0357 -4,7773 -4,4576 -4,0468 -3,5582 -3,0379 -2,5468 -2,1446 -1,8817 -1,7865 -1,8435 -1,9826 -2,1128 -2,1813 -2,1935 -2,1857 -2,1995 -2,2734 -2,4348 -2,6915 -3,0391 -3,4732 -3,9862 -4,5541 -5,1245 -5,6069 -5,8894 -5,8939 -5,6220 -5,1414 -4,5417 -3,9006 -3,2722 -2,6954 -2,2026 -1,8123 -1,5319 -1,3839 -1,4011 -1,5831 -1,8813 -2,2340 -2,5896 -2,9052 -3,1501 -3,3163 -3,4157 -3,4721 -3,5216 -3,6072 -3,7537 -3,9469 -4,1440 -4,3075 -4,4365 -4,5714 -4,7648 -5,0406 -5,3727 -5,7003 -5,9638 -6,1247 -6,1655 -6,0971 -5,9745 -5,8891 -5,9309 -6,1457 -6,5130 -6,9555 -7,3695 -7,6558 -7,7411 -7,5910 -7,2168 -6,6790 -6,0794 -5,5238 -5,0712 -4,7162 -4,4188 -4,1495 -3,9054 -3,6830 -3,4482 -3,1497 -2,7510 -2,2475 -1,6805 -1,1407 -0,7314 -0,5138 -0,4882 -0,6098 -0,8061 -0,9988 -1,1378 -1,2188 -1,2659 -1,3049 -1,3505 -1,4043 -1,4555 -1,4878 -1,4971 -1,5078 -1,5771 -1,7686 -2,1072 -2,5566 -3,0427 -3,4914 -3,8519 -4,0999 -4,2304 -4,2608 -4,2399 -4,2362 -4,3045 -4,4606 -4,6815 -4,9229 -5,1292 -5,2376 -5,1981 -4,9992 -4,6734 -4,2745 -3,8418 -3,3947 -2,9655 -2,6126 -2,3841 -2,2869 -2,2906 -2,3413 -2,3800 -2,3660 -2,2808 -2,1094 -1,8359 -1,4604 -1,0064 -0,5137 -0,0248 0,4205 0,7787 1,0007 1,0584 0,9744 0,8101 0,6189 0,4245 0,2450 0,1078 0,0337 0,0213 0,0520 0,1078 0,1794 0,2584 0,3244 0,3481 0,3156 0,2425 0,1555 0,0567 -0,0886 -0,3162 -0,6141 -0,9184 -1,1589 -1,3029 -1,3589 -1,3542 -1,3176 -1,2744 -1,2470 -1,2578 -1,3277 -1,4686 -1,6739 -1,9144 -2,1487 -2,3375 -2,4508 -2,4638 -2,3602 -2,1495 -1,8714 -1,5658 -1,2547 -0,9584 -0,7043 -0,5063 -0,3460 -0,1907 -0,0341 0,0898 0,1370 0,0903 -0,0299 -0,1787 -0,3069 -0,3777 -0,3731 -0,3004 -0,1995 -0,1380 -0,1827 -0,3608 -0,6400 -0,9455 -1,2043 -1,3883 -1,5272 -1,6750 -1,8625 -2,0753 -2,2604 -2,3542 -2,3142 -2,1252 -1,7964 -1,3674 -0,9054 -0,4925 -0,2139 -0,1359 -0,2836 -0,6397 -1,1595 -1,7899 -2,4794 -3,1686 -3,7781 -4,2263 -4,4653 -4,5071 -4,4212 -4,2988 -4,2103 -4,1904 -4,2460 -4,3636 -4,5168 -4,6856 -4,8655 -5,0495 -5,2071 -5,2877 -5,2484 -5,0749 -4,7829 -4,4093 -4,0011 -3,5976 -3,2232 -2,8926 -2,6105 -2,3784 -2,2177 -2,1689 -2,2523 -2,4378 -2,6714 -2,9209 -3,1806 -3,4408 -3,6774 -3,8794 -4,0769 -4,3357 -4,7230 -5,2620 -5,9010 -6,5282 -7,0331 -7,3656 -7,5391 -7,5911 -7,5576 -7,4639 -7,3057 -7,0383 -6,6071 -6,0036 -5,2900 -4,5720 -3,9547 -3,5152 -3,2946 -3,2996 -3,4931 -3,7758 -3,9981 -4,0187 -3,7642 -3,2506 -2,5701 -1,8560 -1,2305 -0,7584 -0,4380 -0,2319 -0,1016 -0,0283 -0,0098 -0,0408 -0,0991 -0,1611 -0,2270 -0,3222 -0,4687 -0,6553 -0,8443 -0,9981 -1,0966 -1,1477 -1,1957 -1,3008 -1,5011 -1,7942 -2,1490 -2,5164 -2,8435 -3,1058 -3,3312 -3,5837 -3,9219 -4,3711 -4,9186 -5,5127 -6,0689 -6,5034 -6,7667 -6,8406 -6,7217 -6,4228 -5,9800 -5,4402 -4,8406 -4,2140 -3,6103 -3,0949 -2,7215 -2,4997 -2,3868 -2,3154 -2,2332 -2,1178 -1,9577 -1,7309 -1,4176 -1,0268 -0,5985 -0,1870 0,1629 0,4347 0,6301 0,7335 0,7076 0,5418 0,2931 0,0542 -0,1166 -0,2251 -0,3173 -0,4514 -0,6863 -1,0587 -1,5561 -2,1320 -2,7519 -3,4028 -4,0695 -4,7242 -5,3309 -5,8565 -6,2862 -6,6271 -6,8946 -7,1031 -7,2662 -7,3903 -7,4689 -7,5007 -7,5088 -7,5313 -7,6004 -7,7410 -7,9836 -8,3490 -8,8148 -9,3154 -9,7854 -10,1948 -10,5472 -10,8545 -11,1156 -11,3217 -11,4824 -11,6376 -11,8300 -12,0564 -12,2545 -12,3394 -12,2507 -11,9783 -11,5622 -11,0678 -10,5509 -10,0444 -9,5515 -9,0345 -8,4317 -7,7152 -6,9331 -6,1905 -5,5948 -5,2162 -5,0750 -5,1411 -5,3409 -5,5885 -5,8218 -6,0131 -6,1575 -6,2656 -6,3648 -6,4915 -6,6647 -6,8620 -7,0259 -7,0983 -7,0597 -6,9465 -6,8303 -6,7692 -6,7768 -6,8425 -6,9631 -7,1254 -7,2761 -7,3460 -7,3081 -7,1949 -7,0504 -6,8911 -6,7224
F3    1,2787 1,6009 1,8811 2,0947 2,2314 2,3016 2,3212 2,3001 2,2484 2,1714 2,0582 1,8983 1,7012 1,4822 1,2461 0,9985 0,7618 0,5631 0,4058 0,2673 0,1316 0,0099 -0,0764 -0,1255 -0,1559 -0,1866 -0,2334 -0,3166 -0,4502 -0,6294 -0,8384 -1,0641 -1,2977 -1,5215 -1,7052 -1,8321 -1,9248 -2,0206 -2,1278 -2,2258 -2,2911 -2,3036 -2,2363 -2,0553 -1,7434 -1,3251 -0,8619 -0,4279 -0,0897 0,1132 0,1841 0,1662 0,1165 0,0873 0,1357 0,3233 0,6788 1,1621 1,6767 2,1149 2,4038 2,5335 2,5515 2,5203 2,4681 2,3681 2,1625 1,8184 1,3670 0,8865 0,4536 0,1068 -0,1611 -0,3930 -0,6462 -0,9520 -1,2845 -1,5768 -1,7644 -1,8198 -1,7552 -1,6075 -1,4278 -1,2691 -1,1624 -1,1043 -1,0687 -1,0237 -0,9485 -0,8593 -0,8126 -0,8690 -1,0585 -1,3745 -1,7836 -2,2401 -2,6994 -3,1248 -3,4995 -3,8319 -4,1427 -4,4615 -4,8283 -5,2710 -5,7702 -6,2473 -6,5878 -6,6927 -6,5198 -6,0850 -5,4393 -4,6517 -3,8000 -2,9479 -2,1150 -1,2779 -0,4111 0,4702 1,3012 2,0007 2,5105 2,8074 2,9052 2,8560 2,7278 2,5686 2,3956 2,2079 1,9859 1,6819 1,2412 0,6422 -0,0916 -0,9142 -1,7785 -2,6365 -3,4324 -4,1079 -4,6178 -4,9384 -5,0618 -4,9995 -4,7910 -4,4944 -4,1631 -3,8234 -3,4716 -3,1034 -2,7439 -2,4297 -2,1606 -1,8912 -1,5734 -1,1911 -0,7615 -0,3241 0,0708 0,3727 0,5342 0,5238 0,3579 0,1241 -0,0594 -0,1267 -0,0964 -0,0310 0,0113 -0,0052 -0,0947 -0,2562 -0,4862 -0,7910 -1,1818 -1,6578 -2,1911 -2,7137 -3,1191 -3,3089 -3,2522 -2,9949 -2,6197 -2,1982 -1,7707 -1,3622 -1,0037 -0,7230 -0,5342 -0,4581 -0,5253 -0,7348 -1,0399 -1,3824 -1,7163 -2,0031 -2,2132 -2,3392 -2,3979 -2,4189 -2,4373 -2,4878 -2,5864 -2,7147 -2,8317 -2,9068 -2,9527 -3,0264 -3,1893 -3,4597 -3,7943 -4,1166 -4,3628 -4,5009 -4,5200 -4,4334 -4,2976 -4,2075 -4,2541 -4,4790 -4,8547 -5,3021 -5,7248 -6,0381 -6,1820 -6,1272 -5,8818 -5,4996 -5,0742 -4,7027 -4,4350 -4,2574 -4,1196 -3,9803 -3,8300 -3,6721 -3,4962 -3,2776 -2,9857 -2,5926 -2,1031 -1,5816 -1,1254 -0,8091 -0,6544 -0,6302 -0,6669 -0,6865 -0,6442 -0,5443 -0,4181 -0,2937 -0,1864 -0,1011 -0,0308 0,0426 0,1342 0,2293 0,2670 0,1668 -0,1089 -0,5226 -0,9906 -1,4332 -1,8006 -2,0693 -2,2277 -2,2814 -2,2733 -2,2770 -2,3526 -2,5131 -2,7270 -2,9467 -3,1291 -3,2365 -3,2346 -3,1043 -2,8585 -2,5426 -2,2018 -1,8618 -1,5558 -1,3417 -1,2693 -1,3431 -1,5232 -1,7383 -1,9062 -1,9631 -1,8810 -1,6592 -1,3118 -0,8643 -0,3537 0,1668 0,6368 1,0101 1,2585 1,3566 1,2914 1,0890 0,8105 0,5132 0,2343 0,0130 -0,1066 -0,1055 -0,0095 0,1269 0,2534 0,3414 0,3808 0,3689 0,3057 0,2005 0,0770 -0,0405 -0,1566 -0,3142 -0,5574 -0,8752 -1,1897 -1,4107 -1,4959 -1,4610 -1,3505 -1,2109 -1,0772 -0,9737 -0,9213 -0,9388 -1,0310 -1,1773 -1,3364 -1,4678 -1,5483 -1,5728 -1,5400 -1,4442 -1,2888 -1,0956 -0,8842 -0,6566 -0,4174 -0,1889 0,0101 0,1891 0,3683 0,5325 0,6225 0,5853 0,4227 0,1899 -0,0395 -0,2063 -0,2799 -0,2558 -0,1516 -0,0077 0,1113 0,1346 0,0276 -0,1807 -0,4163 -0,6042 -0,7116 -0,7655 -0,8277 -0,9463 -1,1246 -1,3199 -1,4682 -1,5128 -1,4144 -1,1625 -0,7894 -0,3640 0,0289 0,3037 0,3944 0,2784 -0,0206 -0,4565 -0,9861 -1,5697 -2,1547 -2,6710 -3,0503 -3,2488 -3,2671 -3,1554 -2,9850 -2,8138 -2,6808 -2,6161 -2,6321 -2,7151 -2,8431 -3,0071 -3,2003 -3,3921 -3,5285 -3,5621 -3,4746 -3,2773 -3,0049 -2,7041 -2,4118 -2,1410 -1,8847 -1,6295 -1,3805 -1,1850 -1,1138 -1,2011 -1,4113 -1,6742 -1,9409 -2,1965 -2,4362 -2,6489 -2,8314 -3,0134 -3,2583 -3,6242 -4,1159 -4,6644 -5,1577 -5,5069 -5,6969 -5,7694 -5,7689 -5,7213 -5,6426 -5,5290 -5,3407 -5,0212 -4,5475 -3,9625 -3,3643 -2,8660 -2,5548 -2,4691 -2,6003 -2,8947 -3,2433 -3,4922 -3,4977 -3,1933 -2,6178 -1,8926 -1,1687 -0,5701 -0,1526 0,0953 0,2191 0,2659 0,2678 0,2414 0,2028 0,1767 0,1801 0,1980 0,1880 0,1175 -0,0032 -0,1315 -0,2298 -0,2866 -0,3232 -0,3893 -0,5312 -0,7533 -1,0213 -1,2915 -1,5205 -1,6674 -1,7214 -1,7305 -1,7855 -1,9701 -2,3218 -2,8249 -3,4166 -3,9976 -4,4689 -4,7659 -4,8583 -4,7376 -4,4185 -3,9432 -3,3707 -2,7618 -2,1735 -1,6633 -1,2866 -1,0828 -1,0515 -1,1405 -1,2708 -1,3746 -1,4110 -1,3505 -1,1634 -0,8416 -0,4199 0,0372 0,4622 0,8073 1,0640 1,2474 1,3498 1,3321 1,1791 0,9430 0,7112 0,5414 0,4368 0,3610 0,2511 0,0373 -0,3188 -0,7967 -1,3449 -1,9343 -2,5660 -3,2365 -3,9190 -4,5661 -5,1233 -5,5523 -5,8451 -6,0147 -6,0833 -6,0768 -6,0111 -5,8878 -5,7150 -5,5250 -5,3622 -5,2598 -5,2383 -5,3189 -5,5166 -5,8118 -6,1458 -6,4582 -6,7201 -6,9373 -7,1303 -7,3087 -7,4691 -7,6146 -7,7662 -7,9442 -8,1405 -8,3102 -8,3932 -8,3447 -8,1550 -7,8546 -7,4974 -7,1339 -6,7985 -6,4997 -6,2014 -5,8341 -5,3573 -4,8136 -4,3115 -3,9617 -3,8298 -3,9254 -4,2045 -4,5796 -4,9553 -5,2713 -5,5100 -5,6747 -5,7753 -5,8364 -5,8954 -5,9757 -6,0619 -6,1078 -6,0708 -5,9445 -5,7682 -5,6036 -5,4915 -5,4289 -5,3995 -5,4069 -5,4491 -5,4849 -5,4617 -5,3701 -5,2484 -5,1317 -5,0248 -4,9326
F7    1,9955 2,0529 2,0872 2,0884 2,0452 1,9564 1,8322 1,6860 1,5301 1,3652 1,1761 0,9495 0,6930 0,4227 0,1449 -0,1400 -0,4200 -0,6719 -0,8797 -1,0437 -1,1664 -1,2385 -1,2492 -1,2084 -1,1426 -1,0680 -0,9839 -0,8913 -0,7993 -0,7083 -0,6036 -0,4731 -0,3274 -0,1960 -0,1056 -0,0766 -0,1335 -0,2911 -0,5270 -0,7844 -1,0027 -1,1393 -1,1677 -1,0730 -0,8602 -0,5598 -0,2167 0,1217 0,4068 0,5952 0,6651 0,6280 0,5250 0,4156 0,3603 0,4019 0,5479 0,7753 1,0476 1,3237 1,5600 1,7249 1,8124 1,8305 1,7759 1,6190 1,3231 0,8865 0,3656 -0,1542 -0,6060 -0,9599 -1,2145 -1,3902 -1,5278 -1,6648 -1,8008 -1,8962 -1,9025 -1,7919 -1,5678 -1,2620 -0,9338 -0,6561 -0,4736 -0,3706 -0,2836 -0,1416 0,0961 0,4204 0,7774 1,0928 1,2964 1,3474 1,2466 1,0229 0,7161 0,3672 0,0019 -0,3789 -0,7793 -1,1944 -1,6175 -2,0399 -2,4368 -2,7581 -2,9400 -2,9364 -2,7382 -2,3616 -1,8288 -1,1708 -0,4447 0,2798 0,9602 1,6016 2,2307 2,8509 3,4181 3,8609 4,1280 4,2112 4,1386 3,9592 3,7230 3,4609 3,1824 2,8855 2,5530 2,1450 1,6255 1,0055 0,3440 -0,2949 -0,8773 -1,3977 -1,8582 -2,2496 -2,5459 -2,7104 -2,7142 -2,5535 -2,2523 -1,8497 -1,3834 -0,8809 -0,3628 0,1416 0,5941 0,9731 1,2977 1,6124 1,9479 2,3025 2,6503 2,9549 3,1810 3,2972 3,2707 3,0769 2,7360 2,3356 1,9897 1,7641 1,6416 1,5518 1,4202 1,2007 0,8853 0,4894 0,0240 -0,5166 -1,1344 -1,8043 -2,4717 -3,0662 -3,5180 -3,7821 -3,8591 -3,7926 -3,6482 -3,4832 -3,3233 -3,1658 -3,0024 -2,8288 -2,6548 -2,5233 -2,4944 -2,5940 -2,7922 -3,0337 -3,2694 -3,4646 -3,6009 -3,6772 -3,6998 -3,6804 -3,6457 -3,6330 -3,6574 -3,6880 -3,6651 -3,5456 -3,3388 -3,1035 -2,9091 -2,7934 -2,7410 -2,6946 -2,5929 -2,4065 -2,1465 -1,8626 -1,6380 -1,5658 -1,7090 -2,0740 -2,6088 -3,2194 -3,7998 -4,2657 -4,5714 -4,7037 -4,6736 -4,5205 -4,3137 -4,1249 -3,9960 -3,9370 -3,9430 -3,9978 -4,0704 -4,1168 -4,0958 -3,9855 -3,7803 -3,4797 -3,1037 -2,7111 -2,3777 -2,1524 -2,0415 -2,0161 -2,0206 -1,9924 -1,8969 -1,7490 -1,5917 -1,4583 -1,3559 -1,2686 -1,1666 -1,0172 -0,7990 -0,5188 -0,2265 0,0001 0,1056 0,0916 0,0004 -0,1160 -0,2100 -0,2466 -0,2122 -0,1171 0,0053 0,1088 0,1528 0,1141 -0,0057 -0,1838 -0,3866 -0,5740 -0,7013 -0,7301 -0,6511 -0,4954 -0,3172 -0,1696 -0,1051 -0,1754 -0,4127 -0,8138 -1,3402 -1,9182 -2,4523 -2,8577 -3,0844 -3,1117 -2,9345 -2,5673 -2,0566 -1,4839 -0,9441 -0,5104 -0,2250 -0,1161 -0,1938 -0,4197 -0,7095 -0,9817 -1,1894 -1,3043 -1,3069 -1,2065 -1,0457 -0,8752 -0,7312 -0,6354 -0,5999 -0,6245 -0,6984 -0,8079 -0,9380 -1,0740 -1,2106 -1,3547 -1,5047 -1,6266 -1,6670 -1,5940 -1,4212 -1,1953 -0,9670 -0,7704 -0,6188 -0,5102 -0,4357 -0,3885 -0,3706 -0,3895 -0,4503 -0,5489 -0,6700 -0,7944 -0,9008 -0,9637 -0,9624 -0,8910 -0,7511 -0,5510 -0,3143 -0,0743 0,1485 0,3515 0,5293 0,6449 0,6336 0,4514 0,1223 -0,2630 -0,5890 -0,7701 -0,7849 -0,6681 -0,4756 -0,2618 -0,0847 -0,0033 -0,0436 -0,1721 -0,3136 -0,3987 -0,4060 -0,3749 -0,3726 -0,4431 -0,5792 -0,7304 -0,8389 -0,8659 -0,7864 -0,5865 -0,2822 0,0758 0,4208 0,6876 0,8240 0,8017 0,6253 0,3306 -0,0313 -0,4113 -0,7679 -1,0678 -1,2910 -1,4304 -1,4915 -1,4966 -1,4749 -1,4436 -1,4109 -1,3901 -1,4005 -1,4606 -1,5883 -1,7956 -2,0697 -2,3647 -2,6222 -2,8000 -2,8789 -2,8541 -2,7383 -2,5701 -2,3978 -2,2495 -2,1202 -1,9863 -1,8381 -1,7057 -1,6453 -1,6825 -1,7799 -1,8717 -1,9140 -1,8960 -1,8197 -1,6871 -1,5122 -1,3404 -1,2367 -1,2393 -1,3242 -1,4188 -1,4497 -1,3902 -1,2731 -1,1578 -1,0866 -1,0763 -1,1317 -1,2415 -1,3638 -1,4375 -1,4240 -1,3362 -1,2265 -1,1582 -1,1904 -1,3663 -1,6939 -2,1282 -2,5686 -2,8824 -2,9516 -2,7278 -2,2636 -1,6956 -1,1815 -0,8309 -0,6697 -0,6542 -0,7123 -0,7815 -0,8276 -0,8420 -0,8238 -0,7651 -0,6580 -0,5168 -0,3846 -0,3058 -0,2947 -0,3390 -0,4203 -0,5245 -0,6465 -0,7967 -0,9883 -1,2125 -1,4320 -1,6050 -1,7054 -1,7257 -1,6833 -1,6259 -1,6143 -1,6951 -1,8885 -2,1887 -2,5586 -2,9313 -3,2416 -3,4487 -3,5270 -3,4570 -3,2330 -2,8686 -2,3954 -1,8607 -1,3250 -0,8558 -0,5172 -0,3493 -0,3432 -0,4434 -0,5883 -0,7424 -0,8866 -0,9880 -0,9969 -0,8821 -0,6570 -0,3681 -0,0738 0,1742 0,3561 0,4808 0,5488 0,5343 0,4212 0,2421 0,0651 -0,0505 -0,0795 -0,0337 0,0418 0,0813 0,0300 -0,1217 -0,3449 -0,6143 -0,9227 -1,2618 -1,6110 -1,9370 -2,1961 -2,3579 -2,4299 -2,4518 -2,4695 -2,5094 -2,5623 -2,5950 -2,5882 -2,5528 -2,5091 -2,4719 -2,4588 -2,4989 -2,6203 -2,8270 -3,0938 -3,3839 -3,6660 -3,9275 -4,1711 -4,3904 -4,5608 -4,6635 -4,7103 -4,7431 -4,8060 -4,9170 -5,0595 -5,1913 -5,2632 -5,2507 -5,1671 -5,0422 -4,8978 -4,7372 -4,5373 -4,2616 -3,9050 -3,5265 -3,2223 -3,0702 -3,0990 -3,2892 -3,5800 -3,8846 -4,1316 -4,3060 -4,4395 -4,5613 -4,6659 -4,7339 -4,7651 -4,7723 -4,7511 -4,6716 -4,5064 -4,2614 -3,9817 -3,7261 -3,5268 -3,3786 -3,2690 -3,1972 -3,1473 -3,0702 -2,9182 -2,6893 -2,4257 -2,1762 -1,9762 -1,8575
