Fp1   -1,9239 -1,9270 -2,0138 -2,1554 -2,2946 -2,3787 -2,3817 -2,3022 -2,1496 -1,9315 -1,6499 -1,3069 -0,9164 -0,5167 -0,1666 0,0710 0,1480 0,0507 -0,1868 -0,4903 -0,7742 -0,9731 -1,0592 -1,0408 -0,9453 -0,7999 -0,6243 -0,4302 -0,2176 0,0249 0,3095 0,6394 1,0015 1,3619 1,6725 1,8868 1,9805 1,9665 1,8957 1,8317 1,8099 1,8187 1,8205 1,7914 1,7435 1,7204 1,7681 1,9010 2,0859 2,2566 2,3505 2,3504 2,2967 2,2509 2,2440 2,2588 2,2583 2,2228 2,1630 2,1060 2,0733 2,0672 2,0729 2,0790 2,0978 2,1555 2,2603 2,3904 2,5115 2,5996 2,6483 2,6586 2,6307 2,5692 2,4870 2,3954 2,2912 2,1653 2,0231 1,8921 1,8004 1,7495 1,7088 1,6300 1,4662 1,1988 0,8582 0,5083 0,2080 -0,0084 -0,1269 -0,1531 -0,1155 -0,0612 -0,0466 -0,1292 -0,3495 -0,7035 -1,1387 -1,5790 -1,9604 -2,2599 -2,5011 -2,7289 -2,9748 -3,2359 -3,4778 -3,6586 -3,7547 -3,7707 -3,7323 -3,6674 -3,5903 -3,4986 -3,3763 -3,1987 -2,9420 -2,5948 -2,1605 -1,6495 -1,0808 -0,4907 0,0778 0,6067 1,1210 1,6702 2,2920 2,9892 3,7340 4,4910 5,2297 5,9251 6,5612 7,1321 7,6317 8,0436 8,3401 8,4899 8,4767 8,3201 8,0829 7,8419 7,6430 7,4820 7,3260 7,1474 6,9418 6,7333 6,5657 6,4730 6,4506 6,4527 6,4154 6,2897 6,0725 5,8092 5,5614 5,3697 5,2367 5,1390 5,0572 4,9917 4,9468 4,9143 4,8830 4,8594 4,8690 4,9397 5,0832 5,2786 5,4776 5,6330 5,7189 5,7367 5,7219 5,7387 5,8450 6,0557 6,3327 6,6082 6,8204 6,9369 6,9509 6,8651 6,6926 6,4655 6,2223 5,9831 5,7449 5,5002 5,2579 5,0462 4,8891 4,7725 4,6438 4,4531 4,1885 3,8740 3,5479 3,2398 2,9555 2,6762 2,3763 2,0505 1,7274 1,4562 1,2813 1,2264 1,2905 1,4542 1,6877 1,9503 2,1880 2,3498 2,4185 2,4278 2,4388 2,4939 2,5869 2,6715 2,6911 2,6052 2,4011 2,0896 1,6915 1,2322 0,7446 0,2692 -0,1489 -0,4662 -0,6549 -0,7133 -0,6611 -0,5320 -0,3692 -0,2137 -0,0947 -0,0306 -0,0339 -0,1143 -0,2785 -0,5238 -0,8260 -1,1406 -1,4259 -1,6612 -1,8445 -1,9774 -2,0561 -2,0729 -2,0282 -1,9449 -1,8692 -1,8537 -1,9324 -2,0990 -2,3023 -2,4682 -2,5375 -2,4939 -2,3685 -2,2163 -2,0833 -1,9917 -1,9480 -1,9566 -2,0141 -2,0969 -2,1724 -2,2267 -2,2721 -2,3306 -2,4232 -2,5726 -2,7997 -3,1013 -3,4331 -3,7215 -3,8903 -3,8828 -3,6813 -3,3174 -2,8534 -2,3571 -1,8918 -1,5117 -1,2458 -1,0825 -0,9712 -0,8517 -0,6941 -0,5174 -0,3757 -0,3326 -0,4313 -0,6687 -0,9890 -1,3029 -1,5272 -1,6225 -1,6057 -1,5362 -1,4970 -1,5608 -1,7432 -1,9857 -2,1910 -2,2809 -2,2340 -2,0826 -1,8895 -1,7211 -1,6285 -1,6340 -1,7177 -1,8160 -1,8499 -1,7651 -1,5418 -1,1809 -0,7036 -0,1683 0,3392 0,7463 1,0206 1,1687 1,2165 1,1896 1,1101 1,0077 0,9224 0,8962 0,9665 1,1615 1,4896 1,9276 2,4197 2,8944 3,2934 3,5874 3,7678 3,8255 3,7477 3,5371 3,2307 2,8904 2,5772 2,3375 2,2017 2,1679 2,1910 2,2114 2,1976 2,1558 2,1090 2,0713 2,0328 1,9733 1,8933 1,8229 1,7975 1,8312 1,9144 2,0282 2,1577 2,2982 2,4544 2,6314 2,8204 2,9875 3,0799 3,0574 2,9192 2,6972 2,4319 2,1634 1,9331 1,7640 1,6435 1,5476 1,4696 1,4107 1,3521 1,2514 1,0680 0,7925 0,4550 0,1114 -0,1821 -0,3863 -0,4811 -0,4633 -0,3446 -0,1511 0,0812 0,3133 0,5077 0,6302 0,6604 0,6079 0,5040 0,3757 0,2338 0,0874 -0,0425 -0,1273 -0,1436 -0,0761 0,0807 0,3159 0,5992 0,8833 1,1134 1,2452 1,2612 1,1718 1,0021 0,7849 0,5583 0,3538 0,1823 0,0420 -0,0579 -0,0971 -0,0684 0,0105 0,1148 0,2361 0,3813 0,5505 0,7250 0,8767 0,9823 1,0308 1,0293 1,0087 1,0212 1,1147 1,2908 1,4906 1,6355 1,6802 1,6228 1,4868 1,3118 1,1448 1,0212 0,9570 0,9589 1,0298 1,1591 1,3163 1,4655 1,5917 1,7062 1,8263 1,9514 2,0661 2,1615 2,2412 2,3095 2,3680 2,4235 2,4803 2,5176 2,4847 2,3317 2,0485 1,6775 1,2892 0,9341 0,6141 0,2989 -0,0373 -0,3939 -0,7435 -1,0469 -1,2764 -1,4296 -1,5272 -1,6025 -1,6892 -1,8097 -1,9733 -2,1826 -2,4385 -2,7354 -3,0495 -3,3407 -3,5722 -3,7291 -3,8155 -3,8325 -3,7665 -3,6042 -3,3541 -3,0455 -2,7132 -2,3853 -2,0778 -1,7910 -1,5154 -1,2443 -0,9718 -0,6801 -0,3395 0,0726 0,5553 1,0850 1,6226 2,1206 2,5386 2,8600 3,0959 3,2725 3,4200 3,5687 3,7408 3,9371 4,1260 4,2498 4,2476 4,0876 3,7920 3,4318 3,0907 2,8258 2,6499 2,5354 2,4300 2,2779 2,0475 1,7497 1,4322 1,1541 0,9649 0,8942 0,9480 1,1017 1,3037 1,4970 1,6393 1,7051 1,6761 1,5411 1,3054 0,9916 0,6279 0,2385 -0,1610 -0,5684 -0,9944 -1,4476 -1,9119 -2,3393 -2,6687 -2,8557 -2,8986 -2,8374 -2,7251 -2,6043 -2,5102 -2,4854 -2,5787 -2,8213 -3,1975 -3,6418 -4,0700 -4,4216 -4,6774 -4,8468 -4,9493 -5,0101 -5,0600 -5,1254 -5,2163 -5,3244 -5,4340 -5,5328 -5,6099 -5,6490 -5,6318 -5,5551 -5,4410 -5,3240 -5,2201 -5,1113 -4,9676 -4,7841 -4,5948 -4,4487 -4,3812 -4,4026 -4,5027 -4,6558 -4,8257 -4,9704 -5,0490 -5,0307 -4,9015
Fz    -2,5886 -2,6565 -2,6109 -2,4518 -2,1813 -1,8145 -1,3879 -0,9572 -0,5784 -0,2829 -0,0651 0,1026 0,2422 0,3530 0,4174 0,4189 0,3525 0,2253 0,0552 -0,1333 -0,3189 -0,4930 -0,6593 -0,8253 -0,9913 -1,1404 -1,2404 -1,2602 -1,1833 -1,0086 -0,7482 -0,4286 -0,0864 0,2388 0,5122 0,7130 0,8404 0,9134 0,9702 1,0609 1,2226 1,4546 1,7194 1,9701 2,1768 2,3295 2,4270 2,4706 2,4689 2,4366 2,3878 2,3351 2,2922 2,2672 2,2527 2,2277 2,1673 2,0530 1,8824 1,6739 1,4631 1,2888 1,1799 1,1519 1,2079 1,3365 1,5096 1,6894 1,8414 1,9428 1,9868 1,9848 1,9666 1,9709 2,0268 2,1392 2,2830 2,4112 2,4777 2,4572 2,3507 2,1740 1,9406 1,6485 1,2822 0,8333 0,3265 -0,1828 -0,6394 -1,0147 -1,3068 -1,5298 -1,7068 -1,8630 -2,0154 -2,1691 -2,3221 -2,4727 -2,6226 -2,7728 -2,9230 -3,0790 -3,2597 -3,4938 -3,8063 -4,2032 -4,6651 -5,1477 -5,5914 -5,9383 -6,1512 -6,2205 -6,1576 -5,9812 -5,7076 -5,3499 -4,9183 -4,4173 -3,8445 -3,1973 -2,4840 -1,7325 -0,9811 -0,2539 0,4574 1,1837 1,9522 2,7681 3,6136 4,4547 5,2466 5,9450 6,5220 6,9798 7,3479 7,6668 7,9699 8,2717 8,5636 8,8197 9,0075 9,0977 9,0696 8,9154 8,6447 8,2824 7,8635 7,4324 7,0419 6,7447 6,5794 6,5562 6,6478 6,7969 6,9461 7,0637 7,1419 7,1829 7,1889 7,1660 7,1342 7,1272 7,1791 7,3093 7,5173 7,7863 8,0835 8,3627 8,5791 8,7083 8,7553 8,7497 8,7337 8,7465 8,8143 8,9430 9,1193 9,3214 9,5298 9,7285 9,8996 10,0182 10,0554 9,9859 9,7996 9,5116 9,1607 8,7938 8,4461 8,1288 7,8310 7,5323 7,2144 6,8609 6,4537 5,9766 5,4273 4,8266 4,2187 3,6570 3,1812 2,8017 2,5062 2,2797 2,1151 2,0054 1,9340 1,8814 1,8400 1,8176 1,8290 1,8824 1,9689 2,0634 2,1401 2,1904 2,2227 2,2486 2,2718 2,2877 2,2867 2,2582 2,1975 2,1099 2,0029 1,8804 1,7441 1,6016 1,4673 1,3577 1,2871 1,2681 1,3149 1,4392 1,6375 1,8820 2,1282 2,3291 2,4474 2,4592 2,3511 2,1214 1,7866 1,3814 0,9464 0,5161 0,1178 -0,2303 -0,5245 -0,7772 -1,0055 -1,2173 -1,4148 -1,6069 -1,8127 -2,0515 -2,3277 -2,6224 -2,8985 -3,1186 -3,2641 -3,3441 -3,3882 -3,4320 -3,5012 -3,6034 -3,7277 -3,8537 -3,9636 -4,0490 -4,1076 -4,1355 -4,1234 -4,0592 -3,9372 -3,7622 -3,5499 -3,3251 -3,1134 -2,9309 -2,7840 -2,6762 -2,6051 -2,5562 -2,5050 -2,4301 -2,3244 -2,1961 -2,0597 -1,9268 -1,8023 -1,6827 -1,5550 -1,4024 -1,2175 -1,0127 -0,8186 -0,6731 -0,6080 -0,6408 -0,7718 -0,9877 -1,2712 -1,6013 -1,9467 -2,2658 -2,5181 -2,6742 -2,7211 -2,6645 -2,5285 -2,3520 -2,1771 -2,0359 -1,9413 -1,8837 -1,8380 -1,7786 -1,6887 -1,5600 -1,3886 -1,1716 -0,9037 -0,5793 -0,2030 0,2010 0,5885 0,9070 1,1151 1,1993 1,1756 1,0813 0,9693 0,9003 0,9247 1,0648 1,3088 1,6182 1,9437 2,2392 2,4709 2,6187 2,6724 2,6293 2,4932 2,2797 2,0248 1,7850 1,6182 1,5516 1,5613 1,5893 1,5817 1,5140 1,3917 1,2328 1,0500 0,8525 0,6573 0,4921 0,3800 0,3282 0,3303 0,3735 0,4410 0,5168 0,5935 0,6693 0,7353 0,7680 0,7392 0,6354 0,4705 0,2770 0,0858 -0,0878 -0,2447 -0,3997 -0,5743 -0,7772 -0,9901 -1,1759 -1,3003 -1,3485 -1,3309 -1,2726 -1,1958 -1,1077 -1,0004 -0,8604 -0,6833 -0,4826 -0,2871 -0,1340 -0,0622 -0,0992 -0,2502 -0,4981 -0,8106 -1,1491 -1,4805 -1,7877 -2,0702 -2,3298 -2,5523 -2,7042 -2,7518 -2,6787 -2,4900 -2,2101 -1,8808 -1,5533 -1,2745 -1,0734 -0,9524 -0,8936 -0,8759 -0,8866 -0,9169 -0,9541 -0,9826 -0,9855 -0,9463 -0,8571 -0,7269 -0,5768 -0,4223 -0,2612 -0,0748 0,1562 0,4390 0,7714 1,1487 1,5581 1,9756 2,3767 2,7501 3,0977 3,4179 3,6978 3,9235 4,0905 4,2013 4,2551 4,2483 4,1804 4,0553 3,8806 3,6714 3,4530 3,2545 3,0962 2,9858 2,9227 2,8992 2,8990 2,9005 2,8832 2,8346 2,7543 2,6546 2,5529 2,4618 2,3798 2,2905 2,1687 1,9903 1,7410 1,4215 1,0488 0,6482 0,2482 -0,1164 -0,4022 -0,5730 -0,6209 -0,5689 -0,4583 -0,3344 -0,2426 -0,2274 -0,3258 -0,5589 -0,9280 -1,4159 -1,9908 -2,6117 -3,2357 -3,8251 -4,3484 -4,7761 -5,0816 -5,2436 -5,2491 -5,1010 -4,8215 -4,4416 -3,9867 -3,4724 -2,9099 -2,3111 -1,6909 -1,0665 -0,4530 0,1400 0,7074 1,2472 1,7621 2,2591 2,7413 3,2011 3,6217 3,9865 4,2843 4,5143 4,6906 4,8360 4,9710 5,1107 5,2648 5,4308 5,5922 5,7298 5,8355 5,9101 5,9544 5,9661 5,9444 5,8935 5,8193 5,7241 5,6051 5,4543 5,2565 4,9958 4,6700 4,2981 3,9070 3,5097 3,0958 2,6447 2,1459 1,6116 1,0716 0,5580 0,0911 -0,3193 -0,6698 -0,9616 -1,2011 -1,4043 -1,5982 -1,8097 -2,0481 -2,2992 -2,5355 -2,7363 -2,9055 -3,0719 -3,2674 -3,5058 -3,7788 -4,0671 -4,3544 -4,6298 -4,8784 -5,0790 -5,2198 -5,3116 -5,3776 -5,4283 -5,4533 -5,4412 -5,3991 -5,3497 -5,3120 -5,2885 -5,2690 -5,2459 -5,2195 -5,1922 -5,1668 -5,1557 -5,1837 -5,2689 -5,3987 -5,5315 -5,6227 -5,6503 -5,6177 -5,5416 -5,4410 -5,3322 -5,2267 -5,1328 -5,0598 -5,0188 -5,0180 -5,0604 -5,1454
F3    -2,5375 -2,6054 -2,5463 -2,3572 -2,0496 -1,6567 -1,2309 -0,8332 -0,5166 -0,3046 -0,1800 -0,1003 -0,0252 0,0591 0,1390 0,1913 0,1971 0,1423 0,0194 -0,1647 -0,3889 -0,6300 -0,8726 -1,1007 -1,2868 -1,3939 -1,3924 -1,2783 -1,0737 -0,8112 -0,5178 -0,2106 0,0975 0,3911 0,6494 0,8526 0,9897 1,0643 1,0999 1,1380 1,2197 1,3620 1,5546 1,7790 2,0235 2,2768 2,5139 2,6981 2,7989 2,8081 2,7427 2,6365 2,5252 2,4280 2,3375 2,2338 2,1029 1,9385 1,7363 1,4976 1,2380 0,9869 0,7786 0,6411 0,5883 0,6149 0,6956 0,7915 0,8628 0,8859 0,8638 0,8236 0,8037 0,8365 0,9323 1,0717 1,2099 1,2953 1,2940 1,2064 1,0614 0,8913 0,7096 0,5034 0,2399 -0,1094 -0,5367 -0,9923 -1,4153 -1,7678 -2,0402 -2,2389 -2,3832 -2,5059 -2,6410 -2,8066 -2,9995 -3,2009 -3,3862 -3,5377 -3,6538 -3,7535 -3,8686 -4,0285 -4,2515 -4,5454 -4,9047 -5,2985 -5,6677 -5,9431 -6,0758 -6,0559 -5,9033 -5,6480 -5,3187 -4,9397 -4,5269 -4,0850 -3,6083 -3,0854 -2,5062 -1,8712 -1,1891 -0,4617 0,3213 1,1689 2,0744 3,0124 3,9439 4,8276 5,6284 6,3213 6,8933 7,3485 7,7101 8,0117 8,2815 8,5259 8,7290 8,8687 8,9282 8,8921 8,7401 8,4574 8,0552 7,5760 7,0828 6,6365 6,2772 6,0174 5,8503 5,7575 5,7132 5,6904 5,6711 5,6549 5,6540 5,6768 5,7147 5,7448 5,7469 5,7167 5,6700 5,6357 5,6428 5,7065 5,8215 5,9652 6,1068 6,2205 6,2955 6,3398 6,3740 6,4210 6,4964 6,6041 6,7419 6,9033 7,0708 7,2143 7,3055 7,3307 7,2885 7,1787 7,0014 6,7662 6,4958 6,2180 5,9530 5,6995 5,4339 5,1300 4,7781 4,3859 3,9690 3,5425 3,1190 2,7104 2,3318 2,0024 1,7388 1,5455 1,4138 1,3237 1,2450 1,1440 0,9964 0,7980 0,5712 0,3576 0,1999 0,1207 0,1103 0,1314 0,1381 0,0988 0,0081 -0,1173 -0,2541 -0,3825 -0,4886 -0,5646 -0,6067 -0,6119 -0,5800 -0,5223 -0,4669 -0,4539 -0,5213 -0,6889 -0,9458 -1,2495 -1,5384 -1,7535 -1,8644 -1,8832 -1,8508 -1,8094 -1,7866 -1,7977 -1,8548 -1,9675 -2,1364 -2,3503 -2,5955 -2,8603 -3,1329 -3,4030 -3,6672 -3,9294 -4,1923 -4,4508 -4,6946 -4,9193 -5,1314 -5,3462 -5,5788 -5,8303 -6,0763 -6,2721 -6,3817 -6,4000 -6,3477 -6,2491 -6,1200 -5,9738 -5,8291 -5,7062 -5,6210 -5,5856 -5,6074 -5,6861 -5,8089 -5,9513 -6,0856 -6,1869 -6,2356 -6,2229 -6,1548 -6,0468 -5,9176 -5,7883 -5,6751 -5,5773 -5,4772 -5,3525 -5,1900 -4,9932 -4,7762 -4,5542 -4,3384 -4,1335 -3,9350 -3,7377 -3,5451 -3,3668 -3,2120 -3,0960 -3,0469 -3,0943 -3,2492 -3,4981 -3,8113 -4,1522 -4,4824 -4,7717 -5,0094 -5,2010 -5,3521 -5,4584 -5,5110 -5,5069 -5,4516 -5,3573 -5,2378 -5,1013 -4,9498 -4,7862 -4,6157 -4,4373 -4,2396 -4,0085 -3,7322 -3,4011 -3,0150 -2,5912 -2,1627 -1,7692 -1,4523 -1,2483 -1,1760 -1,2249 -1,3514 -1,4866 -1,5565 -1,5100 -1,3375 -1,0681 -0,7486 -0,4266 -0,1429 0,0710 0,1963 0,2256 0,1594 0,0115 -0,1828 -0,3711 -0,5007 -0,5413 -0,5023 -0,4258 -0,3622 -0,3462 -0,3907 -0,4979 -0,6715 -0,9090 -1,1862 -1,4614 -1,6953 -1,8626 -1,9514 -1,9632 -1,9143 -1,8308 -1,7383 -1,6589 -1,6124 -1,6170 -1,6878 -1,8279 -2,0169 -2,2142 -2,3842 -2,5191 -2,6378 -2,7691 -2,9366 -3,1472 -3,3824 -3,6049 -3,7772 -3,8777 -3,9021 -3,8596 -3,7689 -3,6534 -3,5323 -3,4128 -3,2924 -3,1728 -3,0675 -2,9972 -2,9838 -3,0467 -3,1985 -3,4394 -3,7517 -4,1003 -4,4429 -4,7465 -4,9960 -5,1873 -5,3114 -5,3526 -5,3032 -5,1737 -4,9829 -4,7484 -4,4925 -4,2499 -4,0531 -3,9103 -3,7996 -3,6901 -3,5707 -3,4607 -3,3915 -3,3804 -3,4200 -3,4826 -3,5296 -3,5298 -3,4751 -3,3787 -3,2542 -3,0998 -2,9052 -2,6740 -2,4280 -2,1852 -1,9444 -1,6946 -1,4318 -1,1593 -0,8793 -0,5905 -0,2994 -0,0245 0,2143 0,4097 0,5662 0,6896 0,7786 0,8234 0,8095 0,7257 0,5750 0,3801 0,1740 -0,0137 -0,1660 -0,2830 -0,3834 -0,4960 -0,6389 -0,8007 -0,9443 -1,0303 -1,0370 -0,9656 -0,8373 -0,6906 -0,5739 -0,5330 -0,5962 -0,7697 -1,0384 -1,3702 -1,7244 -2,0621 -2,3543 -2,5855 -2,7520 -2,8577 -2,9106 -2,9272 -2,9355 -2,9699 -3,0629 -3,2380 -3,5073 -3,8707 -4,3151 -4,8145 -5,3351 -5,8438 -6,3134 -6,7187 -7,0319 -7,2312 -7,3083 -7,2621 -7,0916 -6,7968 -6,3814 -5,8537 -5,2293 -4,5371 -3,8194 -3,1236 -2,4880 -1,9313 -1,4509 -1,0327 -0,6639 -0,3430 -0,0791 0,1214 0,2691 0,3943 0,5321 0,7004 0,8978 1,1240 1,3943 1,7293 2,1357 2,5898 3,0398 3,4273 3,7140 3,8891 3,9591 3,9335 3,8175 3,6187 3,3555 3,0538 2,7333 2,4017 2,0578 1,6947 1,3097 0,9156 0,5418 0,2171 -0,0542 -0,3029 -0,5812 -0,9344 -1,3733 -1,8695 -2,3774 -2,8635 -3,3153 -3,7306 -4,1048 -4,4272 -4,6882 -4,8877 -5,0396 -5,1651 -5,2820 -5,3993 -5,5221 -5,6597 -5,8277 -6,0412 -6,3092 -6,6309 -6,9991 -7,4041 -7,8291 -8,2379 -8,5790 -8,8085 -8,9138 -8,9131 -8,8349 -8,7025 -8,5433 -8,4008 -8,3243 -8,3410 -8,4410 -8,5895 -8,7501 -8,8964 -9,0103 -9,0851 -9,1342 -9,1854 -9,2540 -9,3195 -9,3353 -9,2627 -9,0970 -8,8660 -8,6104 -8,3669 -8,1668 -8,0362 -7,9900 -8,0271 -8,1312 -8,2788 -8,4490 -8,6266
F7    -1,4054 -1,4952 -1,5587 -1,5725 -1,5128 -1,3796 -1,2093 -1,0603 -0,9799 -0,9703 -0,9814 -0,9405 -0,7979 -0,5581 -0,2753 -0,0188 0,1576 0,2273 0,1910 0,0730 -0,0910 -0,2707 -0,4459 -0,6009 -0,7190 -0,7812 -0,7704 -0,6793 -0,5172 -0,3070 -0,0746 0,1629 0,3977 0,6180 0,8003 0,9193 0,9626 0,9378 0,8733 0,8136 0,8033 0,8679 1,0064 1,1978 1,4163 1,6389 1,8403 1,9878 2,0524 2,0278 1,9378 1,8304 1,7571 1,7432 1,7732 1,8057 1,8010 1,7367 1,6087 1,4257 1,2093 0,9944 0,8245 0,7411 0,7689 0,9022 1,1018 1,3110 1,4791 1,5740 1,5832 1,5135 1,3928 1,2622 1,1543 1,0737 0,9954 0,8815 0,7121 0,5037 0,2949 0,1155 -0,0316 -0,1749 -0,3664 -0,6495 -1,0217 -1,4307 -1,8027 -2,0698 -2,1872 -2,1476 -1,9907 -1,7932 -1,6398 -1,5983 -1,7078 -1,9708 -2,3497 -2,7726 -3,1588 -3,4571 -3,6717 -3,8504 -4,0455 -4,2808 -4,5471 -4,8138 -5,0427 -5,2001 -5,2689 -5,2524 -5,1653 -5,0261 -4,8547 -4,6697 -4,4775 -4,2634 -3,9930 -3,6249 -3,1328 -2,5218 -1,8246 -1,0773 -0,2987 0,5137 1,3691 2,2639 3,1698 4,0393 4,8212 5,4820 6,0169 6,4461 6,7973 7,0889 7,3223 7,4823 7,5519 7,5320 7,4456 7,3193 7,1614 6,9594 6,6980 6,3813 6,0398 5,7197 5,4661 5,3057 5,2372 5,2324 5,2457 5,2310 5,1637 5,0529 4,9287 4,8157 4,7154 4,6124 4,4937 4,3581 4,2114 4,0629 3,9214 3,7927 3,6786 3,5798 3,5021 3,4559 3,4478 3,4789 3,5498 3,6647 3,8283 4,0366 4,2721 4,5069 4,7098 4,8519 4,9141 4,8892 4,7773 4,5794 4,3030 3,9724 3,6213 3,2747 2,9415 2,6184 2,2979 1,9755 1,6492 1,3167 0,9728 0,6115 0,2300 -0,1698 -0,5782 -0,9736 -1,3257 -1,6105 -1,8246 -1,9831 -2,1080 -2,2173 -2,3191 -2,4064 -2,4553 -2,4340 -2,3231 -2,1298 -1,8843 -1,6272 -1,3953 -1,2089 -1,0707 -0,9771 -0,9270 -0,9231 -0,9721 -1,0856 -1,2703 -1,5181 -1,8099 -2,1281 -2,4666 -2,8301 -3,2193 -3,6144 -3,9773 -4,2683 -4,4572 -4,5274 -4,4811 -4,3471 -4,1740 -4,0104 -3,8886 -3,8260 -3,8361 -3,9277 -4,0912 -4,3000 -4,5288 -4,7624 -4,9935 -5,2193 -5,4421 -5,6682 -5,9020 -6,1383 -6,3637 -6,5669 -6,7442 -6,8952 -7,0100 -7,0605 -7,0030 -6,8016 -6,4603 -6,0275 -5,5669 -5,1310 -4,7572 -4,4728 -4,2927 -4,2159 -4,2352 -4,3467 -4,5462 -4,8197 -5,1414 -5,4799 -5,8033 -6,0802 -6,2851 -6,4092 -6,4598 -6,4416 -6,3468 -6,1652 -5,8995 -5,5704 -5,2148 -4,8794 -4,6058 -4,4140 -4,2972 -4,2325 -4,1983 -4,1814 -4,1752 -4,1818 -4,2148 -4,2933 -4,4296 -4,6220 -4,8574 -5,1164 -5,3767 -5,6197 -5,8386 -6,0331 -6,1949 -6,3061 -6,3556 -6,3509 -6,3091 -6,2396 -6,1408 -6,0131 -5,8726 -5,7503 -5,6747 -5,6535 -5,6744 -5,7187 -5,7663 -5,7873 -5,7444 -5,6142 -5,3975 -5,1129 -4,7909 -4,4660 -4,1647 -3,8997 -3,6767 -3,4970 -3,3552 -3,2382 -3,1231 -2,9725 -2,7425 -2,4075 -1,9817 -1,5152 -1,0661 -0,6773 -0,3761 -0,1833 -0,1145 -0,1746 -0,3533 -0,6180 -0,9148 -1,1821 -1,3709 -1,4666 -1,4989 -1,5181 -1,5554 -1,6053 -1,6401 -1,6402 -1,6148 -1,5931 -1,5954 -1,6149 -1,6215 -1,5774 -1,4565 -1,2641 -1,0397 -0,8346 -0,6814 -0,5839 -0,5327 -0,5260 -0,5788 -0,7055 -0,8977 -1,1213 -1,3377 -1,5212 -1,6612 -1,7659 -1,8616 -1,9715 -2,0961 -2,2205 -2,3350 -2,4424 -2,5475 -2,6461 -2,7252 -2,7684 -2,7613 -2,6927 -2,5576 -2,3622 -2,1244 -1,8721 -1,6426 -1,4766 -1,4058 -1,4444 -1,5852 -1,7999 -2,0467 -2,2851 -2,4873 -2,6364 -2,7156 -2,7103 -2,6189 -2,4515 -2,2222 -1,9494 -1,6637 -1,4041 -1,2016 -1,0631 -0,9700 -0,9004 -0,8555 -0,8631 -0,9527 -1,1375 -1,4118 -1,7457 -2,0793 -2,3447 -2,5015 -2,5495 -2,5092 -2,3955 -2,2107 -1,9562 -1,6395 -1,2705 -0,8637 -0,4470 -0,0595 0,2661 0,5225 0,7238 0,8798 0,9827 1,0209 0,9948 0,9183 0,8130 0,7045 0,6110 0,5298 0,4432 0,3430 0,2472 0,1900 0,1979 0,2749 0,4066 0,5687 0,7329 0,8750 0,9861 1,0775 1,1697 1,2784 1,4085 1,5508 1,6779 1,7505 1,7336 1,6106 1,3846 1,0791 0,7346 0,3931 0,0800 -0,1982 -0,4469 -0,6794 -0,9106 -1,1475 -1,3861 -1,6190 -1,8457 -2,0725 -2,2999 -2,5156 -2,7055 -2,8742 -3,0528 -3,2827 -3,5902 -3,9727 -4,3942 -4,7955 -5,1161 -5,3084 -5,3393 -5,1946 -4,8882 -4,4605 -3,9645 -3,4487 -2,9453 -2,4676 -2,0198 -1,6094 -1,2426 -0,9103 -0,5857 -0,2411 0,1381 0,5524 0,9925 1,4412 1,8768 2,2759 2,6098 2,8538 3,0112 3,1204 3,2317 3,3760 3,5447 3,6925 3,7670 3,7465 3,6482 3,5024 3,3260 3,1174 2,8691 2,5850 2,2870 2,0095 1,7840 1,6213 1,5011 1,3886 1,2647 1,1404 1,0431 0,9890 0,9667 0,9444 0,8897 0,7910 0,6636 0,5306 0,3986 0,2536 0,0745 -0,1532 -0,4277 -0,7287 -1,0283 -1,3059 -1,5528 -1,7638 -1,9312 -2,0473 -2,1162 -2,1629 -2,2227 -2,3258 -2,4911 -2,7313 -3,0587 -3,4731 -3,9413 -4,3998 -4,7869 -5,0726 -5,2594 -5,3621 -5,3939 -5,3737 -5,3365 -5,3293 -5,3909 -5,5301 -5,7213 -5,9204 -6,0860 -6,1899 -6,2234 -6,2045 -6,1729 -6,1613 -6,1617 -6,1232 -5,9921 -5,7591 -5,4715 -5,2031 -5,0164 -4,9441 -4,9888 -5,1263 -5,3153 -5,5101 -5,6698 -5,7651 -5,7805
