Fp1   -1,2171 -1,0177 -0,6615 -0,1528 0,4775 1,1039 1,5435 1,6523 1,3946 0,8508 0,1645 -0,5365 -1,1939 -1,8065 -2,3666 -2,8160 -3,0691 -3,0727 -2,8477 -2,4918 -2,1385 -1,8647 -1,6109 -1,2329 -0,6571 0,0196 0,5514 0,6713 0,2814 -0,4430 -1,1786 -1,6975 -1,9687 -2,0513 -1,9609 -1,6510 -1,0829 -0,2921 0,6142 1,5204 2,3402 2,9843 3,3553 3,4360 3,3459 3,2596 3,2809 3,3905 3,4710 3,3710 2,9944 2,3706 1,6422 0,9693 0,4242 -0,0476 -0,5629 -1,1697 -1,7646 -2,1361 -2,1009 -1,6271 -0,8529 -0,0108 0,6632 0,9925 0,8985 0,4223 -0,2803 -0,9915 -1,5240 -1,7872 -1,7735 -1,5119 -1,0676 -0,5616 -0,1375 0,0880 0,0267 -0,3731 -1,0704 -1,9171 -2,7396 -3,4401 -4,0260 -4,5454 -4,9930 -5,2916 -5,3780 -5,2763 -5,0677 -4,8161 -4,5550 -4,3315 -4,2385 -4,3992 -4,9045 -5,7469 -6,8253 -8,0090 -9,1799 -10,2430 -11,1461 -11,8898 -12,4791 -12,8599 -12,9349 -12,6620 -12,1200 -11,4584 -10,7913 -10,1485 -9,5166 -8,8858 -8,2360 -7,5022 -6,5940 -5,4682 -4,1866 -2,9072 -1,8023 -0,9528 -0,2977 0,2996 0,9276 1,5681 2,1244 2,4785 2,5609 2,4071 2,1245 1,7937 1,4606 1,2333 1,2835 1,6764 2,2482 2,6935 2,7460 2,2954 1,4107 0,2734 -0,9449 -2,1652 -3,3821 -4,5779 -5,6585 -6,4730 -6,9290 -7,0905 -7,1080 -7,0531 -6,8694 -6,4750 -5,8678 -5,1305 -4,3766 -3,7160 -3,2445 -3,0151 -3,0099 -3,1604 -3,4176 -3,7987 -4,3438 -5,0096 -5,6158 -5,9458 -5,9050 -5,5254 -4,8320 -3,8079 -2,5085 -1,1407 0,0103 0,7294 0,9582 0,7507 0,1777 -0,7073 -1,8309 -3,0553 -4,1834 -5,0298 -5,5059 -5,6292 -5,4592 -5,0565 -4,5008 -3,9147 -3,4396 -3,1618 -3,0634 -3,0769 -3,1858 -3,4399 -3,8746 -4,4343 -4,9679 -5,2912 -5,2683 -4,8673 -4,1613 -3,2946 -2,4424 -1,7449 -1,2409 -0,8780 -0,5918 -0,3591 -0,1803 -0,0369 0,1080 0,2633 0,3778 0,3656 0,1622 -0,2278 -0,6961 -1,0322 -0,9991 -0,4678 0,4900 1,6401 2,7085 3,4792 3,8293 3,7368 3,2810 2,6134 1,8980 1,2848 0,9256 0,9328 1,2795 1,7894 2,2525 2,5314 2,5749 2,3987 2,0792 1,7270 1,4342 1,2431 1,1493 1,1186 1,0819 0,9269 0,5488 -0,0536 -0,7491 -1,3437 -1,6632 -1,6031 -1,1491 -0,3749 0,5619 1,4430 2,0644 2,3298 2,2812 2,0280 1,6544 1,2097 0,7326 0,2319 -0,3144 -0,9042 -1,4739 -1,9155 -2,1252 -2,0597 -1,7574 -1,2844 -0,6527 0,1898 1,2752 2,5246 3,7368 4,6687 5,1458 5,1338 4,7415 4,1579 3,5585 3,0560 2,7187 2,5738 2,5568 2,5224 2,3690 2,1306 1,9303 1,8780 2,0308 2,4284 3,1159 4,1158 5,3958 6,8512 8,2861 9,4301 10,0258 9,9383 9,2199 8,0942 6,8464 5,6858 4,7066 3,9417 3,3905 3,0188 2,8070 2,8001 3,0678 3,6104 4,3283 5,0831 5,7576 6,2430 6,4177 6,2059 5,6689 5,0120 4,4708 4,1763 4,1501 4,4088 5,0119 5,9760 7,1650 8,3104 9,1656 9,6368 9,7693 9,6294 9,2235 8,5392 7,6388 6,6751 5,8154 5,1713 4,7926 4,6911 4,8503 5,2252 5,7477 6,3278 6,8629 7,2913 7,6550 8,0756 8,6268 9,2315 9,7100 9,9211 9,8332 9,5024 9,0431 8,5952 8,2471 7,9730 7,6781 7,3033 6,8677 6,4412 6,1104 5,9618 6,0630 6,4368 7,0539 7,8509 8,7329 9,5568 10,1583 10,4449 10,4572 10,3242 10,1723 10,0741 10,0542 10,1034 10,1651 10,1495 10,0066 9,7720 9,5216 9,3026 9,1326 9,0361 9,0410 9,1582 9,4015 9,8109 10,4268 11,2410 12,1704 13,0646 13,7344 14,0189 13,8689 13,3567 12,5925 11,6570 10,6218 9,6107 8,8046 8,3461 8,2374 8,3506 8,5414 8,7562 9,0395 9,4521 10,0105 10,7024 11,5089 12,3890 13,2817 14,1441 14,9559 15,6720 16,1886 16,3664 16,1019 15,4037 14,4178 13,3747 12,4986 11,9301 11,6891 11,6812 11,7465 11,7455 11,6332 11,4499 11,2362 10,9843 10,6920 10,4469 10,4194 10,7325 11,3278 11,9889 12,5002 12,7612 12,7897 12,6651 12,4502 12,1321 11,6455 10,9618 10,1620 9,4331 8,9841 8,9302 9,2191 9,6532 10,0025 10,1279 10,0118 9,7153 9,3541 9,0995 9,1317 9,5407 10,2554 11,0647 11,7127 12,0178 11,9416 11,5621 11,0141 10,4759 10,1549 10,1948 10,5545 11,0043 11,2643 11,1547 10,6449 9,8198 8,8230 7,7980 6,8516 6,0534 5,4566 5,1204 5,1026 5,4153 5,9798 6,6347 7,2245 7,7059 8,1390 8,5627 8,9190 9,1273 9,2086 9,3105 9,5996 10,1160 10,7359 11,2765 11,6194 11,7444 11,6940 11,5305 11,3058 11,0625 10,8533 10,7248 10,6656 10,5735 10,2941 9,7330 8,9522 8,1278 7,4055 6,8252 6,3771 6,0745 5,9400 5,9420 5,9552 5,7962 5,3344 4,6004 3,7989 3,1906 2,9261 2,9695 3,1587 3,3450 3,5028 3,7196 4,0964 4,6612 5,3574 6,0878 6,7703 7,3856 7,9982 8,7029 9,5111 10,3044 10,9370 11,3582 11,5987 11,6688 11,5223 11,1186 10,4865 9,7188 8,9200 8,1663 7,5069 6,9723 6,5605 6,2256 5,8914 5,4772 4,9303 4,2596 3,5448 2,8944 2,3649 1,9289 1,5469 1,2484 1,1158 1,2250 1,6309 2,3593 3,3512 4,4317 5,3673 5,9509 6,0444 5,6074 4,7296 3,6122 2,5029 1,6396 1,2109 1,3159 1,9342 2,9163 4,0181 4,9902 5,6657 5,9855 5,9645 5,6443 5,0647 4,2703 3,3389 2,3902 1,5653 1,0186
Fz    0,5417 0,4949 0,4817 0,4613 0,3906 0,2312 -0,0317 -0,3710 -0,7246 -1,0221 -1,2156 -1,3069 -1,3471 -1,3998 -1,4934 -1,6075 -1,6974 -1,7185 -1,6368 -1,4430 -1,1657 -0,8576 -0,5592 -0,2800 -0,0199 0,1991 0,3323 0,3435 0,2488 0,1302 0,0870 0,1679 0,3543 0,5940 0,8310 1,0215 1,1449 1,1996 1,1913 1,1339 1,0459 0,9322 0,7865 0,6340 0,5430 0,5705 0,7082 0,8924 1,0534 1,1508 1,1813 1,1715 1,1599 1,1720 1,1972 1,1828 1,0611 0,8001 0,4335 0,0425 -0,2923 -0,5290 -0,6680 -0,7299 -0,7414 -0,7402 -0,7799 -0,9078 -1,1285 -1,3977 -1,6610 -1,8926 -2,0938 -2,2730 -2,4388 -2,6068 -2,7985 -3,0355 -3,3394 -3,7187 -4,1390 -4,5166 -4,7608 -4,8360 -4,7822 -4,6795 -4,5892 -4,5297 -4,4983 -4,4976 -4,5272 -4,5678 -4,5957 -4,6139 -4,6698 -4,8451 -5,2101 -5,7724 -6,4770 -7,2421 -7,9800 -8,6084 -9,0779 -9,3814 -9,5240 -9,4965 -9,2968 -8,9653 -8,5840 -8,2408 -7,9883 -7,8214 -7,6877 -7,5171 -7,2469 -6,8378 -6,2921 -5,6652 -5,0486 -4,5314 -4,1664 -3,9522 -3,8330 -3,7295 -3,5910 -3,4226 -3,2696 -3,1775 -3,1598 -3,1930 -3,2362 -3,2520 -3,2084 -3,0661 -2,7860 -2,3691 -1,8759 -1,3954 -0,9973 -0,7035 -0,4885 -0,3075 -0,1316 0,0368 0,1770 0,2769 0,3532 0,4540 0,6340 0,9151 1,2778 1,6895 2,1244 2,5587 2,9733 3,3589 3,7041 3,9806 4,1468 4,1628 4,0071 3,6932 3,2742 2,8236 2,4158 2,1213 2,0004 2,0739 2,2978 2,5837 2,8474 3,0310 3,0960 3,0213 2,8075 2,4800 2,0800 1,6412 1,1738 0,6714 0,1343 -0,4184 -0,9550 -1,4548 -1,9323 -2,4327 -2,9909 -3,5939 -4,1862 -4,7089 -5,1343 -5,4601 -5,6864 -5,8167 -5,8780 -5,9216 -5,9938 -6,1040 -6,2170 -6,2713 -6,2102 -6,0081 -5,6756 -5,2504 -4,7879 -4,3418 -3,9422 -3,5950 -3,3002 -3,0589 -2,8665 -2,7083 -2,5647 -2,4220 -2,2736 -2,1148 -1,9372 -1,7240 -1,4484 -1,0836 -0,6197 -0,0752 0,5023 1,0499 1,5112 1,8472 2,0293 2,0362 1,8692 1,5703 1,2129 0,8731 0,6100 0,4555 0,4050 0,4209 0,4584 0,4900 0,5085 0,5197 0,5349 0,5592 0,5883 0,6222 0,6770 0,7688 0,8741 0,9152 0,8032 0,5027 0,0482 -0,4897 -1,0323 -1,5052 -1,8548 -2,0682 -2,1834 -2,2694 -2,3832 -2,5339 -2,6802 -2,7633 -2,7490 -2,6389 -2,4599 -2,2576 -2,0796 -1,9454 -1,8425 -1,7525 -1,6705 -1,5990 -1,5351 -1,4660 -1,3640 -1,1858 -0,8959 -0,5022 -0,0712 0,3008 0,5438 0,6548 0,6961 0,7516 0,8764 1,0777 1,3407 1,6527 1,9926 2,3247 2,6226 2,8769 3,0760 3,2055 3,2764 3,3367 3,4404 3,6048 3,8014 3,9813 4,1071 4,1646 4,1514 4,0690 3,9282 3,7478 3,5320 3,2585 2,9072 2,4928 2,0542 1,6205 1,2120 0,8645 0,6327 0,5610 0,6580 0,8971 1,2270 1,5724 1,8417 1,9614 1,9122 1,7347 1,4941 1,2364 0,9869 0,7787 0,6619 0,6740 0,8099 1,0273 1,2805 1,5434 1,8112 2,0849 2,3549 2,5969 2,7810 2,8818 2,8871 2,8032 2,6516 2,4668 2,3072 2,2551 2,3763 2,6707 3,0711 3,4910 3,8711 4,1897 4,4459 4,6453 4,8007 4,9344 5,0595 5,1613 5,2113 5,1979 5,1285 5,0017 4,8056 4,5495 4,2813 4,0652 3,9452 3,9264 3,9763 4,0371 4,0511 3,9930 3,8774 3,7343 3,5784 3,4045 3,1990 2,9539 2,6775 2,3918 2,1134 1,8414 1,5671 1,2956 1,0643 0,9339 0,9500 1,1100 1,3652 1,6534 1,9232 2,1371 2,2644 2,2867 2,2185 2,1128 2,0286 1,9859 1,9481 1,8526 1,6646 1,3966 1,0828 0,7505 0,4199 0,1181 -0,1215 -0,2781 -0,3508 -0,3484 -0,2789 -0,1455 0,0514 0,3021 0,5808 0,8569 1,1101 1,3318 1,5314 1,7438 2,0122 2,3488 2,7139 3,0322 3,2293 3,2754 3,2085 3,1113 3,0607 3,0894 3,1804 3,2827 3,3342 3,2927 3,1627 2,9908 2,8189 2,6498 2,4634 2,2595 2,0727 1,9462 1,8949 1,9046 1,9578 2,0401 2,1318 2,2121 2,2650 2,2779 2,2473 2,1867 2,1245 2,0935 2,1101 2,1525 2,1626 2,0764 1,8690 1,5831 1,3098 1,1352 1,1010 1,1983 1,3872 1,6197 1,8454 2,0074 2,0440 1,9086 1,5928 1,1257 0,5577 -0,0447 -0,6073 -1,0892 -1,5212 -1,9849 -2,5446 -3,2031 -3,9135 -4,6090 -5,2208 -5,6919 -5,9933 -6,1338 -6,1565 -6,1189 -6,0669 -6,0275 -6,0174 -6,0430 -6,0826 -6,0773 -5,9633 -5,7272 -5,4229 -5,1273 -4,8805 -4,6685 -4,4563 -4,2275 -3,9922 -3,7731 -3,6019 -3,5092 -3,5013 -3,5504 -3,6127 -3,6502 -3,6378 -3,5600 -3,4160 -3,2321 -3,0659 -2,9760 -2,9827 -3,0639 -3,1826 -3,3051 -3,3956 -3,4157 -3,3413 -3,1809 -2,9805 -2,8078 -2,7117 -2,6871 -2,6817 -2,6381 -2,5345 -2,3902 -2,2408 -2,0979 -1,9221 -1,6418 -1,2079 -0,6346 -0,0009 0,5795 0,9939 1,1688 1,1023 0,8671 0,5631 0,2640 0,0055 -0,1995 -0,3590 -0,5138 -0,7307 -1,0676 -1,5443 -2,1429 -2,8280 -3,5555 -4,2639 -4,8823 -5,3678 -5,7329 -6,0325 -6,3267 -6,6558 -7,0350 -7,4545 -7,8881 -8,3160 -8,7372 -9,1504 -9,5335 -9,8576 -10,1109 -10,2991 -10,4390 -10,5625 -10,7109 -10,9146 -11,1791 -11,4906 -11,8269 -12,1563 -12,4394 -12,6422 -12,7454 -12,7417 -12,6302 -12,4242 -12,1620 -11,8979 -11,6757 -11,5127 -11,4020 -11,3162 -11,2066 -11,0222 -10,7443 -10,4003 -10,0349 -9,6730 -9,3060
F3    0,4759 0,4235 0,4526 0,4348 0,2305 -0,2149 -0,8150 -1,3743 -1,6886 -1,6398 -1,2377 -0,6192 -0,0013 0,4059 0,4807 0,2218 -0,2679 -0,8206 -1,2599 -1,4659 -1,4186 -1,2017 -0,9546 -0,7940 -0,7630 -0,8400 -0,9647 -1,0678 -1,0986 -1,0290 -0,8369 -0,5076 -0,0475 0,5108 1,1053 1,6506 2,0599 2,2624 2,2181 1,9484 1,5467 1,1354 0,8090 0,6223 0,5988 0,7065 0,8358 0,8439 0,6504 0,2989 -0,0664 -0,2883 -0,2834 -0,0685 0,2742 0,6564 1,0291 1,3787 1,6871 1,9170 2,0345 2,0161 1,8413 1,5028 1,0235 0,4563 -0,1316 -0,6765 -1,1325 -1,4832 -1,7511 -1,9895 -2,2494 -2,5411 -2,8270 -3,0556 -3,2070 -3,3104 -3,4227 -3,5812 -3,7638 -3,8867 -3,8531 -3,6232 -3,2488 -2,8417 -2,5152 -2,3482 -2,3806 -2,6201 -3,0364 -3,5534 -4,0676 -4,4904 -4,7889 -5,0058 -5,2363 -5,5669 -6,0306 -6,6011 -7,2063 -7,7551 -8,1775 -8,4399 -8,5319 -8,4668 -8,3013 -8,1138 -7,9325 -7,7011 -7,3352 -6,8031 -6,1567 -5,5032 -4,9492 -4,5575 -4,3452 -4,3078 -4,4329 -4,6781 -4,9481 -5,1209 -5,1060 -4,8756 -4,4575 -3,9221 -3,3730 -2,9094 -2,5708 -2,3256 -2,1143 -1,8944 -1,6536 -1,3977 -1,1419 -0,9068 -0,7030 -0,5112 -0,2859 0,0075 0,3575 0,7087 1,0053 1,2353 1,4306 1,6235 1,8241 2,0497 2,3396 2,7081 3,1041 3,4405 3,6552 3,7414 3,7429 3,7247 3,7361 3,8010 3,9296 4,1210 4,3524 4,5753 4,7344 4,7982 4,7740 4,6942 4,5897 4,4751 4,3460 4,1767 3,9162 3,4972 2,8772 2,0852 1,2261 0,4392 -0,1489 -0,4470 -0,4208 -0,1138 0,3696 0,9078 1,3776 1,6439 1,5730 1,0805 0,1805 -1,0063 -2,2954 -3,5076 -4,5087 -5,2124 -5,5873 -5,6734 -5,5635 -5,3588 -5,1397 -4,9485 -4,7876 -4,6507 -4,5547 -4,5253 -4,5592 -4,6109 -4,6144 -4,5197 -4,3173 -4,0342 -3,7052 -3,3504 -2,9750 -2,5787 -2,1627 -1,7396 -1,3419 -1,0218 -0,8318 -0,7899 -0,8467 -0,8945 -0,8205 -0,5552 -0,0908 0,5169 1,1614 1,7219 2,1035 2,2620 2,2157 2,0387 1,8125 1,5663 1,2709 0,9003 0,4882 0,1208 -0,1143 -0,1732 -0,0683 0,1459 0,4007 0,6340 0,7977 0,8655 0,8367 0,7262 0,5484 0,3198 0,0737 -0,1409 -0,2920 -0,3950 -0,5006 -0,6480 -0,8407 -1,0686 -1,3357 -1,6521 -2,0154 -2,4115 -2,8115 -3,1609 -3,3921 -3,4442 -3,2760 -2,8860 -2,3255 -1,6715 -0,9830 -0,2999 0,3288 0,8395 1,1657 1,2474 1,0629 0,6713 0,2105 -0,1640 -0,3546 -0,3563 -0,2228 0,0061 0,3399 0,8057 1,3955 2,0574 2,7402 3,4267 4,1118 4,7645 5,3228 5,7183 5,9172 5,9532 5,9221 5,9184 5,9597 5,9700 5,8315 5,4613 4,8737 4,1884 3,5602 3,0927 2,8141 2,7099 2,7539 2,9053 3,0961 3,2465 3,2941 3,2071 2,9947 2,7214 2,4832 2,3497 2,3373 2,4358 2,6314 2,8904 3,1470 3,3273 3,3742 3,2496 2,9417 2,4923 1,9996 1,5741 1,2942 1,1946 1,2713 1,4949 1,8298 2,2457 2,7245 3,2608 3,8381 4,3942 4,8220 5,0197 4,9509 4,6738 4,3065 3,9578 3,6985 3,5810 3,6462 3,9039 4,3200 4,8264 5,3442 5,8065 6,1719 6,4324 6,6096 6,7260 6,7800 6,7562 6,6505 6,4799 6,2794 6,0939 5,9693 5,9371 5,9993 6,1353 6,3185 6,5120 6,6502 6,6430 6,4192 5,9681 5,3534 4,6928 4,1117 3,6943 3,4571 3,3565 3,3258 3,3112 3,2796 3,2126 3,1156 3,0301 3,0314 3,2050 3,6005 4,1850 4,8459 5,4432 5,8662 6,0500 5,9601 5,5938 4,9959 4,2463 3,4363 2,6569 1,9970 1,5323 1,2951 1,2587 1,3680 1,5864 1,9077 2,3440 2,9049 3,5612 4,2256 4,7900 5,1832 5,3905 5,4394 5,3837 5,2949 5,2513 5,3132 5,4940 5,7577 6,0414 6,2672 6,3630 6,3043 6,1303 5,9113 5,7127 5,5817 5,5438 5,6111 5,7964 6,0999 6,4793 6,8540 7,1525 7,3577 7,5068 7,6361 7,7181 7,6586 7,3637 6,8128 6,0797 5,2993 4,6160 4,1391 3,9157 3,9182 4,0619 4,2545 4,4466 4,6473 4,8929 5,2018 5,5584 5,9143 6,1985 6,3515 6,3531 6,2190 5,9984 5,7670 5,6005 5,5393 5,5747 5,6664 5,7697 5,8441 5,8457 5,7196 5,4088 4,8886 4,1872 3,3731 2,5489 1,8478 1,3782 1,1582 1,1196 1,1560 1,1623 1,0692 0,8663 0,5944 0,3167 0,0916 -0,0432 -0,0818 -0,0596 -0,0473 -0,1170 -0,3071 -0,6059 -0,9437 -1,2042 -1,2820 -1,1550 -0,8947 -0,6112 -0,3941 -0,2876 -0,2863 -0,3407 -0,3730 -0,3214 -0,1860 -0,0115 0,1729 0,3653 0,5557 0,7190 0,8498 0,9840 1,1793 1,4746 1,8562 2,2482 2,5393 2,6322 2,4889 2,1417 1,6774 1,2049 0,8135 0,5401 0,3721 0,2879 0,3018 0,4625 0,8098 1,3455 2,0270 2,7639 3,4307 3,9111 4,1479 4,1618 4,0283 3,8346 3,6447 3,4837 3,3397 3,1921 3,0427 2,9058 2,7672 2,5845 2,3332 2,0284 1,7014 1,3765 1,0691 0,7956 0,5787 0,4321 0,3455 0,2953 0,2586 0,2122 0,1275 -0,0297 -0,2861 -0,6382 -1,0500 -1,4837 -1,9242 -2,3818 -2,8852 -3,4620 -4,1022 -4,7401 -5,2879 -5,6977 -5,9944 -6,2536 -6,5469 -6,8949 -7,2593 -7,5686 -7,7548 -7,7851 -7,6731 -7,4645 -7,2173 -6,9976 -6,8801 -6,9330 -7,1804 -7,5611 -7,9299 -8,1316 -8,0928 -7,8415 -7,4500 -6,9698 -6,4158 -5,7944 -5,1305 -4,4647 -3,8371 -3,2818
F7    0,9034 0,7647 0,5526 0,2898 0,0101 -0,2654 -0,5362 -0,8070 -1,0720 -1,3097 -1,4891 -1,5858 -1,5902 -1,4998 -1,3086 -1,0124 -0,6273 -0,1968 0,2212 0,5752 0,8361 1,0030 1,1007 1,1664 1,2167 1,2292 1,1714 1,0411 0,8706 0,7010 0,5600 0,4505 0,3524 0,2300 0,0494 -0,1902 -0,4373 -0,6174 -0,6813 -0,6185 -0,4474 -0,2189 -0,0126 0,1075 0,1339 0,1066 0,0819 0,1142 0,2379 0,4464 0,6901 0,9010 1,0247 1,0373 0,9456 0,7721 0,5371 0,2596 -0,0274 -0,2763 -0,4443 -0,5181 -0,5235 -0,5099 -0,5222 -0,5757 -0,6514 -0,7168 -0,7540 -0,7772 -0,8260 -0,9363 -1,1119 -1,3230 -1,5278 -1,6969 -1,8203 -1,8959 -1,9210 -1,8988 -1,8458 -1,7842 -1,7283 -1,6850 -1,6623 -1,6668 -1,6979 -1,7582 -1,8639 -2,0272 -2,2285 -2,4258 -2,5967 -2,7580 -2,9514 -3,2262 -3,6114 -4,0806 -4,5602 -4,9781 -5,2974 -5,5196 -5,6749 -5,7905 -5,8553 -5,8237 -5,6622 -5,3890 -5,0696 -4,7799 -4,5632 -4,4097 -4,2796 -4,1417 -3,9893 -3,8280 -3,6628 -3,4921 -3,2992 -3,0545 -2,7433 -2,3932 -2,0618 -1,7967 -1,6146 -1,5085 -1,4601 -1,4443 -1,4280 -1,3731 -1,2446 -1,0185 -0,6900 -0,2734 0,2065 0,7150 1,2067 1,6445 2,0237 2,3706 2,7130 3,0543 3,3766 3,6624 3,9115 4,1436 4,3845 4,6515 4,9400 5,2207 5,4573 5,6275 5,7206 5,7325 5,6795 5,6064 5,5636 5,5781 5,6453 5,7342 5,7984 5,7965 5,7128 5,5591 5,3671 5,1781 5,0288 4,9361 4,8968 4,9077 4,9655 5,0345 5,0403 4,9117 4,6223 4,1993 3,6990 3,1717 2,6404 2,1020 1,5513 1,0098 0,5288 0,1581 -0,0895 -0,2423 -0,3481 -0,4531 -0,5878 -0,7623 -0,9764 -1,2304 -1,5184 -1,8218 -2,1169 -2,3788 -2,5818 -2,7072 -2,7501 -2,7124 -2,5957 -2,4086 -2,1726 -1,9192 -1,6832 -1,4826 -1,2959 -1,0757 -0,7910 -0,4539 -0,1114 0,1797 0,3745 0,4545 0,4340 0,3571 0,2877 0,2892 0,3924 0,5803 0,8084 1,0411 1,2660 1,4772 1,6549 1,7670 1,7931 1,7445 1,6548 1,5584 1,4813 1,4442 1,4542 1,4919 1,5195 1,5037 1,4329 1,3183 1,1831 1,0439 0,8998 0,7338 0,5272 0,2800 0,0200 -0,2106 -0,3885 -0,5258 -0,6469 -0,7555 -0,8405 -0,9062 -0,9791 -1,0904 -1,2626 -1,4955 -1,7614 -2,0209 -2,2398 -2,3962 -2,4804 -2,4994 -2,4762 -2,4335 -2,3802 -2,3196 -2,2535 -2,1758 -2,0763 -1,9546 -1,8172 -1,6561 -1,4471 -1,1811 -0,8825 -0,5875 -0,3143 -0,0610 0,1796 0,4149 0,6518 0,8931 1,1383 1,3864 1,6345 1,8720 2,0780 2,2256 2,2936 2,2901 2,2640 2,2763 2,3572 2,4904 2,6269 2,7079 2,6880 2,5522 2,3197 2,0327 1,7415 1,4872 1,2857 1,1309 1,0093 0,9044 0,7917 0,6379 0,4157 0,1264 -0,1945 -0,5018 -0,7657 -0,9706 -1,1074 -1,1721 -1,1672 -1,1076 -1,0230 -0,9492 -0,9054 -0,8778 -0,8339 -0,7554 -0,6644 -0,6188 -0,6733 -0,8401 -1,0817 -1,3329 -1,5264 -1,6162 -1,5979 -1,5101 -1,3987 -1,2753 -1,1175 -0,9018 -0,6246 -0,2903 0,0992 0,5313 0,9666 1,3515 1,6587 1,9137 2,1662 2,4339 2,6857 2,8776 2,9918 3,0407 3,0475 3,0284 2,9930 2,9546 2,9299 2,9279 2,9458 2,9802 3,0340 3,1007 3,1507 3,1498 3,0884 2,9838 2,8542 2,6990 2,4991 2,2305 1,8802 1,4605 1,0069 0,5605 0,1546 -0,1850 -0,4424 -0,6203 -0,7274 -0,7645 -0,7374 -0,6692 -0,5817 -0,4758 -0,3410 -0,1816 -0,0269 0,0846 0,1287 0,1069 0,0401 -0,0406 -0,1045 -0,1314 -0,1080 -0,0210 0,1332 0,3341 0,5354 0,6813 0,7355 0,7014 0,6179 0,5318 0,4710 0,4423 0,4438 0,4703 0,5222 0,6186 0,7853 1,0245 1,3003 1,5492 1,7045 1,7263 1,6193 1,4287 1,2265 1,1001 1,1253 1,3273 1,6624 2,0360 2,3474 2,5416 2,6248 2,6318 2,5918 2,5237 2,4465 2,3762 2,3133 2,2437 2,1581 2,0599 1,9511 1,8255 1,6839 1,5416 1,4130 1,2996 1,2022 1,1428 1,1598 1,2702 1,4457 1,6341 1,7900 1,8848 1,9067 1,8603 1,7679 1,6711 1,6095 1,5918 1,5988 1,6114 1,6281 1,6640 1,7418 1,8787 2,0706 2,2856 2,4774 2,6072 2,6567 2,6254 2,5177 2,3390 2,1011 1,8126 1,4656 1,0496 0,5786 0,0930 -0,3608 -0,7447 -1,0327 -1,2192 -1,3205 -1,3620 -1,3686 -1,3714 -1,4076 -1,5035 -1,6585 -1,8444 -2,0226 -2,1656 -2,2576 -2,2800 -2,2112 -2,0475 -1,8207 -1,5875 -1,3909 -1,2339 -1,0895 -0,9272 -0,7297 -0,4961 -0,2368 0,0266 0,2551 0,3982 0,4155 0,2994 0,0829 -0,1714 -0,3948 -0,5371 -0,5836 -0,5535 -0,4847 -0,4156 -0,3711 -0,3539 -0,3450 -0,3169 -0,2474 -0,1256 0,0517 0,2852 0,5643 0,8514 1,0984 1,2800 1,3955 1,4451 1,4169 1,3004 1,1066 0,8782 0,6800 0,5681 0,5613 0,6412 0,7808 0,9663 1,1920 1,4392 1,6678 1,8311 1,8933 1,8395 1,6778 1,4283 1,1056 0,7110 0,2371 -0,3189 -0,9360 -1,5658 -2,1546 -2,6683 -3,0878 -3,3948 -3,5780 -3,6561 -3,6854 -3,7329 -3,8382 -3,9949 -4,1588 -4,2744 -4,3101 -4,2711 -4,1848 -4,0871 -4,0193 -4,0129 -4,0692 -4,1678 -4,2949 -4,4519 -4,6474 -4,8930 -5,2004 -5,5667 -5,9595 -6,3205 -6,5875 -6,7173 -6,6958 -6,5307 -6,2447 -5,8825 -5,5084 -5,1804 -4,9275 -4,7441 -4,6013 -4,4643 -4,3090 -4,1330 -3,9517 -3,7809 -3,6286 -3,5001
