Fp1   -1,7017 -1,9400 -1,8054 -1,3797 -0,8010 -0,2065 0,3024 0,6924 0,9828 1,1778 1,2375 1,1160 0,7901 0,2587 -0,4539 -1,2809 -2,1089 -2,7988 -3,2231 -3,3074 -3,0527 -2,5247 -1,8272 -1,0758 -0,3729 0,2116 0,6566 1,0031 1,3419 1,7493 2,2230 2,6868 3,0459 3,2310 3,1944 2,8898 2,2906 1,4408 0,4747 -0,4294 -1,1240 -1,5248 -1,6003 -1,3720 -0,9138 -0,3236 0,3050 0,8851 1,3404 1,6203 1,7130 1,6436 1,4525 1,1603 0,7663 0,2906 -0,1891 -0,5549 -0,7078 -0,6118 -0,2976 0,1465 0,6033 0,9839 1,2697 1,4991 1,7288 1,9892 2,2498 2,4279 2,4416 2,2605 1,9248 1,5313 1,1963 1,0057 0,9739 1,0482 1,1670 1,3107 1,4993 1,7625 2,1143 2,5323 2,9504 3,2962 3,5459 3,7377 3,9398 4,1970 4,4867 4,7276 4,8335 4,7546 4,4803 4,0334 3,4701 2,8786 2,3586 1,9791 1,7474 1,6156 1,5145 1,3906 1,2246 1,0181 0,7719 0,4908 0,2022 -0,0365 -0,1568 -0,1268 0,0096 0,1511 0,1978 0,0971 -0,1413 -0,4734 -0,8725 -1,3456 -1,8923 -2,4584 -2,9228 -3,1229 -2,9232 -2,2936 -1,3280 -0,1799 1,0161 2,1664 3,2039 4,0878 4,8109 5,3916 5,8653 6,2825 6,6953 7,1321 7,5846 8,0131 8,3589 8,5624 8,5940 8,4898 8,3635 8,3668 8,6172 9,1467 9,8962 10,7359 11,4971 12,0229 12,2230 12,0965 11,7150 11,1770 10,5475 9,8262 8,9871 8,0631 7,1888 6,5542 6,3134 6,5164 7,0810 7,8046 8,4323 8,7663 8,7347 8,3881 7,8574 7,3006 6,8416 6,5317 6,3631 6,3008 6,2954 6,2845 6,2037 6,0054 5,6792 5,2542 4,7791 4,2987 3,8518 3,4677 3,1306 2,7702 2,3211 1,7934 1,2767 0,8778 0,6559 0,6081 0,6878 0,8170 0,9028 0,8663 0,6621 0,2838 -0,2278 -0,7848 -1,2779 -1,6109 -1,7274 -1,6210 -1,3272 -0,9081 -0,4460 -0,0239 0,3092 0,5474 0,7063 0,8045 0,8480 0,8209 0,6953 0,4479 0,0769 -0,3741 -0,7936 -1,0118 -0,8525 -0,2034 0,9163 2,3116 3,6560 4,6388 5,1042 5,0842 4,7289 4,2175 3,7117 3,3375 3,1563 3,1444 3,2212 3,3142 3,4011 3,4928 3,5900 3,6647 3,6758 3,5886 3,3804 3,0452 2,6150 2,1716 1,8165 1,6234 1,6151 1,7642 2,0004 2,2397 2,4305 2,5798 2,7347 2,9318 3,1596 3,3689 3,5106 3,5552 3,4750 3,2278 2,7729 2,1120 1,3289 0,5971 0,1210 0,0408 0,3818 1,0756 1,9990 3,0012 3,9396 4,7247 5,3435 5,8407 6,2767 6,6897 7,0738 7,3790 7,5378 7,5154 7,3412 7,0752 6,7503 6,3645 5,9106 5,3928 4,8357 4,2926 3,8335 3,5080 3,3272 3,2738 3,3154 3,4220 3,5867 3,8286 4,1703 4,6222 5,1766 5,8054 6,4614 7,0798 7,5741 7,8441 7,8105 7,4484 6,7969 5,9395 4,9668 3,9574 3,0001 2,2189 1,7468 1,6530 1,8867 2,2953 2,7138 3,0528 3,3180 3,5588 3,7931 3,9638 3,9694 3,7439 3,3046 2,7330 2,1382 1,6289 1,2870 1,1470 1,1994 1,4125 1,7498 2,1642 2,5785 2,8849 2,9876 2,8646 2,5915 2,3108 2,1753 2,2872 2,6551 3,2010 3,8065 4,3547 4,7518 4,9431 4,9261 4,7464 4,4686 4,1379 3,7768 3,4258 3,1654 3,0724 3,1566 3,3473 3,5437 3,6702 3,6878 3,5900 3,4267 3,3182 3,4034 3,7529 4,3309 5,0238 5,6991 6,2530 6,6235 6,7815 6,7304 6,5130 6,1966 5,8402 5,4792 5,1285 4,7878 4,4489 4,1209 3,8544 3,7259 3,7884 4,0477 4,4806 5,0562 5,7325 6,4337 7,0434 7,4294 7,4838 7,1676 6,5487 5,7825 5,0378 4,4366 4,0448 3,8820 3,9207 4,0827 4,2645 4,3900 4,4426 4,4528 4,4691 4,5390 4,6898 4,9073 5,1350 5,3043 5,3705 5,3290 5,1994 5,0043 4,7788 4,5788 4,4488 4,3818 4,3275 4,2488 4,1611 4,1107 4,1209 4,1803 4,2745 4,3921 4,5080 4,5929 4,6375 4,6490 4,6367 4,6097 4,5817 4,5822 4,6537 4,8190 5,0598 5,3378 5,6277 5,9296 6,2469 6,5408 6,7219 6,7060 6,4701 6,0627 5,5862 5,1560 4,8388 4,6239 4,4689 4,3619 4,3308 4,4096 4,6147 4,9376 5,3354 5,7270 6,0184 6,1484 6,1195 5,9968 5,8851 5,8901 6,0645 6,3700 6,6925 6,9061 6,9398 6,7939 6,4913 6,0403 5,4604 4,8055 4,1337 3,4839 2,8966 2,4284 2,1288 2,0042 2,0020 2,0218 1,9505 1,7083 1,2870 0,7554 0,2238 -0,2040 -0,4630 -0,5382 -0,4667 -0,3190 -0,1479 0,0546 0,3580 0,8589 1,6343 2,7000 3,9975 5,4121 6,8006 8,0224 8,9803 9,6549 10,1013 10,4006 10,6058 10,7350 10,7958 10,7917 10,7143 10,5580 10,3362 10,0748 9,8118 9,6193 9,5997 9,8316 10,3103 10,9315 11,5228 11,9085 11,9871 11,7791 11,4068 11,0191 10,7128 10,4899 10,2632 9,9133 9,3605 8,6047 7,7122 6,7800 5,9064 5,1722 4,6327 4,3180 4,2262 4,3314 4,6121 5,0501 5,5902 6,1248 6,5374 6,7523 6,7456 6,5461 6,2228 5,8500 5,4847 5,1592 4,8597 4,5166 4,0569 3,4816 2,8807 2,3701 2,0222 1,8366 1,7465 1,6466 1,4318 1,0426 0,5037 -0,0769 -0,5659 -0,8843 -1,0564 -1,1897 -1,4018 -1,7562 -2,2483 -2,8183 -3,3686 -3,7973 -4,0437 -4,1109 -4,0616 -3,9926 -3,9845 -4,0654 -4,2215 -4,4133 -4,5797 -4,6546 -4,5859 -4,3379 -3,8864 -3,2169 -2,3382 -1,3152 -0,2763 0,6521 1,4232
Fz    2,9342 2,6680 2,4567 2,3137 2,2301 2,1803 2,1271 2,0356 1,8857 1,6724 1,4041 1,0983 0,7713 0,4297 0,0726 -0,3002 -0,6799 -1,0414 -1,3434 -1,5432 -1,6173 -1,5691 -1,4219 -1,2109 -0,9771 -0,7602 -0,5937 -0,5002 -0,4886 -0,5591 -0,7068 -0,9144 -1,1409 -1,3281 -1,4266 -1,4213 -1,3297 -1,1799 -0,9951 -0,7944 -0,5998 -0,4310 -0,2946 -0,1830 -0,0817 0,0228 0,1352 0,2472 0,3425 0,4057 0,4296 0,4239 0,4145 0,4268 0,4701 0,5433 0,6506 0,8076 1,0324 1,3287 1,6759 2,0330 2,3513 2,5908 2,7335 2,7868 2,7746 2,7210 2,6378 2,5226 2,3628 2,1423 1,8529 1,5067 1,1371 0,7804 0,4544 0,1564 -0,1174 -0,3610 -0,5648 -0,7260 -0,8468 -0,9285 -0,9719 -0,9776 -0,9428 -0,8643 -0,7420 -0,5800 -0,3910 -0,2009 -0,0430 0,0545 0,0797 0,0384 -0,0549 -0,1888 -0,3529 -0,5298 -0,7016 -0,8638 -1,0271 -1,2077 -1,4189 -1,6696 -1,9628 -2,2969 -2,6721 -3,0905 -3,5457 -4,0191 -4,4903 -4,9462 -5,3798 -5,7844 -6,1492 -6,4633 -6,7235 -6,9312 -7,0820 -7,1647 -7,1649 -7,0659 -6,8555 -6,5357 -6,1278 -5,6644 -5,1761 -4,6804 -4,1792 -3,6587 -3,0966 -2,4764 -1,7993 -1,0843 -0,3638 0,3233 0,9441 1,4816 1,9368 2,3236 2,6640 2,9868 3,3280 3,7215 4,1871 4,7275 5,3304 5,9625 6,5684 7,0883 7,4868 7,7676 7,9622 8,1052 8,2119 8,2705 8,2559 8,1582 8,0007 7,8325 7,7059 7,6554 7,6884 7,7851 7,9062 8,0043 8,0368 7,9828 7,8567 7,6997 7,5512 7,4274 7,3235 7,2278 7,1307 7,0248 6,8953 6,7105 6,4310 6,0358 5,5397 4,9871 4,4347 3,9303 3,4912 3,0991 2,7157 2,3039 1,8401 1,3214 0,7657 0,2053 -0,3258 -0,8093 -1,2500 -1,6678 -2,0777 -2,4752 -2,8361 -3,1286 -3,3280 -3,4280 -3,4417 -3,3945 -3,3156 -3,2336 -3,1674 -3,1133 -3,0495 -2,9628 -2,8648 -2,7782 -2,7178 -2,6886 -2,6917 -2,7220 -2,7649 -2,7971 -2,7894 -2,7086 -2,5235 -2,2143 -1,7892 -1,2973 -0,8138 -0,4059 -0,1064 0,0897 0,2122 0,3019 0,4029 0,5464 0,7294 0,9106 1,0350 1,0671 1,0118 0,9093 0,8108 0,7539 0,7526 0,7948 0,8446 0,8604 0,8242 0,7503 0,6659 0,5889 0,5256 0,4764 0,4369 0,4041 0,3867 0,4064 0,4827 0,6126 0,7671 0,9129 1,0358 1,1404 1,2314 1,2973 1,3148 1,2697 1,1793 1,0934 1,0707 1,1493 1,3348 1,6114 1,9554 2,3350 2,7093 3,0394 3,3059 3,5135 3,6814 3,8253 3,9436 4,0171 4,0255 3,9687 3,8714 3,7649 3,6689 3,5902 3,5306 3,4927 3,4832 3,5140 3,5971 3,7345 3,9174 4,1323 4,3620 4,5836 4,7761 4,9324 5,0639 5,1933 5,3408 5,5136 5,7094 5,9249 6,1531 6,3777 6,5751 6,7229 6,8102 6,8417 6,8305 6,7889 6,7267 6,6549 6,5873 6,5382 6,5187 6,5287 6,5542 6,5775 6,5938 6,6103 6,6285 6,6307 6,5887 6,4833 6,3176 6,1091 5,8684 5,5911 5,2697 4,9123 4,5440 4,1957 3,8933 3,6526 3,4730 3,3408 3,2434 3,1836 3,1798 3,2530 3,4140 3,6529 3,9349 4,2102 4,4384 4,6084 4,7359 4,8447 4,9503 5,0563 5,1610 5,2654 5,3770 5,5102 5,6804 5,8908 6,1204 6,3295 6,4830 6,5694 6,5969 6,5767 6,5185 6,4395 6,3684 6,3365 6,3639 6,4535 6,5948 6,7682 6,9472 7,1054 7,2266 7,3087 7,3595 7,3894 7,4075 7,4164 7,4072 7,3578 7,2408 7,0381 6,7521 6,4060 6,0408 5,7088 5,4559 5,2977 5,2165 5,1828 5,1718 5,1625 5,1409 5,1140 5,1057 5,1350 5,2098 5,3366 5,5201 5,7497 5,9945 6,2132 6,3710 6,4489 6,4429 6,3603 6,2156 6,0245 5,7994 5,5505 5,2889 5,0220 4,7493 4,4640 4,1646 3,8667 3,5971 3,3728 3,1919 3,0466 2,9371 2,8717 2,8549 2,8741 2,9041 2,9253 2,9317 2,9247 2,9115 2,9018 2,8980 2,8922 2,8719 2,8297 2,7720 2,7187 2,6881 2,6835 2,6963 2,7187 2,7501 2,7891 2,8243 2,8394 2,8314 2,8162 2,8177 2,8571 2,9556 3,1347 3,4029 3,7455 4,1261 4,4926 4,7857 4,9555 4,9768 4,8526 4,6098 4,2973 3,9789 3,7163 3,5518 3,5026 3,5652 3,7252 3,9602 4,2334 4,4934 4,6911 4,8002 4,8128 4,7209 4,5172 4,2060 3,8040 3,3330 2,8175 2,2881 1,7850 1,3486 0,9982 0,7191 0,4746 0,2335 -0,0069 -0,2184 -0,3634 -0,4188 -0,3840 -0,2755 -0,1200 0,0565 0,2437 0,4557 0,7238 1,0725 1,5001 1,9790 2,4727 2,9563 3,4234 3,8807 4,3349 4,7886 5,2456 5,7131 6,1938 6,6808 7,1596 7,6084 8,0015 8,3236 8,5821 8,7991 8,9987 9,2042 9,4334 9,6853 9,9350 10,1462 10,2884 10,3457 10,3169 10,2116 10,0518 9,8681 9,6857 9,5112 9,3316 9,1252 8,8782 8,5933 8,2826 7,9587 7,6378 7,3448 7,1042 6,9222 6,7793 6,6458 6,5072 6,3704 6,2453 6,1279 6,0039 5,8617 5,6973 5,5159 5,3268 5,1369 4,9500 4,7678 4,5821 4,3702 4,1065 3,7771 3,3828 2,9365 2,4633 1,9950 1,5556 1,1513 0,7670 0,3730 -0,0564 -0,5249 -1,0173 -1,5190 -2,0309 -2,5661 -3,1349 -3,7359 -4,3599 -4,9914 -5,6057 -6,1765 -6,6871 -7,1331 -7,5194 -7,8558 -8,1509 -8,4043 -8,6078 -8,7496 -8,8158 -8,7916 -8,6641 -8,4254 -8,0721 -7,6021 -7,0194 -6,3486 -5,6402 -4,9471 -4,2927
F3    1,5636 1,2937 1,0469 0,8586 0,7398 0,6812 0,6566 0,6284 0,5601 0,4315 0,2510 0,0526 -0,1264 -0,2665 -0,3679 -0,4415 -0,5019 -0,5532 -0,5790 -0,5551 -0,4727 -0,3428 -0,1818 -0,0032 0,1780 0,3390 0,4501 0,4822 0,4127 0,2311 -0,0546 -0,4094 -0,7686 -1,0532 -1,1996 -1,1838 -1,0228 -0,7588 -0,4439 -0,1323 0,1250 0,2918 0,3570 0,3342 0,2498 0,1301 -0,0075 -0,1552 -0,3071 -0,4565 -0,5983 -0,7266 -0,8302 -0,8960 -0,9155 -0,8848 -0,8016 -0,6625 -0,4658 -0,2205 0,0480 0,3044 0,5151 0,6512 0,6890 0,6185 0,4554 0,2422 0,0311 -0,1384 -0,2531 -0,3282 -0,3962 -0,4856 -0,6057 -0,7503 -0,9099 -1,0755 -1,2356 -1,3809 -1,5110 -1,6325 -1,7463 -1,8396 -1,8935 -1,8934 -1,8334 -1,7165 -1,5519 -1,3494 -1,1188 -0,8763 -0,6500 -0,4715 -0,3625 -0,3250 -0,3525 -0,4456 -0,6049 -0,8139 -1,0410 -1,2584 -1,4535 -1,6295 -1,8056 -2,0101 -2,2647 -2,5756 -2,9468 -3,3930 -3,9258 -4,5291 -5,1548 -5,7436 -6,2457 -6,6297 -6,8876 -7,0382 -7,1159 -7,1457 -7,1310 -7,0631 -6,9378 -6,7636 -6,5553 -6,3239 -6,0744 -5,8132 -5,5478 -5,2771 -4,9845 -4,6384 -4,2026 -3,6528 -2,9906 -2,2480 -1,4789 -0,7403 -0,0754 0,4950 0,9712 1,3693 1,7145 2,0379 2,3749 2,7518 3,1714 3,6167 4,0654 4,4957 4,8834 5,2097 5,4731 5,6915 5,8891 6,0767 6,2423 6,3616 6,4148 6,3944 6,3058 6,1656 6,0018 5,8494 5,7425 5,7052 5,7463 5,8508 5,9736 6,0521 6,0324 5,8883 5,6272 5,2880 4,9315 4,6196 4,3926 4,2559 4,1800 4,1056 3,9625 3,7023 3,3250 2,8757 2,4159 1,9954 1,6366 1,3342 1,0614 0,7752 0,4265 -0,0171 -0,5503 -1,1298 -1,6964 -2,2031 -2,6341 -2,9989 -3,3062 -3,5457 -3,6932 -3,7342 -3,6813 -3,5715 -3,4508 -3,3587 -3,3213 -3,3511 -3,4371 -3,5368 -3,5951 -3,5834 -3,5142 -3,4173 -3,3127 -3,2105 -3,1183 -3,0384 -2,9639 -2,8830 -2,7834 -2,6573 -2,5026 -2,3204 -2,1148 -1,8950 -1,6716 -1,4507 -1,2329 -1,0154 -0,7931 -0,5547 -0,2854 0,0169 0,3226 0,5772 0,7287 0,7534 0,6676 0,5197 0,3685 0,2624 0,2262 0,2547 0,3184 0,3858 0,4446 0,4996 0,5548 0,6038 0,6344 0,6366 0,6022 0,5316 0,4413 0,3597 0,3084 0,2862 0,2709 0,2427 0,2073 0,1955 0,2394 0,3487 0,5138 0,7255 0,9839 1,2890 1,6293 1,9789 2,3092 2,6054 2,8698 3,1056 3,3037 3,4496 3,5420 3,5977 3,6383 3,6718 3,6877 3,6689 3,6124 3,5367 3,4720 3,4458 3,4721 3,5449 3,6411 3,7306 3,7888 3,8055 3,7874 3,7516 3,7162 3,6941 3,6908 3,7021 3,7137 3,7069 3,6724 3,6234 3,5881 3,5928 3,6528 3,7729 3,9463 4,1559 4,3782 4,5879 4,7628 4,8920 4,9771 5,0232 5,0316 4,9981 4,9177 4,7933 4,6435 4,5001 4,3906 4,3240 4,2949 4,2974 4,3259 4,3661 4,3928 4,3811 4,3209 4,2143 4,0618 3,8571 3,6032 3,3237 3,0518 2,8137 2,6252 2,4971 2,4353 2,4378 2,4972 2,6083 2,7715 2,9835 3,2254 3,4641 3,6660 3,8090 3,8916 3,9371 3,9851 4,0711 4,2107 4,3977 4,6125 4,8337 5,0487 5,2564 5,4618 5,6646 5,8541 6,0132 6,1256 6,1780 6,1580 6,0536 5,8589 5,5856 5,2731 4,9848 4,7881 4,7288 4,8153 5,0198 5,2918 5,5773 5,8308 6,0208 6,1365 6,1918 6,2136 6,2249 6,2361 6,2422 6,2201 6,1326 5,9479 5,6664 5,3323 5,0134 4,7605 4,5783 4,4375 4,3158 4,2177 4,1583 4,1479 4,1915 4,2856 4,4120 4,5449 4,6718 4,8004 4,9446 5,1078 5,2810 5,4523 5,6120 5,7494 5,8491 5,8930 5,8641 5,7531 5,5662 5,3252 5,0499 4,7446 4,4085 4,0581 3,7332 3,4727 3,2862 3,1572 3,0706 3,0297 3,0447 3,1141 3,2157 3,3165 3,3904 3,4294 3,4464 3,4675 3,5143 3,5876 3,6651 3,7121 3,6976 3,6128 3,4774 3,3292 3,2071 3,1398 3,1417 3,2114 3,3289 3,4609 3,5796 3,6767 3,7598 3,8370 3,9109 3,9903 4,0988 4,2638 4,4973 4,7844 5,0802 5,3228 5,4530 5,4300 5,2401 4,9057 4,4880 4,0693 3,7222 3,4871 3,3692 3,3509 3,4125 3,5434 3,7296 3,9406 4,1333 4,2669 4,3076 4,2269 4,0076 3,6513 3,1782 2,6180 2,0002 1,3567 0,7318 0,1775 -0,2685 -0,6031 -0,8542 -1,0551 -1,2187 -1,3305 -1,3688 -1,3224 -1,1926 -0,9863 -0,7147 -0,3958 -0,0513 0,3023 0,6603 1,0231 1,3806 1,7057 1,9683 2,1582 2,2985 2,4395 2,6375 2,9321 3,3391 3,8530 4,4524 5,1064 5,7754 6,4135 6,9805 7,4565 7,8466 8,1710 8,4538 8,7143 8,9582 9,1731 9,3358 9,4295 9,4568 9,4380 9,3933 9,3277 9,2330 9,0985 8,9150 8,6755 8,3780 8,0269 7,6374 7,2382 6,8636 6,5401 6,2816 6,0913 5,9604 5,8646 5,7625 5,6097 5,3790 5,0691 4,7009 4,3099 3,9377 3,6190 3,3716 3,1953 3,0724 2,9720 2,8610 2,7180 2,5350 2,3139 2,0615 1,7804 1,4581 1,0751 0,6284 0,1422 -0,3456 -0,8049 -1,2280 -1,6304 -2,0380 -2,4720 -2,9395 -3,4322 -3,9292 -4,4061 -4,8468 -5,2512 -5,6310 -5,9979 -6,3564 -6,7068 -7,0493 -7,3835 -7,7046 -7,9987 -8,2422 -8,4081 -8,4750 -8,4374 -8,3093 -8,1146 -7,8717 -7,5874 -7,2588 -6,8785 -6,4445 -5,9710 -5,4874 -5,0180 -4,5614
F7    -1,3291 -1,3853 -1,3525 -1,2208 -1,0141 -0,7861 -0,6048 -0,5263 -0,5649 -0,6813 -0,8040 -0,8723 -0,8659 -0,8052 -0,7299 -0,6744 -0,6541 -0,6669 -0,7005 -0,7367 -0,7563 -0,7425 -0,6823 -0,5682 -0,4018 -0,1920 0,0489 0,3058 0,5591 0,7879 0,9798 1,1376 1,2724 1,3915 1,4966 1,5911 1,6799 1,7581 1,8039 1,7882 1,6921 1,5085 1,2353 0,8849 0,4960 0,1191 -0,2097 -0,4756 -0,6822 -0,8510 -1,0159 -1,2015 -1,4043 -1,5999 -1,7642 -1,8828 -1,9502 -1,9644 -1,9252 -1,8377 -1,7144 -1,5732 -1,4350 -1,3166 -1,2159 -1,1130 -1,0008 -0,9064 -0,8682 -0,9023 -1,0031 -1,1658 -1,3889 -1,6575 -1,9371 -2,1912 -2,3974 -2,5459 -2,6277 -2,6355 -2,5744 -2,4660 -2,3340 -2,1899 -2,0404 -1,8950 -1,7579 -1,6232 -1,4818 -1,3299 -1,1730 -1,0261 -0,9053 -0,8113 -0,7234 -0,6153 -0,4832 -0,3512 -0,2420 -0,1556 -0,0840 -0,0389 -0,0505 -0,1423 -0,3158 -0,5605 -0,8738 -1,2627 -1,7307 -2,2644 -2,8318 -3,3945 -3,9249 -4,4106 -4,8463 -5,2306 -5,5646 -5,8411 -6,0352 -6,1130 -6,0576 -5,8868 -5,6451 -5,3811 -5,1283 -4,8979 -4,6773 -4,4337 -4,1245 -3,7157 -3,2001 -2,6029 -1,9715 -1,3577 -0,7978 -0,3047 0,1198 0,4678 0,7282 0,9036 1,0268 1,1551 1,3396 1,5954 1,9059 2,2439 2,5866 2,9232 3,2551 3,5837 3,8998 4,1900 4,4538 4,7121 4,9964 5,3275 5,6957 6,0563 6,3422 6,4933 6,4860 6,3424 6,1158 5,8684 5,6495 5,4789 5,3407 5,1960 5,0103 4,7853 4,5687 4,4277 4,4016 4,4739 4,5838 4,6656 4,6816 4,6308 4,5337 4,4058 4,2410 4,0230 3,7496 3,4417 3,1324 2,8446 2,5750 2,3019 2,0106 1,7077 1,4118 1,1373 0,8863 0,6546 0,4403 0,2454 0,0681 -0,1008 -0,2747 -0,4667 -0,6867 -0,9391 -1,2217 -1,5233 -1,8189 -2,0722 -2,2500 -2,3381 -2,3376 -2,2450 -2,0449 -1,7355 -1,3551 -0,9718 -0,6522 -0,4438 -0,3692 -0,4149 -0,5301 -0,6499 -0,7243 -0,7267 -0,6489 -0,4959 -0,2870 -0,0530 0,1761 0,3810 0,5534 0,6906 0,7955 0,8831 0,9863 1,1362 1,3308 1,5289 1,6772 1,7375 1,7032 1,6020 1,4816 1,3864 1,3405 1,3389 1,3477 1,3202 1,2209 1,0436 0,8120 0,5691 0,3663 0,2540 0,2690 0,4213 0,6930 1,0450 1,4247 1,7765 2,0620 2,2796 2,4574 2,6244 2,7851 2,9155 2,9755 2,9332 2,7853 2,5610 2,3061 2,0634 1,8634 1,7271 1,6686 1,6974 1,8221 2,0502 2,3743 2,7598 3,1530 3,5022 3,7726 3,9511 4,0422 4,0600 4,0257 3,9613 3,8802 3,7841 3,6690 3,5386 3,4130 3,3207 3,2730 3,2502 3,2166 3,1477 3,0400 2,9065 2,7687 2,6442 2,5397 2,4582 2,4077 2,3993 2,4452 2,5557 2,7282 2,9386 3,1459 3,3103 3,4132 3,4681 3,5038 3,5366 3,5541 3,5247 3,4339 3,3109 3,2077 3,1512 3,1233 3,0893 3,0385 2,9953 2,9930 3,0452 3,1383 3,2433 3,3349 3,4004 3,4291 3,4047 3,3153 3,1627 2,9560 2,7025 2,4096 2,0936 1,7825 1,5182 1,3549 1,3407 1,4874 1,7576 2,0916 2,4432 2,7895 3,1182 3,4187 3,6885 3,9414 4,1956 4,4512 4,6846 4,8723 5,0111 5,1183 5,2159 5,3161 5,4111 5,4759 5,4852 5,4345 5,3405 5,2232 5,0959 4,9673 4,8442 4,7352 4,6593 4,6447 4,7185 4,8910 5,1428 5,4253 5,6830 5,8813 6,0205 6,1275 6,2300 6,3388 6,4516 6,5595 6,6420 6,6640 6,5882 6,3946 6,0943 5,7284 5,3541 5,0257 4,7827 4,6454 4,6126 4,6628 4,7601 4,8707 4,9831 5,1062 5,2446 5,3916 5,5439 5,7021 5,8537 5,9680 6,0089 5,9556 5,8127 5,6051 5,3639 5,1150 4,8784 4,6676 4,4918 4,3623 4,2892 4,2654 4,2634 4,2600 4,2562 4,2697 4,3122 4,3793 4,4549 4,5209 4,5629 4,5680 4,5211 4,4120 4,2512 4,0685 3,8931 3,7459 3,6418 3,5894 3,5961 3,6782 3,8541 4,1241 4,4610 4,8175 5,1340 5,3496 5,4292 5,3864 5,2689 5,1220 4,9759 4,8567 4,7923 4,8016 4,8828 5,0182 5,1874 5,3686 5,5368 5,6678 5,7433 5,7496 5,6769 5,5230 5,2990 5,0323 4,7692 4,5652 4,4577 4,4430 4,4845 4,5457 4,6128 4,6879 4,7640 4,8138 4,8067 4,7317 4,5948 4,3988 4,1390 3,8172 3,4544 3,0868 2,7418 2,4190 2,0992 1,7677 1,4257 1,0924 0,7973 0,5624 0,3947 0,2991 0,2815 0,3352 0,4363 0,5590 0,6871 0,8195 0,9798 1,2122 1,5496 1,9750 2,4257 2,8361 3,1773 3,4633 3,7269 3,9921 4,2673 4,5592 4,8835 5,2515 5,6521 6,0562 6,4369 6,7774 7,0700 7,3233 7,5644 7,8183 8,0844 8,3405 8,5651 8,7468 8,8779 8,9521 8,9728 8,9558 8,9168 8,8658 8,8153 8,7853 8,7895 8,8161 8,8243 8,7611 8,5865 8,2899 7,8870 7,4093 6,9019 6,4192 6,0054 5,6796 5,4458 5,3066 5,2651 5,3214 5,4664 5,6650 5,8557 5,9739 5,9775 5,8562 5,6243 5,3093 4,9464 4,5688 4,1924 3,8122 3,4132 2,9813 2,5090 2,0012 1,4788 0,9715 0,5073 0,1100 -0,2046 -0,4404 -0,6248 -0,7902 -0,9573 -1,1389 -1,3535 -1,6190 -1,9378 -2,2976 -2,6789 -3,0583 -3,4111 -3,7205 -3,9830 -4,2033 -4,3894 -4,5488 -4,6861 -4,8041 -4,9057 -4,9882 -5,0392 -5,0411 -4,9755 -4,8231 -4,5600 -4,1602 -3,6135 -2,9512 -2,2533 -1,6192 -1,1218
