Fp1   4,8304 4,6229 4,2255 3,6364 2,9865 2,4683 2,2020 2,1667 2,2519 2,3399 2,3384 2,1734 1,7929 1,1879 0,3956 -0,5157 -1,4521 -2,3020 -2,9617 -3,3605 -3,4812 -3,3740 -3,1366 -2,8668 -2,6503 -2,5723 -2,6892 -2,9843 -3,3640 -3,6891 -3,8192 -3,6682 -3,2439 -2,6440 -2,0133 -1,4649 -1,0007 -0,5107 0,1321 0,9588 1,8644 2,6592 3,1548 3,2376 2,9207 2,3309 1,6258 0,9341 0,3573 -0,0297 -0,2069 -0,2246 -0,1709 -0,1172 -0,0968 -0,1134 -0,1508 -0,1739 -0,1396 -0,0282 0,1409 0,3273 0,4852 0,5568 0,4751 0,2000 -0,2509 -0,8218 -1,4543 -2,0913 -2,6764 -3,1792 -3,6058 -3,9704 -4,2679 -4,4809 -4,5964 -4,5877 -4,3872 -3,9166 -3,1537 -2,1666 -1,0984 -0,1307 0,5671 0,8983 0,8586 0,4968 -0,1205 -0,9032 -1,7389 -2,5212 -3,1738 -3,6618 -3,9993 -4,2376 -4,4254 -4,5774 -4,6875 -4,7587 -4,8082 -4,8442 -4,8351 -4,7026 -4,3565 -3,7383 -2,8431 -1,7209 -0,4722 0,7646 1,8366 2,6255 3,1160 3,4034 3,6162 3,8442 4,1203 4,4305 4,7400 5,0169 5,2334 5,3777 5,4728 5,5499 5,5973 5,5509 5,3229 4,8578 4,1960 3,4626 2,7734 2,1609 1,5888 1,0105 0,4139 -0,1628 -0,6554 -1,0306 -1,3105 -1,5502 -1,8158 -2,1587 -2,5823 -3,0542 -3,5377 -3,9897 -4,3818 -4,7469 -5,1625 -5,6810 -6,2828 -6,8782 -7,3516 -7,6188 -7,6435 -7,4082 -6,8890 -6,0737 -5,0065 -3,8033 -2,6204 -1,6019 -0,8327 -0,3071 0,0664 0,4087 0,7976 1,2394 1,6791 2,0268 2,2070 2,2036 2,0522 1,8099 1,5308 1,2469 0,9744 0,7429 0,5918 0,5274 0,4964 0,4090 0,1777 -0,2423 -0,8104 -1,4040 -1,8786 -2,1246 -2,0878 -1,7693 -1,2200 -0,5241 0,2445 1,0506 1,8516 2,5415 2,9897 3,1371 3,0416 2,8149 2,5169 2,1322 1,6384 1,0578 0,4458 -0,1334 -0,6036 -0,8769 -0,9080 -0,7606 -0,5906 -0,5564 -0,7528 -1,1901 -1,8050 -2,5082 -3,2245 -3,8919 -4,4683 -4,9514 -5,3551 -5,6665 -5,8516 -5,8757 -5,7029 -5,3085 -4,7187 -4,0333 -3,3982 -2,9563 -2,8013 -2,9321 -3,2328 -3,5148 -3,5941 -3,3606 -2,8284 -2,1401 -1,4921 -1,0319 -0,8058 -0,7797 -0,8927 -1,0959 -1,3541 -1,6338 -1,9025 -2,1249 -2,2657 -2,3107 -2,2889 -2,2694 -2,3266 -2,4930 -2,7445 -3,0274 -3,3066 -3,5917 -3,9156 -4,2979 -4,7297 -5,1692 -5,5438 -5,7751 -5,8208 -5,7057 -5,4961 -5,2388 -4,9531 -4,6825 -4,5026 -4,4643 -4,5754 -4,8260 -5,1854 -5,5963 -6,0039 -6,3715 -6,6684 -6,8590 -6,9137 -6,8276 -6,6246 -6,3483 -6,0526 -5,7990 -5,6422 -5,5924 -5,5831 -5,5051 -5,2973 -4,9965 -4,6894 -4,4387 -4,2647 -4,1787 -4,2078 -4,3823 -4,7078 -5,1554 -5,6685 -6,1751 -6,5928 -6,8362 -6,8644 -6,7333 -6,5610 -6,4288 -6,3284 -6,1952 -5,9815 -5,7146 -5,4867 -5,3837 -5,4501 -5,7133 -6,1822 -6,8066 -7,4798 -8,0905 -8,5660 -8,8888 -9,0798 -9,1513 -9,0816 -8,8585 -8,5375 -8,2317 -8,0436 -8,0116 -8,1104 -8,2996 -8,5574 -8,8508 -9,1013 -9,2196 -9,1507 -8,8668 -8,3559 -7,6473 -6,8273 -6,0108 -5,2964 -4,7396 -4,3588 -4,1686 -4,1824 -4,3791 -4,7074 -5,1138 -5,5381 -5,9246 -6,2620 -6,5755 -6,8666 -7,0856 -7,1683 -7,1058 -6,9804 -6,9255 -7,0301 -7,2674 -7,5066 -7,5941 -7,4401 -7,0696 -6,6103 -6,2171 -5,9789 -5,8863 -5,8821 -5,9266 -6,0157 -6,1568 -6,3277 -6,4561 -6,4455 -6,2367 -5,8612 -5,4311 -5,0659 -4,8317 -4,7327 -4,7190 -4,6957 -4,5602 -4,2571 -3,8093 -3,3049 -2,8401 -2,4714 -2,2242 -2,1291 -2,2251 -2,5094 -2,9053 -3,3296 -3,7729 -4,2716 -4,8243 -5,3623 -5,7900 -6,0484 -6,1466 -6,1365 -6,0574 -5,9020 -5,6308 -5,2257 -4,7363 -4,2726 -3,9366 -3,7361 -3,5750 -3,3418 -2,9934 -2,5626 -2,1204 -1,7273 -1,4076 -1,1783 -1,0930 -1,2324 -1,6449 -2,3005 -3,1024 -3,9346 -4,6973 -5,3264 -5,8125 -6,2046 -6,5716 -6,9326 -7,2064 -7,2556 -7,0032 -6,4748 -5,7341 -4,8403 -3,8676 -2,9231 -2,1370 -1,6304 -1,4657 -1,6127 -1,9766 -2,4506 -2,9489 -3,4230 -3,8627 -4,2773 -4,6869 -5,1176 -5,5811 -6,0637 -6,5479 -7,0295 -7,5070 -7,9644 -8,3734 -8,6992 -8,9002 -8,9338 -8,7732 -8,4283 -7,9374 -7,3264 -6,6075 -5,8437 -5,1745 -4,7356 -4,5788 -4,6832 -4,9808 -5,3669 -5,7452 -6,0669 -6,3022 -6,4084 -6,3535 -6,1477 -5,8286 -5,4197 -4,9116 -4,2891 -3,5759 -2,8532 -2,2461 -1,8803 -1,8153 -2,0262 -2,4554 -3,0431 -3,7199 -4,4128 -5,0620 -5,6250 -6,0800 -6,4291 -6,6806 -6,8195 -6,8141 -6,6706 -6,4582 -6,2683 -6,1785 -6,2341 -6,4187 -6,6593 -6,8799 -7,0507 -7,1989 -7,3784 -7,6283 -7,9563 -8,3472 -8,7716 -9,1886 -9,5528 -9,8302 -10,0066 -10,0838 -10,0745 -9,9930 -9,8457 -9,6593 -9,5091 -9,4765 -9,5756 -9,7438 -9,8827 -9,9009 -9,7564 -9,4706 -9,0854 -8,6182 -8,0597 -7,3955 -6,6303 -5,7992 -4,9531 -4,1567 -3,5037 -3,0786 -2,8805 -2,8174 -2,7813 -2,7147 -2,6279 -2,5684 -2,5822 -2,6926 -2,8948 -3,1665 -3,4874 -3,8334 -4,1313 -4,2480 -4,0701 -3,5934 -2,9282 -2,2410 -1,6795 -1,3225 -1,1803 -1,2140 -1,3391 -1,4531 -1,4878 -1,4309 -1,3099 -1,1818 -1,1307 -1,2397 -1,5505 -2,0600 -2,7390 -3,5475 -4,4540 -5,4399 -6,4754 -7,4966 -8,4027 -9,0936 -9,5497 -9,8666 -10,1780 -10,5544 -10,9830 -11,4160 -11,8208 -12,1965 -12,5542 -12,8898 -13,1914 -13,4535 -13,6603 -13,7595 -13,6575 -13,2415
Fz    4,7243 4,4921 4,2666 4,0314 3,7725 3,4800 3,1409 2,7441 2,2948 1,8134 1,3185 0,8120 0,2817 -0,2785 -0,8533 -1,4143 -1,9331 -2,3841 -2,7434 -2,9898 -3,1091 -3,1020 -2,9903 -2,8175 -2,6415 -2,5167 -2,4721 -2,4984 -2,5553 -2,5903 -2,5621 -2,4571 -2,2905 -2,0882 -1,8683 -1,6374 -1,3914 -1,1134 -0,7787 -0,3697 0,1070 0,6199 1,1267 1,5900 1,9913 2,3313 2,6128 2,8319 2,9858 3,0776 3,1113 3,0884 3,0096 2,8769 2,6951 2,4733 2,2254 1,9720 1,7398 1,5542 1,4321 1,3744 1,3635 1,3697 1,3619 1,3119 1,1988 1,0232 0,8162 0,6260 0,4907 0,4165 0,3781 0,3415 0,2869 0,2180 0,1605 0,1565 0,2477 0,4492 0,7332 1,0405 1,3081 1,4922 1,5749 1,5627 1,4777 1,3376 1,1441 0,8892 0,5644 0,1632 -0,3165 -0,8683 -1,4718 -2,0867 -2,6557 -3,1175 -3,4269 -3,5711 -3,5674 -3,4459 -3,2388 -2,9777 -2,6875 -2,3774 -2,0416 -1,6711 -1,2665 -0,8437 -0,4312 -0,0565 0,2742 0,5823 0,9040 1,2725 1,7019 2,1790 2,6739 3,1592 3,6151 4,0217 4,3444 4,5334 4,5509 4,3963 4,0987 3,6927 3,2096 2,6780 2,1256 1,5803 1,0635 0,5838 0,1429 -0,2566 -0,6193 -0,9639 -1,3127 -1,6732 -2,0325 -2,3626 -2,6303 -2,8139 -2,9119 -2,9390 -2,9245 -2,9109 -2,9392 -3,0309 -3,1808 -3,3609 -3,5318 -3,6567 -3,7044 -3,6447 -3,4492 -3,1025 -2,6146 -2,0179 -1,3527 -0,6559 0,0453 0,7389 1,4296 2,1329 2,8639 3,6253 4,4008 5,1555 5,8432 6,4146 6,8294 7,0688 7,1329 7,0279 6,7640 6,3673 5,8851 5,3759 4,8955 4,4860 4,1728 3,9686 3,8767 3,8883 3,9815 4,1310 4,3152 4,5203 4,7430 4,9867 5,2550 5,5456 5,8377 6,0869 6,2432 6,2777 6,1953 6,0223 5,7851 5,5013 5,1827 4,8339 4,4532 4,0430 3,6202 3,2102 2,8328 2,4928 2,1804 1,8793 1,5766 1,2678 0,9570 0,6479 0,3366 0,0194 -0,2938 -0,5743 -0,7810 -0,8759 -0,8424 -0,6939 -0,4662 -0,1976 0,0899 0,3931 0,7147 1,0486 1,3800 1,7018 2,0235 2,3623 2,7267 3,1082 3,4802 3,8080 4,0640 4,2383 4,3408 4,3966 4,4333 4,4709 4,5213 4,5890 4,6674 4,7430 4,7980 4,8072 4,7394 4,5719 4,3037 3,9555 3,5614 3,1609 2,7897 2,4771 2,2512 2,1325 2,1184 2,1807 2,2836 2,3980 2,5046 2,5890 2,6381 2,6452 2,6130 2,5492 2,4624 2,3609 2,2441 2,1032 1,9388 1,7664 1,6051 1,4738 1,3923 1,3757 1,4281 1,5424 1,7033 1,8923 2,0931 2,2913 2,4728 2,6337 2,7880 2,9571 3,1524 3,3684 3,5880 3,7897 3,9465 4,0270 4,0103 3,9022 3,7289 3,5199 3,2980 3,0815 2,8907 2,7513 2,6820 2,6840 2,7499 2,8774 3,0606 3,2722 3,4613 3,5691 3,5554 3,4193 3,1907 2,9053 2,5939 2,2919 2,0410 1,8723 1,7899 1,7720 1,7875 1,8193 1,8765 1,9810 2,1456 2,3681 2,6361 2,9292 3,2196 3,4760 3,6658 3,7596 3,7452 3,6416 3,4998 3,3866 3,3544 3,4080 3,5020 3,5766 3,5914 3,5322 3,4043 3,2258 3,0183 2,7952 2,5593 2,3142 2,0793 1,8874 1,7635 1,7140 1,7383 1,8384 2,0140 2,2566 2,5466 2,8563 3,1607 3,4487 3,7213 3,9821 4,2311 4,4633 4,6707 4,8467 4,9900 5,1072 5,2125 5,3170 5,4264 5,5523 5,7144 5,9211 6,1564 6,3936 6,6117 6,8004 6,9583 7,0902 7,2055 7,3151 7,4233 7,5246 7,6094 7,6663 7,6796 7,6322 7,5179 7,3473 7,1399 6,9164 6,7013 6,5242 6,4029 6,3302 6,2867 6,2626 6,2585 6,2709 6,2843 6,2747 6,2216 6,1228 6,0030 5,9007 5,8389 5,8127 5,8014 5,7855 5,7572 5,7140 5,6466 5,5422 5,4001 5,2352 5,0651 4,9011 4,7520 4,6328 4,5566 4,5190 4,4965 4,4625 4,3998 4,3042 4,1858 4,0646 3,9585 3,8746 3,8115 3,7679 3,7449 3,7422 3,7554 3,7809 3,8173 3,8663 3,9320 4,0176 4,1228 4,2452 4,3779 4,5064 4,6134 4,6843 4,7111 4,6954 4,6492 4,5883 4,5244 4,4564 4,3680 4,2318 4,0193 3,7115 3,3151 2,8703 2,4394 2,0825 1,8357 1,6982 1,6374 1,6123 1,5973 1,5870 1,5840 1,5910 1,6149 1,6633 1,7330 1,8161 1,9179 2,0564 2,2469 2,4951 2,7984 3,1460 3,5202 3,8995 4,2541 4,5474 4,7496 4,8487 4,8477 4,7544 4,5782 4,3423 4,0851 3,8383 3,6106 3,3979 3,2010 3,0306 2,9019 2,8253 2,7995 2,8119 2,8482 2,8998 2,9566 2,9978 2,9952 2,9222 2,7604 2,5072 2,1760 1,7888 1,3708 0,9520 0,5699 0,2597 0,0353 -0,1141 -0,2101 -0,2687 -0,2984 -0,3059 -0,3000 -0,2916 -0,2898 -0,2920 -0,2805 -0,2357 -0,1515 -0,0333 0,1117 0,2714 0,4244 0,5438 0,6090 0,6164 0,5863 0,5628 0,6017 0,7454 0,9993 1,3317 1,6957 2,0490 2,3577 2,5999 2,7725 2,8910 2,9835 3,0810 3,2047 3,3560 3,5188 3,6673 3,7773 3,8332 3,8296 3,7745 3,7006 3,6638 3,7208 3,9026 4,1995 4,5664 4,9490 5,3076 5,6174 5,8587 6,0168 6,0879 6,0768 5,9838 5,8001 5,5209 5,1551 4,7183 4,2222 3,6729 3,0758 2,4432 1,7963 1,1586 0,5553 0,0172 -0,4241 -0,7488 -0,9608 -1,0884 -1,1650 -1,2129 -1,2451 -1,2743 -1,3156 -1,3856 -1,4952 -1,6397 -1,8046 -1,9735 -2,1258 -2,2312 -2,2570 -2,1833
F3    3,3136 3,2082 3,0455 2,8184 2,5406 2,2367 1,9206 1,5898 1,2353 0,8511 0,4351 -0,0160 -0,5069 -1,0295 -1,5536 -2,0422 -2,4690 -2,8199 -3,0849 -3,2535 -3,3158 -3,2715 -3,1375 -2,9460 -2,7356 -2,5374 -2,3647 -2,2196 -2,0999 -1,9947 -1,8781 -1,7229 -1,5178 -1,2663 -0,9755 -0,6574 -0,3301 -0,0050 0,3277 0,6928 1,1042 1,5529 2,0144 2,4572 2,8510 3,1747 3,4177 3,5807 3,6739 3,7092 3,6929 3,6251 3,5018 3,3194 3,0788 2,7854 2,4491 2,0897 1,7425 1,4457 1,2211 1,0647 0,9562 0,8750 0,8094 0,7519 0,6909 0,6151 0,5251 0,4335 0,3506 0,2685 0,1626 0,0103 -0,1933 -0,4323 -0,6708 -0,8566 -0,9401 -0,9031 -0,7702 -0,5924 -0,4186 -0,2757 -0,1635 -0,0591 0,0664 0,2178 0,3603 0,4378 0,4039 0,2387 -0,0535 -0,4529 -0,9237 -1,4096 -1,8450 -2,1777 -2,3860 -2,4824 -2,4993 -2,4655 -2,3980 -2,3083 -2,1999 -2,0587 -1,8579 -1,5784 -1,2199 -0,7971 -0,3351 0,1361 0,5970 1,0481 1,5027 1,9742 2,4640 2,9552 3,4222 3,8469 4,2220 4,5367 4,7562 4,8276 4,7152 4,4278 4,0046 3,4917 2,9348 2,3714 1,8245 1,3066 0,8284 0,4018 0,0401 -0,2433 -0,4475 -0,5985 -0,7408 -0,9143 -1,1366 -1,3938 -1,6427 -1,8334 -1,9318 -1,9262 -1,8305 -1,6913 -1,5764 -1,5438 -1,6113 -1,7495 -1,9043 -2,0212 -2,0571 -1,9836 -1,7850 -1,4589 -1,0223 -0,5136 0,0194 0,5326 0,9989 1,4200 1,8252 2,2536 2,7342 3,2752 3,8583 4,4420 4,9742 5,4051 5,6986 5,8417 5,8375 5,6874 5,3903 4,9602 4,4390 3,8911 3,3882 2,9897 2,7296 2,6172 2,6414 2,7714 2,9597 3,1588 3,3371 3,4861 3,6196 3,7647 3,9465 4,1722 4,4175 4,6315 4,7594 4,7682 4,6586 4,4572 4,1973 3,9079 3,6103 3,3095 2,9940 2,6571 2,3150 1,9997 1,7348 1,5184 1,3252 1,1280 0,9114 0,6723 0,4138 0,1366 -0,1661 -0,4969 -0,8374 -1,1489 -1,3845 -1,5020 -1,4800 -1,3300 -1,0919 -0,8098 -0,5094 -0,1975 0,1255 0,4568 0,7939 1,1430 1,5249 1,9614 2,4542 2,9748 3,4734 3,9029 4,2402 4,4870 4,6599 4,7829 4,8822 4,9785 5,0781 5,1651 5,2050 5,1653 5,0327 4,8111 4,5119 4,1520 3,7563 3,3553 2,9816 2,6670 2,4337 2,2857 2,2164 2,2193 2,2828 2,3873 2,5106 2,6343 2,7425 2,8167 2,8365 2,7942 2,7000 2,5686 2,4137 2,2537 2,1044 1,9691 1,8472 1,7419 1,6565 1,5949 1,5644 1,5704 1,6108 1,6782 1,7640 1,8601 1,9580 2,0468 2,1173 2,1748 2,2432 2,3472 2,4913 2,6595 2,8316 2,9947 3,1318 3,2124 3,2122 3,1347 3,0019 2,8309 2,6278 2,4007 2,1749 1,9917 1,8856 1,8627 1,9087 2,0107 2,1574 2,3241 2,4682 2,5403 2,5086 2,3807 2,1994 2,0070 1,8228 1,6580 1,5352 1,4796 1,4985 1,5770 1,6865 1,8010 1,9142 2,0399 2,1902 2,3605 2,5291 2,6628 2,7309 2,7188 2,6292 2,4713 2,2590 2,0221 1,8147 1,7050 1,7438 1,9258 2,1847 2,4340 2,6128 2,7015 2,7140 2,6811 2,6291 2,5667 2,4902 2,3949 2,2851 2,1736 2,0697 1,9769 1,9085 1,8902 1,9437 2,0742 2,2679 2,4960 2,7309 2,9619 3,1924 3,4274 3,6654 3,8990 4,1157 4,3047 4,4684 4,6235 4,7824 4,9385 5,0816 5,2211 5,3790 5,5606 5,7472 5,9166 6,0592 6,1754 6,2632 6,3172 6,3420 6,3540 6,3664 6,3785 6,3764 6,3403 6,2508 6,0967 5,8798 5,6161 5,3303 5,0488 4,7948 4,5829 4,4107 4,2641 4,1444 4,0777 4,0908 4,1851 4,3345 4,4968 4,6288 4,7054 4,7316 4,7317 4,7250 4,7145 4,6933 4,6582 4,6173 4,5754 4,5165 4,4162 4,2683 4,0914 3,9132 3,7560 3,6350 3,5598 3,5285 3,5189 3,4945 3,4272 3,3115 3,1578 2,9814 2,7992 2,6259 2,4672 2,3215 2,1931 2,0992 2,0608 2,0888 2,1780 2,3109 2,4702 2,6471 2,8350 3,0251 3,2108 3,3880 3,5542 3,7123 3,8661 4,0118 4,1416 4,2473 4,3163 4,3287 4,2628 4,1003 3,8287 3,4409 2,9414 2,3595 1,7553 1,2041 0,7708 0,4895 0,3540 0,3242 0,3522 0,4099 0,4922 0,5985 0,7213 0,8478 0,9643 1,0596 1,1371 1,2227 1,3474 1,5232 1,7429 1,9969 2,2796 2,5797 2,8730 3,1235 3,2965 3,3714 3,3473 3,2395 3,0638 2,8283 2,5507 2,2679 2,0134 1,7972 1,6149 1,4631 1,3396 1,2383 1,1487 1,0604 0,9668 0,8682 0,7714 0,6803 0,5887 0,4876 0,3710 0,2318 0,0605 -0,1515 -0,4100 -0,7136 -1,0442 -1,3664 -1,6432 -1,8559 -2,0065 -2,1072 -2,1709 -2,2072 -2,2216 -2,2149 -2,1877 -2,1444 -2,0851 -2,0005 -1,8819 -1,7300 -1,5476 -1,3355 -1,1000 -0,8594 -0,6392 -0,4663 -0,3612 -0,3256 -0,3320 -0,3287 -0,2609 -0,1028 0,1272 0,3855 0,6297 0,8302 0,9720 1,0501 1,0686 1,0490 1,0300 1,0460 1,1055 1,1920 1,2787 1,3436 1,3764 1,3774 1,3568 1,3416 1,3744 1,4969 1,7317 2,0694 2,4681 2,8744 3,2505 3,5750 3,8268 3,9846 4,0436 4,0197 3,9274 3,7655 3,5317 3,2373 2,8972 2,5134 2,0722 1,5569 0,9717 0,3448 -0,2947 -0,9263 -1,5234 -2,0447 -2,4445 -2,6922 -2,7864 -2,7487 -2,6072 -2,3914 -2,1342 -1,8743 -1,6536 -1,5047 -1,4352 -1,4333 -1,4830 -1,5629 -1,6389 -1,6727 -1,6371
F7    2,7226 2,4725 2,1420 1,7730 1,4199 1,1392 0,9553 0,8461 0,7686 0,6869 0,5731 0,4006 0,1513 -0,1655 -0,5043 -0,8028 -1,0194 -1,1551 -1,2457 -1,3297 -1,4225 -1,5216 -1,6246 -1,7360 -1,8574 -1,9760 -2,0630 -2,0851 -2,0192 -1,8579 -1,6112 -1,3029 -0,9660 -0,6392 -0,3584 -0,1429 0,0132 0,1337 0,2423 0,3452 0,4358 0,5214 0,6273 0,7777 0,9892 1,2704 1,6047 1,9366 2,1850 2,2730 2,1563 1,8423 1,3968 0,9274 0,5398 0,2921 0,1744 0,1311 0,1043 0,0581 -0,0226 -0,1351 -0,2623 -0,3792 -0,4693 -0,5444 -0,6393 -0,7783 -0,9423 -1,0695 -1,1034 -1,0544 -1,0046 -1,0462 -1,2180 -1,4872 -1,7609 -1,9112 -1,8274 -1,4850 -0,9708 -0,4328 -0,0080 0,2222 0,2429 0,0996 -0,1205 -0,3298 -0,4836 -0,5801 -0,6339 -0,6597 -0,6732 -0,6978 -0,7571 -0,8550 -0,9717 -1,0816 -1,1709 -1,2360 -1,2739 -1,2810 -1,2567 -1,2044 -1,1282 -1,0185 -0,8435 -0,5712 -0,1990 0,2434 0,7127 1,1717 1,5982 1,9833 2,3290 2,6442 2,9277 3,1582 3,3099 3,3724 3,3589 3,3012 3,2322 3,1647 3,0871 2,9802 2,8310 2,6288 2,3679 2,0535 1,6950 1,3002 0,8789 0,4451 0,0206 -0,3604 -0,6639 -0,8711 -0,9840 -1,0293 -1,0556 -1,1080 -1,2006 -1,3145 -1,4158 -1,4770 -1,4915 -1,4684 -1,4173 -1,3531 -1,3122 -1,3376 -1,4371 -1,5741 -1,6951 -1,7492 -1,6926 -1,5054 -1,2071 -0,8473 -0,4787 -0,1359 0,1692 0,4361 0,6678 0,8737 1,0719 1,2865 1,5398 1,8330 2,1397 2,4242 2,6563 2,8101 2,8617 2,7948 2,6106 2,3319 1,9912 1,6199 1,2541 0,9394 0,7232 0,6359 0,6706 0,7818 0,9161 1,0427 1,1565 1,2746 1,4324 1,6630 1,9752 2,3476 2,7326 3,0696 3,3063 3,4117 3,3809 3,2375 3,0217 2,7678 2,4951 2,2094 1,8998 1,5471 1,1570 0,7774 0,4691 0,2541 0,1043 -0,0227 -0,1529 -0,2998 -0,4729 -0,6808 -0,9314 -1,2212 -1,5282 -1,8162 -2,0438 -2,1773 -2,2049 -2,1408 -2,0094 -1,8240 -1,5811 -1,2757 -0,9173 -0,5262 -0,1197 0,2949 0,7124 1,1255 1,5295 1,9204 2,2761 2,5514 2,7012 2,7136 2,6247 2,5037 2,4133 2,3781 2,3843 2,3934 2,3590 2,2543 2,0884 1,8928 1,6927 1,4966 1,3077 1,1445 1,0475 1,0543 1,1613 1,3196 1,4754 1,6013 1,6963 1,7741 1,8467 1,9068 1,9339 1,9124 1,8359 1,7027 1,5138 1,2752 1,0084 0,7531 0,5523 0,4274 0,3639 0,3232 0,2715 0,1997 0,1184 0,0403 -0,0260 -0,0703 -0,0836 -0,0728 -0,0613 -0,0688 -0,1004 -0,1477 -0,1947 -0,2268 -0,2336 -0,2051 -0,1336 -0,0290 0,0687 0,1036 0,0436 -0,0936 -0,2514 -0,3669 -0,3988 -0,3358 -0,1908 0,0103 0,2385 0,4633 0,6545 0,7949 0,8876 0,9414 0,9499 0,8946 0,7735 0,6193 0,4788 0,3784 0,3195 0,2991 0,3200 0,3801 0,4609 0,5307 0,5643 0,5672 0,5737 0,6167 0,7050 0,8292 0,9703 1,0950 1,1625 1,1507 1,0695 0,9488 0,8260 0,7416 0,7336 0,8236 1,0110 1,2732 1,5656 1,8293 2,0143 2,1068 2,1365 2,1492 2,1692 2,1776 2,1196 1,9485 1,6710 1,3470 1,0510 0,8337 0,7071 0,6572 0,6704 0,7444 0,8782 1,0565 1,2488 1,4243 1,5648 1,6701 1,7521 1,8135 1,8375 1,8108 1,7495 1,6847 1,6245 1,5479 1,4370 1,3024 1,1760 1,0939 1,0884 1,1843 1,3880 1,6760 1,9973 2,2932 2,5233 2,6775 2,7646 2,7903 2,7519 2,6451 2,4680 2,2312 1,9732 1,7529 1,6182 1,5858 1,6403 1,7414 1,8434 1,9243 1,9874 2,0376 2,0721 2,0907 2,0949 2,0718 1,9981 1,8648 1,6886 1,4954 1,3111 1,1709 1,1149 1,1581 1,2719 1,4000 1,4885 1,5119 1,4831 1,4420 1,4279 1,4532 1,5015 1,5495 1,5796 1,5759 1,5369 1,4837 1,4338 1,3838 1,3288 1,2711 1,2029 1,1065 0,9790 0,8454 0,7418 0,6896 0,6841 0,7144 0,7964 0,9641 1,2311 1,5862 2,0155 2,4922 2,9546 3,3283 3,5699 3,6725 3,6458 3,5153 3,3240 3,1210 2,9518 2,8472 2,8082 2,8011 2,7680 2,6552 2,4433 2,1468 1,7943 1,4161 1,0480 0,7416 0,5497 0,4915 0,5407 0,6438 0,7427 0,7978 0,7981 0,7523 0,6900 0,6608 0,6997 0,8040 0,9594 1,1644 1,4198 1,7064 1,9788 2,1852 2,2996 2,3378 2,3376 2,3176 2,2616 2,1426 1,9603 1,7541 1,5732 1,4333 1,3094 1,1663 0,9910 0,8006 0,6212 0,4612 0,3065 0,1435 -0,0176 -0,1526 -0,2504 -0,3230 -0,3870 -0,4474 -0,5025 -0,5513 -0,5932 -0,6325 -0,6816 -0,7553 -0,8649 -1,0106 -1,1750 -1,3257 -1,4331 -1,4834 -1,4741 -1,4096 -1,3026 -1,1648 -0,9999 -0,8116 -0,6069 -0,3894 -0,1625 0,0662 0,2967 0,5395 0,7898 1,0059 1,1234 1,0918 0,9110 0,6378 0,3516 0,1164 -0,0360 -0,1098 -0,1408 -0,1770 -0,2454 -0,3309 -0,3995 -0,4387 -0,4576 -0,4583 -0,4317 -0,3770 -0,3050 -0,2162 -0,0932 0,0697 0,2387 0,3613 0,4244 0,4634 0,5092 0,5597 0,5961 0,6042 0,5922 0,5927 0,6392 0,7339 0,8391 0,9043 0,9009 0,8272 0,6975 0,5277 0,3178 0,0556 -0,2646 -0,6365 -1,0483 -1,4860 -1,9344 -2,3790 -2,8027 -3,1859 -3,5081 -3,7470 -3,8926 -3,9667 -4,0064 -4,0233 -3,9961 -3,8997 -3,7291 -3,5072 -3,2730 -3,0526 -2,8468 -2,6459 -2,4424 -2,2346 -2,0288 -1,8353
