Fp1   3,6810 3,6569 3,5271 3,3260 3,1066 2,9148 2,7863 2,7463 2,7899 2,8635 2,8794 2,7617 2,4851 2,0768 1,5966 1,1230 0,7390 0,4987 0,3931 0,3444 0,2362 -0,0277 -0,4708 -1,0368 -1,6249 -2,1340 -2,4908 -2,6667 -2,6811 -2,5938 -2,4888 -2,4514 -2,5324 -2,7167 -2,9288 -3,0751 -3,0922 -2,9635 -2,7073 -2,3629 -1,9787 -1,5970 -1,2378 -0,8941 -0,5458 -0,1813 0,1985 0,5839 0,9455 1,2198 1,3301 1,2414 0,9829 0,6127 0,1868 -0,2346 -0,5725 -0,7445 -0,7067 -0,4863 -0,1690 0,1471 0,3970 0,5663 0,6767 0,7696 0,8999 1,1202 1,4548 1,8780 2,3141 2,6688 2,8808 2,9557 2,9528 2,9460 2,9909 3,1060 3,2657 3,4160 3,5057 3,5052 3,4035 3,2036 2,9266 2,6080 2,2803 1,9522 1,6040 1,2032 0,7196 0,1402 -0,5106 -1,1700 -1,7683 -2,2625 -2,6392 -2,8994 -3,0500 -3,1039 -3,0845 -3,0253 -2,9578 -2,8953 -2,8280 -2,7365 -2,6060 -2,4300 -2,2222 -2,0255 -1,8933 -1,8569 -1,9129 -2,0274 -2,1498 -2,2286 -2,2246 -2,1271 -1,9602 -1,7700 -1,6114 -1,5370 -1,5729 -1,6927 -1,8165 -1,8407 -1,6788 -1,2979 -0,7333 -0,0622 0,6359 1,3009 1,8982 2,4199 2,8860 3,3429 3,8368 4,3683 4,8794 5,2869 5,5237 5,5624 5,4227 5,1618 4,8589 4,5962 4,4328 4,3798 4,3977 4,4111 4,3330 4,1006 3,7064 3,1959 2,6374 2,0990 1,6422 1,3176 1,1514 1,1281 1,1925 1,2763 1,3313 1,3510 1,3739 1,4716 1,7274 2,2020 2,8920 3,7135 4,5242 5,1709 5,5401 5,6003 5,4129 5,1033 4,8030 4,5942 4,4872 4,4379 4,3856 4,2911 4,1592 4,0322 3,9673 4,0163 4,2081 4,5328 4,9377 5,3345 5,6222 5,7268 5,6307 5,3685 5,0023 4,6027 4,2401 3,9708 3,8123 3,7295 3,6517 3,5155 3,2973 3,0057 2,6628 2,3042 1,9801 1,7328 1,5672 1,4437 1,2964 1,0702 0,7591 0,4115 0,0971 -0,1260 -0,2187 -0,1708 -0,0246 0,1208 0,1559 0,0227 -0,2715 -0,6811 -1,1430 -1,5744 -1,8787 -1,9874 -1,9076 -1,7144 -1,5002 -1,3298 -1,2167 -1,1223 -0,9800 -0,7299 -0,3444 0,1570 0,7053 1,1979 1,5307 1,6342 1,4965 1,1605 0,7127 0,2767 -0,0081 -0,0379 0,2066 0,6500 1,1622 1,6199 1,9472 2,1222 2,1650 2,1191 2,0288 1,9138 1,7558 1,5085 1,1261 0,5970 -0,0319 -0,6670 -1,2219 -1,6653 -2,0120 -2,2823 -2,4885 -2,6524 -2,8153 -3,0214 -3,2911 -3,6127 -3,9578 -4,2908 -4,5711 -4,7666 -4,8708 -4,9098 -4,9337 -4,9872 -5,0845 -5,2119 -5,3445 -5,4441 -5,4500 -5,2967 -4,9575 -4,4730 -3,9404 -3,4675 -3,1247 -2,9250 -2,8418 -2,8391 -2,8798 -2,9257 -2,9547 -2,9820 -3,0544 -3,2156 -3,4696 -3,7703 -4,0421 -4,2071 -4,2111 -4,0484 -3,7744 -3,4870 -3,2920 -3,2689 -3,4410 -3,7567 -4,1004 -4,3365 -4,3637 -4,1587 -3,7906 -3,3917 -3,1057 -3,0372 -3,2134 -3,5767 -4,0193 -4,4235 -4,6923 -4,7835 -4,7254 -4,5920 -4,4647 -4,3963 -4,3860 -4,3912 -4,3696 -4,2967 -4,1545 -3,9244 -3,6043 -3,2314 -2,8827 -2,6441 -2,5735 -2,6850 -2,9455 -3,2680 -3,5258 -3,6070 -3,4742 -3,1761 -2,8091 -2,4640 -2,1914 -1,9944 -1,8362 -1,6597 -1,4249 -1,1386 -0,8458 -0,5980 -0,4305 -0,3591 -0,3789 -0,4580 -0,5374 -0,5433 -0,4126 -0,1211 0,2992 0,7643 1,1670 1,4178 1,4740 1,3432 1,0664 0,7008 0,3078 -0,0598 -0,3801 -0,6865 -1,0612 -1,5785 -2,2474 -3,0028 -3,7362 -4,3337 -4,7078 -4,8254 -4,7255 -4,5104 -4,3023 -4,1881 -4,1880 -4,2643 -4,3552 -4,4031 -4,3642 -4,2190 -3,9897 -3,7385 -3,5385 -3,4413 -3,4574 -3,5589 -3,6922 -3,7862 -3,7634 -3,5731 -3,2301 -2,8209 -2,4595 -2,2192 -2,0973 -2,0362 -1,9601 -1,7944 -1,4804 -0,9999 -0,3909 0,2597 0,8427 1,2625 1,4661 1,4480 1,2409 0,9163 0,5821 0,3490 0,2793 0,3540 0,4816 0,5494 0,4832 0,2741 -0,0348 -0,3806 -0,7063 -0,9714 -1,1566 -1,2763 -1,3800 -1,5266 -1,7440 -2,0122 -2,2757 -2,4716 -2,5632 -2,5583 -2,4997 -2,4417 -2,4275 -2,4744 -2,5685 -2,6688 -2,7243 -2,6924 -2,5458 -2,2742 -1,8909 -1,4453 -1,0143 -0,6635 -0,4138 -0,2454 -0,1262 -0,0213 0,1211 0,3622 0,7284 1,1766 1,6113 1,9502 2,1808 2,3534 2,5315 2,7637 3,0867 3,5188 4,0338 4,5506 4,9620 5,1856 5,1913 4,9941 4,6423 4,2132 3,7933 3,4374 3,1390 2,8419 2,4804 2,0150 1,4493 0,8347 0,2647 -0,1451 -0,2995 -0,1764 0,1469 0,5161 0,7632 0,7825 0,5774 0,2445 -0,0803 -0,2676 -0,2267 0,0747 0,6046 1,2713 1,9502 2,5308 2,9508 3,1968 3,2943 3,3068 3,3261 3,4375 3,6746 3,9963 4,3008 4,4725 4,4413 4,2192 3,8904 3,5705 3,3617 3,3156 3,4183 3,6027 3,7812 3,8879 3,9028 3,8418 3,7315 3,5998 3,4818 3,4215 3,4522 3,5682 3,7178 3,8349 3,8820 3,8654 3,8171 3,7747 3,7737 3,8391 3,9668 4,1056 4,1663 4,0742 3,8249 3,4905 3,1751 2,9600 2,8735 2,8898 2,9430 2,9489 2,8398 2,5986 2,2673 1,9309 1,6895 1,6248 1,7793 2,1475 2,6686 3,2333 3,7195 4,0416 4,1808 4,1795 4,1089 4,0328 3,9897 3,9975 4,0507 4,1107 4,1142 4,0041 3,7603 3,4121 3,0223 2,6615 2,3955 2,2707 2,2854 2,3744 2,4368 2,3910 2,2132 1,9355 1,6173 1,3178 1,0794 0,9208 0,8293 0,7585
Fz    3,8714 4,0127 4,0248 3,9602 3,8700 3,7765 3,6757 3,5594 3,4258 3,2703 3,0765 2,8202 2,4900 2,1077 1,7253 1,4018 1,1787 1,0614 1,0087 0,9420 0,7757 0,4582 -0,0067 -0,5681 -1,1574 -1,7193 -2,2255 -2,6703 -3,0608 -3,4080 -3,7188 -3,9913 -4,2120 -4,3543 -4,3779 -4,2363 -3,9038 -3,4061 -2,8176 -2,2250 -1,6914 -1,2473 -0,8993 -0,6343 -0,4225 -0,2298 -0,0373 0,1441 0,2760 0,3079 0,2050 -0,0241 -0,3297 -0,6522 -0,9503 -1,1989 -1,3776 -1,4699 -1,4759 -1,4252 -1,3622 -1,3099 -1,2545 -1,1677 -1,0308 -0,8340 -0,5758 -0,2712 0,0527 0,3697 0,6614 0,9157 1,1269 1,2938 1,4133 1,4801 1,4978 1,4749 1,4029 1,2556 1,0219 0,7247 0,3957 0,0492 -0,3102 -0,6747 -1,0384 -1,4079 -1,7975 -2,2182 -2,6782 -3,1829 -3,7223 -4,2642 -4,7663 -5,1947 -5,5323 -5,7772 -5,9449 -6,0634 -6,1573 -6,2403 -6,3192 -6,3864 -6,4103 -6,3534 -6,2021 -5,9701 -5,6889 -5,3993 -5,1345 -4,9121 -4,7429 -4,6269 -4,5381 -4,4268 -4,2485 -3,9997 -3,7208 -3,4603 -3,2485 -3,0966 -3,0030 -2,9501 -2,8981 -2,7846 -2,5375 -2,1122 -1,5265 -0,8475 -0,1382 0,5705 1,2660 1,9332 2,5532 3,1109 3,5891 3,9550 4,1652 4,1939 4,0521 3,7904 3,4845 3,2035 2,9847 2,8345 2,7388 2,6673 2,5786 2,4261 2,1632 1,7592 1,2219 0,6004 -0,0400 -0,6386 -1,1464 -1,5288 -1,7725 -1,8939 -1,9272 -1,8963 -1,8034 -1,6397 -1,3965 -1,0639 -0,6316 -0,1016 0,4990 1,1205 1,7012 2,1728 2,4753 2,5856 2,5272 2,3549 2,1332 1,9165 1,7316 1,5808 1,4637 1,3905 1,3674 1,3806 1,4140 1,4749 1,5848 1,7520 1,9599 2,1723 2,3478 2,4575 2,4892 2,4422 2,3253 2,1597 1,9768 1,8048 1,6445 1,4634 1,2198 0,8943 0,5017 0,0730 -0,3672 -0,7993 -1,1966 -1,5338 -1,8067 -2,0260 -2,1993 -2,3328 -2,4355 -2,5136 -2,5716 -2,6155 -2,6490 -2,6716 -2,6909 -2,7346 -2,8433 -3,0483 -3,3550 -3,7396 -4,1525 -4,5217 -4,7651 -4,8296 -4,7307 -4,5389 -4,3228 -4,1154 -3,9175 -3,7099 -3,4643 -3,1569 -2,7880 -2,3903 -2,0101 -1,6847 -1,4417 -1,2965 -1,2436 -1,2607 -1,3166 -1,3670 -1,3594 -1,2540 -1,0433 -0,7601 -0,4636 -0,2100 -0,0302 0,0738 0,1210 0,1340 0,1221 0,0715 -0,0539 -0,2958 -0,6796 -1,2046 -1,8425 -2,5402 -3,2324 -3,8626 -4,3988 -4,8396 -5,2070 -5,5341 -5,8501 -6,1688 -6,4858 -6,7905 -7,0766 -7,3305 -7,5225 -7,6260 -7,6439 -7,6116 -7,5786 -7,5805 -7,6179 -7,6641 -7,6871 -7,6522 -7,5194 -7,2614 -6,8895 -6,4539 -6,0157 -5,6212 -5,2987 -5,0634 -4,9155 -4,8383 -4,8044 -4,7875 -4,7742 -4,7691 -4,7856 -4,8324 -4,9020 -4,9666 -4,9864 -4,9248 -4,7627 -4,5112 -4,2148 -3,9294 -3,6957 -3,5308 -3,4344 -3,3868 -3,3402 -3,2308 -3,0169 -2,7062 -2,3569 -2,0590 -1,9045 -1,9495 -2,1847 -2,5363 -2,9016 -3,1870 -3,3279 -3,3062 -3,1570 -2,9458 -2,7434 -2,6117 -2,5872 -2,6737 -2,8529 -3,0899 -3,3317 -3,5115 -3,5746 -3,5143 -3,3778 -3,2265 -3,0979 -2,9985 -2,9162 -2,8352 -2,7404 -2,6157 -2,4567 -2,2833 -2,1254 -1,9978 -1,8977 -1,8156 -1,7400 -1,6573 -1,5569 -1,4386 -1,3167 -1,2149 -1,1532 -1,1381 -1,1580 -1,1771 -1,1386 -0,9816 -0,6685 -0,2102 0,3354 0,8881 1,3769 1,7592 2,0212 2,1667 2,2094 2,1724 2,0837 1,9637 1,8133 1,6140 1,3419 0,9854 0,5536 0,0758 -0,3986 -0,8104 -1,1119 -1,2840 -1,3412 -1,3267 -1,2972 -1,3005 -1,3569 -1,4590 -1,5861 -1,7164 -1,8328 -1,9308 -2,0183 -2,0979 -2,1573 -2,1853 -2,1822 -2,1509 -2,0866 -1,9769 -1,8084 -1,5818 -1,3244 -1,0834 -0,8993 -0,7765 -0,6757 -0,5388 -0,3208 0,0008 0,4290 0,9498 1,5296 2,1166 2,6526 3,0926 3,4187 3,6371 3,7619 3,8077 3,8068 3,8153 3,8755 3,9770 4,0691 4,0997 4,0405 3,8858 3,6463 3,3449 3,0049 2,6394 2,2579 1,8727 1,4936 1,1244 0,7714 0,4494 0,1826 -0,0036 -0,1019 -0,1351 -0,1478 -0,1818 -0,2572 -0,3690 -0,4909 -0,5808 -0,5910 -0,4811 -0,2283 0,1628 0,6551 1,1811 1,6611 2,0363 2,2871 2,4306 2,5104 2,5834 2,7048 2,9120 3,2083 3,5568 3,8992 4,1938 4,4362 4,6476 4,8565 5,0941 5,3918 5,7658 6,1974 6,6281 6,9848 7,2159 7,2980 7,2238 7,0057 6,6833 6,3063 5,9043 5,4732 4,9947 4,4630 3,8905 3,2984 2,7142 2,1762 1,7340 1,4380 1,3143 1,3408 1,4519 1,5715 1,6492 1,6736 1,6556 1,6117 1,5691 1,5698 1,6527 1,8237 2,0469 2,2725 2,4672 2,6214 2,7438 2,8570 2,9881 3,1601 3,3840 3,6465 3,9098 4,1324 4,2960 4,4136 4,5186 4,6467 4,8251 5,0690 5,3736 5,7055 6,0146 6,2653 6,4518 6,5852 6,6744 6,7231 6,7389 6,7348 6,7224 6,7038 6,6734 6,6278 6,5710 6,5108 6,4593 6,4289 6,4254 6,4477 6,4853 6,5134 6,4951 6,3963 6,2042 5,9351 5,6238 5,3117 5,0433 4,8568 4,7617 4,7305 4,7186 4,6895 4,6231 4,5162 4,3855 4,2642 4,1922 4,2017 4,2998 4,4573 4,6180 4,7300 4,7734 4,7630 4,7318 4,7138 4,7354 4,8114 4,9395 5,0927 5,2227 5,2731 5,2034 5,0132 4,7430 4,4484 4,1828 3,9912 3,8910 3,8546 3,8249 3,7485 3,5993 3,3833 3,1287 2,8681 2,6234 2,4049 2,2184 2,0603 1,9089
F3    3,6689 3,9027 4,0128 4,0332 3,9977 3,9183 3,7955 3,6416 3,4799 3,3222 3,1529 2,9365 2,6472 2,2943 1,9157 1,5553 1,2538 1,0376 0,8987 0,7863 0,6245 0,3506 -0,0535 -0,5581 -1,1097 -1,6585 -2,1644 -2,5937 -2,9272 -3,1702 -3,3468 -3,4849 -3,6016 -3,6947 -3,7397 -3,6956 -3,5314 -3,2482 -2,8755 -2,4541 -2,0262 -1,6360 -1,3230 -1,1011 -0,9455 -0,8066 -0,6445 -0,4526 -0,2606 -0,1225 -0,0884 -0,1736 -0,3538 -0,5931 -0,8625 -1,1312 -1,3573 -1,4990 -1,5385 -1,4929 -1,3951 -1,2621 -1,0961 -0,9077 -0,7205 -0,5471 -0,3751 -0,1802 0,0529 0,3221 0,6135 0,9106 1,1993 1,4693 1,7130 1,9235 2,0965 2,2270 2,2989 2,2879 2,1871 2,0163 1,7954 1,5249 1,1975 0,8158 0,3923 -0,0622 -0,5441 -1,0555 -1,6066 -2,2103 -2,8638 -3,5348 -4,1734 -4,7366 -5,1976 -5,5405 -5,7665 -5,9018 -5,9828 -6,0391 -6,0915 -6,1439 -6,1714 -6,1353 -6,0125 -5,8043 -5,5329 -5,2366 -4,9577 -4,7296 -4,5731 -4,4864 -4,4347 -4,3670 -4,2496 -4,0884 -3,9204 -3,7858 -3,7092 -3,6932 -3,7202 -3,7555 -3,7503 -3,6445 -3,3757 -2,9056 -2,2503 -1,4730 -0,6396 0,2082 1,0419 1,8313 2,5455 3,1649 3,6800 4,0742 4,3152 4,3720 4,2407 3,9611 3,6092 3,2586 2,9494 2,6943 2,4979 2,3568 2,2498 2,1387 1,9793 1,7353 1,3947 0,9738 0,5042 0,0214 -0,4348 -0,8218 -1,1096 -1,2978 -1,4093 -1,4639 -1,4684 -1,4236 -1,3256 -1,1578 -0,8934 -0,5182 -0,0519 0,4570 0,9485 1,3587 1,6333 1,7528 1,7351 1,6153 1,4352 1,2352 1,0410 0,8600 0,6960 0,5623 0,4743 0,4345 0,4391 0,4939 0,6154 0,8213 1,1124 1,4522 1,7725 2,0086 2,1274 2,1279 2,0268 1,8505 1,6360 1,4215 1,2235 1,0283 0,8042 0,5219 0,1715 -0,2375 -0,6856 -1,1419 -1,5593 -1,8910 -2,1148 -2,2330 -2,2607 -2,2255 -2,1628 -2,1022 -2,0623 -2,0472 -2,0449 -2,0378 -2,0242 -2,0351 -2,1280 -2,3547 -2,7327 -3,2418 -3,8294 -4,4085 -4,8695 -5,1252 -5,1596 -5,0278 -4,8085 -4,5649 -4,3305 -4,1020 -3,8462 -3,5261 -3,1348 -2,7038 -2,2802 -1,9062 -1,6208 -1,4540 -1,4101 -1,4693 -1,5943 -1,7244 -1,7845 -1,7156 -1,5046 -1,1924 -0,8550 -0,5632 -0,3527 -0,2223 -0,1533 -0,1292 -0,1425 -0,1957 -0,3070 -0,5061 -0,8187 -1,2531 -1,7931 -2,3970 -3,0099 -3,5814 -4,0759 -4,4794 -4,8021 -5,0765 -5,3443 -5,6400 -5,9784 -6,3537 -6,7435 -7,1093 -7,4051 -7,5980 -7,6814 -7,6750 -7,6160 -7,5459 -7,4930 -7,4662 -7,4628 -7,4664 -7,4361 -7,3137 -7,0588 -6,6802 -6,2289 -5,7695 -5,3679 -5,0867 -4,9655 -4,9957 -5,1206 -5,2648 -5,3705 -5,4174 -5,4175 -5,3930 -5,3543 -5,2935 -5,1953 -5,0485 -4,8447 -4,5838 -4,2828 -3,9705 -3,6751 -3,4183 -3,2125 -3,0556 -2,9205 -2,7603 -2,5374 -2,2494 -1,9352 -1,6666 -1,5307 -1,5994 -1,8896 -2,3421 -2,8486 -3,2983 -3,6085 -3,7437 -3,7187 -3,5806 -3,3921 -3,2189 -3,1075 -3,0788 -3,1404 -3,2894 -3,4957 -3,6949 -3,8150 -3,8255 -3,7538 -3,6495 -3,5481 -3,4689 -3,4267 -3,4293 -3,4595 -3,4703 -3,4197 -3,3059 -3,1606 -3,0169 -2,8932 -2,7934 -2,7056 -2,6043 -2,4606 -2,2546 -1,9854 -1,6782 -1,3776 -1,1308 -0,9677 -0,8846 -0,8419 -0,7807 -0,6487 -0,4228 -0,1136 0,2443 0,6031 0,9166 1,1564 1,3152 1,4049 1,4512 1,4834 1,5153 1,5315 1,4903 1,3439 1,0574 0,6186 0,0501 -0,5845 -1,2013 -1,7305 -2,1336 -2,4037 -2,5614 -2,6432 -2,6797 -2,6876 -2,6784 -2,6652 -2,6583 -2,6567 -2,6495 -2,6267 -2,5825 -2,5152 -2,4329 -2,3503 -2,2781 -2,2188 -2,1643 -2,0936 -1,9855 -1,8419 -1,6926 -1,5713 -1,4832 -1,3922 -1,2422 -0,9904 -0,6222 -0,1465 0,4091 0,9988 1,5673 2,0662 2,4654 2,7551 2,9390 3,0229 3,0156 2,9545 2,9107 2,9406 3,0393 3,1496 3,2059 3,1637 3,0053 2,7399 2,3953 2,0011 1,5773 1,1403 0,7066 0,2827 -0,1379 -0,5626 -0,9865 -1,3871 -1,7328 -1,9993 -2,1779 -2,2747 -2,3089 -2,3080 -2,2975 -2,2867 -2,2619 -2,1965 -2,0613 -1,8306 -1,4884 -1,0393 -0,5227 -0,0083 0,4372 0,7765 1,0089 1,1627 1,2818 1,4153 1,6072 1,8748 2,1936 2,5128 2,7917 3,0231 3,2240 3,4178 3,6335 3,9059 4,2587 4,6846 5,1378 5,5520 5,8694 6,0520 6,0786 5,9507 5,6975 5,3614 4,9750 4,5461 4,0682 3,5419 2,9852 2,4254 1,8872 1,3910 0,9630 0,6400 0,4496 0,3851 0,4000 0,4274 0,4144 0,3472 0,2459 0,1461 0,0891 0,1143 0,2456 0,4756 0,7611 1,0412 1,2675 1,4190 1,5010 1,5387 1,5665 1,6193 1,7235 1,8846 2,0805 2,2723 2,4259 2,5329 2,6152 2,7090 2,8483 3,0586 3,3464 3,6876 4,0371 4,3566 4,6282 4,8424 4,9869 5,0520 5,0440 4,9925 4,9412 4,9255 4,9522 5,0009 5,0433 5,0630 5,0623 5,0505 5,0307 5,0035 4,9695 4,9224 4,8455 4,7180 4,5283 4,2882 4,0284 3,7836 3,5871 3,4659 3,4239 3,4353 3,4656 3,4924 3,5038 3,4904 3,4520 3,4062 3,3844 3,4161 3,5079 3,6325 3,7396 3,7845 3,7494 3,6478 3,5143 3,3882 3,3033 3,2875 3,3583 3,5060 3,6794 3,7965 3,7852 3,6271 3,3639 3,0629 2,7855 2,5756 2,4450 2,3660 2,2886 2,1684 1,9871 1,7556 1,5023 1,2499 1,0056 0,7773 0,5904 0,4678 0,3961
F7    2,5862 2,6947 2,7708 2,8077 2,8016 2,7547 2,6876 2,6372 2,6235 2,6196 2,5710 2,4473 2,2618 2,0466 1,8319 1,6457 1,5112 1,4303 1,3810 1,3251 1,2091 0,9723 0,5732 0,0189 -0,6287 -1,2800 -1,8577 -2,3190 -2,6447 -2,8221 -2,8520 -2,7709 -2,6509 -2,5639 -2,5406 -2,5609 -2,5844 -2,5800 -2,5244 -2,4008 -2,2095 -1,9680 -1,7002 -1,4247 -1,1514 -0,8882 -0,6428 -0,4160 -0,2044 -0,0228 0,0904 0,1085 0,0380 -0,1075 -0,3294 -0,6268 -0,9723 -1,3117 -1,5860 -1,7470 -1,7582 -1,6089 -1,3362 -1,0128 -0,7108 -0,4752 -0,3127 -0,1876 -0,0329 0,2141 0,5717 1,0047 1,4469 1,8300 2,0998 2,2276 2,2258 2,1426 2,0268 1,9001 1,7634 1,6079 1,4158 1,1649 0,8380 0,4314 -0,0349 -0,5272 -1,0151 -1,4697 -1,8698 -2,2256 -2,5659 -2,9008 -3,2207 -3,5239 -3,8181 -4,1040 -4,3617 -4,5524 -4,6473 -4,6607 -4,6410 -4,6282 -4,6316 -4,6423 -4,6469 -4,6293 -4,5831 -4,5233 -4,4626 -4,3934 -4,3044 -4,1887 -4,0347 -3,8255 -3,5572 -3,2589 -2,9872 -2,7951 -2,7076 -2,7196 -2,8015 -2,9025 -2,9538 -2,8860 -2,6610 -2,2977 -1,8492 -1,3453 -0,7764 -0,1338 0,5502 1,2047 1,7624 2,2108 2,5953 2,9617 3,3123 3,6239 3,8813 4,0794 4,2095 4,2520 4,1834 3,9946 3,7117 3,3895 3,0773 2,7903 2,5140 2,2310 1,9334 1,6150 1,2701 0,9056 0,5468 0,2343 0,0154 -0,0813 -0,0756 -0,0266 0,0158 0,0471 0,0964 0,1903 0,3374 0,5393 0,7969 1,1032 1,4381 1,7697 2,0627 2,2959 2,4687 2,5919 2,6795 2,7458 2,7918 2,7937 2,7254 2,6054 2,5016 2,4724 2,5166 2,5925 2,6652 2,7218 2,7557 2,7442 2,6494 2,4553 2,1972 1,9388 1,7227 1,5596 1,4532 1,4095 1,4139 1,4118 1,3335 1,1443 0,8627 0,5296 0,1767 -0,1682 -0,4683 -0,6871 -0,8051 -0,8277 -0,7903 -0,7457 -0,7336 -0,7648 -0,8269 -0,8942 -0,9396 -0,9534 -0,9691 -1,0640 -1,3047 -1,6897 -2,1580 -2,6352 -3,0653 -3,4135 -3,6495 -3,7485 -3,7176 -3,6046 -3,4739 -3,3712 -3,2918 -3,1803 -2,9700 -2,6264 -2,1687 -1,6685 -1,2223 -0,9020 -0,7214 -0,6504 -0,6565 -0,7251 -0,8483 -1,0034 -1,1422 -1,2024 -1,1372 -0,9416 -0,6489 -0,3139 -0,0005 0,2414 0,4017 0,4996 0,5437 0,5209 0,4151 0,2139 -0,0890 -0,4848 -0,9417 -1,4104 -1,8515 -2,2613 -2,6602 -3,0537 -3,4175 -3,7242 -3,9720 -4,1824 -4,3776 -4,5718 -4,7791 -5,0061 -5,2370 -5,4375 -5,5827 -5,6880 -5,8039 -5,9667 -6,1636 -6,3524 -6,5003 -6,5849 -6,5749 -6,4371 -6,1595 -5,7626 -5,2990 -4,8435 -4,4706 -4,2186 -4,0762 -4,0135 -4,0103 -4,0461 -4,0912 -4,1284 -4,1700 -4,2367 -4,3264 -4,4145 -4,4738 -4,4838 -4,4293 -4,3069 -4,1360 -3,9548 -3,8035 -3,7071 -3,6612 -3,6303 -3,5682 -3,4441 -3,2507 -3,0078 -2,7623 -2,5704 -2,4737 -2,4882 -2,5955 -2,7511 -2,9228 -3,1060 -3,2989 -3,4912 -3,6686 -3,8178 -3,9468 -4,0844 -4,2385 -4,3787 -4,4667 -4,4846 -4,4404 -4,3580 -4,2673 -4,2025 -4,2001 -4,2762 -4,4072 -4,5428 -4,6273 -4,6035 -4,4256 -4,0997 -3,6999 -3,3247 -3,0404 -2,8574 -2,7506 -2,6920 -2,6609 -2,6363 -2,6042 -2,5714 -2,5536 -2,5520 -2,5488 -2,5215 -2,4577 -2,3519 -2,1902 -1,9532 -1,6360 -1,2562 -0,8492 -0,4657 -0,1613 0,0267 0,0956 0,0706 -0,0208 -0,1599 -0,3225 -0,4709 -0,5818 -0,6848 -0,8559 -1,1606 -1,6107 -2,1639 -2,7459 -3,2782 -3,7021 -3,9914 -4,1573 -4,2305 -4,2366 -4,1900 -4,0956 -3,9548 -3,7821 -3,6109 -3,4745 -3,3841 -3,3254 -3,2778 -3,2379 -3,2212 -3,2401 -3,2825 -3,3138 -3,2917 -3,1804 -2,9760 -2,7264 -2,5165 -2,4169 -2,4288 -2,4809 -2,4862 -2,3911 -2,1778 -1,8498 -1,4285 -0,9499 -0,4523 0,0261 0,4447 0,7657 0,9587 1,0002 0,8880 0,6612 0,3912 0,1501 -0,0272 -0,1615 -0,3032 -0,4897 -0,7298 -1,0129 -1,3200 -1,6348 -1,9479 -2,2528 -2,5387 -2,7904 -2,9954 -3,1539 -3,2833 -3,4076 -3,5405 -3,6859 -3,8496 -4,0341 -4,2224 -4,3814 -4,4875 -4,5380 -4,5339 -4,4663 -4,3230 -4,1038 -3,8224 -3,4936 -3,1327 -2,7628 -2,4119 -2,1037 -1,8524 -1,6627 -1,5281 -1,4208 -1,2944 -1,1121 -0,8705 -0,5959 -0,3186 -0,0557 0,1809 0,3781 0,5449 0,7274 0,9773 1,3049 1,6718 2,0234 2,3169 2,5239 2,6200 2,5811 2,3880 2,0387 1,5598 1,0127 0,4851 0,0591 -0,2267 -0,3909 -0,4946 -0,6107 -0,7860 -1,0183 -1,2670 -1,4883 -1,6641 -1,8037 -1,9186 -1,9919 -1,9768 -1,8287 -1,5375 -1,1344 -0,6789 -0,2433 0,0943 0,2638 0,2510 0,1242 -0,0153 -0,0972 -0,0926 0,0027 0,1713 0,3809 0,6031 0,8178 1,0013 1,1263 1,1791 1,1703 1,1338 1,1153 1,1504 1,2482 1,3848 1,5118 1,5913 1,6231 1,6287 1,6206 1,5955 1,5546 1,5243 1,5365 1,5812 1,6049 1,5638 1,4684 1,3702 1,3102 1,2943 1,3164 1,3814 1,4950 1,6353 1,7491 1,7894 1,7466 1,6425 1,5077 1,3663 1,2357 1,1256 1,0272 0,9108 0,7537 0,5721 0,4101 0,3032 0,2581 0,2667 0,3337 0,4832 0,7274 1,0268 1,2976 1,4664 1,5155 1,4803 1,4218 1,3941 1,4185 1,4864 1,5798 1,6752 1,7343 1,7093 1,5690 1,3173 0,9793 0,5846 0,1779 -0,1804 -0,4510 -0,6479 -0,8202 -0,9942 -1,1528 -1,2710 -1,3489 -1,4040 -1,4507 -1,4840 -1,4860 -1,4612
