Fp1   -6,7310 -5,8325 -4,6042 -3,1733 -1,6956 -0,3273 0,8339 1,7801 2,5469 3,1431 3,5346 3,6731 3,5208 3,0775 2,4192 1,6877 0,9993 0,3658 -0,2752 -0,9632 -1,6576 -2,2556 -2,6492 -2,7732 -2,6151 -2,2064 -1,6188 -0,9425 -0,2553 0,3722 0,8631 1,1533 1,2165 1,0616 0,7317 0,3199 -0,0362 -0,2015 -0,1005 0,2479 0,7452 1,2682 1,7055 1,9471 1,8849 1,4665 0,7465 -0,1158 -0,8995 -1,3825 -1,4107 -0,9586 -0,1556 0,7551 1,5109 1,9168 1,9035 1,5497 1,0426 0,5887 0,3338 0,3156 0,4593 0,6353 0,7534 0,8181 0,9070 1,0958 1,3927 1,7345 2,0318 2,2138 2,2477 2,1467 1,9754 1,8186 1,7043 1,5735 1,3487 1,0244 0,6795 0,4195 0,3134 0,3595 0,4890 0,6141 0,6799 0,6715 0,5824 0,4072 0,1819 0,0071 -0,0046 0,1823 0,4998 0,8351 1,0934 1,2083 1,1396 0,8799 0,4390 -0,1663 -0,8781 -1,5664 -2,0596 -2,2322 -2,0985 -1,8264 -1,6404 -1,7046 -2,0668 -2,6643 -3,3642 -4,0098 -4,4567 -4,6062 -4,4346 -4,0001 -3,4220 -2,8472 -2,4153 -2,2343 -2,3469 -2,7053 -3,2013 -3,7180 -4,1427 -4,3671 -4,3211 -3,9986 -3,4241 -2,6043 -1,5322 -0,2343 1,1941 2,6057 3,8656 4,9070 5,7331 6,3718 6,8299 7,0819 7,1039 6,9231 6,6404 6,4082 6,3755 6,6278 7,1616 7,8938 8,6842 9,3803 9,8798 10,1656 10,2958 10,3673 10,4671 10,6164 10,7314 10,6410 10,1835 9,3287 8,2171 7,0862 6,1649 5,5943 5,3824 5,4111 5,5152 5,5817 5,5900 5,5838 5,6169 5,7127 5,8434 5,9353 5,9171 5,7767 5,5731 5,3966 5,3045 5,2865 5,2890 5,2560 5,1380 4,8952 4,5328 4,1215 3,7544 3,4861 3,3108 3,1689 2,9676 2,6239 2,1193 1,5332 1,0220 0,7336 0,7196 0,9221 1,2211 1,4884 1,6229 1,5643 1,2819 0,7683 0,0651 -0,7159 -1,4354 -2,0033 -2,4016 -2,6464 -2,7549 -2,7467 -2,6391 -2,4203 -2,0500 -1,4933 -0,7573 0,0917 0,9535 1,7501 2,4503 3,0520 3,5619 3,9857 4,3162 4,5268 4,5904 4,5097 4,3216 4,0800 3,8379 3,6245 3,4260 3,1996 2,9009 2,5014 2,0144 1,5281 1,1871 1,1120 1,3157 1,6820 2,0302 2,2290 2,2705 2,2434 2,2498 2,3396 2,4690 2,5120 2,3503 1,9576 1,3970 0,7631 0,1354 -0,4367 -0,9303 -1,3393 -1,6677 -1,9286 -2,1246 -2,2210 -2,1621 -1,9269 -1,5575 -1,1384 -0,7578 -0,4690 -0,2557 -0,0383 0,2725 0,7223 1,3007 1,9584 2,6195 3,1857 3,5566 3,6667 3,5071 3,1297 2,6428 2,1717 1,7937 1,5198 1,3389 1,2459 1,2110 1,1578 1,0037 0,7263 0,3983 0,1586 0,1292 0,3410 0,7317 1,2063 1,6905 2,1365 2,5155 2,8172 3,0349 3,1511 3,1474 3,0146 2,7420 2,3289 1,8297 1,3680 1,0675 0,9785 1,0825 1,3267 1,6334 1,9152 2,1022 2,1514 2,0516 1,8365 1,5827 1,3735 1,2566 1,2540 1,4034 1,7552 2,3287 3,0803 3,9067 4,6809 5,3064 5,7523 6,0412 6,2171 6,3289 6,4323 6,5877 6,8449 7,2139 7,6389 8,0143 8,2491 8,3215 8,2574 8,0615 7,7094 7,2007 6,5784 5,9023 5,2326 4,6381 4,1897 3,9209 3,7939 3,7108 3,5722 3,3583 3,1684 3,1531 3,3899 3,8250 4,3114 4,6955 4,8964 4,9277 4,8648 4,8027 4,8300 5,0112 5,3724 5,8913 6,4943 7,0698 7,5063 7,7504 7,8305 7,8108 7,7368 7,6291 7,4939 7,3271 7,1248 6,8963 6,6559 6,4116 6,1800 6,0035 5,9356 6,0037 6,1829 6,4139 6,6731 7,0140 7,5176 8,1998 8,9568 9,5983 9,9448 9,9208 9,5894 9,1024 8,6057 8,1748 7,8178 7,5230 7,2888 7,1108 6,9695 6,8473 6,7505 6,7180 6,8204 7,1374 7,7049 8,4716 9,3153 10,0952 10,6961 11,0495 11,1362 10,9727 10,5847 9,9945 9,2514 8,4811 7,8759 7,6077 7,7487 8,2556 8,9906 9,7602 10,3775 10,7363 10,8511 10,8140 10,7104 10,5918 10,5017 10,4739 10,4971 10,5110 10,4593 10,3312 10,1455 9,9178 9,6526 9,3539 9,0457 8,7813 8,6114 8,5254 8,4358 8,2427 7,9294 7,6002 7,4241 7,5329 7,9480 8,5742 9,2464 9,7957 10,1152 10,1908 10,0719 9,8201 9,4829 9,0757 8,5686 7,9179 7,1346 6,3216 5,6363 5,2156 5,1215 5,3185 5,6811 6,0526 6,3250 6,4631 6,4715 6,3705 6,1909 5,9636 5,7088 5,4467 5,2013 4,9733 4,7210 4,3985 4,0112 3,6165 3,2693 2,9760 2,7087 2,4604 2,2719 2,2028 2,3010 2,6098 3,1766 4,0223 5,1012 6,2963 7,4404 8,3556 8,9225 9,1364 9,0940 8,9322 8,7807 8,7582 8,9775 9,5084 10,3201 11,2858 12,2588 13,1360 13,8604 14,4030 14,7581 14,9342 14,9457 14,8097 14,5505 14,2234 13,9331 13,7943 13,8477 14,0154 14,1483 14,1112 13,8380 13,3442 12,7132 12,0592 11,4780 11,0172 10,6779 10,4244 10,1952 9,9293 9,5977 9,2001 8,7231 8,1235 7,3920 6,6256 6,0060 5,7003 5,7913 6,2778 7,1019 8,1695 9,3627 10,5431 11,5683 12,3317 12,7876 12,9424 12,8408 12,5551 12,1545 11,6749 11,1293 10,5475 9,9980 9,5666 9,3112 9,2345 9,2869 9,3691 9,3386 9,0556 8,4531 7,5724 6,5333 5,4656 4,4669 3,6091 2,9561 2,5573 2,4196 2,4893 2,6570 2,7921 2,7970 2,6441 2,3634 2,0145 1,6834 1,4871 1,5426 1,9082 2,5449 3,3480 4,2260 5,1397 6,0622 6,9359 7,6979
Fz    -0,2843 -0,1139 0,1564 0,5033 0,8825 1,2462 1,5707 1,8662 2,1512 2,4226 2,6545 2,8134 2,8668 2,7927 2,6010 2,3381 2,0549 1,7690 1,4695 1,1507 0,8292 0,5307 0,2706 0,0517 -0,1271 -0,2673 -0,3758 -0,4652 -0,5508 -0,6490 -0,7718 -0,9175 -1,0766 -1,2457 -1,4265 -1,6121 -1,7803 -1,8997 -1,9402 -1,8893 -1,7641 -1,6053 -1,4612 -1,3792 -1,3921 -1,5045 -1,7002 -1,9597 -2,2607 -2,5719 -2,8606 -3,1101 -3,3290 -3,5465 -3,7981 -4,1022 -4,4412 -4,7632 -5,0061 -5,1261 -5,1109 -4,9826 -4,7944 -4,6083 -4,4648 -4,3744 -4,3309 -4,3237 -4,3398 -4,3651 -4,3884 -4,4101 -4,4400 -4,4795 -4,5096 -4,5089 -4,4846 -4,4691 -4,4777 -4,4836 -4,4414 -4,3264 -4,1473 -3,9329 -3,7123 -3,4972 -3,2739 -3,0155 -2,7093 -2,3694 -2,0188 -1,6607 -1,2747 -0,8412 -0,3642 0,1246 0,5773 0,9393 1,1605 1,2084 1,0728 0,7635 0,3103 -0,2405 -0,8368 -1,4335 -2,0055 -2,5471 -3,0593 -3,5418 -3,9913 -4,4002 -4,7623 -5,0782 -5,3535 -5,5953 -5,8107 -6,0066 -6,1889 -6,3596 -6,5172 -6,6657 -6,8078 -6,9296 -7,0051 -7,0156 -6,9519 -6,8079 -6,5829 -6,2845 -5,9182 -5,4785 -4,9555 -4,3540 -3,7052 -3,0588 -2,4541 -1,8985 -1,3731 -0,8578 -0,3493 0,1375 0,5803 0,9665 1,3088 1,6404 1,9939 2,3804 2,7837 3,1692 3,4979 3,7413 3,8943 3,9795 4,0372 4,1038 4,1933 4,2967 4,3953 4,4774 4,5493 4,6333 4,7503 4,9032 5,0773 5,2515 5,4038 5,5108 5,5512 5,5142 5,4077 5,2598 5,1082 4,9814 4,8837 4,7925 4,6756 4,5173 4,3303 4,1433 3,9799 3,8467 3,7340 3,6269 3,5174 3,4107 3,3281 3,3018 3,3538 3,4766 3,6341 3,7735 3,8349 3,7707 3,5677 3,2536 2,8837 2,5182 2,2000 1,9449 1,7422 1,5640 1,3775 1,1582 0,8897 0,5630 0,1869 -0,2018 -0,5548 -0,8433 -1,0706 -1,2629 -1,4519 -1,6638 -1,9126 -2,1978 -2,5070 -2,8189 -3,1041 -3,3340 -3,4909 -3,5721 -3,5893 -3,5652 -3,5254 -3,4917 -3,4796 -3,4983 -3,5506 -3,6332 -3,7392 -3,8651 -4,0102 -4,1680 -4,3224 -4,4507 -4,5265 -4,5265 -4,4357 -4,2485 -3,9702 -3,6211 -3,2409 -2,8848 -2,6040 -2,4239 -2,3372 -2,3149 -2,3238 -2,3406 -2,3661 -2,4268 -2,5525 -2,7521 -3,0133 -3,3169 -3,6434 -3,9693 -4,2664 -4,5123 -4,7072 -4,8751 -5,0413 -5,2066 -5,3494 -5,4483 -5,4908 -5,4685 -5,3818 -5,2477 -5,0872 -4,9024 -4,6726 -4,3683 -3,9661 -3,4615 -2,8831 -2,2960 -1,7822 -1,4090 -1,2089 -1,1787 -1,2868 -1,4880 -1,7418 -2,0213 -2,3069 -2,5804 -2,8280 -3,0410 -3,2100 -3,3219 -3,3635 -3,3270 -3,2118 -3,0225 -2,7722 -2,4829 -2,1790 -1,8803 -1,6011 -1,3515 -1,1441 -0,9972 -0,9245 -0,9258 -0,9904 -1,1034 -1,2406 -1,3666 -1,4465 -1,4608 -1,4038 -1,2784 -1,1007 -0,9011 -0,7157 -0,5769 -0,5036 -0,4955 -0,5327 -0,5804 -0,6000 -0,5609 -0,4438 -0,2460 0,0153 0,3048 0,5791 0,7984 0,9372 0,9867 0,9525 0,8508 0,7062 0,5457 0,3910 0,2575 0,1550 0,0826 0,0303 -0,0040 -0,0077 0,0246 0,0663 0,0716 0,0129 -0,1026 -0,2463 -0,3844 -0,4838 -0,5237 -0,5139 -0,5015 -0,5499 -0,6999 -0,9346 -1,1767 -1,3314 -1,3384 -1,1903 -0,9166 -0,5647 -0,1860 0,1794 0,5157 0,8317 1,1435 1,4544 1,7453 1,9813 2,1287 2,1716 2,1201 2,0046 1,8586 1,6973 1,5169 1,3156 1,1121 0,9403 0,8298 0,7884 0,7963 0,8172 0,8221 0,8034 0,7650 0,7040 0,6069 0,4652 0,2960 0,1399 0,0333 -0,0138 -0,0175 -0,0048 0,0063 0,0189 0,0557 0,1424 0,2909 0,4946 0,7322 0,9755 1,2014 1,3960 1,5485 1,6469 1,6870 1,6856 1,6816 1,7205 1,8302 2,0032 2,1997 2,3660 2,4565 2,4517 2,3650 2,2320 2,0860 1,9426 1,8100 1,7074 1,6632 1,6946 1,8000 1,9680 2,1833 2,4258 2,6711 2,8946 3,0767 3,2053 3,2717 3,2737 3,2281 3,1708 3,1323 3,1136 3,0893 3,0293 2,9150 2,7484 2,5537 2,3608 2,1843 2,0278 1,8987 1,8025 1,7246 1,6300 1,4871 1,2911 1,0593 0,8116 0,5626 0,3230 0,0964 -0,1263 -0,3587 -0,6037 -0,8505 -1,0829 -1,2840 -1,4378 -1,5379 -1,5921 -1,6158 -1,6180 -1,5929 -1,5231 -1,3984 -1,2378 -1,0898 -1,0074 -1,0193 -1,1204 -1,2780 -1,4437 -1,5693 -1,6222 -1,5946 -1,5077 -1,4133 -1,3913 -1,5259 -1,8564 -2,3428 -2,8882 -3,3965 -3,8141 -4,1280 -4,3394 -4,4502 -4,4696 -4,4125 -4,2800 -4,0527 -3,7126 -3,2647 -2,7370 -2,1673 -1,5913 -1,0343 -0,5129 -0,0474 0,3316 0,5963 0,7499 0,8438 0,9571 1,1521 1,4488 1,8360 2,2941 2,8066 3,3634 3,9602 4,5914 5,2344 5,8432 6,3595 6,7408 6,9804 7,0946 7,0942 6,9750 6,7323 6,3756 5,9263 5,4088 4,8497 4,2797 3,7314 3,2341 2,8072 2,4513 2,1478 1,8728 1,6129 1,3631 1,1109 0,8325 0,5145 0,1755 -0,1461 -0,4163 -0,6074 -0,6892 -0,6405 -0,4669 -0,2003 0,1145 0,4335 0,7248 0,9742 1,1835 1,3659 1,5376 1,6977 1,8142 1,8357 1,7240 1,4825 1,1594 0,8222 0,5248 0,2883 0,0937 -0,1135 -0,4024 -0,8248 -1,3927 -2,0790 -2,8381 -3,6286 -4,4189 -5,1831 -5,8998 -6,5578 -7,1574 -7,7014 -8,1815 -8,5802 -8,8893 -9,1257 -9,3211 -9,4868 -9,5871 -9,5564 -9,3462 -8,9634 -8,4637 -7,9097 -7,3358 -6,7498 -6,1565 -5,5708
F3    1,2642 1,2800 1,2453 1,1605 1,0319 0,8807 0,7500 0,6925 0,7401 0,8813 1,0696 1,2526 1,3914 1,4629 1,4636 1,4120 1,3333 1,2390 1,1305 1,0175 0,9167 0,8295 0,7339 0,6043 0,4349 0,2428 0,0515 -0,1285 -0,3065 -0,5007 -0,7178 -0,9449 -1,1585 -1,3371 -1,4659 -1,5368 -1,5494 -1,5092 -1,4245 -1,3102 -1,1948 -1,1129 -1,0886 -1,1247 -1,1975 -1,2671 -1,3105 -1,3462 -1,4186 -1,5619 -1,7845 -2,0753 -2,4152 -2,7857 -3,1663 -3,5218 -3,8008 -3,9529 -3,9499 -3,7986 -3,5352 -3,2114 -2,8838 -2,6016 -2,3929 -2,2689 -2,2349 -2,2877 -2,4094 -2,5691 -2,7313 -2,8628 -2,9338 -2,9164 -2,7953 -2,5924 -2,3720 -2,2056 -2,1225 -2,1006 -2,1007 -2,0974 -2,0854 -2,0698 -2,0558 -2,0392 -2,0013 -1,9136 -1,7546 -1,5295 -1,2701 -1,0127 -0,7757 -0,5533 -0,3282 -0,0913 0,1464 0,3554 0,4976 0,5353 0,4379 0,1875 -0,2196 -0,7788 -1,4749 -2,2719 -3,1093 -3,9099 -4,5957 -5,1135 -5,4505 -5,6272 -5,6826 -5,6659 -5,6322 -5,6396 -5,7422 -5,9736 -6,3286 -6,7599 -7,1942 -7,5580 -7,7925 -7,8595 -7,7463 -7,4657 -7,0476 -6,5311 -5,9581 -5,3650 -4,7765 -4,2055 -3,6531 -3,1133 -2,5835 -2,0703 -1,5823 -1,1210 -0,6801 -0,2496 0,1852 0,6390 1,1135 1,5959 2,0727 2,5410 3,0030 3,4521 3,8646 4,2103 4,4675 4,6336 4,7283 4,7885 4,8505 4,9311 5,0204 5,0908 5,1226 5,1312 5,1666 5,2798 5,4837 5,7420 5,9888 6,1603 6,2190 6,1621 6,0105 5,7932 5,5444 5,3032 5,1024 4,9523 4,8384 4,7314 4,6017 4,4336 4,2304 4,0084 3,7907 3,5985 3,4399 3,3077 3,1938 3,0998 3,0309 2,9876 2,9646 2,9522 2,9350 2,8887 2,7856 2,6094 2,3632 2,0576 1,7012 1,3102 0,9158 0,5479 0,2157 -0,0923 -0,3882 -0,6669 -0,9101 -1,1070 -1,2642 -1,3964 -1,5175 -1,6416 -1,7811 -1,9440 -2,1325 -2,3413 -2,5636 -2,8030 -3,0725 -3,3721 -3,6695 -3,9134 -4,0628 -4,1027 -4,0409 -3,8984 -3,7033 -3,4885 -3,2851 -3,1129 -2,9794 -2,8877 -2,8433 -2,8603 -2,9562 -3,1340 -3,3684 -3,6082 -3,7951 -3,8858 -3,8649 -3,7477 -3,5709 -3,3678 -3,1481 -2,9046 -2,6331 -2,3489 -2,0883 -1,8966 -1,8078 -1,8276 -1,9314 -2,0772 -2,2237 -2,3421 -2,4230 -2,4775 -2,5284 -2,5924 -2,6683 -2,7374 -2,7835 -2,8127 -2,8481 -2,9037 -2,9729 -3,0372 -3,0751 -3,0627 -2,9852 -2,8584 -2,7267 -2,6315 -2,5815 -2,5494 -2,4862 -2,3441 -2,1027 -1,7881 -1,4687 -1,2282 -1,1299 -1,1944 -1,3986 -1,6926 -2,0279 -2,3747 -2,7175 -3,0410 -3,3169 -3,5046 -3,5712 -3,5143 -3,3670 -3,1800 -2,9891 -2,7966 -2,5915 -2,3806 -2,1863 -2,0222 -1,8801 -1,7414 -1,5978 -1,4610 -1,3540 -1,2947 -1,2898 -1,3393 -1,4348 -1,5518 -1,6476 -1,6741 -1,5973 -1,4103 -1,1312 -0,7959 -0,4478 -0,1250 0,1483 0,3585 0,4984 0,5716 0,6015 0,6278 0,6873 0,7920 0,9255 1,0543 1,1433 1,1686 1,1232 1,0126 0,8471 0,6444 0,4300 0,2288 0,0524 -0,1009 -0,2397 -0,3705 -0,4874 -0,5651 -0,5723 -0,5017 -0,3826 -0,2638 -0,1823 -0,1434 -0,1239 -0,0912 -0,0213 0,0912 0,2239 0,3249 0,3331 0,2158 -0,0072 -0,2702 -0,4950 -0,6243 -0,6301 -0,5056 -0,2633 0,0617 0,4231 0,7852 1,1315 1,4524 1,7301 1,9350 2,0365 2,0203 1,8997 1,7145 1,5101 1,3137 1,1240 0,9197 0,6844 0,4338 0,2190 0,1008 0,1141 0,2496 0,4615 0,6929 0,8958 1,0336 1,0766 1,0032 0,8151 0,5495 0,2676 0,0258 -0,1415 -0,2190 -0,2005 -0,0839 0,1280 0,4205 0,7611 1,1104 1,4470 1,7722 2,0905 2,3962 2,6757 2,9033 3,0405 3,0553 2,9425 2,7267 2,4532 2,1730 1,9287 1,7433 1,6171 1,5344 1,4796 1,4516 1,4598 1,5089 1,5904 1,6927 1,8120 1,9472 2,0874 2,2179 2,3329 2,4377 2,5417 2,6552 2,7819 2,9120 3,0268 3,1089 3,1464 3,1425 3,1229 3,1249 3,1714 3,2578 3,3613 3,4597 3,5474 3,6359 3,7302 3,8060 3,8253 3,7752 3,6821 3,5859 3,5027 3,4113 3,2689 3,0351 2,6910 2,2518 1,7633 1,2793 0,8377 0,4588 0,1620 -0,0283 -0,0978 -0,0513 0,0936 0,3125 0,5746 0,8428 1,0768 1,2440 1,3349 1,3647 1,3541 1,3119 1,2320 1,0963 0,8818 0,5785 0,2101 -0,1640 -0,4662 -0,6363 -0,6675 -0,6189 -0,5940 -0,6932 -0,9612 -1,3645 -1,8174 -2,2288 -2,5347 -2,7093 -2,7606 -2,7184 -2,6243 -2,5157 -2,4060 -2,2774 -2,1017 -1,8665 -1,5801 -1,2570 -0,8993 -0,4948 -0,0331 0,4737 0,9867 1,4531 1,8329 2,1236 2,3579 2,5766 2,8031 3,0436 3,2992 3,5750 3,8856 4,2554 4,7033 5,2180 5,7513 6,2363 6,6146 6,8546 6,9454 6,8807 6,6638 6,3255 5,9247 5,5169 5,1202 4,7133 4,2646 3,7653 3,2423 2,7410 2,2994 1,9360 1,6531 1,4410 1,2810 1,1478 1,0140 0,8608 0,6855 0,4962 0,3052 0,1366 0,0367 0,0541 0,2026 0,4493 0,7345 1,0026 1,2246 1,4022 1,5576 1,7191 1,9074 2,1213 2,3259 2,4576 2,4514 2,2768 1,9547 1,5412 1,0956 0,6589 0,2478 -0,1441 -0,5406 -0,9717 -1,4582 -2,0004 -2,5820 -3,1824 -3,7859 -4,3797 -4,9504 -5,4867 -5,9814 -6,4245 -6,7916 -7,0464 -7,1637 -7,1561 -7,0752 -6,9738 -6,8636 -6,7110 -6,4788 -6,1659 -5,8086 -5,4479 -5,1021 -4,7624 -4,4017 -3,9931
F7    -2,4521 -2,1549 -1,7168 -1,1939 -0,6510 -0,1419 0,3118 0,7197 1,0933 1,4260 1,7043 1,9186 2,0567 2,1082 2,0858 2,0212 1,9296 1,7935 1,5895 1,3216 1,0260 0,7537 0,5475 0,4253 0,3772 0,3759 0,3882 0,3874 0,3609 0,3094 0,2431 0,1789 0,1277 0,0757 -0,0113 -0,1621 -0,3822 -0,6595 -0,9688 -1,2722 -1,5261 -1,6920 -1,7467 -1,6987 -1,5905 -1,4804 -1,4210 -1,4458 -1,5582 -1,7306 -1,9209 -2,0961 -2,2474 -2,3919 -2,5588 -2,7611 -2,9755 -3,1539 -3,2528 -3,2536 -3,1629 -3,0057 -2,8174 -2,6307 -2,4606 -2,3015 -2,1372 -1,9542 -1,7527 -1,5430 -1,3361 -1,1470 -1,0011 -0,9209 -0,9045 -0,9319 -0,9906 -1,0767 -1,1701 -1,2259 -1,2054 -1,1053 -0,9518 -0,7804 -0,6302 -0,5377 -0,5191 -0,5614 -0,6457 -0,7741 -0,9607 -1,1938 -1,4215 -1,5773 -1,6166 -1,5318 -1,3452 -1,1019 -0,8662 -0,7115 -0,7050 -0,8832 -1,2310 -1,6879 -2,1847 -2,6712 -3,1175 -3,4993 -3,7970 -4,0109 -4,1687 -4,3127 -4,4840 -4,7098 -4,9907 -5,2928 -5,5571 -5,7266 -5,7724 -5,6980 -5,5284 -5,2969 -5,0248 -4,7058 -4,3201 -3,8630 -3,3510 -2,8122 -2,2763 -1,7710 -1,3210 -0,9461 -0,6531 -0,4258 -0,2277 -0,0187 0,2385 0,5819 1,0365 1,5855 2,1666 2,7060 3,1587 3,5185 3,8017 4,0254 4,1943 4,3048 4,3618 4,3875 4,4099 4,4483 4,5135 4,6144 4,7545 4,9205 5,0824 5,2122 5,3010 5,3653 5,4375 5,5404 5,6656 5,7782 5,8399 5,8309 5,7530 5,6186 5,4389 5,2225 4,9824 4,7503 4,5819 4,5408 4,6698 4,9668 5,3862 5,8648 6,3450 6,7724 7,0872 7,2301 7,1660 6,9056 6,5026 6,0293 5,5522 5,1197 4,7518 4,4404 4,1658 3,9063 3,6278 3,2908 2,8819 2,4292 1,9766 1,5542 1,1770 0,8544 0,5893 0,3702 0,1789 0,0121 -0,1140 -0,1815 -0,1823 -0,1146 0,0171 0,1964 0,3892 0,5467 0,6195 0,5788 0,4347 0,2339 0,0313 -0,1357 -0,2523 -0,3199 -0,3510 -0,3665 -0,3884 -0,4236 -0,4566 -0,4641 -0,4334 -0,3639 -0,2618 -0,1390 -0,0149 0,0855 0,1457 0,1762 0,2135 0,2960 0,4371 0,6145 0,7804 0,8811 0,8703 0,7197 0,4254 0,0079 -0,4889 -0,9962 -1,4307 -1,7188 -1,8163 -1,7118 -1,4330 -1,0535 -0,6753 -0,3858 -0,2268 -0,1916 -0,2427 -0,3338 -0,4293 -0,5143 -0,5953 -0,6897 -0,8047 -0,9238 -1,0191 -1,0744 -1,0900 -1,0732 -1,0338 -0,9835 -0,9261 -0,8489 -0,7290 -0,5509 -0,3195 -0,0654 0,1533 0,2616 0,2005 -0,0348 -0,3844 -0,7518 -1,0473 -1,2207 -1,2676 -1,2162 -1,1138 -1,0219 -1,0020 -1,0909 -1,2826 -1,5340 -1,7858 -1,9836 -2,0882 -2,0792 -1,9514 -1,7087 -1,3620 -0,9365 -0,4764 -0,0378 0,3247 0,5704 0,6872 0,6967 0,6373 0,5444 0,4477 0,3738 0,3421 0,3633 0,4415 0,5695 0,7252 0,8822 1,0252 1,1532 1,2721 1,3875 1,5064 1,6428 1,8090 1,9972 2,1790 2,3342 2,4685 2,5994 2,7327 2,8623 2,9810 3,0832 3,1629 3,2140 3,2294 3,1996 3,1183 3,0025 2,8932 2,8210 2,7741 2,7109 2,5964 2,4180 2,1704 1,8468 1,4495 0,9959 0,5145 0,0465 -0,3530 -0,6352 -0,7849 -0,8248 -0,7963 -0,7388 -0,6750 -0,6035 -0,5079 -0,3796 -0,2248 -0,0519 0,1385 0,3478 0,5676 0,7814 0,9742 1,1346 1,2546 1,3328 1,3753 1,3960 1,4201 1,4788 1,5918 1,7493 1,9025 1,9827 1,9474 1,8159 1,6564 1,5383 1,4960 1,5263 1,6109 1,7378 1,9000 2,0804 2,2513 2,3876 2,4752 2,5131 2,5078 2,4621 2,3778 2,2626 2,1247 1,9644 1,7800 1,5867 1,4220 1,3283 1,3328 1,4385 1,6251 1,8571 2,0869 2,2594 2,3325 2,3033 2,2166 2,1448 2,1510 2,2597 2,4467 2,6503 2,8016 2,8546 2,8015 2,6695 2,5053 2,3554 2,2536 2,2217 2,2700 2,3899 2,5541 2,7284 2,8857 3,0162 3,1390 3,3049 3,5719 3,9637 4,4478 4,9523 5,4068 5,7790 6,0740 6,3032 6,4573 6,5045 6,4089 6,1550 5,7654 5,3000 4,8318 4,4172 4,0861 3,8479 3,6964 3,6144 3,5785 3,5644 3,5511 3,5222 3,4716 3,4113 3,3688 3,3660 3,3996 3,4494 3,5020 3,5579 3,6191 3,6878 3,7692 3,8633 3,9533 4,0096 4,0100 3,9608 3,8929 3,8313 3,7652 3,6510 3,4490 3,1621 2,8439 2,5740 2,4159 2,3864 2,4556 2,5688 2,6666 2,6925 2,5950 2,3352 1,9095 1,3653 0,7864 0,2545 -0,1764 -0,4743 -0,6097 -0,5582 -0,3218 0,0652 0,5529 1,0900 1,6231 2,0995 2,4887 2,8007 3,0736 3,3405 3,6088 3,8620 4,0697 4,2027 4,2538 4,2531 4,2558 4,3101 4,4409 4,6557 4,9545 5,3272 5,7486 6,1819 6,5901 6,9442 7,2209 7,4008 7,4782 7,4685 7,3926 7,2539 7,0365 6,7317 6,3651 5,9948 5,6837 5,4707 5,3577 5,3174 5,3131 5,3113 5,2829 5,2083 5,0907 4,9568 4,8354 4,7312 4,6223 4,4862 4,3184 4,1214 3,8884 3,6169 3,3311 3,0801 2,9143 2,8718 2,9761 3,2329 3,6198 4,0791 4,5321 4,9153 5,2000 5,3793 5,4573 5,4505 5,3844 5,2810 5,1464 4,9643 4,7061 4,3484 3,8774 3,2913 2,6076 1,8643 1,1124 0,4055 -0,2167 -0,7439 -1,1963 -1,6077 -2,0083 -2,4133 -2,8140 -3,1744 -3,4478 -3,6068 -3,6621 -3,6551 -3,6267 -3,5865 -3,5070 -3,3492 -3,0977 -2,7767 -2,4346 -2,1111 -1,8125 -1,5175 -1,2099 -0,9036
