Fp1   -3,0219 -2,9088 -2,7845 -2,6322 -2,3757 -1,9545 -1,4025 -0,8396 -0,3894 -0,1195 -0,0469 -0,1724 -0,5007 -1,0390 -1,7731 -2,6310 -3,4720 -4,1326 -4,4819 -4,4397 -3,9757 -3,1230 -1,9833 -0,6956 0,6061 1,8193 2,8804 3,7496 4,3810 4,7164 4,7181 4,4021 3,8396 3,1344 2,3942 1,7110 1,1541 0,7648 0,5538 0,5044 0,5702 0,6743 0,7435 0,7636 0,7914 0,8930 1,0735 1,2693 1,3954 1,3918 1,2438 0,9822 0,6747 0,4038 0,2334 0,1840 0,2263 0,2779 0,2306 0,0247 -0,2993 -0,6299 -0,8586 -0,9319 -0,8545 -0,6632 -0,4039 -0,1200 0,1568 0,4028 0,5818 0,6367 0,5031 0,1498 -0,3753 -0,9419 -1,3917 -1,6048 -1,5344 -1,2167 -0,7673 -0,3370 -0,0363 0,1000 0,0978 0,0306 0,0001 0,0791 0,2584 0,4653 0,6297 0,7238 0,7583 0,7659 0,7803 0,8110 0,8380 0,8397 0,8191 0,8005 0,8051 0,8314 0,8426 0,7714 0,5671 0,2423 -0,1564 -0,6263 -1,2168 -1,9403 -2,7075 -3,3732 -3,8298 -4,0474 -4,0550 -3,9101 -3,6749 -3,3957 -3,0883 -2,7490 -2,3885 -2,0456 -1,7606 -1,5448 -1,3696 -1,1624 -0,8201 -0,2577 0,5412 1,5156 2,5558 3,5324 4,3237 4,8635 5,1809 5,3705 5,5052 5,5840 5,5666 5,4477 5,2918 5,2099 5,3034 5,6111 6,0901 6,6383 7,1391 7,5014 7,6801 7,6857 7,5726 7,3983 7,1911 6,9537 6,6857 6,4116 6,1737 5,9818 5,7869 5,5083 5,0802 4,5023 3,8695 3,3313 3,0092 2,9515 3,1279 3,4316 3,7101 3,8360 3,7666 3,5498 3,2865 3,0989 3,1117 3,4164 4,0196 4,8191 5,6321 6,2666 6,5924 6,5596 6,1773 5,5031 4,6409 3,7212 2,8718 2,1934 1,7324 1,4692 1,3456 1,3075 1,3231 1,3667 1,3958 1,3478 1,1606 0,7981 0,2672 -0,3846 -1,1000 -1,8334 -2,5303 -3,1135 -3,5189 -3,7470 -3,8652 -3,9473 -4,0066 -3,9969 -3,8746 -3,6424 -3,3449 -3,0466 -2,7978 -2,5974 -2,4008 -2,1740 -1,9262 -1,6834 -1,4446 -1,1770 -0,8409 -0,4146 0,0777 0,5513 0,8942 1,0407 1,0211 0,9303 0,8555 0,8326 0,8502 0,8731 0,8619 0,7883 0,6526 0,4931 0,3706 0,3386 0,4188 0,5885 0,7842 0,9275 0,9581 0,8452 0,5792 0,1657 -0,3647 -0,9511 -1,5281 -2,0552 -2,5087 -2,8537 -3,0423 -3,0437 -2,8722 -2,5840 -2,2581 -1,9811 -1,8217 -1,7880 -1,8041 -1,7430 -1,5102 -1,1123 -0,6494 -0,2410 0,0437 0,2005 0,2684 0,3006 0,3337 0,3654 0,3667 0,3242 0,2774 0,3079 0,4876 0,8358 1,3081 1,8106 2,2330 2,4863 2,5307 2,3808 2,0858 1,7046 1,2851 0,8464 0,3776 -0,1227 -0,5980 -0,9345 -1,0242 -0,8474 -0,5133 -0,2210 -0,1609 -0,4213 -0,9518 -1,5942 -2,1581 -2,4913 -2,5220 -2,2751 -1,8521 -1,3737 -0,9334 -0,5942 -0,3972 -0,3507 -0,4219 -0,5584 -0,7200 -0,8796 -0,9982 -1,0274 -0,9486 -0,7931 -0,6133 -0,4393 -0,2738 -0,1178 0,0224 0,1561 0,3018 0,4450 0,5346 0,5443 0,5128 0,5137 0,6041 0,8006 1,0775 1,3846 1,6846 1,9824 2,3189 2,7397 3,2632 3,8611 4,4534 4,9281 5,1858 5,1862 4,9711 4,6500 4,3476 4,1389 4,0231 3,9444 3,8289 3,6283 3,3702 3,1638 3,1371 3,3680 3,8531 4,5157 5,2380 5,8991 6,4075 6,7237 6,8577 6,8560 6,7876 6,7131 6,6547 6,5952 6,4951 6,3174 6,0525 5,7197 5,3434 4,9542 4,6142 4,4060 4,3807 4,5278 4,7877 5,0838 5,3582 5,5915 5,7924 5,9893 6,2332 6,5711 6,9975 7,4314 7,7465 7,8387 7,6874 7,3613 6,9686 6,6030 6,3069 6,0478 5,7428 5,3374 4,8629 4,4125 4,0922 4,0028 4,2253 4,7765 5,5772 6,4758 7,3166 8,0016 8,5102 8,8804 9,1812 9,4899 9,8631 10,3072 10,7757 11,1892 11,4393 11,4009 10,9854 10,1988 9,1433 7,9734 6,8504 5,9107 5,2367 4,8589 4,7988 5,0951 5,7636 6,7453 7,9089 9,0944 10,1534 10,9682 11,4566 11,5913 11,4258 11,0781 10,6780 10,3373 10,1535 10,2004 10,4882 10,9329 11,3660 11,5933 11,4945 11,0923 10,5177 9,9236 9,4203 9,0539 8,8225 8,7111 8,6998 8,7473 8,8065 8,8737 8,9912 9,1909 9,4728 9,8409 10,3129 10,8634 11,3780 11,6863 11,6509 11,2363 10,5050 9,5568 8,4965 7,4505 6,5622 5,9446 5,6365 5,5945 5,7273 5,9489 6,1961 6,4124 6,5403 6,5414 6,4187 6,2173 6,0053 5,8500 5,7937 5,8325 5,9269 6,0462 6,1906 6,3679 6,5704 6,7661 6,8950 6,8847 6,6837 6,3014 5,8284 5,4069 5,1643 5,1777 5,4792 6,0537 6,8344 7,7364 8,6954 9,6599 10,5688 11,3717 12,0667 12,6929 13,2952 13,9043 14,5197 15,0990 15,5757 15,8893 15,9846 15,7953 15,2714 14,4482 13,4665 12,5065 11,7210 11,2217 11,0761 11,2803 11,7286 12,2288 12,5695 12,5940 12,2567 11,6336 10,8622 10,0643 9,3182 8,6715 8,1509 7,7562 7,4570 7,2205 7,0480 6,9610 6,9617 7,0435 7,2257 7,5384 7,9744 8,4787 8,9857 9,4451 9,8260 10,1332 10,4109 10,7097 11,0546 11,4402 11,8321 12,1774 12,4259 12,5416 12,5005 12,3104 12,0570 11,8986 11,9742 12,3181 12,8700 13,5217 14,1211 14,4833 14,4558 13,9832 13,1254 12,0257 10,8487 9,7355 8,7881 8,0522 7,5064 7,0854 6,7240 6,3867 6,0719 5,8027 5,6285 5,6314 5,9007 6,4800 7,3366 8,3713 9,4456 10,4137 11,1621 11,6428 11,8854 11,9792
Fz    1,8522 1,9193 2,0157 2,1425 2,2857 2,4162 2,4951 2,4869 2,3813 2,2006 1,9768 1,7237 1,4372 1,1124 0,7549 0,3835 0,0259 -0,2916 -0,5514 -0,7446 -0,8700 -0,9355 -0,9558 -0,9433 -0,8997 -0,8209 -0,7138 -0,6059 -0,5382 -0,5470 -0,6459 -0,8155 -1,0088 -1,1730 -1,2751 -1,3136 -1,3126 -1,3040 -1,3085 -1,3282 -1,3514 -1,3590 -1,3333 -1,2653 -1,1507 -0,9833 -0,7592 -0,4840 -0,1730 0,1521 0,4656 0,7438 0,9743 1,1583 1,3062 1,4316 1,5440 1,6379 1,6940 1,6998 1,6697 1,6405 1,6434 1,6773 1,7083 1,6904 1,5905 1,4044 1,1570 0,8889 0,6400 0,4353 0,2720 0,1201 -0,0505 -0,2441 -0,4382 -0,6052 -0,7292 -0,8065 -0,8406 -0,8371 -0,8009 -0,7393 -0,6646 -0,5845 -0,4909 -0,3685 -0,2114 -0,0238 0,1874 0,4086 0,6128 0,7697 0,8629 0,8928 0,8681 0,7995 0,7017 0,5970 0,5122 0,4694 0,4756 0,5171 0,5692 0,6145 0,6373 0,5997 0,4499 0,1638 -0,2299 -0,6717 -1,1120 -1,5275 -1,9090 -2,2529 -2,5640 -2,8495 -3,1022 -3,2991 -3,4235 -3,4789 -3,4780 -3,4289 -3,3356 -3,2029 -3,0368 -2,8423 -2,6252 -2,3922 -2,1470 -1,8947 -1,6484 -1,4232 -1,2188 -1,0143 -0,7820 -0,5092 -0,2033 0,1175 0,4362 0,7428 1,0336 1,3088 1,5704 1,8252 2,0883 2,3791 2,7111 3,0879 3,5060 3,9544 4,4155 4,8699 5,3078 5,7334 6,1505 6,5390 6,8555 7,0595 7,1368 7,1084 7,0268 6,9572 6,9517 7,0323 7,1838 7,3586 7,5024 7,5855 7,6101 7,5947 7,5567 7,5118 7,4784 7,4703 7,4842 7,5020 7,5029 7,4710 7,3965 7,2754 7,1097 6,9076 6,6825 6,4520 6,2327 6,0337 5,8495 5,6611 5,4495 5,2109 4,9557 4,6898 4,3981 4,0507 3,6226 3,1056 2,5084 1,8491 1,1421 0,3932 -0,3836 -1,1481 -1,8412 -2,4111 -2,8347 -3,1172 -3,2788 -3,3462 -3,3507 -3,3213 -3,2826 -3,2576 -3,2600 -3,2802 -3,2908 -3,2772 -3,2554 -3,2564 -3,2969 -3,3699 -3,4561 -3,5351 -3,5929 -3,6291 -3,6588 -3,7010 -3,7574 -3,8094 -3,8366 -3,8279 -3,7767 -3,6753 -3,5194 -3,3177 -3,0956 -2,8867 -2,7136 -2,5794 -2,4779 -2,4086 -2,3787 -2,3921 -2,4415 -2,5072 -2,5600 -2,5689 -2,5101 -2,3762 -2,1802 -1,9500 -1,7141 -1,4841 -1,2516 -0,9979 -0,7099 -0,3908 -0,0635 0,2331 0,4617 0,6060 0,6739 0,6828 0,6478 0,5814 0,4983 0,4168 0,3567 0,3356 0,3664 0,4526 0,5841 0,7401 0,9011 1,0585 1,2112 1,3528 1,4644 1,5236 1,5170 1,4451 1,3177 1,1462 0,9420 0,7202 0,4989 0,2926 0,1032 -0,0846 -0,2935 -0,5301 -0,7694 -0,9662 -1,0825 -1,1104 -1,0765 -1,0266 -0,9995 -1,0109 -1,0539 -1,1066 -1,1455 -1,1574 -1,1426 -1,1105 -1,0773 -1,0649 -1,0972 -1,1982 -1,3860 -1,6560 -1,9646 -2,2396 -2,4159 -2,4642 -2,3907 -2,2222 -1,9950 -1,7454 -1,4979 -1,2522 -0,9863 -0,6800 -0,3341 0,0303 0,3837 0,6950 0,9433 1,1323 1,2844 1,4198 1,5466 1,6616 1,7490 1,7833 1,7476 1,6478 1,5110 1,3722 1,2593 1,1862 1,1566 1,1669 1,2082 1,2702 1,3486 1,4501 1,5886 1,7722 1,9923 2,2250 2,4431 2,6275 2,7814 2,9329 3,1130 3,3318 3,5742 3,8132 4,0240 4,1902 4,3043 4,3635 4,3705 4,3411 4,3083 4,3088 4,3610 4,4558 4,5670 4,6691 4,7455 4,7852 4,7784 4,7190 4,6125 4,4794 4,3495 4,2534 4,2168 4,2593 4,3920 4,6133 4,9061 5,2398 5,5776 5,8814 6,1142 6,2409 6,2347 6,0899 5,8366 5,5384 5,2684 5,0811 4,9936 4,9811 4,9949 4,9966 4,9811 4,9669 4,9733 5,0153 5,1127 5,2857 5,5372 5,8475 6,1874 6,5316 6,8571 7,1323 7,3200 7,3958 7,3634 7,2519 7,1009 6,9451 6,8039 6,6782 6,5589 6,4441 6,3467 6,2803 6,2478 6,2426 6,2522 6,2626 6,2700 6,2842 6,3131 6,3467 6,3555 6,3065 6,1865 6,0103 5,8029 5,5855 5,3813 5,2191 5,1175 5,0714 5,0602 5,0638 5,0733 5,0881 5,1029 5,1034 5,0805 5,0415 5,0000 4,9626 4,9216 4,8520 4,7239 4,5258 4,2708 3,9863 3,7047 3,4621 3,2863 3,1819 3,1378 3,1510 3,2290 3,3636 3,5145 3,6268 3,6618 3,6132 3,5014 3,3550 3,1990 3,0558 2,9467 2,8890 2,8907 2,9485 3,0539 3,1969 3,3598 3,5129 3,6227 3,6636 3,6244 3,5152 3,3662 3,2128 3,0751 2,9516 2,8318 2,7182 2,6288 2,5763 2,5520 2,5306 2,4814 2,3785 2,2129 2,0041 1,7961 1,6375 1,5605 1,5754 1,6798 1,8665 2,1228 2,4296 2,7586 3,0720 3,3358 3,5390 3,6983 3,8393 3,9786 4,1178 4,2432 4,3389 4,4102 4,4900 4,6060 4,7469 4,8668 4,9221 4,9018 4,8297 4,7454 4,6803 4,6418 4,6094 4,5426 4,4006 4,1639 3,8428 3,4725 3,1002 2,7619 2,4654 2,1960 1,9413 1,7080 1,5187 1,3879 1,3071 1,2599 1,2429 1,2656 1,3369 1,4591 1,6264 1,8277 2,0568 2,3196 2,6229 2,9622 3,3273 3,7107 4,1056 4,5047 4,8976 5,2644 5,5794 5,8245 5,9922 6,0766 6,0742 5,9974 5,8742 5,7285 5,5647 5,3741 5,1437 4,8509 4,4628 3,9531 3,3155 2,5677 1,7513 0,9262 0,1591 -0,4946 -1,0105 -1,4054 -1,7236 -2,0100 -2,2922 -2,5796 -2,8702 -3,1554 -3,4163 -3,6226 -3,7420 -3,7596 -3,6944 -3,5937 -3,5043 -3,4431 -3,3877 -3,2895 -3,1011
F3    0,4747 0,6275 0,8267 1,0666 1,3130 1,5136 1,6172 1,5907 1,4379 1,2028 0,9454 0,7133 0,5367 0,4340 0,4132 0,4654 0,5585 0,6400 0,6556 0,5724 0,3895 0,1334 -0,1566 -0,4383 -0,6692 -0,8144 -0,8638 -0,8428 -0,7992 -0,7704 -0,7645 -0,7673 -0,7564 -0,7124 -0,6285 -0,5219 -0,4315 -0,3967 -0,4347 -0,5317 -0,6505 -0,7490 -0,8037 -0,8186 -0,8091 -0,7804 -0,7255 -0,6359 -0,5087 -0,3466 -0,1578 0,0467 0,2543 0,4527 0,6316 0,7856 0,9142 1,0184 1,0972 1,1480 1,1713 1,1724 1,1552 1,1090 1,0085 0,8303 0,5713 0,2563 -0,0707 -0,3656 -0,5971 -0,7506 -0,8349 -0,8823 -0,9272 -0,9813 -1,0369 -1,0882 -1,1389 -1,1867 -1,2083 -1,1668 -1,0366 -0,8227 -0,5587 -0,2872 -0,0360 0,1908 0,4050 0,6234 0,8605 1,1161 1,3671 1,5804 1,7317 1,8132 1,8282 1,7801 1,6703 1,5057 1,3062 1,1002 0,9113 0,7438 0,5834 0,4147 0,2280 0,0050 -0,2811 -0,6442 -1,0722 -1,5416 -2,0344 -2,5342 -3,0160 -3,4546 -3,8409 -4,1776 -4,4540 -4,6347 -4,6814 -4,5801 -4,3435 -3,9990 -3,5856 -3,1581 -2,7762 -2,4807 -2,2792 -2,1486 -2,0470 -1,9331 -1,7839 -1,5957 -1,3701 -1,0975 -0,7572 -0,3338 0,1658 0,7108 1,2541 1,7418 2,1254 2,3786 2,5101 2,5618 2,5965 2,6771 2,8486 3,1294 3,5116 3,9639 4,4411 4,9005 5,3162 5,6807 5,9927 6,2454 6,4270 6,5325 6,5748 6,5773 6,5590 6,5315 6,5036 6,4812 6,4592 6,4248 6,3757 6,3277 6,2991 6,2948 6,3041 6,3098 6,2979 6,2560 6,1690 6,0294 5,8528 5,6742 5,5284 5,4369 5,4000 5,3942 5,3846 5,3423 5,2470 5,0795 4,8240 4,4750 4,0456 3,5723 3,1036 2,6769 2,2994 1,9553 1,6254 1,2968 0,9584 0,5957 0,1882 -0,2858 -0,8317 -1,4210 -1,9974 -2,4998 -2,8835 -3,1301 -3,2491 -3,2705 -3,2277 -3,1436 -3,0324 -2,9102 -2,7972 -2,7079 -2,6439 -2,6014 -2,5792 -2,5728 -2,5691 -2,5549 -2,5279 -2,4916 -2,4437 -2,3749 -2,2841 -2,1875 -2,1086 -2,0629 -2,0538 -2,0711 -2,0901 -2,0832 -2,0387 -1,9695 -1,9059 -1,8793 -1,9056 -1,9833 -2,1049 -2,2666 -2,4601 -2,6611 -2,8300 -2,9229 -2,9050 -2,7617 -2,5055 -2,1730 -1,8121 -1,4661 -1,1625 -0,9076 -0,6881 -0,4807 -0,2645 -0,0326 0,2054 0,4292 0,6186 0,7594 0,8413 0,8485 0,7654 0,5995 0,3931 0,2046 0,0775 0,0276 0,0518 0,1379 0,2663 0,4184 0,5904 0,7916 1,0273 1,2827 1,5215 1,7015 1,7984 1,8162 1,7733 1,6825 1,5423 1,3437 1,0845 0,7802 0,4576 0,1402 -0,1550 -0,4102 -0,6050 -0,7242 -0,7697 -0,7623 -0,7309 -0,6955 -0,6585 -0,6095 -0,5387 -0,4476 -0,3531 -0,2857 -0,2762 -0,3390 -0,4663 -0,6362 -0,8262 -1,0252 -1,2328 -1,4453 -1,6403 -1,7795 -1,8337 -1,8020 -1,7073 -1,5772 -1,4281 -1,2603 -1,0614 -0,8085 -0,4770 -0,0625 0,4026 0,8584 1,2454 1,5257 1,6928 1,7668 1,7756 1,7378 1,6634 1,5609 1,4348 1,2831 1,1051 0,9091 0,7114 0,5285 0,3652 0,2131 0,0682 -0,0552 -0,1316 -0,1391 -0,0691 0,0721 0,2671 0,4929 0,7242 0,9343 1,0990 1,2076 1,2764 1,3446 1,4457 1,5807 1,7223 1,8388 1,9161 1,9641 2,0025 2,0438 2,0895 2,1414 2,2120 2,3206 2,4777 2,6743 2,8873 3,0995 3,3067 3,5031 3,6683 3,7757 3,8125 3,7892 3,7329 3,6725 3,6299 3,6173 3,6424 3,7121 3,8318 4,0012 4,2051 4,4057 4,5543 4,6141 4,5700 4,4254 4,2055 3,9631 3,7659 3,6654 3,6720 3,7570 3,8774 4,0066 4,1469 4,3117 4,5023 4,7058 4,9080 5,1008 5,2784 5,4367 5,5795 5,7172 5,8494 5,9483 5,9667 5,8669 5,6462 5,3385 4,9932 4,6586 4,3799 4,1974 4,1387 4,2166 4,4276 4,7442 5,1141 5,4729 5,7593 5,9280 5,9619 5,8725 5,6885 5,4402 5,1496 4,8303 4,5025 4,2036 3,9756 3,8457 3,8226 3,8958 4,0326 4,1827 4,2972 4,3453 4,3204 4,2433 4,1545 4,0959 4,0974 4,1679 4,2957 4,4572 4,6192 4,7364 4,7646 4,6862 4,5192 4,3015 4,0734 3,8694 3,7117 3,6006 3,5184 3,4490 3,3883 3,3362 3,2854 3,2272 3,1637 3,1083 3,0751 3,0679 3,0781 3,0892 3,0847 3,0577 3,0138 2,9651 2,9260 2,9080 2,9116 2,9235 2,9225 2,8835 2,7809 2,6053 2,3779 2,1387 1,9170 1,7177 1,5370 1,3869 1,2940 1,2715 1,2985 1,3301 1,3208 1,2398 1,0799 0,8644 0,6385 0,4502 0,3340 0,3049 0,3584 0,4767 0,6384 0,8261 1,0261 1,2241 1,4098 1,5833 1,7494 1,9076 2,0504 2,1658 2,2385 2,2633 2,2723 2,3384 2,5326 2,8700 3,2976 3,7266 4,0747 4,2973 4,3950 4,3955 4,3229 4,1768 3,9384 3,5969 3,1710 2,7056 2,2555 1,8730 1,5958 1,4297 1,3457 1,3000 1,2632 1,2339 1,2218 1,2249 1,2306 1,2341 1,2437 1,2680 1,3052 1,3468 1,3881 1,4340 1,5024 1,6157 1,7861 2,0103 2,2748 2,5611 2,8516 3,1287 3,3660 3,5357 3,6321 3,6753 3,6853 3,6654 3,6115 3,5178 3,3703 3,1486 2,8417 2,4550 2,0037 1,5022 0,9610 0,3885 -0,2024 -0,7881 -1,3339 -1,8001 -2,1535 -2,3836 -2,5103 -2,5756 -2,6258 -2,6963 -2,8069 -2,9630 -3,1526 -3,3495 -3,5270 -3,6703 -3,7794 -3,8697 -3,9640 -4,0702 -4,1645 -4,1986 -4,1241 -3,9165
F7    -0,0895 -0,2859 -0,4778 -0,6148 -0,6643 -0,6217 -0,5044 -0,3381 -0,1455 0,0550 0,2380 0,3658 0,3990 0,3144 0,1187 -0,1498 -0,4345 -0,6820 -0,8552 -0,9358 -0,9241 -0,8352 -0,6920 -0,5231 -0,3598 -0,2267 -0,1358 -0,0868 -0,0644 -0,0350 0,0428 0,1999 0,4423 0,7419 1,0443 1,2914 1,4421 1,4830 1,4261 1,2958 1,1154 0,8974 0,6380 0,3292 -0,0128 -0,3396 -0,5969 -0,7484 -0,7831 -0,7175 -0,5886 -0,4374 -0,3027 -0,2200 -0,2061 -0,2440 -0,2900 -0,3021 -0,2673 -0,2043 -0,1435 -0,1042 -0,0920 -0,1120 -0,1732 -0,2821 -0,4314 -0,5958 -0,7469 -0,8760 -0,9918 -1,0997 -1,2008 -1,3020 -1,4055 -1,4924 -1,5268 -1,4834 -1,3658 -1,1981 -1,0059 -0,8107 -0,6329 -0,4913 -0,3936 -0,3249 -0,2475 -0,1174 0,0960 0,3947 0,7456 1,0851 1,3459 1,4939 1,5399 1,5121 1,4234 1,2688 1,0440 0,7664 0,4779 0,2281 0,0514 -0,0485 -0,0977 -0,1329 -0,1915 -0,3146 -0,5372 -0,8659 -1,2690 -1,6879 -2,0597 -2,3391 -2,5164 -2,6223 -2,7124 -2,8329 -2,9915 -3,1560 -3,2829 -3,3451 -3,3357 -3,2569 -3,1138 -2,9115 -2,6508 -2,3266 -1,9355 -1,4830 -0,9838 -0,4615 0,0469 0,4902 0,8176 1,0031 1,0608 1,0361 0,9840 0,9490 0,9572 1,0240 1,1667 1,4004 1,7204 2,0951 2,4887 2,8852 3,2853 3,6887 4,0796 4,4267 4,6959 4,8675 4,9450 4,9485 4,9051 4,8448 4,8013 4,8034 4,8589 4,9513 5,0593 5,1795 5,3303 5,5313 5,7785 6,0371 6,2626 6,4302 6,5452 6,6246 6,6741 6,6852 6,6450 6,5380 6,3457 6,0609 5,6998 5,2913 4,8578 4,4128 3,9759 3,5825 3,2755 3,0874 3,0269 3,0768 3,1995 3,3499 3,4905 3,5977 3,6512 3,6237 3,4885 3,2399 2,9050 2,5292 2,1505 1,7869 1,4347 1,0772 0,7062 0,3389 0,0130 -0,2378 -0,4054 -0,5052 -0,5574 -0,5760 -0,5695 -0,5401 -0,4830 -0,3935 -0,2721 -0,1203 0,0577 0,2473 0,4236 0,5630 0,6563 0,7118 0,7481 0,7856 0,8426 0,9294 1,0379 1,1414 1,2119 1,2362 1,2163 1,1621 1,0901 1,0229 0,9825 0,9811 1,0098 1,0363 1,0252 0,9586 0,8348 0,6539 0,4177 0,1415 -0,1422 -0,3886 -0,5467 -0,5682 -0,4294 -0,1522 0,1957 0,5293 0,7845 0,9411 1,0189 1,0543 1,0762 1,0963 1,1105 1,1039 1,0615 0,9846 0,8975 0,8345 0,8199 0,8613 0,9575 1,1028 1,2841 1,4853 1,6971 1,9159 2,1336 2,3373 2,5171 2,6668 2,7781 2,8375 2,8273 2,7352 2,5669 2,3510 2,1290 1,9346 1,7856 1,6970 1,6883 1,7671 1,9044 2,0347 2,0842 2,0043 1,7907 1,4804 1,1273 0,7775 0,4596 0,1905 -0,0175 -0,1587 -0,2408 -0,2822 -0,3027 -0,3159 -0,3265 -0,3375 -0,3591 -0,4050 -0,4753 -0,5493 -0,5977 -0,5955 -0,5233 -0,3661 -0,1224 0,1868 0,5219 0,8382 1,0995 1,2880 1,4086 1,4903 1,5752 1,6950 1,8521 2,0193 2,1617 2,2604 2,3246 2,3847 2,4689 2,5811 2,7071 2,8368 2,9672 3,0836 3,1526 3,1412 3,0455 2,9032 2,7749 2,7109 2,7291 2,8112 2,9146 2,9916 3,0066 2,9443 2,8135 2,6423 2,4687 2,3297 2,2505 2,2347 2,2649 2,3145 2,3626 2,4014 2,4389 2,4962 2,5956 2,7403 2,9097 3,0785 3,2366 3,3882 3,5348 3,6623 3,7482 3,7825 3,7782 3,7592 3,7414 3,7261 3,7107 3,6966 3,6856 3,6763 3,6690 3,6705 3,6941 3,7542 3,8598 4,0093 4,1915 4,3925 4,6027 4,8155 5,0132 5,1574 5,2042 5,1350 4,9705 4,7595 4,5553 4,4013 4,3249 4,3310 4,3934 4,4591 4,4719 4,3987 4,2423 4,0420 3,8682 3,8018 3,8978 4,1610 4,5474 4,9820 5,3840 5,6854 5,8410 5,8381 5,7062 5,5149 5,3451 5,2481 5,2279 5,2510 5,2625 5,2021 5,0288 4,7417 4,3832 4,0210 3,7201 3,5259 3,4637 3,5342 3,7066 3,9208 4,1060 4,2081 4,2154 4,1573 4,0762 4,0022 3,9527 3,9388 3,9644 4,0249 4,1150 4,2345 4,3875 4,5760 4,7903 5,0136 5,2355 5,4508 5,6396 5,7599 5,7703 5,6588 5,4474 5,1741 4,8708 4,5623 4,2784 4,0536 3,9080 3,8380 3,8290 3,8690 3,9475 4,0495 4,1610 4,2730 4,3694 4,4258 4,4309 4,3982 4,3483 4,2884 4,2113 4,1135 4,0139 3,9502 3,9523 4,0175 4,1053 4,1550 4,1147 3,9648 3,7195 3,4124 3,0847 2,7692 2,4730 2,1795 1,8666 1,5185 1,1338 0,7324 0,3526 0,0344 -0,1887 -0,2908 -0,2592 -0,1028 0,1415 0,4121 0,6435 0,7958 0,8751 0,9292 1,0162 1,1690 1,3878 1,6531 1,9344 2,1969 2,4108 2,5588 2,6424 2,6862 2,7303 2,8167 2,9667 3,1642 3,3664 3,5370 3,6605 3,7364 3,7721 3,7818 3,7800 3,7670 3,7264 3,6398 3,4996 3,3111 3,1002 2,9176 2,8187 2,8230 2,8952 2,9749 3,0253 3,0533 3,0930 3,1663 3,2533 3,3031 3,2697 3,1369 2,9252 2,6789 2,4422 2,2452 2,1049 2,0288 2,0151 2,0545 2,1297 2,2183 2,2975 2,3530 2,3891 2,4358 2,5448 2,7607 3,0813 3,4509 3,7997 4,0769 4,2513 4,3099 4,2599 4,1191 3,9007 3,6073 3,2306 2,7594 2,1990 1,5809 0,9494 0,3355 -0,2501 -0,7988 -1,2900 -1,6971 -2,0003 -2,1915 -2,2708 -2,2471 -2,1454 -2,0051 -1,8774 -1,8139 -1,8333 -1,9027 -1,9664 -1,9844 -1,9349 -1,8016 -1,5719 -1,2461 -0,8514 -0,4383
