Fp1   4,2897 4,1792 4,1025 3,9964 3,8267 3,5786 3,2501 2,8603 2,4543 2,0868 1,7936 1,5758 1,4088 1,2603 1,1047 0,9363 0,7715 0,6343 0,5419 0,4998 0,4961 0,4938 0,4375 0,2755 -0,0147 -0,4153 -0,8717 -1,3040 -1,6290 -1,7923 -1,7954 -1,6958 -1,5813 -1,5397 -1,6249 -1,8334 -2,1117 -2,3812 -2,5673 -2,6276 -2,5664 -2,4241 -2,2573 -2,1189 -2,0372 -2,0099 -2,0123 -2,0013 -1,9202 -1,7215 -1,4026 -1,0172 -0,6372 -0,2993 -0,0029 0,2575 0,4887 0,7129 0,9516 1,1987 1,4213 1,5887 1,6946 1,7539 1,7851 1,8000 1,8038 1,8016 1,8070 1,8409 1,9153 2,0213 2,1359 2,2352 2,3016 2,3314 2,3346 2,3218 2,2986 2,2783 2,2942 2,3940 2,6059 2,8946 3,1602 3,2928 3,2358 3,0016 2,6401 2,2042 1,7485 1,3238 0,9492 0,6013 0,2478 -0,1116 -0,4452 -0,7253 -0,9546 -1,1569 -1,3490 -1,5258 -1,6648 -1,7424 -1,7500 -1,7047 -1,6445 -1,6023 -1,5883 -1,6044 -1,6565 -1,7429 -1,8403 -1,9079 -1,9053 -1,8174 -1,6643 -1,4843 -1,3164 -1,2002 -1,1748 -1,2598 -1,4381 -1,6769 -1,9671 -2,3290 -2,7746 -3,2680 -3,7330 -4,1050 -4,3612 -4,4844 -4,4210 -4,0956 -3,4581 -2,5241 -1,3855 -0,1795 0,9537 1,8988 2,5931 3,0554 3,3711 3,6386 3,9312 4,2877 4,7109 5,1805 5,6753 6,1788 6,6739 7,1481 7,6025 8,0416 8,4584 8,8464 9,2086 9,5378 9,7966 9,9293 9,8914 9,6750 9,3084 8,8340 8,2975 7,7585 7,2864 6,9317 6,7091 6,6109 6,6300 6,7618 6,9818 7,2462 7,5255 7,8168 8,1096 8,3604 8,5128 8,5338 8,4297 8,2297 7,9610 7,6460 7,3191 7,0365 6,8594 6,8271 6,9391 7,1532 7,4068 7,6560 7,8983 8,1530 8,4241 8,6923 8,9335 9,1312 9,2777 9,3789 9,4540 9,5178 9,5623 9,5775 9,5864 9,6359 9,7497 9,9088 10,0752 10,2205 10,3366 10,4309 10,5077 10,5574 10,5637 10,5177 10,4219 10,2786 10,0758 9,7946 9,4359 9,0292 8,6109 8,2089 7,8519 7,5778 7,4187 7,3821 7,4509 7,5972 7,7896 7,9928 8,1591 8,2268 8,1563 7,9797 7,8069 7,7718 7,9600 8,3563 8,8492 9,2937 9,5878 9,7046 9,6780 9,5688 9,4295 9,2838 9,1328 8,9735 8,8144 8,6807 8,6050 8,6061 8,6782 8,8059 8,9887 9,2449 9,5893 10,0065 10,4494 10,8604 11,1901 11,4086 11,5223 11,5731 11,5960 11,5842 11,5050 11,3412 11,1106 10,8638 10,6698 10,5853 10,6274 10,7780 11,0106 11,3061 11,6502 12,0199 12,3802 12,6988 12,9620 13,1792 13,3665 13,5207 13,6145 13,6221 13,5458 13,4216 13,3037 13,2395 13,2457 13,2994 13,3592 13,4086 13,4775 13,6174 13,8625 14,2105 14,6260 15,0608 15,4671 15,7989 16,0249 16,1454 16,1815 16,1555 16,0896 16,0063 15,9206 15,8334 15,7288 15,5819 15,3871 15,1849 15,0505 15,0470 15,1845 15,4164 15,6697 15,8768 15,9870 15,9723 15,8485 15,6817 15,5577 15,5517 15,7139 16,0508 16,5101 16,9876 17,3651 17,5713 17,6265 17,6173 17,6170 17,6423 17,6813 17,7279 17,7691 17,7638 17,6645 17,4626 17,1981 16,9296 16,7012 16,5271 16,3917 16,2721 16,1625 16,0648 15,9683 15,8472 15,6718 15,4304 15,1440 14,8626 14,6557 14,6023 14,7619 15,1372 15,6663 16,2505 16,7937 17,2322 17,5484 17,7703 17,9439 18,0905 18,1962 18,2408 18,2115 18,0812 17,8048 17,3528 16,7499 16,0923 15,5144 15,1223 14,9540 14,9839 15,1498 15,3879 15,6531 15,9154 16,1473 16,3186 16,4078 16,4103 16,3304 16,1780 15,9780 15,7654 15,5666 15,3970 15,2678 15,1774 15,1091 15,0463 14,9882 14,9545 14,9779 15,0768 15,2293 15,3755 15,4540 15,4457 15,3806 15,3046 15,2457 15,2041 15,1555 15,0624 14,8925 14,6403 14,3380 14,0431 13,8087 13,6618 13,6042 13,6282 13,7305 13,9119 14,1677 14,4819 14,8283 15,1731 15,4682 15,6475 15,6453 15,4298 15,0209 14,4661 13,8067 13,0774 12,3256 11,6167 11,0224 10,5980 10,3629 10,3009 10,3706 10,5151 10,6792 10,8226 10,9138 10,9256 10,8497 10,7133 10,5710 10,4778 10,4646 10,5231 10,5986 10,6070 10,4798 10,2018 9,8113 9,3703 8,9387 8,5635 8,2708 8,0665 7,9495 7,9267 8,0076 8,1786 8,3937 8,6025 8,7808 8,9333 9,0813 9,2540 9,4764 9,7547 10,0730 10,3920 10,6451 10,7577 10,6971 10,5145 10,3320 10,2730 10,3927 10,6714 11,0609 11,5117 11,9555 12,2971 12,4621 12,4554 12,3540 12,2358 12,1288 12,0195 11,8827 11,6990 11,4655 11,1930 10,8916 10,5623 10,1996 9,8039 9,4018 9,0497 8,8051 8,6984 8,7199 8,8169 8,9153 8,9634 8,9610 8,9545 8,9984 9,1175 9,3102 9,5738 9,9016 10,2698 10,6402 10,9707 11,2139 11,3223 11,2780 11,1187 10,9265 10,7869 10,7588 10,8806 11,1814 11,6677 12,3016 13,0026 13,6759 14,2413 14,6453 14,8581 14,8606 14,6389 14,1925 13,5471 12,7572 11,9021 11,0797 10,3876 9,8919 9,6048 9,4892 9,4862 9,5433 9,6199 9,6748 9,6743 9,6214 9,5605 9,5477 9,6192 9,7656 9,9200 9,9893 9,9183 9,7315 9,5202 9,3942 9,4334 9,6600 10,0388 10,4954 10,9322 11,2489 11,3817 11,3274 11,1351 10,8822 10,6506 10,5055 10,4804 10,5703 10,7359 10,9203 11,0718 11,1574 11,1505 11,0132 10,7159 10,2733 9,7463 9,2101 8,7251 8,3244 8,0171 7,8000 7,6666 7,6116 7,6376 7,7479 7,9300 8,1568 8,4035
Fz    3,1714 3,2293 3,2398 3,1781 3,0445 2,8482 2,5947 2,2907 1,9527 1,6059 1,2756 0,9763 0,7064 0,4491 0,1849 -0,0912 -0,3604 -0,5892 -0,7417 -0,7882 -0,7190 -0,5598 -0,3683 -0,2119 -0,1398 -0,1695 -0,2907 -0,4734 -0,6726 -0,8405 -0,9456 -0,9854 -0,9833 -0,9724 -0,9739 -0,9856 -0,9910 -0,9770 -0,9416 -0,8962 -0,8634 -0,8650 -0,9131 -1,0113 -1,1604 -1,3594 -1,6016 -1,8670 -2,1208 -2,3174 -2,4179 -2,4133 -2,3273 -2,1937 -2,0462 -1,9163 -1,8164 -1,7292 -1,6275 -1,5036 -1,3762 -1,2722 -1,2024 -1,1557 -1,1084 -1,0374 -0,9342 -0,8055 -0,6607 -0,5073 -0,3558 -0,2212 -0,1137 -0,0325 0,0305 0,0880 0,1537 0,2272 0,2882 0,3185 0,3329 0,3777 0,4927 0,6703 0,8554 0,9812 1,0048 0,9145 0,7201 0,4503 0,1575 -0,0939 -0,2587 -0,3303 -0,3307 -0,2922 -0,2500 -0,2400 -0,2920 -0,4188 -0,6054 -0,8050 -0,9478 -0,9720 -0,8582 -0,6396 -0,3831 -0,1606 -0,0320 -0,0397 -0,2064 -0,5257 -0,9589 -1,4477 -1,9342 -2,3778 -2,7628 -3,0974 -3,4040 -3,7072 -4,0196 -4,3289 -4,6038 -4,8170 -4,9626 -5,0588 -5,1368 -5,2238 -5,3250 -5,4193 -5,4664 -5,4140 -5,2062 -4,7967 -4,1658 -3,3346 -2,3616 -1,3172 -0,2609 0,7631 1,7257 2,6167 3,4407 4,2047 4,9131 5,5689 6,1768 6,7448 7,2857 7,8095 8,3119 8,7771 9,1921 9,5524 9,8566 10,1069 10,3075 10,4591 10,5575 10,5998 10,5888 10,5342 10,4555 10,3834 10,3499 10,3721 10,4465 10,5567 10,6853 10,8245 10,9826 11,1725 11,3889 11,6040 11,7841 11,9020 11,9344 11,8581 11,6609 11,3568 10,9854 10,5909 10,2028 9,8365 9,5026 9,2108 8,9667 8,7707 8,6244 8,5334 8,5059 8,5506 8,6675 8,8311 8,9928 9,1064 9,1502 9,1242 9,0389 8,9069 8,7433 8,5654 8,3871 8,2216 8,0919 8,0277 8,0459 8,1366 8,2718 8,4219 8,5679 8,6999 8,8091 8,8865 8,9248 8,9172 8,8549 8,7292 8,5345 8,2756 7,9698 7,6429 7,3231 7,0423 6,8391 6,7489 6,7856 6,9336 7,1580 7,4215 7,6993 7,9830 8,2728 8,5692 8,8717 9,1834 9,5122 9,8602 10,2068 10,5065 10,7083 10,7811 10,7249 10,5632 10,3256 10,0381 9,7184 9,3769 9,0263 8,6926 8,4140 8,2304 8,1714 8,2471 8,4455 8,7366 9,0852 9,4604 9,8359 10,1830 10,4694 10,6674 10,7667 10,7806 10,7450 10,6999 10,6643 10,6263 10,5590 10,4452 10,2932 10,1363 10,0166 9,9634 9,9827 10,0610 10,1741 10,2954 10,4074 10,5075 10,6065 10,7208 10,8633 11,0369 11,2328 11,4322 11,6110 11,7526 11,8574 11,9383 12,0088 12,0780 12,1506 12,2285 12,3129 12,4086 12,5246 12,6655 12,8277 13,0039 13,1874 13,3737 13,5632 13,7586 13,9635 14,1824 14,4114 14,6315 14,8182 14,9544 15,0337 15,0568 15,0268 14,9507 14,8472 14,7533 14,7163 14,7703 14,9123 15,0971 15,2553 15,3221 15,2615 15,0814 14,8351 14,6065 14,4842 14,5415 14,8167 15,2950 15,9102 16,5678 17,1752 17,6685 18,0287 18,2724 18,4284 18,5274 18,6017 18,6752 18,7438 18,7711 18,7105 18,5337 18,2427 17,8648 17,4416 17,0136 16,6083 16,2418 15,9250 15,6664 15,4715 15,3410 15,2707 15,2549 15,2816 15,3214 15,3402 15,3257 15,2887 15,2405 15,1782 15,0897 14,9635 14,7939 14,5814 14,3368 14,0765 13,8122 13,5528 13,3163 13,1254 12,9833 12,8660 12,7436 12,6096 12,4899 12,4250 12,4418 12,5392 12,6934 12,8747 13,0654 13,2682 13,4933 13,7349 13,9636 14,1404 14,2365 14,2416 14,1650 14,0344 13,8866 13,7537 13,6558 13,6008 13,5852 13,5990 13,6311 13,6702 13,7046 13,7233 13,7145 13,6625 13,5497 13,3663 13,1213 12,8431 12,5671 12,3222 12,1237 11,9692 11,8421 11,7264 11,6178 11,5191 11,4282 11,3340 11,2215 11,0806 10,9147 10,7449 10,6093 10,5504 10,5939 10,7377 10,9564 11,2039 11,4150 11,5187 11,4642 11,2395 10,8682 10,3920 9,8600 9,3296 8,8632 8,5176 8,3290 8,2978 8,3872 8,5415 8,7066 8,8414 8,9219 8,9440 8,9176 8,8585 8,7840 8,7070 8,6288 8,5458 8,4632 8,3919 8,3328 8,2743 8,2062 8,1289 8,0475 7,9633 7,8718 7,7659 7,6370 7,4790 7,2980 7,1175 6,9663 6,8630 6,8200 6,8529 6,9708 7,1623 7,3998 7,6509 7,8857 8,0806 8,2170 8,2753 8,2409 8,1253 7,9794 7,8799 7,8895 8,0155 8,2043 8,3786 8,4714 8,4337 8,2358 7,8789 7,4030 6,8746 6,3546 5,8736 5,4323 5,0196 4,6276 4,2576 3,9190 3,6243 3,3864 3,2175 3,1280 3,1246 3,2070 3,3675 3,5949 3,8751 4,1838 4,4922 4,7858 5,0724 5,3770 5,7278 6,1328 6,5637 6,9700 7,3058 7,5395 7,6486 7,6262 7,4922 7,2902 7,0766 6,9124 6,8493 6,9082 7,0714 7,3028 7,5728 7,8613 8,1483 8,4123 8,6382 8,8194 8,9497 9,0159 8,9947 8,8579 8,5860 8,1829 7,6802 7,1373 6,6332 6,2419 6,0010 5,9012 5,9000 5,9405 5,9660 5,9351 5,8284 5,6497 5,4270 5,2080 5,0452 4,9811 5,0396 5,2178 5,4852 5,8033 6,1499 6,5270 6,9449 7,4032 7,8810 8,3374 8,7204 8,9823 9,0944 9,0548 8,8826 8,6073 8,2658 7,9005 7,5537 7,2579 7,0281 6,8575 6,7177 6,5699 6,3796 6,1211 5,7744 5,3341 4,8209 4,2755 3,7428 3,2616 2,8585 2,5466 2,3360 2,2461 2,3059 2,5376 2,9333 3,4466 4,0147 4,5867
F3    3,7780 3,8057 3,7858 3,6850 3,4992 3,2426 2,9291 2,5691 2,1790 1,7859 1,4176 1,0886 0,7975 0,5355 0,2951 0,0777 -0,1029 -0,2272 -0,2785 -0,2498 -0,1537 -0,0315 0,0557 0,0552 -0,0486 -0,2324 -0,4594 -0,6985 -0,9216 -1,1014 -1,2264 -1,3104 -1,3795 -1,4534 -1,5317 -1,5954 -1,6235 -1,6073 -1,5535 -1,4823 -1,4208 -1,3896 -1,3944 -1,4320 -1,5001 -1,5994 -1,7254 -1,8593 -1,9695 -2,0227 -2,0003 -1,9141 -1,7979 -1,6783 -1,5604 -1,4376 -1,2987 -1,1320 -0,9361 -0,7255 -0,5248 -0,3539 -0,2147 -0,0922 0,0351 0,1830 0,3518 0,5305 0,7098 0,8871 1,0590 1,2171 1,3528 1,4627 1,5493 1,6224 1,6970 1,7773 1,8466 1,8874 1,9115 1,9592 2,0628 2,2052 2,3209 2,3424 2,2418 2,0318 1,7427 1,4131 1,0944 0,8419 0,6888 0,6311 0,6388 0,6740 0,6987 0,6768 0,5760 0,3814 0,1106 -0,1807 -0,4144 -0,5208 -0,4704 -0,2855 -0,0282 0,2221 0,3832 0,3836 0,1863 -0,1914 -0,6867 -1,2198 -1,7193 -2,1379 -2,4618 -2,7066 -2,9043 -3,0898 -3,2865 -3,4967 -3,7046 -3,8909 -4,0495 -4,1962 -4,3592 -4,5519 -4,7529 -4,9162 -4,9936 -4,9416 -4,7150 -4,2691 -3,5799 -2,6676 -1,5970 -0,4509 0,6955 1,7849 2,7824 3,6810 4,4948 5,2383 5,9132 6,5127 7,0318 7,4762 7,8667 8,2311 8,5888 8,9436 9,2886 9,6084 9,8861 10,1147 10,2991 10,4439 10,5458 10,5996 10,6072 10,5790 10,5294 10,4708 10,4109 10,3538 10,3046 10,2718 10,2614 10,2762 10,3218 10,4034 10,5100 10,6162 10,7018 10,7584 10,7745 10,7207 10,5618 10,2857 9,9178 9,5046 9,0902 8,7065 8,3744 8,1051 7,9006 7,7575 7,6719 7,6418 7,6654 7,7405 7,8597 8,0003 8,1256 8,2027 8,2196 8,1854 8,1218 8,0510 7,9845 7,9169 7,8308 7,7165 7,5924 7,4998 7,4737 7,5246 7,6447 7,8212 8,0383 8,2727 8,4912 8,6592 8,7530 8,7636 8,6923 8,5469 8,3393 8,0852 7,8001 7,4991 7,1997 6,9284 6,7215 6,6118 6,6105 6,7008 6,8470 7,0132 7,1761 7,3254 7,4570 7,5697 7,6669 7,7605 7,8739 8,0322 8,2379 8,4563 8,6304 8,7110 8,6759 8,5312 8,3054 8,0387 7,7641 7,4925 7,2212 6,9547 6,7146 6,5314 6,4317 6,4292 6,5259 6,7156 6,9857 7,3187 7,6889 8,0557 8,3691 8,5902 8,7096 8,7500 8,7554 8,7682 8,8063 8,8575 8,8941 8,8924 8,8470 8,7782 8,7214 8,7071 8,7486 8,8429 8,9747 9,1188 9,2476 9,3415 9,4003 9,4479 9,5190 9,6323 9,7771 9,9221 10,0357 10,1035 10,1336 10,1470 10,1663 10,2101 10,2892 10,4022 10,5364 10,6811 10,8342 10,9925 11,1459 11,2884 11,4257 11,5702 11,7301 11,9052 12,0936 12,2946 12,5010 12,6931 12,8476 12,9483 12,9876 12,9608 12,8600 12,6810 12,4446 12,2067 12,0366 11,9818 12,0455 12,1889 12,3512 12,4752 12,5232 12,4874 12,3956 12,3037 12,2784 12,3841 12,6644 13,1163 13,6823 14,2663 14,7707 15,1379 15,3691 15,5000 15,5615 15,5727 15,5585 15,5480 15,5479 15,5301 15,4554 15,3045 15,0844 14,8165 14,5265 14,2406 13,9803 13,7586 13,5820 13,4542 13,3769 13,3433 13,3381 13,3478 13,3632 13,3716 13,3636 13,3497 13,3566 13,4037 13,4864 13,5817 13,6618 13,7059 13,7073 13,6735 13,6168 13,5413 13,4440 13,3253 13,1886 13,0256 12,8102 12,5185 12,1584 11,7813 11,4620 11,2615 11,2038 11,2758 11,4416 11,6662 11,9313 12,2309 12,5496 12,8510 13,0906 13,2379 13,2846 13,2407 13,1270 12,9685 12,7893 12,6097 12,4428 12,2947 12,1703 12,0754 12,0109 11,9706 11,9472 11,9367 11,9340 11,9289 11,9087 11,8686 11,8194 11,7799 11,7627 11,7679 11,7829 11,7849 11,7514 11,6714 11,5462 11,3817 11,1843 10,9591 10,7135 10,4638 10,2374 10,0695 9,9954 10,0345 10,1807 10,4054 10,6624 10,8908 11,0286 11,0336 10,8948 10,6237 10,2432 9,7847 9,2940 8,8280 8,4418 8,1736 8,0328 7,9996 8,0391 8,1168 8,2050 8,2841 8,3422 8,3708 8,3633 8,3190 8,2439 8,1459 8,0334 7,9158 7,7955 7,6617 7,5002 7,3117 7,1163 6,9396 6,7930 6,6683 6,5457 6,4014 6,2187 6,0020 5,7812 5,5953 5,4729 5,4299 5,4768 5,6160 5,8364 6,1182 6,4384 6,7697 7,0802 7,3356 7,5012 7,5561 7,5170 7,4477 7,4380 7,5579 7,8142 8,1480 8,4694 8,6925 8,7498 8,6049 8,2684 7,8026 7,2941 6,8103 6,3724 5,9643 5,5599 5,1458 4,7281 4,3246 3,9538 3,6297 3,3650 3,1752 3,0760 3,0754 3,1710 3,3544 3,6122 3,9173 4,2333 4,5351 4,8230 5,1220 5,4647 5,8605 6,2807 6,6780 7,0096 7,2405 7,3431 7,3111 7,1642 6,9352 6,6635 6,4024 6,2138 6,1391 6,1784 6,3051 6,4936 6,7296 6,9985 7,2765 7,5382 7,7678 7,9560 8,0877 8,1383 8,0813 7,9004 7,5937 7,1780 6,6964 6,2200 5,8256 5,5626 5,4376 5,4225 5,4695 5,5238 5,5391 5,4894 5,3746 5,2227 5,0820 5,0028 5,0210 5,1496 5,3739 5,6541 5,9482 6,2365 6,5265 6,8379 7,1883 7,5834 8,0079 8,4244 8,7868 9,0539 9,1993 9,2148 9,1120 8,9219 8,6880 8,4522 8,2465 8,0866 7,9695 7,8726 7,7614 7,6028 7,3668 7,0233 6,5582 5,9903 5,3643 4,7329 4,1458 3,6410 3,2379 2,9462 2,7809 2,7665 2,9215 3,2320 3,6384 4,0599 4,4333
F7    3,4126 3,3989 3,3518 3,2238 3,0106 2,7355 2,4323 2,1458 1,9262 1,8010 1,7500 1,7173 1,6483 1,5131 1,3066 1,0519 0,7994 0,6079 0,5143 0,5161 0,5710 0,6165 0,5981 0,4860 0,2813 0,0145 -0,2795 -0,5868 -0,8982 -1,1886 -1,4369 -1,6438 -1,8160 -1,9478 -2,0275 -2,0560 -2,0500 -2,0259 -1,9887 -1,9403 -1,8874 -1,8371 -1,7932 -1,7615 -1,7584 -1,8095 -1,9309 -2,1043 -2,2767 -2,3855 -2,3902 -2,2866 -2,0936 -1,8301 -1,5156 -1,1864 -0,8906 -0,6674 -0,5312 -0,4648 -0,4281 -0,3781 -0,2873 -0,1553 -0,0013 0,1532 0,2956 0,4295 0,5718 0,7376 0,9233 1,1025 1,2374 1,2979 1,2735 1,1752 1,0387 0,9195 0,8796 0,9762 1,2416 1,6527 2,1210 2,5168 2,7232 2,6903 2,4466 2,0596 1,5909 1,0892 0,6035 0,1796 -0,1561 -0,3920 -0,5193 -0,5401 -0,4798 -0,3785 -0,2843 -0,2538 -0,3397 -0,5634 -0,8973 -1,2755 -1,6237 -1,8805 -2,0033 -1,9884 -1,8956 -1,8305 -1,8892 -2,1170 -2,5012 -2,9859 -3,4947 -3,9541 -4,3167 -4,5718 -4,7349 -4,8343 -4,9047 -4,9788 -5,0739 -5,1827 -5,2826 -5,3609 -5,4266 -5,4836 -5,5109 -5,4849 -5,4049 -5,2758 -5,0657 -4,6979 -4,1057 -3,2908 -2,3194 -1,2752 -0,2245 0,7907 1,7484 2,6398 3,4475 4,1229 4,6037 4,8606 4,9228 4,8669 4,7857 4,7567 4,8257 5,0138 5,3216 5,7225 6,1635 6,5846 6,9406 7,2092 7,3802 7,4454 7,4058 7,2792 7,0898 6,8537 6,5868 6,3235 6,1169 6,0102 6,0084 6,0785 6,1765 6,2625 6,2977 6,2564 6,1525 6,0386 5,9687 5,9497 5,9281 5,8337 5,6325 5,3429 5,0212 4,7336 4,5263 4,4132 4,3807 4,3975 4,4227 4,4151 4,3488 4,2312 4,1000 3,9935 3,9234 3,8799 3,8521 3,8376 3,8430 3,8822 3,9663 4,0869 4,2083 4,2870 4,3024 4,2689 4,2217 4,1915 4,1880 4,2034 4,2300 4,2649 4,3010 4,3256 4,3287 4,3020 4,2368 4,1307 3,9945 3,8417 3,6692 3,4594 3,2060 2,9270 2,6522 2,4032 2,1785 1,9537 1,7030 1,4322 1,1955 1,0694 1,0994 1,2703 1,5295 1,8409 2,2065 2,6333 3,0912 3,5137 3,8304 3,9952 3,9913 3,8295 3,5539 3,2356 2,9311 2,6509 2,3785 2,1074 1,8560 1,6657 1,5803 1,6186 1,7673 1,9934 2,2590 2,5398 2,8319 3,1310 3,4074 3,6135 3,7137 3,7081 3,6355 3,5511 3,4982 3,4960 3,5404 3,6021 3,6304 3,5894 3,4880 3,3608 3,2318 3,1057 2,9807 2,8591 2,7489 2,6586 2,5979 2,5848 2,6404 2,7687 2,9526 3,1725 3,4105 3,6292 3,7726 3,8128 3,7870 3,7714 3,8201 3,9322 4,0679 4,1920 4,2937 4,3720 4,4271 4,4781 4,5685 4,7378 4,9820 5,2553 5,5101 5,7224 5,8808 5,9784 6,0209 6,0253 6,0042 5,9550 5,8601 5,7015 5,4961 5,3119 5,2247 5,2674 5,4311 5,6927 6,0194 6,3563 6,6329 6,7996 6,8576 6,8512 6,8470 6,9220 7,1377 7,5059 7,9735 8,4368 8,7887 8,9821 9,0512 9,0659 9,0720 9,0750 9,0682 9,0543 9,0358 8,9980 8,9176 8,7814 8,5990 8,4091 8,2644 8,1896 8,1578 8,1237 8,0708 8,0197 7,9981 8,0109 8,0445 8,0960 8,1786 8,2902 8,3982 8,4647 8,4772 8,4493 8,4043 8,3615 8,3326 8,3297 8,3708 8,4714 8,6278 8,8137 8,9906 9,1167 9,1519 9,0678 8,8506 8,5020 8,0516 7,5672 7,1421 6,8592 6,7586 6,8258 7,0072 7,2433 7,4974 7,7568 8,0101 8,2296 8,3828 8,4528 8,4438 8,3717 8,2447 8,0582 7,8115 7,5223 7,2237 6,9583 6,7683 6,6740 6,6585 6,6776 6,6914 6,6882 6,6850 6,7106 6,7825 6,8986 7,0426 7,1855 7,2939 7,3560 7,3924 7,4322 7,4878 7,5547 7,6201 7,6676 7,6786 7,6315 7,5048 7,2936 7,0247 6,7527 6,5370 6,4173 6,4052 6,4839 6,6088 6,7149 6,7410 6,6545 6,4523 6,1459 5,7553 5,3133 4,8692 4,4793 4,1892 4,0273 4,0089 4,1350 4,3898 4,7465 5,1667 5,5885 5,9256 6,0963 6,0618 5,8445 5,5179 5,1778 4,9091 4,7522 4,6837 4,6307 4,5140 4,2947 3,9913 3,6546 3,3305 3,0491 2,8308 2,6789 2,5718 2,4821 2,4034 2,3520 2,3511 2,4201 2,5634 2,7631 2,9927 3,2388 3,4977 3,7549 3,9768 4,1248 4,1753 4,1346 4,0437 3,9722 4,0001 4,1858 4,5327 4,9861 5,4560 5,8413 6,0477 6,0112 5,7271 5,2645 4,7403 4,2537 3,8365 3,4641 3,1039 2,7451 2,3957 2,0656 1,7546 1,4550 1,1729 0,9446 0,8200 0,8253 0,9488 1,1605 1,4261 1,7012 1,9356 2,0902 2,1525 2,1415 2,0982 2,0671 2,0855 2,1802 2,3610 2,6079 2,8721 3,0983 3,2439 3,2827 3,2140 3,0762 2,9331 2,8371 2,8116 2,8663 3,0107 3,2452 3,5494 3,8819 4,1889 4,4196 4,5392 4,5336 4,4102 4,2007 3,9518 3,6945 3,4260 3,1333 2,8320 2,5739 2,4143 2,3780 2,4538 2,6056 2,7833 2,9341 3,0197 3,0309 2,9915 2,9516 2,9716 3,0943 3,3219 3,6161 3,9238 4,2048 4,4413 4,6369 4,8103 4,9918 5,2184 5,5157 5,8741 6,2445 6,5586 6,7536 6,7868 6,6517 6,3882 6,0700 5,7727 5,5429 5,3859 5,2735 5,1639 5,0258 4,8526 4,6463 4,3934 4,0732 3,6798 3,2217 2,7158 2,1888 1,6780 1,2273 0,8873 0,7116 0,7398 0,9741 1,3618 1,7959 2,1468 2,3151
