Fp1   3,3489 2,8608 2,3852 1,9847 1,7247 1,6410 1,7171 1,8915 2,0847 2,2361 2,3320 2,4031 2,4758 2,5102 2,3940 2,0211 1,3820 0,5776 -0,2354 -0,9066 -1,3374 -1,5180 -1,5294 -1,4896 -1,4928 -1,5868 -1,7598 -1,9334 -1,9970 -1,8755 -1,5770 -1,1940 -0,8518 -0,6287 -0,5309 -0,5427 -0,6602 -0,8689 -1,1278 -1,3750 -1,5332 -1,5369 -1,3852 -1,1549 -0,9484 -0,8372 -0,8437 -0,9247 -0,9617 -0,8259 -0,4918 -0,0582 0,3544 0,6944 0,9670 1,1809 1,3266 1,3738 1,2718 0,9766 0,5073 -0,0348 -0,5198 -0,8573 -1,0122 -0,9980 -0,8767 -0,7234 -0,5635 -0,3782 -0,1743 -0,0093 0,0565 -0,0080 -0,2117 -0,5393 -0,9450 -1,3646 -1,7362 -2,0180 -2,1988 -2,2954 -2,3497 -2,4381 -2,6598 -3,0749 -3,6409 -4,2112 -4,6003 -4,6875 -4,4892 -4,1369 -3,7914 -3,5891 -3,6312 -3,9629 -4,5555 -5,3279 -6,1789 -7,0135 -7,7748 -8,4759 -9,1988 -10,0317 -10,9678 -11,8665 -12,5174 -12,7336 -12,4056 -11,5389 -10,2858 -8,9056 -7,6364 -6,5899 -5,7660 -5,1397 -4,7079 -4,4528 -4,2797 -4,0290 -3,5735 -2,8963 -2,0788 -1,2534 -0,5715 -0,1508 0,0002 0,0000 0,0275 0,2221 0,6119 1,1114 1,5842 1,9344 2,1615 2,3199 2,4392 2,5165 2,5696 2,6446 2,7649 2,8863 2,9013 2,6930 2,2059 1,4816 0,6359 -0,1826 -0,8300 -1,2141 -1,3378 -1,2962 -1,2181 -1,1963 -1,2569 -1,3660 -1,4390 -1,3512 -0,9705 -0,2174 0,8804 2,1862 3,5171 4,7229 5,7241 6,4859 6,9784 7,1946 7,2021 7,1285 7,0763 7,0572 6,9947 6,7859 6,3794 5,7947 5,0677 4,1983 3,1781 2,0622 0,9886 0,1132 -0,4833 -0,8307 -1,0176 -1,1270 -1,2176 -1,3264 -1,4643 -1,6152 -1,7474 -1,8445 -1,9400 -2,1106 -2,4269 -2,9101 -3,5229 -4,1809 -4,7717 -5,2027 -5,4597 -5,6112 -5,7303 -5,7941 -5,6483 -5,0946 -4,0546 -2,6820 -1,3163 -0,3035 0,1788 0,1793 -0,1092 -0,4967 -0,8808 -1,2129 -1,4285 -1,4427 -1,2118 -0,7703 -0,2211 0,2840 0,5857 0,6065 0,4153 0,1673 -0,0351 -0,2092 -0,4283 -0,7161 -1,0076 -1,1948 -1,1997 -1,0208 -0,7227 -0,3777 -0,0107 0,3919 0,8118 1,1596 1,3234 1,2230 0,8069 0,0496 -1,0084 -2,2335 -3,4247 -4,3800 -4,9750 -5,2038 -5,1475 -4,9069 -4,5695 -4,2165 -3,9288 -3,7613 -3,7040 -3,6715 -3,5385 -3,2089 -2,6841 -2,0700 -1,5117 -1,1179 -0,9287 -0,9290 -1,0802 -1,3423 -1,6742 -2,0238 -2,3269 -2,5185 -2,5509 -2,4068 -2,0979 -1,6598 -1,1495 -0,6307 -0,1423 0,3112 0,7355 1,1205 1,4503 1,7317 1,9804 2,1646 2,1964 2,0162 1,6770 1,3141 1,0277 0,8132 0,6159 0,4382 0,3679 0,5037 0,8758 1,4374 2,1072 2,7948 3,3901 3,7578 3,7626 3,3312 2,5207 1,5303 0,6233 0,0131 -0,2162 -0,1155 0,1939 0,5818 0,9134 1,0423 0,8586 0,3639 -0,3211 -1,0202 -1,5622 -1,8106 -1,6969 -1,2592 -0,6330 0,0302 0,6453 1,1937 1,6585 1,9923 2,1557 2,1569 2,0401 1,8537 1,6338 1,3925 1,1119 0,7625 0,3420 -0,0905 -0,4208 -0,5424 -0,4241 -0,1164 0,3027 0,7762 1,2741 1,7703 2,2173 2,5460 2,7073 2,7230 2,6743 2,6201 2,5379 2,3682 2,1052 1,8384 1,7221 1,8930 2,3795 3,0685 3,7650 4,2970 4,5873 4,6390 4,4675 4,0818 3,5518 3,0424 2,7257 2,6575 2,7658 2,9407 3,1029 3,2096 3,2406 3,1835 3,0301 2,8030 2,5888 2,5307 2,7536 3,2711 3,9514 4,5678 4,9102 4,9022 4,6244 4,2219 3,7976 3,3823 2,9626 2,5256 2,1004 1,7735 1,6458 1,7612 2,0871 2,5613 3,1342 3,7679 4,4226 5,0492 5,5811 5,9464 6,1054 6,0802 5,9400 5,7528 5,5320 5,2205 4,7483 4,1249 3,4704 2,9604 2,7400 2,8661 3,3171 4,0492 5,0213 6,1566 7,3227 8,3737 9,1905 9,6767 9,7570 9,3995 8,6277 7,5152 6,1973 4,8891 3,8594 3,3427 3,4266 3,9919 4,7706 5,4878 5,9753 6,1796 6,0991 5,7433 5,1631 4,4893 3,9078 3,5809 3,5830 3,8780 4,3388 4,8199 5,2492 5,6485 6,0582 6,4496 6,7230 6,8002 6,7174 6,6129 6,6254 6,8185 7,1786 7,6378 8,0929 8,4137 8,4622 8,1435 7,4486 6,4451 5,2525 4,0160 2,8634 1,8789 1,1273 0,6785 0,5914 0,8752 1,4406 2,0723 2,4865 2,4716 2,0115 1,2893 0,5800 0,1210 0,0250 0,2477 0,6222 0,9578 1,1434 1,1837 1,1647 1,1945 1,3453 1,5987 1,8214 1,8294 1,5213 0,9585 0,3223 -0,1964 -0,4904 -0,5696 -0,5148 -0,3922 -0,2005 0,1111 0,5738 1,1420 1,7198 2,2422 2,7076 3,1330 3,5064 3,7954 3,9874 4,0971 4,1352 4,0849 3,9164 3,6285 3,2782 2,9601 2,7481 2,6567 2,6516 2,6928 2,7800 2,9545 3,2509 3,6513 4,1005 4,5573 4,9991 5,3739 5,5824 5,5335 5,2187 4,7429 4,2920 4,0442 4,0788 4,3521 4,7466 5,1254 5,3471 5,2836 4,8785 4,2023 3,4386 2,8046 2,4611 2,4618 2,7552 3,2210 3,7189 4,1445 4,4563 4,6413 4,6846 4,5977 4,4466 4,3046 4,1754 3,9749 3,5915 2,9789 2,2246 1,5354 1,1318 1,1223 1,4457 1,9024 2,2465 2,3091 2,0765 1,6630 1,2228 0,8889 0,7465 0,7988 0,9438 1,0114 0,8625 0,4876 0,0312 -0,2922 -0,3332 -0,0831 0,3560 0,8458 1,2583 1,4774 1,4045 1,0163 0,4243 -0,1558 -0,5260 -0,6089 -0,4442 -0,1237 0,2436 0,5289
Fz    0,4202 0,1104 -0,1344 -0,2976 -0,3803 -0,4045 -0,4050 -0,3931 -0,3367 -0,1890 0,0787 0,4711 0,9670 1,4997 1,9415 2,1374 1,9835 1,4859 0,7613 -0,0125 -0,6699 -1,1213 -1,3647 -1,4441 -1,4104 -1,3187 -1,2213 -1,1326 -1,0154 -0,8206 -0,5429 -0,2347 0,0304 0,2083 0,3016 0,3359 0,3315 0,2932 0,2141 0,0902 -0,0625 -0,2101 -0,3119 -0,3206 -0,1984 0,0395 0,3121 0,5307 0,6653 0,7434 0,7986 0,8390 0,8591 0,8575 0,8467 0,8639 0,9670 1,1917 1,5077 1,8194 2,0064 1,9793 1,7246 1,3205 0,9007 0,5758 0,3745 0,2575 0,1761 0,0991 -0,0035 -0,1705 -0,4253 -0,7486 -1,0822 -1,3604 -1,5433 -1,6398 -1,7126 -1,8428 -2,0649 -2,3353 -2,5732 -2,7331 -2,8282 -2,8895 -2,9260 -2,9270 -2,8850 -2,8185 -2,7840 -2,8530 -3,0702 -3,4453 -3,9754 -4,6375 -5,3714 -6,0994 -6,7677 -7,3614 -7,8905 -8,3696 -8,8147 -9,2435 -9,6586 -10,0296 -10,2906 -10,3573 -10,1580 -9,6669 -8,9260 -8,0293 -7,0796 -6,1605 -5,3323 -4,6296 -4,0548 -3,5854 -3,1946 -2,8689 -2,6082 -2,4171 -2,2960 -2,2401 -2,2492 -2,3304 -2,4762 -2,6463 -2,7779 -2,8044 -2,6690 -2,3485 -1,8794 -1,3529 -0,8713 -0,4956 -0,2174 0,0336 0,3433 0,7555 1,2450 1,7332 2,1214 2,3290 2,3238 2,1307 1,8185 1,4763 1,1854 0,9965 0,9273 0,9672 1,0773 1,2041 1,3114 1,4027 1,5198 1,7234 2,0611 2,5395 3,1138 3,6929 4,1652 4,4556 4,5799 4,6300 4,6919 4,7964 4,9429 5,1184 5,2728 5,3077 5,1255 4,6988 4,0956 3,4334 2,7931 2,1592 1,4447 0,5808 -0,4169 -1,4615 -2,4594 -3,3595 -4,1482 -4,8191 -5,3584 -5,7565 -6,0274 -6,2117 -6,3482 -6,4499 -6,5146 -6,5501 -6,5767 -6,6143 -6,6786 -6,7792 -6,9113 -7,0591 -7,2155 -7,3858 -7,5526 -7,6342 -7,5060 -7,0894 -6,4208 -5,6334 -4,8916 -4,3289 -3,9985 -3,8519 -3,7819 -3,7067 -3,6093 -3,5025 -3,3777 -3,1969 -2,9318 -2,6051 -2,2858 -2,0582 -1,9893 -2,0807 -2,2337 -2,2940 -2,1569 -1,8369 -1,4441 -1,1025 -0,8757 -0,7426 -0,6309 -0,4806 -0,2902 -0,1061 0,0265 0,0935 0,0917 0,0049 -0,1834 -0,4742 -0,8681 -1,3775 -2,0038 -2,7137 -3,4483 -4,1486 -4,7734 -5,3122 -5,7785 -6,1738 -6,4603 -6,5899 -6,5624 -6,4360 -6,2789 -6,1188 -5,9387 -5,7119 -5,4354 -5,1273 -4,7982 -4,4457 -4,0830 -3,7577 -3,5292 -3,4208 -3,3947 -3,3778 -3,3122 -3,1866 -3,0281 -2,8694 -2,7266 -2,6000 -2,4806 -2,3501 -2,1699 -1,8852 -1,4597 -0,9108 -0,3062 0,2743 0,7730 1,1537 1,3825 1,4334 1,3241 1,1219 0,8919 0,6568 0,4192 0,2004 0,0409 -0,0202 0,0347 0,1910 0,4052 0,6165 0,7596 0,7791 0,6398 0,3379 -0,0784 -0,5014 -0,7991 -0,8796 -0,7454 -0,4929 -0,2500 -0,1019 -0,0772 -0,1798 -0,4053 -0,7258 -1,0842 -1,4162 -1,6715 -1,8155 -1,8269 -1,7059 -1,4855 -1,2277 -0,9961 -0,8245 -0,7123 -0,6519 -0,6500 -0,7142 -0,8273 -0,9433 -1,0129 -1,0177 -0,9765 -0,9128 -0,8172 -0,6461 -0,3614 0,0253 0,4477 0,8294 1,1295 1,3476 1,4975 1,5847 1,5981 1,5277 1,3973 1,2742 1,2275 1,2634 1,3120 1,2979 1,2206 1,1545 1,1855 1,3603 1,6732 2,0766 2,5035 2,8971 3,2292 3,4873 3,6474 3,6815 3,5981 3,4540 3,3077 3,1681 3,0066 2,8127 2,6182 2,4731 2,4164 2,4590 2,5693 2,6783 2,7228 2,6921 2,6341 2,6109 2,6497 2,7192 2,7481 2,6867 2,5573 2,4277 2,3391 2,2767 2,1972 2,0680 1,8958 1,7300 1,6323 1,6363 1,7363 1,9137 2,1625 2,4893 2,8989 3,3774 3,8698 4,2772 4,5022 4,5067 4,3240 4,0234 3,6686 3,2951 2,9133 2,5271 2,1533 1,8390 1,6559 1,6609 1,8683 2,2557 2,7793 3,3801 3,9905 4,5450 4,9846 5,2668 5,3915 5,4032 5,3508 5,2483 5,0801 4,8347 4,5322 4,2261 3,9787 3,8314 3,7879 3,8117 3,8408 3,8122 3,6686 3,3548 2,8454 2,1912 1,5246 1,0065 0,7581 0,8158 1,1216 1,5623 2,0342 2,4744 2,8454 3,1203 3,2909 3,3930 3,5203 3,7877 4,2423 4,8084 5,3279 5,6511 5,6992 5,4634 4,9685 4,2494 3,3568 2,3669 1,3783 0,4968 -0,1874 -0,6186 -0,7899 -0,7459 -0,5569 -0,2826 0,0336 0,3357 0,5425 0,5829 0,4462 0,1909 -0,1016 -0,3757 -0,6177 -0,8532 -1,1293 -1,4770 -1,8790 -2,2780 -2,6113 -2,8297 -2,9060 -2,8613 -2,7827 -2,7808 -2,9136 -3,1615 -3,4621 -3,7508 -3,9862 -4,1624 -4,2964 -4,3920 -4,4137 -4,3010 -4,0129 -3,5647 -3,0258 -2,4824 -1,9956 -1,5881 -1,2678 -1,0511 -0,9518 -0,9551 -1,0109 -1,0504 -1,0081 -0,8445 -0,5594 -0,1895 0,2075 0,5767 0,8876 1,1373 1,3429 1,5361 1,7551 2,0162 2,2994 2,5790 2,8525 3,1148 3,3214 3,3991 3,2965 3,0232 2,6501 2,2713 1,9607 1,7553 1,6590 1,6426 1,6420 1,5752 1,3790 1,0450 0,6334 0,2497 -0,0109 -0,1147 -0,0994 -0,0525 -0,0763 -0,2430 -0,5603 -0,9689 -1,3715 -1,6722 -1,8176 -1,8271 -1,7852 -1,7934 -1,9211 -2,1790 -2,5056 -2,7797 -2,8798 -2,7591 -2,4807 -2,1973 -2,0822 -2,2447 -2,6753 -3,2573 -3,8331 -4,2789 -4,5474 -4,6597 -4,6686 -4,6279 -4,5748 -4,5189 -4,4398 -4,3009 -4,0816 -3,7984 -3,4931 -3,2045 -2,9648 -2,8240 -2,8562 -3,1084 -3,5337 -3,9920 -4,3290 -4,4518 -4,3459 -4,0613 -3,6988 -3,3840
F3    -0,3812 -0,6044 -0,8096 -0,9024 -0,8145 -0,5637 -0,2354 0,0848 0,3565 0,5926 0,8463 1,1819 1,6191 2,0883 2,4459 2,5401 2,2780 1,6652 0,8175 -0,0628 -0,7531 -1,1085 -1,1310 -0,9436 -0,6940 -0,4771 -0,3169 -0,1967 -0,1091 -0,0779 -0,1386 -0,3102 -0,5681 -0,8321 -1,0038 -1,0402 -0,9801 -0,8748 -0,7190 -0,4747 -0,1424 0,2136 0,4993 0,6391 0,6020 0,3989 0,0699 -0,3099 -0,6213 -0,7419 -0,6122 -0,2458 0,3059 0,9633 1,6089 2,1147 2,3887 2,3811 2,0662 1,4615 0,6706 -0,1359 -0,8139 -1,3094 -1,6266 -1,7745 -1,7598 -1,5816 -1,2115 -0,6299 0,1003 0,8384 1,4539 1,8745 2,0556 1,9474 1,5171 0,7959 -0,0964 -0,9916 -1,7613 -2,3666 -2,8327 -3,2167 -3,5984 -4,0468 -4,5610 -5,0545 -5,4111 -5,5513 -5,4561 -5,1545 -4,7142 -4,2357 -3,8226 -3,5370 -3,3942 -3,3992 -3,5566 -3,8355 -4,1664 -4,5171 -4,9588 -5,6030 -6,4595 -7,3975 -8,2445 -8,8781 -9,2323 -9,2769 -9,0326 -8,5906 -8,0756 -7,5736 -7,0924 -6,5827 -5,9880 -5,2854 -4,4900 -3,6365 -2,7762 -1,9873 -1,3665 -1,0123 -1,0030 -1,3472 -1,9406 -2,5869 -3,0763 -3,2679 -3,1378 -2,7679 -2,2890 -1,8075 -1,3743 -1,0193 -0,7841 -0,6854 -0,6586 -0,5794 -0,3546 0,0154 0,4643 0,9218 1,3391 1,6845 1,9418 2,0996 2,1265 1,9765 1,6313 1,1354 0,6001 0,1726 -0,0310 0,0255 0,3079 0,7527 1,2956 1,8813 2,4735 3,0642 3,6552 4,2352 4,7860 5,2900 5,7150 6,0139 6,1430 6,0698 5,7842 5,3099 4,6787 3,9167 3,0757 2,2307 1,4149 0,5815 -0,3479 -1,3991 -2,5116 -3,5775 -4,5003 -5,2235 -5,7364 -6,0858 -6,3614 -6,6272 -6,8708 -7,0389 -7,1012 -7,0771 -7,0291 -7,0347 -7,1541 -7,3934 -7,6948 -7,9858 -8,2200 -8,3510 -8,3193 -8,0971 -7,7153 -7,2353 -6,7066 -6,1577 -5,6263 -5,1848 -4,9163 -4,8666 -5,0225 -5,3222 -5,6762 -5,9914 -6,1941 -6,2430 -6,1296 -5,8753 -5,5276 -5,1395 -4,7431 -4,3357 -3,8662 -3,2432 -2,4031 -1,4029 -0,4456 0,2077 0,3845 0,0886 -0,5277 -1,2579 -1,9171 -2,3736 -2,5635 -2,4994 -2,2666 -2,0001 -1,8441 -1,9000 -2,1900 -2,6727 -3,2850 -3,9708 -4,6898 -5,4131 -6,1051 -6,7103 -7,1651 -7,4404 -7,5819 -7,6858 -7,8209 -7,9874 -8,1496 -8,2771 -8,3368 -8,2648 -7,9857 -7,4814 -6,8441 -6,2434 -5,8308 -5,6630 -5,6924 -5,8067 -5,8820 -5,8334 -5,6525 -5,3983 -5,1511 -4,9732 -4,8898 -4,8796 -4,8947 -4,8891 -4,8275 -4,6948 -4,5082 -4,2971 -4,0754 -3,8487 -3,6230 -3,3840 -3,0881 -2,7034 -2,2445 -1,7407 -1,1905 -0,5946 -0,0213 0,3929 0,5078 0,2525 -0,3266 -1,0743 -1,7990 -2,3536 -2,6666 -2,7293 -2,5805 -2,2968 -1,9853 -1,7702 -1,7525 -1,9518 -2,2882 -2,6383 -2,9064 -3,0376 -2,9947 -2,7732 -2,4430 -2,1482 -2,0323 -2,1489 -2,4338 -2,7442 -2,9305 -2,9052 -2,6771 -2,3454 -2,0622 -1,9670 -2,1217 -2,4860 -2,9497 -3,3730 -3,6125 -3,5735 -3,2793 -2,8759 -2,5546 -2,4490 -2,5709 -2,8155 -3,0200 -3,0301 -2,7556 -2,2175 -1,5450 -0,8823 -0,2853 0,2776 0,8314 1,3227 1,6375 1,6854 1,4799 1,1379 0,7887 0,4817 0,1779 -0,1912 -0,6686 -1,2228 -1,7140 -1,9442 -1,7832 -1,2572 -0,5308 0,1852 0,7348 1,0582 1,1644 1,0936 0,9187 0,7629 0,7560 0,9411 1,2466 1,5641 1,8225 1,9824 2,0027 1,8408 1,4790 0,9505 0,3435 -0,2156 -0,6004 -0,7479 -0,7157 -0,6696 -0,7799 -1,0965 -1,5235 -1,9182 -2,1934 -2,3265 -2,3161 -2,1658 -1,8915 -1,5065 -1,0024 -0,3676 0,3790 1,1804 1,9602 2,6323 3,1009 3,2808 3,1355 2,7043 2,1068 1,5136 1,0782 0,8600 0,7905 0,7178 0,5065 0,1296 -0,3103 -0,6601 -0,8263 -0,8008 -0,5970 -0,2033 0,3872 1,1183 1,8781 2,5672 3,1331 3,5451 3,7788 3,8317 3,7214 3,4585 3,0506 2,5409 2,0277 1,6289 1,4066 1,3154 1,2511 1,1697 1,1373 1,2393 1,4579 1,6673 1,7404 1,6410 1,4181 1,1337 0,8193 0,4933 0,1866 -0,0546 -0,1642 -0,0602 0,3066 0,8843 1,5122 2,0084 2,2865 2,3816 2,3679 2,2893 2,1783 2,0874 2,0725 2,1516 2,2888 2,4182 2,4762 2,4149 2,2126 1,8717 1,4046 0,8294 0,1684 -0,5525 -1,2834 -1,9314 -2,3887 -2,5964 -2,5974 -2,5344 -2,5789 -2,8399 -3,3167 -3,9029 -4,4300 -4,7545 -4,8399 -4,7442 -4,5296 -4,1995 -3,7246 -3,1191 -2,4881 -2,0055 -1,8428 -2,0782 -2,6408 -3,3466 -4,0000 -4,4757 -4,7592 -4,9288 -5,0742 -5,2259 -5,3578 -5,4275 -5,4191 -5,3743 -5,3664 -5,4337 -5,5545 -5,6913 -5,8163 -5,8623 -5,6932 -5,1746 -4,2788 -3,1237 -1,9328 -0,9481 -0,3333 -0,1060 -0,1466 -0,2857 -0,3956 -0,4127 -0,3158 -0,1170 0,1360 0,3863 0,6103 0,8231 1,0365 1,2216 1,3174 1,2785 1,1121 0,8662 0,5847 0,2786 -0,0844 -0,5712 -1,2389 -2,0794 -3,0083 -3,9051 -4,6472 -5,1146 -5,2248 -5,0043 -4,5998 -4,1941 -3,9032 -3,7249 -3,5619 -3,3097 -2,9530 -2,5840 -2,3281 -2,2592 -2,3818 -2,6710 -3,1111 -3,6877 -4,3412 -4,9447 -5,3574 -5,5113 -5,4491 -5,2912 -5,1814 -5,2364 -5,4942 -5,8830 -6,2518 -6,4480 -6,3769 -6,0234 -5,4652 -4,8683 -4,4307 -4,2987 -4,5124 -5,0057 -5,6368 -6,2199 -6,5741 -6,5965 -6,3232 -5,9295 -5,6476 -5,6461 -5,9599 -6,4983 -7,0892 -7,5318 -7,6631 -7,4209 -6,8609 -6,1109 -5,3006 -4,5240
F7    -0,7008 -0,7125 -0,6473 -0,5149 -0,3310 -0,1094 0,1290 0,3561 0,5531 0,7256 0,9028 1,1177 1,3762 1,6434 1,8573 1,9525 1,8755 1,5980 1,1338 0,5506 -0,0473 -0,5651 -0,9483 -1,1655 -1,1909 -1,0323 -0,7537 -0,4444 -0,1728 0,0318 0,1729 0,2642 0,3083 0,3004 0,2406 0,1241 -0,0663 -0,3381 -0,6646 -0,9865 -1,2377 -1,3742 -1,3827 -1,2641 -1,0201 -0,6663 -0,2504 0,1591 0,4984 0,7155 0,7683 0,6490 0,4140 0,1656 -0,0042 -0,0512 0,0225 0,1912 0,4277 0,7067 0,9919 1,2274 1,3491 1,3133 1,1222 0,8205 0,4653 0,1014 -0,2430 -0,5497 -0,8027 -0,9800 -1,0465 -0,9707 -0,7603 -0,4768 -0,2056 -0,0123 0,0694 0,0279 -0,1274 -0,3543 -0,5879 -0,7859 -0,9535 -1,1120 -1,2615 -1,3836 -1,4636 -1,5056 -1,5405 -1,6158 -1,7667 -1,9994 -2,2962 -2,6218 -2,9419 -3,2559 -3,5977 -3,9954 -4,4354 -4,8658 -5,2280 -5,4795 -5,5905 -5,5436 -5,3499 -5,0497 -4,6815 -4,2603 -3,7959 -3,3126 -2,8401 -2,4026 -2,0171 -1,6801 -1,3567 -0,9953 -0,5701 -0,1162 0,2757 0,5090 0,5411 0,4086 0,2008 0,0016 -0,1522 -0,2635 -0,3396 -0,3825 -0,4088 -0,4456 -0,4963 -0,5281 -0,4972 -0,3754 -0,1557 0,1589 0,5634 1,0477 1,5870 2,1304 2,5995 2,9146 3,0388 3,0067 2,9046 2,8172 2,7902 2,8307 2,9261 3,0618 3,2258 3,4048 3,5790 3,7247 3,8297 3,9031 3,9649 4,0332 4,1172 4,2036 4,2486 4,2064 4,0793 3,9267 3,8149 3,7754 3,8125 3,9079 4,0037 4,0143 3,8839 3,6240 3,2873 2,9105 2,4813 1,9641 1,3549 0,7001 0,0628 -0,5194 -1,0412 -1,5074 -1,9086 -2,2201 -2,4343 -2,5935 -2,7817 -3,0787 -3,5080 -4,0223 -4,5421 -5,0091 -5,4068 -5,7479 -6,0495 -6,3148 -6,5300 -6,6801 -6,7722 -6,8311 -6,8698 -6,8640 -6,7595 -6,5176 -6,1545 -5,7295 -5,3033 -4,9150 -4,5805 -4,2997 -4,0722 -3,9137 -3,8440 -3,8567 -3,9113 -3,9581 -3,9701 -3,9524 -3,9308 -3,9455 -4,0373 -4,2049 -4,3838 -4,4958 -4,5136 -4,4622 -4,3744 -4,2676 -4,1528 -4,0457 -3,9658 -3,9233 -3,9119 -3,9147 -3,9083 -3,8683 -3,7943 -3,7241 -3,7124 -3,8045 -4,0358 -4,4314 -4,9830 -5,6294 -6,2745 -6,8347 -7,2741 -7,6144 -7,9247 -8,2733 -8,6688 -9,0505 -9,3328 -9,4531 -9,3952 -9,1923 -8,9099 -8,6167 -8,3571 -8,1333 -7,9095 -7,6465 -7,3383 -7,0207 -6,7536 -6,5922 -6,5560 -6,6118 -6,6911 -6,7387 -6,7451 -6,7333 -6,7273 -6,7333 -6,7354 -6,7010 -6,5974 -6,4159 -6,1808 -5,9304 -5,6889 -5,4590 -5,2356 -5,0220 -4,8399 -4,7259 -4,7090 -4,7933 -4,9668 -5,2138 -5,5068 -5,7907 -5,9935 -6,0580 -5,9749 -5,7981 -5,6225 -5,5450 -5,6316 -5,8919 -6,2744 -6,7002 -7,0987 -7,4135 -7,6024 -7,6526 -7,5992 -7,5184 -7,4872 -7,5399 -7,6641 -7,8335 -8,0312 -8,2409 -8,4284 -8,5422 -8,5351 -8,3907 -8,1334 -7,8160 -7,4987 -7,2379 -7,0875 -7,0955 -7,2793 -7,5986 -7,9541 -8,2281 -8,3449 -8,3042 -8,1669 -8,0162 -7,9190 -7,8950 -7,9097 -7,9035 -7,8373 -7,7157 -7,5683 -7,4135 -7,2455 -7,0526 -6,8395 -6,6330 -6,4685 -6,3642 -6,2968 -6,2129 -6,0718 -5,8751 -5,6519 -5,4243 -5,1893 -4,9301 -4,6335 -4,2986 -3,9529 -3,6630 -3,5088 -3,5312 -3,7085 -3,9794 -4,2818 -4,5690 -4,8032 -4,9471 -4,9805 -4,9300 -4,8635 -4,8421 -4,8808 -4,9546 -5,0289 -5,0846 -5,1325 -5,2097 -5,3514 -5,5646 -5,8257 -6,0971 -6,3403 -6,5183 -6,5978 -6,5523 -6,3731 -6,0999 -5,8358 -5,7048 -5,7785 -6,0416 -6,4086 -6,7635 -7,0031 -7,0787 -7,0053 -6,8294 -6,5931 -6,3275 -6,0641 -5,8367 -5,6727 -5,5758 -5,5107 -5,4123 -5,2291 -4,9632 -4,6711 -4,4335 -4,3134 -4,3287 -4,4542 -4,6359 -4,8026 -4,8793 -4,8032 -4,5419 -4,1124 -3,5921 -3,1004 -2,7515 -2,6140 -2,7030 -2,9852 -3,3807 -3,7793 -4,0717 -4,1781 -4,0735 -3,8005 -3,4461 -3,0997 -2,8228 -2,6373 -2,5329 -2,4919 -2,5196 -2,6497 -2,9193 -3,3282 -3,8158 -4,2799 -4,6277 -4,8194 -4,8845 -4,9036 -4,9654 -5,1172 -5,3377 -5,5441 -5,6290 -5,5115 -5,1731 -4,6523 -4,0197 -3,3630 -2,7734 -2,3225 -2,0455 -1,9414 -1,9861 -2,1444 -2,3704 -2,6199 -2,8763 -3,1515 -3,4588 -3,7910 -4,1256 -4,4486 -4,7645 -5,0725 -5,3440 -5,5374 -5,6284 -5,6221 -5,5540 -5,4796 -5,4521 -5,5099 -5,6739 -5,9428 -6,2927 -6,6807 -7,0417 -7,2954 -7,3812 -7,3008 -7,1135 -6,8934 -6,7052 -6,6106 -6,6521 -6,8153 -7,0373 -7,2661 -7,4919 -7,7264 -7,9759 -8,2287 -8,4499 -8,5853 -8,5847 -8,4262 -8,1229 -7,7148 -7,2541 -6,7853 -6,3341 -5,9247 -5,5949 -5,3744 -5,2538 -5,1897 -5,1373 -5,0736 -4,9900 -4,8759 -4,7201 -4,5222 -4,2954 -4,0543 -3,8047 -3,5474 -3,2903 -3,0491 -2,8324 -2,6382 -2,4693 -2,3469 -2,3085 -2,3868 -2,5864 -2,8832 -3,2457 -3,6528 -4,0918 -4,5400 -4,9531 -5,2840 -5,5149 -5,6683 -5,7928 -5,9439 -6,1602 -6,4382 -6,7258 -6,9453 -7,0327 -6,9750 -6,8219 -6,6567 -6,5379 -6,4705 -6,4292 -6,3947 -6,3736 -6,4007 -6,5280 -6,7996 -7,2248 -7,7663 -8,3484 -8,8681 -9,2082 -9,2709 -9,0254 -8,5355 -7,9482 -7,4394 -7,1404 -7,0855 -7,2155 -7,4339 -7,6721 -7,9136 -8,1675 -8,4282 -8,6605 -8,8119 -8,8403 -8,7398 -8,5497 -8,3349 -8,1456 -7,9907 -7,8456 -7,6814 -7,4924 -7,2981 -7,1159 -6,9401 -6,7484 -6,5229 -6,2602 -5,9684 -5,6653 -5,3877 -5,1929
