Fp1   0,9514 1,3455 1,8556 2,3795 2,8457 3,2152 3,4371 3,4205 3,0525 2,2453 1,0081 -0,4978 -1,9911 -3,1713 -3,8152 -3,8355 -3,3195 -2,5215 -1,7496 -1,2092 -0,9256 -0,7634 -0,5031 0,0439 0,9244 2,0053 3,0252 3,7009 3,8364 3,3901 2,4847 1,3674 0,3168 -0,4768 -0,9707 -1,2206 -1,3007 -1,2698 -1,1907 -1,1338 -1,1158 -1,0633 -0,8904 -0,6195 -0,4164 -0,5071 -1,0421 -1,9924 -3,1423 -4,1960 -4,9080 -5,1246 -4,7662 -3,8469 -2,5095 -0,9941 0,4417 1,5874 2,3104 2,5735 2,4424 2,0553 1,5389 0,9321 0,2048 -0,6560 -1,6005 -2,5214 -3,2691 -3,7034 -3,7665 -3,4883 -2,9190 -2,0944 -1,0818 -0,0113 0,9665 1,7192 2,1217 2,0445 1,3846 0,1401 -1,5125 -3,2250 -4,6024 -5,3570 -5,4027 -4,8879 -4,1428 -3,5215 -3,2588 -3,4158 -3,8828 -4,4578 -4,9920 -5,4778 -5,9993 -6,6212 -7,3192 -7,9925 -8,5354 -8,8926 -9,0466 -8,9729 -8,6155 -7,8972 -6,7736 -5,3167 -3,7335 -2,2586 -1,0232 -0,0288 0,7742 1,3883 1,7540 1,8268 1,6312 1,2308 0,6894 0,0731 -0,5285 -1,0020 -1,2484 -1,2440 -1,0666 -0,8574 -0,7581 -0,8471 -1,0719 -1,2706 -1,3366 -1,3521 -1,5317 -2,0344 -2,8243 -3,6938 -4,4067 -4,8311 -4,9755 -4,9172 -4,7044 -4,3497 -3,9296 -3,6140 -3,5295 -3,6311 -3,7368 -3,6839 -3,4795 -3,2877 -3,2343 -3,2587 -3,1782 -2,8579 -2,3245 -1,7765 -1,4921 -1,6527 -2,1915 -2,8143 -3,1745 -3,0347 -2,3221 -1,1390 0,2525 1,5217 2,3954 2,7332 2,5374 1,9333 1,1470 0,4806 0,2413 0,6170 1,5827 2,8920 4,1382 4,9018 4,9536 4,3699 3,4808 2,7028 2,3461 2,4767 2,9053 3,3051 3,3863 3,0357 2,3529 1,5551 0,8387 0,3267 0,0937 0,1923 0,6494 1,4299 2,4098 3,4074 4,2428 4,7730 4,8956 4,5363 3,6503 2,2609 0,5049 -1,3734 -3,0819 -4,3483 -4,9679 -4,8454 -4,0392 -2,7651 -1,3225 0,0308 1,1675 2,0805 2,8164 3,4055 3,7994 3,8696 3,5000 2,6985 1,6130 0,4247 -0,7765 -1,9873 -3,1613 -4,1330 -4,7041 -4,7905 -4,4844 -4,0013 -3,5615 -3,2893 -3,1864 -3,1722 -3,1456 -3,0365 -2,8347 -2,5855 -2,3834 -2,3707 -2,6822 -3,3190 -4,0630 -4,5512 -4,4799 -3,7875 -2,6875 -1,5387 -0,6571 -0,1958 -0,1461 -0,4211 -0,9441 -1,6714 -2,5689 -3,5973 -4,6732 -5,6287 -6,2575 -6,4064 -6,0179 -5,1260 -3,8422 -2,3613 -0,9474 0,1751 0,9416 1,4374 1,7910 2,0714 2,2182 2,0592 1,4515 0,4413 -0,7220 -1,7283 -2,3784 -2,6722 -2,7381 -2,6444 -2,2996 -1,5474 -0,3254 1,2501 2,9035 4,2843 5,0942 5,2481 4,9328 4,4483 3,9887 3,5883 3,1929 2,7164 2,0949 1,3657 0,6865 0,2661 0,2710 0,7595 1,6476 2,7179 3,7019 4,3847 4,6533 4,5007 4,0289 3,4339 2,9605 2,8393 3,2189 4,0838 5,2032 6,2142 6,8212 6,9358 6,6413 6,0737 5,3956 4,8252 4,5591 4,6351 4,9222 5,2524 5,5263 5,7101 5,7975 5,8051 5,7702 5,7281 5,6936 5,6570 5,5918 5,5049 5,4892 5,6641 6,0559 6,5949 7,2183 7,9208 8,7229 9,6260 10,5878 11,5304 12,3798 13,1050 13,7283 14,2946 14,7979 15,1402 15,1844 14,8386 14,0736 12,8910 11,3339 9,5606 7,9013 6,7883 6,5555 7,2582 8,6806 10,4793 12,2966 13,8052 14,7572 15,0478 14,7436 14,0620 13,3063 12,7474 12,5100 12,5578 12,7684 13,0259 13,2730 13,4837 13,5852 13,4440 12,9510 12,1262 11,1552 10,3199 9,8837 10,0238 10,8023 12,1443 13,8264 15,5078 16,8301 17,5197 17,4398 16,6240 15,2777 13,6977 12,1564 10,8414 9,8662 9,3014 9,1985 9,5907 10,4428 11,5891 12,7273 13,4830 13,5252 12,7134 11,1844 9,2964 7,4854 6,1043 5,2826 4,9150 4,8106 4,8562 5,0567 5,4608 6,0837 6,9026 7,8647 8,8645 9,7648 10,4485 10,8342 10,9016 10,7444 10,5550 10,4921 10,5398 10,5173 10,2349 9,6460 8,8776 8,1526 7,6666 7,4908 7,5911 7,9488 8,5913 9,4777 10,4277 11,1953 11,5732 11,4468 10,8114 9,7757 8,5421 7,3312 6,2839 5,4222 4,6870 4,0043 3,3391 2,7177 2,2392 2,0571 2,2774 2,8503 3,5910 4,3172 4,9532 5,5249 6,0981 6,7131 7,3431 7,9060 8,2943 8,3931 8,1208 7,4775 6,5525 5,4944 4,4803 3,6914 3,2672 3,2142 3,3646 3,4947 3,5116 3,5013 3,5925 3,8097 4,0670 4,2467 4,2400 3,9612 3,3845 2,5810 1,7064 0,9399 0,4291 0,2750 0,5063 1,0261 1,6057 1,9823 1,9999 1,6713 1,1129 0,4416 -0,2496 -0,8566 -1,2621 -1,3780 -1,2020 -0,8545 -0,5619 -0,5714 -1,0192 -1,8161 -2,6597 -3,1968 -3,1911 -2,5942 -1,5644 -0,4214 0,5160 1,0973 1,3447 1,3326 1,1198 0,7971 0,5132 0,3761 0,3581 0,3405 0,2278 -0,0048 -0,3293 -0,6778 -0,9392 -0,9759 -0,6827 -0,0841 0,6292 1,2174 1,5488 1,6531 1,6952 1,9107 2,4832 3,4111 4,4639 5,2743 5,5239 5,0967 4,1044 2,8139 1,5370 0,5319 -0,0523 -0,2063 -0,0445 0,2787 0,6439 0,9833 1,2903 1,6297 2,0735 2,5880 3,0159 3,1711 2,9297 2,2892 1,4058 0,5677 0,0838 0,1511 0,7849 1,8255 2,9963 4,0174 4,7367 5,1681 5,3886 5,4009 5,1074 4,4093 3,3322 2,0725 0,9234 0,1610 -0,0170 0,4588 1,4683 2,6994 3,7573 4,3369 4,3320 3,8023 2,8888 1,7794 0,6796 -0,2445 -0,8946 -1,2181 -1,1784 -0,7493 0,0533
Fz    0,7697 0,8129 0,8683 0,9272 0,9879 1,0573 1,1314 1,1713 1,0999 0,8230 0,2820 -0,4903 -1,3551 -2,1121 -2,5780 -2,6584 -2,3889 -1,9287 -1,4831 -1,1967 -1,0960 -1,0943 -1,0370 -0,7798 -0,2661 0,4443 1,2053 1,8428 2,2183 2,2789 2,0725 1,7168 1,3409 1,0305 0,8083 0,6560 0,5443 0,4531 0,3750 0,3057 0,2504 0,2276 0,2361 0,2139 0,0544 -0,3206 -0,8991 -1,5810 -2,2264 -2,7143 -2,9738 -2,9743 -2,7067 -2,1911 -1,4933 -0,7157 0,0269 0,6325 1,0314 1,2022 1,1667 0,9637 0,6172 0,1216 -0,5354 -1,3202 -2,1326 -2,8390 -3,3221 -3,5200 -3,4406 -3,1363 -2,6628 -2,0665 -1,4043 -0,7511 -0,1748 0,2752 0,5567 0,6291 0,4545 0,0127 -0,6544 -1,4239 -2,1372 -2,6597 -2,9213 -2,9498 -2,8644 -2,8109 -2,8917 -3,1283 -3,4570 -3,7819 -4,0584 -4,3153 -4,5963 -4,9070 -5,2140 -5,4687 -5,6312 -5,6819 -5,6191 -5,4494 -5,1783 -4,7979 -4,2976 -3,7026 -3,0837 -2,5060 -1,9776 -1,4613 -0,9291 -0,4022 0,0618 0,4194 0,6650 0,8135 0,8796 0,8741 0,8118 0,7214 0,6447 0,6204 0,6702 0,7938 0,9669 1,1541 1,3477 1,5624 1,7659 1,8481 1,6945 1,2824 0,7029 0,1041 -0,3884 -0,7131 -0,8669 -0,8801 -0,7951 -0,6656 -0,5765 -0,6286 -0,8646 -1,2213 -1,5639 -1,7710 -1,8143 -1,7621 -1,6923 -1,6172 -1,5000 -1,3142 -1,0842 -0,8898 -0,8334 -0,9755 -1,2788 -1,6094 -1,7993 -1,7184 -1,3175 -0,6466 0,1613 0,9486 1,5905 2,0111 2,1810 2,1212 1,9106 1,6791 1,5747 1,7086 2,1046 2,6733 3,2303 3,5731 3,5876 3,3090 2,8948 2,5387 2,3824 2,4642 2,7173 3,0134 3,2285 3,2916 3,1953 2,9772 2,6976 2,4231 2,2083 2,0907 2,0978 2,2384 2,4880 2,7939 3,0911 3,3155 3,4109 3,3277 3,0212 2,4705 1,7068 0,8183 -0,0712 -0,8251 -1,3160 -1,4629 -1,2655 -0,8028 -0,1979 0,4332 1,0244 1,5567 2,0205 2,3847 2,5912 2,5781 2,3227 1,8691 1,3059 0,7086 0,0999 -0,5266 -1,1472 -1,6883 -2,0658 -2,2355 -2,2154 -2,0761 -1,9080 -1,7771 -1,7024 -1,6628 -1,6166 -1,5202 -1,3487 -1,1120 -0,8632 -0,6962 -0,7101 -0,9344 -1,2707 -1,5180 -1,4833 -1,0994 -0,4635 0,2302 0,8014 1,1507 1,2620 1,1794 0,9752 0,7159 0,4312 0,1107 -0,2414 -0,5544 -0,7233 -0,6806 -0,4251 -0,0023 0,5251 1,0799 1,5761 1,9666 2,2800 2,5828 2,9203 3,2872 3,6167 3,8022 3,7707 3,5454 3,2332 2,9599 2,8061 2,7720 2,8035 2,8688 2,9986 3,2508 3,6563 4,1879 4,7518 5,2043 5,4142 5,3569 5,1475 4,9506 4,8576 4,8567 4,8810 4,8534 4,7154 4,4535 4,1121 3,7901 3,6096 3,6499 3,8952 4,2429 4,5579 4,7368 4,7451 4,6131 4,4024 4,1786 4,0107 3,9767 4,1435 4,5147 4,9948 5,4249 5,6745 5,7068 5,5618 5,3055 5,0197 4,8114 4,7703 4,9032 5,1350 5,3774 5,5798 5,7199 5,7791 5,7456 5,6280 5,4535 5,2561 5,0646 4,8967 4,7786 4,7692 4,9268 5,2508 5,6880 6,1868 6,7233 7,2926 7,8922 8,4998 9,0638 9,5274 9,8720 10,1368 10,3837 10,6302 10,8180 10,8531 10,6621 10,2159 9,5323 8,6838 7,7945 7,0229 6,5340 6,4503 6,7957 7,4880 8,3843 9,3244 10,1494 10,7239 10,9739 10,9125 10,6383 10,2983 10,0161 9,8356 9,7315 9,6607 9,6053 9,5875 9,6328 9,7067 9,7079 9,5350 9,1629 8,6783 8,2457 8,0309 8,1409 8,5993 9,3440 10,2359 11,0895 11,7275 12,0197 11,8987 11,3767 10,5472 9,5481 8,5195 7,5921 6,8889 6,5085 6,5053 6,8838 7,5865 8,4773 9,3459 9,9424 10,0503 9,5928 8,6922 7,6069 6,6002 5,8441 5,3797 5,1394 5,0250 4,9841 5,0251 5,1802 5,4706 5,8971 6,4333 7,0215 7,5955 8,1023 8,4937 8,7324 8,8279 8,8459 8,8586 8,8854 8,8843 8,7984 8,6119 8,3695 8,1468 8,0025 7,9490 7,9730 8,0906 8,3484 8,7487 9,2089 9,6117 9,8721 9,9583 9,8752 9,6504 9,3293 8,9586 8,5572 8,1115 7,5948 6,9988 6,3642 5,7820 5,3650 5,2102 5,3519 5,7294 6,2145 6,6909 7,1073 7,4641 7,7754 8,0531 8,3017 8,5022 8,5917 8,4773 8,0985 7,4794 6,7183 5,9362 5,2366 4,7004 4,3889 4,3174 4,4296 4,6378 4,8965 5,2217 5,6274 6,0512 6,3635 6,4513 6,2753 5,8565 5,2450 4,5128 3,7543 3,0663 2,5289 2,2000 2,0997 2,1816 2,3300 2,4066 2,3164 2,0440 1,6362 1,1655 0,7169 0,3816 0,2347 0,3095 0,5837 0,9700 1,3265 1,5017 1,4058 1,0660 0,6201 0,2417 0,0617 0,1268 0,3862 0,7126 0,9773 1,1273 1,1833 1,1798 1,1386 1,0972 1,1162 1,2306 1,4131 1,6032 1,7562 1,8571 1,9156 1,9688 2,0814 2,3222 2,7232 3,2369 3,7304 4,0542 4,1292 3,9799 3,7204 3,5129 3,4938 3,6968 4,0267 4,3080 4,3746 4,1452 3,6447 2,9852 2,3190 1,7863 1,4738 1,3904 1,4706 1,6186 1,7581 1,8531 1,9128 1,9895 2,1384 2,3557 2,5687 2,6849 2,6400 2,4283 2,1166 1,8246 1,6758 1,7458 2,0318 2,4476 2,8524 3,1261 3,2433 3,2709 3,2851 3,2926 3,2272 3,0121 2,6272 2,1358 1,6556 1,3145 1,2183 1,4173 1,8789 2,4918 3,0995 3,5524 3,7498 3,6505 3,2706 2,6884 2,0268 1,4113 0,9346 0,6479 0,5707 0,6982 0,9906
F3    0,6303 0,7369 0,8541 1,0234 1,2594 1,5382 1,8050 1,9716 1,9192 1,5349 0,7875 -0,2216 -1,2921 -2,2051 -2,7878 -2,9588 -2,7650 -2,3648 -1,9370 -1,5920 -1,3564 -1,1972 -1,0364 -0,7653 -0,2949 0,3833 1,1776 1,9298 2,4747 2,7027 2,5951 2,2156 1,6703 1,0700 0,5176 0,1029 -0,1203 -0,1426 0,0074 0,2600 0,5198 0,7036 0,7447 0,5703 0,1235 -0,5787 -1,4304 -2,2837 -3,0026 -3,4967 -3,7200 -3,6436 -3,2539 -2,5881 -1,7503 -0,8866 -0,1426 0,3851 0,6821 0,8021 0,8101 0,7378 0,5668 0,2248 -0,3628 -1,1789 -2,0839 -2,8888 -3,4531 -3,7292 -3,7410 -3,5279 -3,1106 -2,5098 -1,7919 -1,0662 -0,4279 0,0720 0,3971 0,4912 0,2796 -0,2813 -1,1317 -2,1026 -2,9959 -3,6638 -4,0458 -4,1823 -4,1858 -4,1822 -4,2664 -4,4643 -4,7019 -4,8594 -4,8851 -4,8290 -4,7726 -4,7678 -4,8323 -4,9572 -5,1171 -5,2828 -5,4204 -5,4837 -5,4255 -5,2186 -4,8830 -4,4964 -4,1479 -3,8621 -3,5873 -3,2520 -2,8201 -2,3145 -1,8023 -1,3510 -0,9992 -0,7638 -0,6509 -0,6529 -0,7343 -0,8169 -0,8003 -0,6155 -0,2594 0,2116 0,7020 1,1141 1,4065 1,6052 1,7127 1,6394 1,2766 0,6255 -0,1789 -0,9663 -1,6284 -2,1218 -2,4265 -2,5348 -2,4627 -2,2639 -2,0479 -1,9497 -2,0346 -2,2419 -2,4254 -2,4474 -2,2676 -1,9613 -1,6487 -1,4095 -1,2511 -1,1330 -1,0300 -0,9838 -1,0879 -1,4004 -1,8582 -2,2755 -2,4428 -2,2305 -1,6229 -0,7124 0,3194 1,2644 1,9674 2,3670 2,4845 2,3867 2,1642 1,9293 1,8060 1,8964 2,2307 2,7144 3,1379 3,2961 3,1189 2,6972 2,2131 1,8500 1,7282 1,8690 2,1913 2,5538 2,8264 2,9374 2,8700 2,6376 2,2740 1,8326 1,3769 0,9826 0,7442 0,7359 0,9553 1,3250 1,7369 2,0891 2,3067 2,3386 2,1451 1,7122 1,0728 0,2909 -0,5631 -1,3846 -2,0110 -2,2937 -2,1908 -1,7698 -1,1528 -0,4691 0,1698 0,6751 0,9808 1,0601 0,9238 0,5893 0,0736 -0,5800 -1,3003 -2,0218 -2,7030 -3,3106 -3,8039 -4,1364 -4,2682 -4,1826 -3,9037 -3,5054 -3,0875 -2,7218 -2,4218 -2,1709 -1,9685 -1,8365 -1,7888 -1,8065 -1,8531 -1,9220 -2,0569 -2,3006 -2,6209 -2,8980 -2,9830 -2,7856 -2,3382 -1,7834 -1,2929 -0,9849 -0,8891 -0,9534 -1,0826 -1,1912 -1,2632 -1,3722 -1,5901 -1,8749 -2,1022 -2,1866 -2,1232 -1,9347 -1,6410 -1,2970 -1,0050 -0,8361 -0,7515 -0,6291 -0,3597 0,0704 0,5603 0,9527 1,1361 1,1045 0,9323 0,7128 0,5219 0,4027 0,3613 0,3872 0,4771 0,6388 0,8890 1,2369 1,6509 2,0394 2,2883 2,3513 2,3015 2,2706 2,3391 2,4844 2,6010 2,5567 2,2748 1,7906 1,2313 0,7645 0,5491 0,6589 1,0220 1,4513 1,7410 1,7632 1,5272 1,1587 0,8052 0,5688 0,5160 0,6936 1,1069 1,6987 2,3614 2,9665 3,3983 3,5858 3,5086 3,1864 2,6919 2,1535 1,6985 1,3815 1,1865 1,0921 1,1031 1,2152 1,3772 1,4989 1,5030 1,3682 1,1232 0,8123 0,4887 0,2434 0,2011 0,4477 0,9708 1,6861 2,4946 3,3043 4,0371 4,6432 5,0993 5,4045 5,5932 5,7396 5,9289 6,2103 6,5532 6,8481 6,9687 6,8324 6,4054 5,6972 4,7768 3,7781 2,8764 2,2461 2,0063 2,1859 2,7392 3,5728 4,5453 5,4758 6,1937 6,6008 6,6958 6,5609 6,3242 6,0991 5,9345 5,8215 5,7305 5,6452 5,5748 5,5254 5,4559 5,2895 4,9812 4,5745 4,2010 4,0204 4,1425 4,5838 5,2717 6,0850 6,8953 7,5873 8,0659 8,2528 8,0889 7,5655 6,7377 5,7011 4,5802 3,5382 2,7591 2,3880 2,4834 3,0092 3,8442 4,8048 5,6853 6,2886 6,4553 6,1231 5,3734 4,3892 3,3678 2,4687 1,7848 1,3293 1,0721 1,0063 1,1615 1,5451 2,0969 2,7152 3,2976 3,7671 4,0956 4,2977 4,3859 4,3606 4,2433 4,0915 3,9676 3,9013 3,8797 3,8683 3,8452 3,8256 3,8522 3,9583 4,1307 4,3241 4,5274 4,7760 5,0846 5,4104 5,6873 5,8550 5,8590 5,6558 5,2410 4,6691 4,0255 3,3770 2,7503 2,1355 1,5150 0,9118 0,4050 0,1002 0,0856 0,3828 0,9146 1,5402 2,1488 2,7176 3,2764 3,8383 4,3794 4,8617 5,2404 5,4370 5,3321 4,8338 3,9687 2,8947 1,8270 0,9496 0,3728 0,1329 0,1884 0,4295 0,7455 1,0948 1,4939 1,9381 2,3437 2,5855 2,5800 2,3170 1,8412 1,2292 0,5707 -0,0404 -0,5134 -0,7792 -0,8148 -0,6551 -0,3903 -0,1519 -0,0840 -0,2836 -0,7415 -1,3527 -1,9879 -2,5386 -2,9196 -3,0777 -3,0072 -2,7566 -2,4304 -2,1728 -2,1181 -2,3239 -2,7251 -3,1574 -3,4478 -3,5011 -3,3135 -2,9446 -2,4931 -2,0633 -1,7196 -1,4748 -1,3271 -1,2831 -1,3250 -1,3920 -1,4353 -1,4649 -1,5064 -1,5471 -1,5546 -1,5145 -1,4187 -1,2371 -0,9230 -0,4550 0,1075 0,6171 0,9118 0,9031 0,6160 0,1904 -0,1543 -0,2099 0,1091 0,7102 1,3602 1,7928 1,8272 1,4385 0,7598 0,0094 -0,6144 -1,0057 -1,1695 -1,1916 -1,1678 -1,1399 -1,0859 -0,9468 -0,6561 -0,1873 0,3926 0,9304 1,2609 1,2879 1,0354 0,6382 0,2700 0,0609 0,0555 0,2117 0,4241 0,5646 0,5530 0,4216 0,2975 0,3024 0,4618 0,6945 0,8665 0,8642 0,6482 0,2635 -0,1784 -0,5362 -0,6999 -0,6405 -0,4119 -0,1188 0,1235 0,2177 0,0948 -0,2693 -0,8283 -1,4677 -2,0458 -2,4461 -2,6092 -2,5335 -2,2556 -1,8407
F7    1,2477 1,3821 1,4425 1,3872 1,2340 1,0424 0,8515 0,6572 0,4364 0,1717 -0,1446 -0,4986 -0,8381 -1,0947 -1,2301 -1,2520 -1,1970 -1,1115 -1,0384 -1,0051 -1,0044 -0,9747 -0,8129 -0,4424 0,1199 0,7545 1,2855 1,5615 1,5350 1,2795 0,9336 0,6277 0,4281 0,3238 0,2582 0,1759 0,0512 -0,1231 -0,3564 -0,6364 -0,8915 -1,0164 -0,9381 -0,6659 -0,3106 -0,0427 0,0102 -0,1706 -0,5112 -0,8900 -1,1860 -1,3226 -1,2635 -0,9915 -0,5199 0,0890 0,7453 1,3596 1,8383 2,0887 2,0663 1,7973 1,3480 0,8012 0,2622 -0,1513 -0,3590 -0,3666 -0,2522 -0,0958 0,0697 0,2471 0,4337 0,6081 0,7535 0,8723 0,9608 0,9780 0,8665 0,6080 0,2306 -0,2247 -0,7076 -1,1429 -1,4419 -1,5354 -1,4080 -1,1204 -0,8085 -0,6288 -0,6700 -0,9120 -1,2730 -1,6748 -2,0618 -2,3998 -2,6760 -2,8910 -3,0509 -3,1718 -3,2837 -3,4195 -3,5938 -3,7868 -3,9335 -3,9203 -3,6191 -2,9728 -2,0631 -1,0691 -0,1469 0,6458 1,3152 1,8515 2,2111 2,3710 2,3675 2,2771 2,1728 2,1034 2,0981 2,1620 2,2686 2,3657 2,3973 2,3247 2,1453 1,9046 1,6878 1,5808 1,6296 1,8115 2,0233 2,1188 1,9961 1,6591 1,2026 0,7457 0,3774 0,1506 0,0975 0,2283 0,5045 0,8368 1,1315 1,3366 1,4489 1,4929 1,4880 1,4418 1,3899 1,4129 1,5726 1,8436 2,1298 2,3380 2,4282 2,4135 2,3300 2,2036 2,0455 1,8836 1,7768 1,7919 1,9831 2,3764 2,9364 3,5589 4,1206 4,5433 4,8290 5,0538 5,3159 5,6616 6,0574 6,4409 6,7759 7,0393 7,1923 7,2032 7,0931 6,9332 6,7872 6,6575 6,4853 6,1901 5,7236 5,1152 4,4684 3,9044 3,5095 3,3300 3,3860 3,6580 4,0590 4,4540 4,7229 4,7979 4,6649 4,3495 3,8908 3,3271 2,7031 2,0706 1,4816 0,9961 0,6762 0,5282 0,4703 0,4162 0,3577 0,3188 0,2859 0,2304 0,1723 0,1832 0,3154 0,5248 0,6819 0,6628 0,4254 0,0191 -0,4451 -0,8438 -1,1027 -1,2198 -1,2214 -1,1230 -0,9409 -0,7181 -0,5376 -0,4980 -0,6546 -0,9887 -1,4308 -1,8841 -2,2370 -2,4005 -2,3506 -2,1384 -1,8733 -1,6846 -1,6658 -1,8255 -2,0780 -2,2744 -2,2680 -2,0067 -1,5822 -1,1591 -0,8550 -0,6874 -0,6034 -0,5503 -0,5359 -0,6261 -0,8825 -1,3065 -1,8363 -2,3810 -2,8471 -3,1443 -3,2132 -3,0598 -2,7313 -2,2624 -1,6731 -0,9956 -0,2738 0,4404 1,0778 1,5622 1,8196 1,7725 1,3760 0,6862 -0,1270 -0,8545 -1,3597 -1,6454 -1,8059 -1,9043 -1,9105 -1,7404 -1,3456 -0,7801 -0,1813 0,3013 0,5690 0,6209 0,5439 0,4269 0,2938 0,1286 -0,0649 -0,2580 -0,4422 -0,6379 -0,8536 -1,0696 -1,2538 -1,3628 -1,3452 -1,1812 -0,8994 -0,5434 -0,1540 0,2144 0,5085 0,7108 0,8398 0,9368 1,0559 1,2297 1,4269 1,5597 1,5407 1,3314 0,9582 0,4982 0,0528 -0,2756 -0,4247 -0,4099 -0,3065 -0,1940 -0,1160 -0,0873 -0,1114 -0,1793 -0,2723 -0,3807 -0,5107 -0,6812 -0,9134 -1,1962 -1,4573 -1,5992 -1,5771 -1,4364 -1,2684 -1,1351 -1,0412 -0,9582 -0,8535 -0,7062 -0,5158 -0,3092 -0,1359 -0,0359 -0,0107 -0,0400 -0,1277 -0,3170 -0,6562 -1,1541 -1,7760 -2,4549 -3,0716 -3,4482 -3,4265 -2,9774 -2,2244 -1,3583 -0,5368 0,1512 0,6618 0,9633 1,0339 0,8864 0,5756 0,1761 -0,2367 -0,5839 -0,7879 -0,8109 -0,6803 -0,4715 -0,2767 -0,1863 -0,2809 -0,6174 -1,1890 -1,8964 -2,5729 -3,0412 -3,1652 -2,8855 -2,2558 -1,4514 -0,6879 -0,1104 0,2288 0,3323 0,2443 0,0449 -0,1890 -0,4272 -0,6809 -0,9572 -1,2310 -1,4493 -1,5516 -1,5003 -1,3180 -1,1034 -0,9943 -1,0903 -1,3908 -1,8018 -2,2045 -2,5322 -2,7863 -2,9834 -3,1106 -3,1421 -3,0715 -2,9121 -2,6811 -2,3950 -2,0777 -1,7638 -1,5069 -1,3812 -1,4420 -1,6736 -1,9766 -2,2114 -2,2824 -2,1938 -2,0232 -1,8396 -1,6494 -1,4157 -1,1092 -0,7335 -0,3266 0,0582 0,3823 0,6259 0,7540 0,7110 0,4676 0,0497 -0,4861 -1,0781 -1,6614 -2,1715 -2,5628 -2,8326 -3,0201 -3,1708 -3,3126 -3,4607 -3,6159 -3,7482 -3,7991 -3,7165 -3,4957 -3,1866 -2,8566 -2,5474 -2,2692 -2,0238 -1,8107 -1,6203 -1,4511 -1,3348 -1,3232 -1,4450 -1,6858 -2,0054 -2,3623 -2,7199 -3,0382 -3,2757 -3,4083 -3,4354 -3,3640 -3,1958 -2,9369 -2,6203 -2,3053 -2,0482 -1,8811 -1,8207 -1,8926 -2,1293 -2,5273 -3,0176 -3,5026 -3,9039 -4,1637 -4,2493 -4,1982 -4,1310 -4,1704 -4,3483 -4,6166 -4,9228 -5,2378 -5,5273 -5,7421 -5,8369 -5,7825 -5,5705 -5,2298 -4,8386 -4,5094 -4,3420 -4,3723 -4,5586 -4,8109 -5,0287 -5,1262 -5,0615 -4,8587 -4,5773 -4,2630 -3,9535 -3,7075 -3,5849 -3,6119 -3,7712 -4,0145 -4,2841 -4,5338 -4,7284 -4,8254 -4,7778 -4,5619 -4,1885 -3,6841 -3,0732 -2,3993 -1,7625 -1,2976 -1,1042 -1,1951 -1,4868 -1,8355 -2,1121 -2,2632 -2,3202 -2,3609 -2,4552 -2,6341 -2,8929 -3,2082 -3,5456 -3,8459 -4,0241 -4,0189 -3,8370 -3,5433 -3,2230 -2,9503 -2,7646 -2,6624 -2,6211 -2,6317 -2,7046 -2,8484 -3,0622 -3,3546 -3,7389 -4,1907 -4,6308 -4,9618 -5,1088 -5,0345 -4,7449 -4,2939 -3,7574 -3,1916 -2,6483 -2,2267 -2,0585 -2,2131 -2,6317 -3,1564 -3,6256 -3,9355 -4,0343 -3,9138 -3,6195 -3,2434 -2,8988 -2,6871 -2,6753 -2,9006 -3,3608 -3,9780 -4,6150 -5,1615 -5,5874 -5,9060 -6,1036 -6,1217 -5,9121
