Fp1   -1,9871 -2,1220 -2,2880 -2,4907 -2,7140 -2,9367 -3,1519 -3,3575 -3,5327 -3,6380 -3,6440 -3,5457 -3,3465 -3,0423 -2,6331 -2,1447 -1,6348 -1,1678 -0,7793 -0,4606 -0,1712 0,1399 0,5119 0,9580 1,4638 1,9921 2,4913 2,9120 3,2229 3,4172 3,5038 3,4905 3,3833 3,1971 2,9573 2,6960 2,4504 2,2511 2,0986 1,9612 1,7989 1,5897 1,3371 1,0592 0,7756 0,4940 0,1999 -0,1347 -0,5163 -0,9130 -1,2851 -1,6218 -1,9453 -2,2902 -2,6806 -3,1145 -3,5638 -3,9902 -4,3620 -4,6587 -4,8659 -4,9681 -4,9505 -4,8100 -4,5621 -4,2345 -3,8555 -3,4568 -3,0800 -2,7641 -2,5261 -2,3593 -2,2380 -2,1182 -1,9526 -1,7182 -1,4204 -1,0771 -0,7079 -0,3364 0,0066 0,2940 0,5221 0,7158 0,9085 1,1160 1,3353 1,5638 1,8042 2,0465 2,2614 2,4204 2,5136 2,5400 2,4921 2,3583 2,1348 1,8244 1,4280 0,9458 0,3915 -0,1955 -0,7565 -1,2311 -1,5765 -1,7880 -1,9124 -2,0298 -2,2062 -2,4570 -2,7511 -3,0459 -3,3185 -3,5694 -3,7978 -3,9801 -4,0761 -4,0580 -3,9275 -3,6990 -3,3785 -2,9632 -2,4504 -1,8355 -1,1177 -0,3125 0,5505 1,4474 2,3730 3,3363 4,3413 5,3710 6,3849 7,3347 8,1848 8,9247 9,5610 10,0948 10,5063 10,7651 10,8525 10,7713 10,5391 10,1796 9,7118 9,1426 8,4764 7,7306 6,9403 6,1469 5,3808 4,6542 3,9741 3,3574 2,8224 2,3639 1,9414 1,4976 0,9955 0,4429 -0,1194 -0,6552 -1,1547 -1,6273 -2,0908 -2,5639 -3,0518 -3,5370 -3,9948 -4,4177 -4,8191 -5,2143 -5,5997 -5,9493 -6,2267 -6,3998 -6,4536 -6,4010 -6,2770 -6,1119 -5,9062 -5,6386 -5,2957 -4,8915 -4,4614 -4,0463 -3,6835 -3,4040 -3,2293 -3,1625 -3,1779 -3,2268 -3,2628 -3,2681 -3,2597 -3,2738 -3,3413 -3,4701 -3,6431 -3,8312 -4,0157 -4,2099 -4,4543 -4,7835 -5,2015 -5,6832 -6,1902 -6,6893 -7,1565 -7,5694 -7,9083 -8,1662 -8,3543 -8,4953 -8,6055 -8,6799 -8,7018 -8,6700 -8,6090 -8,5531 -8,5291 -8,5489 -8,5990 -8,6388 -8,6204 -8,5193 -8,3549 -8,1861 -8,0790 -8,0669 -8,1376 -8,2518 -8,3665 -8,4538 -8,5159 -8,5786 -8,6647 -8,7725 -8,8782 -8,9578 -9,0058 -9,0357 -9,0652 -9,1010 -9,1374 -9,1702 -9,2111 -9,2843 -9,4000 -9,5322 -9,6312 -9,6611 -9,6180 -9,5204 -9,3970 -9,2791 -9,1830 -9,0907 -8,9602 -8,7709 -8,5581 -8,3907 -8,3134 -8,3125 -8,3361 -8,3355 -8,2887 -8,1974 -8,0742 -7,9362 -7,8044 -7,7013 -7,6384 -7,6076 -7,5903 -7,5757 -7,5648 -7,5651 -7,5923 -7,6681 -7,8037 -7,9845 -8,1791 -8,3618 -8,5208 -8,6497 -8,7458 -8,8196 -8,8963 -9,0013 -9,1407 -9,2912 -9,4161 -9,4934 -9,5301 -9,5529 -9,5877 -9,6440 -9,7100 -9,7665 -9,8137 -9,8768 -9,9858 -10,1589 -10,3995 -10,6885 -10,9841 -11,2365 -11,4048 -11,4659 -11,4191 -11,2855 -11,0956 -10,8781 -10,6629 -10,4867 -10,3878 -10,3908 -10,4857 -10,6192 -10,7131 -10,7030 -10,5659 -10,3172 -9,9913 -9,6266 -9,2561 -8,8994 -8,5642 -8,2567 -7,9916 -7,7966 -7,6975 -7,6960 -7,7657 -7,8691 -7,9745 -8,0534 -8,0758 -8,0236 -7,9070 -7,7571 -7,6036 -7,4509 -7,2688 -7,0164 -6,6853 -6,3163 -5,9742 -5,7107 -5,5517 -5,5031 -5,5554 -5,6878 -5,8846 -6,1458 -6,4765 -6,8681 -7,2898 -7,6819 -7,9634 -8,0671 -7,9764 -7,7331 -7,4119 -7,0931 -6,8509 -6,7482 -6,8212 -7,0646 -7,4274 -7,8199 -8,1382 -8,3098 -8,3245 -8,2218 -8,0553 -7,8686 -7,6902 -7,5411 -7,4477 -7,4337 -7,4961 -7,5949 -7,6756 -7,7072 -7,7050 -7,7174 -7,7875 -7,9200 -8,0859 -8,2565 -8,4274 -8,6091 -8,8046 -9,0001 -9,1741 -9,3125 -9,4121 -9,4666 -9,4553 -9,3558 -9,1716 -8,9353 -8,6861 -8,4541 -8,2628 -8,1326 -8,0735 -8,0758 -8,1187 -8,1834 -8,2482 -8,2836 -8,2688 -8,2061 -8,1206 -8,0504 -8,0257 -8,0505 -8,1085 -8,1859 -8,2781 -8,3810 -8,4865 -8,5851 -8,6667 -8,7186 -8,7273 -8,6822 -8,5798 -8,4292 -8,2525 -8,0774 -7,9253 -7,7937 -7,6514 -7,4596 -7,2000 -6,8864 -6,5590 -6,2660 -6,0427 -5,9018 -5,8337 -5,8095 -5,7896 -5,7483 -5,6909 -5,6425 -5,6265 -5,6544 -5,7240 -5,8222 -5,9327 -6,0409 -6,1352 -6,2088 -6,2575 -6,2786 -6,2770 -6,2634 -6,2443 -6,2262 -6,2212 -6,2311 -6,2394 -6,2325 -6,2139 -6,1906 -6,1595 -6,1149 -6,0622 -6,0153 -5,9868 -5,9835 -6,0115 -6,0830 -6,2157 -6,4222 -6,6925 -6,9888 -7,2687 -7,5149 -7,7413 -7,9741 -8,2297 -8,5030 -8,7757 -9,0401 -9,3100 -9,6002 -9,8990 -10,1624 -10,3388 -10,4041 -10,3756 -10,2983 -10,2234 -10,1922 -10,2210 -10,2893 -10,3456 -10,3273 -10,1785 -9,8612 -9,3678 -8,7315 -8,0174 -7,2960 -6,6168 -5,9964 -5,4247 -4,8876 -4,3879 -3,9428 -3,5647 -3,2491 -2,9843 -2,7682 -2,6215 -2,5764 -2,6459 -2,8054 -3,0062 -3,2044 -3,3808 -3,5495 -3,7520 -4,0339 -4,4129 -4,8653 -5,3438 -5,8094 -6,2449 -6,6418 -6,9802 -7,2297 -7,3765 -7,4422 -7,4712 -7,5087 -7,5886 -7,7279 -7,9274 -8,1777 -8,4680 -8,7859 -9,1044 -9,3746 -9,5425 -9,5709 -9,4454 -9,1761 -8,7983 -8,3582 -7,8906 -7,4091 -6,9201 -6,4413 -6,0048 -5,6408 -5,3600 -5,1592 -5,0342 -4,9690 -4,9230 -4,8523 -4,7438 -4,6194 -4,5096 -4,4367 -4,4240 -4,5032 -4,6969 -5,0005 -5,3848 -5,8125 -6,2467 -6,6551 -7,0201 -7,3452 -7,6428 -7,9178 -8,1694 -8,3998 -8,6103 -8,7941 -8,9442 -9,0663 -9,1781 -9,2925 -9,3995 -9,4673 -9,4653 -9,3864 -9,2466 -9,0653 -8,8482 -8,5848
Fz    -3,9672 -4,0278 -4,1204 -4,2533 -4,4182 -4,5969 -4,7702 -4,9180 -5,0114 -5,0159 -4,9052 -4,6708 -4,3188 -3,8596 -3,3074 -2,6849 -2,0234 -1,3530 -0,6891 -0,0316 0,6233 1,2747 1,9153 2,5331 3,1161 3,6497 4,1096 4,4639 4,6852 4,7616 4,6989 4,5171 4,2475 3,9273 3,5930 3,2775 3,0098 2,8034 2,6435 2,4926 2,3122 2,0794 1,7882 1,4427 1,0517 0,6205 0,1439 -0,3847 -0,9491 -1,5046 -2,0103 -2,4599 -2,8803 -3,3086 -3,7691 -4,2604 -4,7588 -5,2304 -5,6423 -5,9686 -6,1954 -6,3192 -6,3422 -6,2737 -6,1325 -5,9363 -5,6901 -5,3949 -5,0689 -4,7489 -4,4710 -4,2557 -4,1028 -3,9902 -3,8855 -3,7648 -3,6229 -3,4673 -3,3075 -3,1500 -2,9973 -2,8445 -2,6770 -2,4789 -2,2457 -1,9900 -1,7297 -1,4677 -1,1905 -0,8898 -0,5793 -0,2893 -0,0535 0,0941 0,1185 -0,0115 -0,3116 -0,7752 -1,3766 -2,0795 -2,8405 -3,6103 -4,3420 -5,0008 -5,5684 -6,0480 -6,4691 -6,8831 -7,3378 -7,8496 -8,3938 -8,9221 -9,3923 -9,7820 -10,0794 -10,2665 -10,3144 -10,1946 -9,8933 -9,4117 -8,7545 -7,9258 -6,9336 -5,7948 -4,5362 -3,1970 -1,8227 -0,4528 0,8902 2,1971 3,4615 4,6741 5,8221 6,8922 7,8737 8,7617 9,5542 10,2383 10,7844 11,1619 11,3578 11,3766 11,2290 10,9244 10,4696 9,8727 9,1523 8,3416 7,4818 6,6114 5,7572 4,9333 4,1533 3,4388 2,8079 2,2554 1,7462 1,2262 0,6489 0,0032 -0,6859 -1,3832 -2,0639 -2,7107 -3,3064 -3,8322 -4,2709 -4,6140 -4,8713 -5,0712 -5,2482 -5,4272 -5,6140 -5,7946 -5,9446 -6,0396 -6,0641 -6,0193 -5,9206 -5,7819 -5,5992 -5,3565 -5,0462 -4,6793 -4,2764 -3,8577 -3,4458 -3,0722 -2,7751 -2,5868 -2,5184 -2,5536 -2,6597 -2,8056 -2,9733 -3,1616 -3,3837 -3,6543 -3,9754 -4,3321 -4,7048 -5,0878 -5,4931 -5,9332 -6,4067 -6,8963 -7,3780 -7,8338 -8,2546 -8,6323 -8,9554 -9,2152 -9,4115 -9,5499 -9,6329 -9,6560 -9,6161 -9,5279 -9,4238 -9,3359 -9,2799 -9,2519 -9,2308 -9,1858 -9,0898 -8,9349 -8,7422 -8,5592 -8,4389 -8,4110 -8,4687 -8,5821 -8,7184 -8,8584 -9,0010 -9,1514 -9,3039 -9,4389 -9,5349 -9,5809 -9,5846 -9,5684 -9,5538 -9,5487 -9,5505 -9,5581 -9,5826 -9,6468 -9,7656 -9,9256 -10,0920 -10,2328 -10,3286 -10,3662 -10,3357 -10,2328 -10,0581 -9,8135 -9,5035 -9,1482 -8,7939 -8,5013 -8,3099 -8,2114 -8,1600 -8,1030 -8,0057 -7,8580 -7,6705 -7,4667 -7,2737 -7,1146 -6,9976 -6,9142 -6,8503 -6,8007 -6,7728 -6,7810 -6,8393 -6,9506 -7,0985 -7,2556 -7,4015 -7,5349 -7,6666 -7,8024 -7,9377 -8,0675 -8,1988 -8,3489 -8,5289 -8,7286 -8,9165 -9,0579 -9,1344 -9,1480 -9,1103 -9,0351 -8,9354 -8,8235 -8,7200 -8,6625 -8,6963 -8,8553 -9,1430 -9,5208 -9,9178 -10,2571 -10,4792 -10,5520 -10,4741 -10,2729 -9,9945 -9,6932 -9,4210 -9,2143 -9,0862 -9,0291 -9,0192 -9,0172 -8,9754 -8,8593 -8,6681 -8,4361 -8,2164 -8,0580 -7,9854 -7,9908 -8,0464 -8,1254 -8,2186 -8,3367 -8,4926 -8,6787 -8,8623 -9,0054 -9,0860 -9,1009 -9,0550 -8,9607 -8,8416 -8,7257 -8,6308 -8,5514 -8,4551 -8,3017 -8,0754 -7,7986 -7,5155 -7,2645 -7,0642 -6,9179 -6,8194 -6,7570 -6,7249 -6,7318 -6,7927 -6,9112 -7,0662 -7,2078 -7,2717 -7,2103 -7,0157 -6,7188 -6,3729 -6,0340 -5,7460 -5,5347 -5,4054 -5,3438 -5,3237 -5,3114 -5,2707 -5,1805 -5,0515 -4,9191 -4,8229 -4,7929 -4,8424 -4,9696 -5,1692 -5,4357 -5,7532 -6,0873 -6,3964 -6,6578 -6,8853 -7,1207 -7,4058 -7,7598 -8,1766 -8,6357 -9,1121 -9,5781 -10,0065 -10,3767 -10,6806 -10,9230 -11,1143 -11,2564 -11,3356 -11,3390 -11,2822 -11,2086 -11,1615 -11,1615 -11,2091 -11,2941 -11,3986 -11,4950 -11,5558 -11,5632 -11,5065 -11,3767 -11,1722 -10,9049 -10,6009 -10,2962 -10,0244 -9,8019 -9,6283 -9,4995 -9,4124 -9,3628 -9,3493 -9,3744 -9,4359 -9,5192 -9,6007 -9,6587 -9,6802 -9,6622 -9,6069 -9,5142 -9,3782 -9,1838 -8,9112 -8,5486 -8,1027 -7,5989 -7,0790 -6,5956 -6,2016 -5,9377 -5,8240 -5,8518 -5,9836 -6,1739 -6,3885 -6,6051 -6,8052 -6,9725 -7,0932 -7,1586 -7,1697 -7,1358 -7,0712 -6,9910 -6,9082 -6,8338 -6,7829 -6,7694 -6,7900 -6,8250 -6,8532 -6,8565 -6,8228 -6,7584 -6,6900 -6,6468 -6,6466 -6,6983 -6,8095 -6,9850 -7,2180 -7,4874 -7,7683 -8,0481 -8,3357 -8,6514 -9,0065 -9,3945 -9,8040 -10,2356 -10,6996 -11,2073 -11,7640 -12,3624 -12,9801 -13,5894 -14,1686 -14,7008 -15,1645 -15,5324 -15,7800 -15,8978 -15,9000 -15,8209 -15,7038 -15,5899 -15,5004 -15,4207 -15,3061 -15,1041 -14,7670 -14,2520 -13,5349 -12,6303 -11,5933 -10,4985 -9,4132 -8,3825 -7,4289 -6,5599 -5,7761 -5,0758 -4,4590 -3,9311 -3,5034 -3,1937 -3,0287 -3,0346 -3,2156 -3,5404 -3,9499 -4,3800 -4,7851 -5,1536 -5,5071 -5,8814 -6,3016 -6,7652 -7,2443 -7,7025 -8,1140 -8,4684 -8,7583 -8,9736 -9,1146 -9,2009 -9,2622 -9,3258 -9,4140 -9,5425 -9,7149 -9,9193 -10,1369 -10,3528 -10,5568 -10,7397 -10,8928 -11,0012 -11,0352 -10,9601 -10,7607 -10,4520 -10,0683 -9,6473 -9,2231 -8,8247 -8,4723 -8,1748 -7,9333 -7,7522 -7,6412 -7,5973 -7,5893 -7,5760 -7,5397 -7,4964 -7,4775 -7,5113 -7,6226 -7,8308 -8,1371 -8,5155 -8,9214 -9,3110 -9,6562 -9,9484 -10,1967 -10,4228 -10,6487 -10,8857 -11,1369 -11,4017 -11,6705 -11,9240 -12,1457 -12,3347 -12,5022 -12,6567 -12,7886 -12,8682 -12,8580 -12,7310 -12,4815 -12,1237 -11,6797 -11,1699
F3    -1,9351 -2,1001 -2,3055 -2,5671 -2,8759 -3,2069 -3,5322 -3,8224 -4,0433 -4,1610 -4,1572 -4,0344 -3,8064 -3,4865 -3,0863 -2,6227 -2,1248 -1,6273 -1,1503 -0,6892 -0,2230 0,2682 0,7903 1,3317 1,8692 2,3746 2,8168 3,1658 3,4011 3,5201 3,5348 3,4635 3,3294 3,1602 2,9817 2,8156 2,6814 2,5877 2,5179 2,4341 2,3000 2,1006 1,8421 1,5392 1,2051 0,8422 0,4344 -0,0410 -0,5780 -1,1307 -1,6466 -2,1062 -2,5300 -2,9585 -3,4228 -3,9214 -4,4227 -4,8859 -5,2797 -5,5860 -5,7956 -5,9028 -5,9068 -5,8171 -5,6516 -5,4251 -5,1449 -4,8264 -4,5091 -4,2441 -4,0644 -3,9727 -3,9430 -3,9231 -3,8517 -3,6893 -3,4337 -3,1117 -2,7622 -2,4263 -2,1383 -1,9116 -1,7282 -1,5511 -1,3521 -1,1259 -0,8776 -0,6029 -0,2919 0,0500 0,3944 0,7022 0,9370 1,0700 1,0813 0,9656 0,7347 0,4079 -0,0004 -0,4838 -1,0357 -1,6390 -2,2652 -2,8797 -3,4517 -3,9673 -4,4430 -4,9223 -5,4491 -6,0403 -6,6797 -7,3336 -7,9698 -8,5618 -9,0795 -9,4799 -9,7133 -9,7425 -9,5567 -9,1665 -8,5903 -7,8487 -6,9641 -5,9611 -4,8697 -3,7282 -2,5729 -1,4225 -0,2748 0,8792 2,0365 3,1752 4,2638 5,2782 6,2154 7,0909 7,9175 8,6806 9,3350 9,8282 10,1249 10,2122 10,0920 9,7771 9,2882 8,6500 7,8949 7,0687 6,2269 5,4218 4,6873 4,0340 3,4641 2,9836 2,5926 2,2641 1,9446 1,5791 1,1389 0,6321 0,0884 -0,4652 -1,0150 -1,5540 -2,0749 -2,5708 -3,0298 -3,4330 -3,7668 -4,0359 -4,2645 -4,4853 -4,7214 -4,9714 -5,2090 -5,3927 -5,4840 -5,4683 -5,3601 -5,1823 -4,9436 -4,6400 -4,2748 -3,8694 -3,4541 -3,0559 -2,6994 -2,4129 -2,2258 -2,1538 -2,1846 -2,2798 -2,3968 -2,5137 -2,6377 -2,7951 -3,0128 -3,3008 -3,6467 -4,0228 -4,4036 -4,7876 -5,1987 -5,6623 -6,1811 -6,7328 -7,2873 -7,8255 -8,3413 -8,8259 -9,2574 -9,6110 -9,8748 -10,0535 -10,1575 -10,1915 -10,1593 -10,0772 -9,9771 -9,8932 -9,8489 -9,8481 -9,8710 -9,8761 -9,8212 -9,6908 -9,5115 -9,3421 -9,2403 -9,2243 -9,2643 -9,3072 -9,3099 -9,2605 -9,1801 -9,1036 -9,0538 -9,0323 -9,0284 -9,0317 -9,0370 -9,0412 -9,0399 -9,0295 -9,0162 -9,0180 -9,0569 -9,1482 -9,2877 -9,4433 -9,5682 -9,6299 -9,6223 -9,5536 -9,4357 -9,2817 -9,0978 -8,8716 -8,5798 -8,2214 -7,8431 -7,5191 -7,2992 -7,1774 -7,1071 -7,0390 -6,9465 -6,8258 -6,6853 -6,5375 -6,4003 -6,2957 -6,2361 -6,2099 -6,1911 -6,1642 -6,1337 -6,1161 -6,1309 -6,1916 -6,2962 -6,4267 -6,5646 -6,7046 -6,8517 -7,0069 -7,1631 -7,3151 -7,4646 -7,6151 -7,7580 -7,8676 -7,9120 -7,8766 -7,7796 -7,6612 -7,5595 -7,4952 -7,4683 -7,4640 -7,4734 -7,5114 -7,6098 -7,7982 -8,0863 -8,4493 -8,8276 -9,1476 -9,3478 -9,3978 -9,3061 -9,1103 -8,8575 -8,5935 -8,3650 -8,2137 -8,1606 -8,1990 -8,2966 -8,3988 -8,4407 -8,3730 -8,1839 -7,9023 -7,5811 -7,2761 -7,0245 -6,8306 -6,6711 -6,5179 -6,3645 -6,2353 -6,1708 -6,1959 -6,3005 -6,4483 -6,6001 -6,7233 -6,7885 -6,7770 -6,6936 -6,5625 -6,4076 -6,2304 -6,0029 -5,6946 -5,3077 -4,8864 -4,4925 -4,1785 -3,9781 -3,9055 -3,9486 -4,0711 -4,2380 -4,4376 -4,6733 -4,9437 -5,2295 -5,4849 -5,6437 -5,6532 -5,5091 -5,2599 -4,9817 -4,7481 -4,6133 -4,6052 -4,7225 -4,9373 -5,2023 -5,4524 -5,6169 -5,6488 -5,5502 -5,3629 -5,1385 -4,9195 -4,7356 -4,6083 -4,5561 -4,5889 -4,6956 -4,8436 -4,9977 -5,1470 -5,3169 -5,5492 -5,8663 -6,2507 -6,6568 -7,0440 -7,3948 -7,7078 -7,9853 -8,2285 -8,4369 -8,6082 -8,7381 -8,8152 -8,8149 -8,7135 -8,5179 -8,2740 -8,0423 -7,8670 -7,7657 -7,7385 -7,7776 -7,8666 -7,9813 -8,0941 -8,1729 -8,1870 -8,1215 -7,9852 -7,8051 -7,6167 -7,4489 -7,3134 -7,2142 -7,1628 -7,1747 -7,2547 -7,3957 -7,5818 -7,7854 -7,9680 -8,0896 -8,1235 -8,0656 -7,9367 -7,7714 -7,6012 -7,4394 -7,2754 -7,0832 -6,8417 -6,5508 -6,2306 -5,9139 -5,6360 -5,4242 -5,2922 -5,2385 -5,2437 -5,2779 -5,3217 -5,3754 -5,4432 -5,5162 -5,5787 -5,6234 -5,6553 -5,6819 -5,7022 -5,7066 -5,6868 -5,6455 -5,5970 -5,5609 -5,5452 -5,5377 -5,5206 -5,4896 -5,4495 -5,4048 -5,3671 -5,3561 -5,3812 -5,4285 -5,4745 -5,5124 -5,5592 -5,6401 -5,7670 -5,9345 -6,1342 -6,3705 -6,6588 -7,0062 -7,3957 -7,7971 -8,1930 -8,5914 -9,0126 -9,4695 -9,9546 -10,4457 -10,9254 -11,3891 -11,8362 -12,2598 -12,6413 -12,9545 -13,1792 -13,3119 -13,3683 -13,3779 -13,3698 -13,3515 -13,2976 -13,1640 -12,9116 -12,5138 -11,9516 -11,2222 -10,3563 -9,4199 -8,4913 -7,6306 -6,8623 -6,1813 -5,5733 -5,0316 -4,5567 -4,1474 -3,7975 -3,5028 -3,2712 -3,1259 -3,0914 -3,1699 -3,3320 -3,5313 -3,7275 -3,9062 -4,0864 -4,3103 -4,6178 -5,0187 -5,4818 -5,9514 -6,3797 -6,7459 -7,0511 -7,2960 -7,4714 -7,5727 -7,6154 -7,6298 -7,6486 -7,7020 -7,8128 -7,9882 -8,2172 -8,4799 -8,7580 -9,0352 -9,2906 -9,4998 -9,6365 -9,6735 -9,5925 -9,3963 -9,1120 -8,7776 -8,4270 -8,0842 -7,7678 -7,4966 -7,2864 -7,1470 -7,0838 -7,0955 -7,1556 -7,2078 -7,1973 -7,1156 -7,0061 -6,9271 -6,9199 -7,0123 -7,2260 -7,5590 -7,9717 -8,4015 -8,7910 -9,1063 -9,3397 -9,5024 -9,6174 -9,7106 -9,8048 -9,9183 -10,0652 -10,2475 -10,4511 -10,6565 -10,8532 -11,0403 -11,2146 -11,3591 -11,4424 -11,4334 -11,3183 -11,1044 -10,8142 -10,4735 -10,1019
