Fp1   -1,0156 -0,7659 -0,6375 -0,7325 -1,0114 -1,2314 -1,1092 -0,5601 0,2442 1,0104 1,4825 1,5335 1,1919 0,6013 -0,0611 -0,6382 -1,0171 -1,1899 -1,2851 -1,4653 -1,7843 -2,1465 -2,3663 -2,2503 -1,6832 -0,7072 0,4524 1,4910 2,2191 2,6409 2,8440 2,8586 2,6304 2,1173 1,4018 0,6674 0,0557 -0,3989 -0,6961 -0,8249 -0,8027 -0,6687 -0,4443 -0,1470 0,1921 0,5168 0,7187 0,6706 0,3273 -0,2269 -0,8422 -1,3820 -1,7294 -1,7709 -1,4202 -0,6705 0,3761 1,5434 2,6662 3,6352 4,3698 4,8319 5,0886 5,2836 5,5106 5,7188 5,7440 5,4494 4,8506 4,1154 3,4466 2,9621 2,6581 2,4689 2,3775 2,4446 2,7161 3,1433 3,5825 3,8440 3,7684 3,2897 2,4568 1,4261 0,4383 -0,2454 -0,4495 -0,1693 0,4084 0,9435 1,0812 0,6912 0,0283 -0,4015 -0,2001 0,6601 1,8546 2,9255 3,5361 3,5931 3,1858 2,4709 1,6349 0,8970 0,4783 0,5565 1,2401 2,5391 4,2902 6,0928 7,4027 7,7851 7,1261 5,6487 3,7635 1,8855 0,3534 -0,5547 -0,6397 0,1124 1,4388 2,8762 4,0063 4,6412 4,7501 4,2748 3,1461 1,4751 -0,3647 -1,8652 -2,6182 -2,5261 -1,8448 -1,0079 -0,3695 -0,0451 0,0747 0,1957 0,5036 1,1038 1,9605 2,8507 3,4377 3,4651 2,8920 1,8708 0,6805 -0,3411 -0,9448 -1,1123 -1,0193 -0,8559 -0,6585 -0,2810 0,4130 1,2849 1,9191 1,9500 1,3692 0,5281 -0,0801 -0,0557 0,7231 2,0068 3,3062 4,1912 4,4541 4,0868 3,2685 2,3559 1,7506 1,7050 2,2252 3,1157 4,0930 4,8754 5,2369 5,0819 4,5442 3,9578 3,6254 3,5955 3,6701 3,5710 3,0907 2,2035 1,1267 0,2595 -0,0142 0,4301 1,3584 2,3360 3,0066 3,2520 3,1537 2,8708 2,5429 2,2453 2,0167 1,8959 1,9003 1,9972 2,0912 2,0169 1,5991 0,7855 -0,2679 -1,2490 -1,8360 -1,8420 -1,2964 -0,4110 0,5483 1,3685 1,9063 2,0767 1,8763 1,4039 0,8209 0,2814 -0,1024 -0,2503 -0,1240 0,2472 0,8148 1,5987 2,6326 3,7947 4,7734 5,2373 5,0239 4,1890 2,9455 1,5625 0,2646 -0,8269 -1,6871 -2,3423 -2,8159 -3,0552 -2,8931 -2,1565 -0,8503 0,8091 2,5373 4,0934 5,2725 5,8867 5,8019 4,9984 3,5999 1,8182 -0,1336 -2,0546 -3,7246 -4,9196 -5,4759 -5,3349 -4,5365 -3,2110 -1,5762 0,1261 1,7221 3,1332 4,3172 5,1732 5,5308 5,2742 4,4713 3,3625 2,2310 1,2798 0,5816 0,0753 -0,3989 -1,0002 -1,7560 -2,5017 -2,9672 -2,9413 -2,3691 -1,3589 -0,1514 0,9561 1,7138 2,0020 1,8814 1,5668 1,2795 1,0837 0,8820 0,5640 0,1127 -0,4091 -0,8912 -1,2021 -1,2489 -1,0021 -0,4318 0,5375 1,9486 3,6825 5,4332 6,8282 7,5975 7,6607 7,1139 6,1681 5,0341 3,8111 2,5151 1,2247 0,1524 -0,4684 -0,5495 -0,1614 0,5751 1,5455 2,6163 3,6196 4,4010 4,8955 5,1404 5,2171 5,1992 5,1332 5,0295 4,8696 4,6457 4,3909 4,1747 4,0712 4,1280 4,3623 4,7615 5,2606 5,7507 6,1683 6,5514 6,9401 7,2509 7,3029 6,9661 6,2702 5,3757 4,4739 3,7193 3,1997 2,9285 2,8825 3,0419 3,3747 3,8219 4,3275 4,8378 5,2601 5,4795 5,4415 5,2076 4,9221 4,7086 4,5931 4,5533 4,6206 4,8916 5,4380 6,2258 7,1231 7,9573 8,5458 8,7086 8,3082 7,3391 6,0072 4,6686 3,6539 3,1452 3,1372 3,4490 3,8342 4,1252 4,2497 4,1391 3,7032 2,9371 2,0004 1,1249 0,4882 0,1987 0,2983 0,7265 1,3378 1,9798 2,5474 3,0036 3,3952 3,8283 4,3748 4,9829 5,4743 5,6225 5,2545 4,3290 2,9738 1,4757 0,1969 -0,5631 -0,6657 -0,1397 0,8486 2,0387 3,1656 4,0432 4,5782 4,7531 4,6316 4,3789 4,2141 4,2580 4,4140 4,4168 3,9978 3,0438 1,6668 0,1690 -1,0576 -1,6777 -1,5727 -0,8829 0,1108 1,1186 1,9224 2,4473 2,7793 3,0888 3,5195 4,0977 4,6938 5,0829 5,1189 4,8939 4,7185 4,9243 5,6381 6,6895 7,6958 8,2204 7,9633 6,9390 5,4780 4,0463 3,0769 2,8476 3,3553 4,3211 5,3994 6,3656 7,1078 7,5331 7,5388 7,0609 6,1601 5,0751 4,1400 3,5892 3,4291 3,4988 3,6106 3,6319 3,5268 3,3714 3,3103 3,4609 3,8077 4,1669 4,2863 4,0154 3,4239 2,7889 2,4184 2,4408 2,7773 3,2870 3,8724 4,4467 4,8578 4,9125 4,5005 3,6770 2,6168 1,5074 0,4977 -0,2742 -0,6395 -0,4214 0,4615 1,8859 3,5034 4,8361 5,4483 5,1012 3,8369 1,9820 0,0483 -1,4501 -2,1865 -2,1505 -1,6064 -0,8601 -0,0468 0,8433 1,7836 2,6338 3,2389 3,5767 3,7979 4,0996 4,5585 5,1063 5,6455 6,1577 6,6859 7,2376 7,7298 8,0330 8,0606 7,8033 7,2936 6,5777 5,7127 4,7660 3,8323 3,0586 2,6214 2,6606 3,2272 4,2607 5,5836 6,9238 7,9976 8,6238 8,7888 8,6447 8,4760 8,5856 9,0977 9,8478 10,4801 10,6832 10,3669 9,6245 8,5585 7,2079 5,6257 3,9482 2,3682 1,0772 0,2023 -0,2494 -0,3724 -0,2880 -0,1040 0,0982 0,2730 0,4196 0,6319 1,1189 2,0800 3,5101 5,1161 6,4278 7,0347 6,7862 5,8402 4,5606 3,3376 2,4400 1,9886 2,0045 2,4184 3,0698 3,7867 4,4780 5,0956 5,5171 5,5594 5,1190 4,2181 2,9386 1,4147 -0,1316 -1,4249 -2,2342 -2,4650 -2,1587 -1,4172 -0,3705 0,8235 2,0047 3,0240
Fz    0,4356 0,7085 0,8494 0,8476 0,7638 0,7043 0,7514 0,8958 1,0401 1,0786 0,9689 0,7405 0,4655 0,2244 0,0730 0,0212 0,0407 0,0840 0,1035 0,0626 -0,0631 -0,2780 -0,5525 -0,8285 -1,0433 -1,1454 -1,1010 -0,9034 -0,5855 -0,2250 0,0715 0,2052 0,1207 -0,1675 -0,5636 -0,9175 -1,0949 -1,0394 -0,7873 -0,4470 -0,1544 -0,0051 -0,0055 -0,0847 -0,1446 -0,1159 0,0062 0,1759 0,3407 0,4736 0,5810 0,6951 0,8552 1,0796 1,3507 1,6303 1,8809 2,0693 2,1780 2,2242 2,2497 2,2915 2,3652 2,4615 2,5531 2,6082 2,6055 2,5488 2,4641 2,3809 2,3215 2,3033 2,3321 2,3887 2,4418 2,4757 2,4961 2,5147 2,5315 2,5310 2,4884 2,3635 2,0977 1,6623 1,1168 0,5920 0,2138 0,0468 0,0721 0,1876 0,2472 0,1410 -0,1352 -0,4868 -0,8024 -1,0288 -1,1739 -1,2680 -1,3294 -1,3553 -1,3343 -1,2577 -1,1102 -0,8677 -0,5261 -0,1274 0,2600 0,5916 0,8745 1,1349 1,3631 1,5067 1,5203 1,4150 1,2574 1,1269 1,0826 1,1629 1,3893 1,7513 2,1812 2,5520 2,7324 2,6655 2,3896 1,9872 1,5352 1,0968 0,7157 0,4044 0,1515 -0,0678 -0,2909 -0,5495 -0,8315 -1,0642 -1,1486 -1,0206 -0,6812 -0,1784 0,4172 1,0141 1,5042 1,7981 1,8605 1,7119 1,4222 1,0994 0,8493 0,7212 0,6943 0,7125 0,7466 0,8289 1,0091 1,2779 1,5632 1,7976 1,9527 2,0204 2,0097 1,9725 1,9994 2,1668 2,4951 2,9525 3,4695 3,9541 4,3302 4,5763 4,7306 4,8614 5,0239 5,2379 5,4951 5,7692 6,0137 6,1718 6,2110 6,1442 6,0057 5,8172 5,5918 5,3570 5,1489 4,9999 4,9368 4,9805 5,1425 5,4118 5,7307 5,9957 6,1039 5,9989 5,6916 5,2659 4,8555 4,5796 4,4926 4,5772 4,7607 4,9444 5,0405 4,9981 4,8117 4,5111 4,1365 3,7165 3,2687 2,8145 2,3746 1,9700 1,6422 1,4548 1,4594 1,6586 2,0013 2,4072 2,7947 3,0974 3,2834 3,3798 3,4617 3,5906 3,7731 3,9875 4,2079 4,3893 4,4685 4,3964 4,1685 3,8250 3,4252 3,0259 2,6818 2,4412 2,3187 2,2759 2,2506 2,2160 2,2070 2,2789 2,4339 2,6004 2,6933 2,6812 2,5920 2,4777 2,3848 2,3425 2,3592 2,4176 2,4723 2,4763 2,4197 2,3296 2,2342 2,1400 2,0398 1,9185 1,7557 1,5402 1,2852 1,0334 0,8508 0,7978 0,8881 1,0782 1,2993 1,4838 1,5747 1,5480 1,4407 1,3253 1,2576 1,2614 1,3454 1,5070 1,7238 1,9508 2,1373 2,2506 2,2817 2,2311 2,1024 1,9167 1,7269 1,5999 1,5757 1,6438 1,7642 1,9067 2,0683 2,2548 2,4557 2,6419 2,7842 2,8785 2,9627 3,1048 3,3594 3,7276 4,1490 4,5334 4,8200 5,0130 5,1662 5,3427 5,5652 5,7877 5,9249 5,9141 5,7530 5,4836 5,1521 4,7909 4,4274 4,0871 3,7926 3,5724 3,4713 3,5364 3,7751 4,1326 4,5212 4,8619 5,1075 5,2609 5,3699 5,4877 5,6324 5,7764 5,8701 5,8864 5,8413 5,7741 5,7215 5,7079 5,7425 5,8052 5,8377 5,7670 5,5469 5,1820 4,7245 4,2540 3,8471 3,5602 3,4340 3,4855 3,6802 3,9312 4,1603 4,3592 4,5649 4,7864 4,9733 5,0476 4,9616 4,7371 4,4446 4,1460 3,8720 3,6403 3,4748 3,4144 3,5060 3,7782 4,2115 4,7325 5,2307 5,5826 5,6928 5,5448 5,2108 4,8109 4,4672 4,2595 4,1880 4,1925 4,2226 4,2655 4,3122 4,3389 4,3367 4,3328 4,3707 4,4800 4,6590 4,8652 5,0296 5,0962 5,0530 4,9273 4,7545 4,5607 4,3759 4,2480 4,2286 4,3410 4,5573 4,8075 5,0094 5,1064 5,0937 5,0099 4,9026 4,8144 4,7879 4,8447 4,9620 5,0972 5,2306 5,3710 5,5334 5,7206 5,9343 6,2019 6,5723 7,0687 7,6353 8,1300 8,3913 8,3261 7,9488 7,3691 6,7473 6,2257 5,8766 5,6977 5,6395 5,6417 5,6681 5,7154 5,7942 5,9177 6,0994 6,3338 6,5729 6,7474 6,8241 6,8319 6,8211 6,8093 6,7804 6,7312 6,6854 6,6787 6,7553 6,9454 7,2187 7,4919 7,6961 7,8161 7,8679 7,8679 7,8311 7,7683 7,6747 7,5269 7,2902 6,9440 6,5188 6,0974 5,7563 5,5151 5,3497 5,2295 5,1344 5,0614 5,0290 5,0735 5,2287 5,4886 5,7865 6,0310 6,1583 6,1470 6,0089 5,7779 5,4921 5,1777 4,8480 4,5136 4,1977 3,9409 3,7885 3,7713 3,8921 4,1302 4,4557 4,8322 5,2126 5,5486 5,8044 5,9599 6,0120 5,9698 5,8437 5,6517 5,4297 5,2245 5,0784 5,0209 5,0719 5,2448 5,5297 5,8778 6,2211 6,5166 6,7653 6,9860 7,1836 7,3540 7,5076 7,6732 7,8757 8,1115 8,3415 8,5129 8,5960 8,6008 8,5641 8,5302 8,5380 8,6104 8,7385 8,8721 8,9409 8,8868 8,6785 8,3278 7,9069 7,5298 7,3104 7,3270 7,5923 8,0395 8,5442 8,9858 9,3098 9,5322 9,6885 9,7997 9,8750 9,9037 9,8443 9,6510 9,3189 8,8928 8,4312 7,9739 7,5444 7,1691 6,8771 6,6832 6,5794 6,5311 6,4813 6,3731 6,1729 5,8707 5,4712 4,9892 4,4545 3,9286 3,5064 3,2746 3,2534 3,3877 3,5990 3,8386 4,0922 4,3485 4,5775 4,7407 4,8168 4,8095 4,7347 4,6138 4,4867 4,4187 4,4758 4,6852 5,0109 5,3612 5,6147 5,6559 5,4199 4,9382 4,3392 3,7865 3,3959 3,1921 3,1312 3,1568 3,2269 3,3141 3,4040 3,4842
F3    0,1301 0,1954 0,0417 -0,2543 -0,5349 -0,6594 -0,5835 -0,3711 -0,1490 -0,0324 -0,0652 -0,2072 -0,3562 -0,4010 -0,2864 -0,0334 0,2865 0,5817 0,7730 0,8283 0,7662 0,6255 0,4329 0,2016 -0,0410 -0,2325 -0,2931 -0,1724 0,1157 0,4952 0,8617 1,1042 1,1097 0,8039 0,2294 -0,4383 -0,9813 -1,2468 -1,2041 -0,9527 -0,6663 -0,4777 -0,3975 -0,3465 -0,2437 -0,0595 0,1875 0,4564 0,6830 0,7778 0,6914 0,4975 0,3623 0,4098 0,6360 0,9491 1,2618 1,5360 1,7743 2,0046 2,2525 2,4941 2,6550 2,6843 2,6205 2,5680 2,6020 2,6907 2,7124 2,5617 2,2467 1,8851 1,6178 1,5302 1,6313 1,8659 2,1345 2,3318 2,3954 2,3289 2,1854 2,0267 1,8786 1,7310 1,5855 1,4734 1,4198 1,4104 1,3881 1,2710 0,9877 0,5323 0,0008 -0,4555 -0,7288 -0,8068 -0,7459 -0,6248 -0,5214 -0,4945 -0,5608 -0,6872 -0,8025 -0,8357 -0,7654 -0,6296 -0,4800 -0,3247 -0,1168 0,1914 0,5812 0,9587 1,2158 1,3091 1,2858 1,2388 1,2394 1,3074 1,4204 1,5366 1,6184 1,6487 1,6269 1,5672 1,5053 1,4769 1,4745 1,4497 1,3557 1,1727 0,9044 0,5654 0,1701 -0,2644 -0,6970 -1,0492 -1,2312 -1,2013 -0,9934 -0,6706 -0,2699 0,1854 0,6433 1,0306 1,2861 1,3681 1,2657 1,0258 0,7569 0,5877 0,6064 0,8157 1,1459 1,5149 1,8630 2,1468 2,3440 2,4684 2,5566 2,6422 2,7452 2,8712 3,0253 3,2273 3,5010 3,8561 4,2811 4,7390 5,1722 5,5372 5,8360 6,0780 6,2241 6,2209 6,0825 5,8881 5,6959 5,4923 5,2269 4,8758 4,4707 4,0810 3,7784 3,6042 3,5506 3,5833 3,6888 3,8822 4,1780 4,5786 5,0611 5,5470 5,9056 6,0094 5,7929 5,2890 4,6306 3,9865 3,4729 3,1249 2,9256 2,8362 2,8121 2,8107 2,7900 2,7042 2,5118 2,1983 1,7987 1,3891 1,0390 0,7819 0,6330 0,6054 0,6931 0,8526 1,0236 1,1707 1,2960 1,4181 1,5664 1,7867 2,1066 2,4857 2,8287 3,0553 3,1386 3,0932 2,9564 2,7736 2,5798 2,3829 2,1635 1,9027 1,6110 1,3203 1,0497 0,7906 0,5331 0,3036 0,1558 0,1185 0,1610 0,2201 0,2623 0,3113 0,4105 0,5733 0,7747 0,9812 1,1843 1,3983 1,6277 1,8476 2,0153 2,0968 2,0904 2,0307 1,9688 1,9392 1,9379 1,9303 1,8826 1,7905 1,6811 1,5882 1,5252 1,4816 1,4409 1,3902 1,3181 1,2211 1,1126 1,0134 0,9400 0,9139 0,9610 1,0836 1,2283 1,3033 1,2570 1,1437 1,0921 1,2011 1,4719 1,8350 2,2117 2,5434 2,7983 2,9710 3,0616 3,0574 2,9545 2,7874 2,6185 2,4951 2,4173 2,3490 2,2612 2,1732 2,1508 2,2589 2,5169 2,9000 3,3739 3,9130 4,4835 5,0235 5,4546 5,7109 5,7587 5,6077 5,3113 4,9345 4,5114 4,0474 3,5591 3,0949 2,7275 2,5281 2,5375 2,7470 3,0961 3,4881 3,8348 4,0985 4,2909 4,4405 4,5621 4,6617 4,7657 4,9207 5,1475 5,4184 5,6883 5,9279 6,1155 6,2093 6,1577 5,9367 5,5574 5,0500 4,4628 3,8609 3,3239 2,9427 2,7855 2,8607 3,1285 3,5284 3,9843 4,4045 4,7030 4,8418 4,8614 4,8553 4,8953 4,9748 5,0240 4,9691 4,7786 4,4785 4,1387 3,8321 3,5897 3,3958 3,2329 3,1325 3,1725 3,4139 3,8393 4,3558 4,8467 5,2130 5,3885 5,3536 5,1470 4,8339 4,4419 3,9514 3,3664 2,7652 2,2648 1,9587 1,8914 2,0653 2,4492 2,9864 3,5988 4,1840 4,6394 4,9115 5,0044 4,9459 4,7715 4,5292 4,2634 3,9965 3,7321 3,4745 3,2506 3,1117 3,0893 3,1574 3,2608 3,3644 3,4569 3,5362 3,6100 3,6879 3,7612 3,8104 3,8304 3,8429 3,8894 4,0120 4,2456 4,6236 5,1698 5,8690 6,6334 7,3011 7,6834 7,6386 7,1339 6,2704 5,2486 4,2925 3,5805 3,2065 3,1681 3,3835 3,7374 4,1276 4,4848 4,7743 4,9934 5,1547 5,2636 5,3109 5,2848 5,1824 5,0120 4,7942 4,5741 4,4225 4,3971 4,4984 4,6868 4,9252 5,1813 5,4151 5,6016 5,7625 5,9518 6,2076 6,5271 6,8732 7,1829 7,3752 7,3740 7,1462 6,7293 6,2146 5,6964 5,2335 4,8435 4,5180 4,2371 3,9785 3,7328 3,5305 3,4412 3,5271 3,7978 4,2141 4,7129 5,2131 5,6112 5,7954 5,6834 5,2644 4,6124 3,8676 3,2003 2,7494 2,5652 2,6127 2,8217 3,1213 3,4489 3,7578 4,0284 4,2669 4,4806 4,6503 4,7439 4,7518 4,6996 4,6384 4,6256 4,6891 4,7995 4,8894 4,9128 4,8859 4,8690 4,9101 5,0049 5,1149 5,2161 5,3190 5,4572 5,6782 6,0233 6,4878 7,0086 7,4961 7,8638 8,0449 8,0170 7,8267 7,5783 7,3770 7,2741 7,2682 7,3396 7,4593 7,5869 7,6912 7,7682 7,8339 7,9036 7,9763 8,0370 8,0690 8,0526 7,9690 7,8247 7,6717 7,5991 7,6840 7,9374 8,3042 8,7095 9,0842 9,3671 9,5222 9,5564 9,4947 9,3345 9,0400 8,5866 7,9861 7,2804 6,5367 5,8301 5,2098 4,6917 4,2859 4,0139 3,8869 3,8778 3,9253 3,9586 3,9287 3,8361 3,7252 3,6507 3,6577 3,7748 4,0060 4,3257 4,6807 4,9940 5,1837 5,2026 5,0547 4,7693 4,3879 3,9919 3,7082 3,6408 3,7970 4,0919 4,4067 4,6231 4,6383 4,4082 3,9904 3,5246 3,1646 3,0112 3,0738 3,2793 3,5132 3,6712 3,7016 3,6069 3,4072
F7    -0,8380 -1,1080 -1,3064 -1,3862 -1,3439 -1,1971 -0,9524 -0,6232 -0,2609 0,0586 0,2774 0,3768 0,3708 0,3018 0,2297 0,1929 0,1777 0,1263 -0,0056 -0,1906 -0,3490 -0,4183 -0,3748 -0,2224 0,0072 0,2665 0,5160 0,7266 0,8745 0,9394 0,9148 0,8487 0,8498 0,9994 1,2590 1,4848 1,5324 1,3432 0,9584 0,4803 0,0223 -0,3276 -0,5287 -0,5970 -0,5931 -0,5912 -0,6414 -0,7352 -0,8013 -0,7428 -0,5092 -0,1423 0,2642 0,6395 0,9612 1,2376 1,4822 1,6984 1,8746 1,9840 2,0030 1,9557 1,9210 1,9571 2,0328 2,0622 2,0046 1,9220 1,9204 2,0325 2,1928 2,3201 2,3694 2,3235 2,1887 2,0042 1,8449 1,8052 1,9466 2,2455 2,5945 2,8495 2,8913 2,6784 2,2616 1,7418 1,2108 0,7226 0,2926 -0,0890 -0,4287 -0,7035 -0,8557 -0,8111 -0,5282 -0,0443 0,5380 1,1035 1,5508 1,7933 1,7913 1,5878 1,2879 0,9971 0,7792 0,6479 0,5896 0,5953 0,6688 0,8172 1,0502 1,3673 1,7286 2,0598 2,2898 2,3706 2,2848 2,0532 1,7321 1,3927 1,0873 0,8246 0,5836 0,3478 0,1182 -0,0969 -0,2908 -0,4556 -0,5707 -0,6045 -0,5308 -0,3454 -0,0857 0,1659 0,3217 0,3420 0,2537 0,1341 0,0783 0,1502 0,3493 0,6260 0,9127 1,1301 1,2075 1,1296 0,9479 0,7420 0,5796 0,5027 0,5267 0,6458 0,8489 1,1223 1,4330 1,7176 1,9058 1,9721 1,9607 1,9432 1,9739 2,1061 2,4028 2,8727 3,4213 3,9041 4,2195 4,3435 4,3082 4,1756 4,0247 3,9418 3,9974 4,2023 4,4693 4,6382 4,5647 4,2057 3,6489 3,0739 2,6610 2,4956 2,5398 2,6812 2,8061 2,8472 2,7964 2,6985 2,6294 2,6477 2,7434 2,8420 2,8682 2,7991 2,6599 2,4887 2,3062 2,1066 1,8803 1,6398 1,4092 1,1982 0,9852 0,7243 0,3839 -0,0090 -0,3745 -0,6404 -0,7820 -0,7996 -0,6879 -0,4413 -0,0791 0,3336 0,6909 0,8823 0,8363 0,5422 0,0511 -0,5298 -1,0501 -1,3471 -1,2944 -0,8653 -0,1671 0,6056 1,2631 1,6789 1,7943 1,6166 1,2281 0,7682 0,3720 0,1091 -0,0228 -0,0636 -0,0667 -0,0899 -0,1799 -0,3480 -0,5449 -0,6677 -0,6314 -0,4275 -0,1032 0,2741 0,6134 0,8065 0,7733 0,5139 0,1345 -0,2008 -0,3854 -0,4272 -0,3819 -0,2734 -0,1077 0,0864 0,2661 0,4026 0,5037 0,6244 0,8304 1,1436 1,5286 1,9106 2,1932 2,2859 2,1365 1,7503 1,1892 0,5557 -0,0424 -0,5347 -0,9043 -1,1678 -1,3458 -1,4330 -1,3841 -1,1510 -0,7445 -0,2526 0,1990 0,5071 0,6320 0,6005 0,4839 0,3661 0,3053 0,3103 0,3482 0,3797 0,3897 0,3940 0,4282 0,5188 0,6533 0,7924 0,9200 1,0699 1,2937 1,6074 1,9684 2,2989 2,5351 2,6588 2,6845 2,6277 2,4887 2,2636 1,9619 1,6096 1,2533 0,9680 0,8402 0,9211 1,1856 1,5334 1,8292 1,9608 1,8864 1,6444 1,3197 1,0060 0,7871 0,7167 0,8067 1,0544 1,4676 2,0343 2,6798 3,2782 3,7160 3,9438 3,9787 3,8809 3,7275 3,5773 3,4466 3,3155 3,1519 2,9338 2,6612 2,3521 2,0257 1,6884 1,3418 1,0041 0,7147 0,5227 0,4775 0,6336 1,0439 1,7012 2,4741 3,1423 3,5137 3,5138 3,2120 2,7889 2,4363 2,2456 2,1989 2,2513 2,3912 2,6320 2,9721 3,3605 3,7018 3,9068 3,9365 3,7939 3,4923 3,0542 2,5326 2,0129 1,5925 1,3555 1,3340 1,4818 1,7034 1,9142 2,0640 2,1204 2,0634 1,9001 1,6618 1,3900 1,1308 0,9253 0,7889 0,7017 0,6364 0,6088 0,6806 0,8991 1,2547 1,6953 2,1501 2,5268 2,7185 2,6474 2,3090 1,7764 1,1680 0,6044 0,1913 0,0211 0,1421 0,5147 1,0165 1,5007 1,8576 2,0450 2,0896 2,0716 2,0916 2,2171 2,4440 2,7045 2,9062 2,9726 2,8762 2,6503 2,3656 2,0879 1,8623 1,7194 1,6702 1,7045 1,8026 1,9405 2,0865 2,2095 2,2901 2,3233 2,3058 2,2302 2,1049 1,9822 1,9557 2,1076 2,4491 2,9115 3,3935 3,7968 4,0172 3,9639 3,6334 3,1288 2,5917 2,1468 1,8882 1,8639 2,0596 2,4073 2,8028 3,1252 3,2806 3,2489 3,0721 2,8106 2,5326 2,3076 2,1661 2,0853 2,0369 2,0207 2,0388 2,0743 2,1109 2,1445 2,1733 2,1931 2,1990 2,1888 2,1640 2,1257 2,0828 2,0591 2,0819 2,1716 2,3319 2,5262 2,6813 2,7355 2,6773 2,5301 2,3207 2,0789 1,8556 1,7088 1,6651 1,7129 1,8230 1,9582 2,0728 2,1178 2,0586 1,8985 1,6778 1,4427 1,2314 1,0839 1,0372 1,1064 1,2800 1,5467 1,9180 2,3906 2,8959 3,3359 3,6600 3,8817 4,0511 4,2313 4,4510 4,6598 4,7687 4,7450 4,6446 4,5575 4,5416 4,6075 4,7423 4,9169 5,0619 5,0657 4,8380 4,3845 3,8240 3,3403 3,0982 3,1707 3,5310 4,0881 4,7153 5,2721 5,6401 5,7581 5,6390 5,3661 5,0629 4,8438 4,7862 4,9332 5,2881 5,7757 6,2259 6,4353 6,2549 5,6314 4,6187 3,3859 2,1828 1,2424 0,6887 0,5239 0,6775 1,0549 1,5584 2,0875 2,5369 2,8162 2,8857 2,7800 2,5974 2,4532 2,4113 2,4501 2,4930 2,4681 2,3499 2,1687 1,9938 1,8944 1,8853 1,9199 1,9529 1,9906 2,0660 2,1905 2,3382 2,4575 2,4931 2,4179 2,2552 2,0558 1,8429 1,5934 1,2768 0,8926 0,4616 0,0049 -0,4428 -0,8144 -1,0236 -0,9998 -0,7151 -0,1935
