Fp1   -1,3480 -1,1731 -1,0725 -1,1370 -1,3614 -1,6584 -1,9251 -2,0711 -2,0160 -1,7216 -1,2241 -0,6163 -0,0073 0,5059 0,8630 1,0646 1,1674 1,2414 1,3330 1,4657 1,6530 1,8942 2,1664 2,4432 2,7250 3,0318 3,3446 3,5706 3,6008 3,4145 3,1066 2,8006 2,5472 2,3082 2,0094 1,5958 1,0678 0,4860 -0,0722 -0,5622 -0,9859 -1,3930 -1,8759 -2,5106 -3,2734 -4,0316 -4,6247 -4,9533 -4,9967 -4,7951 -4,4556 -4,1319 -3,9317 -3,8399 -3,7493 -3,5532 -3,1956 -2,6797 -2,0824 -1,5559 -1,2594 -1,2528 -1,4537 -1,6889 -1,7941 -1,7152 -1,5594 -1,5425 -1,8444 -2,4960 -3,4042 -4,4579 -5,5821 -6,7187 -7,7889 -8,6547 -9,1189 -9,0192 -8,3579 -7,3352 -6,2487 -5,3503 -4,7709 -4,5163 -4,4908 -4,5488 -4,5772 -4,5570 -4,5389 -4,5597 -4,6097 -4,6820 -4,7987 -4,9713 -5,1843 -5,4321 -5,7415 -6,1446 -6,6489 -7,2403 -7,9008 -8,6093 -9,3301 -9,9845 -10,4193 -10,4480 -9,9768 -9,1110 -8,1419 -7,4236 -7,2193 -7,6103 -8,5121 -9,7590 -11,1787 -12,6198 -13,9561 -15,0882 -15,9548 -16,5601 -16,9916 -17,3865 -17,8589 -18,4507 -19,1314 -19,8145 -20,3917 -20,7866 -20,9774 -20,9661 -20,7540 -20,3577 -19,8259 -19,2350 -18,6722 -18,1967 -17,8020 -17,4052 -16,8591 -16,0112 -14,8029 -13,3076 -11,6548 -9,9415 -8,2288 -6,5964 -5,1587 -4,0082 -3,1364 -2,4186 -1,6877 -0,8328 0,1530 1,1761 2,0933 2,7969 3,2710 3,5796 3,8280 4,1193 4,5068 4,9771 5,4721 5,9196 6,2565 6,4415 6,4664 6,3585 6,1519 5,8404 5,3585 4,6042 3,5012 2,0756 0,4790 -1,0728 -2,3932 -3,3893 -4,0846 -4,6023 -5,0953 -5,6472 -6,2206 -6,6949 -6,9490 -6,9136 -6,5761 -5,9702 -5,1872 -4,3946 -3,7956 -3,5424 -3,6961 -4,2255 -5,0182 -5,9260 -6,8173 -7,5828 -8,1325 -8,4232 -8,4857 -8,4131 -8,3317 -8,3636 -8,5821 -8,9818 -9,5037 -10,1020 -10,7626 -11,4467 -12,0736 -12,6011 -13,0788 -13,5783 -14,0773 -14,4414 -14,5191 -14,2547 -13,7440 -13,1909 -12,7864 -12,6141 -12,6462 -12,8005 -12,9979 -13,1849 -13,3375 -13,4738 -13,6462 -13,8916 -14,1917 -14,4943 -14,7659 -15,0142 -15,2651 -15,5214 -15,7348 -15,8124 -15,6746 -15,3329 -14,8980 -14,4998 -14,2155 -14,0618 -14,0146 -14,0270 -14,0556 -14,0995 -14,2222 -14,5262 -15,0894 -15,9074 -16,8731 -17,8162 -18,5929 -19,1471 -19,4831 -19,6061 -19,5148 -19,2225 -18,7425 -18,0564 -17,1416 -16,0467 -14,9083 -13,8865 -13,0959 -12,5804 -12,3193 -12,2455 -12,2749 -12,3344 -12,3656 -12,3176 -12,1607 -11,9001 -11,5649 -11,2083 -10,9181 -10,7839 -10,8241 -10,9562 -11,0535 -11,0326 -10,8953 -10,7014 -10,5152 -10,3657 -10,2239 -10,0131 -9,6671 -9,1831 -8,6095 -8,0123 -7,4587 -6,9929 -6,5931 -6,1619 -5,5804 -4,8005 -3,9142 -3,1299 -2,6497 -2,5561 -2,8116 -3,3334 -4,0297 -4,7926 -5,5131 -6,1098 -6,5401 -6,8024 -6,9301 -6,9538 -6,8588 -6,6008 -6,1660 -5,6021 -5,0049 -4,4881 -4,1447 -4,0048 -4,0265 -4,1455 -4,3184 -4,5125 -4,6828 -4,7751 -4,7481 -4,6016 -4,3823 -4,1610 -4,0094 -3,9999 -4,1971 -4,6104 -5,1492 -5,6634 -6,0386 -6,2429 -6,3009 -6,2391 -6,0603 -5,7748 -5,4390 -5,1593 -5,0555 -5,1925 -5,5368 -5,9986 -6,5053 -7,0017 -7,3974 -7,5765 -7,4901 -7,2112 -6,8727 -6,5661 -6,3059 -6,0635 -5,8088 -5,5236 -5,2024 -4,8718 -4,5983 -4,4561 -4,4933 -4,7234 -5,1166 -5,5954 -6,0592 -6,4205 -6,6253 -6,6615 -6,5667 -6,4265 -6,3376 -6,3497 -6,4341 -6,5196 -6,5720 -6,6237 -6,7194 -6,8455 -6,9187 -6,8414 -6,5741 -6,1674 -5,7255 -5,3231 -4,9623 -4,6301 -4,3762 -4,2930 -4,4391 -4,7996 -5,2998 -5,8326 -6,2784 -6,5418 -6,6066 -6,5481 -6,4676 -6,4104 -6,3316 -6,1183 -5,6554 -4,9229 -4,0696 -3,3594 -2,9851 -2,9185 -2,9588 -2,9221 -2,7726 -2,5850 -2,4433 -2,4189 -2,5895 -3,0114 -3,6771 -4,5134 -5,4005 -6,1777 -6,6488 -6,6305 -6,0404 -4,9648 -3,6559 -2,4476 -1,6253 -1,3268 -1,5285 -2,1002 -2,8769 -3,7106 -4,4932 -5,1671 -5,7161 -6,1216 -6,3335 -6,3188 -6,1163 -5,8046 -5,4468 -5,0875 -4,7666 -4,5165 -4,3581 -4,2902 -4,2808 -4,2916 -4,3215 -4,4074 -4,5702 -4,7828 -4,9886 -5,1179 -5,1001 -4,9035 -4,5609 -4,1499 -3,7551 -3,4317 -3,1878 -3,0055 -2,8705 -2,7684 -2,6636 -2,5076 -2,2805 -2,0346 -1,8953 -1,9811 -2,3078 -2,7847 -3,2860 -3,7113 -4,0203 -4,2603 -4,5539 -5,0228 -5,7147 -6,6008 -7,5938 -8,5482 -9,3009 -9,7614 -9,9563 -10,0042 -10,0823 -10,3924 -11,0980 -12,2660 -13,8488 -15,6977 -17,5958 -19,3134 -20,6672 -21,5435 -21,8842 -21,6826 -20,9850 -19,8504 -18,3062 -16,3669 -14,0861 -11,6040 -9,1771 -7,1160 -5,6477 -4,8275 -4,5563 -4,6555 -4,9273 -5,1544 -5,0948 -4,5646 -3,5491 -2,2154 -0,8115 0,4755 1,6029 2,6327 3,6280 4,5872 5,4358 6,0467 6,2894 6,0975 5,4983 4,5883 3,5061 2,4162 1,4686 0,7457 0,2627 0,0102 -0,0174 0,1855 0,6225 1,2543 1,9526 2,5225 2,8136 2,8084 2,5874 2,2311 1,7738 1,2052 0,4704 -0,5131 -1,7983 -3,3465 -5,0014 -6,5174 -7,6542 -8,3042 -8,5648 -8,6794 -8,8744 -9,2190 -9,6301 -9,9978 -10,2832 -10,5034 -10,6656 -10,7441 -10,7247 -10,6674 -10,7084 -10,9732 -11,4796 -12,1446 -12,8796 -13,6490 -14,4384 -15,1910 -15,7875 -16,1021 -16,0853 -15,7766 -15,2450 -14,5523 -13,7865 -13,0885 -12,5993 -12,3917 -12,4772 -12,8559 -13,5310 -14,4778 -15,6146 -16,8026 -17,8721 -18,6787 -19,1745 -19,4154 -19,4784 -19,3853
Fz    0,7803 0,6688 0,3930 -0,0361 -0,5635 -1,1038 -1,5788 -1,9327 -2,1256 -2,1382 -1,9849 -1,7158 -1,4021 -1,1105 -0,8813 -0,7149 -0,5741 -0,4046 -0,1652 0,1532 0,5284 0,9205 1,2858 1,5892 1,8148 1,9693 2,0639 2,0853 2,0010 1,8051 1,5493 1,3202 1,1884 1,1708 1,2268 1,2839 1,2802 1,1880 1,0012 0,7198 0,3537 -0,0752 -0,5441 -1,0245 -1,4630 -1,7873 -1,9413 -1,9136 -1,7302 -1,4296 -1,0534 -0,6543 -0,2928 -0,0169 0,1532 0,2219 0,2116 0,1541 0,0680 -0,0554 -0,2288 -0,4412 -0,6703 -0,9058 -1,1489 -1,4031 -1,6774 -1,9896 -2,3537 -2,7633 -3,1904 -3,5988 -3,9567 -4,2447 -4,4588 -4,5955 -4,6313 -4,5321 -4,2896 -3,9424 -3,5568 -3,1942 -2,8939 -2,6653 -2,4868 -2,3246 -2,1549 -1,9720 -1,7810 -1,5887 -1,4053 -1,2599 -1,1988 -1,2547 -1,4233 -1,6786 -1,9994 -2,3804 -2,8225 -3,3181 -3,8497 -4,3970 -4,9382 -5,4457 -5,8819 -6,2029 -6,3759 -6,4007 -6,3220 -6,2168 -6,1591 -6,1863 -6,2960 -6,4648 -6,6636 -6,8622 -7,0334 -7,1642 -7,2640 -7,3667 -7,5263 -7,8015 -8,2248 -8,7834 -9,4299 -10,1055 -10,7628 -11,3780 -11,9378 -12,4130 -12,7592 -12,9408 -12,9411 -12,7583 -12,4016 -11,8863 -11,2322 -10,4599 -9,5821 -8,6101 -7,5820 -6,5715 -5,6571 -4,8871 -4,2761 -3,8277 -3,5468 -3,4212 -3,3934 -3,3676 -3,2562 -3,0182 -2,6611 -2,2269 -1,7717 -1,3361 -0,9234 -0,5079 -0,0596 0,4323 0,9440 1,4227 1,8119 2,0802 2,2314 2,2987 2,3254 2,3393 2,3361 2,2790 2,1085 1,7580 1,1841 0,4036 -0,4956 -1,3882 -2,1685 -2,7915 -3,2713 -3,6498 -3,9590 -4,1991 -4,3444 -4,3685 -4,2692 -4,0781 -3,8408 -3,5835 -3,3105 -3,0374 -2,8060 -2,6629 -2,6440 -2,7718 -3,0459 -3,4383 -3,9005 -4,3788 -4,8313 -5,2352 -5,5824 -5,8781 -6,1445 -6,4147 -6,7112 -7,0276 -7,3373 -7,6214 -7,8774 -8,1046 -8,3055 -8,5014 -8,7230 -8,9759 -9,2278 -9,4304 -9,5481 -9,5740 -9,5352 -9,4883 -9,4937 -9,5868 -9,7718 -10,0351 -10,3487 -10,6625 -10,9164 -11,0736 -11,1390 -11,1402 -11,1010 -11,0407 -10,9876 -10,9736 -11,0126 -11,0892 -11,1659 -11,1970 -11,1475 -11,0127 -10,8227 -10,6201 -10,4298 -10,2481 -10,0577 -9,8497 -9,6346 -9,4451 -9,3266 -9,3115 -9,4008 -9,5679 -9,7728 -9,9741 -10,1433 -10,2739 -10,3732 -10,4471 -10,4951 -10,5104 -10,4776 -10,3731 -10,1789 -9,9053 -9,5936 -9,2895 -9,0172 -8,7783 -8,5602 -8,3348 -8,0615 -7,7080 -7,2684 -6,7634 -6,2301 -5,7088 -5,2341 -4,8400 -4,5672 -4,4513 -4,4963 -4,6655 -4,9013 -5,1547 -5,4023 -5,6458 -5,8973 -6,1641 -6,4393 -6,7023 -6,9292 -7,0947 -7,1689 -7,1311 -6,9883 -6,7704 -6,5043 -6,1949 -5,8361 -5,4402 -5,0545 -4,7378 -4,5147 -4,3590 -4,2310 -4,1138 -4,0036 -3,8886 -3,7540 -3,5964 -3,4300 -3,2897 -3,2207 -3,2493 -3,3599 -3,5094 -3,6599 -3,7978 -3,9310 -4,0710 -4,2078 -4,3011 -4,2994 -4,1682 -3,9027 -3,5234 -3,0713 -2,5991 -2,1620 -1,8100 -1,5783 -1,4756 -1,4815 -1,5591 -1,6753 -1,8085 -1,9332 -2,0099 -1,9994 -1,8894 -1,7066 -1,5041 -1,3334 -1,2305 -1,2214 -1,3314 -1,5819 -1,9722 -2,4614 -2,9788 -3,4587 -3,8571 -4,1372 -4,2688 -4,2557 -4,1462 -3,9973 -3,8341 -3,6473 -3,4181 -3,1409 -2,8321 -2,5261 -2,2641 -2,0758 -1,9645 -1,9127 -1,9041 -1,9322 -1,9904 -2,0598 -2,1150 -2,1418 -2,1426 -2,1292 -2,1181 -2,1294 -2,1811 -2,2757 -2,3919 -2,4985 -2,5736 -2,6082 -2,5950 -2,5222 -2,3821 -2,1830 -1,9487 -1,7022 -1,4511 -1,1939 -0,9465 -0,7556 -0,6757 -0,7323 -0,9060 -1,1450 -1,3878 -1,5780 -1,6805 -1,7020 -1,6927 -1,7182 -1,8215 -1,9990 -2,1998 -2,3534 -2,4120 -2,3809 -2,3125 -2,2612 -2,2366 -2,2040 -2,1270 -1,9988 -1,8318 -1,6366 -1,4252 -1,2225 -1,0590 -0,9532 -0,9027 -0,8875 -0,8776 -0,8437 -0,7660 -0,6437 -0,4979 -0,3663 -0,2850 -0,2668 -0,2992 -0,3636 -0,4569 -0,5944 -0,7945 -1,0607 -1,3807 -1,7345 -2,0899 -2,4028 -2,6395 -2,7972 -2,8910 -2,9305 -2,9140 -2,8345 -2,6849 -2,4659 -2,1893 -1,8733 -1,5324 -1,1725 -0,7924 -0,3902 0,0224 0,4084 0,7204 0,9235 0,9947 0,9120 0,6616 0,2589 -0,2402 -0,7533 -1,2050 -1,5483 -1,7566 -1,8112 -1,7053 -1,4539 -1,0933 -0,6750 -0,2540 0,1239 0,4191 0,5952 0,6347 0,5465 0,3401 0,0009 -0,4945 -1,1418 -1,8970 -2,6843 -3,4073 -3,9715 -4,3212 -4,4582 -4,4372 -4,3532 -4,3199 -4,4411 -4,7897 -5,3852 -6,1672 -7,0029 -7,7403 -8,2710 -8,5609 -8,6378 -8,5618 -8,3976 -8,1884 -7,9386 -7,6221 -7,2071 -6,6846 -6,0906 -5,4924 -4,9458 -4,4631 -4,0102 -3,5301 -2,9736 -2,3093 -1,5189 -0,6098 0,3577 1,2648 1,9699 2,3749 2,4755 2,3516 2,1120 1,8416 1,5762 1,3097 1,0235 0,7166 0,4150 0,1577 -0,0215 -0,1045 -0,0948 -0,0235 0,0614 0,1260 0,1794 0,2737 0,4646 0,7568 1,0769 1,3093 1,3760 1,2810 1,0803 0,8288 0,5538 0,2497 -0,1201 -0,6047 -1,2350 -1,9979 -2,8301 -3,6366 -4,3297 -4,8683 -5,2720 -5,5964 -5,8818 -6,1200 -6,2677 -6,2864 -6,1758 -5,9807 -5,7757 -5,6385 -5,6289 -5,7834 -6,1229 -6,6501 -7,3355 -8,1199 -8,9406 -9,7502 -10,5098 -11,1725 -11,6833 -12,0066 -12,1551 -12,1800 -12,1249 -12,0016 -11,8201 -11,6289 -11,5043 -11,5074 -11,6623 -11,9590 -12,3638 -12,8320 -13,3184 -13,7815 -14,1835 -14,4946 -14,7067 -14,8413 -14,9341 -15,0066
F3    2,0799 1,5731 0,9217 0,2367 -0,3801 -0,8642 -1,1969 -1,3904 -1,4647 -1,4271 -1,2695 -0,9914 -0,6214 -0,2101 0,1907 0,5451 0,8434 1,1004 1,3328 1,5340 1,6707 1,7063 1,6278 1,4496 1,2058 0,9480 0,7347 0,6017 0,5473 0,5521 0,6086 0,7280 0,9135 1,1235 1,2719 1,2823 1,1408 0,8882 0,5651 0,1810 -0,2693 -0,7777 -1,3198 -1,8639 -2,3646 -2,7552 -2,9665 -2,9581 -2,7264 -2,2874 -1,6640 -0,8999 -0,0787 0,6872 1,2949 1,6820 1,8250 1,7183 1,3716 0,8411 0,2497 -0,2721 -0,6837 -1,0498 -1,4566 -1,9277 -2,4107 -2,8214 -3,1011 -3,2424 -3,2775 -3,2518 -3,2038 -3,1587 -3,1352 -3,1500 -3,2041 -3,2706 -3,3023 -3,2527 -3,1007 -2,8711 -2,6299 -2,4402 -2,3181 -2,2285 -2,1150 -1,9328 -1,6737 -1,3748 -1,0969 -0,8940 -0,8015 -0,8250 -0,9374 -1,1160 -1,3866 -1,8134 -2,4351 -3,2122 -4,0380 -4,7894 -5,3746 -5,7665 -6,0088 -6,1790 -6,3346 -6,4880 -6,6220 -6,7283 -6,8293 -6,9644 -7,1611 -7,4126 -7,6670 -7,8488 -7,9088 -7,8570 -7,7515 -7,6682 -7,6780 -7,8295 -8,1356 -8,5750 -9,1021 -9,6650 -10,2305 -10,7931 -11,3477 -11,8639 -12,3039 -12,6463 -12,8718 -12,9348 -12,7652 -12,3036 -11,5372 -10,5028 -9,2652 -7,9029 -6,5118 -5,2086 -4,1082 -3,2788 -2,7204 -2,3917 -2,2497 -2,2539 -2,3474 -2,4641 -2,5562 -2,5951 -2,5488 -2,3811 -2,0701 -1,6127 -1,0170 -0,3068 0,4765 1,2909 2,0993 2,8513 3,4860 3,9656 4,2964 4,5120 4,6356 4,6548 4,5329 4,2349 3,7357 3,0232 2,1210 1,1003 0,0688 -0,8478 -1,5389 -1,9555 -2,1272 -2,1392 -2,0945 -2,0785 -2,1329 -2,2473 -2,3801 -2,4931 -2,5633 -2,5711 -2,5106 -2,4163 -2,3507 -2,3540 -2,4264 -2,5526 -2,7160 -2,9029 -3,1108 -3,3464 -3,6076 -3,8767 -4,1350 -4,3873 -4,6684 -5,0182 -5,4414 -5,8965 -6,3265 -6,6845 -6,9283 -7,0322 -7,0281 -7,0082 -7,0617 -7,2153 -7,4336 -7,6595 -7,8501 -7,9903 -8,0870 -8,1639 -8,2528 -8,3737 -8,5202 -8,6639 -8,7632 -8,7734 -8,6713 -8,4771 -8,2461 -8,0411 -7,9140 -7,9067 -8,0549 -8,3714 -8,8278 -9,3547 -9,8576 -10,2462 -10,4594 -10,4690 -10,2776 -9,9188 -9,4487 -8,9273 -8,4050 -7,9252 -7,5318 -7,2668 -7,1484 -7,1539 -7,2412 -7,3882 -7,5999 -7,8772 -8,1937 -8,5083 -8,7938 -9,0462 -9,2683 -9,4441 -9,5358 -9,5122 -9,3761 -9,1632 -8,9158 -8,6542 -8,3749 -8,0679 -7,7183 -7,2945 -6,7600 -6,1035 -5,3554 -4,5769 -3,8446 -3,2442 -2,8592 -2,7438 -2,8975 -3,2582 -3,7222 -4,1846 -4,5703 -4,8414 -4,9943 -5,0544 -5,0598 -5,0466 -5,0498 -5,1085 -5,2477 -5,4430 -5,6205 -5,7065 -5,6671 -5,5041 -5,2371 -4,8960 -4,5260 -4,1927 -3,9656 -3,8756 -3,8820 -3,8893 -3,8081 -3,6011 -3,2786 -2,8732 -2,4279 -1,9902 -1,6039 -1,3132 -1,1733 -1,2335 -1,4950 -1,8956 -2,3420 -2,7591 -3,1147 -3,3980 -3,5840 -3,6319 -3,5093 -3,2036 -2,7242 -2,1122 -1,4420 -0,8013 -0,2708 0,0837 0,2194 0,1306 -0,1332 -0,4643 -0,7386 -0,8811 -0,8807 -0,7505 -0,5048 -0,1800 0,1479 0,3834 0,4496 0,3081 -0,0438 -0,5777 -1,2369 -1,9350 -2,5649 -3,0317 -3,2930 -3,3665 -3,2992 -3,1437 -2,9606 -2,8151 -2,7466 -2,7466 -2,7726 -2,7717 -2,6986 -2,5325 -2,2847 -1,9856 -1,6667 -1,3543 -1,0765 -0,8722 -0,7777 -0,7982 -0,8999 -1,0428 -1,2110 -1,4019 -1,5984 -1,7690 -1,8934 -1,9797 -2,0414 -2,0659 -2,0240 -1,9101 -1,7676 -1,6690 -1,6635 -1,7389 -1,8271 -1,8451 -1,7429 -1,5277 -1,2568 -1,0085 -0,8467 -0,7925 -0,8202 -0,8753 -0,9101 -0,9150 -0,9164 -0,9469 -1,0233 -1,1452 -1,2964 -1,4457 -1,5550 -1,5900 -1,5324 -1,3928 -1,2137 -1,0583 -0,9828 -1,0091 -1,1251 -1,3032 -1,5061 -1,6783 -1,7561 -1,7031 -1,5354 -1,3030 -1,0470 -0,7733 -0,4616 -0,0959 0,3102 0,7067 1,0178 1,1655 1,1012 0,8341 0,4319 -0,0169 -0,4511 -0,8485 -1,1981 -1,4774 -1,6612 -1,7470 -1,7645 -1,7549 -1,7417 -1,7293 -1,7196 -1,7180 -1,7273 -1,7492 -1,7863 -1,8303 -1,8430 -1,7631 -1,5512 -1,2187 -0,8112 -0,3784 0,0405 0,4128 0,7040 0,8885 0,9706 0,9764 0,9149 0,7650 0,5150 0,2084 -0,0609 -0,2002 -0,1644 0,0304 0,3238 0,6464 0,9510 1,2139 1,4095 1,4952 1,4347 1,2266 0,9017 0,5016 0,0685 -0,3672 -0,8009 -1,2467 -1,7104 -2,1829 -2,6486 -3,0837 -3,4535 -3,7304 -3,9146 -4,0344 -4,1322 -4,2482 -4,4229 -4,7128 -5,1736 -5,7994 -6,4874 -7,0826 -7,4600 -7,5714 -7,4418 -7,1396 -6,7449 -6,3321 -5,9672 -5,6990 -5,5411 -5,4648 -5,4072 -5,2882 -5,0297 -4,5685 -3,8591 -2,8886 -1,6982 -0,3850 0,9187 2,0709 2,9475 3,4719 3,6352 3,4956 3,1582 2,7395 2,3317 1,9782 1,6761 1,4122 1,1923 1,0369 0,9670 0,9991 1,1361 1,3552 1,6159 1,8775 2,1098 2,2984 2,4463 2,5659 2,6583 2,6924 2,6007 2,3118 1,8113 1,1701 0,5033 -0,0942 -0,5824 -0,9695 -1,2929 -1,6122 -2,0018 -2,5154 -3,1437 -3,8145 -4,4344 -4,9236 -5,2301 -5,3374 -5,2677 -5,0785 -4,8480 -4,6464 -4,5221 -4,5122 -4,6582 -5,0044 -5,5688 -6,3164 -7,1724 -8,0527 -8,8802 -9,5914 -10,1443 -10,5202 -10,7322 -10,8329 -10,8967 -10,9878 -11,1443 -11,3673 -11,6056 -11,7705 -11,7980 -11,6976 -11,5306 -11,3578 -11,2174 -11,1247 -11,0686 -11,0199 -10,9610 -10,9090 -10,9054 -10,9896 -11,1807 -11,4665 -11,8046 -12,1522
