Fp1   -1,5491 -1,4980 -1,4319 -1,3513 -1,2772 -1,2317 -1,2133 -1,1868 -1,1049 -0,9393 -0,7014 -0,4367 -0,1964 -0,0063 0,1413 0,2766 0,4345 0,6329 0,8607 1,0869 1,2748 1,3864 1,3891 1,2757 1,0763 0,8456 0,6357 0,4831 0,4143 0,4500 0,5948 0,8227 1,0727 1,2656 1,3414 1,2956 1,1764 1,0439 0,9291 0,8187 0,6689 0,4422 0,1333 -0,2356 -0,6387 -1,0578 -1,4791 -1,8876 -2,2640 -2,5821 -2,8207 -2,9792 -3,0726 -3,1163 -3,1179 -3,0771 -2,9882 -2,8487 -2,6647 -2,4472 -2,2107 -1,9779 -1,7831 -1,6700 -1,6789 -1,8190 -2,0481 -2,2927 -2,4926 -2,6299 -2,7281 -2,8299 -2,9693 -3,1533 -3,3543 -3,5164 -3,5713 -3,4661 -3,1904 -2,7833 -2,3128 -1,8509 -1,4611 -1,1943 -1,0785 -1,1087 -1,2500 -1,4592 -1,7072 -1,9873 -2,3016 -2,6395 -2,9757 -3,2869 -3,5540 -3,7500 -3,8493 -3,8608 -3,8393 -3,8561 -3,9663 -4,1971 -4,5471 -4,9955 -5,5195 -6,1028 -6,7302 -7,3805 -8,0230 -8,6153 -9,1111 -9,4777 -9,7049 -9,7947 -9,7408 -9,5285 -9,1562 -8,6510 -8,0615 -7,4336 -6,7917 -6,1413 -5,4769 -4,7892 -4,0733 -3,3327 -2,5744 -1,8061 -1,0315 -0,2463 0,5517 1,3392 2,0656 2,6854 3,1915 3,6147 3,9979 4,3748 4,7634 5,1607 5,5419 5,8765 6,1543 6,3857 6,5798 6,7337 6,8352 6,8567 6,7558 6,4973 6,0820 5,5610 5,0216 4,5454 4,1725 3,9048 3,7295 3,6310 3,5927 3,5975 3,6228 3,6361 3,6064 3,5182 3,3743 3,1934 3,0078 2,8495 2,7317 2,6506 2,6010 2,5810 2,5782 2,5628 2,5065 2,4079 2,2948 2,2033 2,1503 2,1180 2,0592 1,9255 1,6945 1,3768 1,0054 0,6228 0,2738 -0,0017 -0,1845 -0,2917 -0,3762 -0,5099 -0,7523 -1,1168 -1,5600 -2,0047 -2,3782 -2,6377 -2,7750 -2,8169 -2,8270 -2,8929 -3,0902 -3,4458 -3,9278 -4,4701 -5,0046 -5,4776 -5,8558 -6,1282 -6,3027 -6,3964 -6,4270 -6,4057 -6,3340 -6,2097 -6,0395 -5,8428 -5,6413 -5,4460 -5,2646 -5,1125 -5,0027 -4,9364 -4,9066 -4,8944 -4,8640 -4,7751 -4,6053 -4,3616 -4,0805 -3,8112 -3,5902 -3,4288 -3,3167 -3,2351 -3,1726 -3,1302 -3,1082 -3,0926 -3,0582 -2,9802 -2,8485 -2,6732 -2,4786 -2,2934 -2,1394 -2,0231 -1,9364 -1,8699 -1,8203 -1,7854 -1,7637 -1,7577 -1,7718 -1,8057 -1,8515 -1,9032 -1,9670 -2,0602 -2,2029 -2,4006 -2,6293 -2,8491 -3,0319 -3,1658 -3,2431 -3,2581 -3,2174 -3,1497 -3,1042 -3,1290 -3,2466 -3,4519 -3,7265 -4,0517 -4,4091 -4,7743 -5,1153 -5,4077 -5,6489 -5,8485 -6,0101 -6,1298 -6,1977 -6,1962 -6,1064 -5,9237 -5,6720 -5,4045 -5,1850 -5,0537 -5,0048 -4,9995 -4,9965 -4,9701 -4,9081 -4,8067 -4,6722 -4,5293 -4,4199 -4,3858 -4,4411 -4,5597 -4,6898 -4,7709 -4,7481 -4,5912 -4,3131 -3,9653 -3,6128 -3,3139 -3,1069 -2,9983 -2,9685 -2,9925 -3,0561 -3,1561 -3,2880 -3,4371 -3,5847 -3,7163 -3,8260 -3,9190 -4,0066 -4,0923 -4,1708 -4,2421 -4,3159 -4,3967 -4,4708 -4,5138 -4,5125 -4,4741 -4,4176 -4,3653 -4,3398 -4,3567 -4,4133 -4,4868 -4,5495 -4,5811 -4,5667 -4,4873 -4,3168 -4,0357 -3,6581 -3,2403 -2,8567 -2,5726 -2,4338 -2,4575 -2,6229 -2,8787 -3,1656 -3,4378 -3,6717 -3,8598 -3,9998 -4,0865 -4,1141 -4,0834 -4,0044 -3,8859 -3,7234 -3,5024 -3,2137 -2,8681 -2,4993 -2,1588 -1,9073 -1,7992 -1,8514 -2,0260 -2,2555 -2,4842 -2,6937 -2,9034 -3,1447 -3,4287 -3,7399 -4,0484 -4,3158 -4,5020 -4,5822 -4,5522 -4,4156 -4,1732 -3,8328 -3,4221 -2,9936 -2,6158 -2,3503 -2,2233 -2,2210 -2,3128 -2,4744 -2,6909 -2,9458 -3,2180 -3,4877 -3,7419 -3,9748 -4,1840 -4,3590 -4,4822 -4,5488 -4,5773 -4,5898 -4,5863 -4,5475 -4,4617 -4,3405 -4,2028 -4,0512 -3,8721 -3,6566 -3,4132 -3,1618 -2,9241 -2,7285 -2,6176 -2,6338 -2,7901 -3,0589 -3,3829 -3,6866 -3,8894 -3,9335 -3,8146 -3,5872 -3,3377 -3,1417 -3,0345 -3,0127 -3,0570 -3,1463 -3,2622 -3,3930 -3,5341 -3,6822 -3,8312 -3,9772 -4,1215 -4,2616 -4,3777 -4,4375 -4,4202 -4,3326 -4,1994 -4,0442 -3,8862 -3,7432 -3,6271 -3,5316 -3,4258 -3,2704 -3,0442 -2,7576 -2,4490 -2,1748 -1,9970 -1,9669 -2,1130 -2,4350 -2,9001 -3,4463 -4,0025 -4,5164 -4,9707 -5,3824 -5,7932 -6,2533 -6,8001 -7,4422 -8,1537 -8,8774 -9,5396 -10,0807 -10,4830 -10,7753 -11,0031 -11,1931 -11,3376 -11,4051 -11,3652 -11,2099 -10,9605 -10,6615 -10,3691 -10,1315 -9,9688 -9,8638 -9,7737 -9,6526 -9,4645 -9,1833 -8,7925 -8,2961 -7,7252 -7,1260 -6,5338 -5,9608 -5,4047 -4,8558 -4,2987 -3,7247 -3,1509 -2,6150 -2,1454 -1,7470 -1,4159 -1,1604 -0,9999 -0,9448 -0,9798 -1,0628 -1,1427 -1,1886 -1,2040 -1,2102 -1,2248 -1,2573 -1,3111 -1,3821 -1,4549 -1,4985 -1,4788 -1,3842 -1,2376 -1,0864 -0,9830 -0,9703 -1,0789 -1,3231 -1,6939 -2,1626 -2,6904 -3,2315 -3,7423 -4,1969 -4,5912 -4,9322 -5,2235 -5,4597 -5,6319 -5,7370 -5,7837 -5,7937 -5,8012 -5,8487 -5,9721 -6,1884 -6,4952 -6,8706 -7,2687 -7,6276 -7,8964 -8,0571 -8,1220 -8,1163 -8,0573 -7,9446 -7,7753 -7,5620 -7,3262 -7,0788 -6,8175 -6,5424 -6,2720 -6,0502 -5,9370 -5,9776 -6,1681 -6,4515 -6,7434 -6,9663 -7,0739 -7,0577 -6,9389 -6,7539 -6,5445 -6,3509 -6,2028 -6,1101 -6,0584 -6,0162 -5,9554 -5,8681 -5,7621 -5,6497 -5,5509 -5,4975 -5,5216 -5,6329 -5,8092 -6,0059 -6,1756 -6,2793 -6,2984
Fz    -0,8775 -0,8168 -0,7417 -0,6567 -0,5687 -0,4852 -0,4106 -0,3426 -0,2719 -0,1892 -0,0930 0,0098 0,1162 0,2377 0,3966 0,6156 0,9022 1,2350 1,5661 1,8438 2,0314 2,1088 2,0698 1,9218 1,6848 1,3842 1,0454 0,6949 0,3623 0,0759 -0,1495 -0,3174 -0,4413 -0,5331 -0,5964 -0,6264 -0,6163 -0,5687 -0,5021 -0,4478 -0,4365 -0,4827 -0,5770 -0,6983 -0,8340 -0,9869 -1,1667 -1,3794 -1,6193 -1,8684 -2,1059 -2,3158 -2,4867 -2,6140 -2,7050 -2,7790 -2,8599 -2,9674 -3,1096 -3,2785 -3,4551 -3,6211 -3,7697 -3,9112 -4,0673 -4,2550 -4,4732 -4,7050 -4,9308 -5,1368 -5,3177 -5,4745 -5,6093 -5,7214 -5,8069 -5,8567 -5,8549 -5,7823 -5,6309 -5,4124 -5,1546 -4,8894 -4,6445 -4,4443 -4,3100 -4,2514 -4,2596 -4,3095 -4,3685 -4,4054 -4,4010 -4,3563 -4,2969 -4,2673 -4,3115 -4,4531 -4,6922 -5,0160 -5,4077 -5,8506 -6,3306 -6,8378 -7,3680 -7,9217 -8,5008 -9,1017 -9,7093 -10,2937 -10,8110 -11,2126 -11,4571 -11,5204 -11,4021 -11,1271 -10,7392 -10,2900 -9,8268 -9,3812 -8,9637 -8,5670 -8,1758 -7,7757 -7,3559 -6,9127 -6,4582 -6,0183 -5,6150 -5,2483 -4,8927 -4,5084 -4,0598 -3,5312 -2,9280 -2,2704 -1,5866 -0,9102 -0,2779 0,2816 0,7623 1,1810 1,5632 1,9313 2,3005 2,6729 3,0333 3,3563 3,6137 3,7783 3,8280 3,7506 3,5500 3,2517 2,9004 2,5425 2,2071 1,9031 1,6302 1,3868 1,1728 0,9939 0,8599 0,7786 0,7543 0,7913 0,8893 1,0352 1,2016 1,3575 1,4843 1,5857 1,6783 1,7712 1,8539 1,9027 1,9014 1,8556 1,7854 1,7070 1,6238 1,5321 1,4294 1,3192 1,2110 1,1138 1,0297 0,9555 0,8866 0,8180 0,7428 0,6529 0,5420 0,4094 0,2612 0,1076 -0,0432 -0,1893 -0,3340 -0,4814 -0,6317 -0,7804 -0,9238 -1,0663 -1,2204 -1,3968 -1,5915 -1,7863 -1,9615 -2,1028 -2,1985 -2,2370 -2,2097 -2,1164 -1,9678 -1,7809 -1,5708 -1,3497 -1,1341 -0,9446 -0,7959 -0,6900 -0,6246 -0,6043 -0,6375 -0,7231 -0,8491 -1,0009 -1,1640 -1,3208 -1,4505 -1,5326 -1,5512 -1,4955 -1,3623 -1,1612 -0,9140 -0,6475 -0,3828 -0,1279 0,1230 0,3811 0,6543 0,9432 1,2412 1,5350 1,8077 2,0439 2,2314 2,3614 2,4278 2,4271 2,3602 2,2362 2,0682 1,8642 1,6253 1,3555 1,0711 0,7972 0,5569 0,3633 0,2156 0,1049 0,0258 -0,0248 -0,0587 -0,0988 -0,1657 -0,2650 -0,3839 -0,5000 -0,5955 -0,6656 -0,7160 -0,7583 -0,8046 -0,8647 -0,9467 -1,0534 -1,1755 -1,2937 -1,3882 -1,4489 -1,4810 -1,5086 -1,5634 -1,6617 -1,7921 -1,9250 -2,0320 -2,0985 -2,1252 -2,1201 -2,0872 -2,0254 -1,9356 -1,8268 -1,7171 -1,6282 -1,5758 -1,5627 -1,5797 -1,6120 -1,6447 -1,6680 -1,6810 -1,6891 -1,6962 -1,6985 -1,6836 -1,6366 -1,5469 -1,4154 -1,2541 -1,0764 -0,8935 -0,7183 -0,5669 -0,4506 -0,3657 -0,2960 -0,2258 -0,1521 -0,0877 -0,0578 -0,0915 -0,2114 -0,4264 -0,7269 -1,0806 -1,4391 -1,7539 -1,9911 -2,1365 -2,1962 -2,1919 -2,1533 -2,1043 -2,0503 -1,9740 -1,8490 -1,6586 -1,4050 -1,1063 -0,7900 -0,4888 -0,2382 -0,0733 -0,0189 -0,0754 -0,2171 -0,4062 -0,6073 -0,7960 -0,9660 -1,1286 -1,2998 -1,4894 -1,6955 -1,9020 -2,0793 -2,1975 -2,2386 -2,1982 -2,0783 -1,8829 -1,6224 -1,3230 -1,0254 -0,7723 -0,5956 -0,5127 -0,5292 -0,6407 -0,8347 -1,0997 -1,4307 -1,8272 -2,2854 -2,7876 -3,2928 -3,7446 -4,0865 -4,2746 -4,2887 -4,1390 -3,8573 -3,4829 -3,0540 -2,6056 -2,1683 -1,7706 -1,4413 -1,2060 -1,0799 -1,0661 -1,1612 -1,3570 -1,6330 -1,9494 -2,2513 -2,4854 -2,6192 -2,6504 -2,6025 -2,5082 -2,3967 -2,2900 -2,2024 -2,1292 -2,0415 -1,9003 -1,6826 -1,3942 -1,0640 -0,7324 -0,4396 -0,2176 -0,0794 -0,0111 0,0208 0,0510 0,0968 0,1525 0,1953 0,1973 0,1375 0,0138 -0,1513 -0,3231 -0,4773 -0,6121 -0,7407 -0,8757 -1,0199 -1,1698 -1,3231 -1,4823 -1,6531 -1,8367 -2,0234 -2,1907 -2,3109 -2,3634 -2,3472 -2,2801 -2,1862 -2,0845 -1,9867 -1,8969 -1,8106 -1,7179 -1,6163 -1,5218 -1,4638 -1,4679 -1,5453 -1,6904 -1,8807 -2,0790 -2,2404 -2,3269 -2,3184 -2,2163 -2,0424 -1,8334 -1,6298 -1,4664 -1,3699 -1,3601 -1,4480 -1,6333 -1,9054 -2,2465 -2,6347 -3,0490 -3,4747 -3,9029 -4,3222 -4,7126 -5,0532 -5,3315 -5,5427 -5,6869 -5,7718 -5,8135 -5,8319 -5,8471 -5,8738 -5,9127 -5,9467 -5,9509 -5,9056 -5,7992 -5,6263 -5,3849 -5,0753 -4,7006 -4,2703 -3,8001 -3,3077 -2,8087 -2,3127 -1,8214 -1,3328 -0,8463 -0,3673 0,0874 0,4929 0,8305 1,1006 1,3205 1,5136 1,6979 1,8772 2,0413 2,1755 2,2699 2,3235 2,3424 2,3405 2,3381 2,3520 2,3852 2,4293 2,4763 2,5282 2,5984 2,7042 2,8539 3,0395 3,2390 3,4296 3,5943 3,7168 3,7771 3,7547 3,6328 3,4021 3,0688 2,6588 2,2135 1,7788 1,3959 1,0920 0,8759 0,7373 0,6520 0,5928 0,5423 0,4971 0,4560 0,4087 0,3364 0,2176 0,0370 -0,2052 -0,4912 -0,7930 -1,0839 -1,3465 -1,5732 -1,7593 -1,8944 -1,9647 -1,9653 -1,9092 -1,8232 -1,7392 -1,6854 -1,6778 -1,7178 -1,7957 -1,8986 -2,0122 -2,1215 -2,2126 -2,2756 -2,3045 -2,2965 -2,2538 -2,1839 -2,0976 -2,0063 -1,9221 -1,8578 -1,8194 -1,8003 -1,7852 -1,7581 -1,7023 -1,6013 -1,4502 -1,2675 -1,0919 -0,9647 -0,9141 -0,9505 -1,0700 -1,2571 -1,4890
F3    -0,4981 -0,6426 -0,7843 -0,8971 -0,9578 -0,9559 -0,8955 -0,7838 -0,6220 -0,4111 -0,1643 0,0899 0,3212 0,5155 0,6785 0,8251 0,9686 1,1125 1,2501 1,3706 1,4630 1,5136 1,5032 1,4121 1,2328 0,9769 0,6730 0,3603 0,0830 -0,1205 -0,2314 -0,2592 -0,2384 -0,2128 -0,2123 -0,2337 -0,2464 -0,2216 -0,1587 -0,0849 -0,0327 -0,0147 -0,0260 -0,0707 -0,1768 -0,3809 -0,7070 -1,1550 -1,6937 -2,2604 -2,7750 -3,1621 -3,3709 -3,3941 -3,2704 -3,0622 -2,8303 -2,6236 -2,4730 -2,3824 -2,3313 -2,2971 -2,2812 -2,3183 -2,4571 -2,7278 -3,1219 -3,5968 -4,0906 -4,5371 -4,8812 -5,0946 -5,1852 -5,1873 -5,1383 -5,0566 -4,9325 -4,7361 -4,4401 -4,0403 -3,5601 -3,0447 -2,5562 -2,1650 -1,9316 -1,8848 -2,0082 -2,2458 -2,5224 -2,7746 -2,9734 -3,1280 -3,2771 -3,4723 -3,7484 -4,0970 -4,4726 -4,8240 -5,1215 -5,3674 -5,5924 -5,8403 -6,1465 -6,5289 -6,9929 -7,5409 -8,1698 -8,8576 -9,5507 -10,1664 -10,6102 -10,8028 -10,7050 -10,3313 -9,7465 -9,0470 -8,3330 -7,6818 -7,1346 -6,7011 -6,3731 -6,1332 -5,9553 -5,8057 -5,6511 -5,4700 -5,2541 -5,0027 -4,7102 -4,3548 -3,9014 -3,3263 -2,6429 -1,9028 -1,1735 -0,5118 0,0510 0,5118 0,8889 1,2033 1,4646 1,6782 1,8649 2,0595 2,2891 2,5522 2,8127 3,0062 3,0622 2,9385 2,6460 2,2482 1,8329 1,4750 1,2139 1,0545 0,9737 0,9261 0,8611 0,7501 0,5983 0,4350 0,2946 0,1994 0,1492 0,1268 0,1139 0,1015 0,0927 0,1062 0,1702 0,3034 0,4971 0,7137 0,9062 1,0438 1,1224 1,1518 1,1408 1,0932 1,0143 0,9178 0,8244 0,7504 0,6975 0,6563 0,6161 0,5700 0,5093 0,4163 0,2638 0,0257 -0,3043 -0,6973 -1,0935 -1,4262 -1,6476 -1,7398 -1,7163 -1,6201 -1,5156 -1,4719 -1,5408 -1,7402 -2,0512 -2,4312 -2,8288 -3,1947 -3,4912 -3,6973 -3,8070 -3,8245 -3,7604 -3,6245 -3,4241 -3,1729 -2,8989 -2,6397 -2,4295 -2,2947 -2,2578 -2,3340 -2,5159 -2,7661 -3,0328 -3,2725 -3,4586 -3,5766 -3,6200 -3,5880 -3,4822 -3,3012 -3,0453 -2,7300 -2,3916 -2,0800 -1,8421 -1,7029 -1,6490 -1,6308 -1,5847 -1,4648 -1,2651 -1,0210 -0,7912 -0,6288 -0,5607 -0,5821 -0,6668 -0,7856 -0,9156 -1,0329 -1,1097 -1,1286 -1,0995 -1,0604 -1,0610 -1,1445 -1,3312 -1,6112 -1,9490 -2,2918 -2,5778 -2,7598 -2,8350 -2,8465 -2,8537 -2,8973 -2,9807 -3,0762 -3,1483 -3,1774 -3,1731 -3,1720 -3,2180 -3,3405 -3,5433 -3,8012 -4,0651 -4,2810 -4,4132 -4,4530 -4,4169 -4,3437 -4,2844 -4,2791 -4,3407 -4,4570 -4,6029 -4,7505 -4,8729 -4,9397 -4,9164 -4,7804 -4,5405 -4,2400 -3,9431 -3,7113 -3,5830 -3,5659 -3,6433 -3,7858 -3,9598 -4,1361 -4,2959 -4,4265 -4,5119 -4,5309 -4,4637 -4,3055 -4,0776 -3,8290 -3,6181 -3,4835 -3,4315 -3,4438 -3,4945 -3,5615 -3,6287 -3,6833 -3,7168 -3,7295 -3,7327 -3,7484 -3,8035 -3,9186 -4,0986 -4,3306 -4,5883 -4,8398 -5,0538 -5,2034 -5,2713 -5,2543 -5,1618 -5,0115 -4,8239 -4,6164 -4,3976 -4,1741 -3,9638 -3,7938 -3,6777 -3,6022 -3,5360 -3,4594 -3,3838 -3,3392 -3,3400 -3,3737 -3,4231 -3,4880 -3,5845 -3,7317 -3,9405 -4,2064 -4,5095 -4,8181 -5,0894 -5,2770 -5,3443 -5,2778 -5,0915 -4,8184 -4,4962 -4,1613 -3,8498 -3,5931 -3,4109 -3,3111 -3,3015 -3,3910 -3,5761 -3,8347 -4,1369 -4,4590 -4,7882 -5,1181 -5,4356 -5,7151 -5,9258 -6,0399 -6,0361 -5,9092 -5,6825 -5,4037 -5,1231 -4,8734 -4,6629 -4,4818 -4,3206 -4,1863 -4,0999 -4,0766 -4,1161 -4,2114 -4,3575 -4,5432 -4,7367 -4,8873 -4,9478 -4,9009 -4,7718 -4,6138 -4,4789 -4,3968 -4,3816 -4,4411 -4,5667 -4,7163 -4,8187 -4,8038 -4,6370 -4,3326 -3,9363 -3,4985 -3,0673 -2,6909 -2,4068 -2,2269 -2,1397 -2,1312 -2,1980 -2,3440 -2,5701 -2,8662 -3,2036 -3,5335 -3,8049 -3,9947 -4,1176 -4,2064 -4,2838 -4,3488 -4,3860 -4,3863 -4,3628 -4,3497 -4,3866 -4,4959 -4,6618 -4,8328 -4,9492 -4,9767 -4,9200 -4,8106 -4,6861 -4,5787 -4,5088 -4,4757 -4,4536 -4,4095 -4,3315 -4,2354 -4,1483 -4,0903 -4,0687 -4,0796 -4,1114 -4,1484 -4,1760 -4,1887 -4,1952 -4,2152 -4,2685 -4,3628 -4,4907 -4,6419 -4,8199 -5,0425 -5,3253 -5,6694 -6,0629 -6,4838 -6,8995 -7,2776 -7,5976 -7,8487 -8,0222 -8,1137 -8,1318 -8,0981 -8,0378 -7,9722 -7,9179 -7,8862 -7,8847 -7,9205 -7,9991 -8,1184 -8,2629 -8,4034 -8,5040 -8,5335 -8,4736 -8,3145 -8,0488 -7,6723 -7,1899 -6,6189 -5,9882 -5,3362 -4,7057 -4,1358 -3,6513 -3,2550 -2,9355 -2,6810 -2,4787 -2,3069 -2,1391 -1,9586 -1,7680 -1,5891 -1,4531 -1,3859 -1,3945 -1,4664 -1,5831 -1,7266 -1,8743 -1,9971 -2,0695 -2,0793 -2,0259 -1,9083 -1,7194 -1,4589 -1,1486 -0,8293 -0,5438 -0,3215 -0,1798 -0,1369 -0,2160 -0,4318 -0,7795 -1,2343 -1,7535 -2,2777 -2,7460 -3,1158 -3,3693 -3,5051 -3,5320 -3,4669 -3,3340 -3,1663 -3,0038 -2,8856 -2,8408 -2,8823 -3,0084 -3,2091 -3,4718 -3,7797 -4,1112 -4,4413 -4,7484 -5,0180 -5,2382 -5,3886 -5,4348 -5,3457 -5,1179 -4,7843 -4,4037 -4,0416 -3,7522 -3,5657 -3,4872 -3,5063 -3,6054 -3,7620 -3,9444 -4,1110 -4,2184 -4,2355 -4,1610 -4,0333 -3,9200 -3,8854 -3,9553 -4,1091 -4,2984 -4,4713 -4,5854 -4,6118 -4,5341 -4,3430 -4,0418 -3,6632 -3,2729 -2,9462 -2,7377 -2,6652 -2,7126 -2,8440 -3,0239 -3,2335
