Fp1   -2,3290 -2,5310 -2,7444 -2,8918 -2,8804 -2,6518 -2,2315 -1,7298 -1,2817 -0,9628 -0,7499 -0,5622 -0,3374 -0,0707 0,1998 0,4246 0,5678 0,6280 0,6368 0,6257 0,5915 0,5050 0,3577 0,1875 0,0404 -0,0841 -0,2225 -0,3865 -0,5262 -0,5481 -0,3668 0,0397 0,6041 1,1850 1,6261 1,8398 1,8498 1,7603 1,6801 1,6604 1,6830 1,6958 1,6529 1,5323 1,3330 1,0609 0,7140 0,2863 -0,2026 -0,6772 -1,0185 -1,1203 -0,9402 -0,5059 0,1022 0,7675 1,3555 1,7388 1,8348 1,6447 1,2547 0,7895 0,3499 -0,0251 -0,3473 -0,6317 -0,8545 -0,9505 -0,8518 -0,5486 -0,1210 0,2908 0,5587 0,6237 0,4954 0,2101 -0,1930 -0,6546 -1,0854 -1,3930 -1,5158 -1,4340 -1,1707 -0,7950 -0,4095 -0,1113 0,0393 0,0139 -0,2018 -0,5964 -1,0997 -1,5888 -1,9529 -2,1515 -2,2120 -2,1940 -2,1509 -2,1086 -2,0759 -2,0704 -2,1249 -2,2669 -2,4963 -2,7877 -3,1134 -3,4672 -3,8727 -4,3701 -4,9950 -5,7589 -6,6276 -7,5186 -8,3380 -9,0312 -9,5982 -10,0596 -10,4225 -10,6917 -10,8994 -11,1044 -11,3536 -11,6455 -11,9242 -12,0959 -12,0603 -11,7643 -11,2484 -10,6344 -10,0515 -9,5706 -9,1947 -8,8744 -8,5352 -8,1143 -7,5790 -6,9181 -6,1325 -5,2411 -4,2886 -3,3406 -2,4714 -1,7495 -1,2199 -0,8903 -0,7236 -0,6413 -0,5465 -0,3675 -0,0977 0,2051 0,4555 0,5746 0,5260 0,3459 0,1153 -0,1012 -0,2748 -0,4061 -0,5351 -0,7273 -1,0158 -1,3706 -1,7355 -2,0799 -2,4034 -2,7119 -3,0184 -3,3495 -3,7233 -4,1255 -4,5078 -4,7853 -4,8592 -4,6861 -4,3327 -3,9440 -3,6538 -3,5092 -3,4575 -3,3997 -3,2691 -3,0721 -2,8668 -2,7179 -2,6789 -2,7951 -3,0913 -3,5379 -4,0381 -4,4614 -4,7020 -4,7127 -4,4972 -4,0975 -3,5990 -3,1241 -2,7871 -2,6403 -2,6563 -2,7562 -2,8543 -2,8906 -2,8484 -2,7621 -2,7029 -2,7378 -2,8986 -3,1887 -3,6035 -4,1375 -4,7680 -5,4273 -6,0134 -6,4575 -6,7714 -7,0129 -7,2185 -7,3953 -7,5647 -7,7757 -8,0551 -8,3696 -8,6581 -8,8896 -9,0804 -9,2755 -9,5210 -9,8408 -10,2287 -10,6625 -11,1099 -11,5163 -11,8065 -11,9257 -11,8849 -11,7533 -11,6037 -11,4639 -11,3001 -11,0380 -10,6106 -10,0023 -9,2651 -8,5017 -7,8218 -7,3055 -6,9900 -6,8588 -6,8299 -6,7703 -6,5512 -6,1204 -5,5318 -4,8982 -4,3201 -3,8617 -3,5570 -3,4042 -3,3574 -3,3516 -3,3562 -3,4114 -3,6001 -3,9791 -4,5322 -5,1727 -5,7866 -6,2905 -6,6610 -6,9151 -7,0643 -7,0968 -7,0114 -6,8522 -6,6848 -6,5401 -6,3971 -6,2164 -5,9854 -5,7404 -5,5551 -5,5009 -5,5968 -5,7837 -5,9492 -5,9890 -5,8621 -5,6049 -5,3054 -5,0603 -4,9364 -4,9608 -5,1335 -5,4344 -5,8173 -6,2148 -6,5586 -6,7904 -6,8575 -6,7182 -6,3573 -5,7862 -5,0498 -4,2512 -3,5344 -3,0066 -2,6708 -2,4451 -2,2533 -2,0856 -1,9728 -1,9309 -1,9393 -1,9579 -1,9611 -1,9626 -2,0059 -2,1144 -2,2564 -2,3689 -2,3938 -2,2860 -2,0109 -1,5508 -0,9119 -0,1374 0,6732 1,3674 1,7904 1,8543 1,5723 1,0426 0,4006 -0,2352 -0,7902 -1,2246 -1,5175 -1,6546 -1,6257 -1,4449 -1,1702 -0,8902 -0,6819 -0,5642 -0,4921 -0,4069 -0,2927 -0,1816 -0,1202 -0,1507 -0,3074 -0,5986 -0,9885 -1,4118 -1,8051 -2,1186 -2,3162 -2,3880 -2,3707 -2,3386 -2,3570 -2,4340 -2,5146 -2,5163 -2,3660 -2,0135 -1,4487 -0,7196 0,0793 0,8396 1,4766 1,9507 2,2521 2,3790 2,3444 2,1921 2,0033 1,8725 1,8531 1,9232 2,0095 2,0325 1,9339 1,7057 1,4245 1,2317 1,2418 1,4752 1,8834 2,3942 2,9100 3,3157 3,5352 3,5722 3,4827 3,3199 3,1139 2,8861 2,6669 2,5021 2,4373 2,4917 2,6489 2,8630 3,0589 3,1402 3,0248 2,6876 2,1718 1,5571 0,9168 0,3017 -0,2543 -0,7283 -1,1040 -1,3627 -1,4869 -1,4779 -1,3688 -1,2200 -1,1118 -1,1408 -1,3803 -1,8143 -2,3298 -2,7922 -3,1200 -3,3020 -3,3797 -3,4249 -3,5109 -3,6776 -3,9154 -4,1828 -4,4332 -4,6257 -4,7177 -4,6593 -4,4132 -3,9829 -3,4174 -2,7962 -2,2127 -1,7618 -1,5259 -1,5443 -1,7791 -2,1230 -2,4510 -2,6650 -2,7024 -2,5313 -2,1654 -1,6752 -1,1655 -0,7285 -0,4159 -0,2379 -0,1625 -0,1256 -0,0789 -0,0275 -0,0124 -0,0691 -0,2025 -0,3835 -0,5572 -0,6681 -0,7055 -0,7195 -0,7786 -0,9122 -1,0926 -1,2585 -1,3508 -1,3402 -1,2354 -1,0690 -0,8702 -0,6452 -0,3774 -0,0454 0,3462 0,7541 1,1144 1,3679 1,4807 1,4700 1,3967 1,3090 1,2044 1,0619 0,8846 0,6844 0,4478 0,1407 -0,2593 -0,7381 -1,2476 -1,7263 -2,1196 -2,3965 -2,5529 -2,5847 -2,4709 -2,2184 -1,9147 -1,6887 -1,6119 -1,6622 -1,7660 -1,8579 -1,9048 -1,8872 -1,7849 -1,5965 -1,3409 -1,0176 -0,5867 -0,0071 0,7161 1,5238 2,3324 3,0768 3,7279 4,2641 4,6398 4,8113 4,7992 4,6934 4,5770 4,4628 4,3232 4,1607 4,0231 3,9430 3,8880 3,7968 3,6551 3,5146 3,4421 3,4627 3,5504 3,6630 3,7831 3,9365 4,1691 4,4937 4,8576 5,1685 5,3500 5,3754 5,2574 5,0241 4,7088 4,3414 3,9344 3,4998 3,0785 2,7358 2,5244 2,4409 2,4202 2,3901 2,3312 2,2789 2,2793 2,3461 2,4444 2,5075 2,4812 2,3621 2,1881 1,9971 1,8123 1,6564 1,5459 1,4782 1,4497 1,4803 1,6039 1,8247 2,0861 2,2862 2,3408 2,2264 1,9631 1,5917 1,1772 0,7865 0,4491 0,1497 -0,1403 -0,4286 -0,6965 -0,9109 -1,0376 -1,0615 -1,0055 -0,9218
Fz    -0,1903 -0,4214 -0,6530 -0,8526 -0,9852 -1,0255 -0,9858 -0,9220 -0,9016 -0,9558 -1,0571 -1,1414 -1,1477 -1,0441 -0,8352 -0,5535 -0,2384 0,0870 0,4177 0,7486 1,0570 1,3118 1,5016 1,6408 1,7370 1,7637 1,6774 1,4589 1,1398 0,7973 0,5199 0,3612 0,3078 0,2900 0,2347 0,1169 -0,0346 -0,1674 -0,2358 -0,2235 -0,1509 -0,0631 -0,0084 -0,0233 -0,1163 -0,2594 -0,4016 -0,5019 -0,5453 -0,5270 -0,4326 -0,2450 0,0377 0,3940 0,7798 1,1369 1,4051 1,5321 1,4889 1,2949 1,0207 0,7526 0,5506 0,4340 0,3933 0,4131 0,4931 0,6554 0,9311 1,3297 1,8123 2,2940 2,6785 2,9012 2,9494 2,8543 2,6732 2,4747 2,3189 2,2324 2,2037 2,2053 2,2091 2,1844 2,0951 1,9149 1,6429 1,2977 0,9018 0,4787 0,0669 -0,2772 -0,5039 -0,5977 -0,5825 -0,5086 -0,4300 -0,3794 -0,3598 -0,3565 -0,3599 -0,3747 -0,4085 -0,4616 -0,5321 -0,6297 -0,7801 -1,0174 -1,3697 -1,8456 -2,4257 -3,0676 -3,7231 -4,3550 -4,9399 -5,4606 -5,9077 -6,2937 -6,6549 -7,0310 -7,4376 -7,8521 -8,2169 -8,4573 -8,5060 -8,3299 -7,9506 -7,4388 -6,8801 -6,3372 -5,8300 -5,3339 -4,8043 -4,2127 -3,5627 -2,8760 -2,1718 -1,4599 -0,7529 -0,0749 0,5495 1,1129 1,6319 2,1349 2,6402 3,1453 3,6382 4,1122 4,5596 4,9543 5,2505 5,3995 5,3742 5,1900 4,8943 4,5373 4,1646 3,8212 3,5382 3,3237 3,1777 3,1032 3,0954 3,1321 3,1855 3,2379 3,2781 3,2962 3,2949 3,2935 3,3153 3,3777 3,4877 3,6276 3,7458 3,7815 3,7097 3,5598 3,3922 3,2606 3,1885 3,1701 3,1844 3,2095 3,2267 3,2137 3,1483 3,0219 2,8457 2,6440 2,4496 2,3042 2,2509 2,3095 2,4582 2,6461 2,8258 2,9710 3,0652 3,0850 3,0008 2,7965 2,4814 2,0837 1,6407 1,1948 0,7816 0,4087 0,0539 -0,3102 -0,6891 -1,0606 -1,3927 -1,6700 -1,9039 -2,1172 -2,3203 -2,5056 -2,6652 -2,8062 -2,9402 -3,0655 -3,1745 -3,2693 -3,3585 -3,4421 -3,5055 -3,5258 -3,4849 -3,3821 -3,2337 -3,0510 -2,8217 -2,5211 -2,1477 -1,7390 -1,3510 -1,0228 -0,7567 -0,5210 -0,2646 0,0623 0,4834 0,9842 1,5203 2,0323 2,4604 2,7675 2,9593 3,0775 3,1690 3,2588 3,3433 3,4052 3,4301 3,4086 3,3352 3,2179 3,0911 3,0045 2,9876 3,0280 3,0867 3,1274 3,1283 3,0879 3,0268 2,9665 2,9055 2,8251 2,7142 2,5802 2,4386 2,3026 2,1825 2,0896 2,0374 2,0371 2,0833 2,1375 2,1346 2,0158 1,7621 1,4046 1,0099 0,6517 0,3834 0,2250 0,1627 0,1626 0,1928 0,2342 0,2780 0,3162 0,3406 0,3478 0,3412 0,3277 0,3217 0,3465 0,4248 0,5735 0,7955 1,0650 1,3323 1,5615 1,7581 1,9544 2,1685 2,3800 2,5469 2,6411 2,6691 2,6609 2,6457 2,6304 2,5988 2,5369 2,4621 2,4220 2,4659 2,6244 2,9038 3,2943 3,7802 4,3312 4,8906 5,3818 5,7296 5,8825 5,8305 5,6134 5,3077 4,9969 4,7480 4,6009 4,5634 4,6204 4,7511 4,9295 5,1125 5,2463 5,2940 5,2624 5,1989 5,1551 5,1539 5,1939 5,2677 5,3628 5,4599 5,5435 5,6082 5,6525 5,6787 5,6989 5,7335 5,8027 5,9145 6,0571 6,2076 6,3521 6,4922 6,6393 6,8108 7,0313 7,3190 7,6646 8,0304 8,3720 8,6674 8,9269 9,1688 9,3930 9,5838 9,7288 9,8315 9,9087 9,9742 10,0193 10,0124 9,9163 9,7105 9,4076 9,0602 8,7428 8,5156 8,4066 8,4178 8,5290 8,6913 8,8378 8,9182 8,9203 8,8561 8,7394 8,5821 8,3967 8,1964 8,0016 7,8415 7,7409 7,7085 7,7387 7,8089 7,8716 7,8648 7,7460 7,5100 7,1763 6,7747 6,3442 5,9285 5,5577 5,2372 4,9543 4,6957 4,4591 4,2490 4,0689 3,9150 3,7712 3,6168 3,4556 3,3268 3,2761 3,3233 3,4551 3,6356 3,8239 3,9896 4,1129 4,1794 4,1810 4,1181 3,9987 3,8341 3,6381 3,4300 3,2420 3,1153 3,0784 3,1299 3,2373 3,3494 3,4206 3,4369 3,4180 3,3914 3,3704 3,3578 3,3600 3,3858 3,4302 3,4741 3,5075 3,5454 3,6151 3,7335 3,8949 4,0727 4,2327 4,3476 4,4035 4,4067 4,3860 4,3821 4,4202 4,4871 4,5368 4,5207 4,4210 4,2618 4,0900 3,9445 3,8441 3,7903 3,7714 3,7735 3,7904 3,8208 3,8572 3,8774 3,8462 3,7273 3,4974 3,1632 2,7728 2,3969 2,0796 1,8058 1,5257 1,2027 0,8230 0,3748 -0,1538 -0,7577 -1,4071 -2,0543 -2,6428 -3,1141 -3,4186 -3,5271 -3,4294 -3,1267 -2,6416 -2,0343 -1,3910 -0,7838 -0,2469 0,2156 0,6119 0,9606 1,2996 1,6750 2,1035 2,5539 2,9852 3,3916 3,7927 4,1859 4,5297 4,7740 4,8987 4,9245 4,8867 4,8048 4,6818 4,5247 4,3498 4,1674 3,9699 3,7447 3,4952 3,2391 2,9818 2,6972 2,3482 1,9229 1,4450 0,9531 0,4825 0,0598 -0,2972 -0,5761 -0,7608 -0,8273 -0,7557 -0,5475 -0,2320 0,1410 0,5143 0,8366 1,0774 1,2374 1,3436 1,4293 1,5182 1,6254 1,7623 1,9375 2,1515 2,3903 2,6335 2,8644 3,0699 3,2308 3,3167 3,2908 3,1311 2,8552 2,5198 2,1939 1,9298 1,7532 1,6639 1,6405 1,6557 1,6961 1,7619 1,8465 1,9245 1,9583 1,9168 1,7923 1,6006 1,3612 1,0895 0,8064 0,5438 0,3367 0,2059 0,1470 0,1424 0,1846 0,2853 0,4610 0,7060 0,9825 1,2390
F3    -0,1530 -0,3642 -0,5865 -0,7932 -0,9494 -1,0274 -1,0342 -1,0156 -1,0251 -1,0829 -1,1601 -1,2030 -1,1663 -1,0297 -0,7986 -0,5009 -0,1753 0,1466 0,4463 0,7112 0,9263 1,0814 1,1863 1,2663 1,3319 1,3592 1,3100 1,1705 0,9717 0,7815 0,6701 0,6693 0,7483 0,8256 0,8184 0,6957 0,4902 0,2686 0,0924 -0,0073 -0,0392 -0,0409 -0,0576 -0,1239 -0,2508 -0,4196 -0,5913 -0,7296 -0,8139 -0,8283 -0,7496 -0,5557 -0,2428 0,1653 0,6212 1,0655 1,4397 1,6901 1,7799 1,7126 1,5370 1,3212 1,1203 0,9605 0,8429 0,7625 0,7279 0,7648 0,9031 1,1509 1,4740 1,8006 2,0551 2,1948 2,2186 2,1511 2,0282 1,8956 1,8006 1,7669 1,7828 1,8200 1,8521 1,8579 1,8156 1,7090 1,5377 1,3163 1,0602 0,7815 0,5018 0,2574 0,0810 -0,0174 -0,0510 -0,0480 -0,0387 -0,0384 -0,0427 -0,0418 -0,0386 -0,0497 -0,0903 -0,1649 -0,2754 -0,4310 -0,6491 -0,9480 -1,3397 -1,8246 -2,3862 -2,9928 -3,6097 -4,2114 -4,7826 -5,3096 -5,7776 -6,1836 -6,5435 -6,8808 -7,2085 -7,5179 -7,7753 -7,9296 -7,9295 -7,7465 -7,3943 -6,9296 -6,4236 -5,9269 -5,4479 -4,9530 -4,3902 -3,7274 -2,9747 -2,1716 -1,3594 -0,5681 0,1768 0,8486 1,4294 1,9207 2,3461 2,7370 3,1118 3,4720 3,8168 4,1516 4,4745 4,7592 4,9591 5,0258 4,9378 4,7175 4,4154 4,0784 3,7434 3,4423 3,1904 2,9833 2,8173 2,7026 2,6468 2,6387 2,6551 2,6774 2,6918 2,6896 2,6749 2,6639 2,6729 2,7138 2,7941 2,9017 2,9915 3,0047 2,9115 2,7372 2,5454 2,3979 2,3228 2,3111 2,3349 2,3670 2,3830 2,3538 2,2524 2,0741 1,8454 1,6143 1,4337 1,3507 1,3958 1,5640 1,8055 2,0493 2,2421 2,3651 2,4177 2,3929 2,2722 2,0422 1,7115 1,3086 0,8711 0,4406 0,0507 -0,2926 -0,6094 -0,9222 -1,2346 -1,5265 -1,7682 -1,9475 -2,0806 -2,1921 -2,2906 -2,3697 -2,4311 -2,4963 -2,5891 -2,7126 -2,8525 -2,9935 -3,1226 -3,2272 -3,2972 -3,3279 -3,3229 -3,2960 -3,2646 -3,2319 -3,1727 -3,0459 -2,8290 -2,5397 -2,2245 -1,9254 -1,6548 -1,3951 -1,1156 -0,7889 -0,4062 0,0113 0,4167 0,7519 0,9679 1,0508 1,0344 0,9816 0,9519 0,9763 1,0510 1,1506 1,2459 1,3108 1,3245 1,2831 1,2142 1,1660 1,1731 1,2297 1,3013 1,3542 1,3693 1,3469 1,3086 1,2779 1,2520 1,2035 1,1118 0,9827 0,8357 0,6878 0,5528 0,4488 0,3952 0,4015 0,4534 0,5060 0,4959 0,3704 0,1152 -0,2346 -0,6071 -0,9245 -1,1346 -1,2255 -1,2214 -1,1636 -1,0887 -1,0192 -0,9700 -0,9552 -0,9836 -1,0481 -1,1270 -1,1959 -1,2312 -1,2089 -1,1096 -0,9243 -0,6633 -0,3701 -0,1106 0,0687 0,1706 0,2339 0,2921 0,3457 0,3752 0,3706 0,3428 0,3109 0,2837 0,2509 0,1908 0,0965 -0,0051 -0,0649 -0,0364 0,1092 0,3780 0,7585 1,2319 1,7692 2,3197 2,8159 3,1920 3,4020 3,4358 3,3288 3,1507 2,9789 2,8742 2,8687 2,9611 3,1287 3,3449 3,5791 3,7873 3,9215 3,9558 3,9072 3,8283 3,7688 3,7447 3,7474 3,7670 3,7967 3,8299 3,8669 3,9148 3,9743 4,0395 4,1091 4,1904 4,2922 4,4166 4,5556 4,6989 4,8458 5,0072 5,1957 5,4212 5,6948 6,0256 6,4040 6,7956 7,1521 7,4379 7,6478 7,7948 7,8865 7,9258 7,9258 7,9153 7,9281 7,9770 8,0392 8,0690 8,0230 7,8792 7,6487 7,3807 7,1453 7,0024 6,9845 7,0987 7,3250 7,6096 7,8770 8,0659 8,1534 8,1462 8,0600 7,9125 7,7221 7,5118 7,3152 7,1699 7,0978 7,0983 7,1593 7,2597 7,3582 7,3982 7,3349 7,1541 6,8667 6,5005 6,0971 5,7020 5,3431 5,0204 4,7176 4,4231 4,1412 3,8860 3,6724 3,5066 3,3744 3,2488 3,1213 3,0156 2,9623 2,9712 3,0275 3,1013 3,1632 3,1966 3,1934 3,1465 3,0533 2,9222 2,7701 2,6169 2,4799 2,3718 2,3059 2,2990 2,3611 2,4835 2,6354 2,7696 2,8451 2,8580 2,8447 2,8470 2,8782 2,9268 2,9841 3,0541 3,1420 3,2432 3,3517 3,4730 3,6222 3,8120 4,0402 4,2847 4,5114 4,6886 4,7987 4,8443 4,8481 4,8414 4,8471 4,8653 4,8717 4,8343 4,7387 4,6020 4,4607 4,3447 4,2649 4,2164 4,1859 4,1599 4,1347 4,1143 4,0999 4,0779 4,0209 3,8972 3,6825 3,3768 3,0187 2,6727 2,3844 2,1472 1,9210 1,6730 1,3843 1,0309 0,5868 0,0467 -0,5605 -1,1802 -1,7489 -2,2054 -2,5008 -2,6088 -2,5234 -2,2514 -1,8179 -1,2805 -0,7166 -0,1913 0,2623 0,6414 0,9631 1,2594 1,5786 1,9718 2,4561 2,9988 3,5514 4,0907 4,6149 5,1072 5,5239 5,8190 5,9788 6,0284 6,0028 5,9174 5,7736 5,5842 5,3767 5,1689 4,9513 4,7064 4,4389 4,1766 3,9364 3,6974 3,4160 3,0678 2,6674 2,2532 1,8644 1,5274 1,2565 1,0616 0,9588 0,9678 1,0964 1,3278 1,6215 1,9264 2,1949 2,3932 2,5078 2,5514 2,5544 2,5438 2,5338 2,5342 2,5595 2,6285 2,7515 2,9154 3,0928 3,2623 3,4138 3,5391 3,6195 3,6226 3,5189 3,3095 3,0367 2,7641 2,5467 2,4142 2,3671 2,3785 2,4086 2,4325 2,4524 2,4781 2,5044 2,5106 2,4753 2,3890 2,2516 2,0599 1,8114 1,5201 1,2191 0,9456 0,7219 0,5524 0,4379 0,3885 0,4222 0,5494 0,7534 0,9847 1,1846
F7    -1,4135 -1,6426 -1,8260 -1,9570 -2,0294 -2,0349 -1,9717 -1,8519 -1,6972 -1,5295 -1,3687 -1,2343 -1,1363 -1,0616 -0,9770 -0,8478 -0,6563 -0,4076 -0,1197 0,1891 0,5021 0,7966 1,0513 1,2589 1,4185 1,5178 1,5379 1,4751 1,3506 1,2028 1,0752 1,0036 1,0015 1,0541 1,1255 1,1717 1,1551 1,0665 0,9376 0,8159 0,7218 0,6380 0,5351 0,3992 0,2421 0,1002 0,0200 0,0296 0,1183 0,2512 0,4053 0,5837 0,7994 1,0503 1,3079 1,5270 1,6673 1,7119 1,6735 1,5862 1,4874 1,3981 1,3147 1,2147 1,0729 0,8819 0,6629 0,4624 0,3392 0,3406 0,4765 0,7093 0,9745 1,2167 1,4092 1,5503 1,6545 1,7416 1,8210 1,8814 1,8952 1,8359 1,6950 1,4888 1,2503 1,0151 0,8097 0,6440 0,5059 0,3666 0,1959 -0,0194 -0,2665 -0,5087 -0,7060 -0,8419 -0,9290 -0,9878 -1,0275 -1,0427 -1,0304 -1,0082 -1,0079 -1,0504 -1,1361 -1,2598 -1,4235 -1,6330 -1,8957 -2,2216 -2,6152 -3,0694 -3,5717 -4,1093 -4,6649 -5,2145 -5,7323 -6,2014 -6,6189 -6,9870 -7,3008 -7,5425 -7,6837 -7,6942 -7,5484 -7,2372 -6,7912 -6,2854 -5,8008 -5,3777 -5,0015 -4,6230 -4,1929 -3,6941 -3,1504 -2,6096 -2,1137 -1,6797 -1,3018 -0,9651 -0,6537 -0,3518 -0,0457 0,2712 0,5995 0,9397 1,2948 1,6644 2,0333 2,3665 2,6167 2,7419 2,7265 2,5865 2,3435 2,0064 1,5914 1,1426 0,7120 0,3363 0,0450 -0,1322 -0,1823 -0,1220 0,0137 0,1895 0,3715 0,5246 0,6264 0,6781 0,6991 0,7120 0,7285 0,7390 0,7191 0,6487 0,5272 0,3729 0,2104 0,0602 -0,0647 -0,1592 -0,2239 -0,2645 -0,2978 -0,3533 -0,4586 -0,6185 -0,8071 -0,9758 -1,0697 -1,0472 -0,9001 -0,6647 -0,4094 -0,2026 -0,0842 -0,0557 -0,0885 -0,1439 -0,1978 -0,2521 -0,3252 -0,4371 -0,6028 -0,8274 -1,1074 -1,4403 -1,8282 -2,2658 -2,7254 -3,1529 -3,4876 -3,6947 -3,7810 -3,7768 -3,7099 -3,6036 -3,4909 -3,4163 -3,4150 -3,4940 -3,6327 -3,7949 -3,9393 -4,0340 -4,0701 -4,0593 -4,0162 -3,9474 -3,8600 -3,7662 -3,6754 -3,5849 -3,4905 -3,4039 -3,3513 -3,3481 -3,3774 -3,3967 -3,3644 -3,2605 -3,0943 -2,8938 -2,6841 -2,4741 -2,2635 -2,0509 -1,8364 -1,6247 -1,4271 -1,2601 -1,1426 -1,0855 -1,0808 -1,1097 -1,1612 -1,2322 -1,3102 -1,3684 -1,3789 -1,3273 -1,2133 -1,0447 -0,8405 -0,6323 -0,4503 -0,3099 -0,2185 -0,1837 -0,2032 -0,2521 -0,2919 -0,2933 -0,2505 -0,1799 -0,1120 -0,0785 -0,1000 -0,1858 -0,3435 -0,5808 -0,8904 -1,2351 -1,5551 -1,7959 -1,9334 -1,9767 -1,9495 -1,8665 -1,7264 -1,5292 -1,2973 -1,0759 -0,9080 -0,8122 -0,7782 -0,7769 -0,7715 -0,7274 -0,6193 -0,4363 -0,1910 0,0733 0,2921 0,4094 0,4119 0,3362 0,2412 0,1717 0,1460 0,1677 0,2374 0,3550 0,5113 0,6775 0,8084 0,8650 0,8397 0,7581 0,6611 0,5868 0,5640 0,6141 0,7467 0,9420 1,1456 1,2957 1,3614 1,3505 1,2884 1,2010 1,1167 1,0646 1,0626 1,1054 1,1694 1,2329 1,2905 1,3458 1,3984 1,4363 1,4399 1,4001 1,3326 1,2633 1,2051 1,1570 1,1181 1,0929 1,0931 1,1379 1,2423 1,3968 1,5670 1,7148 1,8171 1,8709 1,8842 1,8652 1,8253 1,7877 1,7849 1,8478 1,9991 2,2493 2,5908 3,0009 3,4473 3,8867 4,2689 4,5594 4,7529 4,8664 4,9298 4,9823 5,0615 5,1822 5,3229 5,4402 5,4997 5,4895 5,4146 5,2959 5,1778 5,1158 5,1406 5,2353 5,3517 5,4388 5,4585 5,3918 5,2419 5,0305 4,7862 4,5357 4,2990 4,0899 3,9202 3,8058 3,7610 3,7889 3,8849 4,0339 4,1941 4,3002 4,3046 4,2078 4,0439 3,8491 3,6463 3,4451 3,2437 3,0300 2,7854 2,4973 2,1782 1,8728 1,6359 1,5045 1,4831 1,5439 1,6450 1,7583 1,8748 1,9877 2,0885 2,1807 2,2793 2,3898 2,4963 2,5726 2,5988 2,5706 2,5003 2,4084 2,3112 2,2146 2,1114 1,9893 1,8470 1,7008 1,5764 1,4945 1,4642 1,4884 1,5628 1,6614 1,7348 1,7380 1,6613 1,5337 1,4015 1,3024 1,2536 1,2587 1,3265 1,4799 1,7426 2,1118 2,5354 2,9203 3,1811 3,2836 3,2459 3,1124 2,9356 2,7631 2,6211 2,5087 2,4169 2,3507 2,3225 2,3302 2,3534 2,3678 2,3556 2,3075 2,2231 2,1095 1,9773 1,8382 1,6979 1,5478 1,3710 1,1609 0,9347 0,7312 0,5892 0,5096 0,4394 0,3087 0,0786 -0,2558 -0,6891 -1,2061 -1,7638 -2,2884 -2,7050 -2,9755 -3,1144 -3,1725 -3,2015 -3,2205 -3,2129 -3,1585 -3,0594 -2,9308 -2,7834 -2,6199 -2,4350 -2,2125 -1,9285 -1,5631 -1,1104 -0,5812 0,0075 0,6463 1,3318 2,0457 2,7418 3,3636 3,8698 4,2420 4,4789 4,5884 4,5793 4,4637 4,2693 4,0388 3,8045 3,5723 3,3354 3,0888 2,8303 2,5586 2,2704 1,9622 1,6455 1,3462 1,0791 0,8310 0,5803 0,3297 0,1155 -0,0148 -0,0360 0,0418 0,1855 0,3537 0,4992 0,5749 0,5517 0,4354 0,2631 0,0792 -0,0831 -0,1955 -0,2230 -0,1380 0,0535 0,3061 0,5567 0,7539 0,8707 0,8978 0,8412 0,7209 0,5550 0,3468 0,0992 -0,1678 -0,4247 -0,6505 -0,8337 -0,9612 -1,0153 -0,9816 -0,8629 -0,6871 -0,5034 -0,3630 -0,2960 -0,3024 -0,3680 -0,4896 -0,6809 -0,9503 -1,2766 -1,6114 -1,9002 -2,1047 -2,2154 -2,2437 -2,2039 -2,1063 -1,9643 -1,8036 -1,6561 -1,5463
