Fp1   -2,6018 -2,6110 -2,7967 -3,0381 -3,2128 -3,2170 -2,9787 -2,4782 -1,7624 -0,9500 -0,2213 0,2256 0,2502 -0,1630 -0,9001 -1,7654 -2,5244 -2,9548 -2,9263 -2,4401 -1,5815 -0,4397 0,9233 2,4262 3,8883 5,0361 5,6247 5,5678 4,9762 4,0950 3,1910 2,4486 1,9212 1,5638 1,3218 1,1778 1,1091 1,0462 0,9112 0,6716 0,3354 -0,0810 -0,5512 -1,0080 -1,3279 -1,3794 -1,1317 -0,7303 -0,4444 -0,4942 -0,8887 -1,4095 -1,7515 -1,7032 -1,2358 -0,4549 0,5045 1,5225 2,4665 3,1860 3,5758 3,6223 3,3690 2,8593 2,1225 1,1952 0,1448 -0,9278 -1,9085 -2,6890 -3,1616 -3,2137 -2,7631 -1,8170 -0,4854 1,0475 2,5496 3,7763 4,5295 4,7120 4,3467 3,5461 2,4621 1,2568 0,0961 -0,8593 -1,4766 -1,6777 -1,4522 -0,8635 -0,0413 0,8733 1,7843 2,6305 3,3396 3,8218 4,0043 3,8491 3,3445 2,5272 1,5305 0,5665 -0,1809 -0,6613 -0,9685 -1,2477 -1,5979 -2,0611 -2,6677 -3,4544 -4,4319 -5,5479 -6,6816 -7,6709 -8,3566 -8,6183 -8,3997 -7,7324 -6,7427 -5,6146 -4,5235 -3,5718 -2,7561 -2,0038 -1,2708 -0,6015 -0,0927 0,1774 0,1757 -0,0860 -0,5301 -1,0114 -1,3868 -1,5924 -1,6422 -1,5508 -1,2698 -0,7184 0,1307 1,1955 2,2873 3,1670 3,6312 3,5918 3,1137 2,3898 1,6645 1,1383 0,9114 0,9967 1,3597 1,9351 2,6399 3,3971 4,1313 4,7481 5,1540 5,2913 5,1400 4,7128 4,0712 3,3357 2,6711 2,2350 2,1079 2,2629 2,5924 2,9495 3,1864 3,2058 2,9955 2,6072 2,0974 1,4823 0,7432 -0,1261 -1,0758 -1,9871 -2,6974 -3,0729 -3,0873 -2,8199 -2,3771 -1,8340 -1,2532 -0,7237 -0,3501 -0,2068 -0,3097 -0,6317 -1,1516 -1,8850 -2,8428 -3,9450 -4,9952 -5,7630 -6,0827 -5,8934 -5,2545 -4,3550 -3,4614 -2,8022 -2,4742 -2,4326 -2,5429 -2,6594 -2,7015 -2,6860 -2,6979 -2,8188 -3,0701 -3,4181 -3,8139 -4,2163 -4,5839 -4,8698 -5,0419 -5,1061 -5,1024 -5,0690 -5,0042 -4,8836 -4,7240 -4,5958 -4,5613 -4,6312 -4,7899 -5,0260 -5,3221 -5,6577 -6,0511 -6,5737 -7,2951 -8,2059 -9,1898 -10,0663 -10,6709 -10,9115 -10,7567 -10,1992 -9,2849 -8,1824 -7,1741 -6,5357 -6,4033 -6,7326 -7,3636 -8,1215 -8,8872 -9,6181 -10,3294 -11,0557 -11,8241 -12,6522 -13,5364 -14,4172 -15,1745 -15,6862 -15,8983 -15,8396 -15,5858 -15,2217 -14,8171 -14,4127 -14,0259 -13,6651 -13,3355 -13,0456 -12,8122 -12,6593 -12,6275 -12,7827 -13,1902 -13,8483 -14,6449 -15,3962 -15,9271 -16,1247 -15,9640 -15,5233 -14,9590 -14,4298 -14,0370 -13,8293 -13,8320 -14,0487 -14,4382 -14,9140 -15,3848 -15,7949 -16,1167 -16,3223 -16,3806 -16,2807 -16,0560 -15,7802 -15,5130 -15,2310 -14,8455 -14,3220 -13,7654 -13,3536 -13,1860 -13,2069 -13,2666 -13,2242 -12,9885 -12,5184 -11,8472 -11,1120 -10,5150 -10,2208 -10,2777 -10,6230 -11,1401 -11,7009 -12,1837 -12,4995 -12,6207 -12,5744 -12,4100 -12,1775 -11,9396 -11,7962 -11,8546 -12,1445 -12,5759 -12,9915 -13,2577 -13,3210 -13,1973 -12,9174 -12,4968 -11,9576 -11,3674 -10,8568 -10,6037 -10,7474 -11,2669 -11,9563 -12,5415 -12,8292 -12,7939 -12,5726 -12,3743 -12,3629 -12,5779 -12,9245 -13,2284 -13,3235 -13,1351 -12,7216 -12,2368 -11,8427 -11,6505 -11,7112 -12,0112 -12,4519 -12,8646 -13,0872 -13,0354 -12,7095 -12,1731 -11,5391 -10,9429 -10,4832 -10,1736 -9,9608 -9,7903 -9,6571 -9,6210 -9,7771 -10,1757 -10,7672 -11,4392 -12,0857 -12,6286 -13,0040 -13,1660 -13,1182 -12,9287 -12,6956 -12,4947 -12,3616 -12,3161 -12,3870 -12,6018 -12,9606 -13,4185 -13,8723 -14,1811 -14,2348 -14,0153 -13,5999 -13,1237 -12,7204 -12,4589 -12,3207 -12,2280 -12,0931 -11,8603 -11,5190 -11,0791 -10,5533 -9,9757 -9,4222 -8,9974 -8,7879 -8,8124 -9,0193 -9,3346 -9,7040 -10,0963 -10,4773 -10,7844 -10,9455 -10,9451 -10,8755 -10,8919 -11,1006 -11,4952 -11,9750 -12,4064 -12,6927 -12,8055 -12,7623 -12,5940 -12,3230 -11,9580 -11,5079 -10,9995 -10,4913 -10,0654 -9,7782 -9,6178 -9,5218 -9,4233 -9,2816 -9,0830 -8,8230 -8,5005 -8,1410 -7,8210 -7,6561 -7,7586 -8,1939 -8,9428 -9,8847 -10,8363 -11,6260 -12,1385 -12,3048 -12,0776 -11,4705 -10,6313 -9,8138 -9,2366 -8,9812 -9,0175 -9,2808 -9,7177 -10,2925 -10,9654 -11,6520 -12,2151 -12,5181 -12,5048 -12,2421 -11,8882 -11,6064 -11,4670 -11,4051 -11,2854 -11,0236 -10,6508 -10,2844 -10,0534 -10,0417 -10,2792 -10,7584 -11,4332 -12,2074 -12,9495 -13,5434 -13,9343 -14,1307 -14,1602 -14,0158 -13,6570 -13,0710 -12,3210 -11,5195 -10,7607 -10,0998 -9,5868 -9,2840 -9,2342 -9,4239 -9,7601 -10,0668 -10,1468 -9,9114 -9,4710 -9,0813 -8,9728 -9,1998 -9,6246 -10,0206 -10,1947 -10,0668 -9,7001 -9,2705 -8,9638 -8,8525 -8,8588 -8,8329 -8,6678 -8,3592 -7,9756 -7,5738 -7,1490 -6,6740 -6,1917 -5,8555 -5,8444 -6,2294 -6,9311 -7,7888 -8,6461 -9,3806 -9,8934 -10,1262 -10,1038 -9,9236 -9,6914 -9,4670 -9,2455 -8,9797 -8,6541 -8,3518 -8,2211 -8,3687 -8,7917 -9,4035 -10,1016 -10,8103 -11,4850 -12,1083 -12,6826 -13,1989 -13,5968 -13,7701 -13,6287 -13,1724 -12,5283 -11,9144 -11,5378 -11,4979 -11,7597 -12,2018 -12,7008 -13,1905 -13,6559 -14,0880 -14,4503 -14,6653 -14,6135 -14,1734 -13,2919 -12,0374 -10,6199 -9,3683 -8,6269 -8,6121 -9,3280 -10,5754 -12,0160 -13,2890 -14,1626 -14,6110 -14,7521 -14,7202 -14,5890 -14,3807 -14,1186 -13,8477 -13,5879 -13,2891 -12,8763 -12,3466 -11,8084 -11,4290 -11,3594 -11,6829 -12,3679 -13,2364 -14,0188 -14,4854 -14,5517 -14,2915
Fz    -1,1174 -1,0248 -0,9459 -0,8786 -0,8229 -0,7686 -0,6979 -0,5973 -0,4625 -0,2991 -0,1231 0,0455 0,1975 0,3436 0,5049 0,6973 0,9268 1,1907 1,4744 1,7522 1,9954 2,1805 2,2932 2,3295 2,2887 2,1668 1,9655 1,7033 1,4082 1,1044 0,8131 0,5550 0,3411 0,1663 0,0150 -0,1332 -0,3027 -0,5173 -0,7874 -1,1063 -1,4565 -1,8045 -2,0947 -2,2663 -2,2818 -2,1419 -1,8836 -1,5726 -1,2870 -1,0850 -0,9734 -0,9115 -0,8474 -0,7479 -0,6054 -0,4258 -0,2150 0,0228 0,2732 0,5052 0,6787 0,7557 0,7133 0,5529 0,2996 -0,0055 -0,3171 -0,6025 -0,8461 -1,0389 -1,1722 -1,2400 -1,2437 -1,1965 -1,1219 -1,0442 -0,9841 -0,9541 -0,9583 -0,9986 -1,0827 -1,2168 -1,3893 -1,5629 -1,6898 -1,7310 -1,6631 -1,4767 -1,1750 -0,7798 -0,3343 0,1177 0,5511 0,9520 1,3019 1,5853 1,8028 1,9581 2,0337 1,9952 1,8188 1,5072 1,0769 0,5404 -0,0896 -0,7794 -1,4748 -2,1375 -2,7739 -3,4198 -4,1022 -4,8104 -5,4925 -6,0725 -6,4770 -6,6529 -6,5816 -6,2915 -5,8495 -5,3193 -4,7316 -4,1012 -3,4578 -2,8484 -2,3176 -1,8841 -1,5302 -1,2179 -0,9176 -0,6181 -0,3127 0,0096 0,3467 0,6683 0,9307 1,1077 1,2078 1,2621 1,3037 1,3565 1,4376 1,5646 1,7583 2,0272 2,3504 2,6823 2,9757 3,2034 3,3676 3,4933 3,6052 3,7087 3,7977 3,8700 3,9194 3,9254 3,8683 3,7508 3,5948 3,4253 3,2643 3,1316 3,0366 2,9628 2,8669 2,7055 2,4622 2,1445 1,7632 1,3332 0,8936 0,5013 0,1948 -0,0261 -0,1846 -0,3049 -0,4078 -0,5161 -0,6516 -0,8271 -1,0458 -1,2990 -1,5565 -1,7681 -1,8879 -1,9003 -1,8267 -1,7097 -1,5850 -1,4679 -1,3650 -1,2906 -1,2592 -1,2642 -1,2753 -1,2620 -1,2153 -1,1443 -1,0630 -0,9875 -0,9389 -0,9405 -1,0080 -1,1429 -1,3302 -1,5400 -1,7366 -1,8913 -1,9882 -2,0218 -1,9983 -1,9412 -1,8896 -1,8812 -1,9318 -2,0340 -2,1686 -2,3103 -2,4361 -2,5363 -2,6074 -2,6386 -2,6185 -2,5565 -2,4915 -2,4766 -2,5537 -2,7338 -2,9898 -3,2689 -3,5212 -3,7230 -3,8822 -4,0242 -4,1682 -4,3137 -4,4465 -4,5564 -4,6495 -4,7421 -4,8443 -4,9556 -5,0762 -5,2126 -5,3697 -5,5424 -5,7152 -5,8683 -5,9861 -6,0680 -6,1291 -6,1825 -6,2286 -6,2672 -6,3116 -6,3877 -6,5224 -6,7323 -7,0125 -7,3349 -7,6556 -7,9296 -8,1228 -8,2150 -8,1977 -8,0780 -7,8851 -7,6696 -7,4928 -7,4126 -7,4671 -7,6584 -7,9473 -8,2696 -8,5686 -8,8193 -9,0218 -9,1762 -9,2707 -9,2868 -9,2100 -9,0423 -8,8142 -8,5834 -8,4113 -8,3319 -8,3409 -8,4041 -8,4783 -8,5320 -8,5526 -8,5435 -8,5212 -8,5054 -8,5034 -8,5003 -8,4622 -8,3458 -8,1164 -7,7789 -7,3911 -7,0315 -6,7468 -6,5374 -6,3863 -6,2817 -6,2107 -6,1513 -6,0875 -6,0283 -6,0018 -6,0285 -6,1043 -6,2128 -6,3487 -6,5131 -6,6896 -6,8439 -6,9492 -7,0035 -7,0238 -7,0270 -7,0119 -6,9618 -6,8643 -6,7276 -6,5728 -6,4176 -6,2749 -6,1583 -6,0763 -6,0235 -5,9857 -5,9438 -5,8725 -5,7576 -5,6265 -5,5415 -5,5458 -5,6280 -5,7417 -5,8453 -5,9215 -5,9741 -6,0181 -6,0671 -6,1192 -6,1433 -6,0892 -5,9211 -5,6461 -5,3101 -4,9666 -4,6484 -4,3677 -4,1369 -3,9818 -3,9318 -4,0016 -4,1863 -4,4679 -4,8130 -5,1653 -5,4620 -5,6671 -5,7758 -5,7963 -5,7461 -5,6624 -5,5956 -5,5900 -5,6677 -5,8233 -6,0294 -6,2557 -6,4848 -6,7150 -6,9531 -7,2013 -7,4388 -7,6182 -7,6865 -7,6157 -7,4174 -7,1391 -6,8473 -6,6002 -6,4262 -6,3209 -6,2559 -6,1886 -6,0775 -5,9018 -5,6730 -5,4277 -5,2038 -5,0218 -4,8916 -4,8285 -4,8450 -4,9287 -5,0410 -5,1457 -5,2305 -5,2998 -5,3528 -5,3771 -5,3583 -5,2871 -5,1597 -4,9788 -4,7606 -4,5343 -4,3289 -4,1647 -4,0563 -4,0184 -4,0673 -4,2147 -4,4605 -4,7930 -5,1921 -5,6275 -6,0567 -6,4297 -6,6985 -6,8333 -6,8406 -6,7661 -6,6721 -6,6036 -6,5782 -6,6009 -6,6677 -6,7498 -6,7902 -6,7277 -6,5292 -6,2045 -5,8000 -5,3795 -4,9978 -4,6878 -4,4658 -4,3385 -4,3013 -4,3351 -4,4142 -4,5216 -4,6554 -4,8223 -5,0268 -5,2667 -5,5396 -5,8457 -6,1791 -6,5213 -6,8483 -7,1416 -7,3911 -7,5945 -7,7508 -7,8477 -7,8586 -7,7612 -7,5586 -7,2793 -6,9617 -6,6395 -6,3354 -6,0632 -5,8308 -5,6447 -5,5138 -5,4515 -5,4691 -5,5654 -5,7235 -5,9278 -6,1863 -6,5328 -6,9988 -7,5840 -8,2511 -8,9411 -9,5888 -10,1272 -10,4907 -10,6313 -10,5365 -10,2306 -9,7616 -9,1806 -8,5270 -7,8334 -7,1368 -6,4750 -5,8754 -5,3510 -4,9050 -4,5428 -4,2807 -4,1428 -4,1509 -4,3085 -4,5917 -4,9518 -5,3302 -5,6734 -5,9378 -6,0903 -6,1112 -5,9926 -5,7295 -5,3196 -4,7764 -4,1381 -3,4659 -2,8305 -2,2941 -1,8942 -1,6345 -1,4925 -1,4386 -1,4497 -1,5113 -1,6168 -1,7648 -1,9557 -2,1910 -2,4732 -2,8046 -3,1831 -3,5979 -4,0365 -4,4930 -4,9652 -5,4439 -5,9105 -6,3489 -6,7529 -7,1206 -7,4492 -7,7377 -7,9899 -8,2187 -8,4473 -8,6974 -8,9721 -9,2519 -9,5092 -9,7265 -9,9020 -10,0479 -10,1875 -10,3472 -10,5385 -10,7464 -10,9380 -11,0802 -11,1535 -11,1543 -11,0894 -10,9679 -10,7955 -10,5747 -10,3096 -10,0101 -9,6970 -9,4026 -9,1667 -9,0288 -9,0195 -9,1479 -9,3960 -9,7274 -10,0991 -10,4676 -10,7954 -11,0625 -11,2670 -11,4149 -11,5123 -11,5658 -11,5825 -11,5619 -11,4923 -11,3603 -11,1629 -10,9126 -10,6373 -10,3763 -10,1685 -10,0374 -9,9781 -9,9575 -9,9323 -9,8667 -9,7388 -9,5402
F3    -2,1795 -2,0934 -1,9080 -1,6983 -1,5563 -1,5279 -1,5896 -1,6720 -1,6973 -1,6095 -1,3931 -1,0679 -0,6638 -0,1983 0,3254 0,9023 1,5128 2,1179 2,6580 3,0545 3,2215 3,0930 2,6684 2,0390 1,3486 0,7211 0,2241 -0,1215 -0,3263 -0,4214 -0,4365 -0,3815 -0,2539 -0,0600 0,1734 0,4023 0,5707 0,6247 0,5439 0,3555 0,1159 -0,1170 -0,3007 -0,4186 -0,4750 -0,4824 -0,4623 -0,4527 -0,4967 -0,6117 -0,7743 -0,9406 -1,0744 -1,1545 -1,1667 -1,1007 -0,9524 -0,7253 -0,4359 -0,1260 0,1341 0,2608 0,1897 -0,0871 -0,5054 -0,9506 -1,3055 -1,4957 -1,4995 -1,3312 -1,0260 -0,6316 -0,2085 0,1706 0,4367 0,5496 0,5109 0,3600 0,1496 -0,0905 -0,3622 -0,6753 -1,0169 -1,3405 -1,5805 -1,6781 -1,5990 -1,3382 -0,9180 -0,3914 0,1543 0,6226 0,9548 1,1546 1,2778 1,4073 1,6149 1,9086 2,2082 2,3825 2,3201 1,9765 1,3723 0,5682 -0,3533 -1,2974 -2,1757 -2,9407 -3,6056 -4,2191 -4,8175 -5,3923 -5,8872 -6,2265 -6,3589 -6,2828 -6,0392 -5,6898 -5,2917 -4,8687 -4,4067 -3,8895 -3,3301 -2,7719 -2,2739 -1,8910 -1,6443 -1,5010 -1,3878 -1,2323 -0,9913 -0,6542 -0,2434 0,1875 0,5747 0,8744 1,0802 1,2130 1,3034 1,3880 1,5116 1,7262 2,0787 2,5817 3,1883 3,8050 4,3332 4,7063 4,9091 4,9716 4,9344 4,8148 4,6170 4,3643 4,1012 3,8703 3,7020 3,6212 3,6522 3,8145 4,1129 4,5212 4,9651 5,3244 5,4655 5,2950 4,7972 4,0253 3,0636 2,0082 0,9755 0,0980 -0,5202 -0,8435 -0,9007 -0,7540 -0,4760 -0,1395 0,1911 0,4626 0,6243 0,6234 0,4228 0,0328 -0,4750 -0,9950 -1,4376 -1,7597 -1,9584 -2,0466 -2,0434 -1,9754 -1,8622 -1,6940 -1,4385 -1,0761 -0,6318 -0,1752 0,2047 0,4313 0,4685 0,3261 0,0407 -0,3511 -0,8191 -1,3247 -1,8109 -2,2107 -2,4649 -2,5370 -2,4257 -2,1769 -1,8783 -1,6243 -1,4742 -1,4387 -1,4974 -1,6180 -1,7715 -1,9464 -2,1415 -2,3426 -2,5173 -2,6359 -2,6970 -2,7362 -2,8111 -2,9637 -3,1843 -3,4108 -3,5692 -3,6126 -3,5371 -3,3780 -3,1997 -3,0811 -3,0945 -3,2854 -3,6626 -4,1980 -4,8330 -5,4954 -6,1210 -6,6664 -7,1005 -7,3942 -7,5223 -7,4719 -7,2499 -6,8848 -6,4193 -5,8951 -5,3502 -4,8355 -4,4286 -4,2266 -4,3230 -4,7731 -5,5574 -6,5729 -7,6609 -8,6519 -9,4041 -9,8227 -9,8699 -9,5746 -9,0309 -8,3756 -7,7497 -7,2665 -6,9930 -6,9469 -7,1018 -7,3986 -7,7702 -8,1678 -8,5671 -8,9574 -9,3297 -9,6630 -9,9132 -10,0297 -9,9956 -9,8489 -9,6567 -9,4701 -9,3015 -9,1292 -8,9217 -8,6629 -8,3665 -8,0830 -7,8938 -7,8826 -8,0895 -8,4771 -8,9322 -9,3022 -9,4569 -9,3483 -9,0244 -8,5789 -8,0868 -7,5945 -7,1502 -6,8073 -6,5906 -6,4803 -6,4358 -6,4275 -6,4447 -6,4851 -6,5472 -6,6370 -6,7700 -6,9498 -7,1440 -7,2958 -7,3623 -7,3340 -7,2250 -7,0504 -6,8143 -6,5231 -6,2132 -5,9597 -5,8477 -5,9292 -6,1999 -6,6051 -7,0608 -7,4790 -7,7935 -7,9640 -7,9633 -7,7909 -7,5043 -7,2059 -6,9748 -6,8219 -6,7139 -6,6215 -6,5424 -6,4951 -6,5093 -6,6159 -6,8239 -7,0929 -7,3376 -7,4677 -7,4320 -7,2299 -6,8870 -6,4264 -5,8698 -5,2661 -4,7108 -4,3303 -4,2377 -4,4927 -5,0786 -5,8874 -6,7330 -7,4230 -7,8491 -8,0090 -7,9589 -7,7716 -7,5294 -7,3162 -7,1966 -7,1958 -7,2912 -7,4284 -7,5603 -7,6771 -7,8008 -7,9602 -8,1684 -8,4052 -8,6150 -8,7341 -8,7237 -8,5824 -8,3429 -8,0669 -7,8219 -7,6445 -7,5298 -7,4504 -7,3713 -7,2499 -7,0400 -6,7107 -6,2679 -5,7605 -5,2685 -4,8959 -4,7562 -4,9245 -5,3824 -6,0213 -6,7078 -7,3386 -7,8473 -8,1929 -8,3572 -8,3495 -8,1981 -7,9339 -7,5859 -7,1863 -6,7663 -6,3442 -5,9310 -5,5519 -5,2546 -5,0922 -5,0952 -5,2588 -5,5511 -5,9269 -6,3350 -6,7251 -7,0549 -7,2925 -7,4216 -7,4504 -7,4133 -7,3526 -7,2896 -7,2218 -7,1522 -7,1003 -7,0750 -7,0505 -6,9809 -6,8364 -6,6252 -6,3876 -6,1698 -5,9906 -5,8304 -5,6558 -5,4483 -5,2073 -4,9397 -4,6605 -4,4063 -4,2361 -4,2145 -4,3913 -4,7931 -5,4197 -6,2333 -7,1505 -8,0595 -8,8559 -9,4689 -9,8611 -10,0177 -9,9420 -9,6520 -9,1764 -8,5647 -7,8991 -7,2896 -6,8423 -6,6149 -6,5973 -6,7256 -6,9133 -7,0861 -7,2109 -7,2972 -7,3709 -7,4444 -7,5078 -7,5436 -7,5532 -7,5688 -7,6400 -7,8107 -8,1103 -8,5526 -9,1215 -9,7502 -10,3294 -10,7492 -10,9431 -10,9003 -10,6495 -10,2332 -9,6907 -9,0514 -8,3369 -7,5690 -6,7844 -6,0391 -5,3929 -4,8917 -4,5629 -4,4254 -4,4979 -4,7904 -5,2883 -5,9459 -6,6883 -7,4189 -8,0288 -8,4159 -8,5099 -8,2814 -7,7368 -6,9190 -5,9104 -4,8215 -3,7710 -2,8717 -2,2241 -1,8940 -1,8756 -2,0855 -2,4042 -2,7253 -2,9763 -3,1256 -3,1866 -3,2118 -3,2672 -3,4022 -3,6337 -3,9463 -4,3060 -4,6875 -5,0950 -5,5532 -6,0790 -6,6624 -7,2708 -7,8644 -8,4060 -8,8617 -9,2016 -9,4070 -9,4909 -9,5098 -9,5419 -9,6440 -9,8194 -10,0249 -10,2123 -10,3626 -10,4897 -10,6262 -10,8019 -11,0178 -11,2360 -11,4007 -11,4742 -11,4552 -11,3697 -11,2419 -11,0698 -10,8294 -10,5033 -10,1068 -9,6900 -9,3202 -9,0585 -8,9376 -8,9522 -9,0693 -9,2507 -9,4748 -9,7483 -10,0937 -10,5173 -10,9931 -11,4700 -11,8846 -12,1783 -12,3228 -12,3325 -12,2490 -12,1111 -11,9342 -11,7149 -11,4507 -11,1597 -10,8819 -10,6607 -10,5212 -10,4634 -10,4643 -10,4847 -10,4767 -10,3932 -10,1960 -9,8653
