Fp1   2,5111 2,5246 2,5263 2,5130 2,4835 2,4377 2,3740 2,2895 2,1802 2,0433 1,8814 1,7001 1,5025 1,2870 1,0545 0,8151 0,5815 0,3581 0,1384 -0,0863 -0,3152 -0,5339 -0,7199 -0,8554 -0,9412 -0,9967 -1,0447 -1,0962 -1,1502 -1,2052 -1,2652 -1,3376 -1,4289 -1,5387 -1,6545 -1,7570 -1,8329 -1,8789 -1,8906 -1,8568 -1,7686 -1,6258 -1,4316 -1,1903 -0,9138 -0,6234 -0,3466 -0,1126 0,0535 0,1434 0,1725 0,1732 0,1804 0,2225 0,3239 0,5026 0,7569 1,0570 1,3558 1,6050 1,7661 1,8205 1,7728 1,6460 1,4770 1,3052 1,1573 1,0416 0,9561 0,8938 0,8410 0,7826 0,7175 0,6636 0,6395 0,6443 0,6596 0,6646 0,6458 0,5985 0,5284 0,4494 0,3798 0,3395 0,3487 0,4271 0,5882 0,8266 1,1075 1,3760 1,5839 1,7075 1,7459 1,7072 1,6000 1,4383 1,2498 1,0695 0,9255 0,8330 0,8015 0,8370 0,9340 1,0653 1,1865 1,2536 1,2410 1,1471 0,9873 0,7816 0,5494 0,3072 0,0715 -0,1361 -0,2919 -0,3767 -0,3801 -0,3026 -0,1511 0,0668 0,3382 0,6327 0,9105 1,1442 1,3283 1,4701 1,5769 1,6491 1,6815 1,6700 1,6183 1,5389 1,4489 1,3674 1,3150 1,3070 1,3454 1,4187 1,5103 1,6092 1,7129 1,8243 1,9481 2,0901 2,2517 2,4176 2,5540 2,6294 2,6387 2,6001 2,5322 2,4432 2,3415 2,2437 2,1721 2,1467 2,1743 2,2450 2,3367 2,4260 2,5006 2,5653 2,6374 2,7347 2,8592 2,9897 3,0985 3,1770 3,2409 3,3146 3,4138 3,5375 3,6689 3,7828 3,8492 3,8382 3,7345 3,5488 3,3091 3,0406 2,7594 2,4804 2,2255 2,0227 1,8970 1,8568 1,8894 1,9679 2,0629 2,1551 2,2413 2,3262 2,4088 2,4820 2,5429 2,5975 2,6536 2,7085 2,7478 2,7568 2,7355 2,7018 2,6792 2,6848 2,7249 2,7956 2,8865 2,9838 3,0657 3,1012 3,0648 2,9533 2,7869 2,5992 2,4304 2,3204 2,2966 2,3652 2,5142 2,7208 2,9564 3,1945 3,4156 3,6061 3,7581 3,8715 3,9542 4,0175 4,0674 4,1011 4,1149 4,1119 4,0988 4,0758 4,0356 3,9677 3,8621 3,7120 3,5193 3,2988 3,0758 2,8775 2,7251 2,6308 2,5939 2,6013 2,6406 2,7100 2,8093 2,9256 3,0304 3,0930 3,0958 3,0418 2,9433 2,8050 2,6232 2,4037 2,1723 1,9672 1,8225 1,7536 1,7530 1,7977 1,8597 1,9139 1,9448 1,9478 1,9252 1,8803 1,8152 1,7329 1,6374 1,5322 1,4230 1,3260 1,2659 1,2604 1,3035 1,3691 1,4343 1,4985 1,5796 1,6999 1,8771 2,1186 2,4156 2,7483 3,0969 3,4434 3,7669 4,0473 4,2728 4,4377 4,5360 4,5635 4,5223 4,4243 4,2945 4,1678 4,0729 4,0175 3,9875 3,9575 3,9042 3,8194 3,7142 3,6104 3,5276 3,4733 3,4432 3,4284 3,4251 3,4325 3,4459 3,4566 3,4604 3,4613 3,4681 3,4902 3,5375 3,6221 3,7590 3,9685 4,2721 4,6733 5,1366 5,5906 5,9517 6,1511 6,1610 6,0082 5,7586 5,4859 5,2475 5,0775 4,9898 4,9827 5,0428 5,1514 5,2881 5,4282 5,5428 5,6099 5,6263 5,6047 5,5625 5,5088 5,4382 5,3366 5,1900 4,9889 4,7353 4,4522 4,1816 3,9641 3,8204 3,7494 3,7372 3,7646 3,8078 3,8440 3,8662 3,8883 3,9265 3,9795 4,0305 4,0624 4,0687 4,0550 4,0348 4,0244 4,0379 4,0808 4,1396 4,1815 4,1751 4,1155 4,0246 3,9311 3,8531 3,7944 3,7517 3,7232 3,7097 3,7112 3,7236 3,7380 3,7407 3,7179 3,6670 3,6015 3,5416 3,5014 3,4852 3,4937 3,5300 3,5976 3,6962 3,8191 3,9510 4,0686 4,1488 4,1758 4,1407 4,0386 3,8723 3,6633 3,4528 3,2848 3,1860 3,1589 3,1878 3,2469 3,3092 3,3560 3,3825 3,3920 3,3881 3,3737 3,3498 3,3132 3,2596 3,1880 3,1043 3,0257 2,9787 2,9871 3,0544 3,1565 3,2529 3,3093 3,3154 3,2860 3,2476 3,2227 3,2232 3,2495 3,2881 3,3130 3,2986 3,2337 3,1234 2,9827 2,8294 2,6735 2,5083 2,3101 2,0533 1,7336 1,3752 1,0159 0,6888 0,4204 0,2318 0,1315 0,1057 0,1219 0,1417 0,1335 0,0783 -0,0305 -0,1854 -0,3645 -0,5374 -0,6794 -0,7855 -0,8685 -0,9396 -0,9911 -1,0007 -0,9493 -0,8368 -0,6859 -0,5314 -0,4051 -0,3266 -0,2997 -0,3126 -0,3436 -0,3683 -0,3648 -0,3230 -0,2533 -0,1838 -0,1470 -0,1662 -0,2429 -0,3528 -0,4606 -0,5411 -0,5911 -0,6244 -0,6631 -0,7262 -0,8196 -0,9303 -1,0316 -1,0947 -1,1007 -1,0459 -0,9424 -0,8138 -0,6858 -0,5751 -0,4830 -0,3962 -0,2957 -0,1645 0,0107 0,2369 0,5065 0,7928 1,0630 1,2942 1,4758 1,6019 1,6645 1,6493 1,5432 1,3502 1,0967 0,8161 0,5332 0,2607 0,0033 -0,2399 -0,4745 -0,7076 -0,9440 -1,1854 -1,4251 -1,6455 -1,8250 -1,9491 -2,0132 -2,0206 -1,9796 -1,9010 -1,7975 -1,6882 -1,5984 -1,5427 -1,5139 -1,4939 -1,4679 -1,4236 -1,3492 -1,2447 -1,1271 -1,0128 -0,8996 -0,7716 -0,6213 -0,4567 -0,2874 -0,1160 0,0513 0,1997 0,3106 0,3669 0,3573 0,2802 0,1457 -0,0236 -0,1954 -0,3428 -0,4629 -0,5763 -0,7090 -0,8739 -1,0622 -1,2454 -1,3901 -1,4811 -1,5309 -1,5653 -1,6077 -1,6715 -1,7573 -1,8553 -1,9516 -2,0319 -2,0840 -2,1053 -2,1039 -2,0884 -2,0658 -2,0493 -2,0605 -2,1175 -2,2247 -2,3701 -2,5313 -2,6829 -2,7987 -2,8603 -2,8681 -2,8398 -2,7964
Fz    3,4063 3,3799 3,3105 3,2017 3,0599 2,8949 2,7165 2,5299 2,3370 2,1404 1,9454 1,7563 1,5719 1,3822 1,1746 0,9459 0,7031 0,4508 0,1860 -0,0944 -0,3850 -0,6711 -0,9328 -1,1511 -1,3155 -1,4296 -1,5086 -1,5705 -1,6266 -1,6808 -1,7342 -1,7894 -1,8499 -1,9151 -1,9769 -2,0222 -2,0412 -2,0299 -1,9828 -1,8901 -1,7467 -1,5576 -1,3337 -1,0891 -0,8384 -0,5933 -0,3619 -0,1532 0,0216 0,1568 0,2597 0,3489 0,4448 0,5613 0,7069 0,8865 1,0976 1,3229 1,5335 1,6969 1,7838 1,7769 1,6775 1,5082 1,3086 1,1238 0,9846 0,8984 0,8546 0,8334 0,8108 0,7676 0,7034 0,6372 0,5911 0,5749 0,5850 0,6085 0,6281 0,6293 0,6066 0,5635 0,5096 0,4578 0,4242 0,4288 0,4893 0,6088 0,7696 0,9385 1,0816 1,1786 1,2294 1,2480 1,2512 1,2543 1,2698 1,3052 1,3631 1,4451 1,5551 1,6966 1,8649 2,0435 2,2079 2,3322 2,3958 2,3888 2,3141 2,1845 2,0151 1,8188 1,6102 1,4114 1,2497 1,1482 1,1199 1,1641 1,2691 1,4196 1,5979 1,7791 1,9366 2,0545 2,1305 2,1683 2,1702 2,1362 2,0678 1,9716 1,8579 1,7372 1,6176 1,5059 1,4088 1,3306 1,2711 1,2269 1,1969 1,1862 1,2049 1,2627 1,3653 1,5134 1,7019 1,9146 2,1234 2,3025 2,4441 2,5573 2,6521 2,7308 2,7915 2,8371 2,8805 2,9433 3,0457 3,1940 3,3757 3,5706 3,7649 3,9559 4,1439 4,3232 4,4802 4,5992 4,6719 4,7056 4,7225 4,7515 4,8155 4,9216 5,0595 5,2035 5,3171 5,3630 5,3175 5,1804 4,9695 4,7106 4,4314 4,1583 3,9148 3,7212 3,5925 3,5306 3,5200 3,5326 3,5409 3,5282 3,4945 3,4516 3,4114 3,3817 3,3689 3,3792 3,4127 3,4571 3,4892 3,4870 3,4452 3,3807 3,3224 3,2950 3,3088 3,3576 3,4252 3,4933 3,5410 3,5452 3,4911 3,3834 3,2478 3,1227 3,0479 3,0536 3,1502 3,3250 3,5515 3,8029 4,0561 4,2913 4,4907 4,6418 4,7436 4,8083 4,8541 4,8925 4,9204 4,9258 4,9008 4,8456 4,7643 4,6593 4,5308 4,3779 4,1997 3,9963 3,7683 3,5169 3,2481 2,9765 2,7284 2,5347 2,4155 2,3688 2,3780 2,4252 2,4945 2,5672 2,6207 2,6362 2,6075 2,5399 2,4392 2,3043 2,1343 1,9397 1,7433 1,5708 1,4420 1,3661 1,3417 1,3584 1,3990 1,4442 1,4800 1,5013 1,5092 1,5059 1,4927 1,4714 1,4438 1,4102 1,3714 1,3340 1,3067 1,2958 1,3003 1,3120 1,3237 1,3374 1,3653 1,4253 1,5364 1,7114 1,9505 2,2410 2,5651 2,9048 3,2424 3,5598 3,8392 4,0660 4,2299 4,3262 4,3558 4,3275 4,2610 4,1853 4,1263 4,0921 4,0713 4,0435 3,9926 3,9182 3,8377 3,7777 3,7561 3,7706 3,8036 3,8365 3,8586 3,8660 3,8559 3,8276 3,7870 3,7470 3,7251 3,7356 3,7855 3,8763 4,0109 4,1974 4,4475 4,7620 5,1135 5,4475 5,7015 5,8269 5,8061 5,6598 5,4367 5,1934 4,9769 4,8163 4,7222 4,6917 4,7147 4,7819 4,8870 5,0173 5,1482 5,2533 5,3188 5,3471 5,3508 5,3394 5,3103 5,2516 5,1512 5,0035 4,8159 4,6141 4,4356 4,3117 4,2537 4,2543 4,2961 4,3586 4,4178 4,4504 4,4494 4,4286 4,4059 4,3870 4,3648 4,3284 4,2705 4,1918 4,1044 4,0314 3,9978 4,0138 4,0619 4,1031 4,1017 4,0480 3,9591 3,8621 3,7776 3,7151 3,6790 3,6698 3,6824 3,7069 3,7351 3,7621 3,7833 3,7926 3,7902 3,7906 3,8159 3,8810 3,9859 4,1217 4,2783 4,4438 4,6031 4,7383 4,8317 4,8710 4,8529 4,7822 4,6642 4,4991 4,2879 4,0443 3,7989 3,5879 3,4373 3,3549 3,3310 3,3435 3,3658 3,3776 3,3707 3,3466 3,3105 3,2658 3,2087 3,1293 3,0204 2,8852 2,7403 2,6139 2,5395 2,5423 2,6252 2,7617 2,9051 3,0133 3,0698 3,0849 3,0782 3,0640 3,0496 3,0362 3,0183 2,9840 2,9196 2,8149 2,6668 2,4812 2,2698 2,0408 1,7913 1,5098 1,1875 0,8311 0,4651 0,1207 -0,1742 -0,3975 -0,5350 -0,5871 -0,5714 -0,5182 -0,4615 -0,4348 -0,4675 -0,5762 -0,7543 -0,9691 -1,1747 -1,3338 -1,4319 -1,4754 -1,4757 -1,4352 -1,3486 -1,2129 -1,0351 -0,8359 -0,6439 -0,4846 -0,3729 -0,3114 -0,2903 -0,2891 -0,2843 -0,2564 -0,1964 -0,1114 -0,0210 0,0523 0,0874 0,0706 0,0051 -0,0892 -0,1887 -0,2783 -0,3561 -0,4311 -0,5170 -0,6224 -0,7414 -0,8521 -0,9283 -0,9537 -0,9274 -0,8602 -0,7680 -0,6692 -0,5778 -0,4965 -0,4153 -0,3179 -0,1900 -0,0216 0,1896 0,4335 0,6868 0,9226 1,1198 1,2660 1,3528 1,3716 1,3134 1,1726 0,9566 0,6875 0,3924 0,0914 -0,2050 -0,4908 -0,7625 -1,0200 -1,2621 -1,4846 -1,6827 -1,8502 -1,9774 -2,0544 -2,0752 -2,0385 -1,9472 -1,8086 -1,6335 -1,4365 -1,2392 -1,0680 -0,9399 -0,8524 -0,7883 -0,7272 -0,6520 -0,5536 -0,4349 -0,3087 -0,1831 -0,0532 0,0908 0,2477 0,4039 0,5452 0,6652 0,7609 0,8280 0,8606 0,8526 0,7989 0,6993 0,5625 0,4072 0,2553 0,1200 -0,0020 -0,1284 -0,2781 -0,4589 -0,6615 -0,8624 -1,0356 -1,1662 -1,2567 -1,3225 -1,3859 -1,4685 -1,5812 -1,7191 -1,8641 -1,9910 -2,0804 -2,1311 -2,1603 -2,1920 -2,2493 -2,3519 -2,5107 -2,7215 -2,9638 -3,2071 -3,4215 -3,5841 -3,6773 -3,6945 -3,6501 -3,5737 -3,4922
F3    2,2596 2,2940 2,3336 2,3734 2,4098 2,4399 2,4576 2,4520 2,4121 2,3313 2,2078 2,0430 1,8403 1,6048 1,3440 1,0702 0,7984 0,5354 0,2750 0,0072 -0,2686 -0,5413 -0,7934 -1,0082 -1,1752 -1,2938 -1,3680 -1,4015 -1,3982 -1,3689 -1,3341 -1,3178 -1,3372 -1,3955 -1,4804 -1,5701 -1,6449 -1,6950 -1,7157 -1,7024 -1,6542 -1,5748 -1,4654 -1,3232 -1,1462 -0,9386 -0,7122 -0,4855 -0,2784 -0,1006 0,0523 0,1928 0,3310 0,4721 0,6208 0,7811 0,9493 1,1089 1,2357 1,3075 1,3105 1,2424 1,1139 0,9463 0,7677 0,6040 0,4698 0,3674 0,2936 0,2442 0,2100 0,1772 0,1383 0,0991 0,0687 0,0463 0,0215 -0,0180 -0,0804 -0,1652 -0,2627 -0,3580 -0,4362 -0,4832 -0,4860 -0,4318 -0,3082 -0,1108 0,1457 0,4253 0,6852 0,8938 1,0415 1,1341 1,1822 1,1966 1,1893 1,1735 1,1620 1,1688 1,2101 1,2995 1,4370 1,6028 1,7635 1,8863 1,9483 1,9403 1,8645 1,7308 1,5524 1,3418 1,1149 0,8986 0,7265 0,6289 0,6230 0,7074 0,8621 1,0596 1,2706 1,4650 1,6166 1,7169 1,7740 1,7995 1,7964 1,7597 1,6834 1,5672 1,4163 1,2398 1,0483 0,8557 0,6778 0,5280 0,4103 0,3202 0,2533 0,2124 0,2060 0,2432 0,3304 0,4691 0,6498 0,8475 1,0287 1,1686 1,2652 1,3343 1,3924 1,4467 1,4970 1,5448 1,5988 1,6744 1,7872 1,9437 2,1360 2,3443 2,5475 2,7323 2,8966 3,0425 3,1690 3,2711 3,3454 3,3958 3,4349 3,4808 3,5493 3,6443 3,7562 3,8679 3,9590 4,0104 4,0135 3,9735 3,9022 3,8085 3,6966 3,5695 3,4324 3,2964 3,1779 3,0913 3,0385 3,0067 2,9758 2,9314 2,8740 2,8153 2,7654 2,7289 2,7076 2,7011 2,7046 2,7087 2,7008 2,6716 2,6236 2,5726 2,5389 2,5352 2,5622 2,6089 2,6608 2,7055 2,7309 2,7229 2,6728 2,5837 2,4676 2,3417 2,2276 2,1510 2,1325 2,1778 2,2770 2,4121 2,5625 2,7095 2,8399 2,9499 3,0465 3,1409 3,2363 3,3232 3,3858 3,4123 3,3999 3,3510 3,2670 3,1470 2,9906 2,8000 2,5795 2,3329 2,0647 1,7841 1,5067 1,2521 1,0408 0,8891 0,8023 0,7725 0,7859 0,8305 0,8943 0,9596 1,0065 1,0226 1,0103 0,9840 0,9578 0,9359 0,9156 0,8962 0,8815 0,8748 0,8747 0,8767 0,8762 0,8707 0,8572 0,8328 0,7995 0,7639 0,7317 0,7059 0,6897 0,6896 0,7099 0,7438 0,7777 0,8042 0,8275 0,8546 0,8851 0,9098 0,9201 0,9188 0,9209 0,9483 1,0244 1,1665 1,3786 1,6501 1,9622 2,2919 2,6138 2,9026 3,1373 3,3039 3,3960 3,4160 3,3750 3,2885 3,1780 3,0742 3,0066 2,9849 2,9940 3,0069 3,0009 2,9702 2,9299 2,9056 2,9154 2,9593 3,0225 3,0858 3,1355 3,1646 3,1683 3,1431 3,0918 3,0280 2,9737 2,9485 2,9638 3,0254 3,1398 3,3149 3,5565 3,8555 4,1768 4,4679 4,6792 4,7782 4,7570 4,6346 4,4485 4,2403 4,0444 3,8818 3,7600 3,6768 3,6256 3,6021 3,6049 3,6301 3,6670 3,7040 3,7349 3,7595 3,7804 3,7974 3,8047 3,7923 3,7480 3,6607 3,5302 3,3746 3,2237 3,0999 3,0107 2,9543 2,9264 2,9206 2,9255 2,9275 2,9202 2,9094 2,9034 2,9035 2,9042 2,8970 2,8720 2,8216 2,7468 2,6592 2,5766 2,5122 2,4645 2,4178 2,3570 2,2820 2,2088 2,1576 2,1404 2,1566 2,1988 2,2572 2,3203 2,3767 2,4203 2,4516 2,4709 2,4766 2,4730 2,4755 2,5012 2,5558 2,6319 2,7181 2,8057 2,8876 2,9559 3,0044 3,0300 3,0318 3,0100 2,9663 2,8983 2,7952 2,6450 2,4536 2,2502 2,0723 1,9461 1,8793 1,8636 1,8798 1,9068 1,9289 1,9381 1,9320 1,9109 1,8777 1,8352 1,7825 1,7154 1,6309 1,5329 1,4350 1,3584 1,3238 1,3411 1,3992 1,4675 1,5125 1,5188 1,4957 1,4664 1,4501 1,4546 1,4790 1,5171 1,5573 1,5846 1,5860 1,5532 1,4844 1,3826 1,2500 1,0845 0,8800 0,6323 0,3492 0,0537 -0,2249 -0,4626 -0,6443 -0,7637 -0,8255 -0,8446 -0,8419 -0,8384 -0,8520 -0,8988 -0,9906 -1,1256 -1,2827 -1,4312 -1,5466 -1,6204 -1,6566 -1,6606 -1,6317 -1,5658 -1,4617 -1,3263 -1,1790 -1,0472 -0,9562 -0,9182 -0,9265 -0,9576 -0,9835 -0,9835 -0,9496 -0,8866 -0,8118 -0,7509 -0,7285 -0,7631 -0,8622 -1,0163 -1,2006 -1,3857 -1,5527 -1,6977 -1,8272 -1,9503 -2,0715 -2,1874 -2,2881 -2,3617 -2,4003 -2,4032 -2,3766 -2,3304 -2,2749 -2,2177 -2,1568 -2,0799 -1,9712 -1,8199 -1,6210 -1,3750 -1,0915 -0,7926 -0,5082 -0,2670 -0,0905 0,0083 0,0223 -0,0539 -0,2200 -0,4597 -0,7404 -1,0271 -1,2974 -1,5434 -1,7633 -1,9569 -2,1269 -2,2793 -2,4213 -2,5596 -2,6933 -2,8073 -2,8797 -2,8955 -2,8532 -2,7637 -2,6434 -2,5062 -2,3607 -2,2158 -2,0836 -1,9705 -1,8708 -1,7724 -1,6658 -1,5461 -1,4135 -1,2769 -1,1515 -1,0467 -0,9579 -0,8732 -0,7862 -0,6968 -0,6005 -0,4886 -0,3604 -0,2305 -0,1203 -0,0508 -0,0403 -0,0979 -0,2161 -0,3701 -0,5312 -0,6827 -0,8260 -0,9750 -1,1434 -1,3343 -1,5364 -1,7288 -1,8901 -2,0087 -2,0842 -2,1250 -2,1444 -2,1584 -2,1807 -2,2188 -2,2704 -2,3214 -2,3537 -2,3605 -2,3530 -2,3539 -2,3884 -2,4756 -2,6195 -2,8060 -3,0072 -3,1924 -3,3386 -3,4337 -3,4688 -3,4390 -3,3542 -3,2398 -3,1229
F7    1,0498 1,1052 1,1866 1,2875 1,3968 1,5043 1,6015 1,6767 1,7151 1,7071 1,6515 1,5524 1,4156 1,2457 1,0463 0,8265 0,6005 0,3754 0,1464 -0,0930 -0,3391 -0,5795 -0,7985 -0,9778 -1,1027 -1,1693 -1,1812 -1,1410 -1,0522 -0,9286 -0,7954 -0,6834 -0,6201 -0,6191 -0,6726 -0,7554 -0,8387 -0,9026 -0,9409 -0,9570 -0,9588 -0,9520 -0,9319 -0,8841 -0,7952 -0,6607 -0,4862 -0,2875 -0,0866 0,1002 0,2701 0,4300 0,5870 0,7426 0,8946 1,0414 1,1821 1,3120 1,4223 1,5024 1,5407 1,5297 1,4706 1,3735 1,2544 1,1285 1,0054 0,8886 0,7791 0,6799 0,5941 0,5204 0,4558 0,4025 0,3656 0,3466 0,3416 0,3437 0,3448 0,3353 0,3072 0,2597 0,2008 0,1460 0,1142 0,1247 0,1936 0,3266 0,5126 0,7220 0,9152 1,0566 1,1270 1,1277 1,0782 1,0092 0,9507 0,9174 0,9052 0,9045 0,9162 0,9519 1,0183 1,1074 1,1999 1,2746 1,3153 1,3134 1,2642 1,1642 1,0135 0,8202 0,6057 0,4047 0,2557 0,1866 0,2077 0,3093 0,4645 0,6409 0,8102 0,9488 1,0424 1,0971 1,1350 1,1731 1,2098 1,2284 1,2098 1,1417 1,0238 0,8670 0,6867 0,4981 0,3176 0,1626 0,0463 -0,0285 -0,0693 -0,0860 -0,0833 -0,0606 -0,0132 0,0656 0,1766 0,3060 0,4294 0,5269 0,5959 0,6463 0,6866 0,7166 0,7326 0,7364 0,7381 0,7506 0,7866 0,8594 0,9769 1,1322 1,3036 1,4704 1,6247 1,7691 1,9087 2,0465 2,1816 2,3087 2,4196 2,5080 2,5742 2,6233 2,6619 2,6960 2,7275 2,7508 2,7560 2,7364 2,6923 2,6329 2,5747 2,5329 2,5116 2,5042 2,5023 2,5018 2,4973 2,4778 2,4317 2,3557 2,2592 2,1563 2,0576 1,9697 1,8961 1,8350 1,7805 1,7266 1,6699 1,6085 1,5447 1,4893 1,4601 1,4731 1,5348 1,6400 1,7789 1,9407 2,1088 2,2585 2,3665 2,4181 2,4070 2,3386 2,2344 2,1275 2,0485 2,0136 2,0243 2,0712 2,1383 2,2105 2,2806 2,3543 2,4461 2,5664 2,7097 2,8556 2,9792 3,0625 3,0982 3,0860 3,0290 2,9340 2,8115 2,6725 2,5232 2,3634 2,1905 2,0063 1,8195 1,6425 1,4894 1,3743 1,3042 1,2726 1,2630 1,2559 1,2324 1,1798 1,0999 1,0100 0,9328 0,8848 0,8708 0,8837 0,9112 0,9449 0,9819 1,0177 1,0423 1,0449 1,0219 0,9772 0,9183 0,8529 0,7905 0,7415 0,7096 0,6900 0,6793 0,6793 0,6885 0,6950 0,6848 0,6570 0,6271 0,6176 0,6430 0,7010 0,7777 0,8602 0,9453 1,0405 1,1579 1,3043 1,4770 1,6681 1,8721 2,0850 2,2977 2,4923 2,6484 2,7515 2,7981 2,7950 2,7540 2,6860 2,6031 2,5227 2,4612 2,4235 2,4020 2,3813 2,3459 2,2921 2,2342 2,1960 2,1940 2,2278 2,2831 2,3421 2,3912 2,4236 2,4369 2,4309 2,4103 2,3847 2,3645 2,3541 2,3528 2,3641 2,4008 2,4814 2,6213 2,8169 3,0370 3,2364 3,3787 3,4479 3,4471 3,3946 3,3177 3,2436 3,1898 3,1612 3,1538 3,1593 3,1674 3,1687 3,1594 3,1395 3,1113 3,0798 3,0533 3,0418 3,0555 3,1014 3,1778 3,2722 3,3594 3,4059 3,3835 3,2856 3,1302 2,9457 2,7602 2,5990 2,4838 2,4281 2,4309 2,4755 2,5378 2,5990 2,6485 2,6825 2,7016 2,7078 2,7005 2,6763 2,6318 2,5683 2,4947 2,4218 2,3523 2,2791 2,1955 2,1085 2,0382 2,0038 2,0130 2,0610 2,1352 2,2186 2,2914 2,3358 2,3455 2,3272 2,2895 2,2345 2,1680 2,1081 2,0749 2,0757 2,1047 2,1518 2,2073 2,2609 2,3024 2,3235 2,3194 2,2893 2,2387 2,1799 2,1253 2,0775 2,0307 1,9857 1,9556 1,9558 1,9932 2,0642 2,1556 2,2491 2,3286 2,3842 2,4097 2,4017 2,3630 2,3042 2,2393 2,1787 2,1256 2,0796 2,0398 2,0071 1,9857 1,9838 2,0068 2,0443 2,0697 2,0578 2,0048 1,9324 1,8726 1,8475 1,8611 1,9069 1,9766 2,0630 2,1578 2,2509 2,3282 2,3728 2,3698 2,3106 2,1928 2,0170 1,7868 1,5129 1,2177 0,9284 0,6675 0,4496 0,2819 0,1628 0,0825 0,0272 -0,0149 -0,0493 -0,0772 -0,1030 -0,1346 -0,1754 -0,2207 -0,2619 -0,2939 -0,3161 -0,3287 -0,3311 -0,3218 -0,3000 -0,2677 -0,2313 -0,1974 -0,1688 -0,1466 -0,1319 -0,1232 -0,1157 -0,1049 -0,0873 -0,0600 -0,0248 0,0072 0,0163 -0,0218 -0,1269 -0,3026 -0,5303 -0,7767 -1,0085 -1,2032 -1,3539 -1,4649 -1,5435 -1,5956 -1,6249 -1,6348 -1,6308 -1,6211 -1,6129 -1,6091 -1,6100 -1,6131 -1,6100 -1,5869 -1,5308 -1,4337 -1,2919 -1,1071 -0,8893 -0,6600 -0,4469 -0,2725 -0,1468 -0,0709 -0,0469 -0,0817 -0,1802 -0,3323 -0,5106 -0,6826 -0,8262 -0,9360 -1,0169 -1,0733 -1,1060 -1,1193 -1,1296 -1,1599 -1,2245 -1,3165 -1,4124 -1,4855 -1,5159 -1,4943 -1,4236 -1,3155 -1,1838 -1,0434 -0,9128 -0,8062 -0,7231 -0,6478 -0,5603 -0,4455 -0,3005 -0,1389 0,0163 0,1503 0,2643 0,3660 0,4571 0,5321 0,5895 0,6371 0,6850 0,7380 0,7957 0,8541 0,8994 0,9100 0,8709 0,7839 0,6632 0,5227 0,3675 0,1960 0,0088 -0,1833 -0,3626 -0,5159 -0,6387 -0,7316 -0,7941 -0,8257 -0,8330 -0,8325 -0,8456 -0,8873 -0,9543 -1,0192 -1,0440 -1,0047 -0,9079 -0,7862 -0,6823 -0,6332 -0,6570 -0,7475 -0,8808 -1,0273 -1,1618 -1,2662 -1,3298 -1,3547 -1,3573 -1,3579 -1,3677
