Fp1   -0,9134 -0,9196 -0,9116 -0,8859 -0,8679 -0,8764 -0,9039 -0,9262 -0,9165 -0,8476 -0,6945 -0,4471 -0,1267 0,2121 0,5057 0,7156 0,8400 0,8987 0,9107 0,8886 0,8440 0,7841 0,7060 0,6053 0,4887 0,3755 0,2903 0,2569 0,2959 0,4140 0,5932 0,7931 0,9657 1,0613 1,0285 0,8354 0,5071 0,1296 -0,1954 -0,4012 -0,4715 -0,4283 -0,3182 -0,2056 -0,1565 -0,2117 -0,3768 -0,6360 -0,9661 -1,3416 -1,7399 -2,1428 -2,5386 -2,9241 -3,2951 -3,6297 -3,8798 -3,9813 -3,8779 -3,5484 -3,0254 -2,3928 -1,7552 -1,2023 -0,7916 -0,5497 -0,4788 -0,5631 -0,7770 -1,0820 -1,4237 -1,7451 -2,0024 -2,1645 -2,2096 -2,1321 -1,9516 -1,7140 -1,4799 -1,3063 -1,2238 -1,2261 -1,2796 -1,3417 -1,3739 -1,3481 -1,2482 -1,0740 -0,8467 -0,6142 -0,4464 -0,3997 -0,4791 -0,6429 -0,8429 -1,0477 -1,2368 -1,3883 -1,4832 -1,5195 -1,5154 -1,5031 -1,5214 -1,6072 -1,7803 -2,0368 -2,3532 -2,6932 -3,0200 -3,3150 -3,5886 -3,8682 -4,1749 -4,5018 -4,8098 -5,0484 -5,1840 -5,2102 -5,1389 -4,9905 -4,7891 -4,5639 -4,3444 -4,1449 -3,9533 -3,7408 -3,4832 -3,1768 -2,8447 -2,5338 -2,3012 -2,2009 -2,2710 -2,5142 -2,8862 -3,3091 -3,6938 -3,9579 -4,0468 -3,9562 -3,7273 -3,4116 -3,0423 -2,6362 -2,2156 -1,8201 -1,4908 -1,2462 -1,0784 -0,9616 -0,8624 -0,7513 -0,6131 -0,4502 -0,2793 -0,1231 -0,0059 0,0556 0,0633 0,0369 -0,0049 -0,0616 -0,1524 -0,3039 -0,5286 -0,8027 -1,0670 -1,2614 -1,3658 -1,4044 -1,4163 -1,4347 -1,4894 -1,6156 -1,8468 -2,1978 -2,6602 -3,2113 -3,8248 -4,4733 -5,1311 -5,7783 -6,4009 -6,9844 -7,5078 -7,9452 -8,2703 -8,4644 -8,5245 -8,4642 -8,3027 -8,0593 -7,7628 -7,4551 -7,1786 -6,9578 -6,7873 -6,6337 -6,4532 -6,2162 -5,9236 -5,6066 -5,3086 -5,0596 -4,8682 -4,7325 -4,6455 -4,5953 -4,5707 -4,5680 -4,5914 -4,6484 -4,7483 -4,9063 -5,1433 -5,4655 -5,8432 -6,2142 -6,5167 -6,7198 -6,8297 -6,8809 -6,9203 -6,9824 -7,0736 -7,1773 -7,2653 -7,3080 -7,2878 -7,2052 -7,0732 -6,9071 -6,7200 -6,5255 -6,3406 -6,1821 -6,0574 -5,9528 -5,8331 -5,6556 -5,3889 -5,0195 -4,5492 -3,9957 -3,4025 -2,8423 -2,3948 -2,1101 -1,9956 -2,0317 -2,1838 -2,4076 -2,6580 -2,8947 -3,0756 -3,1541 -3,0916 -2,8774 -2,5410 -2,1430 -1,7493 -1,4055 -1,1252 -0,8936 -0,6860 -0,4873 -0,2997 -0,1284 0,0355 0,2096 0,4016 0,6030 0,7963 0,9632 1,0850 1,1340 1,0688 0,8520 0,4870 0,0319 -0,4294 -0,8275 -1,1256 -1,3147 -1,3920 -1,3471 -1,1770 -0,9099 -0,6036 -0,3153 -0,0741 0,1148 0,2427 0,2855 0,2208 0,0500 -0,1942 -0,4563 -0,6772 -0,8137 -0,8489 -0,7903 -0,6614 -0,4977 -0,3385 -0,2083 -0,1044 -0,0071 0,1030 0,2390 0,4061 0,5974 0,7938 0,9756 1,1357 1,2767 1,3982 1,4878 1,5239 1,4841 1,3507 1,1160 0,7957 0,4443 0,1460 -0,0229 -0,0292 0,1152 0,3801 0,7360 1,1553 1,6066 2,0524 2,4514 2,7587 2,9264 2,9218 2,7584 2,4986 2,2204 1,9902 1,8583 1,8618 2,0146 2,2897 2,6160 2,9049 3,0838 3,1133 2,9931 2,7594 2,4749 2,2099 2,0184 1,9196 1,9011 1,9318 1,9744 1,9981 1,9856 1,9369 1,8731 1,8267 1,8213 1,8632 1,9448 2,0529 2,1751 2,2964 2,3883 2,4154 2,3580 2,2283 2,0664 1,9247 1,8429 1,8262 1,8506 1,8947 1,9614 2,0729 2,2486 2,4781 2,7094 2,8751 2,9384 2,9119 2,8312 2,7181 2,5717 2,3831 2,1452 1,8525 1,5092 1,1332 0,7451 0,3593 -0,0089 -0,3397 -0,6175 -0,8424 -1,0250 -1,1672 -1,2521 -1,2644 -1,2159 -1,1409 -1,0692 -1,0118 -0,9638 -0,9134 -0,8480 -0,7513 -0,6040 -0,4035 -0,1779 0,0393 0,2501 0,4919 0,7953 1,1445 1,4800 1,7359 1,8794 1,9253 1,9206 1,9187 1,9628 2,0769 2,2599 2,4871 2,7303 2,9792 3,2337 3,4750 3,6609 3,7549 3,7506 3,6654 3,5221 3,3404 3,1408 2,9528 2,8127 2,7469 2,7562 2,8104 2,8515 2,8142 2,6616 2,4042 2,0814 1,7299 1,3664 0,9944 0,6181 0,2466 -0,1105 -0,4394 -0,7157 -0,9095 -0,9988 -0,9733 -0,8309 -0,5858 -0,2758 0,0552 0,3850 0,7151 1,0486 1,3801 1,7126 2,0638 2,4406 2,8050 3,0799 3,1907 3,1008 2,8157 2,3767 1,8530 1,3242 0,8536 0,4685 0,1594 -0,1042 -0,3550 -0,6112 -0,8653 -1,0857 -1,2306 -1,2729 -1,2174 -1,0924 -0,9316 -0,7742 -0,6690 -0,6605 -0,7613 -0,9370 -1,1191 -1,2407 -1,2690 -1,2120 -1,0985 -0,9490 -0,7619 -0,5278 -0,2469 0,0713 0,4139 0,7654 1,1039 1,4063 1,6634 1,8926 2,1311 2,4093 2,7239 3,0325 3,2741 3,3958 3,3736 3,2256 3,0068 2,7835 2,6074 2,5040 2,4704 2,4808 2,5063 2,5326 2,5536 2,5537 2,5079 2,3996 2,2299 2,0111 1,7549 1,4646 1,1346 0,7540 0,3208 -0,1474 -0,6231 -1,0885 -1,5411 -1,9859 -2,4221 -2,8339 -3,1964 -3,4969 -3,7461 -3,9686 -4,1861 -4,4017 -4,5969 -4,7514 -4,8705 -4,9849 -5,1227 -5,2898 -5,4814 -5,6970 -5,9397 -6,2042 -6,4675 -6,6858 -6,8089 -6,8136 -6,7273 -6,6119 -6,5232 -6,4836 -6,4843 -6,5064 -6,5349 -6,5537 -6,5395 -6,4691 -6,3314 -6,1299 -5,8853 -5,6364 -5,4277 -5,2918 -5,2429 -5,2798 -5,3900 -5,5489 -5,7180 -5,8516 -5,9100 -5,8675 -5,7257 -5,5206 -5,3048 -5,1191 -4,9812 -4,8882
Fz    -0,3696 -0,3502 -0,4057 -0,5056 -0,6372 -0,7752 -0,8774 -0,9106 -0,8662 -0,7490 -0,5602 -0,2947 0,0400 0,3993 0,7121 0,9227 1,0179 1,0153 0,9303 0,7638 0,5178 0,2041 -0,1631 -0,5608 -0,9387 -1,2233 -1,3557 -1,3183 -1,1286 -0,8225 -0,4470 -0,0517 0,3188 0,6207 0,8046 0,8420 0,7622 0,6454 0,5709 0,5763 0,6541 0,7709 0,8826 0,9389 0,8920 0,7134 0,4011 -0,0260 -0,5293 -1,0504 -1,5269 -1,9216 -2,2380 -2,5026 -2,7256 -2,8831 -2,9284 -2,8114 -2,4970 -1,9790 -1,2935 -0,5276 0,1952 0,7516 1,0536 1,0696 0,8290 0,3984 -0,1526 -0,7601 -1,3547 -1,8685 -2,2531 -2,4865 -2,5652 -2,4944 -2,2867 -1,9686 -1,5895 -1,2214 -0,9378 -0,7813 -0,7509 -0,8134 -0,9174 -0,9999 -0,9988 -0,8779 -0,6513 -0,3870 -0,1780 -0,0886 -0,1185 -0,2243 -0,3629 -0,5055 -0,6274 -0,7046 -0,7248 -0,6983 -0,6526 -0,6161 -0,6107 -0,6601 -0,7934 -1,0328 -1,3754 -1,7870 -2,2167 -2,6198 -2,9715 -3,2664 -3,5092 -3,6994 -3,8190 -3,8393 -3,7458 -3,5489 -3,2757 -2,9548 -2,6108 -2,2706 -1,9612 -1,6923 -1,4472 -1,1977 -0,9307 -0,6600 -0,4266 -0,2815 -0,2562 -0,3581 -0,5843 -0,9138 -1,2918 -1,6384 -1,8777 -1,9616 -1,8835 -1,6752 -1,3847 -1,0513 -0,6980 -0,3434 -0,0169 0,2473 0,4334 0,5534 0,6309 0,6844 0,7290 0,7811 0,8490 0,9207 0,9696 0,9760 0,9402 0,8782 0,8086 0,7392 0,6570 0,5414 0,3872 0,2059 0,0148 -0,1585 -0,2698 -0,2758 -0,1666 0,0275 0,2612 0,4950 0,6963 0,8344 0,8838 0,8364 0,7021 0,4889 0,1865 -0,2244 -0,7528 -1,3876 -2,0904 -2,7899 -3,3995 -3,8532 -4,1357 -4,2812 -4,3437 -4,3650 -4,3616 -4,3361 -4,3003 -4,2830 -4,3185 -4,4217 -4,5653 -4,6883 -4,7356 -4,6848 -4,5455 -4,3513 -4,1425 -3,9443 -3,7659 -3,6058 -3,4517 -3,2942 -3,1464 -3,0380 -2,9884 -2,9937 -3,0413 -3,1412 -3,3292 -3,6181 -3,9569 -4,2561 -4,4466 -4,5109 -4,4826 -4,4235 -4,3839 -4,3716 -4,3596 -4,3126 -4,1997 -3,9941 -3,6831 -3,2863 -2,8584 -2,4626 -2,1376 -1,8908 -1,7141 -1,5974 -1,5343 -1,5167 -1,5249 -1,5278 -1,4889 -1,3731 -1,1525 -0,8187 -0,4029 0,0199 0,3685 0,6068 0,7448 0,8035 0,7951 0,7213 0,5761 0,3654 0,1277 -0,0729 -0,1790 -0,1698 -0,0660 0,0914 0,2653 0,4344 0,5993 0,7826 1,0106 1,2873 1,5837 1,8541 2,0667 2,2147 2,3096 2,3729 2,4268 2,4783 2,5110 2,4886 2,3654 2,1087 1,7317 1,2991 0,8904 0,5636 0,3440 0,2284 0,2027 0,2657 0,4293 0,6913 1,0153 1,3431 1,6234 1,8241 1,9230 1,9029 1,7652 1,5424 1,2927 1,0781 0,9366 0,8695 0,8521 0,8580 0,8738 0,8902 0,8917 0,8709 0,8502 0,8758 0,9907 1,2127 1,5290 1,8983 2,2624 2,5701 2,7949 2,9324 2,9861 2,9610 2,8641 2,6967 2,4433 2,0818 1,6165 1,1035 0,6425 0,3325 0,2263 0,3240 0,5933 0,9864 1,4456 1,9114 2,3366 2,6945 2,9658 3,1183 3,1142 2,9498 2,6737 2,3627 2,0872 1,9013 1,8444 1,9323 2,1464 2,4410 2,7622 3,0597 3,2865 3,4018 3,3794 3,2237 2,9800 2,7195 2,5138 2,4161 2,4426 2,5571 2,6902 2,7778 2,7907 2,7402 2,6574 2,5648 2,4653 2,3502 2,2201 2,0975 2,0087 1,9553 1,9115 1,8492 1,7594 1,6531 1,5490 1,4634 1,4040 1,3718 1,3735 1,4332 1,5843 1,8449 2,1996 2,5968 2,9629 3,2362 3,4006 3,4814 3,5065 3,4815 3,3921 3,2136 2,9257 2,5377 2,0940 1,6450 1,2224 0,8425 0,5172 0,2518 0,0361 -0,1515 -0,3209 -0,4578 -0,5431 -0,5734 -0,5537 -0,4858 -0,3756 -0,2413 -0,1027 0,0370 0,1968 0,4036 0,6642 0,9564 1,2552 1,5608 1,8940 2,2649 2,6466 2,9821 3,2147 3,3156 3,2973 3,2101 3,1227 3,0924 3,1388 3,2384 3,3481 3,4432 3,5323 3,6362 3,7561 3,8676 3,9429 3,9725 3,9655 3,9373 3,8959 3,8385 3,7681 3,7035 3,6644 3,6530 3,6552 3,6490 3,6107 3,5225 3,3778 3,1752 2,9145 2,6000 2,2461 1,8764 1,5147 1,1756 0,8693 0,6124 0,4255 0,3238 0,3214 0,4332 0,6512 0,9274 1,1994 1,4372 1,6521 1,8648 2,0883 2,3441 2,6693 3,0822 3,5410 3,9513 4,2182 4,2808 4,1152 3,7361 3,2036 2,6126 2,0636 1,6245 1,3046 1,0681 0,8762 0,7192 0,6182 0,6040 0,6965 0,8896 1,1481 1,4251 1,6831 1,8946 2,0336 2,0808 2,0380 1,9337 1,8146 1,7283 1,7063 1,7558 1,8696 2,0450 2,2880 2,5947 2,9400 3,2891 3,6172 3,9196 4,1999 4,4470 4,6324 4,7337 4,7524 4,7058 4,6085 4,4658 4,2749 4,0280 3,7255 3,3942 3,0859 2,8513 2,7166 2,6825 2,7312 2,8255 2,9185 2,9742 2,9756 2,9155 2,7987 2,6518 2,5124 2,4034 2,3215 2,2454 2,1432 1,9769 1,7225 1,3913 1,0222 0,6655 0,3681 0,1544 0,0181 -0,0654 -0,1225 -0,1728 -0,2255 -0,2851 -0,3645 -0,4795 -0,6267 -0,7828 -0,9357 -1,0986 -1,2861 -1,4935 -1,7114 -1,9435 -2,1963 -2,4607 -2,7113 -2,9109 -3,0153 -2,9981 -2,8887 -2,7678 -2,7136 -2,7463 -2,8241 -2,8929 -2,9326 -2,9499 -2,9432 -2,8896 -2,7604 -2,5420 -2,2491 -1,9312 -1,6566 -1,4765 -1,4028 -1,4195 -1,5010 -1,6143 -1,7231 -1,8045 -1,8522 -1,8621 -1,8321 -1,7741 -1,7100 -1,6553 -1,6108 -1,5646
F3    -0,7806 -0,8746 -1,0145 -1,1630 -1,3158 -1,4634 -1,5755 -1,6152 -1,5551 -1,3798 -1,0876 -0,6951 -0,2462 0,1840 0,5141 0,7003 0,7551 0,7209 0,6345 0,5222 0,4067 0,2992 0,1934 0,0793 -0,0380 -0,1386 -0,2065 -0,2395 -0,2368 -0,1935 -0,1091 0,0133 0,1743 0,3598 0,5228 0,6187 0,6561 0,6841 0,7387 0,8229 0,9220 1,0166 1,0812 1,0818 0,9914 0,8104 0,5617 0,2699 -0,0443 -0,3626 -0,6746 -0,9819 -1,2943 -1,6232 -1,9626 -2,2685 -2,4608 -2,4589 -2,2220 -1,7634 -1,1440 -0,4658 0,1487 0,5968 0,8242 0,8203 0,6068 0,2292 -0,2586 -0,8007 -1,3299 -1,7724 -2,0732 -2,2151 -2,2087 -2,0729 -1,8301 -1,5172 -1,1943 -0,9374 -0,8103 -0,8367 -0,9886 -1,1960 -1,3736 -1,4484 -1,3723 -1,1313 -0,7618 -0,3506 0,0019 0,2379 0,3570 0,3774 0,3069 0,1578 -0,0348 -0,2224 -0,3614 -0,4284 -0,4303 -0,4084 -0,4215 -0,5129 -0,6936 -0,9545 -1,2784 -1,6365 -1,9886 -2,2933 -2,5169 -2,6460 -2,6979 -2,7073 -2,6977 -2,6727 -2,6320 -2,5823 -2,5226 -2,4309 -2,2802 -2,0682 -1,8192 -1,5595 -1,3026 -1,0545 -0,8184 -0,5916 -0,3762 -0,1905 -0,0633 -0,0290 -0,1245 -0,3577 -0,6756 -0,9843 -1,2011 -1,2880 -1,2541 -1,1327 -0,9513 -0,7210 -0,4448 -0,1341 0,1776 0,4466 0,6558 0,8305 1,0128 1,2275 1,4697 1,7088 1,9013 2,0090 2,0165 1,9393 1,8152 1,6876 1,5854 1,5090 1,4333 1,3299 1,1860 0,9986 0,7719 0,5256 0,2942 0,1087 -0,0202 -0,1015 -0,1493 -0,1730 -0,1781 -0,1700 -0,1523 -0,1280 -0,1100 -0,1299 -0,2282 -0,4401 -0,7894 -1,2850 -1,9061 -2,5917 -3,2522 -3,8029 -4,1981 -4,4418 -4,5694 -4,6198 -4,6194 -4,5836 -4,5239 -4,4488 -4,3664 -4,2854 -4,2043 -4,1016 -3,9509 -3,7393 -3,4760 -3,1892 -2,9087 -2,6491 -2,4181 -2,2246 -2,0682 -1,9352 -1,8149 -1,7108 -1,6386 -1,6161 -1,6578 -1,7857 -2,0336 -2,4081 -2,8482 -3,2491 -3,5295 -3,6714 -3,7096 -3,6888 -3,6266 -3,5184 -3,3663 -3,1894 -3,0046 -2,8089 -2,5852 -2,3247 -2,0466 -1,7900 -1,5844 -1,4381 -1,3499 -1,3169 -1,3300 -1,3711 -1,4200 -1,4603 -1,4731 -1,4269 -1,2824 -1,0098 -0,6083 -0,1245 0,3552 0,7515 1,0278 1,1780 1,2041 1,1087 0,9031 0,6207 0,3183 0,0570 -0,1247 -0,2188 -0,2365 -0,1900 -0,0853 0,0758 0,2941 0,5722 0,9050 1,2746 1,6542 2,0151 2,3283 2,5675 2,7192 2,7913 2,8050 2,7761 2,7046 2,5767 2,3681 2,0519 1,6215 1,1111 0,5909 0,1433 -0,1638 -0,2938 -0,2396 -0,0132 0,3564 0,8180 1,2979 1,7151 2,0125 2,1765 2,2216 2,1632 2,0150 1,8001 1,5520 1,3089 1,1023 0,9439 0,8230 0,7278 0,6657 0,6517 0,6863 0,7611 0,8770 1,0478 1,2936 1,6205 2,0020 2,3942 2,7706 3,1392 3,5196 3,9008 4,2251 4,4187 4,4340 4,2566 3,8830 3,3193 2,6072 1,8396 1,1414 0,6267 0,3671 0,3850 0,6643 1,1571 1,7901 2,4753 3,1259 3,6687 4,0447 4,2065 4,1356 3,8683 3,4920 3,1022 2,7691 2,5425 2,4552 2,5131 2,6950 2,9665 3,2868 3,6034 3,8494 3,9566 3,8768 3,6065 3,1985 2,7455 2,3539 2,1203 2,1000 2,2781 2,5751 2,8839 3,1170 3,2422 3,2858 3,2941 3,2871 3,2525 3,1858 3,1209 3,0984 3,1115 3,1110 3,0512 2,9154 2,7148 2,4847 2,2667 2,0873 1,9587 1,8998 1,9391 2,0907 2,3359 2,6374 2,9601 3,2719 3,5458 3,7780 3,9849 4,1744 4,3336 4,4341 4,4265 4,2486 3,8696 3,3273 2,7132 2,1265 1,6361 1,2658 1,0024 0,8159 0,6780 0,5759 0,5122 0,4882 0,4896 0,4937 0,4853 0,4669 0,4592 0,4941 0,6016 0,8009 1,0899 1,4351 1,7792 2,0753 2,3149 2,5225 2,7281 2,9413 3,1462 3,3148 3,4266 3,4869 3,5261 3,5788 3,6618 3,7688 3,8828 3,9941 4,1084 4,2421 4,4063 4,5863 4,7334 4,7854 4,7068 4,5159 4,2739 4,0448 3,8641 3,7422 3,6835 3,6903 3,7486 3,8165 3,8315 3,7374 3,5189 3,2095 2,8630 2,5253 2,2223 1,9594 1,7312 1,5321 1,3556 1,1984 1,0721 1,0028 1,0106 1,0975 1,2518 1,4475 1,6395 1,7869 1,8869 1,9696 2,0615 2,1740 2,3236 2,5426 2,8528 3,2288 3,5963 3,8664 3,9677 3,8634 3,5625 3,1236 2,6472 2,2468 1,9940 1,8783 1,8299 1,7803 1,6989 1,5909 1,4869 1,4263 1,4289 1,4762 1,5292 1,5613 1,5681 1,5564 1,5332 1,5052 1,4808 1,4732 1,5012 1,5822 1,7215 1,9179 2,1751 2,4986 2,8758 3,2682 3,6312 3,9408 4,1961 4,4000 4,5469 4,6326 4,6689 4,6784 4,6794 4,6739 4,6467 4,5714 4,4174 4,1649 3,8244 3,4451 3,0976 2,8436 2,7194 2,7345 2,8732 3,1016 3,3818 3,6782 3,9502 4,1554 4,2663 4,2745 4,1862 4,0198 3,7971 3,5232 3,1755 2,7310 2,2029 1,6441 1,1201 0,6810 0,3491 0,1274 0,0104 -0,0273 -0,0344 -0,0555 -0,1118 -0,2185 -0,3961 -0,6535 -0,9768 -1,3447 -1,7394 -2,1350 -2,4895 -2,7690 -2,9821 -3,1760 -3,3914 -3,6170 -3,7854 -3,8115 -3,6539 -3,3597 -3,0490 -2,8400 -2,7718 -2,7989 -2,8582 -2,9220 -2,9857 -3,0317 -3,0219 -2,9166 -2,6945 -2,3651 -1,9779 -1,6142 -1,3534 -1,2435 -1,2945 -1,4776 -1,7255 -1,9512 -2,0860 -2,0989 -1,9902 -1,7813 -1,5067 -1,1986 -0,8784 -0,5645 -0,2788
F7    -0,8967 -1,0649 -1,2496 -1,4044 -1,5103 -1,5510 -1,5095 -1,3824 -1,1810 -0,9183 -0,6031 -0,2439 0,1369 0,4922 0,7642 0,9225 0,9824 0,9834 0,9543 0,9042 0,8353 0,7480 0,6360 0,4917 0,3248 0,1694 0,0665 0,0437 0,1123 0,2691 0,4903 0,7346 0,9550 1,1033 1,1307 1,0124 0,7789 0,5037 0,2554 0,0657 -0,0638 -0,1428 -0,1848 -0,2094 -0,2391 -0,2888 -0,3652 -0,4736 -0,6130 -0,7708 -0,9321 -1,0917 -1,2590 -1,4504 -1,6688 -1,8839 -2,0343 -2,0495 -1,8760 -1,5001 -0,9594 -0,3392 0,2523 0,7170 0,9877 1,0348 0,8713 0,5436 0,1090 -0,3758 -0,8479 -1,2448 -1,5211 -1,6587 -1,6610 -1,5443 -1,3339 -1,0648 -0,7836 -0,5463 -0,4022 -0,3751 -0,4541 -0,5963 -0,7397 -0,8232 -0,8037 -0,6674 -0,4354 -0,1633 0,0753 0,2255 0,2751 0,2406 0,1407 -0,0078 -0,1833 -0,3559 -0,4931 -0,5747 -0,6032 -0,5988 -0,5889 -0,5989 -0,6488 -0,7550 -0,9264 -1,1552 -1,4175 -1,6879 -1,9509 -2,2036 -2,4502 -2,6901 -2,9027 -3,0515 -3,1067 -3,0610 -2,9254 -2,7163 -2,4516 -2,1574 -1,8669 -1,6044 -1,3761 -1,1749 -0,9882 -0,8041 -0,6266 -0,4822 -0,4064 -0,4327 -0,5903 -0,8814 -1,2569 -1,6283 -1,9068 -2,0379 -2,0150 -1,8685 -1,6369 -1,3462 -1,0112 -0,6519 -0,3065 -0,0240 0,1648 0,2665 0,3125 0,3363 0,3613 0,3980 0,4427 0,4820 0,5028 0,5017 0,4837 0,4588 0,4381 0,4263 0,4117 0,3723 0,2875 0,1422 -0,0661 -0,3105 -0,5354 -0,6876 -0,7480 -0,7348 -0,6806 -0,6150 -0,5632 -0,5480 -0,5841 -0,6684 -0,7856 -0,9309 -1,1232 -1,3949 -1,7750 -2,2740 -2,8703 -3,5020 -4,0800 -4,5218 -4,7848 -4,8779 -4,8450 -4,7361 -4,5873 -4,4226 -4,2671 -4,1475 -4,0780 -4,0522 -4,0390 -3,9927 -3,8775 -3,6838 -3,4261 -3,1382 -2,8598 -2,6160 -2,4123 -2,2444 -2,1013 -1,9715 -1,8567 -1,7748 -1,7487 -1,7887 -1,8896 -2,0501 -2,2838 -2,5924 -2,9334 -3,2347 -3,4398 -3,5394 -3,5688 -3,5817 -3,6171 -3,6829 -3,7672 -3,8508 -3,9050 -3,8914 -3,7773 -3,5574 -3,2617 -2,9406 -2,6396 -2,3905 -2,2148 -2,1225 -2,1069 -2,1435 -2,1973 -2,2315 -2,2110 -2,1018 -1,8772 -1,5315 -1,0960 -0,6423 -0,2566 0,0076 0,1450 0,1722 0,1047 -0,0459 -0,2618 -0,5089 -0,7373 -0,8986 -0,9653 -0,9397 -0,8468 -0,7190 -0,5806 -0,4394 -0,2845 -0,0931 0,1528 0,4516 0,7833 1,1221 1,4453 1,7326 1,9652 2,1316 2,2303 2,2657 2,2443 2,1709 2,0370 1,8194 1,5052 1,1169 0,7081 0,3397 0,0600 -0,1026 -0,1354 -0,0359 0,1814 0,4761 0,7879 1,0604 1,2639 1,3974 1,4656 1,4602 1,3700 1,2004 0,9791 0,7441 0,5257 0,3362 0,1761 0,0512 -0,0200 -0,0206 0,0486 0,1761 0,3561 0,5923 0,8854 1,2195 1,5603 1,8719 2,1360 2,3600 2,5646 2,7588 2,9267 3,0372 3,0642 2,9903 2,7983 2,4740 2,0290 1,5197 1,0395 0,6815 0,5008 0,5065 0,6775 0,9772 1,3583 1,7683 2,1567 2,4812 2,7044 2,7879 2,7056 2,4689 2,1326 1,7693 1,4501 1,2436 1,2045 1,3498 1,6459 2,0202 2,3902 2,6859 2,8555 2,8679 2,7195 2,4448 2,1166 1,8222 1,6354 1,6007 1,7212 1,9502 2,2049 2,4002 2,4848 2,4593 2,3650 2,2517 2,1495 2,0652 1,9978 1,9564 1,9524 1,9778 2,0021 1,9919 1,9296 1,8187 1,6784 1,5311 1,3884 1,2542 1,1438 1,0949 1,1508 1,3296 1,6085 1,9323 2,2335 2,4636 2,6179 2,7251 2,8100 2,8712 2,8861 2,8206 2,6436 2,3506 1,9739 1,5646 1,1685 0,8160 0,5202 0,2785 0,0774 -0,0995 -0,2576 -0,3872 -0,4772 -0,5311 -0,5601 -0,5671 -0,5463 -0,4919 -0,4014 -0,2704 -0,0892 0,1472 0,4186 0,6769 0,8768 1,0087 1,0989 1,1822 1,2763 1,3725 1,4469 1,4784 1,4641 1,4246 1,3941 1,4051 1,4745 1,5994 1,7652 1,9624 2,1910 2,4446 2,6917 2,8805 2,9670 2,9427 2,8377 2,6995 2,5663 2,4564 2,3786 2,3431 2,3573 2,4131 2,4797 2,5075 2,4467 2,2776 2,0242 1,7328 1,4406 1,1625 0,8969 0,6395 0,3897 0,1497 -0,0733 -0,2615 -0,3903 -0,4419 -0,4116 -0,3034 -0,1344 0,0600 0,2423 0,4003 0,5458 0,6909 0,8437 1,0268 1,2806 1,6285 2,0380 2,4244 2,6966 2,7934 2,6925 2,4108 2,0030 1,5505 1,1401 0,8290 0,6195 0,4723 0,3469 0,2260 0,1144 0,0289 -0,0072 0,0216 0,1072 0,2223 0,3400 0,4394 0,4984 0,4979 0,4347 0,3277 0,2110 0,1228 0,0900 0,1194 0,2058 0,3481 0,5517 0,8124 1,1070 1,4068 1,6968 1,9761 2,2415 2,4748 2,6525 2,7680 2,8405 2,8977 2,9496 2,9812 2,9661 2,8806 2,7137 2,4774 2,2107 1,9680 1,7964 1,7219 1,7467 1,8501 1,9957 2,1468 2,2764 2,3647 2,3997 2,3829 2,3245 2,2311 2,1036 1,9402 1,7344 1,4726 1,1493 0,7822 0,4052 0,0505 -0,2605 -0,5226 -0,7417 -0,9254 -1,0816 -1,2211 -1,3525 -1,4826 -1,6242 -1,7943 -1,9962 -2,2158 -2,4412 -2,6764 -2,9264 -3,1811 -3,4275 -3,6715 -3,9327 -4,2172 -4,4942 -4,6980 -4,7556 -4,6322 -4,3661 -4,0570 -3,8077 -3,6635 -3,6028 -3,5785 -3,5599 -3,5325 -3,4801 -3,3791 -3,2089 -2,9641 -2,6658 -2,3661 -2,1331 -2,0190 -2,0406 -2,1845 -2,4187 -2,6947 -2,9535 -3,1448 -3,2358 -3,2067 -3,0561 -2,8115 -2,5212 -2,2314 -1,9711 -1,7501
