Fp1   -0,3875 -0,3817 -0,2989 -0,2354 -0,2267 -0,2435 -0,2346 -0,1558 0,0188 0,2798 0,5679 0,7942 0,8910 0,8483 0,7033 0,5027 0,2738 0,0209 -0,2732 -0,6360 -1,0685 -1,5170 -1,8960 -2,1418 -2,2323 -2,1728 -1,9887 -1,7252 -1,4302 -1,1344 -0,8411 -0,5292 -0,1722 0,2387 0,6928 1,1617 1,5906 1,9048 2,0457 2,0074 1,8399 1,6081 1,3425 1,0393 0,7059 0,3894 0,1528 0,0370 0,0560 0,2094 0,4727 0,7849 1,0700 1,2655 1,3362 1,2923 1,2000 1,1515 1,2042 1,3380 1,4795 1,5740 1,6267 1,6939 1,8422 2,0867 2,3553 2,5361 2,5600 2,4409 2,2561 2,0914 1,9813 1,8890 1,7485 1,5224 1,2214 0,8825 0,5396 0,2093 -0,1045 -0,3908 -0,6160 -0,7385 -0,7409 -0,6433 -0,4867 -0,3125 -0,1522 -0,0285 0,0519 0,1082 0,1681 0,2367 0,2895 0,2809 0,1602 -0,1010 -0,4797 -0,8981 -1,2556 -1,4781 -1,5445 -1,4821 -1,3600 -1,2899 -1,3894 -1,7168 -2,2485 -2,9049 -3,5817 -4,1949 -4,7259 -5,2129 -5,6908 -6,1504 -6,5526 -6,8701 -7,1078 -7,2904 -7,4452 -7,5893 -7,7100 -7,7584 -7,6672 -7,3911 -6,9481 -6,4248 -5,9319 -5,5476 -5,2882 -5,1079 -4,9196 -4,6418 -4,2616 -3,8646 -3,5854 -3,5093 -3,6156 -3,8077 -3,9738 -4,0289 -3,9414 -3,7379 -3,4692 -3,1623 -2,7936 -2,3031 -1,6420 -0,8169 0,1030 1,0060 1,7720 2,3062 2,5582 2,5325 2,3057 2,0273 1,8749 1,9686 2,3037 2,7653 3,2114 3,5398 3,7024 3,7095 3,6228 3,5060 3,3762 3,2143 3,0124 2,7997 2,6294 2,5431 2,5558 2,6703 2,8756 3,1250 3,3346 3,4209 3,3554 3,1946 3,0564 3,0468 3,1869 3,4061 3,6132 3,7709 3,9038 4,0555 4,2438 4,4452 4,6125 4,7102 4,7319 4,6855 4,5757 4,4037 4,1712 3,8774 3,5295 3,1678 2,8597 2,6498 2,5223 2,4240 2,3158 2,2082 2,1670 2,2783 2,5881 3,0561 3,5680 4,0070 4,3237 4,5417 4,7110 4,8602 4,9874 5,0869 5,1614 5,2026 5,1884 5,1144 5,0002 4,8607 4,7010 4,5521 4,4905 4,6060 4,9373 5,4387 6,0091 6,5405 6,9398 7,1464 7,1639 7,0534 6,8747 6,6518 6,3978 6,1433 5,9212 5,7354 5,5576 5,3615 5,1465 4,9166 4,6530 4,3279 3,9394 3,5264 3,1471 2,8479 2,6516 2,5565 2,5301 2,5165 2,4665 2,3665 2,2443 2,1543 2,1475 2,2404 2,3931 2,5253 2,5779 2,5562 2,5126 2,5096 2,5973 2,7927 3,0628 3,3345 3,5325 3,6196 3,6074 3,5347 3,4354 3,3318 3,2528 3,2435 3,3456 3,5698 3,8804 4,1932 4,4076 4,4650 4,3796 4,2249 4,0965 4,0573 4,1005 4,1781 4,2590 4,3465 4,4618 4,6270 4,8556 5,1456 5,4764 5,8193 6,1485 6,4361 6,6432 6,7333 6,6980 6,5589 6,3489 6,0987 5,8376 5,6052 5,4614 5,4683 5,6437 5,9302 6,2145 6,3853 6,3771 6,1781 5,8207 5,3755 4,9449 4,6445 4,5638 4,7253 5,0851 5,5792 6,1511 6,7340 7,2377 7,5674 7,6609 7,5269 7,2499 6,9416 6,6786 6,4754 6,2960 6,0833 5,7948 5,4360 5,0782 4,8345 4,8012 5,0157 5,4736 6,1536 7,0034 7,9205 8,7677 9,4149 9,7917 9,9203 9,8921 9,8070 9,7303 9,6920 9,6931 9,6986 9,6487 9,5106 9,3184 9,1438 9,0263 8,9423 8,8401 8,6902 8,5001 8,3050 8,1637 8,1330 8,2281 8,4235 8,6834 8,9631 9,2006 9,3401 9,3576 9,2516 9,0244 8,6959 8,3181 7,9563 7,6616 7,4513 7,2972 7,1504 6,9772 6,7550 6,4607 6,0956 5,7105 5,3797 5,1574 5,0682 5,1126 5,2630 5,4693 5,6836 5,8859 6,0864 6,2948 6,4783 6,5649 6,5018 6,2981 6,0091 5,7015 5,4263 5,1940 4,9786 4,7624 4,5618 4,4046 4,3107 4,2964 4,3659 4,4931 4,6277 4,7284 4,7892 4,8351 4,8986 5,0032 5,1585 5,3549 5,5662 5,7601 5,8947 5,9125 5,7691 5,4818 5,1377 4,8407 4,6485 4,5633 4,5656 4,6328 4,7330 4,8197 4,8392 4,7422 4,5057 4,1648 3,8246 3,6117 3,5977 3,7709 4,0711 4,4298 4,7860 5,0927 5,3170 5,4360 5,4488 5,4079 5,4245 5,6037 5,9446 6,3168 6,5554 6,5773 6,4151 6,1769 5,9789 5,8829 5,8684 5,8557 5,7612 5,5411 5,1892 4,7257 4,2130 3,7531 3,4335 3,2727 3,2222 3,2167 3,2150 3,2002 3,1633 3,0918 2,9607 2,7365 2,3982 1,9553 1,4368 0,8641 0,2481 -0,3876 -0,9887 -1,4723 -1,7500 -1,7667 -1,5290 -1,1203 -0,6938 -0,4083 -0,3408 -0,4634 -0,6815 -0,8718 -0,9206 -0,7750 -0,4570 -0,0154 0,5137 1,0796 1,5816 1,8970 1,9431 1,7178 1,2946 0,7854 0,3037 -0,0618 -0,2645 -0,2921 -0,1487 0,1413 0,5250 0,9366 1,3242 1,6621 1,9480 2,2028 2,4683 2,7911 3,2036 3,6975 4,2014 4,6162 4,8902 5,0511 5,1778 5,3426 5,5598 5,7746 5,9018 5,8765 5,6830 5,3511 4,9306 4,4648 3,9770 3,4695 2,9329 2,3610 1,7701 1,2139 0,7759 0,5295 0,4964 0,6542 0,9815 1,4659 2,0653 2,6991 3,2811 3,7475 4,0559 4,1742 4,0854 3,8109 3,4169 2,9814 2,5517 2,1366 1,7308 1,3370 0,9721 0,6580 0,4079 0,2178 0,0799 0,0011 -0,0139 0,0175 0,0788 0,1735 0,3006 0,4352 0,5448 0,6091 0,6273 0,6202 0,6234 0,6684 0,7666 0,9109 1,0898 1,2992 1,5359 1,7763 1,9725 2,0857 2,1178 2,1074 2,1054
Fz    1,5494 1,4326 1,3071 1,1493 0,9528 0,7391 0,5471 0,4161 0,3665 0,3919 0,4648 0,5462 0,5922 0,5628 0,4323 0,1988 -0,1159 -0,4795 -0,8626 -1,2410 -1,5856 -1,8531 -1,9963 -1,9880 -1,8359 -1,5769 -1,2614 -0,9398 -0,6562 -0,4418 -0,2999 -0,1986 -0,0880 0,0708 0,2874 0,5379 0,7695 0,9212 0,9555 0,8839 0,7596 0,6377 0,5346 0,4249 0,2757 0,0796 -0,1382 -0,3316 -0,4483 -0,4485 -0,3288 -0,1261 0,1067 0,3246 0,5036 0,6468 0,7767 0,9139 1,0581 1,1833 1,2557 1,2649 1,2319 1,1874 1,1500 1,1181 1,0673 0,9633 0,7885 0,5597 0,3203 0,1176 -0,0159 -0,0739 -0,0770 -0,0604 -0,0575 -0,0922 -0,1776 -0,3143 -0,4847 -0,6576 -0,8051 -0,9154 -0,9908 -1,0413 -1,0840 -1,1440 -1,2404 -1,3698 -1,5052 -1,6115 -1,6667 -1,6736 -1,6555 -1,6487 -1,6903 -1,8015 -1,9745 -2,1747 -2,3575 -2,4821 -2,5194 -2,4600 -2,3306 -2,2010 -2,1551 -2,2439 -2,4679 -2,7933 -3,1739 -3,5728 -3,9735 -4,3692 -4,7470 -5,0869 -5,3740 -5,6081 -5,8049 -5,9899 -6,1872 -6,4067 -6,6314 -6,8187 -6,9202 -6,9052 -6,7779 -6,5787 -6,3661 -6,1873 -6,0571 -5,9558 -5,8425 -5,6798 -5,4632 -5,2309 -5,0358 -4,9057 -4,8293 -4,7662 -4,6666 -4,4923 -4,2326 -3,9021 -3,5283 -3,1375 -2,7372 -2,3101 -1,8304 -1,2900 -0,7088 -0,1266 0,4108 0,8570 1,1702 1,3332 1,3764 1,3784 1,4356 1,6171 1,9314 2,3276 2,7312 3,0822 3,3547 3,5561 3,7136 3,8511 3,9728 4,0662 4,1144 4,1077 4,0485 3,9525 3,8480 3,7725 3,7553 3,7948 3,8578 3,9014 3,8995 3,8598 3,8216 3,8256 3,8840 3,9821 4,1071 4,2626 4,4551 4,6743 4,8893 5,0608 5,1605 5,1868 5,1633 5,1261 5,1118 5,1420 5,2041 5,2489 5,2186 5,0880 4,8774 4,6275 4,3707 4,1247 3,9008 3,7126 3,5874 3,5637 3,6635 3,8677 4,1252 4,3879 4,6344 4,8617 5,0569 5,1901 5,2414 5,2297 5,2086 5,2336 5,3339 5,5102 5,7448 6,0101 6,2763 6,5214 6,7412 6,9520 7,1774 7,4271 7,6889 7,9356 8,1304 8,2339 8,2235 8,1098 7,9281 7,7186 7,5132 7,3322 7,1841 7,0652 6,9612 6,8547 6,7334 6,5853 6,3932 6,1407 5,8328 5,5083 5,2221 5,0119 4,8836 4,8238 4,8126 4,8262 4,8410 4,8463 4,8562 4,9011 5,0088 5,1903 5,4320 5,6979 5,9551 6,1923 6,4142 6,6336 6,8635 7,1060 7,3457 7,5521 7,6872 7,7211 7,6489 7,4986 7,3213 7,1719 7,0938 7,1124 7,2302 7,4278 7,6747 7,9385 8,1889 8,3998 8,5523 8,6415 8,6833 8,7028 8,7170 8,7347 8,7660 8,8261 8,9327 9,0931 9,2944 9,5100 9,7136 9,8934 10,0518 10,1870 10,2782 10,2923 10,2035 10,0055 9,7143 9,3693 9,0302 8,7603 8,6024 8,5662 8,6306 8,7518 8,8773 8,9615 8,9752 8,9094 8,7770 8,6106 8,4546 8,3529 8,3377 8,4192 8,5851 8,8144 9,0911 9,3993 9,7136 10,0006 10,2301 10,3822 10,4485 10,4273 10,3177 10,1185 9,8377 9,5017 9,1547 8,8495 8,6402 8,5772 8,6971 9,0067 9,4798 10,0643 10,6838 11,2464 11,6769 11,9497 12,0928 12,1613 12,2050 12,2519 12,3084 12,3640 12,3962 12,3787 12,2970 12,1649 12,0256 11,9259 11,8852 11,8910 11,9176 11,9444 11,9618 11,9737 11,9988 12,0591 12,1556 12,2625 12,3482 12,3885 12,3602 12,2387 12,0110 11,6833 11,2822 10,8544 10,4549 10,1270 9,8915 9,7392 9,6259 9,4903 9,2859 8,9923 8,6139 8,1855 7,7697 7,4325 7,2154 7,1249 7,1350 7,1948 7,2457 7,2451 7,1828 7,0807 6,9757 6,8908 6,8185 6,7377 6,6391 6,5276 6,4088 6,2835 6,1509 6,0169 5,9026 5,8307 5,8044 5,8100 5,8370 5,8824 5,9411 6,0008 6,0418 6,0440 5,9968 5,9110 5,8211 5,7667 5,7609 5,7804 5,7806 5,7134 5,5474 5,2900 4,9929 4,7310 4,5680 4,5305 4,6086 4,7763 5,0038 5,2556 5,4924 5,6788 5,7877 5,8047 5,7412 5,6393 5,5484 5,4975 5,4987 5,5616 5,6901 5,8733 6,0863 6,2978 6,4806 6,6239 6,7425 6,8673 7,0150 7,1621 7,2551 7,2500 7,1452 6,9798 6,8043 6,6533 6,5369 6,4453 6,3560 6,2397 6,0700 5,8347 5,5493 5,2618 5,0310 4,8922 4,8432 4,8542 4,8885 4,9224 4,9525 4,9821 5,0011 4,9771 4,8703 4,6537 4,3201 3,8789 3,3534 2,7772 2,1881 1,6252 1,1314 0,7559 0,5405 0,4981 0,5957 0,7551 0,8841 0,9175 0,8397 0,6814 0,5043 0,3761 0,3437 0,4188 0,5865 0,8159 1,0564 1,2417 1,3150 1,2511 1,0602 0,7784 0,4526 0,1299 -0,1478 -0,3463 -0,4402 -0,4112 -0,2514 0,0290 0,3989 0,8123 1,2225 1,5979 1,9367 2,2620 2,5991 2,9629 3,3601 3,7835 4,2098 4,6135 4,9828 5,3205 5,6270 5,8820 6,0481 6,0959 6,0251 5,8637 5,6561 5,4462 5,2604 5,1020 4,9551 4,7920 4,5874 4,3373 4,0666 3,8127 3,5991 3,4213 3,2627 3,1228 3,0199 2,9708 2,9778 3,0309 3,1181 3,2281 3,3442 3,4398 3,4887 3,4734 3,3821 3,2065 2,9518 2,6461 2,3341 2,0582 1,8406 1,6776 1,5440 1,4101 1,2607 1,0994 0,9410 0,8131 0,7502 0,7679 0,8472 0,9492 1,0434 1,1225 1,2009 1,3022 1,4427 1,6187 1,8101 1,9990 2,1806 2,3550 2,5110 2,6218 2,6640 2,6436 2,5982 2,5754
F3    0,5660 0,4300 0,3950 0,3984 0,3672 0,2735 0,1470 0,0498 0,0375 0,1341 0,3240 0,5573 0,7675 0,8936 0,8908 0,7363 0,4346 0,0128 -0,4926 -1,0343 -1,5420 -1,9269 -2,1153 -2,0901 -1,9007 -1,6316 -1,3553 -1,1040 -0,8768 -0,6633 -0,4521 -0,2301 0,0093 0,2607 0,5143 0,7617 0,9884 1,1634 1,2449 1,2141 1,1009 0,9640 0,8378 0,7063 0,5302 0,2980 0,0440 -0,1673 -0,2659 -0,2051 0,0085 0,3121 0,6228 0,8763 1,0419 1,1241 1,1555 1,1794 1,2280 1,3065 1,3986 1,4864 1,5600 1,6137 1,6465 1,6577 1,6304 1,5274 1,3122 0,9764 0,5536 0,1138 -0,2620 -0,5155 -0,6291 -0,6234 -0,5486 -0,4745 -0,4700 -0,5710 -0,7581 -0,9708 -1,1457 -1,2412 -1,2443 -1,1687 -1,0511 -0,9400 -0,8791 -0,8874 -0,9508 -1,0351 -1,1114 -1,1730 -1,2361 -1,3346 -1,5006 -1,7377 -2,0119 -2,2737 -2,4876 -2,6361 -2,7033 -2,6748 -2,5659 -2,4448 -2,4083 -2,5247 -2,8009 -3,1940 -3,6442 -4,1109 -4,5850 -5,0604 -5,5057 -5,8753 -6,1415 -6,3055 -6,3865 -6,4130 -6,4251 -6,4611 -6,5256 -6,5814 -6,5748 -6,4687 -6,2645 -6,0069 -5,7652 -5,5990 -5,5302 -5,5298 -5,5277 -5,4524 -5,2825 -5,0597 -4,8432 -4,6562 -4,4783 -4,2794 -4,0526 -3,8187 -3,5984 -3,3777 -3,1177 -2,7947 -2,4118 -1,9746 -1,4809 -0,9280 -0,3211 0,3164 0,9356 1,4676 1,8340 1,9730 1,8808 1,6360 1,3784 1,2477 1,3167 1,5692 1,9345 2,3304 2,6874 2,9650 3,1613 3,2919 3,3612 3,3626 3,3055 3,2250 3,1624 3,1371 3,1446 3,1746 3,2163 3,2489 3,2428 3,1719 3,0256 2,8279 2,6463 2,5583 2,6020 2,7687 3,0324 3,3659 3,7322 4,0781 4,3449 4,4866 4,4904 4,3909 4,2608 4,1828 4,2237 4,4090 4,7002 4,9934 5,1636 5,1365 4,9247 4,5974 4,2247 3,8485 3,4916 3,1822 2,9713 2,9187 3,0490 3,3268 3,6830 4,0590 4,4240 4,7555 5,0106 5,1330 5,1001 4,9556 4,7913 4,6989 4,7322 4,8996 5,1803 5,5401 5,9355 6,3136 6,6290 6,8717 7,0692 7,2568 7,4526 7,6553 7,8453 7,9845 8,0301 7,9616 7,7915 7,5507 7,2688 6,9670 6,6632 6,3738 6,1095 5,8801 5,7061 5,6028 5,5448 5,4645 5,3062 5,0778 4,8395 4,6537 4,5564 4,5590 4,6483 4,7835 4,9109 4,9944 5,0340 5,0571 5,0956 5,1725 5,2940 5,4544 5,6551 5,9027 6,1869 6,4808 6,7593 7,0054 7,2043 7,3327 7,3523 7,2233 6,9383 6,5477 6,1476 5,8367 5,6793 5,6974 5,8785 6,1858 6,5695 6,9766 7,3576 7,6703 7,8794 7,9652 7,9371 7,8265 7,6636 7,4813 7,3340 7,2915 7,4044 7,6731 8,0471 8,4509 8,8116 9,0835 9,2549 9,3275 9,2931 9,1380 8,8622 8,4887 8,0589 7,6297 7,2695 7,0378 6,9618 7,0307 7,2063 7,4291 7,6275 7,7412 7,7401 7,6278 7,4328 7,2005 6,9859 6,8414 6,8047 6,8933 7,1054 7,4276 7,8388 8,3026 8,7581 9,1312 9,3605 9,4200 9,3189 9,0856 8,7560 8,3697 7,9706 7,6020 7,2976 7,0800 6,9729 7,0145 7,2480 7,6888 8,3045 9,0155 9,7000 10,2203 10,4867 10,5097 10,3871 10,2408 10,1640 10,2006 10,3450 10,5508 10,7513 10,8857 10,9224 10,8723 10,7825 10,7030 10,6534 10,6205 10,5819 10,5187 10,4188 10,2867 10,1527 10,0595 10,0309 10,0625 10,1460 10,2777 10,4275 10,5206 10,4691 10,2234 9,7990 9,2713 8,7449 8,3155 8,0407 7,9170 7,8726 7,8010 7,6158 7,2829 6,8311 6,3452 5,9310 5,6671 5,5774 5,6386 5,8009 6,0019 6,1795 6,2884 6,3116 6,2653 6,1901 6,1217 6,0568 5,9561 5,7879 5,5625 5,3211 5,0997 4,9078 4,7440 4,6266 4,5911 4,6535 4,7952 4,9844 5,1932 5,3946 5,5539 5,6296 5,5897 5,4334 5,2037 4,9785 4,8336 4,7993 4,8492 4,9205 4,9395 4,8468 4,6266 4,3222 4,0208 3,8144 3,7568 3,8493 4,0618 4,3546 4,6829 4,9986 5,2552 5,4122 5,4466 5,3772 5,2660 5,1712 5,1002 5,0217 4,9140 4,7933 4,7044 4,6878 4,7566 4,8995 5,0979 5,3441 5,6402 5,9713 6,2783 6,4689 6,4755 6,3081 6,0464 5,7833 5,5809 5,4655 5,4343 5,4522 5,4572 5,3853 5,1995 4,9076 4,5598 4,2225 3,9474 3,7530 3,6234 3,5302 3,4650 3,4477 3,4966 3,5915 3,6694 3,6546 3,4939 3,1721 2,7082 2,1465 1,5440 0,9517 0,3992 -0,0930 -0,4860 -0,7249 -0,7767 -0,6630 -0,4559 -0,2338 -0,0401 0,1153 0,2306 0,3062 0,3565 0,4128 0,5084 0,6657 0,8856 1,1316 1,3274 1,3901 1,2726 0,9891 0,6086 0,2184 -0,1092 -0,3321 -0,4386 -0,4310 -0,3089 -0,0744 0,2545 0,6436 1,0548 1,4565 1,8300 2,1794 2,5269 2,8855 3,2426 3,5677 3,8306 4,0204 4,1616 4,3091 4,5152 4,7836 5,0454 5,1918 5,1481 4,9218 4,5816 4,2080 3,8618 3,5790 3,3770 3,2563 3,1939 3,1411 3,0420 2,8646 2,6231 2,3627 2,1205 1,9079 1,7279 1,5898 1,4999 1,4490 1,4193 1,4031 1,4067 1,4317 1,4679 1,5021 1,5175 1,4885 1,3894 1,2119 0,9749 0,7219 0,5062 0,3665 0,3028 0,2748 0,2322 0,1475 0,0205 -0,1323 -0,2766 -0,3636 -0,3488 -0,2177 -0,0011 0,2366 0,4365 0,5800 0,6924 0,8119 0,9586 1,1353 1,3476 1,6011 1,8768 2,1231 2,2822 2,3301 2,2975 2,2489 2,2379
F7    1,6773 1,8468 1,7858 1,5457 1,2184 0,9096 0,6775 0,4900 0,2569 -0,0862 -0,5198 -0,9484 -1,2556 -1,3685 -1,2940 -1,1086 -0,9104 -0,7569 -0,6287 -0,4689 -0,2771 -0,1423 -0,1634 -0,3453 -0,5915 -0,7905 -0,8958 -0,9316 -0,9424 -0,9381 -0,8781 -0,7037 -0,3872 0,0403 0,4951 0,8688 1,0665 1,0428 0,8160 0,4546 0,0609 -0,2464 -0,3684 -0,2670 0,0185 0,3791 0,6721 0,7860 0,6887 0,4174 0,0551 -0,2784 -0,4576 -0,4086 -0,1269 0,3501 0,9460 1,5230 1,9191 2,0339 1,8689 1,5035 1,0602 0,6709 0,4384 0,4111 0,5685 0,8180 1,0422 1,1744 1,2130 1,1683 1,0298 0,7880 0,4628 0,1173 -0,1453 -0,2173 -0,0530 0,2900 0,6799 0,9787 1,0940 0,9987 0,7320 0,3899 0,0863 -0,1165 -0,2294 -0,2789 -0,2592 -0,1538 0,0314 0,2569 0,4499 0,5351 0,4813 0,3070 0,0533 -0,2229 -0,4376 -0,5041 -0,4034 -0,2257 -0,1275 -0,2417 -0,6128 -1,1877 -1,8541 -2,4931 -3,0218 -3,4246 -3,7508 -4,0719 -4,4382 -4,8568 -5,2930 -5,6985 -6,0447 -6,3204 -6,4979 -6,5365 -6,4302 -6,2217 -5,9602 -5,6633 -5,3138 -4,8799 -4,3516 -3,7716 -3,2374 -2,8690 -2,7529 -2,8758 -3,1031 -3,2538 -3,2258 -3,0637 -2,9049 -2,8502 -2,8779 -2,8738 -2,7356 -2,4459 -2,0483 -1,5705 -1,0052 -0,3560 0,3308 0,9672 1,4491 1,7123 1,7779 1,7352 1,6901 1,7308 1,9073 2,2066 2,5617 2,8977 3,1617 3,3174 3,3437 3,2585 3,1365 3,0742 3,1279 3,2941 3,5442 3,8513 4,1679 4,3962 4,4233 4,1948 3,7499 3,2030 2,7035 2,3849 2,3104 2,4501 2,7032 2,9447 3,0723 3,0419 2,8812 2,6680 2,4848 2,3902 2,4165 2,5760 2,8644 3,2593 3,7143 4,1467 4,4361 4,4665 4,1940 3,6770 3,0502 2,4695 2,0525 1,8481 1,8513 2,0401 2,3905 2,8546 3,3268 3,6584 3,7368 3,5575 3,2063 2,7876 2,3794 2,0358 1,8143 1,7835 1,9960 2,4563 3,1048 3,8294 4,5052 5,0231 5,2946 5,2698 4,9683 4,4847 3,9619 3,5469 3,3401 3,3605 3,5410 3,7635 3,9243 3,9763 3,9141 3,7472 3,5144 3,2899 3,1423 3,0906 3,1071 3,1480 3,1741 3,1518 3,0538 2,8783 2,6648 2,4833 2,4035 2,4528 2,5866 2,7142 2,7591 2,6932 2,5334 2,3167 2,0700 1,7854 1,4274 0,9768 0,4778 0,0353 -0,2328 -0,2503 -0,0182 0,3832 0,8314 1,2143 1,4700 1,5862 1,5765 1,4817 1,3884 1,4071 1,6178 2,0270 2,5575 3,0734 3,4251 3,5040 3,2976 2,9047 2,4831 2,1621 1,9836 1,9229 1,9540 2,0724 2,2663 2,5127 2,8065 3,1606 3,5627 3,9395 4,1719 4,1666 3,9251 3,5406 3,1315 2,7743 2,4823 2,2432 2,0700 2,0092 2,1089 2,3818 2,7976 3,2974 3,7960 4,1897 4,4037 4,4368 4,3489 4,2082 4,0591 3,9354 3,8775 3,8962 3,9308 3,8832 3,6904 3,3526 2,9118 2,4410 2,0443 1,8231 1,8119 1,9547 2,1589 2,3549 2,5102 2,6443 2,8323 3,1476 3,6002 4,1310 4,6363 5,0038 5,1593 5,0910 4,8405 4,4793 4,0783 3,7008 3,4151 3,2863 3,3502 3,6048 4,0171 4,5348 5,0987 5,6392 6,0640 6,2788 6,2307 5,9382 5,4904 5,0175 4,6497 4,4831 4,5492 4,7953 5,1000 5,3282 5,3946 5,2990 5,1100 4,9140 4,7752 4,7186 4,7349 4,7940 4,8489 4,8454 4,7588 4,6091 4,4299 4,2488 4,0978 4,0129 4,0237 4,1457 4,3483 4,5321 4,5932 4,5172 4,3803 4,2767 4,2666 4,3519 4,4640 4,4925 4,3508 4,0260 3,5825 3,1364 2,8068 2,6552 2,6599 2,7497 2,8539 2,9199 2,9057 2,7797 2,5348 2,2075 1,8817 1,6578 1,6021 1,7222 1,9811 2,3213 2,6709 2,9424 3,0487 2,9457 2,6674 2,3151 2,0110 1,8532 1,8958 2,1571 2,6111 3,1576 3,6296 3,8659 3,7854 3,4058 2,8282 2,2117 1,7248 1,4780 1,4865 1,6887 1,9802 2,2240 2,2737 2,0407 1,5576 0,9788 0,5157 0,3396 0,4911 0,8559 1,2448 1,5149 1,6311 1,6562 1,7027 1,8651 2,1700 2,5748 3,0034 3,3796 3,6436 3,7632 3,7423 3,6158 3,4249 3,1976 2,9548 2,7289 2,5570 2,4586 2,4274 2,4290 2,3959 2,2491 1,9586 1,5829 1,2259 0,9666 0,8394 0,8455 0,9405 1,0280 1,0001 0,7940 0,4110 -0,1052 -0,6850 -1,2304 -1,6329 -1,8266 -1,8173 -1,6581 -1,4109 -1,1289 -0,8644 -0,6839 -0,6579 -0,8200 -1,1433 -1,5593 -1,9866 -2,3497 -2,5965 -2,7198 -2,7647 -2,8070 -2,9015 -3,0409 -3,1648 -3,2152 -3,1719 -3,0323 -2,7773 -2,3921 -1,9136 -1,4212 -0,9770 -0,6171 -0,3970 -0,3868 -0,5983 -0,9612 -1,3793 -1,7765 -2,1001 -2,3157 -2,4038 -2,3616 -2,1983 -1,9197 -1,5347 -1,0842 -0,6278 -0,1992 0,2022 0,5919 0,9769 1,3224 1,5408 1,5422 1,3086 0,9106 0,4615 0,0708 -0,1729 -0,2127 -0,0479 0,2480 0,5513 0,7407 0,7369 0,5138 0,1025 -0,4139 -0,9263 -1,3396 -1,6098 -1,7513 -1,8077 -1,8132 -1,7860 -1,7408 -1,6904 -1,6327 -1,5507 -1,4404 -1,3317 -1,2681 -1,2703 -1,3355 -1,4649 -1,6719 -1,9594 -2,3013 -2,6432 -2,9216 -3,1009 -3,2029 -3,2987 -3,4499 -3,6454 -3,8035 -3,8317 -3,6872 -3,4131 -3,1276 -2,9487 -2,9113 -2,9603 -3,0057 -2,9772 -2,8507 -2,6520 -2,4406 -2,2746 -2,1756 -2,1236 -2,0850 -2,0394 -1,9740 -1,8710 -1,7181 -1,5277 -1,3272 -1,1277 -0,9160
