Fp1   -0,8156 -1,1733 -1,2646 -1,0522 -0,6057 -0,0563 0,4688 0,8837 1,1452 1,2358 1,1554 0,9225 0,5794 0,1859 -0,1966 -0,5215 -0,7667 -0,9260 -0,9913 -0,9438 -0,7611 -0,4343 0,0107 0,5024 0,9336 1,1987 1,2431 1,0818 0,7740 0,3917 0,0098 -0,3067 -0,5295 -0,6736 -0,7713 -0,8468 -0,9050 -0,9185 -0,8368 -0,6331 -0,3392 -0,0279 0,2353 0,4222 0,5355 0,5916 0,6142 0,6369 0,7010 0,8385 1,0521 1,3208 1,6140 1,8900 2,0975 2,1920 2,1455 1,9482 1,6237 1,2462 0,9240 0,7538 0,7747 0,9409 1,1280 1,1752 0,9540 0,4255 -0,3421 -1,1985 -1,9651 -2,5073 -2,7880 -2,8560 -2,7799 -2,5941 -2,3052 -1,9394 -1,5591 -1,2201 -0,9306 -0,6742 -0,4710 -0,3919 -0,4935 -0,7547 -1,0940 -1,4326 -1,7329 -1,9992 -2,2601 -2,5406 -2,8441 -3,1611 -3,4938 -3,8629 -4,2887 -4,7704 -5,2804 -5,7727 -6,2023 -6,5536 -6,8571 -7,1726 -7,5517 -8,0089 -8,5109 -8,9808 -9,3224 -9,4432 -9,2626 -8,7344 -7,8830 -6,8054 -5,6194 -4,4092 -3,1994 -1,9597 -0,6520 0,7149 2,0810 3,3759 4,5513 5,5752 6,4094 6,9989 7,2877 7,2498 6,9192 6,3962 5,8110 5,2629 4,7770 4,3068 3,7811 3,1538 2,4140 1,5750 0,6852 -0,1616 -0,8612 -1,3597 -1,6839 -1,9149 -2,1361 -2,4011 -2,7240 -3,0630 -3,3150 -3,3581 -3,1335 -2,6890 -2,1359 -1,5827 -1,1201 -0,8286 -0,7559 -0,8926 -1,1843 -1,5637 -1,9704 -2,3563 -2,6953 -3,0094 -3,3642 -3,8128 -4,3496 -4,9257 -5,4871 -5,9805 -6,3426 -6,5239 -6,5320 -6,4276 -6,2730 -6,0984 -5,9083 -5,6999 -5,4695 -5,2061 -4,8750 -4,4187 -3,7927 -3,0045 -2,1197 -1,2505 -0,5303 -0,0599 0,1431 0,1252 -0,0725 -0,4383 -0,9453 -1,5257 -2,1181 -2,7142 -3,3328 -3,9583 -4,5143 -4,8845 -4,9596 -4,6919 -4,1179 -3,3332 -2,4579 -1,6220 -0,9547 -0,5567 -0,4566 -0,5862 -0,8098 -0,9945 -1,0604 -0,9896 -0,8250 -0,6626 -0,6033 -0,6843 -0,8689 -1,0978 -1,3272 -1,5303 -1,6975 -1,8423 -2,0006 -2,2180 -2,5196 -2,8773 -3,2142 -3,4500 -3,5421 -3,4842 -3,2903 -2,9936 -2,6499 -2,3213 -2,0520 -1,8588 -1,7322 -1,6417 -1,5508 -1,4326 -1,2790 -1,1151 -1,0024 -1,0021 -1,1295 -1,3533 -1,6243 -1,8878 -2,0817 -2,1547 -2,1064 -2,0136 -2,0060 -2,2048 -2,6716 -3,3902 -4,2686 -5,1561 -5,8874 -6,3461 -6,4964 -6,3682 -6,0352 -5,5946 -5,1406 -4,7530 -4,4847 -4,3163 -4,1382 -3,8201 -3,3111 -2,6750 -2,0495 -1,5688 -1,3022 -1,2392 -1,3029 -1,3862 -1,4086 -1,3521 -1,2557 -1,1933 -1,2556 -1,5144 -1,9767 -2,5726 -3,1908 -3,7209 -4,0727 -4,1891 -4,0610 -3,7297 -3,2705 -2,7718 -2,3110 -1,9292 -1,6264 -1,3769 -1,1476 -0,9136 -0,6721 -0,4348 -0,2120 -0,0148 0,1269 0,1651 0,0570 -0,2139 -0,6301 -1,1401 -1,6817 -2,2189 -2,7481 -3,2637 -3,7234 -4,0532 -4,1946 -4,1439 -3,9441 -3,6513 -3,3205 -3,0110 -2,7800 -2,6523 -2,5962 -2,5430 -2,4305 -2,2391 -2,0036 -1,7971 -1,6867 -1,6869 -1,7554 -1,8436 -1,9415 -2,0749 -2,2739 -2,5425 -2,8447 -3,1209 -3,3324 -3,4960 -3,6673 -3,8841 -4,1342 -4,3820 -4,6118 -4,8290 -5,0278 -5,1812 -5,2618 -5,2601 -5,2000 -5,1404 -5,1331 -5,1695 -5,1848 -5,1053 -4,8835 -4,5103 -4,0126 -3,4417 -2,8641 -2,3598 -2,0123 -1,8837 -1,9832 -2,2484 -2,5708 -2,8642 -3,1177 -3,3903 -3,7478 -4,1930 -4,6586 -5,0517 -5,2782 -5,2548 -4,9490 -4,4079 -3,7392 -3,0679 -2,4969 -2,0770 -1,8010 -1,6226 -1,4844 -1,3428 -1,1910 -1,0657 -1,0191 -1,0813 -1,2474 -1,4806 -1,7277 -1,9549 -2,1661 -2,3831 -2,6256 -2,9080 -3,2341 -3,5931 -3,9607 -4,3008 -4,5656 -4,7126 -4,7300 -4,6389 -4,4743 -4,2740 -4,0829 -3,9579 -3,9578 -4,1065 -4,3539 -4,5822 -4,6629 -4,5238 -4,1768 -3,6906 -3,1466 -2,6261 -2,2131 -1,9698 -1,9144 -2,0336 -2,3019 -2,6738 -3,0715 -3,3981 -3,5767 -3,5875 -3,4723 -3,3132 -3,2101 -3,2527 -3,4797 -3,8608 -4,3194 -4,7788 -5,1884 -5,5140 -5,7122 -5,7310 -5,5475 -5,1937 -4,7310 -4,2026 -3,6173 -2,9675 -2,2633 -1,5548 -0,9269 -0,4612 -0,1887 -0,0697 -0,0189 0,0461 0,1709 0,3533 0,5524 0,7074 0,7597 0,6802 0,4769 0,1603 -0,2832 -0,8641 -1,5506 -2,2778 -3,0062 -3,7515 -4,5426 -5,3598 -6,1331 -6,8009 -7,3577 -7,8371 -8,2510 -8,5551 -8,6748 -8,5573 -8,2098 -7,7036 -7,1415 -6,6036 -6,1083 -5,6122 -5,0524 -4,4005 -3,6787 -2,9241 -2,1504 -1,3377 -0,4479 0,5358 1,5754 2,5875 3,4847 4,2003 4,6757 4,8513 4,6987 4,2638 3,6645 3,0362 2,4768 2,0390 1,7564 1,6503 1,7082 1,8681 2,0380 2,1269 2,0595 1,7898 1,3218 0,7097 0,0307 -0,6464 -1,2869 -1,9072 -2,5614 -3,2925 -4,1003 -4,9476 -5,7717 -6,4896 -7,0128 -7,2845 -7,3184 -7,2131 -7,1259 -7,2129 -7,5638 -8,1564 -8,8625 -9,5117 -9,9728 -10,2179 -10,3359 -10,4637 -10,6892 -11,0172 -11,4013 -11,7736 -12,0432 -12,1026 -11,8723 -11,3461 -10,5954 -9,7384 -8,9036 -8,1896 -7,6425 -7,2650 -7,0215 -6,8398 -6,6461 -6,4028 -6,0999 -5,7394 -5,3478 -4,9832 -4,7097 -4,5679 -4,5627 -4,6658 -4,8355 -5,0436 -5,2777 -5,5353 -5,8320 -6,2037 -6,6830 -7,2745 -7,9499 -8,6546 -9,3177 -9,8664 -10,2506 -10,4691 -10,5704 -10,6178 -10,6506 -10,6695 -10,6410 -10,5090 -10,2118 -9,6993 -8,9528 -8,0159 -7,0148 -6,1183 -5,4590 -5,0922 -5,0052 -5,1337
Fz    -0,0144 -0,3026 -0,4232 -0,3508 -0,1314 0,1453 0,3911 0,5516 0,6128 0,5899 0,5110 0,4061 0,3030 0,2223 0,1673 0,1195 0,0504 -0,0579 -0,1986 -0,3368 -0,4169 -0,3877 -0,2334 0,0122 0,2745 0,4657 0,5241 0,4385 0,2401 -0,0169 -0,2681 -0,4609 -0,5821 -0,6559 -0,7147 -0,7787 -0,8484 -0,8994 -0,8913 -0,7973 -0,6256 -0,4053 -0,1602 0,0977 0,3559 0,5949 0,7934 0,9382 1,0361 1,1171 1,2208 1,3769 1,5918 1,8398 2,0677 2,2181 2,2500 2,1460 1,9182 1,6179 1,3266 1,1173 1,0128 0,9746 0,9248 0,7791 0,4776 0,0099 -0,5771 -1,1953 -1,7453 -2,1489 -2,3755 -2,4467 -2,4087 -2,2926 -2,1047 -1,8546 -1,5778 -1,3154 -1,0862 -0,8939 -0,7603 -0,7329 -0,8482 -1,0950 -1,4198 -1,7626 -2,0828 -2,3606 -2,5869 -2,7564 -2,8676 -2,9288 -2,9623 -2,9979 -3,0570 -3,1440 -3,2493 -3,3595 -3,4644 -3,5643 -3,6785 -3,8427 -4,0907 -4,4364 -4,8615 -5,3150 -5,7267 -6,0279 -6,1610 -6,0881 -5,8075 -5,3588 -4,7994 -4,1750 -3,5055 -2,7845 -1,9969 -1,1432 -0,2448 0,6638 1,5374 2,3234 2,9689 3,4253 3,6509 3,6241 3,3674 2,9594 2,5079 2,0980 1,7520 1,4321 1,0787 0,6508 0,1363 -0,4541 -1,0830 -1,6804 -2,1652 -2,4903 -2,6685 -2,7583 -2,8330 -2,9638 -3,1956 -3,5052 -3,7866 -3,9016 -3,7673 -3,4046 -2,9103 -2,3986 -1,9694 -1,7003 -1,6338 -1,7680 -2,0673 -2,4784 -2,9353 -3,3651 -3,7131 -3,9724 -4,1798 -4,3748 -4,5723 -4,7721 -4,9740 -5,1658 -5,3057 -5,3428 -5,2630 -5,1027 -4,9196 -4,7648 -4,6703 -4,6399 -4,6442 -4,6344 -4,5574 -4,3657 -4,0346 -3,5814 -3,0612 -2,5495 -2,1233 -1,8356 -1,6913 -1,6530 -1,6772 -1,7406 -1,8307 -1,9337 -2,0538 -2,2282 -2,4993 -2,8714 -3,2967 -3,6906 -3,9586 -4,0274 -3,8702 -3,5159 -3,0414 -2,5563 -2,1804 -2,0044 -2,0516 -2,2699 -2,5635 -2,8367 -3,0234 -3,0957 -3,0712 -3,0135 -2,9998 -3,0652 -3,1794 -3,2781 -3,3070 -3,2445 -3,1082 -2,9470 -2,8254 -2,8066 -2,9301 -3,1839 -3,5020 -3,8001 -4,0202 -4,1418 -4,1656 -4,1027 -3,9760 -3,8237 -3,6933 -3,6206 -3,6093 -3,6270 -3,6238 -3,5566 -3,4108 -3,2136 -3,0308 -2,9366 -2,9766 -3,1544 -3,4447 -3,8011 -4,1579 -4,4501 -4,6541 -4,8140 -5,0189 -5,3499 -5,8417 -6,4716 -7,1633 -7,8026 -8,2733 -8,5033 -8,4851 -8,2613 -7,8980 -7,4639 -7,0175 -6,6078 -6,2661 -5,9776 -5,6760 -5,2880 -4,7922 -4,2404 -3,7325 -3,3641 -3,1841 -3,1828 -3,2970 -3,4299 -3,4962 -3,4678 -3,3832 -3,3243 -3,3834 -3,6232 -4,0421 -4,5712 -5,1060 -5,5419 -5,7985 -5,8413 -5,6892 -5,3974 -5,0334 -4,6631 -4,3363 -4,0716 -3,8610 -3,6873 -3,5313 -3,3719 -3,1951 -3,0021 -2,8091 -2,6486 -2,5706 -2,6278 -2,8461 -3,2053 -3,6470 -4,0999 -4,5101 -4,8635 -5,1801 -5,4806 -5,7572 -5,9738 -6,0944 -6,1082 -6,0278 -5,8735 -5,6708 -5,4580 -5,2839 -5,1813 -5,1374 -5,0996 -5,0084 -4,8324 -4,5888 -4,3373 -4,1478 -4,0612 -4,0750 -4,1620 -4,2954 -4,4586 -4,6424 -4,8338 -5,0059 -5,1266 -5,1845 -5,2071 -5,2449 -5,3337 -5,4753 -5,6513 -5,8419 -6,0261 -6,1736 -6,2515 -6,2420 -6,1553 -6,0354 -5,9478 -5,9391 -5,9969 -6,0572 -6,0488 -5,9289 -5,6892 -5,3483 -4,9440 -4,5286 -4,1601 -3,8878 -3,7438 -3,7349 -3,8340 -3,9900 -4,1651 -4,3618 -4,6140 -4,9508 -5,3600 -5,7844 -6,1446 -6,3547 -6,3360 -6,0486 -5,5222 -4,8540 -4,1752 -3,6043 -3,2067 -2,9813 -2,8767 -2,8242 -2,7674 -2,6804 -2,5743 -2,4862 -2,4548 -2,5041 -2,6366 -2,8349 -3,0763 -3,3427 -3,6164 -3,8795 -4,1195 -4,3318 -4,5198 -4,6933 -4,8566 -4,9962 -5,0863 -5,1064 -5,0482 -4,9105 -4,6986 -4,4363 -4,1724 -3,9708 -3,8805 -3,9058 -4,0022 -4,0992 -4,1331 -4,0686 -3,9024 -3,6554 -3,3731 -3,1178 -2,9443 -2,8822 -2,9412 -3,1133 -3,3655 -3,6369 -3,8575 -3,9792 -4,0002 -3,9592 -3,9156 -3,9336 -4,0624 -4,3100 -4,6361 -4,9757 -5,2750 -5,5092 -5,6724 -5,7551 -5,7353 -5,5932 -5,3296 -4,9604 -4,4996 -3,9588 -3,3604 -2,7492 -2,1865 -1,7341 -1,4347 -1,2949 -1,2809 -1,3314 -1,3820 -1,3833 -1,3141 -1,1904 -1,0597 -0,9803 -0,9920 -1,1053 -1,3178 -1,6267 -2,0204 -2,4680 -2,9319 -3,3975 -3,8835 -4,4112 -4,9684 -5,5104 -5,9962 -6,4209 -6,8099 -7,1833 -7,5263 -7,7912 -7,9261 -7,9136 -7,7892 -7,6200 -7,4580 -7,3062 -7,1241 -6,8648 -6,5152 -6,1028 -5,6662 -5,2233 -4,7613 -4,2482 -3,6609 -3,0070 -2,3240 -1,6619 -1,0714 -0,6036 -0,3083 -0,2126 -0,2999 -0,5159 -0,7930 -1,0697 -1,2936 -1,4177 -1,4084 -1,2639 -1,0270 -0,7714 -0,5723 -0,4854 -0,5360 -0,7125 -0,9775 -1,2950 -1,6452 -2,0248 -2,4496 -2,9452 -3,5248 -4,1804 -4,8896 -5,6152 -6,3010 -6,8803 -7,2964 -7,5297 -7,6179 -7,6490 -7,7227 -7,9037 -8,1908 -8,5206 -8,8063 -8,9888 -9,0685 -9,1021 -9,1635 -9,2947 -9,4893 -9,7071 -9,8928 -9,9816 -9,9104 -9,6437 -9,1982 -8,6430 -8,0796 -7,6068 -7,2803 -7,0965 -7,0132 -6,9690 -6,8951 -6,7373 -6,4751 -6,1178 -5,6972 -5,2669 -4,8878 -4,6050 -4,4365 -4,3725 -4,3775 -4,4087 -4,4411 -4,4734 -4,5214 -4,6161 -4,7969 -5,0899 -5,4900 -5,9608 -6,4482 -6,8966 -7,2661 -7,5457 -7,7600 -7,9622 -8,2074 -8,5159 -8,8530 -9,1386 -9,2796 -9,2050 -8,8858 -8,3374 -7,6181 -6,8326 -6,1158 -5,5851 -5,2962 -5,2346 -5,3323
F3    0,4867 0,3104 0,2378 0,2820 0,4002 0,5232 0,5926 0,5847 0,5126 0,4083 0,3024 0,2118 0,1411 0,0879 0,0457 0,0046 -0,0480 -0,1254 -0,2370 -0,3731 -0,4930 -0,5404 -0,4776 -0,3105 -0,0909 0,1017 0,1959 0,1587 -0,0013 -0,2441 -0,5042 -0,7127 -0,8290 -0,8528 -0,8125 -0,7423 -0,6590 -0,5484 -0,3854 -0,1744 0,0363 0,1907 0,2712 0,3032 0,3256 0,3637 0,4218 0,4897 0,5555 0,6160 0,6774 0,7533 0,8589 0,9957 1,1397 1,2491 1,2828 1,2135 1,0434 0,8192 0,6205 0,5166 0,5245 0,6031 0,6796 0,6771 0,5365 0,2400 -0,1745 -0,6304 -1,0474 -1,3682 -1,5716 -1,6742 -1,7133 -1,7173 -1,6943 -1,6504 -1,6024 -1,5639 -1,5295 -1,4924 -1,4752 -1,5251 -1,6710 -1,8920 -2,1315 -2,3365 -2,4797 -2,5556 -2,5725 -2,5505 -2,5165 -2,4931 -2,4896 -2,5050 -2,5357 -2,5855 -2,6708 -2,8108 -3,0145 -3,2827 -3,6173 -4,0175 -4,4691 -4,9418 -5,3907 -5,7539 -5,9668 -5,9869 -5,8035 -5,4335 -4,9248 -4,3498 -3,7748 -3,2296 -2,7032 -2,1632 -1,5789 -0,9310 -0,2145 0,5511 1,3103 1,9819 2,4890 2,7843 2,8553 2,7186 2,4237 2,0590 1,7287 1,5030 1,3809 1,2992 1,1755 0,9516 0,6089 0,1638 -0,3385 -0,8289 -1,2321 -1,4945 -1,6078 -1,6085 -1,5624 -1,5492 -1,6293 -1,7971 -1,9731 -2,0553 -1,9851 -1,7715 -1,4653 -1,1229 -0,7985 -0,5466 -0,4094 -0,4069 -0,5399 -0,7867 -1,0960 -1,4010 -1,6537 -1,8509 -2,0241 -2,2028 -2,3924 -2,5864 -2,7859 -2,9910 -3,1774 -3,3011 -3,3325 -3,2757 -3,1596 -3,0275 -2,9262 -2,8796 -2,8709 -2,8582 -2,8000 -2,6688 -2,4584 -2,1858 -1,8911 -1,6357 -1,4902 -1,5054 -1,6837 -1,9822 -2,3452 -2,7345 -3,1302 -3,5163 -3,8787 -4,2122 -4,5146 -4,7769 -4,9825 -5,1092 -5,1271 -5,0063 -4,7347 -4,3345 -3,8674 -3,4258 -3,1129 -3,0071 -3,1207 -3,3859 -3,6894 -3,9271 -4,0424 -4,0320 -3,9358 -3,8179 -3,7359 -3,7087 -3,7114 -3,7076 -3,6799 -3,6344 -3,5932 -3,5830 -3,6277 -3,7466 -3,9469 -4,2114 -4,4996 -4,7640 -4,9653 -5,0776 -5,0886 -4,9993 -4,8223 -4,5835 -4,3215 -4,0750 -3,8648 -3,6867 -3,5190 -3,3376 -3,1272 -2,8893 -2,6524 -2,4673 -2,3841 -2,4311 -2,6108 -2,9007 -3,2474 -3,5804 -3,8535 -4,0818 -4,3283 -4,6543 -5,0829 -5,5916 -6,1199 -6,5866 -6,9171 -7,0689 -7,0419 -6,8688 -6,5983 -6,2811 -5,9618 -5,6764 -5,4424 -5,2404 -5,0131 -4,7030 -4,2964 -3,8376 -3,4032 -3,0622 -2,8515 -2,7759 -2,8071 -2,8834 -2,9340 -2,9183 -2,8525 -2,8085 -2,8853 -3,1538 -3,6048 -4,1497 -4,6717 -5,0749 -5,3019 -5,3404 -5,2237 -5,0143 -4,7830 -4,5958 -4,5006 -4,5043 -4,5698 -4,6402 -4,6609 -4,5888 -4,4056 -4,1297 -3,8165 -3,5425 -3,3815 -3,3855 -3,5704 -3,9126 -4,3515 -4,8003 -5,1737 -5,4296 -5,5838 -5,6783 -5,7404 -5,7694 -5,7548 -5,6933 -5,5855 -5,4284 -5,2270 -5,0128 -4,8392 -4,7440 -4,7170 -4,7038 -4,6395 -4,4885 -4,2675 -4,0391 -3,8834 -3,8623 -3,9926 -4,2459 -4,5666 -4,8964 -5,1956 -5,4446 -5,6288 -5,7334 -5,7597 -5,7390 -5,7198 -5,7356 -5,7887 -5,8642 -5,9468 -6,0214 -6,0612 -6,0307 -5,9098 -5,7104 -5,4748 -5,2637 -5,1307 -5,0899 -5,1093 -5,1364 -5,1240 -5,0408 -4,8767 -4,6443 -4,3764 -4,1173 -3,9102 -3,7881 -3,7629 -3,8181 -3,9198 -4,0485 -4,2196 -4,4708 -4,8233 -5,2483 -5,6743 -6,0191 -6,2059 -6,1728 -5,8998 -5,4308 -4,8653 -4,3188 -3,8787 -3,5829 -3,4237 -3,3623 -3,3492 -3,3458 -3,3382 -3,3362 -3,3573 -3,4095 -3,4913 -3,5946 -3,7060 -3,8146 -3,9193 -4,0242 -4,1366 -4,2696 -4,4375 -4,6467 -4,8884 -5,1312 -5,3204 -5,4053 -5,3737 -5,2524 -5,0750 -4,8621 -4,6326 -4,4201 -4,2722 -4,2257 -4,2747 -4,3667 -4,4333 -4,4289 -4,3486 -4,2157 -4,0615 -3,9198 -3,8200 -3,7725 -3,7692 -3,8013 -3,8636 -3,9437 -4,0158 -4,0533 -4,0474 -4,0154 -3,9891 -3,9998 -4,0723 -4,2175 -4,4191 -4,6350 -4,8216 -4,9596 -5,0585 -5,1400 -5,2183 -5,2912 -5,3434 -5,3551 -5,3035 -5,1664 -4,9341 -4,6193 -4,2575 -3,8949 -3,5680 -3,2924 -3,0637 -2,8658 -2,6821 -2,5013 -2,3188 -2,1422 -1,9954 -1,9075 -1,8976 -1,9689 -2,1165 -2,3430 -2,6579 -3,0569 -3,5085 -3,9666 -4,3998 -4,8034 -5,1809 -5,5207 -5,7985 -6,0009 -6,1421 -6,2562 -6,3748 -6,5051 -6,6203 -6,6741 -6,6398 -6,5351 -6,4047 -6,2782 -6,1443 -5,9557 -5,6642 -5,2600 -4,7800 -4,2775 -3,7866 -3,3061 -2,8081 -2,2686 -1,6962 -1,1315 -0,6260 -0,2241 0,0403 0,1442 0,0913 -0,0765 -0,2949 -0,5070 -0,6814 -0,8064 -0,8698 -0,8511 -0,7368 -0,5441 -0,3263 -0,1512 -0,0732 -0,1148 -0,2646 -0,4926 -0,7703 -1,0800 -1,4219 -1,8187 -2,2950 -2,8471 -3,4439 -4,0543 -4,6532 -5,2052 -5,6578 -5,9572 -6,0799 -6,0597 -5,9855 -5,9632 -6,0677 -6,3140 -6,6573 -7,0209 -7,3353 -7,5758 -7,7764 -7,9929 -8,2479 -8,5166 -8,7548 -8,9217 -8,9794 -8,8941 -8,6538 -8,2833 -7,8448 -7,4212 -7,0841 -6,8617 -6,7333 -6,6555 -6,5806 -6,4608 -6,2626 -5,9791 -5,6305 -5,2584 -4,9189 -4,6652 -4,5282 -4,5128 -4,6033 -4,7653 -4,9551 -5,1317 -5,2620 -5,3346 -5,3750 -5,4373 -5,5730 -5,8059 -6,1272 -6,4998 -6,8701 -7,1913 -7,4521 -7,6852 -7,9472 -8,2823 -8,6902 -9,1127 -9,4518 -9,6146 -9,5521 -9,2661 -8,7919 -8,1866 -7,5319 -6,9265 -6,4531 -6,1498 -6,0126 -6,0104
