Fp1   -0,9087 -0,9606 -1,0401 -1,1563 -1,3190 -1,5277 -1,7638 -1,9947 -2,1849 -2,3022 -2,3290 -2,2793 -2,2018 -2,1543 -2,1726 -2,2555 -2,3668 -2,4479 -2,4382 -2,2968 -2,0201 -1,6480 -1,2449 -0,8685 -0,5490 -0,2926 -0,0937 0,0682 0,2329 0,4386 0,6919 0,9630 1,2069 1,3873 1,4886 1,5186 1,5042 1,4800 1,4809 1,5379 1,6731 1,8931 2,1922 2,5567 2,9636 3,3759 3,7461 4,0263 4,1825 4,2087 4,1277 3,9724 3,7652 3,5098 3,1976 2,8201 2,3849 1,9217 1,4734 1,0823 0,7757 0,5504 0,3716 0,1939 -0,0113 -0,2418 -0,4701 -0,6622 -0,7982 -0,8822 -0,9400 -1,0088 -1,1208 -1,2885 -1,5014 -1,7315 -1,9448 -2,1151 -2,2318 -2,2988 -2,3330 -2,3562 -2,3762 -2,3826 -2,3595 -2,2961 -2,1817 -2,0042 -1,7605 -1,4668 -1,1582 -0,8828 -0,6853 -0,5868 -0,5769 -0,6181 -0,6567 -0,6404 -0,5337 -0,3246 -0,0276 0,3160 0,6463 0,9049 1,0607 1,1192 1,1099 1,0729 1,0528 1,0877 1,1921 1,3475 1,5138 1,6519 1,7382 1,7647 1,7364 1,6748 1,6137 1,5862 1,6112 1,6878 1,7994 1,9187 2,0139 2,0625 2,0668 2,0542 2,0593 2,1092 2,2139 2,3610 2,5198 2,6571 2,7511 2,7962 2,8007 2,7850 2,7763 2,7950 2,8434 2,9150 3,0083 3,1215 3,2381 3,3318 3,3879 3,4185 3,4523 3,5103 3,5953 3,7001 3,8192 3,9471 4,0728 4,1866 4,2956 4,4266 4,6069 4,8400 5,0980 5,3365 5,5156 5,6105 5,6098 5,5149 5,3450 5,1327 4,9133 4,7206 4,5817 4,5040 4,4668 4,4314 4,3620 4,2412 4,0712 3,8704 3,6692 3,5008 3,3851 3,3137 3,2537 3,1727 3,0618 2,9413 2,8490 2,8173 2,8572 2,9604 3,1067 3,2682 3,4134 3,5242 3,6065 3,6799 3,7621 3,8637 3,9882 4,1278 4,2624 4,3719 4,4519 4,5082 4,5375 4,5235 4,4590 4,3685 4,3008 4,2961 4,3562 4,4469 4,5218 4,5458 4,5046 4,4031 4,2613 4,1095 3,9755 3,8756 3,8104 3,7632 3,7021 3,5963 3,4364 3,2369 3,0241 2,8278 2,6762 2,5860 2,5505 2,5381 2,5034 2,4063 2,2336 2,0131 1,8045 1,6633 1,6078 1,6172 1,6529 1,6760 1,6532 1,5627 1,4022 1,1897 0,9546 0,7315 0,5555 0,4492 0,4099 0,4184 0,4547 0,5017 0,5440 0,5771 0,6156 0,6847 0,8057 0,9841 1,2044 1,4308 1,6213 1,7504 1,8203 1,8549 1,8874 1,9489 2,0586 2,2176 2,4057 2,5867 2,7213 2,7798 2,7526 2,6662 2,5889 2,6068 2,7832 3,1292 3,5978 4,1033 4,5502 4,8591 4,9822 4,9160 4,7058 4,4279 4,1532 3,9247 3,7602 3,6565 3,5894 3,5275 3,4576 3,3928 3,3578 3,3644 3,4027 3,4506 3,4845 3,4790 3,4058 3,2419 2,9809 2,6401 2,2549 1,8619 1,4806 1,1122 0,7601 0,4522 0,2311 0,1149 0,0755 0,0589 0,0217 -0,0472 -0,1268 -0,1809 -0,1803 -0,1199 -0,0174 0,0986 0,2009 0,2762 0,3333 0,3935 0,4756 0,5924 0,7562 0,9777 1,2515 1,5457 1,8164 2,0421 2,2372 2,4277 2,6227 2,8146 2,9923 3,1438 3,2587 3,3363 3,3873 3,4202 3,4342 3,4333 3,4406 3,4928 3,6208 3,8346 4,1224 4,4602 4,8171 5,1563 5,4456 5,6739 5,8516 5,9980 6,1271 6,2372 6,3106 6,3287 6,2936 6,2371 6,2075 6,2478 6,3805 6,6016 6,8788 7,1595 7,3909 7,5317 7,5493 7,4229 7,1600 6,8079 6,4419 6,1388 5,9482 5,8693 5,8496 5,8137 5,7031 5,5023 5,2417 4,9806 4,7853 4,7036 4,7413 4,8569 4,9863 5,0768 5,1005 5,0470 4,9209 4,7446 4,5491 4,3586 4,1882 4,0485 3,9470 3,8830 3,8426 3,8065 3,7671 3,7356 3,7307 3,7593 3,8037 3,8327 3,8231 3,7643 3,6535 3,5014 3,3423 3,2208 3,1656 3,1825 3,2639 3,3942 3,5521 3,7195 3,8877 4,0523 4,2118 4,3702 4,5343 4,7035 4,8633 4,9933 5,0846 5,1461 5,2005 5,2749 5,3885 5,5438 5,7353 5,9571 6,1958 6,4242 6,6097 6,7268 6,7654 6,7367 6,6710 6,6051 6,5728 6,6005 6,6978 6,8455 6,9957 7,0862 7,0626 6,8982 6,6039 6,2222 5,8122 5,4314 5,1174 4,8734 4,6665 4,4461 4,1763 3,8614 3,5385 3,2456 3,0007 2,8120 2,6910 2,6455 2,6646 2,7229 2,7940 2,8533 2,8772 2,8571 2,8140 2,7819 2,7751 2,7739 2,7407 2,6486 2,4967 2,3042 2,0989 1,9098 1,7600 1,6572 1,5890 1,5288 1,4549 1,3621 1,2523 1,1214 0,9670 0,8077 0,6867 0,6503 0,7181 0,8699 1,0615 1,2516 1,4184 1,5599 1,6899 1,8302 1,9932 2,1747 2,3623 2,5479 2,7342 2,9322 3,1514 3,3923 3,6510 3,9258 4,2122 4,4928 4,7385 4,9185 5,0075 4,9871 4,8485 4,5997 4,2733 3,9310 3,6561 3,5244 3,5686 3,7539 3,9865 4,1564 4,1869 4,0571 3,7932 3,4473 3,0717 2,7033 2,3666 2,0837 1,8673 1,7120 1,5920 1,4668 1,2975 1,0717 0,8120 0,5581 0,3434 0,1817 0,0594 -0,0600 -0,2076 -0,3772 -0,5243 -0,5999 -0,5823 -0,4802 -0,3159 -0,1095 0,1172 0,3262 0,4733 0,5394 0,5446 0,5260 0,5081 0,4931 0,4634 0,3897 0,2450 0,0206 -0,2731 -0,6171 -0,9944 -1,3912 -1,7964 -2,2000 -2,5932 -2,9699 -3,3248 -3,6525 -3,9507 -4,2265 -4,4951 -4,7667 -5,0388 -5,3055 -5,5716 -5,8498 -6,1440 -6,4321 -6,6686 -6,8020 -6,7977 -6,6496 -6,3816 -6,0396
Fz    -1,6660 -1,7724 -1,8993 -2,0473 -2,2178 -2,4110 -2,6172 -2,8129 -2,9673 -3,0550 -3,0695 -3,0292 -2,9713 -2,9323 -2,9301 -2,9617 -3,0075 -3,0362 -3,0085 -2,8897 -2,6682 -2,3640 -2,0184 -1,6713 -1,3435 -1,0328 -0,7225 -0,3882 -0,0065 0,4295 0,8983 1,3580 1,7653 2,0914 2,3269 2,4816 2,5834 2,6730 2,7905 2,9612 3,1884 3,4564 3,7418 4,0268 4,3038 4,5679 4,8033 4,9791 5,0611 5,0301 4,8853 4,6348 4,2871 3,8510 3,3366 2,7603 2,1504 1,5435 0,9746 0,4716 0,0538 -0,2751 -0,5322 -0,7495 -0,9582 -1,1782 -1,4130 -1,6503 -1,8673 -2,0440 -2,1762 -2,2782 -2,3743 -2,4840 -2,6106 -2,7419 -2,8586 -2,9458 -2,9981 -3,0210 -3,0303 -3,0417 -3,0568 -3,0619 -3,0404 -2,9797 -2,8681 -2,6945 -2,4554 -2,1595 -1,8289 -1,4984 -1,2092 -0,9906 -0,8472 -0,7574 -0,6815 -0,5773 -0,4151 -0,1852 0,1019 0,4170 0,7181 0,9659 1,1443 1,2674 1,3677 1,4821 1,6439 1,8743 2,1716 2,5096 2,8503 3,1618 3,4266 3,6380 3,7957 3,9081 3,9958 4,0866 4,2014 4,3437 4,4990 4,6413 4,7440 4,7950 4,8042 4,7983 4,8072 4,8500 4,9270 5,0201 5,1040 5,1607 5,1873 5,1928 5,1893 5,1893 5,2059 5,2466 5,3057 5,3690 5,4239 5,4591 5,4605 5,4189 5,3405 5,2483 5,1722 5,1391 5,1660 5,2592 5,4136 5,6135 5,8359 6,0610 6,2844 6,5171 6,7704 7,0376 7,2893 7,4892 7,6138 7,6584 7,6268 7,5253 7,3667 7,1710 6,9593 6,7533 6,5766 6,4461 6,3606 6,3018 6,2454 6,1704 6,0687 5,9514 5,8437 5,7684 5,7299 5,7091 5,6748 5,6058 5,5071 5,4093 5,3531 5,3687 5,4588 5,5993 5,7568 5,9065 6,0357 6,1430 6,2342 6,3173 6,4015 6,4990 6,6199 6,7631 6,9120 7,0457 7,1577 7,2580 7,3538 7,4374 7,4997 7,5442 7,5817 7,6142 7,6268 7,5972 7,5082 7,3539 7,1414 6,8906 6,6337 6,4063 6,2306 6,1054 6,0127 5,9281 5,8278 5,6969 5,5359 5,3567 5,1738 5,0015 4,8523 4,7296 4,6223 4,5086 4,3639 4,1687 3,9188 3,6322 3,3458 3,0980 2,9063 2,7638 2,6546 2,5645 2,4811 2,3947 2,3048 2,2183 2,1423 2,0825 2,0462 2,0381 2,0527 2,0804 2,1166 2,1611 2,2139 2,2794 2,3714 2,5054 2,6896 2,9246 3,2035 3,5052 3,7971 4,0532 4,2684 4,4550 4,6278 4,7951 4,9545 5,0924 5,1859 5,2148 5,1734 5,0696 4,9189 4,7516 4,6185 4,5769 4,6641 4,8811 5,1913 5,5311 5,8294 6,0284 6,1013 6,0592 5,9404 5,7886 5,6356 5,4993 5,3879 5,3016 5,2315 5,1656 5,0976 5,0262 4,9472 4,8481 4,7134 4,5330 4,3068 4,0370 3,7195 3,3465 2,9191 2,4588 2,0054 1,5989 1,2574 0,9742 0,7411 0,5743 0,5062 0,5481 0,6696 0,8173 0,9475 1,0426 1,1056 1,1507 1,1982 1,2683 1,3728 1,5109 1,6756 1,8666 2,0953 2,3743 2,7047 3,0736 3,4594 3,8392 4,1884 4,4783 4,6868 4,8202 4,9171 5,0175 5,1316 5,2426 5,3304 5,3853 5,4061 5,3964 5,3614 5,3031 5,2237 5,1400 5,0872 5,1023 5,2048 5,3936 5,6552 5,9695 6,3070 6,6298 6,9054 7,1194 7,2738 7,3753 7,4310 7,4454 7,4181 7,3489 7,2472 7,1383 7,0584 7,0410 7,1036 7,2398 7,4183 7,5952 7,7301 7,7948 7,7726 7,6597 7,4720 7,2468 7,0324 6,8694 6,7729 6,7259 6,6859 6,6068 6,4654 6,2740 6,0741 5,9155 5,8382 5,8596 5,9666 6,1181 6,2645 6,3714 6,4274 6,4335 6,3953 6,3200 6,2107 6,0644 5,8812 5,6743 5,4683 5,2881 5,1482 5,0516 4,9972 4,9849 5,0119 5,0632 5,1092 5,1193 5,0823 5,0126 4,9383 4,8887 4,8886 4,9534 5,0845 5,2689 5,4863 5,7141 5,9323 6,1309 6,3117 6,4818 6,6468 6,8096 6,9687 7,1150 7,2310 7,3001 7,3212 7,3145 7,3137 7,3520 7,4481 7,5997 7,7916 8,0047 8,2160 8,4008 8,5421 8,6354 8,6869 8,7108 8,7271 8,7538 8,8006 8,8682 8,9476 9,0168 9,0404 8,9774 8,7964 8,4880 8,0690 7,5787 7,0696 6,5961 6,2017 5,9064 5,6989 5,5457 5,4132 5,2881 5,1745 5,0745 4,9792 4,8833 4,7980 4,7406 4,7200 4,7367 4,7878 4,8621 4,9369 4,9904 5,0151 5,0130 4,9803 4,9026 4,7628 4,5552 4,2947 4,0116 3,7397 3,5051 3,3167 3,1630 3,0150 2,8377 2,6090 2,3345 2,0384 1,7431 1,4655 1,2283 1,0614 0,9883 1,0086 1,0948 1,2081 1,3178 1,4098 1,4842 1,5523 1,6316 1,7345 1,8623 2,0111 2,1809 2,3755 2,5988 2,8506 3,1266 3,4228 3,7344 4,0459 4,3284 4,5497 4,6899 4,7425 4,7070 4,5848 4,3858 4,1359 3,8790 3,6708 3,5628 3,5807 3,7079 3,8860 4,0401 4,1105 4,0709 3,9273 3,7059 3,4349 3,1332 2,8161 2,5078 2,2386 2,0310 1,8912 1,8058 1,7467 1,6869 1,6147 1,5325 1,4499 1,3764 1,3121 1,2459 1,1728 1,1158 1,1182 1,2096 1,3851 1,6149 1,8670 2,1191 2,3530 2,5451 2,6710 2,7238 2,7216 2,6927 2,6541 2,6002 2,5088 2,3523 2,1121 1,7882 1,3989 0,9704 0,5255 0,0777 -0,3723 -0,8331 -1,3155 -1,8248 -2,3570 -2,8977 -3,4283 -3,9341 -4,4055 -4,8384 -5,2400 -5,6313 -6,0361 -6,4629 -6,8933 -7,2853 -7,5892 -7,7627 -7,7826 -7,6512 -7,3980 -7,0739
F3    -0,9276 -1,0399 -1,1627 -1,2913 -1,4223 -1,5574 -1,6997 -1,8445 -1,9756 -2,0721 -2,1211 -2,1304 -2,1276 -2,1426 -2,1878 -2,2545 -2,3211 -2,3573 -2,3276 -2,2034 -1,9805 -1,6843 -1,3591 -1,0462 -0,7678 -0,5255 -0,3079 -0,0947 0,1385 0,4064 0,6983 0,9813 1,2196 1,3910 1,4915 1,5327 1,5407 1,5497 1,5931 1,6941 1,8612 2,0879 2,3598 2,6626 2,9836 3,3053 3,5999 3,8330 3,9773 4,0249 3,9848 3,8706 3,6935 3,4626 3,1865 2,8758 2,5453 2,2139 1,9014 1,6285 1,4150 1,2661 1,1622 1,0658 0,9407 0,7680 0,5521 0,3139 0,0777 -0,1408 -0,3416 -0,5365 -0,7411 -0,9628 -1,1948 -1,4207 -1,6288 -1,8191 -1,9993 -2,1750 -2,3481 -2,5150 -2,6651 -2,7827 -2,8559 -2,8779 -2,8401 -2,7300 -2,5402 -2,2767 -1,9614 -1,6318 -1,3326 -1,0965 -0,9286 -0,8021 -0,6728 -0,5017 -0,2698 0,0218 0,3560 0,7035 1,0252 1,2840 1,4615 1,5633 1,6101 1,6285 1,6490 1,6966 1,7799 1,8877 1,9960 2,0802 2,1238 2,1190 2,0650 1,9745 1,8768 1,8077 1,7937 1,8431 1,9462 2,0805 2,2191 2,3442 2,4568 2,5738 2,7127 2,8793 3,0638 3,2446 3,3999 3,5176 3,5998 3,6613 3,7199 3,7891 3,8758 3,9811 4,0983 4,2179 4,3319 4,4314 4,5036 4,5386 4,5375 4,5135 4,4881 4,4857 4,5244 4,6097 4,7346 4,8853 5,0448 5,2027 5,3653 5,5550 5,7883 6,0544 6,3143 6,5224 6,6516 6,6990 6,6735 6,5841 6,4421 6,2617 6,0567 5,8434 5,6441 5,4785 5,3518 5,2523 5,1588 5,0500 4,9136 4,7550 4,5986 4,4755 4,4026 4,3693 4,3446 4,2972 4,2142 4,1076 4,0104 3,9593 3,9740 4,0481 4,1553 4,2636 4,3497 4,4083 4,4496 4,4857 4,5235 4,5670 4,6169 4,6673 4,7054 4,7211 4,7198 4,7184 4,7245 4,7304 4,7288 4,7280 4,7441 4,7809 4,8199 4,8310 4,7914 4,6970 4,5594 4,3986 4,2395 4,1079 4,0207 3,9782 3,9661 3,9607 3,9353 3,8704 3,7636 3,6287 3,4875 3,3626 3,2719 3,2179 3,1836 3,1395 3,0576 2,9192 2,7205 2,4804 2,2401 2,0424 1,9053 1,8164 1,7503 1,6833 1,5994 1,4941 1,3783 1,2728 1,1953 1,1542 1,1519 1,1831 1,2318 1,2800 1,3198 1,3533 1,3849 1,4244 1,4906 1,6055 1,7838 2,0293 2,3292 2,6508 2,9508 3,1940 3,3680 3,4836 3,5646 3,6363 3,7148 3,7993 3,8738 3,9209 3,9335 3,9132 3,8645 3,8021 3,7605 3,7842 3,9040 4,1189 4,3953 4,6790 4,9103 5,0391 5,0408 4,9258 4,7323 4,5057 4,2813 4,0820 3,9208 3,7981 3,7009 3,6132 3,5306 3,4609 3,4122 3,3790 3,3401 3,2722 3,1609 2,9980 2,7756 2,4880 2,1383 1,7423 1,3294 0,9345 0,5805 0,2691 -0,0018 -0,2159 -0,3459 -0,3857 -0,3652 -0,3304 -0,3104 -0,3045 -0,2948 -0,2648 -0,2093 -0,1333 -0,0467 0,0435 0,1369 0,2414 0,3713 0,5418 0,7633 1,0383 1,3601 1,7108 2,0601 2,3680 2,6030 2,7647 2,8847 2,9988 3,1211 3,2465 3,3682 3,4840 3,5906 3,6818 3,7487 3,7786 3,7610 3,7063 3,6516 3,6407 3,7059 3,8627 4,1105 4,4318 4,7936 5,1519 5,4668 5,7177 5,9047 6,0380 6,1260 6,1686 6,1593 6,0938 5,9826 5,8558 5,7565 5,7239 5,7771 5,9083 6,0856 6,2640 6,4011 6,4688 6,4509 6,3404 6,1476 5,9059 5,6622 5,4581 5,3148 5,2237 5,1480 5,0407 4,8721 4,6448 4,3922 4,1648 4,0139 3,9710 4,0311 4,1547 4,2920 4,4057 4,4765 4,4967 4,4684 4,4028 4,3125 4,2054 4,0888 3,9739 3,8764 3,8096 3,7761 3,7690 3,7819 3,8146 3,8701 3,9440 4,0166 4,0627 4,0716 4,0522 4,0222 4,0003 4,0053 4,0482 4,1254 4,2258 4,3412 4,4653 4,5906 4,7131 4,8354 4,9595 5,0850 5,2123 5,3437 5,4775 5,6020 5,7004 5,7646 5,8025 5,8340 5,8840 5,9732 6,1121 6,3035 6,5444 6,8175 7,0884 7,3183 7,4805 7,5685 7,5963 7,5916 7,5820 7,5851 7,6094 7,6563 7,7149 7,7567 7,7386 7,6173 7,3688 7,0009 6,5487 6,0648 5,6063 5,2198 4,9243 4,7011 4,5066 4,3034 4,0833 3,8577 3,6319 3,4009 3,1698 2,9630 2,8074 2,7136 2,6781 2,6910 2,7319 2,7715 2,7901 2,7903 2,7856 2,7798 2,7630 2,7207 2,6473 2,5508 2,4472 2,3550 2,2879 2,2483 2,2248 2,1937 2,1258 2,0036 1,8347 1,6429 1,4484 1,2621 1,0968 0,9742 0,9157 0,9261 0,9861 1,0620 1,1238 1,1581 1,1683 1,1676 1,1727 1,1947 1,2341 1,2866 1,3526 1,4415 1,5671 1,7378 1,9504 2,1931 2,4513 2,7061 2,9359 3,1237 3,2619 3,3483 3,3781 3,3433 3,2413 3,0856 2,9141 2,7847 2,7547 2,8540 3,0645 3,3215 3,5429 3,6663 3,6660 3,5479 3,3361 3,0596 2,7416 2,4017 2,0653 1,7604 1,5042 1,2943 1,1095 0,9199 0,7055 0,4695 0,2329 0,0211 -0,1474 -0,2690 -0,3536 -0,4106 -0,4282 -0,3776 -0,2415 -0,0345 0,2054 0,4384 0,6397 0,7994 0,9088 0,9575 0,9468 0,8964 0,8302 0,7583 0,6744 0,5624 0,4017 0,1748 -0,1227 -0,4777 -0,8658 -1,2618 -1,6481 -2,0211 -2,3931 -2,7833 -3,2041 -3,6548 -4,1224 -4,5899 -5,0462 -5,4879 -5,9143 -6,3248 -6,7214 -7,1062 -7,4733 -7,8000 -8,0473 -8,1744 -8,1561 -7,9918 -7,7050 -7,3381 -6,9444
F7    -0,5414 -0,6106 -0,6746 -0,7339 -0,7963 -0,8739 -0,9731 -1,0852 -1,1881 -1,2553 -1,2692 -1,2338 -1,1764 -1,1321 -1,1254 -1,1608 -1,2220 -1,2761 -1,2851 -1,2196 -1,0710 -0,8570 -0,6129 -0,3753 -0,1689 -0,0052 0,1131 0,1940 0,2610 0,3407 0,4397 0,5407 0,6181 0,6555 0,6488 0,6044 0,5359 0,4663 0,4287 0,4564 0,5685 0,7633 1,0255 1,3352 1,6702 2,0034 2,3017 2,5331 2,6786 2,7402 2,7346 2,6788 2,5824 2,4476 2,2697 2,0431 1,7681 1,4557 1,1285 0,8182 0,5549 0,3518 0,1974 0,0652 -0,0699 -0,2179 -0,3717 -0,5127 -0,6230 -0,6978 -0,7520 -0,8147 -0,9148 -1,0673 -1,2676 -1,4981 -1,7398 -1,9806 -2,2156 -2,4432 -2,6631 -2,8733 -3,0654 -3,2239 -3,3315 -3,3731 -3,3363 -3,2178 -3,0277 -2,7861 -2,5178 -2,2523 -2,0211 -1,8452 -1,7245 -1,6359 -1,5433 -1,4134 -1,2299 -0,9964 -0,7339 -0,4752 -0,2596 -0,1197 -0,0614 -0,0622 -0,0931 -0,1327 -0,1643 -0,1734 -0,1537 -0,1113 -0,0616 -0,0221 -0,0052 -0,0184 -0,0665 -0,1445 -0,2326 -0,3050 -0,3440 -0,3470 -0,3232 -0,2864 -0,2507 -0,2237 -0,2010 -0,1707 -0,1233 -0,0572 0,0211 0,1032 0,1861 0,2730 0,3704 0,4838 0,6134 0,7511 0,8870 1,0167 1,1426 1,2693 1,4002 1,5327 1,6546 1,7470 1,7935 1,7883 1,7407 1,6729 1,6101 1,5700 1,5588 1,5739 1,6079 1,6561 1,7246 1,8266 1,9688 2,1418 2,3231 2,4890 2,6255 2,7283 2,7908 2,7987 2,7407 2,6175 2,4409 2,2294 2,0048 1,7881 1,5964 1,4394 1,3156 1,2138 1,1219 1,0368 0,9662 0,9229 0,9121 0,9221 0,9270 0,9024 0,8407 0,7545 0,6693 0,6070 0,5747 0,5668 0,5752 0,5952 0,6260 0,6716 0,7385 0,8255 0,9212 1,0114 1,0866 1,1397 1,1631 1,1573 1,1410 1,1410 1,1685 1,2141 1,2684 1,3385 1,4356 1,5515 1,6535 1,7010 1,6694 1,5588 1,3884 1,1871 0,9911 0,8383 0,7535 0,7375 0,7702 0,8202 0,8549 0,8530 0,8136 0,7504 0,6769 0,5976 0,5105 0,4127 0,3028 0,1791 0,0388 -0,1240 -0,3158 -0,5325 -0,7498 -0,9363 -1,0780 -1,1859 -1,2834 -1,3898 -1,5126 -1,6461 -1,7744 -1,8763 -1,9359 -1,9505 -1,9273 -1,8790 -1,8208 -1,7592 -1,6828 -1,5721 -1,4164 -1,2160 -0,9763 -0,7067 -0,4196 -0,1224 0,1809 0,4787 0,7504 0,9781 1,1562 1,2929 1,4065 1,5200 1,6492 1,7929 1,9345 2,0574 2,1537 2,2210 2,2594 2,2825 2,3248 2,4261 2,6086 2,8679 3,1777 3,4959 3,7701 3,9494 4,0049 3,9453 3,8095 3,6389 3,4578 3,2764 3,1038 2,9535 2,8358 2,7535 2,7053 2,6870 2,6881 2,6893 2,6703 2,6198 2,5331 2,3998 2,2038 1,9381 1,6145 1,2555 0,8840 0,5187 0,1689 -0,1665 -0,4860 -0,7649 -0,9630 -1,0616 -1,0853 -1,0835 -1,0936 -1,1229 -1,1552 -1,1697 -1,1554 -1,1151 -1,0584 -0,9925 -0,9162 -0,8222 -0,7064 -0,5751 -0,4387 -0,2992 -0,1490 0,0217 0,2144 0,4159 0,6058 0,7745 0,9291 1,0785 1,2209 1,3516 1,4715 1,5844 1,6924 1,7998 1,9114 2,0228 2,1168 2,1819 2,2303 2,2936 2,4044 2,5824 2,8279 3,1224 3,4324 3,7183 3,9485 4,1102 4,2054 4,2447 4,2433 4,2144 4,1651 4,0982 4,0205 3,9502 3,9164 3,9455 4,0463 4,2046 4,3865 4,5481 4,6529 4,6827 4,6329 4,5042 4,3049 4,0584 3,8025 3,5767 3,4064 3,2895 3,1955 3,0839 2,9294 2,7352 2,5282 2,3470 2,2289 2,1948 2,2370 2,3242 2,4197 2,4983 2,5525 2,5862 2,6048 2,6096 2,5974 2,5680 2,5284 2,4905 2,4659 2,4603 2,4661 2,4683 2,4612 2,4531 2,4544 2,4628 2,4603 2,4259 2,3547 2,2622 2,1681 2,0817 2,0043 1,9354 1,8716 1,8072 1,7414 1,6799 1,6294 1,5976 1,5935 1,6252 1,7015 1,8293 2,0057 2,2132 2,4215 2,5993 2,7314 2,8269 2,9111 3,0116 3,1434 3,3022 3,4745 3,6475 3,8067 3,9338 4,0135 4,0432 4,0349 4,0113 3,9972 4,0091 4,0519 4,1222 4,2134 4,3101 4,3834 4,3974 4,3259 4,1674 3,9462 3,6996 3,4635 3,2634 3,1100 2,9996 2,9151 2,8312 2,7281 2,6041 2,4716 2,3378 2,1986 2,0517 1,9095 1,7910 1,7081 1,6655 1,6677 1,7105 1,7732 1,8328 1,8830 1,9306 1,9798 2,0227 2,0429 2,0273 1,9756 1,8981 1,8085 1,7193 1,6375 1,5611 1,4773 1,3688 1,2275 1,0641 0,8986 0,7431 0,6012 0,4805 0,3982 0,3720 0,4065 0,4891 0,5959 0,7025 0,7913 0,8521 0,8839 0,8973 0,9095 0,9342 0,9789 1,0490 1,1514 1,2923 1,4710 1,6772 1,8981 2,1228 2,3378 2,5233 2,6590 2,7328 2,7450 2,7052 2,6274 2,5250 2,4113 2,3073 2,2481 2,2755 2,4119 2,6364 2,8862 3,0862 3,1829 3,1575 3,0177 2,7864 2,4924 2,1616 1,8173 1,4868 1,1982 0,9686 0,7967 0,6609 0,5246 0,3522 0,1276 -0,1371 -0,4121 -0,6676 -0,8907 -1,0897 -1,2765 -1,4399 -1,5468 -1,5746 -1,5328 -1,4511 -1,3512 -1,2339 -1,0889 -0,9167 -0,7349 -0,5622 -0,4067 -0,2742 -0,1786 -0,1389 -0,1711 -0,2848 -0,4788 -0,7326 -1,0080 -1,2680 -1,4989 -1,7135 -1,9381 -2,1998 -2,5187 -2,9004 -3,3285 -3,7656 -4,1662 -4,4988 -4,7571 -4,9557 -5,1196 -5,2775 -5,4573 -5,6762 -5,9280 -6,1750 -6,3607 -6,4367 -6,3856 -6,2236 -5,9903 -5,7360
