Fp1   -0,6044 -1,1172 -1,4393 -1,5094 -1,3550 -1,0564 -0,7059 -0,3905 -0,1608 0,0054 0,1898 0,4786 0,9156 1,4893 2,1428 2,7744 3,2311 3,3543 3,0825 2,5108 1,8389 1,2603 0,8762 0,6835 0,6221 0,6220 0,6292 0,6253 0,6294 0,6774 0,7848 0,9123 0,9787 0,9167 0,6998 0,3180 -0,2436 -0,9749 -1,7917 -2,5415 -3,0804 -3,3464 -3,3556 -3,1382 -2,7095 -2,1030 -1,3944 -0,6784 -0,0343 0,4813 0,8193 0,9374 0,8306 0,5449 0,1597 -0,2394 -0,6031 -0,9485 -1,3158 -1,7057 -2,0853 -2,4148 -2,6323 -2,6449 -2,3632 -1,7384 -0,8004 0,2967 1,2924 1,9426 2,1665 2,0760 1,8689 1,7089 1,6868 1,8346 2,1301 2,4971 2,8331 3,0523 3,1026 2,9582 2,6222 2,1512 1,6697 1,3338 1,2540 1,4305 1,7425 2,0095 2,1092 2,0534 1,9596 1,9642 2,1373 2,4398 2,7417 2,8905 2,7882 2,4390 1,9464 1,4630 1,1159 0,9431 0,8756 0,7807 0,5434 0,1317 -0,4042 -0,9809 -1,5084 -1,8915 -2,0475 -1,9458 -1,6349 -1,2353 -0,8969 -0,7411 -0,8207 -1,1178 -1,5697 -2,0976 -2,6294 -3,1107 -3,5023 -3,7637 -3,8418 -3,6899 -3,2993 -2,7022 -1,9454 -1,0778 -0,1574 0,7504 1,5979 2,3665 3,0362 3,5572 3,8712 3,9497 3,7999 3,4491 2,9427 2,3634 1,8542 1,5982 1,7298 2,2355 2,9296 3,5363 3,8227 3,6904 3,1730 2,3707 1,3973 0,3765 -0,5457 -1,2117 -1,4894 -1,3295 -0,8091 -0,0955 0,6513 1,3362 1,9267 2,4603 3,0361 3,7370 4,5394 5,3041 5,8504 6,0396 5,8115 5,1872 4,2609 3,1778 2,1180 1,2847 0,8607 0,9453 1,5313 2,5225 3,7540 5,0156 6,1005 6,8583 7,2277 7,2510 7,0511 6,7778 6,5644 6,4939 6,5708 6,7282 6,8802 6,9678 6,9571 6,8189 6,5326 6,1043 5,5773 5,0335 4,5621 4,1989 3,9133 3,6762 3,5074 3,4314 3,4001 3,2947 3,0367 2,6959 2,4561 2,4707 2,7648 3,2444 3,7642 4,1967 4,4642 4,5169 4,3137 3,8579 3,2267 2,5237 1,8090 1,0926 0,3722 -0,3426 -1,0212 -1,6062 -2,0269 -2,2431 -2,2828 -2,2247 -2,1328 -2,0170 -1,8555 -1,6332 -1,3600 -1,0723 -0,8143 -0,6085 -0,4458 -0,2953 -0,1044 0,2066 0,7100 1,4076 2,2126 2,9910 3,6157 4,0029 4,1192 3,9592 3,5342 2,9057 2,2110 1,6246 1,2774 1,1999 1,3317 1,5984 1,9880 2,5412 3,2569 4,0150 4,6145 4,8914 4,8013 4,4168 3,8672 3,2622 2,6549 2,0659 1,5207 1,0662 0,7718 0,7051 0,8839 1,2507 1,6981 2,1248 2,4785 2,7508 2,9365 3,0047 2,9082 2,6093 2,1084 1,4773 0,8513 0,3622 0,0837 0,0361 0,2040 0,5223 0,8712 1,1323 1,2706 1,3510 1,4812 1,7403 2,1387 2,6094 3,0171 3,1997 3,0589 2,6361 2,0878 1,5948 1,2846 1,1920 1,2533 1,3393 1,3183 1,1114 0,7095 0,1755 -0,3516 -0,6769 -0,6189 -0,0948 0,8279 1,9364 2,9464 3,6221 3,8743 3,7820 3,5351 3,3173 3,1901 3,0691 2,8181 2,3711 1,7873 1,2210 0,8381 0,7239 0,8515 1,1372 1,5199 1,9844 2,5221 3,0930 3,6305 4,0580 4,3011 4,3139 4,1078 3,7362 3,2392 2,6061 1,8144 0,9156 0,0726 -0,4926 -0,6012 -0,2106 0,5671 1,5305 2,4648 3,1765 3,5220 3,4489 3,0176 2,3716 1,6806 1,0943 0,7154 0,5795 0,6387 0,7699 0,8126 0,6302 0,1683 -0,5065 -1,2143 -1,7367 -1,9105 -1,6614 -0,9927 0,0223 1,2480 2,5130 3,6377 4,4533 4,8323 4,7321 4,2051 3,3588 2,3091 1,1782 0,1286 -0,6276 -0,9025 -0,6375 0,0678 1,0081 1,9327 2,6071 2,8980 2,8351 2,5784 2,2965 2,0616 1,8591 1,6778 1,5490 1,5092 1,5802 1,7900 2,1722 2,7432 3,4975 4,3982 5,3381 6,1325 6,5929 6,6183 6,2298 5,5507 4,7576 4,0163 3,4217 2,9742 2,6228 2,3292 2,0781 1,8511 1,6247 1,3922 1,1843 1,0755 1,1495 1,4323 1,8620 2,3241 2,7020 2,9147 2,9445 2,8344 2,6506 2,4467 2,2696 2,1777 2,2079 2,3220 2,4256 2,4409 2,3440 2,1515 1,8981 1,6227 1,3582 1,1205 0,9151 0,7731 0,7592 0,9171 1,2103 1,5145 1,6553 1,4917 1,0187 0,3920 -0,1598 -0,4462 -0,3664 0,0873 0,8259 1,6802 2,4776 3,1299 3,6485 4,0850 4,4622 4,7472 4,8774 4,8106 4,5485 4,1179 3,5533 2,9070 2,2619 1,7122 1,3326 1,1667 1,2102 1,3892 1,5842 1,7027 1,7287 1,7102 1,7064 1,7398 1,7759 1,7406 1,5800 1,3200 1,0498 0,8504 0,7525 0,7394 0,7716 0,8152 0,8595 0,9179 1,0170 1,1800 1,4091 1,6815 1,9539 2,1685 2,2741 2,2614 2,1753 2,0702 1,9481 1,7567 1,4540 1,0769 0,7545 0,6503 0,8575 1,3294 1,9045 2,4088 2,7594 2,9802 3,1140 3,1417 3,0084 2,7100 2,3292 1,9841 1,7426 1,5843 1,4551 1,3564 1,3534 1,4972 1,7822 2,1924 2,7383 3,4299 4,2368 5,0841 5,8693 6,4781 6,7993 6,7572 6,3564 5,6963 4,9251 4,1693 3,4873 2,8713 2,3037 1,8309 1,5803 1,6985 2,2586 3,2025 4,3631 5,5578 6,6629 7,6035 8,3135 8,7346 8,8342 8,6084 8,0739 7,2663 6,2531 5,1406 4,0524 3,0841 2,2648 1,5566 0,8973 0,2600 -0,3058 -0,6854 -0,7682 -0,5242 -0,0159 0,6377 1,2942 1,8253 2,1716 2,3501 2,3977 2,3237 2,1176 1,7755 1,3200 0,8089 0,3351 0,0155 -0,0488
Fz    0,4605 0,6274 0,7128 0,7417 0,7371 0,7156 0,6940 0,6915 0,7202 0,7783 0,8609 0,9710 1,1124 1,2774 1,4515 1,6196 1,7623 1,8560 1,8816 1,8323 1,7166 1,5567 1,3687 1,1420 0,8496 0,4793 0,0494 -0,3945 -0,7949 -1,0997 -1,2776 -1,3292 -1,2894 -1,2164 -1,1669 -1,1728 -1,2323 -1,3160 -1,3832 -1,3997 -1,3527 -1,2608 -1,1694 -1,1272 -1,1628 -1,2745 -1,4308 -1,5753 -1,6444 -1,5960 -1,4272 -1,1715 -0,8825 -0,6077 -0,3681 -0,1645 -0,0001 0,1102 0,1523 0,1249 0,0411 -0,0728 -0,1758 -0,2187 -0,1575 0,0301 0,3264 0,6685 0,9725 1,1714 1,2426 1,2108 1,1237 1,0213 0,9285 0,8695 0,8727 0,9570 1,1250 1,3674 1,6717 2,0253 2,4098 2,7918 3,1258 3,3709 3,5053 3,5327 3,4839 3,4074 3,3478 3,3262 3,3328 3,3349 3,2907 3,1615 2,9209 2,5638 2,1131 1,6196 1,1489 0,7575 0,4731 0,2817 0,1250 -0,0761 -0,3719 -0,7546 -1,1809 -1,6101 -2,0129 -2,3627 -2,6391 -2,8391 -2,9770 -3,0704 -3,1296 -3,1663 -3,2025 -3,2541 -3,3035 -3,2997 -3,1916 -2,9640 -2,6504 -2,3167 -2,0256 -1,8045 -1,6355 -1,4709 -1,2645 -0,9950 -0,6720 -0,3252 0,0178 0,3469 0,6642 0,9656 1,2334 1,4393 1,5558 1,5776 1,5359 1,4850 1,4710 1,5096 1,5859 1,6720 1,7438 1,7835 1,7833 1,7527 1,7191 1,7133 1,7521 1,8234 1,8886 1,9072 1,8644 1,7766 1,6726 1,5758 1,5051 1,4832 1,5290 1,6418 1,7936 1,9323 2,0065 2,0029 1,9632 1,9734 2,1317 2,5003 3,0654 3,7447 4,4395 5,0870 5,6688 6,1793 6,6017 6,9162 7,1184 7,2249 7,2683 7,2870 7,3143 7,3712 7,4647 7,5861 7,7145 7,8268 7,9133 7,9818 8,0466 8,1178 8,1964 8,2739 8,3377 8,3750 8,3700 8,3089 8,1971 8,0646 7,9477 7,8580 7,7660 7,6155 7,3574 6,9713 6,4642 5,8620 5,2061 4,5426 3,9050 3,3065 2,7497 2,2370 1,7730 1,3595 0,9862 0,6240 0,2358 -0,1967 -0,6506 -1,0698 -1,3998 -1,6202 -1,7495 -1,8250 -1,8806 -1,9340 -1,9812 -1,9991 -1,9607 -1,8553 -1,6972 -1,5104 -1,3057 -1,0716 -0,7853 -0,4274 0,0081 0,5040 1,0134 1,4749 1,8432 2,1085 2,2919 2,4303 2,5630 2,7271 2,9472 3,2170 3,4981 3,7493 3,9577 4,1369 4,3037 4,4637 4,6131 4,7454 4,8548 4,9414 5,0131 5,0784 5,1346 5,1664 5,1524 5,0687 4,8914 4,6103 4,2403 3,8182 3,3938 3,0209 2,7404 2,5640 2,4763 2,4523 2,4722 2,5246 2,5996 2,6841 2,7684 2,8582 2,9698 3,1024 3,2186 3,2583 3,1770 2,9734 2,6863 2,3674 2,0604 1,7969 1,5968 1,4645 1,3813 1,3102 1,2259 1,1378 1,0718 1,0320 0,9920 0,9206 0,8116 0,6882 0,5830 0,5146 0,4823 0,4752 0,4793 0,4759 0,4442 0,3751 0,2760 0,1636 0,0564 -0,0347 -0,1131 -0,1858 -0,2466 -0,2779 -0,2758 -0,2652 -0,2856 -0,3615 -0,4857 -0,6274 -0,7536 -0,8394 -0,8651 -0,8172 -0,6991 -0,5358 -0,3611 -0,2034 -0,0757 0,0320 0,1445 0,2777 0,4235 0,5576 0,6536 0,6989 0,7130 0,7492 0,8663 1,0988 1,4415 1,8446 2,2306 2,5317 2,7155 2,7858 2,7679 2,6875 2,5553 2,3743 2,1534 1,9092 1,6595 1,4290 1,2512 1,1498 1,1175 1,1251 1,1493 1,1902 1,2649 1,3860 1,5500 1,7442 1,9472 2,1224 2,2296 2,2486 2,1895 2,0880 1,9899 1,9233 1,8791 1,8291 1,7679 1,7273 1,7467 1,8393 1,9882 2,1652 2,3372 2,4627 2,5027 2,4447 2,3145 2,1674 2,0626 2,0338 2,0765 2,1633 2,2686 2,3810 2,5006 2,6260 2,7466 2,8468 2,9185 2,9646 2,9857 2,9729 2,9201 2,8387 2,7592 2,7219 2,7557 2,8596 3,0068 3,1664 3,3128 3,4201 3,4583 3,3978 3,2219 2,9400 2,5929 2,2416 1,9443 1,7300 1,5918 1,5018 1,4304 1,3608 1,2943 1,2423 1,2104 1,1928 1,1819 1,1771 1,1831 1,2025 1,2324 1,2606 1,2601 1,1955 1,0472 0,8307 0,5861 0,3511 0,1489 -0,0049 -0,1057 -0,1635 -0,1868 -0,1663 -0,0854 0,0528 0,2182 0,3659 0,4546 0,4670 0,4187 0,3427 0,2665 0,2062 0,1750 0,1854 0,2400 0,3345 0,4742 0,6734 0,9366 1,2504 1,5912 1,9331 2,2468 2,4992 2,6679 2,7554 2,7795 2,7478 2,6523 2,4863 2,2644 2,0292 1,8319 1,7059 1,6609 1,6967 1,8062 1,9612 2,1065 2,1748 2,1119 1,8941 1,5365 1,0895 0,6245 0,2173 -0,0748 -0,2335 -0,2787 -0,2450 -0,1551 -0,0156 0,1661 0,3696 0,5645 0,7180 0,7965 0,7679 0,6112 0,3287 -0,0477 -0,4624 -0,8539 -1,1745 -1,3982 -1,5132 -1,5164 -1,4185 -1,2471 -1,0358 -0,8105 -0,5914 -0,4066 -0,2978 -0,3104 -0,4703 -0,7631 -1,1350 -1,5174 -1,8521 -2,0996 -2,2400 -2,2713 -2,2032 -2,0468 -1,8076 -1,4913 -1,1220 -0,7468 -0,4154 -0,1554 0,0428 0,2155 0,3962 0,5987 0,8265 1,0834 1,3731 1,6917 2,0187 2,3227 2,5807 2,7930 2,9761 3,1413 3,2838 3,3892 3,4499 3,4786 3,5029 3,5412 3,5841 3,5994 3,5561 3,4476 3,2999 3,1594 3,0638 3,0174 2,9889 2,9303 2,8017 2,5834 2,2766 1,8994 1,4794 1,0460 0,6286 0,2589 -0,0428 -0,2897 -0,5246 -0,7801 -1,0426 -1,2570 -1,3715 -1,3745 -1,2949 -1,1830 -1,0905 -1,0571 -1,1002 -1,2145 -1,3821 -1,5879 -1,8267 -2,1002 -2,4095
F3    0,4262 0,5647 0,6036 0,5747 0,5116 0,4450 0,4078 0,4266 0,5053 0,6226 0,7527 0,8852 1,0183 1,1424 1,2418 1,3076 1,3377 1,3327 1,2956 1,2301 1,1403 1,0399 0,9414 0,8331 0,6824 0,4618 0,1696 -0,1605 -0,4670 -0,6932 -0,8143 -0,8386 -0,7958 -0,7297 -0,6866 -0,6956 -0,7604 -0,8612 -0,9560 -0,9892 -0,9278 -0,7958 -0,6652 -0,6168 -0,7118 -0,9747 -1,3739 -1,8163 -2,1833 -2,3872 -2,4041 -2,2648 -2,0286 -1,7506 -1,4600 -1,1663 -0,8862 -0,6539 -0,5042 -0,4573 -0,5219 -0,6882 -0,9099 -1,1092 -1,2051 -1,1411 -0,9136 -0,5817 -0,2423 0,0134 0,1328 0,1140 -0,0053 -0,1753 -0,3513 -0,4833 -0,5158 -0,4131 -0,1788 0,1484 0,5153 0,8806 1,2270 1,5493 1,8370 2,0702 2,2297 2,3112 2,3328 2,3266 2,3192 2,3191 2,3146 2,2809 2,1920 2,0343 1,8100 1,5271 1,1977 0,8491 0,5233 0,2589 0,0733 -0,0498 -0,1598 -0,3150 -0,5438 -0,8330 -1,1579 -1,5125 -1,8992 -2,3020 -2,6855 -3,0202 -3,3013 -3,5374 -3,7306 -3,8753 -3,9685 -4,0070 -3,9744 -3,8424 -3,5984 -3,2645 -2,8931 -2,5470 -2,2710 -2,0676 -1,8981 -1,7083 -1,4559 -1,1298 -0,7545 -0,3775 -0,0422 0,2353 0,4641 0,6589 0,8168 0,9013 0,8575 0,6646 0,3759 0,0968 -0,0796 -0,1244 -0,0722 0,0213 0,1120 0,1725 0,1900 0,1715 0,1465 0,1551 0,2238 0,3411 0,4556 0,5073 0,4675 0,3551 0,2200 0,1129 0,0696 0,1091 0,2293 0,4035 0,5820 0,7006 0,7100 0,6118 0,4715 0,4044 0,5348 0,9386 1,5997 2,4168 3,2585 4,0286 4,6918 5,2510 5,7067 6,0415 6,2365 6,2951 6,2492 6,1468 6,0392 5,9737 5,9843 6,0748 6,2100 6,3338 6,4087 6,4349 6,4390 6,4550 6,5136 6,6385 6,8377 7,0858 7,3160 7,4499 7,4485 7,3308 7,1511 6,9567 6,7541 6,5072 6,1680 5,7073 5,1249 4,4488 3,7288 3,0177 2,3467 1,7202 1,1329 0,5879 0,0976 -0,3266 -0,6866 -1,0074 -1,3351 -1,7095 -2,1303 -2,5509 -2,9075 -3,1579 -3,2955 -3,3379 -3,3103 -3,2346 -3,1237 -2,9814 -2,8126 -2,6327 -2,4649 -2,3260 -2,2096 -2,0887 -1,9352 -1,7294 -1,4548 -1,1096 -0,7286 -0,3713 -0,0825 0,1295 0,2847 0,4076 0,5159 0,6315 0,7846 0,9886 1,2253 1,4702 1,7236 2,0075 2,3397 2,7163 3,1052 3,4576 3,7337 3,9218 4,0336 4,0824 4,0709 3,9965 3,8561 3,6370 3,3150 2,8835 2,3757 1,8467 1,3500 0,9420 0,6794 0,5896 0,6492 0,7986 0,9754 1,1407 1,2867 1,4262 1,5793 1,7649 1,9940 2,2549 2,4966 2,6382 2,6121 2,4001 2,0345 1,5772 1,1012 0,6749 0,3408 0,0993 -0,0876 -0,2662 -0,4511 -0,6131 -0,7077 -0,7140 -0,6505 -0,5628 -0,4973 -0,4784 -0,5057 -0,5668 -0,6471 -0,7253 -0,7718 -0,7661 -0,7107 -0,6252 -0,5346 -0,4669 -0,4521 -0,5185 -0,6826 -0,9315 -1,2148 -1,4681 -1,6536 -1,7797 -1,8772 -1,9592 -2,0120 -2,0194 -1,9797 -1,8985 -1,7783 -1,6231 -1,4476 -1,2758 -1,1282 -1,0168 -0,9441 -0,8963 -0,8437 -0,7603 -0,6442 -0,5164 -0,4071 -0,3351 -0,2882 -0,2257 -0,1018 0,1128 0,4222 0,7959 1,1722 1,4839 1,6848 1,7576 1,7096 1,5636 1,3443 1,0730 0,7694 0,4499 0,1281 -0,1746 -0,4283 -0,6135 -0,7368 -0,8210 -0,8828 -0,9173 -0,9009 -0,8082 -0,6274 -0,3646 -0,0500 0,2584 0,4956 0,6245 0,6515 0,6083 0,5185 0,3794 0,1720 -0,1104 -0,4328 -0,7162 -0,8732 -0,8503 -0,6431 -0,2890 0,1418 0,5600 0,8872 1,0906 1,1884 1,2259 1,2467 1,2705 1,2900 1,2886 1,2595 1,2137 1,1769 1,1776 1,2274 1,3113 1,3976 1,4504 1,4351 1,3266 1,1252 0,8652 0,6047 0,4068 0,3142 0,3301 0,4242 0,5637 0,7288 0,9009 1,0497 1,1351 1,1244 1,0152 0,8381 0,6319 0,4204 0,2093 0,0003 -0,1938 -0,3544 -0,4691 -0,5335 -0,5519 -0,5376 -0,5036 -0,4474 -0,3479 -0,1812 0,0560 0,3349 0,6017 0,7874 0,8245 0,6757 0,3555 -0,0786 -0,5537 -1,0042 -1,3821 -1,6641 -1,8486 -1,9377 -1,9242 -1,8067 -1,6124 -1,3957 -1,2122 -1,1014 -1,0770 -1,1216 -1,1974 -1,2695 -1,3157 -1,3228 -1,2827 -1,1967 -1,0714 -0,9053 -0,6902 -0,4280 -0,1377 0,1523 0,4074 0,5903 0,6769 0,6732 0,6088 0,5083 0,3740 0,1954 -0,0298 -0,2827 -0,5228 -0,7006 -0,7762 -0,7312 -0,5662 -0,2969 0,0409 0,3868 0,6665 0,8116 0,7768 0,5554 0,1854 -0,2553 -0,6694 -0,9793 -1,1660 -1,2684 -1,3434 -1,4196 -1,4810 -1,4914 -1,4342 -1,3270 -1,2057 -1,1130 -1,0998 -1,2200 -1,5060 -1,9392 -2,4405 -2,8985 -3,2205 -3,3631 -3,3267 -3,1332 -2,8142 -2,4151 -1,9960 -1,6198 -1,3407 -1,2024 -1,2381 -1,4628 -1,8574 -2,3640 -2,9032 -3,4016 -3,8059 -4,0848 -4,2296 -4,2500 -4,1606 -3,9689 -3,6736 -3,2786 -2,8157 -2,3506 -1,9552 -1,6722 -1,4994 -1,4019 -1,3389 -1,2774 -1,1888 -1,0452 -0,8233 -0,5130 -0,1317 0,2747 0,6593 1,0038 1,3219 1,6305 1,9217 2,1632 2,3275 2,4126 2,4331 2,4015 2,3231 2,2026 2,0466 1,8658 1,6830 1,5302 1,4257 1,3583 1,2957 1,1988 1,0302 0,7634 0,4006 -0,0194 -0,4438 -0,8381 -1,1939 -1,5120 -1,7934 -2,0501 -2,3058 -2,5668 -2,8003 -2,9529 -2,9926 -2,9276 -2,7932 -2,6334 -2,4895 -2,3943 -2,3692 -2,4182 -2,5252 -2,6642 -2,8219 -3,0143 -3,2775
F7    -1,1310 -0,9836 -0,8076 -0,6075 -0,4017 -0,2246 -0,1064 -0,0444 0,0017 0,0869 0,2528 0,5116 0,8363 1,1654 1,4332 1,6072 1,6924 1,7152 1,7044 1,6782 1,6384 1,5755 1,4757 1,3267 1,1229 0,8660 0,5644 0,2388 -0,0761 -0,3391 -0,5158 -0,5956 -0,5965 -0,5544 -0,5082 -0,4840 -0,4839 -0,4944 -0,5085 -0,5376 -0,6020 -0,7131 -0,8656 -1,0388 -1,2055 -1,3445 -1,4440 -1,4898 -1,4591 -1,3300 -1,0983 -0,7901 -0,4617 -0,1775 0,0193 0,1202 0,1398 0,0953 -0,0035 -0,1506 -0,3385 -0,5543 -0,7768 -0,9749 -1,1033 -1,1139 -0,9890 -0,7623 -0,5004 -0,2684 -0,1037 -0,0051 0,0528 0,0895 0,1085 0,1220 0,1668 0,2860 0,4972 0,7815 1,0978 1,4041 1,6708 1,8770 2,0029 2,0384 1,9947 1,8989 1,7835 1,6847 1,6384 1,6656 1,7551 1,8609 1,9234 1,8980 1,7685 1,5459 1,2660 0,9804 0,7368 0,5562 0,4315 0,3425 0,2591 0,1371 -0,0641 -0,3561 -0,7152 -1,0939 -1,4401 -1,7237 -1,9478 -2,1290 -2,2739 -2,3758 -2,4279 -2,4346 -2,4086 -2,3620 -2,3065 -2,2565 -2,2212 -2,1957 -2,1648 -2,1171 -2,0470 -1,9487 -1,8144 -1,6399 -1,4242 -1,1691 -0,8836 -0,5843 -0,2891 -0,0100 0,2488 0,4815 0,6707 0,7883 0,8138 0,7520 0,6385 0,5291 0,4715 0,4776 0,5153 0,5265 0,4612 0,3083 0,1058 -0,0787 -0,1850 -0,1781 -0,0453 0,1973 0,4866 0,7244 0,8277 0,7734 0,5990 0,3723 0,1630 0,0251 -0,0169 0,0260 0,1162 0,2143 0,3062 0,4098 0,5597 0,7879 1,1113 1,5230 1,9919 2,4716 2,9155 3,2907 3,5885 3,8213 4,0050 4,1476 4,2569 4,3491 4,4413 4,5421 4,6535 4,7733 4,8937 5,0044 5,1025 5,1996 5,3177 5,4751 5,6663 5,8503 5,9647 5,9565 5,8065 5,5300 5,1636 4,7554 4,3606 4,0329 3,8143 3,7233 3,7402 3,8029 3,8278 3,7424 3,5086 3,1288 2,6337 2,0656 1,4735 0,9081 0,4098 -0,0006 -0,3147 -0,5281 -0,6462 -0,6998 -0,7425 -0,8208 -0,9444 -1,0897 -1,2254 -1,3381 -1,4436 -1,5756 -1,7585 -1,9882 -2,2343 -2,4555 -2,6155 -2,6957 -2,6933 -2,6095 -2,4383 -2,1715 -1,8165 -1,4019 -0,9623 -0,5260 -0,1213 0,2209 0,4738 0,6192 0,6517 0,5895 0,4840 0,4085 0,4239 0,5479 0,7574 1,0137 1,2778 1,5114 1,6876 1,8010 1,8600 1,8767 1,8728 1,8823 1,9379 2,0557 2,2329 2,4489 2,6664 2,8376 2,9128 2,8584 2,6766 2,4062 2,1021 1,8144 1,5798 1,4181 1,3251 1,2781 1,2567 1,2538 1,2668 1,2885 1,3074 1,3142 1,3060 1,2823 1,2348 1,1522 1,0373 0,9116 0,7978 0,7072 0,6478 0,6286 0,6517 0,7047 0,7581 0,7735 0,7299 0,6395 0,5282 0,4084 0,2770 0,1292 -0,0295 -0,1796 -0,2933 -0,3475 -0,3342 -0,2650 -0,1717 -0,0945 -0,0635 -0,0866 -0,1522 -0,2394 -0,3273 -0,4015 -0,4577 -0,4966 -0,5097 -0,4814 -0,4079 -0,3099 -0,2204 -0,1612 -0,1325 -0,1238 -0,1268 -0,1318 -0,1167 -0,0467 0,1059 0,3390 0,6160 0,8875 1,1216 1,3192 1,5005 1,6768 1,8337 1,9390 1,9629 1,8978 1,7716 1,6458 1,5879 1,6363 1,7837 1,9849 2,1823 2,3335 2,4226 2,4511 2,4274 2,3649 2,2756 2,1595 2,0037 1,7924 1,5245 1,2249 0,9379 0,7098 0,5693 0,5150 0,5192 0,5456 0,5648 0,5604 0,5361 0,5219 0,5549 0,6416 0,7461 0,8167 0,8206 0,7560 0,6450 0,5288 0,4635 0,4947 0,6246 0,8142 1,0102 1,1691 1,2708 1,3226 1,3518 1,3888 1,4506 1,5324 1,6171 1,6941 1,7660 1,8315 1,8766 1,8920 1,8909 1,9028 1,9499 2,0275 2,1112 2,1838 2,2500 2,3272 2,4207 2,5088 2,5541 2,5280 2,4262 2,2739 2,1123 1,9691 1,8447 1,7306 1,6302 1,5511 1,4860 1,4172 1,3381 1,2640 1,2239 1,2376 1,3012 1,3971 1,5112 1,6295 1,7256 1,7694 1,7565 1,7108 1,6558 1,5964 1,5302 1,4588 1,3852 1,3088 1,2279 1,1396 1,0352 0,9003 0,7300 0,5411 0,3631 0,2189 0,1163 0,0526 0,0155 -0,0128 -0,0440 -0,0778 -0,1061 -0,1266 -0,1508 -0,1933 -0,2541 -0,3116 -0,3308 -0,2810 -0,1564 0,0174 0,1977 0,3476 0,4508 0,5162 0,5794 0,6908 0,8837 1,1512 1,4542 1,7499 2,0121 2,2273 2,3851 2,4775 2,5003 2,4533 2,3425 2,1829 1,9961 1,8114 1,6604 1,5625 1,5171 1,5104 1,5220 1,5277 1,5022 1,4285 1,3055 1,1457 0,9653 0,7757 0,5795 0,3775 0,1802 0,0086 -0,1183 -0,1939 -0,2183 -0,1852 -0,0900 0,0499 0,1970 0,3162 0,3882 0,4056 0,3677 0,2806 0,1547 -0,0016 -0,1790 -0,3571 -0,5067 -0,6070 -0,6560 -0,6643 -0,6419 -0,5905 -0,5025 -0,3739 -0,2207 -0,0878 -0,0326 -0,0915 -0,2640 -0,5219 -0,8218 -1,1141 -1,3536 -1,5117 -1,5841 -1,5850 -1,5294 -1,4189 -1,2470 -1,0172 -0,7534 -0,4905 -0,2560 -0,0535 0,1348 0,3230 0,5064 0,6748 0,8311 0,9861 1,1497 1,3320 1,5386 1,7577 1,9625 2,1288 2,2527 2,3517 2,4504 2,5679 2,7165 2,9022 3,1133 3,3123 3,4524 3,5039 3,4652 3,3582 3,2169 3,0720 2,9354 2,7923 2,6070 2,3456 1,9968 1,5795 1,1355 0,7129 0,3494 0,0662 -0,1334 -0,2647 -0,3654 -0,4877 -0,6688 -0,9032 -1,1471 -1,3496 -1,4762 -1,5154 -1,4789 -1,3991 -1,3187 -1,2768 -1,3029 -1,4130 -1,6021 -1,8384 -2,0757 -2,2817
