Fp1   2,2854 2,5295 2,7523 2,9268 3,0239 3,0199 2,9032 2,6772 2,3563 1,9560 1,4902 0,9765 0,4401 -0,0856 -0,5640 -0,9658 -1,2788 -1,5045 -1,6532 -1,7448 -1,8074 -1,8649 -1,9293 -2,0038 -2,0830 -2,1510 -2,1866 -2,1757 -2,1208 -2,0378 -1,9424 -1,8376 -1,7093 -1,5299 -1,2733 -0,9344 -0,5406 -0,1415 0,2158 0,5018 0,7062 0,8322 0,8894 0,8906 0,8523 0,7971 0,7504 0,7329 0,7531 0,8068 0,8872 0,9880 1,0978 1,2018 1,2934 1,3732 1,4358 1,4662 1,4528 1,3970 1,3115 1,2176 1,1407 1,1003 1,0995 1,1253 1,1619 1,1986 1,2304 1,2557 1,2781 1,3122 1,3786 1,4865 1,6314 1,8115 2,0362 2,3118 2,6222 2,9295 3,1891 3,3597 3,4098 3,3302 3,1412 2,8783 2,5770 2,2692 1,9802 1,7218 1,4961 1,3054 1,1486 1,0106 0,8677 0,6998 0,4936 0,2431 -0,0456 -0,3563 -0,6695 -0,9659 -1,2312 -1,4545 -1,6201 -1,7052 -1,6926 -1,5859 -1,4129 -1,2132 -1,0193 -0,8443 -0,6814 -0,5170 -0,3491 -0,1936 -0,0694 0,0283 0,1341 0,2918 0,5320 0,8700 1,3133 1,8633 2,5099 3,2266 3,9741 4,7101 5,3987 6,0186 6,5677 7,0547 7,4858 7,8588 8,1672 8,4089 8,5891 8,7156 8,7924 8,8172 8,7859 8,6974 8,5589 8,3881 8,2110 8,0504 7,9178 7,8121 7,7193 7,6164 7,4845 7,3207 7,1352 6,9385 6,7324 6,5119 6,2728 6,0163 5,7507 5,4842 5,2144 4,9257 4,5980 4,2240 3,8202 3,4144 3,0280 2,6748 2,3597 2,0705 1,7807 1,4669 1,1251 0,7740 0,4437 0,1473 -0,1295 -0,4084 -0,6986 -0,9994 -1,3090 -1,6270 -1,9550 -2,2909 -2,6233 -2,9323 -3,1911 -3,3716 -3,4603 -3,4713 -3,4381 -3,3934 -3,3587 -3,3398 -3,3252 -3,2950 -3,2341 -3,1418 -3,0361 -2,9518 -2,9267 -2,9838 -3,1185 -3,2935 -3,4461 -3,5171 -3,4889 -3,4011 -3,3297 -3,3422 -3,4579 -3,6438 -3,8418 -3,9997 -4,0910 -4,1226 -4,1209 -4,1127 -4,1181 -4,1527 -4,2267 -4,3460 -4,5105 -4,7055 -4,9002 -5,0597 -5,1625 -5,2047 -5,1999 -5,1744 -5,1531 -5,1480 -5,1575 -5,1680 -5,1599 -5,1223 -5,0588 -4,9807 -4,8961 -4,8034 -4,6984 -4,5920 -4,5132 -4,4886 -4,5218 -4,5908 -4,6576 -4,6806 -4,6309 -4,5062 -4,3298 -4,1334 -3,9355 -3,7326 -3,5076 -3,2464 -2,9474 -2,6246 -2,3051 -2,0229 -1,8133 -1,7058 -1,7183 -1,8513 -2,0765 -2,3383 -2,5814 -2,7785 -2,9352 -3,0778 -3,2372 -3,4327 -3,6641 -3,9178 -4,1747 -4,4121 -4,6053 -4,7308 -4,7769 -4,7507 -4,6738 -4,5695 -4,4518 -4,3176 -4,1470 -3,9167 -3,6155 -3,2539 -2,8662 -2,5012 -2,1973 -1,9597 -1,7629 -1,5744 -1,3730 -1,1548 -0,9288 -0,7126 -0,5287 -0,3952 -0,3199 -0,3021 -0,3342 -0,3952 -0,4499 -0,4607 -0,4025 -0,2673 -0,0630 0,1820 0,4099 0,5453 0,5244 0,3270 -0,0122 -0,4191 -0,8128 -1,1332 -1,3521 -1,4725 -1,5189 -1,5215 -1,4976 -1,4441 -1,3493 -1,2059 -1,0163 -0,7990 -0,5877 -0,4105 -0,2698 -0,1517 -0,0476 0,0408 0,1104 0,1672 0,2332 0,3383 0,4997 0,7138 0,9658 1,2370 1,5057 1,7524 1,9671 2,1513 2,3164 2,4790 2,6528 2,8389 3,0231 3,1832 3,3016 3,3816 3,4503 3,5430 3,6798 3,8518 4,0210 4,1324 4,1370 4,0121 3,7708 3,4546 3,1057 2,7384 2,3433 1,9195 1,4888 1,0805 0,7145 0,3992 0,1359 -0,0778 -0,2480 -0,3845 -0,4954 -0,5807 -0,6378 -0,6717 -0,6905 -0,6940 -0,6700 -0,5973 -0,4503 -0,2119 0,1122 0,4878 0,8608 1,1721 1,3748 1,4457 1,3863 1,2224 1,0042 0,7923 0,6331 0,5476 0,5395 0,6028 0,7217 0,8662 0,9990 1,0902 1,1316 1,1343 1,1122 1,0647 0,9780 0,8463 0,6893 0,5462 0,4604 0,4682 0,5913 0,8263 1,1419 1,4902 1,8202 2,0876 2,2720 2,3873 2,4623 2,5119 2,5353 2,5320 2,5085 2,4684 2,4041 2,3023 2,1626 2,0030 1,8457 1,7051 1,5929 1,5223 1,4965 1,4991 1,5005 1,4701 1,3861 1,2479 1,0813 0,9283 0,8324 0,8254 0,9189 1,0999 1,3355 1,5880 1,8308 2,0483 2,2283 2,3620 2,4537 2,5204 2,5792 2,6369 2,6878 2,7143 2,6955 2,6174 2,4736 2,2613 1,9806 1,6296 1,2006 0,6924 0,1257 -0,4637 -1,0462 -1,6013 -2,1048 -2,5277 -2,8485 -3,0562 -3,1491 -3,1381 -3,0446 -2,8875 -2,6718 -2,3888 -2,0287 -1,5948 -1,1066 -0,5945 -0,0933 0,3656 0,7608 1,0836 1,3353 1,5232 1,6652 1,7953 1,9549 2,1733 2,4581 2,7986 3,1679 3,5277 3,8454 4,1063 4,3117 4,4742 4,6166 4,7620 4,9223 5,0957 5,2679 5,4127 5,5023 5,5222 5,4764 5,3726 5,2043 4,9497 4,5888 4,1165 3,5418 2,8834 2,1741 1,4592 0,7840 0,1828 -0,3242 -0,7327 -1,0554 -1,3191 -1,5562 -1,7994 -2,0773 -2,4039 -2,7628 -3,1099 -3,4012 -3,6206 -3,7833 -3,9234 -4,0781 -4,2752 -4,5282 -4,8341 -5,1763 -5,5323 -5,8784 -6,1916 -6,4563 -6,6737 -6,8680 -7,0812 -7,3521 -7,6871 -8,0541 -8,4021 -8,6914 -8,9115 -9,0809 -9,2348 -9,4084 -9,6199 -9,8657 -10,1274 -10,3805 -10,5960 -10,7456 -10,8175 -10,8234 -10,7876 -10,7379 -10,7063 -10,7223 -10,8017 -10,9422 -11,1219 -11,3040 -11,4490 -11,5276 -11,5259 -11,4491 -11,3179 -11,1571 -10,9881 -10,8274 -10,6842 -10,5602 -10,4502 -10,3431 -10,2218 -10,0747 -9,9084 -9,7420 -9,5889 -9,4499 -9,3194 -9,1898 -9,0540 -8,9073 -8,7496 -8,5885 -8,4382
Fz    1,8786 2,1179 2,3442 2,5269 2,6424 2,6740 2,6096 2,4458 2,1867 1,8377 1,4048 0,9023 0,3574 -0,1941 -0,7153 -1,1803 -1,5829 -1,9278 -2,2167 -2,4466 -2,6181 -2,7359 -2,8051 -2,8302 -2,8105 -2,7381 -2,6039 -2,4099 -2,1765 -1,9359 -1,7150 -1,5210 -1,3374 -1,1294 -0,8606 -0,5136 -0,1032 0,3323 0,7476 1,1046 1,3803 1,5649 1,6538 1,6499 1,5762 1,4769 1,4003 1,3774 1,4147 1,5008 1,6192 1,7546 1,8926 2,0227 2,1414 2,2473 2,3329 2,3860 2,3994 2,3749 2,3211 2,2532 2,1910 2,1528 2,1470 2,1725 2,2266 2,3077 2,4104 2,5210 2,6243 2,7190 2,8216 2,9501 3,1140 3,3215 3,5869 3,9218 4,3154 4,7300 5,1133 5,4084 5,5639 5,5532 5,3859 5,0955 4,7248 4,3217 3,9321 3,5854 3,2907 3,0419 2,8217 2,6051 2,3734 2,1263 1,8780 1,6427 1,4274 1,2304 1,0447 0,8649 0,6932 0,5437 0,4439 0,4247 0,5001 0,6547 0,8514 1,0487 1,2119 1,3208 1,3776 1,4046 1,4239 1,4373 1,4353 1,4250 1,4413 1,5268 1,7095 1,9977 2,3873 2,8696 3,4325 4,0580 4,7220 5,3970 6,0563 6,6772 7,2460 7,7571 8,2060 8,5886 8,9054 9,1653 9,3817 9,5676 9,7315 9,8720 9,9794 10,0447 10,0702 10,0750 10,0879 10,1328 10,2191 10,3430 10,4891 10,6314 10,7392 10,7847 10,7493 10,6277 10,4247 10,1485 9,8096 9,4250 9,0200 8,6188 8,2298 7,8417 7,4371 7,0134 6,5882 6,1827 5,8063 5,4604 5,1463 4,8605 4,5903 4,3204 4,0424 3,7629 3,4977 3,2538 3,0233 2,7980 2,5753 2,3511 2,1157 1,8587 1,5747 1,2705 0,9662 0,6836 0,4388 0,2389 0,0767 -0,0730 -0,2417 -0,4500 -0,6981 -0,9614 -1,1978 -1,3651 -1,4397 -1,4268 -1,3619 -1,2975 -1,2798 -1,3323 -1,4531 -1,6157 -1,7730 -1,8751 -1,8977 -1,8616 -1,8267 -1,8593 -1,9911 -2,2037 -2,4428 -2,6447 -2,7616 -2,7807 -2,7225 -2,6257 -2,5345 -2,4853 -2,4949 -2,5603 -2,6706 -2,8117 -2,9636 -3,1031 -3,2119 -3,2830 -3,3252 -3,3585 -3,3976 -3,4417 -3,4760 -3,4778 -3,4276 -3,3206 -3,1658 -2,9762 -2,7627 -2,5317 -2,2905 -2,0600 -1,8769 -1,7733 -1,7532 -1,7894 -1,8380 -1,8582 -1,8287 -1,7538 -1,6558 -1,5586 -1,4708 -1,3798 -1,2636 -1,1087 -0,9192 -0,7156 -0,5294 -0,3970 -0,3543 -0,4277 -0,6254 -0,9293 -1,2928 -1,6531 -1,9587 -2,1881 -2,3457 -2,4509 -2,5276 -2,5955 -2,6680 -2,7539 -2,8560 -2,9719 -3,0957 -3,2190 -3,3347 -3,4419 -3,5436 -3,6404 -3,7264 -3,7874 -3,8043 -3,7594 -3,6408 -3,4488 -3,2039 -2,9432 -2,7004 -2,4874 -2,2962 -2,1099 -1,9119 -1,6903 -1,4418 -1,1731 -0,8995 -0,6384 -0,4035 -0,2044 -0,0448 0,0841 0,2069 0,3536 0,5414 0,7643 0,9959 1,1943 1,3065 1,2809 1,0895 0,7472 0,3092 -0,1512 -0,5693 -0,9013 -1,1272 -1,2482 -1,2809 -1,2476 -1,1660 -1,0439 -0,8815 -0,6765 -0,4294 -0,1537 0,1184 0,3530 0,5357 0,6721 0,7727 0,8475 0,9092 0,9763 1,0715 1,2141 1,4072 1,6349 1,8733 2,1012 2,3082 2,4982 2,6836 2,8757 3,0803 3,2993 3,5300 3,7613 3,9769 4,1616 4,3076 4,4218 4,5278 4,6511 4,8009 4,9648 5,1085 5,1811 5,1310 4,9279 4,5750 4,1082 3,5783 3,0245 2,4659 1,9166 1,3945 0,9174 0,4979 0,1430 -0,1468 -0,3738 -0,5396 -0,6462 -0,7004 -0,7132 -0,7005 -0,6825 -0,6730 -0,6684 -0,6485 -0,5873 -0,4629 -0,2685 -0,0200 0,2460 0,4811 0,6368 0,6801 0,6066 0,4403 0,2280 0,0341 -0,0753 -0,0572 0,0923 0,3434 0,6492 0,9602 1,2328 1,4313 1,5334 1,5381 1,4647 1,3402 1,1838 1,0036 0,8103 0,6290 0,4969 0,4511 0,5224 0,7302 1,0688 1,5031 1,9804 2,4409 2,8265 3,1015 3,2685 3,3531 3,3762 3,3470 3,2743 3,1722 3,0542 2,9226 2,7691 2,5911 2,4025 2,2263 2,0853 2,0002 1,9847 2,0366 2,1344 2,2417 2,3135 2,3077 2,2065 2,0257 1,8057 1,5989 1,4567 1,4132 1,4719 1,6082 1,7869 1,9793 2,1656 2,3306 2,4660 2,5731 2,6574 2,7206 2,7626 2,7833 2,7802 2,7514 2,6974 2,6142 2,4858 2,2902 2,0094 1,6337 1,1715 0,6569 0,1383 -0,3427 -0,7603 -1,0972 -1,3410 -1,4876 -1,5396 -1,5021 -1,3860 -1,2091 -0,9866 -0,7215 -0,4068 -0,0359 0,3864 0,8405 1,2968 1,7227 2,0871 2,3642 2,5409 2,6230 2,6306 2,5904 2,5359 2,5063 2,5343 2,6363 2,8112 3,0406 3,2927 3,5372 3,7542 3,9339 4,0802 4,2150 4,3682 4,5605 4,7981 5,0720 5,3577 5,6207 5,8303 5,9663 6,0136 5,9567 5,7832 5,4935 5,1042 4,6393 4,1204 3,5694 3,0128 2,4772 1,9860 1,5592 1,2086 0,9316 0,7092 0,5125 0,3075 0,0588 -0,2560 -0,6276 -1,0158 -1,3771 -1,6900 -1,9577 -2,1987 -2,4367 -2,6943 -2,9862 -3,3128 -3,6609 -4,0116 -4,3449 -4,6402 -4,8822 -5,0717 -5,2334 -5,4116 -5,6500 -5,9645 -6,3341 -6,7122 -7,0490 -7,3167 -7,5241 -7,7090 -7,9142 -8,1677 -8,4782 -8,8375 -9,2226 -9,5932 -9,8993 -10,1032 -10,1951 -10,1900 -10,1238 -10,0456 -9,9992 -10,0089 -10,0810 -10,2067 -10,3642 -10,5242 -10,6608 -10,7587 -10,8209 -10,8669 -10,9172 -10,9784 -11,0420 -11,0900 -11,1026 -11,0627 -10,9580 -10,7834 -10,5464 -10,2710 -9,9890 -9,7290 -9,5107 -9,3419 -9,2134 -9,1045 -8,9952 -8,8765 -8,7543 -8,6468
F3    2,2632 2,5046 2,7295 2,9119 3,0321 3,0799 3,0536 2,9536 2,7753 2,5051 2,1303 1,6536 1,0973 0,4956 -0,1148 -0,6992 -1,2291 -1,6838 -2,0529 -2,3403 -2,5598 -2,7211 -2,8239 -2,8650 -2,8414 -2,7512 -2,6017 -2,4165 -2,2305 -2,0747 -1,9626 -1,8803 -1,7868 -1,6283 -1,3584 -0,9606 -0,4632 0,0702 0,5642 0,9552 1,2055 1,3085 1,2807 1,1540 0,9726 0,7878 0,6489 0,5898 0,6166 0,7065 0,8256 0,9488 1,0640 1,1687 1,2703 1,3792 1,4940 1,5978 1,6702 1,6991 1,6860 1,6474 1,6109 1,6033 1,6361 1,7035 1,7943 1,8983 2,0034 2,0925 2,1509 2,1799 2,1967 2,2193 2,2605 2,3397 2,4869 2,7214 3,0303 3,3693 3,6803 3,9040 3,9937 3,9353 3,7535 3,4912 3,1871 2,8743 2,5817 2,3269 2,1131 1,9345 1,7777 1,6238 1,4595 1,2856 1,1080 0,9294 0,7535 0,5876 0,4380 0,3082 0,2030 0,1331 0,1148 0,1610 0,2710 0,4285 0,6055 0,7689 0,8912 0,9608 0,9857 0,9847 0,9712 0,9414 0,8877 0,8267 0,8054 0,8776 1,0736 1,3938 1,8257 2,3599 2,9884 3,6942 4,4490 5,2175 5,9617 6,6483 7,2573 7,7840 8,2313 8,6049 8,9129 9,1665 9,3791 9,5613 9,7150 9,8266 9,8724 9,8340 9,7165 9,5540 9,3959 9,2836 9,2368 9,2556 9,3250 9,4198 9,5136 9,5881 9,6329 9,6361 9,5789 9,4421 9,2186 8,9182 8,5627 8,1749 7,7700 7,3512 6,9134 6,4585 6,0061 5,5813 5,1963 4,8497 4,5310 4,2195 3,8915 3,5369 3,1682 2,8142 2,5069 2,2609 2,0655 1,9005 1,7502 1,5984 1,4236 1,2059 0,9337 0,6102 0,2546 -0,1030 -0,4270 -0,6833 -0,8557 -0,9600 -1,0365 -1,1253 -1,2447 -1,3833 -1,5062 -1,5744 -1,5660 -1,4875 -1,3729 -1,2727 -1,2355 -1,2886 -1,4261 -1,6040 -1,7522 -1,8098 -1,7655 -1,6690 -1,6040 -1,6381 -1,7834 -1,9969 -2,2152 -2,3864 -2,4840 -2,5109 -2,4915 -2,4573 -2,4339 -2,4338 -2,4587 -2,5115 -2,6002 -2,7282 -2,8823 -3,0375 -3,1718 -3,2762 -3,3577 -3,4371 -3,5354 -3,6577 -3,7867 -3,8881 -3,9280 -3,8936 -3,7960 -3,6572 -3,4984 -3,3340 -3,1753 -3,0380 -2,9426 -2,8993 -2,8953 -2,9006 -2,8840 -2,8249 -2,7196 -2,5795 -2,4270 -2,2880 -2,1789 -2,0968 -2,0237 -1,9400 -1,8354 -1,7113 -1,5773 -1,4500 -1,3537 -1,3161 -1,3606 -1,4974 -1,7075 -1,9391 -2,1341 -2,2599 -2,3204 -2,3457 -2,3750 -2,4401 -2,5550 -2,7133 -2,8930 -3,0692 -3,2240 -3,3495 -3,4485 -3,5309 -3,6023 -3,6549 -3,6699 -3,6269 -3,5116 -3,3207 -3,0588 -2,7390 -2,3889 -2,0492 -1,7544 -1,5109 -1,2966 -1,0809 -0,8455 -0,5916 -0,3356 -0,1001 0,0930 0,2295 0,3031 0,3147 0,2770 0,2202 0,1898 0,2327 0,3782 0,6257 0,9453 1,2818 1,5607 1,7050 1,6614 1,4249 1,0423 0,5927 0,1577 -0,1986 -0,4387 -0,5529 -0,5547 -0,4695 -0,3208 -0,1240 0,1101 0,3686 0,6329 0,8719 1,0427 1,1164 1,1044 1,0456 0,9761 0,9191 0,8934 0,9194 1,0185 1,2045 1,4737 1,8033 2,1557 2,4875 2,7633 2,9722 3,1301 3,2653 3,4063 3,5784 3,8003 4,0714 4,3666 4,6467 4,8808 5,0656 5,2278 5,4040 5,6138 5,8441 6,0481 6,1577 6,1092 5,8735 5,4690 4,9498 4,3760 3,7850 3,1917 2,6128 2,0767 1,6089 1,2180 0,8965 0,6312 0,4138 0,2432 0,1192 0,0372 -0,0095 -0,0305 -0,0392 -0,0432 -0,0342 0,0084 0,1090 0,2899 0,5615 0,9081 1,2832 1,6202 1,8535 1,9437 1,8916 1,7326 1,5224 1,3226 1,1833 1,1279 1,1541 1,2490 1,3964 1,5740 1,7495 1,8870 1,9617 1,9721 1,9389 1,8873 1,8261 1,7463 1,6431 1,5354 1,4608 1,4603 1,5672 1,7975 2,1391 2,5524 2,9833 3,3747 3,6755 3,8613 3,9475 3,9700 3,9508 3,8915 3,7918 3,6642 3,5267 3,3861 3,2370 3,0771 2,9169 2,7743 2,6650 2,5991 2,5768 2,5877 2,6173 2,6485 2,6540 2,5995 2,4685 2,2824 2,0924 1,9553 1,9141 1,9873 2,1631 2,4029 2,6596 2,8987 3,1027 3,2641 3,3823 3,4655 3,5260 3,5725 3,6093 3,6384 3,6580 3,6629 3,6466 3,5990 3,5071 3,3597 3,1468 2,8584 2,4953 2,0824 1,6578 1,2471 0,8583 0,4994 0,1881 -0,0552 -0,2150 -0,2852 -0,2729 -0,1945 -0,0622 0,1275 0,3871 0,7191 1,1022 1,4976 1,8677 2,1873 2,4440 2,6340 2,7633 2,8508 2,9201 2,9904 3,0789 3,2037 3,3793 3,6123 3,8969 4,2091 4,5114 4,7733 4,9862 5,1586 5,3080 5,4583 5,6329 5,8444 6,0909 6,3551 6,6068 6,8180 6,9796 7,0982 7,1747 7,1886 7,1045 6,8963 6,5644 6,1317 5,6307 5,0971 4,5660 4,0676 3,6244 3,2494 2,9398 2,6750 2,4226 2,1527 1,8446 1,4848 1,0709 0,6254 0,1938 -0,1809 -0,4818 -0,7218 -0,9324 -1,1465 -1,3859 -1,6590 -1,9639 -2,2903 -2,6235 -2,9493 -3,2548 -3,5319 -3,7848 -4,0344 -4,3137 -4,6490 -5,0363 -5,4392 -5,8070 -6,0965 -6,2901 -6,4057 -6,4928 -6,6101 -6,7990 -7,0722 -7,4170 -7,8004 -8,1768 -8,5011 -8,7480 -8,9190 -9,0339 -9,1229 -9,2208 -9,3538 -9,5310 -9,7463 -9,9822 -10,2109 -10,3999 -10,5193 -10,5519 -10,5026 -10,3982 -10,2747 -10,1648 -10,0886 -10,0473 -10,0258 -10,0003 -9,9433 -9,8301 -9,6517 -9,4266 -9,1900 -8,9729 -8,7920 -8,6492 -8,5318 -8,4174 -8,2856 -8,1281 -7,9528 -7,7827
F7    1,8233 1,9267 2,0455 2,1673 2,2743 2,3414 2,3422 2,2618 2,1060 1,8939 1,6427 1,3584 1,0393 0,6870 0,3164 -0,0475 -0,3813 -0,6705 -0,9096 -1,1032 -1,2609 -1,3882 -1,4853 -1,5542 -1,6013 -1,6326 -1,6547 -1,6761 -1,7055 -1,7450 -1,7858 -1,8064 -1,7781 -1,6743 -1,4798 -1,2018 -0,8718 -0,5325 -0,2213 0,0364 0,2277 0,3491 0,4060 0,4147 0,3978 0,3749 0,3634 0,3825 0,4445 0,5443 0,6610 0,7667 0,8350 0,8529 0,8318 0,7984 0,7708 0,7456 0,7079 0,6483 0,5746 0,5134 0,4999 0,5625 0,7075 0,9163 1,1562 1,3918 1,5930 1,7402 1,8316 1,8884 1,9437 2,0151 2,0956 2,1738 2,2521 2,3406 2,4402 2,5388 2,6178 2,6542 2,6258 2,5252 2,3674 2,1748 1,9628 1,7417 1,5233 1,3201 1,1421 0,9973 0,8871 0,7981 0,7072 0,5971 0,4631 0,3110 0,1530 -0,0022 -0,1522 -0,2956 -0,4272 -0,5367 -0,6061 -0,6097 -0,5280 -0,3649 -0,1517 0,0646 0,2412 0,3584 0,4250 0,4665 0,4996 0,5149 0,4894 0,4187 0,3356 0,2950 0,3454 0,5132 0,8055 1,2180 1,7379 2,3432 3,0049 3,6909 4,3697 5,0137 5,6042 6,1305 6,5857 6,9655 7,2714 7,5138 7,7095 7,8737 8,0131 8,1227 8,1899 8,2014 8,1539 8,0629 7,9608 7,8816 7,8441 7,8477 7,8776 7,9133 7,9377 7,9446 7,9381 7,9225 7,8924 7,8370 7,7463 7,6142 7,4372 7,2129 6,9388 6,6134 6,2398 5,8332 5,4228 5,0367 4,6878 4,3778 4,1031 3,8513 3,6002 3,3249 3,0076 2,6530 2,2919 1,9534 1,6395 1,3348 1,0294 0,7240 0,4234 0,1305 -0,1558 -0,4383 -0,7151 -0,9757 -1,1977 -1,3499 -1,4099 -1,3840 -1,3031 -1,2039 -1,1140 -1,0464 -0,9974 -0,9544 -0,9098 -0,8713 -0,8624 -0,9110 -1,0360 -1,2402 -1,5073 -1,7988 -2,0586 -2,2360 -2,3183 -2,3427 -2,3724 -2,4567 -2,6026 -2,7797 -2,9470 -3,0766 -3,1591 -3,1965 -3,1930 -3,1557 -3,1023 -3,0586 -3,0478 -3,0822 -3,1614 -3,2712 -3,3855 -3,4787 -3,5375 -3,5643 -3,5748 -3,5933 -3,6424 -3,7337 -3,8641 -4,0128 -4,1493 -4,2490 -4,3015 -4,3119 -4,2949 -4,2643 -4,2287 -4,2021 -4,2066 -4,2545 -4,3324 -4,4076 -4,4450 -4,4205 -4,3279 -4,1776 -3,9896 -3,7878 -3,5928 -3,4130 -3,2429 -3,0696 -2,8805 -2,6705 -2,4457 -2,2244 -2,0368 -1,9173 -1,8914 -1,9643 -2,1140 -2,2987 -2,4833 -2,6550 -2,8162 -2,9692 -3,1146 -3,2542 -3,3907 -3,5264 -3,6595 -3,7813 -3,8755 -3,9244 -3,9204 -3,8720 -3,7961 -3,7078 -3,6156 -3,5182 -3,4039 -3,2585 -3,0751 -2,8593 -2,6292 -2,4110 -2,2249 -2,0704 -1,9284 -1,7772 -1,6042 -1,4052 -1,1813 -0,9404 -0,7015 -0,4901 -0,3283 -0,2282 -0,1895 -0,1944 -0,2088 -0,1937 -0,1224 0,0125 0,2029 0,4268 0,6398 0,7778 0,7809 0,6220 0,3200 -0,0689 -0,4749 -0,8380 -1,1217 -1,3163 -1,4327 -1,4920 -1,5114 -1,4970 -1,4472 -1,3598 -1,2374 -1,0949 -0,9597 -0,8503 -0,7575 -0,6553 -0,5286 -0,3861 -0,2504 -0,1352 -0,0300 0,0885 0,2342 0,4062 0,5976 0,7987 0,9946 1,1697 1,3188 1,4511 1,5860 1,7459 1,9452 2,1797 2,4241 2,6434 2,8157 2,9475 3,0703 3,2170 3,4013 3,6125 3,8179 3,9721 4,0332 3,9788 3,8138 3,5657 3,2677 2,9391 2,5865 2,2215 1,8671 1,5433 1,2578 1,0114 0,8034 0,6320 0,4926 0,3764 0,2766 0,1962 0,1443 0,1208 0,1146 0,1185 0,1391 0,1956 0,3130 0,5109 0,7862 1,1082 1,4317 1,7163 1,9340 2,0649 2,0943 2,0206 1,8677 1,6767 1,4834 1,3107 1,1804 1,1163 1,1294 1,2068 1,3188 1,4362 1,5396 1,6171 1,6574 1,6464 1,5751 1,4568 1,3324 1,2493 1,2417 1,3275 1,5101 1,7730 2,0792 2,3820 2,6394 2,8226 2,9264 2,9734 2,9975 3,0140 3,0149 2,9893 2,9391 2,8732 2,7908 2,6811 2,5373 2,3660 2,1799 1,9907 1,8104 1,6503 1,5126 1,3899 1,2753 1,1663 1,0649 0,9842 0,9510 0,9950 1,1306 1,3500 1,6274 1,9277 2,2184 2,4772 2,6903 2,8450 2,9295 2,9421 2,9010 2,8413 2,7979 2,7887 2,8077 2,8314 2,8345 2,8014 2,7220 2,5885 2,3974 2,1452 1,8242 1,4372 1,0159 0,6076 0,2435 -0,0669 -0,3178 -0,5022 -0,6206 -0,6805 -0,6901 -0,6621 -0,6182 -0,5766 -0,5353 -0,4717 -0,3632 -0,2073 -0,0241 0,1599 0,3282 0,4775 0,6114 0,7373 0,8645 0,9998 1,1480 1,3167 1,5180 1,7633 2,0618 2,4175 2,8218 3,2516 3,6764 4,0675 4,4029 4,6733 4,8859 5,0595 5,2163 5,3730 5,5324 5,6813 5,8052 5,9067 6,0040 6,1074 6,1970 6,2244 6,1429 5,9330 5,6030 5,1759 4,6826 4,1587 3,6390 3,1527 2,7219 2,3549 2,0420 1,7572 1,4705 1,1596 0,8153 0,4471 0,0883 -0,2150 -0,4325 -0,5692 -0,6601 -0,7506 -0,8800 -1,0770 -1,3580 -1,7209 -2,1399 -2,5780 -3,0051 -3,4016 -3,7525 -4,0494 -4,2987 -4,5268 -4,7677 -5,0403 -5,3381 -5,6350 -5,9033 -6,1315 -6,3305 -6,5250 -6,7401 -6,9864 -7,2528 -7,5131 -7,7390 -7,9138 -8,0414 -8,1461 -8,2594 -8,3991 -8,5651 -8,7498 -8,9465 -9,1474 -9,3391 -9,5075 -9,6463 -9,7537 -9,8238 -9,8465 -9,8184 -9,7489 -9,6545 -9,5523 -9,4559 -9,3723 -9,3024 -9,2430 -9,1845 -9,1082 -8,9960 -8,8451 -8,6707 -8,4920 -8,3206 -8,1579 -7,9976 -7,8294 -7,6443 -7,4424 -7,2387 -7,0590
