Fp1   0,3897 0,5425 0,5727 0,4365 0,1429 -0,2287 -0,5543 -0,7386 -0,7780 -0,7429 -0,7030 -0,6907 -0,7120 -0,7470 -0,7540 -0,6988 -0,5759 -0,4006 -0,2035 -0,0324 0,0702 0,1023 0,1102 0,1575 0,2809 0,4652 0,6602 0,8226 0,9350 0,9874 0,9561 0,8108 0,5402 0,1639 -0,2743 -0,7227 -1,1305 -1,4480 -1,6198 -1,5868 -1,3155 -0,8331 -0,2221 0,4174 0,9933 1,4270 1,6553 1,6443 1,4087 1,0201 0,5967 0,2679 0,1131 0,1123 0,1628 0,1608 0,0727 -0,0722 -0,2390 -0,4169 -0,6224 -0,8941 -1,2570 -1,6842 -2,1093 -2,4717 -2,7411 -2,9211 -3,0479 -3,1785 -3,3671 -3,6252 -3,8941 -4,0720 -4,0852 -3,9305 -3,6580 -3,3361 -3,0263 -2,7641 -2,5555 -2,3969 -2,2910 -2,2386 -2,2277 -2,2394 -2,2502 -2,2241 -2,1288 -1,9742 -1,8179 -1,7271 -1,7430 -1,8778 -2,1281 -2,4817 -2,9249 -3,4537 -4,0704 -4,7670 -5,5216 -6,3165 -7,1463 -7,9909 -8,7829 -9,4211 -9,8186 -9,9370 -9,7839 -9,4005 -8,8590 -8,2497 -7,6383 -7,0389 -6,4315 -5,7822 -5,0492 -4,1990 -3,2293 -2,1653 -1,0362 0,1384 1,3375 2,5264 3,6591 4,6803 5,5164 6,0767 6,2877 6,1299 5,6332 4,8543 3,8713 2,7814 1,6805 0,6376 -0,3105 -1,1413 -1,8276 -2,3352 -2,6344 -2,7088 -2,5692 -2,2781 -1,9434 -1,6636 -1,4745 -1,3402 -1,1829 -0,9360 -0,5895 -0,1934 0,1817 0,4851 0,7049 0,8684 1,0258 1,2102 1,4001 1,5201 1,4779 1,2075 0,6970 -0,0084 -0,8257 -1,6649 -2,4534 -3,1323 -3,6370 -3,8977 -3,8726 -3,5831 -3,1076 -2,5355 -1,9370 -1,3667 -0,8584 -0,4152 -0,0288 0,2952 0,5422 0,7036 0,7717 0,7244 0,5328 0,1926 -0,2541 -0,7264 -1,1327 -1,4088 -1,5485 -1,6096 -1,6918 -1,9040 -2,3296 -2,9848 -3,7787 -4,5246 -5,0351 -5,2156 -5,0620 -4,6115 -3,9285 -3,1087 -2,2612 -1,4828 -0,8441 -0,3858 -0,1146 0,0015 0,0191 -0,0137 -0,0834 -0,2080 -0,4064 -0,6688 -0,9613 -1,2637 -1,5922 -1,9704 -2,3923 -2,8323 -3,2803 -3,7347 -4,1678 -4,5276 -4,7801 -4,9358 -5,0261 -5,0620 -5,0176 -4,8463 -4,5198 -4,0685 -3,5872 -3,1840 -2,9246 -2,8320 -2,9186 -3,1843 -3,5781 -3,9874 -4,2885 -4,4116 -4,3528 -4,1299 -3,7421 -3,1705 -2,4124 -1,5205 -0,6062 0,1996 0,8036 1,1898 1,4054 1,5060 1,5114 1,3929 1,0873 0,5327 -0,2841 -1,2934 -2,3578 -3,3334 -4,1189 -4,6665 -4,9838 -5,1312 -5,1875 -5,2028 -5,1846 -5,1240 -5,0223 -4,8938 -4,7521 -4,5991 -4,4194 -4,1844 -3,8716 -3,4870 -3,0714 -2,6842 -2,3729 -2,1444 -1,9623 -1,7736 -1,5469 -1,2948 -1,0641 -0,8934 -0,7807 -0,6942 -0,6058 -0,5108 -0,4256 -0,3768 -0,3897 -0,4775 -0,6326 -0,8279 -1,0322 -1,2309 -1,4421 -1,7004 -2,0224 -2,3967 -2,8012 -3,2057 -3,5544 -3,7644 -3,7644 -3,5435 -3,1723 -2,7754 -2,4594 -2,2612 -2,1586 -2,1069 -2,0618 -1,9962 -1,9183 -1,8721 -1,9128 -2,0777 -2,3689 -2,7539 -3,1794 -3,5933 -3,9586 -4,2556 -4,4815 -4,6504 -4,7805 -4,8673 -4,8724 -4,7425 -4,4314 -3,9082 -3,1764 -2,2978 -1,3828 -0,5490 0,1238 0,6242 1,0040 1,3354 1,6676 2,0044 2,2925 2,4316 2,3347 1,9969 1,4980 0,9544 0,4842 0,1788 0,0600 0,0558 0,0465 -0,0523 -0,2578 -0,5579 -0,9367 -1,3522 -1,7250 -1,9747 -2,0646 -2,0071 -1,8330 -1,5639 -1,2216 -0,8572 -0,5515 -0,3782 -0,3720 -0,5270 -0,8049 -1,1452 -1,4930 -1,8223 -2,1286 -2,4109 -2,6717 -2,9163 -3,1414 -3,3331 -3,4844 -3,6132 -3,7603 -3,9613 -4,2033 -4,4132 -4,5068 -4,4475 -4,2492 -3,9365 -3,5165 -2,9938 -2,4019 -1,8035 -1,2583 -0,7964 -0,4169 -0,1129 0,1098 0,2365 0,2493 0,1225 -0,1615 -0,5782 -1,0524 -1,4783 -1,7515 -1,8074 -1,6481 -1,3407 -0,9867 -0,6778 -0,4595 -0,3256 -0,2464 -0,2069 -0,2249 -0,3407 -0,5897 -0,9713 -1,4308 -1,8681 -2,1723 -2,2626 -2,1200 -1,7982 -1,4003 -1,0330 -0,7763 -0,6764 -0,7471 -0,9673 -1,2873 -1,6473 -1,9877 -2,2500 -2,3877 -2,3901 -2,2949 -2,1809 -2,1355 -2,2044 -2,3566 -2,4942 -2,5070 -2,3277 -1,9473 -1,4103 -0,8055 -0,2322 0,2505 0,6446 0,9841 1,2838 1,5128 1,6138 1,5472 1,3284 1,0414 0,8026 0,6937 0,7298 0,8723 1,0381 1,1103 0,9828 0,6187 0,0564 -0,6449 -1,4493 -2,3375 -3,2774 -4,1995 -4,9915 -5,5344 -5,7658 -5,7099 -5,4498 -5,0772 -4,6551 -4,2082 -3,7294 -3,1918 -2,5684 -1,8540 -1,0697 -0,2467 0,5914 1,4255 2,2211 2,9275 3,5045 3,9356 4,2175 4,3539 4,3628 4,2690 4,0780 3,7592 3,2649 2,5767 1,7447 0,8780 0,0831 -0,5951 -1,1812 -1,7297 -2,2760 -2,8096 -3,2802 -3,6294 -3,8337 -3,9313 -4,0021 -4,1167 -4,3069 -4,5732 -4,8957 -5,2326 -5,5359 -5,7765 -5,9465 -6,0432 -6,0683 -6,0370 -5,9749 -5,9088 -5,8635 -5,8583 -5,9030 -6,0002 -6,1540 -6,3747 -6,6684 -7,0278 -7,4453 -7,9297 -8,4964 -9,1479 -9,8669 -10,6148 -11,3311 -11,9480 -12,4167 -12,7159 -12,8362 -12,7714 -12,5261 -12,1285 -11,6331 -11,1082 -10,6083 -10,1519 -9,7238 -9,2977 -8,8518 -8,3603 -7,7949 -7,1642 -6,5395 -6,0176 -5,6591 -5,4716 -5,4404 -5,5614 -5,8352 -6,2284 -6,6511 -6,9871 -7,1526 -7,1406 -7,0258 -6,9273 -6,9481 -7,1235 -7,3997 -7,6585 -7,7863 -7,7390 -7,5488 -7,2728 -6,9495 -6,6036 -6,2705 -5,9961 -5,8206 -5,7761 -5,8850 -6,1340 -6,4469 -6,6945 -6,7418 -6,5026 -5,9816
Fz    0,1133 0,3004 0,4171 0,4139 0,2718 0,0235 -0,2529 -0,4780 -0,6156 -0,6728 -0,6684 -0,6126 -0,5070 -0,3461 -0,1274 0,1287 0,3828 0,6026 0,7731 0,8834 0,9246 0,9064 0,8658 0,8480 0,8752 0,9321 0,9776 0,9732 0,9009 0,7538 0,5179 0,1788 -0,2553 -0,7421 -1,2155 -1,6072 -1,8662 -1,9678 -1,9101 -1,7013 -1,3573 -0,9135 -0,4275 0,0377 0,4326 0,7235 0,8832 0,8937 0,7653 0,5443 0,2989 0,0933 -0,0372 -0,1022 -0,1481 -0,2202 -0,3256 -0,4403 -0,5476 -0,6569 -0,7969 -1,0033 -1,2959 -1,6571 -2,0431 -2,4155 -2,7522 -3,0405 -3,2739 -3,4580 -3,6138 -3,7625 -3,8964 -3,9745 -3,9526 -3,8144 -3,5729 -3,2582 -2,9115 -2,5771 -2,2921 -2,0802 -1,9498 -1,8921 -1,8896 -1,9277 -1,9908 -2,0509 -2,0762 -2,0559 -2,0092 -1,9721 -1,9805 -2,0594 -2,2160 -2,4400 -2,7168 -3,0396 -3,4031 -3,7942 -4,1978 -4,6133 -5,0596 -5,5484 -6,0516 -6,5060 -6,8528 -7,0692 -7,1675 -7,1739 -7,1157 -7,0153 -6,8796 -6,6988 -6,4608 -6,1550 -5,7636 -5,2641 -4,6451 -3,9187 -3,1152 -2,2676 -1,4007 -0,5323 0,3195 1,1283 1,8515 2,4308 2,8121 2,9715 2,9127 2,6511 2,2110 1,6318 0,9658 0,2668 -0,4207 -1,0620 -1,6225 -2,0639 -2,3521 -2,4690 -2,4240 -2,2683 -2,0835 -1,9363 -1,8417 -1,7671 -1,6654 -1,5098 -1,3102 -1,1031 -0,9273 -0,8029 -0,7253 -0,6689 -0,6001 -0,4976 -0,3717 -0,2649 -0,2329 -0,3217 -0,5511 -0,9114 -1,3708 -1,8876 -2,4199 -2,9228 -3,3396 -3,6118 -3,7063 -3,6371 -3,4598 -3,2378 -3,0176 -2,8301 -2,6912 -2,5945 -2,5170 -2,4315 -2,3143 -2,1550 -1,9688 -1,7963 -1,6868 -1,6742 -1,7589 -1,8984 -2,0220 -2,0690 -2,0227 -1,9131 -1,7977 -1,7444 -1,8139 -2,0359 -2,3836 -2,7747 -3,1128 -3,3371 -3,4313 -3,4014 -3,2618 -3,0398 -2,7811 -2,5400 -2,3614 -2,2725 -2,2836 -2,3823 -2,5303 -2,6831 -2,8181 -2,9435 -3,0790 -3,2284 -3,3772 -3,5173 -3,6631 -3,8341 -4,0344 -4,2596 -4,5104 -4,7823 -5,0472 -5,2620 -5,3991 -5,4621 -5,4707 -5,4394 -5,3655 -5,2309 -5,0206 -4,7491 -4,4680 -4,2384 -4,0974 -4,0562 -4,1217 -4,3001 -4,5769 -4,9066 -5,2268 -5,4794 -5,6172 -5,5971 -5,3794 -4,9426 -4,3090 -3,5568 -2,7988 -2,1413 -1,6460 -1,3141 -1,1034 -0,9652 -0,8768 -0,8564 -0,9537 -1,2188 -1,6672 -2,2597 -2,9195 -3,5707 -4,1616 -4,6657 -5,0804 -5,4206 -5,6964 -5,9017 -6,0258 -6,0658 -6,0263 -5,9153 -5,7427 -5,5230 -5,2710 -4,9928 -4,6859 -4,3520 -4,0046 -3,6653 -3,3526 -3,0723 -2,8168 -2,5734 -2,3334 -2,0953 -1,8629 -1,6359 -1,4058 -1,1616 -0,9029 -0,6477 -0,4285 -0,2776 -0,2127 -0,2322 -0,3198 -0,4509 -0,6018 -0,7642 -0,9567 -1,2102 -1,5368 -1,9193 -2,3265 -2,7253 -3,0736 -3,3151 -3,3951 -3,2909 -3,0353 -2,7090 -2,3949 -2,1369 -1,9350 -1,7657 -1,6049 -1,4440 -1,2983 -1,2030 -1,1999 -1,3196 -1,5681 -1,9202 -2,3265 -2,7304 -3,0800 -3,3334 -3,4662 -3,4766 -3,3810 -3,1993 -2,9432 -2,6154 -2,2095 -1,7111 -1,1152 -0,4497 0,2220 0,8215 1,2856 1,5964 1,7869 1,9161 2,0374 2,1785 2,3244 2,4177 2,3973 2,2486 2,0120 1,7556 1,5484 1,4408 1,4391 1,4965 1,5407 1,5209 1,4251 1,2573 1,0204 0,7292 0,4240 0,1561 -0,0414 -0,1627 -0,2122 -0,1865 -0,0833 0,0742 0,2282 0,3082 0,2665 0,0993 -0,1564 -0,4469 -0,7253 -0,9591 -1,1278 -1,2312 -1,3012 -1,3897 -1,5371 -1,7503 -2,0079 -2,2819 -2,5548 -2,8179 -3,0492 -3,2031 -3,2389 -3,1536 -2,9737 -2,7174 -2,3789 -1,9546 -1,4743 -0,9917 -0,5494 -0,1620 0,1720 0,4515 0,6689 0,8171 0,8924 0,8889 0,8010 0,6354 0,4209 0,2061 0,0512 0,0065 0,0848 0,2510 0,4420 0,6033 0,7168 0,8028 0,8909 0,9862 1,0601 1,0691 0,9811 0,7950 0,5447 0,2858 0,0714 -0,0641 -0,1134 -0,0985 -0,0586 -0,0280 -0,0255 -0,0584 -0,1305 -0,2446 -0,4003 -0,5908 -0,7994 -0,9981 -1,1530 -1,2377 -1,2451 -1,1935 -1,1172 -1,0425 -0,9646 -0,8478 -0,6526 -0,3668 -0,0086 0,3875 0,7807 1,1353 1,4360 1,6931 1,9249 2,1337 2,2925 2,3557 2,2841 2,0739 1,7789 1,4958 1,3139 1,2780 1,3838 1,5796 1,7704 1,8515 1,7583 1,4860 1,0656 0,5367 -0,0614 -0,6896 -1,3071 -1,8628 -2,2981 -2,5746 -2,6999 -2,7191 -2,6808 -2,6112 -2,5120 -2,3632 -2,1282 -1,7743 -1,3001 -0,7410 -0,1468 0,4402 0,9856 1,4524 1,8089 2,0455 2,1740 2,2107 2,1720 2,0812 1,9645 1,8322 1,6640 1,4204 1,0770 0,6525 0,1998 -0,2305 -0,6189 -0,9795 -1,3390 -1,7057 -2,0555 -2,3474 -2,5502 -2,6622 -2,7141 -2,7526 -2,8138 -2,9104 -3,0422 -3,2032 -3,3793 -3,5499 -3,6942 -3,7945 -3,8409 -3,8393 -3,8090 -3,7701 -3,7337 -3,7045 -3,6884 -3,6979 -3,7545 -3,8828 -4,1016 -4,4126 -4,7962 -5,2257 -5,6842 -6,1602 -6,6371 -7,0946 -7,5117 -7,8634 -8,1274 -8,3029 -8,4121 -8,4752 -8,4897 -8,4376 -8,3086 -8,1153 -7,8886 -7,6593 -7,4408 -7,2264 -6,9991 -6,7339 -6,3933 -5,9435 -5,3903 -4,7954 -4,2427 -3,7909 -3,4585 -3,2430 -3,1414 -3,1500 -3,2485 -3,3904 -3,5162 -3,5786 -3,5673 -3,5169 -3,4919 -3,5521 -3,7207 -3,9676 -4,2198 -4,4029 -4,4868 -4,4950 -4,4703 -4,4373 -4,4007 -4,3645 -4,3413 -4,3482 -4,3993 -4,4978 -4,6258 -4,7376 -4,7707 -4,6677 -4,3955 -3,9598
F3    1,2994 1,3293 1,3055 1,2054 1,0319 0,8194 0,6230 0,4862 0,4128 0,3773 0,3557 0,3386 0,3263 0,3282 0,3558 0,4048 0,4540 0,4881 0,5061 0,5072 0,4872 0,4536 0,4297 0,4321 0,4494 0,4469 0,3920 0,2740 0,1007 -0,1174 -0,3806 -0,6943 -1,0501 -1,4163 -1,7452 -1,9873 -2,1050 -2,0836 -1,9296 -1,6576 -1,2877 -0,8561 -0,4188 -0,0379 0,2384 0,3848 0,3981 0,2955 0,1159 -0,0855 -0,2487 -0,3287 -0,3142 -0,2351 -0,1457 -0,0886 -0,0696 -0,0705 -0,0849 -0,1342 -0,2563 -0,4830 -0,8132 -1,2038 -1,5920 -1,9226 -2,1590 -2,2878 -2,3239 -2,3130 -2,3155 -2,3724 -2,4744 -2,5704 -2,6076 -2,5654 -2,4542 -2,2938 -2,0992 -1,8860 -1,6765 -1,4949 -1,3566 -1,2639 -1,2170 -1,2237 -1,2851 -1,3746 -1,4435 -1,4551 -1,4094 -1,3363 -1,2714 -1,2388 -1,2495 -1,3084 -1,4238 -1,6086 -1,8669 -2,1823 -2,5260 -2,8777 -3,2382 -3,6134 -3,9873 -4,3253 -4,6048 -4,8281 -5,0019 -5,1143 -5,1370 -5,0451 -4,8272 -4,4922 -4,0721 -3,6070 -3,1214 -2,6142 -2,0680 -1,4725 -0,8419 -0,2078 0,4031 0,9790 1,5155 2,0055 2,4345 2,7839 3,0397 3,1992 3,2616 3,2171 3,0526 2,7650 2,3714 1,9091 1,4252 0,9634 0,5610 0,2510 0,0662 0,0357 0,1660 0,4145 0,6978 0,9399 1,1119 1,2303 1,3314 1,4400 1,5512 1,6423 1,7031 1,7460 1,7911 1,8506 1,9277 2,0150 2,0890 2,1130 2,0508 1,8847 1,6225 1,2898 0,9137 0,5135 0,1023 -0,2995 -0,6553 -0,9241 -1,0844 -1,1505 -1,1687 -1,1891 -1,2380 -1,3115 -1,3808 -1,4075 -1,3635 -1,2383 -1,0359 -0,7762 -0,4983 -0,2520 -0,0831 -0,0245 -0,0847 -0,2338 -0,4086 -0,5464 -0,6167 -0,6231 -0,5917 -0,5680 -0,6125 -0,7761 -1,0670 -1,4400 -1,8229 -2,1529 -2,3898 -2,5111 -2,5083 -2,3899 -2,1840 -1,9293 -1,6616 -1,4130 -1,2158 -1,0916 -1,0388 -1,0400 -1,0791 -1,1510 -1,2554 -1,3861 -1,5366 -1,7133 -1,9309 -2,1909 -2,4749 -2,7631 -3,0507 -3,3394 -3,6182 -3,8614 -4,0464 -4,1744 -4,2689 -4,3536 -4,4266 -4,4565 -4,4068 -4,2672 -4,0645 -3,8474 -3,6640 -3,5523 -3,5376 -3,6239 -3,7851 -3,9731 -4,1368 -4,2388 -4,2600 -4,1894 -4,0080 -3,6913 -3,2355 -2,6792 -2,0941 -1,5530 -1,1023 -0,7539 -0,4951 -0,3061 -0,1789 -0,1302 -0,1966 -0,4134 -0,7902 -1,2988 -1,8868 -2,5016 -3,0993 -3,6439 -4,1167 -4,5236 -4,8774 -5,1760 -5,4044 -5,5506 -5,6111 -5,5884 -5,4907 -5,3343 -5,1398 -4,9209 -4,6792 -4,4137 -4,1350 -3,8653 -3,6270 -3,4329 -3,2858 -3,1816 -3,1095 -3,0507 -2,9817 -2,8803 -2,7323 -2,5364 -2,3058 -2,0685 -1,8609 -1,7126 -1,6360 -1,6282 -1,6751 -1,7456 -1,7999 -1,8221 -1,8425 -1,9112 -2,0518 -2,2449 -2,4496 -2,6266 -2,7446 -2,7758 -2,7015 -2,5296 -2,3080 -2,1063 -1,9706 -1,8974 -1,8499 -1,7870 -1,6811 -1,5316 -1,3696 -1,2475 -1,2189 -1,3223 -1,5670 -1,9245 -2,3344 -2,7221 -3,0178 -3,1694 -3,1538 -2,9824 -2,6970 -2,3514 -1,9897 -1,6342 -1,2825 -0,9150 -0,5136 -0,0826 0,3478 0,7354 1,0481 1,2837 1,4666 1,6263 1,7870 1,9630 2,1462 2,3040 2,4030 2,4350 2,4148 2,3700 2,3380 2,3498 2,4000 2,4397 2,4112 2,2893 2,0844 1,8117 1,4774 1,0981 0,7155 0,3806 0,1274 -0,0315 -0,0880 -0,0279 0,1534 0,4249 0,7162 0,9466 1,0626 1,0539 0,9437 0,7707 0,5751 0,3932 0,2508 0,1461 0,0373 -0,1352 -0,4049 -0,7551 -1,1337 -1,4852 -1,7728 -1,9793 -2,0938 -2,1032 -2,0058 -1,8265 -1,6057 -1,3663 -1,1029 -0,8136 -0,5279 -0,2892 -0,1256 -0,0440 -0,0369 -0,0849 -0,1625 -0,2405 -0,2887 -0,2882 -0,2482 -0,2017 -0,1808 -0,1909 -0,2044 -0,1836 -0,1129 -0,0130 0,0746 0,1224 0,1397 0,1646 0,2290 0,3301 0,4338 0,5006 0,5039 0,4359 0,3077 0,1438 -0,0290 -0,1879 -0,3211 -0,4334 -0,5376 -0,6355 -0,7170 -0,7779 -0,8307 -0,8946 -0,9809 -1,0893 -1,2131 -1,3384 -1,4438 -1,5056 -1,5100 -1,4641 -1,3964 -1,3379 -1,2994 -1,2633 -1,1962 -1,0695 -0,8739 -0,6215 -0,3415 -0,0682 0,1761 0,3897 0,5820 0,7539 0,8894 0,9653 0,9611 0,8703 0,7202 0,5726 0,4884 0,4990 0,5998 0,7533 0,8927 0,9414 0,8434 0,5822 0,1743 -0,3451 -0,9324 -1,5474 -2,1576 -2,7287 -3,2169 -3,5807 -3,7997 -3,8844 -3,8671 -3,7869 -3,6720 -3,5251 -3,3269 -3,0646 -2,7504 -2,4056 -2,0361 -1,6348 -1,2038 -0,7655 -0,3484 0,0292 0,3567 0,6199 0,8066 0,9199 0,9793 1,0055 1,0049 0,9673 0,8842 0,7655 0,6330 0,4947 0,3311 0,1085 -0,1961 -0,5774 -1,0014 -1,4216 -1,7977 -2,1081 -2,3536 -2,5506 -2,7175 -2,8693 -3,0249 -3,2010 -3,3915 -3,5652 -3,6863 -3,7352 -3,7173 -3,6593 -3,5975 -3,5623 -3,5630 -3,5872 -3,6144 -3,6365 -3,6700 -3,7508 -3,9136 -4,1734 -4,5220 -4,9384 -5,4018 -5,8939 -6,3964 -6,8899 -7,3511 -7,7532 -8,0770 -8,3231 -8,5072 -8,6371 -8,6995 -8,6715 -8,5450 -8,3391 -8,0889 -7,8253 -7,5647 -7,3129 -7,0701 -6,8254 -6,5487 -6,2025 -5,7761 -5,3020 -4,8328 -4,4097 -4,0579 -3,8023 -3,6741 -3,6949 -3,8539 -4,1013 -4,3669 -4,5914 -4,7486 -4,8509 -4,9384 -5,0572 -5,2341 -5,4549 -5,6633 -5,7938 -5,8177 -5,7570 -5,6509 -5,5199 -5,3663 -5,1970 -5,0350 -4,9116 -4,8524 -4,8629 -4,9169 -4,9566 -4,9184 -4,7643 -4,4950 -4,1412
F7    1,3545 1,3654 1,3807 1,3883 1,3782 1,3421 1,2762 1,1777 1,0434 0,8799 0,7107 0,5634 0,4522 0,3770 0,3265 0,2713 0,1673 -0,0186 -0,2837 -0,5902 -0,8842 -1,1136 -1,2426 -1,2682 -1,2274 -1,1791 -1,1688 -1,2089 -1,2828 -1,3631 -1,4310 -1,4777 -1,4955 -1,4761 -1,4113 -1,2942 -1,1238 -0,9073 -0,6528 -0,3597 -0,0206 0,3599 0,7480 1,0844 1,3097 1,3874 1,3153 1,1337 0,9217 0,7663 0,7224 0,7937 0,9440 1,1218 1,2815 1,3980 1,4707 1,5064 1,4978 1,4262 1,2782 1,0534 0,7705 0,4656 0,1749 -0,0793 -0,2880 -0,4462 -0,5540 -0,6262 -0,6928 -0,7808 -0,8914 -1,0001 -1,0753 -1,0929 -1,0378 -0,8981 -0,6711 -0,3811 -0,0805 0,1803 0,3838 0,5407 0,6525 0,6985 0,6678 0,5872 0,5076 0,4706 0,4931 0,5710 0,6874 0,8168 0,9282 0,9889 0,9719 0,8684 0,7047 0,5408 0,4406 0,4323 0,4907 0,5635 0,6153 0,6346 0,6099 0,5247 0,3801 0,2116 0,0759 0,0241 0,0841 0,2489 0,4780 0,7195 0,9378 1,1264 1,2976 1,4562 1,5863 1,6663 1,6935 1,6899 1,6931 1,7440 1,8735 2,0938 2,3958 2,7498 3,1073 3,4097 3,6031 3,6515 3,5483 3,3179 3,0026 2,6461 2,2913 1,9865 1,7860 1,7329 1,8346 2,0518 2,3185 2,5837 2,8297 3,0533 3,2451 3,3895 3,4720 3,4927 3,4814 3,4897 3,5556 3,6760 3,8180 3,9460 4,0382 4,0792 4,0497 3,9351 3,7391 3,4771 3,1573 2,7819 2,3669 1,9557 1,6046 1,3520 1,2003 1,1152 1,0382 0,9131 0,7136 0,4544 0,1808 -0,0552 -0,2172 -0,2886 -0,2694 -0,1832 -0,0754 0,0062 0,0266 -0,0393 -0,2004 -0,4285 -0,6621 -0,8467 -0,9640 -1,0254 -1,0546 -1,0771 -1,1173 -1,1969 -1,3337 -1,5325 -1,7754 -2,0304 -2,2712 -2,4800 -2,6341 -2,7034 -2,6652 -2,5176 -2,2746 -1,9599 -1,6083 -1,2604 -0,9435 -0,6630 -0,4139 -0,2059 -0,0697 -0,0398 -0,1354 -0,3551 -0,6828 -1,0920 -1,5478 -2,0101 -2,4447 -2,8282 -3,1451 -3,3850 -3,5466 -3,6387 -3,6768 -3,6806 -3,6681 -3,6453 -3,6059 -3,5403 -3,4449 -3,3313 -3,2265 -3,1603 -3,1492 -3,1893 -3,2651 -3,3573 -3,4337 -3,4448 -3,3368 -3,0714 -2,6314 -2,0263 -1,3022 -0,5349 0,1990 0,8468 1,3790 1,7818 2,0617 2,2557 2,4117 2,5476 2,6387 2,6465 2,5540 2,3753 2,1392 1,8724 1,5983 1,3314 1,0657 0,7810 0,4726 0,1713 -0,0701 -0,2028 -0,2013 -0,0761 0,1224 0,3177 0,4394 0,4541 0,3683 0,2125 0,0275 -0,1417 -0,2536 -0,2876 -0,2634 -0,2306 -0,2283 -0,2600 -0,3060 -0,3438 -0,3530 -0,3179 -0,2357 -0,1272 -0,0340 0,0026 -0,0388 -0,1605 -0,3494 -0,5695 -0,7674 -0,9074 -0,9966 -1,0622 -1,1110 -1,1214 -1,0674 -0,9429 -0,7605 -0,5348 -0,2709 0,0223 0,3097 0,5363 0,6650 0,6979 0,6655 0,6089 0,5599 0,5178 0,4456 0,2960 0,0449 -0,2982 -0,6992 -1,1124 -1,4876 -1,7737 -1,9291 -1,9340 -1,7996 -1,5659 -1,2904 -1,0307 -0,8284 -0,7054 -0,6658 -0,6960 -0,7725 -0,8763 -0,9998 -1,1445 -1,3111 -1,4813 -1,6149 -1,6645 -1,5902 -1,3756 -1,0489 -0,6754 -0,3215 -0,0284 0,1860 0,3169 0,3702 0,3575 0,2814 0,1320 -0,1009 -0,4165 -0,8053 -1,2569 -1,7583 -2,2791 -2,7651 -3,1599 -3,4346 -3,5895 -3,6303 -3,5516 -3,3491 -3,0480 -2,7120 -2,4152 -2,1988 -2,0568 -1,9612 -1,8948 -1,8613 -1,8668 -1,9040 -1,9660 -2,0707 -2,2520 -2,5247 -2,8629 -3,2152 -3,5355 -3,7958 -3,9797 -4,0733 -4,0645 -3,9529 -3,7575 -3,5037 -3,2011 -2,8513 -2,4852 -2,1686 -1,9565 -1,8612 -1,8717 -1,9752 -2,1502 -2,3575 -2,5474 -2,6724 -2,7074 -2,6704 -2,6160 -2,6002 -2,6496 -2,7630 -2,9352 -3,1767 -3,5086 -3,9380 -4,4318 -4,9124 -5,2869 -5,4922 -5,5185 -5,3991 -5,1883 -4,9477 -4,7288 -4,5576 -4,4405 -4,3790 -4,3685 -4,3974 -4,4587 -4,5501 -4,6605 -4,7691 -4,8573 -4,9161 -4,9507 -4,9781 -5,0178 -5,0844 -5,1862 -5,3194 -5,4612 -5,5732 -5,6231 -5,6104 -5,5696 -5,5454 -5,5598 -5,5941 -5,6037 -5,5526 -5,4342 -5,2668 -5,0747 -4,8775 -4,6956 -4,5549 -4,4764 -4,4569 -4,4716 -4,5027 -4,5536 -4,6231 -4,6796 -4,6747 -4,5725 -4,3671 -4,0878 -3,7975 -3,5809 -3,5093 -3,6017 -3,8159 -4,0734 -4,3014 -4,4686 -4,5987 -4,7462 -4,9523 -5,2148 -5,4956 -5,7491 -5,9408 -6,0527 -6,0793 -6,0190 -5,8708 -5,6401 -5,3435 -5,0005 -4,6262 -4,2367 -3,8605 -3,5291 -3,2531 -3,0213 -2,8323 -2,7156 -2,7083 -2,8189 -3,0135 -3,2276 -3,3938 -3,4676 -3,4367 -3,3192 -3,1592 -3,0222 -2,9788 -3,0767 -3,3189 -3,6612 -4,0338 -4,3788 -4,6739 -4,9244 -5,1370 -5,3091 -5,4306 -5,4884 -5,4710 -5,3653 -5,1553 -4,8313 -4,4027 -3,9063 -3,4061 -2,9753 -2,6691 -2,5039 -2,4519 -2,4638 -2,5063 -2,5848 -2,7400 -3,0197 -3,4374 -3,9533 -4,4968 -5,0078 -5,4607 -5,8638 -6,2438 -6,6248 -7,0094 -7,3696 -7,6602 -7,8452 -7,9183 -7,9034 -7,8350 -7,7376 -7,6251 -7,5153 -7,4386 -7,4269 -7,4920 -7,6182 -7,7735 -7,9176 -8,0038 -7,9973 -7,9018 -7,7561 -7,6014 -7,4608 -7,3491 -7,2830 -7,2723 -7,3068 -7,3612 -7,4100 -7,4352 -7,4277 -7,3899 -7,3368 -7,2902 -7,2706 -7,2895 -7,3381 -7,3800 -7,3697 -7,2911 -7,1746 -7,0676 -6,9923 -6,9318 -6,8490 -6,7172 -6,5372 -6,3305 -6,1190 -5,9109 -5,6971 -5,4638 -5,2151 -4,9796 -4,7906
