Fp1   2,5050 2,1939 1,8913 1,6304 1,4631 1,4418 1,5909 1,8837 2,2410 2,5643 2,7812 2,8658 2,8250 2,6758 2,4267 2,0716 1,6048 1,0526 0,4909 0,0132 -0,3288 -0,5406 -0,6453 -0,6631 -0,6341 -0,6266 -0,7059 -0,9024 -1,2035 -1,5581 -1,8968 -2,1613 -2,3173 -2,3536 -2,2827 -2,1293 -1,9124 -1,6437 -1,3379 -1,0198 -0,7352 -0,5567 -0,5517 -0,7287 -1,0198 -1,3193 -1,5407 -1,6483 -1,6539 -1,5955 -1,5114 -1,4237 -1,3413 -1,2717 -1,2272 -1,2253 -1,2802 -1,3873 -1,5076 -1,5733 -1,5168 -1,3116 -0,9920 -0,6304 -0,2936 -0,0156 0,1940 0,3259 0,3692 0,3367 0,2840 0,2938 0,4307 0,7038 1,0628 1,4154 1,6676 1,7720 1,7365 1,5832 1,3152 0,9390 0,4997 0,0704 -0,2813 -0,5032 -0,5580 -0,4360 -0,1623 0,2114 0,6212 1,0003 1,2849 1,4317 1,4416 1,3543 1,2090 1,0246 0,8215 0,6394 0,5196 0,4760 0,4913 0,5328 0,5728 0,6040 0,6384 0,6945 0,7833 0,8999 1,0315 1,1838 1,3913 1,6848 2,0493 2,4195 2,7124 2,8611 2,8268 2,6045 2,2336 1,7900 1,3554 0,9903 0,7287 0,5818 0,5437 0,6053 0,7645 1,0076 1,2842 1,5238 1,6753 1,7270 1,7068 1,6704 1,6714 1,7278 1,8160 1,8975 1,9557 2,0076 2,0755 2,1649 2,2811 2,4507 2,7065 3,0512 3,4461 3,8431 4,2243 4,6039 4,9953 5,3913 5,7778 6,1533 6,5216 6,8844 7,2593 7,6849 8,1919 8,7720 9,3754 9,9356 10,4006 10,7434 10,9540 11,0352 11,0077 10,9079 10,7724 10,6202 10,4525 10,2690 10,0793 9,8994 9,7439 9,6124 9,4786 9,3042 9,0688 8,7741 8,4303 8,0578 7,7025 7,4248 7,2570 7,1767 7,1295 7,0744 7,0033 6,9259 6,8478 6,7570 6,6189 6,3759 5,9674 5,3707 4,6305 3,8356 3,0744 2,4119 1,8825 1,4839 1,1873 0,9618 0,7948 0,6977 0,6904 0,7738 0,9219 1,1076 1,3251 1,5826 1,8842 2,2183 2,5635 2,8987 3,2005 3,4399 3,5943 3,6489 3,5833 3,3858 3,0847 2,7515 2,4711 2,3045 2,2822 2,4283 2,7612 3,2556 3,8230 4,3485 4,7425 4,9685 5,0401 4,9965 4,8693 4,6656 4,3839 4,0433 3,6935 3,3954 3,2000 3,1459 3,2524 3,5036 3,8528 4,2459 4,6377 4,9957 5,2926 5,5017 5,6075 5,6162 5,5374 5,3583 5,0601 4,6577 4,2042 3,7589 3,3588 3,0085 2,6831 2,3358 1,9134 1,3858 0,7671 0,1078 -0,5429 -1,1668 -1,7687 -2,3509 -2,9053 -3,4135 -3,8483 -4,1896 -4,4393 -4,6072 -4,6994 -4,7412 -4,8044 -4,9848 -5,3434 -5,8621 -6,4461 -6,9698 -7,3297 -7,4656 -7,3543 -7,0065 -6,4704 -5,8222 -5,1503 -4,5506 -4,1244 -3,9529 -4,0491 -4,3228 -4,6093 -4,7545 -4,6845 -4,4087 -3,9801 -3,4620 -2,9162 -2,4050 -1,9849 -1,6840 -1,4820 -1,3172 -1,1220 -0,8613 -0,5313 -0,1222 0,3956 1,0463 1,8160 2,6337 3,3849 3,9703 4,3584 4,5821 4,7031 4,7895 4,9102 5,1284 5,4807 5,9516 6,4706 6,9424 7,2819 7,4313 7,3600 7,0678 6,5943 6,0154 5,4226 4,8961 4,4823 4,1895 4,0047 3,8993 3,8304 3,7683 3,7194 3,7109 3,7593 3,8512 3,9448 3,9831 3,9130 3,7116 3,4022 3,0454 2,7103 2,4401 2,2358 2,0712 1,9159 1,7395 1,5134 1,2255 0,8869 0,5154 0,1184 -0,3061 -0,7610 -1,2446 -1,7372 -2,1912 -2,5493 -2,7752 -2,8656 -2,8316 -2,6875 -2,4629 -2,2102 -1,9835 -1,8127 -1,6927 -1,5962 -1,4974 -1,3826 -1,2450 -1,0776 -0,8739 -0,6390 -0,4042 -0,2248 -0,1521 -0,2033 -0,3549 -0,5545 -0,7397 -0,8605 -0,9009 -0,8819 -0,8372 -0,7807 -0,7019 -0,5933 -0,4693 -0,3580 -0,2795 -0,2309 -0,1846 -0,0935 0,0887 0,3744 0,7228 1,0587 1,3126 1,4405 1,4229 1,2725 1,0446 0,8305 0,7296 0,8137 1,0993 1,5436 2,0655 2,5751 2,9949 3,2719 3,3781 3,3046 3,0660 2,7080 2,2943 1,8777 1,4819 1,0988 0,7066 0,3019 -0,0884 -0,4271 -0,6811 -0,8229 -0,8352 -0,7202 -0,5091 -0,2592 -0,0364 0,1099 0,1755 0,2081 0,2727 0,4052 0,5938 0,7904 0,9397 1,0137 1,0273 1,0206 1,0410 1,1356 1,3342 1,6312 1,9891 2,3626 2,7198 3,0502 3,3619 3,6719 3,9931 4,3302 4,6824 5,0378 5,3638 5,6207 5,7882 5,8690 5,8694 5,7875 5,6163 5,3531 5,0109 4,6232 4,2273 3,8440 3,4810 3,1527 2,8819 2,6809 2,5386 2,4346 2,3599 2,3092 2,2600 2,1836 2,0880 2,0282 2,0566 2,1658 2,2927 2,3690 2,3652 2,2973 2,2009 2,1115 2,0649 2,0903 2,1968 2,3716 2,5894 2,8268 3,0742 3,3360 3,6130 3,8868 4,1272 4,3091 4,4149 4,4276 4,3350 4,1413 3,8635 3,5130 3,0872 2,5813 2,0144 1,4488 0,9706 0,6479 0,5185 0,5947 0,8504 1,2150 1,6048 1,9708 2,3273 2,7301 3,2214 3,7984 4,4243 5,0511 5,6398 6,1756 6,6684 7,1412 7,6146 8,0897 8,5408 8,9299 9,2224 9,3924 9,4329 9,3676 9,2431 9,1017 8,9642 8,8400 8,7363 8,6472 8,5525 8,4375 8,3038 8,1578 8,0053 7,8559 7,7120 7,5572 7,3736 7,1663 6,9578 6,7689 6,6170 6,5339 6,5658 6,7416 7,0421 7,4025 7,7403 7,9828 8,0906 8,0602 7,9018 7,6234 7,2413 6,7845 6,2846 5,7717 5,2797 4,8434 4,4826 4,1824 3,8992 3,5962 3,2682 2,9311 2,5998 2,2796 1,9692 1,6706 1,3970 1,1624 0,9724
Fz    3,5200 2,9729 2,4409 1,9578 1,5558 1,2670 1,1153 1,0978 1,1733 1,2766 1,3504 1,3644 1,3145 1,2126 1,0709 0,8930 0,6756 0,4230 0,1606 -0,0741 -0,2618 -0,4140 -0,5537 -0,6959 -0,8466 -1,0087 -1,1825 -1,3640 -1,5453 -1,7134 -1,8507 -1,9402 -1,9678 -1,9262 -1,8178 -1,6509 -1,4326 -1,1723 -0,8942 -0,6367 -0,4406 -0,3367 -0,3252 -0,3614 -0,3788 -0,3275 -0,1946 -0,0077 0,1768 0,3026 0,3479 0,3327 0,2919 0,2474 0,2076 0,1789 0,1694 0,1870 0,2413 0,3485 0,5314 0,8071 1,1704 1,5937 2,0397 2,4719 2,8555 3,1611 3,3695 3,4778 3,5087 3,5074 3,5146 3,5377 3,5477 3,4954 3,3382 3,0653 2,7040 2,2966 1,8774 1,4771 1,1389 0,9159 0,8497 0,9510 1,1915 1,5137 1,8565 2,1733 2,4268 2,5833 2,6207 2,5408 2,3784 2,1895 2,0189 1,8734 1,7319 1,5777 1,4150 1,2597 1,1334 1,0647 1,0745 1,1542 1,2669 1,3773 1,4750 1,5716 1,6814 1,8157 1,9885 2,2111 2,4786 2,7651 3,0349 3,2545 3,3956 3,4392 3,3853 3,2552 3,0803 2,8913 2,7127 2,5619 2,4569 2,4271 2,5073 2,7068 2,9893 3,2904 3,5498 3,7317 3,8332 3,8863 3,9427 4,0387 4,1744 4,3259 4,4679 4,5872 4,6842 4,7710 4,8766 5,0463 5,3171 5,6938 6,1534 6,6652 7,2081 7,7761 8,3638 8,9474 9,4924 9,9793 10,4136 10,8190 11,2310 11,6829 12,1801 12,6904 13,1591 13,5358 13,7909 13,9173 13,9289 13,8533 13,7190 13,5485 13,3613 13,1727 12,9896 12,8117 12,6395 12,4758 12,3197 12,1552 11,9510 11,6800 11,3406 10,9581 10,5665 10,1921 9,8550 9,5720 9,3426 9,1405 8,9310 8,6972 8,4505 8,2163 8,0101 7,8280 7,6445 7,4064 7,0421 6,5039 5,8105 5,0366 4,2654 3,5571 2,9457 2,4437 2,0525 1,7742 1,6104 1,5516 1,5682 1,6206 1,6886 1,7924 1,9757 2,2682 2,6685 3,1477 3,6595 4,1538 4,5864 4,9271 5,1696 5,3306 5,4329 5,4929 5,5239 5,5436 5,5722 5,6256 5,7173 5,8631 6,0698 6,3172 6,5579 6,7404 6,8344 6,8370 6,7676 6,6579 6,5325 6,3993 6,2595 6,1252 6,0186 5,9528 5,9247 5,9308 5,9764 6,0622 6,1732 6,2886 6,4014 6,5282 6,6920 6,8933 7,1070 7,3026 7,4478 7,5007 7,4286 7,2366 6,9642 6,6543 6,3284 5,9806 5,5889 5,1313 4,5915 3,9621 3,2538 2,5012 1,7447 1,0067 0,2921 -0,3998 -1,0682 -1,7058 -2,2933 -2,8041 -3,2130 -3,5031 -3,6769 -3,7648 -3,8201 -3,8971 -4,0219 -4,1783 -4,3252 -4,4282 -4,4731 -4,4548 -4,3557 -4,1423 -3,7844 -3,2788 -2,6649 -2,0285 -1,4860 -1,1482 -1,0733 -1,2323 -1,5196 -1,8074 -2,0042 -2,0706 -1,9931 -1,7586 -1,3605 -0,8174 -0,1764 0,5042 1,1844 1,8626 2,5609 3,2899 4,0424 4,8138 5,6060 6,4149 7,2246 8,0049 8,7102 9,3002 9,7644 10,1200 10,3922 10,6024 10,7617 10,8703 10,9191 10,8927 10,7764 10,5666 10,2768 9,9334 9,5677 9,2126 8,8980 8,6392 8,4333 8,2632 8,0975 7,9056 7,6830 7,4498 7,2307 7,0538 6,9517 6,9386 6,9851 7,0271 7,0030 6,8820 6,6635 6,3629 5,9988 5,5917 5,1671 4,7530 4,3610 3,9694 3,5304 2,9948 2,3411 1,5957 0,8262 0,1048 -0,5248 -1,0527 -1,4929 -1,8672 -2,1877 -2,4514 -2,6486 -2,7761 -2,8406 -2,8520 -2,8153 -2,7333 -2,6116 -2,4651 -2,3175 -2,1845 -2,0642 -1,9444 -1,8075 -1,6261 -1,3705 -1,0277 -0,6168 -0,1922 0,1728 0,4164 0,5104 0,4644 0,3185 0,1233 -0,0793 -0,2625 -0,4141 -0,5267 -0,5807 -0,5481 -0,4214 -0,2279 -0,0096 0,2048 0,4094 0,6178 0,8501 1,1148 1,3976 1,6671 1,8970 2,0794 2,2126 2,2847 2,2813 2,2078 2,0977 2,0008 1,9595 1,9891 2,0774 2,1997 2,3291 2,4395 2,5046 2,4962 2,3859 2,1585 1,8223 1,4002 0,9168 0,3965 -0,1353 -0,6535 -1,1330 -1,5538 -1,9094 -2,2115 -2,4835 -2,7398 -2,9662 -3,1236 -3,1736 -3,0985 -2,9008 -2,5907 -2,1814 -1,7001 -1,1908 -0,7041 -0,2858 0,0380 0,2794 0,4844 0,6997 0,9474 1,2332 1,5549 1,8983 2,2402 2,5663 2,8822 3,2097 3,5765 4,0028 4,4925 5,0348 5,6089 6,1783 6,6871 7,0837 7,3478 7,4853 7,5080 7,4296 7,2681 7,0387 6,7507 6,4140 6,0466 5,6726 5,3139 4,9806 4,6679 4,3613 4,0454 3,7157 3,3910 3,1063 2,8905 2,7587 2,7235 2,7987 2,9795 3,2250 3,4696 3,6556 3,7624 3,8161 3,8629 3,9372 4,0556 4,2227 4,4314 4,6657 4,9053 5,1288 5,3181 5,4664 5,5797 5,6652 5,7203 5,7319 5,6792 5,5390 5,2979 4,9627 4,5563 4,1012 3,6156 3,1216 2,6540 2,2650 2,0085 1,9083 1,9479 2,0840 2,2605 2,4267 2,5571 2,6631 2,7936 3,0214 3,4089 3,9789 4,7123 5,5649 6,4782 7,3872 8,2315 8,9730 9,6079 10,1582 10,6526 11,1078 11,5150 11,8395 12,0429 12,1102 12,0552 11,9060 11,6930 11,4463 11,1890 10,9300 10,6694 10,4129 10,1719 9,9533 9,7605 9,5999 9,4727 9,3652 9,2620 9,1623 9,0744 8,9987 8,9285 8,8657 8,8240 8,8149 8,8384 8,8847 8,9412 8,9945 9,0260 9,0077 8,9047 8,6856 8,3379 7,8715 7,3075 6,6673 5,9778 5,2855 4,6483 4,0972 3,6216 3,1996 2,8252 2,4984 2,2082 1,9349 1,6626 1,3968 1,1678 1,0088 0,9325
F3    3,1872 2,7826 2,4212 2,1154 1,8958 1,8095 1,8896 2,1211 2,4403 2,7682 3,0408 3,2210 3,2982 3,2804 3,1724 2,9574 2,6060 2,1144 1,5352 0,9580 0,4554 0,0560 -0,2378 -0,4340 -0,5598 -0,6667 -0,8160 -1,0600 -1,4229 -1,8799 -2,3611 -2,7848 -3,0861 -3,2273 -3,2054 -3,0444 -2,7735 -2,4185 -2,0113 -1,6038 -1,2705 -1,0891 -1,1023 -1,2864 -1,5581 -1,8203 -2,0087 -2,1085 -2,1426 -2,1463 -2,1428 -2,1328 -2,1053 -2,0534 -1,9773 -1,8830 -1,7829 -1,6888 -1,5929 -1,4597 -1,2443 -0,9270 -0,5304 -0,1052 0,2967 0,6376 0,8954 1,0537 1,1000 1,0450 0,9436 0,8785 0,9116 1,0562 1,2833 1,5367 1,7508 1,8787 1,9052 1,8310 1,6558 1,3936 1,0955 0,8360 0,6781 0,6574 0,7783 1,0162 1,3337 1,6934 2,0568 2,3808 2,6227 2,7532 2,7730 2,7107 2,5957 2,4386 2,2369 1,9957 1,7366 1,4900 1,2812 1,1206 1,0028 0,9179 0,8615 0,8360 0,8489 0,9077 1,0130 1,1667 1,3832 1,6796 2,0509 2,4570 2,8341 3,1164 3,2519 3,2138 3,0159 2,7073 2,3435 1,9673 1,6123 1,3083 1,0820 0,9620 0,9783 1,1373 1,3982 1,6891 1,9431 2,1202 2,2144 2,2516 2,2758 2,3242 2,4064 2,5057 2,6025 2,6954 2,7953 2,9130 3,0613 3,2622 3,5377 3,8888 4,2898 4,7097 5,1374 5,5804 6,0453 6,5260 7,0110 7,4956 7,9785 8,4585 8,9501 9,4828 10,0684 10,6774 11,2459 11,7046 12,0086 12,1480 12,1431 12,0389 11,8945 11,7636 11,6805 11,6550 11,6716 11,6998 11,7110 11,6883 11,6244 11,5141 11,3436 11,1006 10,7956 10,4584 10,1129 9,7672 9,4317 9,1309 8,8847 8,6829 8,4862 8,2516 7,9596 7,6206 7,2575 6,8868 6,5089 6,1014 5,6233 5,0455 4,3830 3,6896 3,0200 2,4092 1,8751 1,4233 1,0499 0,7488 0,5179 0,3597 0,2739 0,2520 0,2876 0,3910 0,5830 0,8762 1,2616 1,7083 2,1723 2,6084 2,9734 3,2310 3,3678 3,3899 3,3019 3,1124 2,8556 2,5883 2,3690 2,2345 2,1939 2,2461 2,3932 2,6257 2,9079 3,1891 3,4261 3,5938 3,6872 3,7144 3,6831 3,5945 3,4500 3,2641 3,0685 2,8982 2,7801 2,7436 2,8206 3,0226 3,3290 3,6965 4,0778 4,4389 4,7590 5,0191 5,2055 5,3230 5,3822 5,3714 5,2666 5,0678 4,8043 4,5098 4,2031 3,8867 3,5454 3,1429 2,6330 1,9910 1,2382 0,4346 -0,3563 -1,0974 -1,7729 -2,3700 -2,8765 -3,2858 -3,5980 -3,8233 -3,9814 -4,0847 -4,1349 -4,1497 -4,1835 -4,3009 -4,5310 -4,8453 -5,1719 -5,4300 -5,5658 -5,5595 -5,4089 -5,1188 -4,7063 -4,2061 -3,6681 -3,1577 -2,7538 -2,5268 -2,4996 -2,6184 -2,7701 -2,8435 -2,7747 -2,5429 -2,1552 -1,6436 -1,0592 -0,4617 0,0928 0,5711 0,9746 1,3323 1,6813 2,0454 2,4335 2,8609 3,3537 3,9316 4,5911 5,2942 5,9766 6,5845 7,1013 7,5346 7,8953 8,1966 8,4589 8,7070 8,9566 9,2009 9,4113 9,5532 9,5972 9,5193 9,3066 8,9710 8,5524 8,1036 7,6707 7,2792 6,9264 6,5946 6,2812 6,0037 5,7814 5,6334 5,5781 5,6150 5,7175 5,8435 5,9498 5,9996 5,9665 5,8420 5,6383 5,3826 5,1043 4,8165 4,5071 4,1520 3,7339 3,2445 2,6904 2,1060 1,5455 1,0524 0,6441 0,3229 0,0835 -0,0909 -0,2209 -0,3155 -0,3705 -0,3795 -0,3366 -0,2327 -0,0648 0,1450 0,3489 0,4929 0,5417 0,4960 0,3927 0,2857 0,2246 0,2413 0,3458 0,5292 0,7649 1,0068 1,1952 1,2773 1,2282 1,0552 0,7891 0,4764 0,1701 -0,0847 -0,2612 -0,3495 -0,3473 -0,2555 -0,0862 0,1321 0,3621 0,5726 0,7550 0,9273 1,1223 1,3685 1,6725 2,0091 2,3319 2,5972 2,7706 2,8235 2,7473 2,5737 2,3718 2,2223 2,1843 2,2706 2,4469 2,6516 2,8250 2,9335 2,9750 2,9603 2,8942 2,7792 2,6263 2,4493 2,2522 2,0304 1,7722 1,4622 1,1007 0,7139 0,3355 -0,0132 -0,3229 -0,5805 -0,7630 -0,8520 -0,8532 -0,7939 -0,7029 -0,5851 -0,4170 -0,1741 0,1380 0,4770 0,7828 1,0070 1,1364 1,1957 1,2301 1,2944 1,4442 1,7131 2,0948 2,5546 3,0497 3,5402 3,9986 4,4186 4,8121 5,1929 5,5714 5,9518 6,3186 6,6295 6,8396 6,9338 6,9275 6,8419 6,6911 6,4822 6,2194 5,9096 5,5710 5,2293 4,9032 4,6008 4,3295 4,0965 3,8928 3,6895 3,4593 3,1950 2,9017 2,5797 2,2377 1,9192 1,6948 1,6098 1,6436 1,7223 1,7675 1,7427 1,6643 1,5746 1,5139 1,5160 1,6036 1,7795 2,0255 2,3077 2,5838 2,8178 2,9959 3,1238 3,2112 3,2634 3,2813 3,2604 3,1925 3,0737 2,9096 2,7042 2,4487 2,1254 1,7251 1,2702 0,8294 0,4941 0,3340 0,3766 0,6095 0,9852 1,4325 1,8805 2,2901 2,6771 3,0983 3,6000 4,1864 4,8293 5,4887 6,1277 6,7234 7,2716 7,7847 8,2825 8,7773 9,2656 9,7289 10,1376 10,4609 10,6855 10,8246 10,9021 10,9271 10,8885 10,7720 10,5697 10,2772 9,9008 9,4708 9,0334 8,6259 8,2696 7,9773 7,7449 7,5395 7,3173 7,0522 6,7444 6,4118 6,0873 5,8236 5,6828 5,7043 5,8813 6,1666 6,4956 6,8087 7,0631 7,2261 7,2651 7,1554 6,8975 6,5132 6,0279 5,4679 4,8729 4,3001 3,8022 3,3899 3,0255 2,6639 2,2924 1,9243 1,5741 1,2484 0,9534 0,7063 0,5373 0,4744 0,5272
F7    2,7020 2,4139 2,1633 1,9941 1,9515 2,0663 2,3401 2,7360 3,1766 3,5686 3,8465 3,9919 4,0119 3,9083 3,6643 3,2564 2,6845 1,9980 1,2951 0,6852 0,2337 -0,0558 -0,2129 -0,2811 -0,3232 -0,4130 -0,6051 -0,9149 -1,3179 -1,7570 -2,1575 -2,4533 -2,6073 -2,6221 -2,5376 -2,4084 -2,2739 -2,1478 -2,0309 -1,9242 -1,8439 -1,8344 -1,9447 -2,1772 -2,4750 -2,7621 -2,9891 -3,1426 -3,2266 -3,2490 -3,2156 -3,1290 -2,9984 -2,8474 -2,7105 -2,6208 -2,5957 -2,6229 -2,6600 -2,6517 -2,5534 -2,3545 -2,0883 -1,8141 -1,5810 -1,4066 -1,2938 -1,2593 -1,3239 -1,4713 -1,6253 -1,6780 -1,5523 -1,2480 -0,8397 -0,4389 -0,1388 0,0303 0,0936 0,0818 0,0008 -0,1476 -0,3378 -0,5290 -0,6825 -0,7576 -0,7101 -0,5168 -0,1958 0,2019 0,6169 0,9941 1,2865 1,4683 1,5508 1,5672 1,5305 1,4206 1,2213 0,9570 0,6839 0,4472 0,2576 0,1050 -0,0172 -0,1031 -0,1425 -0,1290 -0,0641 0,0363 0,1498 0,2728 0,4316 0,6500 0,9110 1,1602 1,3440 1,4345 1,4210 1,2993 1,0852 0,8205 0,5562 0,3341 0,1813 0,1090 0,1098 0,1668 0,2677 0,3948 0,5109 0,5748 0,5669 0,4937 0,3864 0,2952 0,2596 0,2760 0,3016 0,2931 0,2460 0,2027 0,2192 0,3270 0,5338 0,8459 1,2657 1,7641 2,2770 2,7414 3,1421 3,5182 3,9211 4,3694 4,8521 5,3542 5,8602 6,3514 6,8260 7,3054 7,8046 8,3089 8,7816 9,1894 9,5215 9,7890 10,0077 10,1856 10,3222 10,4116 10,4380 10,3750 10,2019 9,9287 9,6038 9,2973 9,0746 8,9654 8,9440 8,9478 8,9179 8,8185 8,6310 8,3602 8,0516 7,7755 7,5728 7,4234 7,2740 7,0891 6,8728 6,6471 6,4249 6,1989 5,9348 5,5702 5,0384 4,3189 3,4691 2,5953 1,8015 1,1615 0,7063 0,4170 0,2416 0,1298 0,0575 0,0308 0,0649 0,1524 0,2641 0,3856 0,5324 0,7254 0,9727 1,2670 1,5857 1,8948 2,1530 2,3208 2,3743 2,3032 2,0957 1,7476 1,2920 0,8091 0,4014 0,1506 0,0962 0,2458 0,5841 1,0629 1,5936 2,0688 2,3991 2,5459 2,5319 2,4235 2,2897 2,1603 2,0202 1,8430 1,6300 1,4145 1,2463 1,1782 1,2457 1,4422 1,7204 2,0221 2,3036 2,5388 2,7097 2,7997 2,7966 2,6962 2,4923 2,1655 1,7030 1,1335 0,5287 -0,0268 -0,4657 -0,7591 -0,9291 -1,0461 -1,2061 -1,4893 -1,9185 -2,4539 -3,0346 -3,6239 -4,2128 -4,7993 -5,3749 -5,9148 -6,3769 -6,7276 -6,9651 -7,1094 -7,1855 -7,2324 -7,3146 -7,5011 -7,8277 -8,2735 -8,7647 -9,2004 -9,4927 -9,5906 -9,4770 -9,1589 -8,6679 -8,0602 -7,4124 -6,8212 -6,3924 -6,2068 -6,2726 -6,4962 -6,7165 -6,7886 -6,6501 -6,3192 -5,8493 -5,2944 -4,7105 -4,1679 -3,7378 -3,4564 -3,2990 -3,1873 -3,0368 -2,8098 -2,5067 -2,1126 -1,5847 -0,8921 -0,0547 0,8456 1,6864 2,3622 2,8319 3,1144 3,2598 3,3323 3,4049 3,5526 3,8269 4,2250 4,6901 5,1429 5,5133 5,7476 5,8046 5,6640 5,3465 4,9138 4,4485 4,0278 3,7001 3,4781 3,3540 3,2999 3,2654 3,2077 3,1238 3,0382 2,9660 2,8920 2,7823 2,6069 2,3544 2,0369 1,6844 1,3365 1,0361 0,8175 0,6883 0,6331 0,6314 0,6616 0,6913 0,6818 0,6051 0,4517 0,2236 -0,0721 -0,4270 -0,8298 -1,2514 -1,6316 -1,8978 -2,0039 -1,9531 -1,7785 -1,5131 -1,1895 -0,8528 -0,5531 -0,3194 -0,1464 -0,0113 0,0988 0,1829 0,2409 0,2793 0,3059 0,3209 0,3098 0,2473 0,1200 -0,0598 -0,2613 -0,4432 -0,5598 -0,5768 -0,4947 -0,3573 -0,2225 -0,1157 -0,0175 0,1028 0,2490 0,3933 0,4991 0,5404 0,5182 0,4737 0,4788 0,5940 0,8255 1,1197 1,3938 1,5711 1,6007 1,4747 1,2387 0,9846 0,8268 0,8613 1,1200 1,5577 2,0836 2,5979 3,0085 3,2453 3,2725 3,0832 2,7016 2,1967 1,6698 1,2078 0,8484 0,5789 0,3641 0,1840 0,0441 -0,0448 -0,0770 -0,0427 0,0738 0,2825 0,5668 0,8703 1,1087 1,2097 1,1627 1,0326 0,9098 0,8477 0,8454 0,8719 0,8953 0,9081 0,9287 0,9769 1,0598 1,1848 1,3671 1,6143 1,9127 2,2351 2,5571 2,8665 3,1644 3,4572 3,7459 4,0223 4,2764 4,4938 4,6457 4,7031 4,6640 4,5491 4,3734 4,1358 3,8312 3,4619 3,0459 2,6174 2,2096 1,8365 1,4993 1,2019 0,9513 0,7512 0,6036 0,5200 0,5218 0,6138 0,7570 0,8890 0,9776 1,0441 1,1244 1,2169 1,2780 1,2586 1,1401 0,9446 0,7138 0,4892 0,3150 0,2370 0,2816 0,4363 0,6516 0,8702 1,0608 1,2276 1,3920 1,5678 1,7545 1,9436 2,1192 2,2526 2,3093 2,2684 2,1264 1,8829 1,5343 1,0830 0,5571 0,0341 -0,3769 -0,5881 -0,5576 -0,2899 0,1550 0,6695 1,1511 1,5607 1,9364 2,3517 2,8465 3,3952 3,9312 4,3900 4,7447 5,0217 5,2860 5,6059 6,0192 6,5111 7,0193 7,4705 7,8142 8,0307 8,1264 8,1296 8,0833 8,0282 7,9837 7,9488 7,9135 7,8598 7,7647 7,6148 7,4123 7,1636 6,8797 6,5866 6,3128 6,0639 5,8236 5,5762 5,3167 5,0486 4,7884 4,5751 4,4661 4,5098 4,7133 5,0316 5,3860 5,6973 5,9179 6,0404 6,0705 6,0058 5,8431 5,5872 5,2453 4,8279 4,3645 3,9084 3,5077 3,1668 2,8489 2,5206 2,1854 1,8728 1,6058 1,3827 1,1842 0,9945 0,8107 0,6337 0,4631
