Fp1   2,1154 1,8432 1,5358 1,1984 0,8473 0,5025 0,1781 -0,1210 -0,3964 -0,6553 -0,9086 -1,1634 -1,4157 -1,6489 -1,8392 -1,9621 -2,0020 -1,9627 -1,8614 -1,7077 -1,4951 -1,2131 -0,8608 -0,4513 -0,0125 0,4182 0,8102 1,1531 1,4475 1,6891 1,8653 1,9608 1,9612 1,8577 1,6569 1,3880 1,0946 0,8153 0,5750 0,3868 0,2520 0,1550 0,0637 -0,0591 -0,2417 -0,4916 -0,7968 -1,1372 -1,4968 -1,8707 -2,2571 -2,6412 -2,9876 -3,2487 -3,3807 -3,3616 -3,1987 -2,9207 -2,5619 -2,1519 -1,7124 -1,2598 -0,8078 -0,3690 0,0451 0,4248 0,7676 1,0820 1,3844 1,6898 2,0020 2,3096 2,5926 2,8299 3,0033 3,1006 3,1230 3,0869 3,0190 2,9426 2,8656 2,7832 2,6863 2,5645 2,4084 2,2189 2,0110 1,8085 1,6303 1,4777 1,3323 1,1659 0,9555 0,6915 0,3762 0,0217 -0,3501 -0,7127 -1,0501 -1,3691 -1,6971 -2,0676 -2,5038 -3,0076 -3,5525 -4,0871 -4,5541 -4,9154 -5,1632 -5,3101 -5,3763 -5,3838 -5,3546 -5,3069 -5,2482 -5,1669 -5,0343 -4,8248 -4,5344 -4,1799 -3,7811 -3,3489 -2,8863 -2,3911 -1,8549 -1,2657 -0,6133 0,1091 0,9046 1,7698 2,6906 3,6450 4,6059 5,5394 6,4110 7,1996 7,9051 8,5378 9,1021 9,5879 9,9749 10,2443 10,3878 10,4055 10,3026 10,0948 9,8075 9,4629 9,0737 8,6510 8,2131 7,7795 7,3569 6,9381 6,5146 6,0944 5,7077 5,3968 5,1981 5,1273 5,1753 5,3168 5,5247 5,7791 6,0715 6,4023 6,7720 7,1725 7,5877 7,9993 8,3855 8,7169 8,9603 9,0899 9,0958 8,9842 8,7733 8,4886 8,1554 7,7925 7,4070 6,9962 6,5543 6,0777 5,5637 5,0089 4,4091 3,7596 3,0585 2,3118 1,5358 0,7529 -0,0112 -0,7294 -1,3792 -1,9514 -2,4531 -2,9028 -3,3206 -3,7198 -4,1027 -4,4609 -4,7837 -5,0683 -5,3210 -5,5462 -5,7344 -5,8643 -5,9148 -5,8763 -5,7566 -5,5824 -5,3936 -5,2230 -5,0793 -4,9480 -4,8066 -4,6360 -4,4236 -4,1625 -3,8528 -3,5028 -3,1263 -2,7387 -2,3524 -1,9740 -1,6091 -1,2720 -0,9870 -0,7767 -0,6500 -0,5985 -0,5988 -0,6175 -0,6221 -0,5932 -0,5269 -0,4302 -0,3123 -0,1786 -0,0338 0,1058 0,2065 0,2282 0,1500 -0,0149 -0,2303 -0,4552 -0,6520 -0,7927 -0,8672 -0,8894 -0,8903 -0,9025 -0,9423 -1,0059 -1,0806 -1,1585 -1,2409 -1,3364 -1,4553 -1,6003 -1,7597 -1,9106 -2,0242 -2,0697 -2,0217 -1,8698 -1,6227 -1,3049 -0,9482 -0,5837 -0,2407 0,0531 0,2821 0,4531 0,5915 0,7286 0,8876 1,0740 1,2729 1,4568 1,6013 1,6981 1,7599 1,8169 1,9032 2,0405 2,2304 2,4585 2,7047 2,9559 3,2115 3,4739 3,7384 3,9964 4,2383 4,4516 4,6233 4,7459 4,8134 4,8139 4,7313 4,5590 4,3149 4,0434 3,7994 3,6218 3,5184 3,4735 3,4639 3,4654 3,4514 3,3955 3,2810 3,1108 2,9080 2,7031 2,5208 2,3747 2,2685 2,1972 2,1497 2,1158 2,0913 2,0812 2,1011 2,1750 2,3272 2,5708 2,8998 3,2894 3,7012 4,0902 4,4142 4,6426 4,7628 4,7809 4,7128 4,5747 4,3756 4,1113 3,7624 3,3046 2,7256 2,0388 1,2842 0,5126 -0,2303 -0,9076 -1,4897 -1,9562 -2,2970 -2,5148 -2,6268 -2,6618 -2,6497 -2,6116 -2,5547 -2,4730 -2,3601 -2,2257 -2,1019 -2,0320 -2,0456 -2,1387 -2,2764 -2,4120 -2,5052 -2,5309 -2,4809 -2,3618 -2,1919 -1,9936 -1,7790 -1,5428 -1,2703 -0,9534 -0,5991 -0,2238 0,1546 0,5157 0,8322 1,0725 1,2112 1,2458 1,2053 1,1369 1,0863 1,0798 1,1147 1,1610 1,1789 1,1432 1,0572 0,9516 0,8659 0,8248 0,8285 0,8612 0,9065 0,9611 1,0384 1,1565 1,3266 1,5486 1,8131 2,1046 2,4046 2,6919 2,9419 3,1302 3,2382 3,2595 3,2045 3,0999 2,9812 2,8816 2,8240 2,8175 2,8594 2,9418 3,0546 3,1863 3,3248 3,4572 3,5654 3,6244 3,6120 3,5217 3,3690 3,1901 3,0332 2,9423 2,9433 3,0400 3,2200 3,4668 3,7694 4,1202 4,5008 4,8741 5,1958 5,4383 5,6027 5,7080 5,7739 5,8122 5,8305 5,8335 5,8180 5,7717 5,6829 5,5501 5,3824 5,1999 5,0301 4,8999 4,8296 4,8287 4,8916 4,9971 5,1151 5,2191 5,2935 5,3337 5,3420 5,3249 5,2939 5,2657 5,2567 5,2716 5,2947 5,2985 5,2654 5,2038 5,1467 5,1385 5,2185 5,4032 5,6770 6,0008 6,3307 6,6304 6,8748 7,0481 7,1401 7,1444 7,0610 6,8925 6,6373 6,2891 5,8477 5,3245 4,7424 4,1345 3,5446 3,0274 2,6412 2,4268 2,3886 2,4997 2,7256 3,0419 3,4374 3,9122 4,4750 5,1384 5,9084 6,7699 7,6806 8,5802 9,4111 10,1360 10,7444 11,2488 11,6719 12,0315 12,3321 12,5670 12,7238 12,7868 12,7374 12,5572 12,2340 11,7709 11,1926 10,5425 9,8699 9,2129 8,5875 7,9851 7,3807 6,7434 6,0506 5,2977 4,5009 3,6919 2,9085 2,1797 1,5141 0,8993 0,3151 -0,2519 -0,8006 -1,3145 -1,7651 -2,1165 -2,3327 -2,3891 -2,2845 -2,0463 -1,7220 -1,3624 -1,0092 -0,6882 -0,4070 -0,1595 0,0617 0,2604 0,4408 0,6095 0,7682 0,9073 1,0123 1,0792 1,1191 1,1497 1,1832 1,2222 1,2595 1,2792 1,2604 1,1813 1,0246 0,7867 0,4804 0,1263 -0,2588 -0,6692 -1,1056 -1,5625 -2,0223 -2,4616 -2,8649 -3,2312 -3,5699 -3,8901 -4,1954 -4,4858 -4,7616 -5,0258 -5,2834 -5,5367 -5,7818 -6,0082 -6,2016 -6,3516 -6,4571 -6,5228
Fz    4,7435 4,2791 3,7666 3,2234 2,6654 2,1058 1,5539 1,0136 0,4845 -0,0369 -0,5540 -1,0653 -1,5594 -2,0133 -2,3946 -2,6690 -2,8098 -2,8025 -2,6447 -2,3448 -1,9254 -1,4230 -0,8817 -0,3448 0,1503 0,5772 0,9265 1,2035 1,4176 1,5721 1,6617 1,6760 1,6022 1,4308 1,1667 0,8376 0,4872 0,1587 -0,1156 -0,3200 -0,4587 -0,5557 -0,6477 -0,7730 -0,9577 -1,2077 -1,5134 -1,8587 -2,2264 -2,6005 -2,9638 -3,2938 -3,5597 -3,7253 -3,7570 -3,6338 -3,3545 -2,9358 -2,4032 -1,7844 -1,1038 -0,3808 0,3670 1,1173 1,8425 2,5183 3,1333 3,6919 4,2106 4,7076 5,1909 5,6541 6,0783 6,4376 6,7075 6,8780 6,9601 6,9791 6,9593 6,9132 6,8397 6,7298 6,5717 6,3551 6,0771 5,7489 5,3957 5,0488 4,7330 4,4565 4,2067 3,9577 3,6830 3,3640 2,9937 2,5773 2,1305 1,6747 1,2275 0,7928 0,3578 -0,1008 -0,6010 -1,1431 -1,7030 -2,2368 -2,6959 -3,0448 -3,2668 -3,3632 -3,3488 -3,2453 -3,0747 -2,8557 -2,5977 -2,2930 -1,9243 -1,4854 -0,9953 -0,4941 -0,0263 0,3775 0,7127 1,0057 1,3129 1,7069 2,2539 2,9958 3,9457 5,0892 6,3861 7,7771 9,1923 10,5623 11,8328 12,9757 13,9890 14,8855 15,6787 16,3688 16,9393 17,3646 17,6235 17,7073 17,6242 17,4021 17,0809 16,6965 16,2721 15,8196 15,3456 14,8554 14,3544 13,8512 13,3616 12,9104 12,5292 12,2506 12,0986 12,0787 12,1766 12,3675 12,6276 12,9404 13,3011 13,7176 14,2033 14,7618 15,3761 16,0101 16,6181 17,1562 17,5904 17,9007 18,0823 18,1428 18,0955 17,9508 17,7160 17,3942 16,9811 16,4649 15,8353 15,0929 14,2524 13,3374 12,3740 11,3837 10,3795 9,3663 8,3440 7,3115 6,2782 5,2715 4,3276 3,4740 2,7207 2,0615 1,4836 0,9724 0,5117 0,0847 -0,3236 -0,7279 -1,1432 -1,5778 -2,0205 -2,4385 -2,7875 -3,0293 -3,1461 -3,1457 -3,0540 -2,8977 -2,6902 -2,4297 -2,1083 -1,7167 -1,2474 -0,7001 -0,0861 0,5729 1,2498 1,9145 2,5365 3,0895 3,5524 3,9090 4,1490 4,2740 4,2993 4,2493 4,1509 4,0307 3,9124 3,8132 3,7399 3,6884 3,6480 3,6065 3,5525 3,4725 3,3495 3,1657 2,9151 2,6124 2,2861 1,9658 1,6737 1,4221 1,2147 1,0491 0,9211 0,8273 0,7657 0,7336 0,7260 0,7368 0,7588 0,7809 0,7873 0,7652 0,7164 0,6616 0,6350 0,6727 0,7967 1,0074 1,2898 1,6250 1,9941 2,3757 2,7442 3,0751 3,3535 3,5797 3,7674 3,9357 4,1004 4,2683 4,4374 4,6046 4,7736 4,9577 5,1791 5,4642 5,8337 6,2919 6,8234 7,3961 7,9707 8,5146 9,0110 9,4571 9,8591 10,2290 10,5805 10,9205 11,2456 11,5446 11,8003 11,9881 12,0805 12,0614 11,9395 11,7512 11,5458 11,3621 11,2111 11,0773 10,9318 10,7479 10,5087 10,2070 9,8461 9,4401 9,0096 8,5751 8,1528 7,7526 7,3796 7,0347 6,7181 6,4308 6,1753 5,9589 5,7953 5,7031 5,6988 5,7886 5,9648 6,2078 6,4904 6,7848 7,0675 7,3210 7,5334 7,7008 7,8272 7,9187 7,9707 7,9565 7,8324 7,5570 7,1114 6,5111 5,8049 5,0572 4,3282 3,6615 3,0805 2,5905 2,1856 1,8515 1,5684 1,3166 1,0832 0,8642 0,6644 0,4908 0,3444 0,2167 0,0931 -0,0427 -0,1998 -0,3692 -0,5232 -0,6258 -0,6450 -0,5632 -0,3821 -0,1190 0,2014 0,5539 0,9202 1,2966 1,6886 2,0977 2,5114 2,9064 3,2540 3,5249 3,6958 3,7566 3,7134 3,5881 3,4095 3,2030 2,9865 2,7719 2,5625 2,3526 2,1386 1,9326 1,7646 1,6739 1,6965 1,8534 2,1451 2,5526 3,0418 3,5717 4,1024 4,5999 5,0395 5,4114 5,7201 5,9769 6,1854 6,3341 6,3990 6,3519 6,1714 5,8546 5,4255 4,9315 4,4305 3,9769 3,6123 3,3590 3,2175 3,1685 3,1817 3,2247 3,2700 3,2989 3,3028 3,2815 3,2385 3,1778 3,1071 3,0419 3,0062 3,0290 3,1392 3,3594 3,7029 4,1711 4,7513 5,4162 6,1254 6,8327 7,4974 8,0934 8,6114 9,0561 9,4377 9,7629 10,0312 10,2339 10,3537 10,3668 10,2515 9,9956 9,6029 9,0974 8,5214 7,9263 7,3623 6,8675 6,4593 6,1340 5,8752 5,6620 5,4771 5,3142 5,1809 5,0920 5,0596 5,0861 5,1612 5,2639 5,3660 5,4430 5,4875 5,5165 5,5671 5,6837 5,9030 6,2403 6,6827 7,1937 7,7270 8,2384 8,6940 9,0717 9,3547 9,5272 9,5777 9,4997 9,2854 8,9246 8,4149 7,7710 7,0231 6,2156 5,4052 4,6555 4,0262 3,5597 3,2718 3,1565 3,1953 3,3680 3,6628 4,0831 4,6436 5,3572 6,2200 7,2001 8,2367 9,2517 10,1731 10,9569 11,5929 12,0948 12,4828 12,7725 12,9755 13,1002 13,1463 13,1017 12,9485 12,6723 12,2726 11,7692 11,1999 10,6086 10,0298 9,4756 8,9312 8,3628 7,7323 7,0121 6,1911 5,2774 4,2992 3,2993 2,3236 1,4086 0,5755 -0,1711 -0,8382 -1,4363 -1,9705 -2,4349 -2,8128 -3,0816 -3,2169 -3,2012 -3,0331 -2,7311 -2,3276 -1,8604 -1,3671 -0,8798 -0,4200 0,0005 0,3717 0,6834 0,9315 1,1197 1,2529 1,3292 1,3402 1,2807 1,1591 0,9958 0,8103 0,6089 0,3833 0,1181 -0,1980 -0,5643 -0,9668 -1,3814 -1,7834 -2,1569 -2,5036 -2,8448 -3,2123 -3,6326 -4,1150 -4,6517 -5,2252 -5,8165 -6,4097 -6,9946 -7,5659 -8,1193 -8,6489 -9,1474 -9,6086 -10,0251 -10,3823 -10,6569 -10,8256 -10,8792 -10,8294 -10,7054
F3    3,7520 3,1755 2,5649 1,9414 1,3272 0,7436 0,2074 -0,2700 -0,6818 -1,0286 -1,3176 -1,5546 -1,7371 -1,8553 -1,8988 -1,8600 -1,7389 -1,5436 -1,2868 -0,9783 -0,6255 -0,2381 0,1694 0,5776 0,9630 1,3013 1,5725 1,7657 1,8773 1,9067 1,8531 1,7174 1,5035 1,2182 0,8765 0,5055 0,1400 -0,1871 -0,4511 -0,6380 -0,7494 -0,8038 -0,8323 -0,8706 -0,9471 -1,0737 -1,2495 -1,4703 -1,7336 -2,0382 -2,3797 -2,7414 -3,0876 -3,3675 -3,5281 -3,5320 -3,3728 -3,0735 -2,6707 -2,1968 -1,6718 -1,1055 -0,5077 0,1025 0,6973 1,2491 1,7431 2,1837 2,5903 2,9839 3,3731 3,7500 4,0966 4,3910 4,6139 4,7570 4,8272 4,8387 4,8015 4,7136 4,5631 4,3402 4,0488 3,7045 3,3287 2,9484 2,5913 2,2776 2,0127 1,7837 1,5622 1,3162 1,0253 0,6875 0,3150 -0,0731 -0,4573 -0,8236 -1,1704 -1,5106 -1,8667 -2,2609 -2,7047 -3,1921 -3,6965 -4,1764 -4,5902 -4,9129 -5,1388 -5,2724 -5,3231 -5,3027 -5,2230 -5,0916 -4,9095 -4,6723 -4,3760 -4,0272 -3,6446 -3,2503 -2,8599 -2,4813 -2,1154 -1,7535 -1,3688 -0,9168 -0,3463 0,3840 1,2906 2,3581 3,5413 4,7787 6,0087 7,1804 8,2598 9,2339 10,1075 10,8907 11,5861 12,1843 12,6671 13,0163 13,2206 13,2780 13,1959 12,9926 12,6933 12,3228 11,8980 11,4260 10,9087 10,3523 9,7717 9,1895 8,6324 8,1274 7,6997 7,3713 7,1576 7,0627 7,0771 7,1833 7,3647 7,6094 7,9128 8,2785 8,7118 9,2082 9,7451 10,2861 10,7899 11,2174 11,5379 11,7311 11,7883 11,7143 11,5265 11,2503 10,9132 10,5363 10,1284 9,6864 9,2010 8,6650 8,0786 7,4486 6,7842 6,0938 5,3806 4,6426 3,8768 3,0844 2,2746 1,4639 0,6700 -0,0943 -0,8205 -1,5050 -2,1484 -2,7548 -3,3289 -3,8714 -4,3807 -4,8590 -5,3145 -5,7531 -6,1671 -6,5339 -6,8260 -7,0220 -7,1149 -7,1142 -7,0385 -6,9023 -6,7071 -6,4444 -6,1082 -5,7030 -5,2429 -4,7483 -4,2455 -3,7627 -3,3208 -2,9264 -2,5738 -2,2504 -1,9425 -1,6445 -1,3643 -1,1179 -0,9187 -0,7730 -0,6800 -0,6298 -0,6029 -0,5744 -0,5227 -0,4405 -0,3347 -0,2153 -0,0881 0,0423 0,1655 0,2663 0,3313 0,3570 0,3494 0,3183 0,2751 0,2321 0,1982 0,1733 0,1475 0,1082 0,0507 -0,0175 -0,0820 -0,1336 -0,1746 -0,2185 -0,2820 -0,3706 -0,4715 -0,5585 -0,5980 -0,5539 -0,3997 -0,1306 0,2385 0,6819 1,1686 1,6634 2,1293 2,5327 2,8525 3,0854 3,2450 3,3565 3,4480 3,5377 3,6260 3,7010 3,7522 3,7832 3,8157 3,8836 4,0184 4,2345 4,5240 4,8620 5,2190 5,5717 5,9074 6,2209 6,5115 6,7838 7,0418 7,2794 7,4801 7,6252 7,6987 7,6877 7,5862 7,4002 7,1512 6,8768 6,6202 6,4113 6,2552 6,1341 6,0182 5,8795 5,6997 5,4697 5,1876 4,8602 4,5052 4,1451 3,7992 3,4806 3,1979 2,9585 2,7698 2,6394 2,5747 2,5826 2,6684 2,8341 3,0759 3,3825 3,7347 4,1081 4,4779 4,8201 5,1087 5,3171 5,4251 5,4265 5,3301 5,1520 4,9057 4,5894 4,1842 3,6661 3,0254 2,2797 1,4712 0,6509 -0,1362 -0,8549 -1,4788 -1,9896 -2,3784 -2,6463 -2,8039 -2,8698 -2,8690 -2,8282 -2,7703 -2,7133 -2,6744 -2,6722 -2,7270 -2,8574 -3,0708 -3,3512 -3,6633 -3,9690 -4,2362 -4,4388 -4,5559 -4,5737 -4,4902 -4,3176 -4,0761 -3,7827 -3,4492 -3,0909 -2,7340 -2,4113 -2,1504 -1,9681 -1,8700 -1,8501 -1,8890 -1,9545 -2,0083 -2,0177 -1,9643 -1,8500 -1,7001 -1,5554 -1,4509 -1,3981 -1,3797 -1,3571 -1,2875 -1,1426 -0,9149 -0,6164 -0,2739 0,0812 0,4239 0,7375 1,0108 1,2383 1,4222 1,5689 1,6817 1,7533 1,7650 1,6931 1,5176 1,2339 0,8601 0,4358 0,0142 -0,3482 -0,6050 -0,7320 -0,7340 -0,6392 -0,4876 -0,3175 -0,1573 -0,0218 0,0859 0,1649 0,2107 0,2192 0,1941 0,1524 0,1255 0,1520 0,2655 0,4816 0,7958 1,1888 1,6359 2,1085 2,5745 3,0048 3,3832 3,7071 3,9825 4,2190 4,4277 4,6143 4,7750 4,8966 4,9592 4,9417 4,8290 4,6192 4,3262 3,9798 3,6192 3,2835 3,0016 2,7859 2,6305 2,5170 2,4238 2,3331 2,2377 2,1456 2,0758 2,0477 2,0736 2,1556 2,2853 2,4433 2,6018 2,7339 2,8262 2,8876 2,9456 3,0323 3,1738 3,3814 3,6476 3,9490 4,2559 4,5425 4,7908 4,9877 5,1219 5,1844 5,1686 5,0645 4,8541 4,5200 4,0576 3,4794 2,8130 2,1018 1,4015 0,7699 0,2553 -0,1108 -0,3167 -0,3673 -0,2763 -0,0578 0,2824 0,7480 1,3483 2,0897 2,9681 3,9590 5,0131 6,0640 7,0454 7,9110 8,6441 9,2526 9,7522 10,1515 10,4511 10,6492 10,7411 10,7151 10,5567 10,2576 9,8248 9,2836 8,6706 8,0249 7,3806 6,7599 6,1678 5,5902 4,9987 4,3603 3,6516 2,8678 2,0253 1,1542 0,2882 -0,5450 -1,3293 -2,0633 -2,7547 -3,4123 -4,0380 -4,6228 -5,1461 -5,5785 -5,8850 -6,0344 -6,0128 -5,8330 -5,5311 -5,1533 -4,7449 -4,3452 -3,9811 -3,6671 -3,4095 -3,2088 -3,0610 -2,9609 -2,9048 -2,8919 -2,9203 -2,9815 -3,0588 -3,1340 -3,1951 -3,2411 -3,2824 -3,3343 -3,4094 -3,5156 -3,6548 -3,8223 -4,0105 -4,2164 -4,4476 -4,7237 -5,0689 -5,4955 -5,9918 -6,5265 -7,0652 -7,5836 -8,0691 -8,5171 -8,9269 -9,3002 -9,6424 -9,9619 -10,2653 -10,5510 -10,8066 -11,0105 -11,1392 -11,1794 -11,1364 -11,0307
F7    1,4211 1,0805 0,7305 0,3940 0,0921 -0,1641 -0,3700 -0,5208 -0,6108 -0,6403 -0,6193 -0,5606 -0,4703 -0,3478 -0,1915 -0,0040 0,2038 0,4150 0,6178 0,8133 1,0140 1,2352 1,4865 1,7621 2,0375 2,2749 2,4378 2,5028 2,4633 2,3238 2,0943 1,7902 1,4312 1,0408 0,6441 0,2627 -0,0941 -0,4345 -0,7753 -1,1262 -1,4799 -1,8164 -2,1169 -2,3747 -2,5936 -2,7796 -2,9365 -3,0682 -3,1822 -3,2916 -3,4127 -3,5564 -3,7193 -3,8802 -4,0032 -4,0529 -4,0124 -3,8867 -3,6905 -3,4346 -3,1207 -2,7448 -2,3073 -1,8224 -1,3209 -0,8416 -0,4170 -0,0630 0,2218 0,4486 0,6291 0,7711 0,8789 0,9502 0,9766 0,9527 0,8842 0,7842 0,6640 0,5242 0,3552 0,1501 -0,0817 -0,3168 -0,5317 -0,7130 -0,8596 -0,9780 -1,0788 -1,1778 -1,2941 -1,4418 -1,6219 -1,8237 -2,0323 -2,2364 -2,4313 -2,6192 -2,8090 -3,0165 -3,2573 -3,5391 -3,8594 -4,2064 -4,5595 -4,8906 -5,1748 -5,4020 -5,5759 -5,7064 -5,8041 -5,8787 -5,9361 -5,9764 -5,9920 -5,9682 -5,8871 -5,7379 -5,5247 -5,2609 -4,9588 -4,6224 -4,2500 -3,8338 -3,3556 -2,7895 -2,1134 -1,3186 -0,4171 0,5589 1,5684 2,5739 3,5431 4,4477 5,2647 5,9790 6,5877 7,0992 7,5266 7,8802 8,1659 8,3849 8,5301 8,5863 8,5388 8,3844 8,1360 7,8180 7,4568 7,0752 6,6910 6,3160 5,9586 5,6285 5,3352 5,0837 4,8743 4,7069 4,5843 4,5121 4,4942 4,5310 4,6212 4,7623 4,9494 5,1738 5,4213 5,6714 5,8994 6,0831 6,2042 6,2489 6,2125 6,1039 5,9371 5,7203 5,4561 5,1466 4,7947 4,4015 3,9658 3,4880 2,9739 2,4370 1,8962 1,3652 0,8464 0,3310 -0,1941 -0,7390 -1,3063 -1,8907 -2,4811 -3,0647 -3,6343 -4,1899 -4,7339 -5,2659 -5,7816 -6,2744 -6,7381 -7,1666 -7,5528 -7,8896 -8,1725 -8,4004 -8,5753 -8,6995 -8,7742 -8,7999 -8,7779 -8,7092 -8,5934 -8,4287 -8,2141 -7,9507 -7,6454 -7,3139 -6,9765 -6,6516 -6,3531 -6,0870 -5,8441 -5,6004 -5,3270 -5,0012 -4,6137 -4,1715 -3,6956 -3,2137 -2,7509 -2,3237 -1,9360 -1,5806 -1,2439 -0,9124 -0,5801 -0,2571 0,0343 0,2778 0,4792 0,6618 0,8522 1,0688 1,3168 1,5875 1,8616 2,1162 2,3342 2,5100 2,6478 2,7545 2,8330 2,8846 2,9146 2,9348 2,9552 2,9739 2,9784 2,9558 2,8995 2,8143 2,7174 2,6326 2,5819 2,5814 2,6362 2,7390 2,8770 3,0410 3,2261 3,4273 3,6366 3,8449 4,0463 4,2382 4,4210 4,5969 4,7659 4,9220 5,0552 5,1576 5,2272 5,2678 5,2878 5,2992 5,3118 5,3298 5,3516 5,3741 5,3987 5,4376 5,5099 5,6271 5,7821 5,9537 6,1154 6,2408 6,3067 6,2978 6,2074 6,0343 5,7805 5,4554 5,0842 4,7059 4,3596 4,0697 3,8407 3,6586 3,4960 3,3248 3,1266 2,8921 2,6184 2,3145 2,0038 1,7162 1,4753 1,2942 1,1775 1,1233 1,1263 1,1800 1,2817 1,4334 1,6365 1,8840 2,1626 2,4601 2,7681 3,0802 3,3860 3,6659 3,8936 4,0411 4,0842 4,0052 3,7969 3,4651 3,0266 2,5003 1,8995 1,2337 0,5175 -0,2267 -0,9733 -1,6985 -2,3823 -3,0102 -3,5690 -4,0400 -4,3988 -4,6250 -4,7105 -4,6643 -4,5119 -4,2852 -4,0146 -3,7298 -3,4630 -3,2444 -3,0955 -3,0244 -3,0251 -3,0740 -3,1340 -3,1720 -3,1743 -3,1445 -3,0909 -3,0139 -2,9062 -2,7598 -2,5712 -2,3406 -2,0734 -1,7828 -1,4907 -1,2232 -1,0026 -0,8424 -0,7444 -0,6948 -0,6691 -0,6453 -0,6154 -0,5808 -0,5400 -0,4888 -0,4334 -0,3932 -0,3862 -0,4153 -0,4671 -0,5183 -0,5480 -0,5486 -0,5254 -0,4879 -0,4439 -0,3915 -0,3165 -0,2010 -0,0381 0,1634 0,3849 0,6082 0,8189 1,0018 1,1392 1,2176 1,2338 1,1942 1,1092 0,9900 0,8525 0,7196 0,6171 0,5668 0,5821 0,6643 0,8019 0,9768 1,1711 1,3714 1,5708 1,7628 1,9330 2,0593 2,1208 2,1118 2,0545 1,9952 1,9820 2,0442 2,1870 2,4002 2,6647 2,9527 3,2319 3,4777 3,6830 3,8526 3,9899 4,0927 4,1613 4,2042 4,2333 4,2567 4,2743 4,2818 4,2779 4,2666 4,2551 4,2501 4,2542 4,2689 4,3027 4,3660 4,4556 4,5492 4,6173 4,6393 4,6095 4,5353 4,4334 4,3246 4,2283 4,1593 4,1239 4,1201 4,1406 4,1786 4,2369 4,3284 4,4642 4,6394 4,8332 5,0186 5,1723 5,2832 5,3564 5,4095 5,4622 5,5264 5,6003 5,6662 5,6905 5,6328 5,4630 5,1757 4,7948 4,3625 3,9227 3,5075 3,1340 2,8088 2,5392 2,3397 2,2280 2,2160 2,3063 2,4975 2,7916 3,1922 3,6983 4,3016 4,9874 5,7346 6,5155 7,2958 8,0394 8,7164 9,3099 9,8150 10,2315 10,5575 10,7881 10,9205 10,9554 10,8931 10,7326 10,4769 10,1379 9,7352 9,2911 8,8268 8,3597 7,9022 7,4604 7,0339 6,6141 6,1841 5,7247 5,2216 4,6695 4,0739 3,4497 2,8195 2,2085 1,6398 1,1287 0,6809 0,2917 -0,0507 -0,3598 -0,6406 -0,8807 -1,0529 -1,1316 -1,1105 -1,0032 -0,8345 -0,6320 -0,4210 -0,2179 -0,0284 0,1454 0,3007 0,4352 0,5516 0,6568 0,7569 0,8526 0,9393 1,0080 1,0480 1,0525 1,0189 0,9485 0,8472 0,7257 0,5929 0,4517 0,3002 0,1322 -0,0619 -0,2923 -0,5684 -0,8964 -1,2733 -1,6824 -2,0970 -2,4928 -2,8584 -3,1957 -3,5115 -3,8100 -4,0923 -4,3587 -4,6115 -4,8561 -5,0976 -5,3356 -5,5620 -5,7645 -5,9353 -6,0734 -6,1788
