Fp1   1,4335 1,1151 0,7575 0,3868 0,0379 -0,2299 -0,3515 -0,3123 -0,1913 -0,1295 -0,2412 -0,5537 -1,0021 -1,4618 -1,8081 -1,9835 -2,0142 -1,9723 -1,9373 -1,9862 -2,1793 -2,5116 -2,8709 -3,0787 -3,0057 -2,6506 -2,1167 -1,5309 -0,9960 -0,5937 -0,3676 -0,2733 -0,1790 0,0541 0,4911 1,1200 1,8931 2,7361 3,5259 4,0962 4,2919 4,0465 3,4377 2,6619 1,9263 1,3499 0,9602 0,7511 0,7028 0,7533 0,8143 0,8334 0,8240 0,8359 0,9067 1,0357 1,1789 1,2624 1,2277 1,0934 0,9657 0,9665 1,1372 1,4049 1,6355 1,7261 1,6554 1,4621 1,1956 0,8868 0,5302 0,0692 -0,5853 -1,4799 -2,5374 -3,5656 -4,3645 -4,8344 -5,0043 -4,9788 -4,8586 -4,7106 -4,5957 -4,5797 -4,6913 -4,8983 -5,1418 -5,3790 -5,6013 -5,8346 -6,1119 -6,4402 -6,8073 -7,2192 -7,7065 -8,2879 -8,9473 -9,6479 -10,3407 -10,9721 -11,5082 -11,9426 -12,2741 -12,4831 -12,5258 -12,3471 -11,9037 -11,1948 -10,2817 -9,2761 -8,3080 -7,4888 -6,8847 -6,5062 -6,3126 -6,2313 -6,1977 -6,2007 -6,2888 -6,5185 -6,9008 -7,3953 -7,9340 -8,4473 -8,8840 -9,2064 -9,3755 -9,3631 -9,1702 -8,8203 -8,3523 -7,8129 -7,2391 -6,6623 -6,1273 -5,6822 -5,3507 -5,1206 -4,9513 -4,8094 -4,7068 -4,6829 -4,7452 -4,8380 -4,8574 -4,6961 -4,2942 -3,6588 -2,8566 -2,0024 -1,2340 -0,6660 -0,3540 -0,2860 -0,3757 -0,4635 -0,3715 -0,0052 0,5774 1,2081 1,7408 2,1535 2,5224 2,9077 3,2823 3,5658 3,6924 3,6296 3,3706 2,9387 2,3928 1,8130 1,2579 0,7227 0,1505 -0,5090 -1,2561 -2,0319 -2,7402 -3,3001 -3,7035 -4,0355 -4,4263 -4,9453 -5,5437 -6,1130 -6,5571 -6,8028 -6,8034 -6,5759 -6,2248 -5,9064 -5,7465 -5,7810 -5,9543 -6,1612 -6,3147 -6,4004 -6,4627 -6,5320 -6,5846 -6,5835 -6,5388 -6,5132 -6,5754 -6,7504 -7,0135 -7,3233 -7,6476 -7,9577 -8,2138 -8,3585 -8,3275 -8,0687 -7,5543 -6,7975 -5,8694 -4,8890 -3,9855 -3,2551 -2,7285 -2,3696 -2,1042 -1,8452 -1,4970 -0,9729 -0,2470 0,6084 1,4470 2,1275 2,5889 2,8436 2,9031 2,7514 2,3973 1,9108 1,3799 0,8467 0,3063 -0,2415 -0,7644 -1,2041 -1,4898 -1,5534 -1,3609 -0,9407 -0,3731 0,2485 0,8292 1,2688 1,4860 1,4604 1,2367 0,8909 0,5053 0,1542 -0,1206 -0,3268 -0,5145 -0,7545 -1,0990 -1,5429 -2,0195 -2,4314 -2,6925 -2,7604 -2,6366 -2,3414 -1,9100 -1,4037 -0,8886 -0,4014 0,0571 0,5392 1,1650 2,0588 3,2462 4,6220 5,9910 7,1349 7,8901 8,2000 8,0977 7,6356 6,8510 5,8075 4,6304 3,4606 2,3774 1,3878 0,4930 -0,2486 -0,7297 -0,8635 -0,6605 -0,2479 0,1890 0,4887 0,5624 0,4055 0,0988 -0,2155 -0,3907 -0,3273 -0,0032 0,5046 1,0332 1,3918 1,4174 1,0099 0,1652 -1,0094 -2,3183 -3,5204 -4,3831 -4,7474 -4,5742 -3,9580 -3,1226 -2,3656 -1,9363 -1,9317 -2,2774 -2,7736 -3,1920 -3,3876 -3,3500 -3,1695 -2,9537 -2,7550 -2,5641 -2,3541 -2,1143 -1,8556 -1,5928 -1,3194 -1,0084 -0,6502 -0,2738 0,0652 0,2943 0,3246 0,0860 -0,4132 -1,0676 -1,7223 -2,2247 -2,4527 -2,3547 -1,9790 -1,4537 -0,9364 -0,5504 -0,3182 -0,1487 0,0756 0,3885 0,7251 0,9823 1,0725 0,9525 0,6370 0,2071 -0,1958 -0,4134 -0,3377 0,0469 0,6595 1,3464 1,9402 2,3274 2,4745 2,4037 2,1556 1,7543 1,1955 0,4882 -0,3001 -1,0604 -1,6830 -2,0683 -2,1524 -1,9449 -1,5065 -0,8866 -0,1158 0,7496 1,6075 2,3305 2,7942 2,9153 2,7002 2,2612 1,7693 1,3679 1,1171 1,0029 0,9597 0,8719 0,6034 0,0694 -0,7172 -1,6616 -2,6397 -3,5490 -4,3400 -5,0144 -5,5882 -6,0484 -6,3403 -6,3752 -6,0730 -5,4303 -4,5358 -3,5219 -2,5298 -1,6908 -1,0950 -0,7698 -0,6850 -0,7730 -0,9658 -1,2268 -1,5382 -1,8651 -2,1442 -2,3019 -2,2823 -2,0743 -1,7298 -1,3645 -1,1189 -1,0899 -1,2790 -1,5964 -1,9287 -2,2036 -2,3954 -2,5105 -2,5881 -2,6865 -2,8447 -3,0614 -3,3254 -3,6419 -4,0017 -4,3549 -4,6386 -4,8149 -4,8958 -4,9523 -5,0663 -5,2483 -5,4215 -5,5136 -5,5606 -5,7038 -6,0735 -6,6913 -7,4766 -8,2906 -8,9616 -9,3309 -9,3184 -8,9530 -8,3383 -7,5723 -6,6877 -5,6770 -4,5932 -3,6048 -2,9196 -2,6628 -2,8225 -3,2732 -3,8450 -4,3994 -4,8765 -5,3021 -5,7399 -6,2119 -6,6733 -7,0675 -7,3798 -7,6316 -7,8491 -8,0492 -8,2453 -8,4525 -8,6771 -8,9002 -9,0810 -9,1812 -9,1902 -9,1359 -9,0643 -8,9999 -8,9187 -8,7691 -8,5273 -8,2330 -7,9650 -7,7819 -7,6924 -7,6746 -7,6974 -7,7267 -7,7374 -7,7185 -7,6663 -7,5782 -7,4369 -7,1906 -6,7537 -6,0361 -5,0002 -3,7177 -2,3729 -1,1946 -0,3504 0,1131 0,2459 0,1472 -0,0507 -0,1871 -0,0986 0,3191 1,0407 1,9061 2,7086 3,2922 3,5785 3,5619 3,3052 2,9108 2,4827 2,1015 1,8076 1,5949 1,4120 1,1685 0,7590 0,1120 -0,7659 -1,7935 -2,8624 -3,8736 -4,7436 -5,4120 -5,8593 -6,1114 -6,2247 -6,2518 -6,2146 -6,1199 -6,0031 -5,9487 -6,0440 -6,3052 -6,6761 -7,0954 -7,5351 -7,9845 -8,4287 -8,8466 -9,2226 -9,5620 -9,8949 -10,2591 -10,6708 -11,1073 -11,5049 -11,7745 -11,8326 -11,6338 -11,1889 -10,5660 -9,8745 -9,2381 -8,7543 -8,4559 -8,3064 -8,2337 -8,1634 -8,0339 -7,8079 -7,4859 -7,0997 -6,6889 -6,2869 -5,9232 -5,6180 -5,3676 -5,1467 -4,9399 -4,7680 -4,6770 -4,7083 -4,8838 -5,1932
Fz    0,2176 0,2555 0,2275 0,1044 -0,1018 -0,3330 -0,5134 -0,5999 -0,6188 -0,6537 -0,7948 -1,0917 -1,5313 -2,0341 -2,4857 -2,7939 -2,9230 -2,8866 -2,7321 -2,5276 -2,3427 -2,2155 -2,1210 -1,9821 -1,7341 -1,3740 -0,9459 -0,5001 -0,0830 0,2517 0,4628 0,5693 0,6600 0,8338 1,1309 1,5346 2,0186 2,5543 3,0780 3,4858 3,6667 3,5507 3,1544 2,5876 1,9975 1,5010 1,1578 0,9811 0,9458 0,9925 1,0525 1,0812 1,0736 1,0549 1,0608 1,1134 1,2004 1,2722 1,2753 1,2003 1,0950 1,0226 1,0057 1,0085 0,9647 0,8232 0,5784 0,2714 -0,0409 -0,3249 -0,5951 -0,9102 -1,3378 -1,9004 -2,5380 -3,1292 -3,5655 -3,8148 -3,9291 -3,9972 -4,0850 -4,2133 -4,3757 -4,5528 -4,7061 -4,7862 -4,7654 -4,6610 -4,5292 -4,4452 -4,4765 -4,6564 -4,9841 -5,4481 -6,0390 -6,7306 -7,4684 -8,1893 -8,8450 -9,4159 -9,9146 -10,3616 -10,7475 -11,0231 -11,1290 -11,0325 -10,7347 -10,2554 -9,6237 -8,8877 -8,1207 -7,4029 -6,7938 -6,3159 -5,9523 -5,6635 -5,4165 -5,2104 -5,0735 -5,0349 -5,1055 -5,2845 -5,5647 -5,9277 -6,3402 -6,7477 -7,0719 -7,2341 -7,1853 -6,9197 -6,4784 -5,9377 -5,3715 -4,8259 -4,3264 -3,8916 -3,5381 -3,2703 -3,0645 -2,8777 -2,6826 -2,4793 -2,2738 -2,0609 -1,8224 -1,5267 -1,1401 -0,6498 -0,0796 0,5118 1,0459 1,4522 1,6900 1,7604 1,7183 1,6748 1,7617 2,0657 2,5697 3,1603 3,7123 4,1745 4,5686 4,9235 5,2301 5,4500 5,5433 5,4855 5,2664 4,8831 4,3458 3,6874 2,9543 2,1788 1,3662 0,5098 -0,3829 -1,2727 -2,0962 -2,7983 -3,3693 -3,8580 -4,3355 -4,8268 -5,2866 -5,6524 -5,8958 -6,0173 -6,0292 -5,9601 -5,8657 -5,8209 -5,8878 -6,0811 -6,3561 -6,6277 -6,8243 -6,9341 -6,9950 -7,0449 -7,0884 -7,1055 -7,0770 -7,0051 -6,9134 -6,8258 -6,7498 -6,6843 -6,6351 -6,6091 -6,5947 -6,5518 -6,4248 -6,1630 -5,7310 -5,1250 -4,3867 -3,5949 -2,8322 -2,1522 -1,5687 -1,0665 -0,6159 -0,1753 0,3150 0,9164 1,6431 2,4264 3,1395 3,6692 3,9704 4,0590 3,9644 3,7025 3,2977 2,8060 2,2938 1,7962 1,3172 0,8627 0,4486 0,0834 -0,2338 -0,4952 -0,6790 -0,7677 -0,7642 -0,6870 -0,5654 -0,4452 -0,3788 -0,3997 -0,5146 -0,7159 -0,9819 -1,2672 -1,5182 -1,7082 -1,8547 -2,0041 -2,2021 -2,4636 -2,7582 -3,0205 -3,1851 -3,2206 -3,1346 -2,9496 -2,6895 -2,3883 -2,0864 -1,8077 -1,5423 -1,2348 -0,7908 -0,1327 0,7352 1,7201 2,6836 3,4900 4,0464 4,3256 4,3512 4,1558 3,7642 3,2216 2,6136 2,0339 1,5374 1,1304 0,8026 0,5547 0,3947 0,3169 0,2941 0,2916 0,2798 0,2302 0,1110 -0,0960 -0,3634 -0,6192 -0,7878 -0,8259 -0,7358 -0,5723 -0,4280 -0,3956 -0,5423 -0,9028 -1,4700 -2,1881 -2,9574 -3,6497 -4,1358 -4,3265 -4,2016 -3,8152 -3,2935 -2,8106 -2,5249 -2,5082 -2,7193 -3,0301 -3,2891 -3,3922 -3,3216 -3,1341 -2,9108 -2,7082 -2,5437 -2,4107 -2,2941 -2,1793 -2,0511 -1,8844 -1,6462 -1,3182 -0,9211 -0,5200 -0,2102 -0,0886 -0,2126 -0,5576 -1,0087 -1,4141 -1,6566 -1,6911 -1,5441 -1,2901 -1,0191 -0,8119 -0,7128 -0,6945 -0,6599 -0,5091 -0,2161 0,1607 0,5228 0,7743 0,8450 0,7084 0,3948 -0,0116 -0,3972 -0,6587 -0,7428 -0,6633 -0,4897 -0,3114 -0,1913 -0,1428 -0,1442 -0,1663 -0,1989 -0,2577 -0,3590 -0,4966 -0,6491 -0,7891 -0,8756 -0,8660 -0,7521 -0,5607 -0,3109 0,0024 0,3744 0,7600 1,0844 1,2706 1,2700 1,0840 0,7647 0,3928 0,0378 -0,2658 -0,5136 -0,7252 -0,9469 -1,2337 -1,6147 -2,0765 -2,5724 -3,0520 -3,4857 -3,8653 -4,1903 -4,4572 -4,6557 -4,7652 -4,7507 -4,5796 -4,2599 -3,8509 -3,4335 -3,0784 -2,8265 -2,6779 -2,6010 -2,5601 -2,5402 -2,5537 -2,6271 -2,7779 -2,9986 -3,2533 -3,4852 -3,6337 -3,6531 -3,5338 -3,3181 -3,0877 -2,9260 -2,8779 -2,9337 -3,0479 -3,1720 -3,2696 -3,3212 -3,3306 -3,3246 -3,3409 -3,4158 -3,5823 -3,8627 -4,2406 -4,6463 -4,9840 -5,1769 -5,2067 -5,1270 -5,0283 -4,9733 -4,9646 -4,9788 -5,0244 -5,1511 -5,4020 -5,7707 -6,2008 -6,6066 -6,8983 -7,0135 -6,9369 -6,6965 -6,3378 -5,8905 -5,3534 -4,7200 -4,0354 -3,4214 -3,0213 -2,9182 -3,0996 -3,4748 -3,9246 -4,3518 -4,7061 -4,9910 -5,2503 -5,5284 -5,8380 -6,1710 -6,5154 -6,8495 -7,1400 -7,3627 -7,5213 -7,6369 -7,7234 -7,7787 -7,7919 -7,7531 -7,6612 -7,5284 -7,3754 -7,2179 -7,0553 -6,8759 -6,6784 -6,4901 -6,3555 -6,2974 -6,2963 -6,3083 -6,2914 -6,2143 -6,0582 -5,8206 -5,5217 -5,1976 -4,8740 -4,5446 -4,1716 -3,7006 -3,0882 -2,3397 -1,5274 -0,7721 -0,1859 0,1820 0,3473 0,3638 0,3144 0,3079 0,4500 0,7986 1,3302 1,9464 2,5201 2,9451 3,1595 3,1541 2,9707 2,6829 2,3640 2,0611 1,7869 1,5286 1,2601 0,9502 0,5695 0,0940 -0,4893 -1,1768 -1,9452 -2,7492 -3,5254 -4,2128 -4,7815 -5,2387 -5,6148 -5,9359 -6,2055 -6,4117 -6,5569 -6,6725 -6,7950 -6,9332 -7,0792 -7,2466 -7,4693 -7,7642 -8,1149 -8,4938 -8,8874 -9,2942 -9,7121 -10,1309 -10,5287 -10,8718 -11,1233 -11,2585 -11,2752 -11,1899 -11,0269 -10,8161 -10,5898 -10,3752 -10,1879 -10,0269 -9,8748 -9,7132 -9,5410 -9,3700 -9,2000 -9,0061 -8,7518 -8,4137 -8,0009 -7,5544 -7,1258 -6,7510 -6,4419 -6,1958 -6,0089 -5,8824 -5,8203 -5,8270 -5,9015
F3    -1,2095 -0,8481 -0,4074 0,0137 0,3024 0,3828 0,2410 -0,0836 -0,5248 -1,0131 -1,4935 -1,9415 -2,3542 -2,7173 -2,9975 -3,1639 -3,1983 -3,0971 -2,8827 -2,6022 -2,3062 -2,0242 -1,7490 -1,4544 -1,1368 -0,8314 -0,5754 -0,3689 -0,1848 -0,0058 0,1674 0,3432 0,5635 0,8844 1,3246 1,8429 2,3672 2,8244 3,1504 3,3049 3,2754 3,0754 2,7615 2,4317 2,1783 2,0412 1,9991 1,9867 1,9289 1,7803 1,5454 1,2658 0,9908 0,7584 0,5903 0,4946 0,4637 0,4697 0,4815 0,5010 0,5638 0,6870 0,8272 0,8989 0,8175 0,5257 0,0076 -0,7037 -1,5427 -2,4353 -3,3057 -4,0677 -4,6290 -4,9173 -4,9132 -4,6627 -4,2734 -3,8992 -3,6985 -3,7683 -4,1091 -4,6472 -5,2790 -5,8960 -6,3898 -6,6683 -6,6957 -6,5178 -6,2500 -6,0384 -6,0036 -6,1918 -6,5677 -7,0578 -7,6021 -8,1634 -8,7041 -9,1836 -9,5806 -9,9095 -10,2091 -10,5094 -10,8056 -11,0599 -11,2272 -11,2850 -11,2382 -11,0965 -10,8480 -10,4650 -9,9433 -9,3207 -8,6481 -7,9500 -7,2214 -6,4659 -5,7236 -5,0652 -4,5593 -4,2373 -4,0897 -4,1022 -4,2859 -4,6719 -5,2721 -6,0278 -6,7937 -7,3888 -7,6747 -7,6038 -7,2277 -6,6664 -6,0446 -5,4385 -4,8730 -4,3616 -3,9408 -3,6483 -3,4686 -3,3196 -3,1044 -2,7696 -2,3256 -1,8336 -1,3691 -0,9763 -0,6483 -0,3498 -0,0580 0,2170 0,4471 0,6130 0,7125 0,7475 0,7230 0,6711 0,6509 0,7035 0,8124 0,9192 0,9896 1,0641 1,2304 1,5470 1,9996 2,5138 2,9934 3,3556 3,5378 3,4771 3,1132 2,4356 1,5217 0,5069 -0,4932 -1,4332 -2,3203 -3,1641 -3,9514 -4,6586 -5,2776 -5,8266 -6,3189 -6,7185 -6,9584 -7,0221 -6,9829 -6,9532 -7,0081 -7,1459 -7,3025 -7,4136 -7,4766 -7,5591 -7,7506 -8,1025 -8,6007 -9,1775 -9,7458 -10,2298 -10,5663 -10,6907 -10,5536 -10,1619 -9,5999 -9,0010 -8,4941 -8,1567 -7,9940 -7,9513 -7,9445 -7,8864 -7,7077 -7,3736 -6,8853 -6,2793 -5,6261 -5,0159 -4,5281 -4,1953 -3,9852 -3,8194 -3,6210 -3,3515 -3,0026 -2,5747 -2,0848 -1,5846 -1,1470 -0,8263 -0,6373 -0,5666 -0,5921 -0,6944 -0,8596 -1,0672 -1,2829 -1,4689 -1,5970 -1,6612 -1,6999 -1,8020 -2,0659 -2,5358 -3,1714 -3,8758 -4,5490 -5,1166 -5,5344 -5,7931 -5,9047 -5,8743 -5,7065 -5,4364 -5,1219 -4,8053 -4,5124 -4,2933 -4,2268 -4,3678 -4,6935 -5,1055 -5,4726 -5,6730 -5,6323 -5,3556 -4,9242 -4,4427 -3,9887 -3,6119 -3,3525 -3,2237 -3,1733 -3,0792 -2,8094 -2,3147 -1,6674 -1,0050 -0,4408 -0,0193 0,2781 0,5055 0,7191 0,9419 1,1498 1,2956 1,3495 1,3162 1,2188 1,0678 0,8454 0,5169 0,0533 -0,5451 -1,2267 -1,8909 -2,4328 -2,8062 -3,0439 -3,2160 -3,3648 -3,4832 -3,5502 -3,5676 -3,5621 -3,5724 -3,6386 -3,7910 -4,0379 -4,3578 -4,7047 -5,0271 -5,2848 -5,4532 -5,5273 -5,5233 -5,4647 -5,3635 -5,2276 -5,0846 -4,9803 -4,9500 -4,9943 -5,0781 -5,1485 -5,1650 -5,1237 -5,0534 -4,9937 -4,9762 -5,0063 -5,0477 -5,0342 -4,9083 -4,6554 -4,3103 -3,9374 -3,6051 -3,3763 -3,3046 -3,4188 -3,7010 -4,0838 -4,4658 -4,7339 -4,7971 -4,6281 -4,2864 -3,8933 -3,5582 -3,3270 -3,2026 -3,1758 -3,2098 -3,2319 -3,1774 -3,0336 -2,8341 -2,6221 -2,4345 -2,3079 -2,2817 -2,3851 -2,6177 -2,9401 -3,2926 -3,6272 -3,9204 -4,1668 -4,3668 -4,5082 -4,5511 -4,4413 -4,1495 -3,7032 -3,1800 -2,6655 -2,2157 -1,8466 -1,5500 -1,3133 -1,1333 -1,0247 -1,0109 -1,0891 -1,2167 -1,3497 -1,4811 -1,6328 -1,8233 -2,0461 -2,2738 -2,4785 -2,6472 -2,7890 -2,9236 -3,0553 -3,1689 -3,2566 -3,3439 -3,4908 -3,7532 -4,1349 -4,5845 -5,0276 -5,3894 -5,6164 -5,7022 -5,6829 -5,6004 -5,4669 -5,2749 -5,0398 -4,8110 -4,6362 -4,5217 -4,4207 -4,2611 -4,0008 -3,6632 -3,3205 -3,0600 -2,9709 -3,1220 -3,5161 -4,0755 -4,6890 -5,2617 -5,7153 -5,9713 -5,9773 -5,7492 -5,3710 -4,9493 -4,5779 -4,3304 -4,2456 -4,3042 -4,4356 -4,5532 -4,5870 -4,5163 -4,3934 -4,3341 -4,4553 -4,7965 -5,2903 -5,8026 -6,2048 -6,4370 -6,5303 -6,5714 -6,6423 -6,7864 -7,0151 -7,3237 -7,6795 -7,9990 -8,1662 -8,1049 -7,8364 -7,4598 -7,0794 -6,7553 -6,5056 -6,3337 -6,2388 -6,2089 -6,2208 -6,2534 -6,2895 -6,3012 -6,2529 -6,1245 -5,9175 -5,6481 -5,3581 -5,1223 -5,0356 -5,1921 -5,6462 -6,3643 -7,2211 -8,0476 -8,6947 -9,0837 -9,2346 -9,2459 -9,2286 -9,2495 -9,3174 -9,3910 -9,3929 -9,2447 -8,9165 -8,4540 -7,9604 -7,5370 -7,2315 -7,0450 -6,9714 -7,0091 -7,1409 -7,3274 -7,5270 -7,7075 -7,8291 -7,8293 -7,6484 -7,2729 -6,7423 -6,1156 -5,4440 -4,7668 -4,1067 -3,4670 -2,8444 -2,2427 -1,6831 -1,2036 -0,8376 -0,5933 -0,4479 -0,3429 -0,2027 0,0191 0,3065 0,5939 0,8169 0,9628 1,0735 1,2015 1,3680 1,5593 1,7403 1,8503 1,7996 1,5012 0,9194 0,0923 -0,8740 -1,8283 -2,6230 -3,1788 -3,5200 -3,7540 -4,0122 -4,3875 -4,9015 -5,5095 -6,1304 -6,6806 -7,1021 -7,3718 -7,5022 -7,5433 -7,5681 -7,6311 -7,7463 -7,9208 -8,1866 -8,5653 -9,0122 -9,4418 -9,8109 -10,1375 -10,4360 -10,6810 -10,8374 -10,8903 -10,8483 -10,7415 -10,6173 -10,5250 -10,4944 -10,5288 -10,6153 -10,7242 -10,8029 -10,7985 -10,6903 -10,4934 -10,2392 -9,9647 -9,7044 -9,4725 -9,2462 -8,9737 -8,6117 -8,1610 -7,6662 -7,1829 -6,7411 -6,3391 -5,9720 -5,6642 -5,4660 -5,4159 -5,5026 -5,6533
F7    -1,6549 -1,6973 -1,7458 -1,8202 -1,9253 -2,0357 -2,1053 -2,0940 -2,0014 -1,8712 -1,7668 -1,7439 -1,8265 -1,9824 -2,1411 -2,2539 -2,3213 -2,3609 -2,3793 -2,3793 -2,3581 -2,2833 -2,0882 -1,7077 -1,1335 -0,4395 0,2492 0,8157 1,1878 1,3456 1,3277 1,2370 1,2160 1,3842 1,7760 2,3353 2,9562 3,5189 3,9107 4,0491 3,9000 3,4919 2,9326 2,3786 1,9524 1,6941 1,5845 1,5819 1,6312 1,6601 1,6014 1,4331 1,1860 0,9128 0,6641 0,4833 0,3917 0,3676 0,3648 0,3560 0,3476 0,3534 0,3764 0,4077 0,4198 0,3672 0,2168 -0,0265 -0,3352 -0,6887 -1,0747 -1,4790 -1,8864 -2,2867 -2,6698 -3,0244 -3,3511 -3,6717 -4,0076 -4,3415 -4,6111 -4,7451 -4,7099 -4,5269 -4,2538 -3,9584 -3,7091 -3,5732 -3,6117 -3,8638 -4,3187 -4,9044 -5,5303 -6,1435 -6,7301 -7,2700 -7,7283 -8,0893 -8,3730 -8,6236 -8,8899 -9,1970 -9,5232 -9,8111 -9,9996 -10,0442 -9,9270 -9,6679 -9,3175 -8,9245 -8,5092 -8,0578 -7,5387 -6,9288 -6,2337 -5,4980 -4,8036 -4,2500 -3,9216 -3,8491 -3,9915 -4,2579 -4,5519 -4,8090 -5,0110 -5,1643 -5,2666 -5,3107 -5,3122 -5,3079 -5,3258 -5,3566 -5,3450 -5,2232 -4,9603 -4,5721 -4,0976 -3,5747 -3,0215 -2,4431 -1,8687 -1,3606 -0,9729 -0,7086 -0,5177 -0,3320 -0,0991 0,2066 0,5800 0,9807 1,3500 1,6433 1,8329 1,8931 1,8158 1,6427 1,4558 1,3255 1,2690 1,2605 1,2861 1,3822 1,6063 1,9740 2,4360 2,8997 3,2571 3,4057 3,2743 2,8561 2,2219 1,4946 0,7937 0,1774 -0,3781 -0,9451 -1,5871 -2,3109 -3,0505 -3,7033 -4,2053 -4,5808 -4,9095 -5,2451 -5,5743 -5,8552 -6,0715 -6,2368 -6,3625 -6,4358 -6,4361 -6,3702 -6,2796 -6,2095 -6,1776 -6,1755 -6,2003 -6,2741 -6,4241 -6,6465 -6,9001 -7,1351 -7,3257 -7,4789 -7,6153 -7,7503 -7,8913 -8,0466 -8,2275 -8,4332 -8,6331 -8,7698 -8,7879 -8,6576 -8,3757 -7,9668 -7,4952 -7,0562 -6,7303 -6,5381 -6,4385 -6,3608 -6,2360 -6,0172 -5,6872 -5,2591 -4,7791 -4,3244 -3,9773 -3,7832 -3,7283 -3,7602 -3,8333 -3,9378 -4,0914 -4,3075 -4,5848 -4,9272 -5,3487 -5,8479 -6,3901 -6,9180 -7,3637 -7,6588 -7,7645 -7,7017 -7,5387 -7,3450 -7,1664 -7,0380 -6,9878 -7,0179 -7,1059 -7,2282 -7,3664 -7,4938 -7,5795 -7,6157 -7,6330 -7,6835 -7,8083 -8,0084 -8,2421 -8,4467 -8,5659 -8,5752 -8,4872 -8,3314 -8,1292 -7,8904 -7,6174 -7,3055 -6,9435 -6,5068 -5,9570 -5,2746 -4,5000 -3,7341 -3,0985 -2,6762 -2,4760 -2,4480 -2,5347 -2,7130 -2,9919 -3,3764 -3,8467 -4,3783 -4,9618 -5,5811 -6,1808 -6,6678 -6,9499 -6,9879 -6,8229 -6,5594 -6,3238 -6,2306 -6,3550 -6,7046 -7,2046 -7,7200 -8,1129 -8,2956 -8,2567 -8,0557 -7,7911 -7,5637 -7,4604 -7,5442 -7,8336 -8,2879 -8,8145 -9,2958 -9,6329 -9,7864 -9,7735 -9,6378 -9,4414 -9,2613 -9,1577 -9,1450 -9,1910 -9,2268 -9,1724 -8,9834 -8,6863 -8,3669 -8,1192 -7,9954 -7,9953 -8,0777 -8,1790 -8,2422 -8,2349 -8,1439 -7,9740 -7,7577 -7,5530 -7,4179 -7,3834 -7,4512 -7,6072 -7,8183 -8,0240 -8,1529 -8,1533 -8,0127 -7,7642 -7,4719 -7,2021 -7,0033 -6,8895 -6,8251 -6,7385 -6,5745 -6,3425 -6,1096 -5,9486 -5,8983 -5,9638 -6,1318 -6,3701 -6,6216 -6,8126 -6,8867 -6,8376 -6,7040 -6,5337 -6,3539 -6,1685 -5,9736 -5,7749 -5,5896 -5,4403 -5,3436 -5,3030 -5,3133 -5,3609 -5,4103 -5,4043 -5,3008 -5,1111 -4,8790 -4,6159 -4,2893 -3,8842 -3,4437 -3,0487 -2,7724 -2,6451 -2,6503 -2,7519 -2,9232 -3,1590 -3,4651 -3,8288 -4,2084 -4,5651 -4,9043 -5,2809 -5,7469 -6,2802 -6,7813 -7,1467 -7,3364 -7,3860 -7,3705 -7,3529 -7,3523 -7,3331 -7,2240 -6,9770 -6,6208 -6,2402 -5,9096 -5,6712 -5,5590 -5,6004 -5,7883 -6,0761 -6,4118 -6,7545 -7,0434 -7,1952 -7,1719 -7,0109 -6,7766 -6,5153 -6,2530 -6,0110 -5,8150 -5,6913 -5,6500 -5,6665 -5,6986 -5,7272 -5,7552 -5,7775 -5,7810 -5,7588 -5,7049 -5,6133 -5,5025 -5,4204 -5,4073 -5,4682 -5,5788 -5,7038 -5,8207 -5,9285 -6,0267 -6,0951 -6,1046 -6,0448 -5,9447 -5,8680 -5,8708 -5,9615 -6,1036 -6,2371 -6,2912 -6,2058 -5,9674 -5,6305 -5,2937 -5,0345 -4,8561 -4,6935 -4,4829 -4,2248 -3,9792 -3,8236 -3,8213 -3,9959 -4,3190 -4,7305 -5,1739 -5,6254 -6,0951 -6,5933 -7,0941 -7,5387 -7,8697 -8,0576 -8,0998 -8,0167 -7,8594 -7,6976 -7,5782 -7,4968 -7,4148 -7,2965 -7,1316 -6,9361 -6,7439 -6,5909 -6,4872 -6,4051 -6,3100 -6,2062 -6,1355 -6,1257 -6,1575 -6,1836 -6,1604 -6,0635 -5,8991 -5,7092 -5,5531 -5,4678 -5,4333 -5,3692 -5,1683 -4,7480 -4,0985 -3,3041 -2,5202 -1,9134 -1,5860 -1,5263 -1,6233 -1,7292 -1,7156 -1,5105 -1,1100 -0,5737 -0,0159 0,4231 0,6430 0,6307 0,4392 0,1410 -0,1959 -0,5187 -0,7971 -1,0196 -1,1932 -1,3491 -1,5396 -1,8204 -2,2257 -2,7498 -3,3486 -3,9652 -4,5620 -5,1274 -5,6548 -6,1246 -6,5039 -6,7582 -6,8662 -6,8333 -6,6904 -6,4858 -6,2778 -6,1282 -6,0884 -6,1834 -6,4117 -6,7542 -7,1765 -7,6302 -8,0619 -8,4330 -8,7309 -8,9609 -9,1429 -9,3212 -9,5484 -9,8416 -10,1581 -10,4157 -10,5365 -10,4819 -10,2675 -9,9576 -9,6375 -9,3756 -9,1994 -9,0870 -8,9777 -8,8062 -8,5370 -8,1724 -7,7367 -7,2627 -6,7888 -6,3579 -6,0162 -5,8053 -5,7436 -5,8108 -5,9529 -6,1063 -6,2234 -6,2851 -6,2981 -6,2798 -6,2351
