Fp1   -0,1555 -0,0729 -0,0165 0,0192 0,0153 -0,0487 -0,1734 -0,3373 -0,5014 -0,6223 -0,6663 -0,6132 -0,4587 -0,2226 0,0616 0,3673 0,6786 0,9784 1,2417 1,4321 1,5074 1,4382 1,2311 0,9315 0,6064 0,3242 0,1342 0,0494 0,0441 0,0688 0,0725 0,0185 -0,1076 -0,2909 -0,4880 -0,6445 -0,7208 -0,7100 -0,6357 -0,5350 -0,4377 -0,3602 -0,3161 -0,3166 -0,3505 -0,3825 -0,3787 -0,3272 -0,2319 -0,0980 0,0689 0,2534 0,4336 0,5911 0,7138 0,7975 0,8515 0,8949 0,9433 0,9962 1,0360 1,0400 0,9911 0,8811 0,7115 0,5011 0,2854 0,1036 -0,0189 -0,0788 -0,0918 -0,0825 -0,0751 -0,0940 -0,1606 -0,2856 -0,4635 -0,6699 -0,8658 -1,0138 -1,0935 -1,1097 -1,0900 -1,0674 -1,0570 -1,0540 -1,0545 -1,0709 -1,1138 -1,1640 -1,1784 -1,1190 -0,9741 -0,7643 -0,5387 -0,3610 -0,2824 -0,3197 -0,4646 -0,7101 -1,0473 -1,4448 -1,8545 -2,2409 -2,5954 -2,9297 -3,2599 -3,5976 -3,9511 -4,3263 -4,7193 -5,1113 -5,4715 -5,7757 -6,0243 -6,2368 -6,4265 -6,5851 -6,6921 -6,7281 -6,6768 -6,5219 -6,2544 -5,8885 -5,4596 -5,0028 -4,5423 -4,0977 -3,6901 -3,3346 -3,0282 -2,7498 -2,4712 -2,1700 -1,8432 -1,5061 -1,1776 -0,8724 -0,6050 -0,3847 -0,2001 -0,0160 0,2125 0,5202 0,9175 1,3876 1,8908 2,3749 2,7941 3,1330 3,4181 3,6978 4,0004 4,3125 4,5926 4,7894 4,8557 4,7765 4,5912 4,3687 4,1643 4,0036 3,8849 3,7861 3,6808 3,5564 3,4114 3,2423 3,0398 2,8020 2,5437 2,2880 2,0502 1,8360 1,6508 1,5046 1,4075 1,3629 1,3659 1,4004 1,4401 1,4571 1,4303 1,3467 1,2090 1,0341 0,8332 0,6003 0,3346 0,0586 -0,2064 -0,4771 -0,7971 -1,1849 -1,6091 -2,0183 -2,3846 -2,7119 -3,0194 -3,3255 -3,6410 -3,9653 -4,2869 -4,5848 -4,8306 -5,0010 -5,1047 -5,1927 -5,3325 -5,5679 -5,9003 -6,2934 -6,6847 -7,0011 -7,1805 -7,1916 -7,0397 -6,7586 -6,4007 -6,0279 -5,7027 -5,4799 -5,3975 -5,4660 -5,6572 -5,9047 -6,1255 -6,2527 -6,2581 -6,1550 -5,9864 -5,8031 -5,6453 -5,5374 -5,4927 -5,5144 -5,5924 -5,7009 -5,8083 -5,8980 -5,9789 -6,0760 -6,2106 -6,3786 -6,5486 -6,6832 -6,7707 -6,8410 -6,9542 -7,1649 -7,4838 -7,8710 -8,2623 -8,6041 -8,8733 -9,0745 -9,2190 -9,3058 -9,3255 -9,2764 -9,1679 -9,0169 -8,8482 -8,6884 -8,5488 -8,4209 -8,2884 -8,1440 -8,0014 -7,8826 -7,7887 -7,6881 -7,5413 -7,3357 -7,0933 -6,8473 -6,6179 -6,4142 -6,2461 -6,1247 -6,0520 -6,0205 -6,0203 -6,0411 -6,0748 -6,1227 -6,1961 -6,2963 -6,4005 -6,4743 -6,4960 -6,4672 -6,4048 -6,3317 -6,2708 -6,2397 -6,2426 -6,2633 -6,2673 -6,2150 -6,0820 -5,8760 -5,6423 -5,4472 -5,3402 -5,3311 -5,3965 -5,4939 -5,5683 -5,5690 -5,4738 -5,2951 -5,0654 -4,8215 -4,5923 -4,3897 -4,2064 -4,0233 -3,8252 -3,6221 -3,4472 -3,3275 -3,2643 -3,2405 -3,2375 -3,2429 -3,2522 -3,2765 -3,3409 -3,4657 -3,6455 -3,8533 -4,0663 -4,2801 -4,4992 -4,7271 -4,9555 -5,1504 -5,2588 -5,2436 -5,1099 -4,8933 -4,6365 -4,3766 -4,1379 -3,9289 -3,7516 -3,6164 -3,5430 -3,5484 -3,6303 -3,7600 -3,9015 -4,0376 -4,1715 -4,3050 -4,4175 -4,4733 -4,4507 -4,3599 -4,2283 -4,0765 -3,9120 -3,7357 -3,5464 -3,3406 -3,1169 -2,8759 -2,6121 -2,3155 -1,9850 -1,6365 -1,3020 -1,0190 -0,8116 -0,6816 -0,6182 -0,6089 -0,6420 -0,7050 -0,7873 -0,8842 -1,0005 -1,1466 -1,3301 -1,5458 -1,7736 -1,9864 -2,1652 -2,3069 -2,4150 -2,4902 -2,5387 -2,5790 -2,6265 -2,6818 -2,7411 -2,8052 -2,8726 -2,9346 -2,9867 -3,0357 -3,0926 -3,1620 -3,2349 -3,2835 -3,2699 -3,1642 -2,9525 -2,6381 -2,2441 -1,8152 -1,4062 -1,0558 -0,7662 -0,5101 -0,2599 -0,0099 0,2245 0,4189 0,5509 0,6027 0,5608 0,4215 0,2006 -0,0673 -0,3413 -0,5834 -0,7490 -0,7798 -0,6266 -0,2875 0,1798 0,6818 1,1251 1,4406 1,5965 1,6078 1,5356 1,4635 1,4549 1,5219 1,6256 1,7016 1,6948 1,5824 1,3786 1,1262 0,8817 0,6980 0,6065 0,5999 0,6243 0,6043 0,4891 0,2750 0,0008 -0,2565 -0,3961 -0,3405 -0,0821 0,3202 0,7912 1,2731 1,7177 2,0717 2,2914 2,3696 2,3452 2,2794 2,2167 2,1693 2,1278 2,0712 1,9765 1,8303 1,6395 1,4369 1,2722 1,1761 1,1300 1,0733 0,9367 0,6746 0,2818 -0,2154 -0,7791 -1,3655 -1,9165 -2,3695 -2,6862 -2,8688 -2,9516 -2,9815 -2,9905 -2,9792 -2,9305 -2,8351 -2,7019 -2,5442 -2,3573 -2,1162 -1,8010 -1,4250 -1,0358 -0,6854 -0,3982 -0,1637 0,0482 0,2689 0,5169 0,7920 1,0740 1,3270 1,5204 1,6465 1,7223 1,7825 1,8705 2,0274 2,2781 2,6221 3,0339 3,4695 3,8696 4,1683 4,3215 4,3320 4,2425 4,1099 3,9938 3,9447 3,9789 4,0623 4,1284 4,1104 3,9699 3,7172 3,4066 3,0997 2,8296 2,5973 2,3909 2,2048 2,0451 1,9182 1,8248 1,7658 1,7409 1,7355 1,7185 1,6576 1,5364 1,3598 1,1509 0,9444 0,7779 0,6813 0,6632 0,7073 0,7844 0,8680 0,9378 0,9765 0,9710 0,9130 0,7963 0,6160 0,3701 0,0600 -0,3039 -0,7001 -1,1077 -1,5184 -1,9289 -2,3273 -2,6993 -3,0450 -3,3834 -3,7373 -4,1128 -4,4923 -4,8489 -5,1646 -5,4340 -5,6568 -5,8273 -5,9301 -5,9472 -5,8762 -5,7403 -5,5764 -5,4110 -5,2463 -5,0636 -4,8359 -4,5456 -4,2019 -3,8394 -3,4980
Fz    1,8151 1,8315 1,7779 1,6677 1,5130 1,3287 1,1385 0,9730 0,8593 0,8060 0,8016 0,8317 0,8882 0,9610 1,0401 1,1231 1,2132 1,3171 1,4453 1,5951 1,7301 1,7883 1,7161 1,4992 1,1697 0,7885 0,4163 0,0923 -0,1741 -0,3962 -0,5929 -0,7779 -0,9619 -1,1527 -1,3488 -1,5416 -1,7256 -1,8989 -2,0540 -2,1790 -2,2664 -2,3151 -2,3272 -2,3019 -2,2299 -2,0959 -1,8891 -1,6154 -1,3016 -0,9818 -0,6820 -0,4175 -0,1963 -0,0173 0,1313 0,2712 0,4285 0,6211 0,8440 1,0695 1,2641 1,4091 1,5073 1,5724 1,6125 1,6292 1,6294 1,6299 1,6478 1,6893 1,7464 1,8047 1,8566 1,9006 1,9291 1,9225 1,8601 1,7344 1,5545 1,3365 1,0965 0,8527 0,6261 0,4387 0,3052 0,2218 0,1581 0,0635 -0,1005 -0,3282 -0,5793 -0,8179 -1,0304 -1,2144 -1,3698 -1,5015 -1,6219 -1,7453 -1,8908 -2,0856 -2,3515 -2,6894 -3,0850 -3,5234 -3,9909 -4,4702 -4,9379 -5,3654 -5,7264 -6,0104 -6,2299 -6,4127 -6,5873 -6,7762 -6,9946 -7,2418 -7,4903 -7,6898 -7,7855 -7,7327 -7,5025 -7,0891 -6,5198 -5,8557 -5,1756 -4,5471 -4,0093 -3,5788 -3,2565 -3,0222 -2,8284 -2,6150 -2,3347 -1,9689 -1,5299 -1,0461 -0,5480 -0,0672 0,3615 0,7151 0,9990 1,2401 1,4643 1,6808 1,8890 2,0997 2,3415 2,6432 3,0142 3,4460 3,9254 4,4399 4,9707 5,4867 5,9431 6,2814 6,4435 6,4058 6,2017 5,9022 5,5823 5,3041 5,1039 4,9831 4,9165 4,8726 4,8241 4,7553 4,6674 4,5696 4,4617 4,3297 4,1614 3,9596 3,7407 3,5215 3,3070 3,0904 2,8628 2,6220 2,3757 2,1410 1,9315 1,7439 1,5652 1,3907 1,2258 1,0722 0,9261 0,7861 0,6481 0,4930 0,2941 0,0415 -0,2465 -0,5457 -0,8526 -1,1842 -1,5573 -1,9700 -2,4032 -2,8288 -3,2173 -3,5416 -3,7768 -3,9072 -3,9464 -3,9426 -3,9570 -4,0360 -4,1994 -4,4425 -4,7461 -5,0808 -5,4036 -5,6604 -5,7991 -5,7875 -5,6289 -5,3658 -5,0640 -4,7822 -4,5537 -4,3870 -4,2679 -4,1582 -4,0091 -3,7862 -3,4862 -3,1335 -2,7651 -2,4145 -2,1049 -1,8537 -1,6788 -1,5978 -1,6173 -1,7206 -1,8686 -2,0174 -2,1353 -2,2091 -2,2430 -2,2512 -2,2472 -2,2405 -2,2419 -2,2708 -2,3549 -2,5176 -2,7574 -3,0423 -3,3262 -3,5783 -3,8045 -4,0383 -4,3057 -4,5972 -4,8726 -5,0862 -5,2023 -5,2006 -5,0846 -4,8803 -4,6207 -4,3327 -4,0386 -3,7604 -3,5257 -3,3669 -3,3031 -3,3178 -3,3655 -3,4090 -3,4410 -3,4696 -3,4968 -3,5165 -3,5222 -3,5071 -3,4613 -3,3808 -3,2730 -3,1485 -3,0147 -2,8882 -2,8024 -2,7874 -2,8463 -2,9605 -3,1135 -3,2966 -3,4912 -3,6563 -3,7397 -3,6960 -3,4999 -3,1566 -2,7059 -2,2078 -1,7181 -1,2805 -0,9372 -0,7273 -0,6628 -0,7162 -0,8371 -0,9707 -1,0633 -1,0708 -0,9765 -0,7965 -0,5676 -0,3249 -0,0844 0,1572 0,4081 0,6690 0,9270 1,1530 1,3118 1,3872 1,3923 1,3523 1,2871 1,2109 1,1343 1,0592 0,9757 0,8732 0,7533 0,6283 0,5082 0,3936 0,2725 0,1154 -0,1170 -0,4413 -0,8291 -1,2184 -1,5377 -1,7278 -1,7597 -1,6449 -1,4263 -1,1630 -0,9193 -0,7551 -0,7123 -0,8049 -1,0163 -1,3032 -1,6147 -1,9113 -2,1619 -2,3288 -2,3682 -2,2569 -2,0164 -1,7031 -1,3691 -1,0315 -0,6779 -0,2929 0,1261 0,5658 1,0010 1,4063 1,7690 2,0933 2,3915 2,6702 2,9220 3,1291 3,2794 3,3781 3,4424 3,4904 3,5357 3,5902 3,6669 3,7767 3,9154 4,0608 4,1836 4,2624 4,2862 4,2450 4,1242 3,9169 3,6415 3,3431 3,0701 2,8450 2,6604 2,4998 2,3535 2,2175 2,0867 1,9519 1,8009 1,6319 1,4651 1,3324 1,2575 1,2474 1,2940 1,3799 1,4895 1,6168 1,7620 1,9221 2,0897 2,2570 2,4141 2,5458 2,6371 2,6841 2,6981 2,7039 2,7326 2,8048 2,9120 3,0188 3,0874 3,1015 3,0684 3,0082 2,9500 2,9341 3,0074 3,2033 3,5198 3,9132 4,3153 4,6640 4,9283 5,1098 5,2288 5,3064 5,3496 5,3463 5,2751 5,1262 4,9156 4,6825 4,4763 4,3455 4,3213 4,4008 4,5481 4,7118 4,8388 4,8833 4,8199 4,6526 4,4118 4,1482 3,9247 3,7984 3,7975 3,9113 4,1009 4,3214 4,5305 4,6862 4,7524 4,7184 4,6120 4,4861 4,3860 4,3239 4,2739 4,1884 4,0263 3,7716 3,4299 3,0205 2,5727 2,1159 1,6680 1,2374 0,8347 0,4814 0,2011 -0,0050 -0,1707 -0,3439 -0,5484 -0,7697 -0,9759 -1,1412 -1,2545 -1,3155 -1,3228 -1,2675 -1,1399 -0,9393 -0,6759 -0,3654 -0,0236 0,3345 0,6929 1,0402 1,3751 1,7054 2,0418 2,3879 2,7335 3,0588 3,3446 3,5785 3,7536 3,8710 3,9418 3,9817 4,0043 4,0257 4,0740 4,1844 4,3841 4,6761 5,0315 5,3941 5,6967 5,8798 5,9111 5,7993 5,5880 5,3368 5,1044 4,9342 4,8462 4,8370 4,8821 4,9369 4,9480 4,8764 4,7173 4,5048 4,2955 4,1362 4,0362 3,9659 3,8806 3,7571 3,6157 3,5062 3,4628 3,4751 3,5022 3,4992 3,4313 3,2867 3,0867 2,8734 2,6840 2,5331 2,4154 2,3204 2,2493 2,2105 2,1953 2,1656 2,0675 1,8543 1,5075 1,0488 0,5314 0,0143 -0,4561 -0,8530 -1,1714 -1,4248 -1,6366 -1,8375 -2,0668 -2,3632 -2,7460 -3,1976 -3,6633 -4,0737 -4,3789 -4,5673 -4,6556 -4,6663 -4,6163 -4,5189 -4,3858 -4,2286 -4,0621 -3,9028 -3,7585 -3,6183 -3,4517 -3,2197 -2,8951 -2,4824 -2,0220 -1,5709
F3    -0,4500 -0,2503 -0,0459 0,1337 0,2589 0,3105 0,2892 0,2159 0,1232 0,0440 0,0033 0,0189 0,0983 0,2323 0,4011 0,5833 0,7572 0,9037 1,0126 1,0763 1,0748 0,9804 0,7847 0,5171 0,2350 -0,0022 -0,1557 -0,2199 -0,2232 -0,2111 -0,2166 -0,2469 -0,2974 -0,3630 -0,4298 -0,4703 -0,4580 -0,3877 -0,2809 -0,1746 -0,1035 -0,0884 -0,1409 -0,2669 -0,4550 -0,6672 -0,8471 -0,9387 -0,9083 -0,7548 -0,5092 -0,2261 0,0344 0,2298 0,3450 0,3880 0,3816 0,3569 0,3439 0,3592 0,3984 0,4409 0,4628 0,4431 0,3653 0,2252 0,0421 -0,1442 -0,2952 -0,3916 -0,4359 -0,4436 -0,4360 -0,4387 -0,4786 -0,5726 -0,7158 -0,8821 -1,0401 -1,1724 -1,2778 -1,3599 -1,4204 -1,4632 -1,4957 -1,5295 -1,5805 -1,6608 -1,7595 -1,8363 -1,8481 -1,7821 -1,6553 -1,4944 -1,3246 -1,1712 -1,0582 -1,0002 -1,0098 -1,1110 -1,3294 -1,6667 -2,0984 -2,5918 -3,1160 -3,6382 -4,1250 -4,5508 -4,9037 -5,1858 -5,4086 -5,5847 -5,7225 -5,8302 -5,9229 -6,0143 -6,0998 -6,1551 -6,1577 -6,1023 -5,9914 -5,8205 -5,5816 -5,2780 -4,9268 -4,5463 -4,1460 -3,7340 -3,3264 -2,9404 -2,5805 -2,2387 -1,9073 -1,5875 -1,2873 -1,0112 -0,7553 -0,5126 -0,2778 -0,0460 0,1922 0,4491 0,7358 1,0622 1,4396 1,8774 2,3686 2,8788 3,3557 3,7571 4,0720 4,3139 4,4997 4,6388 4,7329 4,7695 4,7222 4,5777 4,3604 4,1199 3,9051 3,7536 3,6876 3,7039 3,7746 3,8595 3,9190 3,9235 3,8563 3,7096 3,4845 3,1942 2,8632 2,5203 2,1932 1,9062 1,6748 1,4994 1,3651 1,2511 1,1434 1,0397 0,9429 0,8513 0,7603 0,6655 0,5557 0,4101 0,2140 -0,0287 -0,3038 -0,6042 -0,9293 -1,2659 -1,5795 -1,8384 -2,0424 -2,2188 -2,3986 -2,6023 -2,8365 -3,0891 -3,3314 -3,5364 -3,6955 -3,8169 -3,9165 -4,0103 -4,1067 -4,2019 -4,2851 -4,3506 -4,4040 -4,4548 -4,5026 -4,5317 -4,5137 -4,4201 -4,2405 -3,9952 -3,7279 -3,4866 -3,3090 -3,2168 -3,2116 -3,2703 -3,3498 -3,4028 -3,3955 -3,3171 -3,1816 -3,0202 -2,8705 -2,7683 -2,7421 -2,8040 -2,9397 -3,1122 -3,2812 -3,4224 -3,5293 -3,6030 -3,6461 -3,6626 -3,6609 -3,6552 -3,6666 -3,7236 -3,8605 -4,1007 -4,4337 -4,8120 -5,1741 -5,4742 -5,7002 -5,8664 -5,9865 -6,0562 -6,0605 -5,9909 -5,8509 -5,6535 -5,4211 -5,1819 -4,9584 -4,7613 -4,5958 -4,4686 -4,3871 -4,3523 -4,3470 -4,3323 -4,2637 -4,1178 -3,9034 -3,6474 -3,3785 -3,1216 -2,9006 -2,7339 -2,6270 -2,5720 -2,5557 -2,5609 -2,5703 -2,5784 -2,5925 -2,6137 -2,6220 -2,5908 -2,5137 -2,4143 -2,3277 -2,2755 -2,2611 -2,2788 -2,3194 -2,3708 -2,4193 -2,4513 -2,4543 -2,4200 -2,3511 -2,2613 -2,1642 -2,0681 -1,9763 -1,8849 -1,7806 -1,6501 -1,4934 -1,3245 -1,1613 -1,0159 -0,8868 -0,7581 -0,6093 -0,4300 -0,2289 -0,0367 0,1076 0,1834 0,1998 0,1821 0,1579 0,1541 0,1850 0,2321 0,2439 0,1651 -0,0298 -0,3298 -0,7014 -1,0989 -1,4719 -1,7804 -2,0062 -2,1429 -2,1828 -2,1187 -1,9544 -1,7130 -1,4387 -1,1854 -0,9914 -0,8646 -0,7949 -0,7736 -0,7967 -0,8615 -0,9636 -1,0939 -1,2429 -1,4046 -1,5679 -1,6992 -1,7429 -1,6527 -1,4320 -1,1390 -0,8514 -0,6242 -0,4760 -0,3986 -0,3664 -0,3435 -0,2953 -0,1982 -0,0428 0,1691 0,4269 0,7144 1,0105 1,2951 1,5607 1,8132 2,0546 2,2659 2,4130 2,4709 2,4416 2,3469 2,2091 2,0427 1,8595 1,6748 1,5069 1,3649 1,2390 1,1060 0,9445 0,7465 0,5136 0,2515 -0,0226 -0,2755 -0,4765 -0,6147 -0,6966 -0,7343 -0,7408 -0,7283 -0,7039 -0,6700 -0,6256 -0,5634 -0,4689 -0,3241 -0,1133 0,1675 0,5022 0,8511 1,1617 1,3904 1,5236 1,5777 1,5818 1,5615 1,5362 1,5201 1,5203 1,5307 1,5304 1,4925 1,4030 1,2702 1,1157 0,9651 0,8558 0,8426 0,9768 1,2695 1,6738 2,1022 2,4631 2,6933 2,7777 2,7491 2,6651 2,5766 2,5101 2,4677 2,4393 2,4171 2,4021 2,4014 2,4248 2,4829 2,5815 2,7148 2,8661 3,0083 3,1041 3,1139 3,0179 2,8316 2,6009 2,3882 2,2550 2,2376 2,3308 2,4942 2,6777 2,8442 2,9762 3,0687 3,1205 3,1339 3,1229 3,1112 3,1149 3,1301 3,1400 3,1264 3,0771 2,9868 2,8515 2,6673 2,4354 2,1613 1,8486 1,5014 1,1311 0,7577 0,4005 0,0617 -0,2774 -0,6394 -1,0264 -1,4156 -1,7733 -2,0694 -2,2810 -2,3933 -2,3972 -2,2918 -2,0897 -1,8172 -1,5065 -1,1819 -0,8514 -0,5143 -0,1791 0,1312 0,3897 0,5812 0,7130 0,8151 0,9273 1,0817 1,2932 1,5567 1,8492 2,1392 2,4035 2,6330 2,8276 2,9954 3,1534 3,3237 3,5254 3,7657 4,0313 4,2873 4,4881 4,5944 4,5898 4,4834 4,3026 4,0849 3,8766 3,7237 3,6531 3,6621 3,7183 3,7679 3,7551 3,6469 3,4473 3,1938 2,9398 2,7274 2,5669 2,4387 2,3125 2,1727 2,0344 1,9346 1,9033 1,9418 2,0254 2,1186 2,1872 2,2105 2,1872 2,1305 2,0561 1,9747 1,8911 1,8101 1,7446 1,7073 1,6936 1,6760 1,6161 1,4791 1,2436 0,9098 0,4996 0,0490 -0,4043 -0,8339 -1,2347 -1,6193 -2,0023 -2,3873 -2,7663 -3,1237 -3,4406 -3,7039 -3,9096 -4,0623 -4,1762 -4,2737 -4,3748 -4,4904 -4,6249 -4,7743 -4,9192 -5,0249 -5,0536 -4,9792 -4,7948 -4,5117 -4,1496 -3,7308 -3,2856 -2,8577 -2,4937 -2,2222
F7    -0,2993 -0,2071 -0,1452 -0,1152 -0,1230 -0,1688 -0,2413 -0,3212 -0,3864 -0,4157 -0,3960 -0,3271 -0,2260 -0,1248 -0,0493 0,0022 0,0521 0,1255 0,2438 0,4152 0,6149 0,7837 0,8590 0,8111 0,6599 0,4618 0,2782 0,1444 0,0587 0,0019 -0,0356 -0,0461 -0,0242 0,0178 0,0560 0,0684 0,0410 -0,0289 -0,1301 -0,2405 -0,3322 -0,3824 -0,3862 -0,3554 -0,3018 -0,2259 -0,1233 0,0058 0,1531 0,3042 0,4413 0,5409 0,5792 0,5456 0,4482 0,3071 0,1480 -0,0045 -0,1370 -0,2490 -0,3435 -0,4190 -0,4693 -0,4895 -0,4820 -0,4638 -0,4652 -0,5214 -0,6610 -0,8927 -1,1960 -1,5203 -1,7995 -1,9837 -2,0648 -2,0736 -2,0571 -2,0494 -2,0564 -2,0667 -2,0724 -2,0754 -2,0812 -2,0904 -2,0956 -2,0875 -2,0667 -2,0467 -2,0362 -2,0184 -1,9572 -1,8228 -1,6083 -1,3300 -1,0179 -0,7060 -0,4224 -0,1874 -0,0266 0,0171 -0,0939 -0,3557 -0,7214 -1,1277 -1,5189 -1,8565 -2,1250 -2,3337 -2,5117 -2,6959 -2,9144 -3,1701 -3,4388 -3,6870 -3,8954 -4,0610 -4,1751 -4,2126 -4,1549 -4,0156 -3,8355 -3,6559 -3,4998 -3,3719 -3,2659 -3,1686 -3,0629 -2,9363 -2,7855 -2,6067 -2,3809 -2,0849 -1,7155 -1,2969 -0,8655 -0,4472 -0,0445 0,3523 0,7415 1,1050 1,4246 1,6939 1,9181 2,1061 2,2630 2,3904 2,4929 2,5805 2,6682 2,7787 2,9405 3,1741 3,4752 3,8128 4,1406 4,4051 4,5583 4,5833 4,5038 4,3639 4,2062 4,0650 3,9576 3,8757 3,7952 3,6902 3,5398 3,3351 3,0864 2,8204 2,5673 2,3443 2,1489 1,9715 1,8102 1,6756 1,5851 1,5516 1,5788 1,6629 1,7949 1,9581 2,1198 2,2309 2,2416 2,1223 1,8703 1,5059 1,0691 0,6123 0,1767 -0,2321 -0,6388 -1,0650 -1,5028 -1,9240 -2,3014 -2,6128 -2,8387 -2,9736 -3,0342 -3,0510 -3,0539 -3,0658 -3,0972 -3,1429 -3,1952 -3,2639 -3,3768 -3,5643 -3,8459 -4,2242 -4,6791 -5,1622 -5,6019 -5,9218 -6,0660 -6,0140 -5,7821 -5,4124 -4,9590 -4,4768 -4,0141 -3,6117 -3,2986 -3,0834 -2,9530 -2,8853 -2,8637 -2,8810 -2,9353 -3,0253 -3,1503 -3,3091 -3,4993 -3,7182 -3,9564 -4,1883 -4,3812 -4,5191 -4,6158 -4,7038 -4,8140 -4,9620 -5,1451 -5,3508 -5,5665 -5,7870 -6,0143 -6,2468 -6,4675 -6,6499 -6,7784 -6,8639 -6,9423 -7,0587 -7,2389 -7,4718 -7,7197 -7,9447 -8,1247 -8,2519 -8,3245 -8,3369 -8,2747 -8,1203 -7,8627 -7,5101 -7,1016 -6,7023 -6,3717 -6,1332 -5,9719 -5,8607 -5,7840 -5,7388 -5,7208 -5,7212 -5,7322 -5,7491 -5,7638 -5,7641 -5,7426 -5,7025 -5,6596 -5,6410 -5,6708 -5,7516 -5,8632 -5,9817 -6,1006 -6,2322 -6,3870 -6,5569 -6,7165 -6,8359 -6,8904 -6,8682 -6,7737 -6,6226 -6,4287 -6,1963 -5,9336 -5,6691 -5,4473 -5,3077 -5,2665 -5,3062 -5,3793 -5,4335 -5,4427 -5,4134 -5,3664 -5,3151 -5,2564 -5,1774 -5,0674 -4,9284 -4,7800 -4,6594 -4,6067 -4,6396 -4,7431 -4,8844 -5,0364 -5,1844 -5,3220 -5,4520 -5,5893 -5,7534 -5,9499 -6,1624 -6,3648 -6,5336 -6,6506 -6,7047 -6,6966 -6,6366 -6,5373 -6,4098 -6,2600 -6,0919 -5,9147 -5,7409 -5,5780 -5,4286 -5,3005 -5,2090 -5,1677 -5,1781 -5,2217 -5,2654 -5,2851 -5,2848 -5,2852 -5,2976 -5,3113 -5,3049 -5,2665 -5,2035 -5,1335 -5,0681 -5,0062 -4,9391 -4,8580 -4,7616 -4,6570 -4,5496 -4,4355 -4,3127 -4,1983 -4,1253 -4,1202 -4,1823 -4,2805 -4,3705 -4,4223 -4,4363 -4,4351 -4,4363 -4,4327 -4,4054 -4,3556 -4,3100 -4,2969 -4,3307 -4,4103 -4,5251 -4,6613 -4,8069 -4,9486 -5,0672 -5,1467 -5,1850 -5,1867 -5,1527 -5,0863 -5,0011 -4,9187 -4,8648 -4,8696 -4,9619 -5,1535 -5,4247 -5,7217 -5,9697 -6,1041 -6,0947 -5,9404 -5,6533 -5,2605 -4,8123 -4,3715 -3,9834 -3,6530 -3,3566 -3,0757 -2,8171 -2,6046 -2,4632 -2,4108 -2,4521 -2,5702 -2,7249 -2,8640 -2,9422 -2,9388 -2,8642 -2,7401 -2,5736 -2,3570 -2,0957 -1,8248 -1,6008 -1,4762 -1,4738 -1,5730 -1,7172 -1,8377 -1,8814 -1,8306 -1,7076 -1,5611 -1,4451 -1,3995 -1,4415 -1,5622 -1,7285 -1,8926 -2,0058 -2,0296 -1,9509 -1,7987 -1,6393 -1,5434 -1,5560 -1,6806 -1,8740 -2,0568 -2,1497 -2,1126 -1,9556 -1,7156 -1,4304 -1,1335 -0,8622 -0,6541 -0,5326 -0,4930 -0,5078 -0,5486 -0,6006 -0,6591 -0,7207 -0,7774 -0,8167 -0,8342 -0,8389 -0,8473 -0,8809 -0,9695 -1,1472 -1,4365 -1,8299 -2,2847 -2,7465 -3,1775 -3,5559 -3,8579 -4,0630 -4,1759 -4,2322 -4,2787 -4,3520 -4,4653 -4,6082 -4,7581 -4,8917 -4,9876 -5,0219 -4,9673 -4,8045 -4,5413 -4,2158 -3,8786 -3,5667 -3,2876 -3,0211 -2,7407 -2,4335 -2,1084 -1,7930 -1,5206 -1,3133 -1,1698 -1,0705 -0,9906 -0,9063 -0,7966 -0,6472 -0,4535 -0,2190 0,0472 0,3304 0,6101 0,8624 1,0712 1,2358 1,3626 1,4557 1,5230 1,5780 1,6262 1,6570 1,6501 1,5828 1,4405 1,2307 0,9819 0,7235 0,4676 0,2085 -0,0641 -0,3520 -0,6392 -0,8876 -1,0454 -1,0687 -0,9477 -0,7186 -0,4503 -0,2200 -0,0883 -0,0816 -0,1870 -0,3641 -0,5651 -0,7480 -0,8804 -0,9442 -0,9376 -0,8784 -0,8038 -0,7566 -0,7641 -0,8321 -0,9567 -1,1365 -1,3723 -1,6575 -1,9713 -2,2867 -2,5909 -2,8961 -3,2299 -3,6138 -4,0500 -4,5236 -5,0178 -5,5274 -6,0547 -6,5903 -7,1048 -7,5599 -7,9244 -8,1753 -8,2926 -8,2607 -8,0778 -7,7612 -7,3470 -6,8846 -6,4313 -6,0441 -5,7596 -5,5710 -5,4330 -5,2975 -5,1436 -4,9804
