Fp1   1,5461 1,4939 1,2489 0,8437 0,3529 -0,1294 -0,5283 -0,8008 -0,9248 -0,8925 -0,7228 -0,4685 -0,1918 0,0634 0,2630 0,3702 0,3719 0,3075 0,2524 0,2672 0,3659 0,5233 0,6914 0,8125 0,8447 0,7933 0,7053 0,6230 0,5507 0,4751 0,4002 0,3386 0,2814 0,2012 0,0799 -0,0814 -0,2669 -0,4462 -0,5819 -0,6557 -0,6944 -0,7508 -0,8461 -0,9477 -1,0056 -1,0001 -0,9496 -0,8742 -0,7580 -0,5501 -0,2004 0,2946 0,8749 1,4447 1,9170 2,2330 2,3667 2,3274 2,1530 1,8940 1,5989 1,3058 1,0442 0,8371 0,6945 0,6142 0,5994 0,6710 0,8575 1,1646 1,5466 1,9086 2,1469 2,2032 2,0913 1,8803 1,6532 1,4724 1,3650 1,3273 1,3351 1,3583 1,3859 1,4428 1,5703 1,7832 2,0479 2,3018 2,4889 2,5801 2,5753 2,4965 2,3740 2,2334 2,0954 1,9774 1,8855 1,8041 1,7113 1,6086 1,5230 1,4769 1,4689 1,4770 1,4696 1,4187 1,3157 1,1706 0,9959 0,8044 0,6248 0,5006 0,4611 0,4959 0,5688 0,6604 0,7936 1,0069 1,2988 1,6117 1,8698 2,0262 2,0737 2,0247 1,8917 1,6941 1,4610 1,2208 0,9925 0,7857 0,6069 0,4668 0,3815 0,3712 0,4509 0,6170 0,8486 1,1197 1,3962 1,6340 1,8105 1,9505 2,1014 2,2888 2,4985 2,6811 2,7703 2,7167 2,5157 2,2070 1,8579 1,5484 1,3466 1,2774 1,3133 1,3972 1,4786 1,5372 1,5830 1,6381 1,7190 1,8354 1,9871 2,1463 2,2518 2,2352 2,0658 1,7695 1,4020 1,0166 0,6559 0,3571 0,1621 0,1172 0,2498 0,5407 0,9299 1,3457 1,7167 1,9739 2,0750 2,0265 1,8659 1,6324 1,3685 1,1266 0,9526 0,8706 0,8839 0,9797 1,1394 1,3468 1,5771 1,7876 1,9420 2,0401 2,1103 2,1653 2,1684 2,0408 1,7071 1,1473 0,4186 -0,3646 -1,0708 -1,5885 -1,8526 -1,8592 -1,6537 -1,2915 -0,8207 -0,3072 0,1544 0,4704 0,5821 0,4854 0,2391 -0,0516 -0,2735 -0,3391 -0,2115 0,0717 0,3957 0,6259 0,7019 0,6674 0,6110 0,5964 0,6390 0,7238 0,8380 0,9798 1,1347 1,2569 1,3040 1,2942 1,2973 1,3659 1,4975 1,6503 1,7637 1,7661 1,5957 1,2472 0,7989 0,3794 0,0963 -0,0144 0,0108 0,1030 0,2043 0,2832 0,3244 0,3192 0,2707 0,2015 0,1448 0,1125 0,0758 -0,0171 -0,1996 -0,4546 -0,7210 -0,9260 -1,0078 -0,9313 -0,7086 -0,3932 -0,0442 0,2977 0,6030 0,8435 0,9910 1,0245 0,9493 0,8176 0,7100 0,6733 0,6870 0,6917 0,6276 0,4496 0,1445 -0,2500 -0,6491 -0,9579 -1,1142 -1,1053 -0,9636 -0,7487 -0,5155 -0,2831 -0,0243 0,3159 0,7785 1,3423 1,9138 2,3796 2,6557 2,6814 2,4138 1,8630 1,1240 0,3668 -0,2130 -0,4687 -0,3720 -0,0246 0,4103 0,8016 1,0831 1,2290 1,2442 1,1747 1,0918 1,0535 1,0839 1,1722 1,2770 1,3470 1,3459 1,2641 1,1103 0,9007 0,6659 0,4644 0,3741 0,4654 0,7724 1,2785 1,9228 2,6213 3,2821 3,8093 4,1191 4,1700 3,9762 3,5841 3,0498 2,4416 1,8433 1,3386 0,9921 0,8448 0,9166 1,2024 1,6616 2,2138 2,7612 3,2186 3,5325 3,6972 3,7572 3,7756 3,7958 3,8294 3,8635 3,8763 3,8595 3,8261 3,7905 3,7503 3,6975 3,6432 3,6169 3,6437 3,7251 3,8368 3,9446 4,0329 4,1198 4,2361 4,3952 4,5857 4,7802 4,9440 5,0440 5,0592 4,9770 4,7839 4,4784 4,0864 3,6447 3,1768 2,6995 2,2465 1,8737 1,6462 1,6215 1,8289 2,2428 2,7640 3,2398 3,5318 3,5868 3,4401 3,1636 2,8284 2,4971 2,2186 2,0142 1,8616 1,6993 1,4737 1,1952 0,9321 0,7499 0,6566 0,6029 0,5356 0,4487 0,3798 0,3707 0,4442 0,5983 0,7994 0,9883 1,1084 1,1455 1,1408 1,1514 1,2077 1,3125 1,4574 1,6245 1,7861 1,9121 1,9799 1,9821 1,9323 1,8582 1,7814 1,7045 1,6185 1,5206 1,4224 1,3388 1,2781 1,2455 1,2389 1,2356 1,1963 1,0854 0,8940 0,6534 0,4238 0,2608 0,1958 0,2405 0,3869 0,5909 0,7702 0,8375 0,7453 0,5070 0,1823 -0,1588 -0,4672 -0,7202 -0,8969 -0,9629 -0,8906 -0,6848 -0,3757 0,0068 0,4370 0,8732 1,2549 1,5282 1,6662 1,6635 1,5265 1,2700 0,9115 0,4769 0,0249 -0,3575 -0,6026 -0,6969 -0,6760 -0,6074 -0,5781 -0,6783 -0,9627 -1,4188 -1,9748 -2,5374 -3,0302 -3,4147 -3,6842 -3,8403 -3,8779 -3,7913 -3,5886 -3,2912 -2,9232 -2,5095 -2,0765 -1,6407 -1,1995 -0,7512 -0,3218 0,0407 0,3055 0,4821 0,6039 0,7004 0,7915 0,8928 1,0228 1,2035 1,4386 1,6966 1,9289 2,1046 2,2328 2,3604 2,5361 2,7665 3,0164 3,2428 3,4150 3,5136 3,5285 3,4670 3,3533 3,2051 3,0152 2,7679 2,4620 2,1160 1,7543 1,3964 1,0627 0,7865 0,6081 0,5605 0,6648 0,9307 1,3534 1,8979 2,4866 3,0199 3,4318 3,7267 3,9576 4,1683 4,3548 4,4691 4,4427 4,2128 3,7564 3,1179 2,4010 1,7297 1,2048 0,8830 0,7833 0,8844 1,1154 1,3798 1,5992 1,7299 1,7542 1,6694 1,4831 1,2114 0,8817 0,5417 0,2485 0,0371 -0,1050 -0,2364 -0,4238 -0,6887 -0,9905 -1,2554 -1,4228 -1,4748 -1,4352 -1,3502 -1,2617 -1,1858 -1,1181 -1,0564 -1,0022 -0,9383 -0,8213 -0,6098 -0,3063 0,0349 0,3440 0,5747 0,7147 0,7796 0,8054 0,8367 0,9134 1,0571 1,2637
Fz    0,1602 0,2497 0,2690 0,2035 0,0667 -0,0963 -0,2322 -0,3044 -0,3027 -0,2397 -0,1422 -0,0389 0,0540 0,1448 0,2577 0,4083 0,5917 0,7961 1,0143 1,2367 1,4428 1,6076 1,7043 1,7038 1,5894 1,3717 1,0794 0,7350 0,3500 -0,0626 -0,4800 -0,8745 -1,2239 -1,5078 -1,7040 -1,7979 -1,7894 -1,6847 -1,4878 -1,2134 -0,9035 -0,6126 -0,3702 -0,1713 -0,0048 0,1171 0,1619 0,1096 -0,0182 -0,1625 -0,2628 -0,2904 -0,2482 -0,1457 0,0127 0,2214 0,4680 0,7317 0,9823 1,1902 1,3382 1,4217 1,4487 1,4390 1,4123 1,3808 1,3548 1,3471 1,3684 1,4176 1,4776 1,5288 1,5683 1,6049 1,6419 1,6745 1,6972 1,7085 1,7138 1,7224 1,7361 1,7441 1,7323 1,6949 1,6308 1,5358 1,4109 1,2801 1,1848 1,1496 1,1588 1,1738 1,1651 1,1220 1,0493 0,9678 0,9069 0,8808 0,8775 0,8765 0,8686 0,8485 0,8038 0,7250 0,6217 0,5198 0,4480 0,4245 0,4500 0,5047 0,5556 0,5708 0,5364 0,4684 0,4110 0,4161 0,5157 0,6959 0,8918 1,0204 1,0255 0,8996 0,6762 0,4113 0,1669 0,0008 -0,0452 0,0370 0,2152 0,4295 0,6209 0,7603 0,8577 0,9499 1,0761 1,2558 1,4848 1,7524 2,0530 2,3834 2,7446 3,1449 3,5846 4,0420 4,4820 4,8725 5,1908 5,4222 5,5557 5,5825 5,5010 5,3263 5,0892 4,8291 4,5900 4,4124 4,3190 4,3173 4,4092 4,5831 4,7990 5,0003 5,1411 5,1938 5,1408 4,9762 4,7156 4,3924 4,0394 3,6844 3,3613 3,1100 2,9624 2,9369 3,0314 3,2107 3,4120 3,5728 3,6524 3,6348 3,5250 3,3421 3,1030 2,8122 2,4720 2,0989 1,7265 1,3980 1,1570 1,0383 1,0663 1,2437 1,5320 1,8571 2,1490 2,3735 2,5271 2,6129 2,6233 2,5436 2,3720 2,1279 1,8356 1,5093 1,1581 0,7977 0,4530 0,1548 -0,0627 -0,1650 -0,1346 0,0003 0,1590 0,2474 0,2094 0,0522 -0,1659 -0,3668 -0,4834 -0,4767 -0,3483 -0,1463 0,0539 0,1925 0,2570 0,2704 0,2597 0,2447 0,2413 0,2589 0,2971 0,3472 0,3959 0,4330 0,4604 0,4916 0,5363 0,5914 0,6506 0,7141 0,7826 0,8478 0,8933 0,9077 0,8960 0,8764 0,8677 0,8797 0,9092 0,9380 0,9422 0,9142 0,8644 0,8002 0,7162 0,6059 0,4648 0,2823 0,0484 -0,2268 -0,5110 -0,7672 -0,9710 -1,1145 -1,1926 -1,1961 -1,1265 -1,0041 -0,8551 -0,7008 -0,5579 -0,4335 -0,3213 -0,2145 -0,1193 -0,0495 -0,0186 -0,0434 -0,1440 -0,3271 -0,5769 -0,8650 -1,1562 -1,4038 -1,5566 -1,5830 -1,4861 -1,2973 -1,0624 -0,8243 -0,6001 -0,3726 -0,1110 0,1948 0,5189 0,8081 1,0091 1,1038 1,1190 1,0942 1,0555 1,0209 1,0076 1,0335 1,1230 1,2957 1,5401 1,8030 2,0140 2,1186 2,0917 1,9320 1,6596 1,3181 0,9651 0,6581 0,4431 0,3439 0,3577 0,4652 0,6440 0,8743 1,1419 1,4327 1,7223 1,9784 2,1792 2,3218 2,4120 2,4535 2,4474 2,3996 2,3212 2,2209 2,0983 1,9479 1,7669 1,5558 1,3191 1,0813 0,8931 0,8110 0,8679 1,0657 1,3841 1,7841 2,2084 2,5912 2,8792 3,0435 3,0805 3,0162 2,9026 2,7922 2,7163 2,6860 2,6981 2,7378 2,7899 2,8569 2,9553 3,0985 3,2896 3,5249 3,7970 4,0970 4,4120 4,7220 5,0073 5,2603 5,4816 5,6611 5,7664 5,7571 5,6155 5,3668 5,0732 4,8090 4,6267 4,5346 4,5045 4,4920 4,4436 4,3065 4,0529 3,6975 3,2864 2,8760 2,5189 2,2536 2,0883 1,9909 1,8982 1,7513 1,5362 1,2897 1,0664 0,9006 0,7896 0,7022 0,5997 0,4461 0,2099 -0,1157 -0,4928 -0,8535 -1,1386 -1,3290 -1,4495 -1,5396 -1,6117 -1,6373 -1,5692 -1,3757 -1,0645 -0,6808 -0,2829 0,0826 0,3949 0,6550 0,8663 1,0268 1,1414 1,2243 1,2833 1,3136 1,3169 1,3182 1,3547 1,4527 1,6121 1,8053 1,9861 2,1044 2,1258 2,0426 1,8698 1,6363 1,3843 1,1550 0,9615 0,7835 0,5887 0,3608 0,1168 -0,1027 -0,2636 -0,3535 -0,3734 -0,3275 -0,2291 -0,1114 -0,0206 0,0131 -0,0066 -0,0535 -0,0959 -0,1054 -0,0614 0,0463 0,2210 0,4541 0,7131 0,9471 1,1057 1,1536 1,0828 0,9238 0,7344 0,5620 0,4185 0,2941 0,1814 0,0735 -0,0426 -0,1665 -0,2728 -0,3391 -0,3823 -0,4549 -0,6082 -0,8737 -1,2705 -1,8022 -2,4374 -3,1079 -3,7384 -4,2805 -4,7239 -5,0781 -5,3429 -5,4967 -5,5158 -5,4036 -5,1931 -4,9212 -4,6069 -4,2493 -3,8350 -3,3513 -2,8011 -2,2110 -1,6189 -1,0474 -0,4939 0,0506 0,5849 1,1024 1,5994 2,0755 2,5323 2,9675 3,3690 3,7191 4,0049 4,2248 4,3867 4,4922 4,5203 4,4363 4,2279 3,9295 3,6096 3,3373 3,1562 3,0764 3,0754 3,1119 3,1463 3,1491 3,0995 2,9921 2,8521 2,7363 2,7096 2,8106 3,0403 3,3759 3,7857 4,2295 4,6538 4,9957 5,2029 5,2576 5,1853 5,0407 4,8759 4,7146 4,5537 4,3793 4,1721 3,9154 3,6155 3,3109 3,0512 2,8674 2,7629 2,7265 2,7431 2,7971 2,8751 2,9621 3,0348 3,0622 3,0113 2,8551 2,5825 2,2065 1,7662 1,3147 0,8941 0,5191 0,1845 -0,1114 -0,3521 -0,5140 -0,5804 -0,5440 -0,4075 -0,1956 0,0415 0,2472 0,3870 0,4540 0,4513 0,3813 0,2564 0,1079 -0,0236 -0,1113 -0,1548 -0,1698 -0,1712 -0,1595 -0,1135 0,0051 0,2323 0,5839 1,0487 1,5919
F3    0,0980 0,0673 0,0150 -0,0545 -0,1258 -0,1695 -0,1566 -0,0803 0,0337 0,1439 0,2209 0,2571 0,2617 0,2586 0,2779 0,3322 0,4126 0,5169 0,6610 0,8527 1,0698 1,2701 1,4106 1,4604 1,4063 1,2525 1,0121 0,6959 0,3078 -0,1410 -0,6147 -1,0651 -1,4568 -1,7650 -1,9618 -2,0192 -1,9215 -1,6704 -1,2909 -0,8410 -0,4091 -0,0746 0,1397 0,2689 0,3568 0,4061 0,3786 0,2417 0,0069 -0,2759 -0,5483 -0,7596 -0,8667 -0,8310 -0,6314 -0,2828 0,1692 0,6657 1,1495 1,5755 1,9117 2,1346 2,2377 2,2386 2,1668 2,0498 1,9110 1,7705 1,6410 1,5211 1,3993 1,2722 1,1549 1,0683 1,0291 1,0538 1,1576 1,3443 1,5994 1,8936 2,1868 2,4287 2,5705 2,5891 2,4975 2,3317 2,1386 1,9749 1,8966 1,9179 1,9860 2,0165 1,9543 1,7941 1,5700 1,3452 1,1896 1,1414 1,1908 1,3101 1,4818 1,6844 1,8727 1,9894 1,9938 1,8822 1,6923 1,4838 1,3064 1,1810 1,0968 1,0204 0,9225 0,8093 0,7254 0,7217 0,8189 0,9840 1,1335 1,1831 1,0981 0,8969 0,6289 0,3548 0,1271 -0,0211 -0,0742 -0,0331 0,0809 0,2236 0,3461 0,4246 0,4744 0,5391 0,6687 0,8913 1,1972 1,5548 1,9312 2,2981 2,6402 2,9629 3,2702 3,5456 3,7700 3,9439 4,0816 4,1947 4,2753 4,2867 4,1812 3,9320 3,5481 3,0756 2,5966 2,2031 1,9558 1,8783 1,9796 2,2458 2,6109 2,9712 3,2331 3,3452 3,2998 3,1197 2,8438 2,5099 2,1466 1,7892 1,4940 1,3148 1,2724 1,3573 1,5347 1,7375 1,8818 1,9146 1,8443 1,7271 1,6331 1,6084 1,6382 1,6445 1,5391 1,2844 0,9105 0,5014 0,1660 0,0007 0,0637 0,3553 0,8006 1,2621 1,5972 1,7221 1,6362 1,3939 1,0556 0,6680 0,2796 -0,0584 -0,3199 -0,5209 -0,7033 -0,9023 -1,1298 -1,3763 -1,6083 -1,7647 -1,7845 -1,6585 -1,4464 -1,2378 -1,0981 -1,0430 -1,0477 -1,0725 -1,0774 -1,0231 -0,8914 -0,7162 -0,5713 -0,5096 -0,5210 -0,5543 -0,5703 -0,5641 -0,5468 -0,5275 -0,5094 -0,4858 -0,4438 -0,3777 -0,2914 -0,1903 -0,0856 -0,0014 0,0479 0,0835 0,1509 0,2776 0,4470 0,6147 0,7396 0,8006 0,8007 0,7676 0,7390 0,7323 0,7393 0,7597 0,8137 0,9082 1,0122 1,0757 1,0500 0,8978 0,6167 0,2538 -0,1170 -0,4376 -0,6897 -0,8852 -1,0329 -1,1190 -1,1244 -1,0466 -0,8998 -0,7067 -0,4925 -0,2752 -0,0570 0,1615 0,3664 0,5374 0,6627 0,7285 0,7059 0,5668 0,3134 -0,0217 -0,3897 -0,7267 -0,9620 -1,0529 -1,0064 -0,8680 -0,6998 -0,5492 -0,4163 -0,2575 -0,0302 0,2706 0,6105 0,9256 1,1453 1,2363 1,2222 1,1456 1,0333 0,9034 0,7751 0,6697 0,6183 0,6573 0,7982 1,0046 1,2124 1,3720 1,4606 1,4610 1,3549 1,1475 0,8823 0,6268 0,4487 0,3936 0,4672 0,6378 0,8593 1,0933 1,3198 1,5296 1,7084 1,8375 1,9088 1,9305 1,9199 1,8946 1,8630 1,8266 1,7884 1,7518 1,7128 1,6618 1,5903 1,4883 1,3450 1,1713 1,0193 0,9657 1,0660 1,3296 1,7274 2,2058 2,6941 3,1181 3,4235 3,5904 3,6308 3,5849 3,5075 3,4378 3,3850 3,3470 3,3241 3,3056 3,2705 3,2093 3,1314 3,0547 3,0088 3,0376 3,1789 3,4434 3,8108 4,2376 4,6732 5,0756 5,4170 5,6746 5,8176 5,8121 5,6428 5,3284 4,9199 4,4881 4,1027 3,8093 3,6178 3,5040 3,4173 3,2993 3,1124 2,8595 2,5760 2,3128 2,1254 2,0543 2,0971 2,1955 2,2539 2,1895 1,9870 1,7055 1,4318 1,2278 1,1024 1,0196 0,9283 0,7780 0,5191 0,1302 -0,3451 -0,8146 -1,1965 -1,4621 -1,6393 -1,7768 -1,8898 -1,9397 -1,8685 -1,6470 -1,2958 -0,8706 -0,4285 -0,0062 0,3853 0,7536 1,0995 1,3996 1,6228 1,7528 1,7930 1,7636 1,6983 1,6376 1,6158 1,6517 1,7442 1,8698 1,9851 2,0417 2,0098 1,8883 1,6956 1,4618 1,2349 1,0647 0,9697 0,9253 0,8819 0,7975 0,6640 0,4997 0,3192 0,1220 -0,0883 -0,2940 -0,4779 -0,6396 -0,7886 -0,9219 -1,0184 -1,0568 -1,0303 -0,9413 -0,7906 -0,5680 -0,2484 0,1816 0,6825 1,1581 1,4950 1,6038 1,4468 1,0586 0,5356 -0,0188 -0,5404 -1,0001 -1,3796 -1,6681 -1,8685 -1,9848 -2,0093 -1,9401 -1,8141 -1,7025 -1,6663 -1,7336 -1,9192 -2,2324 -2,6568 -3,1415 -3,6199 -4,0428 -4,3945 -4,6758 -4,8782 -4,9766 -4,9460 -4,7886 -4,5377 -4,2291 -3,8816 -3,4973 -3,0668 -2,5818 -2,0551 -1,5286 -1,0485 -0,6293 -0,2471 0,1271 0,5051 0,8907 1,2892 1,7021 2,1241 2,5380 2,9132 3,2220 3,4584 3,6373 3,7794 3,8891 3,9350 3,8624 3,6439 3,3153 2,9594 2,6606 2,4703 2,3933 2,3955 2,4310 2,4685 2,4951 2,5066 2,5031 2,4971 2,5167 2,5880 2,7118 2,8725 3,0649 3,2968 3,5714 3,8727 4,1660 4,4148 4,6028 4,7409 4,8501 4,9287 4,9390 4,8381 4,6176 4,3042 3,9317 3,5310 3,1366 2,7833 2,4935 2,2700 2,1017 1,9786 1,9090 1,9194 2,0239 2,1954 2,3712 2,4787 2,4597 2,2870 1,9757 1,5813 1,1739 0,7960 0,4398 0,0657 -0,3536 -0,8019 -1,2253 -1,5549 -1,7255 -1,6967 -1,4775 -1,1351 -0,7675 -0,4521 -0,2195 -0,0698 0,0099 0,0509 0,1017 0,1990 0,3361 0,4643 0,5257 0,4897 0,3716 0,2257 0,1206 0,1138 0,2421 0,5209 0,9427
F7    0,9377 0,6481 0,2678 -0,1167 -0,4133 -0,5698 -0,5942 -0,5251 -0,3908 -0,2008 0,0258 0,2366 0,3716 0,4154 0,4025 0,3718 0,3350 0,2949 0,2777 0,3316 0,4935 0,7535 1,0403 1,2466 1,2927 1,1791 0,9772 0,7604 0,5465 0,3176 0,0805 -0,1203 -0,2372 -0,2529 -0,1929 -0,1136 -0,0653 -0,0631 -0,0977 -0,1646 -0,2802 -0,4673 -0,7199 -0,9810 -1,1669 -1,2312 -1,2091 -1,1770 -1,1593 -1,0944 -0,8950 -0,5288 -0,0443 0,4713 0,9496 1,3555 1,6671 1,8646 1,9421 1,9245 1,8604 1,7881 1,7129 1,6153 1,4711 1,2684 1,0211 0,7723 0,5762 0,4785 0,5065 0,6627 0,9178 1,2121 1,4674 1,6126 1,6166 1,4991 1,3054 1,0832 0,8768 0,7205 0,6407 0,6668 0,8076 1,0111 1,1830 1,2653 1,2725 1,2473 1,2186 1,2138 1,2605 1,3477 1,4177 1,4181 1,3532 1,2727 1,2232 1,2251 1,2685 1,3127 1,3101 1,2433 1,1283 0,9885 0,8318 0,6464 0,4169 0,1552 -0,0894 -0,2580 -0,3187 -0,2728 -0,1376 0,0689 0,3357 0,6512 0,9777 1,2459 1,3946 1,4104 1,3270 1,1918 1,0431 0,9119 0,8203 0,7705 0,7398 0,6889 0,5954 0,4830 0,4038 0,3989 0,4769 0,6094 0,7499 0,8658 0,9455 0,9835 0,9939 1,0261 1,1247 1,2899 1,4922 1,6889 1,8160 1,8117 1,6507 1,3410 0,9186 0,4604 0,0725 -0,1565 -0,1899 -0,0489 0,1986 0,4702 0,7101 0,9011 1,0474 1,1638 1,2660 1,3481 1,3675 1,2641 1,0158 0,6683 0,2917 -0,0659 -0,3738 -0,6045 -0,7342 -0,7430 -0,6278 -0,4321 -0,2406 -0,1216 -0,0825 -0,0893 -0,1093 -0,1273 -0,1523 -0,2138 -0,3222 -0,4342 -0,4789 -0,4123 -0,2480 -0,0479 0,1189 0,2127 0,2257 0,1587 0,0144 -0,1836 -0,3842 -0,5430 -0,6602 -0,7768 -0,9409 -1,1815 -1,5055 -1,8968 -2,3171 -2,7109 -3,0222 -3,2175 -3,2900 -3,2413 -3,0800 -2,8431 -2,5939 -2,3952 -2,2943 -2,3101 -2,4073 -2,5055 -2,5250 -2,4158 -2,1758 -1,8775 -1,6454 -1,5588 -1,5802 -1,6027 -1,5587 -1,4569 -1,3298 -1,1833 -1,0059 -0,8071 -0,6305 -0,5243 -0,4999 -0,5222 -0,5400 -0,5149 -0,4202 -0,2363 0,0344 0,3458 0,6162 0,7797 0,8281 0,7926 0,7012 0,5640 0,3827 0,1648 -0,0628 -0,2541 -0,3771 -0,4382 -0,4610 -0,4618 -0,4649 -0,5177 -0,6685 -0,9247 -1,2280 -1,4722 -1,5711 -1,5179 -1,3748 -1,2092 -1,0458 -0,8648 -0,6292 -0,3228 0,0264 0,3628 0,6411 0,8372 0,9379 0,9463 0,8905 0,7944 0,6438 0,3977 0,0270 -0,4615 -1,0190 -1,5537 -1,9528 -2,1404 -2,1115 -1,9063 -1,5796 -1,1863 -0,7662 -0,3328 0,1162 0,5671 0,9653 1,2331 1,3229 1,2555 1,0927 0,8633 0,5414 0,0994 -0,4427 -1,0149 -1,5151 -1,8379 -1,9204 -1,7776 -1,4800 -1,0919 -0,6537 -0,2166 0,1549 0,4267 0,6096 0,7262 0,7897 0,8093 0,7923 0,7350 0,6259 0,4686 0,2965 0,1434 0,0110 -0,1122 -0,2136 -0,2664 -0,2569 -0,1861 -0,0529 0,1531 0,4353 0,7651 1,0875 1,3455 1,4925 1,4999 1,3786 1,1852 0,9961 0,8757 0,8573 0,9384 1,0945 1,2967 1,5092 1,6841 1,7905 1,8453 1,8938 1,9764 2,1131 2,2906 2,4700 2,6228 2,7442 2,8202 2,8176 2,7274 2,5925 2,4801 2,4351 2,4622 2,5458 2,6786 2,8587 3,0632 3,2411 3,3426 3,3612 3,3416 3,3418 3,3859 3,4498 3,4776 3,4181 3,2614 3,0400 2,8036 2,5997 2,4535 2,3419 2,2051 2,0011 1,7438 1,4915 1,3220 1,3105 1,4877 1,8040 2,1533 2,4290 2,5601 2,5220 2,3371 2,0686 1,7994 1,5903 1,4516 1,3584 1,2719 1,1445 0,9361 0,6448 0,3105 -0,0131 -0,2942 -0,5446 -0,7938 -1,0364 -1,2162 -1,2526 -1,0772 -0,6730 -0,0996 0,5234 1,0565 1,3930 1,5074 1,4471 1,2881 1,1141 1,0026 0,9976 1,0917 1,2329 1,3532 1,3999 1,3580 1,2580 1,1534 1,0860 1,0667 1,0794 1,0955 1,0909 1,0612 1,0257 1,0072 1,0052 0,9945 0,9415 0,8182 0,6156 0,3492 0,0471 -0,2627 -0,5531 -0,7880 -0,9237 -0,9359 -0,8455 -0,7125 -0,6056 -0,5794 -0,6549 -0,8032 -0,9621 -1,0711 -1,0871 -0,9924 -0,8027 -0,5601 -0,3203 -0,1483 -0,0973 -0,1735 -0,3382 -0,5497 -0,7823 -1,0136 -1,2230 -1,4060 -1,5695 -1,7101 -1,8087 -1,8474 -1,8283 -1,7764 -1,7269 -1,7192 -1,7934 -1,9742 -2,2557 -2,6026 -2,9605 -3,2769 -3,5224 -3,6875 -3,7685 -3,7573 -3,6373 -3,4006 -3,0739 -2,7158 -2,3870 -2,1165 -1,8782 -1,6025 -1,2298 -0,7698 -0,2986 0,1067 0,4191 0,6466 0,7980 0,8803 0,9101 0,9159 0,9379 1,0115 1,1425 1,3135 1,5100 1,7324 1,9894 2,2813 2,5786 2,8192 2,9431 2,9399 2,8574 2,7597 2,6811 2,6158 2,5303 2,3859 2,1678 1,9022 1,6408 1,4233 1,2519 1,1035 0,9593 0,8206 0,7086 0,6568 0,6997 0,8708 1,1983 1,6736 2,2215 2,7360 3,1608 3,5150 3,8331 4,1009 4,2569 4,2324 3,9807 3,5045 2,8804 2,2354 1,6756 1,2318 0,8764 0,5784 0,3296 0,1372 0,0163 -0,0236 0,0066 0,0856 0,1996 0,3374 0,4686 0,5421 0,5211 0,4061 0,2151 -0,0447 -0,3796 -0,7886 -1,2443 -1,6962 -2,0849 -2,3581 -2,4893 -2,4872 -2,3894 -2,2454 -2,0937 -1,9592 -1,8735 -1,8707 -1,9433 -2,0235 -2,0215 -1,8842 -1,6150 -1,2452 -0,8089 -0,3475 0,0857 0,4380 0,6759 0,7989 0,8412 0,8547
