Fp1   -6,5531 -6,4182 -6,1090 -5,6268 -5,0255 -4,3810 -3,7457 -3,1035 -2,3724 -1,4767 -0,4201 0,7204 1,8571 2,9357 3,9328 4,8181 5,5240 5,9906 6,2289 6,2782 6,0974 5,5543 4,5694 3,2442 1,8145 0,5094 -0,5253 -1,2422 -1,6924 -1,9813 -2,1911 -2,3242 -2,3017 -2,0291 -1,4984 -0,8223 -0,1490 0,4371 0,9246 1,3040 1,5121 1,4643 1,1360 0,5975 -0,0154 -0,5669 -0,9832 -1,2510 -1,3622 -1,2828 -0,9801 -0,4833 0,0917 0,6009 0,9536 1,1489 1,2775 1,4956 1,9459 2,6460 3,4557 4,1711 4,6377 4,7986 4,7014 4,4809 4,3024 4,2934 4,5054 4,9269 5,5285 6,2813 7,1127 7,8612 8,3378 8,4702 8,3765 8,2869 8,3698 8,6057 8,8175 8,8136 8,5193 8,0042 7,3822 6,7055 5,9922 5,3227 4,8593 4,7615 5,0893 5,7897 6,7486 7,8197 8,8132 9,5194 9,8092 9,7356 9,4989 9,2821 9,1254 8,9582 8,7220 8,4334 8,1368 7,8275 7,4282 6,8398 6,0138 4,9916 3,8919 2,8647 2,0517 1,5485 1,3573 1,3866 1,5132 1,6290 1,6424 1,4886 1,1824 0,8521 0,6953 0,8850 1,4861 2,4428 3,6464 5,0056 6,4645 7,9859 9,5277 11,0340 12,4484 13,7369 14,8975 15,9388 16,8414 17,5413 17,9481 17,9988 17,7167 17,2224 16,6709 16,1683 15,7491 15,4147 15,1667 15,0162 14,9958 15,1424 15,4377 15,7763 16,0108 16,0386 15,8503 15,5047 15,0858 14,6732 14,2916 13,8836 13,3617 12,6659 11,7644 10,6556 9,3969 8,1086 6,9433 6,0572 5,5587 5,4401 5,5762 5,8158 6,0600 6,2264 6,1856 5,8079 5,0801 4,1471 3,2354 2,5382 2,1497 2,0707 2,2458 2,5924 3,0266 3,4804 3,8897 4,1851 4,3238 4,3437 4,3765 4,5617 4,9178 5,3219 5,6244 5,7704 5,8256 5,9138 6,1256 6,4448 6,7460 6,8910 6,8540 6,7532 6,7555 6,9492 7,2899 7,6370 7,8480 7,8704 7,7630 7,6348 7,5725 7,6434 7,9321 8,4962 9,2625 10,0157 10,5085 10,5669 10,1162 9,1782 7,8761 6,4131 5,0240 3,9229 3,2307 2,9109 2,7948 2,6982 2,5289 2,3177 2,1722 2,1826 2,3556 2,6345 2,9559 3,2727 3,5467 3,7447 3,8550 3,8973 3,8995 3,8757 3,8350 3,7927 3,7726 3,7992 3,8780 3,9893 4,1206 4,2912 4,5298 4,8397 5,1768 5,4424 5,5214 5,3592 4,9959 4,5034 3,9091 3,2019 2,3899 1,5401 0,7874 0,3104 0,2705 0,7528 1,7360 3,0917 4,6201 6,1225 7,4746 8,6468 9,6562 10,4953 11,1175 11,4937 11,6534 11,6704 11,6210 11,5404 11,3880 11,0518 10,4138 9,4421 8,2380 6,9917 5,8822 5,0105 4,3982 4,0056 3,7485 3,5473 3,4036 3,4230 3,7398 4,4182 5,4000 6,5062 7,5097 8,2487 8,6716 8,8001 8,6997 8,4815 8,2926 8,2737 8,5046 8,9743 9,5781 10,1399 10,4744 10,4690 10,1076 9,4398 8,5646 7,6303 6,8120 6,2657 6,0547 6,1053 6,2770 6,4840 6,7295 7,0605 7,5078 8,0340 8,5291 8,8690 8,9789 8,8589 8,6004 8,3870 8,4243 8,8092 9,4557 10,1536 10,6858 10,9038 10,7640 10,3372 9,7676 9,1982 8,7214 8,3709 8,1575 8,1144 8,2789 8,6268 9,0539 9,4270 9,6703 9,8207 9,9880 10,2565 10,6291 11,0395 11,3934 11,6071 11,6355 11,4863 11,2135 10,8939 10,5969 10,3698 10,2393 10,2274 10,3776 10,7561 11,4061 12,2854 13,2397 14,0434 14,4902 14,4806 14,0490 13,3164 12,4275 11,5117 10,6494 9,8797 9,2670 8,9276 8,9635 9,3934 10,1564 11,1629 12,3302 13,5788 14,7940 15,7964 16,3927 16,4917 16,1724 15,6208 15,0029 14,4093 13,8867 13,4599 13,1245 12,8508 12,6045 12,3690 12,1532 11,9761 11,8515 11,7867 11,7953 11,9056 12,1198 12,3555 12,4670 12,3356 11,9323 11,3303 10,6882 10,1967 10,0044 10,1742 10,6818 11,4269 12,2685 13,0971 13,8706 14,5823 15,2078 15,6638 15,8087 15,5143 14,7640 13,6853 12,4854 11,3530 10,4304 9,8558 9,7649 10,2091 11,0722 12,0607 12,8122 13,0878 12,8933 12,4174 11,8780 11,4211 11,1044 10,9267 10,8704 10,9284 11,0990 11,3757 11,7429 12,1698 12,6114 13,0178 13,3577 13,6385 13,8864 14,1015 14,2441 14,2652 14,1303 13,8153 13,3242 12,7226 12,1122 11,5540 11,0357 10,5059 9,9246 9,2788 8,5582 7,7274 6,7409 5,6093 4,4571 3,5073 2,9907 3,0286 3,5553 4,3369 5,0896 5,6190 5,8781 5,9333 5,8921 5,8439 5,8426 5,9167 6,0662 6,2381 6,3237 6,2009 5,7930 5,0927 4,1456 3,0282 1,8372 0,6750 -0,3713 -1,2255 -1,7987 -1,9938 -1,7524 -1,1140 -0,2406 0,6515 1,4179 2,0457 2,6088 3,1861 3,7974 4,3884 4,8828 5,2468 5,4934 5,6511 5,7659 5,9201 6,2101 6,7018 7,4240 8,3867 9,5704 10,9098 12,3274 13,7760 15,2243 16,6124 17,8229 18,6926 19,0714 18,8950 18,2272 17,2574 16,2430 15,3944 14,7631 14,2418 13,6780 12,9803 12,1251 11,1040 9,8941 8,4761 6,8698 5,1532 3,4529 1,9154 0,6775 -0,1638 -0,5838 -0,6454 -0,4860 -0,2765 -0,1501 -0,1361 -0,1584 -0,1186 -0,0004 0,1094 0,1077 -0,0235 -0,1872 -0,2240 -0,0136 0,4483 1,0463 1,6023 1,9601 2,0699 2,0103 1,9112 1,8425 1,7838 1,6961 1,6009 1,5828 1,7384 2,1172 2,6794 3,3000 3,8255 4,1470 4,2396 4,1431 3,9002 3,5122 2,9679 2,3110 1,6323 0,9739 0,2802 -0,5414 -1,5290 -2,6168 -3,6484 -4,4621 -4,9737
Fz    -3,4114 -3,5724 -3,5143 -3,2510 -2,8501 -2,3939 -1,9378 -1,4838 -0,9894 -0,4094 0,2613 0,9811 1,6867 2,3182 2,8345 3,2091 3,4247 3,4937 3,4709 3,4038 3,2644 2,9609 2,4387 1,7597 1,0651 0,4792 0,0500 -0,2484 -0,4804 -0,7057 -0,9491 -1,1857 -1,3487 -1,3699 -1,2336 -0,9893 -0,7117 -0,4545 -0,2382 -0,0687 0,0445 0,0919 0,0715 -0,0134 -0,1542 -0,3329 -0,5286 -0,7180 -0,8617 -0,9036 -0,7964 -0,5451 -0,2295 0,0303 0,1408 0,0795 -0,0948 -0,2572 -0,2683 -0,0481 0,3890 0,9605 1,5583 2,0785 2,4518 2,6670 2,7599 2,7820 2,7745 2,7618 2,7682 2,8301 2,9654 3,1286 3,2294 3,2257 3,1873 3,2522 3,5107 3,9283 4,3749 4,7130 4,8668 4,8306 4,6283 4,2804 3,8196 3,3266 2,9246 2,7256 2,7792 3,0739 3,5643 4,1735 4,7816 5,2435 5,4507 5,3929 5,1539 4,8416 4,5228 4,2198 3,9456 3,7225 3,5614 3,4301 3,2552 2,9653 2,5408 2,0256 1,4988 1,0419 0,7233 0,5802 0,5892 0,6708 0,7378 0,7285 0,6075 0,3711 0,0693 -0,1949 -0,3022 -0,1627 0,2488 0,8879 1,6744 2,5353 3,4222 4,3046 5,1597 5,9679 6,7110 7,3774 7,9670 8,4865 8,9358 9,2937 9,5200 9,5796 9,4730 9,2479 8,9760 8,7127 8,4823 8,2968 8,1768 8,1535 8,2634 8,5319 8,9401 9,4057 9,8078 10,0403 10,0476 9,8258 9,4208 8,9199 8,4130 7,9514 7,5534 7,2240 6,9509 6,6996 6,4375 6,1638 5,9210 5,7816 5,8113 6,0221 6,3572 6,7264 7,0508 7,2607 7,2740 7,0202 6,4942 5,7721 4,9719 4,2017 3,5309 2,9851 2,5541 2,2074 1,9208 1,6901 1,5143 1,3843 1,3059 1,3222 1,4954 1,8497 2,3227 2,7860 3,1289 3,3268 3,4380 3,5483 3,7149 3,9354 4,1554 4,3203 4,4268 4,5194 4,6382 4,7736 4,8655 4,8408 4,6630 4,3614 4,0180 3,7218 3,5341 3,4929 3,6260 3,9264 4,3176 4,6700 4,8643 4,8366 4,5745 4,1048 3,4918 2,8263 2,1996 1,6851 1,3324 1,1548 1,1213 1,1726 1,2534 1,3370 1,4285 1,5401 1,6658 1,7896 1,9065 2,0235 2,1480 2,2850 2,4469 2,6507 2,8929 3,1398 3,3519 3,5107 3,6199 3,6880 3,7094 3,6701 3,5754 3,4638 3,3861 3,3702 3,4016 3,4254 3,3747 3,2118 2,9503 2,6319 2,2887 1,9322 1,5663 1,2045 0,8820 0,6567 0,6006 0,7849 1,2600 2,0330 3,0498 4,2023 5,3678 6,4484 7,3780 8,1067 8,6030 8,8799 9,0007 9,0482 9,0867 9,1357 9,1557 9,0593 8,7609 8,2358 7,5422 6,7941 6,1083 5,5662 5,1997 4,9859 4,8574 4,7422 4,6200 4,5424 4,5866 4,7902 5,1189 5,4745 5,7440 5,8665 5,8518 5,7418 5,5777 5,4062 5,2919 5,3016 5,4692 5,7735 6,1497 6,5183 6,8109 6,9789 6,9812 6,7807 6,3754 5,8347 5,2871 4,8636 4,6325 4,5741 4,6188 4,7102 4,8347 5,0087 5,2444 5,5201 5,7810 5,9629 6,0147 5,9151 5,6954 5,4502 5,2975 5,3083 5,4708 5,7194 5,9779 6,1790 6,2801 6,2820 6,2170 6,1148 5,9774 5,7829 5,5183 5,2121 4,9289 4,7315 4,6476 4,6617 4,7429 4,8851 5,1040 5,3974 5,7220 6,0060 6,1754 6,1811 6,0249 5,7611 5,4691 5,2251 5,0841 5,0731 5,1956 5,4436 5,8112 6,2922 6,8648 7,4735 8,0229 8,3974 8,5034 8,3130 7,8744 7,2833 6,6449 6,0428 5,5134 5,0527 4,6663 4,3947 4,2850 4,3561 4,5972 4,9835 5,4874 6,0767 6,6963 7,2570 7,6604 7,8515 7,8459 7,7041 7,4861 7,2409 7,0254 6,8921 6,8542 6,8758 6,8973 6,8696 6,7764 6,6334 6,4772 6,3538 6,3097 6,3807 6,5649 6,7978 6,9727 7,0007 6,8552 6,5776 6,2563 5,9935 5,8756 5,9564 6,2501 6,7233 7,2998 7,8881 8,4104 8,8157 9,0772 9,1775 9,0990 8,8310 8,3894 7,8358 7,2691 6,7880 6,4647 6,3506 6,4771 6,8322 7,3359 7,8379 8,1606 8,1879 7,9327 7,5108 7,0538 6,6486 6,3338 6,1230 6,0253 6,0472 6,1823 6,4070 6,6817 6,9515 7,1540 7,2399 7,1992 7,0696 6,9078 6,7509 6,6059 6,4651 6,3154 6,1336 5,9030 5,6461 5,4188 5,2651 5,1876 5,1597 5,1485 5,1180 5,0179 4,7848 4,3701 3,7827 3,1109 2,5041 2,1267 2,0901 2,3903 2,9016 3,4465 3,8880 4,1722 4,3124 4,3501 4,3271 4,2851 4,2739 4,3366 4,4720 4,6112 4,6415 4,4598 4,0175 3,3343 2,4888 1,5955 0,7728 0,1090 -0,3475 -0,5704 -0,5438 -0,2741 0,1862 0,7270 1,2086 1,5235 1,6444 1,6264 1,5678 1,5595 1,6460 1,8230 2,0652 2,3476 2,6489 2,9599 3,2956 3,6821 4,1300 4,6344 5,1904 5,7889 6,4116 7,0490 7,7137 8,4219 9,1533 9,8238 10,3069 10,4981 10,3709 9,9888 9,4778 8,9728 8,5562 8,2175 7,8690 7,4127 6,8012 6,0420 5,1562 4,1433 2,9890 1,7127 0,4010 -0,8185 -1,8351 -2,5886 -3,0652 -3,2842 -3,2944 -3,1750 -3,0256 -2,9326 -2,9260 -2,9705 -3,0102 -3,0185 -3,0011 -2,9669 -2,9080 -2,8025 -2,6306 -2,3951 -2,1267 -1,8731 -1,6814 -1,5756 -1,5329 -1,4904 -1,3936 -1,2467 -1,1101 -1,0402 -1,0326 -1,0162 -0,8945 -0,6041 -0,1577 0,3549 0,8111 1,1186 1,2602 1,2813 1,2312 1,1195 0,9385 0,7118 0,4844 0,2556 -0,0469 -0,5126 -1,1711 -1,9563 -2,7352 -3,3801 -3,8229
F3    -3,7797 -4,1106 -4,2208 -4,0715 -3,6863 -3,1286 -2,4625 -1,7218 -0,9112 -0,0397 0,8451 1,6603 2,3288 2,8173 3,1400 3,3267 3,3926 3,3564 3,2660 3,1589 2,9968 2,6794 2,1484 1,4673 0,7886 0,2515 -0,0930 -0,2870 -0,4183 -0,5633 -0,7560 -0,9792 -1,1704 -1,2523 -1,1811 -0,9691 -0,6656 -0,3300 -0,0189 0,2180 0,3472 0,3623 0,2795 0,1232 -0,0733 -0,2662 -0,4181 -0,5060 -0,5027 -0,3712 -0,0903 0,3080 0,7247 1,0353 1,1545 1,0700 0,8421 0,5914 0,4599 0,5424 0,8444 1,2970 1,7991 2,2558 2,6125 2,8635 3,0261 3,1154 3,1371 3,0965 3,0178 2,9499 2,9350 2,9665 2,9960 2,9961 3,0082 3,1172 3,3696 3,7189 4,0576 4,2849 4,3411 4,2078 3,8930 3,4187 2,8295 2,2117 1,6883 1,3701 1,3088 1,5016 1,9212 2,5147 3,1796 3,7711 4,1591 4,2957 4,2318 4,0612 3,8539 3,6397 3,4362 3,2667 3,1448 3,0475 2,9132 2,6796 2,3252 1,8779 1,3933 0,9363 0,5749 0,3578 0,2770 0,2684 0,2585 0,1922 0,0330 -0,2278 -0,5487 -0,8380 -0,9814 -0,8790 -0,4848 0,1746 1,0234 1,9807 2,9848 3,9939 4,9732 5,8843 6,6897 7,3699 7,9344 8,4107 8,8168 9,1406 9,3441 9,3922 9,2762 9,0179 8,6592 8,2452 7,8174 7,4281 7,1488 7,0509 7,1781 7,5291 8,0463 8,6185 9,1098 9,4004 9,4135 9,1263 8,5846 7,8989 7,1972 6,5738 6,0795 5,7263 5,4829 5,2864 5,0776 4,8324 4,5724 4,3583 4,2598 4,3092 4,4804 4,7162 4,9647 5,1711 5,2566 5,1416 4,7967 4,2635 3,6334 3,0103 2,4800 2,0892 1,8351 1,6716 1,5438 1,4187 1,2774 1,1094 0,9383 0,8357 0,8825 1,1022 1,4310 1,7566 1,9964 2,1477 2,2702 2,4331 2,6720 2,9717 3,2772 3,5386 3,7509 3,9412 4,1161 4,2304 4,2042 3,9764 3,5534 3,0174 2,4908 2,0815 1,8526 1,8398 2,0679 2,5213 3,1098 3,6909 4,1312 4,3467 4,3069 4,0292 3,5747 3,0301 2,4787 1,9850 1,5951 1,3344 1,2010 1,1662 1,1885 1,2325 1,2832 1,3409 1,4083 1,4874 1,5805 1,6801 1,7669 1,8329 1,9052 2,0318 2,2382 2,5111 2,8205 3,1370 3,4278 3,6500 3,7571 3,7231 3,5700 3,3642 3,1744 3,0323 2,9258 2,8131 2,6470 2,4027 2,0926 1,7535 1,4208 1,1175 0,8561 0,6444 0,4948 0,4307 0,4860 0,7053 1,1407 1,8263 2,7394 3,7878 4,8449 5,7991 6,5752 7,1238 7,4205 7,4870 7,3951 7,2382 7,0954 7,0049 6,9498 6,8646 6,6740 6,3437 5,9053 5,4363 5,0121 4,6687 4,3947 4,1471 3,8806 3,5834 3,3015 3,1278 3,1511 3,3986 3,8143 4,2770 4,6586 4,8871 4,9559 4,8868 4,7125 4,4877 4,2925 4,2051 4,2662 4,4636 4,7482 5,0639 5,3638 5,6019 5,7144 5,6284 5,3119 4,8172 4,2654 3,7825 3,4358 3,2159 3,0780 3,0040 3,0277 3,2068 3,5696 4,0764 4,6285 5,1067 5,4084 5,4768 5,3301 5,0683 4,8263 4,7001 4,7105 4,8270 4,9985 5,1665 5,2860 5,3493 5,3772 5,3847 5,3545 5,2415 5,0136 4,6970 4,3725 4,1261 4,0000 3,9786 4,0214 4,1144 4,2790 4,5344 4,8640 5,2111 5,4948 5,6398 5,6117 5,4317 5,1570 4,8547 4,5900 4,4226 4,3981 4,5397 4,8495 5,3125 5,8923 6,5221 7,1012 7,5123 7,6564 7,4944 7,0640 6,4626 5,8113 5,2126 4,7123 4,3061 3,9910 3,7975 3,7666 3,9148 4,2278 4,6741 5,2156 5,8099 6,4040 6,9267 7,3038 7,5000 7,5434 7,4943 7,3916 7,2516 7,1047 6,9922 6,9248 6,8642 6,7493 6,5364 6,2227 5,8497 5,4863 5,2037 5,0580 5,0835 5,2719 5,5509 5,8072 5,9436 5,9238 5,7781 5,5766 5,3933 5,2856 5,2933 5,4374 5,7077 6,0594 6,4386 6,8093 7,1547 7,4604 7,6957 7,8067 7,7374 7,4701 7,0531 6,5855 6,1671 5,8685 5,7417 5,8253 6,1183 6,5507 6,9793 7,2330 7,2039 6,9093 6,4594 5,9736 5,5331 5,1835 4,9513 4,8526 4,8945 5,0722 5,3691 5,7548 6,1784 6,5692 6,8581 7,0064 7,0129 6,8896 6,6406 6,2715 5,8049 5,2767 4,7200 4,1725 3,6977 3,3717 3,2387 3,2866 3,4590 3,6789 3,8614 3,9177 3,7661 3,3618 2,7335 1,9927 1,3031 0,8301 0,6811 0,8585 1,2611 1,7409 2,1767 2,5112 2,7387 2,8761 2,9486 2,9922 3,0522 3,1582 3,2883 3,3576 3,2544 2,9000 2,2854 1,4709 0,5650 -0,3064 -1,0359 -1,5632 -1,8703 -1,9567 -1,8255 -1,4893 -0,9888 -0,4121 0,1189 0,5016 0,6978 0,7411 0,7152 0,7151 0,8077 1,0169 1,3373 1,7514 2,2318 2,7433 3,2532 3,7358 4,1722 4,5597 4,9175 5,2722 5,6450 6,0580 6,5360 7,0884 7,6818 8,2240 8,5890 8,6822 8,4980 8,1285 7,7201 7,4040 7,2385 7,1857 7,1359 6,9700 6,6190 6,0769 5,3669 4,5005 3,4746 2,3138 1,0997 -0,0608 -1,0920 -1,9632 -2,6582 -3,1545 -3,4401 -3,5449 -3,5416 -3,5032 -3,4561 -3,3782 -3,2438 -3,0600 -2,8573 -2,6563 -2,4527 -2,2261 -1,9612 -1,6682 -1,3880 -1,1711 -1,0505 -1,0266 -1,0615 -1,0938 -1,0816 -1,0396 -1,0221 -1,0670 -1,1544 -1,2092 -1,1387 -0,8834 -0,4560 0,0539 0,5149 0,8151 0,9163 0,8557 0,6890 0,4387 0,1075 -0,2717 -0,6406 -0,9820 -1,3538 -1,8376 -2,4574 -3,1452 -3,7741 -4,2303 -4,4617
F7    -4,0197 -4,0019 -3,8249 -3,4798 -3,0085 -2,4754 -1,9300 -1,3840 -0,8183 -0,2159 0,4099 1,0180 1,5623 2,0126 2,3630 2,6184 2,7775 2,8482 2,8650 2,8534 2,7758 2,5469 2,1201 1,5528 0,9756 0,5046 0,1804 -0,0345 -0,2165 -0,4295 -0,6922 -0,9683 -1,1797 -1,2463 -1,1348 -0,8770 -0,5404 -0,1890 0,1333 0,3939 0,5615 0,6134 0,5480 0,3856 0,1651 -0,0669 -0,2798 -0,4660 -0,6154 -0,6903 -0,6361 -0,4281 -0,1114 0,2152 0,4557 0,5609 0,5465 0,4927 0,5068 0,6589 0,9472 1,3185 1,7007 2,0222 2,2373 2,3496 2,4029 2,4459 2,5026 2,5689 2,6354 2,7077 2,7895 2,8510 2,8405 2,7474 2,6452 2,6544 2,8471 3,1833 3,5436 3,8070 3,9064 3,8348 3,6158 3,2762 2,8512 2,4061 2,0322 1,8090 1,7720 1,9224 2,2527 2,7394 3,3138 3,8570 4,2478 4,4321 4,4437 4,3564 4,2276 4,0886 3,9617 3,8659 3,8016 3,7320 3,5908 3,3232 2,9299 2,4690 2,0172 1,6309 1,3401 1,1526 1,0432 0,9574 0,8443 0,6744 0,4306 0,1117 -0,2468 -0,5651 -0,7403 -0,6829 -0,3541 0,2188 0,9667 1,8166 2,7078 3,5886 4,4130 5,1429 5,7575 6,2619 6,6869 7,0730 7,4454 7,7923 8,0642 8,1995 8,1576 7,9428 7,6008 7,1925 6,7766 6,4131 6,1596 6,0580 6,1293 6,3685 6,7268 7,1087 7,4075 7,5497 7,5134 7,3185 7,0134 6,6585 6,2972 5,9387 5,5757 5,2015 4,8035 4,3609 3,8682 3,3550 2,8839 2,5297 2,3544 2,3797 2,5743 2,8734 3,2129 3,5355 3,7740 3,8616 3,7680 3,5170 3,1714 2,8073 2,4961 2,2896 2,2035 2,2115 2,2655 2,3222 2,3490 2,3262 2,2656 2,2157 2,2318 2,3307 2,4658 2,5520 2,5326 2,4277 2,3168 2,2823 2,3651 2,5409 2,7308 2,8574 2,9058 2,9233 2,9586 3,0089 3,0208 2,9316 2,7141 2,4023 2,0849 1,8622 1,8012 1,9310 2,2557 2,7379 3,2793 3,7477 4,0330 4,0790 3,8777 3,4617 2,9077 2,3286 1,8395 1,5189 1,3905 1,4244 1,5556 1,7141 1,8489 1,9344 1,9668 1,9513 1,8920 1,7969 1,6855 1,5785 1,4832 1,4002 1,3463 1,3514 1,4285 1,5614 1,7221 1,8858 2,0309 2,1306 2,1523 2,0759 1,9216 1,7489 1,6236 1,5845 1,6315 1,7288 1,8219 1,8632 1,8300 1,7194 1,5353 1,2867 0,9957 0,7002 0,4473 0,2831 0,2466 0,3682 0,6677 1,1447 1,7652 2,4618 3,1566 3,7881 4,3171 4,7123 4,9485 5,0273 4,9894 4,8972 4,8048 4,7336 4,6611 4,5283 4,2770 3,8919 3,4105 2,9004 2,4303 2,0474 1,7677 1,5737 1,4261 1,2925 1,1853 1,1695 1,3201 1,6676 2,1719 2,7288 3,2158 3,5597 3,7557 3,8287 3,8039 3,7153 3,6204 3,5884 3,6688 3,8686 4,1537 4,4744 4,7890 5,0630 5,2475 5,2775 5,1128 4,7828 4,3819 4,0181 3,7572 3,6041 3,5360 3,5496 3,6751 3,9485 4,3695 4,8758 5,3602 5,7158 5,8708 5,8101 5,5944 5,3530 5,2252 5,2863 5,5187 5,8424 6,1582 6,3768 6,4467 6,3726 6,2013 5,9900 5,7770 5,5684 5,3562 5,1519 4,9914 4,9112 4,9257 5,0200 5,1673 5,3578 5,5969 5,8748 6,1510 6,3630 6,4432 6,3425 6,0594 5,6483 5,1976 4,8016 4,5383 4,4513 4,5436 4,7926 5,1747 5,6727 6,2583 6,8713 7,4162 7,7843 7,8925 7,7170 7,3016 6,7400 6,1500 5,6402 5,2679 5,0321 4,9198 4,9405 5,1085 5,4121 5,8132 6,2671 6,7415 7,2200 7,6816 8,0782 8,3463 8,4523 8,4189 8,2959 8,1153 7,8939 7,6633 7,4619 7,2961 7,1326 6,9291 6,6662 6,3570 6,0359 5,7413 5,5058 5,3585 5,3233 5,3946 5,5143 5,5948 5,5711 5,4314 5,2129 4,9805 4,7997 4,7169 4,7546 4,9175 5,1910 5,5393 5,9192 6,3003 6,6692 7,0145 7,3039 7,4769 7,4657 7,2352 6,8150 6,2933 5,7740 5,3435 5,0707 5,0044 5,1486 5,4392 5,7440 5,9045 5,8207 5,5187 5,1296 4,7993 4,6175 4,6051 4,7415 4,9930 5,3258 5,7106 6,1247 6,5442 6,9305 7,2323 7,4053 7,4363 7,3503 7,1881 6,9761 6,7189 6,4189 6,0886 5,7425 5,3955 5,0804 4,8430 4,7055 4,6466 4,6200 4,5820 4,4979 4,3319 4,0428 3,6043 3,0381 2,4309 1,9191 1,6447 1,6943 2,0470 2,5730 3,0977 3,4867 3,6867 3,7086 3,5893 3,3707 3,1032 2,8463 2,6473 2,5114 2,3947 2,2313 1,9738 1,6118 1,1670 0,6801 0,1968 -0,2436 -0,6136 -0,8904 -1,0451 -1,0464 -0,8791 -0,5647 -0,1759 0,1780 0,3985 0,4504 0,3820 0,2987 0,3069 0,4643 0,7715 1,1957 1,6899 2,1954 2,6524 3,0248 3,3119 3,5415 3,7594 4,0171 4,3523 4,7769 5,2860 5,8702 6,5141 7,1812 7,7987 8,2669 8,5010 8,4748 8,2364 7,8890 7,5473 7,2843 7,0932 6,8972 6,6095 6,1959 5,6850 5,1234 4,5228 3,8573 3,1122 2,3237 1,5610 0,8795 0,2999 -0,1726 -0,5265 -0,7532 -0,8715 -0,9314 -0,9851 -1,0495 -1,0972 -1,0922 -1,0297 -0,9325 -0,8164 -0,6733 -0,4825 -0,2359 0,0420 0,2959 0,4628 0,4998 0,4031 0,2173 0,0222 -0,1119 -0,1693 -0,1902 -0,2239 -0,2799 -0,3162 -0,2681 -0,0949 0,1855 0,4964 0,7361 0,8308 0,7758 0,6261 0,4376 0,2234 -0,0236 -0,2792 -0,4919 -0,6471 -0,8002 -1,0353 -1,3931 -1,8339 -2,2636 -2,6010 -2,8249
