Fp1   -0,4786 -0,4623 -0,2715 0,0532 0,4418 0,8218 1,1329 1,3337 1,4031 1,3326 1,1253 0,8059 0,4201 0,0164 -0,3635 -0,6808 -0,8948 -0,9695 -0,8893 -0,6711 -0,3614 -0,0181 0,3088 0,5806 0,7669 0,8517 0,8443 0,7736 0,6700 0,5486 0,4081 0,2455 0,0718 -0,0877 -0,2047 -0,2641 -0,2730 -0,2534 -0,2273 -0,2102 -0,2165 -0,2646 -0,3739 -0,5481 -0,7596 -0,9551 -1,0812 -1,1119 -1,0659 -0,9988 -0,9766 -1,0446 -1,2103 -1,4483 -1,7249 -2,0199 -2,3237 -2,6196 -2,8766 -3,0591 -3,1403 -3,1139 -2,9985 -2,8237 -2,6037 -2,3257 -1,9704 -1,5439 -1,0836 -0,6328 -0,2214 0,1278 0,3927 0,5629 0,6487 0,6733 0,6545 0,5933 0,4780 0,2959 0,0445 -0,2560 -0,5623 -0,8321 -1,0477 -1,2174 -1,3639 -1,5126 -1,6836 -1,8850 -2,1087 -2,3408 -2,5772 -2,8254 -3,0960 -3,3985 -3,7308 -4,0677 -4,3720 -4,6238 -4,8335 -5,0344 -5,2708 -5,5904 -6,0253 -6,5731 -7,1998 -7,8567 -8,4898 -9,0433 -9,4741 -9,7664 -9,9284 -9,9750 -9,9156 -9,7475 -9,4612 -9,0569 -8,5538 -7,9852 -7,3864 -6,7876 -6,2086 -5,6524 -5,1043 -4,5481 -3,9842 -3,4266 -2,8844 -2,3519 -1,8177 -1,2839 -0,7763 -0,3375 -0,0074 0,2013 0,3203 0,4139 0,5437 0,7329 0,9578 1,1759 1,3639 1,5247 1,6592 1,7473 1,7631 1,7028 1,5931 1,4735 1,3819 1,3495 1,3946 1,5179 1,7101 1,9625 2,2628 2,5857 2,9006 3,1878 3,4469 3,6959 3,9601 4,2541 4,5750 4,9112 5,2519 5,5829 5,8884 6,1558 6,3721 6,5194 6,5867 6,5851 6,5456 6,5025 6,4837 6,5169 6,6334 6,8595 7,2010 7,6301 8,0892 8,5090 8,8261 8,9942 8,9975 8,8554 8,6095 8,3016 7,9545 7,5689 7,1362 6,6518 6,1202 5,5554 4,9794 4,4218 3,9183 3,5006 3,1757 2,9158 2,6754 2,4170 2,1203 1,7792 1,3992 0,9980 0,6048 0,2488 -0,0517 -0,2936 -0,4891 -0,6625 -0,8362 -1,0185 -1,2072 -1,3990 -1,5908 -1,7732 -1,9355 -2,0817 -2,2288 -2,3876 -2,5468 -2,6809 -2,7695 -2,8038 -2,7844 -2,7164 -2,5993 -2,4193 -2,1589 -1,8121 -1,3912 -0,9252 -0,4505 0,0021 0,4078 0,7426 0,9888 1,1442 1,2266 1,2684 1,2961 1,3097 1,2843 1,1918 1,0216 0,7865 0,5098 0,2067 -0,1230 -0,4838 -0,8632 -1,2222 -1,5117 -1,7005 -1,7928 -1,8192 -1,8174 -1,8189 -1,8445 -1,8986 -1,9670 -2,0223 -2,0356 -1,9898 -1,8880 -1,7597 -1,6560 -1,6248 -1,6840 -1,8163 -1,9873 -2,1604 -2,2974 -2,3627 -2,3390 -2,2343 -2,0758 -1,8962 -1,7196 -1,5618 -1,4394 -1,3682 -1,3485 -1,3521 -1,3254 -1,2118 -0,9848 -0,6679 -0,3226 -0,0116 0,2287 0,3976 0,5248 0,6509 0,8033 0,9871 1,1933 1,4075 1,6138 1,7968 1,9471 2,0641 2,1541 2,2292 2,3049 2,3932 2,4941 2,5985 2,7020 2,8164 2,9644 3,1637 3,4151 3,7059 4,0231 4,3575 4,6953 5,0180 5,3079 5,5498 5,7256 5,8124 5,7959 5,6968 5,5729 5,4902 5,4982 5,6193 5,8391 6,1079 6,3659 6,5679 6,6911 6,7349 6,7200 6,6765 6,6208 6,5408 6,4094 6,2074 5,9312 5,5867 5,1891 4,7681 4,3650 4,0185 3,7464 3,5421 3,3860 3,2610 3,1612 3,0948 3,0794 3,1284 3,2350 3,3656 3,4742 3,5274 3,5184 3,4588 3,3658 3,2632 3,1929 3,2096 3,3577 3,6507 4,0672 4,5563 5,0501 5,4861 5,8262 6,0572 6,1799 6,2010 6,1356 6,0125 5,8706 5,7400 5,6271 5,5190 5,3956 5,2349 5,0234 4,7700 4,5080 4,2789 4,1106 4,0060 3,9463 3,9059 3,8635 3,8031 3,7128 3,5921 3,4558 3,3271 3,2304 3,1849 3,1984 3,2624 3,3482 3,4167 3,4474 3,4551 3,4748 3,5348 3,6404 3,7748 3,9091 4,0126 4,0584 4,0283 3,9198 3,7468 3,5365 3,3257 3,1473 3,0145 2,9216 2,8550 2,7998 2,7465 2,7052 2,7071 2,7852 2,9463 3,1650 3,4020 3,6296 3,8375 4,0202 4,1712 4,2901 4,3843 4,4631 4,5365 4,6168 4,7163 4,8363 4,9578 5,0521 5,1036 5,1201 5,1165 5,0998 5,0690 5,0208 4,9600 4,9128 4,9273 5,0574 5,3398 5,7680 6,2824 6,7918 7,2061 7,4557 7,5021 7,3414 6,9983 6,5248 6,0007 5,5244 5,1964 5,0935 5,2376 5,5715 5,9658 6,2632 6,3442 6,1736 5,8026 5,3301 4,8538 4,4393 4,1203 3,9162 3,8344 3,8578 3,9397 4,0168 4,0308 3,9419 3,7306 3,4044 3,0048 2,5963 2,2430 1,9871 1,8391 1,7801 1,7773 1,8031 1,8454 1,9004 1,9624 2,0266 2,0950 2,1769 2,2817 2,4140 2,5749 2,7642 2,9761 3,1962 3,4059 3,5927 3,7538 3,8878 3,9846 4,0336 4,0430 4,0388 4,0453 4,0724 4,1116 4,1384 4,1259 4,0715 4,0110 4,0005 4,0800 4,2514 4,4826 4,7272 4,9512 5,1495 5,3330 5,4976 5,6080 5,6094 5,4542 5,1281 4,6605 4,1155 3,5685 3,0804 2,6836 2,3844 2,1707 2,0166 1,8910 1,7726 1,6558 1,5402 1,4132 1,2444 1,0048 0,6956 0,3591 0,0575 -0,1598 -0,2806 -0,3297 -0,3437 -0,3466 -0,3493 -0,3626 -0,4045 -0,4961 -0,6423 -0,8183 -0,9837 -1,1108 -1,1958 -1,2470 -1,2748 -1,2859 -1,2734 -1,2152 -1,0935 -0,9206 -0,7410 -0,6078 -0,5577 -0,6005 -0,7241 -0,9067 -1,1192 -1,3198 -1,4595 -1,5039 -1,4466 -1,3087 -1,1287 -0,9502 -0,8080 -0,7187 -0,6787 -0,6698 -0,6642 -0,6241 -0,5084 -0,2925 0,0155 0,3801
Fz    0,0201 0,1859 0,3829 0,5754 0,7320 0,8339 0,8737 0,8525 0,7758 0,6487 0,4763 0,2702 0,0461 -0,1829 -0,4054 -0,6005 -0,7326 -0,7619 -0,6638 -0,4405 -0,1191 0,2550 0,6261 0,9398 1,1599 1,2827 1,3313 1,3306 1,2900 1,2043 1,0627 0,8565 0,5887 0,2775 -0,0489 -0,3609 -0,6321 -0,8430 -0,9828 -1,0500 -1,0541 -1,0185 -0,9787 -0,9669 -0,9970 -1,0620 -1,1429 -1,2189 -1,2800 -1,3351 -1,4065 -1,5141 -1,6618 -1,8348 -2,0066 -2,1516 -2,2575 -2,3324 -2,3996 -2,4825 -2,5925 -2,7239 -2,8568 -2,9629 -3,0111 -2,9762 -2,8518 -2,6544 -2,4125 -2,1492 -1,8788 -1,6197 -1,4004 -1,2493 -1,1796 -1,1852 -1,2461 -1,3369 -1,4328 -1,5147 -1,5778 -1,6307 -1,6838 -1,7416 -1,8062 -1,8838 -1,9810 -2,0976 -2,2270 -2,3629 -2,5047 -2,6630 -2,8578 -3,1066 -3,4131 -3,7666 -4,1484 -4,5383 -4,9211 -5,2891 -5,6394 -5,9729 -6,2985 -6,6336 -6,9938 -7,3803 -7,7773 -8,1599 -8,5026 -8,7844 -8,9972 -9,1528 -9,2750 -9,3797 -9,4630 -9,5020 -9,4645 -9,3211 -9,0583 -8,6833 -8,2195 -7,6977 -7,1464 -6,5827 -6,0109 -5,4297 -4,8395 -4,2421 -3,6346 -3,0024 -2,3270 -1,6040 -0,8528 -0,1101 0,5875 1,2193 1,7848 2,2958 2,7617 3,1825 3,5512 3,8613 4,1092 4,2933 4,4135 4,4737 4,4868 4,4756 4,4663 4,4778 4,5204 4,6006 4,7258 4,9037 5,1388 5,4293 5,7651 6,1288 6,5044 6,8864 7,2787 7,6863 8,1109 8,5507 8,9996 9,4494 9,8948 10,3336 10,7627 11,1765 11,5675 11,9255 12,2395 12,5054 12,7304 12,9298 13,1254 13,3450 13,6177 13,9647 14,3907 14,8735 15,3621 15,7902 16,0930 16,2232 16,1619 15,9182 15,5217 15,0124 14,4284 13,7928 13,1112 12,3761 11,5764 10,7105 9,7948 8,8665 7,9784 7,1817 6,4996 5,9123 5,3688 4,8197 4,2460 3,6636 3,1107 2,6269 2,2373 1,9471 1,7481 1,6240 1,5503 1,4964 1,4335 1,3424 1,2167 1,0585 0,8701 0,6503 0,3962 0,1095 -0,1954 -0,4879 -0,7245 -0,8631 -0,8805 -0,7839 -0,6043 -0,3747 -0,1113 0,1870 0,5245 0,8994 1,3032 1,7208 2,1319 2,5192 2,8721 3,1840 3,4518 3,6797 3,8745 4,0385 4,1618 4,2198 4,1826 4,0299 3,7622 3,4010 2,9781 2,5190 2,0359 1,5349 1,0288 0,5424 0,1083 -0,2448 -0,5030 -0,6727 -0,7776 -0,8495 -0,9162 -0,9911 -1,0719 -1,1502 -1,2246 -1,3045 -1,3989 -1,5032 -1,5999 -1,6707 -1,7074 -1,7124 -1,6976 -1,6832 -1,6917 -1,7432 -1,8540 -2,0350 -2,2848 -2,5852 -2,9040 -3,2069 -3,4655 -3,6551 -3,7487 -3,7217 -3,5632 -3,2834 -2,9143 -2,5046 -2,1054 -1,7509 -1,4486 -1,1859 -0,9438 -0,7084 -0,4767 -0,2587 -0,0734 0,0574 0,1169 0,1042 0,0414 -0,0291 -0,0572 -0,0014 0,1619 0,4332 0,7918 1,2064 1,6502 2,1106 2,5880 3,0852 3,5986 4,1185 4,6329 5,1283 5,5844 5,9715 6,2572 6,4201 6,4589 6,3901 6,2427 6,0548 5,8724 5,7424 5,7063 5,7911 5,9957 6,2895 6,6272 6,9628 7,2559 7,4756 7,6049 7,6392 7,5790 7,4252 7,1813 6,8603 6,4863 6,0919 5,7120 5,3713 5,0770 4,8205 4,5851 4,3528 4,1078 3,8377 3,5397 3,2287 2,9356 2,6936 2,5197 2,4090 2,3451 2,3150 2,3138 2,3413 2,3929 2,4591 2,5366 2,6352 2,7665 2,9283 3,0996 3,2495 3,3483 3,3778 3,3380 3,2434 3,1137 2,9642 2,8052 2,6489 2,5115 2,4006 2,3029 2,1927 2,0527 1,8864 1,7114 1,5453 1,3975 1,2681 1,1485 1,0225 0,8745 0,7008 0,5132 0,3308 0,1645 0,0115 -0,1361 -0,2769 -0,3985 -0,4841 -0,5184 -0,4953 -0,4238 -0,3216 -0,2012 -0,0656 0,0836 0,2424 0,4046 0,5628 0,7077 0,8286 0,9153 0,9640 0,9796 0,9712 0,9467 0,9136 0,8825 0,8657 0,8721 0,9023 0,9477 0,9991 1,0568 1,1350 1,2533 1,4257 1,6584 1,9550 2,3166 2,7331 3,1769 3,6107 4,0072 4,3592 4,6761 4,9759 5,2774 5,5917 5,9126 6,2155 6,4679 6,6473 6,7504 6,7909 6,7943 6,7889 6,7920 6,8036 6,8197 6,8480 6,9094 7,0264 7,2067 7,4334 7,6707 7,8778 8,0164 8,0556 7,9779 7,7845 7,4999 7,1726 6,8622 6,6218 6,4870 6,4669 6,5361 6,6371 6,6973 6,6550 6,4819 6,1939 5,8443 5,4989 5,2083 4,9995 4,8807 4,8444 4,8635 4,8955 4,8926 4,8155 4,6398 4,3562 3,9712 3,5094 3,0064 2,4993 2,0204 1,5928 1,2287 0,9321 0,7033 0,5424 0,4432 0,3873 0,3463 0,2924 0,2103 0,1055 0,0035 -0,0598 -0,0511 0,0488 0,2408 0,5094 0,8290 1,1659 1,4802 1,7304 1,8830 1,9258 1,8708 1,7484 1,5995 1,4652 1,3681 1,3058 1,2651 1,2440 1,2596 1,3387 1,5017 1,7516 2,0708 2,4301 2,7982 3,1402 3,4101 3,5517 3,5144 3,2752 2,8510 2,2903 1,6558 1,0106 0,4100 -0,1052 -0,5091 -0,7891 -0,9445 -0,9852 -0,9313 -0,8109 -0,6534 -0,4833 -0,3164 -0,1639 -0,0399 0,0374 0,0506 -0,0121 -0,1552 -0,3732 -0,6488 -0,9569 -1,2723 -1,5762 -1,8586 -2,1166 -2,3484 -2,5457 -2,6953 -2,7883 -2,8267 -2,8242 -2,8008 -2,7759 -2,7616 -2,7605 -2,7715 -2,7943 -2,8305 -2,8807 -2,9451 -3,0242 -3,1224 -3,2487 -3,4083 -3,5881 -3,7556 -3,8773 -3,9312 -3,9058 -3,7973 -3,6115 -3,3614 -3,0589 -2,7082 -2,3119 -1,8793 -1,4237 -0,9541 -0,4787 -0,0157 0,4093
F3    1,4337 1,5274 1,6447 1,7557 1,8305 1,8523 1,8173 1,7274 1,5844 1,3888 1,1429 0,8590 0,5568 0,2527 -0,0419 -0,3068 -0,5039 -0,5895 -0,5341 -0,3344 -0,0177 0,3598 0,7240 1,0037 1,1544 1,1712 1,0820 0,9245 0,7250 0,4891 0,2085 -0,1214 -0,4866 -0,8528 -1,1786 -1,4312 -1,5912 -1,6533 -1,6281 -1,5409 -1,4259 -1,3171 -1,2433 -1,2224 -1,2571 -1,3367 -1,4454 -1,5704 -1,7098 -1,8752 -2,0802 -2,3260 -2,6022 -2,8940 -3,1829 -3,4475 -3,6708 -3,8491 -3,9916 -4,1060 -4,1882 -4,2272 -4,2164 -4,1554 -4,0456 -3,8899 -3,6978 -3,4857 -3,2683 -3,0507 -2,8327 -2,6186 -2,4199 -2,2534 -2,1374 -2,0836 -2,0903 -2,1437 -2,2271 -2,3297 -2,4526 -2,6001 -2,7652 -2,9270 -3,0644 -3,1676 -3,2392 -3,2894 -3,3321 -3,3842 -3,4625 -3,5798 -3,7459 -3,9700 -4,2601 -4,6146 -5,0148 -5,4264 -5,8105 -6,1383 -6,4014 -6,6129 -6,7991 -6,9904 -7,2143 -7,4893 -7,8197 -8,1920 -8,5738 -8,9215 -9,2053 -9,4316 -9,6321 -9,8266 -9,9980 -10,0979 -10,0712 -9,8862 -9,5483 -9,0929 -8,5657 -8,0084 -7,4515 -6,9100 -6,3844 -5,8705 -5,3657 -4,8682 -4,3706 -3,8535 -3,2909 -2,6704 -2,0128 -1,3675 -0,7858 -0,2943 0,1083 0,4365 0,7051 0,9258 1,1063 1,2509 1,3629 1,4455 1,5002 1,5309 1,5510 1,5809 1,6349 1,7135 1,8097 1,9182 2,0385 2,1752 2,3358 2,5241 2,7364 2,9629 3,1947 3,4288 3,6663 3,9065 4,1461 4,3859 4,6343 4,9069 5,2217 5,5890 6,0066 6,4594 6,9205 7,3563 7,7409 8,0676 8,3421 8,5698 8,7580 8,9313 9,1346 9,4142 9,7916 10,2489 10,7321 11,1700 11,4946 11,6551 11,6240 11,3968 10,9903 10,4441 9,8137 9,1494 8,4767 7,7924 7,0786 6,3213 5,5257 4,7235 3,9675 3,3061 2,7548 2,2862 1,8493 1,4030 0,9367 0,4673 0,0229 -0,3747 -0,7178 -1,0108 -1,2608 -1,4723 -1,6493 -1,7978 -1,9236 -2,0309 -2,1284 -2,2363 -2,3839 -2,5963 -2,8813 -3,2237 -3,5877 -3,9252 -4,1860 -4,3267 -4,3244 -4,1910 -3,9707 -3,7152 -3,4554 -3,1931 -2,9119 -2,5934 -2,2304 -1,8320 -1,4179 -1,0064 -0,6106 -0,2454 0,0674 0,3072 0,4651 0,5468 0,5638 0,5195 0,4030 0,1979 -0,1003 -0,4710 -0,8719 -1,2617 -1,6268 -1,9821 -2,3457 -2,7137 -3,0617 -3,3632 -3,6014 -3,7712 -3,8799 -3,9457 -3,9899 -4,0299 -4,0721 -4,1105 -4,1341 -4,1377 -4,1233 -4,0933 -4,0470 -3,9846 -3,9098 -3,8320 -3,7660 -3,7271 -3,7200 -3,7377 -3,7733 -3,8284 -3,9095 -4,0175 -4,1422 -4,2662 -4,3687 -4,4269 -4,4222 -4,3458 -4,1987 -3,9869 -3,7226 -3,4287 -3,1346 -2,8613 -2,6095 -2,3661 -2,1205 -1,8768 -1,6514 -1,4626 -1,3254 -1,2515 -1,2462 -1,2983 -1,3735 -1,4210 -1,3913 -1,2538 -1,0051 -0,6667 -0,2759 0,1264 0,5120 0,8779 1,2413 1,6233 2,0375 2,4865 2,9563 3,4140 3,8173 4,1303 4,3335 4,4262 4,4209 4,3349 4,1887 4,0143 3,8598 3,7779 3,8093 3,9730 4,2585 4,6303 5,0445 5,4620 5,8457 6,1527 6,3368 6,3625 6,2184 5,9234 5,5186 5,0522 4,5693 4,1105 3,7118 3,3984 3,1755 3,0292 2,9377 2,8844 2,8573 2,8417 2,8196 2,7801 2,7283 2,6762 2,6286 2,5815 2,5315 2,4790 2,4281 2,3881 2,3700 2,3829 2,4384 2,5502 2,7247 2,9530 3,2125 3,4694 3,6874 3,8435 3,9351 3,9707 3,9636 3,9283 3,8738 3,8037 3,7237 3,6422 3,5605 3,4664 3,3439 3,1916 3,0251 2,8651 2,7266 2,6168 2,5329 2,4598 2,3770 2,2708 2,1438 2,0107 1,8855 1,7709 1,6553 1,5216 1,3626 1,1920 1,0417 0,9446 0,9173 0,9598 1,0623 1,2092 1,3849 1,5769 1,7723 1,9548 2,1086 2,2187 2,2667 2,2373 2,1327 1,9730 1,7847 1,5957 1,4345 1,3242 1,2739 1,2757 1,3093 1,3510 1,3876 1,4257 1,4862 1,5900 1,7503 1,9746 2,2676 2,6245 3,0229 3,4304 3,8210 4,1805 4,5008 4,7792 5,0242 5,2501 5,4576 5,6239 5,7162 5,7173 5,6400 5,5157 5,3728 5,2263 5,0793 4,9356 4,8145 4,7556 4,8041 4,9889 5,3065 5,7154 6,1484 6,5360 6,8260 6,9919 7,0277 6,9420 6,7591 6,5225 6,2876 6,1086 6,0277 6,0624 6,1962 6,3783 6,5323 6,5766 6,4548 6,1612 5,7441 5,2815 4,8496 4,5054 4,2812 4,1807 4,1772 4,2193 4,2427 4,1869 4,0085 3,6877 3,2336 2,6840 2,0914 1,5094 0,9850 0,5528 0,2325 0,0324 -0,0470 -0,0177 0,0875 0,2167 0,3167 0,3519 0,3147 0,2271 0,1317 0,0752 0,0922 0,1956 0,3760 0,6061 0,8499 1,0702 1,2347 1,3225 1,3310 1,2770 1,1865 1,0822 0,9804 0,8904 0,8092 0,7286 0,6523 0,6026 0,6103 0,7000 0,8843 1,1596 1,5024 1,8743 2,2367 2,5571 2,8039 2,9380 2,9143 2,7003 2,2973 1,7401 1,0808 0,3805 -0,2950 -0,8875 -1,3608 -1,7052 -1,9300 -2,0544 -2,1038 -2,1074 -2,0911 -2,0706 -2,0477 -2,0166 -1,9763 -1,9392 -1,9255 -1,9513 -2,0206 -2,1248 -2,2458 -2,3624 -2,4622 -2,5475 -2,6289 -2,7144 -2,8060 -2,8967 -2,9720 -3,0183 -3,0337 -3,0307 -3,0302 -3,0516 -3,1041 -3,1807 -3,2621 -3,3275 -3,3642 -3,3717 -3,3621 -3,3559 -3,3718 -3,4196 -3,4986 -3,5995 -3,7072 -3,8036 -3,8650 -3,8638 -3,7823 -3,6255 -3,4171 -3,1813 -2,9309 -2,6720 -2,4098 -2,1422 -1,8546 -1,5357 -1,1964 -0,8644
F7    0,7251 0,7860 0,8929 1,0328 1,1824 1,3226 1,4386 1,5166 1,5408 1,4938 1,3668 1,1706 0,9334 0,6857 0,4522 0,2545 0,1154 0,0545 0,0807 0,1879 0,3543 0,5473 0,7335 0,8865 0,9883 1,0295 1,0091 0,9312 0,8001 0,6161 0,3752 0,0782 -0,2616 -0,6180 -0,9621 -1,2700 -1,5212 -1,6978 -1,7899 -1,8025 -1,7564 -1,6808 -1,6049 -1,5511 -1,5285 -1,5290 -1,5324 -1,5200 -1,4903 -1,4665 -1,4866 -1,5841 -1,7732 -2,0501 -2,3980 -2,7850 -3,1604 -3,4601 -3,6234 -3,6145 -3,4410 -3,1571 -2,8450 -2,5770 -2,3826 -2,2493 -2,1516 -2,0772 -2,0311 -2,0209 -2,0435 -2,0827 -2,1098 -2,0882 -1,9914 -1,8238 -1,6215 -1,4354 -1,3095 -1,2704 -1,3293 -1,4802 -1,6903 -1,9022 -2,0552 -2,1111 -2,0703 -1,9674 -1,8521 -1,7662 -1,7317 -1,7530 -1,8274 -1,9541 -2,1384 -2,3878 -2,6985 -3,0452 -3,3861 -3,6818 -3,9134 -4,0916 -4,2513 -4,4344 -4,6663 -4,9452 -5,2504 -5,5613 -5,8684 -6,1654 -6,4417 -6,6855 -6,8873 -7,0310 -7,0914 -7,0477 -6,9002 -6,6747 -6,4128 -6,1551 -5,9246 -5,7195 -5,5167 -5,2874 -5,0144 -4,7031 -4,3741 -4,0471 -3,7265 -3,3946 -3,0174 -2,5726 -2,0735 -1,5676 -1,1094 -0,7321 -0,4364 -0,2035 -0,0188 0,1144 0,1835 0,1870 0,1439 0,0814 0,0157 -0,0525 -0,1245 -0,1921 -0,2419 -0,2614 -0,2366 -0,1525 -0,0010 0,2181 0,5034 0,8502 1,2437 1,6581 2,0646 2,4382 2,7637 3,0373 3,2686 3,4776 3,6883 3,9211 4,1895 4,4940 4,8145 5,1110 5,3401 5,4749 5,5119 5,4682 5,3746 5,2686 5,1882 5,1684 5,2320 5,3827 5,6070 5,8818 6,1805 6,4740 6,7316 6,9216 7,0134 6,9817 6,8096 6,4959 6,0577 5,5236 4,9268 4,2982 3,6575 3,0110 2,3645 1,7406 1,1791 0,7136 0,3471 0,0536 -0,1972 -0,4225 -0,6293 -0,8273 -1,0348 -1,2713 -1,5441 -1,8496 -2,1832 -2,5411 -2,9128 -3,2768 -3,6005 -3,8480 -3,9965 -4,0519 -4,0455 -4,0162 -3,9955 -4,0002 -4,0296 -4,0659 -4,0797 -4,0414 -3,9374 -3,7830 -3,6173 -3,4763 -3,3665 -3,2636 -3,1319 -2,9385 -2,6574 -2,2745 -1,7924 -1,2334 -0,6460 -0,1065 0,3007 0,5153 0,5229 0,3543 0,0637 -0,2971 -0,6908 -1,0895 -1,4701 -1,8119 -2,0984 -2,3251 -2,5077 -2,6735 -2,8395 -3,0037 -3,1593 -3,3097 -3,4686 -3,6515 -3,8664 -4,1123 -4,3810 -4,6596 -4,9290 -5,1622 -5,3271 -5,3919 -5,3351 -5,1588 -4,8943 -4,5954 -4,3210 -4,1157 -3,9935 -3,9312 -3,8751 -3,7667 -3,5770 -3,3204 -3,0387 -2,7739 -2,5572 -2,4103 -2,3464 -2,3646 -2,4433 -2,5367 -2,5855 -2,5383 -2,3710 -2,0914 -1,7318 -1,3374 -0,9567 -0,6296 -0,3769 -0,1954 -0,0642 0,0427 0,1420 0,2322 0,2964 0,3194 0,3056 0,2842 0,2953 0,3709 0,5243 0,7466 1,0080 1,2694 1,5015 1,6956 1,8597 2,0069 2,1481 2,2876 2,4198 2,5260 2,5802 2,5648 2,4845 2,3701 2,2646 2,2007 2,1923 2,2462 2,3686 2,5575 2,7982 3,0665 3,3288 3,5492 3,7042 3,7882 3,8078 3,7766 3,7076 3,6025 3,4466 3,2223 2,9253 2,5694 2,1776 1,7733 1,3821 1,0369 0,7740 0,6205 0,5802 0,6331 0,7477 0,8959 1,0593 1,2281 1,3986 1,5709 1,7446 1,9191 2,0952 2,2680 2,4216 2,5374 2,6051 2,6295 2,6339 2,6571 2,7387 2,9020 3,1458 3,4455 3,7645 4,0690 4,3387 4,5634 4,7332 4,8325 4,8445 4,7672 4,6275 4,4724 4,3396 4,2372 4,1498 4,0624 3,9785 3,9200 3,9103 3,9544 4,0317 4,1076 4,1558 4,1707 4,1618 4,1437 4,1262 4,1096 4,0877 4,0565 4,0188 3,9827 3,9583 3,9537 3,9736 4,0212 4,1024 4,2197 4,3616 4,5009 4,6071 4,6616 4,6645 4,6231 4,5355 4,3913 4,1862 3,9312 3,6509 3,3803 3,1607 3,0276 2,9994 3,0689 3,2043 3,3651 3,5259 3,6858 3,8555 4,0409 4,2396 4,4451 4,6531 4,8652 5,0808 5,2885 5,4703 5,6172 5,7376 5,8556 5,9976 6,1758 6,3778 6,5656 6,6912 6,7250 6,6752 6,5760 6,4590 6,3327 6,1856 6,0095 5,8235 5,6771 5,6279 5,7152 5,9421 6,2743 6,6563 7,0339 7,3674 7,6268 7,7838 7,8149 7,7233 7,5531 7,3809 7,2901 7,3429 7,5560 7,8913 8,2691 8,5921 8,7771 8,7852 8,6314 8,3719 8,0771 7,8067 7,5982 7,4662 7,4051 7,3902 7,3801 7,3259 7,1847 6,9315 6,5639 6,1061 5,6056 5,1179 4,6941 4,3761 4,1880 4,1255 4,1575 4,2420 4,3420 4,4313 4,4962 4,5418 4,5905 4,6688 4,7929 4,9654 5,1804 5,4233 5,6672 5,8781 6,0275 6,0981 6,0860 6,0012 5,8676 5,7186 5,5894 5,5066 5,4796 5,4968 5,5276 5,5369 5,5096 5,4637 5,4400 5,4768 5,5910 5,7742 5,9987 6,2320 6,4534 6,6608 6,8580 7,0413 7,1942 7,2874 7,2855 7,1596 6,8991 6,5228 6,0836 5,6506 5,2762 4,9785 4,7453 4,5515 4,3761 4,2080 4,0398 3,8608 3,6605 3,4395 3,2166 3,0223 2,8824 2,8056 2,7820 2,7897 2,8018 2,7937 2,7443 2,6343 2,4510 2,2018 1,9199 1,6526 1,4428 1,3141 1,2704 1,2997 1,3783 1,4709 1,5393 1,5576 1,5244 1,4599 1,3930 1,3492 1,3416 1,3598 1,3676 1,3158 1,1660 0,9112 0,5864 0,2561 -0,0141 -0,1796 -0,2268 -0,1734 -0,0621 0,0550 0,1416 0,1972 0,2484 0,3262 0,4575 0,6681 0,9724 1,3589 1,7930
