Fp1   2,7988 2,2534 1,7839 1,6114 1,7716 2,1482 2,5754 2,9043 3,0323 2,9060 2,5247 1,9753 1,4451 1,1429 1,1717 1,4639 1,8352 2,1126 2,2307 2,2163 2,0901 1,7950 1,2384 0,4127 -0,5399 -1,3947 -1,9823 -2,2768 -2,3588 -2,3152 -2,2052 -2,0896 -2,0230 -2,0166 -2,0449 -2,1024 -2,2336 -2,4816 -2,8045 -3,0438 -2,9959 -2,5531 -1,8071 -1,0104 -0,4265 -0,2038 -0,3570 -0,8060 -1,4032 -1,9638 -2,3296 -2,4374 -2,3348 -2,1236 -1,8963 -1,7298 -1,6870 -1,7829 -1,9742 -2,1864 -2,3270 -2,2948 -2,0258 -1,5437 -0,9575 -0,4094 -0,0163 0,1520 0,0589 -0,3033 -0,8924 -1,6048 -2,3170 -2,9464 -3,4508 -3,7787 -3,8687 -3,7251 -3,4575 -3,2004 -3,0239 -2,9560 -3,0541 -3,4285 -4,1959 -5,3717 -6,7818 -8,0983 -8,9726 -9,1711 -8,6861 -7,7786 -6,8742 -6,3425 -6,3058 -6,6124 -6,9719 -7,1176 -6,8961 -6,3107 -5,5306 -4,8093 -4,3588 -4,2815 -4,5680 -5,1049 -5,6876 -6,0671 -6,0278 -5,4672 -4,4465 -3,1416 -1,7090 -0,2295 1,2184 2,4745 3,2901 3,4153 2,7354 1,3582 -0,4150 -2,2057 -3,6926 -4,6927 -5,1598 -5,1288 -4,6679 -3,8586 -2,7837 -1,5262 -0,1776 1,1516 2,3111 3,1179 3,4243 3,1970 2,5307 1,6072 0,6593 -0,0894 -0,5497 -0,8160 -1,0382 -1,2769 -1,4960 -1,6266 -1,6228 -1,5120 -1,3788 -1,2691 -1,1377 -0,9058 -0,5485 -0,1180 0,3018 0,6472 0,8869 1,0137 1,0441 1,0065 0,9220 0,8027 0,6726 0,5905 0,6323 0,8331 1,1666 1,5822 2,0224 2,3987 2,5879 2,4748 2,0153 1,2826 0,4579 -0,2364 -0,6013 -0,4888 0,1727 1,3352 2,8182 4,3546 5,6637 6,5230 6,8242 6,5882 5,9438 5,0810 4,1794 3,3523 2,6655 2,2135 2,1401 2,5502 3,3907 4,4174 5,2968 5,7651 5,7152 5,2110 4,4487 3,6423 2,9113 2,2829 1,7773 1,4547 1,3707 1,4961 1,6947 1,8079 1,7608 1,5770 1,3377 1,1544 1,1232 1,2628 1,5086 1,7702 1,9893 2,1501 2,2580 2,3373 2,4494 2,6837 3,1265 3,8168 4,6787 5,4905 5,9766 5,9730 5,5221 4,8181 4,0672 3,3944 2,8497 2,4513 2,2063 2,1136 2,1679 2,3715 2,7565 3,3804 4,2616 5,3072 6,3114 7,0468 7,3801 7,3170 6,9472 6,3741 5,7314 5,2410 5,1580 5,6145 6,5393 7,7078 8,8355 9,6858 10,1588 10,2689 10,0391 9,4598 8,5495 7,4022 6,1530 4,9444 3,9448 3,3328 3,1950 3,4484 3,8981 4,3653 4,7494 5,0120 5,1408 5,1423 5,0535 4,9412 4,8953 4,9950 5,2432 5,5332 5,6955 5,5890 5,1651 4,4843 3,6958 2,9746 2,4369 2,1133 1,9919 2,0461 2,2274 2,4942 2,8595 3,3640 3,9827 4,5993 5,0944 5,4401 5,7097 6,0135 6,4172 6,8997 7,4010 7,9207 8,5314 9,2622 10,0056 10,5605 10,7427 10,4781 9,8494 9,0715 8,3791 7,9069 7,6669 7,6155 7,7027 7,8661 8,0382 8,1858 8,3175 8,4583 8,6383 8,8947 9,2579 9,7209 10,2178 10,6506 10,9472 11,0834 11,0480 10,8060 10,2998 9,4932 8,4393 7,2967 6,2522 5,4374 4,9278 4,7802 5,0276 5,6515 6,5787 7,6906 8,8281 9,8031 10,4390 10,6318 10,4007 9,9061 9,4137 9,1623 9,1979 9,3507 9,4012 9,2587 8,9883 8,6968 8,4140 8,0758 7,6091 7,0286 6,4372 5,9317 5,5325 5,2086 4,9375 4,7277 4,6088 4,6190 4,7878 5,0994 5,4770 5,8131 5,9977 5,9151 5,4711 4,6752 3,6811 2,7138 1,9751 1,6179 1,7402 2,3290 3,2100 4,1089 4,8023 5,2042 5,3343 5,2683 5,1202 5,0015 4,9463 4,8766 4,6656 4,2413 3,6182 2,8470 1,9721 1,0389 0,1104 -0,7380 -1,4201 -1,8189 -1,7987 -1,2670 -0,2515 1,0428 2,2673 3,1088 3,4818 3,5343 3,4929 3,5291 3,7147 4,0278 4,3930 4,7407 5,0268 5,2143 5,2746 5,2154 5,0832 4,9320 4,7957 4,6958 4,6641 4,7296 4,8847 5,0672 5,1601 5,0288 4,6031 3,9389 3,1913 2,5119 1,9608 1,5004 1,0523 0,5732 0,0911 -0,3067 -0,4863 -0,2943 0,3362 1,2858 2,3095 3,2078 3,9156 4,4446 4,7879 4,9024 4,7527 4,3114 3,5404 2,4630 1,2525 0,1963 -0,4345 -0,5069 -0,0778 0,6648 1,5292 2,4081 3,2776 4,1424 4,9731 5,6853 6,1756 6,3721 6,2468 5,8136 5,1317 4,2624 3,2051 1,9292 0,4975 -0,8760 -1,9215 -2,4620 -2,4701 -2,0096 -1,1600 -0,0075 1,3399 2,7590 4,0992 5,1790 5,8599 6,1353 6,1138 5,9031 5,5078 4,8613 3,9697 2,9914 2,1587 1,6584 1,5856 1,9520 2,7025 3,7125 4,7773 5,6455 6,1212 6,1577 5,8527 5,3904 4,9838 4,8026 4,9072 5,2318 5,6280 5,9575 6,1546 6,2087 6,1317 5,9724 5,8541 5,9602 6,4242 7,2004 8,0426 8,6331 8,7765 8,4976 7,9403 7,2005 6,2983 5,2683 4,2025 3,2134 2,3930 1,7890 1,3944 1,1719 1,1030 1,2115 1,5264 2,0109 2,5261 2,8897 2,9905 2,8525 2,6057 2,4145 2,3938 2,5366 2,7194 2,7952 2,7016 2,4939 2,2722 2,0964 1,9830 1,9327 1,9328 1,9707 2,0703 2,2910 2,6778 3,2217 3,8442 4,4103 4,7917 4,9410 4,9039 4,7548 4,5435 4,3086 4,1020 3,9706 3,9231 3,9365 3,9911 4,0730 4,1382 4,1248 4,0142 3,8331 3,5875 3,2346 2,7217 2,0427 1,2609 0,4783 -0,2376 -0,9131 -1,6426 -2,4751 -3,3460 -4,1182 -4,6322 -4,7192 -4,2577 -3,2694 -1,9426 -0,5627
Fz    2,6372 2,1367 1,5707 1,0982 0,8045 0,6711 0,6259 0,5932 0,5091 0,3333 0,0842 -0,1393 -0,2021 -0,0217 0,3737 0,8622 1,3014 1,6069 1,7757 1,8453 1,8383 1,7318 1,4705 1,0284 0,4635 -0,0948 -0,5197 -0,7618 -0,8653 -0,9233 -1,0275 -1,2334 -1,5291 -1,8329 -2,0552 -2,1752 -2,2400 -2,2866 -2,2837 -2,1464 -1,8010 -1,2501 -0,5955 0,0052 0,4177 0,5781 0,4863 0,1794 -0,2729 -0,7709 -1,2088 -1,5076 -1,6332 -1,5912 -1,4154 -1,1672 -0,9231 -0,7435 -0,6577 -0,6716 -0,7691 -0,9054 -1,0168 -1,0505 -0,9937 -0,8730 -0,7249 -0,5806 -0,4841 -0,4922 -0,6363 -0,8996 -1,2398 -1,6143 -1,9694 -2,2290 -2,3269 -2,2637 -2,1288 -2,0524 -2,1305 -2,3972 -2,8488 -3,4776 -4,2816 -5,2337 -6,2376 -7,1334 -7,7568 -8,0029 -7,8747 -7,4987 -7,0763 -6,7862 -6,7011 -6,7794 -6,9254 -7,0479 -7,0765 -6,9775 -6,7796 -6,5576 -6,3783 -6,2701 -6,2230 -6,1910 -6,1012 -5,8746 -5,4455 -4,7908 -3,9698 -3,1044 -2,2852 -1,5258 -0,8231 -0,2380 0,0862 -0,0155 -0,6256 -1,6742 -2,9550 -4,2045 -5,1932 -5,7886 -5,9673 -5,7803 -5,3058 -4,6155 -3,7660 -2,8168 -1,8489 -0,9590 -0,2456 0,2050 0,3451 0,1852 -0,2109 -0,7441 -1,2926 -1,7396 -2,0346 -2,2307 -2,4276 -2,6811 -2,9800 -3,2773 -3,5251 -3,7033 -3,8195 -3,8676 -3,7986 -3,5441 -3,0687 -2,4026 -1,6350 -0,8845 -0,2676 0,1356 0,3060 0,2726 0,0754 -0,2515 -0,6620 -1,0776 -1,4102 -1,6218 -1,7489 -1,8599 -1,9994 -2,1777 -2,3966 -2,6606 -2,9597 -3,2502 -3,4593 -3,5012 -3,2881 -2,7458 -1,8487 -0,6520 0,7182 2,0980 3,3101 4,1965 4,6624 4,6994 4,3844 3,8556 3,2559 2,6802 2,1924 1,8865 1,8872 2,2635 2,9491 3,7507 4,4333 4,8101 4,7952 4,4286 3,8632 3,2820 2,8013 2,4524 2,2340 2,1533 2,2091 2,3574 2,5175 2,6197 2,6392 2,5781 2,4512 2,3057 2,2146 2,2234 2,3165 2,4382 2,5360 2,5968 2,6492 2,7374 2,9002 3,1663 3,5540 4,0591 4,6239 5,1222 5,4118 5,4281 5,2353 4,9738 4,7494 4,5744 4,4066 4,2230 4,0588 3,9908 4,0899 4,3863 4,8748 5,5398 6,3574 7,2688 8,1647 8,9108 9,3991 9,5818 9,4631 9,0846 8,5503 8,0527 7,8050 7,9083 8,2966 8,7988 9,2363 9,4949 9,5550 9,4664 9,2881 9,0504 8,7627 8,4350 8,0803 7,7215 7,4106 7,2167 7,1671 7,2076 7,2436 7,2222 7,1582 7,0919 7,0326 6,9425 6,7701 6,4974 6,1606 5,8255 5,5419 5,3118 5,0868 4,7990 4,4072 3,9199 3,3868 2,8738 2,4404 2,1358 2,0104 2,1091 2,4467 3,0018 3,7339 4,5820 5,4376 6,1586 6,6396 6,8708 6,9363 6,9694 7,0953 7,3835 7,8473 8,4792 9,2527 10,0756 10,7702 11,1321 11,0327 10,4920 9,6746 8,8105 8,0903 7,6019 7,3399 7,2561 7,2931 7,3880 7,4770 7,5134 7,4789 7,3845 7,2666 7,1713 7,1331 7,1558 7,2134 7,2759 7,3328 7,3857 7,4219 7,4042 7,2891 7,0576 6,7405 6,4081 6,1189 5,8785 5,6723 5,5319 5,5419 5,7826 6,2840 7,0068 7,8301 8,5706 9,0552 9,2009 9,0423 8,7172 8,4292 8,3607 8,5642 8,9363 9,3050 9,5404 9,5988 9,4892 9,2151 8,7661 8,1618 7,4845 6,8534 6,3640 6,0449 5,8604 5,7513 5,6796 5,6469 5,6800 5,7974 5,9838 6,1924 6,3659 6,4381 6,3273 5,9641 5,3474 4,5642 3,7489 3,0343 2,5321 2,3152 2,3860 2,6591 3,0007 3,3069 3,5356 3,6723 3,7105 3,6748 3,6255 3,6103 3,6243 3,6263 3,5823 3,4756 3,2808 2,9568 2,4817 1,8903 1,2704 0,7323 0,3823 0,2995 0,5178 1,0141 1,6899 2,3721 2,8866 3,1518 3,1977 3,1135 2,9926 2,9016 2,8717 2,9062 3,0037 3,1707 3,4058 3,6754 3,9134 4,0427 3,9973 3,7495 3,3435 2,8910 2,5081 2,2523 2,1081 2,0050 1,8608 1,6369 1,3525 1,0481 0,7392 0,4023 -0,0001 -0,4842 -1,0166 -1,5115 -1,8633 -1,9816 -1,8121 -1,3708 -0,7713 -0,1769 0,2963 0,6267 0,8518 1,0016 1,0678 1,0131 0,7807 0,3174 -0,3582 -1,1121 -1,7440 -2,0805 -2,0421 -1,6721 -1,1099 -0,5154 0,0011 0,3993 0,6893 0,9003 1,0562 1,1674 1,2337 1,2426 1,1693 0,9867 0,6648 0,1679 -0,5092 -1,2907 -2,0235 -2,5499 -2,7814 -2,7122 -2,3845 -1,8556 -1,1936 -0,4675 0,2789 1,0159 1,6841 2,1999 2,5152 2,6420 2,6070 2,4017 2,0050 1,4563 0,8873 0,4709 0,3431 0,5663 1,1351 1,9909 3,0249 4,0832 4,9993 5,6527 6,0126 6,1280 6,0866 5,9791 5,8758 5,8107 5,7724 5,7115 5,5757 5,3490 5,0573 4,7560 4,5207 4,4378 4,5793 4,9579 5,4896 6,0048 6,3222 6,3508 6,1324 5,7708 5,3332 4,8429 4,3364 3,8776 3,5151 3,2497 3,0459 2,8632 2,6819 2,5221 2,4425 2,5107 2,7561 3,1329 3,5351 3,8583 4,0508 4,1220 4,1283 4,1358 4,1605 4,1507 4,0417 3,8250 3,5589 3,3205 3,1564 3,0829 3,1055 3,2173 3,3932 3,6107 3,8671 4,1716 4,5194 4,8640 5,1191 5,2104 5,1303 4,9384 4,7089 4,4864 4,2888 4,1252 3,9909 3,8529 3,6640 3,4003 3,0772 2,7322 2,4070 2,1430 1,9613 1,8409 1,7288 1,5717 1,3362 1,0143 0,6114 0,1228 -0,4785 -1,2183 -2,0717 -2,9462 -3,7213 -4,2866 -4,5500 -4,4586 -4,0358 -3,3809 -2,6344
F3    2,3578 1,9111 1,4269 1,0272 0,8069 0,7941 0,9497 1,1857 1,3885 1,4509 1,3311 1,1018 0,9125 0,8804 1,0183 1,2510 1,4735 1,6028 1,5998 1,4680 1,2364 0,9245 0,5249 0,0408 -0,4650 -0,8785 -1,1019 -1,1173 -0,9839 -0,7907 -0,6397 -0,6347 -0,8210 -1,1519 -1,5580 -2,0174 -2,5177 -2,9734 -3,2179 -3,0934 -2,5650 -1,7554 -0,8743 -0,1249 0,3563 0,5315 0,4466 0,1740 -0,2211 -0,6699 -1,0932 -1,4146 -1,5757 -1,5529 -1,3742 -1,1210 -0,8977 -0,7756 -0,7595 -0,8109 -0,9115 -1,0958 -1,3986 -1,7807 -2,1360 -2,3676 -2,4304 -2,3108 -2,0124 -1,5795 -1,1173 -0,7723 -0,6685 -0,8315 -1,1579 -1,4740 -1,6525 -1,6844 -1,6517 -1,6578 -1,7879 -2,0952 -2,5891 -3,2523 -4,0724 -5,0272 -6,0372 -6,9725 -7,7123 -8,1847 -8,3686 -8,2798 -7,9535 -7,4452 -6,8493 -6,2937 -5,8944 -5,6988 -5,6648 -5,6909 -5,6681 -5,5179 -5,2209 -4,8326 -4,4518 -4,1440 -3,8940 -3,6275 -3,2715 -2,8142 -2,3272 -1,9001 -1,5390 -1,1703 -0,7541 -0,3608 -0,1377 -0,2183 -0,6509 -1,3811 -2,2816 -3,1916 -3,9550 -4,4575 -4,6444 -4,5038 -4,0417 -3,2798 -2,2692 -1,1072 0,0630 1,0755 1,7697 2,0104 1,7222 0,9391 -0,1770 -1,3794 -2,4195 -3,1351 -3,5040 -3,6198 -3,6066 -3,5605 -3,5500 -3,6104 -3,7256 -3,8506 -3,9482 -3,9784 -3,8747 -3,5610 -2,9950 -2,2063 -1,3059 -0,4536 0,2045 0,5923 0,7202 0,6542 0,4691 0,2228 -0,0329 -0,2347 -0,3371 -0,3668 -0,4120 -0,5466 -0,7777 -1,0619 -1,3596 -1,6672 -1,9924 -2,3042 -2,5199 -2,5371 -2,2679 -1,6616 -0,7390 0,3861 1,5506 2,6131 3,4841 4,1262 4,5410 4,7433 4,7581 4,6446 4,4789 4,2937 4,0756 3,8501 3,7211 3,7936 4,0760 4,4691 4,8277 5,0220 4,9663 4,6450 4,1374 3,5918 3,1447 2,8566 2,7153 2,6887 2,7527 2,8685 2,9686 2,9977 2,9597 2,8999 2,8568 2,8525 2,8996 2,9905 3,0835 3,1124 3,0254 2,8329 2,6175 2,4917 2,5454 2,8138 3,2722 3,8500 4,4402 4,9087 5,1380 5,0899 4,8294 4,4825 4,1671 3,9461 3,8216 3,7586 3,7268 3,7310 3,8065 3,9863 4,2831 4,7071 5,2839 6,0364 6,9459 7,9296 8,8517 9,5509 9,8672 9,6926 9,0643 8,2135 7,4603 7,0201 6,9105 7,0209 7,2320 7,4627 7,6535 7,7603 7,7733 7,7156 7,6243 7,5341 7,4594 7,3992 7,3611 7,3559 7,3554 7,2795 7,0560 6,6947 6,2931 5,9725 5,7975 5,7339 5,6803 5,5532 5,3414 5,0928 4,8801 4,7756 4,8114 4,9384 5,0273 4,9298 4,5684 3,9850 3,3088 2,6927 2,2723 2,1419 2,3326 2,8117 3,4983 4,2617 4,9276 5,3410 5,4540 5,3406 5,1420 5,0213 5,1400 5,6076 6,4309 7,5145 8,6895 9,7396 10,4322 10,5856 10,1610 9,3139 8,3307 7,4866 6,9391 6,7139 6,7455 6,9247 7,1382 7,2942 7,3388 7,2577 7,0573 6,7547 6,3931 6,0506 5,8242 5,7895 5,9546 6,2490 6,5646 6,8060 6,9084 6,8383 6,5913 6,1969 5,7332 5,3073 4,9858 4,7577 4,5936 4,5317 4,6746 5,1102 5,8492 6,7984 7,7591 8,4887 8,8151 8,7018 8,2283 7,5596 6,9316 6,5801 6,6151 6,9609 7,4136 7,7527 7,8334 7,6206 7,1680 6,5788 5,9707 5,4500 5,0973 4,9527 4,9981 5,1651 5,3822 5,6218 5,8955 6,2109 6,5469 6,8706 7,1533 7,3479 7,3536 7,0414 6,3420 5,3117 4,1076 2,9091 1,8741 1,1378 0,7989 0,8805 1,3012 1,8955 2,4943 2,9927 3,3428 3,5315 3,5962 3,6275 3,7180 3,9000 4,1340 4,3396 4,4225 4,2911 3,8863 3,2180 2,3723 1,4832 0,7002 0,1587 -0,0656 0,0170 0,3466 0,8535 1,4519 2,0392 2,5353 2,9137 3,1878 3,3832 3,5259 3,6431 3,7663 3,9331 4,1723 4,4684 4,7548 4,9489 4,9706 4,7381 4,2123 3,4726 2,7032 2,0759 1,6620 1,4415 1,3499 1,3247 1,3366 1,3765 1,4283 1,4578 1,4137 1,2387 0,8995 0,4231 -0,0955 -0,5323 -0,7853 -0,7972 -0,5669 -0,1510 0,3740 0,9617 1,5897 2,2127 2,7363 3,0350 2,9974 2,5667 1,7605 0,6846 -0,4769 -1,5195 -2,2770 -2,6459 -2,6083 -2,2450 -1,6965 -1,0893 -0,4922 0,0790 0,6346 1,1851 1,7259 2,2258 2,6234 2,8469 2,8392 2,5510 1,9408 1,0204 -0,1032 -1,2334 -2,1418 -2,6501 -2,6879 -2,2969 -1,5984 -0,7494 0,1117 0,9058 1,5968 2,1300 2,4213 2,4274 2,1990 1,8447 1,4574 1,0791 0,7266 0,4483 0,3479 0,5347 1,0525 1,8667 2,8976 4,0274 5,0920 5,9293 6,4572 6,6978 6,7389 6,6797 6,5905 6,4954 6,3829 6,2234 5,9750 5,5987 5,0956 4,5348 4,0422 3,7511 3,7441 4,0153 4,4636 4,9269 5,2541 5,3681 5,2753 5,0224 4,6489 4,1947 3,7439 3,4235 3,3377 3,5005 3,8267 4,1879 4,4822 4,6684 4,7598 4,7933 4,7991 4,7911 4,7648 4,6992 4,5779 4,4133 4,2477 4,1379 4,1224 4,1703 4,1683 3,9876 3,5815 3,0323 2,5113 2,1812 2,1206 2,3178 2,7065 3,1970 3,7058 4,1817 4,6085 4,9845 5,2942 5,4994 5,5572 5,4305 5,0947 4,5638 3,9255 3,3404 2,9710 2,8782 2,9804 3,1126 3,1334 2,9980 2,7528 2,4793 2,2389 2,0422 1,8628 1,6791 1,4853 1,2743 1,0404 0,7853 0,4929 0,1127 -0,4103 -1,0794 -1,8161 -2,4862 -2,9601 -3,1566 -3,0511 -2,6713 -2,1005 -1,4800
F7    2,0010 1,6809 1,3733 1,1109 0,9130 0,7741 0,6691 0,5737 0,4836 0,4208 0,4232 0,5299 0,7768 1,1775 1,6614 2,0567 2,1861 1,9919 1,5657 1,0738 0,6620 0,4037 0,3013 0,3245 0,4354 0,5718 0,6474 0,5913 0,3747 0,0135 -0,4260 -0,8515 -1,1927 -1,4131 -1,4954 -1,4618 -1,3961 -1,4032 -1,5419 -1,7841 -2,0267 -2,1618 -2,1417 -1,9761 -1,7024 -1,3836 -1,0946 -0,8776 -0,7406 -0,6981 -0,7698 -0,9444 -1,1814 -1,4363 -1,6656 -1,8322 -1,9244 -1,9595 -1,9800 -2,0461 -2,1815 -2,3234 -2,3736 -2,2977 -2,1397 -1,9529 -1,7542 -1,5532 -1,3928 -1,3290 -1,3728 -1,4786 -1,5908 -1,6844 -1,7451 -1,7436 -1,6642 -1,5495 -1,4928 -1,5935 -1,9119 -2,4402 -3,1126 -3,8465 -4,5713 -5,2320 -5,7795 -6,1602 -6,3232 -6,2448 -5,9500 -5,5264 -5,1073 -4,8090 -4,6654 -4,6248 -4,6109 -4,5794 -4,5316 -4,4948 -4,4901 -4,5153 -4,5534 -4,5756 -4,5259 -4,3228 -3,9007 -3,2622 -2,4860 -1,6757 -0,9119 -0,2550 0,2428 0,5617 0,7294 0,7916 0,7716 0,6567 0,4182 0,0499 -0,4023 -0,8410 -1,1562 -1,2870 -1,2546 -1,1290 -0,9732 -0,8228 -0,6847 -0,5365 -0,3525 -0,1511 -0,0039 0,0178 -0,0946 -0,2795 -0,4517 -0,5544 -0,5787 -0,5501 -0,5012 -0,4550 -0,4316 -0,4629 -0,5781 -0,7655 -0,9710 -1,1400 -1,2428 -1,2699 -1,2174 -1,0821 -0,8749 -0,6328 -0,4020 -0,2221 -0,1233 -0,1143 -0,1678 -0,2393 -0,2988 -0,3326 -0,3229 -0,2415 -0,0631 0,2136 0,5450 0,8432 1,0190 1,0383 0,9323 0,7520 0,5299 0,2805 0,0317 -0,1414 -0,1197 0,2138 0,9210 1,9637 3,1918 4,3959 5,3829 6,0189 6,2460 6,0884 5,6286 4,9685 4,2090 3,4584 2,8366 2,4462 2,3335 2,4734 2,7686 3,0551 3,1552 2,9712 2,5375 1,9977 1,5378 1,2885 1,2423 1,2738 1,2567 1,1510 1,0029 0,9066 0,9508 1,1487 1,4059 1,5786 1,5717 1,3873 1,1030 0,8221 0,6261 0,5405 0,5273 0,5245 0,5079 0,5115 0,5934 0,7908 1,0889 1,4149 1,6642 1,7415 1,6061 1,2991 0,9187 0,5625 0,2806 0,0516 -0,1947 -0,4970 -0,8009 -0,9938 -0,9874 -0,7581 -0,3351 0,2312 0,8879 1,5703 2,1874 2,6366 2,8487 2,8237 2,6367 2,4142 2,2759 2,2751 2,3919 2,5608 2,6932 2,7082 2,5712 2,3120 2,0117 1,7683 1,6460 1,6349 1,6519 1,5939 1,4044 1,0959 0,7193 0,3339 -0,0031 -0,2528 -0,4078 -0,4762 -0,4598 -0,3701 -0,2582 -0,2034 -0,2630 -0,4437 -0,7097 -1,0006 -1,2592 -1,4681 -1,6547 -1,8493 -2,0473 -2,2190 -2,3492 -2,4578 -2,5824 -2,7445 -2,9238 -3,0524 -3,0463 -2,8648 -2,5387 -2,1391 -1,7329 -1,3673 -1,0759 -0,8765 -0,7519 -0,6476 -0,5028 -0,2862 -0,0040 0,3268 0,7009 1,1084 1,5013 1,7813 1,8286 1,5740 1,0667 0,4598 -0,0830 -0,4570 -0,6131 -0,5345 -0,2359 0,2098 0,6541 0,9260 0,9373 0,7262 0,4175 0,1575 0,0429 0,0716 0,1672 0,2429 0,2416 0,1475 -0,0241 -0,2563 -0,5349 -0,8235 -1,0625 -1,1998 -1,2200 -1,1580 -1,0723 -0,9867 -0,8651 -0,6531 -0,3419 0,0120 0,3293 0,5617 0,6917 0,6990 0,5654 0,3223 0,0648 -0,1016 -0,1329 -0,0675 0,0168 0,0607 0,0460 -0,0211 -0,1387 -0,3315 -0,6391 -1,0695 -1,5651 -2,0224 -2,3440 -2,4874 -2,4836 -2,4076 -2,3163 -2,2099 -2,0569 -1,8522 -1,6327 -1,4409 -1,2941 -1,1930 -1,1453 -1,1762 -1,3111 -1,5509 -1,8603 -2,1729 -2,4126 -2,5363 -2,5672 -2,5716 -2,5987 -2,6482 -2,6839 -2,6670 -2,5756 -2,4059 -2,1821 -1,9621 -1,8126 -1,7760 -1,8683 -2,1022 -2,4900 -3,0099 -3,5787 -4,0677 -4,3580 -4,3931 -4,1845 -3,7750 -3,2250 -2,6370 -2,1546 -1,9020 -1,9144 -2,1232 -2,4005 -2,6304 -2,7567 -2,7725 -2,6867 -2,5182 -2,2919 -2,0142 -1,6751 -1,2898 -0,9292 -0,6989 -0,6779 -0,8570 -1,1359 -1,3836 -1,5008 -1,4494 -1,2665 -1,0523 -0,9143 -0,9090 -1,0241 -1,2108 -1,4423 -1,7404 -2,1427 -2,6513 -3,2098 -3,7167 -4,0567 -4,1372 -3,9299 -3,4967 -2,9686 -2,4779 -2,0865 -1,7732 -1,4902 -1,2192 -0,9869 -0,8583 -0,9042 -1,1443 -1,5199 -1,9149 -2,1956 -2,2630 -2,1070 -1,8136 -1,5083 -1,2883 -1,1928 -1,2202 -1,3544 -1,5718 -1,8278 -2,0555 -2,1978 -2,2559 -2,2898 -2,3548 -2,4513 -2,5367 -2,5626 -2,5115 -2,4106 -2,3013 -2,1984 -2,0842 -1,9336 -1,7461 -1,5546 -1,3913 -1,2510 -1,0969 -0,8906 -0,6219 -0,3268 -0,0762 0,0635 0,0615 -0,0757 -0,3114 -0,5812 -0,8038 -0,9007 -0,8156 -0,5327 -0,0859 0,4522 0,9906 1,4341 1,7056 1,7768 1,6899 1,5473 1,4561 1,4624 1,5385 1,6240 1,6739 1,6811 1,6656 1,6471 1,6358 1,6471 1,7151 1,8792 2,1382 2,4173 2,6088 2,6624 2,6234 2,5664 2,5024 2,3692 2,1047 1,7117 1,2549 0,8147 0,4507 0,1979 0,0664 0,0403 0,1073 0,2830 0,5793 0,9596 1,3514 1,6881 1,9299 2,0663 2,1112 2,0777 1,9552 1,7218 1,3883 1,0244 0,7273 0,5608 0,5264 0,5783 0,6548 0,7127 0,7505 0,7996 0,8884 1,0263 1,2140 1,4414 1,6724 1,8553 1,9634 2,0161 2,0444 2,0387 1,9470 1,7270 1,3852 0,9703 0,5413 0,1344 -0,2505 -0,6378 -1,0516 -1,4930 -1,9367 -2,3498 -2,7061 -2,9931 -3,2188 -3,4063 -3,5776 -3,7485 -3,9340 -4,1493 -4,4043 -4,6941 -4,9944 -5,2552 -5,4041 -5,3824 -5,1893 -4,8841 -4,5533
