Fp1   2,9215 3,3720 3,7165 3,9760 4,1795 4,3547 4,5150 4,6455 4,7063 4,6535 4,4592 4,1221 3,6708 3,1571 2,6402 2,1732 1,7923 1,5096 1,3152 1,1799 1,0598 0,9133 0,7162 0,4567 0,1257 -0,2807 -0,7554 -1,2830 -1,8400 -2,3859 -2,8564 -3,1740 -3,2799 -3,1687 -2,8990 -2,5730 -2,3024 -2,1744 -2,2284 -2,4515 -2,7842 -3,1406 -3,4419 -3,6512 -3,7838 -3,8820 -3,9711 -4,0370 -4,0402 -3,9469 -3,7438 -3,4388 -3,0613 -2,6583 -2,2766 -1,9488 -1,6959 -1,5382 -1,4969 -1,5818 -1,7827 -2,0741 -2,4273 -2,8146 -3,1986 -3,5244 -3,7301 -3,7812 -3,6981 -3,5411 -3,3687 -3,2116 -3,0774 -2,9655 -2,8669 -2,7529 -2,5795 -2,3119 -1,9463 -1,5094 -1,0388 -0,5703 -0,1408 0,2171 0,4875 0,6688 0,7614 0,7748 0,7455 0,7365 0,8084 0,9812 1,2157 1,4196 1,4735 1,2772 0,8028 0,1224 -0,6195 -1,2780 -1,7622 -2,0419 -2,1316 -2,0776 -1,9508 -1,8341 -1,8034 -1,9122 -2,1791 -2,5857 -3,0884 -3,6297 -4,1389 -4,5433 -4,7957 -4,8877 -4,8326 -4,6424 -4,3314 -3,9320 -3,4893 -3,0416 -2,6145 -2,2191 -1,8415 -1,4436 -0,9845 -0,4409 0,1839 0,8608 1,5514 2,2322 2,9005 3,5589 4,1989 4,8041 5,3690 5,9141 6,4801 7,1059 7,8074 8,5671 9,3394 10,0672 10,6891 11,1393 11,3575 11,3135 11,0344 10,6100 10,1560 9,7585 9,4416 9,1749 8,9087 8,6105 8,2757 7,9150 7,5410 7,1624 6,7710 6,3347 5,8171 5,2112 4,5479 3,8757 3,2410 2,6796 2,2076 1,8098 1,4411 1,0450 0,5869 0,0834 -0,4052 -0,8120 -1,0937 -1,2406 -1,2808 -1,2738 -1,2881 -1,3842 -1,6102 -1,9893 -2,4977 -3,0567 -3,5556 -3,8906 -4,0036 -3,9040 -3,6619 -3,3749 -3,1268 -2,9642 -2,9049 -2,9513 -3,0899 -3,2968 -3,5545 -3,8564 -4,1901 -4,5202 -4,7950 -4,9751 -5,0589 -5,0847 -5,1113 -5,1992 -5,3960 -5,7257 -6,1771 -6,7003 -7,2179 -7,6432 -7,9016 -7,9533 -7,8048 -7,4980 -7,0993 -6,6952 -6,3749 -6,2020 -6,2002 -6,3533 -6,6161 -6,9322 -7,2494 -7,5258 -7,7290 -7,8314 -7,8029 -7,6080 -7,2230 -6,6644 -5,9995 -5,3241 -4,7261 -4,2694 -3,9972 -3,9276 -4,0406 -4,2821 -4,5838 -4,8817 -5,1249 -5,2798 -5,3290 -5,2646 -5,0760 -4,7420 -4,2567 -3,6708 -3,0849 -2,5870 -2,1983 -1,8820 -1,5900 -1,2933 -0,9833 -0,6702 -0,3815 -0,1495 0,0052 0,0792 0,0827 0,0412 -0,0069 -0,0293 -0,0166 0,0251 0,0921 0,1892 0,3213 0,4844 0,6603 0,8189 0,9285 0,9646 0,9102 0,7502 0,4669 0,0506 -0,4865 -1,1118 -1,7840 -2,4572 -3,0770 -3,5897 -3,9671 -4,2216 -4,3884 -4,4936 -4,5435 -4,5381 -4,4790 -4,3620 -4,1673 -3,8725 -3,4786 -3,0206 -2,5501 -2,1110 -1,7228 -1,3690 -0,9998 -0,5622 -0,0524 0,4648 0,9039 1,2221 1,4294 1,5477 1,5779 1,5067 1,3232 1,0227 0,6145 0,1470 -0,2847 -0,5787 -0,6825 -0,6128 -0,4319 -0,2173 -0,0471 0,0117 -0,0723 -0,2794 -0,5602 -0,8787 -1,2261 -1,5902 -1,9370 -2,2435 -2,5296 -2,8388 -3,1944 -3,5828 -3,9714 -4,3336 -4,6538 -4,9206 -5,1237 -5,2554 -5,3075 -5,2649 -5,1111 -4,8458 -4,5020 -4,1489 -3,8663 -3,7012 -3,6433 -3,6422 -3,6490 -3,6450 -3,6416 -3,6588 -3,7072 -3,7844 -3,8859 -4,0152 -4,1783 -4,3666 -4,5453 -4,6567 -4,6423 -4,4720 -4,1619 -3,7632 -3,3272 -2,8712 -2,3739 -1,8075 -1,1756 -0,5228 0,0825 0,5732 0,9043 1,0653 1,0775 0,9755 0,7827 0,4991 0,1150 -0,3658 -0,9136 -1,4738 -1,9747 -2,3436 -2,5330 -2,5348 -2,3644 -2,0374 -1,5745 -1,0199 -0,4399 0,0957 0,5373 0,8730 1,1294 1,3578 1,6173 1,9595 2,4021 2,9015 3,3607 3,6759 3,7796 3,6635 3,3833 3,0361 2,7071 2,4296 2,1912 1,9671 1,7441 1,5240 1,3119 1,1045 0,8882 0,6398 0,3304 -0,0637 -0,5396 -1,0565 -1,5547 -1,9882 -2,3435 -2,6412 -2,9191 -3,2039 -3,4886 -3,7311 -3,8688 -3,8459 -3,6472 -3,3143 -2,9331 -2,5957 -2,3633 -2,2523 -2,2458 -2,3178 -2,4517 -2,6317 -2,8215 -2,9749 -3,0643 -3,0794 -3,0101 -2,8511 -2,6120 -2,3136 -1,9770 -1,6156 -1,2325 -0,8253 -0,3877 0,0875 0,6001 1,1365 1,6745 2,1814 2,6059 2,8823 2,9621 2,8518 2,6269 2,4037 2,2831 2,3080 2,4645 2,7123 3,0089 3,3148 3,5849 3,7651 3,8125 3,7237 3,5350 3,2942 3,0309 2,7390 2,3831 1,9385 1,4366 0,9646 0,6158 0,4304 0,3748 0,3667 0,3236 0,2109 0,0697 0,0047 0,1183 0,4405 0,9092 1,4143 1,8598 2,2016 2,4406 2,5938 2,6838 2,7461 2,8238 2,9418 3,0934 3,2576 3,4268 3,6179 3,8602 4,1747 4,5629 5,0116 5,5053 6,0338 6,5902 7,1600 7,7172 8,2367 8,7062 9,1154 9,4385 9,6447 9,7267 9,7079 9,6254 9,5179 9,4210 9,3486 9,2711 9,1204 8,8267 8,3519 7,6978 6,8993 6,0108 5,0862 4,1612 3,2535 2,3747 1,5399 0,7586 0,0194 -0,7014 -1,4037 -2,0464 -2,5816 -3,0027 -3,3507 -3,6784 -4,0119 -4,3330 -4,5876 -4,7254 -4,7503 -4,7273 -4,7340 -4,8144 -4,9686 -5,1661 -5,3684 -5,5530 -5,7229 -5,8978 -6,0938 -6,3103 -6,5380 -6,7763 -7,0385 -7,3401 -7,6823 -8,0497 -8,4258 -8,7960 -9,1273 -9,3618 -9,4482 -9,3750 -9,1678 -8,8586 -8,4634 -7,9871 -7,4427 -6,8603 -6,2806 -5,7459 -5,2912 -4,9458 -4,7433 -4,7148 -4,8591 -5,1200 -5,3992 -5,5933 -5,6293 -5,4807 -5,1669
Fz    4,8788 5,2885 5,6941 6,1027 6,4875 6,7969 6,9821 7,0199 6,9079 6,6439 6,2226 5,6514 4,9659 4,2309 3,5212 2,8945 2,3739 1,9471 1,5745 1,2013 0,7799 0,2990 -0,2028 -0,6589 -1,0111 -1,2312 -1,3318 -1,3666 -1,4108 -1,5274 -1,7447 -2,0578 -2,4419 -2,8678 -3,3151 -3,7721 -4,2267 -4,6613 -5,0586 -5,4019 -5,6655 -5,8148 -5,8302 -5,7315 -5,5703 -5,4003 -5,2525 -5,1256 -4,9882 -4,7970 -4,5255 -4,1829 -3,8166 -3,4977 -3,2905 -3,2209 -3,2697 -3,3956 -3,5585 -3,7276 -3,8835 -4,0182 -4,1336 -4,2397 -4,3483 -4,4627 -4,5705 -4,6450 -4,6564 -4,5780 -4,3885 -4,0810 -3,6800 -3,2402 -2,8182 -2,4437 -2,1178 -1,8310 -1,5764 -1,3387 -1,0740 -0,7287 -0,2871 0,2130 0,7076 1,1411 1,4824 1,7280 1,8953 2,0129 2,1105 2,2059 2,2971 2,3616 2,3576 2,2268 1,9163 1,4110 0,7509 0,0270 -0,6444 -1,1698 -1,5235 -1,7451 -1,8989 -2,0302 -2,1523 -2,2642 -2,3745 -2,5102 -2,7071 -2,9866 -3,3392 -3,7360 -4,1504 -4,5594 -4,9265 -5,2071 -5,3771 -5,4439 -5,4202 -5,2989 -5,0625 -4,7081 -4,2503 -3,7104 -3,1054 -2,4428 -1,7295 -0,9875 -0,2485 0,4703 1,1831 1,9277 2,7383 3,6212 4,5532 5,5019 6,4432 7,3613 8,2441 9,0777 9,8427 10,5177 11,0840 11,5284 11,8441 12,0346 12,1267 12,1800 12,2647 12,4161 12,6077 12,7625 12,7877 12,6115 12,2122 11,6299 10,9518 10,2725 9,6487 9,0808 8,5346 7,9775 7,3985 6,8045 6,2060 5,6098 5,0109 4,3806 3,6720 2,8493 1,9204 0,9519 0,0480 -0,6956 -1,2213 -1,5120 -1,5856 -1,4898 -1,2908 -1,0605 -0,8662 -0,7551 -0,7368 -0,7837 -0,8519 -0,9035 -0,9240 -0,9282 -0,9426 -0,9855 -1,0664 -1,2000 -1,4130 -1,7300 -2,1556 -2,6706 -3,2397 -3,8183 -4,3613 -4,8289 -5,1906 -5,4367 -5,5874 -5,6787 -5,7401 -5,7913 -5,8575 -5,9772 -6,1815 -6,4668 -6,7946 -7,1155 -7,3946 -7,6185 -7,7842 -7,8830 -7,9010 -7,8389 -7,7265 -7,6178 -7,5627 -7,5694 -7,5910 -7,5539 -7,4007 -7,1140 -6,7095 -6,2132 -5,6462 -5,0246 -4,3610 -3,6688 -2,9773 -2,3353 -1,7943 -1,3904 -1,1412 -1,0475 -1,0919 -1,2385 -1,4444 -1,6681 -1,8668 -1,9907 -1,9879 -1,8207 -1,4738 -0,9479 -0,2707 0,4819 1,1970 1,7685 2,1345 2,2858 2,2562 2,1090 1,9225 1,7680 1,6798 1,6396 1,5969 1,5087 1,3597 1,1649 0,9664 0,8184 0,7569 0,7799 0,8548 0,9427 1,0212 1,0908 1,1567 1,2004 1,1779 1,0450 0,7824 0,3976 -0,0882 -0,6476 -1,2521 -1,8813 -2,5294 -3,1931 -3,8509 -4,4513 -4,9274 -5,2255 -5,3266 -5,2445 -5,0148 -4,6810 -4,2824 -3,8463 -3,3860 -2,9059 -2,4041 -1,8690 -1,2811 -0,6335 0,0517 0,7374 1,3953 2,0087 2,5573 3,0133 3,3568 3,5908 3,7376 3,8182 3,8373 3,7890 3,6741 3,5055 3,3053 3,1090 2,9718 2,9474 3,0510 3,2466 3,4666 3,6342 3,6814 3,5682 3,3005 2,9236 2,4903 2,0220 1,4939 0,8653 0,1191 -0,7317 -1,6599 -2,6230 -3,5548 -4,3795 -5,0463 -5,5495 -5,9145 -6,1670 -6,3199 -6,3824 -6,3676 -6,2916 -6,1671 -5,9979 -5,7857 -5,5472 -5,3162 -5,1289 -5,0086 -4,9608 -4,9845 -5,0821 -5,2494 -5,4591 -5,6756 -5,8840 -6,0943 -6,3139 -6,5223 -6,6739 -6,7194 -6,6210 -6,3613 -5,9564 -5,4605 -4,9529 -4,5105 -4,1791 -3,9584 -3,8138 -3,7003 -3,5755 -3,4060 -3,1835 -2,9318 -2,6913 -2,4956 -2,3567 -2,2651 -2,1992 -2,1341 -2,0492 -1,9336 -1,7860 -1,6103 -1,4136 -1,2076 -1,0042 -0,8018 -0,5783 -0,3050 0,0281 0,4007 0,7738 1,1131 1,4083 1,6725 1,9276 2,1957 2,4988 2,8472 3,2249 3,5926 3,9060 4,1306 4,2504 4,2690 4,1966 4,0329 3,7640 3,3761 2,8759 2,3043 1,7254 1,1920 0,7204 0,2913 -0,1359 -0,6117 -1,1846 -1,8788 -2,6708 -3,4972 -4,2896 -4,9976 -5,5895 -6,0521 -6,3964 -6,6544 -6,8656 -7,0648 -7,2740 -7,4997 -7,7390 -7,9893 -8,2486 -8,5029 -8,7240 -8,8812 -8,9607 -8,9708 -8,9218 -8,8063 -8,6151 -8,3589 -8,0558 -7,7120 -7,3185 -6,8549 -6,2999 -5,6535 -4,9492 -4,2426 -3,5844 -2,9948 -2,4578 -1,9395 -1,4025 -0,8147 -0,1646 0,5223 1,1906 1,7868 2,2935 2,7310 3,1339 3,5269 3,9156 4,2964 4,6715 5,0522 5,4424 5,8207 6,1449 6,3800 6,5239 6,6038 6,6477 6,6559 6,5918 6,4041 6,0708 5,6298 5,1659 4,7618 4,4563 4,2369 4,0620 3,8920 3,7114 3,5360 3,3964 3,3068 3,2508 3,1946 3,1056 2,9615 2,7561 2,5093 2,2692 2,0966 2,0412 2,1201 2,3057 2,5423 2,7841 3,0232 3,2962 3,6711 4,2135 4,9540 5,8763 6,9252 8,0240 9,0933 10,0681 10,9105 11,6152 12,2018 12,6890 13,0713 13,3284 13,4544 13,4701 13,4049 13,2750 13,0791 12,8046 12,4307 11,9306 11,2848 10,4959 9,5894 8,5997 7,5519 6,4543 5,3079 4,1213 2,9205 1,7469 0,6448 -0,3556 -1,2331 -1,9552 -2,4780 -2,7752 -2,8612 -2,7900 -2,6392 -2,4870 -2,3850 -2,3469 -2,3680 -2,4528 -2,6146 -2,8518 -3,1404 -3,4475 -3,7423 -4,0032 -4,2223 -4,4030 -4,5534 -4,6830 -4,8042 -4,9302 -5,0698 -5,2289 -5,4157 -5,6431 -5,9259 -6,2760 -6,6841 -7,0963 -7,4184 -7,5586 -7,4793 -7,2193 -6,8703 -6,5320 -6,2819 -6,1653 -6,1889 -6,3140 -6,4621 -6,5391 -6,4728 -6,2459 -5,8903 -5,4464 -4,9267 -4,3233 -3,6427 -2,9203 -2,2023 -1,5232
F3    4,6603 5,0073 5,4742 6,0185 6,5321 6,8729 6,9374 6,7088 6,2399 5,6137 4,9192 4,2284 3,5798 2,9977 2,5140 2,1501 1,8900 1,6844 1,4783 1,2320 0,9209 0,5330 0,0829 -0,3730 -0,7423 -0,9321 -0,8942 -0,6495 -0,2784 0,0980 0,3403 0,3200 -0,0459 -0,7683 -1,7785 -2,9420 -4,0939 -5,0896 -5,8476 -6,3530 -6,6204 -6,6673 -6,5296 -6,2773 -5,9860 -5,7014 -5,4449 -5,2242 -5,0175 -4,7771 -4,4771 -4,1456 -3,8408 -3,6118 -3,4807 -3,4466 -3,4974 -3,6217 -3,8099 -4,0438 -4,2879 -4,4877 -4,5870 -4,5681 -4,4764 -4,3962 -4,3970 -4,4836 -4,5833 -4,5896 -4,4266 -4,0793 -3,5860 -3,0181 -2,4531 -1,9513 -1,5483 -1,2694 -1,1472 -1,2004 -1,3814 -1,5765 -1,6763 -1,6391 -1,4870 -1,2580 -0,9676 -0,6094 -0,1950 0,2228 0,5715 0,7966 0,8797 0,8443 0,7453 0,6207 0,4425 0,1215 -0,4260 -1,1938 -2,0640 -2,8829 -3,5577 -4,0789 -4,4727 -4,7517 -4,9049 -4,9233 -4,8307 -4,6853 -4,5498 -4,4671 -4,4682 -4,5879 -4,8508 -5,2378 -5,6737 -6,0556 -6,3039 -6,3935 -6,3319 -6,1182 -5,7385 -5,1936 -4,5147 -3,7527 -2,9549 -2,1475 -1,3342 -0,5141 0,2994 1,0832 1,8325 2,5851 3,4132 4,3718 5,4410 6,5211 7,4904 8,2730 8,8701 9,3399 9,7456 10,1109 10,4209 10,6606 10,8476 11,0277 11,2447 11,5119 11,8006 12,0457 12,1644 12,0787 11,7348 11,1197 10,2786 9,3151 8,3560 7,4959 6,7692 6,1725 5,6979 5,3320 5,0367 4,7552 4,4410 4,0747 3,6485 3,1438 2,5375 1,8280 1,0468 0,2415 -0,5481 -1,2942 -1,9638 -2,5035 -2,8486 -2,9457 -2,7763 -2,3692 -1,7927 -1,1243 -0,4269 0,2414 0,8003 1,1451 1,1774 0,8491 0,2023 -0,6309 -1,4901 -2,2630 -2,9093 -3,4359 -3,8738 -4,2653 -4,6391 -4,9905 -5,3002 -5,5589 -5,7620 -5,8955 -5,9414 -5,8949 -5,7699 -5,5928 -5,4090 -5,2925 -5,3273 -5,5676 -6,0137 -6,6206 -7,3176 -8,0217 -8,6483 -9,1309 -9,4293 -9,5164 -9,3791 -9,0442 -8,5815 -8,0647 -7,5342 -6,9961 -6,4440 -5,8661 -5,2348 -4,5179 -3,7273 -2,9424 -2,2722 -1,7974 -1,5471 -1,5054 -1,6314 -1,8796 -2,2032 -2,5521 -2,8842 -3,1818 -3,4428 -3,6451 -3,7284 -3,6126 -3,2369 -2,5966 -1,7560 -0,8191 0,1154 0,9784 1,7238 2,3006 2,6440 2,7129 2,5398 2,2351 1,9399 1,7675 1,7629 1,8950 2,0912 2,2843 2,4329 2,5184 2,5438 2,5312 2,5005 2,4513 2,3748 2,2798 2,2014 2,1806 2,2214 2,2562 2,1580 1,8007 1,1340 0,2236 -0,7657 -1,6363 -2,2433 -2,5592 -2,6744 -2,7269 -2,8212 -2,9866 -3,1919 -3,3858 -3,5169 -3,5317 -3,3888 -3,0907 -2,6907 -2,2671 -1,8915 -1,6109 -1,4238 -1,2602 -1,0115 -0,6062 -0,0558 0,5658 1,1689 1,6812 2,0759 2,3850 2,6691 2,9670 3,2821 3,5975 3,8827 4,0950 4,1945 4,1685 4,0388 3,8411 3,5885 3,2501 2,7741 2,1397 1,3897 0,6112 -0,1084 -0,7075 -1,1493 -1,4171 -1,5188 -1,4999 -1,4453 -1,4586 -1,6281 -2,0012 -2,5778 -3,3157 -4,1420 -4,9664 -5,7003 -6,2799 -6,6813 -6,9148 -7,0064 -6,9872 -6,8988 -6,7909 -6,6972 -6,6114 -6,5007 -6,3380 -6,1209 -5,8762 -5,6520 -5,5029 -5,4741 -5,5796 -5,7857 -6,0287 -6,2607 -6,4728 -6,6705 -6,8377 -6,9319 -6,9093 -6,7477 -6,4481 -6,0313 -5,5376 -5,0279 -4,5771 -4,2595 -4,1266 -4,1847 -4,3851 -4,6288 -4,7846 -4,7302 -4,4126 -3,8820 -3,2661 -2,7022 -2,2742 -1,9931 -1,8304 -1,7533 -1,7255 -1,7017 -1,6488 -1,5780 -1,5515 -1,6388 -1,8628 -2,1896 -2,5658 -2,9455 -3,2809 -3,5053 -3,5446 -3,3450 -2,8987 -2,2626 -1,5463 -0,8609 -0,2683 0,2237 0,6329 0,9821 1,2978 1,5973 1,8655 2,0573 2,1323 2,0821 1,9194 1,6531 1,2881 0,8444 0,3541 -0,1671 -0,7315 -1,3543 -2,0248 -2,7062 -3,3622 -3,9710 -4,5147 -4,9673 -5,2991 -5,4858 -5,5102 -5,3772 -5,1434 -4,9162 -4,8053 -4,8730 -5,1154 -5,4683 -5,8324 -6,1156 -6,2703 -6,2990 -6,2370 -6,1332 -6,0364 -5,9806 -5,9648 -5,9583 -5,9387 -5,9088 -5,8655 -5,7750 -5,5871 -5,2573 -4,7631 -4,1286 -3,4291 -2,7538 -2,1661 -1,6916 -1,3206 -1,0083 -0,6811 -0,2692 0,2528 0,8563 1,4855 2,0942 2,6636 3,1813 3,6102 3,8948 4,0068 3,9812 3,9081 3,8903 3,9963 4,2354 4,5604 4,8928 5,1464 5,2373 5,1056 4,7502 4,2403 3,6787 3,1523 2,7023 2,3180 1,9533 1,5639 1,1407 0,7174 0,3533 0,1051 0,0078 0,0557 0,1901 0,3301 0,4297 0,4982 0,5736 0,6896 0,8655 1,1135 1,4399 1,8345 2,2643 2,6860 3,0668 3,3901 3,6521 3,8648 4,0693 4,3441 4,7858 5,4585 6,3516 7,3791 8,4255 9,3982 10,2497 10,9658 11,5450 11,9902 12,3125 12,5392 12,7135 12,8771 13,0422 13,1749 13,2085 13,0898 12,8170 12,4270 11,9510 11,3933 10,7397 9,9632 9,0233 7,8866 6,5550 5,0692 3,4918 1,8994 0,3813 -0,9699 -2,0733 -2,8731 -3,3632 -3,5924 -3,6223 -3,4948 -3,2511 -2,9589 -2,7102 -2,6029 -2,7154 -3,0766 -3,6459 -4,3268 -5,0175 -5,6536 -6,2082 -6,6664 -7,0026 -7,1786 -7,1666 -6,9758 -6,6601 -6,3003 -5,9758 -5,7522 -5,6747 -5,7590 -5,9966 -6,3671 -6,8294 -7,2975 -7,6451 -7,7527 -7,5690 -7,1490 -6,6395 -6,2179 -6,0289 -6,1471 -6,5571 -7,1436 -7,7073 -8,0170 -7,8934 -7,2771 -6,2371 -4,9176 -3,4686 -2,0163 -0,6758 0,4427 1,2557 1,7355
F7    3,3194 3,8526 4,1720 4,3260 4,3940 4,4660 4,6013 4,7824 4,9221 4,9236 4,7359 4,3648 3,8544 3,2720 2,7015 2,2302 1,9167 1,7685 1,7526 1,8115 1,8713 1,8574 1,7088 1,3815 0,8451 0,0921 -0,8388 -1,8569 -2,8469 -3,6987 -4,3118 -4,5914 -4,4763 -3,9906 -3,2582 -2,4632 -1,7882 -1,3583 -1,2195 -1,3553 -1,7083 -2,1953 -2,7357 -3,2922 -3,8837 -4,5396 -5,2282 -5,8330 -6,2057 -6,2475 -5,9454 -5,3603 -4,5977 -3,7628 -2,9264 -2,1350 -1,4470 -0,9494 -0,7364 -0,8641 -1,3185 -2,0155 -2,8315 -3,6410 -4,3341 -4,8164 -5,0267 -4,9785 -4,7760 -4,5600 -4,4253 -4,3866 -4,4108 -4,4674 -4,5377 -4,5795 -4,5074 -4,2226 -3,6762 -2,9204 -2,0981 -1,3680 -0,8307 -0,4993 -0,3200 -0,2247 -0,1798 -0,1863 -0,2365 -0,2796 -0,2430 -0,0945 0,1109 0,2387 0,1272 -0,3428 -1,1838 -2,2629 -3,3332 -4,1581 -4,6207 -4,7243 -4,5348 -4,1471 -3,6863 -3,3086 -3,1783 -3,4101 -4,0122 -4,8809 -5,8545 -6,7730 -7,5060 -7,9595 -8,0902 -7,9117 -7,4623 -6,7596 -5,8139 -4,6896 -3,5257 -2,4882 -1,7095 -1,2465 -1,0548 -0,9996 -0,9197 -0,7028 -0,3211 0,1900 0,7758 1,3862 1,9687 2,4664 2,8466 3,1263 3,3690 3,6632 4,0913 4,6991 5,4831 6,3969 7,3673 8,3060 9,1078 9,6534 9,8386 9,6223 9,0615 8,3006 7,5038 6,7821 6,1699 5,6510 5,2086 4,8650 4,6644 4,6138 4,6592 4,7154 4,6937 4,5126 4,1244 3,5415 2,8145 1,9974 1,1538 0,3812 -0,2112 -0,5640 -0,7071 -0,7459 -0,7961 -0,9166 -1,1035 -1,3250 -1,5412 -1,7171 -1,8554 -2,0072 -2,2446 -2,6308 -3,2063 -3,9747 -4,8817 -5,7999 -6,5518 -6,9730 -6,9772 -6,5901 -5,9415 -5,2140 -4,5681 -4,1009 -3,8552 -3,8204 -3,9209 -4,0515 -4,1531 -4,2426 -4,3593 -4,4994 -4,6079 -4,6289 -4,5631 -4,4841 -4,5044 -4,7242 -5,2048 -5,9678 -6,9900 -8,1826 -9,3805 -10,3648 -10,9231 -10,9326 -10,4173 -9,5316 -8,4996 -7,5507 -6,8495 -6,4518 -6,3212 -6,3852 -6,5869 -6,9062 -7,3428 -7,8799 -8,4598 -8,9865 -9,3394 -9,3969 -9,0902 -8,4589 -7,6407 -6,8017 -6,0752 -5,5517 -5,2869 -5,2825 -5,4727 -5,7590 -6,0571 -6,3125 -6,4916 -6,5751 -6,5616 -6,4643 -6,2843 -5,9858 -5,5313 -4,9531 -4,3595 -3,8515 -3,4517 -3,1144 -2,7765 -2,3895 -1,9374 -1,4473 -0,9664 -0,5202 -0,1054 0,2797 0,6187 0,8924 1,0889 1,1927 1,1824 1,0592 0,8744 0,7152 0,6610 0,7373 0,9048 1,0916 1,2371 1,3117 1,3074 1,2174 1,0324 0,7545 0,4015 -0,0059 -0,4507 -0,9105 -1,3528 -1,7508 -2,1076 -2,4601 -2,8451 -3,2555 -3,6452 -3,9786 -4,2516 -4,4571 -4,5471 -4,4513 -4,1450 -3,6928 -3,2207 -2,8430 -2,5957 -2,4056 -2,1126 -1,5592 -0,7122 0,2931 1,2480 2,0096 2,5486 2,8875 3,0328 2,9662 2,6594 2,0805 1,2277 0,1868 -0,8614 -1,7194 -2,2638 -2,4704 -2,3894 -2,1163 -1,7766 -1,5078 -1,4185 -1,5467 -1,8608 -2,3024 -2,8107 -3,3024 -3,6793 -3,8996 -4,0240 -4,1729 -4,4387 -4,8326 -5,2970 -5,7545 -6,1507 -6,4700 -6,7238 -6,9251 -7,0640 -7,0879 -6,9193 -6,5215 -5,9575 -5,3824 -4,9630 -4,7769 -4,7759 -4,8493 -4,9113 -4,9344 -4,9342 -4,9414 -4,9671 -4,9840 -4,9573 -4,9007 -4,8797 -4,9535 -5,1201 -5,3115 -5,4374 -5,4406 -5,3215 -5,1117 -4,8189 -4,3886 -3,7216 -2,7498 -1,5073 -0,1363 1,1709 2,2415 2,9692 3,3222 3,3251 3,0248 2,4511 1,5987 0,4569 -0,9385 -2,4880 -4,0445 -5,4325 -6,4735 -7,0425 -7,1148 -6,7504 -6,0512 -5,1494 -4,1975 -3,3312 -2,6362 -2,1380 -1,8069 -1,5715 -1,3461 -1,0524 -0,6316 -0,0790 0,5113 0,9642 1,1108 0,8623 0,2358 -0,6280 -1,4820 -2,0773 -2,2890 -2,1478 -1,7788 -1,3283 -0,9253 -0,6677 -0,6100 -0,7533 -1,0557 -1,4622 -1,9246 -2,3899 -2,7889 -3,0547 -3,1536 -3,1107 -3,0176 -2,9994 -3,1451 -3,4577 -3,8468 -4,1531 -4,2085 -3,9217 -3,3247 -2,5457 -1,7383 -1,0236 -0,4801 -0,1568 -0,0833 -0,2686 -0,6851 -1,2498 -1,8423 -2,3500 -2,6852 -2,7834 -2,6325 -2,2942 -1,8682 -1,4398 -1,0533 -0,7051 -0,3587 0,0310 0,5029 1,0770 1,7317 2,3924 2,9429 3,2563 3,2360 2,8577 2,1965 1,4252 0,7629 0,3810 0,3286 0,5401 0,8963 1,2779 1,5975 1,8031 1,8590 1,7424 1,4606 1,0520 0,5643 0,0373 -0,5151 -1,1135 -1,7732 -2,4410 -2,9914 -3,2976 -3,3168 -3,1273 -2,8950 -2,7935 -2,9120 -3,1861 -3,4121 -3,3689 -2,9654 -2,2910 -1,5324 -0,8329 -0,2183 0,3507 0,8856 1,3517 1,7196 2,0000 2,2221 2,4059 2,5689 2,7421 2,9542 3,1938 3,4088 3,5580 3,6598 3,7869 4,0238 4,4318 5,0280 5,7734 6,5775 7,3266 7,9165 8,2787 8,4049 8,3523 8,2188 8,1076 8,1008 8,2379 8,4991 8,8065 9,0469 9,1051 8,8973 8,3905 7,6068 6,6135 5,5032 4,3693 3,2844 2,2869 1,3859 0,5697 -0,1883 -0,9118 -1,5955 -2,2036 -2,7122 -3,1501 -3,5804 -4,0398 -4,5048 -4,9063 -5,1661 -5,2470 -5,1910 -5,1044 -5,0920 -5,2052 -5,4372 -5,7448 -6,0709 -6,3659 -6,6071 -6,8054 -6,9885 -7,1792 -7,3967 -7,6727 -8,0451 -8,5268 -9,0846 -9,6608 -10,2199 -10,7612 -11,2765 -11,7171 -12,0186 -12,1396 -12,0617 -11,7673 -11,2293 -10,4262 -9,3721 -8,1341 -6,8191 -5,5460 -4,4182 -3,5159 -2,9142 -2,6854 -2,8622 -3,3974 -4,1599 -4,9725 -5,6662 -6,1223 -6,2916
