Fp1   2,7527 2,6677 2,5033 2,3489 2,2663 2,2287 2,1473 1,9449 1,6049 1,1664 0,6944 0,2509 -0,1160 -0,3724 -0,5157 -0,5940 -0,6756 -0,7985 -0,9531 -1,0868 -1,1257 -1,0094 -0,7260 -0,3306 0,0624 0,3217 0,3669 0,2041 -0,1098 -0,5058 -0,8966 -1,1845 -1,2951 -1,1964 -0,9077 -0,5028 -0,0876 0,2278 0,3480 0,2202 -0,1291 -0,5907 -1,0292 -1,3479 -1,5001 -1,4748 -1,2906 -0,9907 -0,6432 -0,3412 -0,1666 -0,1466 -0,2485 -0,3990 -0,5228 -0,5943 -0,6360 -0,6602 -0,6416 -0,5570 -0,4316 -0,3249 -0,2822 -0,3152 -0,4123 -0,5509 -0,7108 -0,8849 -1,0568 -1,1637 -1,1211 -0,8997 -0,5578 -0,2040 0,0542 0,1483 0,0686 -0,1440 -0,4171 -0,6687 -0,8305 -0,8648 -0,7733 -0,5994 -0,4081 -0,2496 -0,1506 -0,1322 -0,2086 -0,3652 -0,5571 -0,7204 -0,7787 -0,6710 -0,3983 -0,0338 0,3155 0,5569 0,6382 0,5560 0,3567 0,1210 -0,0698 -0,1571 -0,1081 0,0765 0,3525 0,6536 0,9428 1,2345 1,5629 1,9296 2,2894 2,5858 2,7929 2,9207 2,9878 2,9986 2,9408 2,7963 2,5666 2,3003 2,0755 1,9486 1,9303 1,9964 2,1023 2,1856 2,1779 2,0326 1,7506 1,3771 0,9677 0,5634 0,1896 -0,1439 -0,4452 -0,7313 -1,0139 -1,2875 -1,5231 -1,6838 -1,7569 -1,7646 -1,7424 -1,7178 -1,7024 -1,6873 -1,6495 -1,5682 -1,4426 -1,2993 -1,1836 -1,1459 -1,2206 -1,4079 -1,6736 -1,9619 -2,2136 -2,3873 -2,4744 -2,4854 -2,4189 -2,2519 -1,9649 -1,5723 -1,1197 -0,6643 -0,2636 0,0357 0,2208 0,3325 0,4567 0,6785 1,0292 1,4675 1,8935 2,1766 2,2148 2,0043 1,6427 1,2476 0,8727 0,5089 0,1408 -0,2253 -0,5685 -0,8642 -1,0936 -1,2356 -1,2538 -1,1153 -0,8166 -0,3881 0,1130 0,6117 1,0186 1,2505 1,2720 1,1127 0,8483 0,5806 0,4076 0,3853 0,5140 0,7564 1,0600 1,3677 1,6216 1,7771 1,8198 1,7711 1,6809 1,6067 1,5823 1,6000 1,6190 1,5920 1,4948 1,3426 1,1861 1,0782 1,0329 1,0147 0,9698 0,8691 0,7279 0,5861 0,4687 0,3760 0,3077 0,2741 0,2858 0,3423 0,4359 0,5628 0,7168 0,8766 1,0060 1,0662 1,0366 0,9184 0,7218 0,4743 0,2350 0,0708 0,0093 0,0144 0,0085 -0,0804 -0,2792 -0,5614 -0,8715 -1,1564 -1,3808 -1,5346 -1,6394 -1,7489 -1,9296 -2,2211 -2,6034 -3,0013 -3,3283 -3,5383 -3,6317 -3,6218 -3,5102 -3,2941 -2,9887 -2,6410 -2,3141 -2,0549 -1,8849 -1,8162 -1,8664 -2,0484 -2,3493 -2,7317 -3,1510 -3,5605 -3,9105 -4,1546 -4,2581 -4,2060 -4,0065 -3,6811 -3,2526 -2,7498 -2,2225 -1,7418 -1,3705 -1,1261 -0,9773 -0,8876 -0,8564 -0,9082 -1,0648 -1,3403 -1,7332 -2,1998 -2,6501 -2,9873 -3,1510 -3,1323 -2,9705 -2,7326 -2,4845 -2,2826 -2,1781 -2,2020 -2,3451 -2,5639 -2,8026 -3,0059 -3,1246 -3,1353 -3,0646 -2,9829 -2,9620 -3,0341 -3,1723 -3,2922 -3,2910 -3,1064 -2,7490 -2,2902 -1,8276 -1,4452 -1,1905 -1,0755 -1,0876 -1,1990 -1,3763 -1,5927 -1,8273 -2,0480 -2,2145 -2,3076 -2,3415 -2,3382 -2,3007 -2,2174 -2,0756 -1,8683 -1,6049 -1,3262 -1,1020 -1,0024 -1,0685 -1,2965 -1,6256 -1,9376 -2,0944 -2,0138 -1,7305 -1,3800 -1,1096 -0,9966 -1,0352 -1,1676 -1,3215 -1,4469 -1,5380 -1,6119 -1,6722 -1,7032 -1,6909 -1,6351 -1,5472 -1,4428 -1,3250 -1,1774 -0,9827 -0,7512 -0,5268 -0,3649 -0,3031 -0,3395 -0,4318 -0,5241 -0,5728 -0,5516 -0,4516 -0,2782 -0,0472 0,2129 0,4574 0,6321 0,6921 0,6138 0,3902 0,0246 -0,4524 -0,9586 -1,3688 -1,5701 -1,5205 -1,2617 -0,8868 -0,4956 -0,1587 0,1027 0,3078 0,4797 0,6087 0,6548 0,5792 0,3732 0,0773 -0,2229 -0,4507 -0,5823 -0,6283 -0,6060 -0,5431 -0,4748 -0,4339 -0,4597 -0,5889 -0,8209 -1,1121 -1,4098 -1,6898 -1,9550 -2,1909 -2,3419 -2,3470 -2,1848 -1,8780 -1,4851 -1,0944 -0,7947 -0,6233 -0,5487 -0,5166 -0,5016 -0,5064 -0,5306 -0,5598 -0,5742 -0,5517 -0,4731 -0,3464 -0,2282 -0,1964 -0,2998 -0,5484 -0,9331 -1,4134 -1,8959 -2,2600 -2,4187 -2,3566 -2,1220 -1,7865 -1,4139 -1,0654 -0,7989 -0,6454 -0,5959 -0,6116 -0,6437 -0,6666 -0,7073 -0,8247 -1,0516 -1,3691 -1,7255 -2,0531 -2,2712 -2,3056 -2,1312 -1,8021 -1,4298 -1,1227 -0,9376 -0,8743 -0,8913 -0,9355 -0,9702 -0,9713 -0,9110 -0,7614 -0,5118 -0,1895 0,1357 0,3918 0,5563 0,6605 0,7457 0,8265 0,8984 0,9617 1,0163 1,0361 0,9644 0,7469 0,3768 -0,0873 -0,5514 -0,9373 -1,2094 -1,3606 -1,3961 -1,3435 -1,2513 -1,1590 -1,0778 -1,0092 -0,9660 -0,9596 -0,9742 -0,9615 -0,8750 -0,7184 -0,5533 -0,4606 -0,5006 -0,6981 -1,0310 -1,4201 -1,7545 -1,9441 -1,9570 -1,8236 -1,6052 -1,3605 -1,1460 -1,0232 -1,0308 -1,1332 -1,2228 -1,1968 -1,0259 -0,7462 -0,4097 -0,0491 0,3209 0,6810 0,9950 1,2240 1,3507 1,3855 1,3516 1,2758 1,1889 1,1173 1,0581 0,9679 0,7876 0,4915 0,1202 -0,2242 -0,4209 -0,3928 -0,1444 0,2505 0,6958 1,1213 1,4955 1,8080 2,0670 2,2905 2,4789 2,6340 2,7936 2,9808 3,1441 3,1878 3,0388 2,6886 2,2138 1,7496 1,4191 1,2837 1,3340 1,4883 1,6180 1,6189 1,4600 1,1757 0,8564 0,6374 0,6367 0,8839 1,3290 1,8860 2,4481 2,9216 3,2596 3,4531 3,5207 3,5084 3,4719 3,4572 3,4818 3,5204 3,5271 3,4781 3,3796
Fz    2,2265 1,9583 1,6477 1,3592 1,1351 0,9684 0,8151 0,6305 0,4011 0,1483 -0,0954 -0,3018 -0,4454 -0,5045 -0,4735 -0,3790 -0,2743 -0,2119 -0,2096 -0,2323 -0,2136 -0,1021 0,1070 0,3616 0,5659 0,6172 0,4578 0,1074 -0,3576 -0,8496 -1,2899 -1,6108 -1,7646 -1,7320 -1,5278 -1,2022 -0,8290 -0,4818 -0,2117 -0,0390 0,0467 0,0767 0,0856 0,1039 0,1544 0,2329 0,3018 0,3225 0,2887 0,2190 0,1242 -0,0078 -0,1876 -0,3931 -0,5815 -0,7284 -0,8308 -0,8745 -0,8252 -0,6635 -0,4205 -0,1638 0,0479 0,1886 0,2576 0,2631 0,2084 0,0987 -0,0344 -0,1341 -0,1520 -0,0841 0,0227 0,1006 0,0997 0,0112 -0,1351 -0,2964 -0,4364 -0,5248 -0,5367 -0,4657 -0,3385 -0,2083 -0,1196 -0,0750 -0,0512 -0,0441 -0,0770 -0,1696 -0,3138 -0,4733 -0,5988 -0,6547 -0,6393 -0,5776 -0,5019 -0,4396 -0,4134 -0,4382 -0,5119 -0,6147 -0,7175 -0,7888 -0,8028 -0,7508 -0,6535 -0,5518 -0,4730 -0,4163 -0,3732 -0,3455 -0,3441 -0,3800 -0,4621 -0,5970 -0,7792 -0,9814 -1,1667 -1,3103 -1,4013 -1,4312 -1,3978 -1,3157 -1,2140 -1,1240 -1,0684 -1,0612 -1,1133 -1,2362 -1,4349 -1,6961 -1,9860 -2,2614 -2,4894 -2,6674 -2,8222 -2,9813 -3,1464 -3,2997 -3,4238 -3,5080 -3,5487 -3,5539 -3,5449 -3,5551 -3,6173 -3,7354 -3,8650 -3,9357 -3,8995 -3,7599 -3,5620 -3,3628 -3,2007 -3,0847 -3,0064 -2,9540 -2,9121 -2,8590 -2,7824 -2,6863 -2,5725 -2,4320 -2,2604 -2,0660 -1,8560 -1,6319 -1,4036 -1,1915 -1,0043 -0,8213 -0,6041 -0,3301 -0,0123 0,3072 0,5708 0,7186 0,7157 0,5744 0,3437 0,0741 -0,2167 -0,5450 -0,9266 -1,3420 -1,7386 -2,0647 -2,2940 -2,4183 -2,4353 -2,3499 -2,1811 -1,9630 -1,7396 -1,5521 -1,4304 -1,3882 -1,4201 -1,5072 -1,6290 -1,7667 -1,9005 -2,0119 -2,0874 -2,1169 -2,0925 -2,0150 -1,9002 -1,7715 -1,6422 -1,5066 -1,3490 -1,1608 -0,9487 -0,7296 -0,5271 -0,3685 -0,2702 -0,2170 -0,1649 -0,0728 0,0655 0,2198 0,3519 0,4440 0,4998 0,5272 0,5290 0,5114 0,4880 0,4753 0,4856 0,5179 0,5581 0,5944 0,6279 0,6671 0,7128 0,7553 0,7882 0,8168 0,8493 0,8944 0,9651 1,0701 1,1937 1,2942 1,3254 1,2578 1,0886 0,8416 0,5593 0,2866 0,0485 -0,1647 -0,3921 -0,6825 -1,0753 -1,5760 -2,1363 -2,6684 -3,0879 -3,3507 -3,4588 -3,4359 -3,2975 -3,0464 -2,6986 -2,3042 -1,9342 -1,6466 -1,4710 -1,4156 -1,4774 -1,6446 -1,8971 -2,2117 -2,5637 -2,9276 -3,2776 -3,5806 -3,7902 -3,8584 -3,7635 -3,5248 -3,1908 -2,8146 -2,4410 -2,1090 -1,8491 -1,6679 -1,5433 -1,4496 -1,3812 -1,3450 -1,3434 -1,3755 -1,4389 -1,5215 -1,5943 -1,6182 -1,5605 -1,4111 -1,1931 -0,9602 -0,7775 -0,6970 -0,7389 -0,8823 -1,0709 -1,2426 -1,3646 -1,4376 -1,4727 -1,4747 -1,4453 -1,3914 -1,3253 -1,2590 -1,1935 -1,1131 -0,9940 -0,8198 -0,5899 -0,3262 -0,0737 0,1139 0,1935 0,1469 -0,0066 -0,2123 -0,4108 -0,5689 -0,6857 -0,7736 -0,8458 -0,9196 -1,0131 -1,1269 -1,2363 -1,3114 -1,3392 -1,3230 -1,2729 -1,2064 -1,1517 -1,1380 -1,1830 -1,2851 -1,4170 -1,5245 -1,5473 -1,4549 -1,2715 -1,0671 -0,9198 -0,8739 -0,9252 -1,0323 -1,1341 -1,1762 -1,1364 -1,0320 -0,9039 -0,7892 -0,7005 -0,6236 -0,5397 -0,4495 -0,3668 -0,2910 -0,2034 -0,0904 0,0369 0,1465 0,2101 0,2267 0,2197 0,2142 0,2265 0,2695 0,3495 0,4575 0,5708 0,6600 0,6945 0,6479 0,5107 0,3035 0,0663 -0,1661 -0,3707 -0,5214 -0,5813 -0,5225 -0,3472 -0,0902 0,1939 0,4522 0,6522 0,7848 0,8530 0,8587 0,7941 0,6469 0,4163 0,1276 -0,1694 -0,4219 -0,6036 -0,7217 -0,7906 -0,8176 -0,8148 -0,8059 -0,8198 -0,8900 -1,0436 -1,2783 -1,5602 -1,8471 -2,1124 -2,3499 -2,5560 -2,7152 -2,8054 -2,8069 -2,7071 -2,5123 -2,2647 -2,0296 -1,8523 -1,7304 -1,6411 -1,5825 -1,5757 -1,6345 -1,7460 -1,8794 -2,0045 -2,1032 -2,1745 -2,2333 -2,2984 -2,3785 -2,4746 -2,5886 -2,7169 -2,8386 -2,9208 -2,9370 -2,8779 -2,7461 -2,5440 -2,2776 -1,9746 -1,6858 -1,4570 -1,3019 -1,1968 -1,0970 -0,9654 -0,8017 -0,6425 -0,5341 -0,5118 -0,5906 -0,7569 -0,9714 -1,1880 -1,3703 -1,5012 -1,5874 -1,6549 -1,7379 -1,8660 -2,0534 -2,2969 -2,5774 -2,8546 -3,0675 -3,1540 -3,0786 -2,8502 -2,5231 -2,1745 -1,8650 -1,6191 -1,4416 -1,3387 -1,3120 -1,3440 -1,4071 -1,4902 -1,6124 -1,8085 -2,0952 -2,4455 -2,7983 -3,0869 -3,2620 -3,3044 -3,2345 -3,1108 -3,0026 -2,9547 -2,9755 -3,0468 -3,1311 -3,1828 -3,1716 -3,0895 -2,9449 -2,7672 -2,6095 -2,5315 -2,5789 -2,7657 -3,0638 -3,4101 -3,7325 -3,9734 -4,1002 -4,1077 -4,0057 -3,8097 -3,5530 -3,2961 -3,1019 -2,9918 -2,9400 -2,9105 -2,8855 -2,8702 -2,8861 -2,9518 -3,0657 -3,2166 -3,3997 -3,6097 -3,8299 -4,0399 -4,2275 -4,3882 -4,5121 -4,5799 -4,5812 -4,5393 -4,5062 -4,5323 -4,6319 -4,7575 -4,8130 -4,7201 -4,4792 -4,1582 -3,8422 -3,6044 -3,4932 -3,5133 -3,6160 -3,7253 -3,7797 -3,7539 -3,6698 -3,6024 -3,6470 -3,8679 -4,2802 -4,8475 -5,4759 -6,0362 -6,4187 -6,5790 -6,5479 -6,4084 -6,2478 -6,1104 -5,9944 -5,8822 -5,7520 -5,5745 -5,3313 -5,0311 -4,7003 -4,3793 -4,1195 -3,9504 -3,8563 -3,7893 -3,6886 -3,5086 -3,2519 -2,9639 -2,6938 -2,4627 -2,2680 -2,1092 -2,0013
F3    2,5826 2,3150 2,0120 1,7375 1,5321 1,3764 1,2005 0,9463 0,6164 0,2666 -0,0382 -0,2492 -0,3350 -0,2854 -0,1296 0,0548 0,1711 0,1508 -0,0083 -0,2298 -0,3985 -0,4320 -0,3208 -0,1254 0,0522 0,1089 -0,0111 -0,2876 -0,6475 -1,0077 -1,2964 -1,4620 -1,4834 -1,3727 -1,1692 -0,9280 -0,6989 -0,5097 -0,3679 -0,2685 -0,1971 -0,1384 -0,0852 -0,0401 -0,0107 -0,0071 -0,0367 -0,0997 -0,1836 -0,2618 -0,3183 -0,3809 -0,4996 -0,6783 -0,8646 -1,0088 -1,0971 -1,1199 -1,0462 -0,8499 -0,5533 -0,2266 0,0595 0,2695 0,3922 0,4130 0,3132 0,1055 -0,1398 -0,3231 -0,3767 -0,3038 -0,1677 -0,0501 -0,0064 -0,0444 -0,1431 -0,2825 -0,4466 -0,6064 -0,7202 -0,7571 -0,7255 -0,6669 -0,6041 -0,5084 -0,3508 -0,1666 -0,0379 -0,0247 -0,1262 -0,2904 -0,4528 -0,5697 -0,6271 -0,6311 -0,5966 -0,5438 -0,4982 -0,4871 -0,5299 -0,6274 -0,7567 -0,8753 -0,9319 -0,8869 -0,7432 -0,5487 -0,3584 -0,2034 -0,1006 -0,0664 -0,1104 -0,2276 -0,4073 -0,6407 -0,9113 -1,1828 -1,4077 -1,5491 -1,5908 -1,5331 -1,3957 -1,2179 -1,0443 -0,9043 -0,8078 -0,7582 -0,7689 -0,8623 -1,0510 -1,3203 -1,6289 -1,9259 -2,1784 -2,3963 -2,6226 -2,8838 -3,1567 -3,3943 -3,5701 -3,6889 -3,7682 -3,8254 -3,8796 -3,9556 -4,0752 -4,2351 -4,3941 -4,4868 -4,4612 -4,3121 -4,0825 -3,8305 -3,5979 -3,4049 -3,2620 -3,1752 -3,1379 -3,1298 -3,1348 -3,1475 -3,1549 -3,1328 -3,0733 -2,9960 -2,9200 -2,8424 -2,7516 -2,6421 -2,5066 -2,3245 -2,0652 -1,7097 -1,2804 -0,8461 -0,4971 -0,3060 -0,2958 -0,4346 -0,6621 -0,9251 -1,2023 -1,5041 -1,8477 -2,2242 -2,5940 -2,9148 -3,1611 -3,3126 -3,3475 -3,2567 -3,0641 -2,8274 -2,6177 -2,4898 -2,4651 -2,5329 -2,6623 -2,8176 -2,9689 -3,0883 -3,1460 -3,1232 -3,0239 -2,8651 -2,6668 -2,4536 -2,2510 -2,0730 -1,9156 -1,7628 -1,5980 -1,4167 -1,2348 -1,0827 -0,9882 -0,9690 -1,0300 -1,1502 -1,2777 -1,3516 -1,3441 -1,2820 -1,2234 -1,2118 -1,2572 -1,3500 -1,4740 -1,6026 -1,6992 -1,7299 -1,6815 -1,5763 -1,4600 -1,3634 -1,2855 -1,2102 -1,1312 -1,0554 -0,9856 -0,9141 -0,8376 -0,7616 -0,6882 -0,6118 -0,5368 -0,4880 -0,4959 -0,5792 -0,7426 -0,9737 -1,2365 -1,4824 -1,6814 -1,8406 -2,0015 -2,2295 -2,5875 -3,0892 -3,6778 -4,2555 -4,7294 -5,0413 -5,1788 -5,1572 -4,9861 -4,6626 -4,2023 -3,6725 -3,1753 -2,7972 -2,5786 -2,5262 -2,6333 -2,8809 -3,2338 -3,6466 -4,0743 -4,4775 -4,8205 -5,0635 -5,1657 -5,1058 -4,9027 -4,6161 -4,3201 -4,0676 -3,8782 -3,7518 -3,6838 -3,6655 -3,6802 -3,7093 -3,7383 -3,7551 -3,7480 -3,7097 -3,6414 -3,5516 -3,4432 -3,2986 -3,0846 -2,7805 -2,4086 -2,0374 -1,7545 -1,6368 -1,7263 -2,0029 -2,3826 -2,7696 -3,1149 -3,4175 -3,6844 -3,9015 -4,0422 -4,0955 -4,0758 -4,0075 -3,9058 -3,7693 -3,5854 -3,3449 -3,0462 -2,7000 -2,3362 -1,9982 -1,7272 -1,5488 -1,4621 -1,4358 -1,4269 -1,4098 -1,3876 -1,3811 -1,4171 -1,5261 -1,7351 -2,0436 -2,4066 -2,7561 -3,0398 -3,2330 -3,3317 -3,3474 -3,3019 -3,2225 -3,1376 -3,0645 -2,9891 -2,8692 -2,6718 -2,4078 -2,1354 -1,9332 -1,8609 -1,9334 -2,1199 -2,3572 -2,5642 -2,6672 -2,6305 -2,4679 -2,2290 -1,9706 -1,7310 -1,5237 -1,3577 -1,2599 -1,2599 -1,3481 -1,4643 -1,5375 -1,5318 -1,4550 -1,3393 -1,2188 -1,1119 -1,0179 -0,9243 -0,8192 -0,7036 -0,5960 -0,5246 -0,5129 -0,5695 -0,6906 -0,8634 -1,0653 -1,2767 -1,4898 -1,6958 -1,8681 -1,9626 -1,9360 -1,7689 -1,4800 -1,1276 -0,7883 -0,5241 -0,3598 -0,2832 -0,2645 -0,2838 -0,3444 -0,4559 -0,6118 -0,7875 -0,9545 -1,1017 -1,2396 -1,3779 -1,5088 -1,6202 -1,7053 -1,7605 -1,7891 -1,7995 -1,7945 -1,7751 -1,7573 -1,7726 -1,8483 -1,9885 -2,1729 -2,3681 -2,5306 -2,6125 -2,5873 -2,4752 -2,3275 -2,1771 -2,0163 -1,8311 -1,6447 -1,5131 -1,4814 -1,5501 -1,6865 -1,8605 -2,0597 -2,2769 -2,4978 -2,7036 -2,8751 -2,9981 -3,0737 -3,1151 -3,1290 -3,1108 -3,0592 -2,9856 -2,9022 -2,8011 -2,6590 -2,4726 -2,2758 -2,1131 -2,0030 -1,9260 -1,8378 -1,6993 -1,5082 -1,3067 -1,1549 -1,0981 -1,1494 -1,2872 -1,4705 -1,6648 -1,8491 -2,0056 -2,1193 -2,1928 -2,2595 -2,3727 -2,5737 -2,8660 -3,2136 -3,5542 -3,8162 -3,9384 -3,8882 -3,6737 -3,3449 -2,9774 -2,6368 -2,3521 -2,1271 -1,9581 -1,8301 -1,7146 -1,5910 -1,4708 -1,3987 -1,4302 -1,5918 -1,8579 -2,1668 -2,4570 -2,6869 -2,8394 -2,9207 -2,9561 -2,9788 -3,0135 -3,0656 -3,1255 -3,1750 -3,1921 -3,1596 -3,0669 -2,9121 -2,7141 -2,5142 -2,3577 -2,2819 -2,3184 -2,4895 -2,7929 -3,1895 -3,6052 -3,9542 -4,1754 -4,2488 -4,1868 -4,0244 -3,8113 -3,5925 -3,3809 -3,1615 -2,9204 -2,6602 -2,3971 -2,1629 -1,9992 -1,9391 -2,0021 -2,1982 -2,5090 -2,8685 -3,1864 -3,3947 -3,4744 -3,4422 -3,3236 -3,1556 -3,0001 -2,9224 -2,9552 -3,0863 -3,2588 -3,3815 -3,3779 -3,2384 -3,0093 -2,7475 -2,5010 -2,3091 -2,1905 -2,1317 -2,0958 -2,0462 -1,9604 -1,8462 -1,7612 -1,7917 -2,0031 -2,4131 -2,9848 -3,6249 -4,2105 -4,6381 -4,8553 -4,8621 -4,6960 -4,4162 -4,0855 -3,7569 -3,4633 -3,2063 -2,9533 -2,6610 -2,3122 -1,9329 -1,5891 -1,3606 -1,2828 -1,3177 -1,3892 -1,4215 -1,3697 -1,2505 -1,1230 -1,0297 -0,9717 -0,9335 -0,9086 -0,8974
