Fp1   0,8376 0,7434 0,6787 0,6469 0,6375 0,6193 0,5619 0,4627 0,3507 0,2709 0,2634 0,3462 0,5118 0,7366 0,9871 1,2166 1,3657 1,3905 1,2987 1,1465 0,9964 0,8858 0,8248 0,8083 0,8290 0,8801 0,9436 0,9862 0,9715 0,8773 0,7081 0,4949 0,2789 0,0875 -0,0768 -0,2304 -0,3970 -0,5988 -0,8522 -1,1619 -1,5165 -1,8916 -2,2530 -2,5553 -2,7450 -2,7760 -2,6320 -2,3432 -1,9811 -1,6341 -1,3809 -1,2710 -1,3064 -1,4305 -1,5499 -1,5829 -1,4920 -1,2884 -1,0169 -0,7375 -0,5187 -0,4272 -0,5006 -0,7236 -1,0331 -1,3452 -1,5845 -1,7066 -1,7026 -1,5886 -1,3952 -1,1639 -0,9379 -0,7458 -0,5922 -0,4711 -0,3821 -0,3353 -0,3461 -0,4268 -0,5711 -0,7452 -0,9023 -1,0098 -1,0614 -1,0639 -1,0222 -0,9371 -0,8167 -0,6839 -0,5729 -0,5199 -0,5514 -0,6715 -0,8546 -1,0546 -1,2292 -1,3634 -1,4793 -1,6246 -1,8520 -2,1995 -2,6715 -3,2289 -3,8039 -4,3277 -4,7510 -5,0524 -5,2380 -5,3287 -5,3477 -5,3147 -5,2438 -5,1461 -5,0327 -4,9112 -4,7766 -4,6107 -4,3942 -4,1205 -3,7974 -3,4352 -3,0347 -2,5890 -2,0974 -1,5653 -0,9886 -0,3565 0,3229 1,0062 1,6211 2,0868 2,3451 2,3906 2,2804 2,1126 1,9861 1,9659 2,0723 2,2974 2,6239 3,0308 3,4973 4,0040 4,5227 5,0117 5,4273 5,7300 5,8809 5,8539 5,6614 5,3611 5,0368 4,7735 4,6374 4,6561 4,8085 5,0296 5,2312 5,3384 5,3228 5,2042 5,0267 4,8333 4,6563 4,5161 4,4195 4,3538 4,2870 4,1803 4,0072 3,7588 3,4357 3,0455 2,6095 2,1648 1,7524 1,3981 1,1030 0,8530 0,6399 0,4731 0,3712 0,3483 0,4150 0,5784 0,8202 1,0823 1,2859 1,3662 1,2956 1,0875 0,7875 0,4590 0,1648 -0,0510 -0,1767 -0,2258 -0,2160 -0,1594 -0,0718 0,0252 0,1169 0,1948 0,2498 0,2800 0,2979 0,3247 0,3782 0,4647 0,5735 0,6751 0,7311 0,7133 0,6213 0,4831 0,3343 0,1997 0,0958 0,0368 0,0224 0,0199 -0,0335 -0,1960 -0,4817 -0,8533 -1,2417 -1,5753 -1,7992 -1,8810 -1,8152 -1,6305 -1,3828 -1,1310 -0,9154 -0,7621 -0,6994 -0,7509 -0,9078 -1,1196 -1,3206 -1,4692 -1,5683 -1,6559 -1,7813 -1,9799 -2,2531 -2,5667 -2,8700 -3,1164 -3,2785 -3,3575 -3,3836 -3,4048 -3,4694 -3,6051 -3,8047 -4,0279 -4,2198 -4,3325 -4,3435 -4,2652 -4,1339 -3,9875 -3,8505 -3,7302 -3,6177 -3,4905 -3,3235 -3,1076 -2,8634 -2,6405 -2,5005 -2,4931 -2,6358 -2,9045 -3,2367 -3,5510 -3,7731 -3,8559 -3,7859 -3,5755 -3,2533 -2,8666 -2,4820 -2,1646 -1,9447 -1,8077 -1,7157 -1,6380 -1,5664 -1,5133 -1,4987 -1,5410 -1,6547 -1,8425 -2,0856 -2,3506 -2,6045 -2,8171 -2,9567 -2,9969 -2,9304 -2,7691 -2,5352 -2,2570 -1,9678 -1,7026 -1,4952 -1,3766 -1,3733 -1,4977 -1,7385 -2,0596 -2,4078 -2,7267 -2,9755 -3,1357 -3,2011 -3,1735 -3,0745 -2,9516 -2,8596 -2,8309 -2,8606 -2,9164 -2,9635 -2,9856 -2,9886 -2,9940 -3,0255 -3,0964 -3,2070 -3,3434 -3,4780 -3,5798 -3,6299 -3,6314 -3,6124 -3,6179 -3,6885 -3,8343 -4,0252 -4,2117 -4,3477 -4,3935 -4,3150 -4,0998 -3,7660 -3,3520 -2,9066 -2,4855 -2,1389 -1,8982 -1,7715 -1,7387 -1,7527 -1,7577 -1,7210 -1,6462 -1,5599 -1,4951 -1,4816 -1,5308 -1,6246 -1,7312 -1,8337 -1,9321 -2,0189 -2,0665 -2,0454 -1,9539 -1,8260 -1,7152 -1,6688 -1,7122 -1,8516 -2,0794 -2,3714 -2,6834 -2,9635 -3,1766 -3,3192 -3,4083 -3,4598 -3,4761 -3,4504 -3,3791 -3,2686 -3,1306 -2,9805 -2,8438 -2,7547 -2,7391 -2,8057 -2,9546 -3,1858 -3,4929 -3,8556 -4,2399 -4,6072 -4,9272 -5,1750 -5,3203 -5,3310 -5,1968 -4,9437 -4,6339 -4,3497 -4,1682 -4,1305 -4,2219 -4,3816 -4,5405 -4,6541 -4,7129 -4,7334 -4,7443 -4,7742 -4,8379 -4,9239 -5,0022 -5,0518 -5,0710 -5,0628 -5,0244 -4,9548 -4,8661 -4,7797 -4,7118 -4,6624 -4,6197 -4,5700 -4,5069 -4,4360 -4,3730 -4,3396 -4,3576 -4,4419 -4,5942 -4,8073 -5,0693 -5,3597 -5,6423 -5,8708 -6,0045 -6,0269 -5,9532 -5,8179 -5,6528 -5,4799 -5,3220 -5,2062 -5,1507 -5,1551 -5,2081 -5,3027 -5,4357 -5,5941 -5,7529 -5,8859 -5,9796 -6,0406 -6,0878 -6,1355 -6,1870 -6,2406 -6,2975 -6,3620 -6,4331 -6,4978 -6,5359 -6,5326 -6,4944 -6,4580 -6,4770 -6,5887 -6,7908 -7,0467 -7,3100 -7,5417 -7,7097 -7,7876 -7,7673 -7,6700 -7,5460 -7,4645 -7,4868 -7,6300 -7,8599 -8,1229 -8,3781 -8,6060 -8,8086 -9,0072 -9,2308 -9,5011 -9,8230 -10,1775 -10,5201 -10,8011 -10,9953 -11,1075 -11,1488 -11,1189 -11,0110 -10,8190 -10,5432 -10,2004 -9,8296 -9,4780 -9,1751 -8,9212 -8,7001 -8,4980 -8,3033 -8,0955 -7,8490 -7,5535 -7,2282 -6,9148 -6,6602 -6,5000 -6,4476 -6,4863 -6,5687 -6,6371 -6,6625 -6,6584 -6,6581 -6,6899 -6,7649 -6,8699 -6,9716 -7,0379 -7,0577 -7,0419 -7,0069 -6,9563 -6,8765 -6,7501 -6,5722 -6,3608 -6,1501 -5,9747 -5,8584 -5,8161 -5,8636 -6,0193 -6,2924 -6,6651 -7,0874 -7,4971 -7,8488 -8,1289 -8,3475 -8,5198 -8,6591 -8,7820 -8,9063 -9,0412 -9,1870 -9,3449 -9,5245 -9,7318 -9,9579 -10,1854 -10,4014 -10,5941 -10,7429 -10,8187 -10,7952 -10,6604 -10,4253 -10,1258 -9,8166 -9,5553 -9,3896 -9,3492 -9,4349 -9,6111 -9,8193 -10,0087 -10,1583 -10,2767 -10,3862 -10,5047 -10,6303 -10,7419 -10,8190 -10,8597 -10,8774 -10,8797 -10,8538 -10,7829 -10,6706 -10,5441 -10,4362 -10,3659 -10,3305
Fz    1,1238 1,1601 1,1899 1,2041 1,1929 1,1464 1,0627 0,9586 0,8676 0,8248 0,8493 0,9333 1,0474 1,1575 1,2371 1,2630 1,2089 1,0600 0,8376 0,5968 0,3973 0,2828 0,2739 0,3645 0,5259 0,7136 0,8770 0,9730 0,9799 0,8964 0,7352 0,5205 0,2830 0,0436 -0,1980 -0,4550 -0,7349 -1,0341 -1,3454 -1,6624 -1,9750 -2,2651 -2,5075 -2,6737 -2,7363 -2,6774 -2,5015 -2,2476 -1,9860 -1,7884 -1,6925 -1,6903 -1,7408 -1,7888 -1,7829 -1,6938 -1,5222 -1,2944 -1,0504 -0,8360 -0,6986 -0,6779 -0,7909 -1,0239 -1,3357 -1,6683 -1,9645 -2,1861 -2,3192 -2,3661 -2,3399 -2,2630 -2,1610 -2,0498 -1,9337 -1,8199 -1,7286 -1,6852 -1,7071 -1,7968 -1,9397 -2,1083 -2,2724 -2,4105 -2,5117 -2,5695 -2,5797 -2,5455 -2,4863 -2,4397 -2,4504 -2,5497 -2,7412 -2,9972 -3,2700 -3,5167 -3,7205 -3,8922 -4,0545 -4,2294 -4,4334 -4,6772 -4,9650 -5,2916 -5,6444 -6,0108 -6,3811 -6,7442 -7,0885 -7,4058 -7,6885 -7,9221 -8,0883 -8,1756 -8,1793 -8,0943 -7,9159 -7,6475 -7,3044 -6,9072 -6,4771 -6,0328 -5,5848 -5,1349 -4,6781 -4,1985 -3,6699 -3,0755 -2,4262 -1,7565 -1,1101 -0,5299 -0,0491 0,3149 0,5647 0,7284 0,8555 0,9935 1,1651 1,3693 1,5969 1,8419 2,1055 2,3958 2,7165 3,0565 3,3940 3,7056 3,9662 4,1525 4,2583 4,3052 4,3343 4,3856 4,4808 4,6156 4,7631 4,8861 4,9522 4,9464 4,8707 4,7383 4,5752 4,4140 4,2750 4,1552 4,0355 3,8934 3,7092 3,4687 3,1727 2,8404 2,5021 2,1878 1,9172 1,6938 1,5031 1,3175 1,1114 0,8794 0,6439 0,4430 0,3095 0,2578 0,2873 0,3903 0,5493 0,7311 0,8885 0,9726 0,9506 0,8245 0,6326 0,4346 0,2890 0,2275 0,2406 0,2932 0,3598 0,4378 0,5342 0,6496 0,7746 0,8880 0,9649 0,9957 0,9937 0,9808 0,9717 0,9715 0,9768 0,9729 0,9385 0,8575 0,7287 0,5643 0,3820 0,2005 0,0401 -0,0799 -0,1533 -0,2017 -0,2715 -0,4035 -0,6033 -0,8399 -1,0661 -1,2354 -1,3140 -1,2880 -1,1707 -1,0024 -0,8414 -0,7405 -0,7220 -0,7736 -0,8699 -0,9863 -1,0938 -1,1579 -1,1566 -1,0964 -1,0067 -0,9256 -0,8936 -0,9433 -1,0812 -1,2861 -1,5274 -1,7782 -2,0177 -2,2325 -2,4170 -2,5681 -2,6863 -2,7813 -2,8725 -2,9793 -3,1089 -3,2513 -3,3895 -3,5146 -3,6246 -3,7100 -3,7466 -3,7042 -3,5612 -3,3136 -2,9752 -2,5781 -2,1690 -1,7977 -1,5031 -1,3075 -1,2160 -1,2158 -1,2799 -1,3755 -1,4705 -1,5348 -1,5399 -1,4611 -1,2844 -1,0203 -0,7131 -0,4242 -0,2014 -0,0630 -0,0053 -0,0165 -0,0810 -0,1762 -0,2739 -0,3524 -0,4047 -0,4348 -0,4483 -0,4499 -0,4424 -0,4292 -0,4163 -0,4061 -0,3889 -0,3454 -0,2567 -0,1157 0,0673 0,2653 0,4372 0,5364 0,5248 0,3862 0,1391 -0,1651 -0,4633 -0,7097 -0,8920 -1,0232 -1,1188 -1,1849 -1,2272 -1,2592 -1,2925 -1,3245 -1,3390 -1,3164 -1,2416 -1,1068 -0,9175 -0,6979 -0,4884 -0,3303 -0,2439 -0,2183 -0,2233 -0,2337 -0,2414 -0,2535 -0,2840 -0,3459 -0,4429 -0,5598 -0,6661 -0,7339 -0,7492 -0,7033 -0,5857 -0,3926 -0,1360 0,1590 0,4587 0,7264 0,9346 1,0759 1,1614 1,2143 1,2640 1,3336 1,4300 1,5448 1,6591 1,7434 1,7647 1,7050 1,5757 1,4104 1,2403 1,0820 0,9489 0,8621 0,8411 0,8836 0,9579 1,0155 1,0104 0,9110 0,7041 0,3983 0,0274 -0,3517 -0,6727 -0,8876 -0,9866 -0,9899 -0,9276 -0,8287 -0,7201 -0,6284 -0,5749 -0,5654 -0,5900 -0,6358 -0,6936 -0,7544 -0,8095 -0,8638 -0,9395 -1,0626 -1,2473 -1,4890 -1,7686 -2,0559 -2,3087 -2,4754 -2,5140 -2,4170 -2,2196 -1,9889 -1,8009 -1,7126 -1,7366 -1,8359 -1,9469 -2,0131 -2,0109 -1,9562 -1,8953 -1,8853 -1,9714 -2,1674 -2,4471 -2,7569 -3,0442 -3,2749 -3,4294 -3,4973 -3,4790 -3,3891 -3,2534 -3,0977 -2,9348 -2,7632 -2,5781 -2,3846 -2,2031 -2,0600 -1,9759 -1,9610 -2,0136 -2,1206 -2,2634 -2,4253 -2,5921 -2,7482 -2,8749 -2,9537 -2,9781 -2,9638 -2,9448 -2,9515 -2,9929 -3,0596 -3,1410 -3,2341 -3,3409 -3,4643 -3,6081 -3,7721 -3,9435 -4,0982 -4,2143 -4,2839 -4,3132 -4,3146 -4,3024 -4,2914 -4,2964 -4,3280 -4,3843 -4,4489 -4,5005 -4,5238 -4,5170 -4,4961 -4,4924 -4,5380 -4,6511 -4,8306 -5,0568 -5,3001 -5,5351 -5,7450 -5,9200 -6,0594 -6,1758 -6,2938 -6,4465 -6,6622 -6,9408 -7,2476 -7,5340 -7,7611 -7,9112 -7,9917 -8,0308 -8,0620 -8,1112 -8,1943 -8,3146 -8,4575 -8,5991 -8,7230 -8,8207 -8,8788 -8,8773 -8,8058 -8,6749 -8,5089 -8,3309 -8,1534 -7,9779 -7,7994 -7,6074 -7,3862 -7,1241 -6,8234 -6,4995 -6,1710 -5,8541 -5,5654 -5,3257 -5,1562 -5,0679 -5,0542 -5,0872 -5,1187 -5,1002 -5,0171 -4,8995 -4,7966 -4,7446 -4,7524 -4,8032 -4,8664 -4,9176 -4,9498 -4,9714 -4,9902 -4,9978 -4,9747 -4,9112 -4,8204 -4,7308 -4,6666 -4,6344 -4,6288 -4,6509 -4,7191 -4,8623 -5,1045 -5,4480 -5,8642 -6,3022 -6,7123 -7,0674 -7,3682 -7,6303 -7,8703 -8,1013 -8,3270 -8,5337 -8,6934 -8,7845 -8,8099 -8,7953 -8,7742 -8,7770 -8,8254 -8,9270 -9,0733 -9,2376 -9,3773 -9,4491 -9,4315 -9,3321 -9,1782 -9,0073 -8,8634 -8,7904 -8,8136 -8,9269 -9,1009 -9,3021 -9,5045 -9,6955 -9,8786 -10,0685 -10,2800 -10,5196 -10,7845 -11,0641 -11,3411 -11,5905 -11,7793 -11,8765 -11,8718 -11,7845 -11,6533 -11,5164 -11,3985
F3    1,4156 1,4804 1,5169 1,5181 1,4861 1,4208 1,3249 1,2160 1,1238 1,0752 1,0825 1,1386 1,2223 1,3087 1,3714 1,3761 1,2822 1,0687 0,7654 0,4472 0,1959 0,0676 0,0807 0,2150 0,4257 0,6572 0,8515 0,9599 0,9579 0,8467 0,6452 0,3851 0,1006 -0,1863 -0,4711 -0,7565 -1,0405 -1,3177 -1,5870 -1,8508 -2,1070 -2,3441 -2,5421 -2,6765 -2,7230 -2,6651 -2,5083 -2,2890 -2,0669 -1,8982 -1,8121 -1,8048 -1,8471 -1,8937 -1,8992 -1,8408 -1,7265 -1,5802 -1,4247 -1,2780 -1,1665 -1,1296 -1,2004 -1,3831 -1,6487 -1,9452 -2,2165 -2,4229 -2,5478 -2,5917 -2,5640 -2,4816 -2,3659 -2,2344 -2,0960 -1,9593 -1,8433 -1,7746 -1,7754 -1,8531 -1,9938 -2,1642 -2,3271 -2,4591 -2,5532 -2,6069 -2,6166 -2,5837 -2,5241 -2,4697 -2,4576 -2,5124 -2,6355 -2,8049 -2,9864 -3,1518 -3,2927 -3,4193 -3,5508 -3,7065 -3,9030 -4,1542 -4,4660 -4,8266 -5,2068 -5,5771 -5,9216 -6,2382 -6,5313 -6,8019 -7,0419 -7,2372 -7,3769 -7,4568 -7,4759 -7,4279 -7,2993 -7,0770 -6,7597 -6,3612 -5,9070 -5,4264 -4,9401 -4,4522 -3,9559 -3,4411 -2,8986 -2,3230 -1,7168 -1,0935 -0,4824 0,0748 0,5340 0,8656 1,0723 1,1979 1,3042 1,4318 1,5845 1,7525 1,9385 2,1572 2,4192 2,7255 3,0646 3,4129 3,7460 4,0460 4,2932 4,4645 4,5512 4,5742 4,5743 4,5881 4,6347 4,7147 4,8120 4,8918 4,9073 4,8202 4,6195 4,3290 4,0011 3,6970 3,4614 3,3133 3,2507 3,2563 3,2932 3,3103 3,2657 3,1471 2,9657 2,7382 2,4783 2,1983 1,9075 1,6069 1,2952 0,9832 0,7028 0,4951 0,3851 0,3689 0,4292 0,5529 0,7213 0,8931 1,0082 1,0145 0,8950 0,6751 0,4088 0,1575 -0,0273 -0,1243 -0,1487 -0,1307 -0,0855 -0,0084 0,1063 0,2488 0,3933 0,5061 0,5568 0,5334 0,4507 0,3418 0,2455 0,1943 0,2012 0,2504 0,3047 0,3242 0,2838 0,1828 0,0411 -0,1106 -0,2421 -0,3354 -0,3948 -0,4503 -0,5456 -0,7119 -0,9471 -1,2174 -1,4750 -1,6769 -1,7921 -1,8021 -1,7042 -1,5247 -1,3180 -1,1374 -1,0045 -0,9152 -0,8682 -0,8677 -0,9033 -0,9425 -0,9492 -0,9052 -0,8202 -0,7298 -0,6841 -0,7270 -0,8723 -1,1027 -1,3890 -1,7023 -2,0160 -2,3067 -2,5553 -2,7486 -2,8842 -2,9745 -3,0384 -3,0857 -3,1071 -3,0825 -3,0034 -2,8849 -2,7505 -2,6108 -2,4601 -2,2897 -2,0985 -1,8889 -1,6582 -1,4009 -1,1213 -0,8416 -0,5985 -0,4307 -0,3627 -0,3908 -0,4844 -0,6046 -0,7177 -0,7956 -0,8107 -0,7372 -0,5580 -0,2808 0,0485 0,3611 0,6003 0,7408 0,7822 0,7374 0,6306 0,4957 0,3651 0,2536 0,1558 0,0625 -0,0254 -0,0994 -0,1541 -0,1886 -0,2037 -0,1966 -0,1591 -0,0794 0,0513 0,2311 0,4433 0,6586 0,8407 0,9538 0,9690 0,8725 0,6755 0,4166 0,1489 -0,0818 -0,2575 -0,3887 -0,4956 -0,5917 -0,6861 -0,7887 -0,9043 -1,0237 -1,1247 -1,1789 -1,1623 -1,0641 -0,8956 -0,6896 -0,4907 -0,3377 -0,2474 -0,2091 -0,1972 -0,1911 -0,1848 -0,1841 -0,2012 -0,2512 -0,3457 -0,4797 -0,6261 -0,7507 -0,8256 -0,8275 -0,7350 -0,5397 -0,2544 0,0929 0,4638 0,8097 1,0860 1,2692 1,3626 1,3951 1,4147 1,4694 1,5853 1,7585 1,9594 2,1437 2,2665 2,3014 2,2532 2,1463 2,0001 1,8195 1,6128 1,4086 1,2461 1,1463 1,0980 1,0661 1,0125 0,9112 0,7511 0,5330 0,2737 0,0116 -0,2031 -0,3338 -0,3736 -0,3396 -0,2555 -0,1408 -0,0095 0,1225 0,2396 0,3398 0,4352 0,5300 0,6097 0,6537 0,6463 0,5704 0,4046 0,1386 -0,2137 -0,6161 -1,0253 -1,4023 -1,7110 -1,9164 -1,9972 -1,9602 -1,8393 -1,6842 -1,5479 -1,4706 -1,4634 -1,5042 -1,5503 -1,5605 -1,5175 -1,4365 -1,3549 -1,3104 -1,3248 -1,3980 -1,5083 -1,6237 -1,7245 -1,8087 -1,8767 -1,9194 -1,9238 -1,8843 -1,8099 -1,7189 -1,6246 -1,5284 -1,4284 -1,3322 -1,2624 -1,2469 -1,3052 -1,4417 -1,6443 -1,8875 -2,1393 -2,3702 -2,5584 -2,6916 -2,7633 -2,7721 -2,7258 -2,6429 -2,5447 -2,4473 -2,3623 -2,3033 -2,2867 -2,3252 -2,4202 -2,5631 -2,7420 -2,9423 -3,1431 -3,3186 -3,4468 -3,5172 -3,5340 -3,5116 -3,4676 -3,4187 -3,3818 -3,3735 -3,4006 -3,4512 -3,4994 -3,5202 -3,5020 -3,4552 -3,4144 -3,4242 -3,5167 -3,6973 -3,9461 -4,2299 -4,5149 -4,7708 -4,9734 -5,1132 -5,2023 -5,2730 -5,3696 -5,5276 -5,7485 -5,9974 -6,2276 -6,4054 -6,5190 -6,5807 -6,6224 -6,6806 -6,7798 -6,9252 -7,1025 -7,2789 -7,4152 -7,4881 -7,4977 -7,4542 -7,3660 -7,2406 -7,0873 -6,9153 -6,7326 -6,5474 -6,3638 -6,1781 -5,9765 -5,7435 -5,4757 -5,1857 -4,8911 -4,6058 -4,3404 -4,1063 -3,9166 -3,7850 -3,7247 -3,7425 -3,8258 -3,9335 -4,0137 -4,0414 -4,0337 -4,0278 -4,0522 -4,1137 -4,1980 -4,2796 -4,3364 -4,3599 -4,3559 -4,3367 -4,3075 -4,2624 -4,1919 -4,0944 -3,9808 -3,8685 -3,7733 -3,7067 -3,6819 -3,7205 -3,8509 -4,0961 -4,4571 -4,9034 -5,3824 -5,8406 -6,2418 -6,5737 -6,8381 -7,0405 -7,1904 -7,2997 -7,3715 -7,3943 -7,3544 -7,2560 -7,1236 -6,9905 -6,8910 -6,8554 -6,9000 -7,0166 -7,1701 -7,3061 -7,3741 -7,3538 -7,2629 -7,1428 -7,0381 -6,9866 -7,0148 -7,1292 -7,3103 -7,5226 -7,7320 -7,9177 -8,0780 -8,2283 -8,3896 -8,5721 -8,7702 -8,9721 -9,1680 -9,3490 -9,4998 -9,5962 -9,6183 -9,5687 -9,4768 -9,3837 -9,3198 -9,2928
F7    0,0571 0,1563 0,2952 0,4511 0,6135 0,7659 0,8843 0,9540 0,9802 0,9866 1,0017 1,0394 1,0970 1,1739 1,2776 1,3983 1,4892 1,4922 1,3937 1,2404 1,0972 1,0035 0,9615 0,9494 0,9460 0,9413 0,9238 0,8732 0,7705 0,6070 0,3911 0,1525 -0,0683 -0,2475 -0,3945 -0,5392 -0,7067 -0,9112 -1,1662 -1,4847 -1,8632 -2,2691 -2,6424 -2,9105 -3,0070 -2,8902 -2,5630 -2,0827 -1,5486 -1,0695 -0,7319 -0,5799 -0,6040 -0,7428 -0,9085 -1,0241 -1,0472 -0,9754 -0,8362 -0,6694 -0,5201 -0,4391 -0,4623 -0,5846 -0,7569 -0,9080 -0,9786 -0,9488 -0,8362 -0,6705 -0,4805 -0,3017 -0,1802 -0,1521 -0,2161 -0,3342 -0,4596 -0,5582 -0,6202 -0,6592 -0,6882 -0,6973 -0,6718 -0,6258 -0,5976 -0,6108 -0,6518 -0,6832 -0,6669 -0,5844 -0,4544 -0,3320 -0,2771 -0,3088 -0,3920 -0,4715 -0,5175 -0,5420 -0,5847 -0,6936 -0,9179 -1,2967 -1,8310 -2,4699 -3,1400 -3,7782 -4,3372 -4,7862 -5,1131 -5,3127 -5,3734 -5,2864 -5,0663 -4,7574 -4,4222 -4,1192 -3,8785 -3,6920 -3,5286 -3,3594 -3,1692 -2,9491 -2,6903 -2,3839 -2,0230 -1,6005 -1,1103 -0,5609 0,0119 0,5564 1,0248 1,3734 1,5633 1,5860 1,4811 1,3151 1,1503 1,0315 0,9953 1,0784 1,2982 1,6324 2,0379 2,4805 2,9351 3,3750 3,7706 4,0781 4,2276 4,1568 3,8688 3,4482 3,0305 2,7550 2,7102 2,8859 3,1820 3,4626 3,6085 3,5592 3,3457 3,0739 2,8527 2,7308 2,6990 2,7284 2,7890 2,8450 2,8549 2,7817 2,6020 2,3134 1,9380 1,5116 1,0697 0,6449 0,2664 -0,0483 -0,3037 -0,5160 -0,6838 -0,7776 -0,7707 -0,6675 -0,4821 -0,2127 0,1273 0,4661 0,6899 0,7100 0,5193 0,1876 -0,1879 -0,5282 -0,7849 -0,9276 -0,9380 -0,8154 -0,5760 -0,2515 0,1048 0,4284 0,6674 0,7896 0,7783 0,6344 0,3767 0,0419 -0,3154 -0,6423 -0,9131 -1,1287 -1,2961 -1,4174 -1,4852 -1,4876 -1,4253 -1,3174 -1,1852 -1,0403 -0,8934 -0,7705 -0,7138 -0,7516 -0,8721 -1,0344 -1,1978 -1,3369 -1,4371 -1,4870 -1,4844 -1,4462 -1,3986 -1,3560 -1,3154 -1,2804 -1,2834 -1,3659 -1,5328 -1,7376 -1,9069 -1,9861 -1,9765 -1,9321 -1,9203 -1,9769 -2,0923 -2,2369 -2,3900 -2,5425 -2,6846 -2,8037 -2,8978 -2,9876 -3,1077 -3,2746 -3,4629 -3,6180 -3,6915 -3,6569 -3,5071 -3,2641 -2,9824 -2,7232 -2,5216 -2,3768 -2,2574 -2,1190 -1,9358 -1,7236 -1,5264 -1,3869 -1,3325 -1,3723 -1,4975 -1,6882 -1,9187 -2,1581 -2,3680 -2,5036 -2,5194 -2,3826 -2,0920 -1,6950 -1,2862 -0,9709 -0,8110 -0,8038 -0,9033 -1,0509 -1,1932 -1,2899 -1,3213 -1,2957 -1,2511 -1,2305 -1,2517 -1,3027 -1,3564 -1,3811 -1,3454 -1,2278 -1,0281 -0,7692 -0,4929 -0,2483 -0,0745 0,0116 0,0074 -0,0990 -0,3371 -0,7276 -1,2476 -1,8236 -2,3559 -2,7609 -3,0073 -3,1144 -3,1141 -3,0239 -2,8584 -2,6450 -2,4172 -2,1994 -2,0042 -1,8371 -1,7012 -1,5990 -1,5341 -1,5146 -1,5490 -1,6358 -1,7570 -1,8783 -1,9578 -1,9632 -1,8912 -1,7746 -1,6706 -1,6369 -1,7058 -1,8622 -2,0454 -2,1870 -2,2459 -2,2092 -2,0794 -1,8705 -1,6002 -1,2814 -0,9331 -0,5968 -0,3248 -0,1539 -0,0898 -0,1003 -0,1239 -0,1020 -0,0164 0,0996 0,1830 0,1760 0,0490 -0,1893 -0,4949 -0,8144 -1,1171 -1,3928 -1,6196 -1,7519 -1,7499 -1,6132 -1,3790 -1,0973 -0,8167 -0,5869 -0,4608 -0,4782 -0,6407 -0,9013 -1,1868 -1,4404 -1,6468 -1,8204 -1,9805 -2,1319 -2,2595 -2,3408 -2,3596 -2,3030 -2,1601 -1,9413 -1,6891 -1,4559 -1,2756 -1,1659 -1,1390 -1,2006 -1,3404 -1,5330 -1,7491 -1,9693 -2,1735 -2,3229 -2,3731 -2,3109 -2,1682 -2,0010 -1,8600 -1,7750 -1,7530 -1,7820 -1,8360 -1,8844 -1,9067 -1,9013 -1,8822 -1,8720 -1,9009 -1,9970 -2,1647 -2,3833 -2,6307 -2,8908 -3,1368 -3,3258 -3,4198 -3,4107 -3,3239 -3,1927 -3,0314 -2,8343 -2,5970 -2,3318 -2,0689 -1,8471 -1,6984 -1,6349 -1,6500 -1,7296 -1,8600 -2,0310 -2,2371 -2,4736 -2,7230 -2,9437 -3,0818 -3,0986 -2,9861 -2,7640 -2,4730 -2,1735 -1,9328 -1,8009 -1,7973 -1,9171 -2,1431 -2,4414 -2,7532 -3,0124 -3,1811 -3,2667 -3,3101 -3,3550 -3,4234 -3,5094 -3,5897 -3,6466 -3,6826 -3,7069 -3,7162 -3,6948 -3,6305 -3,5311 -3,4307 -3,3786 -3,4097 -3,5259 -3,7051 -3,9260 -4,1728 -4,4168 -4,6135 -4,7322 -4,7799 -4,7970 -4,8391 -4,9503 -5,1352 -5,3591 -5,5754 -5,7455 -5,8444 -5,8702 -5,8503 -5,8277 -5,8391 -5,9062 -6,0307 -6,1887 -6,3411 -6,4625 -6,5518 -6,6157 -6,6502 -6,6390 -6,5604 -6,3976 -6,1521 -5,8478 -5,5169 -5,1777 -4,8284 -4,4690 -4,1204 -3,8087 -3,5356 -3,2809 -3,0314 -2,7967 -2,6035 -2,4841 -2,4651 -2,5506 -2,7096 -2,8760 -2,9725 -2,9529 -2,8235 -2,6268 -2,4135 -2,2201 -2,0517 -1,8915 -1,7350 -1,6120 -1,5686 -1,6307 -1,7865 -1,9951 -2,2058 -2,3749 -2,4780 -2,5109 -2,4871 -2,4354 -2,3949 -2,4058 -2,5023 -2,7082 -3,0233 -3,4162 -3,8424 -4,2659 -4,6622 -5,0127 -5,3044 -5,5365 -5,7219 -5,8776 -6,0104 -6,1119 -6,1722 -6,1992 -6,2130 -6,2230 -6,2217 -6,2025 -6,1664 -6,1044 -5,9850 -5,7735 -5,4613 -5,0810 -4,7014 -4,4015 -4,2342 -4,2125 -4,3236 -4,5421 -4,8274 -5,1203 -5,3629 -5,5321 -5,6482 -5,7558 -5,8941 -6,0719 -6,2646 -6,4382 -6,5762 -6,6831 -6,7635 -6,8031 -6,7779 -6,6786 -6,5200 -6,3314 -6,1365 -5,9392
