Fp1   -1,1643 -1,2568 -1,2043 -1,0007 -0,6482 -0,1681 0,3804 0,9242 1,3951 1,6933 1,6922 1,3418 0,7545 0,1789 -0,1256 -0,0511 0,2728 0,5534 0,5155 0,0484 -0,7594 -1,6759 -2,4232 -2,7778 -2,6540 -2,1435 -1,4681 -0,8479 -0,3762 0,0079 0,4395 0,9991 1,6183 2,1060 2,3019 2,2215 2,0400 1,9268 1,9049 1,8488 1,5804 0,9916 0,1464 -0,7238 -1,3779 -1,7277 -1,8190 -1,6822 -1,2689 -0,5390 0,4372 1,4735 2,3462 2,8928 3,0610 2,8754 2,3737 1,5846 0,5763 -0,4646 -1,2296 -1,4349 -1,0089 -0,1243 0,9265 1,8530 2,4145 2,4571 1,9766 1,1456 0,2620 -0,3633 -0,5398 -0,2877 0,1904 0,6414 0,8685 0,7522 0,2636 -0,5133 -1,4001 -2,1728 -2,6223 -2,6384 -2,2578 -1,6194 -0,8749 -0,1359 0,5259 1,0488 1,3495 1,3304 0,9404 0,2226 -0,7088 -1,7147 -2,6791 -3,5543 -4,3408 -5,0015 -5,4339 -5,5381 -5,2981 -4,8024 -4,1964 -3,6074 -3,0741 -2,5050 -1,7401 -0,7171 0,4235 1,4174 2,0549 2,2951 2,2527 2,1182 2,0819 2,2815 2,7639 3,4663 4,2360 4,8961 5,3261 5,4960 5,4411 5,2321 4,9602 4,7169 4,5670 4,5221 4,5404 4,5810 4,6614 4,8216 5,0160 5,0762 4,8075 4,1326 3,1650 2,1624 1,3996 1,0464 1,1175 1,4891 1,9564 2,3156 2,4496 2,4009 2,3820 2,6532 3,3312 4,2874 5,2068 5,7375 5,6411 4,8828 3,6332 2,1900 0,8834 0,0093 -0,2278 0,2177 1,1975 2,4058 3,4995 4,2521 4,6225 4,7024 4,6203 4,4901 4,4077 4,4499 4,6625 5,0538 5,5846 6,1499 6,5910 6,7720 6,6723 6,4132 6,1742 6,0566 6,0326 6,0070 5,8803 5,5807 5,1113 4,5739 4,1131 3,8273 3,7344 3,8324 4,1676 4,7791 5,5718 6,3135 6,7666 6,8096 6,4641 5,8356 5,0221 4,0823 3,0652 2,0244 0,9999 0,0326 -0,7841 -1,2933 -1,3509 -0,9216 -0,1110 0,8748 1,7924 2,4282 2,6554 2,4518 1,8709 1,0095 0,0051 -0,9680 -1,7226 -2,0970 -1,9975 -1,4354 -0,5494 0,4028 1,1213 1,3934 1,2023 0,7286 0,2287 -0,1161 -0,2775 -0,3577 -0,4872 -0,7178 -0,9995 -1,2484 -1,4261 -1,5643 -1,7190 -1,8813 -1,9083 -1,5723 -0,7493 0,4209 1,5815 2,3666 2,5992 2,3554 1,8760 1,4018 1,0631 0,8810 0,8208 0,8291 0,8662 0,9387 1,0853 1,3010 1,4973 1,5808 1,5720 1,6055 1,8040 2,1766 2,6136 2,9481 3,0541 2,9348 2,7467 2,7333 3,0738 3,7499 4,5536 5,2041 5,4757 5,2990 4,7911 4,1665 3,5791 3,0405 2,4798 1,8493 1,1744 0,5548 0,1403 0,0729 0,4155 1,1251 2,0983 3,2203 4,3421 5,2515 5,7452 5,7464 5,3456 4,7557 4,2380 4,0097 4,1480 4,5647 5,0830 5,5358 5,8190 5,8968 5,7712 5,4477 4,9442 4,3395 3,7890 3,4664 3,4900 3,8907 4,6127 5,5307 6,4751 7,2648 7,7415 7,7895 7,3658 6,5620 5,6255 4,8565 4,4604 4,4849 4,8435 5,3588 5,8297 6,1344 6,2939 6,4055 6,5027 6,5032 6,3005 5,8746 5,3079 4,7445 4,3623 4,3403 4,7911 5,6893 6,8559 8,0291 8,9834 9,5909 9,7962 9,5962 9,0661 8,3555 7,6141 6,9078 6,1873 5,3416 4,3325 3,3008 2,5154 2,2033 2,4301 3,1059 4,0752 5,2042 6,3973 7,5376 8,4461 8,9398 8,9303 8,4630 7,6831 6,7779 5,9222 5,2315 4,7234 4,3152 3,8863 3,3745 2,8260 2,3640 2,1130 2,1392 2,4537 3,0479 3,8730 4,7645 5,4365 5,6174 5,2267 4,4228 3,4826 2,6400 2,0138 1,6217 1,4071 1,2765 1,1635 1,0631 1,0121 1,0433 1,1394 1,2264 1,2285 1,1172 0,9090 0,6470 0,3961 0,2254 0,1563 0,1374 0,0925 -0,0115 -0,1415 -0,2179 -0,1479 0,1442 0,6755 1,3647 2,0481 2,5483 2,7345 2,5731 2,1567 1,6714 1,3043 1,1392 1,1077 1,0603 0,8926 0,5921 0,2033 -0,2143 -0,6179 -0,9868 -1,3007 -1,5478 -1,7680 -2,0561 -2,4964 -3,0766 -3,6500 -3,9752 -3,8150 -3,0386 -1,6597 0,1841 2,2264 4,0473 5,1519 5,1790 4,0811 2,1376 -0,1743 -2,3558 -4,0270 -4,9981 -5,2680 -4,9706 -4,3125 -3,5233 -2,8006 -2,2588 -1,9321 -1,8318 -1,9903 -2,4497 -3,2136 -4,2122 -5,3062 -6,3093 -7,0235 -7,3126 -7,1772 -6,7502 -6,2201 -5,7642 -5,5091 -5,4882 -5,6310 -5,8153 -5,9354 -5,9271 -5,7405 -5,3213 -4,6562 -3,8313 -3,0148 -2,3946 -2,1393 -2,3540 -3,0047 -3,8986 -4,7813 -5,4759 -5,9301 -6,1469 -6,1313 -5,9275 -5,6613 -5,4913 -5,5030 -5,6284 -5,6539 -5,3365 -4,5537 -3,3606 -1,9328 -0,4963 0,7070 1,4707 1,7036 1,4652 0,9096 0,2087 -0,4656 -0,9415 -1,0839 -0,8388 -0,2461 0,5546 1,3275 1,8062 1,8143 1,3389 0,5083 -0,4776 -1,4049 -2,0867 -2,3917 -2,2615 -1,7347 -0,9473 -0,0667 0,7784 1,4966 2,0237 2,3504 2,5338 2,6669 2,8303 3,0370 3,2071 3,2199 3,0191 2,6476 2,1722 1,6247 1,0202 0,3633 -0,3748 -1,2208 -2,1093 -2,8518 -3,2333 -3,1585 -2,7295 -2,1905 -1,7829 -1,6294 -1,7183 -1,9494 -2,1848 -2,2977 -2,2246 -2,0011 -1,7518 -1,6266 -1,7181 -2,0086 -2,3663 -2,6029 -2,5888 -2,3488 -2,0473 -1,8740 -1,9124 -2,0920 -2,2789 -2,4081 -2,4893 -2,5024 -2,3757 -2,0813 -1,7000 -1,3837 -1,2675 -1,4017 -1,7429 -2,1750 -2,5358 -2,6791 -2,5569 -2,2474 -1,8857 -1,5511 -1,2386 -0,9479 -0,7649 -0,8180 -1,1448 -1,6223 -2,0418
Fz    0,5612 0,2265 -0,0428 -0,2183 -0,2720 -0,1862 0,0180 0,2816 0,5333 0,6970 0,7001 0,5136 0,1881 -0,1513 -0,3576 -0,3477 -0,1686 0,0273 0,0849 -0,0592 -0,3538 -0,6751 -0,8864 -0,8869 -0,6496 -0,2436 0,1896 0,5086 0,6397 0,5910 0,4214 0,1994 -0,0365 -0,2918 -0,5791 -0,8577 -1,0288 -1,0043 -0,7797 -0,4417 -0,1152 0,1085 0,2238 0,3042 0,4248 0,5802 0,6952 0,7138 0,6503 0,5515 0,4398 0,3026 0,1178 -0,1186 -0,3856 -0,6594 -0,9411 -1,2546 -1,6059 -1,9337 -2,1124 -2,0321 -1,6834 -1,1569 -0,5794 -0,0781 0,2210 0,2192 -0,0950 -0,6105 -1,1272 -1,4372 -1,4168 -1,0883 -0,6046 -0,1586 0,1059 0,1249 -0,0855 -0,4433 -0,8355 -1,1559 -1,3287 -1,3330 -1,2078 -1,0151 -0,7923 -0,5392 -0,2426 0,0851 0,3823 0,5560 0,5327 0,2923 -0,1397 -0,7118 -1,3708 -2,0872 -2,8408 -3,5677 -4,1509 -4,4763 -4,4913 -4,2250 -3,7711 -3,2462 -2,7300 -2,2131 -1,6158 -0,8856 -0,0776 0,6683 1,2218 1,5350 1,6506 1,6715 1,7225 1,9108 2,2845 2,8064 3,3645 3,8262 4,1030 4,1760 4,0815 3,8890 3,6798 3,5191 3,4346 3,4098 3,3942 3,3406 3,2512 3,1735 3,1353 3,0915 2,9555 2,6836 2,3230 1,9824 1,7631 1,7055 1,7767 1,8896 1,9404 1,8584 1,6426 1,3732 1,1937 1,2457 1,5801 2,1147 2,6703 3,0435 3,0832 2,7519 2,1462 1,4585 0,9061 0,6749 0,8815 1,5370 2,5248 3,6221 4,5848 5,2573 5,6259 5,7817 5,8438 5,9082 6,0287 6,2158 6,4465 6,6848 6,8982 7,0498 7,0866 6,9646 6,7012 6,3896 6,1401 5,9976 5,9199 5,8224 5,6165 5,2313 4,6555 3,9655 3,2953 2,7670 2,4435 2,3387 2,4584 2,7943 3,2700 3,7297 4,0080 4,0086 3,7291 3,2260 2,5633 1,7904 0,9530 0,0963 -0,7456 -1,5457 -2,2480 -2,7489 -2,9445 -2,8073 -2,4098 -1,8859 -1,3774 -0,9938 -0,7866 -0,7544 -0,8753 -1,1282 -1,4868 -1,9165 -2,3752 -2,8048 -3,1328 -3,3046 -3,3262 -3,2717 -3,2378 -3,2841 -3,3970 -3,4996 -3,5063 -3,3832 -3,1750 -2,9833 -2,9017 -2,9538 -3,0869 -3,2254 -3,3278 -3,3952 -3,4354 -3,4190 -3,2625 -2,8626 -2,1869 -1,3467 -0,5624 -0,0339 0,1795 0,1833 0,1673 0,2789 0,5483 0,9072 1,2523 1,5030 1,6390 1,7038 1,7587 1,8153 1,8164 1,6985 1,4773 1,2589 1,1619 1,2329 1,4177 1,6005 1,6904 1,6992 1,7445 1,9719 2,4511 3,1192 3,8048 4,2980 4,4300 4,1448 3,5321 2,7766 2,0455 1,4092 0,8553 0,3536 -0,0965 -0,4555 -0,6630 -0,6704 -0,4674 -0,0827 0,4434 1,0761 1,7578 2,3775 2,8020 2,9519 2,8516 2,6201 2,4215 2,3928 2,5723 2,8736 3,1377 3,2325 3,1267 2,8868 2,6051 2,3295 2,0566 1,7793 1,5240 1,3390 1,2648 1,3237 1,5182 1,8202 2,1585 2,4279 2,5236 2,3793 1,9961 1,4612 0,9309 0,5685 0,4702 0,6382 1,0018 1,4489 1,8611 2,1631 2,3571 2,4940 2,5969 2,6245 2,5185 2,2691 1,9340 1,6194 1,4510 1,5373 1,9285 2,5884 3,3957 4,1855 4,8199 5,2324 5,4083 5,3517 5,0905 4,6915 4,2380 3,7840 3,3264 2,8229 2,2579 1,7007 1,2823 1,1038 1,1689 1,4110 1,7721 2,2442 2,8355 3,5022 4,1168 4,5149 4,5780 4,2883 3,7297 3,0493 2,3983 1,8799 1,5224 1,2855 1,0955 0,8924 0,6672 0,4660 0,3563 0,3856 0,5709 0,9085 1,3592 1,8163 2,1146 2,1130 1,7920 1,2667 0,7033 0,2225 -0,1319 -0,3717 -0,5411 -0,6994 -0,8922 -1,1191 -1,3290 -1,4547 -1,4691 -1,4058 -1,3256 -1,2728 -1,2592 -1,2756 -1,3037 -1,3211 -1,3124 -1,2836 -1,2523 -1,2241 -1,1857 -1,1176 -1,0029 -0,8241 -0,5662 -0,2395 0,1017 0,3724 0,4934 0,4312 0,2211 -0,0458 -0,2682 -0,3907 -0,4356 -0,4682 -0,5293 -0,6186 -0,7225 -0,8370 -0,9706 -1,1363 -1,3391 -1,5780 -1,8578 -2,1893 -2,5727 -2,9697 -3,2816 -3,3588 -3,0560 -2,3058 -1,1563 0,2425 1,6625 2,8109 3,3854 3,1984 2,2797 0,8647 -0,7106 -2,1294 -3,1806 -3,7983 -4,0499 -4,0777 -4,0295 -4,0112 -4,0707 -4,2081 -4,4010 -4,6335 -4,9128 -5,2655 -5,7102 -6,2305 -6,7678 -7,2304 -7,5204 -7,5863 -7,4635 -7,2523 -7,0567 -6,9475 -6,9603 -7,0896 -7,2800 -7,4407 -7,4842 -7,3550 -7,0311 -6,5212 -5,8785 -5,2017 -4,6043 -4,1812 -4,0071 -4,1322 -4,5431 -5,1342 -5,7554 -6,3012 -6,7327 -7,0252 -7,1396 -7,0584 -6,8166 -6,4763 -6,0759 -5,6069 -5,0291 -4,3163 -3,5009 -2,6637 -1,8745 -1,1722 -0,6014 -0,2250 -0,0782 -0,1306 -0,3092 -0,5446 -0,7805 -0,9634 -1,0446 -0,9870 -0,7674 -0,3936 0,0636 0,4713 0,6949 0,6730 0,4431 0,1132 -0,1961 -0,4021 -0,4679 -0,3811 -0,1488 0,1939 0,5990 1,0264 1,4381 1,7932 2,0569 2,2049 2,2292 2,1495 2,0050 1,8207 1,5930 1,3258 1,0580 0,8290 0,6396 0,4550 0,2224 -0,1160 -0,5878 -1,1471 -1,6768 -2,0470 -2,1917 -2,1458 -2,0145 -1,9001 -1,8542 -1,8776 -1,9313 -1,9474 -1,8621 -1,6595 -1,3982 -1,1976 -1,1817 -1,4144 -1,8631 -2,4034 -2,8714 -3,1493 -3,2222 -3,1655 -3,0796 -3,0219 -2,9865 -2,9538 -2,9463 -3,0019 -3,0963 -3,1415 -3,0707 -2,8970 -2,6955 -2,5515 -2,5209 -2,6161 -2,8024 -3,0045 -3,1424 -3,1840 -3,1620 -3,1279 -3,0926 -3,0301 -2,9361 -2,8661 -2,9053 -3,0902 -3,3599 -3,5893
F3    1,3805 0,7344 0,0663 -0,5189 -0,9125 -1,0469 -0,9260 -0,6161 -0,2105 0,1988 0,5336 0,7354 0,7748 0,6736 0,5197 0,4309 0,4703 0,5829 0,6271 0,4827 0,1361 -0,3162 -0,7172 -0,9116 -0,8157 -0,4670 -0,0059 0,3978 0,6169 0,5948 0,3403 -0,0855 -0,5863 -1,0611 -1,4296 -1,6299 -1,6056 -1,3338 -0,8850 -0,4210 -0,0966 0,0380 0,0511 0,0779 0,2389 0,5601 0,9596 1,3169 1,5326 1,5273 1,2431 0,6835 -0,0616 -0,8349 -1,4570 -1,7981 -1,8514 -1,7426 -1,6424 -1,6464 -1,7303 -1,8105 -1,8228 -1,7343 -1,5147 -1,1443 -0,6599 -0,1678 0,2107 0,4168 0,4765 0,4603 0,4315 0,4221 0,4287 0,4152 0,3196 0,0872 -0,2791 -0,7017 -1,0771 -1,3404 -1,4884 -1,5713 -1,6630 -1,8009 -1,9460 -2,0164 -1,9525 -1,7455 -1,4293 -1,0698 -0,7468 -0,5245 -0,4389 -0,5075 -0,7398 -1,1380 -1,6836 -2,3189 -2,9440 -3,4421 -3,7146 -3,7172 -3,4853 -3,1227 -2,7307 -2,3260 -1,8411 -1,2075 -0,4341 0,3875 1,1469 1,7803 2,2836 2,6914 3,0569 3,4203 3,7750 4,0671 4,2235 4,1819 3,9247 3,5047 3,0343 2,6417 2,4233 2,4128 2,5819 2,8594 3,1504 3,3673 3,4731 3,5005 3,5248 3,6026 3,7181 3,7957 3,7687 3,6288 3,4105 3,1422 2,8233 2,4312 1,9475 1,4007 0,8908 0,5623 0,5366 0,8454 1,4123 2,0881 2,7004 3,0946 3,1796 2,9678 2,5682 2,1282 1,7773 1,6130 1,7018 2,0646 2,6559 3,3676 4,0764 4,7037 5,2275 5,6360 5,8969 5,9920 5,9579 5,8691 5,7994 5,8005 5,8802 5,9875 6,0468 6,0234 5,9476 5,8819 5,8616 5,8571 5,7962 5,6198 5,3057 4,8614 4,3224 3,7494 3,2072 2,7336 2,3340 2,0175 1,8340 1,8564 2,1115 2,5298 2,9709 3,2985 3,4275 3,3186 2,9530 2,3269 1,4706 0,4661 -0,5739 -1,5478 -2,3616 -2,9020 -3,0732 -2,8833 -2,4593 -1,9735 -1,5612 -1,2780 -1,0968 -0,9496 -0,7961 -0,6599 -0,6060 -0,6994 -0,9717 -1,3962 -1,8997 -2,4171 -2,9241 -3,4084 -3,8340 -4,1545 -4,3360 -4,3548 -4,2054 -3,9290 -3,6074 -3,3148 -3,0862 -2,9292 -2,8329 -2,7606 -2,6682 -2,5437 -2,4068 -2,2628 -2,0680 -1,7544 -1,2984 -0,7667 -0,2827 0,0472 0,1789 0,1414 0,0294 -0,0369 0,0313 0,2592 0,5993 0,9521 1,2371 1,4401 1,5688 1,5866 1,4225 1,0371 0,4799 -0,1002 -0,5089 -0,6098 -0,4013 -0,0004 0,4498 0,8725 1,2826 1,7295 2,2292 2,7485 3,2238 3,5635 3,6548 3,4291 2,9466 2,3820 1,8925 1,5073 1,1522 0,7483 0,2799 -0,1928 -0,5674 -0,7663 -0,7891 -0,6949 -0,5331 -0,2952 0,0546 0,5052 0,9746 1,3678 1,6517 1,8758 2,1332 2,4945 2,9422 3,3556 3,5793 3,5305 3,2520 2,8674 2,4885 2,1552 1,8477 1,5467 1,2766 1,0983 1,0702 1,2124 1,4988 1,8719 2,2469 2,5124 2,5634 2,3502 1,9061 1,3416 0,8106 0,4641 0,4078 0,6778 1,2391 1,9907 2,7735 3,4203 3,8335 4,0059 3,9635 3,7194 3,2906 2,7343 2,1519 1,6603 1,3647 1,3435 1,6326 2,2058 2,9684 3,7750 4,4682 4,9179 5,0371 4,7899 4,2190 3,4645 2,7196 2,1414 1,7814 1,5883 1,4732 1,3830 1,3165 1,2778 1,2404 1,1818 1,1485 1,2619 1,6354 2,2653 2,9930 3,5842 3,8533 3,7405 3,3169 2,7328 2,1399 1,6242 1,1890 0,7979 0,4226 0,0545 -0,3014 -0,6281 -0,8951 -1,0614 -1,0997 -1,0275 -0,9101 -0,8305 -0,8530 -0,9792 -1,1251 -1,1707 -1,0508 -0,7942 -0,4850 -0,2105 -0,0451 -0,0522 -0,2753 -0,7153 -1,3076 -1,9283 -2,4442 -2,7754 -2,9312 -2,9868 -3,0071 -2,9964 -2,9283 -2,7870 -2,5691 -2,2762 -1,9248 -1,5429 -1,1433 -0,7235 -0,3029 0,0586 0,2865 0,3248 0,1545 -0,1979 -0,6663 -1,1605 -1,5845 -1,8637 -1,9717 -1,9474 -1,8803 -1,8520 -1,8860 -1,9634 -2,0622 -2,1699 -2,2838 -2,4097 -2,5526 -2,7079 -2,8705 -3,0487 -3,2534 -3,4636 -3,6059 -3,5672 -3,2431 -2,5963 -1,6846 -0,6413 0,3653 1,1564 1,5547 1,4281 0,7589 -0,3303 -1,6156 -2,8402 -3,7918 -4,3806 -4,6716 -4,8236 -4,9769 -5,1838 -5,4168 -5,6171 -5,7309 -5,7277 -5,6253 -5,5042 -5,4761 -5,6211 -5,9340 -6,3162 -6,6319 -6,8014 -6,8557 -6,8968 -7,0128 -7,2290 -7,5135 -7,8032 -8,0233 -8,1065 -8,0192 -7,7702 -7,3914 -6,9145 -6,3730 -5,8236 -5,3544 -5,0588 -5,0093 -5,2427 -5,7166 -6,2719 -6,7045 -6,9092 -6,9255 -6,8406 -6,6988 -6,5132 -6,3061 -6,0963 -5,8586 -5,5335 -5,0829 -4,5326 -3,9663 -3,4758 -3,1058 -2,8484 -2,6918 -2,6441 -2,6868 -2,7273 -2,6402 -2,3698 -1,9779 -1,5884 -1,2933 -1,0963 -0,9180 -0,6626 -0,3046 0,0814 0,3720 0,4737 0,3696 0,1216 -0,1636 -0,3887 -0,5030 -0,5036 -0,4251 -0,3219 -0,2254 -0,1159 0,0492 0,2809 0,5289 0,7045 0,7418 0,6404 0,4587 0,2672 0,0899 -0,0964 -0,3009 -0,4839 -0,5930 -0,6284 -0,6665 -0,8102 -1,1081 -1,5205 -1,9514 -2,3082 -2,5404 -2,6592 -2,7253 -2,7910 -2,8416 -2,8038 -2,6089 -2,2476 -1,7779 -1,2979 -0,9215 -0,7643 -0,9174 -1,4037 -2,1414 -2,9557 -3,6567 -4,1266 -4,3433 -4,3427 -4,1708 -3,8559 -3,4244 -2,9517 -2,5731 -2,4018 -2,4305 -2,5422 -2,6239 -2,6518 -2,6848 -2,8159 -3,1266 -3,6410 -4,2805 -4,8679 -5,2079 -5,1927 -4,8509 -4,3036 -3,6816 -3,0902 -2,6277 -2,3884 -2,4197 -2,6757 -3,0235 -3,3014
F7    0,4250 0,3124 0,2306 0,1697 0,1394 0,1495 0,1849 0,2208 0,2458 0,2481 0,1989 0,0683 -0,1329 -0,3315 -0,4321 -0,4047 -0,3214 -0,2866 -0,3474 -0,4660 -0,5539 -0,5273 -0,3565 -0,0745 0,2564 0,5803 0,8532 1,0299 1,0636 0,9300 0,6544 0,3005 -0,0785 -0,4705 -0,8724 -1,2384 -1,4883 -1,5659 -1,4703 -1,2440 -0,9558 -0,6649 -0,3754 -0,0440 0,3502 0,7594 1,1005 1,3213 1,4311 1,4791 1,5119 1,5446 1,5580 1,5098 1,3499 1,0418 0,5782 -0,0127 -0,6666 -1,2843 -1,7488 -1,9674 -1,9170 -1,6482 -1,2455 -0,7906 -0,3683 -0,0797 -0,0139 -0,1853 -0,4987 -0,7806 -0,8627 -0,6713 -0,2584 0,2429 0,6852 0,9473 0,9585 0,7162 0,2794 -0,2581 -0,7997 -1,2742 -1,6472 -1,9039 -2,0181 -1,9438 -1,6510 -1,1880 -0,6920 -0,3092 -0,1029 -0,0554 -0,1242 -0,2685 -0,4585 -0,6977 -1,0153 -1,4089 -1,8139 -2,1402 -2,3271 -2,3679 -2,2954 -2,1531 -1,9773 -1,7788 -1,5259 -1,1675 -0,6801 -0,0887 0,5452 1,1523 1,6877 2,1497 2,5816 3,0501 3,5966 4,1899 4,7334 5,1256 5,3090 5,2722 5,0375 4,6607 4,2351 3,8602 3,5781 3,3543 3,1360 2,9118 2,7193 2,6124 2,6156 2,6937 2,7630 2,7340 2,5623 2,2800 1,9844 1,7886 1,7667 1,9161 2,1484 2,3302 2,3596 2,2242 2,0134 1,8713 1,9003 2,0827 2,2908 2,3708 2,2215 1,8347 1,3059 0,8006 0,4764 0,4269 0,6783 1,1970 1,8843 2,5896 3,1650 3,5314 3,7031 3,7592 3,7899 3,8418 3,9050 3,9597 4,0254 4,1568 4,4002 4,7376 5,0597 5,2141 5,1108 4,7829 4,3562 3,9738 3,7361 3,6758 3,7513 3,8669 3,9239 3,8742 3,7390 3,5798 3,4468 3,3526 3,2920 3,2651 3,2682 3,2750 3,2398 3,1231 2,9068 2,5842 2,1489 1,6021 0,9645 0,2801 -0,3854 -0,9568 -1,3737 -1,6024 -1,6245 -1,4372 -1,0821 -0,6587 -0,2880 -0,0538 0,0260 -0,0162 -0,1335 -0,2929 -0,4908 -0,7485 -1,0728 -1,4105 -1,6588 -1,7299 -1,6115 -1,3741 -1,1329 -0,9905 -0,9878 -1,0855 -1,1948 -1,2455 -1,2362 -1,2207 -1,2496 -1,3267 -1,4143 -1,4739 -1,5014 -1,5189 -1,5343 -1,5154 -1,4014 -1,1432 -0,7378 -0,2401 0,2449 0,6006 0,7634 0,7612 0,6795 0,5866 0,4960 0,3956 0,2968 0,2464 0,2964 0,4741 0,7678 1,1147 1,4128 1,5828 1,6252 1,6005 1,5577 1,5020 1,4184 1,2946 1,1278 0,9424 0,8028 0,7880 0,9343 1,2005 1,4957 1,7334 1,8594 1,8480 1,6949 1,4165 1,0432 0,6121 0,1728 -0,2106 -0,4845 -0,6334 -0,6751 -0,6263 -0,4780 -0,2096 0,1797 0,6513 1,1300 1,5301 1,7910 1,8967 1,8722 1,7782 1,6989 1,7082 1,8258 2,0006 2,1432 2,1823 2,1029 1,9396 1,7380 1,5355 1,3777 1,3202 1,3872 1,5393 1,7042 1,8369 1,9375 2,0219 2,1004 2,1766 2,2349 2,2257 2,0930 1,8370 1,5392 1,3148 1,2364 1,2996 1,4499 1,6252 1,7761 1,8722 1,9055 1,8913 1,8536 1,8000 1,7144 1,5734 1,3782 1,1800 1,0629 1,0956 1,3008 1,6523 2,0778 2,4767 2,7617 2,8918 2,8637 2,6851 2,3601 1,8904 1,2893 0,6014 -0,1003 -0,7448 -1,2842 -1,6817 -1,8873 -1,8464 -1,5478 -1,0630 -0,5147 0,0049 0,4654 0,8500 1,1197 1,2336 1,1785 0,9712 0,6441 0,2356 -0,2121 -0,6493 -1,0189 -1,2727 -1,3995 -1,4286 -1,3949 -1,3071 -1,1599 -0,9701 -0,7771 -0,6131 -0,5006 -0,4747 -0,5739 -0,8047 -1,1179 -1,4201 -1,6210 -1,6962 -1,7067 -1,7450 -1,8560 -2,0085 -2,1240 -2,1220 -1,9566 -1,6405 -1,2572 -0,9358 -0,7788 -0,8099 -0,9980 -1,3036 -1,6918 -2,1195 -2,5375 -2,9017 -3,1714 -3,3161 -3,3462 -3,3189 -3,2888 -3,2561 -3,1620 -2,9340 -2,5494 -2,0722 -1,6355 -1,3754 -1,3552 -1,5356 -1,8111 -2,0819 -2,3085 -2,5015 -2,6717 -2,8093 -2,9123 -3,0042 -3,1104 -3,2349 -3,3745 -3,5383 -3,7448 -4,0091 -4,3326 -4,6925 -5,0277 -5,2346 -5,1981 -4,8471 -4,1882 -3,3045 -2,3483 -1,5264 -1,0466 -1,0253 -1,4245 -2,0803 -2,7868 -3,3740 -3,7645 -3,9864 -4,1222 -4,2447 -4,3942 -4,5822 -4,7970 -5,0127 -5,2109 -5,3998 -5,6080 -5,8499 -6,0971 -6,2953 -6,4096 -6,4452 -6,4237 -6,3594 -6,2606 -6,1272 -5,9413 -5,6860 -5,3873 -5,1253 -4,9867 -5,0019 -5,1275 -5,2808 -5,3816 -5,3787 -5,2630 -5,0648 -4,8375 -4,6411 -4,5394 -4,5955 -4,8428 -5,2524 -5,7390 -6,2019 -6,5576 -6,7428 -6,7183 -6,4826 -6,0797 -5,5885 -5,0917 -4,6353 -4,2117 -3,7787 -3,2956 -2,7500 -2,1697 -1,6191 -1,1779 -0,9014 -0,7940 -0,8142 -0,8995 -0,9987 -1,0932 -1,1821 -1,2442 -1,2320 -1,1135 -0,9186 -0,7416 -0,6884 -0,8130 -1,0882 -1,4244 -1,7233 -1,9341 -2,0649 -2,1415 -2,1550 -2,0637 -1,8447 -1,5278 -1,1773 -0,8519 -0,5781 -0,3558 -0,1851 -0,0737 -0,0196 -0,0107 -0,0468 -0,1429 -0,3077 -0,5321 -0,7965 -1,0723 -1,3262 -1,5514 -1,7894 -2,0962 -2,4818 -2,8813 -3,1907 -3,3435 -3,3397 -3,2134 -3,0126 -2,8113 -2,6873 -2,6552 -2,6371 -2,5280 -2,2967 -2,0200 -1,8308 -1,8316 -2,0303 -2,3421 -2,6514 -2,8776 -2,9990 -3,0404 -3,0543 -3,0977 -3,1976 -3,3285 -3,4384 -3,5073 -3,5659 -3,6457 -3,7308 -3,7761 -3,7598 -3,7047 -3,6525 -3,6287 -3,6298 -3,6396 -3,6559 -3,7007 -3,7996 -3,9623 -4,1824 -4,4405 -4,6988 -4,9134 -5,0646 -5,1704 -5,2546 -5,3054 -5,2795
