Fp1   0,0795 -0,1080 -0,2828 -0,4492 -0,6127 -0,7717 -0,9058 -0,9745 -0,9372 -0,7742 -0,4915 -0,1162 0,3141 0,7652 1,2079 1,6105 1,9412 2,1713 2,2718 2,2208 2,0198 1,7041 1,3312 0,9531 0,5961 0,2661 -0,0354 -0,3047 -0,5389 -0,7425 -0,9276 -1,1061 -1,2696 -1,3775 -1,3803 -1,2547 -1,0122 -0,6887 -0,3334 -0,0030 0,2478 0,3836 0,4007 0,3180 0,1542 -0,0823 -0,3820 -0,7193 -1,0506 -1,3244 -1,4973 -1,5503 -1,4934 -1,3536 -1,1614 -0,9499 -0,7544 -0,5948 -0,4624 -0,3332 -0,1928 -0,0492 0,0707 0,1335 0,1109 -0,0189 -0,2741 -0,6626 -1,1683 -1,7453 -2,3292 -2,8524 -3,2589 -3,5165 -3,6171 -3,5642 -3,3711 -3,0689 -2,7040 -2,3240 -1,9700 -1,6734 -1,4570 -1,3351 -1,3120 -1,3735 -1,4865 -1,6180 -1,7542 -1,8943 -2,0316 -2,1486 -2,2267 -2,2574 -2,2456 -2,2122 -2,1991 -2,2586 -2,4232 -2,6913 -3,0423 -3,4567 -3,9277 -4,4633 -5,0747 -5,7533 -6,4568 -7,1141 -7,6451 -7,9848 -8,1049 -8,0154 -7,7441 -7,3137 -6,7385 -6,0385 -5,2443 -4,3834 -3,4708 -2,5164 -1,5366 -0,5563 0,3959 1,2983 2,1480 2,9642 3,7703 4,5656 5,3194 5,9923 6,5528 6,9819 7,2878 7,5072 7,6767 7,8119 7,9124 7,9772 8,0170 8,0529 8,1032 8,1657 8,2145 8,2200 8,1649 8,0426 7,8544 7,6132 7,3433 7,0765 6,8450 6,6754 6,5865 6,5891 6,6844 6,8655 7,1210 7,4309 7,7600 8,0611 8,2940 8,4384 8,4925 8,4650 8,3701 8,2208 8,0337 7,8358 7,6577 7,5183 7,4181 7,3399 7,2577 7,1451 6,9812 6,7592 6,4935 6,2186 5,9833 5,8370 5,8055 5,8725 5,9833 6,0693 6,0766 5,9817 5,7937 5,5507 5,3055 5,0973 4,9347 4,8067 4,6997 4,5968 4,4719 4,2930 4,0379 3,7096 3,3368 2,9590 2,6110 2,3091 2,0443 1,7889 1,5274 1,2803 1,0882 0,9687 0,9024 0,8596 0,8319 0,8369 0,9031 1,0519 1,2832 1,5675 1,8566 2,1120 2,3200 2,4790 2,5851 2,6338 2,6204 2,5358 2,3729 2,1438 1,8840 1,6318 1,4060 1,2140 1,0706 0,9929 0,9837 1,0296 1,1070 1,1907 1,2657 1,3328 1,3984 1,4691 1,5523 1,6521 1,7623 1,8811 2,0260 2,2171 2,4461 2,6706 2,8369 2,9099 2,8909 2,8155 2,7306 2,6614 2,6030 2,5470 2,5060 2,5119 2,5965 2,7754 3,0455 3,3868 3,7590 4,1090 4,3974 4,6107 4,7445 4,7903 4,7437 4,6197 4,4571 4,3063 4,2066 4,1716 4,1918 4,2517 4,3434 4,4642 4,6063 4,7485 4,8556 4,8872 4,8155 4,6322 4,3446 3,9748 3,5612 3,1531 2,8014 2,5521 2,4393 2,4783 2,6576 2,9333 3,2402 3,5238 3,7634 3,9643 4,1374 4,2852 4,4018 4,4823 4,5330 4,5675 4,5903 4,5924 4,5618 4,4870 4,3565 4,1687 3,9392 3,6974 3,4793 3,3197 3,2470 3,2781 3,4095 3,6137 3,8514 4,0855 4,2848 4,4250 4,4954 4,5028 4,4657 4,4114 4,3751 4,3855 4,4430 4,5149 4,5497 4,5012 4,3554 4,1403 3,9056 3,6916 3,5178 3,3967 3,3453 3,3749 3,4777 3,6272 3,7889 3,9296 4,0227 4,0498 4,0031 3,8833 3,6952 3,4561 3,2037 2,9839 2,8336 2,7742 2,8087 2,9186 3,0722 3,2367 3,3805 3,4718 3,4923 3,4511 3,3794 3,3185 3,3085 3,3739 3,5133 3,7008 3,8975 4,0751 4,2278 4,3544 4,4334 4,4226 4,2810 3,9903 3,5699 3,0787 2,5994 2,2113 1,9643 1,8768 1,9531 2,1883 2,5601 3,0224 3,5105 3,9511 4,2787 4,4529 4,4614 4,3090 4,0146 3,6187 3,1785 2,7537 2,3918 2,1207 1,9523 1,8851 1,8994 1,9640 2,0547 2,1567 2,2505 2,3112 2,3244 2,2945 2,2367 2,1669 2,0943 2,0215 1,9572 1,9239 1,9422 2,0046 2,0715 2,0951 2,0450 1,9196 1,7438 1,5472 1,3369 1,1027 0,8543 0,6410 0,5224 0,5190 0,5975 0,7051 0,8063 0,8951 0,9844 1,0862 1,1980 1,3054 1,3983 1,4832 1,5827 1,7183 1,8881 2,0600 2,1841 2,2141 2,1269 1,9310 1,6544 1,3271 0,9773 0,6394 0,3603 0,1924 0,1734 0,3104 0,5832 0,9600 1,4054 1,8759 2,3172 2,6766 2,9185 3,0297 3,0117 2,8740 2,6277 2,2835 1,8599 1,3896 0,9112 0,4563 0,0383 -0,3592 -0,7757 -1,2409 -1,7487 -2,2634 -2,7463 -3,1732 -3,5428 -3,8760 -4,2027 -4,5435 -4,9029 -5,2715 -5,6323 -5,9694 -6,2714 -6,5292 -6,7312 -6,8648 -6,9192 -6,8882 -6,7791 -6,6195 -6,4446 -6,2711 -6,0869 -5,8709 -5,6131 -5,3071 -4,9355 -4,4803 -3,9449 -3,3645 -2,7988 -2,3098 -1,9331 -1,6614 -1,4497 -1,2319 -0,9422 -0,5420 -0,0344 0,5504 1,1745 1,7878 2,3208 2,7086 2,9280 3,0116 3,0275 3,0477 3,1217 3,2602 3,4331 3,5971 3,7287 3,8291 3,8972 3,9109 3,8429 3,6842 3,4430 3,1307 2,7592 2,3500 1,9364 1,5516 1,2095 0,9027 0,6195 0,3548 0,0979 -0,1757 -0,4964 -0,8807 -1,3166 -1,7601 -2,1477 -2,4153 -2,5235 -2,4841 -2,3582 -2,2205 -2,1315 -2,1337 -2,2467 -2,4558 -2,7210 -3,0045 -3,2836 -3,5500 -3,7986 -4,0082 -4,1449 -4,1929 -4,1698 -4,1040 -4,0127 -3,9057 -3,7931 -3,6786 -3,5512 -3,3924 -3,1940 -2,9695 -2,7501 -2,5773 -2,4947 -2,5285 -2,6743 -2,9037 -3,1778 -3,4507 -3,6707 -3,7918 -3,7927 -3,6894 -3,5291 -3,3609 -3,2074 -3,0632 -2,9157 -2,7593 -2,5928 -2,4143 -2,2297 -2,0607 -1,9348 -1,8686
Fz    1,2905 1,0264 0,7955 0,5877 0,3985 0,2312 0,0986 0,0212 0,0192 0,1010 0,2550 0,4536 0,6669 0,8767 1,0752 1,2555 1,4043 1,5020 1,5254 1,4544 1,2821 1,0269 0,7343 0,4578 0,2318 0,0648 -0,0482 -0,1161 -0,1551 -0,1924 -0,2619 -0,3913 -0,5837 -0,8099 -1,0223 -1,1771 -1,2496 -1,2408 -1,1739 -1,0819 -0,9946 -0,9302 -0,8939 -0,8800 -0,8794 -0,8864 -0,9017 -0,9307 -0,9803 -1,0551 -1,1533 -1,2672 -1,3846 -1,4855 -1,5429 -1,5336 -1,4487 -1,2929 -1,0813 -0,8384 -0,5965 -0,3912 -0,2561 -0,2135 -0,2698 -0,4195 -0,6551 -0,9721 -1,3627 -1,8071 -2,2717 -2,7143 -3,0898 -3,3582 -3,4932 -3,4868 -3,3539 -3,1319 -2,8710 -2,6182 -2,4070 -2,2571 -2,1758 -2,1606 -2,2012 -2,2808 -2,3812 -2,4928 -2,6190 -2,7683 -2,9452 -3,1512 -3,3859 -3,6433 -3,9073 -4,1537 -4,3620 -4,5278 -4,6647 -4,7994 -4,9663 -5,1975 -5,5079 -5,8866 -6,2996 -6,7042 -7,0626 -7,3479 -7,5427 -7,6404 -7,6472 -7,5763 -7,4324 -7,2044 -6,8731 -6,4276 -5,8716 -5,2181 -4,4833 -3,6846 -2,8382 -1,9573 -1,0525 -0,1333 0,7890 1,7008 2,5859 3,4218 4,1809 4,8382 5,3795 5,8085 6,1557 6,4722 6,8038 7,1669 7,5501 7,9317 8,2902 8,6075 8,8666 9,0498 9,1446 9,1573 9,1157 9,0512 8,9789 8,8929 8,7756 8,6101 8,3903 8,1271 7,8503 7,6030 7,4325 7,3791 7,4644 7,6786 7,9801 8,3108 8,6150 8,8511 8,9954 9,0460 9,0203 8,9453 8,8451 8,7327 8,6078 8,4617 8,2909 8,1062 7,9327 7,8017 7,7379 7,7505 7,8324 7,9634 8,1152 8,2597 8,3721 8,4315 8,4264 8,3608 8,2518 8,1202 7,9854 7,8633 7,7639 7,6898 7,6395 7,6156 7,6274 7,6858 7,7902 7,9182 8,0308 8,0914 8,0814 8,0058 7,8868 7,7511 7,6183 7,4999 7,4046 7,3420 7,3169 7,3190 7,3276 7,3333 7,3482 7,3964 7,5011 7,6778 7,9275 8,2278 8,5386 8,8240 9,0696 9,2727 9,4271 9,5235 9,5576 9,5329 9,4576 9,3439 9,2067 9,0553 8,8900 8,7137 8,5421 8,4000 8,3125 8,2988 8,3688 8,5201 8,7392 9,0049 9,2923 9,5793 9,8529 10,1073 10,3340 10,5218 10,6666 10,7745 10,8512 10,8929 10,8886 10,8303 10,7207 10,5760 10,4206 10,2762 10,1525 10,0506 9,9702 9,9116 9,8763 9,8680 9,8907 9,9418 10,0098 10,0812 10,1549 10,2464 10,3744 10,5430 10,7345 10,9192 11,0702 11,1734 11,2260 11,2316 11,1965 11,1264 11,0263 10,9018 10,7595 10,6042 10,4380 10,2603 10,0717 9,8781 9,6934 9,5372 9,4281 9,3786 9,3963 9,4861 9,6494 9,8763 10,1432 10,4191 10,6744 10,8865 11,0412 11,1283 11,1384 11,0659 10,9177 10,7169 10,4992 10,2994 10,1364 10,0107 9,9155 9,8456 9,8021 9,7955 9,8425 9,9582 10,1505 10,4165 10,7425 11,1065 11,4799 11,8281 12,1171 12,3209 12,4243 12,4260 12,3394 12,1864 11,9889 11,7684 11,5517 11,3660 11,2258 11,1256 11,0443 10,9575 10,8532 10,7383 10,6300 10,5421 10,4795 10,4415 10,4308 10,4566 10,5299 10,6569 10,8360 11,0546 11,2844 11,4851 11,6182 11,6535 11,5685 11,3570 11,0401 10,6652 10,2970 10,0043 9,8396 9,8246 9,9480 10,1743 10,4574 10,7526 11,0264 11,2587 11,4416 11,5766 11,6695 11,7223 11,7259 11,6611 11,5115 11,2837 11,0098 10,7275 10,4621 10,2276 10,0331 9,8849 9,7883 9,7492 9,7697 9,8432 9,9542 10,0843 10,2177 10,3421 10,4494 10,5352 10,5970 10,6284 10,6176 10,5539 10,4327 10,2535 10,0225 9,7588 9,4938 9,2598 9,0775 8,9512 8,8753 8,8420 8,8441 8,8728 8,9178 8,9702 9,0208 9,0553 9,0573 9,0189 8,9446 8,8480 8,7475 8,6599 8,5964 8,5617 8,5530 8,5597 8,5646 8,5482 8,4931 8,3853 8,2150 7,9781 7,6806 7,3426 6,9992 6,6935 6,4636 6,3277 6,2809 6,3065 6,3889 6,5153 6,6750 6,8602 7,0654 7,2824 7,4975 7,6926 7,8517 7,9619 8,0078 7,9692 7,8292 7,5878 7,2679 6,9078 6,5433 6,1952 5,8709 5,5796 5,3471 5,2114 5,2017 5,3219 5,5496 5,8486 6,1812 6,5144 6,8207 7,0766 7,2627 7,3642 7,3752 7,3019 7,1550 6,9413 6,6676 6,3498 6,0107 5,6745 5,3658 5,1049 4,8993 4,7424 4,6178 4,5029 4,3732 4,2099 4,0021 3,7442 3,4313 3,0594 2,6289 2,1512 1,6528 1,1675 0,7249 0,3419 0,0219 -0,2367 -0,4270 -0,5309 -0,5329 -0,4325 -0,2421 0,0246 0,3594 0,7529 1,1865 1,6344 2,0719 2,4792 2,8406 3,1442 3,3839 3,5643 3,7055 3,8404 4,0021 4,2125 4,4803 4,8064 5,1905 5,6346 6,1399 6,6917 7,2504 7,7647 8,1996 8,5486 8,8230 9,0392 9,2182 9,3818 9,5373 9,6718 9,7658 9,8025 9,7686 9,6591 9,4856 9,2695 9,0279 8,7689 8,4967 8,2189 7,9459 7,6826 7,4210 7,1457 6,8491 6,5403 6,2388 5,9608 5,7134 5,4988 5,3188 5,1765 5,0774 5,0293 5,0366 5,0931 5,1825 5,2865 5,3892 5,4746 5,5251 5,5237 5,4547 5,3072 5,0863 4,8185 4,5440 4,3045 4,1311 4,0349 4,0076 4,0327 4,0921 4,1640 4,2275 4,2718 4,3027 4,3420 4,4220 4,5705 4,7927 5,0587 5,3108 5,4856 5,5364 5,4434 5,2163 4,8934 4,5335 4,1958 3,9224 3,7295 3,6145 3,5696 3,5894 3,6678 3,7963 3,9657 4,1664 4,3859 4,6056 4,8026 4,9572 5,0570
F3    1,5771 1,2434 0,8940 0,5605 0,2698 0,0308 -0,1599 -0,2996 -0,3722 -0,3588 -0,2517 -0,0596 0,1983 0,5028 0,8362 1,1774 1,4988 1,7667 1,9438 1,9954 1,9010 1,6687 1,3385 0,9639 0,5828 0,2110 -0,1439 -0,4762 -0,7899 -1,0996 -1,4147 -1,7219 -1,9751 -2,1071 -2,0629 -1,8318 -1,4526 -0,9928 -0,5251 -0,1140 0,1899 0,3576 0,3867 0,2961 0,1087 -0,1579 -0,4881 -0,8573 -1,2287 -1,5586 -1,8086 -1,9593 -2,0107 -1,9673 -1,8294 -1,6049 -1,3223 -1,0259 -0,7574 -0,5468 -0,4174 -0,3905 -0,4757 -0,6572 -0,8951 -1,1474 -1,3893 -1,6193 -1,8564 -2,1283 -2,4494 -2,7988 -3,1230 -3,3632 -3,4791 -3,4508 -3,2783 -2,9874 -2,6321 -2,2846 -2,0157 -1,8769 -1,8928 -2,0610 -2,3488 -2,6966 -3,0405 -3,3428 -3,6027 -3,8349 -4,0440 -4,2182 -4,3428 -4,4138 -4,4391 -4,4307 -4,4023 -4,3654 -4,3216 -4,2696 -4,2253 -4,2254 -4,3107 -4,5056 -4,8110 -5,2057 -5,6519 -6,1028 -6,5093 -6,8302 -7,0458 -7,1574 -7,1679 -7,0657 -6,8307 -6,4505 -5,9273 -5,2768 -4,5243 -3,7003 -2,8318 -1,9373 -1,0293 -0,1203 0,7736 1,6312 2,4217 3,1101 3,6728 4,1080 4,4301 4,6621 4,8423 5,0250 5,2572 5,5532 5,8930 6,2357 6,5349 6,7535 6,8761 6,9090 6,8693 6,7781 6,6558 6,5168 6,3670 6,2053 6,0293 5,8408 5,6497 5,4747 5,3437 5,2898 5,3398 5,5062 5,7835 6,1454 6,5461 6,9356 7,2764 7,5435 7,7165 7,7791 7,7276 7,5771 7,3615 7,1278 6,9163 6,7419 6,5921 6,4457 6,2969 6,1627 6,0705 6,0427 6,0890 6,2042 6,3699 6,5597 6,7443 6,8948 6,9888 7,0177 6,9884 6,9164 6,8153 6,6955 6,5684 6,4490 6,3561 6,3119 6,3322 6,4136 6,5277 6,6295 6,6762 6,6462 6,5427 6,3815 6,1802 5,9564 5,7312 5,5323 5,3932 5,3395 5,3657 5,4232 5,4468 5,4020 5,3073 5,2135 5,1698 5,2026 5,3104 5,4717 5,6608 5,8601 6,0580 6,2351 6,3648 6,4287 6,4247 6,3568 6,2274 6,0429 5,8184 5,5735 5,3291 5,1128 4,9613 4,9056 4,9558 5,0995 5,3101 5,5543 5,8005 6,0231 6,2028 6,3296 6,4078 6,4542 6,4925 6,5464 6,6325 6,7485 6,8658 6,9398 6,9312 6,8280 6,6559 6,4698 6,3263 6,2535 6,2425 6,2709 6,3245 6,3974 6,4828 6,5706 6,6518 6,7222 6,7812 6,8321 6,8841 6,9499 7,0335 7,1230 7,1986 7,2499 7,2837 7,3178 7,3652 7,4260 7,4904 7,5474 7,5889 7,6100 7,6044 7,5582 7,4495 7,2609 6,9953 6,6805 6,3639 6,0997 5,9364 5,9084 6,0279 6,2774 6,6081 6,9510 7,2381 7,4255 7,5035 7,4895 7,4155 7,3190 7,2376 7,1999 7,2137 7,2592 7,2986 7,2940 7,2227 7,0874 6,9168 6,7518 6,6296 6,5768 6,6057 6,7102 6,8682 7,0504 7,2347 7,4150 7,5969 7,7857 7,9807 8,1686 8,3180 8,3917 8,3715 8,2674 8,1063 7,9248 7,7670 7,6715 7,6498 7,6796 7,7154 7,7103 7,6394 7,5119 7,3587 7,2079 7,0697 6,9430 6,8305 6,7441 6,6974 6,6983 6,7494 6,8528 7,0048 7,1897 7,3801 7,5364 7,6099 7,5632 7,3945 7,1421 6,8674 6,6286 6,4610 6,3748 6,3680 6,4341 6,5579 6,7084 6,8457 6,9440 7,0065 7,0615 7,1407 7,2533 7,3723 7,4428 7,4100 7,2567 7,0170 6,7503 6,5039 6,2990 6,1385 6,0163 5,9250 5,8636 5,8430 5,8764 5,9664 6,1038 6,2764 6,4737 6,6826 6,8816 7,0415 7,1357 7,1501 7,0859 6,9513 6,7498 6,4823 6,1631 5,8287 5,5302 5,3165 5,2202 5,2514 5,3935 5,6002 5,8076 5,9606 6,0327 6,0223 5,9347 5,7706 5,5319 5,2341 4,9134 4,6185 4,3945 4,2730 4,2709 4,3878 4,5991 4,8575 5,1074 5,3010 5,4033 5,3871 5,2315 4,9299 4,5074 4,0288 3,5865 3,2682 3,1198 3,1332 3,2672 3,4764 3,7202 3,9623 4,1733 4,3354 4,4405 4,4900 4,4992 4,4999 4,5275 4,5957 4,6796 4,7252 4,6790 4,5150 4,2414 3,8863 3,4835 3,0693 2,6846 2,3733 2,1756 2,1175 2,2042 2,4189 2,7305 3,1019 3,4928 3,8666 4,1992 4,4798 4,7010 4,8504 4,9131 4,8794 4,7500 4,5379 4,2625 3,9391 3,5795 3,1992 2,8187 2,4547 2,1188 1,8234 1,5827 1,4024 1,2685 1,1454 0,9787 0,7116 0,3133 -0,2010 -0,7731 -1,3252 -1,7877 -2,1219 -2,3277 -2,4363 -2,4894 -2,5158 -2,5181 -2,4838 -2,4058 -2,2921 -2,1565 -2,0069 -1,8433 -1,6592 -1,4408 -1,1704 -0,8397 -0,4608 -0,0625 0,3185 0,6469 0,9007 1,0821 1,2175 1,3500 1,5310 1,8039 2,1859 2,6685 3,2263 3,8152 4,3687 4,8195 5,1344 5,3274 5,4396 5,5153 5,5958 5,7131 5,8744 6,0615 6,2466 6,3992 6,4839 6,4669 6,3315 6,0850 5,7542 5,3768 4,9957 4,6555 4,3933 4,2219 4,1169 4,0258 3,9003 3,7262 3,5214 3,3077 3,0908 2,8642 2,6256 2,3879 2,1800 2,0383 1,9902 2,0381 2,1579 2,3111 2,4603 2,5748 2,6325 2,6193 2,5268 2,3534 2,1123 1,8335 1,5590 1,3358 1,2047 1,1834 1,2608 1,4085 1,5910 1,7680 1,9024 1,9730 1,9860 1,9761 1,9934 2,0783 2,2388 2,4428 2,6351 2,7649 2,8044 2,7498 2,6159 2,4321 2,2362 2,0616 1,9228 1,8097 1,6958 1,5626 1,4207 1,3087 1,2699 1,3326 1,5036 1,7704 2,1027 2,4568 2,7858 3,0484
F7    0,8315 0,8267 0,8337 0,7869 0,6345 0,3635 0,0120 -0,3429 -0,6196 -0,7618 -0,7491 -0,5955 -0,3406 -0,0334 0,2785 0,5538 0,7659 0,9096 0,9967 1,0429 1,0547 1,0276 0,9534 0,8288 0,6592 0,4606 0,2576 0,0720 -0,0921 -0,2493 -0,4185 -0,6083 -0,8106 -0,9983 -1,1357 -1,1940 -1,1631 -1,0539 -0,8893 -0,6938 -0,4895 -0,2944 -0,1215 0,0179 0,1069 0,1261 0,0644 -0,0726 -0,2629 -0,4748 -0,6758 -0,8374 -0,9404 -0,9791 -0,9607 -0,9025 -0,8241 -0,7360 -0,6343 -0,5081 -0,3565 -0,1968 -0,0564 0,0375 0,0608 -0,0060 -0,1715 -0,4305 -0,7620 -1,1346 -1,5120 -1,8525 -2,1123 -2,2647 -2,3130 -2,2821 -2,2045 -2,1133 -2,0381 -1,9989 -2,0024 -2,0404 -2,0990 -2,1686 -2,2388 -2,2908 -2,3035 -2,2675 -2,1902 -2,0881 -1,9765 -1,8670 -1,7696 -1,6908 -1,6292 -1,5781 -1,5401 -1,5332 -1,5782 -1,6872 -1,8628 -2,1011 -2,3964 -2,7478 -3,1592 -3,6257 -4,1199 -4,5905 -4,9737 -5,2161 -5,2972 -5,2320 -5,0526 -4,7884 -4,4604 -4,0826 -3,6587 -3,1839 -2,6593 -2,1020 -1,5376 -0,9840 -0,4448 0,0851 0,6120 1,1388 1,6575 2,1467 2,5769 2,9246 3,1825 3,3615 3,4928 3,6229 3,7921 4,0102 4,2554 4,4940 4,6999 4,8655 4,9979 5,1048 5,1841 5,2234 5,2070 5,1232 4,9720 4,7699 4,5502 4,3576 4,2344 4,2057 4,2755 4,4333 4,6603 4,9336 5,2258 5,5026 5,7274 5,8797 5,9665 6,0111 6,0328 6,0358 6,0097 5,9396 5,8221 5,6728 5,5187 5,3867 5,2946 5,2468 5,2359 5,2451 5,2467 5,2054 5,0964 4,9235 4,7213 4,5416 4,4315 4,4125 4,4698 4,5573 4,6172 4,6057 4,5118 4,3617 4,2014 4,0680 3,9728 3,9058 3,8499 3,7943 3,7418 3,7011 3,6709 3,6352 3,5735 3,4758 3,3470 3,1993 3,0396 2,8709 2,7048 2,5676 2,4826 2,4470 2,4345 2,4238 2,4171 2,4321 2,4854 2,5795 2,6962 2,8020 2,8651 2,8687 2,8128 2,7048 2,5586 2,3988 2,2550 2,1421 2,0580 2,0025 1,9892 2,0339 2,1403 2,3023 2,5102 2,7441 2,9668 3,1363 3,2252 3,2302 3,1690 3,0684 2,9529 2,8451 2,7676 2,7348 2,7480 2,8076 2,9278 3,1229 3,3797 3,6482 3,8599 3,9602 3,9322 3,7991 3,6069 3,4026 3,2223 3,0947 3,0446 3,0847 3,2062 3,3824 3,5842 3,7880 3,9691 4,1016 4,1751 4,2079 4,2360 4,2926 4,3947 4,5400 4,7121 4,8893 5,0459 5,1519 5,1850 5,1423 5,0378 4,8922 4,7253 4,5500 4,3679 4,1740 3,9673 3,7580 3,5670 3,4171 3,3207 3,2765 3,2777 3,3209 3,4069 3,5371 3,7092 3,9094 4,1066 4,2641 4,3609 4,3990 4,3934 4,3557 4,2825 4,1612 3,9874 3,7759 3,5513 3,3349 3,1401 2,9731 2,8366 2,7363 2,6831 2,6888 2,7618 2,9019 3,0997 3,3398 3,5988 3,8439 4,0395 4,1560 4,1743 4,0908 3,9253 3,7187 3,5161 3,3507 3,2420 3,2007 3,2266 3,3036 3,3983 3,4701 3,4923 3,4627 3,3944 3,3007 3,1928 3,0861 3,0007 2,9567 2,9694 3,0473 3,1881 3,3751 3,5743 3,7397 3,8266 3,8047 3,6653 3,4281 3,1397 2,8563 2,6248 2,4723 2,4015 2,3967 2,4401 2,5208 2,6244 2,7218 2,7754 2,7616 2,6842 2,5739 2,4786 2,4466 2,5031 2,6383 2,8193 3,0156 3,2140 3,4090 3,5870 3,7197 3,7714 3,7157 3,5535 3,3209 3,0748 2,8673 2,7277 2,6658 2,6823 2,7711 2,9107 3,0620 3,1812 3,2357 3,2126 3,1195 2,9769 2,8047 2,6171 2,4272 2,2489 2,0941 1,9690 1,8756 1,8182 1,8032 1,8289 1,8833 1,9525 2,0244 2,0840 2,1104 2,0853 2,0062 1,8906 1,7653 1,6489 1,5428 1,4432 1,3586 1,3065 1,2936 1,3085 1,3314 1,3438 1,3337 1,2941 1,2140 1,0730 0,8622 0,6111 0,3859 0,2569 0,2609 0,3915 0,6161 0,8948 1,1920 1,4802 1,7375 1,9420 2,0739 2,1244 2,1041 2,0440 1,9808 1,9347 1,8954 1,8326 1,7220 1,5651 1,3850 1,2045 1,0301 0,8563 0,6816 0,5233 0,4172 0,3990 0,4856 0,6741 0,9588 1,3390 1,8031 2,3089 2,7840 3,1488 3,3465 3,3597 3,2076 2,9290 2,5677 2,1706 1,7854 1,4533 1,1998 1,0275 0,9132 0,8166 0,7009 0,5492 0,3652 0,1626 -0,0448 -0,2503 -0,4603 -0,6930 -0,9658 -1,2821 -1,6274 -1,9752 -2,3010 -2,5964 -2,8714 -3,1441 -3,4234 -3,6949 -3,9238 -4,0739 -4,1277 -4,0927 -3,9913 -3,8412 -3,6506 -3,4297 -3,1950 -2,9553 -2,7006 -2,4131 -2,0914 -1,7638 -1,4719 -1,2360 -1,0385 -0,8341 -0,5746 -0,2297 0,1996 0,6787 1,1548 1,5822 1,9325 2,1915 2,3573 2,4484 2,5030 2,5599 2,6392 2,7406 2,8499 2,9420 2,9945 3,0059 2,9939 2,9736 2,9464 2,9066 2,8500 2,7755 2,6835 2,5786 2,4725 2,3810 2,3154 2,2747 2,2462 2,2150 2,1684 2,0901 1,9584 1,7577 1,4904 1,1786 0,8567 0,5625 0,3332 0,1963 0,1575 0,1990 0,2938 0,4152 0,5353 0,6283 0,6766 0,6690 0,5961 0,4544 0,2542 0,0203 -0,2134 -0,4166 -0,5753 -0,6905 -0,7667 -0,8068 -0,8141 -0,7946 -0,7527 -0,6815 -0,5625 -0,3771 -0,1259 0,1624 0,4393 0,6561 0,7801 0,7984 0,7176 0,5625 0,3748 0,2030 0,0849 0,0330 0,0259 0,0166 -0,0393 -0,1500 -0,2790 -0,3679 -0,3722 -0,2810 -0,1116 0,1043 0,3328 0,5492 0,7390
