Fp1   -0,9012 -0,8476 -0,8030 -0,8085 -0,8724 -0,9604 -1,0197 -0,9863 -0,7604 -0,2309 0,6238 1,6612 2,6201 3,2582 3,4818 3,3790 3,1225 2,8314 2,5308 2,2147 1,9040 1,6422 1,4667 1,4063 1,4889 1,7070 1,9736 2,1344 2,0376 1,6139 0,9119 0,0651 -0,7700 -1,4550 -1,8838 -1,9950 -1,7998 -1,4029 -0,9692 -0,6573 -0,5847 -0,8223 -1,3703 -2,1313 -2,9243 -3,5407 -3,8166 -3,7046 -3,2948 -2,7623 -2,2940 -2,0394 -2,0654 -2,3138 -2,6205 -2,8138 -2,8157 -2,6633 -2,4355 -2,1722 -1,8805 -1,5981 -1,4068 -1,3704 -1,4751 -1,6427 -1,8005 -1,9283 -2,0386 -2,1240 -2,1412 -2,0509 -1,8692 -1,6522 -1,4115 -1,0646 -0,5023 0,2973 1,2384 2,1728 2,9757 3,5720 3,9214 3,9896 3,7243 3,0740 2,0586 0,8119 -0,4634 -1,5755 -2,3872 -2,8145 -2,8135 -2,3983 -1,6907 -0,9247 -0,3448 -0,0732 -0,0795 -0,2651 -0,5634 -0,9660 -1,4838 -2,1007 -2,7470 -3,3106 -3,6949 -3,8730 -3,8722 -3,7149 -3,3973 -2,9241 -2,3333 -1,6792 -1,0162 -0,4054 0,0839 0,3955 0,5226 0,5297 0,5331 0,6500 0,9413 1,3765 1,8535 2,2594 2,5124 2,5494 2,3168 1,8222 1,1868 0,6142 0,3013 0,3631 0,7972 1,4880 2,2545 2,9201 3,3538 3,4823 3,3208 2,9820 2,5993 2,2337 1,8727 1,5006 1,1435 0,8537 0,6804 0,6654 0,8352 1,1638 1,5471 1,8414 1,9453 1,8509 1,6338 1,4029 1,2415 1,1660 1,1248 1,0357 0,8197 0,4223 -0,1607 -0,8606 -1,5443 -2,0559 -2,2803 -2,1985 -1,8716 -1,3420 -0,5605 0,5615 2,0407 3,7595 5,4759 6,8938 7,7660 7,9746 7,5649 6,7347 5,7676 4,9213 4,3343 4,0256 3,9643 4,1117 4,4053 4,7400 4,9948 5,0841 4,9863 4,7445 4,4572 4,2539 4,2390 4,4368 4,7803 5,1539 5,4645 5,6777 5,7940 5,8231 5,7834 5,6964 5,5704 5,3929 5,1389 4,8021 4,4230 4,0696 3,7896 3,5856 3,4229 3,2482 3,0107 2,6745 2,2371 1,7517 1,3166 1,0242 0,9221 1,0076 1,2271 1,4926 1,7326 1,9278 2,0786 2,1469 2,0612 1,7831 1,3475 0,8278 0,2821 -0,2630 -0,8016 -1,3248 -1,7836 -2,0742 -2,0811 -1,7506 -1,1210 -0,2939 0,6073 1,4563 2,1344 2,5508 2,6645 2,4899 2,0926 1,5738 1,0336 0,5486 0,1788 -0,0259 -0,0300 0,1745 0,5464 0,9986 1,4562 1,9068 2,3717 2,8526 3,3317 3,7985 4,2414 4,6050 4,7746 4,6319 4,1340 3,3547 2,4722 1,7047 1,2220 1,0943 1,2895 1,6826 2,0876 2,3460 2,4241 2,4298 2,5302 2,8288 3,2885 3,7679 4,1270 4,2808 4,1878 3,8416 3,2839 2,6138 1,9767 1,5116 1,2737 1,2199 1,2792 1,4102 1,5943 1,8281 2,1265 2,4850 2,8325 3,0558 3,0815 2,9202 2,6435 2,3456 2,1307 2,1011 2,3069 2,6955 3,1469 3,5692 3,9356 4,2285 4,3807 4,2899 3,8929 3,2440 2,5315 2,0039 1,8545 2,1437 2,7799 3,5512 4,2069 4,5557 4,5315 4,2022 3,7161 3,2182 2,7824 2,3934 1,9912 1,5499 1,1194 0,8040 0,6958 0,8102 1,0836 1,4396 1,8472 2,3032 2,7769 3,1931 3,4631 3,5234 3,3616 3,0193 2,5776 2,1345 1,7906 1,6413 1,7390 2,0411 2,4077 2,6775 2,7705 2,7360 2,6926 2,7150 2,7839 2,8353 2,8372 2,8143 2,8122 2,8483 2,9046 2,9572 2,9961 3,0192 3,0285 3,0406 3,0913 3,2118 3,4003 3,6367 3,9142 4,2211 4,5023 4,6731 4,6621 4,4314 3,9865 3,3799 2,6891 1,9875 1,3417 0,8299 0,5498 0,5931 0,9963 1,7091 2,6100 3,5416 4,3373 4,8592 5,0518 4,9666 4,7208 4,4287 4,1597 3,9426 3,7883 3,6975 3,6548 3,6374 3,6291 3,6174 3,5872 3,5230 3,4091 3,2360 3,0199 2,8108 2,6761 2,6764 2,8345 3,1010 3,3588 3,4996 3,5004 3,4160 3,3295 3,3304 3,5013 3,8816 4,4404 5,0807 5,6740 6,0912 6,2197 6,0035 5,4973 4,8454 4,1891 3,6148 3,1861 2,9772 3,0438 3,3698 3,8691 4,4396 4,9932 5,4435 5,7087 5,7491 5,5923 5,3058 4,9501 4,5676 4,1917 3,8425 3,5203 3,2208 2,9663 2,8095 2,8018 2,9733 3,3275 3,8121 4,2985 4,6393 4,7662 4,7300 4,6520 4,6362 4,7103 4,8160 4,8341 4,6471 4,2184 3,6178 2,9784 2,4478 2,1586 2,1767 2,4371 2,7616 2,9739 2,9919 2,8298 2,5626 2,2904 2,0850 1,9496 1,8440 1,7561 1,7383 1,8726 2,2178 2,7875 3,5462 4,4067 5,2343 5,8732 6,1867 6,0890 5,5668 4,7002 3,6550 2,6159 1,7089 0,9932 0,5144 0,3404 0,5449 1,1582 2,1166 3,2494 4,3447 5,2647 6,0004 6,5975 7,0439 7,2600 7,1856 6,8354 6,2818 5,6191 4,9382 4,3156 3,8221 3,5412 3,5621 3,9315 4,5979 5,4120 6,1835 6,7404 6,9614 6,8039 6,3253 5,6642 4,9784 4,3781 3,8941 3,5011 3,1755 2,9341 2,8206 2,8716 3,0904 3,4301 3,7991 4,1083 4,3260 4,4786 4,6111 4,7515 4,8851 4,9482 4,8602 4,5730 4,1110 3,5891 3,1686 2,9623 2,9769 3,1249 3,2760 3,3207 3,2126 2,9530 2,5680 2,1247 1,7290 1,4649 1,3501 1,3528 1,4310 1,5682 1,7910 2,1457 2,6483 3,2645 3,9327 4,5932 5,2017 5,7166 6,0854 6,2567 6,2008 5,9151 5,4374 4,8649 4,3330 3,9516 3,7607 3,7434 3,8489 4,0035 4,1366 4,1993 4,1491 3,9458 3,5994 3,2061 2,8848
Fz    0,5654 0,7159 0,8395 0,9476 1,0388 1,0974 1,1039 1,0488 0,9450 0,8271 0,7349 0,6929 0,7003 0,7352 0,7696 0,7851 0,7813 0,7750 0,7884 0,8400 0,9440 1,1015 1,2881 1,4593 1,5680 1,5794 1,4821 1,2926 1,0430 0,7581 0,4469 0,1112 -0,2411 -0,5888 -0,9028 -1,1607 -1,3554 -1,4964 -1,6060 -1,7061 -1,7994 -1,8713 -1,9123 -1,9369 -1,9763 -2,0526 -2,1596 -2,2705 -2,3592 -2,4109 -2,4203 -2,3879 -2,3186 -2,2166 -2,0859 -1,9382 -1,7983 -1,6943 -1,6413 -1,6303 -1,6343 -1,6291 -1,6079 -1,5723 -1,5161 -1,4238 -1,2806 -1,0785 -0,8071 -0,4483 0,0055 0,5290 1,0625 1,5312 1,8770 2,0836 2,1760 2,1957 2,1759 2,1379 2,0991 2,0748 2,0704 2,0737 2,0614 2,0128 1,9130 1,7527 1,5369 1,2885 1,0300 0,7630 0,4690 0,1260 -0,2762 -0,7258 -1,1849 -1,6030 -1,9448 -2,2054 -2,3945 -2,5195 -2,5874 -2,6123 -2,6152 -2,6147 -2,6207 -2,6396 -2,6799 -2,7409 -2,8041 -2,8396 -2,8149 -2,7006 -2,4814 -2,1690 -1,7959 -1,3889 -0,9466 -0,4502 0,1090 0,7182 1,3445 1,9333 2,4168 2,7442 2,9115 2,9608 2,9495 2,9191 2,8890 2,8683 2,8655 2,8875 2,9403 3,0272 3,1468 3,2928 3,4471 3,5732 3,6283 3,5803 3,4092 3,1022 2,6645 2,1347 1,5780 1,0530 0,5859 0,1798 -0,1607 -0,4276 -0,6220 -0,7568 -0,8488 -0,9089 -0,9401 -0,9447 -0,9341 -0,9263 -0,9339 -0,9544 -0,9694 -0,9566 -0,9095 -0,8437 -0,7816 -0,7301 -0,6731 -0,5775 -0,3903 -0,0411 0,5208 1,2855 2,1853 3,1318 4,0476 4,8812 5,6104 6,2374 6,7840 7,2794 7,7439 8,1770 8,5576 8,8523 9,0297 9,0704 8,9720 8,7563 8,4728 8,1893 7,9664 7,8309 7,7741 7,7739 7,8086 7,8565 7,9047 7,9555 8,0105 8,0545 8,0534 7,9657 7,7646 7,4534 7,0612 6,6296 6,2016 5,8140 5,4858 5,2087 4,9561 4,7050 4,4430 4,1599 3,8491 3,5205 3,1999 2,9114 2,6641 2,4503 2,2513 2,0474 1,8238 1,5756 1,3180 1,0852 0,9052 0,7769 0,6767 0,5860 0,5095 0,4686 0,4813 0,5481 0,6540 0,7776 0,9002 1,0091 1,0955 1,1540 1,1849 1,1957 1,1954 1,1834 1,1516 1,1027 1,0600 1,0559 1,1175 1,2640 1,5067 1,8426 2,2480 2,6825 3,1071 3,4922 3,8093 4,0292 4,1371 4,1418 4,0722 3,9674 3,8618 3,7686 3,6787 3,5804 3,4828 3,4174 3,4145 3,4804 3,6039 3,7720 3,9621 4,1373 4,2642 4,3241 4,3045 4,1965 4,0033 3,7419 3,4392 3,1272 2,8341 2,5761 2,3564 2,1709 2,0182 1,9051 1,8384 1,8088 1,7869 1,7344 1,6239 1,4583 1,2701 1,0971 0,9600 0,8655 0,8222 0,8454 0,9496 1,1408 1,4052 1,6961 1,9435 2,0855 2,0928 1,9738 1,7657 1,5284 1,3388 1,2653 1,3310 1,5035 1,7202 1,9256 2,0943 2,2260 2,3250 2,3841 2,3907 2,3455 2,2746 2,2225 2,2316 2,3138 2,4400 2,5602 2,6277 2,6128 2,5062 2,3163 2,0675 1,7991 1,5589 1,3898 1,3181 1,3489 1,4717 1,6687 1,9171 2,1837 2,4294 2,6279 2,7798 2,9025 3,0163 3,1402 3,2925 3,4871 3,7249 3,9856 4,2303 4,4150 4,5075 4,5022 4,4236 4,3148 4,2206 4,1755 4,1950 4,2674 4,3562 4,4210 4,4386 4,4030 4,3177 4,1947 4,0509 3,8986 3,7440 3,5971 3,4778 3,4098 3,4099 3,4788 3,6013 3,7598 3,9464 4,1532 4,3537 4,5023 4,5598 4,5157 4,3847 4,1891 3,9491 3,6789 3,3865 3,0797 2,7696 2,4676 2,1884 1,9579 1,8068 1,7465 1,7530 1,7725 1,7486 1,6496 1,4761 1,2524 1,0126 0,7895 0,6158 0,5245 0,5413 0,6724 0,8925 1,1399 1,3386 1,4400 1,4487 1,4078 1,3653 1,3526 1,3800 1,4453 1,5375 1,6347 1,7147 1,7783 1,8538 1,9758 2,1554 2,3683 2,5671 2,7122 2,7931 2,8213 2,8144 2,7916 2,7759 2,7926 2,8646 3,0068 3,2211 3,4904 3,7791 4,0413 4,2387 4,3557 4,3942 4,3511 4,2114 3,9669 3,6358 3,2658 2,9237 2,6775 2,5780 2,6457 2,8652 3,1877 3,5447 3,8697 4,1147 4,2570 4,2972 4,2490 4,1275 3,9467 3,7250 3,4837 3,2412 3,0110 2,8023 2,6238 2,4832 2,3901 2,3581 2,3951 2,4868 2,5941 2,6704 2,6839 2,6293 2,5294 2,4216 2,3318 2,2601 2,1899 2,1053 1,9963 1,8621 1,7197 1,5997 1,5294 1,5252 1,5925 1,7164 1,8573 1,9655 2,0070 1,9772 1,8905 1,7596 1,5917 1,4013 1,2203 1,0916 1,0527 1,1221 1,2983 1,5638 1,8868 2,2265 2,5461 2,8252 3,0595 3,2487 3,3884 3,4702 3,4849 3,4309 3,3274 3,2131 3,1279 3,0858 3,0625 3,0109 2,8931 2,7038 2,4685 2,2272 2,0213 1,8843 1,8262 1,8223 1,8197 1,7646 1,6350 1,4537 1,2788 1,1806 1,2034 1,3362 1,5255 1,7132 1,8581 1,9312 1,9066 1,7701 1,5403 1,2707 1,0221 0,8325 0,7080 0,6318 0,5790 0,5286 0,4689 0,3914 0,2912 0,1768 0,0707 -0,0129 -0,0886 -0,1927 -0,3538 -0,5680 -0,8009 -1,0029 -1,1218 -1,1176 -0,9819 -0,7481 -0,4807 -0,2532 -0,1255 -0,1227 -0,2206 -0,3542 -0,4434 -0,4166 -0,2239 0,1466 0,6525 1,2020 1,6900 2,0369 2,2098 2,2216 2,1160 1,9442 1,7439 1,5303 1,3065 1,0828 0,8775 0,7000 0,5459 0,4055 0,2681 0,1251 -0,0280 -0,1907 -0,3609
F3    0,7294 1,1039 1,4295 1,6933 1,8736 1,9507 1,9198 1,7987 1,6293 1,4648 1,3464 1,2866 1,2661 1,2442 1,1817 1,0649 0,9140 0,7686 0,6650 0,6314 0,6940 0,8664 1,1249 1,4050 1,6243 1,7112 1,6275 1,3794 1,0095 0,5725 0,1091 -0,3607 -0,8243 -1,2591 -1,6315 -1,9136 -2,0980 -2,1974 -2,2355 -2,2343 -2,2053 -2,1532 -2,0865 -2,0282 -2,0207 -2,1076 -2,2972 -2,5523 -2,8205 -3,0600 -3,2315 -3,2970 -3,2410 -3,0818 -2,8589 -2,6177 -2,3987 -2,2316 -2,1299 -2,0874 -2,0838 -2,0998 -2,1235 -2,1388 -2,1165 -2,0215 -1,8284 -1,5320 -1,1413 -0,6717 -0,1456 0,4045 0,9337 1,3846 1,7015 1,8549 1,8553 1,7452 1,5786 1,3980 1,2242 1,0627 0,9132 0,7713 0,6366 0,5164 0,4139 0,3223 0,2367 0,1587 0,0754 -0,0547 -0,2804 -0,6256 -1,0757 -1,5818 -2,0746 -2,4904 -2,8010 -3,0194 -3,1695 -3,2570 -3,2772 -3,2429 -3,1907 -3,1563 -3,1548 -3,1847 -3,2379 -3,2977 -3,3395 -3,3379 -3,2690 -3,1090 -2,8453 -2,4923 -2,0892 -1,6734 -1,2515 -0,8002 -0,2972 0,2547 0,8245 1,3553 1,7763 2,0345 2,1283 2,1091 2,0417 1,9629 1,8773 1,7843 1,6966 1,6384 1,6342 1,6935 1,8049 1,9501 2,1149 2,2785 2,4034 2,4459 2,3688 2,1503 1,7972 1,3532 0,8860 0,4521 0,0724 -0,2584 -0,5509 -0,8181 -1,0751 -1,3267 -1,5596 -1,7530 -1,8859 -1,9398 -1,9128 -1,8264 -1,7096 -1,5799 -1,4348 -1,2574 -1,0439 -0,8245 -0,6480 -0,5425 -0,4954 -0,4643 -0,3913 -0,2132 0,1183 0,6129 1,2422 1,9600 2,7143 3,4563 4,1509 4,7823 5,3503 5,8640 6,3329 6,7571 7,1240 7,4132 7,6057 7,6887 7,6595 7,5377 7,3724 7,2262 7,1404 7,1111 7,0980 7,0595 6,9794 6,8693 6,7587 6,6740 6,6170 6,5625 6,4745 6,3212 6,0885 5,7836 5,4270 5,0413 4,6476 4,2650 3,9084 3,5834 3,2886 3,0229 2,7798 2,5379 2,2714 1,9781 1,6891 1,4460 1,2674 1,1312 0,9877 0,7940 0,5346 0,2185 -0,1264 -0,4564 -0,7323 -0,9442 -1,1061 -1,2325 -1,3276 -1,3876 -1,4007 -1,3526 -1,2411 -1,0793 -0,8862 -0,6849 -0,5015 -0,3565 -0,2543 -0,1856 -0,1396 -0,1169 -0,1298 -0,1821 -0,2523 -0,3003 -0,2836 -0,1659 0,0758 0,4388 0,8865 1,3610 1,8113 2,2074 2,5298 2,7651 2,9132 2,9883 3,0100 2,9985 2,9677 2,9134 2,8195 2,6823 2,5259 2,3924 2,3128 2,2971 2,3478 2,4614 2,6096 2,7436 2,8314 2,8740 2,8832 2,8574 2,7791 2,6289 2,4064 2,1384 1,8661 1,6249 1,4346 1,3027 1,2309 1,2198 1,2641 1,3388 1,3956 1,3771 1,2409 0,9832 0,6462 0,2982 0,0026 -0,1982 -0,2775 -0,2201 -0,0282 0,2796 0,6674 1,0724 1,4120 1,6139 1,6466 1,5254 1,2942 1,0082 0,7333 0,5372 0,4631 0,5102 0,6379 0,7902 0,9252 1,0266 1,0902 1,1102 1,0812 1,0146 0,9458 0,9194 0,9683 1,0979 1,2805 1,4646 1,5935 1,6250 1,5409 1,3482 1,0800 0,7917 0,5412 0,3658 0,2773 0,2753 0,3582 0,5210 0,7449 0,9897 1,2057 1,3658 1,4826 1,5897 1,7130 1,8641 2,0470 2,2626 2,5032 2,7480 2,9685 3,1387 3,2397 3,2595 3,1970 3,0659 2,8911 2,7030 2,5309 2,3922 2,2899 2,2231 2,1915 2,1825 2,1650 2,1022 1,9710 1,7746 1,5492 1,3549 1,2486 1,2565 1,3706 1,5578 1,7727 1,9763 2,1531 2,3083 2,4461 2,5585 2,6286 2,6378 2,5705 2,4214 2,1994 1,9184 1,5913 1,2390 0,8957 0,5951 0,3579 0,1944 0,1065 0,0828 0,0967 0,1111 0,0857 -0,0145 -0,2048 -0,4658 -0,7482 -0,9986 -1,1775 -1,2613 -1,2388 -1,1093 -0,8882 -0,6187 -0,3664 -0,1856 -0,0854 -0,0350 0,0013 0,0399 0,0803 0,1198 0,1578 0,1881 0,2030 0,2107 0,2388 0,3189 0,4671 0,6687 0,8785 1,0445 1,1372 1,1563 1,1231 1,0770 1,0684 1,1431 1,3301 1,6383 2,0506 2,5167 2,9594 3,3003 3,4886 3,5207 3,4309 3,2544 3,0037 2,6838 2,3159 1,9434 1,6263 1,4284 1,3944 1,5273 1,7836 2,0932 2,3863 2,6105 2,7332 2,7402 2,6359 2,4407 2,1860 1,9159 1,6816 1,5217 1,4462 1,4406 1,4780 1,5261 1,5550 1,5490 1,5142 1,4659 1,4091 1,3338 1,2252 1,0736 0,8816 0,6760 0,5042 0,4054 0,3806 0,3964 0,4117 0,3969 0,3432 0,2686 0,2103 0,2025 0,2636 0,3975 0,5927 0,8161 1,0162 1,1416 1,1630 1,0784 0,9054 0,6743 0,4215 0,1833 -0,0014 -0,0922 -0,0586 0,1025 0,3623 0,6703 0,9739 1,2384 1,4527 1,6202 1,7386 1,7914 1,7604 1,6446 1,4705 1,2944 1,1860 1,1914 1,3002 1,4436 1,5271 1,4764 1,2723 0,9560 0,6044 0,2971 0,0902 -0,0030 -0,0185 -0,0283 -0,1050 -0,2837 -0,5487 -0,8440 -1,0935 -1,2342 -1,2432 -1,1342 -0,9389 -0,6992 -0,4713 -0,3215 -0,2980 -0,3996 -0,5745 -0,7520 -0,8788 -0,9358 -0,9344 -0,9021 -0,8658 -0,8399 -0,8264 -0,8234 -0,8289 -0,8415 -0,8645 -0,9110 -1,0034 -1,1594 -1,3736 -1,6091 -1,8048 -1,8971 -1,8501 -1,6785 -1,4454 -1,2311 -1,0982 -1,0776 -1,1673 -1,3293 -1,4927 -1,5767 -1,5186 -1,2873 -0,8928 -0,3925 0,1242 0,5714 0,8923 1,0615 1,0792 0,9659 0,7564 0,4932 0,2176 -0,0413 -0,2656 -0,4495 -0,6027 -0,7466 -0,8995 -1,0663 -1,2397 -1,4069 -1,5572 -1,6887
F7    0,1055 0,3531 0,6300 0,9309 1,2302 1,4881 1,6658 1,7422 1,7227 1,6339 1,5109 1,3853 1,2787 1,2005 1,1474 1,1118 1,0926 1,0943 1,1100 1,1172 1,0962 1,0439 0,9663 0,8723 0,7752 0,6920 0,6397 0,6330 0,6768 0,7555 0,8255 0,8208 0,6804 0,3836 -0,0347 -0,5036 -0,9521 -1,3352 -1,6392 -1,8724 -2,0534 -2,2075 -2,3642 -2,5444 -2,7481 -2,9571 -3,1451 -3,2877 -3,3717 -3,3959 -3,3612 -3,2651 -3,1076 -2,8982 -2,6598 -2,4261 -2,2248 -2,0655 -1,9422 -1,8428 -1,7553 -1,6744 -1,6019 -1,5371 -1,4722 -1,3968 -1,3022 -1,1837 -1,0416 -0,8753 -0,6799 -0,4509 -0,1923 0,0763 0,3237 0,5295 0,6939 0,8231 0,9175 0,9768 1,0046 1,0042 0,9770 0,9315 0,8840 0,8431 0,7951 0,7154 0,5912 0,4296 0,2463 0,0470 -0,1773 -0,4380 -0,7353 -1,0545 -1,3690 -1,6508 -1,8831 -2,0683 -2,2215 -2,3541 -2,4689 -2,5674 -2,6501 -2,7047 -2,7058 -2,6366 -2,5077 -2,3477 -2,1747 -1,9856 -1,7722 -1,5445 -1,3361 -1,1834 -1,0967 -1,0491 -0,9925 -0,8807 -0,6858 -0,4089 -0,0825 0,2427 0,5208 0,7290 0,8733 0,9793 1,0750 1,1767 1,2853 1,3888 1,4705 1,5219 1,5504 1,5714 1,5975 1,6357 1,6823 1,7163 1,7033 1,6117 1,4273 1,1592 0,8351 0,4905 0,1580 -0,1409 -0,3995 -0,6199 -0,8036 -0,9556 -1,0873 -1,2000 -1,2771 -1,3047 -1,2921 -1,2652 -1,2511 -1,2722 -1,3438 -1,4681 -1,6299 -1,7990 -1,9432 -2,0425 -2,0941 -2,0980 -2,0403 -1,8920 -1,6204 -1,1995 -0,6201 0,0906 0,8651 1,6227 2,3018 2,8705 3,3268 3,6946 4,0107 4,3042 4,5815 4,8248 5,0027 5,0867 5,0696 4,9718 4,8222 4,6400 4,4436 4,2655 4,1443 4,1060 4,1571 4,2853 4,4575 4,6283 4,7642 4,8542 4,9019 4,9156 4,8955 4,8258 4,6906 4,4964 4,2689 4,0338 3,8086 3,6090 3,4424 3,2889 3,1029 2,8465 2,5154 2,1328 1,7322 1,3471 1,0031 0,7100 0,4624 0,2426 0,0269 -0,2029 -0,4505 -0,7071 -0,9493 -1,1364 -1,2299 -1,2256 -1,1587 -1,0748 -1,0000 -0,9362 -0,8751 -0,8122 -0,7513 -0,6973 -0,6516 -0,6206 -0,6247 -0,6860 -0,8028 -0,9381 -1,0391 -1,0697 -1,0247 -0,9171 -0,7672 -0,6051 -0,4574 -0,3258 -0,1896 -0,0309 0,1480 0,3264 0,4854 0,6250 0,7584 0,9006 1,0618 1,2405 1,4213 1,5867 1,7284 1,8377 1,8943 1,8744 1,7770 1,6334 1,4866 1,3681 1,2964 1,2776 1,2975 1,3308 1,3643 1,4002 1,4409 1,4823 1,5228 1,5654 1,6122 1,6588 1,6910 1,6868 1,6250 1,4964 1,3098 1,0902 0,8662 0,6599 0,4862 0,3554 0,2738 0,2469 0,2766 0,3542 0,4610 0,5789 0,6991 0,8257 0,9758 1,1712 1,4132 1,6617 1,8564 1,9545 1,9427 1,8268 1,6307 1,4039 1,2133 1,1156 1,1275 1,2231 1,3556 1,4840 1,5846 1,6472 1,6707 1,6605 1,6245 1,5717 1,5157 1,4771 1,4778 1,5292 1,6262 1,7532 1,8944 2,0407 2,1790 2,2768 2,2916 2,1992 2,0108 1,7702 1,5386 1,3721 1,3024 1,3290 1,4262 1,5599 1,7037 1,8476 1,9994 2,1748 2,3800 2,6042 2,8247 3,0219 3,1886 3,3229 3,4143 3,4465 3,4086 3,3002 3,1335 2,9387 2,7585 2,6346 2,5893 2,6147 2,6827 2,7658 2,8439 2,8989 2,9222 2,9216 2,9091 2,8818 2,8236 2,7212 2,5771 2,4101 2,2539 2,1525 2,1487 2,2653 2,4886 2,7690 3,0406 3,2493 3,3754 3,4343 3,4542 3,4513 3,4230 3,3565 3,2364 3,0538 2,8124 2,5308 2,2434 1,9963 1,8308 1,7613 1,7669 1,8060 1,8365 1,8273 1,7626 1,6449 1,4865 1,2988 1,0995 0,9285 0,8427 0,8852 1,0537 1,2958 1,5345 1,7048 1,7777 1,7656 1,7102 1,6580 1,6366 1,6510 1,6928 1,7471 1,8026 1,8601 1,9317 2,0334 2,1753 2,3498 2,5304 2,6874 2,8030 2,8689 2,8721 2,7980 2,6551 2,4854 2,3468 2,2902 2,3451 2,5117 2,7612 3,0455 3,3142 3,5310 3,6715 3,7103 3,6242 3,4111 3,1007 2,7490 2,4215 2,1773 2,0602 2,0927 2,2684 2,5470 2,8655 3,1592 3,3781 3,4911 3,4856 3,3695 3,1681 2,9168 2,6534 2,4095 2,2010 2,0270 1,8833 1,7764 1,7217 1,7283 1,7892 1,8858 1,9928 2,0861 2,1515 2,1803 2,1633 2,1024 2,0198 1,9455 1,8960 1,8665 1,8409 1,8089 1,7787 1,7750 1,8243 1,9422 2,1303 2,3738 2,6347 2,8555 2,9788 2,9750 2,8579 2,6738 2,4709 2,2780 2,1048 1,9516 1,8174 1,7118 1,6591 1,6811 1,7656 1,8574 1,8970 1,8706 1,8199 1,8045 1,8562 1,9646 2,0927 2,1967 2,2472 2,2449 2,2158 2,1940 2,2049 2,2473 2,2835 2,2558 2,1243 1,8942 1,6110 1,3311 1,0942 0,9162 0,7993 0,7390 0,7255 0,7481 0,8013 0,8898 1,0263 1,2042 1,3765 1,4787 1,4740 1,3720 1,2080 1,0124 0,8090 0,6304 0,5171 0,4938 0,5521 0,6565 0,7602 0,8246 0,8382 0,8189 0,7914 0,7649 0,7374 0,7083 0,6736 0,6174 0,5231 0,3932 0,2518 0,1324 0,0667 0,0751 0,1571 0,2861 0,4192 0,5215 0,5816 0,6017 0,5782 0,5030 0,3815 0,2468 0,1566 0,1733 0,3315 0,6113 0,9419 1,2374 1,4414 1,5460 1,5801 1,5855 1,5886 1,5773 1,5094 1,3546 1,1238 0,8555 0,5846 0,3355 0,1280 -0,0248 -0,1251 -0,1899 -0,2371 -0,2736
