Fp1   5,5602 4,9844 4,4643 3,9898 3,5553 3,1894 2,9312 2,7870 2,7314 2,7341 2,7624 2,7616 2,6533 2,3650 1,8707 1,2047 0,4429 -0,3259 -1,0199 -1,5653 -1,9027 -2,0183 -1,9673 -1,8433 -1,7185 -1,6196 -1,5564 -1,5504 -1,6268 -1,7968 -2,0451 -2,3127 -2,5018 -2,5172 -2,3153 -1,9316 -1,4675 -1,0395 -0,7282 -0,5622 -0,5371 -0,6340 -0,8150 -1,0205 -1,1967 -1,3295 -1,4534 -1,6372 -1,9588 -2,4734 -3,1767 -3,9731 -4,6944 -5,1789 -5,3480 -5,2207 -4,8907 -4,5011 -4,2085 -4,1282 -4,2878 -4,6224 -5,0197 -5,3870 -5,6922 -5,9577 -6,2272 -6,5335 -6,8724 -7,1900 -7,4129 -7,5162 -7,5504 -7,5970 -7,7126 -7,9020 -8,1107 -8,2442 -8,2089 -7,9394 -7,4140 -6,6730 -5,8190 -4,9896 -4,3353 -3,9985 -4,0536 -4,4439 -5,0001 -5,5422 -5,9657 -6,2457 -6,3928 -6,4266 -6,3730 -6,2557 -6,0844 -5,8656 -5,6293 -5,4336 -5,3442 -5,4220 -5,7270 -6,3153 -7,2017 -8,3166 -9,5135 -10,6272 -11,5051 -11,9914 -11,9365 -11,2466 -9,9156 -8,0324 -5,7788 -3,3915 -1,0839 1,0077 2,8090 4,2696 5,3595 6,0793 6,4491 6,5005 6,2827 5,8684 5,3500 4,8232 4,3612 3,9936 3,6963 3,4040 3,0351 2,5182 1,8223 0,9733 0,0366 -0,9186 -1,8235 -2,5921 -3,1386 -3,4257 -3,4782 -3,3593 -3,1392 -2,8642 -2,5464 -2,1910 -1,8195 -1,4465 -1,0488 -0,5788 -0,0060 0,6478 1,3045 1,8639 2,2500 2,4311 2,4210 2,2753 2,0695 1,8549 1,6321 1,3639 1,0017 0,5075 -0,1319 -0,9089 -1,8032 -2,7707 -3,7462 -4,6666 -5,4610 -6,0273 -6,2652 -6,1446 -5,7368 -5,1922 -4,6704 -4,2704 -4,0077 -3,8311 -3,6611 -3,4633 -3,3027 -3,3049 -3,5509 -4,0040 -4,5252 -4,9596 -5,2251 -5,3321 -5,3236 -5,2200 -5,0384 -4,8416 -4,7229 -4,7327 -4,8384 -4,9443 -4,9319 -4,7022 -4,2160 -3,5172 -2,7163 -1,9344 -1,2594 -0,7452 -0,4183 -0,2641 -0,2224 -0,2132 -0,1729 -0,0804 0,0339 0,1029 0,0616 -0,1073 -0,3704 -0,7000 -1,1161 -1,6616 -2,3545 -3,1688 -4,0445 -4,9089 -5,7066 -6,4216 -7,0510 -7,5653 -7,9277 -8,1319 -8,1921 -8,1182 -7,9317 -7,6896 -7,4672 -7,3164 -7,2542 -7,2872 -7,4352 -7,7031 -8,0256 -8,2750 -8,3458 -8,2107 -7,8921 -7,4123 -6,7787 -5,9960 -5,0805 -4,0615 -2,9784 -1,8978 -0,9236 -0,1664 0,3088 0,5156 0,5379 0,4743 0,3747 0,2308 0,0323 -0,1807 -0,3277 -0,3502 -0,2769 -0,2280 -0,3504 -0,7413 -1,4129 -2,2935 -3,2581 -4,1783 -4,9630 -5,5758 -6,0307 -6,3716 -6,6452 -6,8969 -7,1837 -7,5529 -7,9749 -8,3089 -8,3663 -8,0294 -7,3275 -6,4189 -5,5256 -4,8618 -4,5518 -4,5729 -4,7837 -5,0276 -5,2158 -5,3337 -5,3930 -5,3818 -5,2581 -4,9867 -4,5635 -4,0077 -3,3661 -2,7259 -2,1869 -1,8073 -1,5708 -1,4061 -1,2530 -1,1075 -0,9957 -0,9321 -0,9165 -0,9477 -1,0244 -1,1374 -1,2704 -1,4082 -1,5338 -1,6213 -1,6536 -1,6560 -1,6999 -1,8696 -2,2196 -2,7662 -3,4997 -4,3850 -5,3544 -6,3091 -7,1314 -7,7090 -7,9821 -7,9859 -7,8349 -7,6515 -7,5064 -7,4102 -7,3469 -7,3109 -7,3023 -7,2890 -7,2006 -6,9862 -6,6645 -6,3007 -5,9584 -5,6759 -5,4663 -5,3488 -5,3854 -5,6425 -6,1002 -6,6341 -7,1025 -7,4266 -7,5834 -7,5587 -7,3435 -6,9637 -6,4885 -6,0075 -5,6086 -5,3694 -5,3486 -5,5640 -5,9831 -6,5330 -7,1160 -7,6330 -8,0157 -8,2359 -8,2865 -8,1827 -7,9861 -7,7977 -7,7131 -7,7858 -8,0107 -8,3259 -8,6357 -8,8407 -8,8743 -8,7509 -8,5852 -8,5498 -8,8137 -9,4819 -10,5381 -11,8400 -13,1933 -14,4320 -15,4325 -16,0980 -16,3780 -16,2987 -15,9516 -15,4453 -14,8575 -14,2259 -13,5681 -12,8876 -12,1716 -11,4139 -10,6442 -9,9284 -9,3395 -8,9200 -8,6580 -8,4983 -8,3865 -8,3043 -8,2648 -8,2773 -8,3159 -8,3430 -8,3699 -8,4720 -8,7283 -9,1704 -9,7814 -10,5077 -11,2661 -11,9645 -12,5246 -12,8905 -13,0426 -13,0191 -12,8992 -12,7530 -12,6140 -12,4837 -12,3346 -12,1274 -11,8495 -11,5378 -11,2700 -11,1268 -11,1342 -11,2346 -11,3287 -11,3367 -11,2161 -10,9613 -10,6069 -10,2142 -9,8383 -9,4923 -9,1344 -8,7035 -8,1702 -7,5572 -6,9327 -6,3921 -6,0250 -5,8718 -5,8960 -6,0007 -6,0911 -6,1424 -6,2095 -6,3752 -6,7032 -7,2219 -7,9101 -8,7021 -9,5385 -10,4114 -11,3447 -12,3410 -13,3605 -14,3371 -15,2137 -15,9712 -16,6198 -17,1650 -17,5946 -17,8960 -18,0726 -18,1460 -18,1429 -18,0783 -17,9598 -17,8093 -17,6470 -17,4259 -17,0045 -16,2319 -15,0615 -13,5730 -11,9156 -10,2485 -8,6940 -7,2989 -6,0305 -4,8127 -3,5883 -2,3706 -1,2284 -0,2244 0,6109 1,2635 1,7144 1,9374 1,9227 1,7000 1,3168 0,7873 0,0805 -0,8298 -1,9063 -3,0317 -4,0468 -4,8222 -5,3182 -5,5863 -5,7337 -5,8813 -6,1175 -6,4594 -6,8600 -7,2544 -7,5922 -7,8407 -7,9962 -8,0908 -8,1723 -8,2723 -8,3811 -8,4508 -8,4401 -8,3656 -8,3072 -8,3751 -8,6723 -9,2603 -10,1323 -11,2106 -12,3791 -13,5345 -14,6213 -15,6275 -16,5617 -17,4418 -18,2915 -19,1254 -19,9382 -20,7085 -21,3962 -21,9342 -22,2452 -22,2722 -21,9808 -21,3464 -20,3571 -19,0404 -17,5049 -15,9417 -14,5444 -13,4078 -12,5046 -11,7374 -11,0087 -10,2653 -9,5106 -8,7966 -8,2017 -7,7946 -7,6046 -7,6278 -7,8535 -8,2672 -8,8396 -9,5335 -10,3191 -11,1782 -12,0997 -13,0566 -13,9769 -14,7603 -15,3332 -15,6661 -15,7547 -15,6217 -15,3213 -14,9138 -14,4481 -13,9720 -13,5276 -13,1239 -12,7206 -12,2392 -11,5973 -10,7544 -9,7344 -8,6094 -7,4728 -6,4327 -5,6038 -5,0810
Fz    3,9874 3,6901 3,4221 3,1599 2,8883 2,6261 2,4096 2,2604 2,1820 2,1700 2,2039 2,2338 2,1917 2,0261 1,7283 1,3303 0,8801 0,4218 -0,0106 -0,3849 -0,6685 -0,8422 -0,9181 -0,9329 -0,9264 -0,9274 -0,9581 -1,0399 -1,1879 -1,4050 -1,6751 -1,9539 -2,1754 -2,2772 -2,2235 -2,0233 -1,7330 -1,4331 -1,1904 -1,0376 -0,9780 -1,0009 -1,0846 -1,1942 -1,2968 -1,3818 -1,4656 -1,5862 -1,7901 -2,1094 -2,5313 -2,9831 -3,3569 -3,5651 -3,5774 -3,4222 -3,1715 -2,9247 -2,7779 -2,7831 -2,9275 -3,1492 -3,3765 -3,5630 -3,7028 -3,8226 -3,9630 -4,1601 -4,4267 -4,7409 -5,0600 -5,3576 -5,6400 -5,9262 -6,2225 -6,5118 -6,7505 -6,8828 -6,8702 -6,7044 -6,3969 -5,9723 -5,4718 -4,9568 -4,5095 -4,2192 -4,1428 -4,2643 -4,4954 -4,7262 -4,8793 -4,9255 -4,8665 -4,7197 -4,5144 -4,2834 -4,0545 -3,8527 -3,7058 -3,6391 -3,6680 -3,7996 -4,0418 -4,4108 -4,9207 -5,5537 -6,2463 -6,9126 -7,4686 -7,8268 -7,8976 -7,6154 -6,9642 -5,9872 -4,7865 -3,4992 -2,2531 -1,1361 -0,2036 0,5068 0,9846 1,2516 1,3422 1,2872 1,1195 0,8857 0,6421 0,4403 0,3134 0,2696 0,2878 0,3184 0,2936 0,1460 -0,1614 -0,6124 -1,1495 -1,7087 -2,2377 -2,6851 -2,9999 -3,1517 -3,1419 -2,9979 -2,7599 -2,4645 -2,1404 -1,8221 -1,5495 -1,3410 -1,1730 -0,9946 -0,7591 -0,4563 -0,1280 0,1538 0,3290 0,3769 0,3169 0,1965 0,0695 -0,0325 -0,1130 -0,2001 -0,3299 -0,5377 -0,8541 -1,3009 -1,8839 -2,5831 -3,3538 -4,1394 -4,8694 -5,4557 -5,8174 -5,9206 -5,7922 -5,5052 -5,1473 -4,7891 -4,4689 -4,1909 -3,9370 -3,7022 -3,5309 -3,4995 -3,6523 -3,9541 -4,3075 -4,6142 -4,8258 -4,9396 -4,9598 -4,8827 -4,7221 -4,5336 -4,3880 -4,3180 -4,3018 -4,2878 -4,2200 -4,0510 -3,7562 -3,3537 -2,9063 -2,4963 -2,1931 -2,0376 -2,0344 -2,1482 -2,3147 -2,4625 -2,5358 -2,5144 -2,4226 -2,3186 -2,2607 -2,2711 -2,3362 -2,4458 -2,6215 -2,8996 -3,2980 -3,8045 -4,3853 -4,9978 -5,6048 -6,1846 -6,7186 -7,1762 -7,5300 -7,7759 -7,9182 -7,9540 -7,8900 -7,7644 -7,6342 -7,5476 -7,5309 -7,5970 -7,7566 -8,0039 -8,2851 -8,5106 -8,6120 -8,5729 -8,4070 -8,1326 -7,7656 -7,3172 -6,7936 -6,2003 -5,5522 -4,8866 -4,2663 -3,7610 -3,4169 -3,2325 -3,1606 -3,1434 -3,1525 -3,1891 -3,2492 -3,3060 -3,3296 -3,3187 -3,3166 -3,3971 -3,6221 -4,0070 -4,5182 -5,0923 -5,6613 -6,1750 -6,6121 -6,9764 -7,2863 -7,5614 -7,8130 -8,0483 -8,2849 -8,5410 -8,7989 -8,9834 -8,9934 -8,7705 -8,3458 -7,8297 -7,3686 -7,0957 -7,0777 -7,2805 -7,5952 -7,9109 -8,1716 -8,3750 -8,5343 -8,6404 -8,6561 -8,5418 -8,2770 -7,8632 -7,3308 -6,7499 -6,2099 -5,7788 -5,4736 -5,2673 -5,1267 -5,0373 -4,9935 -4,9797 -4,9751 -4,9678 -4,9581 -4,9494 -4,9425 -4,9350 -4,9185 -4,8754 -4,7917 -4,6803 -4,5889 -4,5760 -4,6803 -4,9148 -5,2784 -5,7600 -6,3345 -6,9616 -7,5880 -8,1486 -8,5881 -8,8955 -9,1081 -9,2779 -9,4351 -9,5790 -9,6945 -9,7723 -9,8072 -9,7805 -9,6552 -9,4079 -9,0593 -8,6635 -8,2761 -7,9367 -7,6656 -7,4795 -7,4069 -7,4700 -7,6476 -7,8756 -8,0888 -8,2543 -8,3600 -8,3926 -8,3418 -8,2198 -8,0617 -7,9100 -7,8016 -7,7696 -7,8449 -8,0435 -8,3544 -8,7404 -9,1471 -9,5196 -9,8216 -10,0348 -10,1438 -10,1381 -10,0311 -9,8659 -9,6972 -9,5700 -9,5020 -9,4772 -9,4594 -9,4153 -9,3376 -9,2603 -9,2564 -9,4140 -9,8075 -10,4684 -11,3587 -12,3737 -13,3842 -14,2780 -14,9709 -15,4052 -15,5627 -15,4779 -15,2293 -14,9065 -14,5702 -14,2353 -13,8873 -13,5047 -13,0675 -12,5688 -12,0246 -11,4710 -10,9499 -10,4960 -10,1281 -9,8520 -9,6664 -9,5647 -9,5341 -9,5564 -9,6092 -9,6779 -9,7742 -9,9283 -10,1581 -10,4530 -10,7851 -11,1221 -11,4333 -11,6944 -11,8877 -11,9970 -12,0176 -11,9699 -11,8897 -11,8049 -11,7279 -11,6551 -11,5658 -11,4344 -11,2556 -11,0558 -10,8819 -10,7806 -10,7706 -10,8263 -10,8955 -10,9328 -10,9120 -10,8240 -10,6774 -10,4964 -10,3063 -10,1118 -9,8872 -9,5952 -9,2125 -8,7435 -8,2249 -7,7187 -7,2900 -6,9823 -6,8019 -6,7250 -6,7267 -6,8064 -6,9810 -7,2619 -7,6480 -8,1308 -8,6893 -9,2890 -9,9048 -10,5409 -11,2158 -11,9353 -12,6801 -13,4101 -14,0813 -14,6684 -15,1691 -15,5888 -15,9289 -16,1869 -16,3598 -16,4454 -16,4476 -16,3801 -16,2700 -16,1563 -16,0701 -15,9972 -15,8631 -15,5754 -15,0840 -14,3995 -13,5768 -12,6969 -11,8410 -11,0563 -10,3360 -9,6333 -8,9071 -8,1645 -7,4472 -6,7850 -6,1834 -5,6449 -5,1857 -4,8323 -4,6033 -4,4996 -4,5184 -4,6757 -5,0027 -5,5085 -6,1486 -6,8281 -7,4324 -7,8718 -8,1127 -8,1751 -8,1155 -8,0124 -7,9413 -7,9431 -8,0178 -8,1443 -8,2976 -8,4556 -8,6078 -8,7600 -8,9233 -9,0977 -9,2571 -9,3577 -9,3742 -9,3305 -9,2919 -9,3353 -9,5245 -9,8930 -10,4367 -11,1198 -11,8982 -12,7422 -13,6364 -14,5641 -15,4973 -16,4037 -17,2578 -18,0445 -18,7503 -19,3543 -19,8264 -20,1339 -20,2521 -20,1686 -19,8737 -19,3566 -18,6141 -17,6677 -16,5837 -15,4734 -14,4505 -13,5751 -12,8386 -12,1924 -11,5861 -10,9921 -10,4127 -9,8774 -9,4283 -9,0967 -8,8888 -8,7949 -8,8088 -8,9282 -9,1464 -9,4575 -9,8668 -10,3880 -11,0284 -11,7654 -12,5300 -13,2297 -13,7918 -14,1780 -14,3746 -14,3933 -14,2703 -14,0491 -13,7703 -13,4728 -13,1879 -12,9249 -12,6645 -12,3620 -11,9661 -11,4471 -10,8121 -10,0945 -9,3394 -8,6063 -7,9722 -7,5167
F3    3,5608 3,2663 2,9661 2,6303 2,2626 1,9079 1,6184 1,4256 1,3493 1,4071 1,5888 1,8271 2,0168 2,0684 1,9461 1,6629 1,2555 0,7667 0,2435 -0,2588 -0,6825 -0,9880 -1,1673 -1,2379 -1,2295 -1,1800 -1,1373 -1,1502 -1,2491 -1,4403 -1,7089 -2,0136 -2,2849 -2,4378 -2,3987 -2,1451 -1,7306 -1,2646 -0,8560 -0,5701 -0,4227 -0,3975 -0,4572 -0,5479 -0,6204 -0,6583 -0,6853 -0,7512 -0,9091 -1,1893 -1,5758 -2,0016 -2,3729 -2,6082 -2,6656 -2,5504 -2,3132 -2,0406 -1,8318 -1,7623 -1,8549 -2,0796 -2,3801 -2,7013 -3,0064 -3,2842 -3,5398 -3,7793 -3,9985 -4,1842 -4,3287 -4,4497 -4,5862 -4,7709 -5,0096 -5,2761 -5,5153 -5,6635 -5,6823 -5,5701 -5,3459 -5,0318 -4,6529 -4,2518 -3,8987 -3,6724 -3,6144 -3,6975 -3,8399 -3,9520 -3,9769 -3,9016 -3,7439 -3,5339 -3,2990 -3,0589 -2,8338 -2,6519 -2,5451 -2,5333 -2,6158 -2,7784 -3,0124 -3,3312 -3,7576 -4,2829 -4,8450 -5,3582 -5,7423 -5,9156 -5,7922 -5,3117 -4,4732 -3,3450 -2,0543 -0,7523 0,4389 1,4581 2,2822 2,8933 3,2846 3,4743 3,4894 3,3530 3,1015 2,7946 2,4946 2,2414 2,0467 1,9023 1,7865 1,6665 1,4996 1,2461 0,8933 0,4678 0,0164 -0,4254 -0,8382 -1,1928 -1,4409 -1,5431 -1,4912 -1,3053 -1,0203 -0,6732 -0,3028 0,0431 0,3175 0,5082 0,6566 0,8318 1,0893 1,4390 1,8344 2,1945 2,4486 2,5654 2,5598 2,4873 2,4202 2,4056 2,4372 2,4655 2,4247 2,2537 1,9139 1,4004 0,7383 -0,0252 -0,8319 -1,6231 -2,3345 -2,8872 -3,2104 -3,2809 -3,1399 -2,8766 -2,5875 -2,3371 -2,1435 -1,9852 -1,8236 -1,6451 -1,4964 -1,4650 -1,6098 -1,9085 -2,2686 -2,5899 -2,8240 -2,9779 -3,0724 -3,1195 -3,1395 -3,1754 -3,2654 -3,4052 -3,5542 -3,6702 -3,7238 -3,6873 -3,5359 -3,2711 -2,9309 -2,5677 -2,2266 -1,9470 -1,7607 -1,6732 -1,6527 -1,6449 -1,5986 -1,4911 -1,3417 -1,2036 -1,1333 -1,1541 -1,2479 -1,3903 -1,5874 -1,8739 -2,2837 -2,8211 -3,4478 -4,0936 -4,6842 -5,1687 -5,5251 -5,7545 -5,8836 -5,9529 -5,9862 -5,9773 -5,9137 -5,8047 -5,6801 -5,5721 -5,5045 -5,5003 -5,5873 -5,7743 -6,0130 -6,2115 -6,2997 -6,2645 -6,1249 -5,8994 -5,5976 -5,2185 -4,7528 -4,1957 -3,5639 -2,9049 -2,2845 -1,7638 -1,3844 -1,1564 -1,0512 -1,0220 -1,0368 -1,0842 -1,1516 -1,2145 -1,2471 -1,2457 -1,2490 -1,3334 -1,5750 -2,0060 -2,5934 -3,2507 -3,8769 -4,3986 -4,7856 -5,0417 -5,1942 -5,2832 -5,3487 -5,4270 -5,5566 -5,7661 -6,0389 -6,2917 -6,4014 -6,2765 -5,9138 -5,4019 -4,8930 -4,5606 -4,5229 -4,7718 -5,1895 -5,6395 -6,0353 -6,3370 -6,5188 -6,5541 -6,4239 -6,1350 -5,7157 -5,1990 -4,6277 -4,0682 -3,5955 -3,2550 -3,0413 -2,9133 -2,8339 -2,7906 -2,7816 -2,7984 -2,8257 -2,8519 -2,8759 -2,9051 -2,9495 -3,0142 -3,0911 -3,1550 -3,1725 -3,1294 -3,0532 -3,0011 -3,0303 -3,1862 -3,5043 -3,9991 -4,6479 -5,3887 -6,1353 -6,7975 -7,3124 -7,6740 -7,9264 -8,1247 -8,2987 -8,4481 -8,5645 -8,6541 -8,7295 -8,7809 -8,7679 -8,6531 -8,4398 -8,1656 -7,8712 -7,5836 -7,3174 -7,0950 -6,9626 -6,9673 -7,1131 -7,3517 -7,6161 -7,8526 -8,0185 -8,0696 -7,9725 -7,7320 -7,3988 -7,0479 -6,7482 -6,5502 -6,4897 -6,5867 -6,8375 -7,2095 -7,6445 -8,0769 -8,4593 -8,7663 -8,9770 -9,0711 -9,0504 -8,9508 -8,8286 -8,7334 -8,6880 -8,6825 -8,6861 -8,6647 -8,5993 -8,5072 -8,4473 -8,5030 -8,7538 -9,2412 -9,9402 -10,7641 -11,6033 -12,3616 -12,9620 -13,3460 -13,4909 -13,4269 -13,2253 -12,9612 -12,6773 -12,3792 -12,0556 -11,6924 -11,2726 -10,7882 -10,2605 -9,7388 -9,2726 -8,8854 -8,5748 -8,3364 -8,1819 -8,1307 -8,1911 -8,3493 -8,5704 -8,8159 -9,0671 -9,3243 -9,5871 -9,8454 -10,0859 -10,3003 -10,4858 -10,6450 -10,7791 -10,8769 -10,9197 -10,9001 -10,8265 -10,7083 -10,5516 -10,3625 -10,1462 -9,9089 -9,6674 -9,4506 -9,2911 -9,2193 -9,2469 -9,3432 -9,4421 -9,4774 -9,4070 -9,2204 -8,9375 -8,6009 -8,2572 -7,9270 -7,5918 -7,2135 -6,7670 -6,2592 -5,7329 -5,2551 -4,8957 -4,7013 -4,6733 -4,7749 -4,9663 -5,2323 -5,5712 -5,9737 -6,4308 -6,9482 -7,5306 -8,1602 -8,8069 -9,4541 -10,1021 -10,7536 -11,3972 -11,9968 -12,5066 -12,9054 -13,2084 -13,4463 -13,6384 -13,7835 -13,8705 -13,8930 -13,8537 -13,7646 -13,6511 -13,5511 -13,4918 -13,4492 -13,3371 -13,0547 -12,5490 -11,8344 -10,9741 -10,0568 -9,1688 -8,3646 -7,6493 -6,9876 -6,3425 -5,7140 -5,1279 -4,5971 -4,1123 -3,6643 -3,2605 -2,9220 -2,6618 -2,4720 -2,3420 -2,2896 -2,3622 -2,6013 -3,0087 -3,5385 -4,1100 -4,6372 -5,0632 -5,3698 -5,5717 -5,7085 -5,8273 -5,9527 -6,0775 -6,1831 -6,2575 -6,2983 -6,3165 -6,3393 -6,3999 -6,5164 -6,6695 -6,8035 -6,8663 -6,8531 -6,8154 -6,8321 -6,9749 -7,2839 -7,7566 -8,3557 -9,0339 -9,7576 -10,5069 -11,2623 -12,0042 -12,7201 -13,4056 -14,0556 -14,6553 -15,1766 -15,5811 -15,8322 -15,9085 -15,8064 -15,5268 -15,0677 -14,4324 -13,6402 -12,7353 -11,7893 -10,8806 -10,0643 -9,3576 -8,7496 -8,2177 -7,7396 -7,3023 -6,9093 -6,5804 -6,3357 -6,1852 -6,1332 -6,1893 -6,3608 -6,6404 -7,0158 -7,4895 -8,0826 -8,8096 -9,6400 -10,4824 -11,2195 -11,7648 -12,0830 -12,1830 -12,1130 -11,9435 -11,7337 -11,5193 -11,3249 -11,1670 -11,0428 -10,9220 -10,7518 -10,4769 -10,0668 -9,5287 -8,8958 -8,2107 -7,5291 -6,9258 -6,4785
