Fp1   -1,1580 -2,1357 -2,8150 -3,0820 -2,9525 -2,5166 -1,8889 -1,1983 -0,5801 -0,1511 0,0139 -0,0942 -0,4024 -0,7796 -1,0885 -1,2324 -1,1811 -0,9586 -0,6200 -0,2345 0,1514 0,5425 0,9720 1,4389 1,8765 2,2133 2,4627 2,7008 2,9464 3,1140 3,0858 2,7885 2,2189 1,4477 0,6157 -0,0841 -0,4476 -0,3421 0,1969 0,9448 1,5861 1,8518 1,6121 0,9187 -0,0249 -0,9716 -1,7386 -2,2379 -2,4398 -2,3432 -1,9892 -1,4660 -0,8742 -0,2935 0,2200 0,6248 0,8897 0,9835 0,8652 0,5004 -0,1026 -0,8828 -1,7525 -2,6115 -3,3496 -3,8791 -4,1731 -4,2621 -4,2210 -4,1429 -4,0602 -3,8990 -3,5562 -3,0122 -2,3477 -1,6639 -1,0116 -0,4005 0,1541 0,6230 0,9782 1,1775 1,1283 0,7033 -0,1794 -1,4912 -3,0880 -4,7339 -6,1577 -7,1623 -7,7209 -7,9643 -8,0494 -8,0259 -7,8154 -7,2861 -6,3471 -5,0297 -3,5124 -2,0507 -0,8860 -0,2107 -0,1343 -0,6081 -1,4004 -2,1794 -2,6383 -2,6026 -2,0841 -1,2531 -0,3347 0,5152 1,2699 1,9870 2,7173 3,4521 4,1262 4,6483 4,9444 4,9989 4,8621 4,6167 4,3413 4,1097 3,9848 3,9794 4,0439 4,1084 4,1106 3,9875 3,6939 3,2553 2,7794 2,3931 2,1653 2,0972 2,1682 2,3562 2,6238 2,9130 3,1456 3,2324 3,1094 2,7705 2,2716 1,6999 1,1040 0,4424 -0,3705 -1,3347 -2,2746 -2,8935 -2,9355 -2,3213 -1,1847 0,1645 1,3437 2,0526 2,1918 1,8756 1,3722 1,0197 1,0894 1,6262 2,4120 3,1095 3,4601 3,3995 3,0502 2,6116 2,2181 1,8966 1,6618 1,5992 1,8213 2,3822 3,2823 4,5298 6,1155 7,8869 9,4874 10,4791 10,5512 9,6551 8,0156 6,0254 4,0670 2,3797 1,0499 0,0756 -0,5865 -1,0069 -1,2673 -1,4294 -1,5048 -1,4430 -1,1459 -0,5272 0,4140 1,5624 2,6967 3,5313 3,8313 3,5598 2,9111 2,1738 1,5632 1,1704 1,0069 1,0302 1,1256 1,1280 0,9156 0,4764 -0,1146 -0,7619 -1,3808 -1,8967 -2,2737 -2,5597 -2,8631 -3,2568 -3,7207 -4,1849 -4,5980 -4,9468 -5,2304 -5,4001 -5,3133 -4,7789 -3,6796 -2,0677 -0,1875 1,5741 2,8103 3,2596 2,9164 2,0136 0,9007 -0,1019 -0,8025 -1,1635 -1,2585 -1,1771 -0,9378 -0,4947 0,1606 0,9160 1,5577 1,8642 1,7433 1,3374 0,9549 0,8469 1,0615 1,4851 1,9539 2,3217 2,4925 2,4463 2,2368 1,9443 1,6238 1,3060 1,0320 0,8577 0,8424 1,0547 1,5465 2,2789 3,0896 3,7718 4,1884 4,3072 4,1651 3,8335 3,4063 2,9890 2,6718 2,4935 2,4154 2,3385 2,1698 1,8900 1,5438 1,1781 0,8165 0,4813 0,2071 0,0438 0,0500 0,2444 0,5449 0,7992 0,8945 0,8205 0,6351 0,3983 0,1381 -0,1318 -0,3741 -0,5090 -0,4091 0,0876 1,0980 2,5743 4,2560 5,7683 6,7911 7,1740 6,9540 6,3079 5,4520 4,5351 3,6325 2,8282 2,2391 1,9419 1,9146 2,0559 2,2499 2,4110 2,4840 2,4371 2,2848 2,1152 2,0805 2,3266 2,9050 3,7487 4,7161 5,6367 6,3530 6,7776 6,9226 6,8614 6,6664 6,3827 6,0329 5,6138 5,0958 4,4697 3,8057 3,2350 2,8632 2,7150 2,7611 2,9756 3,3428 3,8177 4,3212 4,8039 5,3115 5,9656 6,8568 7,9428 9,0235 9,8072 10,0362 9,6223 8,7299 7,7268 6,9958 6,7367 6,8925 7,2194 7,4364 7,3636 6,9929 6,4630 5,9488 5,5452 5,2379 4,9545 4,6241 4,2264 3,8232 3,5342 3,4451 3,5283 3,6655 3,7422 3,6894 3,4525 2,9996 2,3948 1,8193 1,4710 1,4259 1,6026 1,8615 2,1309 2,4505 2,9119 3,5445 4,2372 4,7797 4,9992 4,8545 4,4047 3,7342 2,9179 2,0187 1,1112 0,3177 -0,1923 -0,2696 0,1128 0,8110 1,5691 2,1445 2,3991 2,3013 1,8824 1,2175 0,4259 -0,3478 -0,9633 -1,3051 -1,3029 -0,9548 -0,3367 0,4092 1,1028 1,5670 1,6758 1,4036 0,8307 0,0940 -0,6617 -1,3030 -1,7041 -1,7414 -1,3245 -0,4675 0,6643 1,7962 2,6606 3,1076 3,1430 2,8733 2,4012 1,7641 0,9592 -0,0118 -1,1072 -2,1863 -3,0011 -3,3104 -3,0279 -2,2807 -1,3523 -0,5431 -0,0391 0,1300 0,0573 -0,0978 -0,1792 -0,1258 -0,0223 -0,0282 -0,2464 -0,6526 -1,1287 -1,5586 -1,9084 -2,2269 -2,5797 -2,9934 -3,4516 -3,9169 -4,3570 -4,7647 -5,1454 -5,4836 -5,7332 -5,8312 -5,7198 -5,3812 -4,8797 -4,3872 -4,1417 -4,3063 -4,8189 -5,3906 -5,6860 -5,5314 -4,9709 -4,1729 -3,3318 -2,6264 -2,1920 -2,0915 -2,2972 -2,6865 -3,0694 -3,2461 -3,0825 -2,5875 -1,9288 -1,3399 -0,9962 -0,9518 -1,1457 -1,4605 -1,7944 -2,0979 -2,3647 -2,5860 -2,7030 -2,6139 -2,2552 -1,7006 -1,1481 -0,7725 -0,6182 -0,6464 -0,8288 -1,1686 -1,6580 -2,2312 -2,7603 -3,1059 -3,1787 -2,9713 -2,5532 -2,0350 -1,5280 -1,1358 -0,9601 -1,0664 -1,4203 -1,8851 -2,3168 -2,6530 -2,8957 -3,0408 -3,0556 -2,9080 -2,6008 -2,1771 -1,6809 -1,1081 -0,4291 0,3392 1,1144 1,8064 2,3781 2,8471 3,2162 3,4063 3,2985 2,8578 2,1780 1,3957 0,5949 -0,2069 -1,0136 -1,7920 -2,4347 -2,7853 -2,7304 -2,2745 -1,5211 -0,6011 0,3467 1,1445 1,6066 1,6523 1,3728 0,9727 0,6307 0,3745 0,0729 -0,4220 -1,1162 -1,8607 -2,4628 -2,7951 -2,8409 -2,6786 -2,4278 -2,1961 -2,0687 -2,1151 -2,3709 -2,8238 -3,4292 -4,1238 -4,8335 -5,4919 -6,0519 -6,4767 -6,7415 -6,8453 -6,8151 -6,7067 -6,5822 -6,4702 -6,3555
Fz    -1,4116 -1,9313 -2,3257 -2,5048 -2,4472 -2,1910 -1,8002 -1,3453 -0,9025 -0,5576 -0,3935 -0,4455 -0,6627 -0,9287 -1,1177 -1,1383 -0,9551 -0,5902 -0,1078 0,4106 0,8925 1,2920 1,5914 1,7852 1,8615 1,8092 1,6517 1,4540 1,2825 1,1696 1,1120 1,0831 1,0493 0,9965 0,9536 0,9876 1,1649 1,4970 1,9043 2,2325 2,3182 2,0599 1,4525 0,5881 -0,3750 -1,2672 -1,9577 -2,3751 -2,5021 -2,3660 -2,0398 -1,6248 -1,2091 -0,8415 -0,5423 -0,3212 -0,1898 -0,1684 -0,2905 -0,5884 -1,0615 -1,6584 -2,2909 -2,8555 -3,2563 -3,4378 -3,4077 -3,2250 -2,9816 -2,7717 -2,6239 -2,4617 -2,1687 -1,7004 -1,1256 -0,5708 -0,1371 0,1319 0,2273 0,1577 -0,0381 -0,2927 -0,5585 -0,8462 -1,2077 -1,6943 -2,3240 -3,0565 -3,7980 -4,4541 -4,9915 -5,4369 -5,8119 -6,0779 -6,1498 -5,9548 -5,4764 -4,7705 -3,9612 -3,2027 -2,6200 -2,2833 -2,2110 -2,3621 -2,6298 -2,8701 -2,9516 -2,8014 -2,4270 -1,9040 -1,3305 -0,7730 -0,2477 0,2587 0,7689 1,3043 1,8605 2,3876 2,8081 3,0592 3,1206 3,0168 2,8032 2,5557 2,3529 2,2489 2,2661 2,4064 2,6417 2,8960 3,0743 3,1266 3,0767 2,9898 2,9229 2,9058 2,9427 3,0109 3,0711 3,0926 3,0620 2,9739 2,8247 2,6097 2,3259 1,9812 1,5871 1,1367 0,6138 0,0519 -0,4247 -0,6421 -0,4748 0,0807 0,8944 1,7406 2,3776 2,6507 2,5552 2,2182 1,8403 1,6417 1,7912 2,3142 3,0559 3,7607 4,2149 4,3496 4,2385 4,0107 3,7586 3,5174 3,3135 3,2031 3,2518 3,4973 3,9536 4,6421 5,5784 6,6934 7,7767 8,5340 8,7283 8,2958 7,3697 6,2008 5,0262 3,9825 3,1067 2,3821 1,7753 1,2552 0,7993 0,3964 0,0529 -0,1926 -0,2687 -0,1074 0,3038 0,8971 1,5400 2,0731 2,3675 2,3866 2,1995 1,9222 1,6407 1,3931 1,1963 1,0508 0,9151 0,7081 0,3594 -0,1432 -0,7560 -1,4109 -2,0291 -2,5231 -2,8292 -2,9527 -2,9692 -2,9754 -3,0406 -3,1938 -3,4298 -3,7160 -4,0042 -4,2292 -4,2933 -4,0888 -3,5681 -2,7986 -1,9589 -1,2827 -0,9699 -1,1006 -1,6074 -2,3233 -3,0575 -3,6531 -4,0214 -4,1533 -4,0889 -3,8666 -3,5000 -3,0006 -2,4178 -1,8486 -1,4044 -1,1661 -1,1355 -1,2028 -1,1963 -0,9997 -0,6185 -0,1474 0,2949 0,6075 0,7321 0,6698 0,4782 0,2403 0,0240 -0,1349 -0,2177 -0,2101 -0,0964 0,1442 0,5211 0,9984 1,4893 1,9014 2,1821 2,3180 2,3110 2,1769 1,9567 1,7035 1,4559 1,2255 1,0036 0,7743 0,5319 0,2884 0,0597 -0,1480 -0,3303 -0,4782 -0,5848 -0,6410 -0,6249 -0,5228 -0,3667 -0,2279 -0,1639 -0,1849 -0,2715 -0,3987 -0,5405 -0,6672 -0,7436 -0,7197 -0,5231 -0,0743 0,6634 1,6333 2,6773 3,5913 4,2104 4,4649 4,3819 4,0524 3,5780 3,0217 2,4158 1,8081 1,2679 0,8487 0,5651 0,3948 0,2984 0,2409 0,1963 0,1411 0,0700 0,0244 0,0937 0,3649 0,8614 1,5287 2,2625 2,9377 3,4388 3,6913 3,6741 3,4125 2,9658 2,4154 1,8455 1,3168 0,8499 0,4395 0,0868 -0,1867 -0,3612 -0,4422 -0,4480 -0,3757 -0,1988 0,0974 0,4946 0,9642 1,5015 2,1276 2,8494 3,6129 4,2957 4,7501 4,8652 4,6169 4,1020 3,5262 3,1194 3,0207 3,2125 3,5470 3,8389 3,9574 3,8774 3,6725 3,4478 3,2665 3,1261 2,9861 2,8048 2,5683 2,3068 2,0823 1,9454 1,8989 1,9079 1,9343 1,9445 1,8909 1,7206 1,4227 1,0583 0,7254 0,4848 0,3315 0,2420 0,2361 0,3807 0,7368 1,2886 1,9076 2,4000 2,6121 2,5044 2,1333 1,5836 0,9247 0,2015 -0,5482 -1,2619 -1,8390 -2,1719 -2,2083 -1,9935 -1,6439 -1,2699 -0,9266 -0,6326 -0,4044 -0,2593 -0,2074 -0,2642 -0,4471 -0,7392 -1,0690 -1,3438 -1,4962 -1,5038 -1,3890 -1,2131 -1,0518 -0,9519 -0,9086 -0,8852 -0,8431 -0,7603 -0,6294 -0,4360 -0,1507 0,2395 0,6923 1,1126 1,3969 1,4826 1,3786 1,1480 0,8497 0,4983 0,0790 -0,4271 -1,0264 -1,6727 -2,2359 -2,5537 -2,5359 -2,2307 -1,7977 -1,4134 -1,1893 -1,1517 -1,2528 -1,3926 -1,4629 -1,4159 -1,3053 -1,2447 -1,3168 -1,5253 -1,8154 -2,1217 -2,4042 -2,6601 -2,9104 -3,1742 -3,4542 -3,7409 -4,0270 -4,3147 -4,6064 -4,8906 -5,1386 -5,3101 -5,3687 -5,3076 -5,1697 -5,0612 -5,1273 -5,4650 -6,0231 -6,5958 -6,9379 -6,9026 -6,4815 -5,7565 -4,8562 -3,9496 -3,2265 -2,8389 -2,8394 -3,1523 -3,6001 -3,9751 -4,1231 -4,0086 -3,7197 -3,3983 -3,1537 -3,0282 -3,0117 -3,0720 -3,1744 -3,2920 -3,4137 -3,5247 -3,5675 -3,4515 -3,1306 -2,6768 -2,2610 -2,0349 -2,0373 -2,2102 -2,4710 -2,7622 -3,0498 -3,2882 -3,4010 -3,3097 -2,9806 -2,4453 -1,7849 -1,0929 -0,4550 0,0355 0,2753 0,2012 -0,1504 -0,6509 -1,1581 -1,5822 -1,8841 -2,0436 -2,0485 -1,9038 -1,6316 -1,2594 -0,8025 -0,2567 0,3786 1,0648 1,7260 2,2903 2,7229 3,0278 3,2200 3,2933 3,2237 3,0110 2,6954 2,3216 1,9014 1,4176 0,8600 0,2595 -0,2995 -0,7080 -0,8926 -0,8559 -0,6559 -0,3583 -0,0319 0,2294 0,3314 0,2462 0,0427 -0,1513 -0,2283 -0,1832 -0,1354 -0,2382 -0,5484 -0,9875 -1,4188 -1,7453 -1,9500 -2,0755 -2,1780 -2,2935 -2,4455 -2,6600 -2,9538 -3,3222 -3,7473 -4,1991 -4,6355 -5,0228 -5,3546 -5,6458 -5,9136 -6,1537 -6,3335 -6,4186 -6,4041 -6,3095 -6,1527
F3    -1,1535 -1,0185 -0,8340 -0,6145 -0,4056 -0,2565 -0,1802 -0,1528 -0,1552 -0,2093 -0,3692 -0,6703 -1,0884 -1,5436 -1,9283 -2,1336 -2,0808 -1,7594 -1,2432 -0,6473 -0,0515 0,5248 1,0760 1,5561 1,8754 1,9520 1,7799 1,4499 1,0915 0,7934 0,5770 0,4260 0,3314 0,3188 0,4404 0,7284 1,1465 1,5888 1,9246 2,0470 1,9064 1,5216 0,9542 0,2817 -0,4037 -1,0040 -1,4445 -1,6839 -1,7087 -1,5514 -1,3112 -1,1108 -1,0159 -1,0198 -1,0911 -1,2026 -1,3251 -1,4399 -1,5701 -1,7699 -2,0734 -2,4551 -2,8256 -3,0545 -3,0309 -2,7350 -2,2581 -1,7593 -1,4054 -1,2994 -1,4036 -1,5406 -1,5121 -1,2311 -0,7623 -0,2622 0,1179 0,2924 0,2463 0,0211 -0,2968 -0,6083 -0,8594 -1,0767 -1,3457 -1,7530 -2,3335 -3,0603 -3,8678 -4,6710 -5,3777 -5,9073 -6,2110 -6,2715 -6,0864 -5,6625 -5,0226 -4,2187 -3,3487 -2,5508 -1,9539 -1,6242 -1,5477 -1,6465 -1,8103 -1,9266 -1,9003 -1,6750 -1,2504 -0,6878 -0,0943 0,4190 0,7797 0,9744 1,0606 1,1554 1,3704 1,7387 2,2176 2,7430 3,2578 3,7012 3,9987 4,0857 3,9521 3,6586 3,3097 3,0101 2,8179 2,7222 2,6720 2,6326 2,6101 2,6305 2,7075 2,8352 2,9937 3,1438 3,2361 3,2404 3,1604 3,0255 2,8668 2,6930 2,4930 2,2668 2,0284 1,7700 1,4611 1,1156 0,8357 0,7570 0,9474 1,3574 1,8431 2,2237 2,3526 2,1867 1,8068 1,3717 1,0562 1,0112 1,3199 1,9403 2,6934 3,3424 3,7294 3,8623 3,8734 3,8914 3,9512 4,0070 4,0191 4,0160 4,0758 4,2653 4,6075 5,1021 5,7465 6,4973 7,2151 7,6928 7,7597 7,3720 6,6362 5,7533 4,9127 4,2052 3,6143 3,0717 2,5207 1,9429 1,3509 0,7758 0,2762 -0,0567 -0,1343 0,0694 0,4853 0,9744 1,3884 1,6166 1,6091 1,3983 1,0987 0,8476 0,7279 0,7492 0,8811 1,0698 1,2277 1,2462 1,0456 0,6089 -0,0281 -0,7949 -1,5852 -2,2634 -2,7134 -2,9033 -2,9014 -2,8256 -2,7846 -2,8492 -3,0394 -3,3292 -3,6713 -4,0043 -4,2384 -4,2722 -4,0488 -3,5999 -3,0437 -2,5444 -2,2449 -2,2053 -2,3935 -2,7356 -3,1672 -3,6290 -4,0423 -4,3142 -4,3521 -4,0772 -3,4617 -2,5818 -1,6259 -0,8213 -0,3302 -0,1909 -0,3163 -0,5323 -0,6568 -0,5911 -0,3559 -0,0512 0,2137 0,3668 0,3892 0,3142 0,2032 0,1028 0,0190 -0,0592 -0,1228 -0,1436 -0,0991 0,0193 0,2139 0,4784 0,7847 1,0816 1,3111 1,4201 1,3727 1,1769 0,9006 0,6409 0,4526 0,3068 0,1256 -0,1381 -0,4480 -0,7069 -0,8324 -0,8097 -0,6811 -0,5107 -0,3665 -0,3018 -0,3239 -0,3965 -0,4893 -0,6006 -0,7224 -0,8180 -0,8518 -0,8180 -0,7356 -0,6295 -0,5097 -0,3532 -0,1025 0,3098 0,9218 1,7027 2,5356 3,2505 3,7036 3,8412 3,6970 3,3504 2,8870 2,3764 1,8714 1,4103 1,0075 0,6626 0,3840 0,1901 0,0961 0,1082 0,2186 0,3997 0,6105 0,8255 1,0625 1,3672 1,7655 2,2387 2,7357 3,1960 3,5608 3,7752 3,7953 3,6083 3,2454 2,7800 2,3113 1,9286 1,6591 1,4533 1,2350 0,9574 0,6116 0,2123 -0,1920 -0,5031 -0,5997 -0,4026 0,0721 0,7199 1,4202 2,1078 2,7601 3,3318 3,7379 3,9042 3,8150 3,5131 3,0858 2,6551 2,3489 2,2552 2,3826 2,6509 2,9190 3,0454 2,9580 2,6787 2,2928 1,9072 1,6240 1,5117 1,5692 1,7152 1,8370 1,8689 1,8133 1,7022 1,5727 1,4693 1,4257 1,4325 1,4337 1,3567 1,1585 0,8581 0,5225 0,2201 -0,0044 -0,1169 -0,0785 0,1393 0,5070 0,9064 1,1766 1,2197 1,0533 0,7636 0,4335 0,1152 -0,1784 -0,4805 -0,8452 -1,2842 -1,7212 -2,0318 -2,1437 -2,0843 -1,9240 -1,6997 -1,4102 -1,0588 -0,6802 -0,3511 -0,1877 -0,2934 -0,6772 -1,2347 -1,8108 -2,2651 -2,5013 -2,4910 -2,2912 -2,0099 -1,7322 -1,4787 -1,2284 -0,9630 -0,6956 -0,4605 -0,2749 -0,1212 0,0238 0,1562 0,2322 0,1780 -0,0581 -0,4479 -0,8889 -1,2760 -1,5584 -1,7394 -1,8567 -1,9693 -2,1240 -2,3064 -2,4368 -2,4274 -2,2542 -1,9788 -1,6986 -1,4798 -1,3389 -1,2700 -1,2639 -1,3003 -1,3524 -1,4095 -1,4841 -1,5936 -1,7416 -1,9059 -2,0462 -2,1391 -2,2180 -2,3658 -2,6552 -3,0956 -3,6402 -4,2245 -4,7839 -5,2537 -5,5833 -5,7536 -5,7729 -5,6777 -5,5360 -5,4307 -5,4444 -5,6427 -6,0366 -6,5433 -7,0007 -7,2448 -7,1980 -6,8841 -6,3695 -5,7170 -4,9992 -4,3208 -3,8004 -3,5165 -3,4482 -3,4728 -3,4388 -3,2563 -2,9487 -2,6323 -2,4332 -2,4106 -2,5421 -2,7565 -2,9860 -3,2062 -3,4345 -3,6914 -3,9436 -4,0806 -3,9764 -3,5997 -3,0707 -2,6095 -2,4031 -2,4981 -2,7993 -3,1470 -3,4107 -3,5405 -3,5447 -3,4348 -3,2079 -2,8712 -2,4564 -2,0001 -1,5195 -1,0270 -0,5754 -0,2635 -0,1704 -0,2862 -0,5180 -0,7634 -0,9686 -1,1288 -1,2519 -1,3260 -1,3158 -1,1968 -0,9899 -0,7470 -0,5029 -0,2619 -0,0253 0,1897 0,3634 0,4981 0,6309 0,8202 1,1110 1,5013 1,9309 2,3021 2,5126 2,4783 2,1558 1,5752 0,8566 0,1777 -0,3067 -0,5398 -0,5695 -0,4881 -0,3715 -0,2735 -0,2522 -0,3608 -0,5990 -0,8951 -1,1519 -1,3102 -1,3788 -1,4236 -1,5284 -1,7429 -2,0463 -2,3562 -2,5882 -2,7115 -2,7524 -2,7523 -2,7296 -2,6914 -2,6683 -2,7142 -2,8854 -3,2242 -3,7301 -4,3367 -4,9378 -5,4446 -5,8312 -6,1394 -6,4244 -6,6838 -6,8596 -6,9097 -6,8514 -6,7242
F7    -1,4888 -1,8252 -2,1082 -2,2869 -2,3215 -2,1993 -1,9505 -1,6408 -1,3393 -1,1006 -0,9642 -0,9358 -0,9641 -0,9636 -0,8669 -0,6595 -0,3845 -0,1120 0,1112 0,2927 0,4754 0,6998 0,9797 1,2917 1,5788 1,7786 1,8595 1,8285 1,7125 1,5365 1,3132 1,0464 0,7511 0,4693 0,2607 0,1777 0,2535 0,4978 0,8785 1,3032 1,6326 1,7369 1,5610 1,1436 0,5798 -0,0231 -0,5599 -0,9376 -1,0961 -1,0220 -0,7498 -0,3548 0,0634 0,4042 0,5897 0,5812 0,3880 0,0597 -0,3439 -0,7811 -1,2247 -1,6430 -2,0012 -2,2818 -2,4865 -2,6207 -2,6884 -2,6914 -2,6233 -2,4684 -2,2091 -1,8321 -1,3449 -0,7968 -0,2667 0,1809 0,5217 0,7587 0,8875 0,8780 0,7110 0,4193 0,0693 -0,2771 -0,5790 -0,8256 -1,0404 -1,2600 -1,5039 -1,7721 -2,0710 -2,4120 -2,7653 -3,0389 -3,1285 -2,9798 -2,5968 -2,0188 -1,3183 -0,6016 0,0131 0,4272 0,5881 0,5188 0,3339 0,1993 0,2467 0,5077 0,9108 1,3350 1,6811 1,9187 2,0790 2,2148 2,3725 2,5817 2,8448 3,1312 3,3887 3,5693 3,6553 3,6649 3,6430 3,6510 3,7396 3,9114 4,1141 4,2779 4,3552 4,3272 4,1942 3,9811 3,7447 3,5469 3,4183 3,3564 3,3476 3,3691 3,3854 3,3704 3,3281 3,2688 3,1723 3,0011 2,7469 2,4490 2,1667 1,9356 1,7505 1,5889 1,4481 1,3673 1,4235 1,6914 2,1809 2,8020 3,3970 3,8183 3,9923 3,9425 3,7825 3,6706 3,7272 3,9637 4,2776 4,5166 4,5616 4,3815 4,0392 3,6486 3,3201 3,1390 3,1757 3,4730 4,0147 4,7333 5,5589 6,4443 7,3456 8,1833 8,8221 9,1029 8,9208 8,2926 7,3567 6,3089 5,3187 4,4740 3,7926 3,2660 2,8720 2,5681 2,3082 2,0651 1,8390 1,6614 1,5933 1,7012 2,0146 2,4879 2,9964 3,3796 3,5097 3,3483 2,9536 2,4379 1,9127 1,4555 1,1023 0,8536 0,6780 0,5210 0,3281 0,0698 -0,2505 -0,6034 -0,9375 -1,1956 -1,3460 -1,4037 -1,4271 -1,4967 -1,6803 -2,0023 -2,4307 -2,8801 -3,2387 -3,4162 -3,3696 -3,0928 -2,6114 -1,9945 -1,3618 -0,8630 -0,6301 -0,7190 -1,0728 -1,5368 -1,9310 -2,1253 -2,0666 -1,7847 -1,3805 -0,9710 -0,6215 -0,3227 -0,0225 0,3073 0,6266 0,8543 0,9429 0,9227 0,8772 0,8794 0,9442 1,0313 1,0892 1,0974 1,0799 1,0906 1,1812 1,3704 1,6351 1,9075 2,0901 2,1142 1,9955 1,8284 1,7200 1,7148 1,7799 1,8689 1,9816 2,1455 2,3614 2,5861 2,7442 2,7510 2,5525 2,1625 1,6597 1,1500 0,7329 0,4751 0,3826 0,4044 0,4736 0,5406 0,5768 0,5720 0,5347 0,4849 0,4413 0,4117 0,3812 0,3123 0,1776 0,0074 -0,1092 -0,0844 0,1005 0,4000 0,7741 1,2303 1,7881 2,4222 3,0485 3,5527 3,8411 3,8878 3,7420 3,4850 3,1867 2,8896 2,6157 2,3762 2,1647 1,9505 1,6984 1,4050 1,1192 0,9158 0,8342 0,8468 0,8936 0,9489 1,0517 1,2749 1,6583 2,1601 2,6592 3,0128 3,1393 3,0549 2,8364 2,5657 2,3091 2,1160 2,0077 1,9634 1,9286 1,8469 1,6894 1,4641 1,2040 0,9413 0,6903 0,4627 0,2848 0,1914 0,2176 0,3965 0,7471 1,2555 1,8661 2,4825 2,9871 3,2785 3,3089 3,1098 2,7845 2,4635 2,2563 2,2152 2,3133 2,4523 2,5101 2,4007 2,1174 1,7382 1,3787 1,1147 0,9401 0,7956 0,6381 0,4902 0,4269 0,5022 0,6873 0,8890 1,0109 0,9963 0,8374 0,5659 0,2457 -0,0347 -0,1898 -0,1843 -0,0612 0,0817 0,1533 0,1282 0,0634 0,0536 0,1546 0,3464 0,5629 0,7483 0,8802 0,9450 0,9063 0,7075 0,3124 -0,2517 -0,8893 -1,4679 -1,8660 -2,0220 -1,9552 -1,7331 -1,4180 -1,0501 -0,6739 -0,3550 -0,1575 -0,1141 -0,2290 -0,4880 -0,8454 -1,2276 -1,5672 -1,8256 -1,9821 -2,0230 -1,9519 -1,8022 -1,6230 -1,4483 -1,2889 -1,1489 -1,0292 -0,9118 -0,7632 -0,5579 -0,3014 -0,0368 0,1825 0,3268 0,3880 0,3560 0,2064 -0,0897 -0,5421 -1,1271 -1,8005 -2,5138 -3,1946 -3,7181 -3,9432 -3,8013 -3,3446 -2,7120 -2,0701 -1,5700 -1,2997 -1,2404 -1,2853 -1,3183 -1,2853 -1,2106 -1,1610 -1,1866 -1,2923 -1,4638 -1,7006 -2,0122 -2,3869 -2,7802 -3,1394 -3,4312 -3,6479 -3,8056 -3,9394 -4,0865 -4,2619 -4,4430 -4,5692 -4,5652 -4,3915 -4,0967 -3,8206 -3,7221 -3,8808 -4,2468 -4,6704 -4,9843 -5,0755 -4,8990 -4,4600 -3,8224 -3,1205 -2,5251 -2,1710 -2,0993 -2,2430 -2,4620 -2,6087 -2,5958 -2,4370 -2,2302 -2,0854 -2,0534 -2,1145 -2,2138 -2,2982 -2,3393 -2,3452 -2,3447 -2,3427 -2,2986 -2,1616 -1,9337 -1,7019 -1,5883 -1,6438 -1,7987 -1,9340 -1,9914 -2,0113 -2,0691 -2,1755 -2,2554 -2,2285 -2,0781 -1,8366 -1,5396 -1,2083 -0,8609 -0,5318 -0,2699 -0,1201 -0,1080 -0,2312 -0,4607 -0,7518 -1,0506 -1,3036 -1,4829 -1,5933 -1,6574 -1,6874 -1,6594 -1,5171 -1,2162 -0,7656 -0,2246 0,3290 0,8265 1,2276 1,5299 1,7544 1,9062 1,9576 1,8695 1,6206 1,2207 0,7104 0,1497 -0,3947 -0,8510 -1,1457 -1,2347 -1,1393 -0,9322 -0,6841 -0,4453 -0,2731 -0,2401 -0,3953 -0,7186 -1,1173 -1,4764 -1,7369 -1,9322 -2,1331 -2,3634 -2,5933 -2,7907 -2,9425 -3,0386 -3,0688 -3,0375 -2,9750 -2,9336 -2,9668 -3,1078 -3,3651 -3,7190 -4,1120 -4,4612 -4,7090 -4,8609 -4,9542 -4,9969 -4,9557 -4,7944 -4,5145 -4,1754 -3,8785 -3,7159
