Fp1   3,7556 3,8598 3,8669 3,7383 3,4566 3,0261 2,4483 1,7379 0,9699 0,2881 -0,1609 -0,3176 -0,2283 0,0213 0,3780 0,8325 1,3749 1,9406 2,4048 2,6370 2,5676 2,2127 1,6515 0,9781 0,2591 -0,4672 -1,1603 -1,7631 -2,2024 -2,3799 -2,2046 -1,6824 -0,9588 -0,2530 0,2488 0,4527 0,3626 0,0447 -0,4310 -1,0327 -1,7522 -2,5465 -3,3016 -3,8657 -4,1218 -4,0295 -3,6268 -3,0152 -2,3267 -1,6864 -1,2014 -0,9632 -1,0149 -1,2978 -1,6510 -1,8896 -1,8993 -1,6738 -1,2819 -0,8096 -0,3206 0,1481 0,5668 0,9024 1,1356 1,2797 1,3674 1,4106 1,3836 1,2575 1,0393 0,7564 0,4188 0,0204 -0,4171 -0,8229 -1,1031 -1,1864 -1,0644 -0,8007 -0,4885 -0,1894 0,0963 0,4114 0,7908 1,2195 1,6388 1,9751 2,1555 2,1195 1,8479 1,3905 0,8603 0,3927 0,1057 0,0798 0,3388 0,8280 1,4182 1,9519 2,3208 2,5244 2,6528 2,8131 3,0669 3,4125 3,7970 4,1244 4,2610 4,0739 3,4948 2,5609 1,4135 0,2613 -0,6754 -1,2146 -1,2428 -0,7391 0,2077 1,4133 2,6538 3,7405 4,5683 5,1166 5,4241 5,5653 5,6247 5,6564 5,6651 5,6332 5,5527 5,4301 5,2784 5,1115 4,9331 4,7321 4,5033 4,2579 4,0008 3,7239 3,4322 3,1606 2,9499 2,8125 2,7319 2,6823 2,6311 2,5381 2,3864 2,2163 2,1182 2,1849 2,4621 2,9267 3,5094 4,1375 4,7486 5,2720 5,6151 5,6869 5,4504 4,9599 4,3472 3,7717 3,3657 3,1930 3,2432 3,4574 3,7355 3,9319 3,8900 3,5120 2,8140 1,9346 1,0822 0,4354 0,0568 -0,1231 -0,2441 -0,4215 -0,6877 -0,9981 -1,2740 -1,4502 -1,5070 -1,4773 -1,4234 -1,4000 -1,4376 -1,5542 -1,7802 -2,1718 -2,7736 -3,5468 -4,3397 -4,9496 -5,2228 -5,1168 -4,6891 -4,0443 -3,2917 -2,5385 -1,8951 -1,4546 -1,2518 -1,2454 -1,3375 -1,4135 -1,3885 -1,2341 -0,9757 -0,6714 -0,3840 -0,1607 -0,0324 -0,0180 -0,1164 -0,2974 -0,5066 -0,6800 -0,7615 -0,7283 -0,6189 -0,5246 -0,5324 -0,6631 -0,8501 -0,9653 -0,8790 -0,5269 0,0591 0,7740 1,4899 2,0953 2,5123 2,7130 2,7259 2,6062 2,3993 2,1289 1,8079 1,4562 1,1023 0,7598 0,4141 0,0557 -0,2707 -0,4679 -0,4409 -0,1469 0,3867 1,0599 1,7190 2,2060 2,4165 2,3186 1,9297 1,2965 0,5029 -0,3271 -1,0606 -1,5987 -1,8895 -1,9147 -1,6638 -1,1170 -0,2800 0,7496 1,7839 2,6313 3,1665 3,3381 3,1551 2,6785 2,0045 1,2313 0,4289 -0,3705 -1,1582 -1,9094 -2,5456 -2,9424 -2,9848 -2,6271 -1,9323 -1,0646 -0,2252 0,4151 0,7560 0,7903 0,6005 0,3138 0,0413 -0,1652 -0,3219 -0,4851 -0,7144 -1,0434 -1,4593 -1,9053 -2,3094 -2,6105 -2,7615 -2,7363 -2,5489 -2,2531 -1,8949 -1,4676 -0,9325 -0,2908 0,3709 0,9074 1,1848 1,1378 0,7885 0,2422 -0,3382 -0,7894 -1,0083 -0,9722 -0,7180 -0,3241 0,0902 0,3860 0,4659 0,3211 0,0234 -0,3192 -0,6244 -0,8745 -1,0951 -1,2880 -1,3857 -1,2797 -0,9028 -0,2839 0,4720 1,2401 1,9178 2,4459 2,8067 2,9988 3,0219 2,8766 2,5710 2,1247 1,5621 0,9024 0,1631 -0,6184 -1,3634 -1,9647 -2,3333 -2,4282 -2,2420 -1,7743 -1,0386 -0,0854 0,9932 2,0822 3,0734 3,8850 4,4549 4,7315 4,6836 4,3057 3,6121 2,6491 1,5239 0,4060 -0,5267 -1,1630 -1,4951 -1,5928 -1,5468 -1,4237 -1,2531 -1,0428 -0,7974 -0,5174 -0,2016 0,1254 0,3864 0,4760 0,3290 -0,0316 -0,5017 -0,9369 -1,2099 -1,2785 -1,2137 -1,1393 -1,1304 -1,1582 -1,1147 -0,8912 -0,4491 0,1650 0,8563 1,5221 2,0703 2,4303 2,5716 2,5088 2,2804 1,9223 1,4616 0,9236 0,3434 -0,2282 -0,7404 -1,1509 -1,4040 -1,4254 -1,1739 -0,7007 -0,1485 0,3213 0,6220 0,7691 0,8277 0,8555 0,8804 0,9016 0,9119 0,9250 0,9792 1,1078 1,2926 1,4315 1,3727 1,0115 0,3698 -0,4148 -1,1762 -1,8078 -2,2874 -2,6313 -2,8343 -2,8574 -2,6662 -2,2608 -1,6687 -0,9271 -0,0740 0,8419 1,7330 2,4743 2,9632 3,1715 3,1384 2,9395 2,6626 2,3793 2,1147 1,8486 1,5595 1,2614 0,9890 0,7585 0,5613 0,3856 0,2269 0,0889 0,0009 0,0207 0,1957 0,5174 0,9088 1,2529 1,4432 1,4295 1,2437 0,9888 0,7807 0,6898 0,7281 0,8550 0,9806 0,9977 0,8478 0,5628 0,2371 -0,0264 -0,1450 -0,0647 0,2199 0,6450 1,1086 1,5338 1,8869 2,1380 2,2374 2,1439 1,8751 1,5214 1,1948 0,9604 0,8296 0,8006 0,8760 1,0496 1,2980 1,5838 1,8710 2,1454 2,4226 2,7427 3,1571 3,7058 4,3810 5,1012 5,7298 6,1225 6,1786 5,8871 5,3420 4,7092 4,1641 3,8335 3,7685 3,9500 4,3121 4,7746 5,2643 5,7186 6,0785 6,2812 6,2598 5,9477 5,3012 4,3352 3,1340 1,8262 0,5467 -0,5913 -1,5028 -2,1294 -2,4519 -2,4923 -2,2895 -1,8937 -1,3887 -0,8980 -0,5503 -0,4242 -0,5121 -0,7224 -0,9208 -0,9981 -0,9270 -0,7670 -0,6141 -0,5319 -0,5125 -0,4905 -0,3890 -0,1687 0,1505 0,5010 0,7892 0,9157 0,8033 0,4246 -0,1916 -0,9673 -1,7736 -2,4397 -2,8084 -2,8063 -2,4550 -1,8180 -0,9545 0,0730 1,1542 2,1191 2,7979 3,1001 3,0319 2,6557 2,0453 1,2749 0,4340 -0,3726 -1,0499 -1,5301 -1,7671 -1,7340 -1,4345 -0,9097 -0,2270 0,5332 1,2886 1,9647 2,4967 2,8317 2,9363 2,7974 2,4226 1,8573
Fz    1,6017 1,9043 2,2308 2,5535 2,8559 3,1372 3,4029 3,6557 3,8869 4,0677 4,1570 4,1283 3,9927 3,7958 3,5903 3,4054 3,2395 3,0728 2,8823 2,6501 2,3702 2,0554 1,7384 1,4588 1,2405 1,0782 0,9425 0,7904 0,5839 0,3139 0,0007 -0,3323 -0,6777 -1,0342 -1,3992 -1,7798 -2,1988 -2,6808 -3,2360 -3,8514 -4,4932 -5,1147 -5,6637 -6,0919 -6,3680 -6,4912 -6,4925 -6,4182 -6,3034 -6,1567 -5,9680 -5,7251 -5,4205 -5,0514 -4,6266 -4,1746 -3,7368 -3,3451 -3,0108 -2,7320 -2,5053 -2,3291 -2,2006 -2,1128 -2,0553 -2,0171 -1,9846 -1,9393 -1,8640 -1,7541 -1,6259 -1,5122 -1,4438 -1,4307 -1,4643 -1,5311 -1,6181 -1,7114 -1,7994 -1,8770 -1,9396 -1,9776 -1,9753 -1,9125 -1,7702 -1,5414 -1,2401 -0,9002 -0,5599 -0,2385 0,0718 0,3913 0,7241 1,0423 1,2995 1,4548 1,4897 1,4124 1,2488 1,0259 0,7655 0,4885 0,2185 -0,0218 -0,2134 -0,3433 -0,4094 -0,4227 -0,3989 -0,3471 -0,2706 -0,1724 -0,0559 0,0648 0,1518 0,1564 0,0539 -0,1414 -0,3937 -0,6632 -0,9097 -1,0976 -1,2118 -1,2650 -1,2877 -1,3121 -1,3631 -1,4543 -1,5828 -1,7223 -1,8249 -1,8376 -1,7352 -1,5381 -1,2989 -1,0747 -0,9129 -0,8517 -0,9157 -1,1007 -1,3648 -1,6426 -1,8736 -2,0242 -2,0919 -2,0987 -2,0790 -2,0644 -2,0691 -2,0850 -2,0895 -2,0547 -1,9515 -1,7512 -1,4275 -0,9592 -0,3430 0,3894 1,1736 1,9398 2,6417 3,2654 3,8143 4,2869 4,6616 4,8986 4,9652 4,8646 4,6315 4,3040 3,9071 3,4612 2,9928 2,5293 2,0798 1,6295 1,1563 0,6516 0,1278 -0,3854 -0,8524 -1,2479 -1,5678 -1,8306 -2,0682 -2,3114 -2,5751 -2,8586 -3,1518 -3,4367 -3,6838 -3,8580 -3,9349 -3,9115 -3,8069 -3,6518 -3,4788 -3,3168 -3,1844 -3,0814 -2,9957 -2,9254 -2,8872 -2,8957 -2,9459 -3,0179 -3,0872 -3,1261 -3,1035 -2,9956 -2,8016 -2,5466 -2,2695 -2,0085 -1,7928 -1,6394 -1,5553 -1,5396 -1,5861 -1,6822 -1,8010 -1,8978 -1,9240 -1,8497 -1,6790 -1,4466 -1,1976 -0,9695 -0,7835 -0,6426 -0,5406 -0,4776 -0,4641 -0,5073 -0,5926 -0,6797 -0,7267 -0,7237 -0,7052 -0,7333 -0,8644 -1,1162 -1,4544 -1,8142 -2,1488 -2,4569 -2,7603 -3,0650 -3,3524 -3,5968 -3,7805 -3,8941 -3,9310 -3,8766 -3,7042 -3,3915 -2,9490 -2,4335 -1,9322 -1,5224 -1,2300 -1,0265 -0,8650 -0,7207 -0,5963 -0,5019 -0,4450 -0,4303 -0,4547 -0,5059 -0,5742 -0,6632 -0,7881 -0,9615 -1,1778 -1,4097 -1,6221 -1,7881 -1,8997 -1,9660 -2,0005 -2,0116 -2,0081 -2,0063 -2,0220 -2,0522 -2,0703 -2,0442 -1,9522 -1,7825 -1,5265 -1,1838 -0,7771 -0,3616 -0,0096 0,2164 0,2805 0,1804 -0,0540 -0,3780 -0,7522 -1,1466 -1,5318 -1,8778 -2,1585 -2,3551 -2,4596 -2,4822 -2,4487 -2,3844 -2,3022 -2,2103 -2,1167 -2,0220 -1,9186 -1,7971 -1,6470 -1,4511 -1,1923 -0,8712 -0,5123 -0,1495 0,1941 0,5122 0,8067 1,0695 1,2700 1,3662 1,3257 1,1404 0,8307 0,4423 0,0370 -0,3255 -0,6103 -0,8152 -0,9615 -1,0789 -1,1870 -1,2786 -1,3181 -1,2600 -1,0738 -0,7634 -0,3745 0,0151 0,3280 0,5250 0,6194 0,6559 0,6760 0,6991 0,7232 0,7356 0,7257 0,6933 0,6420 0,5689 0,4697 0,3530 0,2408 0,1520 0,0849 0,0156 -0,0882 -0,2510 -0,4839 -0,7887 -1,1630 -1,5963 -2,0640 -2,5284 -2,9515 -3,3125 -3,6165 -3,8823 -4,1171 -4,3070 -4,4325 -4,4840 -4,4604 -4,3689 -4,2279 -4,0610 -3,8843 -3,7056 -3,5300 -3,3632 -3,2102 -3,0756 -2,9607 -2,8586 -2,7572 -2,6536 -2,5587 -2,4850 -2,4311 -2,3811 -2,3147 -2,2253 -2,1263 -2,0349 -1,9502 -1,8549 -1,7339 -1,5824 -1,3965 -1,1666 -0,8855 -0,5641 -0,2389 0,0425 0,2443 0,3522 0,3745 0,3391 0,2810 0,2233 0,1738 0,1388 0,1349 0,1770 0,2542 0,3223 0,3279 0,2414 0,0697 -0,1518 -0,3749 -0,5537 -0,6585 -0,6862 -0,6597 -0,6142 -0,5793 -0,5697 -0,5918 -0,6511 -0,7486 -0,8733 -1,0045 -1,1220 -1,2154 -1,2852 -1,3337 -1,3506 -1,3104 -1,1882 -0,9781 -0,6958 -0,3668 -0,0134 0,3474 0,6949 0,9926 1,1825 1,2031 1,0225 0,6621 0,1918 -0,3007 -0,7504 -1,1357 -1,4666 -1,7608 -2,0294 -2,2719 -2,4774 -2,6337 -2,7410 -2,8134 -2,8663 -2,9048 -2,9260 -2,9290 -2,9189 -2,8994 -2,8663 -2,8096 -2,7234 -2,6144 -2,5050 -2,4271 -2,4048 -2,4330 -2,4710 -2,4601 -2,3517 -2,1229 -1,7759 -1,3378 -0,8677 -0,4513 -0,1694 -0,0599 -0,1057 -0,2535 -0,4380 -0,5944 -0,6667 -0,6173 -0,4354 -0,1367 0,2423 0,6561 1,0721 1,4862 1,9198 2,3959 2,9138 3,4481 3,9677 4,4541 4,9068 5,3320 5,7272 6,0770 6,3673 6,5969 6,7676 6,8693 6,8783 6,7656 6,5118 6,1191 5,6159 5,0480 4,4594 3,8811 3,3293 2,8073 2,3028 1,7846 1,2075 0,5317 -0,2576 -1,1473 -2,1096 -3,1143 -4,1198 -5,0552 -5,8260 -6,3495 -6,5874 -6,5532 -6,3002 -5,9072 -5,4614 -5,0374 -4,6879 -4,4511 -4,3563 -4,4087 -4,5706 -4,7733 -4,9503 -5,0577 -5,0745 -4,9956 -4,8276 -4,5852 -4,2862 -3,9499 -3,6000 -3,2616 -2,9574 -2,7069 -2,5256 -2,4275 -2,4294 -2,5426 -2,7524 -3,0101 -3,2493 -3,4145 -3,4789 -3,4455 -3,3334 -3,1587 -2,9241 -2,6243 -2,2551 -1,8207 -1,3377 -0,8382 -0,3693 0,0221 0,3082 0,4838 0,5574 0,5511 0,5089 0,4908 0,5503 0,7146 0,9859 1,3468 1,7630 2,1898 2,5877
F3    0,6281 1,1355 1,7846 2,5001 3,2231 3,9301 4,6353 5,3582 6,0609 6,6159 6,8639 6,7173 6,2039 5,4299 4,5145 3,5412 2,5532 1,5845 0,6865 -0,0773 -0,6522 -1,0022 -1,1062 -0,9678 -0,6403 -0,2368 0,0989 0,2481 0,1600 -0,1537 -0,6518 -1,2763 -1,9435 -2,5487 -3,0084 -3,3125 -3,5229 -3,7183 -3,9454 -4,2022 -4,4427 -4,6137 -4,6946 -4,6874 -4,5872 -4,3863 -4,0954 -3,7402 -3,3433 -2,9163 -2,4559 -1,9459 -1,3782 -0,7868 -0,2587 0,0955 0,2008 0,0637 -0,2290 -0,5557 -0,8275 -1,0272 -1,1786 -1,2841 -1,3137 -1,2464 -1,0832 -0,8175 -0,4263 0,0826 0,6331 1,1122 1,4408 1,6125 1,6694 1,6460 1,5382 1,3134 0,9491 0,4709 -0,0513 -0,5474 -0,9849 -1,3636 -1,6864 -1,9385 -2,0917 -2,1205 -2,0051 -1,7244 -1,2698 -0,6829 -0,0696 0,4382 0,7442 0,8171 0,6821 0,4060 0,0789 -0,2315 -0,5231 -0,8557 -1,3029 -1,8915 -2,5610 -3,1848 -3,6500 -3,9000 -3,9006 -3,6060 -2,9805 -2,0384 -0,8642 0,3857 1,5005 2,2687 2,5514 2,3325 1,7232 0,9226 0,1454 -0,4559 -0,8355 -1,0388 -1,1485 -1,2476 -1,3984 -1,6073 -1,8092 -1,9052 -1,8106 -1,4832 -0,9526 -0,3208 0,2955 0,8230 1,2297 1,4955 1,6074 1,5706 1,4159 1,1966 0,9694 0,7658 0,5778 0,3715 0,1240 -0,1449 -0,3776 -0,5192 -0,5521 -0,4906 -0,3485 -0,1243 0,1872 0,5799 1,0314 1,5132 2,0180 2,5744 3,2247 3,9800 4,7950 5,5634 6,1301 6,3423 6,1257 5,5204 4,6459 3,6424 2,6362 1,7306 0,9960 0,4409 -0,0093 -0,4747 -1,0357 -1,6796 -2,3221 -2,8631 -3,2270 -3,3830 -3,3605 -3,2483 -3,1647 -3,2109 -3,4380 -3,8354 -4,3350 -4,8287 -5,1964 -5,3404 -5,2199 -4,8718 -4,3914 -3,8840 -3,4272 -3,0652 -2,8253 -2,7266 -2,7705 -2,9334 -3,1710 -3,4287 -3,6623 -3,8474 -3,9692 -4,0120 -3,9598 -3,8016 -3,5428 -3,2144 -2,8670 -2,5477 -2,2625 -1,9633 -1,5827 -1,0972 -0,5651 -0,1013 0,1992 0,3232 0,3339 0,3139 0,3179 0,3651 0,4488 0,5302 0,5421 0,4257 0,1641 -0,2237 -0,7002 -1,1985 -1,6098 -1,8219 -1,7952 -1,5968 -1,3554 -1,1829 -1,1254 -1,1614 -1,2270 -1,2483 -1,1835 -1,0617 -0,9819 -1,0546 -1,3292 -1,7685 -2,2711 -2,7039 -2,9367 -2,8739 -2,4707 -1,7369 -0,7344 0,4187 1,5509 2,4854 3,1180 3,4477 3,5296 3,4056 3,0685 2,4834 1,6512 0,6601 -0,3350 -1,1846 -1,7968 -2,1408 -2,2321 -2,1179 -1,8647 -1,5404 -1,1957 -0,8540 -0,5220 -0,2110 0,0445 0,1793 0,1097 -0,2216 -0,7889 -1,4733 -2,1187 -2,5941 -2,8230 -2,7923 -2,5420 -2,1334 -1,6202 -1,0494 -0,4721 0,0623 0,5208 0,8943 1,1916 1,4157 1,5444 1,5410 1,3772 1,0485 0,5823 0,0361 -0,5322 -1,1033 -1,6912 -2,2868 -2,8150 -3,1623 -3,2344 -2,9811 -2,3950 -1,5248 -0,4869 0,5712 1,5258 2,2998 2,8604 3,2282 3,4835 3,7348 4,0539 4,4248 4,7445 4,8794 4,7375 4,3196 3,7072 2,9951 2,2337 1,4309 0,5967 -0,2198 -0,9369 -1,4806 -1,8109 -1,9152 -1,7805 -1,3865 -0,7420 0,0718 0,9091 1,6294 2,1705 2,5584 2,8578 3,1159 3,3382 3,4945 3,5372 3,4247 3,1410 2,7001 2,1383 1,4971 0,8135 0,1289 -0,5088 -1,0639 -1,5129 -1,8286 -1,9792 -1,9394 -1,7054 -1,3202 -0,8827 -0,5209 -0,3492 -0,4369 -0,7840 -1,3096 -1,8728 -2,3222 -2,5453 -2,4964 -2,2013 -1,7394 -1,2198 -0,7683 -0,5024 -0,4855 -0,7002 -1,0600 -1,4449 -1,7508 -1,9310 -1,9919 -1,9467 -1,7773 -1,4523 -0,9862 -0,4745 -0,0622 0,1415 0,1266 -0,0280 -0,2186 -0,3694 -0,4474 -0,4597 -0,4430 -0,4359 -0,4414 -0,4091 -0,2531 0,1027 0,6761 1,4075 2,1812 2,8620 3,3314 3,5251 3,4629 3,2445 2,9900 2,7713 2,5988 2,4537 2,3071 2,1183 1,8425 1,4419 0,8850 0,1542 -0,7241 -1,6486 -2,4431 -2,9097 -2,9144 -2,4488 -1,6278 -0,6280 0,3851 1,2851 1,9674 2,3329 2,3134 1,9182 1,2450 0,4278 -0,4259 -1,2526 -1,9968 -2,5715 -2,8776 -2,8738 -2,6119 -2,1954 -1,7150 -1,2198 -0,7329 -0,2736 0,1356 0,4792 0,7558 0,9702 1,1270 1,2351 1,3016 1,3269 1,3071 1,2217 1,0261 0,6797 0,1800 -0,4262 -1,0558 -1,6152 -2,0354 -2,3095 -2,4987 -2,6894 -2,9341 -3,2205 -3,4875 -3,6622 -3,6881 -3,5440 -3,2563 -2,8843 -2,4876 -2,1056 -1,7653 -1,4902 -1,2836 -1,1096 -0,9168 -0,6813 -0,4188 -0,1570 0,0919 0,3269 0,5343 0,6880 0,7750 0,8027 0,7871 0,7480 0,7082 0,6857 0,6854 0,7015 0,7339 0,8093 0,9831 1,3082 1,7905 2,3852 3,0284 3,6709 4,2976 4,9165 5,5193 6,0580 6,4686 6,7103 6,7733 6,6595 6,3704 5,9139 5,3157 4,6175 3,8664 3,1073 2,3866 1,7657 1,3210 1,1126 1,1401 1,3229 1,5294 1,6351 1,5559 1,2384 0,6429 -0,2464 -1,3875 -2,6540 -3,8581 -4,8180 -5,4188 -5,6315 -5,4917 -5,0678 -4,4387 -3,6880 -2,9131 -2,2349 -1,7803 -1,6336 -1,8025 -2,2277 -2,8209 -3,4813 -4,0858 -4,4935 -4,5856 -4,3025 -3,6512 -2,7040 -1,5898 -0,4622 0,5382 1,3028 1,7608 1,8777 1,6519 1,1137 0,3241 -0,6271 -1,6341 -2,5930 -3,4112 -4,0255 -4,4147 -4,5754 -4,4850 -4,1056 -3,4260 -2,4957 -1,4178 -0,3227 0,6540 1,3960 1,8316 1,9376 1,7219 1,2183 0,5098 -0,2512 -0,8679 -1,1644 -1,0525 -0,5610 0,1905 1,0471 1,8607
F7    2,2327 2,6076 2,7958 2,7732 2,5764 2,2881 1,9886 1,7185 1,4904 1,3219 1,2341 1,2230 1,2603 1,3280 1,4255 1,5336 1,5920 1,5278 1,2985 0,8995 0,3393 -0,3742 -1,2100 -2,0822 -2,8505 -3,3481 -3,4327 -3,0491 -2,2629 -1,2377 -0,1805 0,7049 1,2593 1,4143 1,2032 0,7272 0,1185 -0,4910 -1,0132 -1,4338 -1,7927 -2,1177 -2,3803 -2,5136 -2,4568 -2,1901 -1,7628 -1,2863 -0,8683 -0,5477 -0,3021 -0,0955 0,1025 0,3291 0,6340 1,0450 1,5167 1,9308 2,1630 2,1524 1,9301 1,6085 1,3318 1,2094 1,2813 1,5352 1,9350 2,4278 2,9314 3,3368 3,5460 3,5153 3,2674 2,8696 2,3978 1,9096 1,4500 1,0627 0,7684 0,5505 0,3820 0,2561 0,1861 0,1957 0,3160 0,5696 0,9389 1,3434 1,6533 1,7409 1,5515 1,1436 0,6584 0,2549 0,0707 0,1846 0,5701 1,0968 1,5890 1,8905 1,9138 1,6833 1,3395 1,0751 1,0412 1,2883 1,7531 2,2752 2,6420 2,6623 2,2378 1,4066 0,3337 -0,7647 -1,7139 -2,4119 -2,7982 -2,8171 -2,4178 -1,5986 -0,4541 0,8360 2,0792 3,1358 3,9440 4,5144 4,9033 5,1737 5,3772 5,5474 5,6829 5,7390 5,6550 5,4003 4,9995 4,5132 4,0030 3,5302 3,1702 2,9811 2,9517 3,0087 3,0892 3,2030 3,4275 3,8380 4,4249 5,0685 5,5955 5,8657 5,8283 5,5312 5,0967 4,6831 4,4496 4,5135 4,8994 5,5235 6,2351 6,8787 7,3418 7,5736 7,5701 7,3527 6,9675 6,4851 5,9802 5,4980 5,0297 4,5252 3,9296 3,2093 2,3652 1,4453 0,5423 -0,2461 -0,8694 -1,3357 -1,6780 -1,9201 -2,0761 -2,1650 -2,2106 -2,2393 -2,2905 -2,4078 -2,6011 -2,8293 -3,0342 -3,1957 -3,3595 -3,6058 -3,9791 -4,4411 -4,9057 -5,3218 -5,7005 -6,0634 -6,3850 -6,5836 -6,5532 -6,2250 -5,6108 -4,7869 -3,8620 -2,9763 -2,2762 -1,8506 -1,6950 -1,7321 -1,8644 -2,0281 -2,2133 -2,4347 -2,6894 -2,9460 -3,1632 -3,3120 -3,3790 -3,3561 -3,2382 -3,0375 -2,7881 -2,5413 -2,3615 -2,3085 -2,3949 -2,5573 -2,6830 -2,6753 -2,4991 -2,1672 -1,7032 -1,1372 -0,5287 0,0258 0,4219 0,5973 0,5559 0,3460 0,0289 -0,3344 -0,6843 -0,9740 -1,2010 -1,4164 -1,6675 -1,9265 -2,0806 -1,9832 -1,5368 -0,7737 0,1413 1,0095 1,6967 2,1618 2,4295 2,5319 2,4728 2,2542 1,9226 1,5659 1,2511 0,9772 0,7065 0,4208 0,1335 -0,1169 -0,2732 -0,2897 -0,1620 0,0810 0,3957 0,7248 0,9927 1,1186 1,0412 0,7290 0,1828 -0,5332 -1,2806 -1,9083 -2,3210 -2,4879 -2,4223 -2,1732 -1,8301 -1,5218 -1,3741 -1,4390 -1,6672 -1,9500 -2,1785 -2,2790 -2,2313 -2,0824 -1,9429 -1,9440 -2,1721 -2,6384 -3,2941 -4,0390 -4,7238 -5,2004 -5,3944 -5,3231 -5,0553 -4,6620 -4,1794 -3,6003 -2,9097 -2,1296 -1,3240 -0,5783 0,0165 0,3894 0,5152 0,4185 0,1612 -0,1867 -0,5759 -0,9691 -1,3150 -1,5493 -1,6160 -1,4920 -1,2150 -0,8857 -0,6337 -0,5698 -0,7364 -1,0706 -1,4167 -1,5949 -1,4809 -1,0600 -0,4440 0,1777 0,6457 0,9067 0,9930 0,9636 0,8794 0,7958 0,7395 0,6883 0,5861 0,3897 0,1132 -0,1679 -0,3648 -0,4371 -0,4150 -0,3744 -0,3828 -0,4507 -0,5226 -0,5128 -0,3602 -0,0582 0,3630 0,8621 1,3889 1,8793 2,2601 2,4639 2,4495 2,2075 1,7527 1,1306 0,4278 -0,2429 -0,7779 -1,1111 -1,2282 -1,1664 -0,9930 -0,7761 -0,5670 -0,3891 -0,2346 -0,0800 0,0920 0,2853 0,4954 0,7049 0,8761 0,9673 0,9646 0,8907 0,7832 0,6712 0,5587 0,4310 0,2936 0,1936 0,1908 0,3105 0,5216 0,7624 0,9958 1,2432 1,5593 1,9653 2,4085 2,7806 2,9732 2,9269 2,6460 2,1766 1,5855 0,9611 0,4112 0,0358 -0,1097 -0,0403 0,1613 0,3981 0,6165 0,8144 1,0126 1,2308 1,4662 1,6790 1,8061 1,8021 1,6600 1,4000 1,0523 0,6374 0,1603 -0,3577 -0,8529 -1,2470 -1,5095 -1,6790 -1,8185 -1,9527 -2,0510 -2,0608 -1,9523 -1,7332 -1,4335 -1,0894 -0,7330 -0,3776 -0,0276 0,2987 0,5760 0,7969 0,9758 1,1410 1,3249 1,5348 1,7280 1,8383 1,8292 1,7038 1,4794 1,1859 0,8821 0,6421 0,5136 0,4908 0,5171 0,5124 0,4119 0,1954 -0,1006 -0,3819 -0,5247 -0,4302 -0,0697 0,4996 1,1475 1,7177 2,0847 2,1907 2,0508 1,7353 1,3508 1,0063 0,7565 0,5775 0,4073 0,2157 0,0343 -0,0639 -0,0090 0,2218 0,5720 0,9171 1,1158 1,0703 0,7728 0,3023 -0,2291 -0,7191 -1,0905 -1,2967 -1,3138 -1,1266 -0,7309 -0,1555 0,5271 1,2313 1,9069 2,5531 3,1977 3,8643 4,5347 5,1384 5,5902 5,8424 5,9075 5,8482 5,7407 5,6225 5,4681 5,2134 4,8071 4,2534 3,6301 3,0629 2,6578 2,4561 2,4600 2,6604 3,0154 3,4321 3,7869 3,9647 3,9030 3,6175 3,1705 2,6089 1,9405 1,1606 0,2883 -0,6073 -1,4120 -2,0066 -2,3158 -2,3336 -2,1157 -1,7591 -1,3803 -1,0788 -0,8902 -0,7731 -0,6496 -0,4603 -0,1977 0,0965 0,3664 0,5791 0,7292 0,8104 0,7967 0,6615 0,4079 0,0824 -0,2419 -0,5012 -0,6474 -0,6256 -0,3890 0,0454 0,5764 1,0663 1,4148 1,5937 1,6204 1,5210 1,3287 1,1000 0,9046 0,7891 0,7448 0,7069 0,5937 0,3632 0,0312 -0,3641 -0,7930 -1,2235 -1,6052 -1,8857 -2,0354 -2,0517 -1,9417 -1,7082 -1,3592 -0,9349 -0,5191 -0,2026 -0,0206 0,0732 0,1707 0,3492
