Fp1   -0,8544 -0,8250 -0,7770 -0,7117 -0,6378 -0,5644 -0,4888 -0,3955 -0,2705 -0,1146 0,0573 0,2280 0,3903 0,5483 0,7061 0,8551 0,9731 1,0355 1,0361 0,9946 0,9405 0,8920 0,8476 0,7898 0,6967 0,5586 0,3852 0,2023 0,0444 -0,0544 -0,0737 -0,0182 0,0801 0,1724 0,2187 0,2045 0,1370 0,0305 -0,0995 -0,2370 -0,3680 -0,4848 -0,5892 -0,6872 -0,7772 -0,8448 -0,8710 -0,8464 -0,7736 -0,6599 -0,5117 -0,3351 -0,1398 0,0608 0,2524 0,4232 0,5620 0,6589 0,7155 0,7529 0,7990 0,8637 0,9289 0,9599 0,9288 0,8318 0,6921 0,5496 0,4439 0,3968 0,3993 0,4150 0,4002 0,3267 0,1964 0,0434 -0,0775 -0,1156 -0,0464 0,1225 0,3639 0,6490 0,9563 1,2695 1,5724 1,8501 2,0970 2,3203 2,5305 2,7229 2,8767 2,9691 2,9886 2,9375 2,8308 2,7003 2,5900 2,5422 2,5855 2,7282 2,9562 3,2355 3,5237 3,7811 3,9803 4,1104 4,1714 4,1705 4,1230 4,0500 3,9658 3,8699 3,7507 3,5974 3,4048 3,1707 2,8962 2,5953 2,3067 2,0915 2,0098 2,0949 2,3485 2,7554 3,3001 3,9771 4,7868 5,7215 6,7525 7,8368 8,9321 10,0052 11,0297 11,9863 12,8647 13,6599 14,3644 14,9666 15,4627 15,8685 16,2145 16,5259 16,8024 17,0108 17,0994 17,0244 16,7691 16,3492 15,8066 15,1956 14,5624 13,9303 13,2981 12,6458 11,9467 11,1842 10,3680 9,5351 8,7359 8,0170 7,4109 6,9326 6,5838 6,3586 6,2454 6,2256 6,2739 6,3663 6,4900 6,6459 6,8408 7,0742 7,3288 7,5734 7,7801 7,9427 8,0764 8,2042 8,3463 8,5178 8,7279 8,9796 9,2673 9,5759 9,8837 10,1698 10,4160 10,6034 10,7133 10,7337 10,6644 10,5134 10,2951 10,0316 9,7472 9,4531 9,1416 8,7979 8,4147 7,9956 7,5430 7,0477 6,4924 5,8644 5,1693 4,4355 3,7077 3,0324 2,4395 1,9267 1,4639 1,0171 0,5748 0,1600 -0,1780 -0,3847 -0,4263 -0,3053 -0,0542 0,2824 0,6553 1,0075 1,2832 1,4498 1,5102 1,4957 1,4509 1,4220 1,4482 1,5514 1,7274 1,9465 2,1637 2,3321 2,4173 2,4128 2,3436 2,2544 2,1924 2,1901 2,2571 2,3830 2,5490 2,7374 2,9365 3,1410 3,3482 3,5530 3,7472 3,9182 4,0480 4,1158 4,1071 4,0245 3,8886 3,7267 3,5568 3,3805 3,1847 2,9502 2,6637 2,3269 1,9551 1,5703 1,1966 0,8636 0,6097 0,4726 0,4704 0,5915 0,8011 1,0553 1,3114 1,5351 1,7058 1,8205 1,8908 1,9361 1,9762 2,0260 2,0887 2,1495 2,1786 2,1513 2,0695 1,9688 1,9040 1,9210 2,0332 2,2220 2,4579 2,7203 2,9973 3,2748 3,5326 3,7542 3,9369 4,0930 4,2427 4,4039 4,5851 4,7824 4,9798 5,1476 5,2495 5,2623 5,1883 5,0503 4,8785 4,6999 4,5307 4,3683 4,1946 3,9924 3,7648 3,5375 3,3454 3,2176 3,1636 3,1635 3,1782 3,1726 3,1274 3,0360 2,8998 2,7249 2,5217 2,3003 2,0663 1,8229 1,5777 1,3432 1,1329 0,9585 0,8270 0,7378 0,6812 0,6408 0,5999 0,5523 0,5047 0,4647 0,4309 0,3945 0,3458 0,2793 0,1965 0,1040 0,0105 -0,0771 -0,1535 -0,2156 -0,2606 -0,2825 -0,2723 -0,2245 -0,1456 -0,0536 0,0358 0,1186 0,2027 0,3011 0,4246 0,5802 0,7735 1,0066 1,2686 1,5334 1,7696 1,9517 2,0609 2,0836 2,0176 1,8784 1,6964 1,5021 1,3088 1,1097 0,8931 0,6580 0,4130 0,1670 -0,0732 -0,3052 -0,5371 -0,7873 -1,0701 -1,3778 -1,6759 -1,9220 -2,0971 -2,2142 -2,3001 -2,3776 -2,4640 -2,5713 -2,6982 -2,8278 -2,9333 -2,9877 -2,9811 -2,9311 -2,8731 -2,8378 -2,8348 -2,8508 -2,8598 -2,8406 -2,7886 -2,7153 -2,6430 -2,5986 -2,6036 -2,6678 -2,7908 -2,9669 -3,1801 -3,4002 -3,5950 -3,7474 -3,8620 -3,9540 -4,0361 -4,1182 -4,2121 -4,3288 -4,4663 -4,6038 -4,7110 -4,7640 -4,7586 -4,7127 -4,6539 -4,6008 -4,5543 -4,5079 -4,4625 -4,4309 -4,4284 -4,4631 -4,5326 -4,6304 -4,7533 -4,9008 -5,0661 -5,2288 -5,3555 -5,4132 -5,3859 -5,2812 -5,1245 -4,9531 -4,8107 -4,7358 -4,7436 -4,8161 -4,9108 -4,9807 -4,9890 -4,9175 -4,7685 -4,5605 -4,3213 -4,0826 -3,8756 -3,7288 -3,6581 -3,6542 -3,6793 -3,6837 -3,6281 -3,4995 -3,3162 -3,1195 -2,9545 -2,8529 -2,8252 -2,8650 -2,9566 -3,0826 -3,2302 -3,4022 -3,6208 -3,9191 -4,3232 -4,8371 -5,4446 -6,1236 -6,8544 -7,6137 -8,3655 -9,0615 -9,6567 -10,1256 -10,4600 -10,6527 -10,6888 -10,5526 -10,2366 -9,7464 -9,1021 -8,3311 -7,4540 -6,4782 -5,4090 -4,2635 -3,0725 -1,8710 -0,6908 0,4398 1,4936 2,4468 3,2823 3,9885 4,5550 4,9716 5,2333 5,3455 5,3306 5,2283 5,0802 4,9074 4,7061 4,4614 4,1606 3,7977 3,3713 2,8815 2,3314 1,7297 1,0855 0,4056 -0,2983 -1,0030 -1,6786 -2,2990 -2,8474 -3,3152 -3,7022 -4,0167 -4,2729 -4,4845 -4,6593 -4,7951 -4,8818 -4,9093 -4,8741 -4,7809 -4,6406 -4,4697 -4,2874 -4,1101 -3,9460 -3,7998 -3,6836 -3,6166 -3,6078 -3,6413 -3,6847 -3,7148 -3,7356 -3,7778 -3,8840 -4,0876 -4,3945 -4,7776 -5,1885 -5,5798 -5,9185 -6,1912 -6,4054 -6,5830 -6,7493 -6,9293 -7,1516 -7,4449 -7,8268 -8,2950 -8,8268 -9,3888 -9,9512 -10,4986 -11,0311 -11,5543 -12,0663 -12,5556 -13,0079 -13,4097 -13,7443 -13,9921 -14,1423 -14,2038 -14,1998 -14,1565 -14,0934 -14,0139 -13,9021 -13,7334 -13,4884 -13,1577
Fz    -1,2355 -1,4636 -1,6522 -1,8045 -1,9229 -2,0028 -2,0261 -1,9642 -1,7940 -1,5156 -1,1588 -0,7723 -0,4047 -0,0900 0,1538 0,3216 0,4212 0,4740 0,5115 0,5629 0,6422 0,7441 0,8510 0,9409 0,9950 1,0041 0,9706 0,9099 0,8472 0,8077 0,8056 0,8385 0,8894 0,9353 0,9578 0,9456 0,8917 0,7959 0,6688 0,5279 0,3893 0,2618 0,1458 0,0382 -0,0572 -0,1247 -0,1463 -0,1156 -0,0441 0,0459 0,1342 0,2125 0,2841 0,3587 0,4464 0,5534 0,6822 0,8318 1,0010 1,1908 1,4005 1,6232 1,8443 2,0453 2,2109 2,3322 2,4079 2,4443 2,4503 2,4302 2,3794 2,2873 2,1425 1,9390 1,6835 1,4015 1,1351 0,9289 0,8144 0,8040 0,8926 1,0637 1,2956 1,5651 1,8524 2,1456 2,4418 2,7446 3,0571 3,3746 3,6822 3,9590 4,1838 4,3411 4,4293 4,4670 4,4889 4,5306 4,6135 4,7384 4,8852 5,0201 5,1075 5,1222 5,0580 4,9287 4,7567 4,5639 4,3704 4,1965 4,0592 3,9619 3,8922 3,8304 3,7603 3,6734 3,5706 3,4637 3,3772 3,3479 3,4181 3,6241 3,9904 4,5313 5,2549 6,1651 7,2582 8,5166 9,9031 11,3652 12,8479 14,3037 15,6978 17,0103 18,2305 19,3449 20,3307 21,1625 21,8261 22,3265 22,6778 22,8868 22,9456 22,8380 22,5501 22,0799 21,4425 20,6680 19,7989 18,8861 17,9761 17,0995 16,2671 15,4730 14,7013 13,9411 13,2013 12,5133 11,9164 11,4401 11,0937 10,8675 10,7420 10,6986 10,7240 10,8062 10,9291 11,0759 11,2379 11,4220 11,6479 11,9368 12,2984 12,7261 13,2079 13,7384 14,3149 14,9229 15,5313 16,1013 16,5977 16,9981 17,2971 17,5061 17,6489 17,7523 17,8356 17,9073 17,9686 18,0183 18,0543 18,0709 18,0563 17,9945 17,8669 17,6520 17,3298 16,8882 16,3265 15,6549 14,8899 14,0478 13,1418 12,1830 11,1859 10,1726 9,1720 8,2126 7,3130 6,4767 5,6993 4,9807 4,3317 3,7737 3,3348 3,0406 2,9041 2,9181 3,0563 3,2793 3,5428 3,8024 4,0232 4,1948 4,3413 4,5129 4,7625 5,1235 5,6025 6,1828 6,8312 7,5020 8,1405 8,6903 9,1046 9,3593 9,4605 9,4388 9,3377 9,2022 9,0707 8,9690 8,9102 8,8989 8,9343 9,0152 9,1422 9,3157 9,5304 9,7680 9,9937 10,1626 10,2350 10,1910 10,0352 9,7895 9,4820 9,1404 8,7896 8,4487 8,1260 7,8172 7,5073 7,1787 6,8234 6,4522 6,0959 5,7951 5,5854 5,4874 5,5045 5,6250 5,8259 6,0780 6,3559 6,6461 6,9454 7,2563 7,5827 7,9256 8,2776 8,6174 8,9123 9,1332 9,2724 9,3503 9,4084 9,4887 9,6150 9,7916 10,0112 10,2634 10,5381 10,8244 11,1113 11,3918 11,6650 11,9351 12,2088 12,4933 12,7926 13,1052 13,4242 13,7389 14,0385 14,3151 14,5634 14,7755 14,9390 15,0427 15,0830 15,0655 15,0033 14,9160 14,8287 14,7707 14,7717 14,8536 15,0217 15,2606 15,5411 15,8290 16,0927 16,3077 16,4603 16,5458 16,5598 16,4931 16,3320 16,0666 15,6990 15,2412 14,7104 14,1261 13,5100 12,8839 12,2683 11,6824 11,1434 10,6666 10,2646 9,9421 9,6915 9,4976 9,3452 9,2228 9,1204 9,0308 8,9521 8,8863 8,8370 8,8063 8,7939 8,7984 8,8225 8,8765 8,9719 9,1114 9,2878 9,4907 9,7091 9,9319 10,1466 10,3415 10,5141 10,6746 10,8393 11,0203 11,2214 11,4393 11,6633 11,8728 12,0395 12,1363 12,1490 12,0796 11,9405 11,7448 11,5043 11,2309 10,9327 10,6124 10,2709 9,9106 9,5318 9,1305 8,7046 8,2646 7,8381 7,4610 7,1614 6,9495 6,8164 6,7389 6,6859 6,6271 6,5416 6,4214 6,2675 6,0852 5,8812 5,6643 5,4480 5,2537 5,1074 5,0305 5,0306 5,1005 5,2231 5,3764 5,5359 5,6757 5,7683 5,7858 5,7031 5,5040 5,1941 4,8090 4,4047 4,0375 3,7437 3,5321 3,3913 3,2997 3,2344 3,1801 3,1361 3,1121 3,1162 3,1470 3,1957 3,2498 3,2969 3,3304 3,3529 3,3714 3,3909 3,4105 3,4251 3,4283 3,4160 3,3869 3,3424 3,2867 3,2266 3,1701 3,1243 3,0895 3,0570 3,0163 2,9628 2,8973 2,8214 2,7390 2,6623 2,6131 2,6161 2,6900 2,8450 3,0830 3,3961 3,7653 4,1623 4,5546 4,9114 5,2103 5,4425 5,6171 5,7602 5,9045 6,0730 6,2681 6,4717 6,6539 6,7845 6,8411 6,8120 6,6957 6,4984 6,2310 5,9066 5,5362 5,1253 4,6732 4,1782 3,6448 3,0852 2,5133 1,9378 1,3633 0,7943 0,2369 -0,3044 -0,8269 -1,3237 -1,7750 -2,1472 -2,3960 -2,4760 -2,3534 -2,0152 -1,4647 -0,7107 0,2382 1,3685 2,6547 4,0572 5,5288 7,0225 8,4960 9,9088 11,2197 12,3889 13,3845 14,1863 14,7886 15,1980 15,4293 15,5034 15,4460 15,2813 15,0250 14,6861 14,2708 13,7880 13,2518 12,6785 12,0803 11,4655 10,8412 10,2104 9,5733 8,9332 8,3027 7,7032 7,1571 6,6800 6,2805 5,9621 5,7244 5,5626 5,4706 5,4450 5,4865 5,5985 5,7830 6,0373 6,3508 6,7023 7,0637 7,4064 7,7109 7,9714 8,1915 8,3748 8,5208 8,6304 8,7071 8,7521 8,7560 8,6962 8,5417 8,2620 7,8381 7,2735 6,5981 5,8625 5,1196 4,4093 3,7519 3,1474 2,5787 2,0250 1,4744 0,9236 0,3700 -0,1899 -0,7572 -1,3275 -1,8924 -2,4447 -2,9823 -3,5085 -4,0271 -4,5364 -5,0276 -5,4881 -5,9057 -6,2676 -6,5614 -6,7793 -6,9209 -6,9905 -6,9947 -6,9394 -6,8256 -6,6466 -6,3911 -6,0500 -5,6187
F3    -0,5035 -0,5246 -0,5209 -0,5045 -0,4887 -0,4813 -0,4739 -0,4424 -0,3616 -0,2213 -0,0334 0,1736 0,3668 0,5195 0,6162 0,6525 0,6346 0,5789 0,5071 0,4349 0,3638 0,2844 0,1852 0,0597 -0,0881 -0,2430 -0,3851 -0,4956 -0,5576 -0,5562 -0,4843 -0,3481 -0,1661 0,0354 0,2283 0,3866 0,4893 0,5239 0,4904 0,4020 0,2825 0,1601 0,0571 -0,0166 -0,0621 -0,0847 -0,0909 -0,0901 -0,0946 -0,1138 -0,1490 -0,1924 -0,2315 -0,2536 -0,2510 -0,2244 -0,1810 -0,1294 -0,0723 -0,0015 0,0960 0,2240 0,3709 0,5158 0,6380 0,7223 0,7605 0,7519 0,7034 0,6226 0,5089 0,3518 0,1409 -0,1223 -0,4177 -0,7091 -0,9507 -1,0942 -1,1012 -0,9564 -0,6695 -0,2674 0,2165 0,7457 1,2820 1,7908 2,2496 2,6523 3,0035 3,3079 3,5619 3,7545 3,8732 3,9124 3,8811 3,8068 3,7276 3,6783 3,6806 3,7412 3,8521 3,9916 4,1302 4,2383 4,2979 4,3101 4,2919 4,2641 4,2424 4,2350 4,2381 4,2319 4,1847 4,0667 3,8623 3,5765 3,2348 2,8785 2,5580 2,3280 2,2397 2,3312 2,6226 3,1188 3,8123 4,6880 5,7275 6,9076 8,1944 9,5430 10,9073 12,2484 13,5369 14,7524 15,8802 16,9047 17,8085 18,5761 19,2030 19,7001 20,0883 20,3815 20,5751 20,6454 20,5622 20,3059 19,8794 19,3075 18,6266 17,8744 17,0837 16,2814 15,4860 14,7022 13,9198 13,1250 12,3195 11,5271 10,7831 10,1194 9,5581 9,1106 8,7798 8,5632 8,4548 8,4466 8,5265 8,6787 8,8866 9,1394 9,4330 9,7633 10,1195 10,4858 10,8513 11,2178 11,5935 11,9818 12,3753 12,7590 13,1170 13,4407 13,7310 13,9949 14,2397 14,4676 14,6729 14,8439 14,9680 15,0395 15,0604 15,0330 14,9546 14,8205 14,6268 14,3669 14,0312 13,6136 13,1206 12,5705 11,9817 11,3603 10,6996 9,9882 9,2205 8,4062 7,5733 6,7591 5,9913 5,2749 4,5985 3,9524 3,3418 2,7882 2,3248 1,9878 1,8028 1,7716 1,8705 2,0603 2,2977 2,5425 2,7622 2,9419 3,0921 3,2429 3,4279 3,6733 3,9919 4,3805 4,8168 5,2623 5,6714 6,0003 6,2148 6,3002 6,2703 6,1640 6,0330 5,9267 5,8784 5,8981 5,9782 6,1041 6,2589 6,4248 6,5881 6,7461 6,9074 7,0818 7,2672 7,4460 7,5949 7,6968 7,7454 7,7407 7,6842 7,5773 7,4232 7,2259 6,9872 6,7057 6,3765 5,9979 5,5801 5,1537 4,7681 4,4786 4,3257 4,3219 4,4539 4,6939 5,0110 5,3784 5,7750 6,1828 6,5857 6,9680 7,3166 7,6226 7,8792 8,0760 8,2012 8,2530 8,2472 8,2167 8,2045 8,2490 8,3693 8,5605 8,8031 9,0745 9,3564 9,6350 9,9001 10,1473 10,3809 10,6108 10,8481 11,1022 11,3780 11,6744 11,9831 12,2857 12,5563 12,7724 12,9228 13,0066 13,0280 12,9945 12,9135 12,7881 12,6219 12,4286 12,2372 12,0866 12,0115 12,0278 12,1256 12,2735 12,4302 12,5570 12,6249 12,6181 12,5371 12,3951 12,2082 11,9841 11,7202 11,4102 11,0522 10,6507 10,2173 9,7679 9,3194 8,8879 8,4890 8,1360 7,8361 7,5928 7,4090 7,2845 7,2124 7,1779 7,1622 7,1478 7,1244 7,0909 7,0529 7,0200 7,0054 7,0234 7,0829 7,1829 7,3150 7,4693 7,6346 7,7982 7,9514 8,0932 8,2250 8,3471 8,4571 8,5524 8,6347 8,7122 8,7952 8,8894 8,9916 9,0912 9,1719 9,2128 9,1914 9,0920 8,9157 8,6781 8,3980 8,0901 7,7660 7,4366 7,1111 6,7932 6,4824 6,1760 5,8700 5,5584 5,2377 4,9137 4,6034 4,3263 4,0937 3,9039 3,7465 3,6062 3,4647 3,3056 3,1225 2,9220 2,7196 2,5328 2,3731 2,2427 2,1367 2,0500 1,9852 1,9551 1,9774 2,0635 2,2095 2,3961 2,5937 2,7670 2,8800 2,9050 2,8264 2,6427 2,3709 2,0475 1,7188 1,4261 1,1937 1,0216 0,8926 0,7831 0,6706 0,5408 0,3956 0,2518 0,1294 0,0404 -0,0136 -0,0397 -0,0483 -0,0430 -0,0189 0,0299 0,1016 0,1835 0,2557 0,2980 0,2989 0,2582 0,1855 0,0971 0,0146 -0,0392 -0,0472 -0,0067 0,0676 0,1528 0,2265 0,2701 0,2709 0,2275 0,1555 0,0866 0,0561 0,0873 0,1846 0,3377 0,5300 0,7443 0,9646 1,1715 1,3428 1,4633 1,5318 1,5611 1,5755 1,6024 1,6589 1,7479 1,8610 1,9839 2,0994 2,1886 2,2324 2,2148 2,1277 1,9744 1,7660 1,5116 1,2089 0,8446 0,4068 -0,1029 -0,6664 -1,2573 -1,8519 -2,4325 -2,9862 -3,5034 -3,9786 -4,4093 -4,7866 -5,0895 -5,2893 -5,3583 -5,2730 -5,0170 -4,5863 -3,9899 -3,2406 -2,3492 -1,3276 -0,1950 1,0210 2,2881 3,5731 4,8436 6,0651 7,2004 8,2148 9,0799 9,7745 10,2855 10,6082 10,7469 10,7167 10,5449 10,2649 9,9072 9,4944 9,0441 8,5708 8,0836 7,5829 7,0607 6,5084 5,9219 5,2996 4,6431 3,9636 3,2841 2,6341 2,0416 1,5293 1,1113 0,7904 0,5592 0,4054 0,3177 0,2872 0,3058 0,3642 0,4534 0,5656 0,6920 0,8213 0,9385 1,0266 1,0727 1,0765 1,0533 1,0239 1,0020 0,9941 1,0057 1,0393 1,0829 1,1050 1,0627 0,9159 0,6394 0,2322 -0,2792 -0,8474 -1,4220 -1,9647 -2,4549 -2,8889 -3,2776 -3,6402 -3,9980 -4,3714 -4,7770 -5,2211 -5,6967 -6,1853 -6,6640 -7,1145 -7,5297 -7,9127 -8,2731 -8,6216 -8,9630 -9,2929 -9,5996 -9,8664 -10,0750 -10,2114 -10,2725 -10,2664 -10,2084 -10,1144 -9,9917 -9,8346 -9,6286 -9,3604 -9,0237
F7    -0,0877 -0,1400 -0,1316 -0,0534 0,0862 0,2624 0,4479 0,6257 0,7874 0,9234 1,0202 1,0682 1,0716 1,0515 1,0329 1,0282 1,0309 1,0217 0,9814 0,8990 0,7738 0,6148 0,4366 0,2498 0,0586 -0,1315 -0,3105 -0,4642 -0,5755 -0,6259 -0,6031 -0,5121 -0,3814 -0,2513 -0,1548 -0,1099 -0,1256 -0,2057 -0,3458 -0,5319 -0,7398 -0,9351 -1,0832 -1,1625 -1,1711 -1,1212 -1,0318 -0,9242 -0,8204 -0,7411 -0,7025 -0,7106 -0,7567 -0,8196 -0,8772 -0,9165 -0,9360 -0,9437 -0,9506 -0,9590 -0,9597 -0,9407 -0,8971 -0,8328 -0,7594 -0,6914 -0,6421 -0,6224 -0,6390 -0,6924 -0,7791 -0,8957 -1,0380 -1,1980 -1,3607 -1,5065 -1,6150 -1,6692 -1,6573 -1,5757 -1,4309 -1,2359 -1,0034 -0,7431 -0,4644 -0,1774 0,1089 0,3879 0,6546 0,8979 1,0991 1,2384 1,3046 1,2999 1,2398 1,1540 1,0819 1,0593 1,1073 1,2292 1,4133 1,6353 1,8640 2,0685 2,2291 2,3472 2,4428 2,5366 2,6368 2,7401 2,8370 2,9127 2,9480 2,9234 2,8253 2,6547 2,4315 2,1913 1,9737 1,8131 1,7377 1,7708 1,9296 2,2212 2,6406 3,1765 3,8186 4,5597 5,3871 6,2758 7,1939 8,1162 9,0270 9,9120 10,7520 11,5232 12,2019 12,7740 13,2411 13,6204 13,9331 14,1868 14,3668 14,4462 14,4025 14,2319 13,9553 13,6104 13,2339 12,8486 12,4622 12,0728 11,6741 11,2559 10,8057 10,3136 9,7786 9,2118 8,6358 8,0787 7,5669 7,1219 6,7613 6,4953 6,3198 6,2143 6,1520 6,1152 6,1050 6,1385 6,2369 6,4119 6,6535 6,9300 7,2019 7,4378 7,6191 7,7394 7,8064 7,8391 7,8599 7,8893 7,9410 8,0167 8,1037 8,1801 8,2252 8,2272 8,1828 8,0945 7,9677 7,8072 7,6162 7,3977 7,1502 6,8630 6,5202 6,1104 5,6348 5,1065 4,5401 3,9444 3,3232 2,6805 2,0241 1,3723 0,7523 0,1878 -0,3151 -0,7711 -1,2030 -1,6243 -2,0290 -2,3925 -2,6848 -2,8824 -2,9773 -2,9821 -2,9256 -2,8402 -2,7517 -2,6776 -2,6292 -2,6072 -2,5988 -2,5803 -2,5251 -2,4135 -2,2411 -2,0210 -1,7784 -1,5416 -1,3344 -1,1696 -1,0483 -0,9596 -0,8822 -0,7918 -0,6711 -0,5124 -0,3180 -0,0981 0,1371 0,3850 0,6446 0,9087 1,1639 1,3990 1,6102 1,7986 1,9609 2,0871 2,1705 2,2139 2,2270 2,2196 2,1990 2,1716 2,1440 2,1192 2,0902 2,0373 1,9337 1,7604 1,5197 1,2355 0,9430 0,6768 0,4619 0,3098 0,2215 0,1939 0,2226 0,3000 0,4157 0,5596 0,7240 0,9016 1,0825 1,2524 1,3938 1,4902 1,5336 1,5297 1,4987 1,4697 1,4727 1,5245 1,6215 1,7477 1,8894 2,0442 2,2158 2,4043 2,6019 2,7991 2,9892 3,1683 3,3365 3,4987 3,6582 3,8098 3,9383 4,0214 4,0341 3,9589 3,7970 3,5695 3,3062 3,0340 2,7682 2,5111 2,2585 2,0094 1,7712 1,5620 1,4020 1,2969 1,2291 1,1666 1,0810 0,9603 0,8080 0,6341 0,4476 0,2524 0,0471 -0,1694 -0,3921 -0,6090 -0,8072 -0,9785 -1,1224 -1,2478 -1,3696 -1,5004 -1,6445 -1,7982 -1,9540 -2,1033 -2,2383 -2,3551 -2,4561 -2,5508 -2,6520 -2,7698 -2,9062 -3,0558 -3,2100 -3,3563 -3,4731 -3,5314 -3,5064 -3,3894 -3,1872 -2,9199 -2,6225 -2,3407 -2,1115 -1,9447 -1,8227 -1,7153 -1,5978 -1,4612 -1,3110 -1,1625 -1,0389 -0,9662 -0,9635 -1,0336 -1,1625 -1,3295 -1,5154 -1,7010 -1,8650 -1,9931 -2,0922 -2,1903 -2,3200 -2,4973 -2,7137 -2,9453 -3,1655 -3,3536 -3,5028 -3,6276 -3,7541 -3,9023 -4,0754 -4,2643 -4,4572 -4,6440 -4,8144 -4,9588 -5,0746 -5,1674 -5,2441 -5,3068 -5,3498 -5,3629 -5,3431 -5,3019 -5,2601 -5,2362 -5,2369 -5,2570 -5,2855 -5,3127 -5,3340 -5,3495 -5,3631 -5,3853 -5,4323 -5,5185 -5,6520 -5,8324 -6,0453 -6,2601 -6,4409 -6,5618 -6,6174 -6,6236 -6,6086 -6,6019 -6,6233 -6,6724 -6,7266 -6,7570 -6,7497 -6,7132 -6,6697 -6,6397 -6,6334 -6,6507 -6,6839 -6,7238 -6,7649 -6,8070 -6,8509 -6,8942 -6,9277 -6,9373 -6,9134 -6,8605 -6,7956 -6,7357 -6,6865 -6,6438 -6,6066 -6,5821 -6,5764 -6,5865 -6,6032 -6,6210 -6,6434 -6,6783 -6,7294 -6,7895 -6,8397 -6,8599 -6,8432 -6,7960 -6,7315 -6,6662 -6,6143 -6,5802 -6,5568 -6,5288 -6,4735 -6,3685 -6,2083 -6,0101 -5,8050 -5,6277 -5,5081 -5,4643 -5,5024 -5,6193 -5,8059 -6,0470 -6,3199 -6,6021 -6,8838 -7,1715 -7,4816 -7,8298 -8,2217 -8,6531 -9,1143 -9,5877 -10,0446 -10,4547 -10,7989 -11,0722 -11,2748 -11,4024 -11,4442 -11,3851 -11,2067 -10,8902 -10,4235 -9,8072 -9,0522 -8,1751 -7,1994 -6,1569 -5,0816 -4,0003 -2,9314 -1,8939 -0,9135 -0,0184 0,7689 1,4303 1,9464 2,3009 2,4880 2,5165 2,4096 2,2021 1,9309 1,6233 1,2932 0,9437 0,5702 0,1633 -0,2865 -0,7837 -1,3240 -1,8958 -2,4857 -3,0803 -3,6619 -4,2070 -4,6925 -5,1047 -5,4433 -5,7161 -5,9346 -6,1107 -6,2531 -6,3660 -6,4515 -6,5128 -6,5566 -6,5921 -6,6265 -6,6582 -6,6783 -6,6801 -6,6657 -6,6406 -6,6106 -6,5847 -6,5774 -6,6031 -6,6676 -6,7657 -6,8868 -7,0239 -7,1771 -7,3494 -7,5448 -7,7690 -8,0300 -8,3305 -8,6592 -8,9938 -9,3110 -9,5919 -9,8243 -10,0077 -10,1530 -10,2771 -10,3987 -10,5381 -10,7181 -10,9602 -11,2755 -11,6580 -12,0922 -12,5652 -13,0665 -13,5781 -14,0715 -14,5165 -14,8914 -15,1856 -15,3946 -15,5151 -15,5497 -15,5134 -15,4299 -15,3214 -15,2004 -15,0661 -14,9057 -14,7028 -14,4458 -14,1318
