Fp1   -2,8093 -3,0785 -3,3044 -3,4449 -3,4573 -3,3133 -3,0044 -2,5515 -2,0045 -1,4226 -0,8583 -0,3533 0,0716 0,4250 0,7380 1,0514 1,4027 1,8029 2,2229 2,6117 2,9283 3,1568 3,3026 3,3819 3,4137 3,4122 3,3791 3,3011 3,1554 2,9253 2,6199 2,2770 1,9398 1,6262 1,3207 0,9952 0,6374 0,2599 -0,1144 -0,4791 -0,8521 -1,2515 -1,6718 -2,0819 -2,4437 -2,7393 -2,9834 -3,2011 -3,3959 -3,5423 -3,6102 -3,5935 -3,5166 -3,4207 -3,3460 -3,3114 -3,2992 -3,2702 -3,1953 -3,0713 -2,9129 -2,7371 -2,5573 -2,3822 -2,2141 -2,0471 -1,8659 -1,6458 -1,3561 -0,9681 -0,4720 0,1040 0,6985 1,2470 1,7118 2,0862 2,3708 2,5538 2,6153 2,5455 2,3520 2,0488 1,6490 1,1729 0,6592 0,1613 -0,2653 -0,5818 -0,7826 -0,8989 -0,9775 -1,0547 -1,1451 -1,2539 -1,3902 -1,5643 -1,7671 -1,9641 -2,1166 -2,2038 -2,2235 -2,1816 -2,0837 -1,9325 -1,7288 -1,4812 -1,2217 -1,0116 -0,9196 -0,9852 -1,1944 -1,4834 -1,7678 -1,9852 -2,1278 -2,2372 -2,3626 -2,5149 -2,6544 -2,7149 -2,6371 -2,3922 -1,9848 -1,4349 -0,7512 0,0715 1,0198 2,0383 3,0559 4,0322 4,9718 5,9002 6,8290 7,7366 8,5745 9,2976 9,8933 10,3813 10,7831 11,0926 11,2806 11,3196 11,1972 10,9150 10,4902 9,9579 9,3511 8,6730 7,9004 7,0131 6,0238 4,9828 3,9609 3,0256 2,2192 1,5431 0,9672 0,4570 -0,0042 -0,4093 -0,7390 -0,9844 -1,1607 -1,2946 -1,4002 -1,4761 -1,5199 -1,5371 -1,5420 -1,5592 -1,6182 -1,7351 -1,9021 -2,0952 -2,2796 -2,4046 -2,4165 -2,2951 -2,0773 -1,8389 -1,6516 -1,5529 -1,5442 -1,6177 -1,7771 -2,0258 -2,3405 -2,6635 -2,9229 -3,0619 -3,0585 -2,9306 -2,7251 -2,4940 -2,2743 -2,0931 -1,9846 -1,9851 -2,1087 -2,3391 -2,6425 -2,9805 -3,3175 -3,6301 -3,9154 -4,1873 -4,4671 -4,7724 -5,1063 -5,4609 -5,8267 -6,1865 -6,5088 -6,7641 -6,9446 -7,0623 -7,1441 -7,2360 -7,3868 -7,6200 -7,9250 -8,2627 -8,5789 -8,8233 -8,9696 -9,0246 -9,0260 -9,0183 -9,0196 -9,0186 -9,0016 -8,9658 -8,9096 -8,8315 -8,7405 -8,6522 -8,5741 -8,4983 -8,4072 -8,2790 -8,0930 -7,8434 -7,5400 -7,1915 -6,7984 -6,3638 -5,9038 -5,4478 -5,0316 -4,6912 -4,4510 -4,3078 -4,2285 -4,1722 -4,1127 -4,0387 -3,9362 -3,7836 -3,5672 -3,3012 -3,0321 -2,8179 -2,6966 -2,6733 -2,7365 -2,8764 -3,0842 -3,3385 -3,6017 -3,8342 -4,0146 -4,1499 -4,2628 -4,3742 -4,5035 -4,6804 -4,9446 -5,3351 -5,8682 -6,5144 -7,2060 -7,8685 -8,4488 -8,9289 -9,3260 -9,6751 -10,0026 -10,3122 -10,5839 -10,7798 -10,8534 -10,7660 -10,5061 -10,1014 -9,6147 -9,1242 -8,7005 -8,3971 -8,2471 -8,2517 -8,3774 -8,5689 -8,7644 -8,9025 -8,9362 -8,8534 -8,6766 -8,4415 -8,1801 -7,9150 -7,6578 -7,4108 -7,1685 -6,9222 -6,6742 -6,4463 -6,2654 -6,1439 -6,0741 -6,0372 -6,0066 -5,9469 -5,8242 -5,6235 -5,3561 -5,0525 -4,7501 -4,4809 -4,2606 -4,0804 -3,9159 -3,7479 -3,5745 -3,4034 -3,2417 -3,0902 -2,9435 -2,8012 -2,6754 -2,5804 -2,5171 -2,4755 -2,4515 -2,4610 -2,5359 -2,7029 -2,9598 -3,2679 -3,5694 -3,8175 -3,9947 -4,1033 -4,1451 -4,1102 -3,9877 -3,7860 -3,5403 -3,3008 -3,1159 -3,0225 -3,0392 -3,1599 -3,3575 -3,6008 -3,8618 -4,1079 -4,3014 -4,4160 -4,4516 -4,4313 -4,3780 -4,2870 -4,1293 -3,8840 -3,5586 -3,1878 -2,8286 -2,5458 -2,3832 -2,3472 -2,4186 -2,5723 -2,7822 -3,0140 -3,2222 -3,3631 -3,4132 -3,3704 -3,2401 -3,0306 -2,7613 -2,4640 -2,1724 -1,9187 -1,7313 -1,6201 -1,5653 -1,5344 -1,5100 -1,4959 -1,5012 -1,5276 -1,5768 -1,6586 -1,7788 -1,9249 -2,0735 -2,2117 -2,3467 -2,4930 -2,6528 -2,8143 -2,9697 -3,1251 -3,2883 -3,4539 -3,6050 -3,7327 -3,8481 -3,9723 -4,1093 -4,2309 -4,2926 -4,2653 -4,1605 -4,0265 -3,9137 -3,8400 -3,7889 -3,7393 -3,7003 -3,7123 -3,8085 -3,9827 -4,1990 -4,4175 -4,6068 -4,7452 -4,8151 -4,8008 -4,6986 -4,5233 -4,2981 -4,0438 -3,7739 -3,4887 -3,1755 -2,8284 -2,4649 -2,1202 -1,8264 -1,5891 -1,3829 -1,1740 -0,9437 -0,6962 -0,4546 -0,2521 -0,1189 -0,0685 -0,0923 -0,1636 -0,2454 -0,2972 -0,2879 -0,2118 -0,0881 0,0567 0,2051 0,3526 0,5006 0,6441 0,7637 0,8272 0,8004 0,6641 0,4281 0,1291 -0,1914 -0,5118 -0,8372 -1,1818 -1,5475 -1,9275 -2,3219 -2,7361 -3,1673 -3,5989 -4,0012 -4,3397 -4,5848 -4,7211 -4,7609 -4,7508 -4,7537 -4,8169 -4,9512 -5,1330 -5,3262 -5,5021 -5,6407 -5,7243 -5,7380 -5,6715 -5,5141 -5,2504 -4,8669 -4,3668 -3,7772 -3,1420 -2,5097 -1,9220 -1,4046 -0,9700 -0,6253 -0,3749 -0,2161 -0,1362 -0,1096 -0,0885 -0,0123 0,1581 0,4084 0,6702 0,8527 0,8878 0,7568 0,4823 0,1054 -0,3395 -0,8407 -1,4019 -2,0180 -2,6588 -3,2798 -3,8460 -4,3443 -4,7809 -5,1660 -5,4973 -5,7585 -5,9312 -6,0113 -6,0241 -6,0173 -6,0284 -6,0588 -6,0729 -6,0176 -5,8465 -5,5418 -5,1271 -4,6611 -4,2066 -3,7965 -3,4304 -3,1030 -2,8227 -2,6026 -2,4474 -2,3580 -2,3400 -2,3983 -2,5273 -2,7053 -2,8861 -3,0010 -2,9921 -2,8596 -2,6671 -2,4916 -2,3757 -2,3291 -2,3539 -2,4484 -2,5954 -2,7671 -2,9428 -3,1129 -3,2721 -3,4190 -3,5678 -3,7491 -3,9900 -4,2914 -4,6309 -4,9827 -5,3300 -5,6600 -5,9588 -6,2083 -6,3813 -6,4496 -6,4063 -6,2808 -6,1264 -5,9897 -5,8857 -5,7983 -5,7034
Fz    -4,6620 -4,6502 -4,5660 -4,4191 -4,2187 -3,9686 -3,6633 -3,2931 -2,8526 -2,3478 -1,7999 -1,2438 -0,7142 -0,2301 0,2079 0,6113 0,9964 1,3768 1,7568 2,1300 2,4809 2,7877 3,0322 3,2089 3,3224 3,3740 3,3562 3,2589 3,0794 2,8298 2,5427 2,2653 2,0389 1,8777 1,7644 1,6671 1,5569 1,4104 1,2047 0,9183 0,5445 0,1030 -0,3645 -0,8133 -1,2125 -1,5560 -1,8603 -2,1472 -2,4258 -2,6939 -2,9525 -3,2139 -3,4921 -3,7920 -4,1053 -4,4080 -4,6602 -4,8236 -4,8868 -4,8724 -4,8196 -4,7609 -4,7075 -4,6494 -4,5626 -4,4220 -4,2098 -3,9150 -3,5317 -3,0620 -2,5255 -1,9643 -1,4291 -0,9543 -0,5448 -0,1819 0,1539 0,4586 0,7002 0,8350 0,8277 0,6593 0,3320 -0,1226 -0,6405 -1,1392 -1,5418 -1,8002 -1,9057 -1,8852 -1,7868 -1,6587 -1,5366 -1,4459 -1,4091 -1,4431 -1,5448 -1,6902 -1,8524 -2,0180 -2,1849 -2,3522 -2,5148 -2,6639 -2,7910 -2,8959 -2,9989 -3,1456 -3,3915 -3,7762 -4,3010 -4,9219 -5,5644 -6,1593 -6,6720 -7,1037 -7,4671 -7,7568 -7,9397 -7,9714 -7,8226 -7,4916 -6,9971 -6,3597 -5,5840 -4,6609 -3,5928 -2,4147 -1,1837 0,0486 1,2527 2,4168 3,5299 4,5677 5,4937 6,2762 6,9035 7,3821 7,7184 7,9029 7,9140 7,7324 7,3532 6,7923 6,0897 5,3044 4,4928 3,6811 2,8636 2,0302 1,1944 0,3924 -0,3399 -0,9818 -1,5285 -1,9882 -2,3727 -2,6893 -2,9385 -3,1156 -3,2149 -3,2342 -3,1741 -3,0295 -2,7889 -2,4490 -2,0296 -1,5689 -1,1089 -0,6876 -0,3319 -0,0477 0,1790 0,3697 0,5491 0,7484 0,9983 1,3095 1,6610 2,0075 2,2968 2,4880 2,5616 2,5177 2,3667 2,1271 1,8303 1,5202 1,2436 1,0327 0,8931 0,8015 0,7161 0,5996 0,4396 0,2431 0,0102 -0,2800 -0,6529 -1,1157 -1,6518 -2,2280 -2,8055 -3,3563 -3,8751 -4,3786 -4,8935 -5,4388 -6,0117 -6,5896 -7,1429 -7,6457 -8,0770 -8,4233 -8,6816 -8,8558 -8,9582 -9,0188 -9,0792 -9,1709 -9,2993 -9,4437 -9,5667 -9,6289 -9,6042 -9,4905 -9,3107 -9,1001 -8,8847 -8,6784 -8,4974 -8,3623 -8,2865 -8,2733 -8,3195 -8,4095 -8,5045 -8,5468 -8,4837 -8,2854 -7,9455 -7,4746 -6,8926 -6,2248 -5,5052 -4,7783 -4,0871 -3,4602 -2,9110 -2,4507 -2,0928 -1,8444 -1,6969 -1,6282 -1,6065 -1,5908 -1,5364 -1,4060 -1,1834 -0,8821 -0,5441 -0,2234 0,0379 0,2198 0,3162 0,3266 0,2593 0,1361 -0,0124 -0,1600 -0,2976 -0,4382 -0,6053 -0,8146 -1,0703 -1,3773 -1,7538 -2,2298 -2,8314 -3,5610 -4,3904 -5,2644 -6,1119 -6,8661 -7,4849 -7,9587 -8,3016 -8,5360 -8,6782 -8,7326 -8,6933 -8,5502 -8,3018 -7,9703 -7,6060 -7,2757 -7,0452 -6,9655 -7,0618 -7,3243 -7,7079 -8,1448 -8,5598 -8,8798 -9,0478 -9,0403 -8,8711 -8,5805 -8,2188 -7,8309 -7,4483 -7,0888 -6,7566 -6,4442 -6,1455 -5,8673 -5,6260 -5,4357 -5,3017 -5,2165 -5,1533 -5,0666 -4,9094 -4,6575 -4,3187 -3,9213 -3,4977 -3,0737 -2,6640 -2,2710 -1,8924 -1,5286 -1,1821 -0,8488 -0,5158 -0,1671 0,2090 0,6071 0,9966 1,3325 1,5775 1,7143 1,7383 1,6414 1,4068 1,0264 0,5215 -0,0524 -0,6243 -1,1390 -1,5785 -1,9531 -2,2756 -2,5443 -2,7462 -2,8712 -2,9200 -2,9031 -2,8426 -2,7750 -2,7445 -2,7830 -2,8917 -3,0452 -3,2063 -3,3390 -3,4180 -3,4343 -3,3950 -3,3177 -3,2142 -3,0723 -2,8587 -2,5491 -2,1522 -1,7085 -1,2757 -0,9116 -0,6594 -0,5397 -0,5542 -0,6904 -0,9199 -1,1974 -1,4693 -1,6916 -1,8427 -1,9212 -1,9358 -1,8959 -1,8098 -1,6839 -1,5239 -1,3404 -1,1513 -0,9729 -0,8086 -0,6529 -0,5046 -0,3680 -0,2449 -0,1355 -0,0522 -0,0245 -0,0814 -0,2286 -0,4437 -0,6901 -0,9347 -1,1546 -1,3339 -1,4657 -1,5623 -1,6541 -1,7716 -1,9306 -2,1316 -2,3693 -2,6379 -2,9288 -3,2244 -3,4971 -3,7196 -3,8817 -4,0010 -4,1162 -4,2641 -4,4615 -4,7047 -4,9835 -5,2984 -5,6613 -6,0739 -6,5096 -6,9242 -7,2768 -7,5414 -7,7062 -7,7640 -7,7061 -7,5319 -7,2624 -6,9371 -6,5995 -6,2818 -5,9939 -5,7252 -5,4645 -5,2151 -4,9922 -4,8105 -4,6706 -4,5521 -4,4225 -4,2560 -4,0447 -3,7988 -3,5415 -3,2975 -3,0818 -2,8954 -2,7313 -2,5809 -2,4343 -2,2819 -2,1183 -1,9425 -1,7552 -1,5591 -1,3625 -1,1809 -1,0360 -0,9538 -0,9601 -1,0740 -1,2993 -1,6174 -1,9905 -2,3794 -2,7609 -3,1315 -3,4984 -3,8743 -4,2809 -4,7425 -5,2672 -5,8342 -6,4001 -6,9153 -7,3384 -7,6435 -7,8200 -7,8767 -7,8486 -7,7899 -7,7514 -7,7583 -7,8052 -7,8698 -7,9308 -7,9744 -7,9876 -7,9497 -7,8315 -7,6055 -7,2606 -6,8107 -6,2927 -5,7540 -5,2360 -4,7647 -4,3497 -3,9869 -3,6676 -3,3888 -3,1566 -2,9800 -2,8631 -2,7974 -2,7529 -2,6835 -2,5542 -2,3675 -2,1689 -2,0286 -2,0064 -2,1234 -2,3604 -2,6738 -3,0199 -3,3771 -3,7510 -4,1531 -4,5765 -4,9938 -5,3740 -5,6960 -5,9537 -6,1504 -6,2907 -6,3793 -6,4272 -6,4540 -6,4886 -6,5602 -6,6796 -6,8288 -6,9656 -7,0390 -7,0109 -6,8713 -6,6421 -6,3653 -6,0811 -5,8103 -5,5579 -5,3313 -5,1436 -5,0056 -4,9225 -4,8982 -4,9330 -5,0197 -5,1462 -5,3004 -5,4637 -5,6038 -5,6909 -5,7253 -5,7404 -5,7768 -5,8570 -5,9840 -6,1548 -6,3633 -6,5926 -6,8173 -7,0148 -7,1695 -7,2699 -7,3115 -7,3097 -7,3040 -7,3378 -7,4335 -7,5825 -7,7543 -7,9133 -8,0347 -8,1138 -8,1592 -8,1739 -8,1481 -8,0738 -7,9576 -7,8161 -7,6571 -7,4710 -7,2402 -6,9592
F3    -2,7651 -2,9086 -2,9821 -2,9685 -2,8522 -2,6276 -2,3001 -1,8867 -1,4133 -0,9098 -0,4102 0,0471 0,4296 0,7282 0,9632 1,1774 1,4184 1,7134 2,0525 2,3970 2,7017 2,9324 3,0757 3,1405 3,1494 3,1201 3,0534 2,9354 2,7450 2,4668 2,1073 1,7013 1,2971 0,9334 0,6257 0,3707 0,1575 -0,0305 -0,2201 -0,4499 -0,7539 -1,1356 -1,5618 -1,9794 -2,3398 -2,6209 -2,8358 -3,0141 -3,1724 -3,3017 -3,3837 -3,4158 -3,4199 -3,4295 -3,4713 -3,5461 -3,6201 -3,6449 -3,5944 -3,4815 -3,3452 -3,2247 -3,1407 -3,0848 -3,0241 -2,9183 -2,7360 -2,4602 -2,0854 -1,6147 -1,0653 -0,4789 0,0844 0,5741 0,9732 1,2909 1,5342 1,6869 1,7181 1,6059 1,3507 0,9676 0,4785 -0,0812 -0,6554 -1,1777 -1,5913 -1,8628 -1,9895 -1,9993 -1,9400 -1,8608 -1,8007 -1,7912 -1,8585 -2,0165 -2,2516 -2,5222 -2,7788 -2,9862 -3,1323 -3,2247 -3,2826 -3,3252 -3,3644 -3,4085 -3,4775 -3,6108 -3,8513 -4,2198 -4,6985 -5,2305 -5,7362 -6,1478 -6,4411 -6,6370 -6,7681 -6,8440 -6,8420 -6,7254 -6,4684 -6,0708 -5,5536 -4,9356 -4,2085 -3,3408 -2,3159 -1,1627 0,0555 1,2777 2,4688 3,6197 4,7256 5,7640 6,6914 7,4629 8,0588 8,4914 8,7850 8,9513 8,9844 8,8698 8,5909 8,1386 7,5264 6,7970 6,0004 5,1640 4,2860 3,3576 2,3890 1,4196 0,5026 -0,3127 -0,9947 -1,5396 -1,9683 -2,3085 -2,5782 -2,7787 -2,9003 -2,9362 -2,8916 -2,7776 -2,5986 -2,3569 -2,0621 -1,7328 -1,3913 -1,0664 -0,7918 -0,5923 -0,4700 -0,4059 -0,3658 -0,3056 -0,1852 0,0069 0,2423 0,4711 0,6489 0,7521 0,7769 0,7252 0,5934 0,3800 0,1027 -0,1953 -0,4589 -0,6435 -0,7357 -0,7584 -0,7562 -0,7696 -0,8166 -0,9033 -1,0460 -1,2749 -1,6120 -2,0522 -2,5637 -3,0991 -3,6090 -4,0584 -4,4392 -4,7717 -5,0961 -5,4505 -5,8479 -6,2759 -6,7143 -7,1443 -7,5433 -7,8874 -8,1593 -8,3512 -8,4705 -8,5490 -8,6312 -8,7480 -8,9024 -9,0709 -9,2116 -9,2811 -9,2558 -9,1447 -8,9866 -8,8274 -8,6928 -8,5836 -8,4975 -8,4413 -8,4234 -8,4468 -8,5100 -8,6031 -8,6998 -8,7603 -8,7448 -8,6250 -8,3871 -8,0350 -7,5875 -7,0668 -6,4948 -5,8991 -5,3166 -4,7855 -4,3357 -3,9878 -3,7527 -3,6270 -3,5880 -3,6031 -3,6404 -3,6678 -3,6488 -3,5472 -3,3427 -3,0432 -2,6879 -2,3348 -2,0342 -1,8107 -1,6691 -1,6096 -1,6288 -1,7139 -1,8431 -1,9936 -2,1497 -2,3097 -2,4836 -2,6855 -2,9332 -3,2481 -3,6500 -4,1524 -4,7551 -5,4362 -6,1524 -6,8481 -7,4672 -7,9692 -8,3435 -8,6058 -8,7809 -8,8866 -8,9272 -8,8940 -8,7716 -8,5484 -8,2289 -7,8408 -7,4338 -7,0671 -6,7937 -6,6532 -6,6701 -6,8458 -7,1502 -7,5242 -7,8894 -8,1619 -8,2754 -8,2057 -7,9738 -7,6281 -7,2258 -6,8210 -6,4533 -6,1393 -5,8682 -5,6102 -5,3407 -5,0616 -4,7971 -4,5699 -4,3894 -4,2525 -4,1439 -4,0375 -3,9064 -3,7369 -3,5296 -3,2929 -3,0395 -2,7847 -2,5393 -2,3032 -2,0675 -1,8275 -1,5900 -1,3640 -1,1506 -0,9420 -0,7259 -0,4984 -0,2741 -0,0828 0,0492 0,1160 0,1300 0,1023 0,0243 -0,1265 -0,3593 -0,6529 -0,9621 -1,2440 -1,4763 -1,6562 -1,7854 -1,8604 -1,8760 -1,8328 -1,7368 -1,5976 -1,4330 -1,2777 -1,1784 -1,1753 -1,2811 -1,4755 -1,7155 -1,9463 -2,1171 -2,1984 -2,1913 -2,1179 -2,0008 -1,8430 -1,6289 -1,3455 -0,9994 -0,6205 -0,2579 0,0334 0,2133 0,2662 0,1939 0,0071 -0,2694 -0,5911 -0,9001 -1,1456 -1,3022 -1,3713 -1,3651 -1,2929 -1,1614 -0,9805 -0,7640 -0,5313 -0,3057 -0,1047 0,0682 0,2134 0,3203 0,3689 0,3468 0,2596 0,1200 -0,0648 -0,2895 -0,5403 -0,7970 -1,0411 -1,2594 -1,4438 -1,5884 -1,6932 -1,7690 -1,8356 -1,9104 -2,0018 -2,1109 -2,2403 -2,3971 -2,5873 -2,8034 -3,0172 -3,1902 -3,2955 -3,3374 -3,3517 -3,3803 -3,4413 -3,5236 -3,6120 -3,7153 -3,8669 -4,0909 -4,3742 -4,6729 -4,9351 -5,1214 -5,2146 -5,2148 -5,1268 -4,9616 -4,7429 -4,5019 -4,2660 -4,0503 -3,8486 -3,6339 -3,3807 -3,0885 -2,7826 -2,4993 -2,2635 -2,0748 -1,9131 -1,7558 -1,5947 -1,4410 -1,3171 -1,2436 -1,2293 -1,2667 -1,3341 -1,4034 -1,4484 -1,4507 -1,4025 -1,3056 -1,1675 -1,0009 -0,8255 -0,6670 -0,5554 -0,5241 -0,6061 -0,8212 -1,1599 -1,5776 -2,0099 -2,4029 -2,7367 -3,0260 -3,2992 -3,5818 -3,8988 -4,2754 -4,7229 -5,2215 -5,7221 -6,1655 -6,5057 -6,7235 -6,8272 -6,8498 -6,8414 -6,8515 -6,9075 -7,0053 -7,1154 -7,2019 -7,2433 -7,2341 -7,1762 -7,0726 -6,9229 -6,7145 -6,4229 -6,0265 -5,5255 -4,9499 -4,3512 -3,7868 -3,3040 -2,9290 -2,6689 -2,5199 -2,4707 -2,4970 -2,5623 -2,6238 -2,6348 -2,5513 -2,3571 -2,0886 -1,8292 -1,6735 -1,6839 -1,8643 -2,1701 -2,5403 -2,9282 -3,3186 -3,7258 -4,1702 -4,6533 -5,1522 -5,6325 -6,0594 -6,4059 -6,6563 -6,8051 -6,8581 -6,8363 -6,7756 -6,7244 -6,7284 -6,8056 -6,9335 -7,0583 -7,1167 -7,0621 -6,8838 -6,6102 -6,2960 -5,9937 -5,7278 -5,4951 -5,2867 -5,1028 -4,9499 -4,8376 -4,7800 -4,7965 -4,9011 -5,0904 -5,3412 -5,6115 -5,8417 -5,9783 -6,0091 -5,9712 -5,9166 -5,8776 -5,8642 -5,8820 -5,9364 -6,0267 -6,1463 -6,2859 -6,4332 -6,5740 -6,7004 -6,8198 -6,9537 -7,1242 -7,3383 -7,5816 -7,8233 -8,0266 -8,1636 -8,2310 -8,2475 -8,2297 -8,1747 -8,0733 -7,9315 -7,7707 -7,6067 -7,4362 -7,2436 -7,0181
