Fp1   2,2484 1,5615 0,8390 0,2020 -0,2646 -0,5513 -0,7225 -0,8722 -1,0713 -1,3449 -1,6763 -2,0200 -2,3107 -2,4727 -2,4538 -2,2670 -1,9890 -1,7196 -1,5425 -1,4960 -1,5509 -1,6152 -1,5735 -1,3502 -0,9498 -0,4337 0,1303 0,6804 1,1518 1,4876 1,6554 1,6502 1,5033 1,2841 1,0717 0,9166 0,8310 0,8019 0,8129 0,8637 0,9680 1,1219 1,2831 1,3930 1,4139 1,3538 1,2666 1,2192 1,2408 1,2957 1,3093 1,2313 1,0695 0,8679 0,6739 0,5112 0,3676 0,2220 0,0801 -0,0331 -0,1084 -0,1655 -0,2316 -0,3049 -0,3469 -0,3099 -0,1552 0,1382 0,5476 0,9885 1,3444 1,5242 1,5052 1,3350 1,1008 0,9011 0,8246 0,9181 1,1586 1,4597 1,7179 1,8574 1,8461 1,6896 1,4302 1,1500 0,9488 0,8977 1,0073 1,2406 1,5496 1,8923 2,2165 2,4475 2,5151 2,4051 2,1720 1,8969 1,6429 1,4308 1,2354 1,0099 0,7277 0,3950 0,0197 -0,4143 -0,9339 -1,5461 -2,2189 -2,8850 -3,4880 -4,0419 -4,6158 -5,2464 -5,8925 -6,4704 -6,9050 -7,1538 -7,2061 -7,0754 -6,8031 -6,4560 -6,0942 -5,7437 -5,4118 -5,1165 -4,8895 -4,7648 -4,7669 -4,8936 -5,1064 -5,3537 -5,6040 -5,8451 -6,0551 -6,1907 -6,2050 -6,0697 -5,7790 -5,3363 -4,7579 -4,0925 -3,4081 -2,7548 -2,1646 -1,6619 -1,2243 -0,7671 -0,2152 0,4162 1,0280 1,5259 1,9034 2,2359 2,6017 3,0328 3,5334 4,0959 4,6823 5,2222 5,6423 5,9079 6,0570 6,1923 6,4139 6,7521 7,1600 7,5476 7,8124 7,8734 7,7190 7,4230 7,0941 6,8092 6,5843 6,3844 6,1652 5,9196 5,6834 5,5004 5,3920 5,3566 5,3815 5,4543 5,5709 5,7384 5,9541 6,1805 6,3536 6,4131 6,3227 6,0812 5,7171 5,2753 4,8139 4,3914 4,0414 3,7779 3,6176 3,5769 3,6692 3,9119 4,3033 4,7730 5,1823 5,4005 5,3791 5,1600 4,8429 4,5408 4,3347 4,2584 4,3228 4,5317 4,8532 5,1874 5,3976 5,3914 5,1662 4,7842 4,3246 3,8606 3,4528 3,1359 2,9070 2,7366 2,5992 2,4975 2,4693 2,5711 2,8383 3,2530 3,7582 4,2878 4,7711 5,1318 5,3222 5,3596 5,3054 5,2159 5,1265 5,0551 4,9953 4,9210 4,8095 4,6536 4,4657 4,2896 4,1948 4,2308 4,3804 4,5589 4,6599 4,6090 4,3994 4,0894 3,7607 3,4667 3,2130 2,9819 2,7658 2,5787 2,4523 2,4178 2,4654 2,5269 2,5169 2,3917 2,1751 1,9440 1,7780 1,7044 1,6963 1,7180 1,7517 1,7980 1,8770 2,0175 2,2260 2,4752 2,7204 2,9246 3,0889 3,2649 3,5206 3,8839 4,3149 4,7363 5,0881 5,3549 5,5644 5,7595 5,9537 6,1241 6,2478 6,3316 6,4189 6,5691 6,8131 7,1314 7,4795 7,8297 8,1841 8,5563 8,9493 9,3411 9,6761 9,8828 9,9062 9,7323 9,3956 8,9821 8,6172 8,4189 8,4404 8,6526 8,9847 9,3733 9,7719 10,1413 10,4536 10,6915 10,8344 10,8617 10,7842 10,6637 10,5921 10,6589 10,9292 11,4111 12,0246 12,6191 13,0461 13,2224 13,1324 12,7880 12,2068 11,4318 10,5630 9,7468 9,1119 8,7210 8,5884 8,7179 9,0930 9,6278 10,1634 10,5460 10,7059 10,6640 10,4890 10,2691 10,1017 10,0647 10,1719 10,3631 10,5440 10,6369 10,6219 10,5507 10,5050 10,5198 10,5500 10,5083 10,3304 10,0153 9,6259 9,2582 9,0065 8,9393 9,0750 9,3552 9,6516 9,8329 9,8414 9,7070 9,5121 9,3520 9,3023 9,3841 9,5484 9,7084 9,7836 9,7101 9,4552 9,0588 8,6282 8,2628 7,9975 7,8119 7,6657 7,5191 7,3480 7,1647 7,0221 6,9805 7,0692 7,2800 7,5751 7,8902 8,1409 8,2477 8,1789 7,9753 7,7240 7,5156 7,4132 7,4258 7,5078 7,5926 7,6231 7,5622 7,3989 7,1459 6,8216 6,4345 5,9925 5,5319 5,1270 4,8583 4,7689 4,8506 5,0652 5,3685 5,7281 6,1330 6,5735 7,0052 7,3526 7,5615 7,6359 7,6236 7,5830 7,5587 7,5758 7,6366 7,7058 7,7114 7,5791 7,2718 6,8099 6,2724 5,7699 5,3974 5,1994 5,1715 5,2863 5,5150 5,8273 6,1732 6,4739 6,6495 6,6712 6,5881 6,4977 6,4836 6,5747 6,7434 6,9371 7,1247 7,3070 7,4817 7,6208 7,6870 7,6571 7,5347 7,3510 7,1501 6,9731 6,8430 6,7461 6,6282 6,4289 6,1239 5,7326 5,2983 4,8707 4,4923 4,1758 3,8909 3,5849 3,2175 2,7885 2,3529 1,9963 1,7743 1,6776 1,6520 1,6328 1,5472 1,3095 0,8570 0,2000 -0,5756 -1,3597 -2,0768 -2,6868 -3,1353 -3,3424 -3,2517 -2,8723 -2,2759 -1,5614 -0,8231 -0,1552 0,3417 0,5977 0,6117 0,4339 0,1227 -0,2760 -0,7252 -1,1835 -1,6009 -1,9429 -2,2157 -2,4411 -2,6010 -2,6241 -2,4363 -2,0173 -1,4207 -0,7532 -0,1221 0,4138 0,8524 1,2133 1,4989 1,6846 1,7498 1,7157 1,6492 1,6363 1,7326 1,9207 2,1300 2,3019 2,4151 2,4642 2,4597 2,4354 2,4073 2,3408 2,1888 1,9384 1,6060 1,2065 0,7570 0,3135 -0,0325 -0,2190 -0,2538 -0,1820 -0,0419 0,1281 0,2622 0,2930 0,2050 0,0177 -0,2609 -0,6079 -0,9368 -1,1292 -1,1128 -0,8968 -0,5612 -0,2279 -0,0073 0,0610 0,0144 -0,0782 -0,1634 -0,2299 -0,2944 -0,3685 -0,4605 -0,5923 -0,7896 -1,0546 -1,3499 -1,6183 -1,8269 -1,9822 -2,1092 -2,2295 -2,3516 -2,4572 -2,5004 -2,4344 -2,2462 -1,9733 -1,6914 -1,4720 -1,3410 -1,2676 -1,1747 -0,9603 -0,5524 0,0277 0,6694
Fz    2,6722 2,1901 1,6555 1,1439 0,7114 0,3680 0,0738 -0,2338 -0,6099 -1,0868 -1,6594 -2,2729 -2,8329 -3,2386 -3,4230 -3,3794 -3,1586 -2,8447 -2,5276 -2,2713 -2,0845 -1,9200 -1,7065 -1,3993 -1,0112 -0,5979 -0,2167 0,1004 0,3465 0,5308 0,6707 0,7841 0,8875 0,9981 1,1343 1,3075 1,5071 1,6977 1,8448 1,9412 2,0057 2,0564 2,0831 2,0491 1,9207 1,7000 1,4280 1,1522 0,8898 0,6245 0,3371 0,0383 -0,2341 -0,4470 -0,5905 -0,6789 -0,7440 -0,8170 -0,9035 -0,9764 -0,9986 -0,9589 -0,8786 -0,7812 -0,6730 -0,5549 -0,4318 -0,2989 -0,1377 0,0602 0,2702 0,4498 0,5713 0,6354 0,6621 0,6801 0,7143 0,7730 0,8490 0,9305 1,0035 1,0529 1,0692 1,0547 1,0256 1,0150 1,0626 1,1912 1,3908 1,6231 1,8379 1,9895 2,0507 2,0185 1,9130 1,7737 1,6423 1,5374 1,4467 1,3443 1,2102 1,0375 0,8346 0,6207 0,4058 0,1727 -0,1119 -0,4670 -0,8788 -1,3085 -1,7204 -2,1050 -2,4748 -2,8394 -3,1895 -3,5045 -3,7686 -3,9781 -4,1392 -4,2616 -4,3601 -4,4569 -4,5701 -4,7002 -4,8339 -4,9606 -5,0830 -5,2209 -5,3995 -5,6264 -5,8778 -6,1095 -6,2864 -6,4015 -6,4646 -6,4739 -6,4077 -6,2414 -5,9661 -5,5934 -5,1530 -4,6873 -4,2353 -3,8156 -3,4267 -3,0526 -2,6586 -2,2013 -1,6630 -1,0746 -0,4945 0,0383 0,5301 1,0181 1,5392 2,1141 2,7432 3,4059 4,0637 4,6712 5,1838 5,5717 5,8423 6,0487 6,2590 6,5127 6,8035 7,0916 7,3253 7,4694 7,5277 7,5328 7,5071 7,4414 7,3123 7,1096 6,8448 6,5471 6,2479 5,9659 5,7050 5,4645 5,2434 5,0419 4,8663 4,7352 4,6675 4,6612 4,6904 4,7186 4,7110 4,6439 4,5098 4,3183 4,0936 3,8598 3,6272 3,4016 3,1940 3,0169 2,8871 2,8380 2,9101 3,1128 3,4005 3,6936 3,9154 4,0196 4,0108 3,9400 3,8703 3,8421 3,8665 3,9346 4,0263 4,1119 4,1561 4,1311 4,0271 3,8521 3,6272 3,3838 3,1565 2,9736 2,8518 2,7982 2,8128 2,8879 3,0118 3,1765 3,3724 3,5780 3,7665 3,9211 4,0377 4,1148 4,1499 4,1405 4,0891 4,0070 3,9128 3,8209 3,7302 3,6293 3,5115 3,3806 3,2459 3,1249 3,0488 3,0499 3,1338 3,2673 3,3934 3,4582 3,4322 3,3164 3,1295 2,8880 2,6009 2,2830 1,9629 1,6759 1,4514 1,3059 1,2363 1,2139 1,1897 1,1183 0,9876 0,8323 0,7125 0,6694 0,7015 0,7814 0,8860 1,0098 1,1663 1,3781 1,6564 1,9858 2,3301 2,6537 2,9500 3,2486 3,5924 4,0046 4,4752 4,9737 5,4693 5,9438 6,3954 6,8276 7,2283 7,5680 7,8255 8,0118 8,1681 8,3442 8,5729 8,8608 9,1974 9,5662 9,9457 10,3090 10,6361 10,9187 11,1494 11,3162 11,4077 11,4233 11,3825 11,3300 11,3255 11,4145 11,5984 11,8366 12,0825 12,3164 12,5448 12,7820 13,0381 13,3120 13,5790 13,7900 13,9017 13,9127 13,8715 13,8518 13,9118 14,0578 14,2426 14,4024 14,4969 14,5157 14,4561 14,3053 14,0510 13,7095 13,3376 13,0020 12,7357 12,5338 12,3930 12,3398 12,4071 12,5873 12,8237 13,0462 13,2095 13,2995 13,3235 13,3043 13,2756 13,2707 13,3049 13,3705 13,4466 13,5094 13,5396 13,5344 13,5068 13,4647 13,3944 13,2675 13,0684 12,8201 12,5799 12,4049 12,3210 12,3240 12,3911 12,4782 12,5174 12,4427 12,2302 11,9167 11,5842 11,3214 11,1782 11,1391 11,1387 11,1098 11,0185 10,8629 10,6590 10,4353 10,2241 10,0480 9,9174 9,8336 9,7888 9,7617 9,7226 9,6513 9,5500 9,4379 9,3370 9,2629 9,2164 9,1792 9,1240 9,0339 8,9162 8,8026 8,7353 8,7497 8,8624 9,0608 9,2969 9,4946 9,5774 9,5106 9,3200 9,0585 8,7593 8,4277 8,0637 7,6837 7,3256 7,0329 6,8344 6,7428 6,7668 6,9024 7,1177 7,3686 7,6245 7,8639 8,0645 8,2137 8,3213 8,4163 8,5345 8,6997 8,9082 9,1229 9,2824 9,3283 9,2347 9,0158 8,7207 8,4210 8,1790 8,0124 7,8970 7,8011 7,7059 7,6008 7,4803 7,3504 7,2237 7,1095 7,0111 6,9340 6,8902 6,8885 6,9239 6,9833 7,0642 7,1831 7,3596 7,5912 7,8476 8,0851 8,2628 8,3564 8,3669 8,3146 8,2248 8,1141 7,9827 7,8093 7,5600 7,2105 6,7631 6,2478 5,7111 5,1981 4,7345 4,3212 3,9424 3,5746 3,1913 2,7748 2,3256 1,8588 1,3961 0,9652 0,5909 0,2678 -0,0561 -0,4522 -0,9606 -1,5629 -2,1975 -2,7986 -3,3128 -3,6926 -3,9056 -3,9563 -3,8830 -3,7359 -3,5572 -3,3782 -3,2314 -3,1530 -3,1617 -3,2463 -3,3823 -3,5519 -3,7493 -3,9766 -4,2333 -4,5024 -4,7532 -4,9594 -5,1010 -5,1521 -5,0848 -4,8885 -4,5724 -4,1597 -3,6875 -3,2000 -2,7354 -2,3185 -1,9613 -1,6723 -1,4623 -1,3326 -1,2601 -1,2052 -1,1316 -1,0199 -0,8819 -0,7583 -0,6902 -0,6911 -0,7467 -0,8270 -0,9004 -0,9576 -1,0188 -1,1056 -1,2192 -1,3506 -1,4970 -1,6538 -1,7956 -1,8841 -1,9083 -1,9065 -1,9370 -2,0313 -2,1784 -2,3452 -2,4956 -2,6011 -2,6616 -2,7104 -2,7730 -2,8247 -2,8115 -2,7062 -2,5344 -2,3571 -2,2357 -2,1970 -2,2198 -2,2600 -2,2883 -2,3036 -2,3176 -2,3302 -2,3253 -2,2988 -2,2832 -2,3380 -2,5079 -2,7846 -3,1158 -3,4495 -3,7563 -4,0167 -4,2128 -4,3329 -4,3734 -4,3405 -4,2561 -4,1572 -4,0820 -4,0472 -4,0362 -4,0132 -3,9477 -3,8197 -3,6145 -3,3273 -2,9725 -2,5769
F3    2,7349 2,1150 1,4913 0,9596 0,5708 0,3038 0,0820 -0,1756 -0,5183 -0,9598 -1,4770 -2,0033 -2,4402 -2,6891 -2,6938 -2,4720 -2,1096 -1,7257 -1,4329 -1,2957 -1,2951 -1,3308 -1,2742 -1,0498 -0,6871 -0,2939 0,0217 0,2095 0,2836 0,2960 0,3035 0,3412 0,4160 0,5175 0,6332 0,7563 0,8780 0,9818 1,0581 1,1244 1,2140 1,3386 1,4647 1,5280 1,4793 1,3283 1,1365 0,9583 0,7956 0,6024 0,3315 -0,0162 -0,3858 -0,7121 -0,9575 -1,1232 -1,2458 -1,3754 -1,5326 -1,6819 -1,7556 -1,7091 -1,5426 -1,2787 -0,9466 -0,5923 -0,2708 -0,0092 0,2075 0,4013 0,5607 0,6502 0,6554 0,6022 0,5364 0,4947 0,4886 0,5057 0,5350 0,5827 0,6526 0,7282 0,7869 0,8208 0,8403 0,8639 0,9046 0,9580 1,0061 1,0348 1,0461 1,0485 1,0459 1,0419 1,0495 1,0888 1,1678 1,2604 1,3166 1,2976 1,1925 1,0050 0,7427 0,4215 0,0607 -0,3322 -0,7641 -1,2450 -1,7749 -2,3356 -2,8972 -3,4353 -3,9373 -4,3900 -4,7730 -5,0727 -5,3003 -5,4930 -5,6852 -5,8771 -6,0455 -6,1830 -6,3011 -6,3987 -6,4499 -6,4235 -6,3145 -6,1677 -6,0645 -6,0764 -6,2246 -6,4696 -6,7321 -6,9276 -6,9921 -6,8904 -6,6196 -6,2089 -5,7074 -5,1627 -4,6063 -4,0550 -3,5207 -3,0196 -2,5748 -2,2016 -1,8842 -1,5772 -1,2408 -0,8750 -0,5090 -0,1598 0,1872 0,5580 0,9673 1,4151 1,8896 2,3686 2,8305 3,2628 3,6510 3,9738 4,2300 4,4628 4,7323 5,0624 5,4200 5,7371 5,9495 6,0298 5,9979 5,8971 5,7560 5,5789 5,3677 5,1321 4,8798 4,6142 4,3411 4,0737 3,8375 3,6634 3,5591 3,4954 3,4383 3,3865 3,3617 3,3757 3,4268 3,5057 3,5884 3,6414 3,6403 3,5811 3,4801 3,3618 3,2413 3,1187 2,9774 2,7911 2,5578 2,3337 2,2140 2,2628 2,4639 2,7414 3,0096 3,2092 3,3295 3,4047 3,4747 3,5538 3,6376 3,7257 3,8210 3,9084 3,9461 3,8879 3,7150 3,4482 3,1334 2,8161 2,5317 2,3137 2,1974 2,2009 2,3013 2,4413 2,5777 2,7243 2,9246 3,1852 3,4544 3,6657 3,7816 3,8016 3,7553 3,6895 3,6459 3,6432 3,6778 3,7277 3,7571 3,7325 3,6438 3,5087 3,3612 3,2416 3,1928 3,2474 3,4020 3,6075 3,7895 3,8863 3,8814 3,8017 3,6795 3,5155 3,2845 2,9769 2,6248 2,2841 2,0016 1,8035 1,7009 1,6831 1,7012 1,6840 1,5898 1,4426 1,3114 1,2489 1,2585 1,3196 1,4257 1,5871 1,8204 2,1408 2,5391 2,9559 3,2972 3,4907 3,5349 3,5001 3,4890 3,5899 3,8474 4,2548 4,7734 5,3631 5,9948 6,6329 7,2088 7,6345 7,8579 7,9031 7,8510 7,7902 7,7849 7,8692 8,0460 8,2948 8,5920 8,9194 9,2609 9,5974 9,8999 10,1269 10,2373 10,2148 10,0873 9,9274 9,8261 9,8481 9,9977 10,2281 10,4856 10,7450 11,0029 11,2520 11,4791 11,6826 11,8677 12,0157 12,0876 12,0662 11,9882 11,9360 11,9953 12,1990 12,5034 12,8187 13,0573 13,1592 13,0888 12,8232 12,3622 11,7584 11,1226 10,5738 10,1767 9,9339 9,8331 9,8857 10,1109 10,4863 10,9291 11,3341 11,6326 11,8182 11,9233 11,9808 12,0039 11,9904 11,9356 11,8485 11,7561 11,6879 11,6610 11,6840 11,7586 11,8590 11,9177 11,8506 11,6173 11,2669 10,9161 10,6730 10,5834 10,6384 10,7983 10,9930 11,1244 11,1066 10,9134 10,5866 10,2094 9,8695 9,6250 9,4825 9,4042 9,3421 9,2655 9,1647 9,0482 8,9393 8,8598 8,8107 8,7728 8,7242 8,6566 8,5785 8,5055 8,4455 8,3930 8,3343 8,2601 8,1775 8,1023 8,0399 7,9810 7,9113 7,8261 7,7444 7,7067 7,7559 7,9087 8,1387 8,3851 8,5739 8,6445 8,5855 8,4425 8,2679 8,0669 7,8078 7,4697 7,0657 6,6373 6,2385 5,9188 5,7192 5,6731 5,7866 6,0196 6,3059 6,5910 6,8394 7,0306 7,1673 7,2777 7,4058 7,6016 7,8930 8,2526 8,5963 8,8211 8,8543 8,6814 8,3379 7,8940 7,4419 7,0666 6,8081 6,6553 6,5736 6,5258 6,4791 6,4172 6,3514 6,3064 6,2914 6,2882 6,2717 6,2358 6,1907 6,1428 6,0911 6,0428 6,0186 6,0358 6,0980 6,2049 6,3603 6,5642 6,8021 7,0451 7,2592 7,4214 7,5235 7,5532 7,4750 7,2410 6,8242 6,2429 5,5567 4,8376 4,1393 3,4919 2,9180 2,4396 2,0641 1,7700 1,5119 1,2404 0,9195 0,5391 0,1212 -0,2907 -0,6685 -1,0341 -1,4462 -1,9497 -2,5420 -3,1779 -3,7957 -4,3275 -4,6986 -4,8498 -4,7723 -4,5103 -4,1305 -3,6912 -3,2362 -2,8115 -2,4697 -2,2461 -2,1437 -2,1501 -2,2605 -2,4832 -2,8273 -3,2779 -3,7778 -4,2408 -4,5909 -4,7889 -4,8264 -4,7127 -4,4634 -4,0915 -3,6170 -3,0827 -2,5433 -2,0397 -1,5905 -1,2050 -0,9056 -0,7324 -0,7108 -0,8076 -0,9308 -0,9757 -0,8821 -0,6699 -0,4250 -0,2428 -0,1858 -0,2757 -0,4888 -0,7619 -1,0323 -1,2750 -1,4915 -1,6806 -1,8333 -1,9449 -2,0198 -2,0622 -2,0745 -2,0695 -2,0793 -2,1385 -2,2501 -2,3785 -2,4872 -2,5685 -2,6317 -2,6960 -2,7969 -2,9573 -3,1422 -3,2699 -3,2766 -3,1587 -2,9652 -2,7665 -2,6126 -2,5083 -2,4363 -2,3939 -2,4004 -2,4758 -2,6108 -2,7621 -2,8848 -2,9696 -3,0531 -3,1831 -3,3652 -3,5559 -3,7124 -3,8257 -3,9091 -3,9792 -4,0445 -4,0936 -4,0963 -4,0217 -3,8626 -3,6480 -3,4308 -3,2601 -3,1612 -3,1270 -3,1159 -3,0634 -2,9135 -2,6515 -2,3122
F7    1,0172 1,1824 1,4585 1,6698 1,6901 1,4995 1,1655 0,7881 0,4450 0,1527 -0,1195 -0,4010 -0,6981 -1,0028 -1,2907 -1,5002 -1,5459 -1,3864 -1,0722 -0,7153 -0,4365 -0,3387 -0,4790 -0,8418 -1,3285 -1,7623 -1,9503 -1,7966 -1,3448 -0,7140 -0,0358 0,5563 0,9486 1,1000 1,0744 0,9950 0,9528 0,9718 1,0382 1,1138 1,1391 1,0691 0,8991 0,6525 0,3613 0,0480 -0,2865 -0,6433 -0,9981 -1,3004 -1,4875 -1,5087 -1,3647 -1,1180 -0,8516 -0,6142 -0,4062 -0,2213 -0,0812 -0,0213 -0,0653 -0,2338 -0,5479 -0,9961 -1,4973 -1,9175 -2,1380 -2,1193 -1,9179 -1,6325 -1,3251 -0,9967 -0,6274 -0,2202 0,1926 0,5804 0,9371 1,2541 1,4906 1,6018 1,5768 1,4466 1,2722 1,0972 0,8966 0,6093 0,2309 -0,1506 -0,4035 -0,4190 -0,1765 0,2187 0,5782 0,7340 0,6089 0,2304 -0,2776 -0,7444 -1,0573 -1,2200 -1,3031 -1,3725 -1,4663 -1,5872 -1,7019 -1,7709 -1,7905 -1,8017 -1,8678 -2,0634 -2,4626 -3,0773 -3,8129 -4,5298 -5,1468 -5,6634 -6,0937 -6,4061 -6,5335 -6,4330 -6,1414 -5,7872 -5,5480 -5,5805 -5,9497 -6,5824 -7,2833 -7,8227 -8,0430 -7,9167 -7,5186 -6,9440 -6,2651 -5,5607 -4,9375 -4,4777 -4,1691 -3,9092 -3,5948 -3,2132 -2,8475 -2,6117 -2,5821 -2,7462 -2,9699 -3,0417 -2,8027 -2,2456 -1,4938 -0,7081 -0,0010 0,5915 1,0882 1,5430 2,0224 2,5607 3,1302 3,6542 4,0439 4,2410 4,2637 4,2173 4,2286 4,3486 4,5214 4,6585 4,7445 4,8464 5,0080 5,1725 5,2427 5,1956 5,0899 4,9567 4,7261 4,2952 3,6618 2,9593 2,3544 1,9421 1,7313 1,6822 1,7418 1,8699 2,0482 2,2696 2,5226 2,7843 3,0190 3,1770 3,2161 3,1342 2,9703 2,7780 2,5959 2,4310 2,2774 2,1621 2,1610 2,3450 2,7059 3,1449 3,5238 3,7227 3,6970 3,5058 3,2649 3,0734 2,9805 2,9767 2,9977 2,9747 2,8965 2,8008 2,7236 2,6701 2,6067 2,4653 2,1788 1,7363 1,2033 0,6866 0,2878 0,0815 0,0909 0,2703 0,5339 0,8065 1,0582 1,3062 1,5790 1,8748 2,1573 2,3864 2,5521 2,6826 2,8066 2,8958 2,8699 2,6685 2,3040 1,8596 1,4639 1,2385 1,2341 1,4120 1,6846 1,9662 2,1847 2,2639 2,1404 1,8140 1,3548 0,8439 0,3301 -0,1488 -0,5351 -0,7725 -0,8464 -0,7855 -0,6288 -0,3952 -0,0885 0,2666 0,6096 0,8811 1,0608 1,1615 1,2017 1,1911 1,1352 1,0437 0,9308 0,8059 0,6612 0,4800 0,2665 0,0628 -0,0637 -0,0483 0,1471 0,5150 0,9877 1,4548 1,8062 1,9787 1,9870 1,9059 1,7994 1,6702 1,4880 1,2617 1,0726 1,0316 1,2062 1,5779 2,0595 2,5603 3,0280 3,4471 3,8281 4,1913 4,5464 4,8927 5,2264 5,5356 5,8077 6,0426 6,2404 6,3855 6,4527 6,4192 6,2777 6,0506 5,7765 5,4922 5,2389 5,0687 5,0327 5,1664 5,4741 5,9123 6,3980 6,8496 7,2192 7,4909 7,6626 7,7308 7,6816 7,4937 7,1566 6,6928 6,1745 5,7199 5,4515 5,4472 5,7272 6,2614 6,9643 7,7019 8,3269 8,7163 8,7963 8,5685 8,1176 7,5642 7,0013 6,4911 6,0970 5,8745 5,8247 5,8887 5,9907 6,0838 6,1663 6,2723 6,4426 6,6807 6,9249 7,0647 6,9981 6,7037 6,2732 5,8586 5,5876 5,5184 5,6319 5,8512 6,0775 6,2232 6,2462 6,1895 6,1592 6,2179 6,3024 6,2754 6,0625 5,7423 5,4915 5,4450 5,6197 5,9353 6,2567 6,4358 6,3638 6,0159 5,4670 4,8639 4,3482 3,9929 3,8026 3,7441 3,7701 3,8281 3,8613 3,8203 3,6872 3,4885 3,2792 3,1226 3,0857 3,2210 3,5278 3,9274 4,2773 4,4239 4,2820 3,8931 3,3989 2,9486 2,6352 2,4955 2,5287 2,7115 3,0138 3,3916 3,7640 4,0343 4,1677 4,2224 4,2639 4,2777 4,2057 4,0384 3,8266 3,6197 3,4251 3,2166 2,9702 2,6983 2,4504 2,2758 2,1845 2,1614 2,2243 2,4189 2,7393 3,0871 3,3306 3,4034 3,3548 3,3114 3,3819 3,5825 3,8430 4,0667 4,1829 4,1621 4,0070 3,7444 3,4332 3,1492 2,9460 2,8382 2,8111 2,8280 2,8542 2,9071 3,0614 3,3794 3,8413 4,3450 4,7607 4,9858 4,9696 4,7172 4,2850 3,7507 3,1568 2,4980 1,7816 1,0828 0,5249 0,2117 0,1744 0,3622 0,6725 1,0004 1,2707 1,4324 1,4564 1,3532 1,1726 0,9755 0,8008 0,6395 0,4346 0,1223 -0,3192 -0,8585 -1,4335 -1,9875 -2,4959 -2,9447 -3,2928 -3,4899 -3,5261 -3,4493 -3,3449 -3,2929 -3,3221 -3,4080 -3,5220 -3,6652 -3,8461 -4,0510 -4,2486 -4,4126 -4,5323 -4,6037 -4,5938 -4,4249 -4,0386 -3,4813 -2,9021 -2,4564 -2,2099 -2,1292 -2,1510 -2,2325 -2,3347 -2,3925 -2,3350 -2,1365 -1,8458 -1,5641 -1,3836 -1,3320 -1,3660 -1,4054 -1,3774 -1,2564 -1,0760 -0,9033 -0,8101 -0,8561 -1,0545 -1,3252 -1,5105 -1,4899 -1,2845 -1,0328 -0,8770 -0,8841 -1,0427 -1,2966 -1,5878 -1,8870 -2,1857 -2,4607 -2,6611 -2,7454 -2,7298 -2,6842 -2,6791 -2,7403 -2,8459 -2,9625 -3,0685 -3,1373 -3,1244 -3,0015 -2,7968 -2,5965 -2,5132 -2,6344 -2,9722 -3,4565 -3,9666 -4,3630 -4,5317 -4,4435 -4,1638 -3,7989 -3,4483 -3,1909 -3,0729 -3,0938 -3,2111 -3,3645 -3,5089 -3,6322 -3,7477 -3,8731 -4,0131 -4,1628 -4,3378 -4,5814 -4,9068 -5,2378 -5,4327 -5,3795 -5,0684 -4,5750 -3,9989 -3,4353 -2,9896 -2,7814 -2,8982 -3,3261
