Fp1   -1,7606 -1,4234 -1,1160 -0,8059 -0,4540 -0,0401 0,4241 0,9027 1,3560 1,7512 2,0579 2,2400 2,2591 2,1000 1,7909 1,3906 0,9585 0,5462 0,1984 -0,0560 -0,2202 -0,3321 -0,4483 -0,6163 -0,8492 -1,1244 -1,4044 -1,6584 -1,8734 -2,0454 -2,1624 -2,2030 -2,1592 -2,0560 -1,9398 -1,8438 -1,7634 -1,6580 -1,4703 -1,1575 -0,7153 -0,1781 0,4044 0,9926 1,5647 2,1047 2,5897 2,9982 3,3255 3,5796 3,7639 3,8725 3,8911 3,7985 3,5797 3,2498 2,8615 2,4884 2,1967 2,0244 1,9791 2,0417 2,1804 2,3751 2,6302 2,9572 3,3482 3,7671 4,1600 4,4661 4,6276 4,6103 4,4295 4,1473 3,8359 3,5467 3,3031 3,1069 2,9487 2,8194 2,7139 2,6299 2,5679 2,5423 2,5849 2,7234 2,9554 3,2448 3,5398 3,7924 3,9618 4,0071 3,8924 3,6034 3,1605 2,6203 2,0683 1,5915 1,2410 1,0202 0,9025 0,8463 0,7971 0,6939 0,4879 0,1659 -0,2361 -0,6350 -0,9325 -1,0651 -1,0294 -0,8662 -0,6324 -0,3830 -0,1598 0,0156 0,1542 0,3083 0,5437 0,8864 1,3131 1,7935 2,3240 2,9200 3,5914 4,3237 5,0710 5,7691 6,3574 6,7944 7,0658 7,1981 7,2649 7,3704 7,6113 8,0394 8,6445 9,3600 10,0924 10,7592 11,3031 11,6860 11,8869 11,9137 11,8165 11,6822 11,6044 11,6449 11,8118 12,0653 12,3390 12,5597 12,6672 12,6342 12,4690 12,1950 11,8319 11,3936 10,8921 10,3397 9,7596 9,2036 8,7431 8,4247 8,2288 8,0863 7,9396 7,7774 7,6210 7,5006 7,4416 7,4509 7,5070 7,5636 7,5716 7,4981 7,3328 7,0849 6,7708 6,4019 5,9896 5,5566 5,1336 4,7456 4,4052 4,1131 3,8582 3,6174 3,3625 3,0745 2,7549 2,4203 2,0898 1,7783 1,4953 1,2429 1,0146 0,7960 0,5782 0,3687 0,1813 0,0255 -0,0875 -0,1464 -0,1461 -0,0788 0,0814 0,3702 0,8023 1,3399 1,8919 2,3500 2,6335 2,7136 2,6095 2,3710 2,0644 1,7612 1,5182 1,3588 1,2797 1,2728 1,3298 1,4351 1,5703 1,7274 1,9097 2,1228 2,3649 2,6194 2,8539 3,0341 3,1414 3,1765 3,1489 3,0784 3,0030 2,9747 3,0409 3,2209 3,4914 3,7914 4,0467 4,2035 4,2550 4,2332 4,1729 4,0940 4,0066 3,9093 3,7847 3,6083 3,3553 2,9970 2,5101 1,9022 1,2310 0,5910 0,0751 -0,2592 -0,4051 -0,4083 -0,3488 -0,3028 -0,3070 -0,3524 -0,4049 -0,4276 -0,3960 -0,3051 -0,1667 -0,0036 0,1538 0,2747 0,3404 0,3492 0,3229 0,3098 0,3664 0,5269 0,7877 1,1154 1,4559 1,7406 1,8985 1,8854 1,7170 1,4770 1,2842 1,2377 1,3792 1,6881 2,1012 2,5467 2,9729 3,3515 3,6685 3,9213 4,1238 4,2995 4,4696 4,6474 4,8321 4,9953 5,0874 5,0708 4,9490 4,7650 4,5795 4,4509 4,4289 4,5455 4,7948 5,1196 5,4287 5,6367 5,7071 5,6732 5,6209 5,6403 5,7729 5,9920 6,2255 6,3926 6,4357 6,3487 6,1810 6,0027 5,8649 5,7867 5,7585 5,7427 5,6778 5,5007 5,1772 4,7193 4,1802 3,6367 3,1666 2,8295 2,6604 2,6659 2,8173 3,0543 3,3000 3,4809 3,5509 3,5071 3,3900 3,2625 3,1718 3,1242 3,0943 3,0482 2,9549 2,7887 2,5398 2,2243 1,8761 1,5260 1,1906 0,8745 0,5834 0,3383 0,1713 0,0983 0,0976 0,1202 0,1204 0,0858 0,0368 -0,0053 -0,0467 -0,1171 -0,2383 -0,3992 -0,5519 -0,6333 -0,5983 -0,4369 -0,1644 0,1959 0,6221 1,0942 1,5868 2,0674 2,5112 2,9172 3,2962 3,6462 3,9461 4,1684 4,2891 4,2857 4,1393 3,8597 3,5147 3,2118 3,0369 3,0150 3,1174 3,2833 3,4382 3,5175 3,4861 3,3410 3,1087 2,8456 2,6335 2,5564 2,6629 2,9515 3,3888 3,9270 4,5071 5,0680 5,5546 5,9157 6,1066 6,1041 5,9193 5,5946 5,1948 4,7961 4,4669 4,2500 4,1645 4,2126 4,3781 4,6216 4,8836 5,1037 5,2477 5,3241 5,3691 5,4083 5,4325 5,4183 5,3609 5,2757 5,1870 5,1259 5,1174 5,1564 5,1953 5,1633 5,0131 4,7588 4,4668 4,2141 4,0544 4,0028 4,0332 4,0812 4,0666 3,9395 3,7155 3,4644 3,2655 3,1735 3,2126 3,3862 3,6821 4,0663 4,4829 4,8756 5,2128 5,4837 5,6742 5,7668 5,7670 5,7095 5,6269 5,5201 5,3611 5,1221 4,8077 4,4586 4,1193 3,8101 3,5347 3,3023 3,1318 3,0295 2,9559 2,8311 2,5952 2,2508 1,8432 1,4257 1,0429 0,7262 0,4934 0,3484 0,2811 0,2760 0,3258 0,4401 0,6399 0,9436 1,3550 1,8573 2,4237 3,0373 3,6964 4,4000 5,1401 5,9092 6,7039 7,5161 8,3189 9,0705 9,7348 10,2917 10,7374 11,0855 11,3596 11,5787 11,7595 11,9325 12,1360 12,3791 12,6142 12,7537 12,7182 12,4842 12,1044 11,6836 11,3180 11,0431 10,8323 10,6373 10,4178 10,1342 9,7391 9,1912 8,4850 7,6721 6,8551 6,1446 5,6052 5,2251 4,9255 4,6038 4,1877 3,6619 3,0603 2,4456 1,8905 1,4477 1,1201 0,8693 0,6531 0,4508 0,2596 0,0883 -0,0350 -0,0605 0,0578 0,3234 0,6860 1,0558 1,3334 1,4470 1,3728 1,1213 0,7238 0,2377 -0,2604 -0,7016 -1,0533 -1,3338 -1,5985 -1,9004 -2,2635 -2,6861 -3,1410 -3,5677 -3,8846 -4,0322 -4,0187 -3,9167 -3,7962 -3,6569 -3,4276 -3,0267 -2,4251 -1,6674 -0,8407 -0,0257 0,7174 1,3333 1,7710 2,0041 2,0500 1,9767 1,8826 1,8516 1,9202 2,0684
Fz    -1,3624 -1,2671 -1,0774 -0,7684 -0,3402 0,1781 0,7322 1,2548 1,6840 1,9786 2,1227 2,1188 1,9774 1,7144 1,3556 0,9333 0,4832 0,0497 -0,3165 -0,5816 -0,7485 -0,8535 -0,9419 -1,0456 -1,1781 -1,3426 -1,5373 -1,7549 -1,9838 -2,2024 -2,3670 -2,4169 -2,3078 -2,0438 -1,6798 -1,2931 -0,9476 -0,6711 -0,4521 -0,2577 -0,0583 0,1619 0,4162 0,7307 1,1376 1,6526 2,2628 2,9349 3,6269 4,2908 4,8748 5,3337 5,6411 5,8001 5,8427 5,8149 5,7644 5,7381 5,7731 5,8790 6,0326 6,1934 6,3284 6,4257 6,4923 6,5425 6,5864 6,6238 6,6445 6,6297 6,5633 6,4536 6,3368 6,2491 6,1980 6,1584 6,0902 5,9585 5,7483 5,4689 5,1502 4,8265 4,5119 4,1939 3,8537 3,4897 3,1208 2,7756 2,4785 2,2441 2,0735 1,9545 1,8658 1,7792 1,6606 1,4788 1,2209 0,8975 0,5335 0,1640 -0,1668 -0,4204 -0,5856 -0,6913 -0,7953 -0,9504 -1,1688 -1,4130 -1,6114 -1,6906 -1,6039 -1,3458 -0,9526 -0,4865 -0,0117 0,4248 0,8063 1,1513 1,4936 1,8544 2,2404 2,6664 3,1612 3,7450 4,4044 5,0975 5,7815 6,4355 7,0600 7,6655 8,2681 8,8943 9,5733 10,3137 11,0926 11,8682 12,5936 13,2187 13,6991 14,0119 14,1639 14,1851 14,1181 14,0063 13,8852 13,7806 13,7153 13,7115 13,7830 13,9249 14,1120 14,3059 14,4652 14,5566 14,5572 14,4541 14,2484 13,9618 13,6285 13,2793 12,9386 12,6329 12,3897 12,2121 12,0598 11,8722 11,6154 11,3031 10,9777 10,6877 10,4761 10,3645 10,3358 10,3452 10,3531 10,3424 10,3077 10,2476 10,1676 10,0797 9,9953 9,9159 9,8230 9,6793 9,4443 9,0920 8,6155 8,0199 7,3214 6,5579 5,7890 5,0742 4,4450 3,8971 3,4094 2,9678 2,5704 2,2154 1,9047 1,6521 1,4703 1,3559 1,3029 1,3192 1,4206 1,6129 1,8794 2,1808 2,4704 2,7099 2,8686 2,9260 2,8819 2,7533 2,5593 2,3168 2,0552 1,8231 1,6653 1,5967 1,6075 1,6842 1,8126 1,9702 2,1259 2,2578 2,3685 2,4840 2,6394 2,8644 3,1742 3,5673 4,0251 4,5079 4,9598 5,3293 5,5922 5,7561 5,8511 5,9109 5,9597 6,0076 6,0457 6,0514 6,0131 5,9428 5,8578 5,7651 5,6648 5,5556 5,4328 5,2863 5,0987 4,8466 4,5143 4,1139 3,6912 3,3085 3,0158 2,8310 2,7332 2,6768 2,6145 2,5159 2,3717 2,1904 1,9980 1,8334 1,7317 1,7090 1,7677 1,9094 2,1344 2,4325 2,7782 3,1371 3,4806 3,7978 4,0929 4,3732 4,6391 4,8803 5,0701 5,1615 5,1011 4,8670 4,5047 4,1225 3,8421 3,7385 3,8137 4,0144 4,2715 4,5332 4,7696 4,9610 5,0963 5,1855 5,2660 5,3891 5,5980 5,9092 6,3001 6,7139 7,0863 7,3796 7,5989 7,7806 7,9609 8,1509 8,3354 8,4868 8,5781 8,5842 8,4828 8,2655 7,9493 7,5771 7,2084 6,9097 6,7429 6,7474 6,9215 7,2117 7,5280 7,7854 7,9404 7,9991 7,9989 7,9819 7,9689 7,9382 7,8210 7,5283 7,0027 6,2550 5,3647 4,4516 3,6349 2,9998 2,5880 2,4011 2,3995 2,5066 2,6305 2,6970 2,6748 2,5781 2,4487 2,3298 2,2391 2,1581 2,0469 1,8723 1,6236 1,3094 0,9498 0,5697 0,1921 -0,1682 -0,5097 -0,8457 -1,1843 -1,4952 -1,7087 -1,7627 -1,6577 -1,4675 -1,2895 -1,1733 -1,0985 -1,0100 -0,8649 -0,6540 -0,3989 -0,1404 0,0785 0,2343 0,3386 0,4383 0,6035 0,9038 1,3815 2,0361 2,8279 3,6927 4,5618 5,3775 6,0955 6,6852 7,1317 7,4308 7,5822 7,5871 7,4505 7,1942 6,8752 6,5770 6,3675 6,2656 6,2485 6,2750 6,3004 6,2943 6,2472 6,1566 6,0190 5,8465 5,6832 5,5903 5,6045 5,7092 5,8557 6,0040 6,1376 6,2466 6,3089 6,2947 6,1886 6,0016 5,7585 5,4746 5,1516 4,7930 4,4252 4,0981 3,8635 3,7546 3,7862 3,9592 4,2579 4,6503 5,0934 5,5400 5,9389 6,2360 6,3829 6,3516 6,1472 5,8100 5,4042 5,0037 4,6768 4,4624 4,3521 4,2980 4,2433 4,1472 3,9988 3,8243 3,6713 3,5813 3,5785 3,6704 3,8451 4,0789 4,3523 4,6532 4,9748 5,3162 5,6795 6,0585 6,4351 6,7830 7,0792 7,3171 7,5033 7,6306 7,6698 7,6037 7,4649 7,3172 7,2003 7,1024 6,9803 6,7955 6,5428 6,2506 5,9522 5,6641 5,3974 5,1693 4,9864 4,8289 4,6584 4,4453 4,1958 3,9421 3,6961 3,4226 3,0710 2,6278 2,1323 1,6518 1,2481 0,9657 0,8402 0,9018 1,1652 1,6203 2,2326 2,9487 3,7072 4,4609 5,1945 5,9247 6,6898 7,5329 8,4748 9,4898 10,5065 11,4375 12,2156 12,8124 13,2413 13,5515 13,8020 14,0300 14,2462 14,4543 14,6635 14,8860 15,1275 15,3779 15,6139 15,8177 15,9875 16,1256 16,2123 16,1988 16,0345 15,6994 15,2065 14,5829 13,8564 13,0455 12,1558 11,1914 10,1723 9,1414 8,1539 7,2482 6,4230 5,6453 4,8891 4,1682 3,5349 3,0472 2,7301 2,5549 2,4498 2,3384 2,1789 1,9748 1,7580 1,5653 1,4213 1,3361 1,3088 1,3258 1,3616 1,3854 1,3682 1,2866 1,1219 0,8628 0,5149 0,1077 -0,3121 -0,6992 -1,0363 -1,3506 -1,6957 -2,1104 -2,5895 -3,0891 -3,5489 -3,8997 -4,0684 -4,0084 -3,7333 -3,3132 -2,8329 -2,3499 -1,8740 -1,3776 -0,8319 -0,2424 0,3522 0,9090 1,3950 1,7777 2,0294 2,1530 2,2024 2,2770 2,4841 2,8848 3,4579 4,1028
F3    -1,9347 -1,5796 -1,0411 -0,4128 0,2055 0,7389 1,1471 1,4107 1,5180 1,4762 1,3288 1,1481 1,0013 0,9146 0,8655 0,8017 0,6718 0,4560 0,1797 -0,1061 -0,3603 -0,5695 -0,7353 -0,8621 -0,9634 -1,0638 -1,1792 -1,2946 -1,3655 -1,3469 -1,2259 -1,0282 -0,7954 -0,5609 -0,3496 -0,1850 -0,0793 -0,0215 0,0079 0,0109 -0,0305 -0,1318 -0,2752 -0,3942 -0,3893 -0,1651 0,3338 1,0988 2,0532 3,0783 4,0524 4,8736 5,4766 5,8548 6,0615 6,1719 6,2438 6,3019 6,3385 6,3255 6,2360 6,0608 5,8063 5,4707 5,0290 4,4559 3,7685 3,0386 2,3636 1,8309 1,5093 1,4511 1,6716 2,1206 2,6886 3,2507 3,7127 4,0372 4,2347 4,3286 4,3293 4,2323 4,0195 3,6653 3,1534 2,4879 1,6974 0,8413 0,0106 -0,6902 -1,1717 -1,3752 -1,2743 -0,8886 -0,2999 0,3601 0,9484 1,3503 1,5026 1,3962 1,0600 0,5409 -0,1014 -0,8013 -1,5078 -2,1864 -2,8045 -3,3385 -3,7955 -4,1996 -4,5502 -4,8096 -4,9250 -4,8456 -4,5287 -3,9532 -3,1313 -2,1041 -0,9271 0,3427 1,6474 2,9140 4,0378 4,8906 5,3689 5,4622 5,2852 5,0357 4,9086 5,0356 5,4743 6,2160 7,1849 8,2377 9,2012 9,9377 10,3873 10,5711 10,5669 10,4781 10,4139 10,4739 10,7204 11,1507 11,6927 12,2344 12,6679 12,9220 12,9726 12,8410 12,5810 12,2558 11,9143 11,5740 11,2262 10,8676 10,5307 10,2768 10,1557 10,1695 10,2647 10,3476 10,3160 10,1031 9,7121 9,2085 8,6734 8,1616 7,6967 7,2851 6,9202 6,5850 6,2652 5,9641 5,7074 5,5325 5,4716 5,5429 5,7431 6,0302 6,3151 6,4856 6,4495 6,1639 5,6419 4,9419 4,1431 3,3186 2,5236 1,7957 1,1537 0,5974 0,1090 -0,3365 -0,7456 -1,0894 -1,3212 -1,4127 -1,3697 -1,2244 -1,0306 -0,8564 -0,7553 -0,7272 -0,7075 -0,6060 -0,3777 -0,0640 0,2415 0,4622 0,5727 0,5944 0,5756 0,5603 0,5695 0,6117 0,7077 0,8861 1,1438 1,4250 1,6520 1,7671 1,7488 1,6094 1,3857 1,1275 0,8916 0,7372 0,7184 0,8759 1,2388 1,8269 2,6374 3,6280 4,7165 5,7877 6,7102 7,3698 7,7074 7,7371 7,5419 7,2450 6,9526 6,7042 6,4815 6,2504 5,9846 5,6679 5,2964 4,8805 4,4429 4,0163 3,6396 3,3486 3,1614 3,0677 3,0269 2,9769 2,8560 2,6330 2,3212 1,9616 1,5936 1,2419 0,9190 0,6272 0,3651 0,1460 -0,0008 -0,0531 -0,0096 0,1255 0,3542 0,6671 1,0302 1,4016 1,7572 2,0940 2,4213 2,7522 3,0929 3,4294 3,7314 3,9707 4,1344 4,2324 4,3052 4,4150 4,6095 4,8869 5,1994 5,4875 5,7135 5,8707 5,9751 6,0502 6,1173 6,1909 6,2768 6,3762 6,5018 6,6842 6,9559 7,3290 7,7856 8,2853 8,7879 9,2669 9,6918 10,0114 10,1699 10,1345 9,9082 9,5205 9,0111 8,4168 7,7748 7,1405 6,5957 6,2204 6,0546 6,0959 6,3221 6,6966 7,1548 7,6039 7,9491 8,1347 8,1720 8,1245 8,0510 7,9519 7,7605 7,3920 6,8089 6,0581 5,2582 4,5482 4,0237 3,6984 3,5214 3,4278 3,3768 3,3495 3,3348 3,3318 3,3550 3,4224 3,5315 3,6442 3,6988 3,6370 3,4247 3,0636 2,5891 2,0566 1,5238 1,0325 0,6047 0,2655 0,0533 -0,0122 0,0482 0,2040 0,4400 0,7362 1,0422 1,2821 1,3862 1,3242 1,1153 0,8180 0,5109 0,2603 0,0892 -0,0248 -0,1211 -0,2208 -0,3037 -0,3093 -0,1552 0,2272 0,8481 1,6413 2,4860 3,2547 3,8647 4,3034 4,6061 4,8154 4,9546 5,0278 5,0437 5,0372 5,0557 5,1243 5,2207 5,2776 5,2144 4,9874 4,6240 4,2131 3,8665 3,6786 3,6936 3,8879 4,1833 4,4832 4,7094 4,8254 4,8294 4,7271 4,5243 4,2433 3,9216 3,5913 3,2726 2,9886 2,7789 2,6876 2,7269 2,8516 2,9676 2,9744 2,8307 2,5869 2,3500 2,2253 2,2882 2,5759 3,0776 3,7268 4,4185 5,0461 5,5311 5,8352 5,9605 5,9311 5,7717 5,4990 5,1176 4,6258 4,0436 3,4332 2,8864 2,4844 2,2608 2,1904 2,2177 2,2942 2,3920 2,5026 2,6441 2,8645 3,2196 3,7374 4,3915 5,0978 5,7508 6,2824 6,6879 6,9890 7,1815 7,2287 7,0993 6,8046 6,4024 5,9708 5,5875 5,3255 5,2363 5,3107 5,4629 5,5809 5,5960 5,5045 5,3460 5,1726 5,0175 4,8883 4,7892 4,7215 4,6528 4,5208 4,2843 3,9578 3,5968 3,2487 2,8951 2,4467 1,8235 1,0511 0,2637 -0,3865 -0,8106 -0,9866 -0,9260 -0,6559 -0,2139 0,3641 1,0536 1,8309 2,6549 3,4757 4,2659 5,0436 5,8622 6,7680 7,7497 8,7158 9,5317 10,0960 10,3971 10,5138 10,5766 10,7088 10,9681 11,3269 11,6984 11,9775 12,0858 12,0156 11,8368 11,6572 11,5756 11,6519 11,8869 12,2199 12,5481 12,7562 12,7519 12,4995 12,0288 11,4169 10,7509 10,0895 9,4482 8,8099 8,1409 7,4079 6,5970 5,7166 4,7786 3,7898 2,7696 1,7744 0,9016 0,2565 -0,1103 -0,2398 -0,2369 -0,2118 -0,2432 -0,3652 -0,5590 -0,7575 -0,8745 -0,8494 -0,6776 -0,4130 -0,1350 0,0995 0,2736 0,3773 0,3774 0,2401 -0,0265 -0,3724 -0,7390 -1,0836 -1,3907 -1,6841 -2,0305 -2,5132 -3,1722 -3,9511 -4,7089 -5,2884 -5,5742 -5,5082 -5,0794 -4,3261 -3,3546 -2,3283 -1,3997 -0,6317 0,0031 0,5424 0,9795 1,2873 1,4622 1,5150 1,4381 1,2226 0,9255 0,6892 0,6737 0,9684 1,5518 2,3091
F7    -1,8318 -1,4496 -1,1360 -0,8345 -0,4764 -0,0141 0,5549 1,1941 1,8569 2,4975 3,0546 3,4410 3,5690 3,4069 3,0161 2,5151 2,0017 1,5162 1,0663 0,6638 0,3284 0,0578 -0,1955 -0,5038 -0,9050 -1,3656 -1,8036 -2,1442 -2,3582 -2,4591 -2,4730 -2,4190 -2,3202 -2,2268 -2,2064 -2,3021 -2,4979 -2,7114 -2,8133 -2,6842 -2,2758 -1,6231 -0,8070 0,0865 0,9877 1,8404 2,5880 3,1802 3,5917 3,8226 3,8894 3,8175 3,6230 3,2950 2,8170 2,2073 1,5318 0,8800 0,3350 -0,0327 -0,1562 0,0060 0,4301 1,0349 1,7374 2,4826 3,2266 3,9079 4,4427 4,7430 4,7367 4,3984 3,7862 3,0388 2,3190 1,7562 1,4156 1,2836 1,2776 1,2947 1,2647 1,1658 1,0218 0,9099 0,9438 1,2063 1,6943 2,3320 3,0189 3,6634 4,1824 4,4863 4,4980 4,1984 3,6423 2,9374 2,2176 1,6118 1,2029 1,0012 0,9532 0,9683 0,9444 0,7938 0,4701 -0,0145 -0,5832 -1,1106 -1,4801 -1,6613 -1,7243 -1,7733 -1,8723 -2,0244 -2,1950 -2,3367 -2,3841 -2,2413 -1,8312 -1,1745 -0,3899 0,3921 1,1086 1,7812 2,4840 3,2770 4,1412 4,9681 5,6067 5,9240 5,8548 5,4348 4,8136 4,2261 3,9160 4,0404 4,6115 5,5027 6,5232 7,5134 8,3840 9,0923 9,6110 9,9300 10,0846 10,1714 10,3096 10,5692 10,9388 11,3504 11,7200 11,9702 12,0468 11,9444 11,7114 11,4139 11,0845 10,7036 10,2179 9,5797 8,7926 7,9408 7,1629 6,5720 6,1925 5,9780 5,8787 5,8741 5,9556 6,1047 6,2936 6,4985 6,6978 6,8602 6,9468 6,9275 6,7916 6,5466 6,1957 5,7132 5,0640 4,2575 3,3750 2,5447 1,8885 1,4691 1,2633 1,1795 1,1027 0,9382 0,6344 0,1892 -0,3455 -0,8685 -1,2641 -1,4549 -1,4424 -1,3126 -1,1954 -1,2025 -1,3915 -1,7533 -2,2155 -2,6781 -3,0508 -3,2511 -3,1896 -2,7859 -2,0194 -0,9729 0,1831 1,2527 2,0718 2,5427 2,6511 2,4582 2,0749 1,6345 1,2477 0,9597 0,7605 0,6340 0,5822 0,6132 0,7289 0,9251 1,1930 1,5189 1,8821 2,2443 2,5479 2,7374 2,7913 2,7306 2,6002 2,4499 2,3307 2,3019 2,4290 2,7513 3,2429 3,8152 4,3613 4,8047 5,1179 5,3016 5,3619 5,3194 5,2147 5,0732 4,8825 4,6156 4,2511 3,7703 3,1582 2,4166 1,5833 0,7370 -0,0231 -0,6092 -0,9752 -1,1325 -1,1368 -1,0427 -0,8700 -0,6226 -0,3291 -0,0382 0,2214 0,4584 0,6927 0,9147 1,0702 1,0957 0,9668 0,7103 0,3923 0,1093 -0,0390 0,0089 0,2537 0,6451 1,1021 1,5319 1,8422 1,9556 1,8448 1,5694 1,2662 1,0925 1,1646 1,5187 2,1084 2,8484 3,6663 4,5114 5,3322 6,0695 6,6677 7,0852 7,3047 7,3456 7,2534 7,0559 6,7372 6,2678 5,6526 4,9432 4,2252 3,6092 3,2212 3,1683 3,4794 4,0716 4,7720 5,3805 5,7632 5,9373 6,0669 6,3374 6,8076 7,3773 7,8749 8,1532 8,1380 7,8477 7,3831 6,8728 6,4114 6,0418 5,7638 5,5406 5,3136 5,0347 4,6921 4,3074 3,9143 3,5459 3,2343 3,0157 2,9387 3,0508 3,3557 3,7916 4,2487 4,6093 4,7885 4,7563 4,5410 4,2201 3,8886 3,6198 3,4470 3,3630 3,3214 3,2483 3,0787 2,7893 2,4013 1,9661 1,5498 1,2142 1,0081 0,9767 1,1503 1,5006 1,9287 2,3115 2,5564 2,6225 2,5073 2,2189 1,7608 1,1403 0,3959 -0,3744 -1,0137 -1,3617 -1,3393 -0,9882 -0,4307 0,2039 0,8323 1,4306 1,9986 2,5141 2,9412 3,2708 3,5198 3,6915 3,7725 3,7687 3,7134 3,6246 3,4748 3,2308 2,9082 2,5630 2,2410 1,9668 1,7643 1,6492 1,5981 1,5473 1,4278 1,2061 0,9001 0,5659 0,2773 0,1119 0,1435 0,4480 1,0913 2,0682 3,2590 4,4730 5,5273 6,2805 6,6387 6,5768 6,1554 5,5053 4,7927 4,1781 3,7686 3,5977 3,6568 3,9216 4,3233 4,7239 4,9550 4,9018 4,5748 4,1186 3,7411 3,5890 3,6685 3,8927 4,1814 4,4966 4,8303 5,1898 5,5653 5,8995 6,0899 6,0258 5,6605 5,0698 4,4314 3,9394 3,7205 3,7905 4,0542 4,3412 4,4705 4,3346 3,9583 3,4759 3,0371 2,7358 2,6189 2,7216 3,0581 3,5851 4,1958 4,7706 5,2422 5,6051 5,8618 5,9848 5,9428 5,7473 5,4599 5,1534 4,8666 4,6031 4,3669 4,1722 4,0130 3,8586 3,6972 3,5662 3,5303 3,6165 3,7394 3,7090 3,3607 2,6717 1,7490 0,7499 -0,1770 -0,9212 -1,4215 -1,6723 -1,7183 -1,6243 -1,4389 -1,1811 -0,8524 -0,4504 0,0301 0,5920 1,2360 1,9721 2,8093 3,7308 4,6951 5,6545 6,5634 7,3750 8,0405 8,5292 8,8534 9,0642 9,2245 9,3868 9,5748 9,7795 9,9881 10,2236 10,5331 10,9229 11,3108 11,5501 11,5011 11,1075 10,4449 9,7093 9,1234 8,8085 8,7345 8,7899 8,8710 8,8854 8,7136 8,2348 7,4216 6,4037 5,4169 4,6729 4,2599 4,1275 4,1337 4,1179 3,9629 3,6132 3,0534 2,3037 1,4481 0,6198 -0,0727 -0,5928 -0,9585 -1,2098 -1,3932 -1,5422 -1,6349 -1,5787 -1,2749 -0,7105 0,0240 0,7822 1,4078 1,7793 1,8456 1,6232 1,1699 0,5753 -0,0519 -0,6123 -1,0370 -1,3056 -1,4548 -1,5577 -1,6998 -1,9636 -2,3891 -2,9403 -3,5253 -4,0478 -4,4581 -4,7631 -4,9679 -5,0062 -4,7520 -4,1122 -3,1173 -1,9299 -0,7482 0,3065 1,2076 1,9527 2,5091 2,8261 2,8873 2,7481 2,5044 2,2264 1,9367 1,6266
