Fp1   0,4012 0,3503 0,1357 -0,1815 -0,4967 -0,7298 -0,7955 -0,6208 -0,2130 0,3288 0,8655 1,2731 1,4513 1,3415 1,0181 0,6882 0,4930 0,3769 0,2239 0,0262 -0,1424 -0,2227 -0,1814 0,0159 0,3950 0,9306 1,5204 2,0270 2,3609 2,5189 2,5496 2,5037 2,4117 2,2859 2,1153 1,8473 1,3924 0,6848 -0,2387 -1,2375 -2,1325 -2,7548 -2,9985 -2,9080 -2,6960 -2,6130 -2,7792 -3,1362 -3,5450 -3,9102 -4,2091 -4,4310 -4,5183 -4,3819 -3,9799 -3,3685 -2,6605 -1,9581 -1,3209 -0,7506 -0,2105 0,3048 0,7454 1,0650 1,2480 1,2701 1,0913 0,7035 0,1587 -0,4512 -1,0422 -1,6014 -2,2116 -2,9323 -3,6439 -4,1027 -4,1506 -3,8112 -3,2021 -2,4291 -1,5994 -0,8767 -0,4532 -0,4645 -0,9049 -1,5980 -2,2978 -2,8556 -3,2917 -3,7175 -4,2084 -4,7608 -5,3283 -5,8378 -6,1821 -6,2728 -6,1112 -5,7580 -5,2560 -4,6660 -4,1472 -3,8979 -4,0084 -4,4149 -4,9754 -5,5554 -6,0738 -6,5170 -6,9404 -7,4665 -8,2389 -9,3232 -10,6505 -12,0403 -13,2550 -14,0707 -14,3343 -14,0011 -13,1885 -12,1790 -11,2645 -10,5466 -9,9392 -9,3444 -8,7694 -8,3000 -8,0045 -7,8950 -7,9803 -8,2671 -8,6889 -9,0905 -9,2642 -9,0049 -8,2251 -7,0365 -5,6791 -4,3983 -3,3962 -2,8283 -2,7912 -3,2879 -4,1924 -5,2741 -6,2753 -6,9664 -7,1938 -6,9343 -6,2925 -5,4490 -4,6027 -3,9078 -3,4603 -3,3441 -3,6341 -4,3325 -5,3245 -6,3972 -7,3182 -7,9210 -8,1300 -7,9589 -7,5134 -6,9305 -6,2942 -5,6320 -4,9546 -4,2752 -3,6203 -3,0406 -2,6041 -2,3579 -2,3068 -2,4468 -2,7762 -3,2561 -3,8110 -4,3867 -4,9791 -5,5940 -6,1919 -6,6779 -6,9338 -6,8661 -6,4480 -5,7197 -4,7520 -3,6648 -2,6943 -2,1373 -2,1613 -2,7170 -3,6179 -4,6337 -5,5486 -6,2062 -6,5317 -6,5364 -6,2987 -5,9250 -5,5357 -5,2757 -5,2937 -5,6576 -6,2753 -6,9251 -7,3995 -7,6332 -7,6910 -7,6631 -7,5865 -7,4165 -7,0649 -6,5381 -6,0165 -5,7329 -5,8010 -6,1808 -6,7629 -7,4492 -8,1501 -8,7341 -9,0367 -8,9645 -8,5886 -8,1076 -7,7234 -7,5497 -7,5963 -7,8083 -8,1030 -8,3862 -8,5920 -8,6882 -8,6246 -8,3536 -7,9203 -7,4672 -7,1451 -7,0446 -7,1842 -7,5217 -7,9759 -8,4692 -8,9505 -9,3861 -9,7598 -10,0762 -10,3392 -10,5348 -10,6425 -10,6414 -10,4982 -10,1958 -9,7794 -9,3215 -8,8700 -8,4688 -8,1813 -8,0660 -8,1335 -8,3254 -8,5450 -8,7094 -8,7828 -8,8113 -8,8976 -9,0720 -9,2262 -9,2362 -9,0952 -8,8717 -8,6127 -8,3438 -8,0923 -7,8734 -7,6949 -7,5672 -7,4846 -7,4357 -7,4433 -7,5664 -7,8580 -8,3156 -8,8482 -9,2985 -9,5372 -9,5511 -9,4439 -9,3748 -9,4732 -9,7398 -10,0120 -10,0705 -9,7973 -9,2410 -8,5585 -7,8984 -7,3071 -6,7526 -6,2496 -5,9061 -5,8275 -6,0035 -6,2897 -6,5106 -6,5818 -6,5203 -6,3803 -6,2087 -6,0226 -5,8006 -5,5039 -5,1177 -4,6899 -4,3304 -4,1434 -4,1554 -4,3209 -4,5792 -4,8899 -5,2506 -5,7088 -6,3099 -7,0154 -7,7036 -8,2269 -8,4628 -8,3832 -8,0849 -7,7005 -7,3038 -6,9027 -6,4484 -5,8493 -5,0603 -4,1933 -3,5045 -3,2300 -3,4301 -3,9629 -4,5644 -5,0031 -5,2223 -5,3164 -5,3615 -5,3260 -5,1582 -4,9053 -4,7193 -4,7574 -5,0769 -5,5982 -6,1328 -6,4764 -6,5233 -6,3045 -5,9478 -5,6165 -5,4422 -5,4663 -5,6362 -5,8553 -6,0113 -5,9631 -5,5773 -4,8270 -3,8452 -2,8720 -2,1463 -1,8218 -1,9382 -2,4174 -3,0842 -3,7540 -4,3322 -4,8095 -5,1768 -5,4006 -5,4739 -5,4268 -5,2802 -5,0436 -4,7675 -4,5388 -4,4140 -4,4037 -4,5122 -4,7348 -5,0156 -5,2608 -5,4492 -5,7076 -6,1968 -6,9554 -7,9115 -8,9771 -10,0761 -11,1203 -11,9973 -12,6149 -12,9545 -13,0433 -12,8802 -12,4330 -11,7156 -10,8392 -9,9580 -9,1742 -8,5328 -8,0938 -7,9478 -8,1406 -8,5892 -9,0776 -9,3629 -9,3159 -8,9632 -8,4307 -7,8818 -7,4900 -7,3904 -7,5969 -7,9848 -8,3878 -8,7065 -8,9313 -9,1162 -9,3610 -9,7850 -10,4460 -11,2541 -12,0212 -12,6234 -13,0706 -13,4361 -13,7668 -14,0513 -14,2414 -14,2796 -14,1011 -13,6231 -12,8025 -11,7380 -10,6267 -9,6148 -8,7890 -8,2576 -8,1014 -8,2908 -8,7230 -9,2822 -9,8522 -10,3499 -10,7628 -11,1091 -11,3800 -11,5670 -11,6911 -11,7502 -11,7164 -11,6309 -11,5997 -11,6765 -11,8196 -11,9275 -11,8866 -11,6476 -11,2628 -10,8279 -10,4235 -10,1180 -9,9657 -9,9661 -10,0420 -10,1036 -10,1605 -10,3646 -10,9071 -11,8675 -13,1775 -14,6907 -16,2385 -17,6568 -18,8188 -19,6580 -20,1694 -20,4037 -20,4698 -20,5233 -20,6882 -20,9706 -21,2687 -21,4416 -21,3834 -21,0908 -20,6453 -20,1337 -19,6322 -19,2189 -18,9417 -18,7655 -18,5728 -18,2539 -17,8102 -17,3389 -16,9256 -16,6023 -16,3895 -16,3072 -16,3436 -16,4524 -16,5628 -16,5654 -16,3219 -15,7457 -14,9011 -14,0070 -13,3185 -13,0051 -13,1014 -13,5115 -14,0622 -14,5834 -14,9676 -15,1978 -15,3383 -15,4717 -15,6457 -15,8967 -16,2882 -16,8769 -17,6332 -18,4050 -18,9695 -19,1521 -18,9188 -18,3764 -17,7127 -17,1411 -16,8582 -16,9870 -17,5224 -18,3147 -19,0947 -19,5786 -19,6147 -19,2261 -18,5460 -17,7565 -17,0474 -16,5543 -16,3287 -16,3789 -16,7121 -17,3064 -18,0659 -18,8440 -19,4991 -19,9346 -20,1725 -20,3896 -20,7786 -21,3726 -22,0532 -22,6712 -23,1219 -23,3673 -23,4456 -23,4535 -23,4728 -23,5126 -23,5464 -23,5873 -23,6977 -23,9169 -24,1828 -24,3626 -24,3865 -24,3125 -24,2382 -24,1713 -24,0144 -23,6699 -23,1074 -22,3497 -21,4845 -20,6753 -20,1051 -19,9000 -20,0686 -20,4821 -20,9470 -21,3351 -21,6336 -21,8790 -22,1026 -22,3315 -22,5829 -22,8515
Fz    1,2189 1,0614 0,8170 0,5100 0,1774 -0,1368 -0,3785 -0,4977 -0,4734 -0,3205 -0,0836 0,1721 0,3675 0,4430 0,4149 0,3741 0,3973 0,4801 0,5726 0,6384 0,6593 0,6247 0,5458 0,4629 0,4249 0,4561 0,5396 0,6325 0,6976 0,7174 0,6902 0,6266 0,5448 0,4593 0,3668 0,2416 0,0470 -0,2325 -0,5660 -0,8926 -1,1596 -1,3336 -1,3996 -1,3739 -1,3095 -1,2621 -1,2511 -1,2562 -1,2471 -1,2071 -1,1320 -1,0143 -0,8334 -0,5594 -0,1793 0,2780 0,7552 1,1998 1,5773 1,8764 2,1079 2,2835 2,4043 2,4773 2,5157 2,5159 2,4572 2,3299 2,1560 1,9819 1,8540 1,7911 1,7757 1,7941 1,8821 2,0975 2,4519 2,8955 3,3639 3,8179 4,2314 4,5647 4,7668 4,7961 4,6491 4,3810 4,0846 3,8330 3,6386 3,4663 3,2797 3,0658 2,8318 2,6020 2,4145 2,2984 2,2495 2,2434 2,2616 2,2851 2,2675 2,1457 1,8808 1,4769 0,9650 0,3868 -0,2103 -0,7835 -1,3150 -1,8312 -2,3944 -3,0549 -3,8049 -4,5734 -5,2584 -5,7712 -6,0603 -6,1129 -5,9617 -5,6849 -5,3635 -5,0285 -4,6689 -4,2779 -3,8738 -3,4933 -3,1740 -2,9405 -2,8092 -2,7811 -2,8242 -2,8825 -2,8949 -2,8006 -2,5638 -2,2017 -1,7692 -1,3242 -0,9144 -0,5720 -0,3120 -0,1330 -0,0139 0,0852 0,2116 0,4112 0,7146 1,1192 1,5875 2,0595 2,4711 2,7748 2,9511 3,0013 2,9430 2,8145 2,6778 2,6072 2,6668 2,8904 3,2810 3,8145 4,4374 5,0860 5,7148 6,3010 6,8365 7,3196 7,7390 8,0632 8,2501 8,2785 8,1671 7,9562 7,6861 7,3981 7,1306 6,8982 6,6852 6,4711 6,2583 6,0759 5,9649 5,9587 6,0627 6,2520 6,4916 6,7414 6,9351 6,9922 6,8750 6,6138 6,2732 5,9188 5,6077 5,3866 5,2853 5,3082 5,4280 5,5895 5,7242 5,7675 5,6745 5,4383 5,1008 4,7343 4,3973 4,1057 3,8426 3,5854 3,3253 3,0858 2,9209 2,8689 2,9134 3,0081 3,1231 3,2503 3,3849 3,5151 3,6293 3,7303 3,8406 3,9831 4,1513 4,2990 4,3601 4,2818 4,0521 3,7015 3,2867 2,8695 2,4894 2,1574 1,8788 1,6637 1,5110 1,4017 1,3097 1,2084 1,0696 0,8683 0,5978 0,2771 -0,0541 -0,3511 -0,5823 -0,7375 -0,8237 -0,8551 -0,8361 -0,7489 -0,5613 -0,2584 0,1346 0,5716 1,0111 1,4177 1,7578 2,0075 2,1615 2,2321 2,2433 2,2271 2,2097 2,1857 2,1249 2,0230 1,9284 1,8975 1,9371 2,0114 2,0851 2,1396 2,1690 2,1796 2,1856 2,2018 2,2433 2,3195 2,4218 2,5214 2,5815 2,5752 2,5029 2,3993 2,3162 2,2875 2,3112 2,3568 2,3921 2,4169 2,4782 2,6446 2,9597 3,4148 3,9567 4,5242 5,0805 5,6110 6,0862 6,4484 6,6432 6,6627 6,5604 6,4219 6,3191 6,2863 6,3180 6,3823 6,4481 6,5064 6,5681 6,6444 6,7235 6,7666 6,7360 6,6257 6,4635 6,2933 6,1509 6,0378 5,9128 5,7270 5,4715 5,1871 4,9353 4,7658 4,6885 4,6733 4,6848 4,7100 4,7592 4,8618 5,0543 5,3500 5,7082 6,0439 6,2765 6,3731 6,3523 6,2647 6,1640 6,0785 6,0130 5,9805 6,0119 6,1226 6,2804 6,4151 6,4572 6,3736 6,1865 5,9709 5,8190 5,7886 5,8828 6,0695 6,3072 6,5600 6,8060 7,0362 7,2473 7,4544 7,7076 8,0661 8,5412 9,0731 9,5611 9,9090 10,0567 9,9930 9,7586 9,4318 9,0890 8,7693 8,4853 8,2571 8,1139 8,0686 8,1128 8,2307 8,3975 8,5718 8,7108 8,7973 8,8441 8,8717 8,8908 8,9061 8,9185 8,9092 8,8306 8,6417 8,3445 7,9712 7,5518 7,1038 6,6379 6,1664 5,7006 5,2441 4,8039 4,4109 4,1161 3,9597 3,9488 4,0671 4,2951 4,6060 4,9496 5,2601 5,4859 5,6111 5,6570 5,6565 5,6183 5,5211 5,3415 5,0736 4,7183 4,2801 3,7895 3,3122 2,9176 2,6460 2,5039 2,4697 2,4926 2,4986 2,4241 2,2591 2,0450 1,8263 1,6245 1,4559 1,3519 1,3508 1,4728 1,7089 2,0371 2,4499 2,9453 3,4869 4,0042 4,4372 4,7463 4,8957 4,8694 4,6953 4,4294 4,1320 3,8604 3,6603 3,5517 3,5313 3,5860 3,6933 3,8216 3,9506 4,0745 4,1767 4,2283 4,2181 4,1593 4,0756 3,9939 3,9280 3,8711 3,8145 3,7648 3,7357 3,7328 3,7551 3,8052 3,8875 3,9860 4,0502 4,0163 3,8453 3,5343 3,1013 2,5806 2,0229 1,4815 0,9977 0,5967 0,2856 0,0424 -0,1882 -0,4646 -0,8051 -1,1800 -1,5391 -1,8432 -2,0819 -2,2617 -2,3849 -2,4509 -2,4684 -2,4551 -2,4200 -2,3480 -2,2157 -2,0255 -1,8058 -1,5758 -1,3303 -1,0619 -0,7704 -0,4537 -0,1094 0,2618 0,6695 1,1400 1,6901 2,2949 2,8880 3,3970 3,7756 4,0108 4,1178 4,1302 4,0881 4,0237 3,9473 3,8469 3,7132 3,5579 3,3953 3,2200 3,0161 2,7854 2,5619 2,3997 2,3389 2,3780 2,4782 2,5869 2,6498 2,6111 2,4310 2,1137 1,7175 1,3431 1,0954 1,0291 1,1257 1,3130 1,4964 1,5895 1,5429 1,3533 1,0430 0,6377 0,1737 -0,2835 -0,6525 -0,8736 -0,9317 -0,8635 -0,7476 -0,6605 -0,6339 -0,6545 -0,6892 -0,7124 -0,7253 -0,7554 -0,8370 -0,9819 -1,1713 -1,3790 -1,5976 -1,8350 -2,0911 -2,3383 -2,5306 -2,6396 -2,6776 -2,6807 -2,6697 -2,6337 -2,5530 -2,4232 -2,2558 -2,0796 -1,9400 -1,8831 -1,9418 -2,1212 -2,3851 -2,6649 -2,8927 -3,0305 -3,0740 -3,0468 -2,9887 -2,9414 -2,9373
F3    1,6753 1,4428 1,1308 0,7676 0,3875 0,0306 -0,2542 -0,4224 -0,4561 -0,3657 -0,1790 0,0537 0,2501 0,3360 0,3207 0,2990 0,3521 0,4763 0,6159 0,7252 0,7817 0,7771 0,7250 0,6667 0,6496 0,6920 0,7687 0,8356 0,8611 0,8285 0,7347 0,6025 0,4807 0,4076 0,3704 0,3005 0,1152 -0,2163 -0,6417 -1,0666 -1,4158 -1,6477 -1,7422 -1,7079 -1,5992 -1,4985 -1,4671 -1,5133 -1,5993 -1,6680 -1,6717 -1,5915 -1,4231 -1,1512 -0,7659 -0,3059 0,1478 0,5226 0,7839 0,9454 1,0573 1,1571 1,2465 1,3295 1,4190 1,4890 1,4665 1,2919 0,9822 0,6345 0,3586 0,2044 0,1542 0,1855 0,3216 0,5921 0,9594 1,3240 1,6106 1,8275 2,0274 2,2349 2,4268 2,5475 2,5503 2,4538 2,3426 2,2877 2,2780 2,2421 2,1195 1,8919 1,5772 1,2295 0,9267 0,7304 0,6563 0,6831 0,7775 0,8970 0,9761 0,9389 0,7417 0,3964 -0,0487 -0,5333 -0,9969 -1,3983 -1,7418 -2,0822 -2,5024 -3,0689 -3,7829 -4,5619 -5,2750 -5,8118 -6,1228 -6,2047 -6,0858 -5,8311 -5,5165 -5,1777 -4,8097 -4,4041 -3,9702 -3,5442 -3,1739 -2,8820 -2,6689 -2,5360 -2,4787 -2,4716 -2,4658 -2,3949 -2,2059 -1,8934 -1,4942 -1,0614 -0,6476 -0,2866 0,0103 0,2422 0,4196 0,5687 0,7246 0,9292 1,2241 1,6299 2,1322 2,6776 3,1823 3,5667 3,7900 3,8445 3,7335 3,4791 3,1507 2,8563 2,6888 2,6868 2,8470 3,1477 3,5482 3,9928 4,4331 4,8452 5,2323 5,6085 5,9686 6,2767 6,4860 6,5738 6,5515 6,4372 6,2398 5,9743 5,6617 5,3074 4,9020 4,4511 3,9993 3,6165 3,3696 3,3001 3,4091 3,6617 4,0115 4,3988 4,7234 4,8726 4,8001 4,5541 4,2259 3,8954 3,6152 3,4152 3,3056 3,2802 3,3232 3,4068 3,4824 3,4916 3,3926 3,1814 2,9005 2,6201 2,3880 2,1957 1,9998 1,7653 1,4882 1,2075 0,9930 0,8842 0,8475 0,8178 0,7601 0,6791 0,5921 0,5102 0,4410 0,4040 0,4360 0,5644 0,7706 0,9893 1,1373 1,1453 0,9852 0,6769 0,2736 -0,1554 -0,5508 -0,8832 -1,1406 -1,3168 -1,4248 -1,5005 -1,5826 -1,6975 -1,8616 -2,0863 -2,3714 -2,6968 -3,0226 -3,3003 -3,4959 -3,6027 -3,6371 -3,6251 -3,5780 -3,4729 -3,2710 -2,9625 -2,5816 -2,1704 -1,7510 -1,3392 -0,9622 -0,6538 -0,4440 -0,3517 -0,3693 -0,4477 -0,5271 -0,5978 -0,6970 -0,8394 -0,9850 -1,0785 -1,0976 -1,0570 -0,9844 -0,9096 -0,8585 -0,8413 -0,8502 -0,8630 -0,8467 -0,7731 -0,6430 -0,4924 -0,3715 -0,3133 -0,3119 -0,3238 -0,3014 -0,2405 -0,1917 -0,2284 -0,3927 -0,6456 -0,8721 -0,9500 -0,8151 -0,4762 0,0107 0,5784 1,1756 1,7661 2,2975 2,6931 2,8884 2,8785 2,7349 2,5698 2,4718 2,4717 2,5467 2,6476 2,7365 2,8099 2,8907 3,0014 3,1390 3,2696 3,3511 3,3600 3,3026 3,2116 3,1281 3,0680 3,0014 2,8799 2,6893 2,4641 2,2632 2,1368 2,0992 2,1298 2,2069 2,3318 2,5218 2,7980 3,1713 3,6148 4,0467 4,3568 4,4659 4,3623 4,0928 3,7410 3,3957 3,1130 2,9093 2,7907 2,7686 2,8334 2,9332 2,9920 2,9486 2,7848 2,5375 2,2928 2,1472 2,1530 2,2975 2,5299 2,7973 3,0643 3,3165 3,5472 3,7398 3,8834 4,0082 4,1790 4,4416 4,7862 5,1544 5,4665 5,6482 5,6539 5,4903 5,2190 4,9174 4,6317 4,3802 4,1847 4,0705 4,0468 4,1106 4,2578 4,4707 4,7033 4,8995 5,0292 5,0975 5,1170 5,0821 4,9838 4,8381 4,6716 4,4840 4,2553 3,9809 3,6765 3,3589 3,0322 2,6899 2,3303 1,9621 1,5942 1,2366 0,9202 0,7008 0,6274 0,7093 0,9253 1,2486 1,6398 2,0278 2,3327 2,5156 2,5992 2,6367 2,6647 2,6808 2,6618 2,5888 2,4488 2,2243 1,9104 1,5482 1,2150 0,9731 0,8391 0,7968 0,8134 0,8342 0,7829 0,6014 0,3038 -0,0304 -0,3257 -0,5540 -0,7154 -0,8052 -0,8085 -0,7195 -0,5521 -0,3229 -0,0271 0,3455 0,7610 1,1428 1,4285 1,5887 1,6079 1,4897 1,2691 0,9939 0,7078 0,4607 0,3026 0,2540 0,2988 0,4087 0,5541 0,7003 0,8251 0,9268 1,0016 1,0336 1,0164 0,9632 0,8992 0,8450 0,7965 0,7283 0,6251 0,5005 0,3889 0,3242 0,3233 0,3791 0,4618 0,5177 0,4759 0,2825 -0,0615 -0,5091 -1,0081 -1,5178 -2,0033 -2,4387 -2,8109 -3,1151 -3,3538 -3,5493 -3,7519 -4,0122 -4,3340 -4,6665 -4,9462 -5,1377 -5,2422 -5,2723 -5,2337 -5,1320 -4,9853 -4,8173 -4,6382 -4,4344 -4,1877 -3,9093 -3,6426 -3,4208 -3,2404 -3,0807 -2,9170 -2,7163 -2,4494 -2,1069 -1,6876 -1,1862 -0,6058 0,0199 0,6290 1,1569 1,5601 1,8269 1,9778 2,0504 2,0767 2,0693 2,0224 1,9264 1,7846 1,6182 1,4461 1,2633 1,0487 0,8005 0,5550 0,3692 0,2819 0,2913 0,3657 0,4638 0,5375 0,5293 0,3911 0,1158 -0,2493 -0,6072 -0,8460 -0,8936 -0,7423 -0,4346 -0,0498 0,3118 0,5654 0,6689 0,6137 0,4066 0,0818 -0,2823 -0,5839 -0,7429 -0,7290 -0,5785 -0,3919 -0,2805 -0,3011 -0,4399 -0,6401 -0,8443 -1,0273 -1,2037 -1,4034 -1,6373 -1,8869 -2,1288 -2,3620 -2,6022 -2,8531 -3,0845 -3,2394 -3,2728 -3,1862 -3,0205 -2,8138 -2,5765 -2,3099 -2,0306 -1,7719 -1,5787 -1,4974 -1,5585 -1,7669 -2,0953 -2,4830 -2,8530 -3,1396 -3,3095 -3,3628 -3,3202 -3,2149 -3,0944 -3,0144
F7    0,6125 0,5456 0,4157 0,2265 0,0073 -0,1865 -0,2986 -0,3073 -0,2248 -0,0701 0,1457 0,4125 0,7043 0,9761 1,1860 1,3220 1,4010 1,4417 1,4447 1,3970 1,2820 1,0927 0,8515 0,6066 0,3961 0,2315 0,1122 0,0467 0,0595 0,1700 0,3575 0,5512 0,6648 0,6450 0,4969 0,2782 0,0559 -0,1471 -0,3619 -0,6257 -0,9387 -1,2719 -1,5928 -1,8755 -2,0955 -2,2230 -2,2318 -2,1189 -1,9114 -1,6550 -1,3942 -1,1534 -0,9317 -0,7141 -0,4916 -0,2696 -0,0679 0,0791 0,1324 0,0629 -0,1365 -0,4398 -0,7977 -1,1628 -1,4920 -1,7245 -1,7866 -1,6428 -1,3439 -1,0072 -0,7363 -0,5712 -0,5021 -0,4980 -0,5250 -0,5484 -0,5162 -0,3643 -0,0718 0,2956 0,6251 0,8324 0,8944 0,8372 0,7077 0,5359 0,3219 0,0655 -0,2100 -0,4678 -0,6725 -0,7929 -0,8096 -0,7340 -0,6163 -0,5287 -0,5345 -0,6599 -0,8894 -1,1856 -1,5050 -1,8019 -2,0393 -2,2094 -2,3375 -2,4659 -2,6340 -2,8656 -3,1543 -3,4643 -3,7655 -4,0581 -4,3616 -4,6907 -5,0343 -5,3513 -5,5935 -5,7315 -5,7560 -5,6660 -5,4645 -5,1543 -4,7349 -4,2233 -3,6688 -3,1283 -2,6454 -2,2584 -1,9943 -1,8462 -1,7816 -1,7658 -1,7706 -1,7703 -1,7350 -1,6296 -1,4253 -1,1171 -0,7355 -0,3397 0,0234 0,3617 0,7226 1,1392 1,6079 2,1004 2,5652 2,9329 3,1499 3,2081 3,1357 2,9708 2,7490 2,5085 2,3004 2,1768 2,1597 2,2335 2,3671 2,5300 2,6932 2,8345 2,9456 3,0404 3,1493 3,2913 3,4531 3,5948 3,6677 3,6398 3,5179 3,3424 3,1547 2,9676 2,7626 2,5176 2,2389 1,9656 1,7457 1,6082 1,5449 1,5241 1,5219 1,5325 1,5517 1,5697 1,5807 1,5889 1,6046 1,6343 1,6753 1,7194 1,7607 1,7933 1,8022 1,7580 1,6284 1,3993 1,0838 0,7154 0,3463 0,0382 -0,1672 -0,2692 -0,3082 -0,3473 -0,4405 -0,6085 -0,8343 -1,0713 -1,2691 -1,4023 -1,4777 -1,5196 -1,5508 -1,5878 -1,6465 -1,7416 -1,8868 -2,0911 -2,3485 -2,6332 -2,9092 -3,1543 -3,3723 -3,5786 -3,7815 -3,9743 -4,1379 -4,2544 -4,3204 -4,3524 -4,3790 -4,4255 -4,5101 -4,6456 -4,8357 -5,0771 -5,3725 -5,7298 -6,1410 -6,5742 -6,9910 -7,3613 -7,6659 -7,9043 -8,0926 -8,2426 -8,3444 -8,3686 -8,2903 -8,1169 -7,8897 -7,6539 -7,4370 -7,2564 -7,1239 -7,0319 -6,9562 -6,8715 -6,7580 -6,6027 -6,4130 -6,2273 -6,1001 -6,0665 -6,1257 -6,2535 -6,4183 -6,5871 -6,7333 -6,8517 -6,9615 -7,0854 -7,2290 -7,3868 -7,5553 -7,7304 -7,9016 -8,0587 -8,1968 -8,3092 -8,3805 -8,3923 -8,3414 -8,2554 -8,1788 -8,1326 -8,0943 -8,0252 -7,9088 -7,7542 -7,5797 -7,4090 -7,2699 -7,1731 -7,0999 -7,0251 -6,9469 -6,8800 -6,8288 -6,7798 -6,7080 -6,5826 -6,3877 -6,1428 -5,8860 -5,6481 -5,4458 -5,2899 -5,1939 -5,1725 -5,2298 -5,3480 -5,4952 -5,6468 -5,7924 -5,9239 -6,0288 -6,0983 -6,1279 -6,1050 -6,0024 -5,8003 -5,5157 -5,2015 -4,9166 -4,6961 -4,5437 -4,4451 -4,3827 -4,3405 -4,3113 -4,2957 -4,2903 -4,2776 -4,2319 -4,1407 -4,0184 -3,8912 -3,7759 -3,6807 -3,6061 -3,5349 -3,4449 -3,3352 -3,2297 -3,1625 -3,1686 -3,2790 -3,5056 -3,8221 -4,1645 -4,4600 -4,6602 -4,7546 -4,7702 -4,7628 -4,7879 -4,8631 -4,9656 -5,0612 -5,1139 -5,0788 -4,9240 -4,6663 -4,3671 -4,0918 -3,8724 -3,6985 -3,5375 -3,3664 -3,1891 -3,0272 -2,9066 -2,8577 -2,9106 -3,0744 -3,3200 -3,5883 -3,8186 -3,9730 -4,0388 -4,0202 -3,9360 -3,8170 -3,6943 -3,5840 -3,4840 -3,3956 -3,3381 -3,3256 -3,3401 -3,3483 -3,3442 -3,3596 -3,4353 -3,5951 -3,8395 -4,1510 -4,5007 -4,8406 -5,1030 -5,2349 -5,2322 -5,1321 -4,9881 -4,8551 -4,7757 -4,7631 -4,7863 -4,7753 -4,6667 -4,4538 -4,1850 -3,9271 -3,7386 -3,6552 -3,6782 -3,7788 -3,9236 -4,0955 -4,2849 -4,4631 -4,5826 -4,6140 -4,5709 -4,4927 -4,4163 -4,3640 -4,3491 -4,3792 -4,4511 -4,5505 -4,6664 -4,7965 -4,9388 -5,0858 -5,2292 -5,3559 -5,4376 -5,4365 -5,3324 -5,1448 -4,9262 -4,7349 -4,6133 -4,5829 -4,6468 -4,7876 -4,9696 -5,1505 -5,2863 -5,3381 -5,2928 -5,1697 -4,9992 -4,8101 -4,6311 -4,4870 -4,3972 -4,3828 -4,4650 -4,6435 -4,8759 -5,0895 -5,2192 -5,2408 -5,1802 -5,0944 -5,0441 -5,0735 -5,1969 -5,3940 -5,6186 -5,8142 -5,9279 -5,9295 -5,8279 -5,6699 -5,5257 -5,4630 -5,5128 -5,6649 -5,8931 -6,1750 -6,4919 -6,8300 -7,1845 -7,5488 -7,8995 -8,2055 -8,4436 -8,5961 -8,6476 -8,5971 -8,4668 -8,2948 -8,1193 -7,9662 -7,8453 -7,7513 -7,6682 -7,5834 -7,4960 -7,4029 -7,2861 -7,1230 -6,9011 -6,6248 -6,3156 -6,0044 -5,7105 -5,4238 -5,1028 -4,6951 -4,1723 -3,5586 -2,9213 -2,3338 -1,8538 -1,5205 -1,3441 -1,2962 -1,3222 -1,3738 -1,4437 -1,5582 -1,7293 -1,9326 -2,1380 -2,3312 -2,4964 -2,6124 -2,6735 -2,6958 -2,7130 -2,7768 -2,9350 -3,1951 -3,5276 -3,8909 -4,2264 -4,4505 -4,4920 -4,3463 -4,0813 -3,7858 -3,5187 -3,3040 -3,1513 -3,0597 -3,0154 -2,9993 -2,9922 -2,9760 -2,9424 -2,8949 -2,8297 -2,7324 -2,6052 -2,4805 -2,3916 -2,3463 -2,3384 -2,3716 -2,4650 -2,6320 -2,8587 -3,1124 -3,3660 -3,6024 -3,7999 -3,9317 -3,9823 -3,9524 -3,8515 -3,6940 -3,5016 -3,2987 -3,1021 -2,9152 -2,7338 -2,5593 -2,4019 -2,2729 -2,1837 -2,1522 -2,1961 -2,3174 -2,5071 -2,7548 -3,0349 -3,2984 -3,4996 -3,6267 -3,7044 -3,7768 -3,8828 -4,0347
