Fp1   1,8433 1,4127 0,9682 0,5386 0,1663 -0,0955 -0,1985 -0,1281 0,0699 0,2976 0,4582 0,5078 0,4571 0,3369 0,1694 -0,0343 -0,2638 -0,5035 -0,7341 -0,9382 -1,1027 -1,2318 -1,3683 -1,5769 -1,8937 -2,2932 -2,6910 -2,9709 -3,0306 -2,8282 -2,3945 -1,8100 -1,1681 -0,5506 -0,0153 0,4213 0,7848 1,1149 1,4407 1,7786 2,1167 2,3901 2,5019 2,3941 2,0883 1,6643 1,2299 0,9104 0,8098 0,9501 1,2586 1,6219 1,9488 2,1930 2,3381 2,3826 2,3410 2,2462 2,1378 2,0417 1,9570 1,8661 1,7624 1,6642 1,5908 1,5371 1,4813 1,4052 1,3025 1,1723 1,0047 0,7833 0,5136 0,2354 0,0048 -0,1179 -0,0644 0,2250 0,7550 1,4511 2,1809 2,7993 3,1810 3,2448 2,9797 2,4561 1,7957 1,1253 0,5457 0,1038 -0,2300 -0,5364 -0,8806 -1,2725 -1,6729 -2,0088 -2,2044 -2,2349 -2,1604 -2,1014 -2,1800 -2,4674 -2,9576 -3,5761 -4,2191 -4,7844 -5,1784 -5,3290 -5,2165 -4,8896 -4,4430 -3,9685 -3,5178 -3,1013 -2,7056 -2,2990 -1,8337 -1,2747 -0,6390 -0,0015 0,5393 0,9085 1,0886 1,1160 1,0428 0,9013 0,6912 0,3831 -0,0539 -0,6141 -1,2485 -1,8940 -2,4899 -2,9681 -3,2505 -3,2761 -3,0276 -2,5416 -1,9057 -1,2411 -0,6694 -0,2706 -0,0520 0,0449 0,1016 0,1884 0,3494 0,5915 0,8825 1,1691 1,3931 1,5024 1,4672 1,2978 1,0527 0,8199 0,6784 0,6810 0,8585 1,2012 1,6365 2,0603 2,4003 2,6475 2,8361 3,0044 3,1780 3,3788 3,6268 3,9093 4,1481 4,2255 4,0694 3,7163 3,2888 2,9144 2,6569 2,4930 2,3303 2,0576 1,5941 0,9090 0,0228 -0,9896 -2,0052 -2,8795 -3,4886 -3,7695 -3,7450 -3,5143 -3,2124 -2,9605 -2,8322 -2,8390 -2,9348 -3,0384 -3,0711 -2,9922 -2,8140 -2,5930 -2,3981 -2,2708 -2,1994 -2,1134 -1,9085 -1,5203 -0,9947 -0,4665 -0,0716 0,1185 0,1059 -0,0661 -0,3512 -0,7126 -1,1136 -1,4996 -1,7916 -1,9116 -1,8266 -1,5597 -1,1629 -0,7070 -0,2864 0,0062 0,1177 0,0363 -0,2215 -0,5896 -0,9306 -1,0792 -0,9312 -0,5145 0,0124 0,4452 0,6518 0,6284 0,4557 0,2235 -0,0043 -0,1925 -0,3279 -0,4100 -0,4470 -0,4604 -0,4821 -0,5393 -0,6462 -0,8046 -1,0090 -1,2576 -1,5589 -1,9284 -2,3790 -2,9073 -3,4789 -4,0256 -4,4690 -4,7528 -4,8658 -4,8504 -4,7926 -4,7840 -4,8694 -5,0196 -5,1527 -5,1818 -5,0468 -4,7291 -4,2597 -3,7194 -3,2212 -2,8721 -2,7265 -2,7673 -2,9287 -3,1269 -3,2739 -3,2862 -3,1054 -2,7258 -2,2037 -1,6264 -1,0646 -0,5571 -0,1333 0,1704 0,3338 0,3884 0,4169 0,5036 0,6782 0,9059 1,1235 1,2829 1,3730 1,4150 1,4437 1,4912 1,5745 1,6840 1,7876 1,8594 1,8963 1,9002 1,8629 1,7928 1,7404 1,7779 1,9571 2,2893 2,7433 3,2454 3,6884 3,9681 4,0151 3,8003 3,3427 2,7216 2,0485 1,4084 0,8290 0,3003 -0,1941 -0,6592 -1,0796 -1,4229 -1,6575 -1,7701 -1,7684 -1,6770 -1,5299 -1,3610 -1,1929 -1,0267 -0,8380 -0,5950 -0,2878 0,0641 0,4243 0,7539 1,0263 1,2335 1,3762 1,4529 1,4554 1,3702 1,1921 0,9305 0,6032 0,2314 -0,1578 -0,5220 -0,7909 -0,8724 -0,6858 -0,2020 0,5447 1,4721 2,4604 3,3654 4,0646 4,5002 4,6811 4,6619 4,5292 4,3926 4,3538 4,4562 4,6585 4,8642 4,9733 4,9054 4,6052 4,0643 3,3430 2,5488 1,7799 1,0885 0,5054 0,0874 -0,0974 -0,0360 0,2049 0,5218 0,8316 1,1090 1,3791 1,6627 1,9268 2,0961 2,1019 1,9232 1,5971 1,1977 0,7986 0,4530 0,1888 0,0003 -0,1499 -0,2988 -0,4504 -0,5842 -0,6907 -0,7778 -0,8416 -0,8543 -0,7959 -0,6857 -0,5728 -0,4988 -0,4767 -0,4921 -0,5172 -0,5341 -0,5537 -0,6118 -0,7523 -1,0039 -1,3519 -1,7225 -2,0147 -2,1565 -2,1345 -1,9809 -1,7434 -1,4678 -1,2038 -1,0074 -0,9167 -0,9331 -1,0352 -1,2022 -1,4216 -1,6799 -1,9463 -2,1663 -2,2706 -2,2003 -1,9427 -1,5609 -1,1757 -0,8943 -0,7544 -0,7271 -0,7448 -0,7260 -0,6081 -0,3793 -0,0731 0,2752 0,6492 1,0312 1,3880 1,6797 1,8677 1,9223 1,8357 1,6195 1,2857 0,8413 0,3008 -0,2976 -0,8858 -1,3722 -1,6608 -1,6782 -1,4014 -0,8696 -0,1764 0,5492 1,1736 1,5985 1,7813 1,7298 1,4916 1,1389 0,7415 0,3466 -0,0215 -0,3518 -0,6375 -0,8793 -1,1006 -1,3465 -1,6455 -1,9684 -2,2336 -2,3525 -2,2853 -2,0853 -1,8865 -1,8278 -1,9793 -2,3264 -2,7868 -3,2303 -3,5179 -3,5728 -3,4258 -3,1849 -2,9704 -2,8585 -2,8536 -2,9155 -3,0216 -3,1894 -3,4370 -3,7382 -4,0174 -4,1782 -4,1406 -3,8749 -3,4126 -2,8220 -2,1634 -1,4703 -0,7724 -0,1199 0,4314 0,8450 1,0976 1,1671 1,0469 0,7680 0,3931 -0,0017 -0,3390 -0,5566 -0,6285 -0,5640 -0,3938 -0,1622 0,0834 0,3088 0,4933 0,6143 0,6468 0,5810 0,4278 0,2049 -0,0717 -0,3771 -0,6719 -0,9042 -1,0103 -0,9265 -0,6171 -0,1011 0,5428 1,1912 1,7145 2,0219 2,0775 1,8870 1,4893 0,9544 0,3746 -0,1536 -0,5500 -0,7658 -0,7883 -0,6447 -0,4128 -0,2195 -0,2006 -0,4296 -0,8776 -1,4461 -2,0282 -2,5406 -2,9393 -3,2292 -3,4439 -3,6177 -3,7802 -3,9642 -4,2042 -4,5215 -4,9015 -5,2876 -5,6049 -5,7940 -5,8272 -5,7041 -5,4419 -5,0753 -4,6548 -4,2391 -3,8908 -3,6704 -3,6077 -3,6754 -3,7985 -3,8852 -3,8588 -3,6801 -3,3496 -2,8968 -2,3783 -1,8847
Fz    1,4930 1,0909 0,6129 0,0502 -0,5697 -1,1783 -1,6811 -1,9935 -2,0773 -1,9562 -1,7027 -1,4060 -1,1419 -0,9565 -0,8604 -0,8327 -0,8370 -0,8420 -0,8349 -0,8212 -0,8139 -0,8296 -0,8913 -1,0139 -1,1836 -1,3580 -1,4797 -1,4914 -1,3567 -1,0813 -0,7158 -0,3351 -0,0065 0,2389 0,4151 0,5667 0,7424 0,9703 1,2518 1,5704 1,8966 2,1878 2,3969 2,4929 2,4756 2,3786 2,2662 2,2244 2,3289 2,5978 2,9751 3,3625 3,6688 3,8427 3,8800 3,8148 3,6984 3,5759 3,4710 3,3863 3,3099 3,2239 3,1165 2,9922 2,8643 2,7416 2,6267 2,5202 2,4219 2,3266 2,2203 2,0867 1,9256 1,7614 1,6351 1,5940 1,6835 1,9316 2,3247 2,7984 3,2547 3,5938 3,7437 3,6761 3,4106 3,0060 2,5379 2,0727 1,6478 1,2603 0,8698 0,4224 -0,1142 -0,7324 -1,3872 -2,0068 -2,5099 -2,8384 -2,9905 -3,0243 -3,0301 -3,0951 -3,2728 -3,5652 -3,9223 -4,2565 -4,4667 -4,4719 -4,2394 -3,7958 -3,2179 -2,6030 -2,0295 -1,5333 -1,1106 -0,7333 -0,3646 0,0210 0,4146 0,7662 1,0093 1,0976 1,0307 0,8481 0,6022 0,3387 0,0920 -0,1196 -0,2941 -0,4305 -0,5158 -0,5314 -0,4680 -0,3270 -0,1121 0,1745 0,5311 0,9488 1,3986 1,8233 2,1516 2,3311 2,3601 2,2860 2,1772 2,0983 2,0986 2,2032 2,4071 2,6813 2,9857 3,2795 3,5296 3,7232 3,8758 4,0253 4,2128 4,4676 4,8031 5,2077 5,6346 6,0153 6,2954 6,4607 6,5341 6,5552 6,5630 6,5917 6,6661 6,7829 6,8928 6,9151 6,7885 6,5171 6,1684 5,8279 5,5480 5,3246 5,1092 4,8425 4,4810 4,0063 3,4285 2,7934 2,1797 1,6762 1,3460 1,2003 1,1989 1,2727 1,3526 1,3848 1,3368 1,2041 1,0143 0,8171 0,6658 0,6039 0,6565 0,8234 1,0814 1,3971 1,7429 2,1052 2,4854 2,8828 3,2718 3,6032 3,8346 3,9571 3,9967 3,9940 3,9776 3,9495 3,8928 3,7941 3,6678 3,5618 3,5313 3,6067 3,7830 4,0232 4,2654 4,4417 4,5054 4,4426 4,2680 4,0240 3,7812 3,6159 3,5744 3,6478 3,7749 3,8748 3,8980 3,8548 3,7998 3,7922 3,8668 4,0206 4,2163 4,3990 4,5182 4,5419 4,4648 4,3111 4,1246 3,9425 3,7718 3,5856 3,3420 3,0070 2,5689 2,0458 1,4848 0,9501 0,5059 0,1990 0,0466 0,0263 0,0773 0,1258 0,1292 0,1014 0,0978 0,1812 0,3962 0,7534 1,2176 1,7108 2,1393 2,4315 2,5622 2,5505 2,4437 2,3022 2,1895 2,1604 2,2455 2,4374 2,6941 2,9650 3,2163 3,4379 3,6336 3,8107 3,9794 4,1544 4,3539 4,5939 4,8764 5,1780 5,4560 5,6731 5,8230 5,9286 6,0200 6,1159 6,2155 6,2984 6,3373 6,3199 6,2516 6,1392 5,9893 5,8250 5,6914 5,6381 5,6985 5,8817 6,1666 6,4977 6,7955 6,9867 7,0258 6,8997 6,6289 6,2623 5,8552 5,4454 5,0447 4,6407 4,2078 3,7268 3,2082 2,6985 2,2605 1,9486 1,7901 1,7764 1,8684 2,0168 2,1802 2,3356 2,4820 2,6344 2,8120 3,0293 3,2890 3,5778 3,8656 4,1022 4,2249 4,1845 3,9719 3,6279 3,2352 2,8918 2,6725 2,5970 2,6264 2,6948 2,7540 2,8000 2,8659 2,9934 3,2075 3,5057 3,8547 4,1986 4,4819 4,6720 4,7683 4,8028 4,8337 4,9265 5,1251 5,4287 5,7893 6,1293 6,3626 6,4114 6,2276 5,8165 5,2416 4,5991 3,9793 3,4443 3,0321 2,7680 2,6561 2,6594 2,7073 2,7318 2,6974 2,6120 2,5149 2,4466 2,4183 2,4055 2,3652 2,2587 2,0687 1,8053 1,5022 1,2077 0,9709 0,8243 0,7775 0,8253 0,9535 1,1329 1,3137 1,4391 1,4688 1,3988 1,2552 1,0699 0,8664 0,6592 0,4537 0,2505 0,0604 -0,0905 -0,1745 -0,1813 -0,1249 -0,0335 0,0732 0,2002 0,3659 0,5748 0,8037 1,0109 1,1589 1,2344 1,2529 1,2418 1,2214 1,1972 1,1622 1,1032 1,0103 0,8903 0,7699 0,6860 0,6767 0,7773 1,0083 1,3562 1,7670 2,1699 2,5098 2,7629 2,9395 3,0811 3,2395 3,4469 3,7010 3,9710 4,2108 4,3682 4,3978 4,2817 4,0393 3,7214 3,3935 3,1154 2,9217 2,8142 2,7695 2,7593 2,7682 2,7976 2,8643 2,9965 3,2227 3,5543 3,9703 4,4114 4,7920 5,0273 5,0576 4,8649 4,4791 3,9689 3,4188 2,9072 2,4934 2,2089 2,0541 1,9996 1,9863 1,9375 1,7905 1,5310 1,2026 0,8829 0,6386 0,4821 0,3616 0,1969 -0,0697 -0,4475 -0,8992 -1,3559 -1,7388 -1,9931 -2,1135 -2,1321 -2,0876 -2,0061 -1,9018 -1,7892 -1,6899 -1,6223 -1,5855 -1,5552 -1,4963 -1,3805 -1,2037 -0,9892 -0,7734 -0,5808 -0,4051 -0,2156 0,0123 0,2729 0,5373 0,7766 0,9681 1,0890 1,1214 1,0669 0,9518 0,8208 0,7259 0,7097 0,7921 0,9664 1,2000 1,4394 1,6294 1,7331 1,7328 1,6249 1,4269 1,1795 0,9301 0,7163 0,5630 0,4818 0,4653 0,4947 0,5623 0,6836 0,8814 1,1611 1,4977 1,8425 2,1398 2,3416 2,4114 2,3256 2,0833 1,7186 1,2989 0,9045 0,6016 0,4226 0,3578 0,3612 0,3638 0,2872 0,0635 -0,3365 -0,8882 -1,5272 -2,1796 -2,7832 -3,3013 -3,7265 -4,0675 -4,3364 -4,5513 -4,7368 -4,9156 -5,0954 -5,2644 -5,3998 -5,4834 -5,5111 -5,4931 -5,4456 -5,3814 -5,3111 -5,2448 -5,1865 -5,1298 -5,0633 -4,9736 -4,8416 -4,6435 -4,3586 -3,9781 -3,5122 -2,9936 -2,4770 -2,0305 -1,7215
F3    1,2058 0,8309 0,3853 -0,1580 -0,7904 -1,4452 -2,0052 -2,3480 -2,4051 -2,1921 -1,7954 -1,3300 -0,8989 -0,5704 -0,3696 -0,2841 -0,2847 -0,3453 -0,4504 -0,5885 -0,7420 -0,8933 -1,0384 -1,1809 -1,3144 -1,4208 -1,4738 -1,4381 -1,2816 -1,0003 -0,6257 -0,2114 0,1862 0,5308 0,8187 1,0717 1,3184 1,5746 1,8336 2,0717 2,2558 2,3492 2,3259 2,1858 1,9587 1,6985 1,4819 1,4018 1,5292 1,8675 2,3461 2,8589 3,3097 3,6394 3,8310 3,9006 3,8836 3,8162 3,7190 3,5944 3,4391 3,2559 3,0599 2,8749 2,7223 2,6107 2,5384 2,4983 2,4795 2,4634 2,4174 2,3084 2,1335 1,9363 1,7872 1,7538 1,8792 2,1694 2,5852 3,0455 3,4482 3,7065 3,7800 3,6785 3,4493 3,1552 2,8489 2,5524 2,2549 1,9268 1,5405 1,0845 0,5651 0,0048 -0,5541 -1,0439 -1,3841 -1,5208 -1,4702 -1,3233 -1,2041 -1,2153 -1,4061 -1,7638 -2,2211 -2,6733 -3,0078 -3,1379 -3,0262 -2,6890 -2,1877 -1,6083 -1,0307 -0,5030 -0,0373 0,3794 0,7726 1,1625 1,5372 1,8416 1,9994 1,9605 1,7356 1,3875 0,9884 0,5907 0,2284 -0,0783 -0,3206 -0,4874 -0,5561 -0,5039 -0,3305 -0,0643 0,2512 0,5766 0,8902 1,1841 1,4467 1,6484 1,7509 1,7315 1,6055 1,4220 1,2429 1,1244 1,1094 1,2188 1,4466 1,7634 2,1231 2,4744 2,7786 3,0272 3,2443 3,4705 3,7421 4,0836 4,5088 5,0039 5,5094 5,9359 6,2104 6,3154 6,2911 6,2048 6,1134 6,0488 6,0275 6,0510 6,0900 6,0865 5,9907 5,8034 5,5785 5,3840 5,2572 5,1823 5,0996 4,9375 4,6446 4,2044 3,6422 3,0266 2,4567 2,0269 1,7843 1,7055 1,7082 1,6955 1,6025 1,4131 1,1463 0,8397 0,5393 0,2902 0,1275 0,0736 0,1352 0,2982 0,5303 0,7971 1,0766 1,3604 1,6497 1,9406 2,2058 2,4014 2,4964 2,4939 2,4289 2,3472 2,2764 2,2100 2,1173 1,9758 1,8051 1,6672 1,6228 1,6888 1,8393 2,0302 2,2108 2,3271 2,3331 2,2040 1,9459 1,6059 1,2726 1,0487 1,0026 1,1327 1,3684 1,6097 1,7843 1,8787 1,9224 1,9572 2,0163 2,1121 2,2355 2,3617 2,4559 2,4796 2,4092 2,2555 2,0610 1,8699 1,6945 1,5090 1,2718 0,9525 0,5474 0,0835 -0,3875 -0,8062 -1,1266 -1,3315 -1,4348 -1,4729 -1,4922 -1,5300 -1,5904 -1,6372 -1,6194 -1,5006 -1,2628 -0,9042 -0,4548 0,0134 0,4115 0,6760 0,7922 0,7852 0,6996 0,5835 0,4848 0,4508 0,5196 0,6962 0,9408 1,1921 1,4069 1,5781 1,7202 1,8496 1,9740 2,0952 2,2194 2,3659 2,5557 2,7858 3,0174 3,2031 3,3246 3,4020 3,4726 3,5639 3,6791 3,7972 3,8892 3,9381 3,9392 3,8859 3,7713 3,6031 3,4090 3,2279 3,0997 3,0584 3,1174 3,2560 3,4261 3,5749 3,6619 3,6604 3,5661 3,4079 3,2344 3,0796 2,9348 2,7513 2,4713 2,0655 1,5548 1,0061 0,5073 0,1330 -0,0860 -0,1684 -0,1555 -0,0769 0,0559 0,2372 0,4583 0,7061 0,9635 1,2134 1,4450 1,6587 1,8628 2,0529 2,1975 2,2559 2,2053 2,0512 1,8268 1,5805 1,3551 1,1730 1,0345 0,9291 0,8531 0,8168 0,8398 0,9407 1,1260 1,3798 1,6558 1,8882 2,0247 2,0593 2,0377 2,0370 2,1364 2,3867 2,7842 3,2690 3,7507 4,1382 4,3558 4,3505 4,1030 3,6413 3,0380 2,3873 1,7734 1,2548 0,8701 0,6476 0,5921 0,6639 0,7908 0,9075 0,9777 0,9953 0,9779 0,9507 0,9203 0,8648 0,7503 0,5582 0,2986 0,0051 -0,2761 -0,4952 -0,6131 -0,6170 -0,5205 -0,3485 -0,1249 0,1242 0,3642 0,5556 0,6692 0,6957 0,6377 0,4965 0,2732 -0,0249 -0,3841 -0,7772 -1,1486 -1,4237 -1,5455 -1,5026 -1,3319 -1,0975 -0,8537 -0,6183 -0,3799 -0,1229 0,1533 0,4276 0,6631 0,8282 0,9132 0,9235 0,8659 0,7466 0,5749 0,3624 0,1261 -0,1019 -0,2774 -0,3645 -0,3469 -0,2222 0,0044 0,3153 0,6759 1,0390 1,3573 1,5901 1,7167 1,7519 1,7404 1,7302 1,7501 1,8032 1,8711 1,9249 1,9395 1,9048 1,8279 1,7280 1,6279 1,5439 1,4812 1,4346 1,3949 1,3581 1,3352 1,3526 1,4435 1,6344 1,9348 2,3343 2,7985 3,2630 3,6403 3,8427 3,8060 3,5075 2,9781 2,2992 1,5797 0,9226 0,3981 0,0323 -0,1837 -0,2805 -0,3036 -0,3065 -0,3345 -0,4061 -0,5041 -0,5833 -0,5984 -0,5439 -0,4740 -0,4756 -0,6163 -0,9139 -1,3347 -1,8048 -2,2349 -2,5626 -2,7795 -2,9123 -2,9914 -3,0362 -3,0528 -3,0421 -3,0102 -2,9663 -2,9086 -2,8185 -2,6720 -2,4590 -2,1971 -1,9266 -1,6857 -1,4840 -1,2949 -1,0751 -0,8004 -0,4845 -0,1661 0,1158 0,3304 0,4506 0,4563 0,3501 0,1687 -0,0222 -0,1497 -0,1643 -0,0577 0,1454 0,4031 0,6698 0,9074 1,0894 1,1905 1,1853 1,0723 0,8850 0,6677 0,4497 0,2460 0,0652 -0,0905 -0,2245 -0,3300 -0,3785 -0,3341 -0,1824 0,0551 0,3323 0,5993 0,8134 0,9409 0,9579 0,8568 0,6543 0,3929 0,1311 -0,0750 -0,1932 -0,2327 -0,2400 -0,2786 -0,4117 -0,6907 -1,1367 -1,7285 -2,4139 -3,1314 -3,8215 -4,4366 -4,9453 -5,3260 -5,5666 -5,6758 -5,6884 -5,6509 -5,5975 -5,5393 -5,4735 -5,3955 -5,3018 -5,1913 -5,0707 -4,9578 -4,8819 -4,8746 -4,9497 -5,0902 -5,2553 -5,3938 -5,4519 -5,3811 -5,1537 -4,7751 -4,2806 -3,7240 -3,1691 -2,6833 -2,3308
F7    1,2772 0,9501 0,5262 0,0317 -0,4872 -0,9698 -1,3494 -1,5742 -1,6309 -1,5499 -1,3899 -1,2122 -1,0590 -0,9453 -0,8681 -0,8174 -0,7761 -0,7195 -0,6296 -0,5111 -0,3872 -0,2873 -0,2395 -0,2542 -0,3084 -0,3612 -0,3814 -0,3531 -0,2731 -0,1535 -0,0219 0,0860 0,1407 0,1373 0,0995 0,0677 0,0849 0,1859 0,3881 0,6855 1,0442 1,4034 1,6902 1,8462 1,8510 1,7291 1,5379 1,3483 1,2195 1,1797 1,2240 1,3289 1,4661 1,6111 1,7526 1,8956 2,0473 2,1989 2,3263 2,4075 2,4316 2,3979 2,3186 2,2204 2,1351 2,0848 2,0758 2,0987 2,1332 2,1522 2,1224 2,0169 1,8354 1,6097 1,3880 1,2206 1,1505 1,2042 1,3821 1,6511 1,9476 2,2019 2,3707 2,4491 2,4551 2,4060 2,3067 2,1561 1,9569 1,7153 1,4363 1,1263 0,7989 0,4746 0,1704 -0,1018 -0,3244 -0,4717 -0,5302 -0,5171 -0,4748 -0,4492 -0,4723 -0,5510 -0,6648 -0,7751 -0,8422 -0,8383 -0,7539 -0,6008 -0,4123 -0,2362 -0,1106 -0,0434 -0,0147 0,0028 0,0238 0,0471 0,0632 0,0636 0,0452 0,0117 -0,0256 -0,0555 -0,0785 -0,1034 -0,1355 -0,1757 -0,2292 -0,2956 -0,3545 -0,3763 -0,3490 -0,2890 -0,2299 -0,1993 -0,1977 -0,1949 -0,1551 -0,0685 0,0433 0,1534 0,2541 0,3565 0,4778 0,6388 0,8646 1,1710 1,5450 1,9469 2,3300 2,6611 2,9384 3,1899 3,4527 3,7443 4,0482 4,3257 4,5446 4,6940 4,7795 4,8155 4,8276 4,8522 4,9237 5,0544 5,2263 5,4028 5,5511 5,6483 5,6725 5,6016 5,4235 5,1468 4,7998 4,4203 4,0411 3,6776 3,3238 2,9628 2,5857 2,2016 1,8374 1,5241 1,2788 1,0948 0,9484 0,8133 0,6693 0,5079 0,3324 0,1471 -0,0542 -0,2817 -0,5332 -0,7904 -1,0296 -1,2276 -1,3643 -1,4248 -1,4044 -1,3121 -1,1727 -1,0216 -0,8936 -0,8194 -0,8268 -0,9334 -1,1338 -1,4016 -1,7056 -2,0166 -2,2990 -2,5054 -2,5936 -2,5535 -2,4143 -2,2254 -2,0310 -1,8541 -1,6993 -1,5684 -1,4742 -1,4424 -1,4958 -1,6357 -1,8370 -2,0601 -2,2648 -2,4218 -2,5234 -2,5839 -2,6271 -2,6716 -2,7194 -2,7574 -2,7685 -2,7396 -2,6723 -2,5907 -2,5264 -2,4893 -2,4615 -2,4245 -2,3825 -2,3561 -2,3626 -2,4107 -2,5086 -2,6614 -2,8621 -3,0932 -3,3331 -3,5601 -3,7546 -3,9036 -4,0062 -4,0729 -4,1151 -4,1373 -4,1439 -4,1447 -4,1430 -4,1245 -4,0653 -3,9480 -3,7704 -3,5529 -3,3417 -3,1985 -3,1787 -3,3062 -3,5629 -3,9039 -4,2751 -4,6166 -4,8697 -4,9931 -4,9771 -4,8450 -4,6451 -4,4319 -4,2478 -4,1129 -4,0279 -3,9785 -3,9401 -3,8900 -3,8167 -3,7152 -3,5865 -3,4486 -3,3423 -3,3091 -3,3623 -3,4811 -3,6245 -3,7462 -3,8103 -3,8101 -3,7749 -3,7517 -3,7836 -3,8945 -4,0795 -4,3029 -4,5117 -4,6590 -4,7191 -4,6877 -4,5801 -4,4277 -4,2601 -4,0891 -3,9163 -3,7554 -3,6341 -3,5761 -3,5901 -3,6697 -3,7979 -3,9596 -4,1515 -4,3748 -4,6163 -4,8416 -5,0095 -5,0924 -5,0891 -5,0273 -4,9501 -4,8941 -4,8733 -4,8763 -4,8735 -4,8344 -4,7471 -4,6253 -4,5007 -4,4072 -4,3668 -4,3884 -4,4733 -4,6109 -4,7703 -4,9044 -4,9645 -4,9164 -4,7529 -4,5057 -4,2392 -4,0212 -3,8893 -3,8450 -3,8698 -3,9414 -4,0367 -4,1313 -4,2025 -4,2375 -4,2369 -4,2102 -4,1645 -4,0933 -3,9796 -3,8081 -3,5759 -3,2984 -3,0113 -2,7627 -2,6060 -2,5950 -2,7711 -3,1314 -3,6112 -4,1044 -4,5084 -4,7585 -4,8359 -4,7554 -4,5564 -4,2988 -4,0492 -3,8570 -3,7392 -3,6777 -3,6330 -3,5751 -3,5072 -3,4562 -3,4443 -3,4726 -3,5224 -3,5682 -3,5894 -3,5659 -3,4705 -3,2819 -3,0071 -2,6843 -2,3656 -2,0979 -1,9085 -1,8030 -1,7735 -1,8082 -1,8979 -2,0334 -2,1942 -2,3472 -2,4692 -2,5620 -2,6363 -2,6896 -2,7064 -2,6720 -2,5875 -2,4737 -2,3570 -2,2522 -2,1618 -2,0846 -2,0228 -1,9817 -1,9677 -1,9776 -1,9924 -1,9891 -1,9584 -1,9086 -1,8591 -1,8302 -1,8299 -1,8463 -1,8531 -1,8209 -1,7246 -1,5497 -1,3068 -1,0394 -0,8076 -0,6561 -0,5981 -0,6188 -0,6856 -0,7578 -0,7997 -0,7898 -0,7293 -0,6498 -0,6053 -0,6513 -0,8237 -1,1264 -1,5247 -1,9458 -2,2962 -2,4962 -2,5122 -2,3663 -2,1189 -1,8349 -1,5564 -1,3030 -1,0844 -0,9025 -0,7448 -0,5934 -0,4495 -0,3452 -0,3263 -0,4248 -0,6442 -0,9616 -1,3381 -1,7315 -2,1034 -2,4177 -2,6386 -2,7400 -2,7173 -2,5927 -2,4128 -2,2394 -2,1281 -2,1087 -2,1786 -2,3089 -2,4604 -2,6099 -2,7638 -2,9436 -3,1613 -3,4127 -3,6861 -3,9687 -4,2442 -4,4948 -4,7090 -4,8858 -5,0351 -5,1727 -5,3047 -5,4157 -5,4738 -5,4457 -5,3119 -5,0743 -4,7554 -4,3961 -4,0505 -3,7641 -3,5478 -3,3716 -3,1797 -2,9179 -2,5618 -2,1307 -1,6736 -1,2417 -0,8733 -0,5899 -0,3904 -0,2484 -0,1256 0,0031 0,1351 0,2454 0,3060 0,3047 0,2462 0,1407 0,0008 -0,1539 -0,3023 -0,4313 -0,5336 -0,6150 -0,7042 -0,8424 -1,0550 -1,3379 -1,6626 -1,9822 -2,2362 -2,3660 -2,3407 -2,1765 -1,9339 -1,6895 -1,4972 -1,3721 -1,3031 -1,2745 -1,2729 -1,2832 -1,2892 -1,2852 -1,2812 -1,2992 -1,3621 -1,4840 -1,6709 -1,9336 -2,2915 -2,7527 -3,2934 -3,8633 -4,4083 -4,8900 -5,2930 -5,6157 -5,8534 -5,9976 -6,0511 -6,0270 -5,9336 -5,7730 -5,5544 -5,3032 -5,0558 -4,8484 -4,7082 -4,6446 -4,6484 -4,7071 -4,8201 -4,9908 -5,2060 -5,4304 -5,6192 -5,7343 -5,7541 -5,6739 -5,4985 -5,2333 -4,8925 -4,5183 -4,1764 -3,9213
