Fp1   -1,3019 -1,4619 -1,5513 -1,5344 -1,4132 -1,2326 -1,0577 -0,9357 -0,8750 -0,8565 -0,8591 -0,8779 -0,9229 -0,9972 -1,0812 -1,1423 -1,1576 -1,1247 -1,0566 -0,9734 -0,8975 -0,8491 -0,8330 -0,8284 -0,8006 -0,7252 -0,6016 -0,4436 -0,2575 -0,0324 0,2471 0,5783 0,9338 1,2717 1,5502 1,7433 1,8512 1,8979 1,9107 1,9047 1,8858 1,8524 1,7947 1,7065 1,5967 1,4777 1,3521 1,2145 1,0552 0,8576 0,6053 0,2931 -0,0663 -0,4405 -0,7838 -1,0587 -1,2544 -1,3777 -1,4257 -1,3722 -1,1819 -0,8440 -0,3969 0,0882 0,5556 0,9941 1,4189 1,8398 2,2511 2,6426 3,0071 3,3418 3,6490 3,9345 4,2044 4,4621 4,7026 4,9062 5,0384 5,0539 4,9143 4,6168 4,2152 3,8130 3,5235 3,4108 3,4608 3,6074 3,7779 3,9160 3,9791 3,9384 3,7900 3,5590 3,2908 3,0327 2,8096 2,6082 2,3882 2,1088 1,7477 1,3032 0,7836 0,1962 -0,4456 -1,0994 -1,6877 -2,1302 -2,3883 -2,4801 -2,4574 -2,3697 -2,2452 -2,0999 -1,9479 -1,7966 -1,6416 -1,4761 -1,2950 -1,0835 -0,8128 -0,4533 0,0122 0,5833 1,2307 1,8896 2,4738 2,9059 3,1490 3,2240 3,2041 3,1881 3,2666 3,4934 3,8747 4,3823 4,9733 5,5932 6,1707 6,6351 6,9520 7,1416 7,2647 7,3943 7,5921 7,8946 8,3007 8,7662 9,2241 9,6198 9,9305 10,1603 10,3254 10,4422 10,5136 10,5227 10,4532 10,3163 10,1432 9,9546 9,7470 9,4953 9,1625 8,7333 8,2507 7,8074 7,4939 7,3567 7,3879 7,5383 7,7386 7,9198 8,0368 8,0865 8,0988 8,1053 8,1164 8,1244 8,1152 8,0725 7,9759 7,8014 7,5336 7,1872 6,8159 6,4923 6,2771 6,1971 6,2385 6,3459 6,4374 6,4385 6,3145 6,0742 5,7525 5,3881 5,0058 4,6114 4,1960 3,7452 3,2590 2,7713 2,3450 2,0420 1,8937 1,8919 1,9973 2,1576 2,3284 2,4790 2,5901 2,6574 2,6964 2,7385 2,8174 2,9563 3,1670 3,4502 3,7881 4,1407 4,4569 4,6927 4,8267 4,8709 4,8679 4,8715 4,9175 5,0070 5,1170 5,2229 5,3084 5,3642 5,3856 5,3733 5,3411 5,3174 5,3297 5,3804 5,4412 5,4752 5,4621 5,4040 5,3138 5,2025 5,0762 4,9376 4,7888 4,6352 4,4832 4,3351 4,1891 4,0455 3,9102 3,7994 3,7434 3,7800 3,9350 4,2014 4,5345 4,8626 5,1111 5,2313 5,2169 5,0911 4,8829 4,6160 4,3133 3,9996 3,6946 3,4006 3,1044 2,7898 2,4488 2,0964 1,7825 1,5729 1,5066 1,5751 1,7361 1,9400 2,1441 2,3161 2,4382 2,5163 2,5808 2,6704 2,8139 3,0184 3,2690 3,5391 3,7984 4,0158 4,1666 4,2451 4,2683 4,2654 4,2641 4,2850 4,3438 4,4456 4,5783 4,7177 4,8416 4,9420 5,0281 5,1209 5,2412 5,3896 5,5363 5,6378 5,6603 5,5920 5,4519 5,2981 5,2112 5,2539 5,4377 5,7140 5,9929 6,1817 6,2216 6,1048 5,8692 5,5728 5,2670 4,9904 4,7753 4,6471 4,5985 4,5756 4,5154 4,3975 4,2402 4,0675 3,8984 3,7559 3,6723 3,6834 3,8051 4,0168 4,2751 4,5385 4,7681 4,9205 4,9595 4,8833 4,7345 4,5731 4,4392 4,3409 4,2682 4,2045 4,1253 3,9977 3,7982 3,5325 3,2370 2,9603 2,7452 2,6149 2,5619 2,5541 2,5618 2,5818 2,6373 2,7551 2,9395 3,1608 3,3687 3,5223 3,6115 3,6449 3,6262 3,5586 3,4673 3,4013 3,4126 3,5349 3,7749 4,1116 4,4941 4,8496 5,1170 5,2833 5,3812 5,4516 5,5148 5,5661 5,5879 5,5659 5,5058 5,4285 5,3455 5,2437 5,0995 4,8998 4,6489 4,3645 4,0702 3,7906 3,5574 3,4094 3,3682 3,4206 3,5391 3,7130 3,9427 4,2120 4,4784 4,6892 4,7979 4,7788 4,6396 4,4212 4,1840 3,9907 3,8847 3,8676 3,8932 3,8918 3,8100 3,6349 3,3880 3,1100 2,8550 2,6765 2,6075 2,6505 2,7862 2,9814 3,1900 3,3661 3,4930 3,5912 3,6872 3,7752 3,8208 3,7983 3,7166 3,6127 3,5302 3,4977 3,5185 3,5736 3,6347 3,6820 3,7192 3,7644 3,8239 3,8833 3,9185 3,9109 3,8566 3,7697 3,6816 3,6364 3,6833 3,8613 4,1825 4,6254 5,1348 5,6237 5,9931 6,1804 6,1968 6,1134 6,0013 5,8832 5,7388 5,5394 5,2664 4,9103 4,4740 3,9846 3,4930 3,0521 2,6942 2,4296 2,2602 2,1897 2,2190 2,3305 2,4824 2,6216 2,7016 2,6932 2,5976 2,4563 2,3367 2,2902 2,3250 2,4144 2,5285 2,6588 2,8178 3,0136 3,2290 3,4281 3,5796 3,6779 3,7439 3,8056 3,8768 3,9605 4,0685 4,2260 4,4509 4,7343 5,0407 5,3252 5,5582 5,7415 5,9038 6,0833 6,3092 6,5868 6,8940 7,1939 7,4490 7,6262 7,6936 7,6215 7,4010 7,0635 6,6776 6,3242 6,0683 5,9404 5,9356 6,0229 6,1613 6,3198 6,4862 6,6596 6,8421 7,0322 7,2196 7,3872 7,5250 7,6372 7,7287 7,7885 7,7983 7,7524 7,6603 7,5363 7,3959 7,2585 7,1437 7,0588 6,9884 6,8984 6,7581 6,5605 6,3245 6,0776 5,8386 5,6196 5,4406 5,3250 5,2781 5,2798 5,2998 5,3119 5,3025 5,2720 5,2256 5,1617 5,0732 4,9579 4,8268 4,6999 4,5898 4,4865 4,3660 4,2143 4,0339 3,8303 3,6035 3,3528 3,0791 2,7872 2,4955 2,2390 2,0573 1,9775 2,0069 2,1337 2,3306 2,5577 2,7684 2,9235 3,0034 3,0106 2,9638 2,8903 2,8218 2,7929 2,8368 2,9731
Fz    0,1642 -0,0418 -0,3027 -0,5861 -0,8531 -1,0693 -1,2108 -1,2653 -1,2379 -1,1555 -1,0646 -1,0200 -1,0632 -1,1978 -1,3825 -1,5547 -1,6629 -1,6837 -1,6182 -1,4793 -1,2879 -1,0759 -0,8773 -0,7109 -0,5706 -0,4331 -0,2733 -0,0759 0,1605 0,4257 0,7020 0,9670 1,2006 1,3903 1,5377 1,6557 1,7583 1,8464 1,9036 1,9072 1,8425 1,7079 1,5149 1,2943 1,0910 0,9378 0,8338 0,7502 0,6515 0,5111 0,3122 0,0383 -0,3307 -0,8065 -1,3746 -1,9899 -2,5867 -3,0939 -3,4554 -3,6503 -3,6939 -3,6225 -3,4764 -3,2840 -3,0490 -2,7510 -2,3682 -1,9045 -1,3981 -0,9091 -0,4967 -0,1975 -0,0174 0,0640 0,0824 0,0796 0,0961 0,1588 0,2679 0,3948 0,5029 0,5750 0,6230 0,6770 0,7701 0,9199 1,1142 1,3147 1,4753 1,5595 1,5457 1,4220 1,1891 0,8688 0,5016 0,1319 -0,2084 -0,5079 -0,7703 -1,0048 -1,2195 -1,4197 -1,6086 -1,7929 -1,9816 -2,1718 -2,3456 -2,4837 -2,5795 -2,6387 -2,6718 -2,6849 -2,6723 -2,6181 -2,5051 -2,3224 -2,0720 -1,7738 -1,4566 -1,1409 -0,8312 -0,5229 -0,2083 0,1214 0,4727 0,8439 1,2200 1,5719 1,8674 2,0883 2,2394 2,3447 2,4381 2,5567 2,7351 3,0012 3,3680 3,8187 4,3001 4,7429 5,0975 5,3545 5,5362 5,6772 5,8146 5,9860 6,2205 6,5189 6,8447 7,1415 7,3650 7,4999 7,5564 7,5560 7,5230 7,4852 7,4769 7,5308 7,6555 7,8260 7,9982 8,1320 8,2017 8,2027 8,1617 8,1303 8,1603 8,2778 8,4699 8,6896 8,8740 8,9696 8,9591 8,8741 8,7756 8,7138 8,6981 8,6977 8,6658 8,5607 8,3540 8,0331 7,6083 7,1174 6,6191 6,1762 5,8372 5,6244 5,5275 5,5031 5,4865 5,4158 5,2525 4,9902 4,6555 4,2955 3,9541 3,6540 3,3898 3,1309 2,8360 2,4776 2,0571 1,6020 1,1529 0,7531 0,4428 0,2534 0,2018 0,2858 0,4831 0,7569 1,0683 1,3917 1,7242 2,0787 2,4740 2,9234 3,4242 3,9543 4,4834 4,9857 5,4423 5,8363 6,1584 6,4159 6,6323 6,8343 7,0400 7,2515 7,4488 7,5906 7,6297 7,5350 7,3117 7,0083 6,7014 6,4627 6,3279 6,2882 6,3020 6,3119 6,2651 6,1282 5,8960 5,5916 5,2591 4,9491 4,6986 4,5147 4,3748 4,2450 4,1024 3,9471 3,8038 3,7137 3,7144 3,8178 3,9999 4,2105 4,3946 4,5097 4,5348 4,4711 4,3348 4,1499 3,9450 3,7456 3,5629 3,3860 3,1906 2,9540 2,6661 2,3331 1,9797 1,6388 1,3351 1,0792 0,8747 0,7248 0,6316 0,5955 0,6169 0,7012 0,8588 1,0966 1,4106 1,7875 2,2060 2,6340 3,0299 3,3530 3,5791 3,7085 3,7635 3,7806 3,7999 3,8525 3,9503 4,0781 4,1993 4,2728 4,2714 4,1938 4,0673 3,9397 3,8614 3,8643 3,9504 4,1013 4,2900 4,4798 4,6312 4,7268 4,7853 4,8452 4,9363 5,0613 5,1922 5,2830 5,2917 5,2004 5,0182 4,7720 4,5000 4,2508 4,0752 4,0062 4,0370 4,1194 4,1954 4,2335 4,2296 4,1928 4,1431 4,1126 4,1378 4,2459 4,4405 4,6973 4,9771 5,2372 5,4341 5,5309 5,5147 5,4058 5,2476 5,0840 4,9420 4,8278 4,7339 4,6490 4,5630 4,4680 4,3622 4,2531 4,1521 4,0656 3,9959 3,9418 3,8949 3,8406 3,7702 3,6907 3,6217 3,5812 3,5772 3,6073 3,6573 3,7036 3,7216 3,6941 3,6169 3,5033 3,3852 3,3046 3,3019 3,4047 3,6163 3,9074 4,2202 4,4834 4,6408 4,6772 4,6187 4,5119 4,4045 4,3312 4,3027 4,3061 4,3204 4,3274 4,3106 4,2605 4,1861 4,1169 4,0893 4,1272 4,2274 4,3606 4,4868 4,5710 4,5899 4,5347 4,4191 4,2792 4,1535 4,0544 3,9595 3,8247 3,6075 3,2903 2,8939 2,4682 2,0647 1,7144 1,4230 1,1759 0,9444 0,6968 0,4165 0,1105 -0,1974 -0,4740 -0,6790 -0,7714 -0,7212 -0,5197 -0,1820 0,2557 0,7428 1,2282 1,6763 2,0741 2,4266 2,7462 3,0423 3,3145 3,5500 3,7273 3,8239 3,8241 3,7283 3,5556 3,3384 3,1153 2,9202 2,7658 2,6343 2,4900 2,3015 2,0600 1,7829 1,5075 1,2791 1,1394 1,1173 1,2190 1,4225 1,6786 1,9170 2,0577 2,0355 1,8310 1,4841 1,0768 0,6925 0,3811 0,1519 -0,0089 -0,1224 -0,2125 -0,3019 -0,4015 -0,5016 -0,5799 -0,6217 -0,6286 -0,6117 -0,5858 -0,5662 -0,5642 -0,5798 -0,5989 -0,5959 -0,5447 -0,4276 -0,2429 -0,0152 0,2001 0,3344 0,3404 0,2174 0,0072 -0,2349 -0,4713 -0,6913 -0,8974 -1,0884 -1,2520 -1,3673 -1,4142 -1,3836 -1,2745 -1,0838 -0,8039 -0,4319 0,0216 0,5308 1,0608 1,5789 2,0657 2,5209 2,9593 3,3996 3,8492 4,3012 4,7463 5,1823 5,6053 5,9970 6,3259 6,5603 6,6848 6,7077 6,6594 6,5839 6,5251 6,5092 6,5350 6,5804 6,6208 6,6478 6,6765 6,7367 6,8529 7,0275 7,2429 7,4722 7,6852 7,8532 7,9545 7,9835 7,9527 7,8862 7,8076 7,7330 7,6680 7,6041 7,5224 7,3990 7,2082 6,9295 6,5562 6,1016 5,6007 5,1043 4,6666 4,3336 4,1262 4,0244 3,9743 3,9190 3,8264 3,6978 3,5578 3,4308 3,3160 3,1826 2,9894 2,7070 2,3284 1,8676 1,3541 0,8250 0,3167 -0,1426 -0,5393 -0,8743 -1,1596 -1,4148 -1,6630 -1,9248 -2,2130 -2,5268 -2,8497 -3,1528 -3,4046 -3,5818 -3,6778 -3,7026 -3,6721 -3,5972 -3,4805 -3,3179 -3,1056 -2,8499 -2,5679 -2,2780 -1,9926
F3    -0,9505 -1,1846 -1,4054 -1,5928 -1,7326 -1,8225 -1,8655 -1,8595 -1,7989 -1,6869 -1,5461 -1,4150 -1,3281 -1,2925 -1,2845 -1,2659 -1,2047 -1,0867 -0,9142 -0,6987 -0,4579 -0,2176 -0,0048 0,1685 0,3142 0,4578 0,6187 0,7993 0,9912 1,1818 1,3549 1,4922 1,5811 1,6199 1,6214 1,6087 1,6003 1,5948 1,5722 1,5104 1,4006 1,2486 1,0712 0,8958 0,7570 0,6770 0,6504 0,6465 0,6259 0,5553 0,4124 0,1844 -0,1315 -0,5240 -0,9640 -1,4058 -1,7928 -2,0704 -2,2027 -2,1846 -2,0419 -1,8186 -1,5573 -1,2807 -0,9814 -0,6302 -0,2001 0,3106 0,8700 1,4229 1,9100 2,2843 2,5213 2,6251 2,6256 2,5690 2,5084 2,4897 2,5329 2,6225 2,7235 2,8121 2,8905 2,9777 3,0908 3,2265 3,3556 3,4388 3,4513 3,3923 3,2656 3,0644 2,7865 2,4573 2,1237 1,8249 1,5710 1,3434 1,1106 0,8491 0,5526 0,2304 -0,1020 -0,4309 -0,7466 -1,0368 -1,2839 -1,4746 -1,6115 -1,7143 -1,8069 -1,9006 -1,9887 -2,0512 -2,0633 -2,0019 -1,8521 -1,6158 -1,3160 -0,9869 -0,6580 -0,3431 -0,0392 0,2651 0,5752 0,8840 1,1777 1,4442 1,6818 1,9033 2,1331 2,3940 2,6962 3,0386 3,4191 3,8434 4,3177 4,8270 5,3269 5,7643 6,1099 6,3706 6,5793 6,7738 6,9823 7,2203 7,4938 7,7962 8,1052 8,3888 8,6230 8,8007 8,9260 9,0032 9,0363 9,0352 9,0226 9,0277 9,0639 9,1137 9,1377 9,1004 8,9875 8,8068 8,5830 8,3480 8,1324 7,9596 7,8414 7,7771 7,7518 7,7379 7,7151 7,6914 7,6952 7,7424 7,8139 7,8638 7,8439 7,7189 7,4723 7,1111 6,6692 6,2003 5,7627 5,4039 5,1473 4,9841 4,8778 4,7761 4,6271 4,3944 4,0688 3,6705 3,2460 2,8502 2,5238 2,2825 2,1152 1,9801 1,8174 1,5792 1,2518 0,8571 0,4397 0,0510 -0,2651 -0,4807 -0,5829 -0,5669 -0,4332 -0,1929 0,1256 0,4795 0,8273 1,1459 1,4378 1,7248 2,0302 2,3627 2,7168 3,0826 3,4520 3,8173 4,1697 4,5021 4,8144 5,1107 5,3930 5,6594 5,9018 6,1010 6,2247 6,2384 6,1237 5,8978 5,6165 5,3566 5,1876 5,1471 5,2255 5,3649 5,4829 5,5061 5,3974 5,1677 4,8674 4,5613 4,3001 4,1021 3,9564 3,8415 3,7458 3,6728 3,6354 3,6508 3,7341 3,8900 4,1096 4,3724 4,6452 4,8821 5,0352 5,0730 4,9917 4,8155 4,5856 4,3432 4,1124 3,8944 3,6780 3,4523 3,2119 2,9604 2,7130 2,4892 2,3031 2,1646 2,0823 2,0571 2,0775 2,1248 2,1856 2,2615 2,3668 2,5176 2,7237 2,9878 3,3048 3,6544 3,9978 4,2866 4,4826 4,5733 4,5720 4,5081 4,4194 4,3452 4,3223 4,3777 4,5158 4,7077 4,9007 5,0459 5,1211 5,1336 5,1116 5,0906 5,0953 5,1350 5,2071 5,2934 5,3631 5,3927 5,3850 5,3697 5,3864 5,4568 5,5696 5,6892 5,7782 5,8112 5,7743 5,6633 5,4924 5,3000 5,1407 5,0617 5,0752 5,1481 5,2267 5,2723 5,2722 5,2319 5,1727 5,1278 5,1286 5,1899 5,3022 5,4420 5,5907 5,7356 5,8566 5,9231 5,9077 5,8024 5,6286 5,4326 5,2645 5,1561 5,1147 5,1257 5,1574 5,1693 5,1281 5,0194 4,8484 4,6302 4,3826 4,1230 3,8640 3,6124 3,3763 3,1736 3,0266 2,9470 2,9295 2,9578 3,0100 3,0623 3,0957 3,1005 3,0771 3,0366 3,0019 3,0057 3,0855 3,2733 3,5791 3,9799 4,4218 4,8367 5,1687 5,3961 5,5319 5,6083 5,6587 5,7043 5,7463 5,7724 5,7720 5,7412 5,6776 5,5792 5,4494 5,2999 5,1564 5,0560 5,0300 5,0814 5,1833 5,2943 5,3693 5,3712 5,2935 5,1713 5,0558 4,9752 4,9185 4,8458 4,7100 4,4852 4,1872 3,8624 3,5542 3,2821 3,0435 2,8222 2,5954 2,3474 2,0853 1,8377 1,6355 1,4950 1,4142 1,3855 1,4089 1,4953 1,6551 1,8867 2,1720 2,4788 2,7718 3,0259 3,2311 3,3852 3,4870 3,5396 3,5530 3,5401 3,5116 3,4734 3,4205 3,3375 3,2102 3,0430 2,8634 2,7019 2,5666 2,4404 2,2973 2,1192 1,9067 1,6848 1,4959 1,3857 1,3887 1,5169 1,7566 2,0684 2,3884 2,6378 2,7523 2,7142 2,5614 2,3660 2,1981 2,0943 2,0491 2,0319 2,0088 1,9559 1,8659 1,7514 1,6432 1,5767 1,5727 1,6269 1,7167 1,8158 1,9071 1,9873 2,0642 2,1486 2,2470 2,3568 2,4697 2,5778 2,6700 2,7245 2,7113 2,6089 2,4210 2,1771 1,9123 1,6460 1,3818 1,1207 0,8673 0,6297 0,4191 0,2502 0,1380 0,0983 0,1517 0,3217 0,6232 1,0558 1,5993 2,2089 2,8233 3,3886 3,8788 4,3008 4,6799 5,0395 5,3905 5,7350 6,0667 6,3622 6,5804 6,6788 6,6392 6,4818 6,2559 6,0213 5,8361 5,7483 5,7806 5,9193 6,1202 6,3311 6,5200 6,6888 6,8604 7,0522 7,2631 7,4797 7,6869 7,8669 7,9947 8,0425 7,9973 7,8709 7,6932 7,4973 7,3099 7,1464 7,0113 6,9015 6,8053 6,6978 6,5427 6,3078 5,9859 5,6060 5,2263 4,9124 4,7138 4,6450 4,6737 4,7350 4,7687 4,7470 4,6756 4,5774 4,4717 4,3569 4,2093 4,0024 3,7249 3,3841 3,0006 2,6012 2,2128 1,8579 1,5542 1,3131 1,1369 1,0159 0,9252 0,8275 0,6925 0,5158 0,3219 0,1497 0,0353 -0,0010 0,0403 0,1405 0,2760 0,4314 0,6016 0,7871 0,9878 1,1961 1,3926 1,5563 1,6823 1,7865
F7    -1,5013 -1,8461 -2,1052 -2,2307 -2,2143 -2,0963 -1,9448 -1,8194 -1,7457 -1,7132 -1,6905 -1,6469 -1,5662 -1,4438 -1,2795 -1,0806 -0,8662 -0,6615 -0,4884 -0,3599 -0,2808 -0,2463 -0,2312 -0,1875 -0,0659 0,1517 0,4361 0,7292 0,9840 1,1891 1,3594 1,5117 1,6508 1,7707 1,8642 1,9288 1,9624 1,9557 1,8951 1,7792 1,6295 1,4773 1,3409 1,2227 1,1184 1,0162 0,8933 0,7252 0,4996 0,2208 -0,0896 -0,3926 -0,6377 -0,7769 -0,7821 -0,6572 -0,4366 -0,1691 0,1011 0,3540 0,6020 0,8775 1,2105 1,6138 2,0811 2,5932 3,1271 3,6584 4,1578 4,5928 4,9369 5,1807 5,3364 5,4313 5,4961 5,5570 5,6305 5,7198 5,8107 5,8755 5,8868 5,8401 5,7640 5,7110 5,7304 5,8372 6,0015 6,1704 6,2990 6,3617 6,3456 6,2447 6,0671 5,8420 5,6099 5,4064 5,2468 5,1192 4,9909 4,8249 4,5970 4,3030 3,9568 3,5807 3,1940 2,8141 2,4620 2,1565 1,9023 1,6871 1,4964 1,3320 1,2167 1,1764 1,2200 1,3333 1,4835 1,6305 1,7469 1,8354 1,9256 2,0556 2,2585 2,5519 2,9252 3,3376 3,7341 4,0687 4,3231 4,5145 4,6878 4,8910 5,1543 5,4846 5,8723 6,3025 6,7561 7,2044 7,6092 7,9379 8,1830 8,3675 8,5338 8,7244 8,9646 9,2536 9,5661 9,8602 10,0950 10,2517 10,3444 10,4099 10,4806 10,5617 10,6307 10,6566 10,6250 10,5476 10,4477 10,3404 10,2274 10,1015 9,9483 9,7551 9,5266 9,2849 9,0588 8,8755 8,7520 8,6883 8,6726 8,6877 8,7212 8,7755 8,8616 8,9745 9,0781 9,1227 9,0733 8,9194 8,6701 8,3501 7,9954 7,6457 7,3352 7,0858 6,9074 6,8014 6,7582 6,7482 6,7258 6,6461 6,4824 6,2339 5,9236 5,5834 5,2351 4,8841 4,5263 4,1555 3,7758 3,4095 3,0903 2,8434 2,6693 2,5459 2,4456 2,3566 2,2891 2,2639 2,2969 2,3931 2,5505 2,7623 3,0116 3,2711 3,5145 3,7263 3,9019 4,0442 4,1655 4,2829 4,4086 4,5448 4,6840 4,8074 4,8890 4,9091 4,8689 4,7936 4,7255 4,7119 4,7880 4,9556 5,1769 5,3937 5,5574 5,6417 5,6350 5,5376 5,3666 5,1566 4,9489 4,7765 4,6555 4,5857 4,5585 4,5657 4,6009 4,6538 4,7073 4,7447 4,7601 4,7613 4,7677 4,8059 4,9004 5,0593 5,2649 5,4773 5,6497 5,7435 5,7395 5,6413 5,4694 5,2505 5,0113 4,7798 4,5830 4,4382 4,3477 4,2998 4,2726 4,2461 4,2154 4,1852 4,1567 4,1288 4,1074 4,1065 4,1377 4,2008 4,2837 4,3708 4,4478 4,5010 4,5244 4,5273 4,5322 4,5665 4,6524 4,7990 4,9980 5,2251 5,4423 5,6066 5,6875 5,6848 5,6342 5,5909 5,6034 5,6958 5,8624 6,0727 6,2831 6,4495 6,5379 6,5306 6,4281 6,2521 6,0427 5,8445 5,6905 5,5969 5,5636 5,5744 5,6006 5,6079 5,5650 5,4528 5,2741 5,0518 4,8113 4,5640 4,3122 4,0641 3,8395 3,6587 3,5226 3,4071 3,2849 3,1522 3,0248 2,9196 2,8449 2,8010 2,7881 2,8130 2,8818 2,9925 3,1382 3,3097 3,4841 3,6234 3,6904 3,6693 3,5704 3,4160 3,2221 2,9985 2,7658 2,5649 2,4404 2,4160 2,4843 2,6112 2,7480 2,8508 2,9003 2,9026 2,8706 2,8118 2,7350 2,6596 2,6103 2,6029 2,6370 2,6980 2,7621 2,8056 2,8171 2,7996 2,7650 2,7282 2,7030 2,6973 2,7135 2,7553 2,8313 2,9503 3,1131 3,3137 3,5503 3,8331 4,1706 4,5490 4,9303 5,2677 5,5230 5,6788 5,7472 5,7548 5,7141 5,6144 5,4429 5,2071 4,9370 4,6772 4,4756 4,3699 4,3796 4,5031 4,7122 4,9545 5,1719 5,3221 5,3842 5,3554 5,2469 5,0776 4,8653 4,6235 4,3670 4,1122 3,8733 3,6649 3,5025 3,3951 3,3384 3,3190 3,3254 3,3526 3,3972 3,4535 3,5123 3,5631 3,6012 3,6394 3,7052 3,8180 3,9682 4,1223 4,2491 4,3355 4,3797 4,3784 4,3253 4,2198 4,0808 3,9493 3,8763 3,8984 4,0162 4,1886 4,3482 4,4335 4,4182 4,3173 4,1718 4,0235 3,8951 3,7830 3,6709 3,5510 3,4349 3,3510 3,3306 3,3949 3,5459 3,7661 4,0216 4,2697 4,4752 4,6246 4,7281 4,8073 4,8754 4,9252 4,9421 4,9262 4,8951 4,8684 4,8581 4,8697 4,9044 4,9543 4,9966 5,0015 4,9526 4,8612 4,7622 4,6982 4,6977 4,7605 4,8559 4,9366 4,9633 4,9233 4,8231 4,6702 4,4686 4,2315 3,9889 3,7790 3,6252 3,5184 3,4238 3,3053 3,1425 2,9383 2,7209 2,5346 2,4155 2,3772 2,4215 2,5500 2,7628 3,0518 3,4011 3,7907 4,2037 4,6311 5,0678 5,5013 5,9078 6,2557 6,5164 6,6754 6,7378 6,7245 6,6637 6,5821 6,5000 6,4307 6,3790 6,3453 6,3345 6,3583 6,4271 6,5406 6,6868 6,8501 7,0194 7,1938 7,3796 7,5810 7,7916 7,9976 8,1861 8,3485 8,4791 8,5731 8,6251 8,6330 8,6005 8,5355 8,4458 8,3401 8,2310 8,1354 8,0647 8,0141 7,9640 7,8948 7,7991 7,6826 7,5565 7,4366 7,3464 7,3108 7,3389 7,4143 7,5056 7,5812 7,6160 7,5892 7,4834 7,2865 7,0020 6,6586 6,3051 5,9868 5,7243 5,5112 5,3259 5,1437 4,9458 4,7227 4,4737 4,2062 3,9350 3,6806 3,4695 3,3364 3,3168 3,4279 3,6520 3,9381 4,2185 4,4352 4,5639 4,6239 4,6601 4,7111 4,7921 4,8946 4,9954 5,0721 5,1181 5,1481
