Fp1   1,9775 2,5316 2,6457 2,3875 1,9548 1,5195 1,1135 0,6899 0,2687 -0,0428 -0,1674 -0,1340 -0,0494 -0,0505 -0,2309 -0,5368 -0,7798 -0,8182 -0,6867 -0,5003 -0,2759 0,0760 0,5955 1,1700 1,5963 1,7388 1,6351 1,4271 1,2096 0,9897 0,7441 0,4443 0,0529 -0,4357 -0,9519 -1,3823 -1,6370 -1,6840 -1,5495 -1,3043 -1,0401 -0,8516 -0,8270 -1,0150 -1,3822 -1,8077 -2,1127 -2,1043 -1,6484 -0,7618 0,3474 1,3521 1,9465 1,9758 1,5322 0,9284 0,4907 0,3655 0,5245 0,8801 1,3546 1,8861 2,4209 2,9227 3,3766 3,7317 3,8378 3,5133 2,7054 1,5545 0,3223 -0,7172 -1,3673 -1,5631 -1,3922 -1,0581 -0,7588 -0,5747 -0,4981 -0,5214 -0,6339 -0,7802 -0,8975 -0,9836 -1,0827 -1,1876 -1,1717 -0,8379 -0,0411 1,2248 2,8298 4,5442 6,0625 7,0591 7,2853 6,6510 5,2857 3,5392 1,8530 0,5619 -0,2323 -0,6475 -0,9033 -1,1967 -1,6412 -2,2640 -3,0177 -3,7745 -4,3349 -4,4925 -4,1165 -3,2042 -1,8954 -0,4313 0,9267 1,9529 2,4676 2,3603 1,6511 0,5145 -0,7989 -2,0886 -3,2506 -4,1856 -4,7180 -4,6750 -4,0444 -3,0365 -1,9978 -1,2451 -0,9384 -1,0671 -1,5203 -2,1809 -2,9952 -3,9672 -5,0737 -6,2107 -7,2592 -8,1793 -9,0228 -9,8700 -10,7346 -11,5012 -11,9651 -11,9206 -11,2052 -9,7467 -7,6577 -5,2756 -3,0667 -1,4532 -0,6679 -0,7044 -1,3597 -2,3094 -3,2090 -3,8280 -4,1222 -4,1644 -4,0253 -3,7340 -3,3451 -2,9972 -2,8309 -2,8461 -2,8889 -2,7844 -2,4842 -2,0886 -1,7290 -1,4679 -1,3383 -1,4188 -1,7978 -2,4822 -3,3676 -4,2592 -4,9266 -5,2131 -5,1009 -4,6603 -3,9834 -3,1904 -2,4453 -1,9144 -1,7035 -1,8253 -2,1921 -2,6294 -2,9168 -2,8664 -2,4224 -1,7034 -0,9585 -0,4589 -0,3496 -0,5691 -0,9368 -1,3047 -1,6301 -1,9659 -2,4186 -3,0735 -3,9053 -4,7660 -5,4789 -5,8933 -5,8599 -5,2805 -4,2247 -2,9448 -1,7398 -0,7807 -0,0561 0,4875 0,7637 0,5647 -0,2449 -1,6061 -3,2973 -5,0162 -6,4561 -7,3915 -7,7439 -7,5915 -7,1301 -6,6068 -6,2449 -6,1695 -6,3578 -6,6444 -6,8016 -6,6607 -6,1976 -5,5382 -4,8867 -4,4228 -4,2275 -4,2705 -4,4530 -4,6628 -4,8040 -4,8189 -4,7141 -4,5576 -4,4435 -4,4733 -4,7522 -5,3351 -6,1536 -7,0218 -7,7220 -8,0876 -8,0297 -7,5206 -6,5942 -5,3587 -3,9846 -2,6984 -1,7635 -1,3857 -1,6012 -2,2600 -3,1262 -4,0092 -4,8286 -5,5879 -6,2883 -6,8714 -7,2469 -7,3311 -7,0482 -6,3554 -5,3078 -4,0903 -2,9562 -2,0977 -1,5665 -1,3149 -1,2915 -1,4920 -1,9251 -2,5412 -3,2187 -3,8184 -4,2518 -4,5299 -4,7541 -5,0073 -5,2354 -5,2772 -5,0345 -4,5832 -4,1126 -3,8050 -3,7528 -3,9211 -4,1836 -4,4207 -4,5773 -4,6471 -4,6470 -4,6004 -4,5055 -4,3195 -3,9784 -3,4213 -2,6116 -1,5995 -0,5890 0,1096 0,2616 -0,1511 -0,9797 -2,0645 -3,3022 -4,6043 -5,8566 -6,9322 -7,7217 -8,1543 -8,1934 -7,7949 -6,8805 -5,3950 -3,4126 -1,1865 0,9096 2,5009 3,3255 3,3080 2,5550 1,2746 -0,3035 -1,9457 -3,4238 -4,5721 -5,3461 -5,8002 -6,0135 -6,0480 -5,9551 -5,7901 -5,6306 -5,5757 -5,6900 -5,9410 -6,1902 -6,2297 -5,8741 -5,0989 -4,0923 -3,1499 -2,5159 -2,2619 -2,2556 -2,2710 -2,1612 -1,9365 -1,7088 -1,5829 -1,5935 -1,7228 -1,9443 -2,2464 -2,6369 -3,1055 -3,5737 -3,9205 -4,0534 -3,9291 -3,5381 -2,9247 -2,2227 -1,6394 -1,3675 -1,4801 -1,9080 -2,5321 -3,2815 -4,1174 -4,9286 -5,4915 -5,5769 -5,0915 -4,1169 -2,8535 -1,5566 -0,4800 0,1958 0,4233 0,2821 -0,0899 -0,5755 -1,1160 -1,6811 -2,2165 -2,6289 -2,7930 -2,5937 -2,0326 -1,2851 -0,5911 -0,0721 0,3233 0,6950 1,0375 1,2124 1,0430 0,4497 -0,4716 -1,4905 -2,3705 -2,9680 -3,2341 -3,1668 -2,7766 -2,0969 -1,2064 -0,2184 0,7358 1,5135 2,0130 2,2338 2,2496 2,1296 1,9000 1,5600 1,0939 0,4491 -0,4421 -1,5551 -2,6943 -3,5461 -3,8286 -3,4242 -2,4201 -1,0735 0,2672 1,2584 1,6481 1,3365 0,4038 -0,9069 -2,2616 -3,3340 -3,8821 -3,8068 -3,2044 -2,3371 -1,4939 -0,8679 -0,5538 -0,5816 -0,8901 -1,3112 -1,6558 -1,8319 -1,8702 -1,8385 -1,7451 -1,5304 -1,1322 -0,5305 0,2501 1,1155 1,8665 2,2416 2,0415 1,2214 -0,1047 -1,6930 -3,2070 -4,3072 -4,7725 -4,5651 -3,8086 -2,7036 -1,4517 -0,2545 0,6697 1,1635 1,2463 1,0943 0,8875 0,6991 0,5063 0,2445 -0,1702 -0,8129 -1,7106 -2,8222 -4,0247 -5,1184 -5,8916 -6,1967 -5,9800 -5,2895 -4,2887 -3,2465 -2,4721 -2,2166 -2,5792 -3,4647 -4,6465 -5,9071 -7,1306 -8,2740 -9,2782 -10,0113 -10,2985 -10,0148 -9,1488 -7,7929 -6,1196 -4,3741 -2,8410 -1,7648 -1,2696 -1,3224 -1,7454 -2,2888 -2,7522 -3,0652 -3,2781 -3,5026 -3,8669 -4,4753 -5,3261 -6,2531 -6,9787 -7,2474 -6,9484 -6,1381 -4,9678 -3,6394 -2,4025 -1,4781 -0,9548 -0,7989 -0,9411 -1,3378 -1,9892 -2,9160 -4,0855 -5,3451 -6,4584 -7,2262 -7,5546 -7,4158 -6,8011 -5,7603 -4,4750 -3,2416 -2,3627 -2,0486 -2,3615 -3,1849 -4,2440 -5,1925 -5,6988 -5,5188 -4,6062 -3,1918 -1,6992 -0,5391 0,0404 -0,0285 -0,6804 -1,7751 -3,1705 -4,7643 -6,4455 -7,9998 -9,0853 -9,3459 -8,6117 -7,0333 -5,0269 -3,0822 -1,5916 -0,7722 -0,6496 -1,0705 -1,7736 -2,5243 -3,2231 -3,8978 -4,6077 -5,3710 -6,1056 -6,5864 -6,5467 -5,9040 -4,8558 -3,7205 -2,7066 -1,8640 -1,1991
Fz    0,9162 1,1200 1,1748 1,0902 0,9011 0,6469 0,3476 0,0144 -0,3194 -0,5940 -0,7488 -0,7521 -0,6188 -0,4073 -0,1818 0,0328 0,2524 0,4933 0,7505 1,0209 1,3235 1,6726 2,0345 2,3193 2,4146 2,2470 1,8361 1,2850 0,7130 0,2031 -0,2133 -0,5464 -0,8197 -1,0401 -1,1910 -1,2542 -1,2380 -1,1795 -1,1134 -1,0476 -0,9790 -0,9245 -0,9235 -1,0046 -1,1523 -1,3115 -1,4203 -1,4316 -1,3193 -1,0775 -0,7236 -0,2964 0,1601 0,6128 1,0434 1,4411 1,7841 2,0350 2,1652 2,1776 2,1002 1,9629 1,7879 1,5981 1,4265 1,3047 1,2352 1,1901 1,1473 1,1091 1,0846 1,0678 1,0327 0,9498 0,8096 0,6306 0,4508 0,3175 0,2668 0,2988 0,3769 0,4474 0,4572 0,3754 0,2166 0,0436 -0,0583 -0,0152 0,2124 0,6217 1,1697 1,7820 2,3638 2,8146 3,0478 3,0127 2,7166 2,2334 1,6810 1,1785 0,8030 0,5730 0,4732 0,4837 0,5770 0,6999 0,7818 0,7699 0,6587 0,4941 0,3479 0,2795 0,3137 0,4399 0,6192 0,8051 0,9688 1,0963 1,1675 1,1565 1,0525 0,8599 0,5767 0,1921 -0,2895 -0,8384 -1,4142 -1,9743 -2,4705 -2,8557 -3,1027 -3,2140 -3,2184 -3,1555 -3,0584 -2,9472 -2,8218 -2,6603 -2,4411 -2,1694 -1,8772 -1,6069 -1,3951 -1,2640 -1,2296 -1,3095 -1,5022 -1,7664 -2,0364 -2,2624 -2,4261 -2,5150 -2,4950 -2,3246 -1,9918 -1,5279 -0,9902 -0,4481 0,0316 0,4137 0,7122 0,9704 1,2198 1,4550 1,6540 1,8094 1,9269 2,0127 2,0707 2,0995 2,0933 2,0558 2,0014 1,9447 1,8927 1,8376 1,7531 1,6209 1,4583 1,3033 1,1838 1,1081 1,0692 1,0488 1,0236 0,9691 0,8609 0,6825 0,4487 0,2250 0,1124 0,1941 0,4855 0,9204 1,3709 1,6936 1,7997 1,6959 1,4525 1,1477 0,8400 0,5601 0,3171 0,1152 -0,0427 -0,1787 -0,3447 -0,5710 -0,8167 -1,0016 -1,0708 -1,0092 -0,8178 -0,5048 -0,0979 0,3401 0,7154 0,9441 0,9968 0,8940 0,6688 0,3541 -0,0019 -0,3374 -0,6058 -0,7963 -0,9280 -1,0242 -1,0975 -1,1561 -1,2055 -1,2380 -1,2331 -1,1732 -1,0548 -0,8912 -0,7157 -0,5818 -0,5484 -0,6536 -0,8913 -1,2062 -1,5137 -1,7340 -1,8199 -1,7703 -1,6287 -1,4703 -1,3833 -1,4377 -1,6517 -1,9800 -2,3337 -2,6198 -2,7727 -2,7633 -2,5914 -2,2839 -1,8959 -1,5014 -1,1661 -0,9277 -0,7966 -0,7649 -0,8123 -0,9136 -1,0517 -1,2321 -1,4690 -1,7485 -2,0171 -2,2099 -2,2873 -2,2498 -2,1242 -1,9386 -1,7053 -1,4211 -1,0881 -0,7429 -0,4597 -0,3159 -0,3535 -0,5625 -0,8778 -1,1923 -1,3982 -1,4366 -1,3232 -1,1278 -0,9244 -0,7528 -0,6168 -0,5008 -0,3948 -0,3157 -0,3005 -0,3750 -0,5365 -0,7664 -1,0495 -1,3765 -1,7310 -2,0845 -2,4094 -2,6906 -2,9128 -3,0454 -3,0473 -2,8823 -2,5425 -2,0679 -1,5334 -1,0085 -0,5475 -0,2094 -0,0555 -0,1174 -0,3748 -0,7701 -1,2395 -1,7301 -2,2052 -2,6399 -2,9983 -3,2180 -3,2378 -3,0372 -2,6421 -2,1144 -1,5459 -1,0378 -0,6671 -0,4711 -0,4525 -0,5842 -0,8137 -1,0782 -1,3211 -1,4983 -1,5862 -1,5915 -1,5487 -1,4993 -1,4738 -1,4825 -1,5158 -1,5594 -1,6109 -1,6618 -1,6741 -1,6015 -1,4258 -1,1675 -0,8713 -0,5789 -0,3089 -0,0709 0,1094 0,1956 0,1773 0,0911 0,0002 -0,0478 -0,0405 0,0027 0,0425 0,0480 0,0251 0,0048 0,0019 0,0020 -0,0121 -0,0339 -0,0365 -0,0029 0,0524 0,0974 0,1122 0,0982 0,0686 0,0349 -0,0021 -0,0505 -0,1146 -0,1814 -0,2126 -0,1473 0,0699 0,4503 0,9554 1,5216 2,0819 2,5715 2,9261 3,0914 3,0486 2,8313 2,5133 2,1766 1,8829 1,6581 1,4968 1,3837 1,3164 1,3090 1,3699 1,4847 1,6297 1,7879 1,9486 2,1008 2,2260 2,2857 2,2275 2,0176 1,6729 1,2600 0,8622 0,5465 0,3555 0,3067 0,3886 0,5685 0,8108 1,0847 1,3577 1,5927 1,7599 1,8398 1,8080 1,6314 1,2936 0,8198 0,2756 -0,2530 -0,6785 -0,9374 -1,0288 -1,0186 -0,9865 -0,9718 -0,9732 -0,9767 -0,9701 -0,9430 -0,8924 -0,8288 -0,7726 -0,7437 -0,7471 -0,7596 -0,7369 -0,6511 -0,5212 -0,4001 -0,3306 -0,3231 -0,3688 -0,4609 -0,5873 -0,7145 -0,8050 -0,8461 -0,8342 -0,7426 -0,5375 -0,2297 0,1162 0,4275 0,6585 0,7798 0,7715 0,6404 0,4214 0,1601 -0,0926 -0,2860 -0,3909 -0,4109 -0,3703 -0,3056 -0,2628 -0,2869 -0,4046 -0,6160 -0,9031 -1,2428 -1,6113 -1,9828 -2,3269 -2,6069 -2,7916 -2,8723 -2,8608 -2,7726 -2,6221 -2,4274 -2,2071 -1,9764 -1,7566 -1,5867 -1,5181 -1,5871 -1,7915 -2,0955 -2,4506 -2,8110 -3,1375 -3,3950 -3,5514 -3,5862 -3,5038 -3,3379 -3,1395 -2,9608 -2,8384 -2,7815 -2,7745 -2,7939 -2,8145 -2,8018 -2,7169 -2,5438 -2,3050 -2,0510 -1,8404 -1,7274 -1,7474 -1,8976 -2,1361 -2,3998 -2,6220 -2,7527 -2,7779 -2,7187 -2,6140 -2,5025 -2,4068 -2,3275 -2,2564 -2,1910 -2,1382 -2,1138 -2,1345 -2,1982 -2,2790 -2,3544 -2,4358 -2,5494 -2,6894 -2,8127 -2,8803 -2,8919 -2,8785 -2,8768 -2,9176 -3,0234 -3,1967 -3,4113 -3,6222 -3,7790 -3,8353 -3,7674 -3,5960 -3,3833 -3,2063 -3,1275 -3,1775 -3,3454 -3,5821 -3,8256 -4,0355 -4,2028 -4,3311 -4,4171 -4,4502 -4,4272 -4,3610 -4,2716 -4,1728 -4,0729 -3,9852 -3,9272 -3,9065 -3,9215 -3,9748 -4,0769 -4,2361 -4,4469 -4,6830 -4,8967 -5,0284 -5,0240 -4,8593 -4,5605 -4,1942 -3,8230 -3,4828 -3,2003
F3    0,9786 1,1514 1,1225 0,9167 0,6119 0,2802 -0,0612 -0,4167 -0,7559 -1,0181 -1,1513 -1,1362 -0,9956 -0,7811 -0,5326 -0,2541 0,0669 0,4271 0,7932 1,1225 1,4087 1,6939 2,0093 2,3063 2,4576 2,3386 1,9266 1,3211 0,6722 0,1014 -0,3282 -0,6070 -0,7620 -0,8273 -0,8092 -0,6937 -0,5030 -0,3206 -0,2345 -0,2680 -0,3808 -0,5285 -0,7043 -0,9192 -1,1592 -1,3817 -1,5430 -1,6133 -1,5800 -1,4407 -1,1935 -0,8410 -0,4009 0,0902 0,5879 1,0540 1,4553 1,7576 1,9365 1,9963 1,9691 1,8933 1,7965 1,6860 1,5575 1,4158 1,2814 1,1840 1,1540 1,1961 1,2750 1,3349 1,3202 1,1880 0,9383 0,6383 0,3988 0,3238 0,4586 0,7469 1,0344 1,1427 0,9777 0,5932 0,1570 -0,1509 -0,2239 -0,0477 0,3299 0,8338 1,3829 1,9007 2,3171 2,5687 2,6101 2,4348 2,0878 1,6511 1,2184 0,8730 0,6687 0,6243 0,7441 1,0243 1,4192 1,8161 2,0680 2,0660 1,7900 1,3089 0,7371 0,1815 -0,2783 -0,5900 -0,7380 -0,7393 -0,6201 -0,4052 -0,1296 0,1539 0,3790 0,4842 0,4325 0,2174 -0,1473 -0,6348 -1,2000 -1,7758 -2,2848 -2,6620 -2,8760 -2,9456 -2,9477 -2,9829 -3,1067 -3,2898 -3,4418 -3,4674 -3,3131 -2,9863 -2,5455 -2,0738 -1,6487 -1,3227 -1,1302 -1,1003 -1,2497 -1,5656 -1,9952 -2,4525 -2,8400 -3,0661 -3,0611 -2,7959 -2,2953 -1,6352 -0,9215 -0,2627 0,2558 0,5973 0,7924 0,9263 1,0836 1,2909 1,5147 1,7019 1,8055 1,7951 1,6739 1,4817 1,2694 1,0762 0,9300 0,8592 0,8942 1,0342 1,2173 1,3561 1,4045 1,3706 1,2800 1,1460 0,9717 0,7726 0,5888 0,4611 0,3905 0,3281 0,2241 0,0965 0,0303 0,1068 0,3434 0,6891 1,0500 1,3242 1,4519 1,4427 1,3451 1,1985 1,0212 0,8267 0,6488 0,5414 0,5307 0,5606 0,5159 0,3171 -0,0144 -0,3826 -0,6826 -0,8363 -0,8036 -0,5859 -0,2222 0,2189 0,6501 0,9914 1,1963 1,2525 1,1688 0,9691 0,6867 0,3507 -0,0196 -0,4113 -0,8090 -1,1825 -1,4988 -1,7542 -1,9716 -2,1509 -2,2399 -2,1737 -1,9377 -1,5895 -1,2365 -1,0003 -0,9787 -1,2071 -1,6357 -2,1434 -2,5851 -2,8418 -2,8527 -2,6249 -2,2255 -1,7610 -1,3551 -1,1170 -1,1038 -1,3050 -1,6590 -2,0779 -2,4692 -2,7586 -2,9047 -2,8983 -2,7565 -2,5193 -2,2354 -1,9482 -1,6940 -1,5032 -1,3944 -1,3661 -1,4028 -1,4936 -1,6363 -1,8169 -1,9971 -2,1333 -2,2050 -2,2130 -2,1576 -2,0291 -1,8195 -1,5328 -1,1888 -0,8370 -0,5618 -0,4561 -0,5803 -0,9290 -1,4142 -1,8822 -2,1748 -2,1987 -1,9633 -1,5744 -1,1816 -0,9003 -0,7615 -0,7218 -0,7227 -0,7414 -0,7857 -0,8556 -0,9346 -1,0111 -1,0943 -1,2065 -1,3670 -1,5816 -1,8468 -2,1474 -2,4432 -2,6723 -2,7769 -2,7197 -2,4896 -2,1101 -1,6350 -1,1252 -0,6413 -0,2492 -0,0082 0,0553 -0,0456 -0,2728 -0,5845 -0,9481 -1,3408 -1,7412 -2,1088 -2,3849 -2,5238 -2,5026 -2,3073 -1,9521 -1,5133 -1,1013 -0,7944 -0,6177 -0,5668 -0,6254 -0,7623 -0,9298 -1,0729 -1,1467 -1,1348 -1,0503 -0,9164 -0,7521 -0,5763 -0,4060 -0,2500 -0,1311 -0,1035 -0,2126 -0,4443 -0,7241 -0,9472 -1,0140 -0,8728 -0,5457 -0,1157 0,3048 0,6093 0,7382 0,7061 0,5923 0,4917 0,4615 0,5013 0,5651 0,5921 0,5491 0,4580 0,3703 0,3127 0,2670 0,2093 0,1569 0,1605 0,2470 0,3825 0,4995 0,5514 0,5377 0,4934 0,4567 0,4309 0,3780 0,2600 0,0867 -0,0743 -0,1198 0,0407 0,4307 0,9965 1,6449 2,2794 2,8168 3,1911 3,3575 3,3069 3,0769 2,7415 2,3799 2,0438 1,7508 1,5072 1,3248 1,2177 1,1956 1,2591 1,4011 1,6128 1,8828 2,1900 2,4983 2,7532 2,8832 2,8225 2,5548 2,1387 1,6835 1,2942 1,0299 0,9006 0,8903 0,9740 1,1217 1,3066 1,5218 1,7718 2,0410 2,2856 2,4558 2,5193 2,4736 2,3357 2,1195 1,8281 1,4662 1,0601 0,6615 0,3180 0,0400 -0,1925 -0,3972 -0,5689 -0,6833 -0,7106 -0,6333 -0,4570 -0,2135 0,0455 0,2694 0,4424 0,5888 0,7358 0,8775 0,9760 0,9966 0,9390 0,8329 0,7013 0,5413 0,3426 0,1143 -0,1188 -0,3285 -0,4747 -0,4993 -0,3597 -0,0731 0,2852 0,6373 0,9413 1,1714 1,2981 1,3089 1,2279 1,1018 0,9831 0,9134 0,8951 0,8865 0,8440 0,7591 0,6424 0,4856 0,2630 -0,0346 -0,3840 -0,7463 -1,0823 -1,3590 -1,5572 -1,6717 -1,7096 -1,6904 -1,6364 -1,5648 -1,4962 -1,4636 -1,4920 -1,5702 -1,6570 -1,7189 -1,7555 -1,7926 -1,8630 -1,9894 -2,1730 -2,3877 -2,5867 -2,7125 -2,7168 -2,5842 -2,3508 -2,0956 -1,9049 -1,8353 -1,8973 -2,0546 -2,2422 -2,3994 -2,4893 -2,4844 -2,3570 -2,1005 -1,7527 -1,3864 -1,0780 -0,8831 -0,8292 -0,9138 -1,1068 -1,3569 -1,5995 -1,7767 -1,8685 -1,9031 -1,9335 -1,9932 -2,0698 -2,1215 -2,1152 -2,0532 -1,9725 -1,9202 -1,9264 -1,9927 -2,0985 -2,2238 -2,3698 -2,5432 -2,7169 -2,8312 -2,8470 -2,7832 -2,6976 -2,6457 -2,6557 -2,7260 -2,8336 -2,9534 -3,0747 -3,1960 -3,3078 -3,3892 -3,4173 -3,3832 -3,3103 -3,2527 -3,2623 -3,3503 -3,4767 -3,5772 -3,6049 -3,5490 -3,4247 -3,2622 -3,1043 -2,9998 -2,9853 -3,0629 -3,1935 -3,3211 -3,4157 -3,4820 -3,5313 -3,5712 -3,6210 -3,7102 -3,8578 -4,0586 -4,2753 -4,4462 -4,5170 -4,4626 -4,2782 -3,9726 -3,5750 -3,1353 -2,7172 -2,3924
F7    0,9110 1,0080 1,0755 1,1078 1,1009 1,0655 1,0198 0,9524 0,8245 0,6259 0,4016 0,2173 0,1094 0,0533 -0,0158 -0,1298 -0,2459 -0,2887 -0,2055 0,0299 0,4084 0,8539 1,2489 1,5130 1,6347 1,6365 1,5395 1,3595 1,1167 0,8327 0,5051 0,1014 -0,3945 -0,9433 -1,4739 -1,9207 -2,2266 -2,3445 -2,2608 -2,0158 -1,7046 -1,4396 -1,2856 -1,2225 -1,1709 -1,0456 -0,7989 -0,4408 -0,0306 0,3516 0,6276 0,7423 0,6909 0,5331 0,3719 0,3028 0,3747 0,5948 0,9424 1,3657 1,7868 2,1289 2,3437 2,4308 2,4448 2,4617 2,5070 2,5250 2,4328 2,2005 1,8739 1,5257 1,2027 0,9262 0,7112 0,5611 0,4623 0,4036 0,3867 0,4257 0,5581 0,8241 1,1908 1,5242 1,6829 1,6393 1,4988 1,4222 1,5310 1,8510 2,3118 2,7986 3,2060 3,4566 3,4974 3,2961 2,8583 2,2506 1,5852 0,9632 0,4308 -0,0203 -0,4207 -0,7887 -1,1137 -1,3621 -1,4947 -1,4826 -1,3151 -0,9996 -0,5534 -0,0089 0,5640 1,0550 1,3563 1,4150 1,2506 0,9210 0,4748 -0,0571 -0,6405 -1,2317 -1,7934 -2,2915 -2,6841 -2,9442 -3,0959 -3,2000 -3,3001 -3,3973 -3,4665 -3,4762 -3,3910 -3,1808 -2,8655 -2,5480 -2,3599 -2,3686 -2,5598 -2,8873 -3,3086 -3,7836 -4,2618 -4,6832 -4,9959 -5,1684 -5,1764 -4,9825 -4,5616 -3,9620 -3,3252 -2,8201 -2,5475 -2,5088 -2,6408 -2,8507 -3,0360 -3,1144 -3,0374 -2,7783 -2,3411 -1,7893 -1,2443 -0,8299 -0,5992 -0,5183 -0,5105 -0,4977 -0,4327 -0,3299 -0,2488 -0,2445 -0,3399 -0,5305 -0,8025 -1,1489 -1,5625 -2,0079 -2,4123 -2,6976 -2,8137 -2,7416 -2,4917 -2,1150 -1,7020 -1,3544 -1,1500 -1,1207 -1,2528 -1,5013 -1,7912 -2,0190 -2,0888 -1,9659 -1,7066 -1,4376 -1,2802 -1,2730 -1,3706 -1,5088 -1,6524 -1,7976 -1,9629 -2,1720 -2,4189 -2,6519 -2,7998 -2,7985 -2,6065 -2,2434 -1,8067 -1,4174 -1,1465 -0,9958 -0,9361 -0,9590 -1,0914 -1,3547 -1,7217 -2,1330 -2,5392 -2,9081 -3,1986 -3,3670 -3,4011 -3,3289 -3,2000 -3,0743 -3,0085 -3,0319 -3,1321 -3,2730 -3,4275 -3,5811 -3,7118 -3,7883 -3,7981 -3,7636 -3,7182 -3,6725 -3,6116 -3,5211 -3,4143 -3,3296 -3,2998 -3,3303 -3,4106 -3,5409 -3,7402 -4,0265 -4,3844 -4,7466 -5,0147 -5,1167 -5,0486 -4,8516 -4,5741 -4,2666 -3,9870 -3,7904 -3,7099 -3,7415 -3,8437 -3,9624 -4,0706 -4,1857 -4,3468 -4,5794 -4,8707 -5,1662 -5,3901 -5,4671 -5,3378 -4,9930 -4,4970 -3,9574 -3,4671 -3,0772 -2,8119 -2,6904 -2,7246 -2,8906 -3,1171 -3,3184 -3,4328 -3,4301 -3,3101 -3,1148 -2,9267 -2,8269 -2,8405 -2,9375 -3,0789 -3,2357 -3,3703 -3,4411 -3,4322 -3,3647 -3,2745 -3,1877 -3,1135 -3,0503 -2,9929 -2,9370 -2,8864 -2,8536 -2,8413 -2,8232 -2,7558 -2,6133 -2,4176 -2,2374 -2,1387 -2,1272 -2,1569 -2,1940 -2,2546 -2,3794 -2,5904 -2,8813 -3,2261 -3,5727 -3,8442 -3,9667 -3,8952 -3,6108 -3,1222 -2,4921 -1,8366 -1,2684 -0,8482 -0,5907 -0,4973 -0,5672 -0,7887 -1,1353 -1,5719 -2,0668 -2,5936 -3,1153 -3,5731 -3,9093 -4,1064 -4,1932 -4,2131 -4,1980 -4,1618 -4,0889 -3,9273 -3,6055 -3,0759 -2,3736 -1,6433 -1,0828 -0,8284 -0,8785 -1,1101 -1,3670 -1,5506 -1,6552 -1,7348 -1,8461 -2,0175 -2,2500 -2,5222 -2,7975 -3,0329 -3,1807 -3,1895 -3,0275 -2,7118 -2,3096 -1,9082 -1,5805 -1,3657 -1,2676 -1,2666 -1,3401 -1,4831 -1,7120 -2,0403 -2,4443 -2,8498 -3,1580 -3,2880 -3,2063 -2,9336 -2,5280 -2,0599 -1,5997 -1,2073 -0,9119 -0,7064 -0,5793 -0,5491 -0,6544 -0,9137 -1,2925 -1,7066 -2,0548 -2,2592 -2,3015 -2,2222 -2,0754 -1,8835 -1,6353 -1,3241 -0,9854 -0,6955 -0,5320 -0,5378 -0,7036 -0,9722 -1,2685 -1,5415 -1,7858 -2,0163 -2,2230 -2,3575 -2,3590 -2,1836 -1,8306 -1,3534 -0,8312 -0,3372 0,0551 0,2711 0,2770 0,1117 -0,1449 -0,4453 -0,8052 -1,2572 -1,7823 -2,2903 -2,6561 -2,7792 -2,6282 -2,2561 -1,7834 -1,3442 -1,0333 -0,8926 -0,9178 -1,0640 -1,2609 -1,4437 -1,5747 -1,6362 -1,6267 -1,5734 -1,5148 -1,4578 -1,3768 -1,2581 -1,1242 -1,0108 -0,9351 -0,8932 -0,8805 -0,8959 -0,9225 -0,9332 -0,9184 -0,8816 -0,8140 -0,7029 -0,5634 -0,4434 -0,3976 -0,4639 -0,6455 -0,9010 -1,1681 -1,4107 -1,6272 -1,8070 -1,9016 -1,8494 -1,6219 -1,2611 -0,8787 -0,5974 -0,4778 -0,5004 -0,6030 -0,7265 -0,8422 -0,9652 -1,1538 -1,4658 -1,9100 -2,4539 -3,0580 -3,6807 -4,2524 -4,6649 -4,8096 -4,6518 -4,2741 -3,8313 -3,4605 -3,2369 -3,1775 -3,2552 -3,4229 -3,6422 -3,8976 -4,1908 -4,5255 -4,8892 -5,2414 -5,5164 -5,6405 -5,5592 -5,2650 -4,8105 -4,2932 -3,8203 -3,4640 -3,2290 -3,0689 -2,9421 -2,8404 -2,7667 -2,7224 -2,7278 -2,8320 -3,0811 -3,4745 -3,9524 -4,4122 -4,7385 -4,8487 -4,7278 -4,4189 -3,9964 -3,5491 -3,1560 -2,8621 -2,6820 -2,6112 -2,6349 -2,7415 -2,9198 -3,1340 -3,3206 -3,4373 -3,4990 -3,5457 -3,5950 -3,6378 -3,6642 -3,6853 -3,7258 -3,8006 -3,9162 -4,0903 -4,3399 -4,6385 -4,8935 -4,9770 -4,8031 -4,3943 -3,8776 -3,4115 -3,0998 -2,9532 -2,9206 -2,9517 -3,0347 -3,1931 -3,4605 -3,8499 -4,3321 -4,8310 -5,2442 -5,4794 -5,4888 -5,2787 -4,9033 -4,4590 -4,0582 -3,7809 -3,6500 -3,6446 -3,7212 -3,8304 -3,9366 -4,0299 -4,1188 -4,2090 -4,2725 -4,2575 -4,1494 -4,0077 -3,9200 -3,9168 -3,9438 -3,9160
