Fp1   0,4579 0,6535 0,8309 0,9595 1,0124 0,9794 0,8700 0,7072 0,5199 0,3366 0,1835 0,0788 0,0272 0,0274 0,0844 0,2106 0,4182 0,7091 1,0634 1,4345 1,7606 1,9846 2,0706 2,0114 1,8254 1,5406 1,1775 0,7506 0,2776 -0,2201 -0,7203 -1,1988 -1,6261 -1,9681 -2,1961 -2,2992 -2,2860 -2,1752 -1,9903 -1,7621 -1,5254 -1,3071 -1,1170 -0,9487 -0,7864 -0,6113 -0,4117 -0,1886 0,0544 0,3209 0,6142 0,9184 1,1939 1,3998 1,5211 1,5730 1,5827 1,5722 1,5536 1,5302 1,4996 1,4636 1,4366 1,4371 1,4705 1,5220 1,5673 1,5832 1,5457 1,4307 1,2289 0,9593 0,6586 0,3574 0,0708 -0,1910 -0,4174 -0,5996 -0,7312 -0,8136 -0,8729 -0,9534 -1,0829 -1,2526 -1,4294 -1,5784 -1,6755 -1,7148 -1,7088 -1,6730 -1,6142 -1,5346 -1,4372 -1,3221 -1,1805 -0,9942 -0,7531 -0,4705 -0,1782 0,0955 0,3383 0,5493 0,7280 0,8681 0,9625 1,0134 1,0326 1,0282 0,9967 0,9285 0,8166 0,6625 0,4773 0,2806 0,0951 -0,0611 -0,1827 -0,2813 -0,3784 -0,4885 -0,6111 -0,7470 -0,9131 -1,1325 -1,4126 -1,7378 -2,0778 -2,4010 -2,6825 -2,9044 -3,0572 -3,1448 -3,1819 -3,1827 -3,1535 -3,0882 -2,9714 -2,7916 -2,5515 -2,2633 -1,9407 -1,6023 -1,2726 -0,9715 -0,7068 -0,4765 -0,2697 -0,0700 0,1357 0,3489 0,5607 0,7589 0,9326 1,0700 1,1598 1,1994 1,1928 1,1388 1,0310 0,8747 0,6954 0,5309 0,4186 0,3817 0,4220 0,5282 0,6893 0,8970 1,1417 1,4117 1,6907 1,9538 2,1667 2,2984 2,3431 2,3281 2,2907 2,2533 2,2247 2,2105 2,2109 2,2198 2,2329 2,2522 2,2803 2,3184 2,3638 2,4062 2,4307 2,4258 2,3899 2,3255 2,2266 2,0813 1,8941 1,6964 1,5239 1,3887 1,2736 1,1501 0,9978 0,8106 0,5962 0,3767 0,1875 0,0660 0,0358 0,0991 0,2385 0,4239 0,6215 0,8003 0,9382 1,0312 1,0966 1,1630 1,2517 1,3628 1,4779 1,5704 1,6119 1,5802 1,4725 1,3101 1,1339 0,9966 0,9416 0,9764 1,0728 1,1925 1,3138 1,4398 1,5869 1,7646 1,9663 2,1759 2,3846 2,6022 2,8459 3,1187 3,3973 3,6417 3,8178 3,9153 3,9449 3,9210 3,8544 3,7581 3,6476 3,5323 3,4110 3,2722 3,0973 2,8693 2,5831 2,2516 1,9022 1,5671 1,2728 1,0350 0,8572 0,7321 0,6440 0,5742 0,5086 0,4426 0,3832 0,3457 0,3416 0,3675 0,4090 0,4529 0,4953 0,5419 0,6003 0,6689 0,7340 0,7827 0,8162 0,8489 0,8955 0,9591 1,0298 1,0942 1,1476 1,1953 1,2438 1,2947 1,3446 1,3881 1,4215 1,4446 1,4625 1,4811 1,4984 1,4967 1,4482 1,3313 1,1425 0,8967 0,6183 0,3309 0,0508 -0,2065 -0,4175 -0,5592 -0,6272 -0,6419 -0,6383 -0,6486 -0,6887 -0,7581 -0,8463 -0,9389 -1,0213 -1,0786 -1,0988 -1,0797 -1,0284 -0,9495 -0,8410 -0,7051 -0,5531 -0,3960 -0,2365 -0,0726 0,0989 0,2807 0,4744 0,6820 0,9020 1,1238 1,3322 1,5249 1,7193 1,9399 2,1982 2,4875 2,7941 3,1106 3,4339 3,7533 4,0460 4,2865 4,4627 4,5836 4,6724 4,7528 4,8403 4,9364 5,0290 5,0989 5,1294 5,1172 5,0696 4,9928 4,8897 4,7650 4,6261 4,4802 4,3317 4,1746 3,9870 3,7432 3,4313 3,0590 2,6512 2,2479 1,8969 1,6357 1,4718 1,3818 1,3323 1,3039 1,2998 1,3332 1,4062 1,5006 1,5916 1,6644 1,7148 1,7377 1,7250 1,6743 1,5891 1,4734 1,3359 1,1966 1,0750 0,9710 0,8678 0,7537 0,6395 0,5567 0,5312 0,5610 0,6258 0,7119 0,8116 0,9118 0,9953 1,0502 1,0741 1,0701 1,0413 0,9876 0,9077 0,8006 0,6646 0,5004 0,3239 0,1693 0,0729 0,0510 0,0940 0,1785 0,2765 0,3570 0,3929 0,3728 0,3025 0,1939 0,0554 -0,1025 -0,2536 -0,3536 -0,3537 -0,2213 0,0396 0,3797 0,7173 0,9746 1,1143 1,1445 1,0954 1,0042 0,9170 0,8848 0,9443 1,0988 1,3187 1,5595 1,7840 1,9687 2,0970 2,1501 2,1089 1,9647 1,7255 1,4074 1,0335 0,6424 0,2832 -0,0068 -0,2161 -0,3538 -0,4288 -0,4355 -0,3606 -0,2052 0,0079 0,2460 0,4758 0,6643 0,7870 0,8379 0,8303 0,7837 0,7083 0,5987 0,4451 0,2480 0,0213 -0,2192 -0,4664 -0,7133 -0,9418 -1,1295 -1,2673 -1,3654 -1,4432 -1,5198 -1,6136 -1,7474 -1,9433 -2,2076 -2,5253 -2,8652 -3,1883 -3,4581 -3,6542 -3,7821 -3,8691 -3,9408 -3,9957 -4,0090 -3,9584 -3,8404 -3,6685 -3,4679 -3,2704 -3,1074 -2,9978 -2,9388 -2,9095 -2,8815 -2,8303 -2,7374 -2,5886 -2,3814 -2,1337 -1,8768 -1,6363 -1,4232 -1,2347 -1,0591 -0,8838 -0,7038 -0,5217 -0,3411 -0,1708 -0,0289 0,0663 0,1127 0,1242 0,1168 0,1027 0,0931 0,0985 0,1238 0,1660 0,2138 0,2467 0,2354 0,1528 -0,0082 -0,2246 -0,4594 -0,6919 -0,9280 -1,1866 -1,4816 -1,8106 -2,1480 -2,4522 -2,6830 -2,8113 -2,8168 -2,6975 -2,4858 -2,2425 -2,0246 -1,8607 -1,7584 -1,7264 -1,7805 -1,9300 -2,1713 -2,4951 -2,8827 -3,2930 -3,6718 -3,9833 -4,2225 -4,3940 -4,4903 -4,4955 -4,4017 -4,2166 -3,9637 -3,6813 -3,4146 -3,1989 -3,0432 -2,9283 -2,8191 -2,6828 -2,5016 -2,2747 -2,0081 -1,7098 -1,3974 -1,1059 -0,8826 -0,7673 -0,7723 -0,8789 -1,0483 -1,2396 -1,4155 -1,5446 -1,6103 -1,6210 -1,6095 -1,6119 -1,6415 -1,6832 -1,7139 -1,7186 -1,6974
Fz    0,5926 0,8994 1,2040 1,4720 1,6711 1,7866 1,8248 1,8028 1,7375 1,6430 1,5351 1,4299 1,3367 1,2591 1,2035 1,1798 1,1921 1,2351 1,2944 1,3495 1,3785 1,3644 1,2961 1,1683 0,9812 0,7354 0,4259 0,0500 -0,3818 -0,8456 -1,3135 -1,7591 -2,1588 -2,4910 -2,7372 -2,8842 -2,9229 -2,8469 -2,6621 -2,3978 -2,1007 -1,8139 -1,5601 -1,3392 -1,1339 -0,9172 -0,6649 -0,3700 -0,0436 0,2954 0,6303 0,9442 1,2153 1,4236 1,5645 1,6524 1,7092 1,7536 1,7989 1,8518 1,9100 1,9668 2,0187 2,0645 2,0997 2,1159 2,1047 2,0581 1,9659 1,8193 1,6191 1,3807 1,1263 0,8760 0,6436 0,4392 0,2686 0,1322 0,0266 -0,0586 -0,1503 -0,2846 -0,4827 -0,7368 -1,0181 -1,2883 -1,5104 -1,6633 -1,7508 -1,7897 -1,7938 -1,7698 -1,7189 -1,6365 -1,5123 -1,3359 -1,1069 -0,8404 -0,5613 -0,2933 -0,0510 0,1594 0,3334 0,4610 0,5295 0,5352 0,4898 0,4130 0,3218 0,2267 0,1324 0,0415 -0,0415 -0,1078 -0,1481 -0,1566 -0,1337 -0,0877 -0,0357 0,0017 0,0051 -0,0439 -0,1629 -0,3606 -0,6283 -0,9409 -1,2666 -1,5809 -1,8739 -2,1456 -2,3970 -2,6278 -2,8390 -3,0317 -3,2017 -3,3343 -3,4092 -3,4144 -3,3546 -3,2476 -3,1168 -2,9855 -2,8700 -2,7702 -2,6698 -2,5448 -2,3740 -2,1475 -1,8723 -1,5705 -1,2703 -0,9948 -0,7581 -0,5684 -0,4276 -0,3266 -0,2499 -0,1906 -0,1525 -0,1369 -0,1351 -0,1301 -0,1002 -0,0259 0,1009 0,2772 0,4955 0,7495 1,0352 1,3479 1,6756 1,9953 2,2750 2,4841 2,6093 2,6596 2,6554 2,6176 2,5658 2,5177 2,4845 2,4701 2,4751 2,4989 2,5385 2,5898 2,6462 2,6974 2,7328 2,7464 2,7342 2,6862 2,5808 2,3972 2,1373 1,8312 1,5163 1,2116 0,9111 0,5984 0,2643 -0,0905 -0,4591 -0,8254 -1,1596 -1,4221 -1,5789 -1,6152 -1,5405 -1,3833 -1,1802 -0,9700 -0,7871 -0,6485 -0,5472 -0,4601 -0,3655 -0,2552 -0,1344 -0,0161 0,0838 0,1511 0,1798 0,1747 0,1551 0,1568 0,2173 0,3538 0,5582 0,8091 1,0861 1,3776 1,6767 1,9745 2,2570 2,5075 2,7159 2,8859 3,0289 3,1487 3,2359 3,2759 3,2630 3,2098 3,1412 3,0773 3,0256 2,9862 2,9537 2,9153 2,8522 2,7428 2,5676 2,3174 1,9967 1,6213 1,2138 0,8005 0,4092 0,0652 -0,2139 -0,4208 -0,5599 -0,6441 -0,6893 -0,7085 -0,7075 -0,6855 -0,6420 -0,5845 -0,5255 -0,4733 -0,4289 -0,3882 -0,3461 -0,3021 -0,2628 -0,2372 -0,2255 -0,2162 -0,1966 -0,1625 -0,1178 -0,0652 -0,0005 0,0814 0,1779 0,2773 0,3649 0,4268 0,4546 0,4467 0,4088 0,3516 0,2855 0,2135 0,1297 0,0235 -0,1140 -0,2845 -0,4809 -0,6932 -0,9158 -1,1412 -1,3509 -1,5238 -1,6533 -1,7510 -1,8396 -1,9414 -2,0701 -2,2275 -2,4038 -2,5814 -2,7395 -2,8585 -2,9261 -2,9452 -2,9307 -2,8937 -2,8305 -2,7296 -2,5818 -2,3826 -2,1338 -1,8461 -1,5361 -1,2192 -0,9069 -0,6057 -0,3186 -0,0502 0,1944 0,4188 0,6404 0,8833 1,1629 1,4791 1,8226 2,1867 2,5668 2,9500 3,3103 3,6210 3,8654 4,0395 4,1476 4,1999 4,2112 4,1958 4,1629 4,1157 4,0559 3,9906 3,9314 3,8872 3,8568 3,8297 3,7905 3,7282 3,6413 3,5303 3,3849 3,1826 2,9046 2,5509 2,1427 1,7161 1,3117 0,9639 0,6932 0,5054 0,3974 0,3638 0,4002 0,5019 0,6556 0,8341 1,0064 1,1538 1,2709 1,3512 1,3807 1,3463 1,2442 1,0826 0,8837 0,6765 0,4785 0,2862 0,0859 -0,1271 -0,3380 -0,5161 -0,6349 -0,6899 -0,6937 -0,6600 -0,5987 -0,5204 -0,4367 -0,3592 -0,2990 -0,2664 -0,2673 -0,2992 -0,3497 -0,4016 -0,4433 -0,4720 -0,4857 -0,4762 -0,4360 -0,3691 -0,2904 -0,2138 -0,1480 -0,1013 -0,0851 -0,1087 -0,1732 -0,2737 -0,4033 -0,5496 -0,6858 -0,7714 -0,7661 -0,6500 -0,4367 -0,1728 0,0772 0,2583 0,3480 0,3584 0,3193 0,2668 0,2433 0,2881 0,4194 0,6243 0,8677 1,1074 1,3073 1,4437 1,5053 1,4884 1,3950 1,2352 1,0260 0,7831 0,5178 0,2456 -0,0100 -0,2256 -0,3879 -0,4951 -0,5492 -0,5489 -0,4899 -0,3758 -0,2256 -0,0686 0,0643 0,1466 0,1628 0,1123 0,0063 -0,1396 -0,3120 -0,5031 -0,7045 -0,9036 -1,0885 -1,2554 -1,4097 -1,5561 -1,6887 -1,7934 -1,8630 -1,9071 -1,9503 -2,0200 -2,1371 -2,3157 -2,5626 -2,8708 -3,2182 -3,5747 -3,9092 -4,1958 -4,4215 -4,5947 -4,7415 -4,8872 -5,0379 -5,1814 -5,3022 -5,3903 -5,4435 -5,4684 -5,4789 -5,4898 -5,5098 -5,5362 -5,5525 -5,5357 -5,4690 -5,3462 -5,1695 -4,9520 -4,7192 -4,4980 -4,3004 -4,1197 -3,9399 -3,7442 -3,5203 -3,2632 -2,9764 -2,6695 -2,3612 -2,0817 -1,8612 -1,7112 -1,6224 -1,5766 -1,5563 -1,5470 -1,5386 -1,5276 -1,5174 -1,5149 -1,5259 -1,5550 -1,6081 -1,6893 -1,7962 -1,9229 -2,0693 -2,2434 -2,4540 -2,7034 -2,9831 -3,2710 -3,5352 -3,7443 -3,8741 -3,9094 -3,8523 -3,7267 -3,5706 -3,4199 -3,2983 -3,2215 -3,2041 -3,2543 -3,3627 -3,5072 -3,6679 -3,8301 -3,9749 -4,0784 -4,1255 -4,1192 -4,0751 -4,0078 -3,9246 -3,8277 -3,7184 -3,5990 -3,4761 -3,3597 -3,2566 -3,1633 -3,0619 -2,9257 -2,7302 -2,4665 -2,1458 -1,7929 -1,4365 -1,1044 -0,8255 -0,6290 -0,5372 -0,5570 -0,6776 -0,8767 -1,1269 -1,3985 -1,6585 -1,8747 -2,0266 -2,1141 -2,1532 -2,1621 -2,1529 -2,1343 -2,1133 -2,0958
F3    0,5251 0,8515 1,1814 1,4763 1,6938 1,8068 1,8119 1,7259 1,5780 1,4013 1,2252 1,0706 0,9480 0,8641 0,8289 0,8539 0,9444 1,0943 1,2837 1,4804 1,6460 1,7452 1,7522 1,6562 1,4647 1,1954 0,8653 0,4882 0,0796 -0,3429 -0,7627 -1,1648 -1,5371 -1,8700 -2,1555 -2,3852 -2,5460 -2,6222 -2,6072 -2,5156 -2,3783 -2,2252 -2,0724 -1,9185 -1,7487 -1,5424 -1,2833 -0,9702 -0,6218 -0,2681 0,0660 0,3654 0,6171 0,8079 0,9341 1,0082 1,0506 1,0791 1,1040 1,1281 1,1482 1,1626 1,1787 1,2083 1,2562 1,3142 1,3627 1,3775 1,3401 1,2434 1,0911 0,8960 0,6759 0,4500 0,2368 0,0531 -0,0904 -0,1920 -0,2573 -0,3007 -0,3497 -0,4364 -0,5780 -0,7688 -0,9880 -1,2064 -1,3897 -1,5135 -1,5773 -1,5982 -1,5937 -1,5736 -1,5394 -1,4837 -1,3932 -1,2575 -1,0791 -0,8738 -0,6611 -0,4566 -0,2657 -0,0842 0,0936 0,2602 0,3921 0,4666 0,4770 0,4308 0,3414 0,2219 0,0835 -0,0640 -0,2084 -0,3343 -0,4251 -0,4689 -0,4664 -0,4349 -0,4020 -0,3926 -0,4204 -0,4923 -0,6161 -0,7971 -1,0281 -1,2884 -1,5532 -1,8057 -2,0414 -2,2637 -2,4767 -2,6825 -2,8819 -3,0746 -3,2552 -3,4070 -3,5045 -3,5279 -3,4754 -3,3652 -3,2268 -3,0914 -2,9789 -2,8869 -2,7936 -2,6713 -2,4977 -2,2617 -1,9684 -1,6412 -1,3152 -1,0238 -0,7922 -0,6376 -0,5640 -0,5556 -0,5822 -0,6155 -0,6378 -0,6373 -0,6049 -0,5327 -0,4124 -0,2410 -0,0294 0,2003 0,4293 0,6506 0,8666 1,0789 1,2806 1,4554 1,5838 1,6528 1,6648 1,6343 1,5774 1,5065 1,4351 1,3793 1,3505 1,3538 1,3885 1,4462 1,5133 1,5798 1,6440 1,7071 1,7671 1,8165 1,8423 1,8253 1,7412 1,5707 1,3183 1,0168 0,7052 0,3999 0,0893 -0,2457 -0,6110 -1,0009 -1,4072 -1,8168 -2,2004 -2,5149 -2,7228 -2,8092 -2,7871 -2,6867 -2,5423 -2,3878 -2,2545 -2,1619 -2,1057 -2,0607 -1,9984 -1,9059 -1,7896 -1,6676 -1,5576 -1,4688 -1,4013 -1,3538 -1,3251 -1,3056 -1,2758 -1,2163 -1,1152 -0,9714 -0,7916 -0,5844 -0,3576 -0,1200 0,1155 0,3312 0,5136 0,6601 0,7736 0,8524 0,8904 0,8868 0,8542 0,8179 0,8043 0,8263 0,8798 0,9531 1,0344 1,1103 1,1633 1,1686 1,0979 0,9304 0,6620 0,3086 -0,0987 -0,5224 -0,9268 -1,2825 -1,5692 -1,7753 -1,8961 -1,9338 -1,9006 -1,8184 -1,7108 -1,5943 -1,4797 -1,3776 -1,2967 -1,2372 -1,1924 -1,1531 -1,1108 -1,0624 -1,0145 -0,9786 -0,9596 -0,9508 -0,9396 -0,9164 -0,8755 -0,8110 -0,7166 -0,5930 -0,4518 -0,3121 -0,1952 -0,1178 -0,0851 -0,0885 -0,1106 -0,1343 -0,1508 -0,1619 -0,1791 -0,2191 -0,2967 -0,4149 -0,5609 -0,7161 -0,8694 -1,0143 -1,1385 -1,2296 -1,2932 -1,3544 -1,4423 -1,5747 -1,7520 -1,9605 -2,1788 -2,3842 -2,5570 -2,6828 -2,7588 -2,7977 -2,8204 -2,8394 -2,8491 -2,8322 -2,7721 -2,6594 -2,4948 -2,2877 -2,0544 -1,8132 -1,5790 -1,3590 -1,1557 -0,9726 -0,8138 -0,6789 -0,5593 -0,4409 -0,3097 -0,1570 0,0214 0,2288 0,4673 0,7308 1,0006 1,2502 1,4538 1,5933 1,6637 1,6745 1,6448 1,5925 1,5272 1,4508 1,3613 1,2633 1,1693 1,0913 1,0341 0,9953 0,9647 0,9299 0,8840 0,8234 0,7369 0,6061 0,4177 0,1711 -0,1231 -0,4426 -0,7543 -1,0234 -1,2276 -1,3605 -1,4227 -1,4164 -1,3447 -1,2112 -1,0258 -0,8112 -0,5974 -0,4047 -0,2400 -0,1097 -0,0274 -0,0089 -0,0628 -0,1831 -0,3467 -0,5226 -0,6925 -0,8611 -1,0440 -1,2485 -1,4628 -1,6600 -1,8140 -1,9159 -1,9726 -1,9940 -1,9862 -1,9530 -1,8990 -1,8323 -1,7650 -1,7115 -1,6825 -1,6781 -1,6840 -1,6759 -1,6329 -1,5486 -1,4290 -1,2844 -1,1276 -0,9759 -0,8474 -0,7519 -0,6877 -0,6508 -0,6456 -0,6801 -0,7560 -0,8679 -1,0105 -1,1762 -1,3442 -1,4795 -1,5466 -1,5237 -1,4132 -1,2469 -1,0767 -0,9507 -0,8921 -0,8975 -0,9503 -1,0268 -1,0957 -1,1249 -1,0959 -1,0102 -0,8848 -0,7437 -0,6131 -0,5168 -0,4735 -0,4958 -0,5879 -0,7425 -0,9410 -1,1624 -1,3882 -1,6009 -1,7852 -1,9316 -2,0352 -2,0918 -2,0986 -2,0554 -1,9664 -1,8451 -1,7153 -1,6018 -1,5191 -1,4728 -1,4644 -1,4938 -1,5591 -1,6575 -1,7865 -1,9442 -2,1277 -2,3295 -2,5394 -2,7467 -2,9414 -3,1101 -3,2363 -3,3092 -3,3350 -3,3363 -3,3412 -3,3713 -3,4417 -3,5663 -3,7533 -3,9966 -4,2750 -4,5586 -4,8196 -5,0409 -5,2189 -5,3630 -5,4902 -5,6138 -5,7341 -5,8394 -5,9161 -5,9555 -5,9584 -5,9364 -5,9083 -5,8948 -5,9109 -5,9574 -6,0150 -6,0549 -6,0534 -5,9991 -5,8924 -5,7489 -5,6003 -5,4787 -5,3967 -5,3406 -5,2789 -5,1793 -5,0199 -4,7955 -4,5144 -4,1949 -3,8686 -3,5822 -3,3816 -3,2871 -3,2867 -3,3499 -3,4423 -3,5336 -3,6018 -3,6391 -3,6535 -3,6613 -3,6781 -3,7162 -3,7856 -3,8907 -4,0228 -4,1619 -4,2922 -4,4125 -4,5311 -4,6567 -4,7887 -4,9100 -4,9937 -5,0170 -4,9684 -4,8475 -4,6690 -4,4642 -4,2701 -4,1130 -4,0061 -3,9594 -3,9835 -4,0794 -4,2286 -4,4023 -4,5780 -4,7438 -4,8876 -4,9962 -5,0647 -5,1008 -5,1161 -5,1149 -5,0917 -5,0373 -4,9478 -4,8291 -4,6976 -4,5752 -4,4778 -4,4040 -4,3339 -4,2360 -4,0822 -3,8619 -3,5851 -3,2722 -2,9420 -2,6106 -2,3012 -2,0517 -1,9031 -1,8782 -1,9715 -2,1554 -2,3930 -2,6444 -2,8683 -3,0299 -3,1146 -3,1335 -3,1134 -3,0799 -3,0488 -3,0279 -3,0204 -3,0272
F7    0,0909 0,3113 0,5660 0,8271 1,0594 1,2369 1,3515 1,4064 1,4088 1,3692 1,3027 1,2252 1,1496 1,0866 1,0504 1,0548 1,1053 1,1936 1,3009 1,4067 1,4933 1,5452 1,5488 1,4954 1,3829 1,2136 0,9873 0,7061 0,3819 0,0358 -0,3102 -0,6409 -0,9515 -1,2447 -1,5218 -1,7779 -1,9995 -2,1678 -2,2674 -2,2971 -2,2711 -2,2085 -2,1231 -2,0197 -1,8970 -1,7502 -1,5708 -1,3507 -1,0959 -0,8277 -0,5672 -0,3242 -0,1043 0,0824 0,2281 0,3344 0,4085 0,4588 0,4945 0,5231 0,5475 0,5695 0,5980 0,6471 0,7259 0,8326 0,9509 1,0519 1,1086 1,1103 1,0633 0,9828 0,8842 0,7787 0,6769 0,5901 0,5233 0,4695 0,4121 0,3316 0,2106 0,0405 -0,1716 -0,4087 -0,6539 -0,8880 -1,0848 -1,2232 -1,3030 -1,3402 -1,3497 -1,3375 -1,3044 -1,2481 -1,1656 -1,0616 -0,9537 -0,8647 -0,8114 -0,7953 -0,7983 -0,7857 -0,7250 -0,6106 -0,4697 -0,3409 -0,2500 -0,2060 -0,2077 -0,2492 -0,3209 -0,4097 -0,5015 -0,5854 -0,6518 -0,6930 -0,7068 -0,7013 -0,6950 -0,7098 -0,7611 -0,8548 -0,9881 -1,1485 -1,3144 -1,4635 -1,5837 -1,6787 -1,7654 -1,8608 -1,9711 -2,0923 -2,2176 -2,3393 -2,4434 -2,5085 -2,5146 -2,4558 -2,3470 -2,2219 -2,1214 -2,0787 -2,1045 -2,1761 -2,2438 -2,2542 -2,1706 -1,9810 -1,7005 -1,3682 -1,0317 -0,7281 -0,4791 -0,2999 -0,1981 -0,1613 -0,1578 -0,1569 -0,1454 -0,1246 -0,1021 -0,0834 -0,0663 -0,0433 -0,0086 0,0414 0,1124 0,2136 0,3536 0,5291 0,7202 0,8966 1,0299 1,1051 1,1261 1,1067 1,0608 0,9998 0,9363 0,8847 0,8579 0,8634 0,8994 0,9541 1,0113 1,0606 1,1023 1,1435 1,1918 1,2509 1,3152 1,3666 1,3756 1,3128 1,1700 0,9696 0,7460 0,5158 0,2699 -0,0064 -0,3149 -0,6492 -1,0033 -1,3685 -1,7218 -2,0257 -2,2446 -2,3620 -2,3845 -2,3313 -2,2237 -2,0872 -1,9512 -1,8394 -1,7566 -1,6896 -1,6195 -1,5365 -1,4462 -1,3668 -1,3162 -1,3007 -1,3141 -1,3483 -1,4005 -1,4660 -1,5304 -1,5717 -1,5683 -1,5065 -1,3867 -1,2220 -1,0304 -0,8257 -0,6160 -0,4116 -0,2278 -0,0810 0,0142 0,0465 0,0164 -0,0595 -0,1499 -0,2141 -0,2160 -0,1420 -0,0044 0,1729 0,3665 0,5556 0,7195 0,8354 0,8797 0,8336 0,6905 0,4616 0,1761 -0,1280 -0,4172 -0,6678 -0,8668 -1,0069 -1,0826 -1,0932 -1,0498 -0,9769 -0,9026 -0,8473 -0,8238 -0,8403 -0,8950 -0,9708 -1,0418 -1,0849 -1,0864 -1,0469 -0,9846 -0,9261 -0,8896 -0,8752 -0,8694 -0,8540 -0,8114 -0,7276 -0,5961 -0,4219 -0,2224 -0,0236 0,1467 0,2671 0,3311 0,3466 0,3280 0,2903 0,2478 0,2107 0,1796 0,1456 0,0965 0,0271 -0,0551 -0,1368 -0,2128 -0,2813 -0,3307 -0,3491 -0,3494 -0,3723 -0,4601 -0,6298 -0,8666 -1,1370 -1,4068 -1,6520 -1,8597 -2,0228 -2,1404 -2,2229 -2,2902 -2,3593 -2,4305 -2,4852 -2,4988 -2,4553 -2,3534 -2,2048 -2,0322 -1,8645 -1,7252 -1,6222 -1,5468 -1,4833 -1,4173 -1,3391 -1,2440 -1,1323 -1,0092 -0,8796 -0,7437 -0,5971 -0,4369 -0,2669 -0,0989 0,0509 0,1654 0,2301 0,2375 0,1926 0,1118 0,0155 -0,0813 -0,1733 -0,2607 -0,3383 -0,3938 -0,4158 -0,4022 -0,3656 -0,3288 -0,3100 -0,3113 -0,3248 -0,3497 -0,3959 -0,4749 -0,5937 -0,7565 -0,9605 -1,1886 -1,4121 -1,6036 -1,7406 -1,8055 -1,7900 -1,6992 -1,5451 -1,3443 -1,1231 -0,9130 -0,7348 -0,5938 -0,4920 -0,4344 -0,4262 -0,4680 -0,5500 -0,6492 -0,7421 -0,8246 -0,9135 -1,0275 -1,1710 -1,3323 -1,4916 -1,6331 -1,7512 -1,8439 -1,9057 -1,9318 -1,9245 -1,8907 -1,8390 -1,7794 -1,7245 -1,6859 -1,6653 -1,6484 -1,6089 -1,5237 -1,3900 -1,2247 -1,0486 -0,8782 -0,7280 -0,6116 -0,5327 -0,4811 -0,4440 -0,4225 -0,4316 -0,4826 -0,5742 -0,6968 -0,8352 -0,9644 -1,0570 -1,0982 -1,0893 -1,0396 -0,9634 -0,8824 -0,8216 -0,7972 -0,8126 -0,8656 -0,9497 -1,0481 -1,1390 -1,2105 -1,2649 -1,3104 -1,3513 -1,3856 -1,4105 -1,4276 -1,4448 -1,4718 -1,5122 -1,5615 -1,6128 -1,6586 -1,6893 -1,6974 -1,6820 -1,6450 -1,5871 -1,5101 -1,4202 -1,3258 -1,2376 -1,1699 -1,1356 -1,1373 -1,1657 -1,2072 -1,2512 -1,2950 -1,3425 -1,4027 -1,4859 -1,5983 -1,7389 -1,9009 -2,0787 -2,2719 -2,4792 -2,6878 -2,8770 -3,0340 -3,1632 -3,2784 -3,3927 -3,5169 -3,6616 -3,8309 -4,0123 -4,1780 -4,2981 -4,3572 -4,3611 -4,3317 -4,2968 -4,2802 -4,2953 -4,3443 -4,4212 -4,5132 -4,6024 -4,6724 -4,7183 -4,7488 -4,7840 -4,8451 -4,9392 -5,0480 -5,1345 -5,1606 -5,1039 -4,9690 -4,7930 -4,6337 -4,5382 -4,5171 -4,5432 -4,5708 -4,5594 -4,4872 -4,3507 -4,1527 -3,9000 -3,6151 -3,3437 -3,1369 -3,0237 -3,0013 -3,0474 -3,1333 -3,2273 -3,2991 -3,3325 -3,3334 -3,3213 -3,3136 -3,3229 -3,3615 -3,4396 -3,5552 -3,6919 -3,8335 -3,9734 -4,1102 -4,2392 -4,3469 -4,4110 -4,4117 -4,3447 -4,2187 -4,0477 -3,8493 -3,6457 -3,4589 -3,3063 -3,1988 -3,1443 -3,1464 -3,1990 -3,2848 -3,3825 -3,4766 -3,5605 -3,6320 -3,6895 -3,7356 -3,7787 -3,8301 -3,8951 -3,9657 -4,0257 -4,0628 -4,0767 -4,0765 -4,0759 -4,0851 -4,1002 -4,0979 -4,0446 -3,9179 -3,7212 -3,4791 -3,2187 -2,9554 -2,6947 -2,4464 -2,2343 -2,0901 -2,0387 -2,0873 -2,2226 -2,4162 -2,6348 -2,8426 -3,0021 -3,0879 -3,0996 -3,0596 -2,9965 -2,9311 -2,8707 -2,8136 -2,7623
