Participant Public ID,p_or_r,e1_H,e1_X,e2_H,e2_X,e3_H,e3_X,e4_H,e4_X,e5_H,e5_X,e1_L,e1_R,e1_T,e2_L,e2_R,e2_T,e3_L,e3_R,e3_T,e4_L,e4_R,e4_T,e5_L,e5_R,e5_T,eNA_NA,eNA_L,e1_TL,e2_TL,e3_TL,e4_TL,e5_TL
crar9,P,379.2999999523163,399.59999990463257,348.40000009536743,422.2999999523163,345,419.5,338,393.7000000476837,355.14999997615814,489.09999990463257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-379.2999999523163,-348.40000009536743,-345,-338,-355.14999997615814
crar9,R,332.7999999523163,373.75,338.09999990463257,620.2000000476837,315.10000014305115,635.9000000953674,311.2000000476837,606.2000000476837,338,588,386.09999990463257,362.34999990463257,388,368.89999985694885,370.75,378.90000009536743,381.10000002384186,360.5000001192093,387.0500000715256,363.7999999523163,392.09999990463257,385.3000000715256,377,361.5,409.2999999523163,0,0,53.299999952316284,30.799999952316284,65.99999988079071,52.59999990463257,39
exdq7,P,355.89999997615814,286.90000009536743,345.90000009536743,292.80000019073486,336.90000009536743,278.19999980926514,339.90000009536743,260.7000000476837,330.1999999284744,268.40000009536743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-355.89999997615814,-345.90000009536743,-336.90000009536743,-339.90000009536743,-330.1999999284744
exdq7,R,349.2000000476837,329.09999990463257,355.40000009536743,459.2000000476837,316.60000002384186,519.2000000476837,322,522.1000001430511,319.8000000715256,539,351.5,296,346.7500001192093,343.69999980926514,288.64999997615814,340.69999980926514,336.90000009536743,295,333.4499999284744,341.14999997615814,304.2999999523163,384.2499998807907,342.7000000476837,294.2999999523163,368.59999990463257,0,0,2.299999952316284,-11.700000286102295,20.300000071525574,19.149999976158142,22.899999976158142
ezje7,P,358.5,358.89999985694885,317.89999997615814,291.0499999523163,333.7999999523163,305.4500000476837,320.40000009536743,261,302.2999999523163,287.59999990463257,417.2999999523163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.799999952316284,-317.89999997615814,-333.7999999523163,-320.40000009536743,-302.2999999523163
ezje7,R,376,371.4500000476837,362,517.8999998569489,328.6999999284744,599.2000000476837,330.5500000715256,484.09999990463257,290.2000000476837,467.7999999523163,352.2000000476837,297.90000009536743,327.7999999523163,321.25,320.09999990463257,394.39999997615814,328,284.10000014305115,351.0500000715256,343.1999999284744,308.34999990463257,370,307.39999997615814,273.3000000715256,316.0499999523163,0,0,-23.799999952316284,-40.75,-0.6999999284744263,12.649999856948853,17.199999928474426
finc3,P,414.699999988079,390.29999999701977,404,389,388.8500000014901,380.79999999701977,408.3999999910593,372.800000011921,413.3999999910593,397.19999999552965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-414.699999988079,-404,-388.8500000014901,-408.3999999910593,-413.3999999910593
finc3,R,412.6000000089407,434.29999999701977,407.20000000298023,724.9000000059605,374.1499999985099,645.3999999910593,395.05000000447035,835.3999999910593,403.70000000298023,764.2000000029802,415.3999999910593,375.3999999910593,415.5000000074506,403.6000000089407,384.09999999403954,408.29999999701977,390.09999999403954,372,403.30000000447035,414.5,387.29999999701977,434.70000000298023,422.2500000074506,401.5,443.29999999701977,0,0,2.7999999821186066,-3.5999999940395355,15.949999995529652,19.44999999552965,18.55000000447035
fqrf6,P,324,274,315,269,300.5,306,319,304,308,265,1215,1487,278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,891,-315,-300.5,-319,-308
fqrf6,R,310,345,311,687,322,552.5,300.5,565,314.5,496,337,307,358,345,313,347,323,327.5,352.5,319,304,366.5,320.5,319,352,0,0,27,34,1,18.5,6
gxac7,P,337.09999999962747,383.5,342.40000000037253,340.40000000037253,357,374.7000000011176,353.34999999962747,362.95000000018626,345,350.3999999994412,0,0,0,0,0,0,1291.5999999996277,1300.5999999996277,0,1245.9000000003723,1288.0999999996277,0,0,0,0,0,0,-337.09999999962747,-342.40000000037253,934.5999999996277,892.5500000007448,-345
gxac7,R,333.54999999981374,354.90000000037253,325.40000000037253,684.0999999996275,349.34999999962747,655.8000000007451,346.59999999962747,796.5999999996275,337.90000000037253,635.4000000003725,342.6000000014901,314.04999999981374,334.7000000011176,346.5,337,343.69999999925494,365.9999999990687,1231.9000000003725,346.80000000074506,364.5999999996274,351.29999999981374,363.5,347.1000000014901,358.84999999962747,347,0,0,9.05000000167638,21.09999999962747,16.649999999441206,17.999999999999943,9.200000001117587
hcqa8,P,358.6999999284744,332.2000000476837,348.39999997615814,348.6999999284744,382.39999985694885,331.40000009536743,374.85000002384186,448.5,366,309.2999999523163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-358.6999999284744,-348.39999997615814,-382.39999985694885,-374.85000002384186,-366
hcqa8,R,388,377.84999990463257,364.7999999523163,469.5,343.60000002384186,554.2000000476837,392,540.5,369.2999999523163,588.2000000476837,383.0500000715256,332,459.75,386.2000000476837,333.0499999523163,392.2999999523163,385.2999999523163,333.3000000715256,413.2999999523163,381.7000000476837,305.09999990463257,420.09999990463257,384.3000000715256,335.59999990463257,427.75,0,0,-4.949999928474426,21.40000009536743,41.699999928474426,-10.299999952316284,15.00000011920929
jpxp4,P,372,411,383,417,372,360,372,443,383,609,0,0,0,0,0,0,0,0,0,0,0,0,1340,1223,0,0,0,-372,-383,-372,-372,957
jpxp4,R,380,383,396,539,365,594,393,679,401,624,368,336.5,396,399,347.5,420,383,334,430,372.5,328,388,401,1216.5,436,0,0,-12,3,18,-20.5,0
ksjo8,P,354.7000000476837,323.15000009536743,375.5499999523163,351.40000009536743,365.5,341.40000009536743,355.90000009536743,324.2000000476837,365.4500000476837,323.64999985694885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-354.7000000476837,-375.5499999523163,-365.5,-355.90000009536743,-365.4500000476837
ksjo8,R,364.14999997615814,384.90000009536743,365.19999980926514,607.4000000953674,355.14999997615814,556.9000000953674,354.9499999284744,728.8000001907349,362.15000009536743,619.8000001907349,358.4499999284744,341.2000000476837,349.5,394.5499999523163,338.35000002384186,374.59999990463257,365.5,341.8000000715256,382.7999999523163,359.4499999284744,331.5,353.299999833107,363.7000000476837,325.2000000476837,360.10000014305115,0,0,-5.700000047683716,29.350000143051147,10.350000023841858,4.5,1.5499999523162842
ltsl3,P,493.25,394.25,458.25,0,480.25,447.89999997615814,488.0499999523163,443.10000002384186,649.7000000476837,378.40000009536743,1398.6499999761581,1591.3999998569489,1373.850000023842,3183.7999999523163,17052.200000166893,999.9500000476837,614.599999666214,0,364.64999985694885,694.75,1613.7000000476835,734.6499999761581,1615.5999999046326,1710.5,1963.5499999523165,0,0,905.3999999761581,2725.5499999523163,134.349999666214,206.70000004768372,965.8999998569489
