Fp1   4,4260 4,9210 4,9861 4,6587 4,0631 3,3803 2,7962 2,4460 2,3709 2,5051 2,7114 2,8464 2,8199 2,6263 2,3303 2,0130 1,7205 1,4582 1,2243 1,0354 0,9112 0,8342 0,7339 0,5241 0,1598 -0,3344 -0,8844 -1,4141 -1,8767 -2,2531 -2,5374 -2,7325 -2,8489 -2,8944 -2,8650 -2,7558 -2,5869 -2,4168 -2,3150 -2,3189 -2,4134 -2,5499 -2,6879 -2,8159 -2,9364 -3,0396 -3,0887 -3,0126 -2,7280 -2,1956 -1,4617 -0,6500 0,0829 0,5995 0,8200 0,7396 0,4218 -0,0377 -0,5504 -1,0505 -1,5038 -1,9078 -2,2664 -2,5644 -2,7827 -2,9274 -3,0282 -3,1115 -3,1872 -3,2595 -3,3414 -3,4451 -3,5635 -3,6783 -3,7743 -3,8322 -3,8144 -3,6634 -3,3214 -2,7538 -1,9688 -1,0436 -0,1350 0,5738 0,9609 1,0093 0,7881 0,4201 0,0578 -0,1456 -0,0851 0,2405 0,7060 1,1020 1,2245 0,9669 0,3682 -0,4106 -1,1727 -1,7663 -2,0972 -2,1138 -1,8287 -1,3409 -0,8072 -0,3683 -0,0919 0,0205 -0,0085 -0,1527 -0,3810 -0,6584 -0,9478 -1,2032 -1,3832 -1,4810 -1,5172 -1,4998 -1,4193 -1,2835 -1,1451 -1,0852 -1,1560 -1,3321 -1,5100 -1,5421 -1,2827 -0,6575 0,2726 1,3238 2,2773 2,9813 3,3989 3,5805 3,6029 3,5258 3,3916 3,2549 3,1959 3,2830 3,5152 3,8008 3,9990 3,9923 3,7382 3,2680 2,6638 2,0473 1,5686 1,3717 1,5514 2,1172 2,9791 3,9659 4,8607 5,4461 5,5695 5,2088 4,4890 3,6233 2,8041 2,1099 1,5049 0,9168 0,3081 -0,3062 -0,8767 -1,3319 -1,5954 -1,6241 -1,4454 -1,1712 -0,9652 -0,9481 -1,1246 -1,4081 -1,6955 -1,9172 -2,0411 -2,0498 -1,9378 -1,7383 -1,5374 -1,4464 -1,5492 -1,8586 -2,3132 -2,8161 -3,2795 -3,6455 -3,8850 -3,9938 -3,9755 -3,8174 -3,4992 -3,0354 -2,5127 -2,0815 -1,8985 -2,0609 -2,5718 -3,3286 -4,1472 -4,8467 -5,3319 -5,6036 -5,7138 -5,7155 -5,6301 -5,4367 -5,0846 -4,5304 -3,7879 -2,9573 -2,2013 -1,6687 -1,4191 -1,4091 -1,5453 -1,7522 -1,9949 -2,2674 -2,5792 -2,9444 -3,3717 -3,8570 -4,3746 -4,8806 -5,3306 -5,6715 -5,8219 -5,6832 -5,1727 -4,2604 -3,0206 -1,6561 -0,4407 0,3962 0,7622 0,7181 0,4278 0,0769 -0,2106 -0,4165 -0,6004 -0,8322 -1,1518 -1,5627 -2,0244 -2,4506 -2,7498 -2,8783 -2,8527 -2,7117 -2,4694 -2,1101 -1,6261 -1,0330 -0,3462 0,4202 1,2272 2,0012 2,6521 3,0949 3,2721 3,1735 2,8309 2,2941 1,6226 0,8916 0,1833 -0,4403 -0,9659 -1,4222 -1,8388 -2,2049 -2,4652 -2,5630 -2,4957 -2,3340 -2,1904 -2,1611 -2,2823 -2,5330 -2,8725 -3,2735 -3,7272 -4,2255 -4,7429 -5,2271 -5,5944 -5,7389 -5,5849 -5,1494 -4,5485 -3,9426 -3,4657 -3,1786 -3,0629 -3,0516 -3,0690 -3,0554 -2,9767 -2,8216 -2,5827 -2,2501 -1,8429 -1,4320 -1,1034 -0,9008 -0,8195 -0,8521 -1,0057 -1,2538 -1,5049 -1,6498 -1,6209 -1,3937 -0,9594 -0,3283 0,4393 1,2223 1,8646 2,2118 2,1483 1,6448 0,8032 -0,1496 -0,9525 -1,4439 -1,6253 -1,5992 -1,4656 -1,2886 -1,1183 -0,9940 -0,9313 -0,9273 -0,9864 -1,1374 -1,4125 -1,8021 -2,2313 -2,5775 -2,7274 -2,6513 -2,4256 -2,1700 -1,9667 -1,8462 -1,8252 -1,9292 -2,1641 -2,4699 -2,7344 -2,8728 -2,8846 -2,8334 -2,7997 -2,8507 -3,0216 -3,3031 -3,6506 -4,0082 -4,3256 -4,5499 -4,6185 -4,4818 -4,1332 -3,6199 -3,0305 -2,4525 -1,9285 -1,4638 -1,0785 -0,8422 -0,8501 -1,1587 -1,7309 -2,4325 -3,0718 -3,4663 -3,5121 -3,2092 -2,6327 -1,8962 -1,1320 -0,4648 0,0282 0,3363 0,5006 0,5874 0,6735 0,8324 1,0957 1,4136 1,6643 1,7142 1,4864 1,0032 0,3910 -0,1521 -0,4231 -0,2980 0,1971 0,8786 1,4873 1,8129 1,7866 1,5022 1,1478 0,8865 0,7754 0,7698 0,7740 0,6905 0,4597 0,0829 -0,3785 -0,8221 -1,1484 -1,3141 -1,3540 -1,3645 -1,4644 -1,7527 -2,2780 -3,0224 -3,8995 -4,7825 -5,5446 -6,0730 -6,2654 -6,0571 -5,4722 -4,6413 -3,7667 -3,0590 -2,6719 -2,6442 -2,8735 -3,1597 -3,3095 -3,2437 -3,0274 -2,7900 -2,6279 -2,6038 -2,7817 -3,1968 -3,8011 -4,4678 -5,0457 -5,4143 -5,5045 -5,2810 -4,7340 -3,9047 -2,8971 -1,8496 -0,9007 -0,1616 0,3191 0,5772 0,6884 0,6912 0,5694 0,3111 -0,0334 -0,3477 -0,4985 -0,4138 -0,1318 0,2233 0,5207 0,6967 0,7755 0,8395 0,9836 1,2817 1,7533 2,3299 2,8576 3,1524 3,0864 2,6596 2,0029 1,3098 0,7498 0,4100 0,2788 0,2712 0,2810 0,2374 0,1408 0,0570 0,0728 0,2535 0,6224 1,1459 1,7184 2,1775 2,3696 2,2254 1,7954 1,2245 0,6699 0,2206 -0,1128 -0,3547 -0,5195 -0,5819 -0,4847 -0,1913 0,2845 0,8953 1,5875 2,3227 3,0780 3,8203 4,4917 5,0336 5,4110 5,5912 5,5151 5,1182 4,3772 3,3242 2,0462 0,7026 -0,4851 -1,3248 -1,7610 -1,8798 -1,8052 -1,5948 -1,2261 -0,6627 0,0688 0,8580 1,5560 2,0278 2,1825 1,9921 1,4834 0,6982 -0,3153 -1,4650 -2,6075 -3,6073 -4,3933 -4,9557 -5,3109 -5,4651 -5,3887 -5,0252 -4,3563 -3,4655 -2,5281 -1,7314 -1,1848 -0,8711 -0,6640 -0,4185 -0,0852 0,2398 0,3691 0,1418 -0,4861 -1,4311 -2,5266 -3,5774 -4,4235 -4,9981 -5,3332 -5,5045 -5,5509 -5,4276 -5,0360 -4,3197 -3,3534 -2,3490 -1,5494 -1,0874 -0,9387 -0,9918 -1,1523 -1,4008 -1,7814 -2,3388 -3,0628 -3,8890 -4,7373 -5,5265 -6,1599 -6,5253 -6,5332 -6,1593 -5,4467 -4,4706
Fz    4,2412 4,6998 5,1889 5,7088 6,2142 6,6251 6,8606 6,8694 6,6369 6,1733 5,5034 4,6656 3,7152 2,7256 1,7826 0,9664 0,3232 -0,1508 -0,4994 -0,7797 -1,0350 -1,2744 -1,4700 -1,5814 -1,5902 -1,5137 -1,3897 -1,2587 -1,1566 -1,1086 -1,1267 -1,2150 -1,3785 -1,6226 -1,9509 -2,3596 -2,8261 -3,3046 -3,7419 -4,0975 -4,3505 -4,4926 -4,5260 -4,4627 -4,3217 -4,1274 -3,9053 -3,6713 -3,4292 -3,1818 -2,9443 -2,7494 -2,6364 -2,6298 -2,7221 -2,8794 -3,0647 -3,2596 -3,4658 -3,6902 -3,9372 -4,2108 -4,5136 -4,8371 -5,1496 -5,3999 -5,5380 -5,5351 -5,3887 -5,1175 -4,7527 -4,3374 -3,9278 -3,5789 -3,3216 -3,1564 -3,0624 -3,0068 -2,9551 -2,8800 -2,7620 -2,5871 -2,3507 -2,0569 -1,7107 -1,3145 -0,8783 -0,4266 0,0119 0,4201 0,7935 1,1274 1,4056 1,5949 1,6469 1,5137 1,1713 0,6424 0,0017 -0,6445 -1,1969 -1,6056 -1,8886 -2,1066 -2,3181 -2,5458 -2,7736 -2,9713 -3,1234 -3,2425 -3,3664 -3,5387 -3,7854 -4,1075 -4,4901 -4,9073 -5,3207 -5,6817 -5,9434 -6,0730 -6,0586 -5,9146 -5,6763 -5,3806 -5,0473 -4,6833 -4,2957 -3,8976 -3,5055 -3,1355 -2,7923 -2,4600 -2,1085 -1,7142 -1,2804 -0,8434 -0,4565 -0,1627 0,0223 0,1120 0,1404 0,1465 0,1593 0,1913 0,2406 0,2931 0,3265 0,3200 0,2729 0,2175 0,2024 0,2531 0,3520 0,4536 0,5147 0,5129 0,4490 0,3419 0,2204 0,1108 0,0237 -0,0494 -0,1260 -0,2181 -0,3294 -0,4654 -0,6415 -0,8814 -1,2092 -1,6423 -2,1825 -2,8075 -3,4675 -4,0906 -4,6066 -4,9763 -5,2001 -5,2998 -5,2958 -5,1980 -5,0107 -4,7441 -4,4267 -4,1035 -3,8145 -3,5688 -3,3404 -3,0912 -2,8083 -2,5223 -2,2948 -2,1919 -2,2674 -2,5506 -3,0356 -3,6770 -4,4002 -5,1224 -5,7748 -6,3178 -6,7434 -7,0576 -7,2612 -7,3554 -7,3575 -7,2973 -7,1968 -7,0654 -6,9159 -6,7789 -6,6908 -6,6719 -6,7193 -6,8082 -6,8990 -6,9507 -6,9341 -6,8368 -6,6615 -6,4233 -6,1473 -5,8681 -5,6214 -5,4246 -5,2602 -5,0874 -4,8693 -4,5888 -4,2463 -3,8516 -3,4241 -2,9951 -2,6000 -2,2711 -2,0362 -1,9095 -1,8783 -1,9089 -1,9688 -2,0418 -2,1229 -2,2041 -2,2666 -2,2804 -2,2063 -2,0019 -1,6312 -1,0821 -0,3769 0,4318 1,2679 2,0399 2,6565 3,0484 3,1857 3,0903 2,8322 2,5062 2,2023 1,9841 1,8772 1,8651 1,8996 1,9201 1,8718 1,7297 1,5181 1,2992 1,1296 1,0237 0,9551 0,8816 0,7673 0,5962 0,3707 0,0971 -0,2242 -0,5895 -0,9765 -1,3493 -1,6860 -1,9909 -2,2799 -2,5642 -2,8486 -3,1334 -3,4099 -3,6584 -3,8581 -4,0075 -4,1282 -4,2435 -4,3552 -4,4376 -4,4470 -4,3410 -4,0996 -3,7386 -3,2967 -2,8039 -2,2622 -1,6589 -0,9909 -0,2741 0,4639 1,1879 1,8494 2,3925 2,7813 3,0169 3,1262 3,1384 3,0685 2,9135 2,6642 2,3268 1,9404 1,5711 1,2911 1,1573 1,1985 1,4085 1,7435 2,1277 2,4688 2,6862 2,7417 2,6464 2,4401 2,1575 1,8137 1,4138 0,9625 0,4587 -0,1010 -0,6995 -1,2889 -1,8083 -2,2100 -2,4747 -2,6105 -2,6448 -2,6208 -2,5906 -2,5987 -2,6622 -2,7667 -2,8806 -2,9782 -3,0539 -3,1232 -3,2131 -3,3469 -3,5355 -3,7810 -4,0806 -4,4191 -4,7636 -5,0770 -5,3370 -5,5381 -5,6768 -5,7413 -5,7156 -5,5962 -5,4043 -5,1865 -5,0031 -4,9083 -4,9348 -5,0827 -5,3117 -5,5463 -5,7040 -5,7293 -5,6067 -5,3522 -5,0050 -4,6209 -4,2581 -3,9536 -3,7083 -3,4990 -3,3038 -3,1158 -2,9410 -2,7925 -2,6794 -2,5925 -2,5033 -2,3804 -2,2076 -1,9814 -1,6994 -1,3610 -0,9802 -0,5909 -0,2386 0,0405 0,2317 0,3317 0,3333 0,2325 0,0454 -0,1932 -0,4491 -0,6998 -0,9335 -1,1444 -1,3305 -1,4895 -1,6206 -1,7391 -1,8883 -2,1201 -2,4607 -2,8917 -3,3653 -3,8390 -4,2994 -4,7603 -5,2449 -5,7717 -6,3471 -6,9544 -7,5453 -8,0522 -8,4221 -8,6399 -8,7275 -8,7359 -8,7429 -8,8356 -9,0750 -9,4660 -9,9566 -10,4650 -10,9133 -11,2474 -11,4403 -11,4903 -11,4197 -11,2707 -11,0942 -10,9293 -10,7742 -10,5810 -10,2944 -9,8924 -9,3904 -8,8233 -8,2339 -7,6621 -7,1386 -6,6885 -6,3352 -6,0922 -5,9479 -5,8601 -5,7729 -5,6453 -5,4603 -5,2168 -4,9208 -4,5824 -4,2086 -3,7921 -3,3120 -2,7569 -2,1547 -1,5724 -1,0820 -0,7209 -0,4759 -0,2983 -0,1409 0,0128 0,1476 0,2404 0,2843 0,2935 0,2901 0,2850 0,2661 0,2058 0,0895 -0,0646 -0,2181 -0,3454 -0,4499 -0,5541 -0,6790 -0,8331 -1,0127 -1,2030 -1,3819 -1,5348 -1,6629 -1,7760 -1,8785 -1,9633 -2,0140 -2,0147 -1,9580 -1,8488 -1,7044 -1,5522 -1,4229 -1,3389 -1,3038 -1,3009 -1,2975 -1,2511 -1,1231 -0,8911 -0,5575 -0,1560 0,2515 0,5910 0,8065 0,8803 0,8303 0,6922 0,5030 0,2940 0,0945 -0,0646 -0,1568 -0,1708 -0,1166 -0,0206 0,0834 0,1580 0,1622 0,0528 -0,2038 -0,6168 -1,1648 -1,8021 -2,4713 -3,1173 -3,7009 -4,2026 -4,6134 -4,9209 -5,1063 -5,1484 -5,0303 -4,7463 -4,3098 -3,7517 -3,1172 -2,4659 -1,8700 -1,4010 -1,1069 -0,9960 -1,0361 -1,1656 -1,3104 -1,4066 -1,4189 -1,3449 -1,2082 -1,0453 -0,8907 -0,7689 -0,6910 -0,6556 -0,6576 -0,6966 -0,7781 -0,9151 -1,1328 -1,4691 -1,9589 -2,6051 -3,3583 -4,1294 -4,8239 -5,3742 -5,7545 -5,9793 -6,0872 -6,1207 -6,1118 -6,0749 -6,0035 -5,8688 -5,6270 -5,2459 -4,7334 -4,1367 -3,5114 -2,8926 -2,2903 -1,7002 -1,1220 -0,5729 -0,0837
F3    2,5423 3,0516 3,8597 4,9058 6,0037 6,8937 7,3529 7,2791 6,7033 5,7547 4,6064 3,4113 2,2612 1,2030 0,2822 -0,4511 -0,9800 -1,3411 -1,6001 -1,8120 -2,0032 -2,1698 -2,2705 -2,2366 -2,0155 -1,6069 -1,0564 -0,4227 0,2395 0,8670 1,3709 1,6424 1,5845 1,1504 0,3634 -0,6851 -1,8474 -2,9485 -3,8386 -4,4470 -4,7928 -4,9410 -4,9452 -4,8226 -4,5626 -4,1597 -3,6432 -3,0790 -2,5439 -2,1065 -1,8290 -1,7613 -1,9077 -2,1975 -2,5046 -2,7187 -2,8095 -2,8306 -2,8672 -2,9828 -3,1998 -3,5029 -3,8523 -4,2026 -4,5071 -4,7163 -4,7916 -4,7104 -4,4616 -4,0555 -3,5402 -2,9946 -2,4964 -2,0932 -1,8030 -1,6335 -1,5871 -1,6525 -1,8166 -2,0891 -2,4914 -3,0033 -3,5359 -3,9598 -4,1484 -4,0069 -3,5050 -2,7062 -1,7554 -0,8243 -0,0546 0,4753 0,7607 0,8575 0,8543 0,8285 0,7965 0,7025 0,4724 0,0797 -0,4501 -1,0882 -1,8280 -2,6588 -3,5295 -4,3461 -5,0028 -5,4208 -5,5726 -5,4877 -5,2442 -4,9553 -4,7505 -4,7406 -4,9721 -5,4090 -5,9625 -6,5278 -6,9985 -7,2797 -7,3125 -7,0965 -6,6849 -6,1514 -5,5592 -4,9594 -4,4053 -3,9467 -3,5962 -3,3087 -2,9983 -2,5834 -2,0271 -1,3410 -0,5601 0,2642 1,0394 1,6236 1,8793 1,7612 1,3581 0,8524 0,4304 0,2052 0,2007 0,3887 0,7233 1,1432 1,5683 1,9157 2,1121 2,0981 1,8441 1,3795 0,8035 0,2499 -0,1713 -0,4149 -0,5078 -0,5307 -0,5688 -0,6531 -0,7454 -0,7838 -0,7399 -0,6346 -0,5229 -0,4819 -0,6026 -0,9524 -1,5262 -2,2299 -2,9207 -3,4843 -3,8951 -4,2083 -4,5015 -4,8158 -5,1287 -5,3689 -5,4523 -5,3141 -4,9265 -4,3047 -3,5021 -2,6017 -1,7088 -0,9400 -0,4059 -0,1917 -0,3384 -0,8378 -1,6524 -2,7316 -3,9943 -5,3126 -6,5383 -7,5435 -8,2387 -8,5905 -8,6412 -8,4957 -8,2622 -7,9956 -7,6936 -7,3339 -6,9032 -6,4052 -5,8730 -5,3913 -5,0926 -5,1148 -5,5408 -6,3429 -7,3679 -8,3874 -9,1951 -9,6878 -9,8639 -9,7521 -9,3645 -8,7167 -7,8632 -6,8901 -5,8758 -4,8704 -3,9068 -3,0053 -2,1572 -1,3439 -0,6047 -0,0688 0,0944 -0,2402 -1,0801 -2,2846 -3,6048 -4,7777 -5,6178 -6,0605 -6,1579 -6,0301 -5,7806 -5,4256 -4,8932 -4,0853 -2,9452 -1,5034 0,1028 1,6553 2,9372 3,8202 4,2844 4,3662 4,1074 3,5649 2,8485 2,1063 1,4654 0,9918 0,6942 0,5524 0,5427 0,6387 0,8000 0,9833 1,1735 1,3920 1,6580 1,9481 2,2039 2,3709 2,4200 2,3393 2,1159 1,7183 1,0967 0,2184 -0,8689 -2,0112 -3,0015 -3,6689 -3,9408 -3,8530 -3,5125 -3,0425 -2,5448 -2,0922 -1,7440 -1,5634 -1,6072 -1,8865 -2,3392 -2,8434 -3,2551 -3,4605 -3,4288 -3,2261 -2,9563 -2,6741 -2,3555 -1,9387 -1,3821 -0,6954 0,0599 0,7950 1,4349 1,9525 2,3655 2,7052 2,9998 3,2732 3,5314 3,7340 3,8004 3,6721 3,3667 2,9470 2,4382 1,8095 1,0462 0,2205 -0,5188 -1,0180 -1,1941 -1,0701 -0,7571 -0,3961 -0,0981 0,0920 0,1925 0,2380 0,2220 0,0930 -0,1907 -0,6190 -1,1376 -1,6739 -2,1500 -2,4963 -2,6755 -2,7015 -2,6391 -2,5855 -2,6340 -2,8303 -3,1492 -3,5172 -3,8609 -4,1290 -4,2911 -4,3455 -4,3286 -4,3089 -4,3595 -4,5152 -4,7507 -5,0056 -5,2253 -5,3731 -5,4157 -5,3149 -5,0437 -4,6107 -4,0742 -3,5414 -3,1482 -3,0139 -3,1981 -3,6844 -4,3876 -5,1730 -5,8928 -6,4220 -6,6717 -6,5877 -6,1573 -5,4272 -4,5141 -3,5796 -2,7695 -2,1571 -1,7452 -1,5125 -1,4426 -1,5148 -1,6905 -1,9176 -2,1450 -2,3400 -2,4950 -2,6180 -2,7203 -2,8138 -2,9060 -2,9809 -2,9874 -2,8588 -2,5472 -2,0598 -1,4872 -0,9835 -0,6903 -0,6661 -0,8750 -1,2215 -1,5877 -1,8614 -1,9764 -1,9533 -1,8841 -1,8544 -1,8939 -2,0011 -2,1807 -2,4427 -2,7887 -3,2185 -3,7462 -4,4038 -5,2149 -6,1488 -7,1035 -7,9412 -8,5434 -8,8374 -8,7894 -8,4030 -7,7362 -6,9024 -6,0569 -5,3915 -5,1099 -5,3528 -6,1235 -7,2762 -8,5648 -9,7170 -10,5122 -10,8445 -10,7497 -10,3789 -9,9266 -9,5455 -9,2824 -9,0744 -8,8112 -8,4087 -7,8394 -7,1213 -6,3028 -5,4598 -4,6820 -4,0496 -3,6254 -3,4517 -3,5250 -3,7787 -4,1055 -4,3993 -4,5825 -4,6182 -4,5157 -4,3117 -4,0248 -3,6244 -3,0486 -2,2610 -1,3153 -0,3818 0,3102 0,5936 0,4542 0,0269 -0,4848 -0,9005 -1,1256 -1,1669 -1,1110 -1,0833 -1,1998 -1,5135 -1,9809 -2,4779 -2,8609 -3,0386 -3,0207 -2,9257 -2,9246 -3,1374 -3,5585 -4,0702 -4,5243 -4,8192 -4,9290 -4,9001 -4,8306 -4,8188 -4,9001 -5,0178 -5,0444 -4,8415 -4,3367 -3,5641 -2,6464 -1,7427 -0,9843 -0,4220 -0,0278 0,2524 0,4501 0,5636 0,5828 0,5309 0,4789 0,5063 0,6401 0,8269 0,9667 0,9834 0,8608 0,6195 0,2826 -0,1079 -0,4528 -0,6067 -0,4461 0,0692 0,8752 1,8166 2,6921 3,3432 3,7285 3,9004 3,9051 3,7174 3,2662 2,4958 1,4093 0,0868 -1,3326 -2,7085 -3,9463 -4,9937 -5,7987 -6,2807 -6,3544 -5,9969 -5,2909 -4,3864 -3,4152 -2,4504 -1,5370 -0,7442 -0,1907 -0,0180 -0,3093 -1,0092 -1,9199 -2,7904 -3,4303 -3,7698 -3,8519 -3,7765 -3,6280 -3,4313 -3,1628 -2,7930 -2,3244 -1,8045 -1,3136 -0,9369 -0,7387 -0,7595 -1,0305 -1,5680 -2,3505 -3,3121 -4,3624 -5,4017 -6,3223 -7,0337 -7,5116 -7,8102 -8,0215 -8,2211 -8,4306 -8,6024 -8,6235 -8,3523 -7,6873 -6,6254 -5,2650 -3,7604 -2,2643 -0,8877 0,3126 1,3108 2,0697 2,5328
F7    2,0777 2,6998 3,1065 3,3405 3,4625 3,5403 3,6238 3,7118 3,7535 3,6828 3,4534 3,0568 2,5238 1,9206 1,3438 0,8951 0,6298 0,5296 0,5292 0,5567 0,5527 0,4798 0,3287 0,1084 -0,1847 -0,5774 -1,0870 -1,6887 -2,3173 -2,8850 -3,2935 -3,4491 -3,2911 -2,8281 -2,1552 -1,4349 -0,8411 -0,4865 -0,3896 -0,5050 -0,7711 -1,1275 -1,5127 -1,8814 -2,2298 -2,5784 -2,9150 -3,1648 -3,2341 -3,0786 -2,7220 -2,2318 -1,6901 -1,1567 -0,6421 -0,1297 0,3689 0,7840 1,0112 0,9614 0,5940 -0,0754 -0,9792 -2,0004 -2,9777 -3,7335 -4,1352 -4,1620 -3,9239 -3,6027 -3,3555 -3,2567 -3,3075 -3,4795 -3,7396 -4,0360 -4,2716 -4,3096 -4,0346 -3,4449 -2,6868 -1,9753 -1,4702 -1,2042 -1,0915 -1,0064 -0,8795 -0,7266 -0,5830 -0,4276 -0,1971 0,1319 0,4908 0,7376 0,7200 0,3505 -0,3401 -1,1863 -1,9418 -2,4103 -2,5492 -2,4449 -2,2143 -1,9462 -1,7051 -1,5610 -1,5979 -1,8788 -2,3927 -3,0492 -3,7338 -4,3590 -4,8658 -5,2022 -5,3292 -5,2458 -4,9779 -4,5372 -3,9156 -3,1287 -2,2622 -1,4677 -0,9037 -0,6550 -0,6859 -0,8615 -1,0285 -1,0926 -1,0384 -0,8922 -0,6705 -0,3715 -0,0120 0,3483 0,6405 0,8334 0,9416 1,0091 1,0876 1,2219 1,4393 1,7423 2,1097 2,5057 2,8787 3,1562 3,2518 3,0975 2,6955 2,1436 1,5844 1,1175 0,7645 0,5106 0,3663 0,3800 0,5841 0,9347 1,3188 1,6123 1,7227 1,5956 1,2262 0,6726 0,0313 -0,6045 -1,1552 -1,5458 -1,7240 -1,6954 -1,5333 -1,3497 -1,2389 -1,2313 -1,3038 -1,4263 -1,5819 -1,7656 -1,9920 -2,2959 -2,7112 -3,2537 -3,9196 -4,6858 -5,5027 -6,2792 -6,8834 -7,1791 -7,0822 -6,6100 -5,8975 -5,1536 -4,5755 -4,2842 -4,3108 -4,5975 -5,0062 -5,3741 -5,6013 -5,6903 -5,6960 -5,6493 -5,5291 -5,2958 -4,9496 -4,5565 -4,2218 -4,0443 -4,0889 -4,3881 -4,9447 -5,7180 -6,6021 -7,4207 -7,9636 -8,0719 -7,7145 -6,9992 -6,1269 -5,3209 -4,7413 -4,4336 -4,3553 -4,4388 -4,6358 -4,9277 -5,3165 -5,8022 -6,3561 -6,9012 -7,3166 -7,4784 -7,3287 -6,9192 -6,3822 -5,8511 -5,4016 -5,0530 -4,8019 -4,6340 -4,5215 -4,4351 -4,3559 -4,2734 -4,1795 -4,0658 -3,9267 -3,7590 -3,5515 -3,2819 -2,9483 -2,6097 -2,3639 -2,2648 -2,2705 -2,2766 -2,1862 -1,9516 -1,5837 -1,1415 -0,7009 -0,3106 0,0207 0,2914 0,4821 0,5701 0,5494 0,4269 0,2185 -0,0396 -0,2839 -0,4426 -0,4772 -0,4173 -0,3492 -0,3575 -0,4706 -0,6501 -0,8259 -0,9481 -1,0167 -1,0734 -1,1741 -1,3565 -1,6159 -1,9069 -2,1710 -2,3715 -2,5161 -2,6593 -2,8714 -3,1843 -3,5705 -3,9695 -4,3194 -4,5708 -4,6882 -4,6561 -4,5011 -4,3025 -4,1573 -4,1154 -4,1388 -4,1032 -3,8367 -3,2072 -2,2304 -1,0971 -0,0569 0,7369 1,2741 1,6101 1,7825 1,7957 1,6297 1,2476 0,6330 -0,1553 -0,9773 -1,6685 -2,1000 -2,2028 -1,9746 -1,4865 -0,8783 -0,3224 0,0388 0,1455 0,0237 -0,2583 -0,6215 -0,9714 -1,2173 -1,3318 -1,3696 -1,4174 -1,5336 -1,7245 -1,9610 -2,2114 -2,4625 -2,7187 -2,9899 -3,2778 -3,5567 -3,7607 -3,8118 -3,6850 -3,4463 -3,2232 -3,1290 -3,1921 -3,3446 -3,4786 -3,5190 -3,4573 -3,3373 -3,2155 -3,1173 -3,0226 -2,8996 -2,7568 -2,6529 -2,6545 -2,7891 -3,0341 -3,3370 -3,6472 -3,9305 -4,1543 -4,2530 -4,1105 -3,5983 -2,6666 -1,4087 -0,0405 1,1903 2,1022 2,6278 2,7959 2,6846 2,3711 1,8877 1,2190 0,3496 -0,6957 -1,8534 -3,0233 -4,0488 -4,7354 -4,9425 -4,6595 -3,9827 -3,0454 -1,9942 -0,9924 -0,1925 0,3073 0,4912 0,4290 0,2519 0,1049 0,1042 0,3109 0,6995 1,1347 1,4151 1,3714 0,9374 0,1649 -0,7810 -1,6563 -2,2401 -2,4408 -2,3122 -1,9920 -1,6345 -1,3670 -1,2611 -1,3261 -1,5297 -1,8257 -2,1722 -2,5365 -2,8853 -3,1769 -3,3694 -3,4411 -3,4174 -3,3848 -3,4573 -3,7070 -4,1204 -4,6057 -5,0239 -5,2378 -5,1744 -4,8587 -4,3877 -3,8710 -3,3903 -3,0013 -2,7530 -2,6912 -2,8361 -3,1527 -3,5414 -3,8758 -4,0583 -4,0383 -3,8076 -3,4136 -2,9599 -2,5571 -2,2682 -2,0880 -1,9577 -1,8058 -1,5789 -1,2429 -0,7909 -0,2705 0,2138 0,5476 0,6547 0,5113 0,1423 -0,3772 -0,9211 -1,3397 -1,5243 -1,4675 -1,2582 -1,0230 -0,8651 -0,8243 -0,8814 -1,0030 -1,1717 -1,3762 -1,5973 -1,8204 -2,0558 -2,3477 -2,7516 -3,2780 -3,8535 -4,3529 -4,6705 -4,7721 -4,7049 -4,5786 -4,5214 -4,6106 -4,8057 -4,9523 -4,8776 -4,5134 -3,9392 -3,3067 -2,7144 -2,1590 -1,6007 -1,0532 -0,5891 -0,2735 -0,1123 -0,0618 -0,0607 -0,0457 0,0399 0,2241 0,4711 0,6820 0,7591 0,6836 0,5289 0,4055 0,4029 0,5633 0,8716 1,2537 1,5973 1,7956 1,7962 1,6244 1,3649 1,1185 0,9709 0,9779 1,1529 1,4613 1,8329 2,1836 2,4284 2,4907 2,3197 1,9102 1,3098 0,6034 -0,1148 -0,7761 -1,3531 -1,8453 -2,2594 -2,5992 -2,8570 -3,0144 -3,0603 -3,0211 -2,9768 -3,0234 -3,2028 -3,4722 -3,7342 -3,8904 -3,8881 -3,7415 -3,5103 -3,2575 -3,0166 -2,7868 -2,5524 -2,3089 -2,0778 -1,9058 -1,8454 -1,9256 -2,1381 -2,4597 -2,8791 -3,3866 -3,9536 -4,5456 -5,1522 -5,7944 -6,4967 -7,2479 -7,9912 -8,6500 -9,1556 -9,4574 -9,5193 -9,3074 -8,7906 -7,9733 -6,9274 -5,7863 -4,7068 -3,8191 -3,2039 -2,9130 -2,9839 -3,4109 -4,1089 -4,9146 -5,6325 -6,1020 -6,2482 -6,0915
