Fp1   1,3890 1,4544 1,2044 0,7145 0,1099 -0,4749 -0,9279 -1,1961 -1,2977 -1,2791 -1,1674 -0,9860 -0,7888 -0,6382 -0,5589 -0,5188 -0,4550 -0,3295 -0,1569 0,0233 0,1885 0,3444 0,4960 0,6144 0,6573 0,6212 0,5579 0,5354 0,5879 0,7020 0,8306 0,9120 0,9018 0,8138 0,7256 0,7226 0,8157 0,9108 0,8740 0,6393 0,2465 -0,2093 -0,6379 -0,9803 -1,2135 -1,3325 -1,3169 -1,1292 -0,7570 -0,2413 0,3493 0,9591 1,5440 2,0436 2,3843 2,5248 2,4777 2,2683 1,9122 1,4553 1,0019 0,6839 0,6059 0,7999 1,2004 1,6579 2,0024 2,1390 2,0925 1,9425 1,7453 1,5388 1,3631 1,2381 1,1532 1,1065 1,1369 1,2923 1,5652 1,8857 2,1786 2,3953 2,4938 2,4398 2,2443 1,9608 1,6237 1,2302 0,8071 0,4464 0,2356 0,1859 0,2465 0,3520 0,4428 0,4679 0,3908 0,2118 -0,0074 -0,1795 -0,2705 -0,3362 -0,4776 -0,7630 -1,1692 -1,5826 -1,8679 -1,9521 -1,8616 -1,6984 -1,5716 -1,5154 -1,4740 -1,3757 -1,1992 -0,9646 -0,6983 -0,4279 -0,1871 -0,0107 0,0828 0,1007 0,0650 -0,0013 -0,0637 -0,0619 0,0673 0,3462 0,7365 1,1558 1,5052 1,7009 1,7159 1,6010 1,4590 1,3960 1,4884 1,7700 2,2252 2,7882 3,3629 3,8541 4,1904 4,3410 4,3302 4,2298 4,1272 4,0969 4,1871 4,4038 4,7015 5,0044 5,2426 5,3697 5,3717 5,2741 5,1276 4,9763 4,8403 4,7205 4,6018 4,4570 4,2676 4,0424 3,8214 3,6600 3,5937 3,6106 3,6742 3,7600 3,8544 3,9335 3,9664 3,9411 3,8832 3,8426 3,8591 3,9343 4,0303 4,0911 4,0663 3,9123 3,5890 3,0683 2,3564 1,5146 0,6593 -0,0710 -0,5666 -0,7894 -0,7829 -0,6422 -0,4605 -0,2889 -0,1296 0,0462 0,2706 0,5542 0,8784 1,2022 1,4706 1,6257 1,6285 1,4859 1,2593 1,0460 0,9403 0,9973 1,2138 1,5313 1,8562 2,0985 2,2151 2,2244 2,1807 2,1338 2,1079 2,1091 2,1463 2,2297 2,3502 2,4718 2,5410 2,5106 2,3748 2,1828 1,9974 1,8385 1,6838 1,5129 1,3294 1,1555 1,0341 1,0248 1,1687 1,4506 1,7996 2,1271 2,3666 2,4888 2,4902 2,3828 2,2018 2,0160 1,9182 1,9866 2,2487 2,6835 3,2437 3,8576 4,4138 4,7788 4,8586 4,6518 4,2506 3,7872 3,3704 3,0559 2,8461 2,7013 2,5639 2,3833 2,1304 1,8079 1,4574 1,1441 0,9307 0,8564 0,9184 1,0693 1,2475 1,4074 1,5279 1,6138 1,6793 1,7194 1,7052 1,6178 1,4732 1,3048 1,1322 0,9691 0,8502 0,8203 0,8919 1,0339 1,2026 1,3551 1,4436 1,4421 1,3782 1,3101 1,2742 1,2610 1,2330 1,1643 1,0664 0,9767 0,9294 0,9372 0,9897 1,0589 1,1065 1,0984 1,0234 0,9061 0,8074 0,8001 0,9231 1,1564 1,4435 1,7228 1,9377 2,0430 2,0316 1,9521 1,8811 1,8661 1,9001 1,9439 1,9601 1,9386 1,9041 1,8949 1,9279 1,9925 2,0799 2,2030 2,3800 2,6107 2,8659 3,0899 3,2203 3,2197 3,0937 2,8837 2,6458 2,4253 2,2447 2,1131 2,0343 2,0005 1,9844 1,9479 1,8688 1,7595 1,6516 1,5582 1,4656 1,3619 1,2594 1,1840 1,1626 1,2180 1,3616 1,5888 1,8804 2,2055 2,5294 2,8205 3,0489 3,1870 3,2171 3,1365 2,9628 2,7379 2,5164 2,3281 2,1599 1,9815 1,7731 1,5351 1,2915 1,0888 0,9809 1,0073 1,1768 1,4622 1,8027 2,1211 2,3708 2,5680 2,7629 2,9822 3,2111 3,4230 3,6149 3,8102 4,0296 4,2632 4,4716 4,6163 4,6935 4,7396 4,8034 4,9071 5,0294 5,1233 5,1446 5,0649 4,8776 4,5977 4,2520 3,8740 3,5130 3,2406 3,1291 3,2032 3,4130 3,6638 3,8769 4,0284 4,1347 4,2177 4,2987 4,4019 4,5453 4,7302 4,9443 5,1623 5,3374 5,4032 5,3028 5,0311 4,6424 4,2193 3,8370 3,5483 3,3792 3,3277 3,3661 3,4520 3,5433 3,6037 3,6091 3,5657 3,5173 3,5150 3,5859 3,7301 3,9147 4,0737 4,1459 4,1169 4,0154 3,8847 3,7599 3,6562 3,5684 3,4801 3,3712 3,2183 2,9984 2,7040 2,3615 2,0295 1,7724 1,6219 1,5689 1,5947 1,6959 1,8683 2,0881 2,3242 2,5544 2,7649 2,9470 3,0931 3,1902 3,2192 3,1662 3,0342 2,8431 2,6152 2,3709 2,1456 1,9927 1,9502 2,0090 2,1181 2,2126 2,2396 2,1700 1,9989 1,7534 1,5011 1,3301 1,2960 1,3824 1,5145 1,6072 1,6126 1,5391 1,4348 1,3527 1,3343 1,4104 1,5979 1,8929 2,2678 2,6803 3,0863 3,4472 3,7273 3,8972 3,9488 3,9072 3,8207 3,7345 3,6734 3,6392 3,6166 3,5851 3,5359 3,4850 3,4666 3,5091 3,6148 3,7562 3,8890 3,9716 3,9722 3,8682 3,6533 3,3483 3,0077 2,7098 2,5303 2,5081 2,6197 2,7777 2,8679 2,8083 2,5867 2,2514 1,8768 1,5328 1,2677 1,0957 0,9960 0,9272 0,8488 0,7344 0,5789 0,4033 0,2473 0,1458 0,1134 0,1511 0,2545 0,4132 0,6119 0,8333 1,0573 1,2691 1,4701 1,6768 1,9045 2,1558 2,4201 2,6783 2,9015 3,0552 3,1250 3,1401 3,1553 3,2043 3,2822 3,3687 3,4489 3,5025 3,4874 3,3602 3,1193 2,8157 2,5203 2,2894 2,1487 2,0857 2,0562 2,0105 1,9172 1,7647 1,5505 1,2777 0,9612 0,6327 0,3378 0,1246 0,0259 0,0421 0,1342 0,2445 0,3355 0,4044 0,4590 0,4957 0,5062 0,4867 0,4329
Fz    1,4336 1,1804 0,6982 0,0528 -0,6501 -1,3041 -1,8259 -2,1717 -2,3417 -2,3596 -2,2483 -2,0430 -1,8141 -1,6449 -1,5795 -1,5886 -1,5915 -1,5197 -1,3558 -1,1116 -0,7899 -0,3859 0,0763 0,5242 0,8699 1,0689 1,1482 1,1771 1,2124 1,2723 1,3447 1,3996 1,4108 1,3867 1,3771 1,4380 1,5733 1,7052 1,7166 1,5473 1,2419 0,9003 0,5994 0,3616 0,1684 -0,0046 -0,1504 -0,2219 -0,1744 -0,0080 0,2423 0,5401 0,8538 1,1417 1,3492 1,4340 1,3869 1,2158 0,9349 0,5903 0,2756 0,1018 0,1489 0,4322 0,8870 1,3703 1,7054 1,7796 1,6127 1,3101 0,9668 0,6430 0,3869 0,2263 0,1495 0,1274 0,1579 0,2703 0,4851 0,7912 1,1685 1,5997 2,0546 2,4939 2,8950 3,2362 3,4523 3,4581 3,2386 2,8795 2,4871 2,1117 1,7589 1,4330 1,1401 0,8741 0,6215 0,3769 0,1477 -0,0566 -0,2411 -0,4305 -0,6585 -0,9446 -1,2682 -1,5648 -1,7664 -1,8542 -1,8737 -1,9058 -2,0139 -2,1875 -2,3352 -2,3531 -2,1977 -1,8910 -1,4823 -1,0215 -0,5527 -0,1152 0,2581 0,5418 0,7210 0,8022 0,8308 0,8887 1,0566 1,3663 1,7823 2,2232 2,6013 2,8605 3,0019 3,0759 3,1441 3,2463 3,3917 3,5728 3,7811 4,0087 4,2379 4,4330 4,5468 4,5481 4,4559 4,3386 4,2688 4,2825 4,3753 4,5147 4,6537 4,7550 4,8095 4,8260 4,8146 4,7871 4,7586 4,7422 4,7486 4,7888 4,8637 4,9529 5,0206 5,0339 4,9787 4,8673 4,7295 4,5913 4,4605 4,3309 4,1915 4,0314 3,8430 3,6265 3,3902 3,1428 2,8875 2,6281 2,3744 2,1339 1,9032 1,6674 1,4061 1,0987 0,7326 0,3119 -0,1380 -0,5748 -0,9532 -1,2424 -1,4367 -1,5496 -1,5926 -1,5588 -1,4259 -1,1792 -0,8377 -0,4551 -0,0907 0,2196 0,4648 0,6441 0,7608 0,8290 0,8758 0,9304 1,0109 1,1231 1,2657 1,4314 1,6065 1,7802 1,9599 2,1697 2,4259 2,7163 3,0080 3,2713 3,4934 3,6720 3,7993 3,8576 3,8301 3,7161 3,5357 3,3147 3,0606 2,7549 2,3773 1,9379 1,4795 1,0588 0,7347 0,5575 0,5426 0,6531 0,8161 0,9641 1,0633 1,1100 1,1081 1,0580 0,9665 0,8644 0,8082 0,8506 1,0057 1,2465 1,5318 1,8258 2,0930 2,2882 2,3695 2,3268 2,1992 2,0534 1,9368 1,8501 1,7534 1,5984 1,3633 1,0633 0,7408 0,4544 0,2592 0,1806 0,2098 0,3230 0,4921 0,6841 0,8715 1,0453 1,2120 1,3878 1,5880 1,8045 1,9981 2,1224 2,1559 2,1064 2,0010 1,8859 1,8247 1,8688 2,0198 2,2275 2,4246 2,5522 2,5690 2,4712 2,3077 2,1539 2,0631 2,0388 2,0441 2,0408 2,0215 2,0059 2,0139 2,0506 2,1128 2,1983 2,3021 2,4105 2,5026 2,5600 2,5858 2,6113 2,6757 2,7993 2,9802 3,1954 3,3964 3,5258 3,5590 3,5258 3,4832 3,4716 3,4968 3,5390 3,5677 3,5621 3,5308 3,5124 3,5473 3,6508 3,8189 4,0460 4,3248 4,6367 4,9509 5,2308 5,4459 5,5838 5,6486 5,6444 5,5638 5,3952 5,1410 4,8277 4,4993 4,2029 3,9719 3,8087 3,6865 3,5707 3,4398 3,2923 3,1442 3,0227 2,9567 2,9653 3,0510 3,1995 3,3800 3,5568 3,7110 3,8553 4,0224 4,2364 4,4893 4,7434 4,9506 5,0741 5,1045 5,0655 5,0012 4,9479 4,9129 4,8777 4,8162 4,7164 4,5977 4,5078 4,5031 4,6243 4,8783 5,2328 5,6265 5,9913 6,2870 6,5220 6,7316 6,9364 7,1249 7,2716 7,3616 7,4023 7,4175 7,4322 7,4593 7,5003 7,5553 7,6289 7,7242 7,8340 7,9425 8,0320 8,0847 8,0836 8,0223 7,9103 7,7597 7,5711 7,3472 7,1199 6,9421 6,8426 6,7954 6,7408 6,6365 6,4897 6,3430 6,2367 6,1874 6,1845 6,1988 6,2081 6,2185 6,2530 6,3156 6,3749 6,3932 6,3602 6,2880 6,1840 6,0486 5,8922 5,7378 5,6083 5,5196 5,4839 5,5097 5,5907 5,7002 5,8081 5,9045 6,0024 6,1260 6,2969 6,5098 6,7220 6,8802 6,9615 6,9878 7,0037 7,0373 7,0796 7,1018 7,0864 7,0415 6,9861 6,9307 6,8747 6,8199 6,7799 6,7718 6,7993 6,8539 6,9363 7,0616 7,2331 7,4229 7,5871 7,6896 7,7121 7,6542 7,5322 7,3716 7,1924 7,0027 6,8054 6,5982 6,3679 6,0969 5,7878 5,4703 5,1797 4,9376 4,7499 4,6094 4,4940 4,3693 4,2059 4,0066 3,8140 3,6822 3,6343 3,6426 3,6475 3,5977 3,4802 3,3252 3,1883 3,1192 3,1399 3,2470 3,4235 3,6469 3,8881 4,1192 4,3269 4,5130 4,6802 4,8227 4,9274 4,9851 4,9991 4,9819 4,9429 4,8868 4,8231 4,7731 4,7662 4,8293 4,9744 5,1922 5,4582 5,7397 6,0044 6,2282 6,3957 6,4900 6,4890 6,3798 6,1820 5,9539 5,7713 5,6897 5,7139 5,7963 5,8684 5,8831 5,8303 5,7191 5,5534 5,3301 5,0515 4,7279 4,3699 3,9853 3,5901 3,2134 2,8882 2,6443 2,5078 2,4934 2,5913 2,7692 2,9893 3,2232 3,4582 3,6968 3,9539 4,2463 4,5782 4,9322 5,2718 5,5549 5,7516 5,8559 5,8839 5,8621 5,8233 5,8045 5,8342 5,9155 6,0225 6,1152 6,1625 6,1541 6,0944 5,9900 5,8462 5,6725 5,4868 5,3192 5,2077 5,1765 5,2168 5,2916 5,3597 5,3901 5,3621 5,2639 5,0964 4,8779 4,6326 4,3746 4,1095 3,8478 3,6067 3,4019 3,2427 3,1325 3,0644 3,0190 2,9749 2,9197 2,8514
F3    1,9929 1,9093 1,5135 0,8826 0,1376 -0,5972 -1,2200 -1,6756 -1,9614 -2,0960 -2,0853 -1,9374 -1,7031 -1,4734 -1,3311 -1,2975 -1,3203 -1,3213 -1,2516 -1,0959 -0,8472 -0,5044 -0,0968 0,3050 0,6202 0,8063 0,8780 0,8787 0,8396 0,7757 0,7018 0,6296 0,5688 0,5500 0,6311 0,8579 1,2008 1,5313 1,6872 1,5825 1,2518 0,8073 0,3757 0,0534 -0,1265 -0,1932 -0,1831 -0,0951 0,0877 0,3569 0,6807 1,0272 1,3685 1,6693 1,8858 1,9849 1,9585 1,8062 1,5324 1,1846 0,8701 0,7125 0,7909 1,1072 1,5696 1,9896 2,1422 1,9089 1,3835 0,7911 0,3088 0,0040 -0,1116 -0,0559 0,1077 0,2916 0,4461 0,5852 0,7518 0,9841 1,3134 1,7511 2,2583 2,7569 3,1795 3,4780 3,5892 3,4560 3,1098 2,6796 2,2843 1,9472 1,6263 1,2828 0,9124 0,5388 0,1950 -0,0886 -0,2890 -0,4092 -0,5009 -0,6472 -0,9030 -1,2508 -1,6082 -1,8680 -1,9487 -1,8411 -1,6207 -1,4141 -1,3321 -1,3953 -1,5141 -1,5653 -1,4861 -1,2879 -1,0159 -0,7185 -0,4363 -0,1979 -0,0161 0,1089 0,1791 0,2008 0,2057 0,2619 0,4432 0,7756 1,2166 1,6808 2,0818 2,3688 2,5527 2,6952 2,8651 3,0990 3,3898 3,7017 3,9974 4,2519 4,4437 4,5458 4,5320 4,3992 4,1922 3,9985 3,9034 3,9442 4,1023 4,3197 4,5242 4,6621 4,7195 4,7090 4,6507 4,5710 4,5015 4,4704 4,5012 4,6159 4,8261 5,1185 5,4521 5,7696 6,0178 6,1645 6,2026 6,1402 5,9946 5,7901 5,5531 5,3020 5,0433 4,7759 4,4952 4,1907 3,8548 3,5007 3,1618 2,8655 2,6133 2,3815 2,1332 1,8342 1,4655 1,0306 0,5562 0,0871 -0,3251 -0,6390 -0,8392 -0,9385 -0,9612 -0,9216 -0,8182 -0,6462 -0,4179 -0,1705 0,0547 0,2377 0,3791 0,4824 0,5500 0,5937 0,6383 0,7099 0,8180 0,9507 1,0857 1,2041 1,2979 1,3732 1,4526 1,5685 1,7380 1,9461 2,1574 2,3470 2,5154 2,6732 2,8162 2,9211 2,9588 2,9110 2,7815 2,5897 2,3450 2,0327 1,6381 1,1807 0,7150 0,3090 0,0326 -0,0542 0,0675 0,3534 0,7154 1,0697 1,3686 1,5975 1,7533 1,8354 1,8566 1,8555 1,8932 2,0214 2,2497 2,5485 2,8813 3,2232 3,5447 3,7926 3,9062 3,8634 3,7112 3,5373 3,4063 3,3218 3,2346 3,0795 2,8175 2,4546 2,0360 1,6314 1,3073 1,0971 0,9983 0,9920 1,0489 1,1305 1,2105 1,2915 1,3951 1,5450 1,7466 1,9656 2,1289 2,1615 2,0301 1,7590 1,4151 1,0855 0,8555 0,7767 0,8411 0,9909 1,1592 1,2900 1,3401 1,3027 1,2271 1,1864 1,2236 1,3295 1,4578 1,5642 1,6356 1,6873 1,7389 1,8020 1,8846 1,9936 2,1267 2,2643 2,3748 2,4362 2,4613 2,4958 2,5813 2,7271 2,9163 3,1167 3,2824 3,3721 3,3838 3,3630 3,3632 3,4008 3,4555 3,4950 3,4908 3,4298 3,3292 3,2373 3,2046 3,2549 3,3868 3,5920 3,8596 4,1722 4,5048 4,8247 5,0977 5,3013 5,4282 5,4733 5,4219 5,2570 4,9814 4,6337 4,2802 3,9861 3,7824 3,6483 3,5284 3,3705 3,1556 2,9019 2,6500 2,4442 2,3184 2,2880 2,3469 2,4683 2,6094 2,7292 2,8179 2,9094 3,0566 3,2917 3,6047 3,9532 4,2836 4,5468 4,7107 4,7713 4,7515 4,6780 4,5598 4,3900 4,1623 3,8899 3,6160 3,4020 3,3004 3,3359 3,4987 3,7520 4,0463 4,3363 4,6056 4,8803 5,2030 5,5882 6,0057 6,4018 6,7293 6,9635 7,1020 7,1539 7,1294 7,0411 6,9125 6,7822 6,6870 6,6374 6,6175 6,6056 6,5862 6,5467 6,4796 6,3881 6,2768 6,1389 5,9707 5,8045 5,7050 5,7139 5,8024 5,8913 5,9194 5,8877 5,8377 5,8080 5,8182 5,8686 5,9418 6,0198 6,1048 6,2131 6,3408 6,4520 6,5091 6,5013 6,4316 6,2970 6,0969 5,8508 5,5936 5,3559 5,1569 5,0129 4,9402 4,9418 4,9953 5,0688 5,1471 5,2402 5,3730 5,5685 5,8190 6,0715 6,2574 6,3390 6,3253 6,2517 6,1441 6,0032 5,8205 5,6045 5,3886 5,2126 5,0942 5,0190 4,9622 4,9158 4,8914 4,8984 4,9349 5,0045 5,1237 5,2993 5,5091 5,7101 5,8587 5,9233 5,8916 5,7738 5,5914 5,3620 5,0989 4,8215 4,5484 4,2805 4,0043 3,7198 3,4521 3,2335 3,0868 3,0246 3,0467 3,1323 3,2395 3,3251 3,3742 3,4090 3,4637 3,5525 3,6569 3,7420 3,7822 3,7722 3,7287 3,6830 3,6641 3,6841 3,7426 3,8360 3,9547 4,0733 4,1607 4,2030 4,2107 4,2056 4,2043 4,2136 4,2382 4,2880 4,3678 4,4649 4,5544 4,6216 4,6783 4,7576 4,8914 5,0865 5,3210 5,5583 5,7621 5,9090 5,9965 6,0381 6,0387 5,9772 5,8208 5,5586 5,2218 4,8745 4,5833 4,3809 4,2529 4,1573 4,0588 3,9487 3,8337 3,7148 3,5831 3,4289 3,2427 3,0067 2,7000 2,3218 1,9057 1,5074 1,1854 0,9895 0,9465 1,0415 1,2219 1,4261 1,6115 1,7669 1,9126 2,0881 2,3310 2,6558 3,0467 3,4641 3,8577 4,1844 4,4259 4,5921 4,7098 4,8152 4,9430 5,1060 5,2805 5,4174 5,4715 5,4281 5,3079 5,1477 4,9760 4,8089 4,6558 4,5262 4,4359 4,4032 4,4325 4,5027 4,5778 4,6264 4,6261 4,5584 4,4088 4,1780 3,8910 3,5826 3,2769 2,9909 2,7482 2,5761 2,4921 2,4966 2,5715 2,6820 2,7893 2,8670 2,9034 2,8908
F7    1,4815 1,5618 1,3243 0,8238 0,1595 -0,5294 -1,0797 -1,3564 -1,3052 -0,9622 -0,4262 0,1707 0,6797 0,9701 1,0005 0,8541 0,6647 0,5089 0,3893 0,2976 0,2602 0,3169 0,4599 0,6146 0,6979 0,6881 0,6276 0,5629 0,5031 0,4373 0,3706 0,3171 0,2691 0,1964 0,0849 -0,0396 -0,1439 -0,2313 -0,3303 -0,4511 -0,5805 -0,7100 -0,8394 -0,9670 -1,1000 -1,2493 -1,3844 -1,4178 -1,2680 -0,9215 -0,4261 0,1482 0,7290 1,2379 1,6009 1,7896 1,8336 1,7707 1,6178 1,4055 1,2019 1,0922 1,1560 1,4447 1,9286 2,4533 2,7950 2,8227 2,6142 2,3640 2,1879 2,0694 1,9510 1,7968 1,5955 1,3829 1,2569 1,3126 1,5653 1,9599 2,4201 2,8525 3,1290 3,1277 2,8200 2,2917 1,6715 1,0661 0,5639 0,2316 0,0631 -0,0386 -0,1816 -0,3966 -0,6434 -0,8789 -1,0896 -1,2696 -1,4011 -1,4794 -1,5389 -1,6268 -1,7604 -1,9141 -2,0228 -1,9992 -1,7779 -1,3613 -0,8206 -0,2708 0,1723 0,4667 0,6763 0,8933 1,1499 1,4215 1,6692 1,8532 1,9369 1,8996 1,7421 1,4751 1,1120 0,6864 0,2709 -0,0360 -0,1513 -0,0494 0,2254 0,5791 0,8971 1,0868 1,1273 1,0782 1,0377 1,0940 1,2918 1,6178 2,0137 2,4052 2,7204 2,8988 2,9043 2,7430 2,4704 2,1796 1,9666 1,8884 1,9438 2,0837 2,2336 2,3295 2,3481 2,3007 2,2131 2,1228 2,0740 2,1003 2,2161 2,4218 2,7057 3,0382 3,3733 3,6653 3,8964 4,0872 4,2710 4,4597 4,6388 4,7815 4,8591 4,8441 4,7126 4,4584 4,1105 3,7286 3,3777 3,1070 2,9347 2,8404 2,7759 2,6840 2,5136 2,2294 1,8190 1,3036 0,7437 0,2290 -0,1539 -0,3609 -0,4082 -0,3549 -0,2619 -0,1607 -0,0517 0,0819 0,2528 0,4483 0,6352 0,7850 0,8834 0,9112 0,8392 0,6599 0,4210 0,2146 0,1248 0,1838 0,3668 0,6143 0,8563 1,0336 1,1204 1,1311 1,0957 1,0317 0,9463 0,8600 0,8143 0,8470 0,9672 1,1564 1,3778 1,5871 1,7489 1,8434 1,8454 1,7063 1,3916 0,9345 0,4305 -0,0160 -0,3233 -0,4372 -0,3396 -0,0599 0,3336 0,7651 1,1808 1,5492 1,8458 2,0580 2,1989 2,2986 2,3890 2,4959 2,6349 2,8172 3,0577 3,3603 3,6824 3,9295 4,0091 3,9021 3,6857 3,4801 3,3669 3,3531 3,3893 3,4036 3,3245 3,0944 2,6936 2,1638 1,5862 1,0401 0,5987 0,3304 0,2689 0,3922 0,6441 0,9663 1,3120 1,6528 1,9777 2,2725 2,5001 2,6072 2,5511 2,3195 1,9487 1,5318 1,1818 0,9624 0,8663 0,8558 0,9015 0,9711 1,0144 0,9921 0,9037 0,7703 0,6082 0,4241 0,2199 0,0084 -0,1701 -0,2597 -0,2232 -0,0624 0,1859 0,4650 0,7112 0,8717 0,9194 0,8601 0,7415 0,6439 0,6303 0,7072 0,8448 1,0117 1,1751 1,2942 1,3435 1,3394 1,3206 1,3057 1,2867 1,2487 1,1777 1,0699 0,9503 0,8665 0,8473 0,8862 0,9702 1,1017 1,2830 1,4957 1,7005 1,8519 1,9164 1,8823 1,7605 1,5754 1,3491 1,0916 0,8109 0,5294 0,2844 0,1101 0,0168 -0,0117 -0,0012 0,0289 0,0660 0,0955 0,1008 0,0747 0,0275 -0,0193 -0,0461 -0,0447 -0,0165 0,0431 0,1507 0,3156 0,5237 0,7407 0,9248 1,0445 1,0912 1,0749 1,0159 0,9466 0,9090 0,9250 0,9687 0,9779 0,8883 0,6701 0,3541 0,0207 -0,2402 -0,3648 -0,3352 -0,1835 0,0252 0,2268 0,4018 0,5871 0,8328 1,1458 1,4788 1,7694 1,9919 2,1699 2,3389 2,5026 2,6297 2,6879 2,6765 2,6283 2,5807 2,5423 2,4940 2,4245 2,3498 2,2938 2,2659 2,2529 2,2174 2,1089 1,8983 1,6194 1,3670 1,2337 1,2460 1,3614 1,5186 1,6874 1,8739 2,0947 2,3550 2,6318 2,8770 3,0611 3,2085 3,3649 3,5282 3,6364 3,6293 3,5049 3,3102 3,0993 2,9107 2,7628 2,6532 2,5616 2,4679 2,3714 2,2918 2,2456 2,2253 2,2138 2,2154 2,2562 2,3606 2,5301 2,7232 2,8610 2,8775 2,7644 2,5631 2,3305 2,1128 1,9299 1,7751 1,6327 1,4922 1,3423 1,1571 0,9002 0,5588 0,1769 -0,1632 -0,3993 -0,5155 -0,5172 -0,4118 -0,2225 0,0049 0,2268 0,4204 0,5786 0,6987 0,7735 0,7861 0,7142 0,5509 0,3184 0,0537 -0,2167 -0,4733 -0,6763 -0,7655 -0,7001 -0,4897 -0,1898 0,1218 0,3707 0,5059 0,5183 0,4564 0,4142 0,4842 0,7042 1,0347 1,3873 1,6750 1,8471 1,8967 1,8511 1,7522 1,6462 1,5779 1,5770 1,6433 1,7520 1,8750 1,9925 2,0896 2,1517 2,1668 2,1360 2,0875 2,0693 2,1230 2,2651 2,4822 2,7333 2,9595 3,1022 3,1214 3,0102 2,7988 2,5383 2,2761 2,0444 1,8625 1,7321 1,6252 1,4884 1,2758 0,9882 0,6821 0,4383 0,3164 0,3171 0,3721 0,3788 0,2586 -0,0024 -0,3539 -0,7122 -0,9957 -1,1483 -1,1561 -1,0535 -0,9081 -0,7863 -0,7238 -0,7237 -0,7667 -0,8189 -0,8487 -0,8502 -0,8428 -0,8463 -0,8679 -0,9086 -0,9668 -1,0284 -1,0610 -1,0267 -0,9050 -0,7068 -0,4650 -0,2156 0,0113 0,1863 0,2880 0,3312 0,3751 0,4830 0,6662 0,8701 1,0146 1,0471 0,9632 0,7885 0,5552 0,2955 0,0393 -0,1892 -0,3656 -0,4648 -0,4788 -0,4327 -0,3719 -0,3387 -0,3652 -0,4763 -0,6830 -0,9659 -1,2694 -1,5253 -1,6895 -1,7494 -1,7110 -1,5926 -1,4243 -1,2369 -1,0550 -0,9040 -0,8064 -0,7631 -0,7506 -0,7432
