Fp1   1,4314 1,2864 1,0072 0,6695 0,3478 0,0590 -0,2099 -0,4505 -0,6354 -0,7376 -0,7282 -0,5919 -0,3692 -0,1678 -0,1150 -0,2808 -0,6234 -0,9953 -1,2148 -1,1644 -0,8390 -0,3163 0,3044 0,9346 1,4889 1,8752 2,0277 1,9539 1,7326 1,4578 1,1856 0,9305 0,7004 0,5171 0,3957 0,3170 0,2339 0,1048 -0,0795 -0,2960 -0,5121 -0,7079 -0,8727 -0,9987 -1,1002 -1,2111 -1,3432 -1,4631 -1,5111 -1,4263 -1,1742 -0,7841 -0,3689 -0,0846 -0,0454 -0,2756 -0,7243 -1,2800 -1,7707 -2,0019 -1,8345 -1,2364 -0,2870 0,8427 1,9364 2,8004 3,3161 3,4481 3,2220 2,7182 2,0902 1,5573 1,3291 1,4939 1,9415 2,3917 2,5345 2,1970 1,4280 0,4449 -0,5055 -1,2484 -1,6851 -1,7673 -1,5085 -1,0012 -0,3900 0,1921 0,6876 1,1437 1,6782 2,3790 3,2060 3,9768 4,4498 4,4555 3,9905 3,2001 2,2754 1,3595 0,5244 -0,1998 -0,7975 -1,2528 -1,5374 -1,6177 -1,4852 -1,1750 -0,7583 -0,3286 0,0159 0,1992 0,1943 0,0172 -0,2925 -0,6709 -1,0225 -1,2532 -1,3281 -1,2797 -1,1463 -0,9177 -0,5531 -0,0307 0,6265 1,3503 2,0505 2,6621 3,1840 3,6732 4,2005 4,7876 5,3618 5,7811 5,9475 5,9163 5,8882 6,0928 6,6672 7,6037 8,7772 10,0167 11,1701 12,1273 12,8175 13,2008 13,2607 13,0031 12,4533 11,6564 10,6919 9,6799 8,7670 8,1193 7,9116 8,2637 9,1501 10,3662 11,5854 12,4717 12,8046 12,5556 11,8652 10,9480 10,0039 9,1689 8,5037 8,0072 7,6344 7,3179 7,0072 6,6979 6,4190 6,2010 6,0800 6,1147 6,3476 6,7345 7,1343 7,3777 7,3516 7,0504 6,5753 6,0854 5,7258 5,5621 5,5526 5,5840 5,5536 5,4337 5,2747 5,1672 5,1889 5,3513 5,5807 5,7579 5,7846 5,6360 5,3703 5,0931 4,9137 4,9178 5,1486 5,5916 6,1613 6,7127 7,1132 7,3186 7,3699 7,3331 7,2593 7,1729 7,0730 6,9430 6,7556 6,4776 6,0995 5,6748 5,3266 5,1981 5,3638 5,7617 6,2118 6,5016 6,4607 6,0038 5,1599 4,0770 2,9766 2,0802 1,5436 1,4130 1,6151 1,9988 2,4110 2,7540 2,9981 3,1626 3,2926 3,4472 3,6919 4,0692 4,5587 5,0707 5,4915 5,7351 5,7547 5,5332 5,0877 4,4769 3,7874 3,1062 2,4908 1,9526 1,4878 1,1275 0,9232 0,8789 0,9411 1,0680 1,2833 1,6445 2,1692 2,7930 3,3799 3,7660 3,7997 3,3644 2,4184 1,0691 -0,3910 -1,5683 -2,1351 -1,9677 -1,1905 -0,1154 0,9001 1,6005 1,9124 1,9367 1,8592 1,8240 1,8574 1,8903 1,8280 1,6053 1,2182 0,7288 0,2356 -0,1809 -0,4853 -0,6722 -0,7523 -0,7649 -0,7912 -0,9383 -1,2854 -1,8218 -2,4261 -2,8999 -3,0465 -2,7704 -2,1451 -1,3996 -0,8095 -0,5507 -0,6362 -0,9864 -1,5212 -2,1539 -2,7416 -3,1089 -3,1431 -2,8553 -2,3559 -1,7929 -1,3020 -0,9628 -0,7758 -0,6857 -0,6273 -0,5591 -0,4829 -0,4581 -0,5879 -0,9566 -1,5520 -2,2443 -2,8316 -3,0974 -2,8706 -2,1061 -0,9363 0,3715 1,5158 2,2489 2,4389 2,1017 1,3721 0,4332 -0,5379 -1,3879 -1,9957 -2,2942 -2,2906 -2,0545 -1,6912 -1,3296 -1,0938 -1,0319 -1,0778 -1,1169 -1,0889 -1,0195 -0,9710 -0,9787 -1,0253 -1,0611 -1,0552 -1,0222 -0,9910 -0,9723 -0,9762 -1,0299 -1,1583 -1,3668 -1,6441 -1,9624 -2,2734 -2,5259 -2,6833 -2,7182 -2,6137 -2,3773 -2,0327 -1,6085 -1,1572 -0,7714 -0,5377 -0,4656 -0,4932 -0,5682 -0,6957 -0,9055 -1,2019 -1,5471 -1,8680 -2,0794 -2,1187 -1,9722 -1,6800 -1,3236 -0,9917 -0,7349 -0,5508 -0,4180 -0,3382 -0,3373 -0,4289 -0,5923 -0,7922 -1,0070 -1,2277 -1,4403 -1,6127 -1,7050 -1,7187 -1,7203 -1,7812 -1,8998 -1,9963 -1,9631 -1,7286 -1,3161 -0,8548 -0,5193 -0,4481 -0,6867 -1,1560 -1,6596 -1,9781 -2,0186 -1,8658 -1,6790 -1,5665 -1,5433 -1,5529 -1,5214 -1,4218 -1,3066 -1,2783 -1,4104 -1,6856 -2,0049 -2,2577 -2,3958 -2,4562 -2,5064 -2,5626 -2,5688 -2,4450 -2,1345 -1,6173 -0,9205 -0,1311 0,6104 1,1415 1,3102 1,0014 0,1936 -0,9739 -2,2268 -3,2847 -3,9644 -4,1958 -4,0098 -3,5299 -2,9357 -2,4097 -2,0910 -2,0342 -2,1882 -2,4184 -2,5691 -2,5333 -2,3081 -2,0011 -1,7577 -1,6568 -1,6591 -1,6410 -1,4890 -1,1880 -0,8516 -0,6800 -0,8642 -1,4716 -2,3857 -3,3615 -4,1801 -4,7813 -5,2492 -5,6787 -6,0726 -6,3462 -6,3852 -6,1063 -5,5077 -4,6823 -3,7821 -2,9551 -2,2987 -1,8542 -1,6384 -1,6741 -1,9727 -2,4871 -3,0911 -3,6048 -3,8481 -3,6994 -3,1288 -2,1947 -1,0270 0,1845 1,2180 1,8956 2,1880 2,2453 2,2773 2,3857 2,5160 2,5461 2,4077 2,1559 1,9608 2,0259 2,4741 3,2743 4,2512 5,1556 5,7450 5,8415 5,3511 4,2788 2,7667 1,1062 -0,3534 -1,3544 -1,8019 -1,7062 -1,0856 0,0552 1,6560 3,5350 5,4074 6,9637 7,9497 8,2266 7,8065 6,8526 5,6241 4,3682 3,2281 2,2341 1,3613 0,5860 -0,0907 -0,6464 -1,0543 -1,3040 -1,4135 -1,4310 -1,4262 -1,4627 -1,5645 -1,7054 -1,8320 -1,8922 -1,8401 -1,6257 -1,2068 -0,5903 0,1201 0,7091 0,9164 0,5748 -0,2893 -1,4784 -2,7296 -3,8115 -4,5661 -4,9055 -4,8031 -4,3044 -3,5230 -2,6043 -1,7000 -0,9644 -0,5252 -0,4277 -0,6236 -1,0188 -1,5128 -2,0052 -2,4110 -2,6972 -2,8856 -2,9960 -2,9995 -2,8390 -2,4812 -1,9412 -1,2801 -0,5959 -0,0032 0,4077 0,6197 0,7158 0,8600
Fz    0,1264 -0,3472 -0,7716 -1,0971 -1,3048 -1,4210 -1,4880 -1,5315 -1,5629 -1,5886 -1,6079 -1,6197 -1,6278 -1,6281 -1,5960 -1,4999 -1,3182 -1,0449 -0,6898 -0,2792 0,1485 0,5498 0,8900 1,1544 1,3380 1,4308 1,4296 1,3558 1,2459 1,1258 0,9979 0,8516 0,6889 0,5359 0,4335 0,4128 0,4754 0,5937 0,7349 0,8856 1,0423 1,1857 1,2806 1,2925 1,1895 0,9497 0,5820 0,1319 -0,3276 -0,7075 -0,9203 -0,9120 -0,6914 -0,3346 0,0448 0,3447 0,5110 0,5495 0,5151 0,4766 0,4776 0,5274 0,6174 0,7313 0,8395 0,8994 0,8769 0,7678 0,5963 0,4037 0,2437 0,1661 0,1873 0,2734 0,3541 0,3602 0,2589 0,0660 -0,1679 -0,3887 -0,5686 -0,7063 -0,8063 -0,8719 -0,9162 -0,9597 -1,0140 -1,0735 -1,1140 -1,0892 -0,9448 -0,6582 -0,2676 0,1411 0,4734 0,6594 0,6701 0,5086 0,1904 -0,2602 -0,7980 -1,3496 -1,8294 -2,1736 -2,3657 -2,4340 -2,4274 -2,3923 -2,3629 -2,3611 -2,3929 -2,4401 -2,4621 -2,4232 -2,3272 -2,2204 -2,1524 -2,1381 -2,1588 -2,1860 -2,1920 -2,1410 -1,9845 -1,6769 -1,2048 -0,6051 0,0491 0,6865 1,2707 1,8053 2,3176 2,8407 3,3958 3,9811 4,5814 5,1880 5,8035 6,4359 7,0876 7,7425 8,3694 8,9449 9,4698 9,9597 10,4241 10,8597 11,2562 11,6024 11,8921 12,1289 12,3230 12,4822 12,6054 12,6854 12,7086 12,6523 12,4972 12,2466 11,9247 11,5599 11,1803 10,8271 10,5593 10,4359 10,4865 10,6917 10,9859 11,2836 11,5069 11,5994 11,5345 11,3203 10,9894 10,5825 10,1430 9,7206 9,3620 9,0892 8,8930 8,7534 8,6583 8,6014 8,5726 8,5636 8,5738 8,5953 8,5973 8,5388 8,3988 8,1853 7,9217 7,6390 7,3740 7,1573 7,0058 6,9269 6,9176 6,9645 7,0514 7,1618 7,2793 7,3916 7,4920 7,5845 7,6844 7,8035 7,9356 8,0567 8,1307 8,1270 8,0432 7,9071 7,7495 7,5796 7,3863 7,1591 6,9131 6,6916 6,5447 6,4971 6,5277 6,5800 6,5984 6,5574 6,4581 6,3024 6,0855 5,8163 5,5273 5,2585 5,0397 4,8823 4,7732 4,6724 4,5363 4,3511 4,1435 3,9598 3,8405 3,8101 3,8798 4,0460 4,2865 4,5629 4,8332 5,0743 5,2915 5,5004 5,6988 5,8577 5,9395 5,9232 5,8080 5,5964 5,2935 4,9284 4,5568 4,2286 3,9590 3,7334 3,5371 3,3739 3,2595 3,2028 3,1968 3,2226 3,2566 3,2744 3,2565 3,2046 3,1522 3,1508 3,2427 3,4456 3,7476 4,1087 4,4740 4,7916 5,0187 5,1266 5,1106 4,9833 4,7616 4,4645 4,1069 3,6886 3,2022 2,6569 2,0894 1,5458 1,0613 0,6590 0,3509 0,1298 -0,0345 -0,1857 -0,3528 -0,5234 -0,6405 -0,6309 -0,4478 -0,1037 0,3267 0,7380 1,0388 1,1831 1,1779 1,0625 0,8775 0,6567 0,4393 0,2670 0,1570 0,0916 0,0494 0,0322 0,0506 0,0980 0,1430 0,1422 0,0753 -0,0279 -0,1119 -0,1451 -0,1359 -0,1074 -0,0710 -0,0274 0,0168 0,0501 0,0699 0,0795 0,0765 0,0571 0,0144 -0,0759 -0,2405 -0,4705 -0,7186 -0,9380 -1,1103 -1,2389 -1,3272 -1,3696 -1,3606 -1,3011 -1,2002 -1,0774 -0,9472 -0,7877 -0,5449 -0,1842 0,2730 0,7573 1,1759 1,4384 1,4936 1,3589 1,1046 0,8144 0,5683 0,4304 0,4192 0,4972 0,6022 0,6747 0,6621 0,5286 0,2851 -0,0022 -0,2424 -0,3694 -0,3761 -0,3094 -0,2316 -0,1898 -0,2132 -0,3099 -0,4473 -0,5472 -0,5244 -0,3404 -0,0246 0,3473 0,6929 0,9586 1,1314 1,2230 1,2525 1,2505 1,2648 1,3379 1,4758 1,6428 1,7844 1,8576 1,8493 1,7743 1,6642 1,5607 1,5048 1,5152 1,5733 1,6316 1,6444 1,5973 1,5103 1,4167 1,3433 1,3066 1,3190 1,3987 1,5601 1,7891 2,0398 2,2577 2,3969 2,4227 2,3227 2,1229 1,8761 1,6280 1,3997 1,1908 0,9795 0,7364 0,4542 0,1581 -0,1156 -0,3406 -0,4962 -0,5532 -0,4803 -0,2676 0,0616 0,4619 0,8883 1,3133 1,7263 2,1140 2,4476 2,6987 2,8624 2,9563 2,9970 2,9772 2,8760 2,6848 2,4096 2,0623 1,6739 1,3079 1,0347 0,8950 0,8940 1,0120 1,2077 1,4259 1,6111 1,7226 1,7500 1,7149 1,6497 1,5809 1,5263 1,4921 1,4714 1,4590 1,4690 1,5319 1,6729 1,8878 2,1340 2,3408 2,4315 2,3497 2,0840 1,6801 1,2259 0,8110 0,4933 0,2934 0,2065 0,2133 0,2913 0,4287 0,6231 0,8655 1,1336 1,4032 1,6588 1,8887 2,0787 2,2169 2,3015 2,3451 2,3769 2,4344 2,5515 2,7480 3,0205 3,3399 3,6647 3,9590 4,1981 4,3720 4,4943 4,6101 4,7871 5,0772 5,4814 5,9516 6,4193 6,8263 7,1539 7,4341 7,7181 8,0248 8,3222 8,5495 8,6441 8,5625 8,3057 7,9232 7,4904 7,0907 6,8090 6,7124 6,8274 7,1363 7,5905 8,1276 8,6890 9,2312 9,7240 10,1399 10,4432 10,5976 10,5884 10,4338 10,1820 9,8970 9,6339 9,4176 9,2402 9,0683 8,8484 8,5279 8,0922 7,5845 7,0852 6,6714 6,3836 6,2137 6,1197 6,0499 5,9620 5,8316 5,6519 5,4290 5,1767 4,9109 4,6411 4,3648 4,0610 3,6959 3,2537 2,7675 2,3163 1,9867 1,8240 1,8074 1,8687 1,9329 1,9490 1,9032 1,8169 1,7244 1,6447 1,5769 1,5253 1,5143 1,5698 1,6938 1,8652 2,0582 2,2512 2,4246 2,5704 2,7047 2,8457 2,9786 3,0581 3,0450 2,9375 2,7759 2,6269 2,5600 2,6244 2,8357
F3    -0,2491 -0,6451 -1,0275 -1,2764 -1,3276 -1,2155 -1,0281 -0,8452 -0,7267 -0,7222 -0,8518 -1,0829 -1,3394 -1,5349 -1,6066 -1,5325 -1,3245 -1,0033 -0,5832 -0,0788 0,4753 1,0128 1,4550 1,7525 1,9022 1,9252 1,8438 1,6825 1,4753 1,2636 1,0784 0,9249 0,7891 0,6601 0,5442 0,4637 0,4337 0,4373 0,4390 0,4225 0,3952 0,3663 0,3390 0,3085 0,2432 0,0920 -0,1728 -0,5253 -0,8865 -1,1396 -1,1649 -0,8915 -0,3404 0,3689 1,0609 1,5691 1,7886 1,7116 1,4326 1,0968 0,8216 0,6561 0,5966 0,6169 0,6847 0,7710 0,8586 0,9364 0,9866 0,9977 0,9865 0,9837 0,9941 0,9893 0,9342 0,8133 0,6327 0,4057 0,1466 -0,1229 -0,3682 -0,5401 -0,5820 -0,4705 -0,2552 -0,0445 0,0580 0,0081 -0,1609 -0,3550 -0,4669 -0,4418 -0,3048 -0,1242 0,0462 0,1929 0,3296 0,4589 0,5460 0,5334 0,3788 0,0756 -0,3508 -0,8554 -1,3811 -1,8617 -2,2315 -2,4496 -2,5216 -2,4946 -2,4210 -2,3186 -2,1644 -1,9355 -1,6587 -1,4084 -1,2519 -1,2052 -1,2404 -1,3178 -1,4058 -1,4759 -1,4854 -1,3735 -1,0869 -0,6156 -0,0088 0,6526 1,3026 1,9068 2,4538 2,9534 3,4297 3,9060 4,4052 4,9515 5,5563 6,2128 6,9077 7,6131 8,2722 8,8211 9,2338 9,5325 9,7612 9,9573 10,1400 10,3141 10,4827 10,6539 10,8364 11,0314 11,2195 11,3516 11,3549 11,1595 10,7366 10,1323 9,4619 8,8562 8,4005 8,1209 8,0187 8,0963 8,3397 8,6918 9,0686 9,4008 9,6421 9,7510 9,7000 9,5036 9,2149 8,8903 8,5618 8,2348 7,8901 7,4884 6,9993 6,4433 5,9034 5,4899 5,2844 5,3120 5,5498 5,9327 6,3548 6,6999 6,8955 6,9307 6,8258 6,6083 6,3179 6,0080 5,7317 5,5239 5,3876 5,3010 5,2384 5,1833 5,1369 5,1250 5,1920 5,3898 5,7618 6,3142 6,9961 7,7076 8,3283 8,7576 8,9472 8,8981 8,6247 8,1284 7,4108 6,5158 5,5614 4,7170 4,1323 3,8711 3,8988 4,1228 4,4397 4,7602 5,0159 5,1619 5,1809 5,0915 4,9425 4,7840 4,6301 4,4461 4,1679 3,7406 3,1632 2,5171 1,9463 1,5905 1,5200 1,7206 2,1245 2,6455 3,1958 3,6921 4,0696 4,3060 4,4337 4,5094 4,5607 4,5669 4,4847 4,2800 3,9410 3,4715 2,8913 2,2594 1,6768 1,2420 1,0064 0,9679 1,0881 1,3163 1,6024 1,8951 2,1462 2,3232 2,4180 2,4446 2,4334 2,4221 2,4382 2,4779 2,5085 2,4987 2,4422 2,3588 2,2993 2,3402 2,5421 2,9037 3,3576 3,7943 4,1033 4,2176 4,1229 3,8295 3,3511 2,7184 2,0017 1,2977 0,6812 0,1755 -0,2393 -0,5934 -0,8949 -1,1223 -1,2395 -1,2177 -1,0466 -0,7348 -0,3122 0,1657 0,6270 1,0066 1,2661 1,4010 1,4419 1,4396 1,4257 1,3849 1,2757 1,0733 0,7832 0,4386 0,1049 -0,1380 -0,2438 -0,2274 -0,1522 -0,0918 -0,0832 -0,1032 -0,0896 0,0207 0,2616 0,6177 1,0228 1,3753 1,5687 1,5368 1,2827 0,8694 0,3904 -0,0574 -0,4116 -0,6746 -0,8858 -1,0633 -1,1898 -1,2478 -1,2439 -1,1914 -1,0835 -0,8981 -0,6306 -0,3142 -0,0120 0,2102 0,3222 0,3630 0,4282 0,5986 0,8722 1,1586 1,3191 1,2229 0,8170 0,1779 -0,5185 -1,0837 -1,3800 -1,3461 -1,0152 -0,4972 0,0809 0,6212 1,0566 1,3338 1,4155 1,3051 1,0587 0,7589 0,4680 0,2026 -0,0540 -0,3312 -0,6581 -1,0400 -1,4239 -1,6927 -1,7133 -1,4072 -0,7964 0,0000 0,8166 1,5155 2,0241 2,3162 2,3896 2,2781 2,0534 1,7790 1,4629 1,0695 0,5797 0,0372 -0,4619 -0,8148 -0,9473 -0,8263 -0,4693 0,0460 0,5874 0,9997 1,1620 1,0512 0,7549 0,4170 0,1669 0,0741 0,1430 0,3380 0,6061 0,8846 1,1173 1,2783 1,3717 1,4100 1,4071 1,3844 1,3577 1,3162 1,2303 1,0655 0,7790 0,3398 -0,2236 -0,8169 -1,3341 -1,7135 -1,9466 -2,0512 -2,0437 -1,9292 -1,7059 -1,3742 -0,9410 -0,4152 0,1917 0,8446 1,4697 1,9809 2,3244 2,4897 2,4884 2,3369 2,0574 1,6814 1,2341 0,7292 0,1927 -0,3211 -0,7514 -1,0520 -1,1826 -1,1071 -0,8178 -0,3525 0,2081 0,7539 1,1753 1,4032 1,4285 1,2919 1,0545 0,7583 0,4158 0,0431 -0,3046 -0,5385 -0,5769 -0,3956 -0,0510 0,3387 0,6357 0,7274 0,5644 0,1777 -0,3467 -0,9144 -1,4456 -1,8684 -2,1248 -2,2017 -2,1392 -1,9926 -1,8014 -1,5847 -1,3429 -1,0629 -0,7374 -0,3827 -0,0259 0,3197 0,6555 0,9858 1,3128 1,6319 1,9270 2,1700 2,3267 2,3742 2,3250 2,2325 2,1629 2,1606 2,2409 2,4134 2,7075 3,1533 3,7296 4,3528 4,9237 5,3829 5,7359 6,0443 6,3825 6,7805 7,2004 7,5572 7,7496 7,6980 7,3930 6,9048 6,3426 5,8213 5,4512 5,3111 5,4186 5,7375 6,2098 6,7708 7,3477 7,8641 8,2566 8,4894 8,5563 8,4800 8,3105 8,1082 7,9267 7,7995 7,7223 7,6500 7,5193 7,2757 6,8859 6,3418 5,6708 4,9381 4,2225 3,5862 3,0669 2,6816 2,4239 2,2657 2,1744 2,1276 2,1132 2,1234 2,1460 2,1577 2,1250 2,0120 1,7841 1,4111 0,8935 0,2941 -0,2650 -0,6543 -0,8065 -0,7440 -0,5465 -0,2973 -0,0566 0,1383 0,2664 0,3171 0,2872 0,1952 0,0971 0,0694 0,1637 0,3807 0,6793 1,0025 1,2956 1,5168 1,6658 1,7975 1,9753 2,2050 2,4241 2,5510 2,5424 2,4160 2,2344 2,0767 2,0152 2,0978
F7    0,6681 0,6504 0,5045 0,2745 0,0193 -0,2283 -0,4482 -0,6171 -0,7278 -0,7981 -0,8506 -0,9019 -0,9662 -1,0488 -1,1408 -1,2256 -1,2804 -1,2671 -1,1453 -0,9063 -0,5882 -0,2514 0,0643 0,3572 0,6352 0,8827 1,0695 1,1815 1,2317 1,2426 1,2216 1,1594 1,0553 0,9325 0,8233 0,7450 0,6882 0,6247 0,5370 0,4434 0,3756 0,3333 0,2817 0,1850 0,0188 -0,2254 -0,5242 -0,8222 -1,0578 -1,1839 -1,1724 -1,0191 -0,7609 -0,4819 -0,2816 -0,2205 -0,2876 -0,4080 -0,4797 -0,4181 -0,1882 0,1953 0,6869 1,2249 1,7365 2,1512 2,4275 2,5641 2,5827 2,5209 2,4464 2,4434 2,5538 2,7338 2,8724 2,8479 2,5802 2,0604 1,3563 0,5880 -0,1200 -0,6671 -0,9736 -0,9859 -0,6981 -0,1599 0,5392 1,2899 1,9885 2,5697 3,0176 3,3361 3,5200 3,5586 3,4480 3,2015 2,8567 2,4611 2,0462 1,6203 1,1863 0,7628 0,3851 0,0858 -0,1173 -0,2161 -0,2078 -0,1049 0,0476 0,1747 0,2042 0,1087 -0,0774 -0,2875 -0,4741 -0,6236 -0,7246 -0,7467 -0,6606 -0,4716 -0,2236 0,0357 0,2918 0,5594 0,8468 1,1350 1,3926 1,6103 1,8160 2,0531 2,3547 2,7381 3,2014 3,7207 4,2740 4,8684 5,5320 6,2893 7,1418 8,0443 8,8962 9,5772 10,0079 10,1844 10,1658 10,0322 9,8480 9,6522 9,4647 9,2958 9,1557 9,0593 9,0268 9,0819 9,2409 9,4982 9,8183 10,1374 10,3725 10,4401 10,2883 9,9284 9,4411 8,9451 8,5480 8,3103 8,2379 8,2926 8,4058 8,4960 8,5004 8,4030 8,2308 8,0293 7,8447 7,7134 7,6444 7,6025 7,5222 7,3481 7,0642 6,6926 6,2786 5,8847 5,5816 5,4157 5,3791 5,4206 5,4916 5,5775 5,6870 5,8282 5,9938 6,1588 6,2928 6,3795 6,4215 6,4326 6,4298 6,4256 6,4271 6,4348 6,4415 6,4431 6,4496 6,4774 6,5408 6,6396 6,7432 6,8053 6,8053 6,7558 6,6690 6,5348 6,3285 6,0368 5,6864 5,3513 5,1240 5,0720 5,2011 5,4475 5,7069 5,8773 5,8790 5,6587 5,2081 4,5877 3,9137 3,3102 2,8710 2,6444 2,6244 2,7507 2,9380 3,1223 3,2836 3,4340 3,5915 3,7648 3,9511 4,1400 4,3122 4,4366 4,4869 4,4719 4,4395 4,4362 4,4654 4,4858 4,4462 4,3249 4,1368 3,9037 3,6335 3,3346 3,0276 2,7241 2,4114 2,0785 1,7534 1,4981 1,3671 1,3719 1,4800 1,6351 1,7776 1,8537 1,8305 1,7211 1,5844 1,4877 1,4757 1,5711 1,7759 2,0558 2,3436 2,5657 2,6643 2,6114 2,4180 2,1283 1,8067 1,5218 1,3199 1,2055 1,1523 1,1314 1,1285 1,1429 1,1747 1,2211 1,2731 1,3096 1,2889 1,1562 0,8754 0,4616 -0,0116 -0,4302 -0,6764 -0,6811 -0,4627 -0,1193 0,2237 0,4683 0,5719 0,5394 0,4021 0,2136 0,0495 -0,0220 0,0127 0,1072 0,2061 0,2895 0,3661 0,4493 0,5380 0,6105 0,6477 0,6536 0,6399 0,6063 0,5486 0,4782 0,4290 0,4436 0,5453 0,7255 0,9574 1,2076 1,4387 1,6155 1,7011 1,6500 1,4377 1,1018 0,7266 0,3886 0,1302 -0,0297 -0,0831 -0,0367 0,0829 0,2407 0,4041 0,5360 0,6000 0,5961 0,5737 0,5877 0,6516 0,7395 0,8083 0,8083 0,7006 0,4896 0,2253 -0,0247 -0,1895 -0,2055 -0,0557 0,2082 0,4951 0,7214 0,8327 0,8044 0,6435 0,3854 0,0826 -0,2094 -0,4495 -0,6224 -0,7299 -0,7727 -0,7520 -0,6794 -0,5625 -0,3815 -0,1047 0,2573 0,6252 0,8840 0,9460 0,8001 0,5152 0,1931 -0,0892 -0,2966 -0,4234 -0,4851 -0,5122 -0,5287 -0,5280 -0,4761 -0,3477 -0,1614 0,0316 0,1954 0,3323 0,4590 0,5674 0,6140 0,5508 0,3654 0,0846 -0,2545 -0,6180 -0,9652 -1,2332 -1,3366 -1,2028 -0,8270 -0,2889 0,2837 0,7624 1,0505 1,1138 0,9964 0,7849 0,5448 0,2986 0,0423 -0,2419 -0,5697 -0,9279 -1,2748 -1,5668 -1,7750 -1,8791 -1,8562 -1,6816 -1,3429 -0,8589 -0,2912 0,2709 0,7456 1,0845 1,2693 1,2993 1,1994 1,0281 0,8501 0,6934 0,5409 0,3643 0,1518 -0,0997 -0,3911 -0,6914 -0,9215 -0,9961 -0,8824 -0,6143 -0,2707 0,0521 0,2689 0,3209 0,1793 -0,1407 -0,5671 -0,9874 -1,2896 -1,3989 -1,3019 -1,0493 -0,7203 -0,3706 -0,0072 0,3865 0,8031 1,1852 1,4405 1,4738 1,2184 0,6683 -0,1066 -0,9772 -1,8052 -2,4902 -2,9855 -3,2898 -3,4374 -3,4762 -3,4336 -3,3045 -3,0735 -2,7381 -2,3142 -1,8336 -1,3486 -0,9288 -0,6419 -0,5267 -0,5698 -0,7004 -0,8159 -0,8206 -0,6540 -0,3068 0,1817 0,7493 1,3347 1,8761 2,3060 2,5737 2,6880 2,7314 2,8053 2,9549 3,1495 3,3209 3,4201 3,4653 3,5523 3,7958 4,2428 4,8414 5,4779 6,0206 6,3536 6,4092 6,1728 5,6667 4,9607 4,1848 3,4886 2,9832 2,7320 2,7769 3,1494 3,8517 4,8247 5,9397 7,0323 7,9467 8,5592 8,7924 8,6350 8,1594 7,5006 6,7932 6,1172 5,4868 4,8704 4,2246 3,5356 2,8419 2,2143 1,7091 1,3448 1,1112 0,9869 0,9461 0,9631 1,0224 1,1216 1,2606 1,4315 1,6232 1,8260 2,0261 2,1924 2,2643 2,1669 1,8580 1,3658 0,7847 0,2359 -0,1822 -0,4231 -0,4875 -0,4022 -0,2081 0,0467 0,3181 0,5669 0,7490 0,8260 0,8049 0,7493 0,7357 0,8022 0,9353 1,0929 1,2341 1,3370 1,4155 1,5163 1,6805 1,8980 2,1103 2,2535 2,2985 2,2623 2,1970 2,1720 2,2548 2,4968
