Fp1   -0,9030 -0,7999 -0,7617 -0,7327 -0,6284 -0,4164 -0,1573 0,0288 0,0365 -0,1609 -0,5107 -0,9493 -1,4584 -2,0403 -2,6463 -3,1604 -3,4606 -3,4800 -3,2206 -2,7371 -2,1188 -1,4776 -0,9303 -0,5628 -0,3865 -0,3250 -0,2538 -0,0610 0,3062 0,8089 1,3221 1,6981 1,8433 1,7634 1,5597 1,3813 1,3540 1,5176 1,8095 2,1111 2,3136 2,3506 2,2030 1,9088 1,5670 1,3008 1,1909 1,2297 1,3344 1,4002 1,3441 1,1297 0,7734 0,3294 -0,1223 -0,4870 -0,6847 -0,6836 -0,5172 -0,2708 -0,0380 0,1277 0,2283 0,2976 0,3623 0,4320 0,5194 0,6406 0,7896 0,9307 1,0222 1,0370 0,9696 0,8413 0,7060 0,6457 0,7413 1,0217 1,4320 1,8606 2,1987 2,3762 2,3592 2,1402 1,7326 1,1635 0,4735 -0,2747 -0,9998 -1,6307 -2,1190 -2,4148 -2,4543 -2,1825 -1,5608 -0,5579 0,8355 2,5752 4,5731 6,7340 8,9618 11,1357 13,1221 14,8350 16,2736 17,5036 18,6204 19,7159 20,8414 21,9799 23,0566 23,9842 24,7114 25,2389 25,5991 25,8419 26,0263 26,1867 26,3070 26,3363 26,2045 25,8187 25,0779 23,9124 22,3099 20,3179 18,0330 15,5810 13,0860 10,6222 8,1808 5,6910 3,0838 0,3453 -2,4675 -5,2510 -7,8971 -10,3250 -12,5061 -14,4894 -16,3929 -18,3398 -20,3829 -22,4570 -24,3916 -25,9909 -27,1260 -27,7751 -28,0103 -27,9729 -27,8381 -27,7471 -27,7410 -27,7607 -27,6947 -27,4296 -26,8912 -26,0605 -24,9537 -23,6116 -22,1145 -20,5623 -19,0207 -17,5025 -16,0004 -14,5183 -13,0706 -11,6616 -10,2689 -8,8554 -7,4186 -6,0250 -4,7869 -3,7943 -3,0511 -2,4558 -1,8442 -1,0665 -0,0538 1,1574 2,4517 3,6902 4,7560 5,5796 6,1486 6,5084 6,7491 6,9621 7,1834 7,3696 7,4210 7,2366 6,7654 6,0339 5,1523 4,2876 3,5934 3,1420 2,9109 2,8122 2,7331 2,5752 2,2860 1,8708 1,3921 0,9418 0,5746 0,2746 -0,0026 -0,2769 -0,5401 -0,7768 -0,9660 -1,0699 -1,0375 -0,8162 -0,3586 0,3642 1,3333 2,4487 3,5306 4,3847 4,8950 5,0692 5,0113 4,8613 4,7396 4,7119 4,7863 4,9300 5,0808 5,1685 5,1549 5,0618 4,9668 4,9760 5,1805 5,6139 6,2425 6,9909 7,7775 8,5332 9,1997 9,7279 10,0862 10,2809 10,3653 10,4097 10,4586 10,5183 10,5679 10,5719 10,5020 10,3771 10,2902 10,3726 10,7135 11,3166 12,1173 13,0152 13,8908 14,6174 15,0924 15,2727 15,1932 14,9558 14,6808 14,4392 14,2254 13,9922 13,7141 13,4238 13,1870 13,0448 12,9848 12,9517 12,8714 12,6765 12,3194 11,7773 11,0634 10,2331 9,3610 8,5092 7,7195 7,0250 6,4383 5,9158 5,3513 4,6241 3,6737 2,5425 1,3645 0,3136 -0,4539 -0,8354 -0,7862 -0,3110 0,5336 1,6352 2,8461 4,0266 5,0702 5,9031 6,4924 6,8598 7,0636 7,1596 7,1908 7,1984 7,2124 7,2367 7,2676 7,3176 7,3999 7,5102 7,6371 7,7714 7,8952 7,9630 7,8916 7,5791 6,9600 6,0637 5,0244 4,0320 3,2507 2,7507 2,4984 2,4002 2,3555 2,2911 2,1684 1,9630 1,6482 1,2173 0,7122 0,2118 -0,2040 -0,4884 -0,6534 -0,7670 -0,9165 -1,1568 -1,4826 -1,8371 -2,1468 -2,3548 -2,4316 -2,3709 -2,1934 -1,9510 -1,7114 -1,5389 -1,4733 -1,5033 -1,5698 -1,6139 -1,6167 -1,6013 -1,6154 -1,7073 -1,9060 -2,2308 -2,7125 -3,3811 -4,2292 -5,1967 -6,1889 -7,1125 -7,9114 -8,5751 -9,1155 -9,5432 -9,8586 -10,0492 -10,0901 -9,9692 -9,7280 -9,4592 -9,2508 -9,1469 -9,1549 -9,2461 -9,3384 -9,3166 -9,0963 -8,6692 -8,1082 -7,5476 -7,1374 -6,9832 -7,1097 -7,4668 -7,9692 -8,5302 -9,0708 -9,5231 -9,8368 -9,9873 -9,9905 -9,9094 -9,8163 -9,7333 -9,6251 -9,4517 -9,2071 -8,9185 -8,6310 -8,3843 -8,1875 -8,0212 -7,8666 -7,7251 -7,6208 -7,5860 -7,6267 -7,6935 -7,7140 -7,6627 -7,5738 -7,4928 -7,4464 -7,4447 -7,4794 -7,5214 -7,5266 -7,4397 -7,2133 -6,8548 -6,4564 -6,1664 -6,1056 -6,2830 -6,5856 -6,8477 -6,9309 -6,7669 -6,3762 -5,8635 -5,3840 -5,0799 -5,0133 -5,1409 -5,3394 -5,4431 -5,2953 -4,8240 -4,0870 -3,2414 -2,4670 -1,8966 -1,5789 -1,4903 -1,5644 -1,7093 -1,8314 -1,8783 -1,8697 -1,8948 -2,0729 -2,4962 -3,1832 -4,0555 -4,9532 -5,6987 -6,1708 -6,3296 -6,1884 -5,7926 -5,2255 -4,6086 -4,0669 -3,6591 -3,3375 -2,9974 -2,5570 -1,9786 -1,2540 -0,4057 0,5059 1,3890 2,1452 2,7045 3,0580 3,2675 3,4399 3,6789 4,0494 4,5630 5,1787 5,8327 6,4823 7,1280 7,7978 8,5178 9,2851 10,0449 10,6924 11,1108 11,2078 10,9273 10,2597 9,2552 8,0163 6,6749 5,3656 4,1948 3,1965 2,3009 1,3643 0,2501 -1,0989 -2,6369 -4,2467 -5,8041 -7,2131 -8,4018 -9,3252 -9,9955 -10,4932 -10,9174 -11,3130 -11,6495 -11,8703 -11,9477 -11,8960 -11,7644 -11,6302 -11,5744 -11,6370 -11,8012 -12,0191 -12,2347 -12,3886 -12,4242 -12,3029 -12,0194 -11,5982 -11,0680 -10,4473 -9,7531 -9,0183 -8,3069 -7,7036 -7,2634 -6,9611 -6,6894 -6,3136 -5,7588 -5,0732 -4,4000 -3,8722 -3,5402 -3,3869 -3,3642 -3,3909 -3,3465 -3,1071 -2,6078 -1,8879 -1,0782 -0,3303 0,2628 0,7151 1,1391 1,6649 2,3382 3,0932 3,8120 4,3910 4,7710 4,9400 4,9288 4,8066 4,6608 4,5601 4,5324 4,5613 4,5837 4,5094 4,2721 3,8622 3,3186 2,7065 2,0957 1,5359 1,0521 0,6621 0,3805 0,2181 0,1849 0,2744 0,4382 0,5999 0,7042 0,7548 0,8042 0,9096 1,0973
Fz    -0,5121 -0,3454 -0,2617 -0,2651 -0,3220 -0,3913 -0,4519 -0,5045 -0,5605 -0,6326 -0,7343 -0,8846 -1,1063 -1,4049 -1,7395 -2,0241 -2,1649 -2,1008 -1,8218 -1,3696 -0,8269 -0,2982 0,1156 0,3490 0,3988 0,3247 0,2163 0,1537 0,1821 0,2992 0,4579 0,5915 0,6500 0,6245 0,5503 0,4857 0,4829 0,5671 0,7304 0,9376 1,1384 1,2810 1,3303 1,2871 1,1933 1,1141 1,1080 1,2003 1,3740 1,5793 1,7511 1,8305 1,7851 1,6173 1,3647 1,0902 0,8613 0,7264 0,6979 0,7475 0,8230 0,8757 0,8822 0,8497 0,8045 0,7777 0,7983 0,8861 1,0373 1,2168 1,3681 1,4316 1,3631 1,1531 0,8348 0,4761 0,1573 -0,0638 -0,1761 -0,2112 -0,2175 -0,2396 -0,3102 -0,4448 -0,6394 -0,8727 -1,1097 -1,3098 -1,4383 -1,4781 -1,4321 -1,3142 -1,1385 -0,9129 -0,6276 -0,2485 0,2666 0,9372 1,7476 2,6560 3,6035 4,5178 5,3285 5,9945 6,5188 6,9414 7,3205 7,7100 8,1331 8,5660 8,9440 9,1900 9,2538 9,1339 8,8694 8,5207 8,1510 7,8071 7,5049 7,2314 6,9492 6,6012 6,1304 5,5065 4,7416 3,8853 3,0044 2,1603 1,3913 0,6955 0,0259 -0,6822 -1,4692 -2,3284 -3,2105 -4,0434 -4,7610 -5,3261 -5,7424 -6,0560 -6,3426 -6,6735 -7,0808 -7,5385 -7,9699 -8,2814 -8,4047 -8,3199 -8,0565 -7,6815 -7,2824 -6,9385 -6,6906 -6,5273 -6,3922 -6,2025 -5,8772 -5,3631 -4,6473 -3,7606 -2,7754 -1,7816 -0,8502 -0,0102 0,7508 1,4701 2,1892 2,9419 3,7487 4,6086 5,4837 6,2996 6,9742 7,4585 7,7617 7,9436 8,0865 8,2618 8,5066 8,8143 9,1410 9,4239 9,6054 9,6542 9,5743 9,4014 9,1886 8,9812 8,7878 8,5737 8,2815 7,8670 7,3194 6,6604 5,9419 5,2400 4,6300 4,1535 3,8042 3,5380 3,2925 3,0105 2,6575 2,2283 1,7493 1,2699 0,8394 0,4862 0,2153 0,0155 -0,1350 -0,2614 -0,3811 -0,4952 -0,5903 -0,6414 -0,6156 -0,4828 -0,2357 0,0918 0,4229 0,6646 0,7497 0,6672 0,4626 0,2138 -0,0010 -0,1300 -0,1551 -0,0880 0,0354 0,1695 0,2844 0,3823 0,4947 0,6685 0,9484 1,3573 1,8810 2,4659 3,0343 3,5085 3,8352 3,9990 4,0238 3,9704 3,9231 3,9570 4,1029 4,3369 4,5942 4,7990 4,8997 4,8936 4,8311 4,7905 4,8410 5,0170 5,3111 5,6777 6,0410 6,3142 6,4283 6,3568 6,1259 5,8089 5,4998 5,2724 5,1512 5,1169 5,1324 5,1659 5,1978 5,2194 5,2323 5,2445 5,2610 5,2788 5,2837 5,2464 5,1277 4,8943 4,5336 4,0572 3,5014 2,9241 2,3873 1,9265 1,5301 1,1506 0,7372 0,2686 -0,2339 -0,7169 -1,1158 -1,3728 -1,4491 -1,3328 -1,0449 -0,6403 -0,1941 0,2220 0,5560 0,7813 0,9007 0,9506 0,9921 1,0877 1,2797 1,5808 1,9713 2,4038 2,8215 3,1829 3,4724 3,6963 3,8735 4,0245 4,1611 4,2765 4,3388 4,2984 4,1154 3,7909 3,3793 2,9706 2,6538 2,4827 2,4618 2,5525 2,6868 2,7866 2,7905 2,6721 2,4413 2,1415 1,8417 1,6143 1,5113 1,5490 1,7051 1,9312 2,1726 2,3874 2,5584 2,6992 2,8455 3,0356 3,2906 3,6068 3,9548 4,2872 4,5557 4,7289 4,8059 4,8201 4,8258 4,8664 4,9517 5,0570 5,1351 5,1323 5,0049 4,7252 4,2819 3,6885 2,9869 2,2388 1,5084 0,8464 0,2804 -0,1827 -0,5467 -0,8170 -0,9965 -1,0808 -1,0593 -0,9273 -0,7065 -0,4464 -0,2047 -0,0288 0,0497 0,0267 -0,0599 -0,1392 -0,1439 -0,0446 0,1402 0,3544 0,5308 0,6225 0,6207 0,5487 0,4402 0,3275 0,2428 0,2169 0,2649 0,3765 0,5163 0,6317 0,6744 0,6296 0,5276 0,4253 0,3781 0,4233 0,5712 0,8037 1,0820 1,3573 1,5825 1,7242 1,7721 1,7443 1,6857 1,6538 1,6913 1,7999 1,9413 2,0608 2,1070 2,0451 1,8712 1,6211 1,3629 1,1732 1,1046 1,1580 1,2787 1,3790 1,3807 1,2565 1,0421 0,8148 0,6597 0,6379 0,7617 0,9870 1,2325 1,4144 1,4789 1,4162 1,2597 1,0801 0,9636 0,9696 1,0983 1,2977 1,4931 1,6157 1,6234 1,5114 1,3106 1,0760 0,8681 0,7287 0,6642 0,6428 0,6071 0,4968 0,2735 -0,0585 -0,4456 -0,8071 -1,0709 -1,1922 -1,1554 -0,9758 -0,7012 -0,4021 -0,1472 0,0297 0,1464 0,2540 0,4052 0,6401 0,9799 1,4139 1,8952 2,3564 2,7344 2,9956 3,1461 3,2241 3,2801 3,3598 3,4931 3,6872 3,9226 4,1603 4,3606 4,5020 4,5900 4,6554 4,7386 4,8631 5,0165 5,1545 5,2152 5,1343 4,8663 4,4094 3,8119 3,1555 2,5290 2,0035 1,6079 1,3116 1,0376 0,7041 0,2609 -0,2904 -0,8991 -1,4936 -2,0116 -2,4120 -2,6794 -2,8336 -2,9328 -3,0484 -3,2234 -3,4513 -3,6902 -3,8888 -4,0034 -4,0099 -3,9144 -3,7513 -3,5673 -3,4007 -3,2699 -3,1711 -3,0817 -2,9664 -2,7837 -2,4995 -2,1020 -1,6083 -1,0602 -0,5099 -0,0073 0,4056 0,7006 0,8789 0,9824 1,0889 1,2854 1,6232 2,0804 2,5704 2,9949 3,2924 3,4485 3,4890 3,4752 3,4891 3,6022 3,8449 4,1973 4,6019 4,9921 5,3221 5,5894 5,8334 6,1059 6,4288 6,7792 7,1043 7,3444 7,4520 7,4057 7,2163 6,9270 6,6032 6,3099 6,0889 5,9464 5,8482 5,7320 5,5320 5,2039 4,7370 4,1575 3,5218 2,8954 2,3340 1,8724 1,5180 1,2530 1,0472 0,8679 0,6850 0,4819 0,2689 0,0857 -0,0132 0,0157 0,1813
F3    -0,3741 -0,2657 -0,2024 -0,1832 -0,1855 -0,1907 -0,2023 -0,2412 -0,3282 -0,4686 -0,6536 -0,8785 -1,1517 -1,4754 -1,8162 -2,1018 -2,2546 -2,2269 -2,0137 -1,6489 -1,1971 -0,7418 -0,3660 -0,1245 -0,0212 -0,0086 -0,0137 0,0303 0,1615 0,3736 0,6148 0,8131 0,9143 0,9088 0,8333 0,7485 0,7103 0,7482 0,8578 1,0084 1,1577 1,2642 1,3009 1,2700 1,2060 1,1583 1,1668 1,2427 1,3634 1,4829 1,5520 1,5393 1,4410 1,2773 1,0850 0,9083 0,7841 0,7285 0,7292 0,7489 0,7459 0,6992 0,6196 0,5392 0,4905 0,4921 0,5523 0,6731 0,8401 1,0157 1,1514 1,2082 1,1711 1,0565 0,9066 0,7737 0,7025 0,7106 0,7787 0,8645 0,9274 0,9403 0,8890 0,7702 0,5903 0,3620 0,1036 -0,1589 -0,3919 -0,5635 -0,6539 -0,6523 -0,5497 -0,3383 -0,0066 0,4674 1,1048 1,9040 2,8372 3,8634 4,9333 5,9844 6,9517 7,7922 8,4992 9,0969 9,6280 10,1370 10,6472 11,1414 11,5641 11,8495 11,9595 11,9022 11,7182 11,4626 11,1891 10,9293 10,6818 10,4234 10,1203 9,7286 9,2065 8,5354 7,7307 6,8354 5,9045 4,9915 4,1344 3,3369 2,5598 1,7425 0,8428 -0,1371 -1,1485 -2,1172 -2,9752 -3,6855 -4,2524 -4,7237 -5,1763 -5,6835 -6,2791 -6,9354 -7,5680 -8,0732 -8,3762 -8,4587 -8,3572 -8,1482 -7,9248 -7,7608 -7,6782 -7,6439 -7,5893 -7,4347 -7,1137 -6,5935 -5,8787 -5,0076 -4,0447 -3,0588 -2,0968 -1,1747 -0,2888 0,5678 1,3975 2,1996 2,9767 3,7310 4,4470 5,0834 5,5930 5,9568 6,2031 6,3986 6,6197 6,9250 7,3384 7,8434 8,3893 8,9077 9,3337 9,6247 9,7700 9,7921 9,7380 9,6530 9,5480 9,3910 9,1288 8,7222 8,1659 7,4902 6,7586 6,0604 5,4784 5,0516 4,7648 4,5652 4,3860 4,1701 3,8851 3,5271 3,1187 2,6998 2,3040 1,9421 1,6105 1,3086 1,0409 0,8115 0,6242 0,4879 0,4174 0,4315 0,5520 0,7958 1,1583 1,5976 2,0352 2,3862 2,5996 2,6807 2,6790 2,6575 2,6649 2,7216 2,8226 2,9468 3,0620 3,1361 3,1591 3,1535 3,1644 3,2425 3,4286 3,7408 4,1650 4,6531 5,1383 5,5572 5,8663 6,0487 6,1160 6,1112 6,1008 6,1473 6,2778 6,4753 6,6903 6,8644 6,9577 6,9712 6,9514 6,9668 7,0720 7,2874 7,6013 7,9753 8,3468 8,6402 8,7938 8,7866 8,6477 8,4451 8,2554 8,1263 8,0591 8,0229 7,9850 7,9342 7,8807 7,8412 7,8283 7,8453 7,8811 7,9089 7,8911 7,7903 7,5850 7,2787 6,8921 6,4491 5,9744 5,4987 5,0507 4,6360 4,2292 3,7894 3,2879 2,7307 2,1627 1,6537 1,2736 1,0740 1,0785 1,2808 1,6446 2,1091 2,6046 3,0724 3,4722 3,7808 3,9955 4,1416 4,2638 4,4046 4,5896 4,8250 5,0963 5,3702 5,6116 5,8020 5,9415 6,0375 6,0978 6,1298 6,1370 6,1109 6,0256 5,8435 5,5406 5,1322 4,6787 4,2624 3,9528 3,7793 3,7264 3,7482 3,7854 3,7822 3,7027 3,5356 3,2888 2,9909 2,6901 2,4382 2,2707 2,1972 2,2021 2,2527 2,3140 2,3632 2,3977 2,4352 2,5029 2,6246 2,8132 3,0684 3,3735 3,6933 3,9828 4,2030 4,3358 4,3952 4,4189 4,4414 4,4735 4,5019 4,4978 4,4296 4,2722 4,0065 3,6158 3,0954 2,4650 1,7700 1,0695 0,4179 -0,1480 -0,6110 -0,9669 -1,2179 -1,3665 -1,4106 -1,3442 -1,1714 -0,9252 -0,6643 -0,4458 -0,3063 -0,2622 -0,3048 -0,3878 -0,4373 -0,3875 -0,2121 0,0679 0,3929 0,6900 0,9030 1,0108 1,0250 0,9710 0,8746 0,7637 0,6682 0,6114 0,6033 0,6345 0,6740 0,6858 0,6595 0,6195 0,6021 0,6321 0,7171 0,8486 1,0056 1,1637 1,3030 1,4111 1,4813 1,5120 1,5094 1,4939 1,4995 1,5578 1,6728 1,8166 1,9463 2,0206 2,0110 1,9136 1,7548 1,5835 1,4538 1,4044 1,4399 1,5242 1,5924 1,5820 1,4709 1,2905 1,1065 0,9890 0,9874 1,1093 1,3136 1,5279 1,6812 1,7340 1,6908 1,5939 1,5123 1,5177 1,6477 1,8833 2,1616 2,4073 2,5606 2,5966 2,5293 2,4002 2,2647 2,1727 2,1477 2,1755 2,2078 2,1801 2,0370 1,7536 1,3503 0,8927 0,4669 0,1422 -0,0459 -0,0899 -0,0047 0,1731 0,3904 0,5948 0,7613 0,9052 1,0621 1,2604 1,5186 1,8506 2,2557 2,7084 3,1639 3,5761 3,9176 4,1906 4,4189 4,6321 4,8538 5,0980 5,3684 5,6564 5,9440 6,2118 6,4476 6,6522 6,8412 7,0321 7,2222 7,3790 7,4526 7,3954 7,1735 6,7793 6,2412 5,6171 4,9742 4,3732 3,8555 3,4260 3,0428 2,6347 2,1390 1,5318 0,8388 0,1227 -0,5475 -1,1213 -1,5702 -1,8859 -2,0869 -2,2212 -2,3437 -2,4816 -2,6227 -2,7363 -2,7984 -2,7991 -2,7413 -2,6439 -2,5385 -2,4523 -2,3949 -2,3575 -2,3202 -2,2588 -2,1477 -1,9635 -1,6914 -1,3309 -0,8972 -0,4204 0,0591 0,4987 0,8588 1,1099 1,2490 1,3119 1,3696 1,5053 1,7736 2,1626 2,5996 2,9986 3,3042 3,4988 3,5974 3,6460 3,7112 3,8537 4,1010 4,4349 4,8030 5,1483 5,4373 5,6758 5,9067 6,1806 6,5146 6,8788 7,2158 7,4657 7,5842 7,5541 7,3888 7,1293 6,8348 6,5636 6,3535 6,2097 6,1008 5,9714 5,7698 5,4705 5,0786 4,6256 4,1596 3,7276 3,3621 3,0788 2,8766 2,7435 2,6654 2,6250 2,5943 2,5425 2,4565 2,3531 2,2700 2,2421 2,2832
F7    -0,3738 -0,3904 -0,4362 -0,4775 -0,4728 -0,4017 -0,2813 -0,1598 -0,0968 -0,1357 -0,2832 -0,5147 -0,7974 -1,1010 -1,3895 -1,6184 -1,7533 -1,7853 -1,7230 -1,5752 -1,3501 -1,0714 -0,7829 -0,5276 -0,3217 -0,1496 0,0148 0,1892 0,3771 0,5643 0,7177 0,8019 0,8070 0,7635 0,7256 0,7386 0,8158 0,9368 1,0605 1,1439 1,1581 1,0982 0,9858 0,8635 0,7844 0,7924 0,8986 1,0724 1,2581 1,4020 1,4705 1,4561 1,3768 1,2646 1,1536 1,0697 1,0236 1,0086 1,0041 0,9835 0,9270 0,8331 0,7203 0,6198 0,5606 0,5549 0,5985 0,6806 0,7849 0,8874 0,9643 1,0037 1,0119 1,0116 1,0338 1,1051 1,2351 1,4089 1,5912 1,7450 1,8466 1,8876 1,8697 1,8008 1,6877 1,5284 1,3169 1,0592 0,7811 0,5191 0,3083 0,1821 0,1742 0,3109 0,6056 1,0606 1,6651 2,3866 3,1770 3,9922 4,8005 5,5768 6,3030 6,9748 7,5957 8,1642 8,6768 9,1383 9,5556 9,9216 10,2094 10,3912 10,4695 10,4837 10,4834 10,5018 10,5470 10,6003 10,6257 10,5899 10,4729 10,2603 9,9388 9,5007 8,9481 8,2917 7,5476 6,7372 5,8860 5,0121 4,1157 3,1883 2,2306 1,2608 0,3129 -0,5707 -1,3566 -2,0319 -2,6076 -3,1192 -3,6176 -4,1444 -4,7054 -5,2623 -5,7467 -6,0953 -6,2862 -6,3448 -6,3237 -6,2807 -6,2649 -6,2978 -6,3638 -6,4225 -6,4279 -6,3375 -6,1194 -5,7569 -5,2511 -4,6297 -3,9458 -3,2517 -2,5713 -1,9022 -1,2390 -0,5896 0,0235 0,5764 1,0643 1,5085 1,9326 2,3381 2,7077 3,0302 3,3158 3,5912 3,8833 4,2064 4,5593 4,9310 5,3079 5,6792 6,0408 6,3969 6,7503 7,0917 7,3998 7,6478 7,8056 7,8429 7,7383 7,4937 7,1386 6,7174 6,2788 5,8706 5,5255 5,2467 5,0121 4,7896 4,5527 4,2895 4,0063 3,7232 3,4657 3,2520 3,0798 2,9281 2,7745 2,6075 2,4264 2,2375 2,0588 1,9223 1,8611 1,8941 2,0230 2,2354 2,5048 2,7880 3,0296 3,1811 3,2258 3,1883 3,1180 3,0633 3,0513 3,0818 3,1349 3,1836 3,2014 3,1731 3,1096 3,0496 3,0426 3,1224 3,2909 3,5221 3,7773 4,0165 4,2080 4,3368 4,4066 4,4338 4,4344 4,4205 4,4063 4,4068 4,4251 4,4462 4,4456 4,4047 4,3258 4,2424 4,2140 4,2979 4,5118 4,8256 5,1854 5,5389 5,8399 6,0473 6,1364 6,1148 6,0233 5,9187 5,8491 5,8290 5,8321 5,8116 5,7335 5,5973 5,4327 5,2775 5,1582 5,0814 5,0356 5,0001 4,9490 4,8522 4,6908 4,4737 4,2313 3,9926 3,7734 3,5804 3,4106 3,2425 3,0369 2,7572 2,3946 1,9822 1,5890 1,2948 1,1598 1,2083 1,4295 1,7869 2,2286 2,6956 3,1348 3,5121 3,8148 4,0425 4,2025 4,3123 4,3938 4,4576 4,5000 4,5150 4,5024 4,4653 4,4092 4,3457 4,2877 4,2392 4,1939 4,1403 4,0652 3,9515 3,7772 3,5253 3,2008 2,8373 2,4847 2,1863 1,9612 1,8004 1,6779 1,5660 1,4433 1,3001 1,1415 0,9805 0,8242 0,6765 0,5452 0,4373 0,3525 0,2852 0,2293 0,1789 0,1303 0,0848 0,0497 0,0372 0,0603 0,1251 0,2288 0,3630 0,5166 0,6732 0,8128 0,9169 0,9761 0,9933 0,9784 0,9361 0,8605 0,7411 0,5693 0,3454 0,0813 -0,2108 -0,5325 -0,8967 -1,3120 -1,7724 -2,2555 -2,7298 -3,1699 -3,5616 -3,8965 -4,1675 -4,3693 -4,5008 -4,5650 -4,5722 -4,5476 -4,5235 -4,5190 -4,5313 -4,5476 -4,5527 -4,5221 -4,4224 -4,2311 -3,9554 -3,6333 -3,3201 -3,0671 -2,9027 -2,8219 -2,7958 -2,7968 -2,8158 -2,8568 -2,9203 -2,9939 -3,0539 -3,0779 -3,0601 -3,0091 -2,9277 -2,8050 -2,6300 -2,4077 -2,1614 -1,9274 -1,7436 -1,6341 -1,6009 -1,6251 -1,6764 -1,7284 -1,7698 -1,7990 -1,8138 -1,8137 -1,8092 -1,8168 -1,8476 -1,9019 -1,9729 -2,0496 -2,1196 -2,1690 -2,1805 -2,1379 -2,0378 -1,8980 -1,7544 -1,6417 -1,5701 -1,5233 -1,4768 -1,4129 -1,3262 -1,2290 -1,1510 -1,1268 -1,1758 -1,2866 -1,4171 -1,5110 -1,5167 -1,4045 -1,1835 -0,9058 -0,6453 -0,4669 -0,4015 -0,4367 -0,5269 -0,6140 -0,6458 -0,5959 -0,4765 -0,3360 -0,2400 -0,2447 -0,3755 -0,6198 -0,9342 -1,2555 -1,5230 -1,7011 -1,7824 -1,7788 -1,7132 -1,6125 -1,4986 -1,3834 -1,2609 -1,1079 -0,9034 -0,6476 -0,3542 -0,0358 0,2942 0,6177 0,9174 1,1840 1,4192 1,6360 1,8533 2,0865 2,3403 2,6093 2,8810 3,1395 3,3690 3,5606 3,7186 3,8620 4,0151 4,1885 4,3635 4,4961 4,5371 4,4507 4,2237 3,8709 3,4331 2,9631 2,5065 2,0918 1,7273 1,3970 1,0580 0,6563 0,1573 -0,4343 -1,0748 -1,7032 -2,2701 -2,7510 -3,1380 -3,4315 -3,6463 -3,8158 -3,9744 -4,1302 -4,2601 -4,3317 -4,3281 -4,2548 -4,1365 -4,0125 -3,9272 -3,9087 -3,9532 -4,0310 -4,1059 -4,1507 -4,1495 -4,0969 -3,9968 -3,8559 -3,6789 -3,4723 -3,2479 -3,0234 -2,8228 -2,6711 -2,5801 -2,5361 -2,4983 -2,4145 -2,2506 -2,0156 -1,7547 -1,5129 -1,3093 -1,1424 -1,0007 -0,8641 -0,7054 -0,5007 -0,2423 0,0573 0,3707 0,6696 0,9410 1,1971 1,4734 1,8033 2,1844 2,5725 2,9068 3,1404 3,2579 3,2761 3,2308 3,1620 3,1036 3,0743 3,0736 3,0861 3,0843 3,0374 2,9275 2,7612 2,5652 2,3726 2,2089 2,0819 1,9838 1,9003 1,8166 1,7271 1,6466 1,6012 1,6045 1,6473 1,7097 1,7752 1,8352 1,8866 1,9257
