Fp1   1,8037 1,8676 2,0222 2,2053 2,3328 2,3231 2,1565 1,9089 1,7034 1,6389 1,7708 2,1046 2,5544 2,9352 3,0412 2,7645 2,1832 1,5318 1,0334 0,7553 0,6326 0,5713 0,5000 0,3634 0,1145 -0,2641 -0,7440 -1,2555 -1,7085 -2,0313 -2,1981 -2,2160 -2,1114 -1,9293 -1,6995 -1,4112 -1,0677 -0,7295 -0,4696 -0,3316 -0,3381 -0,5051 -0,8455 -1,3599 -2,0080 -2,6927 -3,2926 -3,7155 -3,9292 -3,9648 -3,8780 -3,6870 -3,3720 -2,9539 -2,5259 -2,1864 -1,9604 -1,7819 -1,5398 -1,1558 -0,6340 -0,0554 0,4624 0,7936 0,8138 0,4461 -0,2735 -1,1986 -2,1381 -2,9192 -3,4295 -3,6403 -3,6098 -3,4437 -3,2135 -2,9227 -2,5782 -2,2638 -2,0952 -2,0975 -2,1697 -2,1873 -2,1096 -1,9588 -1,7436 -1,4647 -1,1656 -0,9356 -0,8678 -1,0037 -1,3012 -1,6757 -2,0599 -2,3901 -2,5771 -2,5550 -2,3479 -2,0600 -1,8059 -1,6594 -1,6478 -1,7598 -1,9396 -2,1222 -2,3141 -2,5829 -2,9358 -3,2759 -3,5085 -3,6389 -3,7482 -3,8971 -4,0582 -4,1291 -3,9940 -3,5969 -2,9973 -2,3686 -1,9195 -1,7907 -1,9912 -2,3888 -2,7474 -2,8369 -2,5769 -2,0810 -1,5534 -1,1488 -0,9032 -0,7426 -0,5630 -0,3377 -0,1417 -0,0763 -0,1946 -0,4880 -0,9084 -1,4059 -1,9587 -2,5529 -3,1551 -3,7431 -4,3212 -4,8569 -5,2472 -5,3897 -5,2739 -4,9895 -4,6459 -4,2964 -3,9521 -3,6326 -3,3561 -3,0998 -2,8203 -2,5087 -2,2098 -2,0045 -1,9706 -2,1337 -2,4374 -2,7492 -2,8966 -2,7349 -2,2235 -1,4546 -0,6061 0,1507 0,7366 1,1763 1,5291 1,8222 2,0564 2,2381 2,3762 2,4557 2,4373 2,2940 2,0333 1,6926 1,3348 1,0423 0,8969 0,9595 1,2445 1,6954 2,2089 2,7017 3,1553 3,5939 4,0193 4,3753 4,5863 4,6207 4,5027 4,2810 4,0313 3,8710 3,9007 4,1099 4,3717 4,5565 4,6579 4,7873 5,0216 5,2836 5,4144 5,3368 5,1090 4,8448 4,6303 4,5091 4,5004 4,6064 4,8025 5,0400 5,2654 5,4386 5,5459 5,5926 5,5811 5,5057 5,3745 5,2253 5,0975 4,9945 4,8878 4,7505 4,5837 4,4168 4,2840 4,1950 4,1302 4,0687 4,0159 3,9849 3,9472 3,8259 3,5572 3,1613 2,7583 2,5028 2,4877 2,6949 3,0180 3,3163 3,4767 3,4679 3,3447 3,1957 3,0992 3,1203 3,3056 3,6450 4,0469 4,3614 4,4435 4,2486 3,8875 3,5392 3,3022 3,1560 3,0320 2,8980 2,7894 2,7596 2,8152 2,9173 3,0217 3,1073 3,1879 3,2977 3,4661 3,6929 3,9078 3,9685 3,7616 3,3119 2,7541 2,2198 1,7853 1,4855 1,3293 1,2999 1,3458 1,3964 1,4253 1,4796 1,6192 1,8570 2,1846 2,6128 3,1341 3,6623 4,0606 4,2282 4,1443 3,8600 3,4677 3,0736 2,7861 2,7029 2,8746 3,2633 3,7472 4,1881 4,5007 4,6653 4,7083 4,6925 4,7002 4,7905 4,9702 5,2064 5,4465 5,6322 5,7287 5,7506 5,7273 5,6516 5,5073 5,3327 5,2030 5,1646 5,2172 5,3425 5,5298 5,7758 6,0603 6,3380 6,5833 6,8312 7,1444 7,5276 7,8847 8,0633 7,9432 7,4979 6,7925 5,9404 5,0719 4,3169 3,7701 3,4585 3,3514 3,3874 3,4906 3,5887 3,6480 3,6979 3,8137 4,0571 4,4215 4,8406 5,2417 5,5694 5,7788 5,8514 5,8131 5,7000 5,5267 5,3129 5,0981 4,8878 4,6239 4,2516 3,7940 3,3341 2,9371 2,5921 2,2306 1,8087 1,3691 1,0286 0,9090 1,0444 1,3468 1,6840 1,9842 2,2557 2,5387 2,8727 3,2941 3,8040 4,3249 4,7199 4,8564 4,6587 4,1377 3,3932 2,5782 1,8529 1,3430 1,0853 0,9975 0,9308 0,7605 0,4428 0,0493 -0,2413 -0,2555 0,0501 0,5825 1,1804 1,6771 1,9591 1,9960 1,8243 1,5184 1,1599 0,8094 0,5091 0,3193 0,3282 0,5825 0,9941 1,3558 1,4764 1,3066 0,9501 0,5837 0,3627 0,3561 0,5246 0,7482 0,9025 0,9534 0,9852 1,1172 1,3955 1,7691 2,1454 2,4534 2,6773 2,8538 3,0280 3,2056 3,3535 3,4414 3,4746 3,4930 3,5497 3,6837 3,9027 4,1803 4,4565 4,6420 4,6453 4,4154 3,9551 3,3069 2,5733 1,9375 1,5866 1,5852 1,8475 2,2172 2,5507 2,7503 2,7896 2,7310 2,6701 2,6413 2,6007 2,4800 2,2309 1,8582 1,4489 1,1396 1,0315 1,1382 1,3946 1,6899 1,9088 1,9670 1,8168 1,4375 0,8328 0,0517 -0,7667 -1,4060 -1,6948 -1,6123 -1,2704 -0,8408 -0,4873 -0,3020 -0,2833 -0,3749 -0,5192 -0,6786 -0,8254 -0,9469 -1,0793 -1,3019 -1,6593 -2,1117 -2,5829 -3,0068 -3,3089 -3,4125 -3,3041 -3,0565 -2,7552 -2,4321 -2,0861 -1,7307 -1,4114 -1,1917 -1,1083 -1,1495 -1,3001 -1,5897 -2,0675 -2,7325 -3,4956 -4,2084 -4,7507 -5,0929 -5,2543 -5,2287 -4,9967 -4,5812 -4,0478 -3,4718 -2,9154 -2,3954 -1,8612 -1,2528 -0,5905 0,0233 0,4773 0,7057 0,7052 0,5093 0,1414 -0,3808 -1,0031 -1,6287 -2,1452 -2,4488 -2,4753 -2,2335 -1,8022 -1,3002 -0,8548 -0,5610 -0,4536 -0,5261 -0,7555 -1,0763 -1,3585 -1,4732 -1,4130 -1,3406 -1,4813 -1,9452 -2,6755 -3,5346 -4,3713 -5,0369 -5,4222 -5,5067 -5,3547 -5,0574 -4,6828 -4,2789 -3,9046 -3,6292 -3,4826 -3,4050 -3,2706 -2,9889 -2,5704 -2,0979 -1,6742 -1,3987 -1,3515 -1,5732 -2,0460 -2,6892 -3,3931 -4,0755 -4,7070 -5,2882 -5,8076 -6,2242 -6,4885 -6,5712 -6,4870 -6,3101 -6,1298 -5,9533 -5,6710 -5,1497 -4,3513 -3,3707 -2,3969 -1,6328 -1,2079
Fz    3,1133 2,8344 2,6147 2,4397 2,2615 2,0247 1,7206 1,4115 1,1899 1,1242 1,2431 1,5319 1,9183 2,2777 2,4786 2,4396 2,1737 1,7821 1,3814 1,0251 0,7066 0,4168 0,1753 0,0046 -0,1028 -0,1868 -0,2989 -0,4690 -0,6892 -0,9330 -1,1781 -1,3952 -1,5427 -1,5944 -1,5550 -1,4464 -1,3027 -1,1674 -1,0765 -1,0506 -1,1002 -1,2330 -1,4591 -1,7846 -2,1952 -2,6449 -3,0676 -3,4063 -3,6367 -3,7730 -3,8441 -3,8498 -3,7591 -3,5675 -3,3286 -3,1162 -2,9696 -2,8796 -2,8105 -2,7227 -2,5871 -2,3954 -2,1667 -1,9483 -1,8106 -1,8182 -1,9855 -2,2693 -2,5978 -2,8976 -3,1120 -3,2241 -3,2651 -3,2836 -3,2960 -3,2839 -3,2477 -3,2391 -3,3161 -3,4650 -3,5892 -3,5884 -3,4389 -3,1863 -2,8891 -2,5919 -2,3315 -2,1459 -2,0753 -2,1443 -2,3322 -2,5794 -2,8232 -3,0044 -3,0628 -2,9678 -2,7558 -2,5174 -2,3437 -2,2757 -2,2966 -2,3575 -2,4066 -2,4220 -2,4466 -2,5639 -2,8075 -3,1191 -3,4116 -3,6507 -3,8603 -4,0647 -4,2412 -4,3233 -4,2323 -3,9166 -3,3883 -2,7343 -2,0867 -1,5661 -1,2257 -1,0259 -0,8554 -0,6052 -0,2495 0,1395 0,4553 0,6330 0,6781 0,6511 0,6157 0,5804 0,4953 0,3070 -0,0013 -0,4133 -0,8951 -1,4086 -1,9263 -2,4236 -2,8643 -3,2189 -3,4907 -3,6951 -3,8238 -3,8529 -3,7841 -3,6628 -3,5460 -3,4565 -3,3798 -3,2976 -3,2052 -3,0952 -2,9507 -2,7701 -2,5820 -2,4344 -2,3716 -2,4086 -2,5151 -2,6124 -2,5881 -2,3397 -1,8334 -1,1298 -0,3536 0,3717 0,9831 1,4814 1,8802 2,1696 2,3404 2,4219 2,4700 2,5142 2,5332 2,4880 2,3623 2,1688 1,9409 1,7285 1,5936 1,6017 1,7982 2,1763 2,6750 3,2098 3,7047 4,1041 4,3731 4,4927 4,4604 4,2965 4,0419 3,7485 3,4898 3,3626 3,4351 3,6847 4,0024 4,2733 4,4667 4,6403 4,8459 5,0517 5,1788 5,1890 5,1107 5,0004 4,9058 4,8603 4,8905 5,0115 5,2108 5,4397 5,6330 5,7496 5,7943 5,7954 5,7686 5,7036 5,5823 5,4037 5,1855 4,9481 4,7078 4,4793 4,2774 4,1161 4,0074 3,9579 3,9593 3,9910 4,0345 4,0719 4,0666 3,9636 3,7277 3,3838 3,0143 2,7117 2,5299 2,4675 2,4812 2,5072 2,4819 2,3692 2,1814 1,9679 1,7898 1,7092 1,7742 1,9775 2,2318 2,4084 2,4099 2,2280 1,9458 1,6708 1,4626 1,3264 1,2525 1,2437 1,3114 1,4490 1,6186 1,7679 1,8536 1,8523 1,7684 1,6374 1,5163 1,4509 1,4261 1,3609 1,1827 0,8981 0,5712 0,2524 -0,0462 -0,3242 -0,5644 -0,7333 -0,8111 -0,8123 -0,7598 -0,6556 -0,4922 -0,2677 0,0243 0,3951 0,8276 1,2473 1,5531 1,6751 1,5997 1,3668 1,0554 0,7596 0,5701 0,5590 0,7560 1,1259 1,5778 2,0090 2,3439 2,5436 2,6110 2,5974 2,5827 2,6292 2,7515 2,9270 3,1205 3,2946 3,4165 3,4644 3,4216 3,2763 3,0489 2,8121 2,6601 2,6547 2,8012 3,0576 3,3633 3,6684 3,9376 4,1399 4,2645 4,3476 4,4577 4,6333 4,8384 4,9857 4,9989 4,8556 4,5787 4,2027 3,7602 3,2945 2,8631 2,5182 2,2843 2,1449 2,0512 1,9594 1,8650 1,8010 1,8108 1,9229 2,1339 2,4106 2,7069 2,9706 3,1474 3,2030 3,1413 2,9836 2,7476 2,4622 2,1713 1,8939 1,6054 1,2805 0,9297 0,5874 0,2795 0,0036 -0,2666 -0,5478 -0,8160 -1,0083 -1,0612 -0,9656 -0,7869 -0,6156 -0,5003 -0,4322 -0,3782 -0,3098 -0,2041 -0,0490 0,1368 0,3049 0,3977 0,3682 0,1978 -0,0970 -0,4770 -0,8928 -1,2896 -1,6324 -1,9338 -2,2420 -2,6029 -3,0226 -3,4433 -3,7583 -3,8825 -3,8139 -3,6244 -3,4096 -3,2468 -3,1713 -3,1780 -3,2413 -3,3317 -3,4244 -3,5034 -3,5556 -3,5553 -3,4604 -3,2518 -2,9879 -2,7943 -2,7776 -2,9491 -3,2251 -3,4944 -3,6805 -3,7566 -3,7378 -3,6746 -3,6311 -3,6362 -3,6526 -3,6078 -3,4576 -3,2130 -2,9174 -2,6114 -2,3104 -2,0027 -1,6728 -1,3316 -1,0133 -0,7470 -0,5386 -0,3749 -0,2373 -0,1181 -0,0292 0,0071 -0,0235 -0,1218 -0,2853 -0,5167 -0,8226 -1,1979 -1,5999 -1,9455 -2,1589 -2,2229 -2,1805 -2,1018 -2,0586 -2,1098 -2,2763 -2,5174 -2,7563 -2,9380 -3,0616 -3,1739 -3,3475 -3,6356 -4,0148 -4,3856 -4,6461 -4,7643 -4,7900 -4,8159 -4,9266 -5,1667 -5,5377 -6,0115 -6,5418 -7,0646 -7,4891 -7,7165 -7,7012 -7,4861 -7,1697 -6,8584 -6,6422 -6,5788 -6,6871 -6,9466 -7,2958 -7,6445 -7,9120 -8,0703 -8,1678 -8,3047 -8,5613 -8,9430 -9,3912 -9,8214 -10,1457 -10,2932 -10,2417 -10,0259 -9,7078 -9,3500 -9,0033 -8,6936 -8,4259 -8,2031 -8,0285 -7,9016 -7,8326 -7,8500 -7,9792 -8,2155 -8,5148 -8,8064 -9,0309 -9,1717 -9,2367 -9,2200 -9,1051 -8,8922 -8,5957 -8,2279 -7,8021 -7,3371 -6,8402 -6,3094 -5,7689 -5,2772 -4,8962 -4,6681 -4,6094 -4,7204 -4,9981 -5,4207 -5,9273 -6,4330 -6,8532 -7,1081 -7,1354 -6,9190 -6,5016 -5,9729 -5,4468 -5,0309 -4,7911 -4,7423 -4,8643 -5,1093 -5,3952 -5,6270 -5,7581 -5,8340 -5,9576 -6,2001 -6,5581 -6,9846 -7,4193 -7,7899 -8,0236 -8,0831 -7,9848 -7,7780 -7,5162 -7,2508 -7,0369 -6,9217 -6,9138 -6,9649 -6,9961 -6,9541 -6,8379 -6,6808 -6,5328 -6,4540 -6,4980 -6,6909 -7,0217 -7,4449 -7,8987 -8,3321 -8,7232 -9,0768 -9,4005 -9,6812 -9,8829 -9,9641 -9,9078 -9,7410 -9,5136 -9,2462 -8,9087 -8,4538 -7,8660 -7,1908 -6,5310 -6,0110 -5,7199
F3    2,0515 1,9185 1,8380 1,7869 1,7141 1,5652 1,3360 1,0960 0,9451 0,9595 1,1776 1,5936 2,1316 2,6468 2,9815 3,0367 2,8223 2,4489 2,0433 1,6635 1,2981 0,9264 0,5524 0,1930 -0,1439 -0,4654 -0,7866 -1,1106 -1,4131 -1,6619 -1,8381 -1,9250 -1,9022 -1,7705 -1,5551 -1,2837 -0,9912 -0,7311 -0,5555 -0,4961 -0,5650 -0,7623 -1,0836 -1,5192 -2,0374 -2,5733 -3,0431 -3,3778 -3,5504 -3,5845 -3,5289 -3,4044 -3,1923 -2,8897 -2,5441 -2,2180 -1,9423 -1,7084 -1,4896 -1,2637 -1,0256 -0,7912 -0,5929 -0,4754 -0,4959 -0,6987 -1,0733 -1,5507 -2,0378 -2,4442 -2,7057 -2,8112 -2,8089 -2,7667 -2,7139 -2,6375 -2,5418 -2,4867 -2,5419 -2,6997 -2,8568 -2,9015 -2,8020 -2,5984 -2,3412 -2,0665 -1,8115 -1,6270 -1,5705 -1,6743 -1,9091 -2,2019 -2,4863 -2,7110 -2,8261 -2,8061 -2,6834 -2,5362 -2,4414 -2,4317 -2,4888 -2,5658 -2,6115 -2,6027 -2,5832 -2,6375 -2,7981 -3,0071 -3,1882 -3,3302 -3,4834 -3,6854 -3,9028 -4,0411 -3,9973 -3,7148 -3,2194 -2,6206 -2,0676 -1,6792 -1,4887 -1,4297 -1,3673 -1,1761 -0,8256 -0,3972 -0,0135 0,2490 0,3930 0,4814 0,5770 0,6814 0,7380 0,6917 0,5264 0,2570 -0,0876 -0,4789 -0,9024 -1,3443 -1,7714 -2,1511 -2,4789 -2,7529 -2,9374 -2,9813 -2,8723 -2,6576 -2,4059 -2,1606 -1,9377 -1,7528 -1,6188 -1,5192 -1,4162 -1,2918 -1,1682 -1,0917 -1,1033 -1,2081 -1,3623 -1,4781 -1,4396 -1,1456 -0,5682 0,2205 1,0793 1,8689 2,5185 3,0322 3,4349 3,7310 3,9229 4,0450 4,1487 4,2496 4,3097 4,2817 4,1528 3,9422 3,6854 3,4316 3,2431 3,1854 3,3014 3,5828 3,9722 4,4017 4,8243 5,2113 5,5326 5,7504 5,8380 5,8029 5,6803 5,5125 5,3590 5,3066 5,4191 5,6703 5,9497 6,1490 6,2545 6,3461 6,4901 6,6529 6,7435 6,7159 6,6013 6,4625 6,3512 6,2998 6,3292 6,4469 6,6338 6,8424 7,0178 7,1261 7,1657 7,1504 7,0860 6,9621 6,7672 6,5106 6,2210 5,9260 5,6426 5,3831 5,1578 4,9750 4,8399 4,7500 4,6893 4,6362 4,5820 4,5247 4,4396 4,2769 4,0063 3,6637 3,3450 3,1497 3,1243 3,2457 3,4426 3,6280 3,7259 3,7039 3,5878 3,4335 3,2956 3,2235 3,2580 3,3967 3,5702 3,6708 3,6134 3,3940 3,1038 2,8613 2,7228 2,6683 2,6576 2,6813 2,7631 2,9178 3,1159 3,2975 3,4083 3,4222 3,3522 3,2443 3,1601 3,1430 3,1727 3,1612 3,0299 2,7866 2,5042 2,2482 2,0425 1,8837 1,7664 1,6938 1,6629 1,6547 1,6598 1,6948 1,7784 1,9127 2,1005 2,3589 2,6856 3,0187 3,2600 3,3383 3,2417 3,0149 2,7394 2,5040 2,3833 2,4317 2,6730 3,0785 3,5650 4,0322 4,4035 4,6363 4,7255 4,7136 4,6769 4,6790 4,7398 4,8474 4,9795 5,1065 5,1975 5,2331 5,2001 5,0840 4,8950 4,6939 4,5635 4,5545 4,6664 4,8632 5,1000 5,3425 5,5629 5,7310 5,8381 5,9271 6,0701 6,2987 6,5626 6,7575 6,7905 6,6256 6,2838 5,8111 5,2593 4,6875 4,1543 3,6983 3,3332 3,0539 2,8425 2,6835 2,5839 2,5740 2,6887 2,9387 3,2891 3,6701 4,0128 4,2669 4,3966 4,3898 4,2663 4,0522 3,7603 3,4156 3,0675 2,7436 2,4198 2,0645 1,6872 1,3293 1,0241 0,7665 0,5191 0,2570 0,0066 -0,1597 -0,1717 -0,0231 0,2131 0,4442 0,6262 0,7720 0,9151 1,0847 1,3082 1,6016 1,9445 2,2742 2,5085 2,5759 2,4454 2,1367 1,7040 1,2186 0,7557 0,3622 0,0259 -0,3066 -0,6842 -1,1147 -1,5407 -1,8515 -1,9580 -1,8617 -1,6432 -1,4071 -1,2396 -1,1798 -1,2156 -1,3102 -1,4289 -1,5486 -1,6578 -1,7472 -1,7892 -1,7290 -1,5279 -1,2332 -0,9779 -0,8894 -0,9977 -1,2277 -1,4639 -1,6199 -1,6663 -1,6271 -1,5666 -1,5549 -1,6130 -1,6860 -1,6890 -1,5830 -1,3977 -1,1942 -1,0194 -0,8794 -0,7404 -0,5612 -0,3315 -0,0748 0,1803 0,4217 0,6547 0,8885 1,1197 1,3252 1,4726 1,5361 1,5003 1,3536 1,0874 0,7004 0,2082 -0,3311 -0,8076 -1,1122 -1,2077 -1,1415 -1,0022 -0,8792 -0,8427 -0,9169 -1,0585 -1,1897 -1,2654 -1,3030 -1,3637 -1,5201 -1,8113 -2,1971 -2,5695 -2,8254 -2,9291 -2,9214 -2,8894 -2,9247 -3,0877 -3,3959 -3,8307 -4,3515 -4,8987 -5,3770 -5,6672 -5,6973 -5,4932 -5,1495 -4,7801 -4,4889 -4,3446 -4,3694 -4,5441 -4,8145 -5,1032 -5,3370 -5,4847 -5,5861 -5,7316 -5,9879 -6,3441 -6,7343 -7,0851 -7,3303 -7,4193 -7,3457 -7,1551 -6,9070 -6,6437 -6,3928 -6,1744 -6,0047 -5,9011 -5,8699 -5,8962 -5,9709 -6,1159 -6,3665 -6,7304 -7,1624 -7,5762 -7,8965 -8,1000 -8,1934 -8,1710 -8,0228 -7,7635 -7,4236 -7,0263 -6,5896 -6,1274 -5,6354 -5,1076 -4,5797 -4,1277 -3,8200 -3,6862 -3,7167 -3,8843 -4,1680 -4,5443 -4,9655 -5,3656 -5,6747 -5,8197 -5,7406 -5,4281 -4,9387 -4,3736 -3,8448 -3,4396 -3,2000 -3,1288 -3,2092 -3,4018 -3,6307 -3,8099 -3,9132 -4,0145 -4,2331 -4,6276 -5,1621 -5,7593 -6,3405 -6,8223 -7,1294 -7,2311 -7,1532 -6,9512 -6,6817 -6,3981 -6,1571 -6,0092 -5,9686 -5,9890 -5,9837 -5,8861 -5,6884 -5,4317 -5,1846 -5,0264 -5,0245 -5,2099 -5,5688 -6,0491 -6,5791 -7,0947 -7,5617 -7,9773 -8,3458 -8,6504 -8,8491 -8,8962 -8,7812 -8,5531 -8,2867 -8,0104 -7,6803 -7,2303 -6,6390 -5,9588 -5,3062 -4,8226 -4,6137
F7    1,3262 1,3371 1,3992 1,4607 1,4593 1,3509 1,1486 0,9296 0,7875 0,7866 0,9542 1,2730 1,6628 1,9938 2,1412 2,0435 1,7357 1,3349 0,9641 0,6738 0,4402 0,2254 0,0226 -0,1577 -0,3170 -0,4712 -0,6383 -0,8254 -1,0210 -1,2027 -1,3487 -1,4306 -1,4142 -1,2853 -1,0608 -0,7753 -0,4769 -0,2187 -0,0363 0,0562 0,0501 -0,0697 -0,3233 -0,7179 -1,2257 -1,7791 -2,2888 -2,6724 -2,8819 -2,9185 -2,8155 -2,5982 -2,2739 -1,8690 -1,4486 -1,0811 -0,7939 -0,5700 -0,3771 -0,1951 -0,0224 0,1290 0,2374 0,2697 0,1861 -0,0378 -0,3822 -0,7849 -1,1694 -1,4681 -1,6370 -1,6711 -1,6130 -1,5294 -1,4595 -1,3945 -1,3223 -1,2711 -1,2845 -1,3587 -1,4289 -1,4300 -1,3570 -1,2489 -1,1379 -1,0321 -0,9306 -0,8407 -0,7868 -0,7986 -0,8861 -1,0392 -1,2412 -1,4596 -1,6387 -1,7357 -1,7610 -1,7704 -1,8158 -1,9036 -1,9983 -2,0532 -2,0310 -1,9222 -1,7732 -1,6715 -1,6755 -1,7723 -1,9135 -2,0714 -2,2508 -2,4558 -2,6580 -2,7992 -2,8163 -2,6687 -2,3621 -1,9604 -1,5736 -1,3105 -1,2179 -1,2512 -1,3007 -1,2611 -1,0982 -0,8579 -0,6179 -0,4352 -0,3204 -0,2401 -0,1515 -0,0491 0,0306 0,0452 -0,0271 -0,1908 -0,4373 -0,7434 -1,0786 -1,4104 -1,7082 -1,9640 -2,1954 -2,4070 -2,5587 -2,5891 -2,4674 -2,2134 -1,8725 -1,4776 -1,0488 -0,6192 -0,2378 0,0664 0,2989 0,4735 0,5882 0,6236 0,5548 0,3748 0,1183 -0,1317 -0,2609 -0,1665 0,1899 0,7589 1,4294 2,0866 2,6626 3,1411 3,5169 3,7675 3,8774 3,8721 3,8081 3,7242 3,6167 3,4701 3,2888 3,0936 2,9088 2,7617 2,6825 2,7010 2,8351 3,0749 3,3884 3,7444 4,1195 4,4875 4,8095 5,0391 5,1393 5,0990 4,9333 4,6788 4,4063 4,2238 4,2201 4,3926 4,6412 4,8494 4,9776 5,0721 5,1816 5,2875 5,3322 5,2865 5,1686 5,0168 4,8710 4,7706 4,7495 4,8191 4,9536 5,0933 5,1752 5,1688 5,0877 4,9663 4,8284 4,6770 4,5110 4,3437 4,1966 4,0788 3,9804 3,8787 3,7513 3,5882 3,3942 3,1804 2,9548 2,7271 2,5196 2,3537 2,2179 2,0623 1,8405 1,5629 1,3053 1,1556 1,1523 1,2692 1,4408 1,5940 1,6746 1,6702 1,6151 1,5650 1,5639 1,6342 1,7802 1,9773 2,1644 2,2638 2,2247 2,0667 1,8823 1,7687 1,7551 1,8026 1,8582 1,9039 1,9632 2,0680 2,2250 2,4140 2,6001 2,7436 2,8157 2,8173 2,7858 2,7695 2,7728 2,7409 2,6223 2,4345 2,2450 2,1060 2,0233 1,9748 1,9447 1,9395 1,9687 2,0257 2,1061 2,2254 2,3972 2,6122 2,8520 3,1070 3,3630 3,5770 3,6943 3,6897 3,5814 3,4176 3,2524 3,1289 3,0813 3,1416 3,3260 3,6065 3,9065 4,1389 4,2479 4,2202 4,0869 3,9218 3,8079 3,7852 3,8343 3,9121 3,9870 4,0458 4,0869 4,1112 4,1068 4,0495 3,9318 3,7875 3,6719 3,6250 3,6592 3,7637 3,9117 4,0704 4,2050 4,2879 4,3221 4,3535 4,4441 4,6228 4,8568 5,0668 5,1725 5,1304 4,9356 4,6033 4,1605 3,6538 3,1465 2,7016 2,3634 2,1442 2,0234 1,9709 1,9810 2,0763 2,2816 2,5935 2,9693 3,3452 3,6711 3,9213 4,0797 4,1384 4,1084 4,0063 3,8416 3,6326 3,4109 3,1891 2,9459 2,6628 2,3558 2,0618 1,8039 1,5726 1,3418 1,1068 0,9032 0,7922 0,8234 0,9938 1,2405 1,4843 1,6823 1,8354 1,9589 2,0651 2,1718 2,2959 2,4287 2,5338 2,5669 2,4965 2,3179 2,0590 1,7667 1,4889 1,2625 1,0937 0,9478 0,7739 0,5423 0,2639 -0,0025 -0,1656 -0,1583 0,0070 0,2421 0,4342 0,5032 0,4370 0,2859 0,1221 0,0034 -0,0445 -0,0246 0,0506 0,1827 0,3891 0,6649 0,9445 1,1186 1,1020 0,8923 0,5672 0,2296 -0,0474 -0,2359 -0,3423 -0,4001 -0,4554 -0,5274 -0,5829 -0,5645 -0,4406 -0,2235 0,0497 0,3359 0,5987 0,8221 1,0090 1,1612 1,2712 1,3382 1,3820 1,4360 1,5239 1,6391 1,7440 1,7931 1,7597 1,6402 1,4413 1,1723 0,8448 0,4793 0,1201 -0,1618 -0,3042 -0,2958 -0,1789 -0,0157 0,1397 0,2497 0,3043 0,3317 0,3729 0,4355 0,4846 0,4675 0,3408 0,0977 -0,2057 -0,4705 -0,6191 -0,6413 -0,5894 -0,5447 -0,5751 -0,7082 -0,9351 -1,2308 -1,5665 -1,9046 -2,1801 -2,3084 -2,2412 -2,0097 -1,7053 -1,4313 -1,2645 -1,2353 -1,3321 -1,5180 -1,7383 -1,9268 -2,0284 -2,0326 -1,9947 -2,0093 -2,1462 -2,4072 -2,7376 -3,0576 -3,2827 -3,3487 -3,2411 -2,9949 -2,6611 -2,2868 -1,9179 -1,5963 -1,3549 -1,2165 -1,1824 -1,2372 -1,3820 -1,6498 -2,0698 -2,6208 -3,2178 -3,7438 -4,1086 -4,2879 -4,3064 -4,1975 -3,9919 -3,7250 -3,4271 -3,1157 -2,8039 -2,4963 -2,1701 -1,7927 -1,3718 -0,9643 -0,6351 -0,4256 -0,3488 -0,4044 -0,5952 -0,9133 -1,3169 -1,7361 -2,0912 -2,3016 -2,3097 -2,1101 -1,7507 -1,3122 -0,8862 -0,5503 -0,3484 -0,2947 -0,3883 -0,6040 -0,8745 -1,1163 -1,2926 -1,4465 -1,6608 -1,9802 -2,3818 -2,8106 -3,2134 -3,5410 -3,7479 -3,8141 -3,7552 -3,6045 -3,3954 -3,1646 -2,9590 -2,8227 -2,7672 -2,7532 -2,7161 -2,6193 -2,4707 -2,2980 -2,1347 -2,0197 -1,9895 -2,0653 -2,2491 -2,5212 -2,8438 -3,1804 -3,5126 -3,8340 -4,1302 -4,3700 -4,5152 -4,5336 -4,4177 -4,2031 -3,9472 -3,6768 -3,3695 -2,9896 -2,5311 -2,0334 -1,5766 -1,2601 -1,1582
