Fp1   -2,0834 -1,5636 -0,9364 -0,2566 0,3827 0,8849 1,1915 1,2911 1,1952 0,9215 0,5074 0,0277 -0,4185 -0,7451 -0,8998 -0,8586 -0,6251 -0,2454 0,1880 0,5636 0,7967 0,8608 0,7890 0,6485 0,5059 0,4035 0,3552 0,3494 0,3536 0,3240 0,2143 -0,0155 -0,3838 -0,8664 -1,3838 -1,8157 -2,0509 -2,0401 -1,8052 -1,4039 -0,8931 -0,3152 0,2875 0,8492 1,2829 1,5190 1,5421 1,3920 1,1369 0,8421 0,5456 0,2520 -0,0508 -0,3739 -0,7300 -1,1295 -1,5512 -1,9245 -2,1567 -2,1778 -1,9645 -1,5388 -0,9553 -0,2867 0,3846 0,9831 1,4691 1,8585 2,2034 2,5378 2,8432 3,0740 3,2111 3,2767 3,2986 3,2761 3,1954 3,0659 2,9266 2,8224 2,7744 2,7697 2,7723 2,7385 2,6285 2,4244 2,1423 1,8316 1,5656 1,4174 1,4162 1,5197 1,6349 1,6787 1,6299 1,5247 1,4100 1,3053 1,2065 1,1092 1,0126 0,8969 0,7046 0,3707 -0,1083 -0,6468 -1,1240 -1,4480 -1,5710 -1,4811 -1,1980 -0,7724 -0,2888 0,1449 0,4240 0,4687 0,2354 -0,2673 -0,9748 -1,7938 -2,6347 -3,4223 -4,0942 -4,6020 -4,9168 -5,0343 -4,9808 -4,8130 -4,5930 -4,3544 -4,0954 -3,8090 -3,5139 -3,2488 -3,0427 -2,8938 -2,7675 -2,6038 -2,3402 -1,9535 -1,4803 -0,9851 -0,5137 -0,0827 0,3114 0,6814 1,0360 1,3675 1,6593 1,9127 2,1672 2,4857 2,9164 3,4656 4,0981 4,7560 5,3878 5,9781 6,5559 7,1717 7,8626 8,6331 9,4547 10,2753 11,0255 11,6224 11,9920 12,1098 12,0145 11,7813 11,4957 11,2467 11,1121 11,1327 11,2956 11,5351 11,7570 11,8751 11,8351 11,6147 11,2187 10,6820 10,0651 9,4336 8,8310 8,2654 7,7198 7,1792 6,6581 6,2094 5,9016 5,7741 5,8060 5,9228 6,0284 6,0340 5,8859 5,5843 5,1745 4,7220 4,2940 3,9379 3,6575 3,4135 3,1574 2,8708 2,5827 2,3548 2,2426 2,2608 2,3792 2,5367 2,6533 2,6561 2,5247 2,3125 2,1086 1,9759 1,9282 1,9483 2,0147 2,1023 2,1749 2,1938 2,1341 1,9905 1,7683 1,4716 1,1107 0,7207 0,3585 0,0799 -0,0726 -0,0724 0,0677 0,2697 0,4158 0,4162 0,2497 -0,0446 -0,3934 -0,7213 -0,9854 -1,1937 -1,3911 -1,6169 -1,8659 -2,0850 -2,2000 -2,1499 -1,9217 -1,5746 -1,2277 -0,9995 -0,9434 -1,0292 -1,1859 -1,3727 -1,6053 -1,9062 -2,2388 -2,5029 -2,5952 -2,4719 -2,1678 -1,7710 -1,3803 -1,0698 -0,8792 -0,8187 -0,8747 -1,0219 -1,2425 -1,5257 -1,8466 -2,1525 -2,3736 -2,4495 -2,3532 -2,1033 -1,7569 -1,3803 -1,0213 -0,7063 -0,4526 -0,2716 -0,1585 -0,0856 -0,0193 0,0490 0,0957 0,0945 0,0447 -0,0321 -0,1078 -0,1603 -0,1789 -0,1556 -0,0721 0,0974 0,3691 0,7279 1,1195 1,4702 1,7273 1,8865 1,9917 2,1149 2,3215 2,6342 3,0295 3,4636 3,8929 4,2784 4,5841 4,7745 4,8243 4,7448 4,5976 4,4679 4,4101 4,4147 4,4285 4,3991 4,2952 4,0957 3,7861 3,3749 2,9056 2,4421 2,0377 1,7100 1,4410 1,2058 0,9961 0,8194 0,6909 0,6204 0,5934 0,5718 0,5237 0,4560 0,4191 0,4753 0,6672 1,0087 1,4820 2,0258 2,5321 2,8736 2,9539 2,7531 2,3382 1,8256 1,3195 0,8742 0,5045 0,2153 0,0136 -0,1071 -0,1889 -0,3117 -0,5538 -0,9288 -1,3572 -1,7037 -1,8504 -1,7511 -1,4389 -0,9979 -0,5251 -0,0997 0,2339 0,4718 0,6369 0,7528 0,8311 0,8778 0,9058 0,9481 1,0587 1,2907 1,6553 2,0962 2,5156 2,8353 3,0348 3,1395 3,1817 3,1796 3,1464 3,1090 3,1102 3,1868 3,3305 3,4641 3,4630 3,2176 2,6999 1,9799 1,1800 0,4146 -0,2392 -0,7331 -1,0259 -1,0765 -0,8701 -0,4532 0,0662 0,5631 0,9478 1,1873 1,2941 1,3072 1,2820 1,2741 1,3163 1,4010 1,4797 1,4805 1,3353 0,9959 0,4445 -0,2853 -1,0940 -1,8327 -2,3519 -2,5553 -2,4184 -1,9723 -1,2853 -0,4526 0,4138 1,2000 1,8152 2,2144 2,4090 2,4555 2,4208 2,3439 2,2253 2,0469 1,8070 1,5427 1,3222 1,2094 1,2240 1,3281 1,4397 1,4664 1,3514 1,1038 0,7967 0,5328 0,3918 0,3923 0,4941 0,6328 0,7714 0,9323 1,1730 1,5169 1,9096 2,2408 2,4091 2,3775 2,1944 1,9634 1,7794 1,6731 1,6043 1,4970 1,2787 0,9075 0,3920 -0,2036 -0,7859 -1,2698 -1,5940 -1,7157 -1,6176 -1,3330 -0,9491 -0,5708 -0,2814 -0,1251 -0,0988 -0,1567 -0,2378 -0,2955 -0,3101 -0,2920 -0,2703 -0,2712 -0,3093 -0,3927 -0,5176 -0,6596 -0,7907 -0,9044 -1,0189 -1,1578 -1,3320 -1,5205 -1,6606 -1,6723 -1,5041 -1,1589 -0,6847 -0,1435 0,4089 0,9200 1,3339 1,6050 1,7245 1,7328 1,7036 1,7170 1,8374 2,0918 2,4502 2,8381 3,1802 3,4325 3,5813 3,6207 3,5413 3,3517 3,0994 2,8588 2,7034 2,6863 2,8234 3,0732 3,3331 3,4769 3,4189 3,1560 2,7632 2,3588 2,0632 1,9625 2,0756 2,3416 2,6480 2,8835 2,9793 2,9209 2,7318 2,4560 2,1517 1,8853 1,7159 1,6688 1,7106 1,7558 1,7176 1,5576 1,2989 1,0098 0,7815 0,6974 0,8028 1,0925 1,5073 1,9433 2,2969 2,5084 2,5568 2,4400 2,1751 1,7986 1,3567 0,9064 0,5227 0,2842 0,2327 0,3366 0,4927 0,5726 0,4848 0,2132 -0,1882 -0,6360 -1,0489 -1,3515 -1,4832 -1,4240 -1,2048 -0,8932 -0,5697 -0,3109 -0,1818 -0,2240 -0,4343 -0,7562 -1,1107 -1,4405 -1,7253 -1,9752
Fz    -0,0854 0,3423 0,7576 1,1271 1,3976 1,5230 1,4946 1,3482 1,1485 0,9660 0,8592 0,8603 0,9577 1,0928 1,1841 1,1664 1,0160 0,7472 0,3964 0,0142 -0,3438 -0,6420 -0,8796 -1,0766 -1,2470 -1,3840 -1,4667 -1,4806 -1,4261 -1,3105 -1,1480 -0,9688 -0,8127 -0,7061 -0,6437 -0,5992 -0,5524 -0,5058 -0,4748 -0,4656 -0,4660 -0,4529 -0,4061 -0,3218 -0,2122 -0,0862 0,0677 0,2730 0,5446 0,8800 1,2594 1,6510 2,0201 2,3341 2,5560 2,6484 2,5923 2,3990 2,1041 1,7582 1,4199 1,1428 0,9577 0,8645 0,8428 0,8703 0,9393 1,0708 1,3126 1,7092 2,2678 2,9532 3,7079 4,4695 5,1730 5,7542 6,1665 6,3916 6,4371 6,3314 6,1125 5,8075 5,4194 4,9393 4,3711 3,7465 3,1177 2,5418 2,0748 1,7621 1,6224 1,6391 1,7738 1,9831 2,2238 2,4485 2,6085 2,6681 2,6231 2,5056 2,3707 2,2603 2,1666 2,0340 1,8089 1,4852 1,1079 0,7455 0,4587 0,2794 0,2021 0,1862 0,1678 0,0812 -0,1202 -0,4543 -0,9076 -1,4320 -1,9549 -2,4081 -2,7529 -2,9827 -3,1125 -3,1659 -3,1628 -3,1115 -3,0094 -2,8521 -2,6424 -2,3890 -2,1043 -1,8089 -1,5371 -1,3339 -1,2403 -1,2706 -1,3937 -1,5255 -1,5507 -1,3738 -0,9643 -0,3527 0,4059 1,2628 2,1874 3,1602 4,1533 5,1212 6,0156 6,8097 7,5085 8,1436 8,7559 9,3752 10,0051 10,6178 11,1629 11,5911 11,8794 12,0438 12,1344 12,2196 12,3682 12,6339 13,0437 13,5860 14,2054 14,8179 15,3428 15,7293 15,9692 16,0927 16,1459 16,1630 16,1569 16,1245 16,0573 15,9499 15,7974 15,5863 15,2989 14,9266 14,4793 13,9809 13,4506 12,8875 12,2771 11,6161 10,9295 10,2709 9,7016 9,2567 8,9159 8,6086 8,2553 7,8133 7,2980 6,7793 6,3541 6,1074 6,0859 6,2849 6,6426 7,0549 7,4131 7,6371 7,6871 7,5655 7,3200 7,0328 6,7932 6,6612 6,6395 6,6775 6,7154 6,7212 6,6837 6,5869 6,4040 6,1187 5,7475 5,3349 4,9312 4,5751 4,2926 4,1023 4,0106 3,9964 4,0102 3,9971 3,9172 3,7526 3,5094 3,2127 2,8829 2,5212 2,1305 1,7400 1,3999 1,1564 1,0275 0,9922 0,9978 0,9868 0,9294 0,8328 0,7247 0,6327 0,5804 0,5915 0,6804 0,8355 1,0146 1,1635 1,2397 1,2307 1,1544 1,0395 0,9094 0,7862 0,6976 0,6651 0,6874 0,7419 0,8020 0,8522 0,8924 0,9301 0,9664 0,9903 0,9857 0,9397 0,8412 0,6791 0,4426 0,1283 -0,2434 -0,6182 -0,9255 -1,1075 -1,1381 -1,0243 -0,8077 -0,5548 -0,3262 -0,1438 0,0123 0,1738 0,3514 0,5254 0,6680 0,7721 0,8582 0,9560 1,0819 1,2242 1,3460 1,4081 1,3923 1,3105 1,2010 1,1148 1,0989 1,1889 1,4050 1,7391 2,1485 2,5744 2,9666 3,2944 3,5467 3,7308 3,8654 3,9716 4,0700 4,1771 4,2979 4,4341 4,6067 4,8523 5,1768 5,5183 5,7693 5,8411 5,7093 5,4158 5,0451 4,6950 4,4459 4,3330 4,3306 4,3516 4,2759 4,0076 3,5249 2,8902 2,2224 1,6440 1,2262 0,9641 0,7963 0,6474 0,4595 0,2052 -0,1021 -0,4024 -0,6082 -0,6456 -0,4932 -0,1973 0,1422 0,4115 0,5264 0,4571 0,2277 -0,1015 -0,4564 -0,7712 -1,0081 -1,1654 -1,2675 -1,3530 -1,4662 -1,6360 -1,8467 -2,0340 -2,1187 -2,0499 -1,8209 -1,4543 -0,9809 -0,4360 0,1309 0,6509 1,0495 1,2769 1,3337 1,2684 1,1506 1,0448 1,0032 1,0617 1,2234 1,4431 1,6427 1,7542 1,7544 1,6631 1,5164 1,3466 1,1802 1,0398 0,9388 0,8728 0,8171 0,7386 0,6181 0,4677 0,3312 0,2637 0,2987 0,4239 0,5811 0,6897 0,6865 0,5618 0,3572 0,1286 -0,0837 -0,2582 -0,3818 -0,4409 -0,4228 -0,3265 -0,1711 0,0104 0,1873 0,3404 0,4605 0,5499 0,6229 0,6910 0,7455 0,7601 0,7094 0,5881 0,4150 0,2182 0,0194 -0,1687 -0,3369 -0,4742 -0,5642 -0,5928 -0,5679 -0,5258 -0,5018 -0,4954 -0,4733 -0,4043 -0,2879 -0,1562 -0,0540 -0,0147 -0,0431 -0,1112 -0,1658 -0,1467 -0,0182 0,2039 0,4548 0,6476 0,7042 0,5806 0,2798 -0,1526 -0,6420 -1,0995 -1,4350 -1,5714 -1,4684 -1,1506 -0,7140 -0,2905 0,0159 0,1706 0,2035 0,1731 0,1270 0,0814 0,0283 -0,0454 -0,1471 -0,2727 -0,3935 -0,4507 -0,3874 -0,1945 0,0782 0,3499 0,5441 0,6116 0,5450 0,3839 0,1942 0,0333 -0,0669 -0,1013 -0,0887 -0,0627 -0,0593 -0,1070 -0,2183 -0,3855 -0,5882 -0,7976 -0,9744 -1,0752 -1,0744 -0,9861 -0,8641 -0,7775 -0,7826 -0,9055 -1,1393 -1,4504 -1,7901 -2,1123 -2,3813 -2,5635 -2,6224 -2,5304 -2,2823 -1,8969 -1,4095 -0,8690 -0,3363 0,1297 0,4907 0,7295 0,8365 0,8091 0,6651 0,4447 0,1948 -0,0529 -0,2837 -0,4777 -0,5958 -0,6001 -0,4888 -0,3034 -0,0998 0,0831 0,2368 0,3807 0,5485 0,7636 1,0181 1,2735 1,4836 1,6142 1,6384 1,5326 1,2922 0,9464 0,5499 0,1601 -0,1782 -0,4311 -0,5684 -0,5698 -0,4323 -0,1737 0,1641 0,5203 0,8376 1,0775 1,2228 1,2786 1,2687 1,2257 1,1836 1,1690 1,1822 1,1937 1,1761 1,1311 1,0802 1,0451 1,0396 1,0592 1,0796 1,0743 1,0324 0,9591 0,8615 0,7351 0,5653 0,3469 0,0951 -0,1684 -0,4398 -0,7411 -1,0959 -1,4911 -1,8625 -2,1208 -2,1954 -2,0633 -1,7552 -1,3484 -0,9480 -0,6557 -0,5365 -0,6035 -0,8278 -1,1649 -1,5736 -2,0185
F3    0,3356 0,6637 0,9071 1,0265 0,9856 0,7812 0,4624 0,1253 -0,1201 -0,1899 -0,0479 0,2885 0,7466 1,2132 1,5716 1,7391 1,6832 1,4176 0,9906 0,4762 -0,0485 -0,5379 -0,9876 -1,4044 -1,7707 -2,0358 -2,1426 -2,0654 -1,8224 -1,4588 -1,0279 -0,5883 -0,1920 0,1408 0,4252 0,6782 0,8830 0,9929 0,9652 0,7927 0,5125 0,1906 -0,1078 -0,3487 -0,5376 -0,6912 -0,8011 -0,8315 -0,7409 -0,4963 -0,0854 0,4603 1,0579 1,5966 1,9750 2,1328 2,0607 1,7946 1,4011 0,9627 0,5618 0,2632 0,0959 0,0455 0,0669 0,1103 0,1481 0,1932 0,2982 0,5337 0,9579 1,5910 2,4072 3,3431 4,3074 5,1899 5,8850 6,3256 6,4991 6,4346 6,1775 5,7723 5,2562 4,6568 3,9926 3,2838 2,5674 1,9041 1,3780 1,0790 1,0628 1,3141 1,7460 2,2339 2,6559 2,9194 2,9785 2,8462 2,5889 2,3043 2,0822 1,9611 1,9107 1,8472 1,6741 1,3375 0,8639 0,3403 -0,1416 -0,5194 -0,7625 -0,8778 -0,9205 -0,9783 -1,1283 -1,4051 -1,7916 -2,2259 -2,6269 -2,9369 -3,1495 -3,3007 -3,4366 -3,5924 -3,7848 -4,0126 -4,2579 -4,4890 -4,6649 -4,7414 -4,6845 -4,4968 -4,2378 -4,0080 -3,8965 -3,9255 -4,0313 -4,0941 -3,9920 -3,6454 -3,0430 -2,2438 -1,3449 -0,4285 0,4669 1,3341 2,1675 2,9441 3,6318 4,2163 4,7236 5,2169 5,7686 6,4240 7,1766 7,9636 8,6895 9,2719 9,6748 9,9017 9,9772 9,9451 9,8760 9,8617 9,9899 10,3089 10,8033 11,4060 12,0388 12,6514 13,2283 13,7599 14,2146 14,5419 14,6995 14,6739 14,4826 14,1576 13,7245 13,1971 12,5915 11,9379 11,2802 10,6589 10,0852 9,5356 8,9819 8,4229 7,8832 7,3953 6,9902 6,6888 6,4765 6,2877 6,0387 5,6863 5,2591 4,8426 4,5372 4,4165 4,5067 4,7821 5,1705 5,5821 5,9482 6,2362 6,4329 6,5303 6,5321 6,4654 6,3806 6,3286 6,3270 6,3456 6,3278 6,2227 5,9976 5,6407 5,1661 4,6175 4,0671 3,6031 3,2999 3,1900 3,2619 3,4790 3,7894 4,1172 4,3606 4,4198 4,2390 3,8330 3,2846 2,7066 2,1802 1,7244 1,3263 0,9851 0,7203 0,5458 0,4457 0,3748 0,2796 0,1205 -0,1108 -0,3858 -0,6546 -0,8706 -1,0010 -1,0190 -0,9103 -0,6902 -0,4082 -0,1269 0,1038 0,2623 0,3544 0,3976 0,4059 0,3900 0,3649 0,3480 0,3427 0,3296 0,2764 0,1590 -0,0238 -0,2465 -0,4650 -0,6322 -0,7228 -0,7556 -0,7860 -0,8681 -1,0297 -1,2702 -1,5565 -1,8252 -2,0092 -2,0695 -2,0023 -1,8314 -1,6058 -1,3905 -1,2377 -1,1606 -1,1417 -1,1585 -1,1957 -1,2393 -1,2625 -1,2245 -1,0918 -0,8617 -0,5667 -0,2590 0,0135 0,2207 0,3488 0,3938 0,3668 0,3038 0,2611 0,2996 0,4709 0,7942 1,2334 1,7072 2,1331 2,4587 2,6635 2,7507 2,7412 2,6685 2,5742 2,4997 2,4752 2,5249 2,6806 2,9677 3,3602 3,7562 4,0172 4,0458 3,8408 3,4913 3,1304 2,8841 2,8323 2,9821 3,2609 3,5345 3,6499 3,4964 3,0604 2,4354 1,7760 1,2221 0,8363 0,5907 0,4065 0,2051 -0,0695 -0,4437 -0,8976 -1,3491 -1,6764 -1,7714 -1,5962 -1,2176 -0,7940 -0,5050 -0,4732 -0,7279 -1,2098 -1,8063 -2,3986 -2,8988 -3,2639 -3,4906 -3,6009 -3,6293 -3,6085 -3,5505 -3,4340 -3,2115 -2,8408 -2,3167 -1,6739 -0,9675 -0,2548 0,4176 1,0131 1,4883 1,7832 1,8439 1,6656 1,3070 0,8623 0,4203 0,0428 -0,2370 -0,4132 -0,5021 -0,5256 -0,4965 -0,4222 -0,3115 -0,1701 -0,0041 0,1724 0,3462 0,5210 0,7160 0,9393 1,1661 1,3472 1,4372 1,4201 1,3152 1,1586 0,9693 0,7347 0,4297 0,0510 -0,3627 -0,7449 -1,0429 -1,2469 -1,3766 -1,4449 -1,4366 -1,3172 -1,0597 -0,6727 -0,2046 0,2806 0,7342 1,1346 1,4779 1,7592 1,9504 1,9977 1,8438 1,4605 0,8779 0,1860 -0,4921 -1,0431 -1,4010 -1,5589 -1,5438 -1,3846 -1,1090 -0,7607 -0,4037 -0,1035 0,1006 0,2130 0,2717 0,3135 0,3490 0,3669 0,3452 0,2632 0,1205 -0,0428 -0,1474 -0,1119 0,0934 0,4222 0,7710 1,0187 1,0642 0,8601 0,4333 -0,1225 -0,6822 -1,1262 -1,3622 -1,3416 -1,0855 -0,6973 -0,3199 -0,0568 0,0729 0,1148 0,1273 0,1436 0,1651 0,1775 0,1684 0,1357 0,0893 0,0570 0,0881 0,2299 0,4857 0,8050 1,1061 1,2988 1,3064 1,1011 0,7294 0,2889 -0,1322 -0,4858 -0,7508 -0,9197 -0,9993 -1,0138 -1,0014 -1,0107 -1,0889 -1,2572 -1,4877 -1,7080 -1,8359 -1,8215 -1,6728 -1,4543 -1,2621 -1,1844 -1,2700 -1,5159 -1,8712 -2,2554 -2,5933 -2,8371 -2,9539 -2,9085 -2,6700 -2,2290 -1,6052 -0,8497 -0,0410 0,7312 1,3883 1,8697 2,1248 2,1162 1,8416 1,3552 0,7611 0,1779 -0,3048 -0,6417 -0,8152 -0,8206 -0,6740 -0,4237 -0,1386 0,1299 0,3781 0,6445 0,9733 1,3760 1,8203 2,2470 2,6001 2,8538 3,0122 3,0835 3,0572 2,9103 2,6324 2,2409 1,7705 1,2610 0,7625 0,3442 0,0845 0,0484 0,2650 0,7126 1,3168 1,9652 2,5316 2,9086 3,0401 2,9324 2,6400 2,2437 1,8256 1,4334 1,0669 0,7164 0,4026 0,1747 0,0865 0,1691 0,4004 0,7007 0,9685 1,1263 1,1396 1,0098 0,7588 0,4191 0,0340 -0,3430 -0,6675 -0,9324 -1,1715 -1,4211 -1,6731 -1,8635 -1,9027 -1,7181 -1,2890 -0,6734 -0,0058 0,5498 0,8603 0,8577 0,5489 0,0067 -0,6634 -1,3585 -1,9976
F7    -1,3160 -1,0023 -0,6910 -0,4111 -0,1920 -0,0492 0,0271 0,0661 0,0944 0,1179 0,1274 0,1172 0,0921 0,0609 0,0337 0,0237 0,0429 0,0919 0,1560 0,2122 0,2384 0,2199 0,1548 0,0622 -0,0202 -0,0548 -0,0235 0,0676 0,1944 0,3222 0,4078 0,4077 0,2973 0,0887 -0,1701 -0,4137 -0,5876 -0,6701 -0,6715 -0,6124 -0,5045 -0,3462 -0,1327 0,1244 0,3865 0,6037 0,7410 0,7910 0,7732 0,7243 0,6781 0,6436 0,6026 0,5246 0,3777 0,1396 -0,1865 -0,5641 -0,9350 -1,2363 -1,4104 -1,4172 -1,2493 -0,9395 -0,5535 -0,1664 0,1659 0,4279 0,6411 0,8378 1,0354 1,2345 1,4333 1,6358 1,8394 2,0226 2,1525 2,2090 2,1990 2,1484 2,0826 2,0135 1,9382 1,8387 1,6886 1,4700 1,1893 0,8783 0,5885 0,3760 0,2758 0,2803 0,3465 0,4242 0,4799 0,4993 0,4791 0,4278 0,3708 0,3439 0,3709 0,4433 0,5153 0,5271 0,4448 0,2820 0,0804 -0,1195 -0,2914 -0,4223 -0,5064 -0,5461 -0,5642 -0,6069 -0,7231 -0,9444 -1,2814 -1,7238 -2,2397 -2,7800 -3,2944 -3,7449 -4,1115 -4,3889 -4,5801 -4,6919 -4,7333 -4,7136 -4,6400 -4,5142 -4,3353 -4,1151 -3,8947 -3,7346 -3,6787 -3,7252 -3,8273 -3,9113 -3,9052 -3,7718 -3,5261 -3,2183 -2,8970 -2,5837 -2,2658 -1,9124 -1,5047 -1,0589 -0,6145 -0,2017 0,1825 0,5708 1,0028 1,5018 2,0627 2,6522 3,2218 3,7300 4,1614 4,5281 4,8562 5,1705 5,4865 5,8086 6,1325 6,4446 6,7235 6,9514 7,1260 7,2582 7,3610 7,4456 7,5200 7,5835 7,6250 7,6278 7,5752 7,4534 7,2523 6,9653 6,5953 6,1649 5,7167 5,2950 4,9197 4,5787 4,2454 3,9040 3,5621 3,2472 2,9982 2,8463 2,7923 2,8001 2,8146 2,7875 2,6959 2,5479 2,3738 2,2114 2,0947 2,0414 2,0431 2,0669 2,0749 2,0429 1,9699 1,8740 1,7793 1,7055 1,6665 1,6673 1,6918 1,7022 1,6657 1,5799 1,4654 1,3417 1,2150 1,0848 0,9532 0,8254 0,7037 0,5884 0,4820 0,3879 0,3069 0,2338 0,1550 0,0544 -0,0780 -0,2381 -0,4020 -0,5340 -0,6144 -0,6659 -0,7417 -0,8834 -1,0925 -1,3377 -1,5779 -1,7798 -1,9269 -2,0242 -2,0956 -2,1692 -2,2595 -2,3614 -2,4536 -2,5060 -2,4951 -2,4276 -2,3452 -2,2958 -2,2996 -2,3431 -2,4061 -2,4887 -2,6103 -2,7808 -2,9762 -3,1434 -3,2287 -3,2082 -3,0988 -2,9450 -2,7931 -2,6705 -2,5832 -2,5264 -2,4961 -2,4994 -2,5529 -2,6719 -2,8560 -3,0798 -3,2934 -3,4386 -3,4743 -3,3952 -3,2297 -3,0165 -2,7854 -2,5555 -2,3415 -2,1576 -2,0181 -1,9326 -1,9008 -1,9134 -1,9513 -1,9861 -1,9858 -1,9294 -1,8162 -1,6635 -1,4955 -1,3309 -1,1778 -1,0370 -0,9066 -0,7860 -0,6807 -0,5980 -0,5306 -0,4506 -0,3246 -0,1347 0,1146 0,4008 0,6959 0,9790 1,2373 1,4590 1,6317 1,7434 1,7867 1,7711 1,7318 1,7156 1,7474 1,8085 1,8487 1,8185 1,6945 1,4826 1,2108 0,9238 0,6752 0,5105 0,4450 0,4518 0,4677 0,4193 0,2579 -0,0123 -0,3316 -0,6181 -0,8174 -0,9261 -0,9728 -0,9818 -0,9603 -0,9098 -0,8321 -0,7204 -0,5591 -0,3434 -0,0980 0,1233 0,2588 0,2677 0,1489 -0,0658 -0,3337 -0,6216 -0,9068 -1,1652 -1,3683 -1,4972 -1,5627 -1,6080 -1,6840 -1,8096 -1,9497 -2,0349 -2,0046 -1,8405 -1,5659 -1,2234 -0,8555 -0,4977 -0,1746 0,1010 0,3221 0,4801 0,5644 0,5687 0,4948 0,3585 0,1967 0,0638 0,0103 0,0580 0,1926 0,3797 0,5826 0,7691 0,9129 0,9994 1,0326 1,0386 1,0613 1,1415 1,2845 1,4418 1,5280 1,4636 1,2158 0,8115 0,3178 -0,1898 -0,6477 -1,0078 -1,2317 -1,2892 -1,1740 -0,9235 -0,6163 -0,3409 -0,1549 -0,0640 -0,0329 -0,0135 0,0360 0,1449 0,3222 0,5475 0,7704 0,9253 0,9529 0,8170 0,5120 0,0698 -0,4387 -0,9172 -1,2756 -1,4604 -1,4615 -1,2967 -0,9971 -0,5993 -0,1449 0,3158 0,7255 1,0341 1,2144 1,2675 1,2163 1,0943 0,9302 0,7371 0,5224 0,3093 0,1395 0,0491 0,0437 0,0946 0,1532 0,1716 0,1210 0,0019 -0,1578 -0,3155 -0,4314 -0,4841 -0,4738 -0,4159 -0,3251 -0,1966 -0,0099 0,2409 0,5184 0,7518 0,8809 0,8970 0,8440 0,7818 0,7479 0,7418 0,7321 0,6748 0,5327 0,2884 -0,0433 -0,4135 -0,7573 -1,0203 -1,1751 -1,2178 -1,1614 -1,0378 -0,8963 -0,7841 -0,7272 -0,7322 -0,7926 -0,8911 -1,0051 -1,1151 -1,2105 -1,2914 -1,3663 -1,4427 -1,5238 -1,6117 -1,7029 -1,7811 -1,8242 -1,8261 -1,8099 -1,8184 -1,8846 -2,0043 -2,1316 -2,2021 -2,1657 -2,0067 -1,7425 -1,4046 -1,0242 -0,6343 -0,2695 0,0455 0,3039 0,5117 0,6798 0,8172 0,9284 1,0111 1,0519 1,0293 0,9306 0,7695 0,5846 0,4156 0,2822 0,1881 0,1379 0,1436 0,2206 0,3805 0,6221 0,9205 1,2219 1,4580 1,5731 1,5463 1,3991 1,1880 0,9841 0,8463 0,7960 0,8087 0,8295 0,8043 0,7048 0,5323 0,3058 0,0491 -0,2093 -0,4330 -0,5788 -0,6142 -0,5406 -0,3991 -0,2475 -0,1338 -0,0813 -0,0856 -0,1180 -0,1382 -0,1097 -0,0164 0,1228 0,2541 0,3201 0,2913 0,1673 -0,0369 -0,2964 -0,5818 -0,8638 -1,1106 -1,2844 -1,3500 -1,2975 -1,1580 -0,9951 -0,8751 -0,8409 -0,9030 -1,0477 -1,2524 -1,4882 -1,7109 -1,8625 -1,8909 -1,7689 -1,5046 -1,1445 -0,7663 -0,4598 -0,2993 -0,3190 -0,4999 -0,7831 -1,1028 -1,4136 -1,6973
