Fp1   -0,9782 -0,6592 -0,2920 0,0908 0,4166 0,6491 0,8256 1,0126 1,2361 1,4540 1,6012 1,6587 1,6555 1,5979 1,4230 1,0586 0,5162 -0,1070 -0,7065 -1,2406 -1,7354 -2,2039 -2,5495 -2,5919 -2,2391 -1,6049 -0,9059 -0,2977 0,1560 0,4498 0,6179 0,7060 0,7426 0,7421 0,7204 0,6954 0,6835 0,7016 0,7552 0,8228 0,8630 0,8289 0,6796 0,3939 -0,0237 -0,5437 -1,1011 -1,6070 -2,0117 -2,3554 -2,7358 -3,2206 -3,7858 -4,3120 -4,6302 -4,5859 -4,1261 -3,3741 -2,5906 -2,0066 -1,6720 -1,4514 -1,1650 -0,7588 -0,3374 -0,0211 0,1782 0,3047 0,3599 0,3223 0,2087 0,0659 -0,0691 -0,1761 -0,2572 -0,3512 -0,5178 -0,7892 -1,1395 -1,5012 -1,7992 -1,9714 -1,9722 -1,7725 -1,3741 -0,8352 -0,2661 0,1908 0,3857 0,2352 -0,1986 -0,7494 -1,2922 -1,8155 -2,3641 -2,9639 -3,5979 -4,2092 -4,7092 -4,9901 -4,9708 -4,6575 -4,1470 -3,5763 -3,0651 -2,6656 -2,3771 -2,2061 -2,1638 -2,2345 -2,3796 -2,5608 -2,7600 -2,9784 -3,2188 -3,4784 -3,7515 -4,0254 -4,2715 -4,4346 -4,4337 -4,1606 -3,4661 -2,2412 -0,6293 0,9428 2,0823 2,6828 2,8350 2,6576 2,2368 1,6430 0,9677 0,3263 -0,1749 -0,4552 -0,4768 -0,2785 0,0195 0,2652 0,3531 0,2709 0,0637 -0,2248 -0,5719 -0,9769 -1,4221 -1,8241 -2,0888 -2,2245 -2,3212 -2,4306 -2,5330 -2,6000 -2,6531 -2,7681 -3,0044 -3,3130 -3,5396 -3,5254 -3,2069 -2,6484 -1,9969 -1,4005 -0,9529 -0,6837 -0,5693 -0,5370 -0,4625 -0,2094 0,2623 0,8166 1,2160 1,2814 0,9877 0,4546 -0,1318 -0,6012 -0,8359 -0,7919 -0,5290 -0,2095 -0,0204 -0,0506 -0,2390 -0,4386 -0,5193 -0,4536 -0,3576 -0,4082 -0,6881 -1,1330 -1,5983 -1,9551 -2,1666 -2,2993 -2,4567 -2,7098 -3,0952 -3,6362 -4,3311 -5,1161 -5,8316 -6,2625 -6,3038 -6,0902 -5,8933 -5,8984 -6,1119 -6,4368 -6,7646 -7,0090 -7,1202 -7,0828 -6,8879 -6,5147 -5,9570 -5,2712 -4,5743 -3,9707 -3,4844 -3,0784 -2,7274 -2,4482 -2,2729 -2,2243 -2,3170 -2,5438 -2,8449 -3,1271 -3,3203 -3,3892 -3,3108 -3,0742 -2,7036 -2,2851 -1,9686 -1,9092 -2,1640 -2,6428 -3,1750 -3,6252 -3,9323 -4,0715 -4,0346 -3,8447 -3,5565 -3,2377 -2,9597 -2,7934 -2,7908 -2,9675 -3,2995 -3,7209 -4,1110 -4,3273 -4,3113 -4,1506 -4,0072 -3,9957 -4,1334 -4,3732 -4,6550 -4,9270 -5,1584 -5,3514 -5,4872 -5,4545 -5,1341 -4,5700 -3,9476 -3,4063 -2,9663 -2,6161 -2,3826 -2,3029 -2,3765 -2,5600 -2,7861 -2,9959 -3,1745 -3,3536 -3,5714 -3,8371 -4,1301 -4,4214 -4,6961 -4,9535 -5,1852 -5,3661 -5,4625 -5,4404 -5,2857 -5,0246 -4,7089 -4,3746 -4,0296 -3,6924 -3,4150 -3,2444 -3,1871 -3,2403 -3,4287 -3,7778 -4,2613 -4,7875 -5,2398 -5,5389 -5,6667 -5,6326 -5,4388 -5,1027 -4,6959 -4,3246 -4,0647 -3,9276 -3,8913 -3,9584 -4,1704 -4,5478 -5,0041 -5,3462 -5,3877 -5,0510 -4,3801 -3,5090 -2,6158 -1,8515 -1,2608 -0,7804 -0,3451 0,0139 0,1797 0,0535 -0,3533 -0,9208 -1,4886 -1,9271 -2,1949 -2,3515 -2,4925 -2,6563 -2,7990 -2,8504 -2,7846 -2,6434 -2,5064 -2,4482 -2,5078 -2,6783 -2,9163 -3,1696 -3,4096 -3,6458 -3,9149 -4,2470 -4,6307 -5,0169 -5,3588 -5,6366 -5,8388 -5,9320 -5,8597 -5,5826 -5,1350 -4,6252 -4,1655 -3,8187 -3,6094 -3,5569 -3,6639 -3,8800 -4,1221 -4,3317 -4,4759 -4,5169 -4,4360 -4,2774 -4,1204 -4,0153 -3,9732 -4,0049 -4,1382 -4,3970 -4,7717 -5,2105 -5,6518 -6,0530 -6,3583 -6,4850 -6,4049 -6,2116 -6,0457 -5,9764 -5,9766 -5,9478 -5,7752 -5,4279 -4,9861 -4,5450 -4,1343 -3,7388 -3,3573 -3,0380 -2,8760 -2,9522 -3,2461 -3,6247 -3,9469 -4,1673 -4,3124 -4,3924 -4,3869 -4,2892 -4,1253 -3,9435 -3,8029 -3,7583 -3,8300 -3,9762 -4,0984 -4,0953 -3,9353 -3,6784 -3,4224 -3,2403 -3,1627 -3,1738 -3,2006 -3,1553 -3,0310 -2,9379 -3,0151 -3,3120 -3,7601 -4,2369 -4,6425 -4,9341 -5,1084 -5,1740 -5,1455 -5,0317 -4,8244 -4,5273 -4,1775 -3,8219 -3,4950 -3,2347 -3,0985 -3,1389 -3,3607 -3,7291 -4,2168 -4,8016 -5,4201 -5,9441 -6,2110 -6,1131 -5,6970 -5,1498 -4,6699 -4,3685 -4,2527 -4,2436 -4,2326 -4,1579 -4,0321 -3,9051 -3,8154 -3,7662 -3,7298 -3,6722 -3,5887 -3,5175 -3,5042 -3,5468 -3,5979 -3,6166 -3,6001 -3,5728 -3,5685 -3,6286 -3,7845 -4,0144 -4,2437 -4,4073 -4,4958 -4,5346 -4,5433 -4,5183 -4,4329 -4,2504 -3,9580 -3,5970 -3,2495 -2,9850 -2,8193 -2,7218 -2,6417 -2,5342 -2,3893 -2,2394 -2,1397 -2,1450 -2,2757 -2,4899 -2,7074 -2,8650 -2,9425 -2,9472 -2,8923 -2,7802 -2,6078 -2,3956 -2,2025 -2,1045 -2,1717 -2,4509 -2,9407 -3,5783 -4,2587 -4,8816 -5,3906 -5,7663 -5,9934 -6,0659 -6,0262 -5,9681 -5,9829 -6,0946 -6,2411 -6,3292 -6,3203 -6,2633 -6,2564 -6,3934 -6,7270 -7,2372 -7,8151 -8,2927 -8,5032 -8,3457 -7,8384 -7,1115 -6,3353 -5,6617 -5,2035 -5,0146 -5,0751 -5,3059 -5,5976 -5,8404 -5,9544 -5,9172 -5,7703 -5,5887 -5,4315 -5,3183 -5,2421 -5,1953 -5,1864 -5,2346 -5,3375 -5,4462 -5,4906 -5,4344 -5,3089 -5,2009 -5,1940 -5,3077 -5,4891 -5,6618 -5,7845 -5,8639 -5,9273 -5,9924 -6,0548 -6,0856 -6,0342 -5,8488 -5,5127 -5,0667 -4,6003 -4,2165 -3,9851 -3,9159 -3,9785 -4,1516 -4,4486 -4,8818 -5,3887 -5,8182 -6,0294 -6,0060 -5,8414 -5,6274 -5,4004 -5,1927 -5,0749 -5,1065
Fz    0,0240 0,1444 0,3006 0,4586 0,5812 0,6497 0,6729 0,6795 0,6973 0,7391 0,8035 0,8823 0,9572 0,9913 0,9387 0,7759 0,5248 0,2407 -0,0065 -0,1486 -0,1452 -0,0107 0,1848 0,3448 0,3946 0,3201 0,1671 -0,0041 -0,1556 -0,2700 -0,3377 -0,3554 -0,3330 -0,2972 -0,2894 -0,3481 -0,4872 -0,6825 -0,8744 -0,9951 -1,0050 -0,9124 -0,7632 -0,6132 -0,5043 -0,4573 -0,4782 -0,5604 -0,6737 -0,7645 -0,7863 -0,7264 -0,6038 -0,4520 -0,3051 -0,1846 -0,0949 -0,0343 -0,0088 -0,0304 -0,1025 -0,2045 -0,2867 -0,2872 -0,1662 0,0761 0,4085 0,7849 1,1533 1,4635 1,6778 1,7797 1,7726 1,6752 1,5185 1,3446 1,1936 1,0840 1,0111 0,9624 0,9278 0,8991 0,8672 0,8256 0,7752 0,7216 0,6676 0,6118 0,5541 0,4985 0,4525 0,4248 0,4206 0,4376 0,4672 0,4956 0,5008 0,4599 0,3664 0,2360 0,0916 -0,0527 -0,1969 -0,3568 -0,5601 -0,8281 -1,1571 -1,5168 -1,8629 -2,1520 -2,3535 -2,4529 -2,4526 -2,3712 -2,2363 -2,0758 -1,9125 -1,7538 -1,5853 -1,3838 -1,1365 -0,8543 -0,5695 -0,3168 -0,1120 0,0483 0,1724 0,2656 0,3393 0,4167 0,5200 0,6576 0,8261 1,0156 1,2103 1,3981 1,5860 1,7983 2,0510 2,3343 2,6212 2,8870 3,1184 3,3108 3,4670 3,6001 3,7258 3,8446 3,9327 3,9507 3,8707 3,7038 3,5013 3,3230 3,2054 3,1571 3,1711 3,2386 3,3548 3,5185 3,7249 3,9553 4,1747 4,3461 4,4547 4,5142 4,5523 4,5911 4,6393 4,6916 4,7320 4,7411 4,7049 4,6228 4,5176 4,4364 4,4242 4,4885 4,5917 4,6794 4,7099 4,6600 4,5207 4,2950 3,9967 3,6530 3,3081 3,0102 2,7874 2,6427 2,5667 2,5431 2,5515 2,5739 2,5921 2,5818 2,5276 2,4399 2,3442 2,2521 2,1491 2,0085 1,8173 1,5839 1,3247 1,0561 0,8023 0,5970 0,4691 0,4245 0,4451 0,5055 0,5918 0,7042 0,8390 0,9730 1,0714 1,1064 1,0632 0,9512 0,8175 0,7260 0,7104 0,7624 0,8570 0,9679 1,0663 1,1340 1,1829 1,2485 1,3578 1,5097 1,6772 1,8201 1,9004 1,8955 1,8015 1,6316 1,4071 1,1438 0,8458 0,5116 0,1448 -0,2423 -0,6261 -0,9686 -1,2237 -1,3576 -1,3628 -1,2563 -1,0742 -0,8684 -0,6934 -0,5878 -0,5668 -0,6247 -0,7446 -0,9057 -1,0819 -1,2423 -1,3581 -1,4080 -1,3815 -1,2810 -1,1207 -0,9251 -0,7267 -0,5586 -0,4408 -0,3746 -0,3529 -0,3679 -0,4021 -0,4291 -0,4372 -0,4445 -0,4865 -0,5915 -0,7581 -0,9435 -1,0789 -1,1048 -1,0010 -0,7924 -0,5286 -0,2598 -0,0290 0,1268 0,1857 0,1541 0,0649 -0,0435 -0,1493 -0,2453 -0,3223 -0,3691 -0,3857 -0,3819 -0,3632 -0,3281 -0,2737 -0,2002 -0,1088 -0,0004 0,1221 0,2539 0,3911 0,5347 0,6927 0,8801 1,1090 1,3736 1,6467 1,8878 2,0546 2,1168 2,0725 1,9575 1,8289 1,7342 1,6985 1,7366 1,8609 2,0679 2,3254 2,5802 2,7788 2,8889 2,9079 2,8598 2,7904 2,7594 2,8107 2,9405 3,1109 3,2890 3,4595 3,6147 3,7492 3,8567 3,9232 3,9242 3,8412 3,6791 3,4603 3,2011 2,9026 2,5672 2,2156 1,8826 1,5985 1,3784 1,2226 1,1165 1,0377 0,9714 0,9178 0,8817 0,8683 0,8844 0,9310 0,9955 1,0557 1,0936 1,1050 1,1037 1,1191 1,1802 1,2909 1,4218 1,5304 1,5912 1,6030 1,5765 1,5270 1,4778 1,4542 1,4672 1,5133 1,5878 1,6889 1,8088 1,9253 2,0006 1,9925 1,8676 1,6192 1,2861 0,9520 0,7098 0,6127 0,6534 0,7841 0,9520 1,1199 1,2641 1,3648 1,4111 1,4128 1,3958 1,3827 1,3807 1,3898 1,4134 1,4545 1,5079 1,5651 1,6165 1,6523 1,6677 1,6677 1,6609 1,6498 1,6331 1,6191 1,6276 1,6782 1,7782 1,9200 2,0845 2,2480 2,3951 2,5273 2,6546 2,7776 2,8797 2,9404 2,9509 2,9203 2,8735 2,8437 2,8556 2,9083 2,9722 3,0077 2,9826 2,8757 2,6789 2,4041 2,0850 1,7668 1,4926 1,2939 1,1854 1,1639 1,2122 1,3050 1,4169 1,5274 1,6201 1,6829 1,7147 1,7256 1,7208 1,6969 1,6584 1,6258 1,6205 1,6521 1,7204 1,8201 1,9409 2,0629 2,1593 2,2075 2,2024 2,1602 2,1145 2,1015 2,1397 2,2170 2,2948 2,3234 2,2624 2,1001 1,8579 1,5771 1,3018 1,0628 0,8676 0,7084 0,5770 0,4723 0,4034 0,3855 0,4217 0,4887 0,5505 0,5843 0,5929 0,5987 0,6260 0,6821 0,7528 0,8127 0,8433 0,8450 0,8387 0,8599 0,9438 1,1063 1,3344 1,5921 1,8334 2,0159 2,1126 2,1186 2,0524 1,9435 1,8166 1,6871 1,5674 1,4647 1,3785 1,3078 1,2571 1,2309 1,2283 1,2467 1,2830 1,3269 1,3633 1,3859 1,4078 1,4524 1,5213 1,5757 1,5591 1,4426 1,2509 1,0463 0,8880 0,8064 0,7997 0,8378 0,8730 0,8705 0,8363 0,8139 0,8548 0,9898 1,2166 1,4958 1,7613 1,9476 2,0255 2,0166 1,9731 1,9415 1,9366 1,9389 1,9138 1,8366 1,7096 1,5639 1,4442 1,3872 1,4057 1,4844 1,5849 1,6544 1,6409 1,5149 1,2820 0,9794 0,6608 0,3725 0,1379 -0,0331 -0,1281 -0,1418 -0,0968 -0,0410 -0,0234 -0,0753 -0,2069 -0,4068 -0,6416 -0,8592 -1,0025 -1,0304 -0,9384 -0,7596 -0,5447 -0,3405 -0,1830 -0,0962 -0,0880 -0,1543 -0,2867 -0,4691 -0,6703 -0,8538 -0,9978 -1,0970 -1,1437 -1,1220 -1,0242 -0,8634 -0,6644
F3    -0,3615 -0,3206 -0,1942 -0,0250 0,1384 0,2615 0,3338 0,3630 0,3633 0,3475 0,3324 0,3375 0,3655 0,3871 0,3540 0,2365 0,0492 -0,1575 -0,3201 -0,3842 -0,3261 -0,1656 0,0381 0,2080 0,2883 0,2790 0,2250 0,1704 0,1342 0,1249 0,1569 0,2443 0,3809 0,5291 0,6317 0,6352 0,5142 0,2873 0,0130 -0,2387 -0,4216 -0,5271 -0,5757 -0,5966 -0,6110 -0,6272 -0,6500 -0,6885 -0,7431 -0,7958 -0,8259 -0,8272 -0,8025 -0,7572 -0,7047 -0,6646 -0,6506 -0,6649 -0,7030 -0,7580 -0,8189 -0,8674 -0,8784 -0,8278 -0,7040 -0,5161 -0,2859 -0,0375 0,2013 0,4013 0,5439 0,6240 0,6425 0,5999 0,4992 0,3520 0,1742 -0,0232 -0,2316 -0,4337 -0,6064 -0,7314 -0,8047 -0,8355 -0,8354 -0,8130 -0,7787 -0,7451 -0,7215 -0,7131 -0,7209 -0,7355 -0,7391 -0,7210 -0,6845 -0,6385 -0,5917 -0,5560 -0,5467 -0,5777 -0,6588 -0,7920 -0,9712 -1,1891 -1,4452 -1,7411 -2,0704 -2,4122 -2,7346 -3,0015 -3,1839 -3,2693 -3,2599 -3,1634 -2,9891 -2,7550 -2,4898 -2,2162 -1,9364 -1,6386 -1,3203 -1,0054 -0,7384 -0,5549 -0,4530 -0,3934 -0,3312 -0,2458 -0,1346 0,0024 0,1596 0,3209 0,4737 0,6226 0,7800 0,9567 1,1668 1,4246 1,7221 2,0197 2,2675 2,4356 2,5233 2,5487 2,5371 2,5192 2,5247 2,5651 2,6244 2,6687 2,6706 2,6329 2,5881 2,5742 2,6081 2,6781 2,7557 2,8185 2,8616 2,8915 2,9180 2,9515 2,9991 3,0620 3,1387 3,2250 3,3113 3,3871 3,4513 3,5106 3,5673 3,6119 3,6240 3,5873 3,5123 3,4438 3,4313 3,4859 3,5726 3,6448 3,6786 3,6728 3,6255 3,5218 3,3431 3,0884 2,7883 2,4956 2,2571 2,0915 1,9900 1,9254 1,8637 1,7778 1,6541 1,4913 1,3001 1,1063 0,9392 0,8115 0,7062 0,5809 0,3905 0,1179 -0,2129 -0,5548 -0,8618 -1,0989 -1,2444 -1,2973 -1,2801 -1,2228 -1,1374 -1,0155 -0,8533 -0,6770 -0,5348 -0,4712 -0,5064 -0,6182 -0,7372 -0,7836 -0,7260 -0,5898 -0,4178 -0,2477 -0,1158 -0,0465 -0,0278 -0,0158 0,0293 0,1181 0,2313 0,3325 0,3866 0,3731 0,2898 0,1514 -0,0169 -0,1964 -0,3850 -0,5873 -0,8003 -1,0178 -1,2396 -1,4630 -1,6713 -1,8358 -1,9315 -1,9482 -1,8965 -1,8072 -1,7156 -1,6433 -1,5947 -1,5659 -1,5544 -1,5646 -1,6008 -1,6565 -1,7095 -1,7280 -1,6810 -1,5503 -1,3390 -1,0748 -0,8055 -0,5808 -0,4322 -0,3644 -0,3663 -0,4196 -0,4956 -0,5634 -0,6115 -0,6537 -0,7137 -0,8103 -0,9438 -1,0896 -1,2050 -1,2497 -1,2046 -1,0791 -0,9012 -0,7009 -0,5066 -0,3504 -0,2621 -0,2541 -0,3147 -0,4203 -0,5543 -0,7047 -0,8506 -0,9625 -1,0185 -1,0131 -0,9499 -0,8370 -0,6910 -0,5373 -0,4003 -0,2909 -0,2076 -0,1439 -0,0931 -0,0468 0,0102 0,1005 0,2440 0,4453 0,6882 0,9404 1,1636 1,3299 1,4394 1,5207 1,6073 1,7136 1,8362 1,9743 2,1322 2,3017 2,4566 2,5657 2,6072 2,5789 2,5014 2,4072 2,3325 2,3168 2,3856 2,5259 2,6989 2,8748 3,0419 3,1935 3,3216 3,4185 3,4748 3,4775 3,4135 3,2771 3,0690 2,7891 2,4372 2,0226 1,5732 1,1304 0,7354 0,4167 0,1837 0,0261 -0,0790 -0,1462 -0,1722 -0,1523 -0,0939 -0,0101 0,0866 0,1830 0,2629 0,3098 0,3150 0,2914 0,2789 0,3223 0,4331 0,5756 0,6927 0,7428 0,7165 0,6281 0,5060 0,3873 0,3020 0,2554 0,2382 0,2498 0,2998 0,3910 0,5069 0,6115 0,6603 0,6192 0,4822 0,2797 0,0695 -0,0902 -0,1698 -0,1737 -0,1220 -0,0314 0,0869 0,2194 0,3465 0,4534 0,5421 0,6242 0,7041 0,7733 0,8218 0,8491 0,8611 0,8637 0,8635 0,8678 0,8787 0,8895 0,8910 0,8795 0,8542 0,8140 0,7659 0,7338 0,7491 0,8321 0,9823 1,1780 1,3861 1,5809 1,7565 1,9194 2,0688 2,1865 2,2488 2,2480 2,2001 2,1340 2,0736 2,0284 1,9940 1,9555 1,8945 1,7944 1,6433 1,4419 1,2125 0,9930 0,8206 0,7233 0,7151 0,7894 0,9206 1,0733 1,2125 1,3120 1,3624 1,3707 1,3523 1,3235 1,2956 1,2676 1,2308 1,1829 1,1340 1,0990 1,0910 1,1184 1,1842 1,2896 1,4353 1,6112 1,7874 1,9242 1,9981 2,0178 2,0126 2,0031 1,9870 1,9492 1,8765 1,7677 1,6376 1,5065 1,3898 1,2982 1,2348 1,1865 1,1316 1,0576 0,9673 0,8766 0,8081 0,7764 0,7723 0,7679 0,7398 0,6861 0,6260 0,5867 0,5858 0,6189 0,6661 0,7148 0,7736 0,8657 1,0159 1,2403 1,5335 1,8628 2,1752 2,4175 2,5544 2,5735 2,4819 2,3024 2,0686 1,8140 1,5677 1,3574 1,2075 1,1345 1,1438 1,2251 1,3529 1,4978 1,6411 1,7735 1,8816 1,9467 1,9590 1,9311 1,8908 1,8513 1,7911 1,6708 1,4701 1,2100 0,9412 0,7125 0,5535 0,4796 0,4897 0,5562 0,6379 0,7147 0,7976 0,9095 1,0662 1,2671 1,4872 1,6801 1,7994 1,8278 1,7889 1,7306 1,6932 1,6880 1,6949 1,6803 1,6188 1,5090 1,3765 1,2612 1,1985 1,2031 1,2612 1,3332 1,3672 1,3220 1,1915 1,0074 0,8182 0,6655 0,5701 0,5308 0,5399 0,5977 0,7044 0,8406 0,9651 1,0296 0,9963 0,8471 0,5863 0,2447 -0,1171 -0,4212 -0,6027 -0,6365 -0,5370 -0,3364 -0,0713 0,2150 0,4756 0,6710 0,7743 0,7727 0,6792 0,5369 0,3979 0,2903 0,2126 0,1585 0,1327 0,1385 0,1631 0,1870
F7    -0,4169 -0,2759 -0,1323 0,0261 0,1793 0,3044 0,4024 0,4960 0,6073 0,7394 0,8811 1,0232 1,1566 1,2476 1,2303 1,0495 0,7136 0,2903 -0,1379 -0,5114 -0,8027 -0,9960 -1,0536 -0,9249 -0,6101 -0,1989 0,1916 0,4930 0,6868 0,7813 0,8042 0,7867 0,7410 0,6590 0,5287 0,3484 0,1345 -0,0758 -0,2388 -0,3313 -0,3658 -0,3827 -0,4242 -0,5173 -0,6793 -0,9168 -1,2092 -1,5106 -1,7807 -2,0090 -2,2103 -2,3998 -2,5647 -2,6558 -2,6143 -2,4080 -2,0605 -1,6632 -1,3455 -1,2035 -1,2417 -1,3696 -1,4548 -1,4072 -1,2249 -0,9568 -0,6451 -0,3279 -0,0593 0,1162 0,1916 0,1825 0,0996 -0,0497 -0,2452 -0,4559 -0,6568 -0,8351 -0,9867 -1,1133 -1,2149 -1,2815 -1,2954 -1,2397 -1,1109 -0,9301 -0,7337 -0,5653 -0,4789 -0,5190 -0,6802 -0,9093 -1,1603 -1,4243 -1,7048 -1,9962 -2,2843 -2,5460 -2,7422 -2,8284 -2,7856 -2,6441 -2,4672 -2,3202 -2,2475 -2,2574 -2,3338 -2,4582 -2,6077 -2,7509 -2,8588 -2,9168 -2,9327 -2,9296 -2,9250 -2,9242 -2,9362 -2,9811 -3,0705 -3,1761 -3,2279 -3,1364 -2,8059 -2,1716 -1,2978 -0,4061 0,2766 0,6693 0,8177 0,7990 0,6701 0,4707 0,2456 0,0435 -0,0996 -0,1581 -0,1107 0,0447 0,2746 0,5200 0,7248 0,8568 0,9022 0,8590 0,7436 0,5875 0,4299 0,3167 0,2768 0,2883 0,2929 0,2508 0,1656 0,0646 -0,0323 -0,1260 -0,2151 -0,2690 -0,2331 -0,0641 0,2378 0,6244 1,0230 1,3654 1,6073 1,7405 1,7915 1,8087 1,8504 1,9701 2,1754 2,3954 2,5142 2,4486 2,1998 1,8526 1,5307 1,3378 1,3173 1,4471 1,6583 1,8575 1,9596 1,9266 1,7830 1,5917 1,4225 1,3133 1,2367 1,1256 0,9443 0,7155 0,4915 0,3184 0,2091 0,1357 0,0524 -0,0747 -0,2640 -0,5301 -0,8816 -1,3000 -1,7158 -2,0244 -2,1662 -2,1880 -2,1992 -2,2737 -2,4086 -2,5616 -2,6964 -2,7950 -2,8477 -2,8411 -2,7571 -2,5866 -2,3436 -2,0704 -1,8283 -1,6624 -1,5680 -1,5048 -1,4434 -1,3828 -1,3311 -1,2921 -1,2683 -1,2572 -1,2396 -1,1925 -1,1111 -1,0035 -0,8765 -0,7373 -0,6011 -0,4981 -0,4808 -0,6064 -0,8923 -1,2849 -1,6917 -2,0468 -2,3289 -2,5273 -2,6253 -2,6162 -2,5145 -2,3545 -2,1830 -2,0416 -1,9554 -1,9363 -1,9853 -2,0824 -2,1785 -2,2155 -2,1763 -2,1056 -2,0688 -2,0996 -2,1874 -2,3008 -2,4113 -2,4966 -2,5367 -2,5228 -2,4524 -2,3054 -2,0644 -1,7732 -1,5276 -1,3943 -1,3679 -1,4049 -1,4709 -1,5539 -1,6530 -1,7693 -1,8951 -2,0083 -2,0834 -2,1073 -2,0867 -2,0466 -2,0207 -2,0346 -2,1004 -2,2185 -2,3732 -2,5355 -2,6721 -2,7569 -2,7777 -2,7358 -2,6352 -2,4757 -2,2573 -1,9952 -1,7226 -1,4737 -1,2706 -1,1344 -1,0933 -1,1631 -1,3246 -1,5225 -1,6889 -1,7781 -1,7816 -1,7074 -1,5594 -1,3476 -1,1040 -0,8733 -0,6934 -0,5864 -0,5599 -0,6088 -0,7129 -0,8298 -0,8946 -0,8359 -0,6057 -0,1973 0,3525 0,9655 1,5341 1,9578 2,1920 2,2603 2,2180 2,1142 1,9785 1,8272 1,6799 1,5627 1,4968 1,4867 1,5134 1,5375 1,5190 1,4398 1,3107 1,1585 1,0023 0,8406 0,6594 0,4482 0,2098 -0,0420 -0,2861 -0,5033 -0,6896 -0,8602 -1,0370 -1,2306 -1,4304 -1,6084 -1,7376 -1,8093 -1,8348 -1,8278 -1,7871 -1,7013 -1,5683 -1,4022 -1,2190 -1,0330 -0,8734 -0,7836 -0,7857 -0,8531 -0,9345 -0,9973 -1,0325 -1,0347 -1,0037 -0,9588 -0,9239 -0,9011 -0,8770 -0,8530 -0,8503 -0,8937 -1,0017 -1,1824 -1,4308 -1,7187 -1,9837 -2,1473 -2,1716 -2,0945 -1,9885 -1,9002 -1,8359 -1,7719 -1,6707 -1,5174 -1,3339 -1,1462 -0,9588 -0,7680 -0,5812 -0,4220 -0,3263 -0,3254 -0,4161 -0,5534 -0,6844 -0,7877 -0,8703 -0,9370 -0,9838 -1,0109 -1,0229 -1,0175 -0,9871 -0,9321 -0,8655 -0,8018 -0,7402 -0,6608 -0,5428 -0,3895 -0,2333 -0,1179 -0,0687 -0,0738 -0,0881 -0,0619 0,0213 0,1302 0,2083 0,2134 0,1355 -0,0112 -0,2073 -0,4412 -0,7066 -0,9881 -1,2574 -1,4796 -1,6194 -1,6528 -1,5775 -1,4123 -1,1904 -0,9526 -0,7429 -0,6012 -0,5536 -0,6105 -0,7700 -1,0179 -1,3181 -1,6021 -1,7787 -1,7789 -1,6063 -1,3354 -1,0613 -0,8564 -0,7505 -0,7238 -0,7234 -0,7007 -0,6335 -0,5224 -0,3794 -0,2217 -0,0675 0,0647 0,1545 0,1813 0,1332 0,0156 -0,1528 -0,3494 -0,5525 -0,7432 -0,9074 -1,0413 -1,1421 -1,1898 -1,1557 -1,0402 -0,8883 -0,7632 -0,7116 -0,7452 -0,8373 -0,9360 -0,9896 -0,9722 -0,8942 -0,7897 -0,6873 -0,5893 -0,4733 -0,3122 -0,0979 0,1502 0,3940 0,5904 0,7062 0,7335 0,6901 0,6050 0,5022 0,3960 0,2942 0,2035 0,1288 0,0662 0,0031 -0,0709 -0,1573 -0,2550 -0,3711 -0,5166 -0,6926 -0,8850 -1,0707 -1,2203 -1,3009 -1,2980 -1,2392 -1,1832 -1,1815 -1,2477 -1,3572 -1,4722 -1,5690 -1,6448 -1,7154 -1,8112 -1,9615 -2,1643 -2,3674 -2,4852 -2,4389 -2,1948 -1,7898 -1,3204 -0,8920 -0,5727 -0,3803 -0,2930 -0,2722 -0,2866 -0,3227 -0,3756 -0,4381 -0,4974 -0,5396 -0,5521 -0,5225 -0,4442 -0,3301 -0,2154 -0,1452 -0,1580 -0,2690 -0,4623 -0,6993 -0,9377 -1,1530 -1,3447 -1,5190 -1,6647 -1,7549 -1,7759 -1,7494 -1,7218 -1,7344 -1,8037 -1,9172 -2,0379 -2,1127 -2,0888 -1,9353 -1,6603 -1,3126 -0,9641 -0,6788 -0,4910 -0,4087 -0,4331 -0,5700 -0,8146 -1,1271 -1,4341 -1,6685 -1,8118 -1,8890 -1,9251 -1,9230 -1,8884 -1,8509 -1,8436
