Fp1   -0,4590 -0,4232 -0,4120 -0,4147 -0,4160 -0,3966 -0,3549 -0,3233 -0,3463 -0,4364 -0,5553 -0,6361 -0,6270 -0,5240 -0,3669 -0,1972 -0,0290 0,1373 0,2987 0,4623 0,6494 0,8665 1,0815 1,2427 1,3116 1,2765 1,1505 0,9634 0,7477 0,5353 0,3669 0,2848 0,3069 0,4114 0,5437 0,6403 0,6560 0,5714 0,3834 0,1050 -0,2273 -0,5556 -0,8203 -0,9848 -1,0499 -1,0468 -1,0099 -0,9468 -0,8272 -0,6066 -0,2728 0,1278 0,5106 0,8012 0,9664 1,0138 0,9774 0,9008 0,8306 0,8210 0,9219 1,1476 1,4596 1,7801 2,0212 2,1162 2,0430 1,8303 1,5418 1,2467 0,9955 0,8104 0,6950 0,6488 0,6700 0,7425 0,8273 0,8752 0,8541 0,7677 0,6439 0,4995 0,3238 0,0993 -0,1761 -0,4891 -0,8093 -1,0825 -1,2439 -1,2529 -1,1108 -0,8506 -0,5185 -0,1605 0,1870 0,4955 0,7380 0,8932 0,9592 0,9514 0,8872 0,7800 0,6438 0,4935 0,3391 0,1847 0,0372 -0,0911 -0,1949 -0,2802 -0,3527 -0,4084 -0,4370 -0,4306 -0,3827 -0,2816 -0,1168 0,1076 0,3716 0,6433 0,8795 1,0349 1,0872 1,0564 1,0025 1,0016 1,1063 1,3100 1,5405 1,6974 1,7042 1,5382 1,2266 0,8279 0,4189 0,0879 -0,0858 -0,0631 0,1447 0,4941 0,9315 1,4010 1,8444 2,2002 2,4112 2,4444 2,3069 2,0386 1,6938 1,3285 0,9934 0,7182 0,4997 0,3086 0,1150 -0,0850 -0,2615 -0,3742 -0,4040 -0,3581 -0,2549 -0,1153 0,0388 0,1900 0,3329 0,4817 0,6719 0,9493 1,3420 1,8280 2,3304 2,7604 3,0685 3,2498 3,3114 3,2552 3,0960 2,8787 2,6651 2,5071 2,4278 2,4196 2,4584 2,5192 2,5791 2,6143 2,6079 2,5640 2,5004 2,4270 2,3507 2,2919 2,2727 2,2872 2,2966 2,2565 2,1424 1,9582 1,7314 1,4975 1,2777 1,0760 0,9032 0,7846 0,7351 0,7454 0,7998 0,8953 1,0373 1,2316 1,4744 1,7392 1,9738 2,1206 2,1462 2,0629 1,9206 1,7775 1,6717 1,6073 1,5613 1,5068 1,4279 1,3134 1,1505 0,9356 0,6887 0,4435 0,2151 -0,0137 -0,2647 -0,5324 -0,7853 -0,9821 -1,0790 -1,0396 -0,8533 -0,5423 -0,1584 0,2282 0,5539 0,7839 0,9112 0,9442 0,9033 0,8223 0,7398 0,6794 0,6347 0,5724 0,4512 0,2435 -0,0510 -0,4046 -0,7701 -1,0951 -1,3349 -1,4627 -1,4879 -1,4639 -1,4645 -1,5355 -1,6624 -1,7904 -1,8715 -1,8825 -1,8116 -1,6524 -1,4200 -1,1621 -0,9536 -0,8736 -0,9730 -1,2458 -1,6242 -2,0009 -2,2699 -2,3788 -2,3543 -2,2657 -2,1591 -2,0302 -1,8496 -1,5993 -1,2912 -0,9664 -0,6735 -0,4355 -0,2324 -0,0205 0,2284 0,4990 0,7396 0,8980 0,9596 0,9545 0,9320 0,9359 0,9979 1,1319 1,3255 1,5422 1,7413 1,8941 1,9871 2,0168 1,9898 1,9240 1,8405 1,7496 1,6482 1,5301 1,3943 1,2431 1,0823 0,9225 0,7808 0,6851 0,6690 0,7438 0,8801 1,0274 1,1516 1,2509 1,3445 1,4530 1,5796 1,7019 1,7809 1,7842 1,7039 1,5586 1,3849 1,2233 1,0977 1,0052 0,9239 0,8265 0,6972 0,5453 0,3993 0,2826 0,1908 0,0955 -0,0305 -0,1918 -0,3623 -0,4914 -0,5250 -0,4344 -0,2330 0,0274 0,2775 0,4568 0,5287 0,4828 0,3373 0,1411 -0,0456 -0,1912 -0,3092 -0,4309 -0,5717 -0,7215 -0,8556 -0,9526 -1,0061 -1,0227 -1,0109 -0,9733 -0,9097 -0,8257 -0,7330 -0,6450 -0,5763 -0,5431 -0,5556 -0,6038 -0,6591 -0,6965 -0,7193 -0,7628 -0,8676 -1,0406 -1,2432 -1,4140 -1,5027 -1,4914 -1,3975 -1,2557 -1,0975 -0,9472 -0,8266 -0,7538 -0,7410 -0,7963 -0,9199 -1,0972 -1,3095 -1,5471 -1,7998 -2,0387 -2,2184 -2,2927 -2,2298 -2,0282 -1,7164 -1,3292 -0,8846 -0,3960 0,0964 0,5191 0,8000 0,9053 0,8398 0,6232 0,2783 -0,1576 -0,6220 -1,0383 -1,3435 -1,5102 -1,5507 -1,5063 -1,4343 -1,3906 -1,4085 -1,4833 -1,5726 -1,6069 -1,5197 -1,2929 -0,9749 -0,6410 -0,3461 -0,1164 0,0340 0,0893 0,0273 -0,1729 -0,5089 -0,9382 -1,3853 -1,7682 -2,0298 -2,1539 -2,1597 -2,0805 -1,9461 -1,7761 -1,5881 -1,4153 -1,3083 -1,3087 -1,4151 -1,5756 -1,7163 -1,7749 -1,7119 -1,5103 -1,1878 -0,8082 -0,4622 -0,2282 -0,1428 -0,1960 -0,3494 -0,5559 -0,7701 -0,9596 -1,1159 -1,2420 -1,3241 -1,3297 -1,2351 -1,0452 -0,7937 -0,5374 -0,3478 -0,2880 -0,3725 -0,5504 -0,7431 -0,8975 -0,9990 -1,0526 -1,0710 -1,0773 -1,0975 -1,1366 -1,1656 -1,1375 -1,0197 -0,8179 -0,5844 -0,3938 -0,2956 -0,2858 -0,3234 -0,3728 -0,4341 -0,5437 -0,7436 -1,0389 -1,3817 -1,7032 -1,9532 -2,1052 -2,1567 -2,1412 -2,1208 -2,1481 -2,2368 -2,3595 -2,4595 -2,4720 -2,3534 -2,1011 -1,7505 -1,3547 -0,9609 -0,6014 -0,3051 -0,1006 0,0004 0,0116 -0,0410 -0,1382 -0,2720 -0,4330 -0,5966 -0,7234 -0,7696 -0,7025 -0,5121 -0,2154 0,1420 0,4917 0,7717 0,9644 1,1041 1,2452 1,4182 1,6082 1,7710 1,8674 1,8930 1,8833 1,8910 1,9559 2,0836 2,2419 2,3762 2,4311 2,3709 2,1996 1,9598 1,7039 1,4642 1,2494 1,0623 0,9127 0,8106 0,7587 0,7550 0,7947 0,8673 0,9547 1,0342 1,0823 1,0730 0,9814 0,7982 0,5396 0,2357 -0,0876 -0,4066 -0,6911 -0,9114 -1,0521 -1,1181 -1,1288 -1,1023 -1,0473 -0,9712 -0,8831 -0,7888 -0,6951 -0,6163 -0,5628 -0,5277 -0,4836 -0,3968 -0,2507 -0,0578 0,1536 0,3649 0,5820 0,8219 1,0835
Fz    0,2651 0,1492 0,0293 -0,0910 -0,2141 -0,3393 -0,4643 -0,5906 -0,7190 -0,8350 -0,9069 -0,9032 -0,8158 -0,6707 -0,5166 -0,3970 -0,3305 -0,3129 -0,3254 -0,3377 -0,3177 -0,2522 -0,1585 -0,0716 -0,0196 -0,0089 -0,0259 -0,0458 -0,0447 -0,0052 0,0843 0,2295 0,4236 0,6433 0,8546 1,0242 1,1297 1,1587 1,1053 0,9724 0,7776 0,5503 0,3230 0,1230 -0,0304 -0,1247 -0,1513 -0,1025 0,0315 0,2547 0,5499 0,8738 1,1711 1,3970 1,5327 1,5889 1,5989 1,6017 1,6276 1,6962 1,8170 1,9858 2,1812 2,3707 2,5206 2,6057 2,6162 2,5601 2,4602 2,3475 2,2482 2,1745 2,1268 2,1039 2,1095 2,1508 2,2312 2,3465 2,4885 2,6487 2,8157 2,9641 3,0529 3,0457 2,9326 2,7359 2,5042 2,2981 2,1721 2,1590 2,2631 2,4603 2,7061 2,9516 3,1597 3,3118 3,4035 3,4399 3,4346 3,4040 3,3573 3,2914 3,1992 3,0804 2,9436 2,8033 2,6823 2,6109 2,6139 2,6958 2,8385 3,0109 3,1804 3,3185 3,4054 3,4352 3,4177 3,3742 3,3273 3,2880 3,2461 3,1781 3,0665 2,9178 2,7651 2,6545 2,6252 2,6889 2,8231 2,9826 3,1210 3,2094 3,2413 3,2281 3,1917 3,1616 3,1675 3,2274 3,3426 3,5032 3,6932 3,8926 4,0793 4,2292 4,3219 4,3511 4,3333 4,3006 4,2836 4,2992 4,3509 4,4332 4,5342 4,6420 4,7554 4,8876 5,0603 5,2900 5,5776 5,9088 6,2594 6,6000 6,9039 7,1586 7,3701 7,5569 7,7410 7,9422 8,1708 8,4196 8,6623 8,8635 8,9960 9,0508 9,0346 8,9641 8,8646 8,7649 8,6880 8,6450 8,6370 8,6583 8,6943 8,7192 8,7010 8,6168 8,4688 8,2827 8,0865 7,8905 7,6890 7,4741 7,2440 7,0021 6,7558 6,5147 6,2891 6,0878 5,9135 5,7591 5,6072 5,4349 5,2260 4,9776 4,6943 4,3854 4,0711 3,7807 3,5395 3,3579 3,2298 3,1344 3,0438 2,9344 2,7965 2,6392 2,4850 2,3554 2,2598 2,1961 2,1571 2,1372 2,1329 2,1379 2,1429 2,1411 2,1353 2,1310 2,1241 2,0974 2,0328 1,9232 1,7745 1,6039 1,4409 1,3226 1,2825 1,3393 1,4871 1,6933 1,9115 2,1022 2,2425 2,3193 2,3244 2,2589 2,1376 1,9829 1,8149 1,6478 1,4868 1,3276 1,1585 0,9683 0,7561 0,5348 0,3260 0,1522 0,0247 -0,0633 -0,1289 -0,1830 -0,2215 -0,2316 -0,2063 -0,1459 -0,0522 0,0728 0,2183 0,3603 0,4680 0,5152 0,4912 0,4064 0,2890 0,1761 0,1021 0,0867 0,1275 0,2073 0,3098 0,4277 0,5562 0,6890 0,8173 0,9307 1,0243 1,1067 1,1994 1,3236 1,4865 1,6755 1,8618 2,0142 2,1185 2,1872 2,2503 2,3419 2,4916 2,7163 3,0110 3,3452 3,6734 3,9525 4,1553 4,2763 4,3288 4,3387 4,3321 4,3256 4,3259 4,3379 4,3666 4,4121 4,4669 4,5179 4,5558 4,5846 4,6213 4,6834 4,7779 4,9010 5,0438 5,1927 5,3316 5,4476 5,5321 5,5767 5,5755 5,5306 5,4530 5,3566 5,2550 5,1600 5,0789 5,0135 4,9636 4,9259 4,8906 4,8433 4,7696 4,6599 4,5098 4,3179 4,0869 3,8286 3,5683 3,3431 3,1896 3,1281 3,1517 3,2291 3,3193 3,3929 3,4411 3,4672 3,4763 3,4755 3,4726 3,4678 3,4511 3,4131 3,3520 3,2717 3,1778 3,0773 2,9792 2,8952 2,8390 2,8230 2,8517 2,9167 3,0017 3,0904 3,1691 3,2274 3,2627 3,2842 3,3080 3,3436 3,3860 3,4183 3,4246 3,4015 3,3568 3,2993 3,2361 3,1762 3,1296 3,1048 3,1082 3,1430 3,2064 3,2888 3,3773 3,4601 3,5325 3,5971 3,6543 3,6954 3,7104 3,7022 3,6869 3,6835 3,7045 3,7523 3,8231 3,9170 4,0429 4,2106 4,4181 4,6438 4,8509 5,0028 5,0795 5,0829 5,0275 4,9307 4,8108 4,6901 4,5911 4,5301 4,5128 4,5313 4,5648 4,5865 4,5731 4,5145 4,4188 4,3138 4,2383 4,2188 4,2507 4,3058 4,3531 4,3703 4,3461 4,2761 4,1582 3,9900 3,7727 3,5202 3,2645 3,0475 2,9030 2,8417 2,8524 2,9144 3,0081 3,1197 3,2401 3,3634 3,4837 3,5960 3,6986 3,7936 3,8814 3,9559 4,0097 4,0442 4,0693 4,0918 4,1081 4,1085 4,0863 4,0459 4,0021 3,9753 3,9850 4,0393 4,1281 4,2289 4,3193 4,3869 4,4282 4,4453 4,4446 4,4293 4,3907 4,3094 4,1753 4,0018 3,8175 3,6478 3,5050 3,3939 3,3198 3,2878 3,2938 3,3219 3,3517 3,3664 3,3539 3,3011 3,1923 3,0174 2,7870 2,5349 2,2995 2,1010 1,9318 1,7665 1,5818 1,3745 1,1643 0,9805 0,8478 0,7795 0,7718 0,7988 0,8239 0,8191 0,7748 0,6958 0,5987 0,5083 0,4491 0,4375 0,4772 0,5622 0,6850 0,8406 1,0234 1,2273 1,4476 1,6806 1,9204 2,1607 2,3980 2,6382 2,8960 3,1860 3,5118 3,8629 4,2184 4,5505 4,8302 5,0340 5,1512 5,1862 5,1550 5,0765 4,9638 4,8243 4,6655 4,4999 4,3496 4,2481 4,2313 4,3204 4,5111 4,7722 5,0527 5,2950 5,4516 5,4987 5,4358 5,2780 5,0507 4,7858 4,5169 4,2743 4,0784 3,9361 3,8420 3,7815 3,7355 3,6865 3,6229 3,5415 3,4444 3,3327 3,2045 3,0629 2,9191 2,7881 2,6808 2,6008 2,5450 2,5083 2,4864 2,4740 2,4633 2,4466 2,4217 2,3938 2,3743 2,3723 2,3874 2,4144 2,4503 2,4952 2,5460 2,5919 2,6203 2,6304 2,6397 2,6747 2,7532 2,8724
F3    1,0336 0,9721 0,8885 0,7907 0,6795 0,5581 0,4298 0,2896 0,1292 -0,0467 -0,2147 -0,3435 -0,4126 -0,4260 -0,4091 -0,3876 -0,3690 -0,3466 -0,3118 -0,2561 -0,1708 -0,0575 0,0626 0,1570 0,2017 0,1920 0,1421 0,0785 0,0277 0,0073 0,0253 0,0836 0,1778 0,2953 0,4138 0,5088 0,5622 0,5614 0,4927 0,3480 0,1378 -0,1090 -0,3602 -0,5909 -0,7837 -0,9257 -1,0059 -1,0125 -0,9347 -0,7724 -0,5474 -0,3045 -0,0943 0,0494 0,1212 0,1412 0,1409 0,1459 0,1693 0,2179 0,2940 0,3922 0,4995 0,5988 0,6674 0,6785 0,6153 0,4865 0,3234 0,1624 0,0288 -0,0698 -0,1366 -0,1743 -0,1787 -0,1434 -0,0673 0,0413 0,1689 0,3031 0,4276 0,5100 0,5036 0,3725 0,1204 -0,2013 -0,5114 -0,7282 -0,7972 -0,7049 -0,4763 -0,1623 0,1751 0,4796 0,7161 0,8773 0,9754 1,0306 1,0620 1,0812 1,0871 1,0682 1,0142 0,9263 0,8165 0,7043 0,6168 0,5829 0,6162 0,7104 0,8495 1,0162 1,1916 1,3536 1,4847 1,5820 1,6571 1,7248 1,7911 1,8450 1,8571 1,7931 1,6377 1,4127 1,1755 0,9994 0,9445 1,0319 1,2351 1,4915 1,7264 1,8797 1,9260 1,8766 1,7650 1,6317 1,5160 1,4457 1,4287 1,4576 1,5183 1,5963 1,6777 1,7478 1,7958 1,8231 1,8466 1,8910 1,9746 2,0997 2,2535 2,4154 2,5636 2,6808 2,7613 2,8167 2,8737 2,9596 3,0883 3,2610 3,4715 3,7069 3,9532 4,2066 4,4747 4,7679 5,0924 5,4488 5,8285 6,2081 6,5519 6,8268 7,0156 7,1195 7,1483 7,1123 7,0215 6,8921 6,7443 6,5967 6,4615 6,3464 6,2544 6,1817 6,1137 6,0276 5,9076 5,7582 5,5941 5,4185 5,2247 5,0151 4,8058 4,6132 4,4435 4,2951 4,1632 4,0407 3,9191 3,7904 3,6444 3,4676 3,2497 2,9903 2,6971 2,3852 2,0814 1,8189 1,6207 1,4919 1,4212 1,3833 1,3468 1,2869 1,1922 1,0630 0,9060 0,7263 0,5283 0,3223 0,1238 -0,0526 -0,1996 -0,3193 -0,4187 -0,5005 -0,5553 -0,5715 -0,5540 -0,5301 -0,5320 -0,5767 -0,6591 -0,7555 -0,8275 -0,8318 -0,7366 -0,5341 -0,2455 0,0837 0,3980 0,6498 0,8111 0,8737 0,8453 0,7444 0,5950 0,4236 0,2558 0,1093 -0,0144 -0,1290 -0,2548 -0,4051 -0,5763 -0,7509 -0,9082 -1,0332 -1,1234 -1,1906 -1,2542 -1,3290 -1,4165 -1,5050 -1,5784 -1,6221 -1,6213 -1,5609 -1,4375 -1,2693 -1,0886 -0,9262 -0,8032 -0,7274 -0,6891 -0,6603 -0,6055 -0,5012 -0,3483 -0,1675 0,0180 0,1914 0,3425 0,4679 0,5689 0,6445 0,6938 0,7266 0,7642 0,8279 0,9242 1,0425 1,1647 1,2744 1,3638 1,4409 1,5291 1,6580 1,8546 2,1327 2,4796 2,8538 3,2039 3,4902 3,6933 3,8108 3,8521 3,8347 3,7819 3,7182 3,6633 3,6304 3,6250 3,6430 3,6719 3,6998 3,7261 3,7643 3,8324 3,9383 4,0743 4,2236 4,3685 4,4940 4,5929 4,6676 4,7253 4,7690 4,7936 4,7869 4,7374 4,6416 4,5076 4,3537 4,2022 4,0737 3,9816 3,9282 3,9066 3,9014 3,8891 3,8440 3,7478 3,5961 3,4006 3,1903 3,0065 2,8919 2,8768 2,9636 3,1243 3,3110 3,4740 3,5775 3,6083 3,5745 3,5000 3,4174 3,3523 3,3062 3,2587 3,1864 3,0789 2,9430 2,7976 2,6639 2,5578 2,4890 2,4666 2,4997 2,5882 2,7131 2,8422 2,9469 3,0139 3,0421 3,0398 3,0266 3,0305 3,0736 3,1536 3,2382 3,2847 3,2682 3,1920 3,0752 2,9359 2,7845 2,6279 2,4794 2,3648 2,3109 2,3314 2,4222 2,5661 2,7377 2,9112 3,0685 3,1977 3,2824 3,3020 3,2452 3,1244 2,9734 2,8339 2,7426 2,7247 2,7933 2,9501 3,1825 3,4610 3,7455 3,9976 4,1911 4,3140 4,3612 4,3267 4,2064 4,0097 3,7635 3,5038 3,2643 3,0733 2,9482 2,8876 2,8720 2,8783 2,8927 2,9136 2,9543 3,0383 3,1785 3,3585 3,5435 3,7032 3,8221 3,8927 3,9070 3,8534 3,7204 3,5082 3,2388 2,9559 2,7079 2,5272 2,4196 2,3714 2,3644 2,3850 2,4230 2,4695 2,5175 2,5628 2,6048 2,6464 2,6901 2,7312 2,7585 2,7636 2,7505 2,7312 2,7154 2,7029 2,6867 2,6640 2,6419 2,6332 2,6464 2,6817 2,7322 2,7861 2,8295 2,8530 2,8578 2,8552 2,8598 2,8808 2,9127 2,9336 2,9173 2,8513 2,7453 2,6216 2,5009 2,3951 2,3088 2,2449 2,2069 2,1940 2,1985 2,2130 2,2362 2,2679 2,2983 2,3106 2,2910 2,2389 2,1654 2,0815 1,9851 1,8589 1,6823 1,4497 1,1752 0,8840 0,6028 0,3570 0,1703 0,0524 -0,0137 -0,0664 -0,1435 -0,2649 -0,4276 -0,6090 -0,7752 -0,8882 -0,9160 -0,8438 -0,6763 -0,4295 -0,1265 0,2017 0,5245 0,8228 1,0884 1,3166 1,5068 1,6676 1,8189 1,9852 2,1814 2,4073 2,6532 2,9068 3,1518 3,3639 3,5167 3,5961 3,6078 3,5706 3,5016 3,4062 3,2817 3,1300 2,9679 2,8282 2,7537 2,7803 2,9182 3,1427 3,4029 3,6395 3,8008 3,8545 3,7975 3,6540 3,4578 3,2376 3,0117 2,7908 2,5830 2,3949 2,2330 2,1052 2,0183 1,9732 1,9640 1,9789 2,0015 2,0123 1,9932 1,9312 1,8256 1,6915 1,5563 1,4514 1,4007 1,4087 1,4614 1,5371 1,6111 1,6608 1,6751 1,6623 1,6464 1,6532 1,6941 1,7620 1,8431 1,9270 2,0059 2,0722 2,1192 2,1434 2,1493 2,1563 2,1939 2,2837 2,4255
F7    0,5986 0,5172 0,4770 0,4694 0,4729 0,4707 0,4517 0,4013 0,3054 0,1664 0,0092 -0,1297 -0,2204 -0,2539 -0,2436 -0,2121 -0,1757 -0,1418 -0,1113 -0,0756 -0,0185 0,0658 0,1596 0,2312 0,2581 0,2363 0,1772 0,1024 0,0369 0,0023 0,0132 0,0766 0,1876 0,3269 0,4617 0,5560 0,5858 0,5445 0,4373 0,2736 0,0667 -0,1660 -0,4064 -0,6382 -0,8468 -1,0177 -1,1358 -1,1849 -1,1471 -1,0137 -0,8034 -0,5671 -0,3677 -0,2522 -0,2368 -0,3057 -0,4231 -0,5508 -0,6581 -0,7212 -0,7249 -0,6688 -0,5695 -0,4561 -0,3612 -0,3103 -0,3153 -0,3742 -0,4764 -0,6070 -0,7513 -0,8977 -1,0344 -1,1448 -1,2108 -1,2210 -1,1768 -1,0911 -0,9809 -0,8602 -0,7416 -0,6462 -0,6028 -0,6322 -0,7312 -0,8724 -1,0162 -1,1250 -1,1731 -1,1512 -1,0657 -0,9372 -0,7959 -0,6732 -0,5926 -0,5625 -0,5763 -0,6169 -0,6618 -0,6913 -0,6967 -0,6819 -0,6555 -0,6211 -0,5774 -0,5232 -0,4568 -0,3740 -0,2709 -0,1495 -0,0197 0,1033 0,2025 0,2655 0,2909 0,2906 0,2829 0,2816 0,2909 0,3021 0,2931 0,2385 0,1287 -0,0196 -0,1675 -0,2676 -0,2817 -0,1968 -0,0306 0,1747 0,3702 0,5174 0,5994 0,6217 0,6037 0,5714 0,5491 0,5514 0,5819 0,6366 0,7055 0,7752 0,8317 0,8616 0,8564 0,8187 0,7626 0,7058 0,6614 0,6349 0,6287 0,6425 0,6693 0,6958 0,7112 0,7183 0,7347 0,7840 0,8826 1,0343 1,2338 1,4698 1,7289 2,0005 2,2788 2,5605 2,8433 3,1229 3,3908 3,6334 3,8346 3,9813 4,0690 4,1028 4,0922 4,0457 3,9710 3,8782 3,7805 3,6926 3,6278 3,5943 3,5914 3,6059 3,6120 3,5813 3,4978 3,3652 3,1995 3,0163 2,8308 2,6606 2,5173 2,3984 2,2892 2,1744 2,0480 1,9140 1,7798 1,6492 1,5193 1,3822 1,2337 1,0753 0,9061 0,7205 0,5212 0,3263 0,1577 0,0277 -0,0642 -0,1297 -0,1859 -0,2475 -0,3216 -0,4076 -0,5016 -0,6039 -0,7195 -0,8519 -0,9994 -1,1539 -1,3026 -1,4317 -1,5327 -1,6028 -1,6427 -1,6587 -1,6672 -1,6891 -1,7370 -1,8104 -1,9006 -1,9919 -2,0594 -2,0706 -1,9968 -1,8289 -1,5870 -1,3166 -1,0708 -0,8862 -0,7738 -0,7288 -0,7447 -0,8158 -0,9331 -1,0809 -1,2386 -1,3859 -1,5067 -1,5943 -1,6521 -1,6882 -1,7082 -1,7154 -1,7142 -1,7128 -1,7240 -1,7612 -1,8307 -1,9250 -2,0227 -2,0968 -2,1274 -2,1070 -2,0381 -1,9280 -1,7891 -1,6408 -1,5060 -1,4035 -1,3430 -1,3217 -1,3227 -1,3171 -1,2739 -1,1766 -1,0323 -0,8634 -0,6919 -0,5318 -0,3894 -0,2627 -0,1462 -0,0377 0,0616 0,1541 0,2478 0,3515 0,4684 0,5923 0,7056 0,7857 0,8200 0,8179 0,8100 0,8349 0,9256 1,0964 1,3343 1,6008 1,8494 2,0453 2,1721 2,2266 2,2174 2,1663 2,1036 2,0560 2,0361 2,0426 2,0655 2,0906 2,1024 2,0917 2,0614 2,0256 2,0031 2,0078 2,0451 2,1135 2,2083 2,3207 2,4396 2,5561 2,6625 2,7462 2,7906 2,7820 2,7176 2,6080 2,4736 2,3388 2,2230 2,1348 2,0728 2,0303 2,0011 1,9826 1,9700 1,9501 1,9031 1,8131 1,6785 1,5142 1,3463 1,2063 1,1232 1,1128 1,1695 1,2688 1,3792 1,4775 1,5556 1,6151 1,6607 1,7006 1,7399 1,7726 1,7847 1,7680 1,7255 1,6635 1,5848 1,4887 1,3765 1,2581 1,1570 1,1023 1,1120 1,1793 1,2758 1,3684 1,4343 1,4674 1,4798 1,5002 1,5598 1,6682 1,8011 1,9126 1,9625 1,9394 1,8587 1,7429 1,6063 1,4532 1,2865 1,1180 0,9716 0,8755 0,8457 0,8793 0,9604 1,0682 1,1842 1,2976 1,3996 1,4745 1,5020 1,4727 1,3990 1,3089 1,2320 1,1859 1,1764 1,2054 1,2757 1,3860 1,5244 1,6689 1,7935 1,8771 1,9080 1,8833 1,8044 1,6766 1,5132 1,3344 1,1630 1,0202 0,9242 0,8854 0,8997 0,9511 1,0205 1,0935 1,1636 1,2372 1,3297 1,4483 1,5792 1,6965 1,7787 1,8181 1,8163 1,7760 1,6960 1,5722 1,4055 1,2102 1,0175 0,8671 0,7894 0,7905 0,8542 0,9557 1,0734 1,1909 1,2950 1,3784 1,4425 1,4948 1,5408 1,5804 1,6067 1,6094 1,5834 1,5361 1,4863 1,4519 1,4394 1,4446 1,4614 1,4848 1,5103 1,5346 1,5593 1,5877 1,6175 1,6381 1,6374 1,6145 1,5830 1,5635 1,5694 1,5973 1,6250 1,6206 1,5609 1,4457 1,2972 1,1457 1,0164 0,9261 0,8849 0,8945 0,9439 1,0103 1,0715 1,1157 1,1398 1,1408 1,1119 1,0443 0,9362 0,8011 0,6595 0,5229 0,3837 0,2233 0,0298 -0,1923 -0,4239 -0,6422 -0,8273 -0,9643 -1,0501 -1,1023 -1,1525 -1,2276 -1,3366 -1,4712 -1,6105 -1,7282 -1,7992 -1,8079 -1,7524 -1,6434 -1,4949 -1,3193 -1,1277 -0,9305 -0,7373 -0,5602 -0,4155 -0,3163 -0,2610 -0,2259 -0,1741 -0,0724 0,0967 0,3344 0,6248 0,9334 1,2118 1,4144 1,5185 1,5296 1,4715 1,3740 1,2627 1,1523 1,0439 0,9296 0,8058 0,6850 0,5919 0,5492 0,5670 0,6381 0,7375 0,8312 0,8896 0,9003 0,8683 0,8063 0,7262 0,6365 0,5434 0,4533 0,3717 0,3013 0,2435 0,2002 0,1742 0,1644 0,1647 0,1676 0,1668 0,1548 0,1206 0,0567 -0,0316 -0,1275 -0,2113 -0,2687 -0,2944 -0,2893 -0,2604 -0,2210 -0,1867 -0,1669 -0,1607 -0,1594 -0,1519 -0,1312 -0,1000 -0,0653 -0,0292 0,0116 0,0571 0,0992 0,1252 0,1276 0,1107 0,0897 0,0787 0,0820
